   śrīḥ //	SrIH //
   [ku.3.321] cārvākastvāha- kiṃ (173)yogyatāviśeṣā(ṣaṇā)graheṇa /	[ku.3.321] cArvAkaH-tu-Aha kim (173)yogya-tA-viSezA(-zaNA)graheNa /
   yannopalabhyate, tannāsti /	yat-na-upalaByate, tat-na-asti /
   viparītamasti /	viparItam-asti /
   na ceśvarādayastathā, tato na santītyetadeva jyāyaḥ /	na ca-ISvara-AdayaH-taTA, tatas na santi-iti-etat-eva jyAyaH /
   evamanumānādivilopa iti cet- nedamaniṣṭam /	evam-anumAna-Adi-vilopaH iti cet na-idam-anizwam /
   tathā ca lokavyavahāroccheda iti cenna- sambhāvanāmātreṇa tatsiddheḥ /	taTA ca loka-vyavahAra-ucCedaH iti ced-na samBAvanA-mAtreNa tad-sidDeH /
   saṃvādena ca prāmāṇyābhimānāt- iti- atrocyate-[ku.3.322] dṛṣṭyadṛṣṭyoḥ kva	saMvAdena ca prAmANya-aBimAnAt iti atra-ucyate-[ku.3.322] dRzwi-adRzwyoH kva
   sandeho bhāvābhāvaviniścayāt /	sandehaH BAva-aBAva-viniScayAt /
   adṛṣṭibādhite hetau pratyakṣamapi durlabham //6 //	adRzwi-bADite hetO pratyakzam-api durlaBam //6 //
   sambhāvanā hi sandeha eva /	samBAvanA hi sandehaH eva /
   tasmācca vyavahārastasmin sati syāt /	tasmAt-ca vyavahAraH-tasmin sati syAt /
   sa eva tu kutaḥ? darśanadaśāyāṃ bhāvaniścayāt;	saH eva tu kutas-? darSana-daSAyAm BAva-niScayAt;
   adarśanadaśāyāmabhāvāvadhāraṇāt /	adarSana-daSAyAma-BAva-avaDAraNAt /
   tathā ca gṛhādbahirga(nnirga)taścārvāko varāko na nivartate; pratyuta	taTA ca gRhAt-bahis-ga(t-nirga)taH-cArvAkaH varAkaH na nivartate; pratyuta
   putradāradhanādyabhāvāvadhāraṇāt sorastāḍaṃ śokavikalo (174)vikrośet /	putra-dAra-Dana-Adi-aBAva-avaDAraNAt sa-uraH-tAxam Soka-vikalaH (174)vikroSet /
   smaraṇānubhavānnaivamiti cenna- pratiyogismaraṇa evābhāvaparicchedāt /	smaraNa-anuBavAn-na-evam-iti ced-na pratiyogi-smaraNaH eva-aBAva-paricCedAt /
   parāvṛtto 'pi kathaṃ punarāsādayiṣyati? sattvāditi cet- anupalambhakāle	parAvRttaH api kaTam punar-AsAdayizyati? sattvAt-iti cet anupalamBa-kAle
   'pi tarhi santīti na tāvanmātreṇābhāvāvadhāraṇam /	api tarhi santi-iti na tAvat-mAtreNa-aBAva-avaDAraNam /
   tadaivotpannā iti cenna- anupalambhena hetūnāṃ bādhāt /	tadA-eva-utpannAH iti ca-id-na anupalamBena hetUnAm bADAt /
   abādhe vā sa eva doṣaḥ /	abADe vA saH eva dozaH /
   [ku.3.323] ata eva pratyakṣamapi na syāt; taddhetūnāṃ	[ku.3.323] atas eva pratyakzam-api na syAt; tad-hetUnAm
   cakṣurādīnāmanupalambhabādhitatvāt /	cakzuH-AdInAm-anupalamBa-bADita-tvAt /
   upalabhyanta eva; golakādi(175)rūpatvātteṣāmiti cenna- tadupalabdheḥ	upalaByante eva; golaka-Adi-(175)-rUpa-tvAt-tezAm-iti ced-na tad-upalabDeH
   pūrvaṃ teṣāmanupalambhāt /	pUrvam tezAm-anupalamBAt /
   na ca yaugapadyaniyamaḥ; kāryakāraṇabhāvāditi /	na ca yOgapadya-niyamaH; kArya-kAraNa-BAvAt-iti /
   [ku.3.324] etena- na paramāṇavaḥ santi; anupalabdheḥ /	[ku.3.324] etena na paramANavaH santi; anupalabDeH /
   na te nityā niravayavā vā, pārthivatvāt ghaṭādivat /	na te nityAH niravayavA vA, pArTiva-tvAt Gawa-Adi-vat /
   na pāthasīyaparamāṇurūpādayo nityāḥ rūpāditvāt dṛśyamānarūpādivat /	na pATasIya-paramANu-rUpa-AdayaH nityAH rUpa-Adi-tvAt dRSyamAna-rUpa-Adi-vat /
   na rūpatvapārthivatvādi nityākāryātīndriyasamavāyi jātitvāt śṛṅgatvavat /	na rUpa-tva-pArTiva-tva-Adi nitya-akArya-atIndriya-samavAyi jAti-tvAt SRFga-tva-vat /
   nendriyāṇi santi, yogyānupalabdheḥ /	na-indriyANi santi, yogyA-anupalabDeH /
   ayogyāni ca śaśaśṛṅgapratibandinirasanīyānīti (176)evaṃ	ayogyAni ca SaSaSRFga-pratibandi-nirasanIyAni-iti (176)evam
   svargāpūrvadevatānirākaraṇaṃ nāstikānāṃ nisanīyam /	svarga-apUrva-devatA-nirAkaraNam nAstikAnAm nisanIyam /
   mīmāṃsakaśca toṣayitavyo bhīṣayitavyaśceti /	mImAMsakaH-ca tozayitavyaH BIzayitavyaH-ca-iti /
   [ku.3.325] yadyevamanupalambhenādṛśyapratiṣedho neṣyate,	[ku.3.325] yadi-evam-anupalamBena-adRSya-pratizeDaH na-izyate,
   anupalabhyopādhipratiṣedho 'pi naiṣṭavyaḥ /	anupalaBya-upADi-pratizeDaH api nEzwavyaH /
   tathā ca kathaṃ tathābhūtārthasiddhirapi; anumānabījapratibandhāsiddheḥ /	taTA ca kaTam taTABUta-arTa-sidDiH-api; anumAna-bIja-pratibanDa-asidDeH /
   tadabhāve śabdāderapyabhāvaḥ; prāmāṇyāsiddheḥ /	tad-aBAve Sabda-AdeH-api-aBAvaH; prAmANya-asidDeH /
   seyamubhayataḥ pāśā rajjuḥ (177) /	sA-iyam-uBayatas pASAH rajjuH (177) /
   [ku.3.326] atra kaścidāha- mā bhūdupādhividhūnanam,	[ku.3.326] atra kaScid-Aha mA BUt-upADi-viDU-nanam,
   catuḥpañcarūpasampattimātreṇaiva pratibandhanirvāhāt /	catur-paQca-rUpa-sampatti-mAtreNa-eva pratibanDa-nirvAhAt /
   tasyāśya sapakṣāsapakṣadarśanādarśanamātrapramāṇakatvāt /	tasya-ASya sa-pakza-Asa-pakza-darSana-adarSana-mAtra-pramANaka-tvAt /
   yatra tu tadbhaṅgaḥ, tatra pramāṇabhaṅgo 'pyāvaśyakaḥ /	yatra tu tad-BaFgaH, tatra pramANa-BaFgaH api-AvaSyakaH /
   na hyasti sambhavo darśanādarśanayoraviplave (178)heturūpaviplavaiti /	na hi-asti samBavaH darSana-adarSanayoH-aviplave (178)hetu-rUpa-viplava-eti /
   [ku.3.327] aprayojako 'pi tarhi hetuḥ syāditi cet- bhūyodarśanāviplave ko	[ku.3.327] aprayojakaH api tarhi hetuH syAt-iti cet BUyas-darSana-aviplave kaH-
   'yamaprayojako nāma? na tāvat sādhyaṃ pratyakāryamakāraṇaṃ vā; sāmānyato	ayam-aprayojakaH nAma? na tAvat sADyam pratyakAryam-akAraNam vA; sAmAnyatas-
   dṛṣṭānumānasvīkārāt /	dRzwa-anumAna-svIkArAt /
   nāpi sāmagryāṃ kāraṇaikadeśaḥ; pūrvavadabhyupagamāt /	na-api sAmagryAm kAraNa-eka-deSaH; pUrvavat-aByupagamAt /
   nāpi vyabhicārī; tadanupalambhāt /	na-api vyaBicArI; tad-anupalamBAt /
   vyabhicāropalambhe vā sa eva doṣaḥ /	vyaBicAra-upalamBe vA saH eva dozaH /
   na ca śaṅkitavyabhicāraḥ; nirbījaśaṅkāyāḥ sarvatra sulabhatvāt /	na ca SaFkita-vyaBicAraH; nirbIja-SaFkAyAH sarvatra sulaBa-tvAt /
   nāpi vyāpyāntarasahavṛttiḥ; ekatrāpi sādhye 'nekasādhanopagamāt /	na-api vyApya-antara-saha-vRttiH; ekatra-api sADye aneka-sADana-upagamAt /
   nāpyalpaviṣayaḥ; dhūmādestathābhāve 'pi	na-api-alpa-vizayaH; DUma-AdeH-taTA-aBAve api
   (thābhūtasyāpi) hetutvāt /	(TA-BUtasya-api) hetu-tvAt /
   nanu dhūmo (mo 'pi) vahnimātre 'prayojaka eva, tannivṛttāvapi tadanivṛtteḥ	nanu DUmaH (maH api) vahni-mAtre aprayojakaH eva, tad-nivRttO=-api tat-anivRtteH
   ārdrendhanavatvaṃ vahniviśeṣaṃ prati tu prayojakaḥ; tannivṛttau tasyaiva	Ardra-inDanava-tvam vahni-viSezam prati tu prayojakaH; tad-nivRttO tasya-eva
   nivṛtteriti- etadapyayuktam- sāmānyaprayojakatāyāṃ viśeṣasādhakatvāyogāt;	nivRtteH-iti etat-api-ayuktam sAmAnya-prayojaka-tAyAm viSeza-sADaka-tva-ayogAt;
   tadasiddhau tasyāsiddhiniyamāt; siddhau vā sāmānyaviśeṣabhāvānupapatteḥ /	tad-asidDO tasya-asidDi-niyamAt; sidDO vA sAmAnya-viSeza-BAva-anupapatteH /
   nāpi kḷptasāmarthye 'nyasmin kalpanīyasāmarthyāprayojakaḥ; nāśe	na-api k?pta-sAmarTye anyasmin kalpanIya-sAmarTyA-prayojakaH; nASe
   kāryatvasāvayavatvayorapi hetubhāvāditi /	kAryatva-sAvayava-tvayoH-api hetu-BAvAt-iti /
   [ku.3.328] tadetadapeśalam- kathaṃ hi viśeṣābhāvāt kaścidvyabhicarati	[ku.3.328] tat-etat-apeSalam kaTam hi viSeza-aBAvAt kaScid-vyaBicarati
   kaścicca neti śkayamavagantum /	kaScid-ca na-iti Skayam-avagantum /
   tato nirṇāyakābhāve sati sāhityadarśanameva śaṅkābījamiti kvāsau nirbījā /	tatas nirNAyaka-aBAve sati sAhitya-darSanam-eva SaFkA-bIjam-iti kva-asO nirbIjAH /
   evaṃ sati atiprasaktirapi cārvākanandinī (179)nopālambhāya /	evam sati ati-prasaktiH-api cArvAka-nandinI (179)na-upAlamBAya /
   [ku.3.329] svabhāvādeva kaścit kiñcidvyabhicarati, kaścicca neti svabhāva	[ku.3.329] svaBAvAt-eva kaScid kiQcid-vi-aBicarati, kaScid-ca na-iti svaBAva
   eva viśeṣa iti cet- kena cihnena punarasau nirṇeya iti nipuṇena	eva viSezaH iti cet kena cihnena punar-asO nirNeyaH iti nipuNena
   bhāvanīyam; bhūyodarśanasya śataśaḥ pravṛttasyāpi bhaṅgadarśanāt /	BAvanIyam; BUyas-darSanasya SataSas pravRttasya-api BaFga-darSanAt /
   yatra bhaṅgo na dṛśyate (180)tat tatheti cet- āpātato na dṛśyate iti	yatra BaFgaH na dRSyate (180)tat taTA-iti cet ApAtataH na dRSyate iti
   sarvatra kālakrameṇāpi na drakṣyata iti ko niyanteti /	sarvatra kAla-krameNa-api na drakzyate iti kaH niyantA-iti /
   [ku.3.330] tasmādupādhitadvirahāveva vyabhicārāvyabhicāranivandhanam /	[ku.3.330] tasmAt-upADi-tad-virahO=-eva vyaBicAra-avi-aBicAra-nivanDanam /
   tadavadhāraṇaṃ cāśakyamiti /	tad-avaDAraNam ca-aSakyam-iti /
   nanu yaḥ sarvaiḥ pramāṇaiḥ sarvadāsmadādibhiryadvattayā nopalabhyate,	nanu yaH sarvEH pramANEH sarvadA-asmad-AdiBiH-yadvat-tayA na-upalaByate,
   nāsau tadvān; yathā bakaḥ śyamikayā /	na-asO tat-vAn; yaTA bakaH SyamikayA /
   nopalabhyate ca vahnau dhūma upādhimattayā- iti śkyamiti cenna-	na-upalaByate ca vahnO DUmaH upADimattayA iti Skyam-iti ced-na-
   asyāpyanumānatayā tadapekṣāyāmanavasthānāt /	asya-api-anumAna-tayA tad-apekzAyAm-anavasTAnAt /
   (181)sarvādṛṣṭeśca sandehāt; svādṛṣṭervyabhicārātaḥ; sarvadetyasiddheḥ /	(181)-sarva-adRzweH-ca sandeha-at; svAdRzweH-vyaBicAra-ataH; sarva-dA-itya-sidDeH /
   [ku.3.331] tādātmyatadutpattibhyāṃ niyama ityanye /	[ku.3.331] tAdAtmya-tad-utpattiByAm niyamaH iti-anye /
   tatra tādātmyaṃ vipakṣe bādhakāt bhavati /	tatra tAdAtmyam vipakze bADakAt Bavati /
   tadutpattiśca paurvāparyeṇa pratyakṣānupalambhābhyām /	tad-utpattiH-ca pOrvAparyeNa pratyakza-anupalamBAByAm /
   (182)na hyevaṃ sati śaṅkāpiśācī avakāśamāsādayati;	(182)na hi-evam sati SaFkA-apiSAcI avakASam-AsAdayati;
   āśaṅkyamānakāraṇabhāvasyāpi piśācāderetallakṣaṇāvirodhenaiva	ASaFkyamAna-kAraNa-BAvasya-api piSAca-AdeH-etat-lakzaNa-aviroDena-eva
   tattvanirvāhāditi- (183) naivamapi; ubhayagāmino	tattva-nirvAha-aditi (183) na-evam-api; uBaya-gAminaH-
   'vyabhicāranibandhanasyaikasyāvivecanāt; pratyekaṃ cāvyāpakatvāt /	avyaBicAra-nibanDanasya-ekasya-avivecana-at; pratyekam ca-avyApaka-tvAt /
   kutaśca kāryātmānau kāraṇamātmānaṃ ca na vyabhicārata iti /	kutas-ca kArya-AtmAnO kAraNam-AtmAnam ca na vyaBicArate iti /
   [ku.3.332] atrocyate- śaṅkā cedanumāstyeva na cecchaṅkā tatastarām /	[ku.3.332] atra-ucyate SaFkA ced-anumA-asti-eva na ced-SaFkA tatas-tarAm /
   vyāghātāvadhirāśaṅkā tarkaḥ śaṅkāvadhirmataḥ //7 //	vyAGAta-avaDiH-ASaFkA tarkaH SaFkA-avaDiH-mataH //7 //
   [ku.3.333] kālāntare kadācidvyabhicariṣyatīti kālaṃ bhāvinamākalayya	[ku.3.333] kAla-antare kadAcid-vyaBicarizyati-iti kAlam BAvinam-Akalayya
   śaṅkyeta /	SaFkyeta /
   tadākalanaṃ ca nānumānamavadhīrya kasyacit /	tadAkalanam ca na-anumAnam-avaDIrya kasyacid /
   mūhūrtayāmāhorātrapakṣamāsartvayanasaṃvatsarādayo hi bhāvino	mUhUrtayAmAhorAtra-pakza-mAsa-Rtu-ayana-saMvatsara-AdayaH hi BAvinaH-
   bhavanmuhūrtādyanumeyā eva, anavagateṣu smaraṇasyāpyanāśaṅkanīyatvāt /	Bavat-muhUrta-Adi-anumeyAH eva, anavagatezu smaraNasya-api-anASaFkanIya-tvAt /
   anākalane vā kamāśritya vyabhicāraḥ śaṅkyeta (raśaṅketi) /	anAkalane vA kam-ASritya vyaBicAraH SaFkyeta (raSaFkA-iti) /
   tathā ca sutarāmanumānasvīkāraḥ /	taTA ca sutarAm-anumAna-svIkAraH /
   evaṃ ca deśāntare 'pi vaktavyam /	evam ca deSa-antare api vaktavyam /
   [ku.3.334] svīkṛtamanumānam /	[ku.3.334] svIkRtam-anumAnam /
   suhṛdbhāvena pṛcchāmaḥ- kathamāśaṅkā nivartanīyeti cet- na- yāvadāśaṅkaṃ	suhRd-BAvena pRcCAmaH kaTam-ASaFkA nivartanIyA-iti cet na yAvat-ASaFkam
   tarkapravṛtteḥ /	tarka-pravRtteH /
   [ku.3.335] tena hi vartamānenopādhikoṭau tadāyattavyabhicārakoṭau	[ku.3.335] tena hi vartamAnena-upADi-kowO tad-Ayatta-vyaBicAra-kowO
   vāniṣṭamupanayatā icchāvicchidyate /	vA-anizwam-upanayatA icCA-vicCidyate /
   vicchannavipakṣecchaśca pramātā bhūyodarśanopalabdhasāhacaryaṃ	vicCanna-vipakza-icCaH-ca pramAtA BUyas-darSana-upalabDa-sAhacaryam
   liṅgagamanākulo 'dhitiṣṭhati; adhiṣṭhitācca karaṇāt kriyāpariniṣpattiriti	liFga-gamana-AkulaH aDitizWati; aDizWitAt-ca karaNAt kriyA-parinizpattiH-iti
   kimanupapannam /	kim-anupapannam /
   [ku.3.336] nanu tarko 'pyavinābhāvamapekṣya pravartate /	[ku.3.336] nanu tarkaH api-avinABAvam-apekzya pravartate /
   tato 'navasthayā bhavitavyam- na- śaṅkāyā vyāghātāvadhitvāt /	tatas anavasTayA Bavitavyam na SaFkAyAH vyAGAta-a=-aDi-tvAt /
   tadeva hyāśaṅkyate, yasminnāśaṅkyamāne svakriyāvyāghātādayo doṣā	tat-eva hi-ASaFkyate, yasmin=-ASaFkyamAne sva-kriyA-vyAGAta-AdayaH dozA
   nāvatarantīti lokamaryādā /	na-avataranti-iti loka-maryAdA /
   na hi hetuphalabhāvo na bhaviṣyatīti śaṅkitumapi śakyate /	na hi hetu-Pala-BAvaH na Bavizyati-iti SaFkitum-api Sakyate /
   tathā sati śaṅkaiva na syāt, sarvaṃ mithyā bhaviṣyatītyādivat /	taTA sati SaFkA-eva na syAt, sarvam miTyA Bavizyati-ityAdi-vat /
   [ku.3.337] athāvyatīndriyopādhiniṣedhe kiṃ pramāṇami(dhaḥ kiṃpramāṇaka	[ku.3.337] aTa-avyatIndriya-upADi-nizeDe kim pramANam-i(DaH kiMpramANaka
   i)tyucyatāmiti cet- na vai kaścidatīndriyopādhiḥ pramāṇasiddho 'sti,	i)ti-ucyatAm-iti cet na vE kaScid-atIndriya-upADiH pramANa-sidDaH asti,
   yasyābhāve pramāṇamanveṣaṇīyam /	yasya-aBAve pramANam-anvezaNIyam /
   kevalaṃ sāhacarye nibandhanāntaramātraṃ śaṅkyate /	kevalam sAhacarye nibanDana-antara-mAtram SaFkyate /
   tataḥ śaṅkaiva phalataḥ svarūpataśca nivartanīyā /	tatas SaFkA-eva Palatas sva-rUpataH-ca nivartanIyAH /
   tatra phalamasyāḥ vipakṣasyāpi jijñāsā tarkādāhanya nivartate; tato	tatra Palam-asyAH vipakzasya-api jijQAsA tarkAt-Ahanya nivartate; tatas-
   'numānapravṛttau śaṅkāsvarūpamapīti sarvaṃ sustham /	anumAna-pravRttO SaFkA-svarUpam-api-iti sarvam susTam /
   [ku.3.338] na caitadanāgamam, nyāyāṅgatayā tarkaṃ vyutpādayataḥ	[ku.3.338] na ca-etat-anAgamam, nyAya-aFga-tayA tarkam vyutpAdayataH
   sūtrakārasyābhimatatvāt /	sUtrakArasya-aBimata-tvAt /
   anyathā tad vyutpādanavaiyarthyāt /	anyaTA tat vyutpAdana-vEyarTyAt /
   [ku.3.339] tadayaṃ saṅkṣepaḥ- yatrānukūlatarko nāsti so 'prayojakaḥ /	[ku.3.339] tat-ayam saFkzepaH yatra-anukUla-tarkaH na-asti saH aprayojakaH /
   sa ca dvividhaḥ śaṅkitopādhirniścatopādhiśca; yatredamucyate-	sa ca dviviDaH SaFkita-upADiH-niScata-upADiH-ca; yatra-idam-ucyate-
   "yāvaccāvyatirekitvaṃ śatāṃśenāpi śaṅkyate /	"yAvat-ca-avyatireki-tvam Sata-aMSena-api SaFkyate /
   vipakṣasya kutastāvat hetorgamanikābalam //	vipakzasya kutas-tAvat hetoH-gamanikA-balam //
   '[ku.3.340] tatropādhistu- sādhanāvyāpakatve sati sādhyavyāpakaḥ /	a[ku.3.340] tatra-upADiH-tu sADana-avyApaka-tve sati sADya-vyApakaH /
   taddharmabhūtā hi vyāptirjapākusumaraktateva sphaṭike, sādhanābhimate	tad-Darma-BUtA hi vyAptiH-japA-kusuma-rakta-tA-iva sPawike, sADana-aBimate
   cakāstītyupādhirasāvucyata iti /	cakAsti-iti-upADiH-asO=-ucyate iti /
   tadidamāhuḥ- "anye paraprayuktānāṃ vyāptīnāmupajīvakāḥ /	tat-idam-AhuH "anye para-prayuktAnAm vyAptInAm-upajIvakAH /
   tairdṛṣṭairapi naiveṣṭā vyapakāṃśāvadhāraṇā //	tEH-dRzwEH-api na-eva-izwA vyapaka-aMSa-avaDAraNAH //
   " (mī.ślo.vā.14.1-5.) iti /	" (mI.-SlaH-.vA.-14.1-5.) iti /
   [ku.3.341] tadanena vipakṣadaṇḍabhūtena tarkeṇa sanāthe bhūyodarśane,	[ku.3.341] tat-anena vipakza-daNxa-BUtena tarkeNa sanATe BUyas-darSane,
   kāryaṃ vā kāraṇaṃ vā tato 'nyadvā, samavāyi vā saṃyogi vānyathā vā bhāvo	kAryam vA kAraNam vA tatas anyat-vA, samavAyi vA saMyogi vA-anyaTA vA BAvaH-
   vābhāvo vā, saviśeṣaṇaṃ vā nirviśeṣaṇaṃ vā liṅgamiti	vA-aBAvaH vA, sa-viSezaNam vA nirviSezaNam vA liFgam-iti
   niḥśaṅkamavadhāraṇīyam; anyathā tadābhāsa iti rahasyam /	niHSaFkam-avaDAraNIyam; anyaTA tad-ABAse iti rahasyam /
   [ku.3.342] tādātmyatadutpattyorapyetadeva bījam /	[ku.3.342] tAdAtmya-tad-utpattyoH-api-etat-eva bIjam /
   yadi hi kā(yadi kār)yātmānau kāraṇamātmānaṃ	yadi hi kA(yadi kAr)ya-AtmAnO kAraNam-AtmAnam
   cātipatetām, tadā tayostattvaṃ vyāhanyeta /	ca-atipatetAm, tadA tayoH-tattvam vyAhanyeta /
   ata eva sāmagrīniveśinaścaramakāraṇādapi kāryamanumimate (184)saugatā api	atas eva sAmagrI-niveSinaH-carama-kAraNAt-api kAryam-anumimate (184)sOgatAH api
   tasmādvipakṣabādhakameva pratibandhalakṣaṇam /	tasmAt-vipakza-bADakam-eva pratibanDa-lakzaNam /
   [ku.3.343] tathā hi- śākādyāhārapariṇativirahiṇi mitrātanaye, na	[ku.3.343] taTA hi SAka-Adi-AhAra-pariNati-virahiNi mitrAtanaye, na
   kiñcidaniṣṭamiti nāsau tasya vyāpikā; vyāpikā tu śyāmikāyāḥ,	kiQcid-anizwam-iti na-asO tasya vyApikA; vyApikA tu SyAmikAyAH,
   kāraṇatvāvadhāraṇāt /	kAraNatva-avaDAraNAt /
   kāraṇaṃ ca tat tasya; tadatipatya bhavati ceti vyāhatam /	kAraNam ca tat tasya; tat-atipatya Bavati ca-iti vyAhatam /
   evamanyatrāpyūhanīyamiti /	evam-anyatra-api-UhanIyam-iti /
   [ku.3.344] kva punaraprayojako 'ntarbhavati? na kvacidityeke /	[ku.3.344] kva punar-aprayojakaH antarBavati? na kvacid-iti-eke /
   yathā hi siddhasādhanam- na bādhitaviṣayam, viṣayāpahārābhāvāt; nāpi	yaTA hi sidDa-sADanam na bADita-vizayam, vizaya-apahAra-aBAvAt; na-api
   nirṇaye sati pakṣatvātipātādapakṣadharmaḥ, kālātītavilopaprasaṅgāt; na	nirNaye sati pakzatvA-ati-pAtAt-apakza-DarmaH, kAla-atIta-vilopa-prasaFgAt; na
   cānaikāntikādiḥ, vyabhicārādyabhāvāt- tathāyamapi /	ca-anEkAntika-AdiH, vyaBicAra-Adi-aBAvAt taTA-ayam-api /
   sūtraṃ tūpalakṣaṇaparamiti- tadasat- vibhāgasya	sUtram tu-upalakzaNa-param-iti tat-asat viBAgasya
   nyūnādhikasaṅkhyāvyavacchedaphalatvāt /	nyUna-aDika-saFKyA-vyavacCeda-Pala-tvAt /
   [ku.3.345] kva tarhi dvayorantarniveśaḥ? asiddhe eva /	[ku.3.345] kva tarhi dvayoH-antar-niveSaH? asidDe eva /
   tathā hi- vyāptasya hi pakṣadharmatāpratītiḥ siddhiḥ /	taTA hi vyAptasya hi pakza-Darma-tA-pratItiH sidDiH /
   tadabhāvo 'siddhi /	tad-aBAvaH asidDi /
   iyaṃ ca vyāptipakṣadharmatā(185)svarūpāṇāmanyatamāpratītyā bhavantī	iyam ca vyApti-pakza-Darma-tA(185)-svarUpANAm-anyatama-apratItyA BavantI
   yathāsaṅkhyamanyathāsiddhirāśrayāsiddhiḥ svarūpāsiddhirityākhyāyate /	yaTAsaFKyam-anyaTA-sidDiH-ASrayA-sidDiH svarUpa-asidDiH-iti-AKyAyate /
   madhyamāpyāśrayasvarūpāpratītyā tadviśeṣaṇapakṣatvāpratītyā veti dvayī /	maDyamA-apya-ASraya-svarUpa-apratItyA tad-viSezaNa-pakzatva-apratItyA vA-iti dvayI /
   tatra, caramāsiddhasādhanamiti vyapadiśyate; vyāptisthitau	tatra, carama-asidDa-sADanam-iti vyapadiSyate; vyApti-sTitO
   pakṣatvasyāhatya vighaṭanāt /	pakzatvasya-Ahatya viGawanAt /
   na tvevaṃ bādhe; vyāptereva prathamaṃ vighaṭanāditi viśeṣaḥ /	na tu-evam bADe; vyApteH-eva praTamam viGawanAt-iti viSezaH /
   [ku.3.346] yattvaprayojakaḥ sandigdhānaikāntika ityanaikāntike	[ku.3.346] yat-tva-prayojakaH sandigDa-anEkAntikaH iti-anEkAntike
   'ntarbhāvyate- tadasat- vyāptyasiddhyā hi nimittena vyabhicāraḥ śaṅkanīyo	antar-BAvyate tat-asat vyApti-asidDyA hi nimittena vyaBicAraH SaFkanIyaH-
   'nyathā vā /	anyaTA vA /
   prathame asiddhireva dūṣaṇam; upajīvyatvāt; nānaikāntikam; upajīvakatvāt /	praTame asidDiH-eva dUzaNam; upajIvya-tvAt; na-anEkAntikam; upajIvaka-tvAt /
   (186)anyathāśaṅkātvadūṣaṇameva; nirṇīte tadanavakāśāditi //	(186)anyaTA-SaFkA-tva-dUzaNam-eva; nirNIte tad-anavakASAt-iti //
   tṛtīyastabake īśvarasyopamānābādhyatvanirūpaṇam //	tRtIya-stabake ISvarasya-upamAna-abADya-tva-nirUpaNam //
   [ku.3.347] upamānaṃ tu bādhakamanāśaṅkanīyameva, viṣayānatirekāditi kecit	[ku.3.347] upamAnam tu bADakam-anASaFkanIyam-eva, vizayAn-atirekAt-iti kecid-
   tathāhi- na tāvadasya viṣayaḥ sādṛśyavyapadeśyaṃ padārthāntarameva	taTA-hi na tAvat-asya vizayaH sAdRSya-vyapadeSyam padArTa-antaram-eva
   sambhāvanīyam; parasparavirodhe hi na prakārāntarasthitiḥ /	samBAvanIyam; paraspara-viroDe hi na prakAra-antara-sTitiH /
   naikatāpi viruddhānāmuktimātravirodhataḥ //8 //	na-ekatA-api virudDAnAmukti-mAtra-viroDataH //8 //
   na hi bhāvābhāvābhyāmanyaḥ prakāraḥsambhāvanīyaḥ,	na hi BAva-aBAvAByAm-anyaH prakAraH-samBAvanIyaH,
   parasparavidhiniṣedharūpatvāt /	paraspara-viDi-nizeDa-rUpa-tvAt /
   na bhāva iti hi niṣedhamātreṇaivābhāvavidhiḥ /	na BAvaH iti hi nizeDa-mAtreNa-eva-aBAva-viDiH /
   tatastaṃ vihāya kathaṃ svavacanenaiva punaḥsahṛdayo niṣedhet, nābhāva iti	tatas-tam vihAya kaTam sva-vacanena-eva punar-sahRdayaH nizeDa-it, na-aBAvaH iti
   evaṃ nābhāva iti hi niṣedha eva bhāvavidhiḥ /	evam na-aBAvaH iti hi nizeDaH eva BAva-viDiH /
   tatastaṃ vihāya svavācaivānunmattaḥ kathaṃ punarniṣedhet na bhāva iti /	tatas-tam vihAya sva-vAcA-eva-anunmattaH kaTam punar-nizeDet na BAvaH iti /
   ata evambhūtānāmekatāpyaśakyapratipattiḥ,	atas evam-BUtAnAm-eka-tApya-Sakya-pratipattiH,
   pratiṣedhavidhyorekatrā(tvā)sambhavāt /	pratizeDa-viDyoH-eka-trA(tvA)-samBavAt /
   tasmādbhāvābhāvāveva tattvam /	tasmAt-BAva-aBAvO=-eva tattvam /
   [ku.3.348] bhāvattve 'pi guṇavannirguṇaṃ veti dvayameva (vetyetadapi)	[ku.3.348] BAvat-tve api guNavat-nirguNam vA-iti dvayam-eva (vA-iti-etat-api)
   pūrvavat /	pUrvavat /
   pūrvaṃ dravyameva /	pUrvam dravyam-eva /
   uttarañcāśritamanāśritaṃ veti dvayameva pūrvavat /	uttaraQca-ASritam-anASritam vA-iti dvayam-eva pUrvavat /
   tatrottaraṃ samavāya eva, anavasthābhayāt /	tatra-uttaram samavAyaH eva, anavasTA-BayAt /
   āśritaṃ tu sāmānyavanniḥsāmānyañceti pūrvavaddvayameva /	ASritam tu sAmAnya-vat-niHsAmAnyaQca-iti pUrvavat-dvayam-eva /
   tatra prathamamapi spando 'spanda iti dvayameva /	tatra praTamam-api spandaH aspandaH iti dvayam-eva /
   etacca yathāsaṅkhyaṃ karma guṇa iti vyapadiśyate /	etat-ca yaTAsaFKyam karma guNaH iti vyapadiSyate /
   niḥsāmānyaṃ nirguṇamāśritaṃ tu ekāśritamanekāśritaṃ veti prāgiva dvayameva	niHsAmAnyam nirguNam-ASritam tu eka-ASritam-aneka-ASritam vA-iti prAk-iva dvayam-eva
