   akalpayitvāntas tasmād MVibhr_6c	akalpayitvA-antar tasmAt MViBH-_6c
   na gamyate 'ntarvartitvaṃ MVibhr_155c	na gamyate antar-varti-tvam MViBH-_155c
   na ca mānaphalād bhinnā MVibhr_71c	na ca mAna-PalAt BinnAH MViBH-_71c
   na ca sarvātmanārthasya MVibhr_52a	na ca sarva-AtmanA-arTasya MViBH-_52a
   na ca sarvā niyogena MVibhr_76a	na ca sarvAH niyogena MViBH-_76a
   na cākṣavṛttitajjanma- MVibhr_78a	na ca-akza-vRtti-tad-janma MViBH-_78a
   na cākhyātir viśiṣyate MVibhr_9d	na ca-AKyAtiH viSizyate MViBH-_9d
   na cāgrahaniṣedho 'yaṃ MVibhr_158c	na ca-Agraha-nizeDaH ayam MViBH-_158c
   na cāpi vyabhicārasya MVibhr_106c	na ca-api vyaBicArasya MViBH-_106c
   na cāvadhāraṇād eva MVibhr_110c	na ca-avaDAraNAt eva MViBH-_110c
   na cāvadhārite yukto MVibhr_109a	na ca-avaDArite yuktaH MViBH-_109a
   na cet tathā nānyato 'pi MVibhr_112a	na ced taTA na-anyatas api MViBH-_112a
   na jñeyaśūnyaṃ vijñānaṃ MVibhr_141a	na jQeya-SUnyam vijQAnam MViBH-_141a
   na tatra yadi tadbuddhiḥ MVibhr_63a	na tatra yadi tad-budDiH MViBH-_63a
   na tatrāpi mano duṣṭam MVibhr_73a	na tatra-api manaH duzwam MViBH-_73a
   na tathaiveti gamyate MVibhr_98b	na taTA-eva-iti gamyate MViBH-_98b
   na tasyāsaṃnidhānataḥ MVibhr_60b	na tasya-asaMniDAnataH MViBH-_60b
   na tu tucchaḥ pratīyate MVibhr_129b	na tu tucCaH pratIyate MViBH-_129b
   na dṛśyādṛśyayor bhedaḥ MVibhr_58a	na dRSya-adRSyayoH BedaH MViBH-_58a
   na dṛṣṭādṛṣṭayor bhedaḥ MVibhr_66c	na dRzwa-adRzwayoH BedaH MViBH-_66c
   na nirālambanā matiḥ MVibhr_79b	na nirAlambanA matiH MViBH-_79b
   na niścite 'pi hi sthāṇāv MVibhr_109c	na niScite api hi sTANO MViBH-_109c
   nanu ca vyabhicāritve MVibhr_96c	nanu ca vyaBicAri-tve MViBH-_96c
   nanu no viparītārthā MVibhr_58c	nanu naH viparIta-arTAH MViBH-_58c
   nanv asann eva bhāsate MVibhr_15d	nanu asan eva BAsate MViBH-_15d
   nanv asann eva bhāsate MVibhr_131d	nanu asan eva BAsate MViBH-_131d
   nanv asti yad yathā vastu MVibhr_124c	nanu asti yat yaTA vastu MViBH-_124c
   na prakārāntaraṃ na sat MVibhr_130d	na prakAra-antaram na sat MViBH-_130d
   na pratītyānugamyate MVibhr_159b	na pratItya-anugamyate MViBH-_159b
   na pratyakṣe na ca smṛte MVibhr_78d	na pratyakze na ca smRte MViBH-_78d
   na prapañcavyapahnavaḥ MVibhr_31d	na prapaQca-vyapahnavaH MViBH-_31d
   na pramāṇavatī hi sā MVibhr_7d	na pramANavatI hi sA MViBH-_7d
   na buddhyā bhāvaśūnyatvaṃ MVibhr_135a	na budDyA BAva-SUnya-tvam MViBH-_135a
   na bhūtaṃ cetaso rūpaṃ MVibhr_36a	na BUtam cetasaH rUpam MViBH-_36a
   na bhramaś ca pratīyate MVibhr_51d	na BramaH ca pratIyate MViBH-_51d
   na bhrāntitve 'vakalpate MVibhr_3d	na BrAnti-tve avakalpate MViBH-_3d
   na yathāsti tathā khyātau MVibhr_125a	na yaTA-asti taTA KyAtO MViBH-_125a
   na yujyate yatra tatra MVibhr_30c	na yujyate yatra tatra MViBH-_30c
   na yenāsti prakāreṇa MVibhr_129a	na yena-asti prakAreNa MViBH-_129a
   na vivekamatir yadi MVibhr_25d	na viveka-matiH yadi MViBH-_25d
   na vai śaśaviṣāṇe 'pi MVibhr_135c	na vE SaSa-vizANe api MViBH-_135c
   na sarvabādhanaṃ yuktam MVibhr_4c	na sarva-bADanam yuktam MViBH-_4c
   na saṃvidanusāreṇa MVibhr_27c	na saMvid-anusAreNa MViBH-_27c
   na saṃvidānuguṇyaṃ syān MVibhr_25c	na saMvid-AnuguNyam syAt MViBH-_25c
   na sākṣān nāpi cārthataḥ MVibhr_99b	na sAkzAt na-api ca-arTataH MViBH-_99b
   na sphuṭagrahaniścayaḥ MVibhr_116b	na sPuwa-graha-niScayaH MViBH-_116b
   na smaryata iti sthitam MVibhr_20d	na smaryate iti sTitam MViBH-_20d
   na smaryata iti sthitam MVibhr_143b	na smaryate iti sTitam MViBH-_143b
   na smṛtitvaṃ na gamyate MVibhr_54d	na smRti-tvam na gamyate MViBH-_54d
   na smṛtyā pravivicyate MVibhr_72b	na smRtyA pravivicyate MViBH-_72b
   na syāj jñāne pramāṇatā MVibhr_89d	na syAt jQAne pramANatA MViBH-_89d
   na syād yasyāgrahe doṣa- MVibhr_75c	na syAt yasya-agrahe doza MViBH-_75c
   na hetor vyabhicāriṇaḥ MVibhr_116d	na hetoH vyaBicAriNaH MViBH-_116d
   nātaḥpittapravedanam MVibhr_77b	na-atas-pitta-pravedanam MViBH-_77b
   nādṛṣṭe 'saṃprayukte vā MVibhr_67c	na-adRzwe asaMprayukte vA MViBH-_67c
   nādhyāropāsphuṭagrahau MVibhr_36b	na-aDyAra-upAsPuwa-grahO MViBH-_36b
   nānātvaṃ yadi ceṣyate MVibhr_68b	nAnAtvam yadi ca-izyate MViBH-_68b
   nānirvācyatayā matiḥ MVibhr_155d	na-anirvAcya-tayA matiH MViBH-_155d
   nāntar arhati dhāraṇam MVibhr_5b	na-antar arhati DAraNam MViBH-_5b
   nāntarvartitayā bhrāntir MVibhr_6a	na-antar-varti-tayA BrAntiH MViBH-_6a
   nāntarvartibahirbhāso MVibhr_7a	na-antarvarti-bahis-BAsaH MViBH-_7a
   nānyathā dhīr vastuniṣṭhā MVibhr_127a	na-anyaTA DIH vastu-nizWAH MViBH-_127a
   nānyathā vyavatiṣṭhate MVibhr_154b	na-anyaTA vyavatizWate MViBH-_154b
   nābuddhena pramīyate MVibhr_85b	na-abudDena pramIyate MViBH-_85b
   nāmarūpaprapañco 'yam MVibhr_31a	nAma-rUpa-prapaQcaH ayam MViBH-_31a
   nārthatattvaviniścayaḥ MVibhr_42b	na-arTa-tattva-viniScayaH MViBH-_42b
   nāvidyā parihāsyate MVibhr_150b	na-avidyA parihAsyate MViBH-_150b
   nāviśeṣaḥ khapuṣpāc ca MVibhr_138c	na-aviSezaH KapuzpAt ca MViBH-_138c
   nāsatkhyātivivarjanam MVibhr_15b	na-asat-KyAti-vivarjanam MViBH-_15b
   nāsat saṃvidvirodhataḥ MVibhr_38d	na-asat saMvid-viroDataH MViBH-_38d
   nāsiddhāvyatirekeṇa MVibhr_86c	na-asidDa-avyatirekeNa MViBH-_86c
   nāstīti na pramāṇatvaṃ MVibhr_108a	na-asti-iti na pramANa-tvam MViBH-_108a
   nimittaṃ tasya yujyate MVibhr_27d	nimittam tasya yujyate MViBH-_27d
   niyatabhrāntidarśanam MVibhr_75b	niyata-BrAnti-darSanam MViBH-_75b
   niyatā na pravṛttiḥ syān MVibhr_57c	niyatA na pravRttiH syAt MViBH-_57c
   niyamo syāt tato gate MVibhr_114d	niyamaH syAt tatas gate MViBH-_114d
   niradhiṣṭhānavibhrame MVibhr_11b	niraDizWAna-viBrame MViBH-_11b
   nirupākhyād ātmayogād MVibhr_141c	nirupAKyAt Atma-yogAt MViBH-_141c
   nirupākhyo na vidyate MVibhr_134b	nirupAKyaH na vidyate MViBH-_134b
   nirodhād yuktakāryasya MVibhr_117c	niroDAt yukta-kAryasya MViBH-_117c
   nīrūpeṇaiva bhāsanāt MVibhr_14b	nIrUpeNa-eva BAsanAt MViBH-_14b
   nīle bhāve site bhavat MVibhr_106b	nIle BAve site Bavat MViBH-_106b
   neṣṭā cet khyātir anyathā MVibhr_57d	na-izwA ced KyAtiH anyaTA MViBH-_57d
   naitad avyabhicāreṇa MVibhr_90a	na-etat avyaBicAreNa MViBH-_90a
   naitad vipratiṣidhyete MVibhr_123c	na-etat vipratiziDyete MViBH-_123c
   naitan na hi pravarteta MVibhr_59c	na-etat na hi pravarteta MViBH-_59c
   naivānveti yato matiḥ MVibhr_26b	na-eva-anveti yatas matiH MViBH-_26b
   nodeti jāgrato buddhir MVibhr_100a	na-udeti jAgrataH budDiH MViBH-_100a
   nodeti svapnadarśanam MVibhr_145d	na-udeti svapna-darSanam MViBH-_145d
   no śūnyaṃ tad anātmakam MVibhr_148d	no SUnyam tat anAtmakam MViBH-_148d
   parapakṣeṣu kalpyāni MVibhr_19c	para-pakzezu kalpyAni MViBH-_19c
   parasparaparāṇudām MVibhr_13b	paraspara-parANu-dAm MViBH-_13b
   parasparavirodhinām MVibhr_140b	paraspara-viroDinAm MViBH-_140b
   parasmin nopayoginī MVibhr_66d	parasmin na-upayoginI MViBH-_66d
   pariṇāmādyapekṣiṇi MVibhr_115d	pariNAma-Adi-apekziNi MViBH-_115d
   parīkṣakāṇāṃ vibhrāntau MVibhr_1c	parIkzakANAm viBrAntO MViBH-_1c
   parai rūpābhyupagame MVibhr_122a	parEH rUpa-aByupagame MViBH-_122a
   paścāt dharmiṇi dharmadhīḥ MVibhr_162d	paScAt DarmiNi Darma-DIH MViBH-_162d
   paśyāmīndriyadoṣataḥ MVibhr_74b	paSyAmi-indriya-dozataH MViBH-_74b
   pūrvau neto nimittatām MVibhr_93d	pUrvO netas nimitta-tAm MViBH-_93d
   prakārā na cakāsati MVibhr_125d	prakArAH na cakAsati MViBH-_125d
   prakārāntarasaṃsargo MVibhr_15c	prakAra-antara-saMsargaH MViBH-_15c
   prakārāntarasaṃsargo MVibhr_131c	prakAra-antara-saMsargaH MViBH-_131c
   praṇidhānādivarjitam MVibhr_22d	praNiDAna-Adi-varjitam MViBH-_22d
   praṇidhānādisaṃskṛtam MVibhr_23b	praNiDAna-Adi-saMskRtam MViBH-_23b
   pratīti pratijānate MVibhr_143d	prati-iti pratijAnate MViBH-_143d
   pratyakṣād avivekāc ca MVibhr_55c	pratyakzAt avivekAt ca MViBH-_55c
   pratyakṣo 'nubhavaḥ sādhyo MVibhr_116c	pratyakzaH anuBavaH sADyaH MViBH-_116c
   pratyabhijñānavibhrāntau MVibhr_54c	pratyaBijQAna-viBrAntO MViBH-_54c
   pratyayo rajate smṛtiḥ MVibhr_59b	pratyayaH rajate smRtiH MViBH-_59b
   prapañcaḥ kiṃnibandhanaḥ MVibhr_32b	prapaQcaH kiMnibanDanaH MViBH-_32b
   prapañcātmatayaiva hi MVibhr_34b	prapaQca-Atma-tayA-eva hi MViBH-_34b
   prabhāsatām asattā tu MVibhr_148c	praBAsa-tAm asattA tu MViBH-_148c
   pramāṇatvanimittatā MVibhr_102d	pramANa-tva-nimitta-tA MViBH-_102d
   pramāṇatvāpramāṇatve MVibhr_112c	pramANa-tva-apramANa-tve MViBH-_112c
   pramāṇam iṣyate cakṣur MVibhr_106a	pramANam izyate cakzuH MViBH-_106a
   pramāṇavanty adṛṣṭāni MVibhr_142a	pramANavanti adRzwAni MViBH-_142a
   prameyatvordhvatādīnāṃ MVibhr_107c	prameya-tva-UrDvatA-AdInAm MViBH-_107c
   pravartate yat tatraiva MVibhr_61a	pravartate yat tatra-eva MViBH-_61a
   pravṛttiniyamaḥ kutaḥ MVibhr_60d	pravRtti-niyamaH kutas MViBH-_60d
   pravṛttibhedaḥ sādṛśyād MVibhr_62a	pravRtti-BedaH sAdRSyAt MViBH-_62a
   pravṛttiś śuktiśakale MVibhr_81a	pravRttiH Sukti-Sakale MViBH-_81a
   prasaktapratiṣedhātmā MVibhr_157a	prasakta-pratizeDa-AtmA MViBH-_157a
   prasañjikā hi nākhyātir MVibhr_158a	prasaQjikA hi na-AKyAtiH MViBH-_158a
   prastutya ..... MVibhr_114a	prastutya ..... MViBH-_114a
   prāktattvajñānasaṃskāras MVibhr_17a	prAk-tattva-jQAna-saMskAraH MViBH-_17a
   prāpteḥ pūrvaṃ tu yujyate MVibhr_160d	prApteH pUrvam tu yujyate MViBH-_160d
   prāpyate rūpato 'sya tat MVibhr_93b	prApyate rUpataH asya tat MViBH-_93b
   prāmāṇyam ānapekṣyaṃ hi MVibhr_82c	prAmANyam Anapekzyam hi MViBH-_82c
   prāmāṇyasya na naḥ kṣatiḥ MVibhr_100d	prAmANyasya na naH kzatiH MViBH-_100d
   prāmāṇyaṃ nānumanyate MVibhr_105b	prAmANyam na-anumanyate MViBH-_105b
   prāmāṇyaṃ nopahanyate MVibhr_102b	prAmANyam na-upahanyate MViBH-_102b
   prāmāṇyaṃ yasya duṣyati MVibhr_90b	prAmANyam yasya duzyati MViBH-_90b
   prāmāṇye tadabhāve cā- MVibhr_94a	prAmANye tad-aBAve cA MViBH-_94a
   prāyeṇādhyakṣavibhramaḥ MVibhr_46d	prAyeNa-aDyakza-viBramaH MViBH-_46d
   phalābhede phalonneya- MVibhr_70c	Pala-aBede Pala-unneya MViBH-_70c
   bādha eva ca naḥ sphuṭam MVibhr_157d	bADaH eva ca naH sPuwam MViBH-_157d
   bādhakajñānasaṃmate MVibhr_96d	bADaka-jQAna-saMmate MViBH-_96d
   bādhakair na nirasyate MVibhr_155b	bADakEH na nirasyate MViBH-_155b
   bādhadhīr upaghātikā MVibhr_107b	bADa-DIH upaGAtikA MViBH-_107b
   bādho 'khyātau na yujyate MVibhr_157b	bADaH aKyAtO na yujyate MViBH-_157b
   bādhyajñānasya mithyātvaṃ MVibhr_154a	bADya-jQAnasya miTyAtvam MViBH-_154a
   bāhyābhyantaravartinaḥ MVibhr_30b	bAhya-aByantara-vartinaH MViBH-_30b
   budhyamāno vivekaṃ ca MVibhr_74a	buDyamAnaH vivekam ca MViBH-_74a
   bodha evāvadhārakaḥ MVibhr_107d	boDaH eva-avaDArakaH MViBH-_107d
   bodhakaṃ sattayaiva na MVibhr_92b	boDakam sat-tayA-eva na MViBH-_92b
   bodhasyānudaye kaścit MVibhr_105a	boDasya-anudaye kaScid MViBH-_105a
   bodhād eva tadutpattāv MVibhr_104a	boDAt eva tad-utpattO MViBH-_104a
   bodhād eva pramāṇatvam MVibhr_84a	boDAt eva pramANa-tvam MViBH-_84a
   bodhād evopavarṇitaḥ MVibhr_94d	boDAt eva-upavarNitaH MViBH-_94d
   bodhād rajatavedanāt MVibhr_65d	boDAt rajata-vedanAt MViBH-_65d
   bhavaty apaṭudarśanam MVibhr_51b	Bavati apawu-darSanam MViBH-_51b
   bhaved atisubhāṣitam MVibhr_111b	Bavet ati-su-BAzitam MViBH-_111b
   bhātīti yadi manyate MVibhr_122d	BAti-iti yadi manyate MViBH-_122d
   bhāvāntaram abhāvo 'nyo MVibhr_128a	BAva-antaram aBAvaH anyaH MViBH-_128a
   bhāvāntaram abhāvo hi MVibhr_130a	BAva-antaram aBAvaH hi MViBH-_130a
   bhāvāntaram upāśritā MVibhr_133d	BAva-antaram upASritAH MViBH-_133d
   bhāve bhrāntir na yujyate MVibhr_8d	BAve BrAntiH na yujyate MViBH-_8d
   bhāvo 'bhivyaktim ṛcchati MVibhr_118b	BAvaH aBivyaktim RcCati MViBH-_118b
   bhāsane rūpavattvena MVibhr_38c	BAsane rUpavat-tvena MViBH-_38c
   bhāsane rūpavattvena MVibhr_121a	BAsane rUpavat-tvena MViBH-_121a
   bhāsane vibhramo mataḥ MVibhr_128d	BAsane viBramaH mataH MViBH-_128d
   bhinnayor atra saṃsargo MVibhr_132c	BinnayoH atra saMsargaH MViBH-_132c
   bhūyiṣṭhānīti dṛśyate MVibhr_19d	BUyizWAni-iti dRSyate MViBH-_19d
   bhrāntijñeye ca bāhyatvaṃ MVibhr_155a	BrAnti-jQeye ca bAhya-tvam MViBH-_155a
   bhrāntitvānuguṇā hi sā MVibhr_5d	BrAnti-tva-anuguNA hi sA MViBH-_5d
   bhrāntitvānupapattitaḥ MVibhr_7b	BrAntitva-anupapattitaH MViBH-_7b
   bhrāntiḥ sādṛśyabandhanā MVibhr_76b	BrAntiH sAdRSya-banDanA MViBH-_76b
   bhrāntau sahākṣair manaso MVibhr_18a	BrAntO saha-akzEH manasaH MViBH-_18a
   madhure tiktavibhramaḥ MVibhr_76d	maDure tikta-viBramaH MViBH-_76d
   manodoṣād yadi svārtho MVibhr_72a	manaH-dozAt yadi sva-arTaH MViBH-_72a
   mandasaṃskārasahakṛd MVibhr_22a	manda-saMskAra-sahakRt MViBH-_22a
   manvate nānyathā bhramaḥ MVibhr_126d	manvate na-anyaTA BramaH MViBH-_126d
   maraṇāntarite 'smṛteḥ MVibhr_20b	maraNa-antarite asmRteH MViBH-_20b
   mātraṃ tasyeha śūnyatā MVibhr_124b	mAtram tasya-iha SUnyatA MViBH-_124b
   mātrād akṣe 'pi tad yataḥ MVibhr_40b	mAtrAt akze api tat yatas MViBH-_40b
   mātreṇa vyavatiṣṭhate MVibhr_40d	mAtreNa vyavatizWate MViBH-_40d
   mā bhasi sphuṭam ātmanā MVibhr_33b	mA Basi sPuwam AtmanA MViBH-_33b
   mithyā rajatadhīr nātra MVibhr_54a	miTyA rajata-DIH na-atra MViBH-_54a
   mukhyarūpya pratītitaḥ MVibhr_119d	muKya-rUpya pratItitaH MViBH-_119d
   mūrcchāśokāmayādiṣu MVibhr_18d	mUrcCA-Soka-Amaya-Adizu MViBH-_18d
   mṛṣā ceti vipaścitaḥ MVibhr_135b	mRzA ca-iti vipaScitaH MViBH-_135b
   mṛṣā bodhān na bādhanāt MVibhr_156d	mRzA boDAt na bADanAt MViBH-_156d
   yatnenānupalabdheś ca MVibhr_45c	yatnena-anupalabDeH ca MViBH-_45c
   yatra tatra vihanyate MVibhr_98d	yatra tatra vihanyate MViBH-_98d
   yatra na prathate kiñcit MVibhr_48a	yatra na praTate kiQcid MViBH-_48a
   yathā nākṣaṃ tathāpi tat MVibhr_90d	yaTA na-akzam taTA-api tat MViBH-_90d
   yathāvabhāsamānasya MVibhr_8a	yaTA-avaBAsamAnasya MViBH-_8a
   yadi naitat prakalpate MVibhr_70b	yadi na-etat prakalpate MViBH-_70b
   yad upaity upayogitām MVibhr_91b	yat upEti upayogi-tAm MViBH-_91b
   yady ālambanarūpāc ca MVibhr_41a	yadi Alambana-rUpAt ca MViBH-_41a
   yuktaḥ pratyakṣavibhramaḥ MVibhr_55d	yuktaH pratyakza-viBramaH MViBH-_55d
   yujyate nānyathākhyātir MVibhr_11a	yujyate na-anyaTA-AKyAtiH MViBH-_11a
   yena syād dhetvabhāvena MVibhr_103a	yena syAt Detu-aBAvena MViBH-_103a
   rajate sā pravṛttiś cen MVibhr_60a	rajate sA pravRttiH ced MViBH-_60a
   rūpavattvena bhāsanam MVibhr_16b	rUpavat-tvena BAsanam MViBH-_16b
   rūpavattvena bhāsanāt MVibhr_14d	rUpavat-tvena BAsanAt MViBH-_14d
   rūpo bhātīti yujyate MVibhr_32d	rUpaH BAti-iti yujyate MViBH-_32d
   rūpyam etad iti sthitā MVibhr_26d	rUpyam etat iti sTitAH MViBH-_26d
   liṅgasyāvyabhicārād yat MVibhr_93a	liFgasya-avyaBicArAt yat MViBH-_93a
   loṣṭādiṣv avivekataḥ MVibhr_62d	lozwa-Adizu avivekataH MViBH-_62d
   varaṃ brahmavido viduḥ MVibhr_28b	varam brahma-vidaH viduH MViBH-_28b
   varṇyate 'vyabhicārataḥ MVibhr_103d	varNyate avyaBicArataH MViBH-_103d
   vartamānatvabodhāt tu MVibhr_53c	vartamAna-tva-boDAt tu MViBH-_53c
   vartamānatvam apy atra MVibhr_139c	vartamAna-tvam api atra MViBH-_139c
   vartamāne na niścayaḥ MVibhr_44b	vartamAne na niScayaH MViBH-_44b
   vastuno 'tatprakārasya MVibhr_50c	vastunaH atad-prakArasya MViBH-_50c
   vastuno 'nveṣaṇā tasyāṃ MVibhr_30a	vastunaH anvezaNA tasyAm MViBH-_30a
   vastvālambād vinā na sā MVibhr_127b	vastu-AlambAt vinA na sA MViBH-_127b
   vahnau dṛṣṭaś ca bhasmake MVibhr_118d	vahnO dRzwaH ca Basmake MViBH-_118d
   vācoyuktir iyaṃ bhavet MVibhr_163b	vAcoyuktiH iyam Bavet MViBH-_163b
   vāhīke gomatir yathā MVibhr_25b	vAhIke gomatiH yaTA MViBH-_25b
   vijñānastham apāṭavam MVibhr_49d	vijQAna-sTam apAwavam MViBH-_49d
   vijñānāc cārthasaṃvittis MVibhr_92c	vijQAnAt ca-arTa-saMvittiH MViBH-_92c
   vidann avyabhicāreṇa MVibhr_84c	vidan avyaBicAreNa MViBH-_84c
   viparītasya sādhanāt MVibhr_117d	viparItasya sADanAt MViBH-_117d
   viparītārthatā mateḥ MVibhr_66b	viparIta-arTa-tA mateH MViBH-_66b
   viparyayaphalābhāvo MVibhr_117a	viparyaya-Pala-aBAvaH MViBH-_117a
   vibhramaṃ samyagagraham MVibhr_37d	viBramam samyak-agraham MViBH-_37d
   vibhrameṣu vivartatvam MVibhr_36c	viBramezu vivarta-tvam MViBH-_36c
   vibhramo vītasaṃśayaḥ MVibhr_11d	viBramaH vIta-saMSayaH MViBH-_11d
   viruddham iva dṛśyate MVibhr_38b	virudDam iva dRSyate MViBH-_38b
   virodhāt saṃvido 'paraḥ MVibhr_37b	viroDAt saMvidaH aparaH MViBH-_37b
   vivādāt sā vivicyate MVibhr_1d	vivAdAt sA vivicyate MViBH-_1d
   viviktās te tathā bhānti MVibhr_126a	viviktAH te taTA BAnti MViBH-_126a
   vivinakti smṛtir na cet MVibhr_69b	vivinakti smRtiH na ced MViBH-_69b
   vivekadhīr niṣedho 'yaṃ MVibhr_159a	viveka-DIH nizeDaH ayam MViBH-_159a
   vivekamatir īdṛśī MVibhr_159d	viveka-matiH IdRSI MViBH-_159d
   'vivekaḥ kiṃnibandhanaḥ MVibhr_68d	avivekaH kiMnibanDanaH MViBH-_68d
   vivekāgrahaṇaṃ yadi MVibhr_62b	viveka-agrahaNam yadi MViBH-_62b
   vivekāgrahaṇaṃ yasmād MVibhr_44c	viveka-agrahaNam yasmAt MViBH-_44c
   vivekāgrahaṇāt tathā MVibhr_61d	viveka-agrahaNAt taTA MViBH-_61d
   vivekānavadhāraṇāt MVibhr_54b	viveka-anavaDAraNAt MViBH-_54b
   viveko gamyate kayoḥ MVibhr_161d	vivekaH gamyate kayoH MViBH-_161d
   vivecitas tayos svārtho MVibhr_68c	vivecitaH tayoH sva-arTaH MViBH-_68c
   viṣayasyāvabodhakam MVibhr_88b	vizayasya-avaboDakam MViBH-_88b
   viṣāṇaṃ tatra gamyate MVibhr_136b	vizANam tatra gamyate MViBH-_136b
   vihanyeta pramāṇatā MVibhr_97b	vihanyeta pramANatA MViBH-_97b
   vedyavastuni tatkṣateḥ MVibhr_30d	vedya-vastuni tad-kzateH MViBH-_30d
   vaiśvarūpyaṃ vṛthākṛtam MVibhr_33d	vESvarUpyam vRTA-akRtam MViBH-_33d
   vyatirekaviparyayau MVibhr_94b	vyatireka-viparyayO MViBH-_94b
   'vyatirekaviparyayau MVibhr_112d	avyatireka-viparyayO MViBH-_112d
   vyatireko bādhabodhād MVibhr_95a	vyatirekaH bADa-boDAt MViBH-_95a
   vyabhicārajñānamātrāt MVibhr_100c	vyaBicAra-jQAna-mAtrAt MViBH-_100c
   vyabhicāramater eva MVibhr_98a	vyaBicAra-mateH eva MViBH-_98a
   vyabhicārāt parīkṣaṇam MVibhr_113d	vyaBicArAt parIkzaNam MViBH-_113d
   vyabhicārād asau liṅgaṃ MVibhr_90c	vyaBicArAt asO liFgam MViBH-_90c
   vyabhicārāpratītyā ced MVibhr_89a	vyaBicAra-apratItyA ced MViBH-_89a
   vyabhicāriṇi nāśvāsaḥ MVibhr_101a	vyaBicAriNi na-ASvAsaH MViBH-_101a
   vyabhicāre viparyayaḥ MVibhr_103b	vyaBicAre viparyayaH MViBH-_103b
   vyavahārasya yogyatā MVibhr_80b	vyavahArasya yogyatA MViBH-_80b
   vyāpāra iti niścayaḥ MVibhr_75d	vyApAraH iti niScayaH MViBH-_75d
   śaśasaṃsargirūpaṃ hi MVibhr_136a	SaSa-saMsargi-rUpam hi MViBH-_136a
   śuktikāśakale tadā MVibhr_59d	SuktikA-Sakale tadA MViBH-_59d
   śuktikāśakale 'pi na MVibhr_63b	SuktikA-Sakale api na MViBH-_63b
   śuktikāśakale samā MVibhr_64b	SuktikA-Sakale samAH MViBH-_64b
   śūnyakhyāter na mucyate MVibhr_125b	SUnya-KyAteH na mucyate MViBH-_125b
   śūnyakhyātau śūnyam eveti kecit MVibhr_164b	SUnya-KyAtO SUnyam eva-iti kecid MViBH-_164b
   śūnyatābhāvarūpate MVibhr_123d	SUnyatA-BAva-rUpate MViBH-_123d
   śūnyam ity abhibhāṣyate MVibhr_121d	SUnyam iti aBiBAzyate MViBH-_121d
   śūnyaṃ tad api cen matam MVibhr_123b	SUnyam tat api ced matam MViBH-_123b
   śūnyaṃ prakāśate ceti MVibhr_120c	SUnyam prakASate ca-iti MViBH-_120c
   śūnyaivocyeta śūnyatā MVibhr_121b	SUnyA-eva-ucyeta SUnyatA MViBH-_121b
   śvete pītabhramo dṛṣṭo MVibhr_76c	Svete pIta-BramaH dRzwaH MViBH-_76c
   sa ity eva hi darśitam MVibhr_80d	saH iti eva hi darSitam MViBH-_80d
   sa cābhāve 'sya tan mṛṣā MVibhr_133b	sa ca-aBAve asya tat mRzA MViBH-_133b
   sattayaivendriyādivat MVibhr_92d	sat-tayA-eva-indriya-Adi-vat MViBH-_92d
   sattve na mithyā śūnyatve MVibhr_29a	sattve na miTyA SUnya-tve MViBH-_29a
   satyaṃ na tu viviktayoḥ MVibhr_160b	satyam na tu viviktayoH MViBH-_160b
   satyaṃ yathāsti na tathā MVibhr_128c	satyam yaTA-asti na taTA MViBH-_128c
   sadasatbhyām anirvācyāṃ MVibhr_29c	sat-asatByAm anirvAcyAm MViBH-_29c
   sadṛśādṛṣṭacintādyāḥ MVibhr_46a	sadRSa-adRzwa-cintA-AdyAH MViBH-_46a
   sad bhāvāntaraghaṭṭitam MVibhr_148b	sat BAva-antara-Gawwitam MViBH-_148b
   sa parāmṛśyate .. MVibhr_86d	sa parAmRSyate .. MViBH-_86d
   samādhir iha varṇitaḥ MVibhr_127d	samADiH iha varNitaH MViBH-_127d
   samāropopayoginī MVibhr_67b	samAropa-upayoginI MViBH-_67b
   samyakkhyātau tathā bhavet MVibhr_10d	samyak-KyAtO taTA Bavet MViBH-_10d
   sarvajñānaprasaṅgataḥ MVibhr_158d	sarva-jQAna-prasaFgataH MViBH-_158d
   sarvarūpaviveko hi MVibhr_121c	sarva-rUpa-vivekaH hi MViBH-_121c
   sarvavijñānamithyātvam MVibhr_52c	sarva-vijQAna-miTyAtvam MViBH-_52c
   sarvasaṃskāravicchedi- MVibhr_20a	sarva-saMskAra-vicCedi MViBH-_20a
   sa hi bhāti tathā ca saḥ MVibhr_129d	sa hi BAti taTA ca saH MViBH-_129d
   saṃbandhajñānasāpekṣaṃ MVibhr_91a	saMbanDa-jQAna-sApekzam MViBH-_91a
   saṃmatā khyātir anyathā MVibhr_47d	saMmatA KyAtiH anyaTA MViBH-_47d
   saṃvedyaṃ nanyarupatvam MVibhr_132a	saMvedyam nanyarupa-tvam MViBH-_132a
   saṃvedyākārasaṃtyāgo MVibhr_3c	saMvedya-AkAra-saMtyAgaH MViBH-_3c
   saṃskāracchedahetūnāṃ MVibhr_142c	saMskAra=-Ceda-hetUnAm MViBH-_142c
   saṃskārasyānuvartanam MVibhr_19b	saMskArasya-anuvartanam MViBH-_19b
   sākṣāt prāmāṇyaghātitā MVibhr_106d	sAkzAt prAmANya-GAti-tAH MViBH-_106d
   sādhayaty anyathā khyātiṃ MVibhr_157c	sADayati anyaTA KyAtim MViBH-_157c
