   yuktidīpikā //	yukti dIpikA //
   hi tatra niścaya utpadyate idaṃ taddravyamasti purato vā vyaktamastīti /	hi tatra niScayaH utpadyate idam tat dravyam asti puratas vA vyaktam asti iti /
   na cāniścitaṃ pramāṇajñānamiṣyate / kiṃcānyat  anavasthāprasaṃgāt / yadi	na ca aniScitam pramANa jQAnam izyate / kiMca anyat anavasTA prasaMgAt / yadi
   caivaṃjātīyato 'pi pratyayaḥ pramāṇamabhyupagamyate tenānavasthā prāpnoti	ca evaMjAtIyataH api pratyayaH pramANam aByupagamyate tena anavasTA prApnoti
   / kiṃ kāraṇam ? anavasthānādvikaraṇasya / kāmakrodhalobhayaviṣādadvārako	/ kim kAraNam ? anavasTAnAt vikaraNasya / kAma kroDa la uBaya vizAda dvArakaH 
   vikalpaḥ samyaṅmithyā vā yasmādaneka utpadyate tasmānna laukikaḥ pratyayaḥ	vikalpaH samyak miTyA vA yasmAt anekaH utpadyate tasmAt na lOkikaH pratyayaH
   pratibhā / yattu khalvidamucyate  abhyāsavāsanāpekṣāsatsvapi vyāghrādiṣu	pratiBA / yat tu Kalu idam ucyate aByAsa vAsana apekzA satsu api vyAGra Adizu
   pratipattirutpadyate / iti / satyametat / sā tu	pratipattiH utpadyate / iti / satyam etat / sA tu
   mithyājñānatvātpramāṇatvena na parigṛhyate ityayamadoṣaḥ / tasmāt siddhaṃ	miTyAjQAna tvAt pramANa tvena na parigRhyate iti ayam adozaH / tasmAt sidDam
   dṛṣṭādivyatirekeṇa rūpāntaranupapatteḥ pratibhāyāḥ pṛthaganabhidhānam /	dRzwa Adi vyatirekeNa rUpa antar anupapatteH pratiBAyAH pRTak anaBiDAnam /
   tataśca sarvapramāṇasiddhatvāt trividhaṃ pramāṇamiṣṭamiti sthitametat // 4	tatas ca sarva pramANa sidDa tvAt triviDam pramANam izwam iti sTitam etat // 4
             kārikā 5	kArikA 5
        āha  astvevametat / lakṣaṇānabhidhānāttadapratipattiḥ /	Aha astu evam etat / lakzaNa anaBiDAnAt tad apratipattiH /
   tasmāttadabhidhānam / anavasthitaṃ hi dṛṣṭādīnāṃ lakṣaṇam, dṛṣṭivaicitryāt	tasmAt tat aBiDAnam / anavasTitam hi dRzwa AdInAm lakzaNam, dRzwi vEcitryAt 
   / indriyārthasannikarṣotpannaṃ jñānamavyapadeśyamavyabhicāri	/ indriya arTa sannikarza utpannam jQAnam avyapadeSyam avyaBicAri
   vyavasāyātmakaṃ pratyakṣamiti kecit / tathātmendriyamano	vyavasAya Atmakam pratyakzam iti kecid / taTA Atma indriya manaH 
   'rthasannikarṣādyanniṣpadyate tadanyadityeke / satsamprayoge	arTa sannikarzAt yat nizpadyate tat anyat iti eke / sat samprayoge
   puruṣasyendriyāṇāṃ buddhijanma tatpratyakṣamityapare / śrotrādivṛttiriti	puruzasya indriyANAm budDi janma tad pratyakzam iti apare / Srotra Adi vRttiH iti
   vārṣagaṇāḥ / kalpanāpoḍhamityanye / itthamanavasthitaṃ lakṣaṇam / iti	vArza gaNAH / kalpanA apoXam iti anye / itTam anavasTitam lakzaNam / iti
   dṛṣṭādīnāmapratipattiḥ / tasmāllakṣaṇamabhidhānīyam /	dRzwa AdInAm apratipattiH / tasmAt lakzaNam aBiDAnIyam /
        ucyate 	ucyate 
        prativiṣayādhyavasāyo dṛṣṭam	prativizaya aDyavasAyaH dRzwam
        viṣiṇvantīti viṣayāḥ śabdādayaḥ / athavā viṣīyante upalabhyante	viziNvanti iti vizayAH Sabda AdayaH / aTavA vizIyante upalaByante
   ityarthaḥ / te ca dvividhāḥ / viśiṣṭā aviśiṣṭāśca / viśiṣṭāḥ	iti arTaH / te ca dviviDAH / viSizwAH aviSizwAH ca / viSizwAH
   pṛthivyādilakṣaṇā asmadādigamyāḥ / aviśiṣṭāśca tanmātralakṣaṇā	pRTivI Adi lakzaNAH asmad Adi gamyAH / aviSizwAH ca tanmAtra lakzaNA
   yogināmūrdhvasrotasāṃ ca gamyāḥ / vakṣyati caitadupariṣṭāt "buddhīndriyāṇi	yoginAm UrDvasrotasAm ca gamyAH / vakzyati ca etad uparizwAt "budDIndriyANi
   teṣāṃ pañca viśeṣāviśeṣaviṣayāṇi" (ISk 34) adhyavasāyo buddhiriti (ISk 23)	tezAm paQca viSeza aviSeza vizayANi" (ISj 34) aDyavasAyaH budDiH iti (ISj 23)
   ca vakṣyati / viṣayaṃ prati vartata iti prativiṣayam / kintat ? indriyam /	ca vakzyati / vizayam prati vartate iti prativizayam / kintat ? indriyam /
   tasmin yo 'dhyavasāyaḥ sa prativiṣayādhyavasāyaḥ /	tasmin yaH aDyavasAyaH sa prativizaya aDyavasAyaH /
   upāttaviṣayāṇāmindriyāṇāṃ vṛttyupanipāti sattvodrekādarajastamaskaṃ	upAtta vizayANAm indriyANAm vRtti upanipAti sattva udreka At arajaH tamaskam
   yatprakāśarūpaṃ tad dṛṣṭamiti yāvat / tad dṛṣṭaṃ pratyakṣamityarthaḥ /	yad prakASa rUpam tat dRzwam iti yAvat / tat dRzwam pratyakzam iti arTaH /
   etatpramāṇam / anena yaścetanāśakteranugrahastatphalam / prameyāḥ	etad pramANam / anena yaH cetanA SakteH anugrahaH tad Palam / prameyAH
   śabdādayaḥ / evamuttaratrāpi pramāṇaphalabhāvo draṣṭavyaḥ /	Sabda AdayaH / evam uttaratra api pramANa Pala BAvaH drazwavyaH /
        āha  kiṃ punaridaṃ pramāṇātphalamarthāntaramāhosvidanarthāntaram ?	Aha kim punar idam pramANAt Palam arTa antaram AhosviD anarTAntaram ?
        kathaṃ tāvat bhavitumarhati anarthāntaramiti ?	kaTam tAvat Bavitum arhati anarTa antaram iti ?
        āha  kasmāt ? adhigamarūpatvāt / adhigamarūpaṃ hi jñānaṃ,	Aha kasmAt ? aDigama rUpa tvAt / aDigama rUpam hi jQAnaM,
   tasyotpattyaivādhigato 'rtha iti kutaḥ phalabheda iti ?	tasya utpattyA eva aDigataH arTaH iti kutas Pala BedaH iti ?
        ucyate  karaṇabhāva idānīṃ kathaṃ syāt ?	ucyate karaNa BAvaH idAnIm kaTam syAt ?
        āha  karaṇabhāvastu prasiddhivaśāt / viṣayanirbhāsā hi	Aha karaNa BAvaH tu prasidDi vaSAt / vizaya nirBAsAH hi
   jñānasyotpattiḥ adhigamarūpāpi loke savyāpāreva pratīteti kalpanayā	jQAnasya utpattiH aDigama rUpA api loke savyApArA iva pratItA iti kalpanayA
   karaṇabhāvo 'bhyupagamyate na paramārthataḥ /	karaNa BAvaH aByupagamyate na paramArTataH /
        ucyate  phalasyārthāntarabhāvaḥ / adhikaraṇabhedāt / buddhyāśrayaṃ hi	ucyate Palasya arTa antara BAvaH / aDikaraNa BedAt / budDi ASrayam hi
   pramāṇamadhyavasāyākhyam, puruṣāśrayaṃ phalamanugrahalakṣaṇam / na ca	pramANa maDyavasAya AKyam, puruza ASrayam Palam anugraha lakzaNam / na ca
   bhinnādhikaraṇayorekatvamarhati bhavitum / yattūktamadhigamarūpatvāt	Binna aDikaraNayoH ekatvam arhati Bavitum / yat tu uktam aDigama rUpa tvAt
   jñānameva phalamiti tadanupapannam / kasmāt ? asiddhatvāt / yathaiva hi	jQAnam eva Palam iti tad anupapannam / kasmAt ? asidDa tvAt / yaTA eva hi
   ghaṭādayo 'rthā jñānamantareṇa na tadrūpā nātadrūpā iti na śakyaṃ	Gawa AdayaH arTAH jQAnam antareNa na tad rUpAH na atad rUpAH iti na Sakyam
   pratipattum, evaṃ jñānamapi puruṣapratyayamantareṇa na viṣayarūpaṃ	pratipattum, evam jQAnam api puruza pratyayam antareNa na vizaya rUpam
   nāviṣayarūpam / tathā ca śāstram  "tatsaṃyogādacetanaṃ cetanāvadiva	na avizaya rUpam / taTA ca SAstram "tad saMyogAt acetanam cetanA vat iva
   liṅgamiti" (ISk 20) vacanāt / ataḥ puruṣapratyayamantareṇa	liFga miti" (ISj 20) vacanAt / atas puruza pratyayam antareNa
   jñānamadhigamarūpamiti sāṃkhyaṃ pratyasiddhametat / ubhayapakṣaprasiddhena	jQAnam aDigama rUpam iti sAMKyam pratyasidDam etat / uBaya pakza prasidDena
   ca vyavahāraḥ / puruṣābhāvādayuktamiti cenna uttaratra pratipādanāt /	ca vyavahAraH / puruza aBAvAt ayuktam iti ced naH uttaratra pratipAdanAt /
   saṃghātaparārthatvādityatra puruṣāstitvaṃ pratipādayiṣyāmaḥ / tasmāt	saMGAta para arTa tvAt iti atra puruza astitvam pratipAdayizyAmaH / tasmAt 
   siddhamadhyavasāyapramāṇavādinaḥ pramāṇātphalamarthāntaramiti /	sidDa maDya vasAya pramANa vAdinaH pramANAt Palam arTa antaram iti /
        āha  yadi hyadhyavasāyaḥ pramāṇaṃ kathaṃ laukikaḥ prayogo 'rthavān	Aha yadi hi aDyavasAyaH pramANam kaTam lOkikaH prayogaH arTavAn
   bhavati pratyakṣaṃ vastu iti ?	Bavati pratyakzam vastu iti ?
        ucyate  viṣaye pratyakṣaśabdaḥ tatpramitatvāt tatkāraṇātvācca / yathā	ucyate vizaye pratyakza SabdaH tad pramita tvAt tad kAraNA tvAt ca / yaTA
   prasthapramito vrīhirāśiḥ prasthaśabdavācyo bhavati evaṃ pratyakṣapramito	prasTa pramitaH vrIhi rASiH prasTa Sabda vAcyaH Bavati evam pratyakza pramitaH 
   'rthaḥ pratyakṣaśabdavācyaḥ syāt /	arTaH pratyakza Sabda vAcyaH syAt /
        āha, na / anyatrāpi tatprasaṅgāt / yadi pratyakṣapramitatvādviṣaye	Aha, na / anyatra api tad prasaFgAt / yadi pratyakza pramita tvAt vizaye
   pratyakṣaśabdastena tarhi anumāmapramito 'rtho 'numānamiti syāt /	pratyakza SabdaH tena tarhi anumAmapramitaH arTaH anumAnam iti syAt /
   śabdapramito 'rthaḥ śabda iti / na cāgnisvargādayaḥ pramāṇaśabdavācyā	Sabda pramitaH arTaH SabdaH iti / na ca agni svarga AdayaH pramANa Sabda vAcyA
   bhavanti / tasmādviṣamaliṅgaliṅgipūrvakam, yogināṃ ca dhyānabhūmikāsu	Bavanti / tasmAt vizama liFga liFgi pUrva kam, yoginAm ca DyAna BUmikAsu
   viharatāmanumānāgamātītaṃ prātibhaṃ yadvijñānamutpadyate tadupasaṃkhyeyaṃ	viharatAm anumAna Agama atItam prAtiBam yat vijQAnam utpadyate tad upasaMKyeyam
   syāt / kutaḥ ? na hi sukhādayaḥ śrotrādivṛttigrāhyāḥ, yogināṃ cātindriyaṃ	syAt / kutas ? na hi suKa AdayaH Srotra Adi vRtti grAhyAH, yoginAm ca atindriyam
   jñānamiti / yathānyāsaṃ tu kriyamāṇe te 'pi viṣayāḥ, teṣāṃ yo	jQAnam iti / yaTAnyAsam tu kriyamANe te api vizayAH, tezAm yaH 
   'dhyavasāyastasya pratyakṣatvaṃ kena vāryate ?	aDyavasAyaH tasya pratyakza tvam kena vAryate ?
        ucyate  tadabhāvāditaratrāpravṛttiḥ / pramāṇāntare tu nāsti sāmānyaṃ	ucyate tad aBAvAt itaratra apravRttiH / pramANa antare tu na asti sAmAnyam
   nimittam / katham ? anumīyate 'nenetyanumānam / na cāgnyādibhiḥ	nimittam / kaTam ? anumIyate anena iti anumAnam / na ca agni AdiBiH
   kaścidanumīyata ityatastulyaśabdavācyatā na bhavati /	kaScid anumIyate iti atas tulya Sabda vAcya tA na Bavati /
        āha  adhyavasāyagrahaṇaṃ kimartham ?	Aha aDyavasAya grahaNam kim arTam ?
        ucyate  atiprasaṃganivṛttyartham / prativiṣayaṃ dṛṣṭamitīyatyucyamāne	ucyate atiprasaMga nivRtti arTam / prativizayam dRzwa mitIyati ucyamAne
   yāvatkiṃcit prativiṣayaṃ vartate 'nugrāhakatvenopaghātatvena vā tat sarvaṃ	yAvat kiMcid prativizayam vartate anugrAhaka tvena upaGAta tvena vA tat sarvam
   dṛṣṭamityetadāpadyate / adhyavasāyagrahaṇe punaḥ kriyamāṇe na doṣo bhavati	dRzwam iti etat Apadyate / aDyavasAya grahaNe punar kriyamANe na dozaH Bavati
        āha  na, pramāṇādhikārāt / nādhyavasāyaśabdasya prayojanam / kutaḥ ?	Aha na, pramANa aDikArAt / na aDyavasAya Sabdasya prayojanam / kutas ?
   pramāṇādhikāro 'yam / na cādhyavasāyādṛte yatkiṃcidviṣayaṃ pratipadyate	pramANa aDikAraH ayam / na ca aDyavasAyAt Rte yat kiMcid vizayam pratipadyate
   tena kiṃcit pramīyate / tena vayaṃ	tena kiMcid pramIyate / tena vayam
   sāmarthyādadhyavasāyamevābhisaṃbhantyasyāmaḥ / tadyathā  adhyayanādhikāre	sAmarTyAt aDyavasAyam eva aBisaMBanti asyAmaH / tat yaTA aDyayana aDikAre
   brāhmaṇā ānīyantāmityukte ya evādhīyante ta evānīyante /	brAhmaNAH AnIyantAm iti ukte ye eva ADIyante te eva AnIyante /
        ucyate  karaṇāntarāṇāṃ tu sandehanivṛttyartham / evaṃ tarhi	ucyate karaNa antarANAm tu sandeha nivRtti arTam / evam tarhi
   śrotrādīnāmanyatamamantaḥkaraṇaṃ cetyetad dvāradvāribhāvena catuṣṭayaṃ	Srotra AdInAm anyatamam antaHkaraNam ca iti etat dvAra dvAri BAvena catuzwayam
   viṣayaṃ prati vartate / tasmādadhyavasāyagrahaṇaṃ kriyate sandeho mā	vizayam prati vartate / tasmAt aDyavasAya grahaNam kriyate sandehaH mA
   bhūditi /	BUt iti /
        āha  astvatra sandehaḥ, naikena kenacit kaścidviṣaya upādīyate / tena	Aha astu atra sandehaH, na ekena kenacid kaScid vizayaH upAdIyate / tena
   vayaṃ sarveṣāṃ pratyakṣatvaṃ pratipatsyāmahe /	vayam sarvezAm pratyakza tvam pratipatsyAmahe /
        ucyate  sarvābhyupagame hi śāstrahāniḥ / yadi punaḥ sarveṣāmeva	ucyate sarva aByupagame hi SAstra hAniH / yadi punar sarvezAm eva
   pramāṇatvamabhyupagamyate tena yacchāstramekameva darśanaṃ khyātireva	pramANa tvam aByupagamyate tena yat SAstram ekam eva darSanam KyAtiH eva
   darśanamiti taddhīyate / vakṣyati cācāryaḥ "ete pradīpakalpāḥ" (ISk 36),	darSanam iti tat hIyate / vakzyati ca AcAryaH "ete pradIpa kalpAH" (ISj 36),
   "sarvaṃ pratyupabhogaṃ yasmāt puruṣasya sādhayati buddhiriti" (ISk 37)	"sarvam pratyupaBogam yasmAt puruzasya sADayati budDiH iti" (ISj 37)
   tadvirudyate / tasmādadhyavasāyagrahaṇaṃ kartavyam / sandeho mā bhūditi /	tat virudyate / tasmAt aDyavasAya grahaNam kartavyam / sandehaH mA BUt iti /
        āha  na, sandehamātrametad bhavati / sarvasandeheṣu	Aha na, sandeha mAtram etat Bavati / sarva sandehezu
   caitadupatiṣṭhate  vyākhyānato viśeṣapratipattirna hi saṃdehādalakṣaṇam /	ca etat upatizWate vyAKyAnataH viSeza pratipattiH na hi saMdehAt alakzaNam /
   tatrādhyavasāyo dṛṣṭamiti vyākhyāsyāmaḥ /	tatra aDyavasAyaH dRzwam iti vyAKyAsyAmaH /
        ucyate  muktasaṃśayaṃ cendriyavṛttipratipatteḥ / syādetat, yadyatra	ucyate mukta saMSayam ca indriya vRtti pratipatteH / syAt etat, yat i atra
   sandehaḥ syāt / naivātra sandehaḥ prāptaḥ, kintarhi śrotrātivṛttereva	sandehaH syAt / na eva atra sandehaH prAptaH, kintarhi Srotra ativRtteH eva
   grahaṇam /	grahaNam /
        āha  kiṃ punaḥ kāraṇaṃ yena nimittāviśeṣe 'pi śrotrādivṛtterevātra	Aha kim punar kAraNam yena nimitta aviSeze api Srotra Adi vRtteH eva atra
   grahaṇaṃ prāpnoti, nāntaḥkaraṇasyaiva pratyakṣatvam ?	grahaNam prApnoti, na antaHkaraNasya eva pratyakza tvam ?
        ucyate  tatra ca mukhyā śrotrādivṛttiḥ / kasmāt ?	ucyate tatra ca muKyA Srotra Adi vRttiH / kasmAt ?
   sākṣādviṣayagrahaṇasāmarthyāt / nāntaḥkaraṇam, taddvāreṇa pratipatteḥ /	sAkzAt vizaya grahaNa sAmarTyAt / na antaHkaraNam, tad dvAreNa pratipatteH /
   gauṇamukhyayośca mukhye sampratipattiḥ / tadyathā  gauranubandhyaḥ ajo	gONa muKyayoH ca muKye sampratipattiH / tat yaTA gOH anubanDyaH ajaH 
   'gnīṣomīya iti vāhīko nānubadhyate /	agnIzomIya iti vAhIkaH na anubaDyate /
        āha  yadīyaṃ śrotrādivṛttireva pratyakṣamityabhupeyate ka evaṃ sati	Aha yadi iyam Srotra Adi vRttiH eva pratyakzam iti aBupeyate kaH evam sati
   doṣaḥ syāt ?	dozaH syAt ?
        ucyate  rāgādiviṣayaṃ yadvijñānaṃ liṅgaliṅgipūrvakam, yogināṃ ca	ucyate rAga Adi vizayam yat vijQAnam liFga liFgi pUrva kam, yoginAm ca
   dhyānabhūmikāsu viharatāmanumānāgamatītaṃ prātibhaṃ yadvijñānamutpadyate	DyAna BUmikAsu viharatAm anumAnAgam atItam prAtiBam yat vijQAnam utpadyate
   tadupasaṃkhyeyaṃ syāt / kutaḥ ? na hi sukhādayaḥ śrotrādivṛttibāhyāḥ,	tad upasaMKyeyam syAt / kutas ? na hi suKa AdayaH Srotra Adi vRtti bAhyAH,
   yogināṃ cātīndriyaṃ jñānamiti / yathānyāsaṃ tu kriyamāne te 'pi viṣayāḥ,	yoginAm ca atIndriyam jQAnam iti / yaTAnyAsam tu kriyamAne te api vizayAH,
   teṣāṃ yo 'dhyavasāyastasya pratyakṣatvaṃ kena vāryate ?	tezAm yaH aDyavasAyaH tasya pratyakza tvam kena vAryate ?
        āha  prativiṣayagrahaṇaṃ tarhi kimartham ?	Aha prativizaya grahaNam tarhi kimarTam ?
        ucyate   prativiṣayagrahaṇamasadvyudāsārtham / adhyavasāyo	ucyate  prativizaya grahaNam asat vyudAsa arTam / aDyavasAyaH 
   dṛṣṭamitīyatyucyamāne mṛgatṛṣṇikālātacakragandharvanagarādiṣu api yo	dRzwa mitIyati ucyamAne mRgatRzNikA alAta cakra ganDarvanagara Adizu api yaH 
   'dhyavasāyastad dṛṣṭamiti / prativiṣayagrahaṇāttu teṣāṃ vyudāsaḥ kṛto	aDyavasAyaH tat dRzwam iti / prativizaya grahaNAt tu tezAm vyudAsaH kRtaH 
   bhavati /	Bavati /
        āha  yadyevaṃ viṣayādhyavasāya ityeva cocyatām / kimpratigrahaṇena ?	Aha yadi evam vizaya aDyavasAyaH iti eva ca ucyatAm / kimpratigrahaNena ?
        ucyate  pratigrahaṇaṃ sannikarṣārtham / viṣayādhyavasāyo	ucyate pratigrahaNam sannikarza arTam / vizaya aDyavasAyaH 
   dṛṣṭamitīyatyucyamāne viṣayamātre sampratyayaḥ syāt / pratigrahaṇe punaḥ	dRzwa mitIyati ucyamAne vizaya mAtre sampratyayaH syAt / pratigrahaNe punar 
   kriyamāṇe pratirābhimukhye vartate / tena sannikṛṣṭendriyavṛttyupanipātī	kriyamANe pratirABi muKye vartate / tena sannikRzwa indriya vRtti upanipAtI
   yo 'dhyavasāyastad dṛṣṭamityupalabhyate /	yaH aDyavasAyaH tat dRzwam iti upalaByate /
        āha  kasya punaratīndriyasannikarṣe pratyakṣatvaṃ prāpnoti ?	Aha kasya punar atIndriya sannikarze pratyakza tvam prApnoti ?
        ucyate  anumānasya / kasmāt ? taddhi liṅgadarśanādasannikṛṣṭe viṣaye	ucyate anumAnasya / kasmAt ? tat hi liFga darSanAt asannikRzwe vizaye
   bhavati /	Bavati /
        āha  anumānasyāprasaṅgaḥ / sāmānyavihitasya viśeṣavihitena bādhanāt /	Aha anumAnasya aprasaFgaH / sAmAnya vihitasya viSeza vihitena bADanAt /
   sāmānye hi viṣayamātre 'dhyavasāyasya pratyakṣatvaṃ vidhāya viśeṣe	sAmAnye hi vizaya mAtre aDyavasAyasya pratyakza tvam viDAya viSeze
   liṅgaliṅgipūrvake 'numānaṃ śāsti / sāmānyavihitaṃ ca viśeṣavihitena	liFga liFgi pUrvake anumAnam SAsti / sAmAnya vihitam ca viSeza vihitena
   bādhyate, yathā taddhi brāhmaṇebhyo dīyatāṃ takraṃ kauṇḍinyāyeti /	bADyate, yaTA tat hi brAhmaNeByaH dIyatAm takram kONxinyAya iti /
        ucyate  smṛtestarhi pratyakṣatvaṃ prāpnoti / tatrāyamapavādo	ucyate smRteH tarhi pratyakza tvam prApnoti / tatra ayam apavAdaH 
   nābhiniviśata iti /	na aBiniviSataH iti /
        āha na, smṛteḥ, pramāṇādhikārāt / pramāṇādhikāro 'yam / na ca smṛtyā	Aha na, smRteH, pramANa aDikArAt / pramANa aDikAraH ayam / na ca smRtyA
   kiṃcit pramīyate / smṛteḥ pramite 'rthe prādurbhāvāt /	kiMcid pramIyate / smRteH pramite arTe prAdurBAvAt /
        ucyate  saṃśayasya tarhi prāpnoti /	ucyate saMSayasya tarhi prApnoti /
        na saṃśayasya, adhyavasāyagrahaṇāt / adhyavasāyo hi dṛṣṭamityucyate /	na saMSayasya, aDyavasAya grahaNAt / aDyavasAyaH hi dRzwam iti ucyate /
   na ca saṃśayo 'dhyavasāyo 'niścitatvāt /	na ca saMSayaH aDyavasAyaH aniScita tvAt /
        ucyate  indriyāntarākūtaviṣaye tu prasaṅgaḥ / evaṃ	ucyate indriya antara AkUta vizaye tu prasaFgaH / evam
   tarhīndriyārthasannikṛṣṭendriyavṛttyupanipātīti doṣo na bhavati /	tarhi indriya arTa sannikRzwa indriya vRtti upanipAtI iti dozaH na Bavati /
        āha  rāgādyupasaṃkhyānam / yadi sannikṛṣṭendriyavṛttyupanipātī yo	Aha rAga Adi upasaMKyAnam / yadi sannikRzwa indriya vRtti upanipAtI yaH 
   'dhyavasāyastad dṛṣṭamityabhyupeyate, tena rāgādiviṣayaṃ	aDyavasAyaH tat dRzwam iti aByupeyate, tena rAga Adi vizayam
   vijñānamatīndriyatvātpratyakṣaṃ na prāpnoti / tasyopasaṃkhyānam kartavyam	vijQAnam atIndriya tvAt pratyakzam na prApnoti / tasya upasaMKyAnam kartavyam
        ucyate  na tarhīdaṃ pratigrahaṇamindriyaviśeṣaṇaṃ viṣayaṃ viṣayaṃ	ucyate na tarhi idam pratigrahaNam indriya viSezaNam vizayam vizayam
   prati yo vartate tasmin yo 'dhyavasāyastad dṛṣṭamiti / kintarhi 	prati yaH vartate tasmin yaH aDyavasAyaH tat dRzwam iti / kintarhi 
   adhyavasāyaviśeṣaṇaṃ viṣayaṃ viṣayaṃ prati yo 'dhyavasāya iti /	aDyavasAya viSezaNam vizayam vizayam prati yaH aDyavasAyaH iti /
        āha  adhyavasāyaviśeṣaṇamiti cet, śabdādyupasaṃkhyānam /	Aha aDyavasAya viSezaNam iti cet, Sabda Adi upasaMKyAnam /
   śabdādīnāmeva tena pratyakṣatvaṃ prāpnoti / teṣāmupasaṃkhyānaṃ kartavyaṃ	Sabda AdInAm eva tena pratyakza tvam prApnoti / tezAm upasaMKyAnam kartavyam
   prāpnoti / kiṃ kāraṇam ? antaḥkaraṇasya taiḥ sannikarṣānupapatteḥ /	prApnoti / kim kAraNam ? antaHkaraNasya tEH sannikarza anupapatteH /
   pratigrahaṇaṃ sannikarṣārthamiti pūrvamatisṛṣṭaṃ bhavatā /	pratigrahaNam sannikarza arTam iti pUrvam atisRzwam BavatA /
   taccedānīmantaḥkaraṇaviśeṣaṇam / na cāntaḥkaraṇasya śabdādibhiḥ sannikarṣa	tat ca idAnIm antaHkaraNa viSezaNam / na ca antaHkaraNasya Sabda AdiBiH sannikarza
   upapadyate, śrotrādivaiyarthyaprasaṅgāt /	upapadyate, Srotra Adi vEyarTya prasaFgAt /
   dvāridvārabhāvasyāpaghātaprasaṅgācca / tasmātsudūramapi gatvā	dvAri dvAra BAvasya apaGAta prasaFgAt ca / tasmAt su dUram api gatvA
   pratigrahaṇaṃ pratyākhyānānna mucyate / rāgādyupasaṃkhyānādveti /	pratigrahaNam pratyAKyAnAt na mucyate / rAga Adi upasaMKyAnAt vA iti /
        ucyate  astu tarhīndriyāṇāṃ prati viṣayagrahaṇaṃ viśeṣaṇam /	ucyate astu tarhi indriyANAm prati vizaya grahaNam viSezaNam /
   yattūktaṃ rāgādīnāmupasaṃkhyānaṃ kartavyamiti tatra brūmaḥ /	yat tu uktam rAga AdInAm upasaMKyAnam kartavyam iti tatra brUmaH /
   ekaśeṣanirdeśāt siddham / evaṃ tarhi prativiṣayādhyavasāyaśca	eka Seza nirdeSAt sidDam / evam tarhi prativizaya aDyavasAyaH ca
   prativiṣayādhyavasāyaśca prativiṣayādhyavasāya iti sarūpāṇāmekaśeṣaḥ	prativizaya aDyavasAyaH ca prativizaya aDyavasAyaH iti sarUpANAm eka SezaH
   kariṣyate / tatraikena bahiraṅgasyaindriyasya pratyakṣasya parigrahaḥ /	karizyate / tatra ekena bahis aFgasya Endriyasya pratyakzasya parigrahaH /
   dvitīyenāntaraṅgasya prātibhasyeti rāgādiviṣayaṃ yogināṃ ca yadvijñānaṃ	dvitIyena antaraFgasya prAtiBasya iti rAga Adi vizayam yoginAm ca yat vijQAnam
   tat saṃgṛhītaṃ bhavatīti vyākhyātaṃ pratyakṣam /	tat saMgRhItam Bavati iti vyAKyAtam pratyakzam /
        āha  anumānamidānīṃ vaktavyam /     	Aha anumAnam idAnIm vaktavyam /
        ucyate 	ucyate 
        trividhamanumāmamākhyātam /	triviDam anumAmam AKyAtam /
        anumānaṃ triprakāramācāryairākhyātam / pūrvavat, śeṣavat,	anumAnam tri prakAram AcAryEH AKyAtam / pUrvavat, Sezavat,
   sāmānyatodṛṣṭaṃ ca / tatra pūrvamiti kāraṇamucyate / yasya hi yat kāraṇaṃ	sAmAnyatodRzwam ca / tatra pUrvam iti kAraNam ucyate / yasya hi yat kAraNam
   sa loke tatpūrvaka ityucyate / yathā tantupūrvakaḥ paṭo, devadattapūrvako	sa loke tad pUrvakaH iti ucyate / yaTA tantu pUrvakaH pawo, devadatta pUrva kaH 
   yajñadatta iti / pūrvamasyāstīti pūrvavat / śeṣa iti vikāranāma, śiṣyata	yajQadattaH iti / pUrvam asya asti iti pUrvavat / SezaH iti vikAra nAma, Sizyata
   iti kṛtvā / tathā coktam  na śeṣo 'gneranyasya jātamityasti /	iti kRtvA / taTA ca uktam na SezaH agneH anyasya jAtam iti asti /
   nāpatyamanyena jātaṃ sambhavatītyarthaḥ / śeṣo 'syāstīti śeṣavat /	na apatyam anyena jAtam samBavati iti arTaH / SezaH asya asti iti Sezavat /
        tatra pūrvavat yadā kāraṇamabhyuditaṃ bhaviṣayattvaṃ kāryasya	tatra pUrvavat yadA kAraNam aByuditam Bavizayat tvam kAryasya
   pratipadyate / tadyathā meghodaye bhaviṣyattvaṃ vṛṣṭeḥ /	pratipadyate / tat yaTA meGa udaye Bavizyat tvam vRzweH /
        āha  naitadastyudāharaṇamanekāntāt / na hi meghodayo 'vaśyaṃ vṛṣṭeḥ	Aha na etat asti udAharaNam anekAntAt / na hi meGa udayaH avaSyam vRzweH
   kāraṇaṃ bhavati, vāyvādinimittapratibandhasambhavāt /	kAraNam Bavati, vAyu Adi nimitta pratibanDa samBavAt /
        ucyate  yadi tarhi kāraṇaśaktiṃ	ucyate yadi tarhi kAraNa Saktim
   sahakāriśaktyantarānugṛhītāmapratiyoginīṃ dṛṣṭvā kāryasya vyaktiṃ	sahakAri Sakti antara anugRhItAm apratiyoginIm dRzwvA kAryasya vyaktim
   pratipadyate / tadyathā yadā lauhadaṇḍādisādhanasampanne vyāpāravatā	pratipadyate / tat yaTA yadA lOha daNxa Adi sADana sampanne vyApAravatA
   kumbhakāreṇādhiṣṭhitāṃ mṛdamupalabhya ghaṭasya, tadā pūrvavat /	kumBakAreNa aDizWitAm mRdam upalaBya Gawasya, tadA pUrvavat /
