   1. daivapuruṣākārādhyāye 21 verses	1. dEva-puruza-AkAra-aDyAye 21 verseH-
   yasya/	yasya/
   YY_4.25cd/.khalajanajanite 'va lokayātrā na bhavati yasya cirāya	YY_4.25cd/.-Kala-jana-janite ava lokayAtrA na Bavati yasya cirAya
   śatrusenā//	Satru-senA//
   YY_4.26ab/.kujaravijayute 'ribhe[K.'tibhe] gatānāṃ sukhasahajopagatiḥ	YY_4.26ab/.kujara-vija-yute ari-Be[K.-ati-Be] gatAnAm suKa-sahaja-upagatiH
   sitārkajīvaiḥ/	sita-arka-jIvEH/
   YY_4.26cd/.ripubalam[K.parabalam] upayāti nāśam āśu śrutam adhanasya	YY_4.26cd/.ripu-bala-m[K.-para-balam] upayAti nASam ASu Srutam aDanasya
   kuṭumbacintayaiva[K.kuṭumbacintaye 'va]//	kuwumba-cintayA-eva[K.kuwumba-cintaye ava]//
   YY_4.27ab/.lagnatridharmāridaśāyageṣu sitārkijīvendukujendujeṣu/	YY_4.27ab/.lagna-tri-Darma-ari-daSAyagezu sita-arki-jIva-indu-kuja-indu-jezu/
   YY_4.27cd/.sārke budhe ca 'ribalaṃ vināśam āyāti guhyaṃ piśuneṣv ivo	YY_4.27cd/.sa-arke buDe ca ari-balam vinASam AyAti guhyam piSunezu iva-u
   'ktam//	aktam//
   YY_4.28ab/.ekāntararkṣe bhṛgujāt kujād vā saumye sthite sūryasutād guror	YY_4.28ab/.eka-antara-Rkze BRgujAt kujAt vA sOmye sTite sUrya-sutAt guroH-
   vā/	vA/
   YY_4.28cd/.pradhvasyate[K.pradhvaṃsate] 'rir na cirād gatasya veṣādhiko	YY_4.28cd/.-praDvasyate[-K.-praDvaMsate] ariH na cirAt gatasya veza-aDikaH-
   bhṛtya ive ''śvarasya//	BRtyaH ive aaSvarasya//
   YY_4.29a[K.30a]/.ekāntarā yadi gatā bhaveneṣu ṣaṭsu	YY_4.29a[K.30a]/.eka-antarA yadi gatAH Bavenezu zawsu
   pṛṣṭhasthitasya[K.pṛṣṭhasthitaś ca] suraśatruguroḥ[K.suraśatruguruḥ]	pRzWa-sTitasya[K.-pRzWa-sTitaH ca] sura-Satru-guroH[K.-sura-Satru-guruH]
   prayāṇe/	prayANe/
   YY_4.29b[K.30b]/.yātasya nātra ripavo prahasanti vīryaṃ viṣṇor	YY_4.29b[K.30b]/.yAtasya na-atra ripavaH prahasanti vIryam vizNoH-
   ivoddhṛtagadārathavādapāṇeḥ//	iva-udDRta-gadA-raTa-vAda-pANeH//
   YY_4.30ab/.nirantaram yadi bhavaneṣu pañcasu grahāḥ sthitā divasakareṇa	YY_4.30ab/.-nirantaram yadi Bavanezu paQcasu grahAH sTitAH divasakareNa
   varjitāḥ/	varjitAH/
   YY_4.30cd/.yiyāsator[K.yiyāsato] yadi ca bhavanti pṛṣṭhatas tadā parān	YY_4.30cd/.yiyAsa-tor[-K.yiyAsato] yadi ca Bavanti pRzWatas tadA parAn
   balabhid iva 'vakṛntati//	balaBid iva avakRntati//
   YY_4.31ab/.bṛguputramahendragurū gamane sahitau yadi bhaṃ yugapat	YY_4.31ab/.-bRgu-putra-mahA-indra-gurU gamane sahitO yadi Bam yugapad-
   tyajataḥ/	tyajataH/
   YY_4.31cd/.jñagurū yadi vā 'ṃśakam ekagatau[K.ekam itau] samare	YY_4.31cd/.-jQa-gurU yadi vA aMSakam eka-gatO[-K.ekam itO] samare
   surarāḍ[K.amararāḍ] iva bhāti tadā//	sura-rAj-[K.amara-rAx] iva BAti tadA//
   YY_4.32ab/.nistriṃśavakropagate ca vakre vakreṇa vakraṃ nṛpatiṃ[K.nṛpatir]	YY_4.32ab/.-nistriMSa-vakra-upagate ca vakre vakreNa vakram nRpatiM[K.nRpatiH-]
   nihanyāt/	nihanyAt-/
   YY_4.32cd/.pānaprasaktaṃ niśi vā prasuptaṃ tasyai 'va ca 'ste yadi vā	YY_4.32cd/.-pAna-prasaktam niSi vA prasuptam tasyE ava ca aste yadi vA
   'ṃśakaḥ syāt//	aMSakaH syAt-//
   YY_4.33ab/.putro dharitryā dinakṛt sutaś ca yadā tyajetāṃ yugapan	YY_4.33ab/.putraH DaritryA dinakRt sutaH ca yadA tyajetAm yugapan
   navāṃśam/	nava-aMSam/
   YY_4.33cd/.tadā hy avaskandagato narendro bhuṅkte ripūn tārkṣya iva	YY_4.33cd/.-tadA hi avaskanda-gataH narendraH BuFkte ripUn tArkzyaH iva
   dvijihvān//	dvijihvAn//
   YY_4.34ab/.budhabhārgavamadhyagate himagau hibukopagate ca nṛpaḥ	YY_4.34ab/.buDa-BArgava-maDya-gate himagO hibuka-upagate ca nRpaH
   praviśan[K.pravasan]/	praviSan[-K.-pravasan]/
   YY_4.34cd/.puruhūtadiśaṃ yadi vā 'ntakṛtaḥ puruhūtayamapratimo bhavati//	YY_4.34cd/.-puruhUta-diSam yadi vA anta-kRtaH puruhUtayama-pratimaH Bavati//
   YY_4.35ab/.sitendujau caturthagau niśākaraś ca saptame/	YY_4.35ab/.sita-indu-jO caturTa-gO niSAkaraH ca saptame/
   YY_4.35cd/.yadā tadā gato nṛpaḥ praśāsty arīn vinā raṇān[K.raṇāt]//	YY_4.35cd/.yadA tadA gataH nRpaH praSAsti arIn vinA raNa-an[K.raNAt]//
   YY_4.36ab/.śaśini caturthagṛhaṃ samupete budhasahite 'stagate bhṛguputre/	YY_4.36ab/.SaSini caturTa-gRham samupete buDa-sahite asta-gate BRgu-putre/
   YY_4.36cd/.gamanam avāpya patir manujānāṃ jayati ripūn samareṇa vinai	YY_4.36cd/.-gamanam avApya patiH manujAnAm jayati ripUn samareNa vinE
   'va//	ava//
   YY_4.37ab/.kṣititanayayutān navāṃśakād yadi śatame[K.śatago] bhṛgujo	YY_4.37ab/.kziti-tanaya-yutAn nava-aMSakAt yadi Satame[-K.-Sata-go] BRgujaH-
   'thavā guruḥ/	aTavA guruH/
   YY_4.37cd/.śataguṇam api hanty arer balaṃ viṣam iva kāyam	YY_4.37cd/.-SataguNam api hanti areH balam vizam iva kAyam
   asṛkpathopapannam[K.asṛkpathopagam]//	asRk-paTa-upapannam[K.a-sRk-paTA-upagam]//
   YY_4.38ab/.śatāṃśakād ūrdhvam avasthite budhe yamārayos tatra gatasya	YY_4.38ab/.Sata-aMSakAt UrDvam avasTite buDe yamArayoH tatra gatasya
   bhūbhṛtaḥ/	BUBRtaH/
   YY_4.38cd/.prayāti nāśaṃ samare dviṣaḍ balaṃ yathā 'rthibhāvopagatasya	YY_4.38cd/.-prayAti nASam samare dvi-zaz balam yaTA arTi-BAva-upagatasya
   gauravam//	gOravam//
   YY_4.39ab/.nakṣatram ekaṃ yugapat praviṣṭau yadā dharitrītanayāmarejyau/	YY_4.39ab/.nakzatram ekam yugapad pravizwO yadA DaritrI-tanayAmarejyO/
   YY_4.39cd/.kuryāt tadā 'ntaṃ dviṣatāṃ balasya drauṇir yathā 'rer niśi	YY_4.39cd/.kuryAt tadA antam dvizatAm balasya drONiH yaTA areH niSi
   sauptikena//	sOptikena//
   YY_4.40ab/.ṛkṣaṃ gurujñau budhabhārgvau vā yadā praviṣṭau yugapat sametau/	YY_4.40ab/.Rkzam guru-jQO buDa-BArgvO vA yadA pravizwO yugapad sametO/
   YY_4.40cd/.arthān avāpnoti tadā vicitrān chātraḥ sutīrthān[K.sutīrthād]	YY_4.40cd/.arTAn avApnoti tadA vicitrAn CAtraH sutIrTa-an[K.sutIrTa-At-]
   gurupūjayaiva[K.gurupūjaye 'va]//	guru-pUjayA-eva[K.-guru-pUjaye ava]//
   YY_4.41ab/.yātrādigīśād yadi pañcame 'nyo gṛhe graho vīryayuto 'vatiṣṭhet/	YY_4.41ab/.yAtra-Adi-gISAt yadi paQcame anyaH gRhe grahaH vIrya-yutaH avatizWet-/
   YY_4.41cd/.samudyatāśākathitāni bhaṅktvā phalāni vīryān nayati	YY_4.41cd/.-samudyata-ASA-kaTitAni BaFktvA PalAni vIryAt nayati
   svakāṣṭhām//	sva-kAzWAm//
   YY_4.42ab/.eko 'pi jīvajñasitāsitānāṃ kujāt trikoṇe ravito 'tha ve 'nduḥ/	YY_4.42ab/.ekaH api jIva-jQa-sita-asitAnAm kujAt trikoNe ravitaH aTa ve anduH/
   YY_4.42cd/.yatro 'dyatas tatra na yāti yātā tayor balīyān nayati	YY_4.42cd/.yatraH adyataH tatra na yAti yAtA tayoH balIyAt nayati
   svakāṣṭhām//	sva-kAzWAm//
   YY_4.43ab/.janmodayarkṣaṃ hibukāstasaṃsthaṃ yasya 'śubhair dṛṣṭayutaṃ na	YY_4.43ab/.janma-udaya-Rkzam hibukAstasaMsTam yasya aSuBEH dRzwa-yutam na
   saumyaiḥ/	sOmyEH/
   YY_4.43cd/.sa śāṇḍilīṃ prāpya yathā garutmān danyaṃ[K.dainyaṃ] gato	YY_4.43cd/.sa SANxilIm prApya yaTA garutmAn danI-aM[K.dEnyan] gataH-
   'bhyeti hatasvapakṣaḥ//	aByeti hata-sva-pakzaH//
   YY_4.44ab/.horāṣṭame janmagṛhāṣṭame vā svāc chatrubhāc chatrugṛhodaye vā/	YY_4.44ab/.horA-azwame janma-gRha-azwame vA svAt SatruBAt Satru-gRha-udaye vA/
   YY_4.44cd/.tadrāśipair vā gamanaṃ vilagne tulyaṃ narāṇāṃ viṣabhakṣaṇena//	YY_4.44cd/.-tad-rASipEH vA gamanam vilagne tulyam narANAm viza-BakzaNena//
   YY_4.45a/.ripunidhanavilagne svāt triṣaḍlābhage vā	YY_4.45a/.ripu-niDana-vilagne svAt trizaz-lABa-ge vA
   YY_4.45b/.balavati bhavaneśe sve kṛśe śatrupakṣe/	YY_4.45b/.balavati Bava-na-ISe sve kRSe Satru-pakze/
   YY_4.45c/.anabhimukhadigīśe dikpatau susthite ca	YY_4.45c/.anaBimuKa-digISe dikpatO susTite ca
   YY_4.45d/.vrajati yadi yatheṣṭaṃ prāpnuyāt tatra yatā//	YY_4.45d/.vrajati yadi yaTezwam prApnuyAt tatra yatA//
   YY_4.46ab/.kendratrikoṇeṣu śubhāḥ praśastās teṣv eva pāpā na śubhapradāḥ	YY_4.46ab/.ka-indra-tri-koNezu SuBAH praSastAH tezu eva pApAH na SuBa-pradAH
   syuḥ/	syuH/
   YY_4.46cd/.papo 'pi kāmaṃ balavan niyojyaḥ kendreṣu śūnyaṃ na śivāya	YY_4.46cd/.papaH api kAmam balavat niyojyaH kendrezu SUnyam na SivAya
   kendram[K.lagnam]//	kendram[K.-lagnam]//
   YY_4.47ab/.saumyaiś ca pāpaiś ca catuṣṭayasthaḥ kṛcchreṇa siddhiṃ	YY_4.47ab/.-sOmyEH ca pApEH ca catuzwaya-sTaH kRcCreNa sidDim
   samupaiti yātā/	samupEti yAtA/
   YY_4.47cd/.prapātapātapratighātavakrair[K.prapātayānapratighātavakrā] nadī	YY_4.47cd/.-prapAta-pAta-pratiGAta-vakrEH-[K.-prapAta-yAna-pratiGAta-vakrA] nadI
   'va dhātrīdharakandareṣu//	ava DAtrIDara-kandarezu//
   YY_4.48ab/.guro[K.gurau] vilagne bhṛguje 'risaṃsthe candre 'ṣṭame hanti	YY_4.48ab/.guro[K.-gurO] vilagne BRgu-je ari-saMsTe candre azwame hanti
   gato 'risenām/	gataH ari-senAm/
   YY_4.48cd/.viṣṭaṃ[K.vṛṣṭiṃ] yathā dakṣiṇamārgacārī rūkṣo athavā[K.yadā]	YY_4.48cd/.-vizwan[K.-vRzwiM] yaTA dakziNa-mArga-cArI rUkzaH aTavA-a[K.ya-dA]
   hrasvatanuś ca śukraḥ//	hrasva-tanuH ca SukraH//
   YY_4.49ab/.siṃhājataulimithunā[K.siṃhājataulimithunaṃ] mṛgakarkaṭau ca	YY_4.49ab/.-siMha-aja-tOli-miTunA-a[K.-siMha-aja-tOli-miTunaM] mRga-karkawO ca
   sveśānvitā yadi bhavati[K.bhavati] yasya śaniś ca lagne/	sveSa-anvitA yadi Bavati[K.Bavati] yasya SaniH ca lagne/
   YY_4.49cd/.tatsainikāḥ parabalaṃ ksapayanti yātur mūrkhasya vittam iva	YY_4.49cd/.-tad-sEnikAH para-balam ksapayanti yAtuH mUrKasya vittam iva
   cāraṇacāṭukārāḥ[K.cāraṇacāṭacakṣāḥ(?)]//	cAraNa-cAwu-kArAH[K.-cAraNa-cAwa-cakzAH(?)]//
   YY_4.50ab/.udaye gurusaumyabhārgavaiḥ sahaje 'rkārkikujaiś ca gacchataḥ/	YY_4.50ab/.udaye guru-sOmya-BArgavEH sahaje arka-arki-kujEH ca gacCataH/
   YY_4.50cd/.na bhavanty arayo raṇe sthirāḥ kitavānām iva vittasaṃcayāḥ//	YY_4.50cd/.na Bavanti arayaH raNe sTirAH kitavAnAm iva vitta-saMcayAH//
   YY_4.51ab/.jātakoktanṛpayogagatānām pratyahaṃ[K.pratidinam] bhavati	YY_4.51ab/.jAtaka-ukta-nRpa-yoga-gatAnAm pratyahaM[K.-pratidinam] Bavati
   rājyavivṛddhiḥ/	rAjya-vivRdDiH/
   YY_4.51cd/.vātaghūrṇitam iva 'rṇavayānam parabalaṃ hi samupaiti vināśam//	YY_4.51cd/.vAta-GUrNitam iva arNava-yAnam para-balam hi samupEti vinASam//
   YY_4.52ab/.horā''śrite[K.horāśrite] devagurau prayātā krūragrahaiḥ karmaṇi	YY_4.52ab/.horA-aaSritA-I[K.hoH-ASrite] deva-gurO prayAtA krUra-grahEH karmaNi
   lābhagair vā/	lABa-gEH vA/
   YY_4.52cd/.kṛtvā ripūṇāṃ kṣayam akṣatāṅgaḥ svayaṃ[K.kṣayaṃ] kṣitīśo	YY_4.52cd/.kRtvA ripUNAm kzayam akzata-aFgaH svayaM[K.-kzayan] kzitISaH-
   'kṣayakośam eti[K.'kṣayakośa aiti]//	akzaya-koSam eti[K.-akzaya-koSaH Eti]//
   YY_4.53ab/.lābhārthalagneṣu śubhā raviḥ khe yasya ''rasaurau sahaje 'ribhe	YY_4.53a-b/.lABa-arTa-lagnezu SuBA raviH Ke yasya aarasOrO sahaje ari-Be
   vā/	vA/
   YY_4.53cd/.tasya 'rthakośaḥ samupaiti vṛddhiṃ lābho[K.lobho] yathā	YY_4.53cd/.tasya arTa-koSaH samupEti vRdDim lABaH-[K.loBo] yaTA
   pratyaham arthavṛddhyā//	pratyaham arTa-vRdDyA//
   YY_4.54ab/.svoccapagair jīvakujārkajārkair ebhyas tribhir vā	YY_4.54ab/.sva-uccapagEH jIva-kuja-arka-ja-arkEH eByaH triBiH vA
   kathitaikalagne/	kaTita-eka-lagne/
   YY_4.54cd/.rājñaḥ praṇāśaṃ samupaiti śatruḥ saukhyaṃ dvibhāryasya yathā	YY_4.54cd/.-rAjQaH praNASam samupEti SatruH sOKyam dvi-BAryasya yaTA
   'dhanasya//	aDanasya//
   YY_4.55ab/.eko 'pi jīvārkakujārkajānāṃ svocce vilagne svagṛhe yadī 'nduḥ/	YY_4.55ab/.ekaH api jIva-arka-kuja-arka-jAnAm sva-ucce vilagne sva-gRhe yadI anduH/
   YY_4.55cd/.jātasya[K.yātasya] yānty atra parāḥ praṇāśam mahākulānī 'va	YY_4.55cd/.-jAtasya[K.yAtasya] yAnti atra parAH praNASam mahA-kulAni-i ava
   kuṭumbabhedaiḥ//	kuwumba-BedEH//
   YY_4.56ab/.lagnāc caturthe atibale śaśāṅke[K.vibalaḥ śaśāṅkaḥ] yogād vinā	YY_4.56ab/.lagnAt caturTe ati-bale SaSAFke[K.vibalaH SaSAFkaH] yogAt vinA
   candrabalena yātā[K.yātaḥ]/	candra-balena yAtA[-K.yAtaH]/
   YY_4.56cd/.labdhā 'pi lakṣmīṃ bahuratnapūrṇāṃ[K.lakṣmīr bahuratnapūrṇā]	YY_4.56cd/.-labDA api lakzmIm bahu-ratna-pUrNa-aM[K.-lakzmIH bahu-ratna-pUrNA]
   kṣipraṃ kṣayaṃ yāti yathā śaśāṅkaḥ//	kzipram kzayam yAti yaTA SaSAFkaH//
   YY_4.57ab/.yeṣāṃ game navamapañcamakaṇṭakasthāḥ saumyās	YY_4.57ab/.yezAm game navama-paQcama-kaNwaka-sTAH sOmya-as
   tṛtīyaripulābhagatāś ca pāpāḥ/	tRtIya-ripu-lABa-gatAH ca pApAH/
   YY_4.57cd/.āyānti te svabhavanāni punaḥ kṛtārthā dattā dvijātiṣu purā	YY_4.57cd/.AyAnti te sva-BavanAni punar kRtArTA dattA dvijAtizu purA
   vidhivad yathārthāḥ//	viDivat yaTArTAH//
   YY_5.1ab/.pūrvāditas triparivartagatair ajādyair bhaiḥ saptakair analabhāc	YY_5.1ab/.pUrva-AditaH tri-parivarta-gatEH aja-AdyEH BEH saptakEH analaBAt-
   ca gamo jayāya/	ca gamaH jayAya/
   YY_5.1cd/.vāyuagnidiksthaparighasya samārddhagaiś ca	YY_5.1cd/.-vAyu-agni-diS-sTa-pariGasya samArdDa-gEH ca
   maitrāśvihastagurubheṣu ca sarvadikṣu//	mEtra-aSvi-hasta-guru-Bezu ca sarva-dikzu//
   YY_5.2ab/.pūrveṇāindraṃ[K.pūrveṇāi ''ndraṃ] dakṣiṇena ''japādaṃ rohiṇyo	YY_5.2ab/.pUrveNa-aindra-M[K.-pUrveNAi aandran] dakziNena aajapAdam rohiNyaH-
   'taś ca 'ryamākhyaṃ ca śūlam/	atas ca aryam-AKyam ca SUlam/
   YY_5.2cd/.kāmaṃ yāyāt sāmparāyeṣu kāryeṣv evaṃ dvāre[K.advāre 'pi]	YY_5.2cd/.-kAmam yAyAt sAmparAyezu kAryezu evam dvAre[K.a-dvAre api]
   projjhya śūlāni tāni//	projJya SUlAni tAni//
   YY_5.3ab/.vivarjayet tvāṣṭrayamoragāṇām ardham dvitīyaṃ gamane jayepsuḥ/	YY_5.3ab/.vivarjayet tvAzwrayama-uragANAm arDam dvitIyam gamane jaya-IpsuH/
   YY_5.3cd/.pūrvārdham āgneyamaghānilānāṃ svātīm[K.svātim] maghāṃ co	YY_5.3cd/.-pUrva-arDam Agneyam-aGa-anilAnAm svAtI-m[K.-svAtim] maGAm ca-u
   'śanasaḥ samastām//	aSanasaH samastAm//
   YY_5.4ab/.utpātapāpagrahapīḍite bhe ye yānti bhūrigrahasaṃyute vā/	YY_5.4ab/.utpAta-pApa-graha-pIxite Be ye yAnti BUri-graha-saMyute vA/
   YY_5.4cd/.te pūrvavittāny api nāśayanti dhātuprasaktā iva	YY_5.4cd/.te pUrva-vittAni api nASayanti DAtu-prasaktAH iva
   mūrttikendrāḥ[K.vārtikendrāḥ]//	mUrttika-indrAH[K.vArtika-indrAH]//
   YY_5.5ab/.ravisitakujarāhusauricandrā[K.ravisitakujarāhusauracandrā]	YY_5.5ab/.ra-vi-sita-kujarAhu-sOri-candra-a[K.ra-visita-kujara-Ahu-sOra-candrA]
   jñaguruyutāḥ purataḥ kramād digīśāḥ/	jQa-guru-yutAH puratas kramAt digISAH/
   YY_5.5cd/.vrajati yadi lalāṭage digīśe patati tato drumavat	YY_5.5cd/.vrajati yadi lalAwa-ge diS-ISe patati tatas druma-vat-
   sarittaṭātsaḥ[K.sarittaṭasthaḥ]//	sarit-tawAt-saH[K.-sarit-tawa-sTaH]//
   YY_5.6ab/.yāto 'yanasya pratilomakāṣṭhāṃ yaḥ syāt svatantro[K.sutantro]	YY_5.6ab/.yAtaH ayanasya pratiloma-kAzWAm yaH syAt svatantro[K.-sutantro]
   'pi jitaḥ pareṣāṃ/	api jitaH parezAM/
   YY_5.6cd/.sa kevalavyākaraṇābhiyuktaḥ[K.kevalaṃ] vyākaraṇābhiyuktaḥ	YY_5.6cd/.sa kevala-vyAkaraNa-aBiyuktaH[K.kevalaM] vyAkaraNa-aBiyuktaH
   kāvyajñagoṣṭhyām iva hāsyam eti//	kAvya-jQa-gozWyAm iva hAsyam eti//
   YY_5.7ab/.ayanena gato 'rkasomayor dyuniśaṃ vā sthitayoḥ pṛthak pṛthak/	YY_5.7ab/.ayanena gataH arka-somayoH dyuniSam vA sTitayoH pRTak pRTak-/
   YY_5.7cd/.viduṣām iva sarvaśāstravit[K.śabdaśāstravit] samavāye dviṣatāṃ	YY_5.7cd/.-viduzAm iva sarva-SAstra-vit[K.-Sabda-SAstra-vit] samavAye dvizatAm
   virājate//	virAjate//
   YY_5.8ab/.tithiṃ caturthīṃ navamīṃ caturdaśīṃ vihāya viṣṭiṃ karaṇaṃ ca	YY_5.8ab/.tiTim caturTIm navamIm caturdaSIm vihAya vizwim karaNam ca
   gacchataḥ/	gacCataH/
   YY_5.8cd/.bhavanti cāmīkaravājivāraṇāś caturthipūrvāś ca tadāptivāraṇāḥ//	YY_5.8cd/.Bavanti cAmIkara-vAji-vAraNAH caturTi-pUrvAH ca tad-Apti-vAraNAH//
   YY_5.9ab/.ṛkṣe[K.rikte] tithau vā vyatipātaduṣṭe yo yāti mohāt khalu	YY_5.9ab/.Rkze[-K.rikte] tiTO vA vyatipAta-duzwe yaH yAti mohAt Kalu
   vaidhṛte vā/	vEDRte vA/
   YY_5.9cd/.sa nāśam āyāty acireṇa yātā[K.rājā] rāje 'va	YY_5.9cd/.-sa nASam AyAti acireNa yAta-a[-K.rA-jA] rAje ava
   daivajñavilomaceṣṭaḥ//	dEvajQa-viloma-cezwaH//
   YY_5.10ab/.ārogyam ṛkṣeṇa dhanaṃ kṣaṇena kāryasya siddhis tithinā śubhena/	YY_5.10ab/.a-Arogyam RkzeNa Danam kzaNena kAryasya sidDiH tiTinA SuBena/
   YY_5.10cd/.rāśyudgamena 'dhvani siddhim āhuḥ prāyaḥ śubhāni[K.sukhāni]	YY_5.10cd/.-rASyut-gamena aDvani sidDim AhuH prAyas SuBa-ani[K.-suKAni]
   kṣaṇadākareṇa//	kzaNadA-kareNa//
   YY_5.11ab[K.omitted]/.na rājate bhūriguṇānvitā 'pi vyarhtabyayasya	YY_5.11ab[K.omitted]/.na rAjate BUri-guNa-anvitA api vyarhta-byayasya
   kṣitipasya yātrā/	kzitipasya yAtrA/
   YY_5.11cd[K.omitted]/.śukre praṇaṣṭe dhanadarpitasya vivāhayātreva	YY_5.11cd[K.omitted]/.-Sukre praNazwe Dana-darpitasya vivAha-yAtrA-iva
   jarārdditasya//	jarA-ardditasya//
   YY_5.12ab/.pratiśukrabudhāśanivṛṣṭihatā dig adhaḥ kurute nṛpatiṃ gamane/	YY_5.12ab/.-pratiSukra-buDa-aSani-vRzwi-hatA diS aDas kurute nRpatim gamane/
   YY_5.12cd/.madirāmuditā madanākulitā pramade 'va kulam paraveśmaratā//	YY_5.12cd/.-madirA-muditA madana-AkulitA pramade ava kulam para-veSma-ratA//
   YY_5.13ab/.vīryānvitair yāyibhir ātmabhadraiḥ kleśaṃ[K.kleśed] vinā hanti	YY_5.13ab/.-vIrya-anvitEH yAyiBiH Atma-BadrEH kleSa-M[K.-kleSed] vinA hanti
   camūm arīṇām/	camUm arINAm-/
   YY_5.13cd/.trailokyalābhe 'py asamāptakāryāṃ tṛṣṇāṃ yathā	YY_5.13cd/.-trElokya-lABe api asamApta-kAryAm tRzNAm yaTA
   cīraphalāmbutuṣṭaḥ//	cIra-Pala-ambu-tuzwaH//
   YY_5.14ab/.sarpis tilaudanaṣaiḥ[K.tilodanajhaṣaiḥ] payasā ca bhuktvā	YY_5.14ab/.sarpiH tila-odanazEH[K.ti-lodana-JazEH] payasA ca BuktvA
   pūrvādi vāraṇarathāśvanarair gatasya/	pUrva-Adi vAraNa-raTa-aSva-narEH gatasya/
   YY_5.14cd/.soḍhum pratāpam arayo na nrpasya śaktā gandhadvipasya kalabhā	YY_5.14cd/.soXum pratApam arayaH na nrpasya SaktA ganDa-dvipasya kalaBA
   iva gandhadānam[K.dānagandham]//	iva ganDa-dAna-m[K.-dAna-ganDam]//
   YY_5.15ab/.ekataś ca sakalāni nimittāny ekataś ca manasaḥ pariśuddhiḥ/	YY_5.15ab/.ekatas ca sakalAni nimittAni ekatas ca manasaH pariSudDiH/
   YY_5.15cd/.cetaso 'sti[K.'pi] sahasā na[K.'sti] raṇe bhīr māruto 'pi	YY_5.15cd/.-cetasaH asti[K.-api] sahasA na[K.-asti] raNe BIH mArutaH api
   vijayājayahetuḥ//	vijaya-ajaya-hetuH//
   YY_5.16ab/.bhūriśūravaravājikuñjarā jñātayuddhagatayo 'bhimāninaḥ/	YY_5.16ab/.BUri-SUra-vara-vAji-kuQjarAH jQAta-yudDa-gatayaH aBimAninaH/
   YY_5.16cd/.kva 'pi yānti ghanatūlarāśivan mārutābhihatavakṣaso 'rayaḥ//	YY_5.16cd/.kva api yAnti Gana-tUla-rASi-vat mAruta-aBihata-vakzasaH arayaH//
   YY_5.17ab/.anulomagate[K.anulomagatau] pradakṣiṇe surabhau dehasukhe 'nile	YY_5.17ab/.anuloma-gate[K.anu-loma-gatO] pradakziNe suraBO deha-suKe anile
   gataḥ/	gataH/
   YY_5.17cd/.timirāṇi gabhastimān iva prasabhaṃ hanti balāni vidviṣām//	YY_5.17cd/.-timirANi gaBastimAn iva prasaBam hanti balAni vidvizAm//
   YY_5.18ab/.upapattir ayatnato yadā tṛṇapānāśanaratnavāsasām//	YY_5.18ab/.upapattiH ayatnataH yadA tRNa-pAna-aSana-ratna-vAsa-sAm//
   YY_5.18cd/.pramadākṣitināgavājināṃ vijayadvāram apāvṛtaṃ tadā//	YY_5.18cd/.-pramadA-kziti-nAga-vAjinAm vijaya-dvAram apAvRtam tadA//
   YY_5.19ab/.lagnasya ye 'ṃśā hy uditā[K.uditā] graho yas teṣu sthito	YY_5.19ab/.lagnasya ye aMSAH hi udita-a[K.uditA] grahaH yaH tezu sTitaH-
   lagnaphalaṃ sa dhatte/	lagna-Palam sa Datte/
   YY_5.19cd/.yas tān atītaḥ sa bhaved dvitīyaḥ sthāneṣu śeṣeṣv api cintyam	YY_5.19cd/.yaH tAn atItaH sa Bavet dvitIyaH sTAnezu Sezezu api cintyam
   etat[K.cintanīyam]//	etat[K.cintanIyam]//
   YY_5.20ab/.gato 'nukūlair grahabhāgnimārutair mano	YY_5.20ab/.gataH anukUlEH graha-BAgni-mArutEH manaH-
   'bdavidyutsvanavṛṣṭikārmukaiḥ/	abda-vidyut-svana-vRzwi-kArmukEH/
   YY_5.20cd/.ripoḥ pramathnāti raṇājire camūṃ dvipaḥ samūlāṃ sarasī 'va	YY_5.20cd/.ripoH pramaTnAti raNa-ajire camUm dvipaH sa-mUlAm sarasI ava
   padminīm//	padminIm//
   YY_5.21ab/.daivena hīnaḥ parabhīṣaṇārthaṃ yāto 'tikṛcchreṇa nayaty ahāni/	YY_5.21ab/.dEvena hInaH para-BIzaNa-arTam yAtaH ati-kRcCreNa nayati ahAni/
   YY_5.21cd/.svaśaktyatīto nṛpaveśmanī 'va kṛtvā pratijñām prativādibhītaḥ//	YY_5.21cd/.su-a-Sakti-atItaH nRpa-veSmanI ava kRtvA pratijQAm prativAdi-BItaH//
   YY_5.22ab/.daivānvitaḥ sādhujanopakārī prabhāvamantrodyamaśaktiyuktaḥ/	YY_5.22ab/.da-eva-anvitaH sADu-jana-upakArI praBAva-mantra-udyama-Sakti-yuktaH/
   YY_5.22cd/.bhuṅkte mahīṃ samyag avāpya yātrāṃ	YY_5.22cd/.BuFkte mahIm samyak avApya yAtrAm
   sasahyavindyācalapāriyātrām//	sa-sahya-vindya-acala-pAriyAtrAm//
   YY_5.23ab/.gocareṇa śubhadaḥ śaśī na ced aṣṭavargapariśodhito 'pi[K'tha]	YY_5.23ab/.-gocareNa SuBa-daH SaSI na ced azwa-varga-pariSoDitaH api[K-aTa]
   vā/	vA/
   YY_5.23cd/.pūrvavāyur iva puṣpakālajo yāyinām phalavināśakṛd bhavet//	YY_5.23cd/.-pUrvavAyuH iva puzpa-kAla-jaH yAyinAm Pala-vinASa-kRt Bavet//
