   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   matveti devyā prahitā kumāra pratigṛhyatām /	matvA-iti devyA prahitA kumAra pratigRhyatAm /
   ity uktvopāharat kanyāṃ vinītāṃ priyadarśanām // AKad_19 //	iti uktvA-upAharat kanyAm vinItAm priya-darSanAm // AKat-_19 //
   tilakam	tilakam
   sā tu tenārpitā kanyā tataḥ prabhṛti taṃ tathā /	sA tu tena-arpitA kanyA tatas praBRti tam taTA /
   asevata yathā cāsya nijaṃ cittam ivābhavat // AKad_3.20 //	asevata yaTA ca-asya nijam cittam iva-aBavat // AKat-_3.20 //
   cakāra tāṃ ca tāmbūlakaraṅkasyādhikāriṇīm /	cakAra tAm ca tAmbUla-karaFkasya-aDikAriNIm /
   tutoṣa ca guṇair asyāḥ śīlācāranayādibhiḥ // AKad_3.21 //	tutoza ca guNEH asyAH SIla-AcAra-nayA-AdiBiH // AKat-_3.21 //
   kiyatsv api vyatīteṣu divaseṣv atha pārthivaḥ /	kiyatsu api vyatItezu divasezu aTa pArTivaH /
   yauvarājyavidhau sūnor abhiyogam aśiśriyat // AKad_3.22 //	yOvarAjya-viDO sUnoH aBiyogam aSiSriyat // AKat-_3.22 //
   saṃmantrya śukanāsena saha visrambhanirbharam /	saMmantrya Suka-nAsena saha visramBa-nirBaram /
   sambhārasaṃgrahārambham akarot kṛtamaṅgalaḥ // AKad_3.23 //	samBAra-saMgraha-AramBam akarot kRta-maFgalaH // AKat-_3.23 //
   saṃnikṛṣṭābhiṣekaṃ ca darśanārtham upāgatam /	saMnikRzwa-aBizekam ca darSana-arTam upAgatam /
   candrāpīḍam athovāca śukanāsaḥ savistaram // AKad_3.24 //	candra-ApIxam aTa-uvAca SukanAsaH sa-vistaram // AKat-_3.24 //
   tāta vijñātaśāstrasya vinayācāraśālinaḥ /	tAta vijQAta-SAstrasya vinaya-AcAra-SAlinaH /
   nālpam apy upadeṣṭavyam asti sthiramates tava // AKad_3.25 //	na-alpam api upadezwavyam asti sTira-mateH tava // AKat-_3.25 //
   kiṃ tu lokottarā lakṣmīr abhirāmam idaṃ vapuḥ /	kim tu lokottarA lakzmIH aBirAmam idam vapuH /
   navaṃ vayaḥ parā śaktir iti durviṣaho bharaḥ // AKad_3.26 //	navam vayaH parA SaktiH iti durvizahaH BaraH // AKat-_3.26 //
   lakṣmīr nāma paraṃ puṃsām anyathābhāvakāraṇam /	lakzmIH nAma param puMsAm anyaTA-aBAva-kAraNam /
   viralās te vikārāya na yeṣāṃ tatparigrahaḥ // AKad_3.27 //	viralAH te vikArAya na yezAm tad-parigrahaH // AKat-_3.27 //
   puṣṇāti tīvram ūṣmāṇaṃ hinasti vyaktavāditām /	puzNAti tIvram UzmANam hinasti vyakta-vAdi-tAm /
   karoti bhaktavidveṣam asamaḥ śrīkṛto jvaraḥ // AKad_3.28 //	karoti Bakta-vid-vezam asamaH SrI-kRtaH jvaraH // AKat-_3.28 //
   na paśyanti na śṛṇvanti nāpekṣante hitāhitam /	na paSyanti na SRNvanti na-apekzante hita-ahitam /
   na vidmaḥ kiṃ nu ceṣṭante kaṣṭaṃ śrīviplutā narāḥ // AKad_3.29 //	na vidmaH kim nu cezwante kazwam SrI-viplutAH narAH // AKat-_3.29 //
   kramāgateti naitasyām āśvāsaḥ ko 'pi vidyate /	krama-AgatA-iti na-etasyAm ASvAsaH kaH api vidyate /
   hyo 'pi yatroṣitā lakṣmīs tatraivādya na dṛśyate // AKad_3.30 //	hyas api yatra-uzitA lakzmIH tatra-eva-adya na dRSyate // AKat-_3.30 //
   vātaraktābhibhūteva bhinnapādeva kaṇṭakaiḥ /	vAta-rakta-aBiBUtA-iva BinnapAdA-iva kaNwakEH /
   lakṣmīr nidhātuṃ śaknoti na kvacin nirbharaṃ padam // AKad_3.31 //	lakzmIH niDAtum Saknoti na kvacid nirBaram padam // AKat-_3.31 //
   śrīḥ sapatnīm iva dveṣṭi dṛṣṭiṃ satpathavartinīm /	SrIH sapatnIm iva dvezwi dRzwim sat-paTa-vartinIm /
   tāṃ vinā yatra tatraiva patanty andhā iveśvarāḥ // AKad_3.32 //	tAm vinA yatra tatra-eva patanti anDAH iva-ISvarAH // AKat-_3.32 //
   satpathasyopadeṣṭāras teṣāṃ praviralā narāḥ /	sat-paTasya-upadezwAraH tezAm praviralAH narAH /
   dhūrtair ete hi bhujyante hṛdayānupraveśibhiḥ // AKad_3.33 //	DUrtEH ete hi Bujyante hRdaya-anupraveSiBiH // AKat-_3.33 //
   āpātaramaṇīyeṣu viṣayeṣu nirargalam /	ApAta-ramaNIyezu vizayezu nirargalam /
   tair eva hi pravartyante mukhamādhuryapaṇḍitaiḥ // AKad_3.34 //	tEH eva hi pravartyante muKa-mADurya-paNxitEH // AKat-_3.34 //
   dhūrtapratāritāś caite viṣayāsaktacetasaḥ /	DUrta-pratAritAH ca-ete vizaya-Asakta-cetasaH /
   akasmāt pralayaṃ yānti gītaraktā mṛgā iva // AKad_3.35 //	akasmAt pralayam yAnti gIta-raktAH mRgAH iva // AKat-_3.35 //
   viṣayeṣv atikaṣṭo 'yaṃ viṣayaḥ strīti nāma yaḥ /	vizayezu ati-kazwaH ayam vizayaH strI-iti nAma yaH /
   jīvaty anyaiḥ kilākṛṣṭas tenākṛṣṭo na jīvati // AKad_3.36 //	jIvati anyEH kila-AkRzwaH tena-AkRzwaH na jIvati // AKat-_3.36 //
   khaleṣv akṛtavisrambho viṣayeṣv animagnadhīḥ /	Kalezu akRta-visramBaH vizayezu animagna-DIH /
   sādhuṣv abhimukho nityaṃ mahatīṃ śriyam aśnute // AKad_3.37 //	sADuzu aBimuKaH nityam mahatIm Sriyam aSnute // AKat-_3.37 //
   sa tvaṃ na vañcyase dhūrtair na sādhubhir upekṣyase /	sa tvam na vaQcyase DUrtEH na sADuBiH upekzyase /
   yathā na bādhyase kāmaiḥ prayatethās tathā sadā // AKad_3.38 //	yaTA na bADyase kAmEH prayateTAH taTA sadA // AKat-_3.38 //
   kāmaṃ bhavān prakṛtyaiva dhīraḥ pitrā ca saṃskṛtaḥ /	kAmam BavAn prakRtyA-eva DIraH pitrA ca saMskRtaH /
   tvadguṇeṣv atisaṃtoṣo mukharīkurute sma mām // AKad_3.39 //	tvad-guNezu ati-saMtozaH muKarIkurute sma mAm // AKat-_3.39 //
   yugarāja dhuraṃ pitrā kalpitām udvaha sthirām /	yugarAja Duram pitrA kalpitAm udvaha sTirAm /
   vijitām api cānena punar jaya vasuṃdharām // AKad_3.40 //	vijitAm api ca-anena punar jaya vasuMDarAm // AKat-_3.40 //
   ity uktvā virarāmāsau tatkalyāṇaparāyaṇaḥ /	iti uktvA virarAma-asO tad-kalyANa-parAyaNaH /
   candrāpīḍas tu tadvāgbhir alaṅkṛta ivābhavat // AKad_3.41 //	candrApIxaH tu tad-vAgBiH alaFkRtaH iva-aBavat // AKat-_3.41 //
   atha puṇye 'hani snātaṃ vidhivat kṛtamaṅgalam /	aTa puNye ahani snAtam viDivat kRta-maFgalam /
   yauvarājye priyaṃ putram abhyaṣiñcan mahīpatiḥ // AKad_3.42 //	yOvarAjye priyam putram aByaziQcat mahIpatiH // AKat-_3.42 //
   abhiṣekotsavas tasya janmalābhotsavād api /	aBizeka-utsavaH tasya janma-lABa-utsavAt api /
   adhikaḥ sarvalokasya babhūvānandavardhanaḥ // AKad_3.43 //	aDikaH sarva-lokasya baBUva-Ananda-varDanaH // AKat-_3.43 //
   sarvābhyo digbhya ājagmur gṛhītopāyanā nṛpāḥ /	sarvAByaH digByaH AjagmuH gRhIta-upAyanAH nRpAH /
   dvijāś ca tutuṣuḥ prāptagobhūkanakadakṣiṇāḥ // AKad_3.44 //	dvijAH ca tutuzuH prApta-goBU-kanaka-dakziNAH // AKat-_3.44 //
   anyatrāhani daivajñaślāghyayogyaguṇānvite /	anyatra-ahani dEvajQa-SlAGya-yogya-guNa-anvite /
   dadau digvijaye yātrāṃ yuvarājo nṛpājñayā // AKad_3.45 //	dadO digvijaye yAtrAm yuvarAjaH nRpa-AjQayA // AKat-_3.45 //
   kṛtaprasthānahomo 'sau vidhijñeya purodhasā /	kRta-prasTAna-homaH asO viDi-jQeya puroDasA /
   śastrāstracakram abhyarcya śāstroktair mantravistaraiḥ // AKad_3.46 //	Sastra-astra-cakram aByarcya SAstra-uktEH mantra-vistarEH // AKat-_3.46 //
   kṛtasvastyayano vipraiḥ pracurasvarṇatoṣitaiḥ /	kRta-svastyayanaH viprEH pracura-svarNa-tozitEH /
   yatnaruddhāsrayā mātrā kṛtaprasthānamaṅgalaḥ // AKad_3.47 //	yatna-rudDa-asrayA mAtrA kRta-prasTAnamaFgalaH // AKat-_3.47 //
   śaṅkhadundubhinirghoṣamukharīkṛtadiṅmukhaḥ /	SaFKa-dunduBi-nirGoza-muKarIkRta-diFmuKaH /
   stutas tāraṃ paṭhadbhiś ca sūtamāgadhabandibhiḥ // AKad_3.48 //	stutaH tAram paWadBiH ca sUta-mAgaDa-bandiBiH // AKat-_3.48 //
   sragvilepanadīpādisambhārārcitadaivataḥ /	sraj-vilepana-dIpa-Adi-samBAra-arcita-dEvataH /
   pitarau śukanāsaṃ ca praṇamya niragādgṛhāt // AKad_3.49 //	pitarO SukanAsam ca praNamya niragAt-gRhAt // AKat-_3.49 //
   *cakkalakam*	*cakkalakam*
   indrāyudham athāruhya paurajānapadāśiṣaḥ /	indrAyuDam aTa-Aruhya pOra-jAnapada-ASizaH /
   śṛṇvan nagaryāḥ pūrveṇa dvāreṇa niriyāya saḥ // AKad_3.50 //	SRNvan nagaryAH pUrveNa dvAreNa niriyAya saH // AKat-_3.50 //
   tato 'nugamyamāno 'sau balāhakaniveditaiḥ /	tatas anugamyamAnaH asO balAhaka-niveditEH /
   sahasrasaṃkhyaiḥ kṣitipair ullasacchattracāmaraiḥ // AKad_3.51 //	sahasra-saMKyEH kzitipEH ullasat-Cattra-cAmarEH // AKat-_3.51 //
   vaiśampāyanam ekatra pārśve śvetāśvavartinam /	vESampAyanam ekatra pArSve Sveta-aSva-vartinam /
   anyatra patralekhāṃ ca paśyann aśvaratīsthitām // AKad_3.52 //	anyatra patra-leKAm ca paSyan aSvaratI-sTitAm // AKat-_3.52 //
   tasminn ahani sa stokaṃ prasthāyocchritatoraṇam /	tasmin ahani sa stokam prasTAya-ucCrita-toraNam /
   citraṃ nivāsam adhyāsta siprākūle prakalpitam // AKad_3.53 //	citram nivAsam aDyAsta siprA-kUle prakalpitam // AKat-_3.53 //
   *tilakam*	*tilakam*
   athāparedyur utthāyāśeṣābharaṇabhūṣitaḥ /	aTa-aparedyus utTAya-aSeza-ABaraNa-BUzitaH /
   prāvartata prabandhena prasthātum atulodyamaḥ // AKad_3.54 //	prAvartata prabanDena prasTAtum atula-udyamaH // AKat-_3.54 //
   pīḍayann atha sainyena pātālatalavāsinaḥ /	pIxayan aTa sEnyena pAtAla-tala-vAsinaH /
   rajasā ca tadutthena sthagayan gaganasthitān // AKad_3.55 //	rajasA ca tad-utTena sTagayan gagana-sTitAn // AKat-_3.55 //
   namayann unnatān bhūpān ānatān paripālayan /	namayan unnatAn BUpAn AnatAn paripAlayan /
   avaśān utkhanan kāṃścid utkhātān pratiropayan // AKad_3.56 //	avaSAn utKanan kAMScid utKAtAn pratiropayan // AKat-_3.56 //
   viśvāsayann aviśvastān saṃrakṣañ charaṇāgatān /	viSvAsayan aviSvastAn saMrakzan CaraNa-AgatAn /
   dasyūn utsādayan daṇḍaiḥ sādhūn saṃmānayan dhanaiḥ // AKad_3.57 //	dasyUn utsAdayan daNxEH sADUn saMmAnayan DanEH // AKat-_3.57 //
   brāhmaṇebhyo dadad grāmān kurvan devakulāvalīḥ /	brAhmaNeByaH dadat grAmAn kurvan devakula-AvalIH /
   navāni nijacihnāni tatra tatra pravartayan // AKad_3.58 //	navAni nija-cihnAni tatra tatra pravartayan // AKat-_3.58 //
   varṣatritayamātreṇa samagrāmarṇavāvadhim /	varza-tritaya-mAtreNa samagrAm-arNava-avaDim /
   sa babhrāma prabandhena māndhāteva vasuṃdharām // AKad_3.59 //	sa baBrAma prabanDena mAnDAtA-iva vasuMDarAm // AKat-_3.59 //
   kulakam	kulakam
   jigāya prathamaṃ prācīṃ diśaṃ tadanu dakṣiṇām /	jigAya praTamam prAcIm diSam tadanu dakziNAm /
   tataḥ pratīcīṃ paścāc ca pratāpanidhiruttarām // AKad_3.60 //	tatas pratIcIm paScAt ca pratApa-niDiH-uttarAm // AKat-_3.60 //
   atha hemajaṭākhyānāṃ kirātānāṃ niketanam /	aTa hema-jawA-AKyAnAm kirAtAnAm niketanam /
   sa suvarṇapuraṃ jitvā daṇḍaṃ jagrāha helayā // AKad_3.61 //	sa suvarNa-puram jitvA daNxam jagrAha helayA // AKat-_3.61 //
   yā ca kailāsasīmāntarbhūrnitāntamanoramā /	yA ca kElAsa-sIma-antar-BUH-nita-anta-manoramAH /
   tasyāṃ digvijayaśrāntaḥ kiyato 'pyāsta vatsarān // AKad_3.62 //	tasyAm diS-vijaya-SrAntaH kiyataH api-Asta vatsarAn // AKat-_3.62 //
   ekadā tu sa tatsthānād āruhyendrāyudhaṃ vane /	ekadA tu sa tad-sTAnAt Aruhya-indrAyuDam vane /
   mṛgayānirgato 'paśyat kiṃnaryā saha kiṃnaram // AKad_3.63 //	mRgayA-nirgataH apaSyat kiMnaryA saha kiMnaram // AKat-_3.63 //
   ālokya kautukākṛṣṭadṛṣṭiraśvamukhau ca tau /	Alokya kOtuka-AkRzwa-dRzwiH-aSvamuKO ca tO /
   āditsuḥ prerayāmāsa tāv eva prati vājinam // AKad_3.64 //	AditsuH prerayAmAsa tO eva prati vAjinam // AKat-_3.64 //
   apūrvapuruṣālokatrāsāt kailāsakandaram /	apUrva-puruza-Aloka-trAsAt kElAsa-kandaram /
   praveṣṭukāmau mahatā vegenānusasāra tau // AKad_3.65 //	pravezwu-kAmO mahatA vegena-anusasAra tO // AKat-_3.65 //
   pārṣṇipraharaṇābhyāsagrāhitodagraraṃhasā /	pArzNi-praharaNa-aByAsa-grAhita-udagra-raMhasA /
   pañcayojanamānā bhūs tenāśvena vyalaṅghyata // AKad_3.66 //	paQca-yojana-mAnA BUH tena-aSvena vyalaFGyata // AKat-_3.66 //
   tau ca parvatam ārūḍhāv agratas tasya kiṃnarau /	tO ca parvatam ArUXO agratas tasya kiMnarO /
   tatas tadgrahaṇākāṅkṣāṃ hṛdayād utsasarja saḥ // AKad_3.67 //	tatas tad-grahaNa-AkAFkzAm hRdayAt utsasarja saH // AKat-_3.67 //
   aśaknod anusartuṃ ca kaścit parijano na tam /	aSaknot anusartum ca kaScid parijanaH na tam /
   tārkṣyeṇāpy anugamyeta dhāvann indrāyudhaḥ kutaḥ // AKad_3.68 //	tArkzyeNa-api anugamyeta DAvan indrAyuDaH kutas // AKat-_3.68 //
   atha valgāṃ samākṛṣya śramasvedārdravigraham /	aTa valgAm samAkRzya Srama-sveda-Ardra-vigraham /
   dṛṣṭvaikākinam ātmānaṃ śvasantaṃ ca turaṅgamam // AKad_3.69 //	dRzwvA-ekAkinam AtmAnam Svasantam ca turaFgamam // AKat-_3.69 //
   nirvarṇayaṃs tam uddeśaṃ mānuṣāṇām agocaram /	nirvarNayan tam uddeSam mAnuzANAm agocaram /
   vihasyaivātmanātmānaṃ sānutāpam acintayat // AKad_3.70 //	vihasya-eva-AtmanA-AtmAnam sa-anutApam acintayat // AKat-_3.70 //
   aho kim api me maurkhyam asthānābhiniveśinaḥ /	aho kim api me mOrKyam asTAna-aBiniveSinaH /
   yad ātmā bālakeneva vyartham āyāsito mayā // AKad_3.71 //	yat AtmA bAlakena-iva vyarTam AyAsitaH mayA // AKat-_3.71 //
   agṛhītena ko vārthaḥ ko 'rthaḥ prāptena vāmunā /	agRhItena kaH vA-arTaH kaH arTaH prAptena vA-amunA /
   kiṃnaradvitayeneti mayā mūḍhena nekṣitam // AKad_3.72 //	kiMnara-dvitayena-iti mayA mUXena na-Ikzitam // AKat-_3.72 //
   panthā nirūpito nāyam āviṣṭeneva dhāvatā /	panTAH nirUpitaH na-ayam Avizwena-iva DAvatA /
   na cātra labhyate martyo mama mārgasya deśikaḥ // AKad_3.73 //	na ca-atra laByate martyaH mama mArgasya deSikaH // AKat-_3.73 //
   śrūyate kila varṣasya bhāratasyāvasānabhūḥ /	SrUyate kila varzasya BAratasya-avasAna-BUH /
   kailāsasaṃnikṛṣṭeyam iha martyasya kā kathā // AKad_3.74 //	kElAsa-saMnikRzwA-iyam iha martyasya kA kaTA // AKat-_3.74 //
   vane parṇatṛṇākīrṇe pādamudrāś ca vājinaḥ /	vane parNa-tRNa-AkIrNe pAda-mudrAH ca vAjinaH /
   na syur yadanusāreṇa yāsyāmi śibiraṃ nijam // AKad_3.75 //	na syuH yad-anusAreNa yAsyAmi Sibiram nijam // AKat-_3.75 //
   kevalaṃ dakṣiṇām āśāṃ puraskṛtya yathātathā /	kevalam dakziNAm ASAm puraskRtya yaTA-taTA /
   gantavyaṃ kiṃ tu madhyāhnasamayo 'yam upasthitaḥ // AKad_3.76 //	gantavyam kim tu maDyAhna-samayaH ayam upasTitaH // AKat-_3.76 //
   anubhūto 'timātraṃ ca khedas tad iha sāmpratam /	anuBUtaH atimAtram ca KedaH tat iha sAmpratam /
   labdhvā kuto 'py apastābhir yāsyāmi vigataśramaḥ // AKad_3.77 //	labDvA kutas api apastABiH yAsyAmi vigata-SramaH // AKat-_3.77 //
   iti saṃcintya pānīyam anveṣitum itas tataḥ /	iti saMcintya pAnIyam anvezitum itas tatas /
   paribhraman ghanasnigdhaṃ śākhināṃ khaṇḍam aikṣata // AKad_3.78 //	pariBraman Gana-snigDam SAKinAm KaNxam Ekzata // AKat-_3.78 //
   tatas tadanukūlena pathā gacchan samīraṇaiḥ /	tatas tad-anukUlena paTA gacCan samIraNEH /
   āhlādyata navotphullakamalāmodavāhibhiḥ // AKad_3.79 //	AhlAdyata nava-utPulla-kamala-Amoda-vAhiBiH // AKat-_3.79 //
   mattadvipapadāsaktamṛṇāladaladanturam /	matta-dvipa-pada-Asakta-mRNAla-dala-danturam /
   sa panthānam athāpaśyad ambhasām anumāpakam // AKad_3.80 //	sa panTAnam aTa-apaSyat amBasAm anumApakam // AKat-_3.80 //
   tena gatvāgakhaṇḍasya madhye jaladhisaṃnibham /	tena gatvA-gaKaNxasya maDye jalaDi-saMniBam /
   adṛṣṭapāraparyantam āluloke mahatsaraḥ // AKad_3.81 //	adRzwa-pAra-paryantam Alu-loke mahat-saraH // AKat-_3.81 //
   tadālokanamātreṇa dūrādapagataklamaḥ /	tad-Alokana-mAtreNa dUrAt-apagata-klamaH /
   prāpya tatpulinopāntaṃ vājino 'vatatāra saḥ // AKad_3.82 //	prApya tad-pulina-upAntam vAjinaH avatatAra saH // AKat-_3.82 //
   kṛtvāpanītaparyāṇaṃ taṃ sthalīluṭhitotthitam /	kRtvA-apanIta-paryANam tam sTalIluWita-utTitam /
   gṛhītaśādvalagrāsamāplutādhūtakesaram // AKad_3.83 //	gRhIta-SAdvala-grAsam-Apluta-ADUta-kesaram // AKat-_3.83 //
   uttārya sarasastīratarau saṃyamya vājinam /	uttArya sarasaH-tIratarO saMyamya vAjinam /
   kṣiptvāsidhenulūnāni tṛṇānyetasya cāgrataḥ // AKad_3.84 //	kziptvA-asiDenu-lUnAni tRNAni-etasya ca-agratas // AKat-_3.84 //
   svayaṃ sasnau papau vāri bubhuje bisakandalīḥ /	svayam sasnO papO vAri buBuje bisa-kandalIH /
   uttarīyaśirodhāno niṣasāda śilātale // AKad_3.85 //	uttarIya-SiraH-DAnaH nizasAda SilA-tale // AKat-_3.85 //
   *tilakam*	*tilakam*
   tato muhūrtaviśrānta uttarasmin sarastaṭe /	tatas muhUrta-viSrAntaH uttarasmin saraH-tawe /
   samuccarantaṃ śuśrāva gītadhvanim amānuṣam // AKad_3.86 //	samuccarantam SuSrAva gIta-Dvanim amAnuzam // AKat-_3.86 //
   tasyāṃ diśi dṛḍhāsaktacakṣur utkṣiptakandharaḥ /	tasyAm diSi dRXa-Asakta-cakzuH utkzipta-kanDaraH /
   tam ādau nibiḍaśrotraśuktir indrāyudho 'śṛṇot // AKad_3.87 //	tam AdO nibixa-Srotra-SuktiH indrAyuDaH aSRNot // AKat-_3.87 //
   kuto 'tra vijane gītam ity āviṣkṛtakautukaḥ /	kutas atra vijane gItam iti AvizkRta-kOtukaH /
   utthāya candrāpīḍo 'tha tām eva diśam abhyagāt // AKad_3.88 //	utTAya candrApIxaH aTa tAm eva diSam aByagAt // AKat-_3.88 //
   gītaśravaṇalubdhena salīlam abhidhāvatā /	gIta-SravaNa-lubDena sa-lIlam aBiDAvatA /
   apṛṣṭenāpi mārgo 'sya mārgeṇaiva nyavedyata // AKad_3.89 //	apRzwena-api mArgaH asya mArgeNa-eva nyavedyata // AKat-_3.89 //
   gatvā prāsādam aikṣiṣṭa sphāṭikaṃ nātidūrataḥ /	gatvA prAsAdam Ekzizwa sPAwikam na-ati-dUrataH /
   hasantam iva kailāsaśobhāvibhavamaṃśubhiḥ // AKad_3.90 //	hasantam iva kElAsa-SoBA-viBavam-aMSuBiH // AKat-_3.90 //
   devaṃ caturmukhaṃ tatra ratnapīṭhapratiṣṭhitam /	devam caturmuKam tatra ratna-pIWa-pratizWitam /
   bhagavantam umākāntaṃ dadarśa praṇanāma ca // AKad_3.91 //	Bagavantam umA-kAntam dadarSa praNanAma ca // AKat-_3.91 //
   tasyātha dakṣiṇāṃ mūrtim āśritya vihitāsanā /	tasya-aTa dakziNAm mUrtim ASritya vihita-AsanA /
   utsaṅganihitāṃ vīṇāṃ vādayantī kalasvanam // AKad_3.92 //	utsaFga-nihitAm vINAm vAdayantI kala-svanam // AKat-_3.92 //
   dehaprabhāvitānena kundagaureṇa sarpatā /	deha-praBA-vitA-anena kunda-gOreNa sarpatA /
   sākṣāl lakṣmīr iva kṣīrajaladher madhyavartinī // AKad_3.93 //	sAkzAt lakzmIH iva kzIra-jalaDeH maDya-vartinI // AKat-_3.93 //
   kopāgniśamitānaṅgapratyujjīvanavāñchayā /	kopa-agni-Samita-anaFga-pratyujjIvana-vAQCayA /
   ratiḥ prasādayantīva tapasā pārvatīpatim // AKad_3.94 //	ratiH prasAdayantI-iva tapasA pArvatIpatim // AKat-_3.94 //
   nave 'pi vayasi prāptavairāgyābhyāsavāsanā /	nave api vayasi prApta-vErAgya-aByAsa-vAsanA /
   vyaloki kanyakā tena dhṛtapāśupatavratā // AKad_3.95 //	vyaloki kanyakA tena DRta-pASupata-vratA // AKat-_3.95 //
   candrāpīḍo 'tha tāṃ dṛṣṭvā vismayāviṣṭamānasaḥ /	candrApIxaH aTa tAm dRzwvA vismaya-Avizwa-mAnasaH /
   keyaṃ syāt kanyakā nāsyā divyatāṃ prati saṃśayaḥ // AKad_3.96 //	kA-iyam syAt kanyakA na-asyAH divya-tAm prati saMSayaH // AKat-_3.96 //
   *cakkalakam*	*cakkalakam*
   nāntardhānam iyaṃ gacchen na vā gaganam utpatet /	na-antarDAnam iyam gacCet na vA gaganam utpatet /
   na maunam avalambeta martyasaṃdarśanena vā // AKad_3.97 //	na mOnam avalambeta martya-saMdarSanena vA // AKat-_3.97 //
   ityādi cintayann āsta stambhācchāditavigrahaḥ /	ityAdi cintayan Asta stamBa-At-CAdita-vigrahaH /
   gītāvasānasamayapratīkṣaṇaparāyaṇaḥ // AKad_3.98 //	gIta-avasAna-samaya-pratIkzaNa-parAyaNaH // AKat-_3.98 //
   *tilakam*	*tilakam*
   sātha gītaṃ samāpayya vinidhāya ca vallakīm /	sA-aTa gItam samApayya viniDAya ca vallakIm /
   praṇamya candracūḍāya candrāpīḍam abhāṣata // AKad_3.99 //	praNamya candracUxAya candrApIxam aBAzata // AKat-_3.99 //
   atithe svāgataṃ te 'stu saumya viśramyatām iha /	atiTe svAgatam te astu sOmya viSramyatAm iha /
   prāpto 'si svām imāṃ bhūmim ita āgamyatām iti // AKad_3.100 //	prAptaH asi svAm imAm BUmim itas AgamyatAm iti // AKat-_3.100 //
   candrāpīḍas tad ākarṇya bahv ātmānam amanyata /	candrApIxaH tat AkarNya bahu AtmAnam amanyata /
   vrajantīm anu vavrāja devatāvat praṇamya tām // AKad_3.101 //	vrajantIm anu vavrAja devatA-vat praNamya tAm // AKat-_3.101 //
   viveśa nātidūre 'tha nijāśramaguhām asau /	viveSa na-ati-dUre aTa nija-ASrama-guhAm asO /
   sthitājinakuśālābupātradaṇḍakamaṇḍalum // AKad_3.102 //	sTita-ajina-kuSa-alAbu-pAtra-daNxa-kamaNxalum // AKat-_3.102 //
   tatra darbhāsanāsīnam upaviṣṭā mṛgājine /	tatra darBa-Asana-AsInam upavizwAH mRga-ajine /
   papraccha candrāpīḍaṃ sā svarūpāgamanādikam // AKad_3.103 //	papracCa candrApIxam sA svarUpa-Agamana-Adikam // AKat-_3.103 //
   sa tu sarvaṃ yathāvṛttamācacakṣe savistaram /	sa tu sarvam yaTAvRttam-Acacakze sa-vistaram /
   sā ca vijñātavṛttāntā nirjagāma tato bahiḥ // AKad_3.104 //	sA ca vijQAta-vRttAntAH nirjagAma tatas bahis // AKat-_3.104 //
   gṛhītabhikṣāpātrā ca kṣaṇam āsta taror adhaḥ /	gRhIta-BikzA-pAtrA ca kzaNam Asta taroH aDas /
   āpūryata svayaṃ śīrṇaiḥ phalais tad amṛtopamaiḥ // AKad_3.105 //	ApUryata svayam SIrNEH PalEH tat amRta-upamEH // AKat-_3.105 //
   tatas tadupayogāya candrāpīḍaṃ nyayuṅkta sā /	tatas tad-upayogAya candrApIxam nyayuFkta sA /
   anvatiṣṭhad vacas tasyāḥ sa ca vismayamānadhīḥ // AKad_3.106 //	anvatizWat vacaH tasyAH sa ca vismayamAna-DIH // AKat-_3.106 //
   tasminn atha kṛtāhāre giriprasravaṇāntikam /	tasmin aTa kRta-AhAre giri-prasravaNa-antikam /
   gatvā sāpi phalāhāraprakriyāmātram ācarat // AKad_3.107 //	gatvA sA-api Pala-AhAra-prakriyA-mAtram Acarat // AKat-_3.107 //
   āgatya ca punas tasminn upaviṣṭā mṛgājine /	Agatya ca punar tasmin upavizwAH mRga-ajine /
   tārāpīḍojjayinyādikathayā kṣaṇam āsta sā // AKad_3.108 //	tArApIxA-ujjayinI-Adi-kaTayA kzaNam Asta sA // AKat-_3.108 //
   api nāma svavṛttāntaṃ madvad eṣāpi varṇayet /	api nAma sva-vRttAntam madvat ezA-api varNayet /
   pṛṣṭety evaṃ kṣaṇaṃ dadhyau candrāpīḍaḥ sakautukaḥ // AKad_3.109 //	pRzwA-iti evam kzaNam daDyO candrApIxaH sa-kOtukaH // AKat-_3.109 //
   dṛṣṭvā cāsyāḥ praśamamadhurām ākṛtiṃ bhāvaśuddhiṃ dākṣiṇyaṃ ca	dRzwvA ca-asyAH praSama-maDurAm AkRtim BAva-SudDim dAkziNyam ca
   prakṛtisaralaṃ labdhavākyāvakāśaḥ /	prakRti-saralam labDa-vAkya-avakASaH /
   ātmodantaṃ niyatam akhilaṃ vakṣyati prārthiteyaṃ candrāpīḍaḥ kṣaṇam atha	AtmA-udantam niyatam aKilam vakzyati prArTitA-iyam candrApIxaH kzaNam aTa
   kṛtapraśnasampratyayo 'bhūt // AKad_3.110 //	kRta-praSna-sampratyayaH aBUt // AKat-_3.110 //
   iti śrīvipaścidvarāgragaṇyācāryabhaṭṭaśrījayantasūnor abhinandasya kṛtau	iti SrI-vipaScit-vara-agra-gaNya-AcArya-Bawwa-SrI-jayanta-sUnoH aBinandasya kRtO
   kādambarīkathāsāre tṛtīyaḥ sargaḥ	kAdambarI-kaTA-sAre tRtIyaH sargaH
   caturthaḥ sargaḥ	caturTaH sargaH
