   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   tato vyutpattyabhāvānnā'gamo 'pi tatra pravartate |	tatas vyutpatti-aBAvAt-nA-agamaH api tatra pravartate |
   tasmāddharmo lakṣaṇapramāṇarahita iti prāpte brūmaḥ- mā bhūccakṣurādigamyo	tasmAt-DarmaH lakzaNa-pramANa-rahitaH iti prApte brUmaH mA BUt-cakzuH-Adi-gamyaH-
   laukika ākāraḥ |	lOkikaH AkAraH |
   tathāpi codanāgamyaḥ svargaphalasādhanatvādilakṣaṇa ākāro 'sti |	taTA-api codanA-gamyaH svarga-Pala-sADana-tva-Adi-lakzaNaH AkAraH asti |
   ' tena arthatve sati codanāgamyo dharmaḥ ' iti lakṣaṇaṃ bhavati |	a tena arTa-tve sati codanA-gamyaH DarmaH a iti lakzaNam Bavati |
   'artho dharmaḥ' ityukte brahmaṇi caityavandanādau ghaṭādau cātivyāptiḥ |	aarTaH DarmaH-a iti-ukte brahmaNi cEtya-vandana-AdO Gawa-AdO ca-ativyAptiH |
   tadvyavacchedāya 'codanāgamyaḥ' ityuktam |	tad-vyavacCedAya acodana-agamyaH-a iti-uktam |
   tāvatyevokte vidhigamye 'narthaphalatvenānartharūpe	tAvatI-eva-ukte viDi-gamye anarTa-Pala-tvena-anarTa-rUpe
   śyenādyabhicārakarmaṇyativyāptiḥ |	Syena-Adi-aBicAra-karmaNi-ati-vyAptiH |
   tadvyavacchedāya 'arthaḥ' ityuktam |	tad-vyavacCedAya aarTaH-a iti-uktam |
   yadyapi śyenasya śatruvadhaḥ phalam, natu narakaḥ, tathāpi tasya vadhasya	yadi-api Syenasya Satru-vaDaH Palam, na-tu narakaH, taTA-api tasya vaDasya
   narakahetutvādvadhadvārā śyeno 'narthaḥ |	naraka-hetu-tvAt-vaDa-dvArA SyenaH anarTaH |
   na caivamagnīṣomīyapaśuhiṃsāyā api vadhatvena narakahetutvaṃ syāditi	na ca-evam-agnIzomIya-paSu-hiMsAyAH api vaDa-tvena naraka-hetu-tvam syAt-iti
   śaṅkanīyam |	SaFkanIyam |
   tasyāḥ kratvaṅgatvena kratuphalasvargavyatirekeṇa phalāntarābhāvāt |	tasyAH kratu-aFga-tvena kratu-Pala-svarga-vyatirekeNa Pala-antara-aBAvAt |
   yataścodanāgamyatve satyarthatvaṃ dharmalakṣaṇam |	yatas-codanA-gamya-tve satyarTa-tvam Darma-lakzaNam |
   ata eva garme dharme gamakaṃ vidhivākyaṃ pramāṇam |	atas eva garme Darme gamakam viDi-vAkyam pramANam |
   yadyapi pratyakṣānumānayoraviṣayo dharmaḥ, tathāpi	yadi-api pratyakza-anumAnayoH-avizayaH DarmaH, taTA-api
   prasiddhepadasamabhivyāhāreṇa vyutpattiḥ saṃbhavati |	prasidDepada-samaBivyAhAreNa vyutpattiH saMBavati |
   tasmāllakṣaṇapramāṇābhyāmupeto dharmaḥ || MJaiNyC_1,1.35-37 ||	tasmAt-lakzaNa-pramANAByAm-upetaH DarmaH || MJENyC_1,1.35-37 ||
   START MJaiNy 1,1.38-40	START MJENi 1,1.38-40
   asminnevādhikaraṇe gurutamamāha -	asmin=-eva-aDikaraNe gurutamam-Aha -
   yadvā jijñāsyavedārthaḥ kiṃ mantrādyavabodhitaḥ /	yat-vA jijQAsya-veda-arTaH kim mantra-Adi-avaboDitaH /
   siddhārtho 'pyatha vidhyekagamyaḥ kāryārtha eva vā // MJaiNy_1,1.38 //	sidDArTaH api-aTa viDi-eka-gamyaH kArya-arTaH eva vA // MJENi-_1,1.38 //
   siddhe 'pi putrajanmādau vyutpatterūpapattitaḥ /	sidDe api putra-janma-AdO vyutpatterUpapattitaH /
   mantrādigamyasiddhasya vedārthatve 'pi kā kṣatiḥ // MJaiNy_1,1.39 //	mantra-Adi-gamya-sidDasya veda-arTa-tve api kA kzatiH // MJENI-_1,1.39 //
   harṣahetubahutvena vyutpattiḥ putrajanmani /	harza-hetu-bahu-tvena vyutpattiH putra-janmani /
   durlabhā sulabhā kārye vedārtho 'taḥ sa eva hi // MJaiNy_1,1.40 //	durlaBA sulaBA kArye veda-arTaH atas saH eva hi // MJENI-_1,1.40 //
   "athāto dharmajijñāsā" [pū.mī.sū.1.1.1 ] ityatrāthaśabdena kṛtsna	"aTa-atas Darma-jijQAsA" [pU.mI.-sU.1.1.1 ] iti-atra-aTa-Sabdena kRtsna
   vedādhyayanānantaryamucyate |	veda-aDyayanA-anantaryam-ucyate |
   ataḥśabdena kṛtsnasya vedasya vivakṣitārthatvaṃ hetū"kriyate |	atas-Sabdena kRtsnasya vedasya vivakzita-arTa-tvam hetU"-kriyate |
   uktaśabdadvayānusāreṇa dharmaśabdo 'pi kṛtsnaṃ vedārthamācaṣṭe |	ukta-Sabda-dvaya-anusAreNa Darma-SabdaH api kRtsnam veda-arTam-Acazwe |
   tataḥ sūtre 'vedārtho jijñāsyaḥ ' iti pratijñā kṛtā |	tatas sUtre aveda-arTaH jijQAsyaH a iti pratijQA kRtA |
   tatra saṃśayaḥ - kiṃ mantrārthavādapratītaḥ siddhārtho 'pi vedārtho	tatra saMSayaH  kim mantra-arTa-vAda-pratItaH sidDArTaH api veda-arTaH-
   bhavati, kiṃvā vidhivākyapratītaḥ kāryārthaṃ eva vedārthaḥ, iti |	Bavati, kiMvA viDi-vAkya-pratItaH kArya-arTam eva veda-arTaH, iti |
   tatra -	tatra -
   "lokāvagatasāmarthyaḥ śabdo vede 'pi bodhakaḥ" iti jñāyena	"loka-avagata-sAmarTyaH SabdaH vede api boDakaH" iti jQAyena
   vyutpattyanusārī vedārtho varṇanīyaḥ |	vyutpatti-anusArI veda-arTaH varNanIyaH |
   vyutpattiśca siddhārthe 'pyasti |	vyutpattiH-ca sidDArTe api-asti |
   'putraste jātaḥ ' iti vārtāharavyāhārajanyaṃ śroturharṣamanumāya	aputraH-te jAtaH a iti vArtA-hara-vyAhAra-janyam SrotuH-harza-m-anumAya
   harṣahetau putrajanmani saṃgatiṃ pratipadyate |	harza-hetO putra-janmani saMgatim pratipadyate |
   ato mantrārthavādapratīto 'pyartho vedārtha iti prāpte brūmaḥ -	atas mantra-arTa-vAda-pratItaH api-arTaH veda-arTaH iti prApte brUmaH -
   putrajanmavaddharṣahetūnāṃ dhanalābhādīnāṃ bahutvādasya vākyaskaya	putra-janma-vat-harza-hetUnAm Dana-lABa-AdInAm bahu-tvAt-asya vAkyaskaya
   putrajanmaivārtha iti nirṇayo durlabhaḥ |	putra-janma-eva-arTaH iti nirNayaH durlaBaH |
   'gāmānaya ' iti vākye tu gavānayanarūpāṃ madhyamabṛddhapravattimavalokya	agAm-a-Anaya a iti vAkye tu gavAn-ayana-rUpAm maDyama-bRdDa-pravattim-avalokya
   saṃgatigrahaṇaṃ sulabham |	saMgati-grahaNam sulaBam |
   tasmātkāryarūpa eva vaidārtha iti || MJaiNyC_1,1.38-40 ||	tasmAt-kArya-rUpaH eva vEdArTaH iti || MJENyC_1,1.38-40 ||
   (tṛtīye dharmapramāṇaparīkṣādhikaraṇe sūtram )	(tRtIye Darma-pramANa-parIkzA-aDikaraNe sUtram )
   tasya nimittaparīṣṭiḥ / Jaim_1,1.3 /	tasya nimitta-parIzwiH / JEm_1,1.3 /
   START MJaiNy 1,1.41-42	START MJENi 1,1.41-42
   tṛtīyādhikaraṇaṃ bhaṭṭamatenāracayati -	tRtIya-aDikaraNam Bawwa-matena-Aracayati -
   dharmasya jñāpakaṃ mānaṃ yaduktaṃ codanātmakam /	Darmasya jQApakam mAnam yat-uktam codana-Atmakam /
   etatkiṃ na parīkṣyaṃ syātkiṃvā samyakparīkṣyatām // MJaiNy_1,1.41 //	etat-kim na parIkzyam syAt-kiMvA samyak-parIkzyatAm // MJENI-_1,1.41 //
   mānopadeśānmeyasya siddhatvātkiṃ parīkṣayā /	mAna-upadeSAt-meyasya sidDatvAt-kim parIkzayA /
   maivaṃ vicāraśāstre 'sminparīkṣopekṣate kutaḥ // MJaiNy_1,1.42 //	mA-evam vicAra-SAstre asmin-parIkzA-upekzate kutas // MJENI-_1,1.42 //
   spaṣṭorthaḥ || MJaiNyC_1,1.41-42 ||	spazworTaH || MJENyC_1,1.41-42 ||
   START MJaiNy 1,1.43-44	START MJENi 1,1.43-44
   asminnevādhikaraṇe gurūmatamāha -	asmin=-eva-aDikaraNe gurU-matam-Aha -
   ādau parīkṣyo vedārthaścodanāmānatāthavā /	AdO parIkzyaH veda-arTaH-codanAm-AnatA-aTavA /
   vedārthasya pradhānatvātprathamaṃ tatparīkṣyatām // MJaiNy_1,1.43 //	veda-arTasya praDAna-tvAt-praTamam tat-parIkzyatAm // MJENI-_1,1.43 //
   codanāmānataivātra prathamaṃ sādhyatāṃ gatā /	codanAmAnatA-eva-atra praTamam sADya-tAm gatAH /
   anapekṣatayā tasya yato mukhyatvamāśritam // MJaiNy_1,1.44 //	anapekza-tayA tasya yatas muKya-tvam-ASritam // MJENi-_1,1.44 //
   dvitīyādhyāyādyaiḥ karmabhedaśeṣaśeṣitvādirūpo vedārthaḥ sūtrakāreṇa	dvitIya-aDyAya-AdyEH karma-Beda-Seza-Sezi-tva-Adi-rUpaH veda-arTaH sUtrakAreNa
   parīkṣiṣyate |	parIkzizyate |
   cojanāprāmāṇyaṃ tu prathamādhyāye parīkṣyate |	cojana-aprAmANyam tu praTama-aDyAye parIkzyate |
   tadaitadayuktam |	tadA-etat-ayuktam |
   kutaḥ |	kutas |
   vedārthasya pradhānatvenā'dau parīkṣyayītvāt |	veda-arTasya praDAna-tvenA-adO parIkzyayI-tvAt |
   pradhānabhāge hi vedaḥ |	praDAna-BAge hi vedaH |
   purūṣārthatvenānuṣṭheyatvāt |	purUza-arTa-tvena-anuzWeya-tvAt |
   pradhāṇaṃ tu tadvevanāya pravṛttaṃ sattaccheṣatayāna pradhānamiti prāpte	praDANam tu tad-vevanAya pravRttam sat-tad-SezatayAna praDAnam-iti prApte
   brūmaḥ- astvanuṣṭhānopāyo vedārthapramāṇayoḥ pradhānotsarjatabhāvaḥ |	brUmaH astu-anuzWAna-upAyaH veda-arTa-pramANayoH praDAna-utsarjata-BAvaH |
   pramāṇaprameyabhāvopāyau tu pramāṇasyaiva mukhyatvaṃ nirapekṣatvāt |	pramANa-prameya-BAva-upAyO tu pramANasya-eva muKya-tvam nirapekza-tvAt |
   nahi svataḥ pramāṇyavādināṃ mate sāpekṣayā pramāṇasyāsti |	na-hi svatas pramANya-vAdinAm mate sa-apekzayA pramANasya-asti |
   prameyaṃ tu sārekṣam |	prameyam tu sArekzam |
   'mānāvīnā methasiddhiḥ ' ityuktatvāt |	amAnAvInA meTa-sidDiH a iti-ukta-tvAt |
   tadetanmukhyatvamāśritya sūtrakāraḥ pramāṇaparīkṣāmādau cakāreti yajyate |	tat-etat-muKya-tvam-ASritya sUtrakAraH pramANa-parIkzAm-AdO cakAra-iti yajyate |
   ayānvatprā athānyatprādhānyamāśritya dharmavicāra evādau kasmānna kṛtaḥ? |	ayAn-vatprA aTa-anyat-prADAnyam-ASritya Darma-vicAraH eva-AdO kasmAt-na kRtaH? |
   na kṛtaḥ - aparīkṣitena pramāṇena dharmasyāsiddhau	na kRtaH  aparIkzitena pramANena Darmasya-asidDO
   tadvicārasyā'śrayāsiddheḥ ||	tad-vicArasyA-aSraya-asidDeH ||
   tadevamadhikaraṇatraye vyutpādanāya bhāṭṭaprābhākaramatabheda upanyastaḥ	tat-evam-aDikaraNa-traye vyutpAdanAya BAwwa-prABAkara-mata-BedaH upanyastaH
   || MJaiNyC_1,1.43-44 ||	|| MJa-ENyC_1,1.43-44 ||
   atha prāyeṇa bhaṭṭamatamevopanyasyate -	aTa prAyeNa Bawwa-matam-eva-upanyasyate -
   (caturthe dharme pratyakṣādyagamyatvādhikaraṇe sūtram ||)	(caturTe Darme pratyakza-Adi-agamya-tva-aDikaraNe sUtram ||)
   satsaṃprayoge puruṣasyendriyāṇāṃ buddhijanma tatpratyakṣam animittaṃ	sat-saMprayoge puruzasya-indriyANAm budDi-janma tad-pratyakzam animittam
   vidyamānopalambhanatvāt / Jaim_1,1.4 /	vidyamAna-upalamBana-tvAt / JEm_1,1.4 /
   START MJaiNy 1,1.45-46	START MJENi 1,1.45-46
   caturthādhikaraṇamāracayati -	caturTa-aDikaraNam-Aracayati -
   pratyakṣādibhirapyeṣa gamyate vidhinaiva vā /	pratyakza-AdiBiH-api-eza gamyate viDinA-eva vA /
   akṣādīnāṃ pramāṇatvānmeyadharmāvabhāsitā // MJaiNy_1,1.45 //	akza-AdInAm pramANa-tvAt-meya-Darma-avaBAsitAH // MJENi-_1,1.45 //
   vartamānaikaviṣayamakṣaṃ dharmastu bhāvyasau /	vartamAna-eka-vizayam-akzam DarmaH-tu BAvi-asO /
   akṣamūlo 'numānādistena vidhyekameyatā // MJaiNy_1,1.46 //	akza-mUlaH anumAna-AdiH-tena viDi-ekam-eya-tA // MJENi-_1,1.46 //
   akṣaṃ pratyakṣam /	akzam pratyakzam /
   pratyakṣādīnāṃ pramāṇatvātprameyāvabhāsakatvaṃ tāvadavivādam |	pratyakza-AdInAm pramANa-tvAt-prameya-avaBAsaka-tvam tAvat-avivAdam |
   dharmaśca prameyaḥ, asaṃdigdhāviparyastatve sati budhyamānatvāt,	DarmaH-ca prameyaH, asaMdigDa-aviparyasta-tve sati buDyamAna-tvAt,
   ghaṭādivat |	Gawa-Adi-vat |
   tasmātpratyakṣādibhirapyeṣa dharmo gamyata iti prāpte -	tasmAt-pratyakza-AdiBiH-api-eza DarmaH gamyate iti prApte -
   brūmaḥ - dharmasya prameyatve 'pi pratyakṣayogyatā nāsti, pratyakṣasya	brUmaH  Darmasya prameya-tve api pratyakza-yogya-tA nAsti, pratyakzasya
   vartamānamātraviṣayatvāt |	vartamAna-mAtra-vizaya-tvAt |
   yastu pratyakṣasyātyantamaviṣayaḥ, tatrānumānādīnāṃ kaiva kathā |	yaH-tu pratyakzasya-atyantam-avizayaH, tatra-anumAna-AdInAm kA-eva kaTA |
   kvacitpratyakṣeṇa gṛhīte vyāptyādau paścādanumānādīnāṃ pravṛttiḥ |	kvacid-pratyakzeNa gRhIte vyApti-AdO paScAt-anumAna-AdInAm pravRttiH |
   tasmādvidhinaiva dharmo gamyate || MJaiNyC_1,1.45-46 ||	tasmAt-viDinA-eva DarmaH gamyate || MJENyC_1,1.45-46 ||
   (pañcame dharme vidhiprāmāṇyādhikaraṇe sūtram ||)	(paQcame Darme viDi-prAmANya-aDikaraNe sUtram ||)
   autpattikas tu śabdasyārthena saṃbandhas tasya jñānam upadeśo 'vyatirekaś	OtpattikaH tu Sabdasya-arTena saMbanDaH tasya jQAnam upadeSaH avyatirekaH-
   cārthe 'nupalabdhe tatpramāṇaṃ bādarāyaṇasyānapekṣatvāt / Jaim_1,1.5 /	ca-arTe anupalabDe tad-pramANam bAdarAyaNasya-anapekza-tvAt / JEm_1,1.5 /
   START MJaiNy 1,1.47-48	START MJENi 1,1.47-48
   pañcamādhikaraṇamāracayati -	paQcama-aDikaraNam-Aracayati -
   abodhako bodhako vā na tāvadbodhako vidhiḥ /	aboDakaH boDakaH vA na tAvat-boDakaH viDiH /
   śakteralaukike dharme grahaṇaṃ durghaṭaṃ yataḥ // MJaiNy_1,1.47 //	SakteH-alOkike Darme grahaNam durGawam yatas // MJENi-_1,1.47 //
   samabhivyāhṛte dharme śaktigrahaṇasaṃbhavāt /	samaBivyAhRte Darme Sakti-grahaNa-saMBavAt /
   bodhakasya vidhermātvamanapekṣatayā sthitam // MJaiNy_1,1.48 //	boDakasya viDeH-mAtvam-anapekza-tayA sTitam // MJENi-_1,1.48 //
   yathā dharme pratyakṣādīnāṃ prāmāṇyaṃ nāsti, tathā vidherapi nāsti	yaTA Darme pratyakza-AdInAm prAmANyam nAsti, taTA viDeH-api na-asti
   prāmāṇyam |	prAmANyam |
   śaktigrahaṇapūrvakaṃ hi prāmāṇyamāptavākyasya loke dṛṣṭam |	Sakti-grahaNa-pUrvakam hi prAmANyam-Apta-vAkyasya loke dRzwam |
   śaktiśca lokaprasiddhe gavādau gṛhyate |	SaktiH-ca loka-prasidDe gavA-AdO gRhyate |
   dharmastvalaukikaḥ |	DarmaH-tu-alOkikaH |
   atastatra śaktigrahaṇaṃ durghaṭam |	atas-tatra Sakti-grahaNam durGawam |
   tasmādvidherabodhakatvānna dharme prāmāṇyamiti prāpte -	tasmAt-viDeraboDaka-tvAt-na Darme prAmANyam-iti prApte -
   brūmaḥ - yathā 'prabhinnakamalodare madhūni madhukaraḥ pibati' ityatra	brUmaH  yaTA apraBinna-kamala-udare maDUni maDukaraH pibati-a iti-atra
   madhukarapadasyārthamajānannanyapadārthamavagatya tatyamabhivyāhārāt	maDukara-padasya-arTam-ajAnan=-anya-padArTam-avagatya tatyam-aBivyAhArAt-
   kamalasya madhyagate madhupānaṃ kurvati dṛśyamānabhramare	kamalasya maDya-gate maDu-pAnam kurvati dRSyamAna-Bramare
   madhukaraśabdasya saṅgatiṃ gṛhītvā vākyārthaṃ pratipadyate, tathā 'kārīryā	maDukara-Sabdasya saFgatim gRhItvA vAkya-arTam pratipadyate, taTA akArIryA
   vṛṣṭikāmo yajeta' ityatra	vRzwi-kAmaH yajeta-a iti-atra
   lokaprasiddhārthavṛṣṭyādipadasamabhivyāhārādalaukikabhāvanāyāṃ vidheḥ	loka-prasidDa-arTa-vRzwi-Adi-pada-samaBivyAhArAt-alOkika-BAvanAyAm viDeH
   saṅgatiṃ gṛhītvā vidhivākyārthaṃ puruṣo budhyate |	saFgatim gRhItvA viDi-vAkya-arTam puruzaH buDyate |
   tasmādabodhakatvalakṣaṇamaprāmāṇyaṃ nāsti |	tasmAt-aboDaka-tva-lakzaNam-aprAmANyam na-asti |
   na ca saṃvādābhāvādaprāmāṇyam, samanantarabhāvipratiniyataphale vṛṣṭyādau	na ca saMvAda-aBAvAt-aprAmANyam, samanantara-BAvi-pratiniyata-Pale vRzwi-AdO
   saṃvādasyāpi saṃbhavāt |	saMvAdasya-api saMBavAt |
   aniyatadṛṣṭaphale citrayāgādau, pratiniyatajanmāntaraphale jyotiṣṭomādau	aniyata-dRzwa-Pale citra-yAga-AdO, pratiniyata-janma-antara-Pale jyotizwoma-AdO
   ca saṃvādaḥ kathamiti cet, evaṃ tarhi svataḥprāmaṇyābhyupagamānnāsti kvāpi	ca saMvAdaH kaTam-iti cet, evam tarhi svatas-prAmaNya-aByupagamAt-na-asti kvApi
   saṃvādādyapekṣā |	saMvAda-Adi-apekzA |
   tasmādabodhakatvasāpekṣatvayoraprāmāṇyakāraṇayorabhāvādvidheḥ	tasmAt-aboDaka-tva-sApekza-tvayoH-aprAmANya-kAraNayoH-aBAvAt-viDeH
   svataḥsiddhaṃ prāmāṇyaṃ nāpahnotuṃ śakyam || MJaiNyC_1,1.47-48 ||	svatas-sidDam prAmANyam na-apahnotum Sakyam || MJENyC_1,1.47-48 ||
   (ṣaṣṭhe śabdanityatādhikaraṇe sūtrāṇi 6-23)	(zazWe Sabda-nityatA-aDikaraNe sUtrANi 6-23)
   karmaike tatra darśanāt / Jaim_1,1.6 /	karma-eke tatra darSanAt / JEm_1,1.6 /
   asthānāt / Jaim_1,1.7 /	asTAnAt / JEm_1,1.7 /
   karoti śabdāt / Jaim_1,1.8 /	karoti SabdAt / JEm_1,1.8 /
   sattvāntare ca yaugapadyāt / Jaim_1,1.9 /	sattva-antare ca yOgapadyAt / JEm_1,1.9 /
   prakṛti vikṛtyoś ca / Jaim_1,1.10 /	prakRti vikRtyoH ca / JEm_1,1.10 /
   vṛddhiś ca kartṛbhūmnāsya / Jaim_1,1.11 /	vRdDiH ca kartR-BUmnA-asya / JEm_1,1.11 /
   samaṃ tu tatra darśanam / Jaim_1,1.12 /	samam tu tatra darSanam / JEm_1,1.12 /
   sataḥ paramadarśanaṃ viṣayānāgamāt / Jaim_1,1.13 /	sataH parama-darSanam vizayAn-AgamAt / JEm_1,1.13 /
   prayogasya param / Jaim_1,1.14 /	prayogasya param / JEm_1,1.14 /
   ādittyavadyaugapadyam / Jaim_1,1.15 /	Adittyavat-yOgapadyam / JEm_1,1.15 /
   varṇāntaram avikāraḥ / Jaim_1,1.16 /	varNa-antaram avikAraH / JEm_1,1.16 /
   nādavṛddhiparā / Jaim_1,1.17 /	nAda-vRdDi-parA / JEm_1,1.17 /
   nityas tu syād darśanasya parārthatvāt / Jaim_1,1.18 /	nityaH tu syAt darSanasya para-arTa-tvAt / JEm_1,1.18 /
   sarvatra yaugapadyāt / Jaim_1,1.19 /	sarvatra yOgapadyAt / JEm_1,1.19 /
   saṃkhyābhāvāt / Jaim_1,1.20 /	saMKyA-BAvAt / JEm_1,1.20 /
   anapekṣatvāt / Jaim_1,1.21 /	anapekza-tvAt / JEm_1,1.21 /
   prakhyābhāvāc ca yogasya / Jaim_1,1.22 /	praKyA-BAvAt ca yogasya / JEm_1,1.22 /
   liṅgadarśanāc ca / Jaim_1,1.23 /	liFga-darSanAt ca / JEm_1,1.23 /
   START MJaiNy 1,1.49-50	START MJENi 1,1.49-50
   ṣaṣṭhādhikaraṇamāracayati -	zazWa-aDikaraNam-Aracayati -
   vidhyādirūpo yaḥ śabdaḥ so 'nityo 'thāvinaśvaraḥ /	viDi-Adi-rUpaH yaH SabdaH saH anityaH aTa-avinaSvaraH /
   anityo varṇarūpatvādvarṇe janmopalambhanāt // MJaiNy_1,1.49 //	anityaH varNa-rUpa-tvAt-varNe janma-upalamBanAt // MJENi-_1,1.49 //
   abādhitapratyabhijñābalādvarṇasya nityatā /	abADita-pratyaBijQA-balAt-varNasya nitya-tA /
   uccāraṇaprayatnena vyajyate 'sau na janyate // MJaiNy_1,1.50 //	uccAraNa-prayatnena vyajyate asO na janyate // MJENi-_1,1.50 //
   śabdanityatvavādino vaiyākaraṇāstāvadevaṃ manyante -	Sabda-nitya-tva-vAdinaH vEyAkaraNAH-tAvat-evam manyante -
   varṇasamūhaśravaṇānantaraṃ 'idamekaṃ padam' iti pratyayo	varNa-samUha-SravaNa-anantaram aidam-ekam padam-a iti pratyayo
   mānasapratyakṣeṇotpadyate |	mAnasa-pratyakzeNa-utpadyate |
   tasya ca pratyayasya varṇavyatiriktaḥ kaścit sphoṭanāmakaḥ padārtho	tasya ca pratyayasya varNa-vyatiriktaH kaScid sPowa-nAmakaH padArTaH-
   viṣayaḥ |	vizayaH |
   sa ca nityaḥ |	sa ca nityaH |
   sa eva śabdaḥ, na tu varṇā iti |	saH eva SabdaH, na tu varNAH iti |
   tadetannaiyāyikādayo na sahante |	tat-etat-nEyAyikA-AdayaH na sahante |
   varṇeṣvevaikārthāvacchedopādhinā padaikyabuddherupapattau	varNezu-eva-eka-arTa-avacCeda-upADinA pada-Ekya-budDeH-upapattO
   varṇātiriktasphoṭakalpanā nirarthikā |	varNa-atirikta-sPowa-kalpanA nirarTikAH |
   tasmādvarṇānāmeva śabdatvam |	tasmAt-varNAnAm-eva Sabda-tvam |
   varṇāśca pratipuruṣaṃ pratyuccāraṇaṃ ca janmavināśavanta upalabhyante |	varNAH-ca prati-puruzam pratyuccAraNam ca janma-vinASavantaH upalaByante |
   tasmādanityaḥ śabdaḥ |	tasmAt-anityaH SabdaH |
   tasya ca kāraṇadoṣasaṃbhavādvidheraprāmāṇyamiti pūrvaḥ pakṣaḥ ||	tasya ca kAraNa-doza-saMBavAt-viDera-prAmANyam-iti pUrvaH pakzaH ||
   bahubhiḥ puruṣaiḥ pratyekaṃ bahukṛtva uccārite gośabde 'ta eveme	bahuBiH puruzEH pratyekam bahu-kRtvas uccArite go-Sabde atas eva-ime
   gakārādayo varṇāḥ' ityabādhitapratyabhijñā jāyate |	gakAra-AdayaH varNAH-a iti-abADita-pratyaBijQA jAyate |
   tadbalānnityā varṇāḥ |	tad-balAt-nityAH varNAH |
   na ca varṇānāṃ janmābhāve bahukṛtva uccāraṇaprayatno vyartha iti	na ca varNAnAm janma-aBAve bahu-kRtvas uccAraNa-prayatnaH vyarTaH iti
   śaṅkanīyam, tatprayatnasya vyañjakatvāṅgīkārāt |	SaFkanIyam, tat-prayatnasya vyaQjaka-tva-aFgIkArAt |
   evaṃ sati puruṣabhedāduccāraṇabhedāśca yathāyogamudāttādibhedaiḥ	evam sati puruza-BedAt-uccAraNa-BedAH-ca yaTAyogamudAttA-Adi-BedEH
   paṭumṛdutvādibhedaiścopetāndhvaniviśeṣānutpādya caritārthā bhaviṣyanti |	pawu-mRdutva-Adi-BedEH-ca-upetAn-Dvani-viSezAn-utpAdya caritArTAH Bavizyanti |
   tasmānnitye śabde kāraṇadoṣābhāvānnāstyaprāmāṇyam || MJaiNyC_1,1.49-50 ||	tasmAt-nitye Sabde kAraNa-doza-aBAvAt-na-asti-aprAmANyam || MJENyC_1,1.49-50 ||
   (saptame vedapratyāyakatvādhikaraṇe sūtrāṇi 24-26)	(saptame veda-pratyAyaka-tva-aDikaraNe sUtrANi 24-26)
   uttpattau vāvacanāḥ syur arthasyātannimittatvāt / Jaim_1,1.24 /	uttpattO vA-avacanAH syuH arTasya-Atad-nimitta-tvAt / JEm_1,1.24 /
   tadbhūtānāṃ kriyārthena sāmāmnāyo 'rthasya tannimittattvāt / Jaim_1,1.25 /	tad-BUtAnAm kriyA-arTena sAma-AmnAyaH arTasya tad-nimittattvAt / JEm_1,1.25 /
   loke sanniyamāt prayogasannikarṣaḥ syāt / Jaim_1,1.26 /	loke sat-niyamAt prayoga-sannikarzaH syAt / JEm_1,1.26 /
   START MJaiNy 1,1.51-52	START MJENi 1,1.51-52
   saptamādhikaraṇamāracayati -	saptama-aDikaraNam-Aracayati -
   vedavākyamamānaṃ syānmānaṃ vā nāsya mānatā /	veda-vAkyam-amAnam syAt-mAnam vA na-asya mAnatA /
   pṛthaksaṅgatyapekṣāyāmanapekṣatvavarjanāt // MJaiNy_1,1.51 //	pRTak-saFgati-apekzAyAm-anapekza-tva-varjanAt // MJENI-_1,1.51 //
   vede 'pi lokavannaiva vākyārthe saṅgatiḥ pṛthak /	vede api loka-vat-na-eva vAkya-arTe saFgatiH pRTak /
   grahītavyā tato vākyaṃ pramāṇaṃ nairapekṣyataḥ // MJaiNy_1,1.52 //	grahItavyA tatas vAkyam pramANam nErapekzyataH // MJENi-_1,1.52 //
   yadyapi varṇānāṃ nityatvādekārthāvacchedakasya padasyāpi	yadi-api varNAnAm nitya-tvAt-ekArTa-avacCedakasya padasya-api
   varṇarūpatayānityatvādvarṇapadadvārā vedasya kāraṇasāpekṣatvaṃ nāsti,	varNa-rUpa-tayA-anitya-tvAt-varNa-pada-dvArAH vedasya kAraNa-sApekza-tvam nAsti,
   tathāpi 'agnihotraṃ juhuyātsvargakāmaḥ' ityādivākyasya vākyārthe	taTA-api aagnihotram juhuyAt-svarga-kAmaH-a ityAdi-vAkyasya vAkya-arTe
   saṅgatigrahaṇamapekṣitam |	saFgati-grahaNam-apekzitam |
   tasmānnairapekṣyābhāvātprāmāṇyaṃ nāstīti prāpte -	tasmAt-nErapekzya-aBAvAt-prAmANyam na-asti-iti prApte -
   brūmaḥ - loke 'gāmānaya' ityādivṛddhaprayoge padapadārthayoreva	brUmaH  loke agAmAnaya-a ityAdi-vRdDa-prayoge pada-padArTayoH-eva
   saṅgatirgṛhyate |	saFgatiH-gRhyate |
   vākyaṃ tvākāṅkṣāyogyatāsannidhivaśāt svārthaṃ pratipādayatītyavivādam |	vAkyam tu-AkAFkza-ayogya-tA-sanniDi-vaSAt sva-arTam pratipAdayati-iti-avivAdam |
   tathā vedavākyasyāpi pratyāyakatvādanapekṣatvena prāmāṇyamaviruddham ||	taTA veda-vAkyasya-api pratyAyaka-tvAt-anapekza-tvena prAmANyam-avirudDam ||
   MJaiNyC_1,1.51-52 ||	MJENyC_1,1.51-52 ||
