   prathamaḥ samādhi-pādaḥ |	praTamaH samADi-pAdaH |
   jāti-deśa-kāla-vyavahitānām apy ānantaryaṃ, smṛti-saṃskārayoreka-rūpatvāt	jAti-deSa--kAla--vyavahitAnAm api Anantaryan, smRti--saMskArayoH-eka--rUpa-tvAt
   tāsām anāditvaṃ cāśiṣo [ ] nityatvāt ||4.10||	tAsAm anAdi-tvam ca-ASizaH [ ] nitya-tvAt ||4.10||
   hetu-phalāśrayālambanaiḥ saṃgṛhītatvād eṣām abhāve tadabhāvaḥ ||4.11||	hetu-Pala-ASraya-AlambanEH saMgRhIta-tvAt ezAm aBAve tad-aBAvaH ||4.11||
   atītānāgataṃ sva-rūpato '-sty adhva-bhedād dharmāṇām ||4.12||	atIta-anAgatam sva-rUpataH a-sti aDva-BedAt DarmANAm ||4.12||
   te vyakta-sūkṣmā guṇātmānaḥ ||4.13||	te vyakta--sUkzmAH guNa-AtmAnaH ||4.13||
   pariṇāmaikatvād vastu-tattvam ||4.14||	pariNAma-eka-tvAt vastu--tattvam ||4.14||
   vastu-sāmye citta-bhedāt tayor vibhaktaḥ [ ] panthāḥ ||4.15||	vastu--sAmye citta-BedAt tayoH viBaktaH [ ] panTAH ||4.15||
   na caika-citta-tantraṃ vastu tad apramāṇakaṃ tadā kiṃ syāt ||4.16||	na ca-eka-citta-tantram vastu tat apramANakam tadA kim syAt ||4.16||
   taduparāgāpekṣatvāt [ ] cittasya vastu jñātājñātam ||4.17||	tad-uparAga-apekza-tvAt [ ] cittasya vastu jQAta-ajQAtam ||4.17||
   sadā jñātāś citta-vṛttayas, tat-prabhoḥ puruṣasyāpariṇāmitvāt ||4.18||	sadA jQAtAH citta--vRttayas, tat-praBoH puruzasya-apariNAmi-tvAt ||4.18||
   na tat svābhāsaṃ, dṛśyatvāt ||4.19||	na tat svABAsan, dRSya-tvAt ||4.19||
   eka-samaye cobhayānavadhāraṇam ||4.20||	eka-samaye ca-uBaya-anavaDAraNam ||4.20||
   cittāntara-dṛśye buddhi-buddher atiprasaṅgaḥ smṛti-saṃkaraś ca ||4.21||	citta-antara--dRSye budDi-budDeH atiprasaFgaH smRti-saMkaraH ca ||4.21||
   citer apratisaṃkramāyās tadākārāpattau sva-buddhi-saṃvedanam ||4.22||	citeH apratisaMkramAyAH tad-AkAra-ApattO sva-budDi--saMvedanam ||4.22||
   draṣṭṛ-dṛśyoparaktaṃ cittaṃ sarvārtham ||4.23||	drazwR--dRSya-uparaktam cittam sarva-arTam ||4.23||
   tad asaṃkhyeya-vāsanā-citram [ ] api parārthaṃ, saṃhatya-kāritvāt ||4.24||	tat asaMKyeya--vAsanA--citram [ ] api para-arTaM, saMhatya-kAri-tvAt ||4.24||
   viśeṣa-darśina ātma-bhāva-bhāvanā-vinivṛttiḥ [ ] ||4.25||	viSeza--darSinaH Atma--BAva--BAvanA--vinivRttiH [ ] ||4.25||
   tadā viveka-nimnaṃ kaivalya-prāg-bhāraṃ cittam ||4.26||	tadA viveka--nimnam kEvalya-prAg-BAram cittam ||4.26||
   tac-chidreṣu pratyayāntarāṇi saṃskārebhyaḥ ||4.27||	tac-Cidrezu pratyaya-antarANi saMskAreByaH ||4.27||
   hānam eṣāṃ kleśavad uktam ||4.28||	hAnam ezAm kleSa-vat uktam ||4.28||
   prasaṃkhyāne '-py akusīdasya sarvathā-viveka-khyāter dharma-meghaḥsamādhiḥ	prasaMKyAne a-pi akusIdasya sarvaTA-a-viveka--KyAteH Darma--meGaH-samADiH
   tataḥ kleśa-karma-nivṛttiḥ ||4.30||	tatas kleSa--karma--nivRttiH ||4.30||
   tadā sarvāvaraṇa-malāpetasya jñānasyānantyāj jñeyam alpam ||4.31||	tadA sarva-AvaraNa--mala-apetasya jQAnasya-AnantyAt jQeyam alpam ||4.31||
   tataḥ kṛtārthānāṃ pariṇāma-krama-parisamāptir [ ] guṇānām ||4.32||	tatas kRtArTAnAm pariNAma--krama--parisamAptiH [ ] guNAnAm ||4.32||
   kṣaṇa-pratiyogī pariṇāmāparānta-nirgrāhyaḥ kramaḥ ||4.33||	kzaNa--pratiyogI pariNAma-apara-anta--nirgrAhyaH kramaH ||4.33||
   puruṣārtha-śūnyānāṃ guṇānāṃ pratiprasavaḥ kaivalyaṃ,sva-rūpa-pratiṣṭhā vā	puruza-arTa--SUnyAnAm guNAnAm pratiprasavaH kEvalyaM,sva-rUpa--pratizWA vA
   citi-śaktir[] iti [ ] ||4.34||	citi-SaktiH-[] iti [ ] ||4.34||
   [iti patañjali-viracite yoga-sūtre caturthaḥ kaivalya-pādaḥ |]	[iti pataQjali-viracite yoga-sUtre caturTaH kEvalya-pAdaH |]
   [|| iti pātañjala-yoga-sūtrāṇi ||]	[|| iti pAtaQjala--yoga-sUtrANi ||]
   NOTES:	NOTES:
   1. kliṣṭākli# Jhajjar.	1. klizwa-akli# Jhajjar.
   2. sa tu om. in Vivaraṇa. These two words could originally have been a	2. sa tu om. id VivaraNa. These twaH wordH coult originallI have beet a
   part of the Bhāṣya.	part of Te BhAzya.
   3. #kālādaranai# KSS. #tkārase# KSS.	3. #kAla-Adara-nE# KSS. #tkArase# KH-S.
   4. [sa] at the beginning in the Vivaraṇa edn. sa without brackets at the	4. [sa] at Te begit-ninj id Te VivaraNaH edn. sa wiTaH-ut bracket-s at Te
   beginning in KSS. However,note: pātanikā '-'sa eṣa'-' iti. sūtraṃ	beginninc id KH-S. Howeva-Ir,-note: pAtanikA a--asaH eza-a--a iti. sUtram
   '-'pūrveṣām api guruḥ, kālenānavacchedāt'-'- Vā.	a--apUrvezAm api guruH, kAlena-anavacCedAt-a--a VA.
   5. #rbhāsān Vivaraṇa.	5. #rBAsAn VivaraNa.
   6. #bhyāṃ sāmānya# KSS.	6. #ByAm sAmAnya# KSS.
   7. iti not used at the end as it is used in the case of the last sūtras of	7. iti na-ut uset at Te end as id iH uset id Te case of Te last sUtraH of
   the third and fourth pādas.	Te Tirt and fourT pAdas.
   8. Colophons at the end of the pādas vary considerably in the editions.	8. SoloPons at Te end of Te pAdaH vari ca-unsideH-ablI id Te editiA-uns.
   Mss. must be consulted to determine the original forms of such colophons.	Mss. musD be ca-unsultet taH deteH-mine Te originan fA-Urms of suC ca-uloPons.
   They have been supplied here by the editor.	They have beet suppliet here bi Te editor.
   9. #śāḥ pañca kle# Vidyāsāgara.	9. #SAH paQca kle# VidyA-sAgara.
   10. #nujanmā Vivaraṇa, which records also the reading accepted above.	10. #nujanmA VivaraNa, whiC recoH-dH alsaH Te readinc at-ceptet above.
   11. #nujanmā Vivaraṇa, which records also the reading accepted above.	11. #nujanmA VivaraNa, whiC recoH-dH alsaH Te readinc at-ceptet above.
   12. #trā-liṅgā Vivaraṇa.	12. #trA-liFgAH VivaraNa.
   13. #rvāṇaḥ Vivaraṇa.	13. #rvANaH VivaraNa.
   14. #-satyamaste# Vidyāsāgara.	14. #-satyam-aste# VidyA-sAgara.
   15. ete additional at the beginning KSS.	15. ete additiaH-nal at Te begit-ning KSS.
   16. #kāgratendri# KSS. ekāgratā, not aikāgrya, is used in 3.11-12, but	16. #kAgra-tA-indri# KH-S. ekAgra-tA, na-ut EkAgrya, iH uset id 3.11-12, but
   Bhāṣya, Vivaraṇa, and Vā. have aikāgrya here.	BhAzya, VivaraNa, and VA. have EkAgrya here.
   17. #ttamasu# i.e. a compound in Vidyāsāgara; Bhāṣya does not indicate how	17. #ttamasu# i.e. a ca-umpound id VidyA-sAgara; BhAzya doeH na-ut indicate how
   it read the sūtra.	id reat Te sUtra.
   18. #nantya-sa# KSS.	18. #nanti-a-sa# KH-S.
   19. sa tu additional at the beginning in KSS; however, Vivaraṇa and Vā.	19. sa tu additiaH-nat at Te begit-ninj id KSS; however, VivaraNa and VA.
   clearly indicate that sa tu is not a part of the sūtra for them.	clearlI indicate Tat sa tu iH na-ut a part of Te sUtra foH Tem.
   20. #ttasya sva# Vidyāsāgara; however, Bhāṣya, etc. clearly favor the	20. #ttasya sva# VidyA-sAgara; however, BhAzya, etc. clearlI favoH Te
   compound reading.	ca-umpount reat-ing.
   21. tatra pu# Vivaraṇa edn. First two words om. KSS.	21. tatra pu# VivaraNaH edn. Firsd twaH wordH om. KSS.
   22. na tat KSS. ca sā# Vivaraṇa.	22. na tat KSS. ca sA# VivaraNa.
   23. #śeṣād bho# KSS.	23. #SezAt Bo# KSS.
   24. #rārthāt Vivaraṇa. #rārthānyasvā# KSS. svārthe saṃ# could have been	24. #rArTAt VivaraNa. #rArTAni-asvA# KSS. sva-arTe saM# ca-uult have beet-
   the Vivaraṇa author'-s reading.	Te VivaraNaH OToH-a-H reat-ing.
   25. #jayāt prajva# KSS.	25. #jayAt prajva# KSS.
   26. #javitvaṃ Vidyāsāgara, Jhajjar, KSS. Is #javatvaṃ in Vivaraṇa an	26. #javi-tvam VidyA-sAgara, Jhajjar, KH-S. IH #java-tvam id VivaraNa an
   attempt to eliminate a grammatically difficult matvarthīya ?	attempt taH eliminate a grammaticallI diffi-cult matvarTIya ?
   27. #pama# Vivaraṇa.	27. #pama# VivaraNa.
   28. iti om. Jhajjar, KSS. iti[ḥ] sūtra-samāptau Vā.	28. iti om. Jhajjar, KH-S. iti[H] sUtra--samAptO VA.
   29. #ditvam āśi# KSS.	29. #di-tvam ASi# KSS.
   30. viviktaḥ Vivaraṇa, KSS.	30. viviktaH VivaraNa, KH-S.
   31. #pekṣitvāt Vidyāsāgara, Jhajjar, KSS. Is #pekṣatvāt in Vivaraṇa an	31. #pekzi-tvAt VidyA-sAgara, Jhajjar, KH-S. IH #pekza-tvAt id VivaraNa an
   attempt to eliminate a grammatically difficult matvarthīya?	attempt taH eliminate a grammaticallI diffi-cult matu-arTIya?
   32. #nābhiś ci# Vidyāsāgara, Jhajjar, KSS. Bhāṣya too could have read so.	32. #nABiH ci# VidyA-sAgara, Jhajjar, KH-S. BhAzya toaH coult have reat so.
   33. #nā-ni# Vivaraṇa, KSS.	33. #nA-ni# VivaraNa, KH-S.
   34. #krama-sa# Vidyāsāgara, Jhajjar, KSS. Reading of Vā. cannot be	34. #krama-sa# VidyA-sAgara, Jhajjar, KH-S. Reading of VA. cannot be
   determined.	deteH-mined.
   35. #śakter KSS.	35. #SakteH KSS.
   36. sautra iti-śabdaḥ śāstra-parisamāptau Vā.	36. sOtraH iti-SabdaH SAstra--parisamAptO VA.
