   {...} = akṣara unclear	{...}  akzaraH unclear
   pratyakṣatvānupapatteḥ | abhilapyate 'neneti karaṇasādhanena etad	pratyakza tvA anupapatteH | aBilapyate anena iti karaNa sADanena etat 
   darśayati  vācako 'bhilāpaśabdeneṣṭhaḥ, na tu vācyaṃ śabdasāmānyarūpaḥ |	darSayati vAcakaH aBilApa Sabdena izWaH, na tu vAcyam Sabda sAmAnya rUpaH |
   abhilāpena saṃsarga iti abhilāpasaṃsargaḥ | saṃsargastu sambandhaḥ |	aBilApena saMsargaH iti aBilApa saMsargaH | saMsargaH tu sambanDaH |
   abhilāpasaṃsargasya yogyamiti abhilāpasaṃsargayogyam | arthasāmānyam |	aBilApa saMsargasya yogyam iti aBilApa saMsarga yogyam | arTa sAmAnyam |
   tadeva hi anvayavyatirekavattvād vyāptatvād abhilāpayituṃ śakyam |	tat eva hi anvaya vyatirekavat tvAt vyApta tvAt aBilApayitum Sakyam |
   arthaviśeṣaḥ svalakṣaṇarūpastu saṃsṛṣṭe abhidhānābhidheye bhavataḥ |	arTa viSezaH sva lakzaNa rUpaH tu saMsRzwe aBiDAna aBiDeye BavataH |
   abhilāpasaṃsargasya yogyo 'bhidheyākārābhāso yasyāṃ pratītau sā tathoktā |	aBilApa saMsargasya yogyaH aBiDeya AkAra ABAsaH yasyAm pratItO sA taTA uktA |
   tatra kācit pratītiḥ abhilāpasaṃsṛṣṭābhāsā bhavati, yathā  vyutpanna	tatra kAcid pratItiH aBilApa saMsRzwa ABAsA Bavati, yaTA vyutpanna
   saṃketasya ghaṭārthakalpanā ghaṭaśabdasaṃsṛṣṭārthāvabhāsā bhavati |	saMketasya Gawa arTa kalpanA Gawa Sabda saMsRzwa arTa avaBAsA Bavati |
   kācittu abhilāpenāsaṃsṛṣṭāpi abhilāpasaṃsargayogyābhāsā bhavatiḥ yathā 	kAcid tu aBilApena asaMsRzwA api aBilApa saMsarga yogya ABAsA BavatiH yaTA 
   bālakasyāvyutpannasaṃketasya kalpanā | tatra abhilāpasaṃsṛṣṭābhāsā kalpanā	bAlakasya avyutpanna saMketasya kalpanA | tatra aBilApa saMsRzwa ABAsA kalpanA
   ityuktāvavyutpannasaṃketasya kalpanā na saṃgṛhyeta | yogyagrahaṇe tu sāpi	iti uktO= avyutpanna saMketasya kalpanA na saMgRhyeta | yogya grahaNe tu sA api
   saṃgṛhyate, yadayapi abhilāpasaṃsṛṣṭābhāsā na bhavati tadaharjātasya	saMgRhyate, yadayapi aBilApa saMsRzwa ABAsA na Bavati tat ahar jAtasya
   bālakasya kalpanā, abhilāpasaṃsargayogyapratibhāsā tu bhavatyeva | yā	bAlakasya kalpanA, aBilApa saMsarga yogya pratiBAsA tu Bavati eva | yA
   cābhilāpasaṃsṛṣṭā, sāpi yogyā | tata ubhayorapi yogyagrahaṇena saṃgrahaḥ |	ca aBilApa saMsRzwA, sA api yogyA | tatas uBayoH api yogya grahaNena saMgrahaH |
   sāmānyadi tena vinītadevavyākhyā dūṣitā  abhilapyata ityabhilāpaḥ= vācyaḥ	sAmAnyadi tena vinIta deva vyAKyA dUzitA aBilapyate iti aBilApaH vAcyaH
   sāmānyādiḥ ityevaṃrūpā | evamevātrāśrayaṇīyam, anyathā yogyagrahaṇena	sAmAnya AdiH iti evaMrUpA | evam eva atra ASrayaNIyam, anyaTA yogya grahaNena
   śabdasaṃsargayogyo na kathitaḥ syāditi | yadayevam, dharmottaravyākhyāne	Sabda saMsarga yogyaH na kaTitaH syAt iti | yat ayA ivam, Darma uttara vyAKyAne
   jātyādervācakasya saṃsargabhāvo na pradarśitaḥ syāt? satyamanena na	jAti AdeH vAcakasya saMsarga BAvaH na pradarSitaH syAt? satyam anena na
   pratipāditaḥ, viṣayacintāyāṃ sāmānyādeviṣayabhāvakathanena sāmarthyāt	pratipAditaH, vizaya cintAyAm sAmAnyAdevizaya BAva kaTanena sAmarTyAt 
   kathitaṃ bhavatīti nirodhaḥ | ekasmin jñāne vācya vācakākratayā	kaTitam Bavati iti niroDaH | ekasmin jQAne vAcya vAcaka AkratayA
   saṃghaṭarnāmatyarthaḥ | nanu ca yadayapi tasmin jñāne ākārayormīlanaṃ	saMGawarnAmati arTaH | nanu ca yat ayapi tasmin jQAne AkArayoH mIlanam
   tathapi śabdārthayoḥ saṃsargo nāsti? ityāha  tato yadaikasminnityādi |	taTapi Sabda arTayoH saMsargaH nAsti? iti Aha tatas yadA ekasmin= ityAdi |
   śabdārthayoḥ sasargavijñāne 'pi tayorākārayormīlanaṃ na	Sabda arTayoH sa sarga vijQAne api tayoH AkArayoH mIlanam na
   sambhavatītyabhirpāyaḥ |	samBavati iti aBiH pAyaH |
   tatra kācit pratītirityādinā yogyagrahaṇasya viṣayaṃ darśayati |	tatra kAcid pratItiH iti AdinA yogya grahaNasya vizayam darSayati |
   vyutpannasaṃketāpakṣayākāradvayapratibhāsanam | nanu cāvyutpannasaṃketasya	vyutpanna saMketApa kzaya AkAra dvaya pratiBAsanam | nanu ca avyutpanna saMketasya
   bālamūkāderanumato vijñāne na śabdasaṃsarga iti tadayogyatvamapi nāsti |	bAlamUka AdeH anumataH vijQAne na Sabda saMsargaH iti tad ayogya tvam api na asti |
   kaśca saṃsargayogyapratibhāsaḥ? yaḥ śabdapratibhāsaḥ | mūkādijñāne tu	kaH ca saMsarga yogya pratiBAsaH? yaH Sabda pratiBAsaH | mUka Adi jQAne tu
   saṃketābhāve sati śabdaratibhāso 'pi na sambhavatīti sasargayogyatvamapi	saMketa aBAve sati Sabda rati BAsaH api na samBavati iti sa sarga yogya tvam api
   nāsti | kimidaṃ yogyatvaṃ nāma? abhidheyākārasya saṃketakaraṇayogyatvam |	na asti | kim idam yogya tvam nAma? aBiDeya AkArasya saMketa karaNa yogya tvam |
   na cābhighānollekhābhāve satyabhidheyapratibhāsam, nāpi yogyatvamiti |	na ca aBiGAna ulleKA aBAve sati aBiDeya pratiBAsam, na api yogya tvam iti |
   tathā ca kumārilaḥ prāha 	taTA ca kumArilaH prAha 
   asti hyālocanājñānaṃ prathamaṃ nirvikalpakam |	asti hi Alocana ajQAnam praTamam nirvikalpakam |
   bālamūkādivijñānasadṛśa śuddhavastujam ||	bAla mUka Adi vijQAna sadRSa SudDa vastu jam ||
   abhilāpayituṃ na śakyateḥ tadvayāptatvāt | jñāne 'bhilāpasaṃsargayogyo yaḥ	aBilApayitum na SakyateH tad vayA Apta tvAt | jQAne aBilApa saMsarga yogyaH yaH
   pratibhāsaḥ sa evābhilāpasaṃsargayogyapratibhāsaḥ |	pratiBAsaH saH eva aBilApa saMsarga yogya pratiBAsaH |
   arthasāmānyasyārthākāra iti śeṣaḥ |	arTa sAmAnyasya arTa AkAraH iti SezaH |
   yadvā  na abhilapyate iti abhilāpaḥ= abhidherya yadarthasāmānyam |	yat vA na aBilapyate iti aBilApaH aBiDerya yad arTa sAmAnyam |
   abhilāpena saṃsarga iti abhilāpasaṃsargaḥ | abhilāpasaṃsargasya yogyamiti	aBilApena saMsargaH iti aBilApa saMsargaH | aBilApa saMsargasya yogyam iti
   abhilāpasaṃsargayogyam | śabdasāmānyam | anvayavyatirekavaśāt	aBilApa saMsarga yogyam | Sabda sAmAnyam | anvaya vyatireka vaSAt 
   tenārthābhidhānaṃ śakyam | śabdaviśeṣeṇa tu na śakyamḥ tasyāsāmānatvāt |	tena arTa aBiDAnam Sakyam | Sabda viSezeNa tu na SakyamH tasya asAmAna tvAt |
   jñāne 'bhilāpasaṃsargayogyo yaḥ pratibhāsaḥ sa evābhilāpa	jQAne aBilApa saMsarga yogyaH yaH pratiBAsaH saH eva aBilApa
   asatyabhilāpasaṃsarge kuto yogyatāvasitiḥ? iti cetḥ aniyatapratibhāsatvāt	asati aBilApa saMsarge kutas yogyatA = asitiH? iti cetH aniyata pratiBAsa tvAt 
   | aniyatapratibhāsatvaṃ ca pratibhāsaniyamahetorabhāvāt | grahyo hyartho	| aniyata pratiBAsa tvam ca pratiBAsa niyama hetoH aBAvAt | grahyaH hi arTaH 
   vijñānaṃ janayan niyatapratibhāsaṃ kuryāt | yathā rūpaṃ cakṣurvijñānaṃ	vijQAnam janayan niyata pratiBAsam kuryAt | yaTA rUpam cakzuH vijQAnam
   janayanniyatapratibhāsaṃ janayati, vikalpavijñānaṃ tvarthānnotpadayate |	janayat niyata pratiBAsam janayati, vikalpa vijQAnam tu arTAn na utpadayate |
   tataḥ pratibhāsaniyamahetorabhāvādaniyatapratibhāsam |	tatas pratiBAsa niyama hetoH aBAvAt aniyata pratiBAsam |
   kutaḥ punaretad  vikalpo 'rthānnotpadayate iti? arthasannidhinirapekṣatvāt	kutas punar etat  vikalpaH arTAn na utpadayate iti? arTa sanniDi nirapekza tvAt 
   | bālo 'pi hi yāvad dṛśyamānaṃ stanaṃ sa evāyam iti pūrvaduṣṭatvena na	| bAlaH api hi yAvat dRSyamAnam stanam saH eva ayam iti pUrva duzwa tvena na
   pratyavamṛśati tāvannoparatarudito mukhamarpayati stane |	pratyavamRSati tAvat na uparata ruditaH muKam arpayati stane |
   pūrvadṛṣṭāparadṛṣṭaṃ cārthamekīkurvada vijñānamasannihitaviṣayam,	pUrva dRzwa apara dRzwam ca arTam ekIkurvada vijQAnam asat nihita vizayam,
   pūrvadṛṣṭasyāsannihitatvāt | asanninahitaviṣayaṃ cārthanirapekṣam |	pUrva dRzwasya asat nihita tvAt | asat ninahita vizayam ca arTa nirapekzam |
   anapekṣaṃ ca pratibhāsaniyamahetorabhāvādaniyatapratibhāsam | tādṛśaṃ	anapekzam ca pratiBAsa niyama hetoH aBAvAt aniyata pratiBAsam | tAdRSam
   cābhilāpasaṃsargayogyam |	ca aBilApa saMsarga yogyam |
   tataśca vyāavarttyābhavāda yogyagrahaṇaṃ na kartavyamityāśaṅkāṃ parasya	tatas ca vyAavarttya aBavAda yogya grahaNam na kartavyam iti ASaFkAm parasya
   darśayati asatyabhilāpetyādinā | aniyatapratibhāsetyādinottaramāha | evaṃ	darSayati asati aBilApa ityAdinA | aniyata pratiBAsA ityAdinA uttaram Aha | evam
   manyate  śabdasaṃsargitvaṃ kimucyate? vikalpajñānasyāniyatabhasatvameva |	manyate Sabda saMsargi tvam kim ucyate? vikalpa jQAnasya aniyata Basa tvam eva |
   kutastat siddham? ityāha  aniyatetyādi | arthādeva hyutpadayamānaṃ	kutas tat sidDam? iti Aha aniyata ityAdi | arTAt eva hi utpadayamAnam
   niyatapratibhāsaṃ bhavati | tathā cakṣurvijñānamityabhiprāyaḥ | nanu	niyata pratiBAsam Bavati | taTA cakzuH vijQAnam iti aBiprAyaH | nanu
   kalpanājñānamapyarthādutpadayamānaṃ niyatākāarṃ bhaviṣyati? ityāha 	kalpanA jQAnam api arTAt utpadayamAnam niyata akAarm Bavizyati? iti Aha 
   vikalpavijñānamityādi | arthasannidhi vinā	vikalpa vijQAnam ityAdi | arTa sanniDi vinA
   vikalpajñānasyotpattirityabhiprāyaḥ |tenendriyajñānameva	vikalpa jQAnasya utpattiH iti aBiprAyaH |tena indriya jQAnam eva
   niyatapratibhāsam, vikalpajñānaṃ tvaniyatapratibhāsamiti | tathā	niyata pratiBAsam, vikalpa jQAnam tu aniyata pratiBAsam iti | taTA
   niyatapratibhāsaṃ vikalpajñānaṃ bālamūkāderapyastīti darśayati  bālo 'pi	niyata pratiBAsam vikalpa jQAnam bAla mUka AdeH api asti iti darSayati bAlaH api
   hītyādinā | nanu ca bālasya tālvādikaraṇapāṭavābhāve	hi ityAdinA | nanu ca bAlasya tAlu Adi karaNa pAwava aBAve
   sāmānyaviśeṣaśabdoccāraṇaṃ nāsti, tat kimucyate  sa evāyamiti? satyaṃ	sAmAnya viSeza Sabda uccAraNam nAsti, tat kim ucyate saH eva ayam iti? satyam
   nāstiḥ kintu sa evāyam ityenena vikalpasyāvasthocyate | sa evāyam ityanena	nAstiH kintu saH eva ayam iti enena vikalpasya avasTA ucyate | saH eva ayam iti anena
   pūrvadṛṣṭatvamevocyate | uparataruditaḥ= apagataruditaḥ | etad darśayati 	pUrva dRzwa tvam eva ucyate | uparata ruditaH apagata ruditaH | etat darSayati 
   bālasyāpi pūrvaparaparāmarśarūpaṃ vikalpakaṃ vijñānamasti, niyataviṣaye	bAlasya api pUrva para parAmarSa rUpam vikalpakam vijQAnam asti, niyata vizaye
   pravṛtteḥ, yathā gṛhītasaṃketasya pūrvāparaparāmaśena pravṛtiriti | yacca	pravRtteH, yaTA gRhIta saMketasya pUrva apara parAmaSena pravRtiH iti | yat ca
   pūrvāparaparāmarśa tadaniyatapratibhāsaṃ pūrvāparayorā	pUrva apara parAmarSa tad aniyata pratiBAsam pUrva aparayoH A
   saṃsargayogyapratibhāsaḥ, śabdasāmānyākāra iti śeṣa ityetaduktaṃ bhavati |	saMsarga yogya pratiBAsaH, Sabda sAmAnya AkAraH iti SezaH iti etat uktam Bavati |
   evaṃ śleṣeṇa vākyasya vyākhyānena ubhayorapi tadvikalpākāraḥ	evam SlezeNa vAkyasya vyAKyAnena uBayoH api tad vikalpa AkAraH
   abhilāpasaṃsargayogyapratibhāsa ityuktaṃ veditavyam |	aBilApa saMsarga yogya pratiBAsaH iti uktam veditavyam |
   indriyavijñānaṃ tu sannihitārthamātragrāhitvādarthasāpekṣam | arthasya ca	indriya vijQAnam tu sannihita arTa mAtra grAhi tvAt arTa sApekzam | arTasya ca
   pratibhāsaniyamahetutvānniyatapratibhāsam | tato nābhilāpasaṃsargayogyam |	pratiBAsa niyama hetu tvAt niyata pratiBAsam | tatas nABilApa saMsarga yogyam |
   ata eva svalakṣaṇasyāi vācyavācakabhāvamabhyupgamya	atas eva sva lakzaNasyAi vAcya vAcaka BAvam aByupgamya
   etadavikalpakatvamucyate | yadayapi hi svalakṣaṇameva vācyaṃ vācakaṃ ca	etat avikalpaka tvam ucyate | yadayapi hi sva lakzaNam eva vAcyam vAcakam ca
   bhavet, tathāpi abhilāpasaṃsṛṣṭārtha vijñānaṃ savikalpakam | na	Bavet, taTA api aBilApa saMsRzwa arTa vijQAnam sa vikalpakam | na
   cendriyavijñānam arthena niyamitapratibhāsatvāt	ca indriya vijQAnam arTena niyamita pratiBAsa tvAt 
   abhilāpasaṃsargayogyapratibhāsaṃ bhavatīti nirvikalpakam |	aBilApa saMsarga yogya pratiBAsam Bavati iti nirvikalpakam |
   śrotravijñānaṃ tarhi śabdasvalakṣaṇagrāhi, śabdasvalakṣaṇaṃ ca kiñcit	Srotra vijQAnam tarhi Sabda sva lakzaNa grAhi, Sabda sva lakzaNam ca kiQcid 
   vācyaṃ kiñcid vācakam  ityabhilākasaṃsargayogyapratibhāsaṃ syāt, tathā ca	vAcyam kiQcid vAcakam iti aBilAka saMsarga yogya pratiBAsam syAt, taTA ca
   savikalpakaṃ syāt?	sa vikalpakam syAt ?
   ropitatvāditi saṃsagaṃyogyaṃ bālamūkādervijñānamiti tannivṛttyarthaṃ	ropita tvAt iti saMsagaMyogyam bAlamUka AdeH vijQAnam iti tad nivRtti arTam
   yogyagrahaṇaṃ kartavyamiti sthitam |	yogya grahaNam kartavyam iti sTitam |
   indriyavijñānamityādinā kumarilena yadindriyavijñānasyālocanākhyasya	indriya vijQAnam ityAdinA kumarilena yat indriya vijQAnasya Alocana AKyasya
   bālamūkādivijñānena sādṛśyaṃ pratipāditam, tad dūṣayitumukasṃhāravyājena	bAla mUka Adi vijQAnena sAdRSyam pratipAditam, tat dUzayitumuka sMhAra vyAjena
   vailakṣaṇyaṃ darśayati ata evetvādi |	vElakzaNyam darSayati atas evetu Adi |
   yadindriyavijñānamarthabalenotpadayamānaṃ niyatapratibhāsaṃ	yat indriya vijQAnam arTa balena utpadayamAnam niyata pratiBAsam
   tannirvikalpasam | ata eva svalakṣaṇasyāpi śabdasyārthasya ca vācya	tad nirvikalpasam | atas eva sva lakzaNasya api Sabdasya arTasya ca vAcya
   vācakatvamamyupagamya nirvikalpakatvamindriyavijñānasya sādhyate |	vAcaka tvam ami upagamya nirvikalpaka tvam indriya vijQAnasya sADyate |
   vikalpavijñānasya tu svalakṣaṇavācya vācakatvaṃ pratibhāsino 'pi	vikalpa vijQAnasya tu sva lakzaNa vAcya vAcaka tvam pratiBAsinaH api
   savikalpakatvamiti sthitam | yadayapītyanena	sa vikalpaka tvam iti sTitam | yat ayapi iti anena
   svalakṣaṇayorvācyavācakabhāvābhyupagamaṃ darśayati | paramārthataḥ	sva lakzaNayoH vAcya vAcaka BAva aByupagamam darSayati | paramArTataH
   sāmānyayoreva vācyavācakatvaṃ nārthaśabdaviśeṣasyetyādinā nyānena |	sAmAnyayoH eva vAcya vAcaka tvam na arTa Sabda viSezasya ityAdinA nyAnena |
   avaśyaṃ ca svalakṣaṇayoḥ vācyavācakabhavo 'bhyupagamya | kutaḥ?	avaSyam ca sva lakzaNayoH vAcya vAcaka BavaH aByupagamya | kutas ?
   sāmānyayorviṣayacintāyāmeva nirasyamānatvāditi nirvikalpakatvakathanaṃ	sAmAnyayoH vizaya cintAyAm eva nirasyamAna tvAt iti nirvikalpaka tva kaTanam
   vyartha syādiha | tadapi hi viṣayāviṣayacintādvāreṇa	vyarTa syAt iha | tat api hi vizaya avizaya cintA dvAreNa
   nirvikalpakaviṣayameveti | tena yad vinītadevena	nirvikalpaka vizayam eva iti | tena yat vinIta devena
   sāmānyayorvācyavācakabhāvamaṅgīkṛtya nirvikalpakatvamindriyāvijñānasya	sAmAnyayoH vAcya vAcaka BAvam aFgIkRtya nirvikalpaka tvam indriya avijQAnasya
   pratipāditam, tad dūṣitaṃ bhaṅgayā |	pratipAditam, tat dUzitam BaFgayA |
   śrotravijñānaṃ tahīṃtyādinā svalakṣaṇasya vācyavācakabhāvapakṣe	Srotra vijQAnam tahIMti AdinA sva lakzaNasya vAcya vAcaka BAva pakze
   'tiprasaṅgamāpādayati paraḥ | kiñcinnirvikalpakatvamindriyavijñānasya	atiprasaFgam ApAdayati paraH | kiQcid nirvikalpaka tvam indriya vijQAnasya
   sādhanīyam | na sāmānyayorvācya vācakabhāvamabhyupagamya śabdasvalakṣaṇaṃ	sADanIyam | na sAmAnyayoH vAcya vAcaka BAvam aByupagamya Sabda sva lakzaNam
   vācyam | yadā ghaṭaśabdaḥ | śabdaśabdo vā śabdaṃ śabdena pratipadayate,	vAcyam | yadA Gawa SabdaH | Sabda SabdaH vA Sabdam Sabdena pratipadayate,
   tadā kiñcid vācyaṃ śabdasvalakṣaṇaṃ kiñcid vācakaṃ śabdasvalakṣaṇa	tadA kiQcid vAcyam Sabda sva lakzaNam kiQcid vAcakam Sabda sva lakzaNa
   6| tayā rahitaṃ timirāśubhramaṇanauyānasaṃkṣobhādyanāhitavibhramaṃ jñānaṃ	6| tayA rahitam timira ASu Bra maNa nOyAna saMkzoBa Adi anAhita viBramam jQAnam
   pratyakṣam ||	pratyakzam ||
   pratītiriti saṃvidanam | buddhariti śeṣaḥ || 5 ||	pratItiH iti saMvidanam | budDar iti SezaH || 5 ||
   tayā rahitamiti kalpanayā rahitam | kalpanākaluṣeṇa rahitamiti śeṣaḥ |	tayA rahitam iti kalpanayA rahitam | kalpanA kaluzeNa rahitam iti SezaH |
   tena etaduktyā śabdārthasāmānyākārarahitāyā pratītiḥ sā eva pratītiḥ, sā	tena etat uktyA Sabda arTa sAmAnya AkAra rahitAyAH pratItiH sA eva pratItiH, sA
   eva pratyakṣapramāṇamityuktaṃ bhavati |	eva pratyakza pramANam iti uktam Bavati |
   timirāśubhramaṇa nauyāna saṃkṣobhādyanāhitavibhramamiti | atra timiramiti	timira ASu BramaNa nOyAna saMkzoBa Adi anAhita viBramam iti | atra timiram iti
   akṣipīḍā | āśubhrramaṇamiti alātacakrādi | nauyānamiti nāvā yānam |	akzipIxA | ASu BrramaNam iti alAta cakra Adi | nOyAnam iti nAvA yAnam |
   saṃkṣoma naiṣa doṣaḥ, satyapi svalakṣaṇasya vācyavācakabhāve	saMkzoma na eza dozaH, sati api sva lakzaNasya vAcya vAcaka BAve
   saṃketakāladṛṣṭatvena gṛhyamāṇaṃ svalakṣaṇaṃ vācyaṃ vācakaṃ ca gṛhītaṃ	saMketa kAla dRzwa tvena gRhyamANam sva lakzaNam vAcyam vAcakam ca gRhItam
   syāt | na ca saṃketakālabhāvi darśanaviṣayatvaṃ vastunaḥ saṃpratyamti |	syAt | na ca saMketa kAla BAvi darSana vizaya tvam vastunaH saMpratyamti |
   yathā hi  saṃketakālabhāvi darśanamadya niruddham, tadvat tadviṣayatvamapi	yaTA hi saMketa kAla BAvi darSanam adya nirudDam, tadvat tad vizaya tvam api
   arthasyādya nāsti | tataḥ pūrvakāladdaṣṭatvamapaśyaccrotrajñānaṃ ca	arTasya adya na asti | tatas pUrva kAla ddazwa tvam apaSyat crotra jQAnam ca
   vācyavācakabhāvagrāhi |	vAcya vAcaka BAva grAhi |
   anenaiva nyānena yogijñānamapi sakalaśabdārthāvabhāsitve 'pi	anena eva nyAnena yogi jQAnam api sakala Sabda arTa avaBAsi tve api
   saṃketakāladṛṣṭatvāgrahaṇaṇānnirvikalpakam || 5 ||	saMketa kAla dRzwa tva agrahaNaNAt nirvikalpakam || 5 ||
   tayeti | tayā kalpanayā kalpanāsvabhāvena rahitaṃ śūnyaṃ sahjñānaṃ	tayA iti | tayA kalpanayA kalpanA svaBAvena rahitam SUnyam sahjQAnam
   yadabhrāntaṃ tat pratyakṣam iti pareṇa sambandhaḥ |	yat aBra antam tat pratyakzam iti pareNa sambanDaH |
   kalpanāpoḍhatvābhrāntatve parasparasāpekṣe miti | tataḥ śuddhayoḥ śravaṇe	kalpanA apoXa tva aBra anta tve paraspara sa apekze miti | tatas SudDayoH SravaNe
   sati śabdavijñāne dvayorapi śabdayoḥ	sati Sabda vijQAne dvayoH api SabdayoH
   pratibhāsanāccotrendriyajñānamaniyatapratibhāsitvāt savikalpakaṃ	pratiBAsanAt cotra indriya jQAnam aniyata pratiBAsi tvAt sa vikalpakam
   syādityākūtam |	syAt iti AkUtam |
   satyapītyādi | evaṃ manyate  yadyapi svalakṣaṇayorvācyavācakatvam, tathāpi	sati api ityAdi | evam manyate yadi api sva lakzaNayoH vAcya vAcaka tvam, taTA api
   śrotravijñāne na vācyavācakatayā tayoḥ pratibhāsanam, api tu śuddhayoreva	Srotra vijQAne na vAcya vAcaka tayA tayoH pratiBAsanam, api tu SudDayoH eva
   pratibhāsanam, yasmāt śabdasannidhibalena śrotravijñānamutpadyate | na ca	pratiBAsanam, yasmAt Sabda sanniDi balena Srotra vijQAnam utpadyate | na ca
   sannihitayoḥ śabdayorvācya vācakatvamasti | yāvat saṃketakālabhāvi	sannihitayoH SabdayoH vAcya vAcaka tvam asti | yAvat saMketa kAla BAvi
   śabdasmaraṇaṃ na bhavati, tāvat kuto vācyatvaṃ vācakatvaṃ vā syāt,	Sabda smaraNam na Bavati, tAvat kutas vAcya tvam vAcaka tvam vA syAt ,
   etatpratyabhijñayā sa evāyaṃ vācako bhaviṣyatotyāha na ca saṃketakāletyādi	etad pratyaBijQayA saH eva ayam vAcakaH Bavizyatoti Aha na ca saMketa kAla ityAdi
   | viṣayabhedāt tayoḥ pūrvottarayorbhedaḥ | kaśca saṃketaviṣayaḥ śabdaḥ?	| vizaya BedAt tayoH pUrva uttarayoH BedaH | kaH ca saMketa vizayaH SabdaH?
   yaḥ saṃketakālabhāvinā jñānena viṣayīkṛtaḥ | yaśca pūrva jñānena	yaH saMketa kAla BAvinA jQAnena vizayIkRtaH | yaH ca pUrva jQAnena
   viṣayīkṛtaḥ sa idānī nāsti, pūrvajñānavināśe pūrvajñānaviṣayatvasyābhāvāt	vizayIkRtaH saH idAnI nAsti, pUrva jQAna vinASe pUrva jQAna vizaya tvasya aBAvAt
   | ataḥ pūrvakālaviṣayatvamapaśyat sannihite śrotravalenotpadyamānāṃ	| atas pUrva kAla vizaya tvam apaSyat sannihite Srotra valena utpadyamAnAm
   nirvikalpakameva |	nirvikalpakam eva |
   yogijñānena yadyekasmin kāle manovijñānena ca yugapaccabdāthau gṛhyate,	yogi jQAnena yadi ekasmin kAle manaH vijQAnena ca yugapad cabdATO gRhyate,
   tathāpi sannihitavastutayā tena gṛhītavyāviti darśayati 	taTA api sannihita vastu tayA tena gRhIta vyO= iti darSayati 
   yogijñānamityādinā || |5 ||	yogi jQAnam ityAdinA || |5 ||
   nanu kalpanājñānamapi parayā kalpanayā śūnyam, tataśca tasyāpi	nanu kalpanA jQAnam api parayA kalpanayA SUnyam, tatas ca tasya api
   nirvikalpakatvaṃ prāpnoti? ityāśaṅkayāha  tathā kalpanayā	nirvikalpaka tvam prApnoti? iti ASaFkayA aha taTA kalpanayA
   kalpanāsvabhāvenetyādi | evaṃ iti vātapittakaphaprakopeṇa dhātukhedaḥ |	kalpanA svaBAvena ityAdi | evam iti vAta pitta kaPa prakopeNa DAtu KedaH |
   timiraṃ ca āśubhramaṇaṃ ca nauyānaṃ ca saṃkṣobhaśceti te ādayo yeṣāṃ te	timiram ca ASu BramaNam ca nOyAnam ca saMkzoBaH ca iti te AdayaH yezAm te
   timirāśubhramaṇanauyānasaṃkṣobhādayaḥ | ādiśabdena	timira ASu Bra maNa nOyAna saMkzoBa AdayaH | Adi Sabdena
   naṣṭadṛṣṭipītadṛṣṭayādīnāṃ saṃgrahaḥ | āhito vibhrabho yasmiṃmastad	nazwa dRzwi pIta dRzwayA AdInAm saMgrahaH | AhitaH viBraBaH yasmiM maH tat 
   āhitavibhramam, na āhitavibhramamityanāhitavibhramam |	Ahita viBramam, naH Ahita viBramam iti anAhita viBramam |
   timirāśubhramaṇanauyānasaṃkṣobhairanāhitavibhramamiti	timira ASu Bra maNa nOyAna saMkzoBEH anAhita viBramam iti
   timirāśubhramaṇanauyānasaṃkṣobhānāhitavibhramam | tathā ca timirarogeṇa	timira ASu Bra maNa nOyAna saMkzoBa anAhita viBramam | taTA ca timira rogeNa
   dvicandradarśanaṃ bhavati | nauyānagatyā torataruścalan dṛśyate |	dvi candra darSanam Bavati | nOyAna gatyA tora taruH calan dRSyate |
   vātapittādikopena vastu jvalitādikaṃ dṛśyate |	vAta pitta Adi kopena vastu jvalita Adikam dRSyate |
   pratyakṣalakṣaṇam, na pratyekam  iti darśayituṃ tayā rahitaṃ yadabhrāntaṃ	pratyakza lakzaNam, na pratyekam iti darSayitum tayA rahitam yat aBra antam
   tat pratyakṣamiti lakṣaṇayoḥ parasparasāpekṣayoḥ pratyakṣaviṣayatvaṃ	tat pratyakzam iti lakzaNayoH parasparasa apekzayoH pratyakza vizaya tvam
   darśitamiti |	darSitam iti |
   timiram {asṇo}rviplavaḥ | indriyagatamidaṃ vibhramakāraṇam | āśubhramaṇam	timiram {asNo}H viplavaH | indriya gatam idam viBrama kAraNam | ASu BramaNam
   alātādeḥ | mandaṃ hi bhramyamāṇe 'lātādau n acakrabhrāntirutpadyate |	alAta AdeH | mandam hi BramyamANe alAtA AdO n acakra BrAntiH utpadyate |
   tadartham āśugrahaṇena viśeṣyate bhramaṇam | etacca viṣayagataṃ	tad arTam ASu grahaNena viSezyate BramaNam | etat ca vizaya gatam
   vibhramakāraṇam | nāvā gamanaṃ nauyānam | gaccantyāṃ nāvi sthitasya	viBrama kAraNam | nAvA gamanam nOyAnam | gaccantyAm nAvi sTitasya
   gaccadvṛkṣādibhrāntirutpadyate iti yaunagrahaṇam | etacca	gaccat vRkza Adi BrAntiH utpadyate iti yOna grahaNam | etat ca
   bāhyāśrayasthitaṃ vibhramakāraṇam | saṃkṣābho vātapittaśleṣmaṇām |	bAhya ASraya sTitam viBrama kAraNam | saMkzABaH vAta pitta SlezmaNAm |
   vātādiṣu hi kṣobhaṅgateṣu jvalitastambhāvibhrāntirutpadyate|	vAta Adizu hi kzoBaFgatezu jvalita stamBa aviBrAntiH utpadyate|
