   REFERENCE SYSTEM (added):	RA-eFA-eRENCE SYSTEm (added):
   bhaviṣyanti, avinivartanīyāśca bhaviṣyanti anuttarāyāṃ samyaksambodhau |	Bavizyanti, avinivartanIyAH-ca Bavizyanti anuttarAyAm samyaksamboDO |
   tasmāttarhi śāriputra śraddadhādhvaṃ pratīyatha mā kāṅkṣayatha mama ca	tasmAt-tarhi SAriputra SraddaDADvam pratIyaTa mA kAFkzayaTa mama ca
   teṣāṃ ca buddhānāṃ bhagavatām | ye kecicchāriputra kulaputrā vā	tezAm ca budDAnAm BagavatAm | ye kecid-SAriputra kula-putrA vA
   kuladuhitaro vā tasya bhagavato 'mitāyuṣastathāgatasya buddhakṣetre	kula-duhitaraH vA tasya BagavataH amita-AyuzaH-taTAgatasya budDa-kzetre
   cittapraṇidhānaṃ kariṣyanti, kṛtaṃ vā kurvanti vā, sarve te 'vinivartanīyā	citta-praNiDAnam karizyanti, kRtam vA kurvanti vA, sarve te avinivartanIyA
   bhaviṣyantyanuttarāyāṃ samyaksaṃbodhau | tatra ca buddhakṣetra	Bavizyanti-anuttarAyAm samyaksaMboDO | tatra ca budDa-kzetra
   upapatsyanti, upapannā vā upapadyanti vā | tasmāttarhi śāriputra śrāddhaiḥ	upapatsyanti, upapannAH vE upapadyanti vA | tasmAt-tarhi SAriputra SrAdDEH
   kulaputraiḥ kuladuhitṛbhiśca tatra buddhakṣetre	kula-putrEH kula-duhitRBiH-ca tatra budDa-kzetre
   cittapraṇidhirutpādayitavyaḥ || Sukhs_17 ||	citta-praNiDiH-utpAdayitavyaH || SuKH-_17 ||
   tadyathāpi nāma śāriputra ahametarhi teṣāṃ buddhānāṃ	tat-yaTA-api nAma SAriputra aham-etarhi tezAm budDAnAm
   bhagavatāmevamacintyaguṇān parikīrtayāmi, evameva śāriputra mamāpi te	BagavatAm-evam-acintya-guNAn parikIrtayAmi, evam-eva SAriputra mama-api te
   buddhā bhagavanta evamacintyaguṇān parikīrtayanti | suduṣkaraṃ bhagavatāṃ	budDAH BagavantaH evam-acintya-guNAn parikIrtayanti | su-duzkaram BagavatAm
   śākyamuninā śākyādhirājena kṛtam | sahāyāṃ lokadhātāvanuttarāṃ	SAkya-muninA SAkya-aDirAjena kRtam | sahAyAm loka-DAtO=-anuttarAm
   samyaksaṃbodhimabhisaṃbudhya sarvalokavipratyayanīyo dharmo deśitaḥ	samyaksaMboDim-aBisaMbuDya sarva-loka-vipratyayanIyaH DarmaH deSitaH
   kalpakaṣāye sattvakaṣāye dṛṣṭikaṣāya āyuṣkaṣāye kleśakaṣāye || Sukhs_18 ||	kalpa-kazAye sattva-kazAye dRzwi-kazAyaH AyuzkazAye kleSa-kazAye || SuKH-_18 ||
   tanmamāpi śāriputra paramaduṣkaraṃ yanmayā sahāyāṃ lokadhātāvanuttarāṃ	tat-mama-api SAriputra parama-duzkaram yat-mayA sahAyAm loka-DAtO=-anuttarAm
   samyaksaṃbodhimabhisaṃbudhya sarvalokavipratyayanīyo dharmo deśitaḥ	samyaksaMboDim-aBisaMbuDya sarva-loka-vipratyayanIyaH DarmaH deSitaH
   sattvakaṣāye dṛṣṭikaṣāye kleśakaṣāya āyuṣkaṣāye kalpakaṣāye || Sukhs_19 ||	sattva-kazAye dRzwi-kazAye kleSa-kazAyaH AyuzkazAye kalpa-kazAye || SuKH-_19 ||
   idamavocadbhagavānāttamanāḥ | āyuṣmān śāriputraste ca bhikṣavaste ca	idam-avocat-BagavAn-AttamanAH | AyuzmAn SAriputraH-te ca BikzavaH-te ca
   bodhisattvāḥ sadevamānuṣāsuragandharvaśca loko bhagavato	boDisattvAH sa-deva-mAnuza-asura-ganDarvaH-ca lokaH BagavataH-
   bhāṣitamabhyanandan || Sukhs_20 ||	BAzitam-aByanandan || SuKH-_20 ||
   sukhāvatīvyūho nāma mahāyānasūtram || (saṃkṣiptamātṛkā |)	suKAvatI-vyUhaH nAma mahAyAna-sUtram || (saMkzipta-mAtRkAH |)
