   Cīvaravastu	SIva-ravaH-tu
   tathāpi na paśyati / devīṃ pṛcchati / sāpi na saṃjānīte katarasmin pradeśe	taTA-api na paSyati / devIm pRcCati / sA-api na saMjAnIte katarasmin pradeSe
   vraṇam āsīd iti / rājā paraṃ vismayam āpanna amātyānāṃ kathayati / bhavato	vraNam AsIt iti / rAjA param vismayam Apan-na amAtyAnAm kaTayati / BavataH-
   jīvakasya vaidyarājābhiṣekaṃ kuruteti / so 'ndhaḥ puruṣaḥ kathayati / deva	jIvakasya vEdya-rAja-aBizekam kuruta-iti / saH anDaH puruzaH kaTayati / deva
   kiṃ putrasnehād asyābhiṣekaḥ kriyate / āhosvid vaidyavaicakṣaṇyād iti / sa	kim putra-snehAt asya-aBizekaH kriyate / Ahosvit vEdya-vEcakzaNyAt iti / sa
   kathayati / vaidyacaikṣaṇyāt* / yady evam aham evānenāndhīkṛtaḥ / jīvakaḥ	kaTayati / vEdya-cEkzaNyAt* / yadi evam aham eva-anena-anDIkRtaH / jIvakaH
   kathayati / bhoḥ puruṣa tavāhaṃ darśanam api na samanupaśyāmi kutaḥ	kaTayati / BoH puruza tava-aham darSanam api na samanupaSyAmi kutas-
   svasthīkariṣyāmi / sa kathayati / satyam etad api tu yasya tvayopadeśaḥ	svasTIkarizyAmi / sa kaTayati / satyam etat api tu yasya tvayA-upadeSaH
   kṛtas tena mamopadiṣṭam* / kim upadiṣṭam* / amukam* / jīvakaḥ kathayati /	kRtaH tena mama-upadizwam* / kim upadizwam* / amukam* / jIvakaH kaTayati /
   tasyānyo dhātuḥ / tavāpy anyaḥ / idānīm idaṃ cedaṃ ca kuru /	tasya-anyaH DAtuH / tava-api anyaH / idAnIm idam ca-idam ca kuru /
   svasthībhaviṣyasīti / tena kṛtam* / (MSV II 40) svasthībhūtaḥ / kathayati	svasTI-Bavizyasi-iti / tena kRtam* / (MSV II 40) svasTIBUtaH / kaTayati
   / deva kriyatām asya vaidyarājābhiṣeka iti / sa hastiskandhābhirūḍho	/ deva kriyatAm asya vEdya-rAja-aBizekaH iti / sa hasti-skanDa-aBirUXaH-
   mahatā śrīsamudayena vaidyarājye 'bhiṣiktaḥ /	mahatA SrI-samudayena vEdya-rAjye aBiziktaH /
   rājagṛhe 'nyatamo gṛhapatir gulmavyādhinā spṛṣṭaḥ /	rAjagRhe anyatamaH gRhapatiH gulma-vyADinA spRzwaH /
   sarvavaidyapratyākhyātaḥ / sa saṃlakṣayati / jīvakasya sakāśaṃ gacchāmīti	sarva-vEdya-pratyAKyAtaH / sa saMlakzayati / jIvakasya sakASam gacCAmi-iti
   / yadi cikitsāṃ kariṣyaty atīva kuśalaṃ no ced ātmānaṃ ghātayiṣyāmīti / sa	/ yadi cikitsAm karizyati atIva kuSalam no ced AtmAnam GAtayizyAmi-iti / sa
   jīvakasakāśaṃ gataḥ / jīvaka cikitsāṃ me kuru / sa kathayati / bhoḥ puruṣa	jIvaka-sakASam gataH / jIvaka cikitsAm me kuru / sa kaTayati / BoH puruza
   durlabhāni tava bhaiṣajyānīti / sa saṃlakṣayati / jīvakenāpy ahaṃ	durlaBAni tava BEzajyAni-iti / sa saMlakzayati / jIvakena-api aham
   pratyākhyātaḥ / kim atra prāptakāla ātmānaṃ ghātayiṣyāmīti / śmaśānaṃ	pratyAKyAtaH / kim atra prApta-kAle AtmAnam GAtayizyAmi-iti / SmaSAnam
   gataḥ / tatra citāyāṃ jvalantyāṃ babhrunakulaś candanagodhā ca yudhyamānau	gataH / tatra citAyAm jvalantyAm baBru-nakulaH candana-goDA ca yuDyamAnO
   patitau / tena kṣudhārtena tāv ubhāv api bhakṣitau / devaś ca vṛṣṭaḥ /	patitO / tena kzuDA-Artena tO uBO api BakzitO / devaH ca vRzwaH /
   śmaśānāt pragharat tac citodakaṃ pītam* / śmaśānasya nātidūre gokulam* /	SmaSAnAt praGarat tat citA-udakam pItam* / SmaSAnasya na-ati-dUre gokulam* /
   tatra gatvā kodravodanaṃ mathitaṃ ca pītam* / gulmaḥ sphuṭitaḥ / ūrdhvam	tatra gatvA kodravodanam maTitam ca pItam* / gulmaH sPuwitaH / UrDvam
   adhaś ca virikto yathā paurāṇaḥ saṃvṛttaḥ /	aDas ca viriktaH yaTA pOrANaH saMvRttaH /
   apareṇa samayena vaidehyā guhyapradeśe piṭako jātaḥ / tayā rājñe	apareNa samayena vEdehyAH guhya-pradeSe piwakaH jAtaH / tayA rAjQe
   niveditam* / rājñā jīvako 'bhihitaḥ / aparamātuś cikitsāṃ kuruṣveti / tena	niveditam* / rAjQA jIvakaH aBihitaH / apara-mAtuH cikitsAm kuruzva-iti / tena
   pratijñātam* / tataḥ satkūn piṇḍīkṛtya dhātryā dattāḥ / asyāntike	pratijQAtam* / tatas satkUn piNxIkRtya DAtryAH dattAH / asya-antike
   niṣādayitavyeti / tayā sā niṣāditā / jīvakena satkupiṇḍaṃ dṛṣṭā	nizAdayitavyA-iti / tayA sA nizAditA / jIvakena sat-kupiNxam dRzwA
   saṃlakṣitaḥ / amuṣmin pradeśe iti / tataḥ pācanīyāni dravyāṇi dattāni /	saMlakzitaH / amuzmin pradeSe iti / tatas pAcanIyAni dravyANi dattAni /
   pakvaṃ jñātvā satkupiṇḍamadhye śastrakaṃ prakṣipya dhātryābhihitā /	pakvam jQAtvA sat-kupiNxa-maDye Sastrakam prakzipya DAtrya-aBihitAH /
   asyāntike īṣan niṣādayitavyā devī / niṣadyākāśe dhārayitavyeti / tayā	asya-antike Izat nizAdayitavyA devI / nizadya-AkASe DArayitavyA-iti / tayA
   tathākṛtam* / śastrasaṃpātasamakālam (MSV II 41) eva piṭakaḥ sphuṭitaḥ /	taTA-akRtam* / Sastra-saMpAta-sama-kAlam (MSV II 41) eva piwakaH sPuwitaH /
   tato rohaṇīyadravyaparibhāvitena kaṣāyāmbhasā śocitaḥ / rohiṇīyāni	tatas rohaNIya-dravya-pariBAvitena kazAya-amBasA SocitaH / rohiNIyAni
   dravyāṇi dattāni / svasthībhūtā / jīvako rājñaḥ sakāśaṃ gataḥ / rājā	dravyANi dattAni / svasTIBUtA / jIvakaH rAjQaH sakASam gataH / rAjA
   kathayati / jīvaka kṛtā te 'paramātuś cikitsā / deva kṛtā / mā te vinagnā	kaTayati / jIvaka kRtA te apara-mAtuH cikitsA / deva kRtA / mA te vinagnA
   dṛṣṭā / deva na dṛṣṭā / kathaṃ kṛtā / tena yathāvṛttam ārocitam* / rājā	dRzwA / deva na dRzwAH / kaTam kRtA / tena yaTAvRttam Arocitam* / rAjA
   paraṃ vismayam āpannaḥ / tenāmātyā uktāḥ / dvir api jīvakasya	param vismayam ApannaH / tena-amAtyAH uktAH / dvis api jIvakasya
   vaidyarājābhiṣekaṃ kurutheti / yo 'sau gulmī puruṣo jīvakenābhihito	vEdya-rAja-aBizekam kuruTa-iti / yaH asO gulmI puruzaH jIvakena-aBihitaH-
   durlabhāni bhaiṣajyānīti sa kathayati / deva kiṃ putrasnehād asyābhiṣekaḥ	durlaBAni BEzajyAni-iti sa kaTayati / deva kim putra-snehAt asya-aBizekaH
   kriyate / āhosvid vaidyavaicakṣaṇyāt* / vaidyavaicakṣaṇyāt* / yady evam	kriyate / Ahosvit vEdya-vEcakzaNya-at* / vEdya-vEcakzaNya-at* / yadi evam
   aham anena na svasthīkṛtaḥ / jīvakaḥ kathayati / bhoḥ puruṣa na mayā tava	aham anena na svasTIkRtaH / jIvakaH kaTayati / BoH puruza na mayA tava
   cikitsā kṛtā / api (249r1 = GBM 6.810) tu mayoktaṃ durlabhāni te	cikitsA kRtA / api (249r1  GBm 6.810) tu mayA-uktam durlaBAni te
   bhaiṣajyānīti / sa kathayati / kīdṛśāni mama bhaiṣajyānīti / jīvakaḥ	BEzajyAni-iti / sa kaTayati / kIdRSAni mama BEzajyAni-iti / jIvakaH
   kathayati / yadi kṛṣṇacaturdaśyām ekapiṇḍalaḥ puruṣaḥ kālaṃ karoti / tasya	kaTayati / yadi kRzNa-caturdaSyAm eka-piNxalaH puruzaH kAlam karoti / tasya
   śmaśāne dhmāpyamānasya babhrunakulaś candanagodhā ca citāyāṃ patitaḥ / tau	SmaSAne DmApyamAnasya baBru-nakulaH candana-goDA ca citAyAm patitaH / tO
   tvaṃ bhakṣayasi / mahendro devo varṣati / śmaśānāc ca pragharitaṃ codakaṃ	tvam Bakzayasi / mahA-indraH devaH varzati / SmaSAnAt ca praGaritam ca-udakam
   pibasi / tataḥ kodravodanaṃ bhuṃkṣe mathitaṃ ca pibasi evaṃ tvaṃ svastho	pibasi / tatas kodravodanam BuMkze maTitam ca pibasi evam tvam svasTaH-
   bhavasy etan matvā mayoktaṃ durlabhāni te bhaiṣajyānīti / sa kathayati /	Bavasi etat matvA mayA-uktam durlaBAni te BEzajyAni-iti / sa kaTayati /
   sādhu suṣṭhu parijñātam* / etad eva mayopayuktam* / tato 'bhiprasannaḥ	sADu suzWu parijQAtam* / etat eva mayA-upayuktam* / tatas aBiprasannaH
   kathayati / deva śakyo 'sya vaidyarājābhiṣekaḥ / abhiṣicyatām iti / dvir	kaTayati / deva SakyaH asya vEdya-rAja-aBizekaH / aBizicyatAm iti / dvis-
   api vaidyarājye 'bhiṣiktam* /	api vEdya-rAjye aBiziktam* /
   (MSV II 42)	(MSV II 42)
   yadā ajātaśatruṇā devadattakalyāṇamitravigrāhitena pitā dhārmiko	yadA ajAtaSatruNA devadatta-kalyANa-mitra-vigrAhitena pitA DArmikaH-
   dharmarājo jīvitād vyaparopitaḥ tadāsya gulmarogaḥ prādurbhūtaḥ / tena	DarmarAjaH jIvitAt vyaparopitaH tadA-asya gulma-rogaH prAdurBUtaH / tena
   vaidyānām ājñā dattā / cikitsāṃ kuruṣveti / te kathayanti / deva jīvako	vEdyAnAm AjQA dattA / cikitsAm kuruzva-iti / te kaTayanti / deva jIvakaH-
   'nuttaro vaidyarājo devasya bhrātā / tasmin sthite kā śaktir asmākaṃ	anuttaraH vEdya-rAjaH devasya BrAtA / tasmin sTite kA SaktiH asmAkam
   cikitsāṃ kartum iti / tenāmātyānām ājñā dattā / āhūyatāṃ bhavanto jīvaka	cikitsAm kartum iti / tena-amAtyAnAm AjQA dattA / AhUyatAm BavantaH jIvaka
   iti / tair āhūtaḥ / jīvaka gulmarogo me prādurbhūtaḥ / cikitsāṃ kuruṣveti	iti / tEH AhUtaH / jIvaka gulma-rogaH me prAdurBUtaH / cikitsAm kuruzva-iti
   / deva karomi / sa saṃlakṣayati / dvābhyāṃ kāraṇābhyāṃ gulmo bhidyate /	/ deva karomi / sa saMlakzayati / dvAByAm kAraNAByAm gulmaH Bidyate /
   atyantaharṣeṇa vā atyantaroṣeṇa vā / tad ayaṃ pāpakārī satvaḥ / kuto	atyanta-harzeNa vA atyanta-rozeNa vA / tat ayam pApa-kArI satvaH / kuto
   'syātyantaharṣaḥ / sarvathā roṣayitavya iti viditvā kathayati / deva	asya-atyanta-harzaH / sarvaTA rozayitavyaH iti viditvA kaTayati / deva
   samayena cikitsāṃ karomi / yady udāyibhadrasya kumārasya māṃsaṃ	samayena cikitsAm karomi / yadi udAyiBadrasya kumArasya mAMsam
   paribhuṃkṣveti / śrutvā rājā ruṣitaḥ kathayati / śobhanam* / mayā pitā	pariBuMkzva-iti / SrutvA rAjA ruzitaH kaTayati / SoBanam* / mayA pitA
   jīvitād vyaparopitaḥ / tvam apy udāyibhadraṃ jīvitād vyaparopaya / aham	jIvitAt vyaparopitaH / tvam api udAyiBadram jIvitAt vyaparopaya / aham
   api svayam eva rogeṇa kālaṃ kariṣyāmi / tvam api rājā bhaviṣyasīti / sa	api svayam eva rogeNa kAlam karizyAmi / tvam api rAjA Bavizyasi-iti / sa
   kathayati / deva eṣā cikitsā / na śakyam anyathā svasthena bhavitum iti /	kaTayati / devaH ezA cikitsA / na Sakyam anyaTA svasTena Bavitum iti /
   nāsty ātmasamaṃ prema / tenābhyupagatam* / tato jīvakena udāyibhadra	na-asti Atma-samam prema / tena-aByupagatam* / tatas jIvakena udAyiBadra
   kumāraḥ sarvālaṃkāravibhūṣitaḥ kṛtvā rājña upanāmitaḥ / deva ayam	kumAraH sarva-alaMkAra-viBUzitaH kRtvA rAjQaH upanAmitaH / deva ayam
   udāyibhadraḥ kumāraḥ sunirīkṣitam enaṃ kuru / na bhūyo drakṣyasīti / tatas	udAyiBadraH kumAraH su-nirIkzitam enam kuru / na BUyas drakzyasi-iti / tatas-
   tenopadarśya gṛhaṃ nītvā sthāpitaḥ / tato jīvako māṃsārthī śītavanaṃ	tena-upadarSya gRham nItvA sTApitaH / tatas jIvakaH mAMsa-arTI SItavanam
   śmaśānaṃ gataḥ / aśūnyaṃ ca śītavanaṃ śmaśānaṃ mṛtakuṇapena / (MSV II 43)	SmaSAnam gataH / aSUnyam ca SItavanam SmaSAnam mRta-kuNapena / (MSV II 43)
   tatas tena kuṇapamāṃsaṃ gṛhītvopakaraṇaviśeṣaiḥ sādhayitvā bhojanakāle	tatas tena kuNapa-mAMsam gRhItvA-upakaraNa-viSezEH sADayitvA Bojana-kAle
   rājña upanāmitam* / tato rājā ajātaśatruḥ māṃsaśarāvaṃ gṛhītvā	rAjQaH upanAmitam* / tatas rAjA ajAtaSatruH mAMsa-SarAvam gRhItvA
   bhakṣayiṣyāmīti jīvakenācchidya kapole prahāro dattaḥ / pāpakārin tvayā	BakzayizyAmi-iti jIvakena-AcCidya kapole prahAraH dattaH / pApa-kArin tvayA
   pitā dhārmiko dharmarājo jīvitād vyaparopitaḥ / idānīṃ putramāṃsam api	pitA DArmikaH DarmarAjaH jIvitAt vyaparopitaH / idAnIm putra-mAMsam api
   bhakṣayasīti / sa ruṣitaḥ kathayati / yady evaṃ kimarthaṃ praghātitaḥ /	Bakzayasi-iti / sa ruzitaH kaTayati / yadi evam kim-arTam praGAtitaH /
   saṃjātāmarṣasya cāsya gulmaḥ sphuṭitaḥ ūrdhvam adhaś ca viriktaḥ / sa	saMjAta-amarzasya ca-asya gulmaH sPuwitaH UrDvam aDas ca viriktaH / sa
   rudhira eva mukhenāgataḥ / yaṃ dṛṣṭvā mūrcchitaḥ pṛthivyāṃ patitaḥ / tato	ruDiraH eva muKena-AgataH / yam dRzwvA mUrcCitaH pRTivyAm patitaH / tatas-
   jalābhiṣekapratyāgataprāṇaṃ snapayitvā sāṃpreyabhojanaṃ dattam* / yathā	jala-aBizeka-pratyAgata-prANam snapayitvA sAMpreya-Bojanam dattam* / yaTA
   paurāṇaḥ saṃvṛttaḥ / tato jīvaka udāyibhadraṃ kumāraṃ	pOrANaH saMvRttaH / tatas jIvakaH udAyiBadram kumAram
   sarvālaṃkāravibhūṣitam ādāya rājñaḥ sakāśam upasaṃkrāntaḥ / pādayor	sarva-alaMkAra-viBUzitam AdAya rAjQaH sakASam upasaMkrAntaH / pAdayoH-
   nipatya kathayati / deva ayam udāyibhadraḥ kumāro na śakyaṃ mayā	nipatya kaTayati / deva ayam udAyiBadraH kumAraH na Sakyam mayA
   kuntapipīlakam api prāṇinaṃ jīvitād vyaparopayituṃ (249v1 = GBM 6.811)	kunta-pipIlakam api prANinam jIvitAt vyaparopayitum (249v1  GBm 6.811)
   prāg eva kumāram* / api tv anenopāyena cikitseti mayopāyasaṃvidhānaṃ kṛtam	prAk eva kumAram* / api tu anena-upAyena cikitsA-iti mayA-upAya-saMviDAnam kRtam
   iti / rājā paraṃ vismayam upagataḥ / tenāmātyānām ājñā dattā / jīvakasya	iti / rAjA param vismayam upagataH / tena-amAtyAnAm AjQA dattA / jIvakasya
   vaidyarājābhiṣekaṃ kuruṣveti / amātyair hastaskandhābhirūḍho mahatā	vEdya-rAja-aBizekam kuruzva-iti / amAtyEH hasta-skanDa-aBirUXaH mahatA
   śrīsamudayena trir api vaidyarājābhiṣekeṇābhiṣiktaḥ /	SrI-samudayena tris api vEdya-rAja-aBizekeNa-aBiziktaH /
   (MSV II 44)	(MSV II 44)
   tato jīvakasya mada utpannaḥ / na mayā samaḥ kaścid vaidyo 'sti / ahaṃ	tatas jIvakasya madaH utpannaH / na mayA samaH kaScid vEdyaH asti / aham
   kāyacikitsakānām agraḥ / bhagavān api cittacikitsakānām agra iti / so	kAya-cikitsakAnAm agraH / BagavAn api citta-cikitsakAnAm agre iti / saH-
   'pareṇa samayena bhagavatsakāśam upasaṃkrāntaḥ / sa madāvalepena satyāni	apareNa samayena Bagavat-sakASam upasaMkrAntaH / sa mada-avalepena satyAni
   na paśyati / bhagavān saṃlakṣayati / jīvako vaidyarāja āhṛtakuśalamūlaḥ	na paSyati / BagavAn saMlakzayati / jIvakaH vEdya-rAjaH AhRta-kuSala-mUlaH
   kimarthaṃ satyāni na paśyati / madāvalepanāt* / madāpanayo 'sya kartavya	kimarTam satyAni na paSyati / mada-avalepanAt* / mada-apanayaH asya kartavya
   iti / tatra bhagavān jīvakaṃ vaidyarājam āmantrayate / dṛṣṭas te jīvaka	iti / tatra BagavAn jIvakam vEdya-rAjam Amantrayate / dRzwaH te jIvaka
   himavatparvatarājaḥ / no bhadanta / gṛhāṇa tathāgatasya cīvarakarṇakaḥ /	himavat-parvata-rAjaH / naH Badanta / gRhANa taTAgatasya cIvarakarNakaH /
   tena gṛhītam* / atha bhagavān jīvakaṃ vaidyarājam ādāya yena himavān	tena gRhItam* / aTa BagavAn jIvakam vEdya-rAjam AdAya yena himavAn
   parvatarājas tenopasaṃkrāntaḥ / tatra nānāvidhauṣadhayo dīpavaj jvalanti /	parvata-rAjaH tena-upasaMkrAntaH / tatra nAnAviDa-ozaDayaH dIpa-vat jvalanti /
   bhagavāṃ jīvakaṃ vaidyarājam idam avocat* / gṛhāṇa jīvaka yathābhipretā	BagavAm jIvakam vEdya-rAjam idam avocat* / gRhANa jIvaka yaTA-aBipretA
   oṣadhīḥ / bhagavan bibhemi / tatra bhagavān yakṣaṃ vajrapāṇim āmantrayate	ozaDIH / Bagavan biBemi / tatra BagavAn yakzam vajrapANim Amantrayate
   / gaccha vajrapāṇe jīvakasyārakṣāṃ kuru / sa gatas tena nānāvidhā oṣadhayo	/ gacCa vajrapANe jIvakasya-ArakzAm kuru / sa gataH tena nAnAviDAH ozaDayaH-
   gṛhītāḥ / bhagavān kathayati / jīvaka kiṃ nāmeyam oṣadhiḥ / sa kathayati /	gRhItAH / BagavAn kaTayati / jIvaka kim nAma-iyam ozaDiH / sa kaTayati /
   bhagavann amukā / anena vidhānenāmukasya vyādher upaśamanīti / iyam apy	Bagavan amukAH / anena viDAnena-amukasya vyADeH upaSamanI-iti / iyam api-
   amukā / amukasya vyādheḥ praśamanīti / aparāsāṃ nāmāni na jānīte / yāṃ na	amukAH / amukasya vyADeH praSamani-iti / aparAsAm nAmAni na jAnIte / yAm na
   jānīte tāṃ bhagavān kathayati / jīvaka iyam amukā / amukena	jAnIte tAm BagavAn kaTayati / jIvakaH iyam amukAH / amukena
   vidhānenāmukasya vyādheḥ praśamanī / iyam apy amukasyeti / jīvakaḥ	viDAnena-amukasya vyADeH praSamanI / iyam api amukasya-iti / jIvakaH
   kathayati / vaidyakam api bhagavān jānīta iti / tatra bhagavān jīvakaṃ	kaTayati / vEdyakam api BagavAn jAnIte iti / tatra BagavAn jIvakam
   vaidyarājam āmantrayate / caturbhir jīvakāṅgaiḥ samanvāgato (MSV II 45)	vEdya-rAjam Amantrayate / caturBiH jIvaka-aFgEH samanvAgataH (MSV II 45)
   bhiṣak chalyāhartā rājārhaś ca bhavati rājayogyaś ca rājāṅgatve ca	Bizaj CalyAhartA rAjArhaH ca Bavati rAjayogyaH ca rAja-aFga-tve ca
   saṃkhyāṃ gacchati / katamaiś caturbhir iha bhiṣak chalyāhartā /	saMKyAm gacCati / katamEH caturBiH iha Bizaj CalyAhartA /
   ābādhakuśalo bhavati / ābādhasamutthānakuśalaś ca / utpannasyābādhasya	AbADa-kuSalaH Bavati / AbADa-samutTAna-kuSalaH ca / utpannasya-AbADasya
   prahāṇakuśalaḥ / prahīṇasyāyatyām anutpādakuśalaḥ / katham ābādhakuśalo	prahANa-kuSalaH / prahINasya-AyatyAm anutpAda-kuSalaH / kaTam AbADa-kuSalaH-
   bhavati / iha bhiṣak chalyāhartābādhaṃ jānāty ayam ābādha evaṃrūpaś	Bavati / iha Bizaj CalyAharta-AbADam jAnAti ayam AbADaH evaMrUpa-S
   caivaṃrūpaś cety evam ābādhakuśalo bhavati / katham ābādhasamutthānakuśalo	ca-evaMrUpaH ca-iti evam AbADa-kuSalaH Bavati / kaTam AbADa-samutTAna-kuSalaH-
   bhavati / iha bhiṣak chalyāhartābādhaṃ jānāty ayam ābādho vātasamuttho vā	Bavati / iha Bizaj CalyAharta-AbADam jAnAti ayam AbADaH vAta-samutTaH vA
   vipattisamuttho vā śleṣmasamuttho vātmopakramiko vā paropakramiko vā	vipatti-samutTaH vA Slezma-samutTaH vA-Atma-upakramikaH vA para-upakramikaH vA
   sāṃnipātiko vā ṛtupariṇāmiko vety evam ābādhasamutthānakuśalo bhavati /	sAMnipAtikaH vA Rtu-pariNAmikaH vA-iti evam AbADa-samutTAna-kuSalaH Bavati /
   katham utpannasyābādhasya prahāṇakuśalo bhavati / iha bhiṣak	kaTam utpannasya-AbADasya prahANa-kuSalaH Bavati / iha Bizaj-
   chalyāhartābādhaṃ jānāty ayam ābādho 'ṃjanena vā pratyaṃjanena vā vāmanena	CalyAharta-AbADam jAnAti ayam AbADaH aMjanena vA pratyaMjanena vA vAmanena
   vā virecanena vordhvavirecanena vādhovirecanena vā nastakarmaṇā vā	vA virecanena vA-UrDvavirecanena vA-aDovirecanena vA nastakarmaNA vA
   dhūpadānena vā svedaparikarmaṇā vā prahāsyatīty evam utpannasyābādhasya	DUpa-dAnena vA sveda-parikarmaNA vA prahAsyati-iti evam utpannasya-AbADasya
   prahāṇakuśalo bhavati / kathaṃ prahīṇasyābādhasyāyatyām anutpādakuśalo	prahANa-kuSalaH Bavati / kaTam prahINasya-AbADasya-AyatyAm anutpAda-kuSalaH-
   bhavati / iha bhiṣak chalyāhartābādhaṃ jānāty ayam ābādha (250r1 = GBM	Bavati / iha Bizaj CalyAharta-AbADam jAnAti ayam AbADaH (250r1  GBm
   6.812) evaṃrūpābhiś caivaṃrūpābhiś ca sāṃpreyābhiḥ kriyābhiḥ kriyamāṇābhiḥ	6.812) evaMrUpABiH ca-evaMrUpABiH ca sAMpreyABiH kriyABiH kriyamANABiH
   prahīṇa āyatyāṃ notpatsyata ity evaṃ prahīṇasyābādhasyāyatyām	prahINaH AyatyAm na-utpatsyate iti evam prahINasya-AbADasya-AyatyAm
   anutpādakuśalo (MSV II 46) bhavati / evaṃ caturbhir aṃgaiḥ samanvāgato	anutpAda-kuSalaH (MSV II 46) Bavati / evam caturBiH aMgEH samanvAgataH-
   bhiṣak chalyāhartā rājārhaś ca bhavati rājayogyaś ca rājāṃgatve ca	Bizaj CalyAhartA rAjArhaH ca Bavati rAjayogyaH ca rAjA-aMga-tve ca
   saṃkhyāṃ gacchati / evam eva caturaṃgaiḥ samanvāgatas tathāgato 'rhan	saMKyAm gacCati / evam eva catur-aMgEH samanvAgataH taTAgataH arhan
   samyaksaṃbuddho 'nuttaro bhiṣak chalyāhartā ity ucyate / katamaiś	samyaksaMbudDaH anuttaraH Bizaj CalyAhartA iti ucyate / katama-EH-
   caturbhiḥ / iha jīvaka tathāgato 'rhan samyaksaṃbuddhaḥ / idaṃ duḥkham	caturBiH / iha jIvaka taTAgataH arhan samyaksaMbudDaH / idam duHKam
   āryasatyam iti yathābhūtaṃ prajānāti / idaṃ duḥkhasamudaya idaṃ	Arya-satyam iti yaTABUtam prajAnAti / idam duHKa-samudayaH idam
   duḥkhanirodha idaṃ duḥkhanirodhagāminīpratipad āryasatyam iti yathābhūtaṃ	duHKa-niroDaH idam duHKa-niroDa-gAminI-pratipad Arya-satyam iti yaTABUtam
   prajānāti / na khalu jīvaka bhiṣak chalyāhartā jātimūlakānāṃ duḥkhānāṃ	prajAnAti / na Kalu jIvaka Bizaj CalyAhartA jAti-mUlakAnAm duHKAnAm
   prahāṇāya bhaiṣajyaṃ jānāti / nāpi	prahANAya BEzajyam jAnAti / na-api
   jarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsamūlakānāṃ duḥkhānāṃ	jarA-vyADi-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsa-mUlakAnAm duHKAnAm
   prahāṇāya bhaiṣajyaṃ jānāti / tathāgatas tu jīvaka jātimūlakānāṃ duḥkhānāṃ	prahANAya BEzajyam jAnAti / taTAgataH tu jIvaka jAti-mUlakAnAm duHKAnAm
   prahāṇāya bhaiṣajyaṃ jānāti /	prahANAya BEzajyam jAnAti /
   jarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsamūlakānāṃ duḥkhānāṃ	jarA-vyADi-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsa-mUlakAnAm duHKAnAm
   prahāṇāya bhaiṣajyaṃ jānāti / tasmāt tathāgato 'rhan samyaksaṃbuddho	prahANAya BEzajyam jAnAti / tasmAt taTAgataH arhan samyaksaMbudDaH-
   'nuttaro bhiṣak chalyāhartety ucyate / asmin khalu dharmaparyāye	anuttaraH Bizaj CalyAharta-iti ucyate / asmin Kalu Darma-paryAye
   bhāṣyamāṇe jīvakasya kumārabhṛtyasya virajo vigatamalaṃ dharmeṣu	BAzyamANe jIvakasya kumAra-BRtyasya virajaH vigata-malam Darmezu
   dharmacakṣur utpannam* / atha jīvakaḥ kumārabhṛto dṛṣṭadharmā prāptadharmā	Darma-cakzuH utpannam* / aTa jIvakaH kumAraBRtaH dRzwa-DarmA prApta-DarmA
   viditadharmā paryavagāḍhadharmā tīrṇakāṃkṣas tīrṇavicikitso 'parapratyayo	vidita-DarmA paryavagAXa-DarmA tIrNaka-aMkzaH tIrNa-vicikitsaH apara-pratyayo
   'nanyaneyaḥ śāstuḥ śāsane dharmeṣu vaiśāradyaprāptaḥ utthāyāsanād ekāṃsam	ananyaneyaH SAstuH SAsane Darmezu vESAradya-prAptaH utTAya-AsanAt eka-aMsam
   uttarāsaṃgaṃ kṛtvā yena bhagavāṃs tenāṃjaliṃ praṇamya bhagavantam idam	uttarAsaMgam kRtvA yena BagavAn tena-aMjalim praNamya Bagavantam idam
   avocat* / abhikrānto 'haṃ bhadantābhikrāntaḥ / eṣo 'haṃ bhagavantaṃ	avocat* / aBikrAntaH aham Badanta-aBikrAntaH / ezaH aham Bagavantam
   śaraṇaṃ gacchāmi dharmaṃ ca bhikṣusaṃghāṃ copāsakaṃ ca / māṃ	SaraNam gacCAmi Darmam ca Bikzu-saMGAm ca-upAsakam ca / mAm
   dhārayādyāgreṇa (MSV II 47) yāvajjīvaṃ prāṇopetaṃ śaraṇagatam	DArayA-adya-agreNa (MSV II 47) yAvajjIvam prANa-upetam SaraNa-gatam
   abhiprasannam* / atha jīvako vaidyarājo bhagavata pādau śirasā vanditvā	aBiprasannam* / aTa jIvakaH vEdya-rAjaH Bagavata pAdO SirasA vanditvA
   bhagavato 'ntikāt prakrāntaḥ /	BagavataH antikAt prakrAntaH /
   himavān parvatarājo himasaṃyogān nityaṃ śītalo bhagavataḥ sābhiṣyandaṃ	himavAn parvata-rAjaH hima-saMyogAt nityam SItalaH BagavataH sa-aBizyandam
   glānam utpannam* / jīvako vaidyarājaḥ saṃlakṣayati / svayam evāhaṃ	glAnam utpannam* / jIvakaH vEdya-rAjaH saMlakzayati / svayam eva-aham
   bhagavata upasthānaṃ karomi tadyathā rājñaś cakravartina iti / tato	BagavataH upasTAnam karomi tat-yaTA rAjQaH cakravartinaH iti / tatas-
