   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   mahānandasukhotsāhaissaṃramante yathāsukham //	mahAnanda suKa utsAhEH saMramante yaTAsuKam //
   tatraiva suciraṃ bhuktvā pracaranto jagaddhite /	tatra eva su ciram BuktvA pracarantaH jagat hite /
   prānte bodhiṃ samāsādya nirvṛtipadamāpnuyuḥ //	prAnte boDim samAsAdya nirvRti padam ApnuyuH //
   iti satyaṃ parijñāya yūyaṃ bodhiṃ yadīcchatha /	iti satyam parijQAya yUyam boDim yadi icCaTa /
   tallokeśaṃ mahābhijñaṃ bhajadhvaṃ sarvadā bhave //	tat loka ISam mahA aBijQam BajaDvam sarvadA Bave //
   ityādiṣṭaṃ munīndreṇa viśvabhuvā niśamya saḥ /	iti Adizwam muni indreNa viSvaBuvA niSamya saH /
   gaganagaṃja autsukyaṃ prābhyanandat samārṣadaḥ //	gagana gaMja Otsukyam prAByanandat sa mArzadaH //
   ityevaṃ samupādiṣṭaṃ viśvabhuvā śrutaṃ mayā /	iti evam samupAdizwam viSvaBuvA Srutam mayA /
   yūyamapi tathā tasya sarvadā bhajatādarāt //	yUyam api taTA tasya sarvadA Bajata AdarAt //
   yūyamapi tathā saukhyaṃ bhuktvā sadā śubhāratāḥ /	yUyam api taTA sOKyam BuktvA sadA SuBa aratAH /
   bodhiśrīguṇasaṃpannāḥ gamiṣyatha jinālayam //	boDi SrI guNa saMpannAH gamizyaTa jina Alayam //
   ityādiṣṭaṃ munīndreṇa śrīghanena niśamya te /	iti Adizwam muni indreNa SrI Ganena niSamya te /
   sarvasāṃghikā lokāḥ prābhyanandan prabodhitāḥ //	sarva sAMGikAH lokAH prAByanandan praboDitAH //
   // iti rupamayībhūmicatuṣpādaruṣoddhāraṇaprakaraṇam //	// iti rupamayI BUmi catuzpAda ruzA udDAraNa prakaraNam //
   9. bali saṃbodhana bodhimārgāvatāraṇa prakaraṇam	9. bali saMboDana boDi mArga avatAraNa prakaraNam
   atha sarvanīvaraṇaviṣkambhī so 'bhinanditaḥ /	aTa sarva nIvaraNa vizkamBI saH aBinanditaH /
   bhūyastaṃ śrīghanaṃ natvā prārthayadevamādarāt //	BUyas tam SrIGanam natvA prArTayat evam AdarAt //
   bhagavachrotumicchāmi bhūyo 'pyasya jagatprabhoḥ /	Bagava Srotum icCAmi BUyas api asya jagat praBoH /
   saddharmaguṇamāhātmyaṃ tena śrutvā sa bhagavān punaḥ /	sadDarma guNa mAhAtmyam tena SrutvA sa BagavAn punar /
   viṣkambhinaṃ mahāsattvaṃ tamālokyaivamādiśat //	vizkamBinam mahAsattvam tam Alokya evam AdiSat //
   tato 'sau trijagannātho lokeśvaro jinātmajaḥ /	tatas asO trijagannATaH loka ISvaraH jina AtmajaH /
   sattvān paśyan samuddhartuṃ pātāle samupācarat //	sattvAn paSyan samudDartum pAtAle samupAcarat //
   tatra cāyomayī bhūmī rasatale surālayā /	tatra ca ayaH mayI BUmiH rasa tale surAlayA /
   tatrāpi sa mahābhijño bhāsayan samupācarat //	tatra api sa mahA aBijQaH BAsayan samupAcarat //
   yatra rājā balirnāma sarvadaityādhipo 'pi yaḥ /	yatra rAjA baliH nAma sarva dEtya aDipaH api yaH /
   baddhaḥ sa vāmanaḥ sāntaḥpura jano 'dhitiṣṭhati //	badDaH sa vAmanaH sa antaHpura janaH aDitizWati //
   durdāntaṃ taṃ mahāvīryaṃ trailokātibhayaṃkaram /	durdAntam tam mahA vIryam trEloka ati BayaMkaram /
   samuddhartuṃ samālokya tatrāviśat sa bhāsayan //	samudDartum samAlokya tatra aviSat sa BAsayan //
   tatra sa raśmimutsṛjya sarvatra saṃprabhāsayan /	tatra sa raSmim utsRjya sarvatra saMpraBAsayan /
   śanaiścaran samālokya baleḥ sada upācarat //	SanEs caran samAlokya baleH sadaH upAcarat //
   tatra taṃ samupāyātaṃ suvarṇabimbamivojjvalam /	tatra tam samupAyAtam suvarNa bimbam iva ujjvalam /
   durataḥ sa balirdṛṣṭvā nidhāyaivaṃ vyacintayat //	duratas sa baliH dRzwvA niDAya evam vyacintayat //
   ko 'yamatra samāyāto divyakāntiḥ prabhasayan /	kaH ayam atra samAyAtaH divya kAntiH praBasayan /
   maheśvaro 'thavā sūryaścandro vāpi hutāśanaḥ //	maheSvaraH aTavA sUryaH candraH vA api hutASanaH //
   (Gkv 84)	(Gku 84)
   ko 'nya īdṛkprabhāśrīmān devo vā dānavo 'pi vā /	kaH anyaH IdRS praBA SrImAn devaH vA dAnavaH api vA /
   gandharvo kinnaro vāpi nāgo vā garuḍo 'pi vā //	ganDarvaH kinnaraH vA api nAgaH vA garuxaH api vA //
   īdṛgmaharddhikaḥ śrīmānnāsti traidhātukeṣvapi //	IdRS mahardDikaH SrImAn na asti trEDAtukezu api //
   bodhisattvo 'thavārhan vā munīndro vā samāgataḥ //	boDisattvaH aTavA arhan vA muni indraH vA samAgataH //
   ityevaṃ cintayan draṣṭuṃ sa vāmanāsuraiḥ saha /	iti evam cintayan drazwum sa vAmana asurEH saha /
   sarvaparijanaiścāsau balistaṃ samupācarat //	sarva parijanEH ca asO baliH tam samupAcarat //
   paśyantaṃ sa balī rājā samīkṣyainaṃ jinātmajam /	paSyantam sa baliH rAjA samIkzya enam jina Atmajam /
   lokeśvaraṃ mahāsattvaṃ vijñāya saṃpramoditaḥ //	lokeSvaram mahAsattvam vijQAya saMpramoditaH //
   sahasā samupāsṛtya kṛtāṃjalipuṭo mudā /	sahasA samupAsRtya kRta aMjali puwaH mudA /
   tasya pādāmbuje natvā saṃpaśyannevamabravīt //	tasya pAda ambuje natvA saMpaSyan= evam abravIt //
   adya me safalaṃ janma bhavatsaṃdarśanodbhove /	adya me safalam janma Bavat saMdarSana udBove /
   adhunā praṇidhānaṃ ca saṃsidhyate manoratham //	aDunA praNiDAnam ca saMsiDyate manoraTam //
   asya me śudhyate 'pyātmā mucyate sarvapāpataḥ /	asya me SuDyate api AtmA mucyate sarva pApataH /
   mukto 'smi bandhanādadya prāptavān sugateḥ pathaḥ //	muktaH asmi banDanAt adya prAptavAn sugateH paTaH //
   yadbhavān svayamālokya māmuddhartumihāgataḥ /	yat BavAn svayam Alokya mAm udDartum iha AgataH /
   saṃdṛśyate maya hyadya tanme puṇyavipākataḥ //	saMdRSyate maya hi adya tat me puNya vipAkataH //
   bhavantaṃ ye 'pi paśyanti puṇyavanto narā hi te /	Bavantam ye api paSyanti puNyavantaH narAH hi te /
   bhavanti śrīsukhāpannāḥ sarvakleśavivarjitāḥ /	Bavanti SrI suKa ApannAH sarva kleSa vivarjitAH /
   te sattvāḥ sukhino loke pariśuddha vikalmaṣāḥ //	te sattvAH suKinaH loke pariSudDa vikalmazAH //
   bhavacāraṇamuktā ye dṛśyante bhavato bhave /	Bava cAraNa muktAH ye dRSyante BavataH Bave /
   bhavatāṃ darśanenaivaṃ mukto 'smi bhavabandhanāt /	BavatAm darSanena evam muktaH asmi Bava banDanAt /
   kleśādayaḥ palāyante garuḍasyeva pannagāḥ /	kleSa AdayaH palAyante garuxasya iva pannagAH /
   bhavāneva jagannāthaḥ śāstā saddharmadeśakaḥ /	BavAn eva jagannATaH SAstA sadDarma deSakaH /
   trātā bhartā śaraṇye 'pi nāstyanyo me suhṛdgatiḥ //	trAtA BartA SaraNye api na asti anyaH me suhRd gatiH //
   tadbhavān kṛpayālokya māmuddhṛtya bhavodadheḥ /	tad BavAn kRpayA Alokya mAm udDRtya BavodaDeH /
   sanmārge saṃpratisthāpya saṃpālayitumarhati //	sat mArge saMpratisTApya saMpAlayitum arhati //
   iti saṃprārthya daityendraḥ sa baliḥ sāṃjaliḥ punaḥ /	iti saMprArTya dEtya indraH sa baliH sAMjaliH punar /
   praṇatvā taṃ jagannāthaṃ sādarāt svapure 'nayat //	praNatvA tam jagannATam sAdarAt sva pure anayat //
   (Gkv 85)	(Gku 85)
   tatra taṃ svapure nītvā mahotsavaiḥ pramodanaiḥ /	tatra tam sva pure nItvA mahA utsavEH pramodanEH /
   antaḥpure subhāsvarṇaratnapīṭhe nyaveśayat //	antaHpure suBAsvarNa ratna pIWe nyaveSayat //
   tatra taṃ saṃpratiṣṭhāpya rājā saṃmodito baliḥ /	tatra tam saMpratizWApya rAjA saMmoditaH baliH /
   sāntaḥpurajanaiḥ sārdhaṃ yathāvidhi samarcaryat //	sa antaHpura janEH sArDam yaTAviDi samarcaryat //
   mahadrāajarddhisatkāraiḥ satkṛtya prabhajan mudā /	mahat rAaja RdDi satkArEH satkRtya praBajan mudA /
   pādābje praṇatiṃ kṛtvā prārthayadevamādarāt //	pAda abje praNatim kRtvA prArTayat evam AdarAt //
   bhagavaṃstraidhātunātho 'si yadatra svayamāgataḥ /	Bagavan= trEDAtunATaH asi yat atra svayam AgataH /
   tadasmān kṛtpayālokya sarvān saṃtrātumarhasi //	tat asmAn kRtpayA Alokya sarvAn saMtrAtum arhasi //
   trātā na vidyate 'smākaṃ daśākulacāriṇām /	trAtA na vidyate asmAkam daSa Akula cAriNAm /
   jarāmaraṇabhītānāṃ kleśāgnidahitātmanām //	jarA maraNa BItAnAm kleSa agni dahita AtmanAm //
   bhavābdhaśramakhinnānāṃ nityamudvignacetasām /	Bava abDa Srama KinnAnAm nityam udvigna cetasAm /
   anāthānāmabandhūnāṃ bhava mātā pitā suhṛt //	anATAnAm abanDUnAm Bava mAtA pitA suhRd //
   eṣāṃ bandhanabaddhānāṃ jātyandhānāṃ durātmanām /	ezAm banDana badDAnAm jAti anDAnAm durAtmanAm /
   mūḍhānāṃ ca śucittānāṃ bhava kleśāpaho gatiḥ //	mUXAnAm ca SucittAnAm Bava kleSa apahaH gatiH //
   nātho bhava jagannāthaḥ śāstā saddharmadeśakaḥ /	nATaH Bava jagannATaH SAstA sadDarma deSakaH /
   śaraṇyaṃ sadgururmitraṃ trātā bhartā hitārthabhṛt //	SaraNyam sat guruH mitram trAtA BartA hita arTa BRt //
   yathā bhavān jagallokaṃ nivārya pāpamārgataḥ /	yaTA BavAn jagat lokam nivArya pApa mArgataH /
   dharmamārge pratiṣṭhāpya pālayati vilokayan //	Darma mArge pratizWApya pAlayati vilokayan //
   tathāsmānapi pāpiṣṭhānnivārya pāpapaddhateḥ /	taTA asmAn api pApizWAn nivArya pApa padDateH /
   niyujya sahase paśyan pālayituṃ sadārhasi //	niyujya sahase paSyan pAlayitum sadA arhasi //
   kṛpayāsmān durāsaktān samuddṛtya bhavodadheḥ /	kRpayA asmAn durAsaktAn samuddRtya BavodaDeH /
   saṃbodhisādhane dharme niyojayatu bodhayan //	saMboDi sADane Darme niyojayatu boDayan //
   iti saṃprārthitaṃ tena balinā bhadravāṃchinā /	iti saMprArTitam tena balinA BadravAMCinA /
   śrutvā lokeśvaraścainaṃ baliṃ dṛṣṭvaivamādiśat //	SrutvA lokeSvaraH ca enam balim dRzwvA evam AdiSat //
   sādhu śṛṇu samādhāya daityādhipa samādarāt /	sADu SRNu samADAya dEtya aDipa samAdarAt /
   hitārthaṃ te pravakṣyāmi yaddharmaṃ bodhisādhanam //	hita arTam te pravakzyAmi yat Darmam boDi sADanam //
   saṃsāre sarvadā bhadraṃ saukhyaṃ bhoktuṃ yadīcchasi /	saMsAre sarvadA Badram sOKyam Boktum yadi icCasi /
   triratnasmaraṇaṃ kṛtvā bhaja nityaṃ samāhitaḥ //	tri ratna smaraNam kRtvA Baja nityam samAhitaH //
   (Gkv 86)	(Gku 86)
   triratnaśaraṇaṃ kṛtvā ye bhajanti sadā bhave /	tri ratna SaraNam kRtvA ye Bajanti sadA Bave /
   durgatiparimuktāste gachanti sadgatiṃ sadā //	durgati parimuktAH te gaCanti sat gatim sadA //
   sadgatāveva saṃjātāḥ saddharmasādhanodyatāḥ /	sat gatO= eva saMjAtAH sat Darma sADana udyatAH /
   puṇyaśrīguṇasatsaukhyaṃ bhuktvā yānti jinālayam //	puNya SrI guNa sat sOKyam BuktvA yAnti jina Alayam //
   triratnabhajanotpannaṃ puṇyafalaṃ mahadbahu /	tri ratna Bajana utpannam puNya falam mahat bahu /
   aprameyasaṃkhyeyaṃ saṃbodhijñānasādhanam //	aprameya saMKyeyam saMboDi jQAna sADanam //
   evaṃ vijñāya daityendra saṃbodhiṃ yadi vāṃchasi /	evam vijQAya dEtya indra saMboDim yadi vAMCasi /
   dharmadhātuṃ samabhyatcya bhaja nityaṃ samāhitaḥ //	DarmaDAtum samaByatcya Baja nityam samAhitaH //
   dharmadhātuṃ samabhyarcya ye bhajanti sadādarāt /	DarmaDAtum samaByarcya ye Bajanti sat AdarAt /
   vimuktapātakāḥ sarve gacchanti te jinālayam //	vimukta pAtakAH sarve gacCanti te jina Alayam //
   saddharmān ca sadā śrutvā satkṛtya śraddhayādarāt /	sat DarmAn ca sadA SrutvA satkRtya SradDayA AdarAt /
   abhyarcya śaraṇaṃ kṛtvā bhaja nityaṃ samāhitaḥ //	aByarcya SaraNam kRtvA Baja nityam samAhitaH //
   saddharmaṃ ye sadā śrutvā satkṛtya śraddhayādarāt /	sadDarmam ye sadA SrutvA satkRtya SradDayA AdarAt /
   gatvā śaraṇamabhyarcya bhajanti saṃpramoditāḥ //	gatvA SaraNam aByarcya Bajanti saMpramoditAH //
   te sarve kleśanirmuktāḥ pariśuddhatrimaṇḍalāḥ /	te sarve kleSa nirmuktAH pariSudDa tri maNxalAH /
   bodhisattvā mahābhijñāḥ saṃyānti sugatālayam //	boDisattvAH mahA aBijQAH saMyAnti sugata Alayam //
   saṃgharatnāni ye 'bhyarcya śraddhayā śaraṇaṃ gatāḥ /	saMGa ratnAni ye aByarcya SradDayA SaraNam gatAH /
   satkāraiḥ samupasthāya bhajanti sarvadā mudā //	satkArEH samupasTAya Bajanti sarvadA mudA //
   te 'pi kleśavinirmuktāḥ śuddhāśayāḥ śubhodyatāḥ /	te api kleSa vinirmuktAH SudDa ASayAH SuBa udyatAH /
   mahāsattvāḥ śubhotsāhaṃ bhuktvā yānti sukhāvatīm //	mahAsattvAH SuBa utsAham BuktvA yAnti suKAvatIm //
   śraddhayā yo 'rhate piṇṣapātrāmekaṃ prayacchati /	SradDayA yaH arhate piNza pAtrAm ekam prayacCati /
   tasya puṇyamasaṃkhyeyamaprameyaṃ jagurjināḥ //	tasya puNyam asaMKyeyam aprameyam jaguH jinAH //
   sarveṣāmapi puṇyānāṃ śakyate mayā /	sarvezAm api puNyAnAm Sakyate mayA /
   etatpuṇyapramānaṃ tu śakyate na jinairapī //	etat puNya pramAnam tu Sakyate na jinEH apI //
   sarvatraidhātukotpannāḥ sattvāścetsugatātmajāḥ /	sarva trEDAtuka utpannAH sattvAH ced su gata AtmajAH /
   te 'pyetatpuṇyasaṃkhyānāṃ pramātuṃ naiva śaknuyuḥ //	te api etat puNya saMKyAnAm pramAtum na eva SaknuyuH //
   prāgevāhamihaiko 'smin tatkathaṃ śaknuyāmidam /	prAk eva aham iha ekaH asmin tat kaTam SaknuyAm idam /
   puṇyaskandhaṃ samākhyātuṃ yanna śakyaṃ jinairapi //	puNya skanDam samAKyAtum yat na Sakyam jinEH api //
   (Gkv 87)	(Gku 87)
   cūrṇīkṛtya mahīṃ sarvāṃ kṛtvā cānurajomayam /	cUrNIkRtya mahIm sarvAm kRtvA ca anurajaH mayam /
   tatsarvaṃ gaṇituṃ śakyaṃ sarvaibuddharmayāpi ca /	tat sarvam gaNitum Sakyam sarva EbudDarmayA api ca /
   natu triratnasatkāre puṇyaskandhaṃ kadācana /	na tu tri ratna satkAre puNya skanDam kadAcana /
   pramātuṃ śakyate sarvairmunīśvarairmayāpi ca //	pramAtum Sakyate sarvEH muni ISvarEH mayA api ca //
   sarveṣāmudadhīnāṃ ca nadīnāṃ ca jalānyapi /	sarvezAm udaDInAm ca nadInAm ca jalAni api /
   bindusaṃkhyāpramāṇena gaṇituṃ śakyate mayā //	bindu saMKyA pramANena gaNitum Sakyate mayA //
   merupramāṇabhūrjeṣu saṃpūrṇamakṣaraṃ likhet /	meru pramANa BUrjezu saMpUrNam akzaram liKet /
   tadakṣarāṇi sarvāṇi saṃkhyātuṃ śakyate mayā //	tad akzarANi sarvANi saMKyAtum Sakyate mayA //
   sarvesvapi samudreṣu sarvāsvapi nadīṣu ca /	sarvesu api samudrezu sarvAsu api nadIzu ca /
   yāvatyo vālukāstāsāṃ saṃkhyātuṃ śakyate mayā //	yAvatyaH vAlukAH tAsAm saMKyAtum Sakyate mayA //
   sarveṣāmapi jantūnāṃ caturdvipanivāsinām /	sarvezAm api jantUnAm catur dvipa nivAsinAm /
   dehajāni ca lomāni saṃkhyātuṃ śakyate mayā //	deha jAni ca lomAni saMKyAtum Sakyate mayA //
   sarveṣāmapi vṛkṣāṇāṃ caturdvīpamahīruhām /	sarvezAm api vRkzANAm catur dvIpa mahIruhAm /
   śasyānāmapi patrāṇi saṃkhyātuṃ śakyate mayā //	SasyAnAm api patrANi saMKyAtum Sakyate mayA //
   pravarṣajjaladharāṇāṃ varṣaikasya nirantaram /	pravarzat jalaDarANAm varza ekasya nirantaram /
   tadbinduparisaṃkhyābhiḥ pramātuṃ śakyate mayā //	tad bindu parisaMKyABiH pramAtum Sakyate mayA //
   natu triratnasatkārapiṇḍapātrādidānajam /	na tu tri ratna satkAra piNxa pAtra Adi dAna jam /
   puṇyaskandhamasaṃkhyeyaṃ pramātum śakyate mayā //	puNya skanDam asaMKyeyam pramAtum Sakyate mayA //
   yadi sarve 'pi sattvāśca daśabhūmipratiṣṭhitāḥ /	yadi sarve api sattvAH ca daSa BUmi pratizWitAH /
   bodhisattvā mahāsatvā bhaveyurbrahmacāriṇaḥ //	boDisattvAH mahAsatvAH BaveyuH brahmacAriNaH //
   yāvatteṣāṃ mahatpuṇyaṃ saṃbodhiġyānasādhanam /	yAvat tezAm mahat puNyam saMboDiġyAna sADanam /
   tato 'pi hi mahatpuṇyaṃ triratnaṃ saṃprādānajam //	tatas api hi mahat puNyam tri ratnam saMprAdAn ajam //
   kimevaṃ bahunā proktā sarverapi munīśvaraiḥ /	kim evam bahunA proktA sarveH api muni ISvarEH /
   yatsaṃkhyātuṃ pramātuṃ ca śakyate na kadācana //	yat saMKyAtum pramAtum ca Sakyate na kadAcana //
   tatkathamahameko 'tra saṃkhyātuṃ śaknuyāmapi //	tat kaTam aham ekaH atra saMKyAtum SaknuyAm api //
   apremeyamasaṃkhyeyamityevaṃ paribudhyatām //	apremeyam asaMKyeyam iti evam paribuDyatAm //
   etadeva mahatpuṇyaṃ na kṣiṇoti kadācana /	etat eva mahat puNyam na kziNoti kadAcana /
   sarvasattvahitādhānasaddharmaguṇasādhanam //	sarva sattva hita ADAna sat Darma guNa sADanam //
   (Gkv 88)	(Gku 88)
   bhadraśrīsukhasaṃpattisaṃsthitisaṃpradāyakam /	BadraSrI suKa saMpatti saMsTiti saMpradAyakam /
   sarvakleśāgnisaṃtāpaharaṃ saṃbodhisādhanam //	sarva kleSa agni saMtApa haram saMboDi sADanam //
   evaṃ mahatfalaṃ matvā triratnaṃ sarvadā smaran /	evam mahatfalam matvA tri ratnam sarvadA smaran /
   dhyātvā stutvā praṇatvāpi bhaja nityaṃ samāhitaḥ //	DyAtvA stutvA praNatvA api Baja nityam samAhitaH //
   ye triratnaṃ sadā nityaṃ śraddhayā samupāśritāḥ /	ye tri ratnam sadA nityam SradDayA samupASritAH /
   smṛtvā dhyātvāpi tuṣṭāśca praṇatvāpi bhajantyadi //	smRtvA DyAtvA api tuzwAH ca praNatvA api Bajanti adi //
   sarve te vimālātmānaḥ pariśuddhendriyāśayāḥ /	sarve te vimAla AtmAnaH pariSudDa indriya ASayAH /
   niḥkleśāḥ sadguṇādhārāścaturbrahmavihāriṇaḥ //	niHkleSAH sat guNa ADArAH catur brahma vihAriNaH //
   dharmaśrīguṇasaṃpattiśubhotsāhasukhāratāḥ /	Darma SrI guNa saMpatti SuBa utsAha suKa AratAH /
   bodhisattvā mahāsattvā bhaviṣyanti jinātmajāḥ //	boDisattvAH mahAsattvAH Bavizyanti jina AtmajAH //
   tataḥ pāramitāḥ sarvāḥ pūrayitvā yathākramam /	tatas pAramitAH sarvAH pUrayitvA yaTAkramam /
   jitvā māragaṇān sarvānniḥkleśā vimalendriyāḥ //	jitvA mAra gaNAn sarvAn niHkleSAH vimala indriyAH //
   arhantaḥ trijagatpūjyā mahābhijñā vināyakāḥ /	arhantaH trijagat pUjyAH mahA aBijQAH vinAyakAH /
   trividhāṃ bodhimāsādya sambuddhapadamāpnuyuḥ //	triviDAm boDim AsAdya sambudDa padam ApnuyuH //
   iti satyaṃ samākhyātaṃ sarvairapi munīśvaraiḥ /	iti satyam samAKyAtam sarvEH api muni ISvarEH /
   matvā tasmāttriratnasya bhaja bodhiṃ yadīcchasi //	matvA tasmAt tri ratnasya Baja boDim yadi icCasi //
   iti tena jagacchāstā samādiṣṭaṃ niśamya saḥ /	iti tena jagat SAstA samAdizwam niSamya saH /
   balirdaityādhipaḥ paśyan vismayaṃ samupāyayau //	baliH dEtya aDipaH paSyan vismayam samupAyayO //
   athāsau citayan yajñadānādiprakṛtaṃ svakam /	aTa asO citayan yajQa dAna Adi prakRtam svakam /
   galadaśrumukhaḥ paśyaṃllokeśvaraṃ tamabravīt //	galat aSru muKaH paSyan= lokeSvaram tam abravIt //
   bhagavan kīdṛśaṃ karma mūḍhena prakṛtaṃ mayā /	Bagavan kIdRSam karma mUXena prakRtam mayA /
   yenehāpi mayā prāptaṃ bandhanaṃ svajanaiḥ saha //	yena iha api mayA prAptam banDanam sva janEH saha //
   hā mayā kudhiyā yajñaṃ tīrthikasaṃmataṃ kṛtam /	hA mayA kuDiyA yajQam tIrTika saMmatam kRtam /
   yatfalenāhamatraivaṃ bandhitaḥ sajano 'dhasi //	yatfalena aham atra evam banDitaH sa janaH aDasi //
   aho bauddheṣu yaddānaṃ prakṛtaṃ tatphalaṃ śubham /	aho bOdDezu yat dAnam prakRtam tad Palam SuBam /
   yeneha bhadrasaṃpattīrbhuktvānte yāti nirvṛtim //	yena iha Badra saMpattIH BuktvA ante yAti nirvRtim //
   hā mūḍhena kṛta tīrthikaśāsane mayā /	hA mUXena kRta tIrTika SAsane mayA /
   yenehaivaṃ mahadduḥkhaṃ prāptaṃ svajanaiḥ saha //	yena iha evam mahat duHKam prAptam sva janEH saha //
   (Gkv 89)	(Gku 89)
   yadā mayā jagannātha samārabhya mahanmaham /	yadA mayA jagannATa samAraBya mahat maham /
   sarvārthibhyaḥ sasatkāraṃ dānaṃ dattaṃ yathepsitam //	sarva arTiByaH sa satkAram dAnam dattam yaTA Ipsitam //
   tadā vāmana āgatya brahmacārī mamāgrataḥ /	tadA vAmanaH Agatya brahmacArI mama agratas /
   dvipadamātrasaṃsthānaṃ pṛthivyāṃ samayācayat //	dvipada mAtra saMsTAnam pRTivyAm samayAcayat //
   tacchrutvā dānaraktetana mayā mānātimāninā /	tat SrutvA dAna raktetana mayA mAna atimAninA /
   tṛtīye padasaṃsthānaṃ dattaṃ tasmai mahītale //	tRtIye pada saMsTAnam dattam tasmE mahI tale //
   mayā pradattamādāya svastivākyamudīrayan /	mayA pradattam AdAya svasti vAkyam udIrayan /
   vāmanaḥ sa mahanmūrttiṃ dhṛtvātiṣṭhat puro mama //	vAmanaH sa mahat mUrttim DRtvA atizWat puras mama //
   sa tripādo mahadbhūto bhīmarupo maharddhimān /	sa tri pAdaH mahat BUtaH BImarupaH mahA RdDimAn /
   dhṛtvā traivikramīṃ mūrttiṃ paśyan māmevamabravīt //	DRtvA trEvikramIm mUrttim paSyan mAm evam abravIt //
   dehi me yattvayā dattaṃ tṛtīyasya padasya me /	dehi me yat tvayA dattam tRtIyasya padasya me /
   sthānaṃ na vidyate kutra sthāpayeyamidaṃ vada //	sTAnam na vidyate kutra sTApayeyam idam vada //
   ekaṃ nyastaṃ mayākāśe dvitīyaṃ ca mahītale //	ekam nyastam mayA AkASe dvitIyam ca mahI tale //
   tṛtīyaṃ me padaṃ kutra sthāpayethā tdaṃ vada //	tRtIyam me padam kutra sTApayeTA tdam vada //
   iti tenoditaṃ śrutvā lajjito praviṣarṇadhiḥ /	iti tena uditam SrutvA lajjitaH pravizarNaDiH /
   kiṃcidvaktuśakto 'hamatiṣṭhaṃ mūḍhamānasaḥ //	kiMcid vaktu SaktaH aham atizWam mUXa mAnasaH //
   tadā sa viṣṇurālokya māmavamavadatpunaḥ /	tadA sa vizNuH Alokya mAm avam avadat punar /
   yatrāhaṃ sthāpayiṣyāmi tatra saṃsthāpayed dhruvam //	yatra aham sTApayizyAmi tatra saMsTApayet Druvam //
   iti taduktamākarṇya tadāhamavadaṃstathā //	iti tat uktam AkarNya tadA aham avadan= taTA //
   tvayā saṃsthāpyate yatra tatra saṃsthāpayāmyaham //	tvayA saMsTApyate yatra tatra saMsTApayAmi aham //
   iti satyaṃ mayā proktaṃ śrutvā sa saṃpraharṣitaḥ /	iti satyam mayA proktam SrutvA sa saMpraharzitaH /
   mūrdhani me tṛtīyena pādenākramya vikramī //	mUrDani me tRtIyena pAdena Akramya vikramI //
   māmihādhasi pātāle sāntaḥpurajanānvitam /	mAm iha aDasi pAtAle sa antaHpura jana anvitam /
   sabandhusānugaṃ cāpi bandhane sthāpayatyasau //	sa banDu sAnugam ca api banDane sTApayati asO //
   yanmahādāruṇaṃ pāpaṃ nirdayena mayā kṛtam /	yat mahA dAruNam pApam nirdayena mayA kRtam /
   tenātra bandhanaṃ prāptaṃ sāntaḥpurajanaiḥ saha //	tena atra banDanam prAptam sa antaHpura janEH saha //
   datvārthibhyo 'pi sarvebhyaḥ sarvopakaraṇānyapi /	datvA arTiByaH api sarveByaH sarva upakaraNAni api /
   yathābhivāṃchitaṃ dravyaṃ gajāśvarathavāhanam //	yaTA aBivAMCitam dravyam gaja aSva raTa vAhanam //
   (Gkv 90)	(Gku 90)
   kukṣatre yatkṛtaṃ dānametatphalamihāśyate /	kukzatre yat kRtam dAnam etat Palam iha ASyate /
   hā mayā kiṃ kṛtaṃ śrutvā tīrthikaśāsanam //	hA mayA kim kRtam SrutvA tIrTika SAsanam //
   evaṃ bhadrafalaṃ puṇyaṃ triratnabhajonodbhavam /	evam Badrafalam puNyam tri ratna Baja Una udBavam /
   mayā na śrūyate kvāpi jñāyate naivamuttamam //	mayA na SrUyate kvApi jQAyate na evam uttamam //
   hāhaṃ tīrthikairduṣṭaivaśīkṛtvābhivāṃchitaḥ /	hA aham tIrTikEH duzwa evaSIkRtvA aBivAMCitaH /
   pratārito 'pyasaddharme prāpito 'trāpi bandhane //	pratAritaH api asat Darme prApitaH atra api banDane //
   īdṛśaṃ satfalaṃ puṇyaṃ bhadraśrībodhisādhane /	IdRSam satfalam puNyam BadraSrI boDi sADane /
   sukṣatre dānasaṃbhūtaṃ naśrutaṃ na mataṃ mayā //	sukzatre dAna saMBUtam naSrutam na matam mayA //
   yadīdṛśaṃ mahatpuṇyaṃ bhadraśrībodhisaṃpradam /	yat i IdRSam mahat puNyam BadraSrI boDi saMpradam /
   na jñātaṃ tattriratnānāṃ prābhajiṣyan sadā bhave //	na jQAtam tat tri ratnAnAm prABajizyan sadA Bave //
   tanmayā bhagavan jñātaṃ śrutvedaṃ bhavatoditam /	tat mayA Bagavan jQAtam SrutvA idam BavatA uditam /
   tatsadaiva triratnānāṃ śaraṇastho bhajāmyaham //	tad sadA eva tri ratnAnAm SaraNa sTaH BajAmi aham //
   tadbhavān samupākhyātu triratnabhajane vidhim /	tad BavAn samupAKyAtu tri ratna Bajane viDim /
   adyārabhya sadāpyevaṃ cariṣyāmyahamābhavam /	adya AraBya sadA api evam carizyAmi aham ABavam /
   tathāhaṃ bhagavan buddharatnasya śaraṇe sthitaḥ /	taTA aham Bagavan budDa ratnasya SaraNe sTitaH /
