   yogācārabhūmau	yoga AcAra BUmO
   yācakamevaṃ saṃjñapya preṣayati / asya mayā duḥkhitasya pūrvanisṛṣṭaṃ	yAcakam evam saMjQapya prezayati / asya mayA duHKitasya pUrva nisRzwam
   pūrvapratijñātametaddeyavastu ato mayā 'syaiva pratipāditam / na ca me	pUrva pratijQAtam etat deyavastu atas mayA asya eva pratipAditam / na ca me
   tvayyadātukāmamanā asti / ato na bhadramukhenāsmākamantike	tvayi adAtu kAma manAH asti / atas na Badra muKena asmAkam antike
   praṇayavimukhatā karaṇīyeti / punaraparaṃ bodhisattvaḥ satsu	praNaya vimuKa tA karaNIyA iti / punar aparam boDisattvaH satsu
   saṃvidyamāneṣu deyadharmeṣu yāni tāni matsarikulāni bhavanti	saMvidyamAnezu deya Darmezu yAni tAni mad sari kulAni Bavanti
   paramamatsarikulānyāgṛhītapariṣkārāṇi kuṭakuñcakāni yeṣu na jātu	parama mat sari kulAni AgRhIta parizkArANi kuwa kuQcakAni yezu na jAtu
   śramaṇabrāhmaṇeṣu deyadharme prajāyate tāni bodhisattvaḥ	SramaNa brAhmaNezu deya Darme prajAyate tAni boDisattvaH
   kulānyupasaṃkramya pratisaṃmodya praṇayañca saṃvidhāyaivamāha / aṅga	kulAni upasaMkramya pratisaMmodya praNayaQca saMviDAya evam Aha / aFga
   tāvatte bhavantaḥ akośakṣayeṇa mahatā upakāreṇa pratyavasthitā bhavantu /	tAvat te BavantaH akoSa kzayeNa mahatA upakAreNa pratyavasTitAH Bavantu /
   mama gṛhe vipulā bhogā vipulā deyadharmāḥ (Dutt 87) saṃvidyante / so 'haṃ	mama gRhe vipulAH BogAH vipulAH deya DarmAH (Dutt 87) saMvidyante / saH aham
   dānapāramitāparipūraye yācanakenārthī / sa cedyūyaṃ yācanakamārāgayatha mā	dAna pAramitA paripUraye yAcanakena arTI / sa ced yUyam yAcanakam ArAgayaTa mA
   nirākṛtya visarjayiṣyatha madīyaṃ dhanaṃ deyadharmamādāya tebhyo vā	nirAkRtya visarjayizyaTa madIyam Danam deya Darmam AdAya teByaH vA
   visṛjata yathāsukhameva / athavā taṃ yācanakamasmākamupasaṃharatha	visRjata yaTAsuKam eva / aTavA tam yAcanakam asmAkam upasaMharaTa
   dīyamānañca mayā dānamanumodatha / te ca tasya pratiśrutyākośakṣayeṇa	dIyamAnaQca mayA dAnam anumodaTa / te ca tasya pratiSrutya akoSa kzayeNa
   priyeṇāyaṃ kulaputro 'smākamārādhitacitto bhavatīti tathā kurvanti / evaṃ	priyeNa ayam kula putraH asmAkam ArADita cittaH Bavati iti taTA kurvanti / evam
   hi tena bodhisattvena yeṣāmāyatyāṃ mātsaryamalavinayāya bījamavaropitaṃ	hi tena boDisattvena yezAm AyatyAm mAtsarI amala vinayAya bIjam avaropitam
   bhavati / krameṇa ca tenābhyāsena tena prajñāpūrvakeṇopāyakauśalyena	Bavati / krameNa ca tena aByAsena tena prajQA pUrvakeNa upAya kOSalyena
   svakamapi parīttaṃ parebhyo dhanamanuprayacchanti / mṛdukamalobhaṃ	svakam api parIttam pareByaH Danam anuprayacCanti / mRdu kam aloBam
   niśritya madhyaṃ pratilabhante / madhyaṃ niśrityādhimātraṃ pratilabhante /	niSritya maDyam pratilaBante / maDyam niSriti a aDimAtram pratilaBante /
   punaraparaṃ bodhisattvo ye 'sya bhavantyācāryopādhyāyāḥ	punar aparam boDisattvaH ye asya Bavanti AcArya upADyAyAH
   sārdhavihāryantevāsinaḥ sabrahmacāriṇaśca lobhaprakṛtayo lubdhajātīyā ye	sa arDa vihAryantevAsinaH sa brahmacAriNaH ca loBa prakRtayaH lubDa jAtIyAH ye
   ca na lubdhajātīyā api tu deyadharmavaikalyādicchāvighātavantastatra	ca na lubDa jAtIyAH api tu deya Darma vEkalyAt icCA viGAtavantaH tatra
   bodhisattvo buddhāvaropitaṃ vā dharmā[varopitaṃ vā] saṃghāvaropitaṃ vā	boDisattvaH budDa avaropitam vA Darma a[varopitam vA] saMGa avaropitam vA
   dānamayaṃ puṇyakriyāvastu kartukāmasteṣāmevotsṛjati / tān deya	dAna mayam puNya kriyA vastu kartu kAmaH tezAm eva utsRjati / tAn deya
   dharmāṃstaiḥ kārayati na svayaṃ karoti / evaṃ tena bodhisattvena svayañca	DarmAn= tEH kArayati na svayam karoti / evam tena boDisattvena svayaQca
   bahutaraṃ puṇyaṃ prasūtaṃ bhavati / tadekatyānāñca sabrahmacāriṇāṃ	bahutaram puNyam prasUtam Bavati / tad ekatyAnAQca sabrahmacAriNAm
   kleśavinayaḥ kṛto bhavati / tadekatyānāṃ dharmecchāparipūriḥ kṛtā bhavati	kleSa vinayaH kRtaH Bavati / tad ekatyAnAm Darma icCA paripUriH kRtA Bavati
   / sattvasaṃgrahaḥ sattvaparipākaśca kṛto bhavati / punaraparaṃ	/ sattva saMgrahaH sattva paripAkaH ca kRtaH Bavati / punar aparam
   bodhisattvaḥ satsu saṃvidyamāneṣu deyadharmeṣu	boDisattvaH satsu saMvidyamAnezu deya Darmezu
   yācanakamākūṭananimittamātrakeṇaiva jñātvā yathākāmaṃ deyadharmaiḥ	yAcanakam AkUwana nimitta mAtrakeNa eva jQAtvA yaTAkAmam deya DarmEH
   pratipādayati / yo 'pi cainamupasaṃkrānto bhavati kūṭavāṇijyanaivaṃ	pratipAdayati / yaH api ca enam upasaMkrAntaH Bavati kUwa vANijyana evam
   vyaṃsayiṣyāmīti / tasyāpi bhāvamājñāya tadduścaritamanyeṣāmapi	vyaMsayizyAmi iti / tasya api BAvam AjQAya tad duScaritam anyezAm api
   tāvacchādayati prāgeva tasyaiva / icchāñcāsya paripūrayati	tAvacCAdayati prAk eva tasya eva / icCAQcA asya paripUrayati
   yenāsāvamaṅkurudagro viśāradaḥ saumanasyajāto viprakrāmati / yenāpi ca	yena asAvam aFkurudagraH viSAradaH sOmanasya jAtaH viprakrAmati / yena api ca
   bodhisattvaḥ kūṭa kapaṭena vañcito bhavati na cānena sā vañcanā pūrvaṃ	boDisattvaH kUwa ka pawena vaQcitaH Bavati na ca anena sA vaQcanA pUrvam
   pratividdhā bhavati paścācca pratividhyati / pratividhya na ca tena	pratividDA Bavati paScAt ca prativiDyati / prativiDya na ca tena
   vastunā punastaṃ vyaṃsakaṃ pudgalañcodayati smārayati / sarvañca	vastunA punar tam vyaMsakam pudgalaQcodayati smArayati / sarvaQca
   tacchalakṛta madattādānamasmai bhāvenābhyanumodate / ityevaṃbhāgīyaṃ	tad Sala kRta madatta AdAnam asmE BAvena aByanumodate / iti evaMBAgIyam
   tāvadbodhisattvasya satsu saṃvidyamāneṣu prājñadānaṃ veditavyam /	tAvat boDisattvasya satsu saMvidyamAnezu prAjQa dAnam veditavyam /
   punaraparaṃ bodhisattvaḥ asatsu asaṃvidyamāneṣu deyadharmeṣu kṛtāvī	punar aparam boDisattvaH asatsu asaMvidyamAnezu deya Darmezu kRta AvI
   bodhisattvasteṣu teṣu śilpakarmasthāneṣu sa tadrūpaṃ	boDisattvaH tezu tezu Silpa karma sTAnezu sa tad rUpam
   śilpakarmasthānamāmukhīkaroti / (Dutt 88) yenālpakṛcchreṇa mahāntaṃ	Silpa karma sTAnam AmuKIkaroti / (Dutt 88) yena alpa kRcCreNa mahAntam
   dhanaskandhamabhinirjityādhyāvasati / pareṣāñcitrakatho madhurakathaḥ	Dana skanDam aBinirjitya aDyAvasati / parezAn citra kaTaH maDura kaTaH
   kalyāṇapratibhāno bodhisattvāstathā dharmadeśanāṃ pravartayati yathā	kalyANa pratiBAnaH boDisattvAH taTA Darma deSanAm pravartayati yaTA
   daridrāṇāmapi sattvānāṃ dātukāmatā santiṣṭhate prāgevāḍhyānām /	daridrANAm api sattvAnAm dAtu kAma tA santizWate prAk eva AXyAnAm /
   matsariṇāmapi prāgeva tyāgaśīlānām / yāni vā punastāni śrāddhakulāni	matsariNAm api prAk eva tyAga SIlAnAm / yAni vA punar tAni SrAdDa kulAni
   yeṣvaharahaḥ pravṛtā eva deyadharmā vistīrṇabhogatayā teṣu kuleṣu	yezu aharahar pravRtAH eva deya DarmA vistIrNa Boga tayA tezu kulezu
   āgatāgatān yācanakānupasaṃharati / svayameva vā gatvā dāneṣu dīyamāneṣu	Agata AgatAn yAcanakAn upasaMharati / svayam eva vA gatvA dAnezu dIyamAnezu
   puṇyeṣu kriyamāṇeṣu dakṣo 'nalasa utthānasampannaścittamabhiprasādya	puNyezu kriyamANezu dakzaH analasaH utTAna sampannaH cittam aBiprasAdya
   kāyena vācā yathāśaktyā yathābalaṃ vyāpāraṃ gacchati / supratipāditañca	kAyena vAcA yaTASaktyA yaTAbalam vyApAram gacCati / su pratipAditaQca
   taddānaṃ yācanakeṣu karoti / evaṃ hi taddānam / yadupasthāpaka vaiguṇyād	tat dAnam yAcanakezu karoti / evam hi tad dAnam / yat upasTApaka vEguNyAt 
   duṣpratipāditaṃ syāt pakṣapatitaṃ vā anādarato vā smṛtisaṃpramoṣato vā	duzpratipAditam syAt pakza patitam vA anAdarataH vA smRti saMpramozataH vA
   tanna bhavati / evaṃ hi bodhisattvaḥ asatsvasaṃvidyamāneṣu bhogeṣu	tat na Bavati / evam hi boDisattvaH asatsu a saMvidyamAnezu Bogezu
   prājñadānasya dātā bhavati yāvadāśayaśuddhi nādhigacchati / śuddhāśayastu	prAjQa dAnasya dAtA Bavati yAvat ASaya SudDi na aDigacCati / SudDASayaH tu
   bodhisattvo yathaivāpāsamatikramaṃ pratilabhate tathaivākṣayabhogatāṃ	boDisattvaH yaTA eva apAsam atikramam pratilaBate taTA eva akzaya Boga tAm
   janmani pratilabhate / punaraparaṃ bodhisattvo na tīrthikāya	janmani pratilaBate / punar aparam boDisattvaH na tIrTikAya
   randhraprekṣiṇe dharmaṃ mukhoddeśato vā pustakagataṃ vā dadāti / nāpi	ranDra prekziNe Darmam muKa uddeSataH vA pustaka gatam vA dadAti / na api
   lobhaprakṛtaye pustakaṃ vikretukāmāya sannidhiṃ vā kartukāmāya / na tu	loBa prakRtaye pustakam vikretu kAmAya sanniDim vA kartu kAmAya / na tu
   tena jñānenānarthine [jñānenārthine vā] / punaḥ sa cetkṛtārthaḥ pustakena	tena jQAnena anarTine [jQAnena arTine vA] / punar sa ced kRtArTaH pustakena
   bhavati svayaṃ dadātyasmai yathāsukhameva / sa cedakṛtārtho bhavati	Bavati svayam dadAti asmE yaTAsuKam eva / sa ced akRtArTaH Bavati
   yasyārthe tena tatpustakamanvāvartitam / evamasau bodhisattvaḥ	yasya arTe tena tat pustakam anvAvartitam / evam asO boDisattvaH
   ādarśamanyaṃ dṛṣṭvā lekhayitvā vānyaddadāti / sa cennaivādarśaṃ paśyati	AdarSam anyam dRzwvA leKayitvA vA anyat dadAti / sa ced na eva AdarSam paSyati
   nāpi lekhayituṃ śaknoti tenādita evaṃ svacittaṃ pratyavekṣitavyam / mā	na api leKayitum Saknoti tena Aditas evam sva cittam pratyavekzitavyam / mA
   haiva me dharmamātsaryamalaparyavasthitaṃ cittam / mā haivāhamāśayata eva	ha eva me Darma mAtsarya mala paryavasTitam cittam / mA ha eva aham ASayate eva
   na dātukāmo 'bhilikhitaṃ dharmam / sa cetsa evaṃ pratyavekṣamāṇo	na dAtu kAmaH aBiliKitam Darmam / sa ced se evam pratyavekzamANaH 
   jānīyādasti me dharmamātsaryamalasamudācāro 'pi tena bodhisattvenaivaṃ	jAnIyAt asti me DarmamAtsarya mala samudAcAraH api tena boDisattvena evam
   cittamabhisaṃskṛtya dātavyam / evaṃ dharmadānaṃ syāt / yadyahamanena	cittam aBisaMskRtya dAtavyam / evam Darma dAnam syAt / yadi aham anena
   dharmadānena mūka evaṃ syāṃ dṛṣṭe dharme tathāpi mayā 'nadhivāsya kleśaṃ	Darma dAnena mUkaH evam syAm dRzwe Darme taTA api mayA anaDivAsya kleSam
   dātavyameva syāddharmadānam / prāgeva jñānasaṃbhāravikalaḥ / sa cetpunaḥ	dAtavyam eva syAt Darma dAnam / prAk eva jQAna saMBAra vikalaH / sa ced punar 
   pratyavekṣamāṇo jānīyānnāsti me [dharma] mātsaryamalasamudācāro 'pi tena	pratyavekzamANaH jAnIyAt na asti me [Darma] mAtsarI a mala samudAcAraH api tena
   bodhisattvenaivaṃ pratisaṃśikṣitavyam / aham [ātmanaḥ]	boDisattvena evam pratisaMSikzitavyam / aham [a AtmanaH]
   kleśanirghātanārthaṃ vā etaddharmadānaṃ dadyāṃ	kleSa nirGAtanA arTam vE etat Darma dAnam dadyAm
   jñānasaṃbhāraparipūraṇārthaṃ vā sattva (Dutt 89) priyatāyaiva vā / so 'haṃ	jQAna saMBAra paripUraNa arTam vA sattvaH (Dutt 89) priya tAya eva vA / saH aham
   kleśaṃ tāvanna paśyāmi / jñānasaṃbhāramapi dṛṣṭadharmasāmparāyikaṃ	kleSam tAvat na paSyAmi / jQAna saMBAram api dRzwa DarmasAmparAyikam
   prabhūtataramananupradānāt paśyāmi / na padānāt / sāmparāyikameva	praBUtataram ananupradAnAt paSyAmi / na padAnAt / sAmparAyikam eva
   pratanukaṃ dharmalābhapracuratāyai / ananuprayacchaṃścāhaṃ sarvasattvānāṃ	pratanukam Darma lABa pracura tAyE / ananuprayacCan= ca aham sarva sattvAnAm
   hitasukhāya jñānaṃ samudānaya tasya ca sattvasya tadanyeṣāñca	hita suKAya jQAnam samudAnaya tasya ca sattvasya tad anyezAQca
   sarvasattvānāṃ priyakārī bhavāmi / anupracchannasyaivaikasya sattvasya	sarva sattvAnAm priya kArI BavAmi / anupracCan= asya eva ekasya sattvasya
   priyakārī iti viditvā yathābhūtaṃ sa cedbodhisattvo na dadātyanavadyo	priya kArI iti viditvA yaTABUtam sa ced boDisattvaH na dadAti anavadyaH 
   bhavatyavipratisārī / asamatikrāntaśca bhavati bodhisattvavṛttam /	Bavati avipratisArI / asamatikrAntaH ca Bavati boDisattva vRttam /
   kathañca punarna dadāti / na khalu punarbodhisattvaḥ utsahate yācanakaṃ	kaTaQca punar na dadAti / na Kalu punar boDisattvaH utsahate yAcanakam
   niṣṭhurayā vācā pratikṣeptum / na te dāsyāmītyapi upāyakauśalyanainaṃ	nizWurayA vAcA pratikzeptum / na te dAsyAmi iti api upAya kOSalya na enam
   saṃjñapyānupreṣayati / tatredamupāyakauśalyam / prāgeva bodhisattvena	saMjQapya anuprezayati / tatra idam upAya kOSalyam / prAk eva boDisattvena
   sarvapariṣkārāḥ sarvadeyadharmā daśasu dikṣu viśaddhenāśayena	sarva parizkArAH sarva deya DarmAH daSasu dikzu viSadDena ASayena
   buddhabodhisattvānāṃ visṛṣṭā bhavanti vikalpitāstadyathāpi nāma	budDa boDisattvAnAm visRzwAH Bavanti vikalpitAH tat yaTA api nAma
   bhikṣurācāryāya vā upādhyāyāya vā cīvaraṃ vikalpayet / sa evaṃ	BikzuH AcAryAya vA upADyAyAya vA cIvaram vikalpayet / saH evam
   vikalpahetoḥ sarvavicitrodārapariṣkāradeyadharmasannidhiprāpto	vikalpa hetoH sarva vicitra udAra parizkAra deya Darma sanniDi prAptaH 
   'pyāryavaṃśavihārī bodhisattva ityucyate / aprameyapuṇyaprasotā ca bhavati	api Arya vaMSa vihArI boDisattvaH iti ucyate / aprameya puNya prasotA ca Bavati
   / tañca puṇyamasya nityakālaṃ tadbahulamanaskārasya	/ taQca puNyam asya nityakAlam tad bahula manaskArasya
   sarvakālānugatamabhivardhate / sa tān deyadharmān	sarva kAla anugatam aBivarDate / sa tAn deya DarmAn
   buddhabodhisattvanikṣiptāniva dhārayati / yadi yācanakaṃ paśyati	budDa boDisattva nikziptAn iva DArayati / yadi yAcanakam paSyati
   yuktarūpaścāsmin yathepsitaṃ deyadharmapratipādanaṃ paśyati / sa nāsti tat	yukta rUpaH ca asmin yaTA Ipsitam deya Darma pratipAdanam paSyati / sa na asti tat 
   kiñcid buddhabodhisattvānāṃ yatsattveṣu aparityaktamiti viditvā	kiQcid budDa boDisattvAnAm yat sattvezu aparityaktam iti viditvA
   yācanakasyecchāṃ paripūrayati / no cedyuktarūpaṃ samanupaśyati sa tameva	yAcanakasya icCAm paripUrayati / no cedyukta rUpam samanupaSyati sa tam eva
   kalpamupādāya parakīyametad bhadramukha na caitadyuṣmākamanujñātaṃ	kalpam upAdAya parakIyam etat Badra muKa na ca etat yuzmAkam anujQAtam
   dātumiti ślakṣnena vacasā saṃjñapyainaṃ preṣayati / anyadvā tad dviguṇaṃ	dAtum iti Slakznena vacasA saMjQapya enam prezayati / anyat vA tat dviguNam
   triguṇaṃ dānamānasatkāraṃ kṛtvānupreṣayati / yenāsau jānīte nāyaṃ	triguNam dAna mAna satkAram kRtvA anuprezayati / yena asO jAnIte na ayam
   bodhisattvo lobhātmakatayā 'smākaṃ na dātukāmaḥ / api tu nūnamasvatantra	boDisattvaH loBa Atmaka tayA asmAkam na dAtu kAmaH / api tu nUnam asvatantra
   evaṃ tasmin pustakadharmadāne yena na dadātīti / idamapi bodhisattvasya	evam tasmin pustaka Darma dAne yena na dadAti iti / idam api boDisattvasya
   dharmadānamārabhya prājñadānaṃ veditavyam / punaraparaṃ bodhisattvaḥ	Darma dAnam AraBya prAjQa dAnam veditavyam / punar aparam boDisattvaH
   sarvadānāni dharmāmiṣābhaya[dānā]ni praryāyato 'pi lakṣaṇato 'pi	sarva dAnAni Darma Amiza aBaya[ dAnA]ni praryAyataH api lakzaNataH api
   nirvacanato 'pi hetuphalaprabhedato 'pi yathābhūtaṃ	nirvacanataH api hetu Pala praBedataH api yaTABUtam
   prajānannanuprayacchati / idamapi bodhisattvasya prājñadānaṃ veditavyam /	prajAnan= anuprayacCati / idam api boDisattvasya prAjQa dAnam veditavyam /
   punaraparaṃ bodhisattvaḥ apakāriṣu sattveṣu maitryāśayo dānaṃ dadāti /	punar aparam boDisattvaH apakArizu sattvezu mEtrI ASayaH dAnam dadAti /
   duḥkhiteṣu karuṇāśayaḥ / guṇavatsu muditāśayaḥ / (Dutt 90) upakāriṣu	duHKitezu karuNA ASayaH / guNavatsu mudita ASayaH / (Dutt 90) upakArizu
   mitreṣu suhṛtsūpekṣāśayaḥ / idamapi bodhisattvasya prājñadānaṃ veditavyam	mitrezu suhRd su upekza ASayaH / idam api boDisattvasya prAjQa dAnam veditavyam
   punaraparaṃ bodhisattvo dānavibandhanamapi dānavibandhapratipakṣamapi	punar aparam boDisattvaH dAna vibanDanam api dAna vibanDa pratipakzam api
   yathābhūtaṃ prajānāti / tatra catvāro dānavibandhāḥ / pūrvako 'nabhyāsaḥ /	yaTABUtam prajAnAti / tatra catvAraH dAna vibanDAH / pUrvakaH anaByAsaH /
   deyadharmaparīttatāvaikalyam / agre manorame ca vastuni gṛddhiḥ āyatyāñca	deya Darma parIttatOvEkalyam / agre manorame ca vastuni gRdDiH AyatyAQca
   bhogasampatti phaladarśanābhinandanatā / yataśca bodhisattvasya	Boga sampatti Pala darSana aBinandana tA / yatas ca boDisattvasya
   deyadharmeṣu saṃvidyamāneṣu yācanake ca samyagupasthite dāne cittaṃ na	deya Darmezu saMvidyamAnezu yAcanake ca samyak upasTite dAne cittam na
   krāmati / so 'nabhyāsakṛto me 'yaṃ doṣa iti laghu ladhveva prajñayā	krAmati / saH anaByAsa kRtaH me ayam dozaH iti laGu laDvA iva prajQayA
   pratisidhyati / evañca punaḥ pratividhyati / nūnaṃ mayā pūrvaṃ dānaṃ na	pratisiDyati / evaQca punar prativiDyati / nUnam mayA pUrvam dAnam na
   dattaṃ yena me etarhi samyak saṃvidyamāneṣu bhogeṣu samyak pratyupasthite	dattam yena me etarhi samyak saMvidyamAnezu Bogezu samyak pratyupasTite
   ca yācanake dāne cittaṃ na krāmati / sa cedetarhina pratisaṃkhyāya dāsyāmi	ca yAcanake dAne cittam na krAmati / sa ced etarhinaH pratisaMKyAya dAsyAmi
   punarapi me āyatyāṃ dānavidveṣo bhaviṣyati / sa eva pratibidhya	punar api me AyatyAm dAna vidvezaH Bavizyati / saH eva pratibiDya
   dānapratibandhapratipakṣa niśṛtya pratisaṃkhyāya dadāti /	dAna pratibanDa pratipakza niSRtya pratisaMKyAya dadAti /
   nābhyāsakṛtadoṣānusārī bhavati na tadvaśagaḥ / punaraparaṃ bodhisattvasya	na aByAsa kRta doza anusArI Bavati na tad vaSa gaH / punar aparam boDisattvasya
   sa cedyad yācanake samyak pratyupasthite parīttabhogatayā dāne cittaṃ na	sa ced yat yAcanake samyak pratyupasTite parItta Boga tayA dAne cittam na
   krāmati sa ta vighātakṛta dānavipratibandhahetuṃ laghu laghveva prajñayā	krAmati sa te viGAta kRta dAna vipratibanDa hetum laGu  laGu eva prajQayA
   pratividhya tadvighātakṛtaṃ duḥkhamadhivāsayan pratisaṃkhyāya	prativiDya tad viGAta kRtam duHKam aDivAsayan pratisaMKyAya
   kāruṇyāddānaṃ dadāti / tasyaivaṃ bhavati / pūrvakarmadoṣeṇa vā	kAruNyAt dAnam dadAti / tasya evam Bavati / pUrva karma dozeNa vA
   paravineyatayā vā mayā bahūni pragāḍhāni kṣut pipāsādikāni	para vineya tayA vA mayA bahUni pragAXAni kzuD pipAsA AdikAni
   duḥkhānyanubhūtāni bhave vinā parānugraham / yadi ca me maraṇāya	duHKAni anuBUtAni Bave vinA para anugraham / yadi ca me maraNAya
   kālakriyāyai savarteta etaddānakṛta parānugrahahetuka dṛṣṭe dharme duḥkha	kAla kriyAyE sa varteta etat dAna kRta para anugraha hetuka dRzwe Darme duHKa
   tathāpi me dānameva śreyo na tu yācanakanirākaraṇam / prāgeva yaḥ	taTA api me dAnam eva SreyaH na tu yAcanaka nirAkaraNam / prAk eva yaH
   kaścidyena kenacicchākapatreṇa jīvati ityevaṃ bodhisattvastadvighātakṛtaṃ	kaScid yena kenacid SAka patreNa jIvati iti evam boDisattvaH tad viGAta kRtam
   dukhamadhivāsya dāna dadāti / panarapara bodhisattvasya samyag yācake	duKam aDivAsya dAna dadAti / panara para boDisattvasya samyak yAcake
   pratyupasthite sa cedadhimātramanāpatvādagryatvāddeyavastuno dāne citta na	pratyupasTite sa ced aDimAtram anApatvAt agrya tvAt deya vastunaH dAne citta na
   krāmati ta bodhisattvo gardhakṛt doṣa laghu laghveva pratijñayā	krAmati te boDisattvaH garDa kRt doza laGu  laGu eva pratijQayA
   pratividhya duḥkhe me eṣa sukhasaṃjñāviparyāsaḥ āyatyāṃ duḥkhajanaka iti	prativiDya duHKe me eza suKa saMjQA viparyAsaH AyatyAm duHKa janakaH iti
   viparyāsaparijñānāttañca prahāya prati saṃkhyāya tadvastu dadāti /	viparyAsa parijQAnAt taQca prahAya prati saMKyAya tat vastu dadAti /
   punaraparaṃ bodhisattvasya sa ceddānaṃ dattvā dānaphale (Dutt 91)	punar aparam boDisattvasya sa ced dAnam dattvA dAna Pale (Dutt 91)
   mahābhogatāyāmanuśaṃsadarśanamutpadyate nānuttarāyāṃ samyaksaṃbodhau taṃ	mahA Boga tAyAm anuSaMsa darSanam utpadyate na anuttarAyAm samyaksaMboDO tam
   bodhisattvo mithyāphaladṛṣṭikṛtaṃ doṣaṃ laghu laghveva prajñayā	boDisattvaH miTyA Pala dRzwi kRtam dozam laGu  laGu eva prajQayA
   pratividhya sarvasaṃskārāṇāmasāratāṃ yathābhūtaṃ pratyavekṣate /	prativiDya sarva saMskArANAm asAra tAm yaTABUtam pratyavekzate /
   sarvasaṃskārāḥ kṣaṇabhaṅgurāḥ phalopabhogaparikṣayabhaṅgurā	sarva saMskArAH kzaNa BaFgurAH Pala upaBoga parikzaya BaFgurA
   viprayogabhaṅgurāśca / sa evaṃ pratyavekṣamāṇaḥ phaladarśanaṃ prahāya	viprayoga BaFgurAH ca / saH evam pratyavekzamANaH Pala darSanam prahAya
   yatkiñciddānaṃ dadāti sarvaṃ tanmahābodhi pariṇāmitameva dadāti /	yat kiQcid dAnam dadAti sarvam tat mahA boDi  pariNAmitam eva dadAti /
   tadidaṃ bodhisattvasya caturvidhasya dānavibandhasya caturvidhaṃ	tat idam boDisattvasya caturviDasya dAna vibanDasya caturviDam
   dānaprativandhapratipakṣajñānaṃ veditavyam / prativedho duḥkhādivāsanā	dAna prativanDa pratipakza jQAnam veditavyam / prativeDaH duHKa Adi vAsanA
   viparyāsaparijñānaṃ saṃskārāsāratvadarśanañca / tatra trividhena	viparyAsa parijQAnam saMskAra AsAra tva darSanaQca / tatra triviDena
   bodhisattvaḥ pratipakṣajñānena pūrvakeṇa niyataṃ samyak ca dānaṃ dadāti /	boDisattvaH pratipakza jQAnena pUrvakeNa niyatam samyak ca dAnam dadAti /
   ekena paścimena pratipakṣajñānena samyak puṇyaphalaparigrahaṃ karoti /	ekena paScimena pratipakza jQAnena samyak puNya Pala parigraham karoti /
   idamapi bodhisattvasya prājñadānaṃ veditavyam /	idam api boDisattvasya prAjQa dAnam veditavyam /
   punaraparaṃ bodhisattvaḥ adhyātmyaṃ rahogataḥ śuddhenāśayena ghanarasena	punar aparam boDisattvaH aDyAtmyam rahaH gataH SudDena ASayena Gana rasena
   prasādena saṃkalpairvicitrānudārānaprameyān deyadharmānadhimucya sattveṣu	prasAdena saMkalpEH vicitrAn udArAn aprameyAn deya DarmAn aDimucya sattvezu
   dānāya pratipāditāyābhilaṣati yena bodhisattvaḥ alpakṛcchreṇāprameyaṃ	dAnAya pratipAditAya aBilazati yena boDisattvaH alpa kRcCreNa aprameyam
   puṇyaṃ prasūyate / idamapi bodhisattvasya prājñadānaṃ veditavyam / tadidaṃ	puNyam prasUyate / idam api boDisattvasya prAjQa dAnam veditavyam / tat idam
   bodhisattvasya prājñasya [mahā]prājñadānam / evaṃ samāsataḥ	boDisattvasya prAjQasya [mahA] prAjQa dAnam / evam samAsatas 
   saṃvidyamāneṣvasaṃvimādeṣu cāmiṣadānasaṃgṛhīteṣu deyadharmeṣu tathā	saMvidyamAnezu asaMvimAdezu ca Amiza dAna saMgRhItezu deya Darmezu taTA
   dharmadānamupādāya pratisaṃvidamupādāyādhyāśayadānamupādāya	Darma dAnam upAdAya pratisaMvidam upAdAya aDyASaya dAnam upAdAya
   dānavipratibandhapratipakṣajñānamupādāyāśayādhimuktidānañcopādāya	dAna vipratibanDa pratipakza jQAnam upAdAya ASaya aDi mukti dAnaQca upAdAya
   bodhisattvasyaivāveṇikaṃ veditavyam / evaṃ hi	boDisattvasya eva AveNikam veditavyam / evam hi
   bodhisattvasyādhyātmika bāhyasarvavastudānaprabhedo vistareṇa veditavyaḥ /	boDisattvasya ADyAtmika  bAhya sarva vastu dAna praBedaH vistareNa veditavyaH /
   ata ūrdhvamasmādeva sarvadānaprabhedāttadanyaḥ sarvo duṣkarādidānaprabhedo	atas UrDvam asmAt eva sarva dAna praBedAt tad anyaH sarvaH duzkara Adi dAna praBedaH 
   veditavyaḥ /	veditavyaH /
   tatra katamadbodhisattvasya duṣkaradānam / yadbodhisattvaḥ parīttaṃ	tatra katamat boDisattvasya duzkara dAnam / yat boDisattvaH parIttam
   deyavastu saṃvidyamānamātmānaṃ bādhitvā duḥkhamadhivāsya	deyavastu saMvidyamAnam AtmAnam bADitvA duHKam aDivAsya
   pareṣāmanuprayacchati / idaṃ bodhisattvasya prathamaṃ duṣkaradānam /	parezAm anuprayacCati / idam boDisattvasya praTamam duzkara dAnam /
   yadbodhisattvaḥ iṣṭañca vastu prakṛtisnehādvā dīrghakāla saṃstavādvā	yat boDisattvaH izwaQca vastu prakRti snehAt vA dIrGa kAla saMstavAt vA
   'dhimātropakārādvā 'gryañca pravaraṃ deyavastugardhaṃ prativinodya	aDimAtra upakArAt vA agryaQca pravaram deya vastu garDam prativinodya
   parebhyo 'nuprayacchati / (Dutt 92) idaṃ bodhisattvasya dvitīyaṃ	pareByaH anuprayacCati / (Dutt 92) idam boDisattvasya dvitIyam
