   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   ujjāgarita-bhrāmita-dantura-dala-ruddha-madhukara-prakare |	ujjAgarita--BrAmita--dantura-dala--rudDa--maDukara--prakare |
   kāñcana-ketaki mā tava vikasatu saurabhya-sambhāraḥ ||GAss_123||	kAQcana-ketaki mA tava vikasatu sOraBya--samBAraH ||GAsH-_123||
   ullasita-bhrūḥ kim atikrāntaṃ cintayasi nistaraṅgākṣi |	ullasita--BrUH kim atikrAntam cintayasi nistaraFga-akzi |
   kṣudrāpacāra-virasaḥ pākaḥ premṇo guḍasyeva ||GAss_124||	kzudra-apacAra-virasaH pAkaH premNaH guxasya-iva ||GAsH-_124||
   uddiśya niḥsarantīṃ sakhīm iyaṃ kapaṭa-kopa-kuṭila-bhrūḥ |	uddiSya niHsarantIm saKIm iyam kapawa-ka-upa-kuwila-BrUH |
   evam avataṃsam ākṣipad āhata-dīpo yathā patati ||GAss_125||	evam avataMsam Akzipat Ahata-dIpaH yaTA patati ||GAsH-_125||
   udito 'pi tuhina-gahane gagana-prānte na dīpyate tapanaḥ |	uditaH api tuhina--gahane gagana--prAnte na dIpyate tapanaH |
   kaṭhina-ghṛta-pūra-pūrṇe śarāva-śirasi pradīpa iva ||GAss_126||	kaWina--GRta-pUra-pUrNe SarAva--Sirasi pradIpaH iva ||GAsH-_126||
   udgamanopaniveśana-śayana-parāvṛtti-valana-calaneṣu |	udgamana-upaniveSana-Sayana--parAvRtti--valana-calanezu |
   aniśaṃ sa mohayati māṃ hṛl-lagnaḥ śvāsa iva dayitaḥ ||GAss_127||	aniSam sa mohayati mAm hRl--lagnaH SvAsaH iva dayitaH ||GAsH-_127||
   ujjhita-saubhāgya-mada-sphuṭa-yācñānaṅga-bhītayor yūnoḥ |	ujJita--sOBAgya--mada--sPuwa--yAcQA-anaFga-BItayoH yUnoH |
   akalita-manasor ekā dṛṣṭir dūtī nisṛṣṭārthī ||GAss_128||	akalita-manasoH ekA dRzwiH dUtI nisRzwa-arTI ||GAsH-_128||
   uttama-bhujaṅga-saṅgama-nispanda-nitamba-cāpalas tasyāḥ |	uttama--BujaFga--saFgama--nispanda--nitamba-cApalaH tasyAH |
   mandara-girir iva vibudhair itas tataḥ kṛṣyate kāyaḥ ||GAss_129||	mandara-giriH iva vibuDEH itas tatas kRzyate kAyaH ||GAsH-_129||
   upanīya kalama-kuḍavaṃ kathayati sabhayaś cikitsake halikaḥ |	upanIya kalama--kuxavam kaTayati sa-BayaH cikitsake halikaH |
   śoṇaṃ somārdha-nibhaṃ vadhū-stane vyādhim upajātam ||GAss_130||	SoNam soma-arDa--niBam vaDU--stane vyADim upajAtam ||GAsH-_130||
   unmukulitādhara-puṭe-bhūti-kaṇa-trāsa-mīlitārdhākṣi |	unmukulita-aDara--puwe--BUti-kaNa-trAsa--mIlita-arDa-akzi |
   dhūmo 'pi neha virama-bhramaro 'yaṃ śvasitam anusarati ||GAss_131||	DUmaH api na-iha virama--BramaraH ayam Svasitam anusarati ||GAsH-_131||
   upari pariplavate mama bāleyaṃ gṛhiṇi haṃsa-māleva |	upari pariplavate mama bAlA-iyam gRhiNi haMsa--mAlA-iva |
   sarasa iva nalina-nālā tvam āśayaṃ prāpya vasasi punaḥ ||GAss_132||	sarasaH iva nalina-nAlA tvam ASayam prApya vasasi punar ||GAsH-_132||
   utkampa-gharma-picchila-doḥ-sādhika-hasta-vicyutaś cauraḥ |	utkampa--Garma--picCila-doH--sADika-hasta-vicyutaH cOraH |
   śivam āśāste sutanu-stanayos tava pañcalāñcalayoḥ ||GAss_133||	Sivam ASAste su-tanu--stanayoH tava paQcala-aQcalayoH ||GAsH-_133||
   utkṣipta-bāhu-darśita-bhuja-mūlaṃ cūta-mukula mama sakhyā |	utkzipta--bAhu--darSita-Buja--mUlam cUta-mukula mama saKyA |
   ākṛṣyamāṇa rājati bhavataḥ param ucca-pada-lābhaḥ ||GAss_134||	AkRzyamANa rAjati BavataH param ucca-pada--lABaH ||GAsH-_134||
   ucca-kuca-kumbha-nihito hṛdayaṃ cālayati jaghana-lagnāgraḥ |	ucca-kuca-kumBa--nihitaH hRdayam cAlayati jaGana---lagna-agraH |
   atinimna-madhya-saṅkrama-dāru-nibhas taruṇi tava hāraḥ ||GAss_135||	ati-nimna--maDya--saFkrama-dAru--niBaH taruNi tava hAraH ||GAsH-_135||
   ullasita-śīta-dīdhiti-kalopakaṇṭhe sphuranti tāraughāḥ |	ullasita-SIta-dIDiti--kalA-upa-kaNWe sPuranti tAra-oGAH |
   kusumāyudha-vidhṛta-dhanur-nirgata-makaranda-bindu-nibhāḥ ||GAss_136||	kusumAyuDa--viDRta--DanuH--nirgata--makaranda--bindu--niBAH ||GAsH-_136||
   upanīya priyam asamaya-vidaṃ ca me dagdha-mānam apanīya |	upanIya priyam asamaya-vidam ca me dagDa-mAnam apanIya |
   narmopakrama eva kṣaṇade dūtīva calitāsi ||GAss_137||	narma-upakramaH eva kzaNade dUtI-iva calitA-asi ||GAsH-_137||
   uttama-vanitaika-gatiḥ karīva sarasī-payaḥ sakhī-dhairyam |	uttama--vanitA-eka-gatiH karI-iva sarasI--payaH saKI--DEryam |
   āskanditoruṇā tvaṃ hastenaiva spṛśan harasi ||GAss_138||	Askandita-UruNA tvam hastena-eva spRSan harasi ||GAsH-_138||
   iti vibhāvyākhyā-sametā u-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH u-kAra-vrajyA ||
   ū-kāra-vrajyā	U-kAra-vrajyA
   ūḍhāmunātivāhaya pṛṣṭhe lagnāpi kālam acalāpi |	UXa-amunA-ativAhaya pRzWe lagnA-api kAlam acalA-api |
   sarvaṃsahe kaṭhora-tvacaḥ kim aṅkena kamaṭhasya ||GAss_139||	sarvaMsahe kaWora--tvacaH kim aFkena kamaWasya ||GAsH-_139||
   iti vibhāvyākhyā-sametā ū-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH U-kAra-vrajyA ||
   ṛ-kāra-vrajyā	R-kAra-vrajyA
   ṛjunā nidhehi caraṇau parihara sakhi nikhila-nāgarācāram |	RjunA niDehi caraNO parihara saKi niKila--nAgara-AcAram |
   iha ḍākinīti pallī-patiḥ kaṭākṣe'pi daṇḍayati ||GAss_140||	iha xAkinI-iti pallI--patiH kawAkze-api daNxayati ||GAsH-_140||
   ṛṣabho 'tra gīyata iti śrutvā svara-pāragā vayaṃ prāptāḥ |	RzaBaH atra gIyate iti SrutvA svara--pAragAH vayam prAptAH |
   ko veda goṣṭham etad go-śāntau vihita-bahu-mānam ||GAss_141||	kaH veda gozWam etat go-SAntO vihita-bahu--mAnam ||GAsH-_141||
   iti vibhāvyākhyā-sametā ṛ-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH R-kAra-vrajyA ||
   e-kāra-vrajyā	e-kAra-vrajyA
   eko haraḥ priyādhara-guṇa-vedī diviṣado 'pare mūḍhāḥ |	ekaH haraH priya-aDara--guNa--vedI divizadaH apare mUXAH |
   viṣam amṛtaṃ vā samam iti yaḥ paśyan garalam eva papau ||GAss_142||	vizam amRtam vA samam iti yaH paSyan garalam eva papO ||GAsH-_142||
   eṣyati mā punar ayam iti gamane yad amaṅgalaṃ mayākāri |	ezyati mA punar ayam iti gamane yat amaFgalam mayA-kAri |
   adhunā tad eva kāraṇam avasthitau dagdha-geha-pateḥ ||GAss_143||	aDunA tat eva kAraNam avasTitO dagDa--geha--pateH ||GAsH-_143||
   ekaikaśo yuva-janaṃ vilaṅghamānākṣa-nikaram iva taralā |	ekEkaSas yuva--janam vilaFGamAna-akza--nikaram iva taralA |
   viśrāmyati subhaga tvām aṅgulir āsādya merum iva ||GAss_144||	viSrAmyati suBaga tvAm aFguliH AsAdya merum iva ||GAsH-_144||
   ekaḥ sa eva jīvati svahṛdaya-śūnyo 'pi sahṛdayo rāhuḥ |	ekaH saH eva jIvati sva-hRdaya--SUnyaH api sahRdayaH rAhuH |
   yaḥ sakala-laghima-kāraṇam udaraṃ na bibharti duṣpūram ||GAss_145||	yaH sa-kala-laGim-a-kAraNam udaram na biBarti duzpUram ||GAsH-_145||
   ekena cūrṇa-kuntalam apareṇa kareṇa cibukam unnamayan |	ekena cUrNa-kuntalam apareNa kareNa cibukam unnamayan |
   paśyāmi bāṣpa-dhauta-śruti nagara-dvāri tad-vadanam ||GAss_146||	paSyAmi bAzpa--DOta--Sruti nagara-dvAri tad--vadanam ||GAsH-_146||
   ekaṃ jīvana-mūlaṃ cañcalam api tāpayantam api satatam |	ekam jIvana--mUlam caQcalam api tApayantam api satatam |
   antar vahati varākī sā tvāṃ nāseva niḥśvāsam ||GAss_147||	antar vahati varAkI sA tvAm nAsA-iva niHSvAsam ||GAsH-_147||
   ekaṃ vadati mano mama yāmi na yāmīti hṛdayam aparaṃ me |	ekam vadati manaH mama yAmi na yAmi-iti hRdayam aparam me |
   hṛdaya-dvayam ucitaṃ tava sundari hṛta-kānta-cittāyāḥ ||GAss_148||	hRdaya--dvayam ucitam tava sundari hRta-kAnta--cittAyAH ||GAsH-_148||
   eraṇḍa-pattra-śayanā janayantī svedam alaghu-jaghana-taṭā |	eraNxa-pattra--SayanA janayantI svedam alaGu--jaGana--tawA |
   dhūli-puṭīva milantī smara-jvaraṃ harati halika-vadhūḥ ||GAss_149||	DUli--puwI-iva milantI smara--jvaram harati halika-vaDUH ||GAsH-_149||
   iti vibhāvyākhyā-sametā e-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH e-kAra-vrajyA ||
   ka-kāra-vrajyā	ka-kAra-vrajyA
   keli-nilayaṃ sakhīm iva nayati navoḍhāṃ svayaṃ na māṃ bhajate |	keli--nilayam saKIm iva nayati na-va-UXAm svayam na mAm Bajate |
   itthaṃ gṛhiṇīm arye stuvati prativeśinā hasitam ||GAss_150||	itTam gRhiNIm arye stuvati prativeSinA hasitam ||GAsH-_150||
   kāla-krama-kamanīya-kroḍeyaṃ ketakīti kāśaṃsā |	kAla--krama-kamanIya--kroxA-iyam ketakI-iti kASaMsA |
   vṛddhir yathā yathā syās tathā tathā kaṇṭakotkarṣaḥ ||GAss_151||	vRdDiH yaTA yaTA syAH taTA taTA kaNwaka-utkarzaH ||GAsH-_151||
   kṛtakasvāpa madīya-śvāsa-dhvani-datta-karṇa kiṃ tīvraiḥ |	kRtaka-svApa madIya--SvAsa--Dvani-datta-karNa kim tIvrEH |
   vidhyasi māṃ niḥśvāsaiḥ smaraḥ śaraiḥ śabda-vedhīva ||GAss_152||	viDyasi mAm niHSvAsEH smaraH SarEH Sabda-veDI-iva ||GAsH-_152||
   kva sa nirmoka-dukūlaḥ kvālaṅkaraṇāya phaṇi-maṇi-śreṇī |	kva sa nirmoka-dukUlaH kva-alaFkaraNAya PaNi-maNi--SreNI |
   kāliya-bhujaṅga-gamanād yamune viśvasya gamyāsi ||GAss_153||	kAliya--BujaFga--gamanAt yamune viSvasya gamyA-asi ||GAsH-_153||
   kiñcin na bālayoktaṃ na saprasādā niveśitā dṛṣṭiḥ |	kiQcid na bAlayA-uktam na sa-prasAdA niveSitA dRzwiH |
   mayi pada-patite kevalam akāri śuka-pañjaro vimukhaḥ ||GAss_154||	mayi pada-patite kevalam akAri Suka--paQjaraH vimuKaH ||GAsH-_154||
   kṛta-hasita-hasta-tālaṃ manmatha-taralair vilokitāṃ yuvabhiḥ |	kRta--hasita-hasta-tAlam manmaTa-taralEH vilokitAm yuvaBiH |
   kṣiptaḥ kṣipto nipatann aṅge nartayati bhṛṅgas tām ||GAss_155||	kziptaH kziptaH nipatan aFge nartayati BRFgaH tAm ||GAsH-_155||
   kamala-mukhi sarvatomukha-nivāraṇaṃ vidadhad eva bhūṣayati |	kamala--muKi sarvatomuKa--nivAraNam vidaDat eva BUzayati |
   rodho 'ruddha-svarasās taraṅgiṇīs tarala-nayanāś ca ||GAss_156||	roDaH arudDa--svarasAH taraFgiNIH tarala--nayanAH ca ||GAsH-_156||
   kitava prapañcitā sā bhavatā mandākṣa-manda-sañcārā |	kitava prapaQcitA sA BavatA manda-akza-manda--saQcArAH |
   bahu-dāyair api samprati pāśakasārīva nāyāti ||GAss_157||	bahu-dAyEH api samprati pASaka-sArI-iva na-AyAti ||GAsH-_157||
   kaḥ ślāghanīya-janmā māgha-niśīthe'pi yasya saubhāgyam |	kaH SlAGanIya--janmA mAGa--niSITe-api yasya sOBAgyam |
   prāleyānila-dīrghaḥ kathayati kāñcī-ninādo 'yam ||GAss_158||	prAleya-anila--dIrGaH kaTayati kAQcI-ninAdaH ayam ||GAsH-_158||
   kim aśakanīyaṃ premṇaḥ phaṇinaḥ kathayāpi yā bibheti sma |	kim aSakanIyam premNaH PaNinaH kaTaya-api yA biBeti sma |
   sā giriśa-bhuja-bhujaṅgama-pheṇopadhānādya nidrāti ||GAss_159||	sA giri-Sa--Buja--BujaFgama-PeNa-upaDAna-adya nidrAti ||GAsH-_159||
   kṛtrima-kanakeneva premṇā muṣitasya vāra-vanitābhiḥ |	kRtrima--kanakena-iva premNA muzitasya vAra-vanitABiH |
   laghur iva vitta-vināśa-kleśo jana-hāsyatā mahatī ||GAss_160||	laGuH iva vitta--vinASa--kleSaH jana--hAsya-tA mahatI ||GAsH-_160||
   kiṃ parva-divasam ārjita-dantoṣṭhi nijaṃ vapur na maṇḍayasi |	kim parva--divasam Arjita--danta-uzWi nijam vapuH na maNxayasi |
   sa tvāṃ tyajati na parvasv api madhurām ikṣu-yaṣṭim iva ||GAss_161||	sa tvAm tyajati na parvasu api maDurAm ikzu--yazwim iva ||GAsH-_161||
   kaṣṭaṃ sāhasa-kāriṇi tava nayanārdhena so 'dhvani spṛṣṭaḥ |	kazwam sAhasa--kAriNi tava nayana-arDena saH aDvani spRzwaH |
   upavītād api vidito na dvija-dehas tapasvī te ||GAss_162||	upavItAt api viditaH na dvija-dehaH tapasvI te ||GAsH-_162||
   kleśe'pi tanyamāne militeyaṃ māṃ pramodayaty eva |	kleSe-api tanyamAne militA-iyam mAm pramodayati eva |
   raudre'nabhre'pi nabhaḥ-surāpagā-vāri-vṛṣṭir eva ||GAss_163||	rOdre-anaBre-api naBaH--sura-ApagA-vAri-vRzwiH eva ||GAsH-_163||
   kūpa-prabhavāṇāṃ param ucitam apāṃ paṭṭa-bandhanaṃ manye |	kUpa--praBavANAm param ucitam apAm pawwa-banDanam manye |
   yāḥ śakyante labdhuṃ na pārthivenāpi viguṇena ||GAss_164||	yAH Sakyante labDum na pArTivena-api viguNena ||GAsH-_164||
   kararuha-śikhā-nikhāta bhrāntvā viśrānta rajani-duravāpa |	kararuha--SiKA--niKAta BrAntvA viSrAnta rajani-duH-avApa |
   ravir iva yantrollikhitaḥ kṛśo 'pi lokasya harasi dṛśam ||GAss_165||	raviH iva yantra-ulliKitaH kRSaH api lokasya harasi dRSam ||GAsH-_165||
   kiṃ karavāṇi divā-niśam api lagnā sahaja-śītala-prakṛtiḥ |	kim karavANi divA-niSam api lagnA sahaja-SItala--prakRtiH |
   hanta sukhayāmi na priyam ātmānam ivātmanaś chāyā ||GAss_166||	hanta suKayAmi na priyam AtmAnam iva-AtmanaH CAyAH ||GAsH-_166||
   keśaiḥ śiraso garimā maraṇaṃ pīyūṣa-kuṇḍa-pātena |	keSEH SirasaH garimAH maraNam pIyUza--kuNxa--pAtena |
   dayita-vahanena vakṣasi yadi bhāras tad idam acikitsyam ||GAss_167||	dayita--vahanena vakzasi yadi BAraH tat idam acikitsyam ||GAsH-_167||
   kiñcit karkaśatām anu rasaṃ pradāsyan nisarga-madhuraṃ me |	kiQcid karkaSatAm anu rasam pradAsyan nisarga--maDuram me |
   ikṣor iva te sundari mānasya granthir api kāmyaḥ ||GAss_168||	ikzoH iva te sundari mAnasya granTiH api kAmyaH ||GAsH-_168||
   kena giriśasya dattā buddhir bhujagaṃ jaṭāvane'rpayitum |	kena giriSasya dattA budDiH Bujagam jawA-vane-arpayitum |
   yena rati-rabhasa-kāntā-kara-cikurākarṣaṇaṃ muṣitam ||GAss_169||	yena rati--raBasa-kAntA-kara--cikura-AkarzaNam muzitam ||GAsH-_169||
   kara-caraṇa-kāñci-hāra-prahāram avacintya bala-gṛhīta-kacaḥ |	kara--caraNa--kAQci-hAra--prahAram avacintya bala-gRhIta-kacaH |
   praṇayī cumbati dayitā-vadanaṃ sphurad-adharam aruṇākṣam ||GAss_170||	praNayI cumbati dayitA--vadanam sPurat--aDaram aruNa-akzam ||GAsH-_170||
   kurutāṃ cāpalam adhunā kalayatu surasāsi yādṛśī tad api |	kurutAm cApalam aDunA kalayatu surasA-asi yAdRSI tat api |
   sundari harītakīm anu paripītā vāridhāreva ||GAss_171||	sundari harItakIm anu paripItAH vAri-DArA-iva ||GAsH-_171||
   kajjala-tilaka-kalaṅkita-mukha-candre galita-salila-kaṇa-keśi |	kajjala-tilaka--kalaFkita-muKa-candre galita-salila--kaNa-keSi |
   nava-viraha-dahana-tūlo jīvayitavyas tvayā katamaḥ ||GAss_172||	nava--viraha--dahana-tUlaH jIvayitavyaH tvayA katamaH ||GAsH-_172||
   kṛcchrānuvṛttayo 'pi hi paropakāraṃ tyajanti na mahāntaḥ |	kRcCra-anuvRttayaH api hi para-upakAram tyajanti na mahAntaH |
   tṛṇa-mātra-jīvanā api kariṇo dāna-dravārdra-karāḥ ||GAss_173||	tRNa--mAtra--jIvanAH api kariNaH dAna-drava-Ardra-karAH ||GAsH-_173||
   kiṃ hasatha kiṃ pradhāvatha kiṃ janam āhvayatha bālakā viphalam |	kim hasaTa kim praDAvaTa kim janam AhvayaTa bAlakAH viPalam |
   tad atha darśayati yathāriṣṭaḥ kaṇṭhe'munā jagṛhe ||GAss_174||	tat aTa darSayati yaTA-arizwaH kaNWe-amunA jagRhe ||GAsH-_174||
   kātaratā-kekarita-smara-lajjā-roṣa-masṛṇa-madhurākṣī |	kAtara-tA-kekarita-smara---lajjA-ra-Uza--masRNa--maDura-akzI |
   yoktuṃ na moktum athavā valate'sāv artha-labdha-ratiḥ ||GAss_175||	yoktum na moktum aTavA valate-asO arTa-labDa--ratiH ||GAsH-_175||
   ketaka-garbhe gandhādareṇa dūrād amī drutam upetāḥ |	ketaka-garBe ganDa-AdareNa dUrAt amI drutam upetAH |
   madana-syandana-vājita iva madhupā dhūlim ādadate ||GAss_176||	madana--syandana--vAjitaH iva maDupAH DUlim Adadate ||GAsH-_176||
   ko vakrimā guṇāḥ ke kā kāntiḥ śiśira-kiraṇa-lekhānām |	kaH vakrimA guNAH ke kA kAntiH SiSira--kiraNa--leKAnAm |
   antaḥ praviśya yāsām ākrāntaṃ paśu-viśeṣeṇa ||GAss_177||	antar praviSya yAsAm AkrAntam paSu--viSezeNa ||GAsH-_177||
   kṛta-vividha-mathana-yatnaḥ parābhāvāya prabhuḥ surāsurayoḥ |	kRta-viviDa-maTana-yatnaH parABAvAya praBuH sura-asurayoH |
   icchati saubhāgyam adāt svayaṃvareṇa śriyaṃ viṣṇuḥ ||GAss_178||	icCati sOBAgyam adAt svayaMvareNa Sriyam vizNuH ||GAsH-_178||
   kiṃ putri gaṇḍa-śaila-bhrameṇa nava-nīradeṣu nidrāsi |	kim putri gaNxa--SEla--BrameNa nava--nIradezu nidrA-asi |
   anubhava capalāvilasita-garjita-deśāntara-bhrāntīḥ ||GAss_179||	anuBava capala-Avilasita--garjita-deSa-antara--BrAntIH ||GAsH-_179||
   kāntaḥ padena hata iti saralām aparādhya kiṃ prasādayatha |	kAntaH padena hataH iti saralAm aparADya kim prasAda-yaTa |
   so 'py evam eva sulabhaḥ pada-prahāraḥ prasādaḥ kim ||GAss_180||	saH api evam eva sulaBaH pada--prahAraH prasAdaH kim ||GAsH-_180||
   karṇa-gateyam amoghā dṛṣṭis tava śaktir indra-dattā ca |	karNa--gatA-iyam amoGA dRzwiH tava SaktiH indra-dattA ca |
   sā nāsādita-vijayā kvacid api nāpārtha-patiteyam ||GAss_181||	sA na-AsAdita-vijayA kvacid api na-apArTa--patitA-iyam ||GAsH-_181||
   kleśayasi kim iti dūtīr yad aśakyaṃ sumukhi tava kaṭākṣeṇa |	kleSayasi kim iti dUtIH yat aSakyam su-muKi tava kawAkzeNa |
   kāmo 'pi tatra sāyakam akīrti-śaṅkī na sandhatte ||GAss_182||	kAmaH api tatra sAyakam akIrti-SaFkI na sanDatte ||GAsH-_182||
   ko veda mūlyam akṣa-dyūte prabhuṇā paṇīkṛtasya vidhoḥ |	kaH veda mUlyam akza-dyUte praBuNA paNIkRtasya viDoH |
   prativijaye yat pratipaṇam adharaṃ ghara-nandinī vidadhe ||GAss_183||	prativijaye yat pratipaNam aDaram Gara-nandinI vidaDe ||GAsH-_183||
   kupitāṃ caraṇa-praharaṇa-bhayena muñcāmi na khalu caṇḍi tvām |	kupitAm caraNa--praharaNa--Bayena muQcAmi na Kalu caNxi tvAm |
   alir anila-capala-kisalaya-tāḍana-sahano latāṃ bhajate ||GAss_184||	aliH anila-ca-pala-ki-salaya--tAxana--sahanaH latAm Bajate ||GAsH-_184||
   kopākṛṣṭa-bhrū-smara-śarāsane saṃvṛṇu priye patataḥ |	kopa-AkRzwa--BrU--smara--SarAsane saMvRNu priye patataH |
   chinna-jyā-madhupān iva kajjala-malināśru-jala-bindūn ||GAss_185||	Cinna-jyA--maDupAn iva kajjala--malina-aSru---jala--bindUn ||GAsH-_185||
   kāmenāpi na bhettuṃ kim u hṛdayam apāri bāla-vanitānām |	kAmena-api na Bettum kim u hRdayam apAri bAla--vanitAnAm |
   mūḍha-viśikha-prahārocchūnam ivābhāti yad-vakṣaḥ ||GAss_186||	mUXa--viSiKa--prahAra-ucCUnam iva-ABAti yat--vakzaH ||GAsH-_186||
   kiṃ para-jīvair dīvyasi vismaya-madhurākṣi gaccha sakhi dūram |	kim para-jIvEH dIvyasi vismaya--maDura-akzi gacCa saKi dUram |
   ahim adhicatvaram uraga-grāhī khelayatu nirvighnaḥ ||GAss_187||	ahim aDicatvaram uraga--grAhI Kelayatu nirviGnaH ||GAsH-_187||
   kara-caraṇena praharati yathā yathāṅgeṣu kopa-taralākṣī |	kara-caraNena praharati yaTA yaTA-aFgezu kopa-tarala-akzI |
   roṣayati paruṣa-vacanais tathā tathā preyasīṃ rasikaḥ ||GAss_188||	rozayati paruza--vacanEH taTA taTA preyasIm rasikaH ||GAsH-_188||
   kas tāṃ nindati lumpati kaḥ smara-phalakasya varṇakaṃ mugdhaḥ |	kaH tAm nindati lumpati kaH smara-Palakasya varNakam mugDaH |
   ko bhavati ratna-kaṇṭakam amṛte kasyārucir udeti ||GAss_189||	kaH Bavati ratna-kaNwakam amRte kasya-aruciH udeti ||GAsH-_189||
   kopavati pāṇi-līlā-cañcala-cūtāṅkure tvayi bhramati |	kopavati pANi--lIlA--caQcala--cUta-aFkure tvayi Bramati |
   kara-kampita-karavāle smara iva sā mūrcchitā sutanuḥ ||GAss_190||	kara--kampita-karavAle smaraH iva sA mUrcCitA su-tanuH ||GAsH-_190||
   kaulīnyādalamenāṃ bhajāmi nakulaṃ smaraḥ pramāṇayati |	kOlInyAt-alam-enAm BajAmi nakulam smaraH pramANayati |
   tad-bhāvanena bhajato mama gotra-skhalanam anivāryam ||GAss_191||	tad--BAvanena BajataH mama gotra--sKalanam anivAryam ||GAsH-_191||
   kuta iha kuraṅga-śāvaka kedāre kalam amañjarīṃ tyajasi |	kutas iha kuraFga--SAvaka kedAre kalam amaQjarIm tyajasi |
   tṛṇa-bāṇas tṛṇa-dhanvā tṛṇa-ghaṭitaḥ kapaṭa-puruṣo 'yam ||GAss_192||	tRNa-bANaH tRNa-DanvA tRNa--GawitaH kapawa-puruzaH ayam ||GAsH-_192||
   iti vibhāvyākhyā-sametā ka-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametA ka-kAra-vrajyA ||
   kha-kāra-vrajyā	Ka-kAra-vrajyA
   khala-sakhyaṃ prāṅ madhuraṃ vayo 'natarāle nidāgha-dinam ante |	Kala--saKyam prAk maDuram vayaH anatarAle nidAGa-dinam ante |
   ekaādi-madhya-pariṇati-ramaṇīyā sādhu-jana-maitrī ||GAss_193||	ekaAdi-maDya--pariNati--ramaNIyA sADu--jana--mEtrI ||GAsH-_193||
   iti vibhāvyākhyā-sametā kha-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametA Ka-kAra-vrajyA ||
   ga-kāra-vrajyā	ga-kAra-vrajyA
   guṇam adhigatam api dhanavān na cirān nāśayati rakṣati daridraḥ |	guNam aDigatam api DanavAn na cirAt nASayati rakzati daridraH |
   majjayati rajjum ambhasi pūrṇaḥ kumbhaḥ sakhi na tucchaḥ ||GAss_194||	majjayati rajjum amBasi pUrNaH kumBaH saKi na tucCaH ||GAsH-_194||
   gurur api laghūpanīto na nimajjati niyatam āśaye mahataḥ |	guruH api laGu-upanItaH na nimajjati niyatam ASaye mahataH |
   vānakaropanītaḥ śailo makarālayasyeva ||GAss_195||	vAnakara-upanItaH SElaH makara-Alayasya-iva ||GAsH-_195||
   gaurī-pater garīyo garalaṃ gatvā gale jīrṇam |	gOrI--pateH garIyaH garalam gatvA gale jIrNam |
   jīryati karṇe mahatāṃ durvādo nālpam api viśati ||GAss_196||	jIryati karNe mahatAm durvAdaH na-alpam api viSati ||GAsH-_196||
   gṛhapati-purato jāraṃ kapaṭa-kathā-kathita-manmathāvastham |	gRhapati--puratas jAram kapawa--kaTA--kaTita--manmaTa-avasTam |
   prīṇayati pīḍayati ca bālā niḥśvasya niḥśvasya ||GAss_197||	prINayati pIxayati ca bAlA niHSvasya niHSvasya ||GAsH-_197||
   gati-gañjita-vara-yuvatiḥ karī kapolau karotu mada-malinau |	gati-gaQjita--vara--yuvatiH karI kapolO karotu mada--malinO |
   mukha-bandha-mātra-sindhura labodara kiṃ madaṃ vahasi ||GAss_198||	muKa-banDa--mAtra--sinDura labodara kim madam vahasi ||GAsH-_198||
   gehinyāḥ śṛṇvantī gotra-skhalitāparādhato mānam |	gehinyAH SRNvantI gotra--sKalita-aparADataH mAnam |
   snigdhāṃ priye sa-garvāṃ sakhīṣu bālā dṛśaṃ diśati ||GAss_199||	snigDAm priye sa-garvAm saKIzu bAlA dRSam diSati ||GAsH-_199||
   grīṣṃa-maye samaye'smin vinirmitaṃ kalaya keli-vana-mūle |	grIzMa-maye samaye-asmin vinirmitam kalaya keli--vana--mUle |
   alam ālavāla-valaya-cchalena kuṇḍalitam iva śaityam ||GAss_200||	alam AlavAla--valaya--cCalena kuNxalitam iva SEtyam ||GAsH-_200||
   guṇa-baddha-caraṇa iti mā līlā-vihagaṃ vimuñca sakhi mugdhe |	guNa--badDa--caraNaH iti mA lIlA--vihagam vimuQca saKi mugDe |
   asmin valayita-śākhe kṣaṇena guṇa-yantraṇaṃ truṭati ||GAss_201||	asmin valayita--SAKe kzaNena guNa-yantraNam truwati ||GAsH-_201||
   guru-garji-sāndra-vidyud-bhaya-mudrita-karṇa-cakṣuṣāṃ purataḥ |	guru-garji--sAndra--vidyut--Baya--mudrita-karNa--cakzuzAm puratas |
   bālā cumbati jāraṃ vajrād adhiko hi madaneṣuḥ ||GAss_202||	bAlA cumbati jAram vajrAt aDikaH hi madana-izuH ||GAsH-_202||
   gṛhiṇī-guṇeṣu gaṇitā vinayaḥ sevā vidheyateti guṇāḥ |	gRhiNI--guNezu gaNitAH vinayaH sevA viDeya-tA-iti guNAH |
   mānaḥ prabhutā vāmyaṃ vibhūṣaṇaṃ vāma-nayanānām ||GAss_203||	mAnaH praBu-tA vAmyam viBUzaNam vAma--nayanAnAm ||GAsH-_203||
   guṇam āntaram aguṇaṃ vā lakṣmīr gaṅgā ca veda hari-harayoḥ |	guNam Antaram aguNam vA lakzmIH gaFgA ca veda hari-harayoH |
