   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   satśūdrādyāśca śūdrāśca mahāsthānamupāgatāḥ // Valc_2,6.4	sat-SUdra-AdyAH-ca SUdrAH-ca mahA-sTAnam-upAgatAH // Valt-_2,6.4
   kecit puṣpāṇi saṃgṛhya dhūpadīpānathāpare /	kecid puzpANi saMgRhya DUpa-dIpa-an-aTa-apare /
   kecit gandhañca naivedyān kecit vyajanacāmarān // Valc_2,6.5 //	kecid ganDaQca nEvedyAn kecid vyajana-cAmarAn // Valt-_2,6.5 //
   kecicchatrāṇi ratnāni dāmnaśca vasanāni ca /	kecid-CatrANi ratnAni dAmnaH-ca vasanAni ca /
   ityādīni samāgṛhya te dravyāṇi samāgatāḥ // Valc_2,6.6 //	ityAdIni samAgRhya te dravyANi samAgatAH // Valt-_2,6.6 //
   ṣaḍārttavaiḥ prasūnaiśca karavīrādibhirjanāḥ /	zaz-ArttavEH prasUnEH-ca karavIra-AdiBiH-janAH /
   svabhuvaṃ pūjayāmāsa rdhūpaiśca candanādibhiḥ // Valc_2,6.7 //	svaBuvam pUjayAmAsa rDUpEH-ca candana-AdiBiH // Valt-_2,6.7 //
   vāribhistīrthajaiḥ svacchaiḥ kuṅkumaiḥ saha rañjitaiḥ /	vAriBiH-tIrTa-jEH svacCEH kuFkumEH saha raQjitEH /
   śaṅkaraṃ snāpayāmāsuḥ śītalaiśca sugandhibhiḥ // Valc_2,6.8 //	SaFkaram snApayAmAsuH SItalEH-ca suganDiBiH // Valt-_2,6.8 //
   dadu rghṛtapradīpān ca tailadīpānathāpare /	dadu rGRta-pradIpAn ca tEla-dIpa-anaTa-apare /
   kṣīrārghañca dadustatra pādyañcāmalavāribhiḥ // Valc_2,6.9 //	kzIrArGaQca daduH-tatra pAdyaQca-amala-vAriBiH // Valt-_2,6.9 //
   gopāyasai rgoghṛtaiśca madhukuṅkumakarpūraiḥ /	gopAyasE rgaH-GRtEH-ca maDu-kuFkuma-karpUrEH /
   pañcāmṛtaiḥ keśaraiśca guḍaiśca śarkarairapi // Valc_2,6.10 //	paQcAmRtEH keSarEH-ca guxEH-ca SarkarEH-api // Valt-_2,6.10 //
   candanaśca sugandhaśca pañcagandhai rmudāpare /	candanaH-ca suganDaH-ca paQcaganDEH rmudA-apare /
   śaṅkaraṃ lepayāmāsu rmānavā bhaktitatparāḥ // Valc_2,6.11 //	SaFkaram lepayAmAsu rmAnavAH Bakti-tatparAH // Valt-_2,6.11 //
   śālyannamodanairyuktaṃ paramānnaṃ dadu rmudā /	SAli-annamodanEH-yuktam paramAnnam dadu rmudA /
   laḍḍukāñca piṣṭakāñca naivedyān vividhānapi // Valc_2,6.12 //	laxxukAQca pizwa-kAQca nEvedyAn viviDAn-api // Valt-_2,6.12 //
   patākān sthāpayāmāsuścalaccīnāṃśukān tathā /	patAkAn sTApayAmAsuH-calat-cIna-aMSukAn taTA /
   nanṛtuśca jaguḥ kecit kecit ghaṇṭāmavīvadan // Valc_2,6.13 //	nanRtuH-ca jaguH kecid kecid GaNwAm-avIvadan // Valt-_2,6.13 //
   suvarṇaṃ rajataṃ tāmraṃ daduḥ kecit svayambhuve /	suvarNam rajatam tAmram daduH kecid svayamBuve /
   daduśca pañcaratnāni saha lājākṣatai rnarāḥ // Valc_2,6.14 //	daduH-ca paQcaratnAni saha lAja-akzatEH rnarAH // Valt-_2,6.14 //
   karoddharttanatāmbalamukhavāsān dadustathā /	kara-udDarttana-ta-ambala-muKa-vAsAn daduH-taTA /
   devasyārūrupan mūrddhni durvvāpuṣpākṣatāni ca // Valc_2,6.15 //	devasya-arUrupan mUrdDni durvvApuzpa-akzatAni ca // Valt-_2,6.15 //
   evaṃ pañcopacāreṇa mānavā bhūsurādayaḥ /	evam paQca-upacAreNa mAnavAH BUsura-AdayaH /
   śivamīju rjapañcakruḥ pracakruśca pradakṣiṇām // Valc_2,6.16 //	Sivam-Iju rjapaQcakruH pracakruH-ca pradakziNAm // Valt-_2,6.16 //
   nṛtyai rgītai rmahotsāhaiḥ vādyaiśca madhurasvanaiḥ /	nRtyEH rgItEH rmahotsAhEH vAdyEH-ca maDura-svanEH /
   hāṃ huṅkāraiḥ samullāsairvāhayannugramādhavam // Valc_2,6.17 //	hAm huFkArEH samullAsEH-vAhayan=-ugra-mADavam // Valt-_2,6.17 //
   kecitpañcāṅgayuktena sāṣṭāṅgena tathāpare /	kecid-paQcAFga-yuktena sa-azwAFgena taTA-apare /
   praṇemuścārpayāmāsuḥ stotrañca madhurasvanaiḥ // Valc_2,6.18 //	praNemuH-ca-arpayAmAsuH stotraQca maDura-svanEH // Valt-_2,6.18 //
   bhallakai rjhallarībhiśca mṛdaṅgairmarddalaistathā /	BallakEH rJallarIBiH-ca mRdaFgEH-marddalEH-taTA /
   muralībhiśca tantrībhiḥ kecidījuḥ svayambhuvam // Valc_2,6.19 //	muralIBiH-ca tantrIBiH kecid-IjuH svayamBuvam // Valt-_2,6.19 //
   jayamaṅgalagāthābhirdhāraṇībhiśca gītibhiḥ /	jaya-maFgala-gATABiH-DAraNIBiH-ca gItiBiH /
   śaṅkaraṃ bhikṣubhikṣuṇyarījurgānaiśca bhāṣajaiḥ // Valc_2,6.20 //	SaFkaram BikzuBi-kzuNI-arI-juH-gAnEH-ca BAzajEH // Valt-_2,6.20 //
   susvarai rvedapāṭhaiśca viprā vedavidāṃ varāḥ /	su-svarEH rveda-pAWEH-ca viprAH veda-vidAm varAH /
   kṣatriyā svarṇaratnādichatrakaiśca mahottamaiḥ // Valc_2,6.21 //	kzatriyA svarNa-ratna-Adi-CatrakEH-ca mahA-uttamEH // Valt-_2,6.21 //
   vaṇikāścūḍāmaṇibhiḥ sauvarṇai rbilvapatrakaiḥ /	vaNikAH-cUxAmaNiBiH sOvarNEH rbilva-patrakEH /
   śūdrāśca pūjayāmāsu rvividhaiśca kriyāphalaiḥ // Valc_2,6.22 //	SUdrAH-ca pUjayAmAsu rviviDEH-ca kriyA-PalEH // Valt-_2,6.22 //
   athānye āgatā ye ca jātayo rajakādayaḥ /	aTa-anye AgatAH ye ca jAtayaH rajaka-AdayaH /
   te sarvve dūrataḥ sthitvā praṇemuśca punaḥ punaḥ // Valc_2,6.23 //	te sarvve dUratas sTitvA praNemuH-ca punar punar // Valt-_2,6.23 //
   ityānandabhaṭṭaprokte vallālacarite ugramādhavapūjanaṃ nāma ṣaṣṭhodhyāyaḥ	iti-Ananda-Bawwa-prokte vallAla-carite ugramADava-pUjanam nAma zazWoDyAyaH
   atha saptamā 'dhyāyaḥ	aTa saptamA aDyAyaH
   kasmiṃścit kāle padmākṣī vallāladayitā purā /	kasmiMScid kAle padmAkzI vallAla-dayitA purA /
   śaṅkaraṃ pūjituṃ tatra mahāsthānamupāgatā // Valc_2,7.1 //	SaFkaram pUjitum tatra mahA-sTAnam-upAgatAH // Valt-_2,7.1 //
   gṛhītvā bahudravyāṇi haimāni rājatāni ca /	gRhItvA bahu-dravyANi hEmAni rAjatAni ca /
   ātapatrañca devasya devyāśca karṇapālikām // Valc_2,7.2 //	AtapatraQca devasya devyAH-ca karNa-pAlikAm // Valt-_2,7.2 //
   prālambikāñca kaṭakaṃ kirīṭaṃ kaṇṭhabhūṣaṇam /	prAlambikAQca kawakam kirIwam kaNWa-BUzaNam /
   aṅgadaṃ kaṅkaṇaṃ sāraśanañca nūpurādikam // Valc_2,7.3 //	aFgadam kaFkaNam sAraSanaQca nUpura-Adikam // Valt-_2,7.3 //
   vastrāṇi ca mahārhāṇi patākāśca dhvajāni ca /	vastrANi ca mahArhANi patAkAH-ca DvajAni ca /
   yajñasūtrāṇi gandhāni nānopakaraṇāni ca // Valc_2,7.4 //	yajQasUtrANi ganDAni nAnA-upakaraNAni ca // Valt-_2,7.4 //
   arcayāmāsa devaṃ sā devīṃ ca sa purohitaḥ /	arcayAmAsa devam sA devIm ca sa purohitaH /
   naivedye stairalaṅkāraicchatreṇa ca paraṃ mudā // Valc_2,7.5 //	nEvedye stEH-alaFkArEcCatreNa ca param mudA // Valt-_2,7.5 //
   pūjayitvā gatā devī sāruhya hayanaṃ varam /	pUjayitvA gatA devI sa-Aruhya hayanam varam /
   purohitaḥ sthitastatra dravyāṇāmaṃśakāṅkṣayā // Valc_2,7.6 //	purohitaH sTitaH-tatra dravyANAm-aMSa-kAFkzayA // Valt-_2,7.6 //
   sa mahāntam dharmmagiriṃ valadeva uvāca ha /	sa mahAntam Darmma-girim valadevaH uvAca ha /
   bhadanta dehi me bhāgam matprāpyamacireṇa bhoḥ // Valc_2,7.7 //	Badanta dehi me BAgam mad-prApyam-acireNa BoH // Valt-_2,7.7 //
   tacchratvā tadvacaḥ sthānādhipaḥ sa pratyuvāca tam /	tat-SratvA tad-vacaH sTAna-aDipaH sa pratyuvAca tam /
   adadāma na kasmaicit bhāgameva kadācana // Valc_2,7.8 //	adadAma na kasmEcid BAgam-eva kadAcana // Valt-_2,7.8 //
   ato na dadyāṃ bhavate gaccha gaccha gṛhaṃ vraja /	atas na dadyAm Bavate gacCa gacCa gRham vraja /
   itthaṃ tābhyāmabhūttatra vākpāruṣyaṃ kiyatkṣaṇam // Valc_2,7.9 //	itTam tAByAm-aBUt-tatra vAc-pAruzyam kiyat-kzaNam // Valt-_2,7.9 //
   valadevastataḥ kraddho devaleśaṃ śaśāpa ha /	valadevaH-tatas kradDaH devaleSam SaSApa ha /
   nipatadhvamare mūḍha na te bhadraṃ bhaviṣyati // Valc_2,7.10 //	nipataDvamare mUXa na te Badram Bavizyati // Valt-_2,7.10 //
   śrutvā taddevaleśastvaṃ krodhamlecchānanānanaḥ /	SrutvA tad-deva-leSaH-tvam kroDa-mlecCa-Anana-AnanaH /
   valadevaṃ gaṇḍadeśe capeṭena vyatītaḍat // Valc_2,7.11 //	valadevam gaNxa-deSe ca-pewena vyatItaxat // Valt-_2,7.11 //
   ādiśat vyāyatān śiṣyān eṣopasāryyatāmiti /	AdiSat vyAyatAn SizyAn ezA-upasAryyatAm-iti /
   tataste puruṣāścakruḥ gurorājñāprapālanam /	tatas-te puruzAH-cakruH guroH-AjQA-prapAlanam /
   valadevastato 'gacchadrudannṛpatisannidhim // Valc_2,7.12 //	valadevaH-tatas agacCat-rudat-nRpati-sanniDim // Valt-_2,7.12 //
   ādyopāntaṃ yathāvṛttaṃ nṛpe sarvvamacīkathat /	Adya-upAntam yaTAvRttam nRpe sarvu-amacI-kaTat /
   pārṣadyā brāhmaṇāścāpi cakrustasya samarthanam // Valc_2,7.13 //	pArzadyAH brAhmaNAH-ca-api cakruH-tasya samarTanam // Valt-_2,7.13 //
   valadevasya vākyasya procuśca daṇḍyatāṃ gireḥ /	valadevasya vAkyasya procuH-ca daNxyatAm gireH /
   evaṃ vijñāya rājāsāvapamānaṃ purodhasaḥ /	evam vijQAya rAjA-asO=-apamAnam puroDasaH /
   manyunā sa prajajvāla vahninā paṭalaṃ yathā // Valc_2,7.14 //	manyunA sa prajajvAla vahninA pawalam yaTA // Valt-_2,7.14 //
   nirvvāsyatāṃ dharmmagirī rāṣṭrānme svagaṇaiḥ saha /	nirvvAsyatAm Darmma-girI rAzwrAt-me sva-gaNEH saha /
   iti rājā rudranāgamanvaśāt daṇḍanāyakam // Valc_2,7.15 //	iti rAjA rudranAgam-anvaSAt daNxa-nAyakam // Valt-_2,7.15 //
   nidhirguṇānāṃ svajanaikabandhuḥ satyaṃ vidhāturdvijavaryyavākyam /	niDiH-guNAnAm sva-jana-eka-banDuH satyam viDAtuH-dvija-varyya-vAkyam /
   cakāra rāṣṭrāt sa vahiṣkṛtaṃ taṃ gaṇena sārddhaṃ kila rājasiṃhaḥ //	cakAra rAzwrAt sa vahizkRtam tam gaNena sArdDam kila rAja-siMhaH //
   Valc_2,7.16 //	Valt-_2,7.16 //
   ityānandabhaṭṭaprokte vallālacarite devalānāṃ nirvvāsanaṃ nāma saptamo	iti-Ananda-Bawwa-prokte vallAla-carite devalAnAm nirvvAsanam nAma saptamaH-
   'dhyāyaḥ /	aDyAyaH /
   atha aṣṭamo 'dhyāyaḥ	aTa azwamaH aDyAyaH
   oṁ namaḥ śivāya |	oṁ namaH SivAya |
   nārāyaṇaṃ namaskṛtya narañcaiva narottamam /	nArAyaNam namaskRtya naraQcA-eva narottamam /
   devīṃ svarasvatīṃ vyāsaṃ tatojayamudīrayet // Valc_2,8.1 //	devIm svarasvatIm vyAsam tatojayam-udIrayet // Valt-_2,8.1 //
   oṁ namo bhagavate vāsudevāya |	oṁ namaH Bagavate vAsudevAya |
   namo 'stu siṃhagiraye prabhave 'dbhutaśaktaye /	namaH astu siMha-giraye praBave adButa-Saktaye /
   vallālabhūpati rninye mārge yena sanātane // Valc_2,8.2 //	vallAla-BUpati rninye mArge yena sanAtane // Valt-_2,8.2 //
   atha śrīvallālasenaḥ purā gauḍe purottame /	aTa SrIvallAlasenaH purA gOxe pura-uttame /
   nānāratnajvalatśobhāsabhāyāṃ sukhamāsata // Valc_2,8.3 //	nAnA-ratna-jvalat-SaH-BAsaBAyAm suKam-Asata // Valt-_2,8.3 //
   nīlakuñcitakeśāntavyālolacūrṇakuntalāḥ /	nIla-kuQcita-keSAnta-vyAlola-cUrNa-kuntalAH /
   sabhājanākṣibhramaraiḥ pīyamānamukhāmbujāḥ // Valc_2,8.4 //	saBAjana-akzi-BramarEH pIyamAna-muKa-ambujAH // Valt-_2,8.4 //
   kañcukitastanābhogāḥ kvanadvalayakaṅkaṇāḥ /	kaQcukita-stana-ABogAH kvanad-valaya-kaFkaNAH /
   suvastrāścārusarvvāṅgyaḥ āraktadaśanacchadāḥ // Valc_2,8.5 //	su-vastrAH-cAru-sarvvAFgyaH Arakta-daSanacCadAH // Valt-_2,8.5 //
   āviṣkurvvadvāhumūlā nṛtyaddhastā iva striyaḥ /	Avizkurvvat-vAhu-mUlAH nRtyat-hastAH iva striyaH /
   sevayanti nṛpaṃ tatra calaccāmaramārutaiḥ // Valc_2,8.6 //	sevayanti nRpam tatra calat-cAmara-mArutEH // Valt-_2,8.6 //
   rājanyā rājaputrāśca vāvadūkaviṭādayaḥ /	rAjanyAH rAja-putrAH-ca vAvadUka-viwa-AdayaH /
   upāsate sma vallālaṃ brāhmaṇāśca mahaujasaḥ // Valc_2,8.7 //	upAsate sma vallAlam brAhmaNAH-ca mahA-ojasaH // Valt-_2,8.7 //
   gītai rhallīṣai rlāsyaiśca naṭyo hariṇalocanāḥ /	gItEH rhallIzEH rlAsyEH-ca nawyaH hariNa-locanAH /
   bhrukuṃśāśca vādyavido vādyaiścaramayanti tam // Valc_2,8.8 //	BrukuMSAH-ca vAdya-vidaH vAdyEH-caramayanti tam // Valt-_2,8.8 //
   kadācidvedavedāṅgopaniṣaddharmmaśāstravit /	kadAcid-veda-vedAFga-upanizad-Darmma-SAstra-vid /
   itihāsapurāṇānāṃ vettā lokanamaskṛtaḥ // Valc_2,8.9 //	itihAsa-purANAnAm vettA loka-namaskRtaH // Valt-_2,8.9 //
   medhāvī nayavān vāgmī mahārājagururmuniḥ /	meDAvI nayavAn vAgmI mahA-rAja-guruH-muniH /
   yogīśvaro mahāprājñaḥ sarvvaśāstraviśāradaḥ // Valc_2,8.10 //	yogi-ISvaraH mahA-prAjQaH sarvu-aSAstra-viSAradaH // Valt-_2,8.10 //
   bhaṭṭaḥ siṃhagiri rnāma śiṣyaiḥ parivṛtastadā /	BawwaH siMhagiri rnAma SizyEH parivRtaH-tadA /
   udbhāsayan diśaḥ sarvvāḥ śriyā paramayā jvalan // Valc_2,8.11 //	udBAsayan diSaH sarvvAH SriyA paramayA jvalan // Valt-_2,8.11 //
   sabhāsthaṃ rājavallālaṃ draṣṭukāmo manojavaḥ /	saBA-sTam rAja-vallAlam drazwu-kAmaH manojavaH /
   vadarikāśramoddeśaṃ bhraman tāmagamat sabhāṃ // Valc_2,8.12 //	vadarikASrama-uddeSam Braman tAm-agamat saBAm // Valt-_2,8.12 //
   jayāśīrbhi rvarddhayantaṃ vilokya nṛpati rmunim /	jaya-ASIrBi rvaRdDayantam vilokya nRpati rmunim /
   pratyutpatyāsanāt tūrṇaṃ babande caraṇau muneḥ // Valc_2,8.13 //	pratyutpatya-AsanAt tUrNam babande caraNO muneH // Valt-_2,8.13 //
   dattvāsanaṃ tatastasmai bhaktyā prītyā ca pārthivaḥ /	dattvA-Asanam tatas-tasmE BaktyA prItyA ca pArTivaH /
   dhanaiḥ ratnai ryathākāmaiḥ pūjayāmāsa yatnataḥ // Valc_2,8.14 //	DanEH ratnEH ryaTA-kAmEH pUjayAmAsa yatnatas // Valt-_2,8.14 //
   vallālenārccito rājñā muniḥ prītamanāstadā /	vallAlena-arccitaH rAjQA muniH prIta-manAH-tadA /
   anāmayañcāvyayañya paryyapṛcchajjaneśvaram // Valc_2,8.15 //	anAmayaQca-avyayaQya paryyapRcCat-janeSvaram // Valt-_2,8.15 //
   valadevaṃ samāgamya sasmito munisattamaḥ /	valadevam samAgamya sa-smitaH muni-sattamaH /
   pratipūjya yathānyāyaṃ papraccha kuśalaṃ tadā // Valc_2,8.16 //	pratipUjya yaTAnyAyam papracCa kuSalam tadA // Valt-_2,8.16 //
   sa hṛṣṭamānaso rājā bhaṭṭasiṃhagiriṃ munim /	sa hRzwa-mAnasaH rAjA Bawwa-siMha-girim munim /
   uvāca paramaprītastāpasaṃ dyotitaprabham // Valc_2,8.17 //	uvAca parama-prItaH-tApasam dyotita-praBam // Valt-_2,8.17 //
   adya me saphalaṃ janma mahadgṛñca pavitritam /	adya me saPalam janma mahat-gRQca pavitritam /
   bhavadabhyāgamenaiva suprabhātā vibhāvarī // Valc_2,8.18 //	Bavat-aByAgamena-eva su-praBAtA viBAvarI // Valt-_2,8.18 //
   tato viśrāntamālakṣya taṃ muniṃ saṃśitavratam /	tatas viSrAntam-Alakzya tam munim saMSita-vratam /
   sukhāsīnamupāsīna uvāca bhuvaneśvaraḥ // Valc_2,8.19 //	suKa-AsInam-upAsInaH uvAca BuvaneSvaraH // Valt-_2,8.19 //
   rājovāca:	rAjA-uvAca:
   bhagavan sarvvaśāstrajñaḥ sarvajñaḥ sarvatattvavit /	Bagavan sarvu-aSAstra-jQaH sarvajQaH sarva-tattva-vid /
   bhavato 'viditaṃ kiñcinnāstīti kṛpayā vada // Valc_2,8.20 //	BavataH aviditam kiQcid-nA-asti-iti kRpayA vada // Valt-_2,8.20 //
   caturvvarṇasamutpattiṃ gotravaṃśādikaṃ śubham /	catur-vvarNa-samutpattim gotra-vaMSa-Adikam SuBam /
   varṇānāṃ śaṅkarotpattiṃ kathayasva ca me mune // Valc_2,8.21 //	varNAnAm SaFkara-utpattim kaTayasva ca me mune // Valt-_2,8.21 //
   iti rājño vacaḥ śrutvā santoṣaviśadānanaḥ /	iti rAjQaH vacaH SrutvA santoza-viSada-AnanaH /
   pratyuvāca mahātejā stato nārāyaṇātmajaḥ // Valc_2,8.22 //	pratyuvAca mahA-tejAH stataH nArAyaNa-AtmajaH // Valt-_2,8.22 //
   siṃhagiriruvāca:	siMha-giriH-uvAca:
   śuśrūṣubhyo yathā rājan rājarṣibhyastaponidhiḥ /	SuSrUzuByaH yaTA rAjan rAjarziByaH-tapaH-niDiH /
   kṛṣṇadvaipāyaragaḥ prāha tathādya kathayāmi te // Valc_2,8.23 //	kRzNadvEpAya-ragaH prAha taTA-adya kaTayAmi te // Valt-_2,8.23 //
   vadarikāśrame puṇye devadāruvanālaye /	vadarikASrame puNye devadAru-vana-Alaye /
   nānāpakṣimṛgākīrṇe śāntikāntiniketane // Valc_2,8.24 //	nAnA-pakzi-mRc-a-AkIrNe SAnti-kAnti-niketane // Valt-_2,8.24 //
   hutahavyaṃ trikālajñaṃ maharṣiṃ cirajīvinam /	hutahavyam tri-kAla-jQam mahA-Rzim cira-jIvinam /
   vyāsaṃ rājarṣayaḥ susthaṃ praṇipatyopatasthire // Valc_2,8.25 //	vyAsam rAjarzayaH susTam praNipatya-upatasTire // Valt-_2,8.25 //
   rājarṣaya ūcuḥ:	rAjarzayaH UcuH:
   gatāḥ sma naimiṣāraṇyaṃ purīṃ vārāṇasīmapi /	gatAH sma nEmiza-araNyam purIm vArANasIm-api /
   bhavān na ca śuko dṛṣṭaḥ sauti vāṃ śaunakādayaḥ // Valc_2,8.26 //	BavAn na ca SukaH dRzwaH sOti vAm SOnaka-AdayaH // Valt-_2,8.26 //
   diṣṭyā dṛṣṭo 'si bhagavaṃ ścireṇādya girāviha /	dizwyA dRzwaH asi Bagavam ScireNa-adya girO=-iha /
   suciraṃ mārgamāṇānāṃ kṛṣṇo bhaktimatāmiva // Valc_2,8.27 //	su-ciram mArgamANAnAm kRzNaH BaktimatAm-iva // Valt-_2,8.27 //
   vibhājitastvayā vedaḥ purā satyavatīsuta /	viBAjitaH-tvayA vedaH purA satyavatI-sutaH /
   itihāsapurāṇāni kathitānyanukampayā // Valc_2,8.28 //	itihAsa-purANAni kaTitAni-anukampayA // Valt-_2,8.28 //
   kathitaṃ dharmmaśāstrañca kaliḥ samprati varttate /	kaTitam DarmmaSAstraQca kaliH samprati varttate /
   kṛṣṇo 'pi palitaiḥ keśaiḥ śuklatāṃ gatavānasi // Valc_2,8.29 //	kRzNaH api palitEH keSEH Sukla-tAm gatavAn-asi // Valt-_2,8.29 //
   atodya kathaya brahman svayameva mahāmune /	atodya kaTaya brahman svayam-eva mahA-mune /
   purāṇaṃ dharmmatatvajña hyanugrāhyā vayaṃ tava // Valc_2,8.30 //	purANam Darmmata-tva-jQa hi-anugrAhyAH vayam tava // Valt-_2,8.30 //
   bhavantaṃ nahi tyakṣyāmaḥ purāṇakathanaṃ vinā /	Bavantam na-hi tyakzyAmaH purANa-kaTanam vinA /
   baddho 'sti padayo rbhaktidāmabhi stvavaśo bhavān // Valc_2,8.31 //	badDaH asti padayoH rBakti-dAmaBi stu-avaSaH BavAn // Valt-_2,8.31 //
   iti teṣāṃ vacaḥ śrutvā sa kiñcit prahasanniva /	iti tezAm vacaH SrutvA sa kiQcid prahasan=-iva /
   uvāca vāgvidāṃ śreṣṭhaḥ śrūyatāṃ kathayāmi vaḥ // Valc_2,8.32 //	uvAca vAc-vidAm SrezWaH SrUyatAm kaTayAmi vaH // Valt-_2,8.32 //
   iti vallālacarite vyāsapurāṇe aṣṭamo 'dhyāyaḥ /	iti vallAla-carite vyAsapurANe azwamaH aDyAyaH /
   atha navamā 'dhyāyaḥ	aTa navamA aDyAyaH
   vyāsa uvāca:	vyAsaH uvAca:
   sahasraśīrṣā puruṣaḥ sahasrākṣaḥ sahasrapāt /	sahasra-SIrzA puruzaH sahasrAkzaH sahasrapAd /
   sa bhūmiṃ viśvato vṛttvā atyatiṣṭhadaśāṅgulam // Valc_2,9.1 //	sa BUmim viSvatas vRttvA atyatizWadaSa-aFgulam // Valt-_2,9.1 //
   tasmādvirāḍajāyata virājo 'dhipūruṣaḥ /	tasmAt-virAj-a-jAyata virAjaH aDipUruzaH /
   tato 'bhidhyāyato rudro lalāṭācca vyajāyata // Valc_2,9.2 //	tatas aBiDyAyataH rudraH lalAwAt-ca vyajAyata // Valt-_2,9.2 //
   candramā manaso jātaścakṣoḥ sūryyo 'jāyata /	candramAH manasaH jAtaH-cakzoH sUryyaH ajAyata /
   mukhādindraśca agniśca prāṇādvāyurajāyata // Valc_2,9.3 //	muKAt-indraH-ca agniH-ca prANAt-vAyuH-ajAyata // Valt-_2,9.3 //
   marīcimatryaṅgirasaṃ pulastyaṃ pulahaṃ kratum /	marIcim-atri-aFgirasam pulastyam pulaham kratum /
   vaśiṣṭhañca mahātejāḥ so 'sṛjatsapta mānasān // Valc_2,9.4 //	vaSizWaQca mahA-tejAH saH asRjat-sapta mAnasAn // Valt-_2,9.4 //
   lokānāntu vivṛddhyarthaṃ mukhavāhūrupādataḥ /	lokAn-Antu vivRdDi-arTam muKavAhu-Uru-pAdataH /
   brāhmaṇaṃ kṣatriyaṃ vaiśyaṃ śūdrañca niravarttayat // Valc_2,9.5 //	brAhmaNam kzatriyam vESyam SUdraQca niravarttayat // Valt-_2,9.5 //
   sṛjyamāmāḥ prajā naiva vivarddhante yadā yadā /	sRjyam-AmAH prajAH na-eva vivardDante yadA yadA /
   dvidhā kṛtvātmano dehamarddhena puruṣo 'bhavat /	dviDA kRtvA-AtmanaH deham-ardDena puruzaH aBavat /
   arddhena nārī tasyāṃ sa sasṛje vividhāḥ prajāḥ // Valc_2,9.6 //	ardDena nArI tasyAm sa sasRje viviDAH prajAH // Valt-_2,9.6 //
   divañca pṛthivīñcaiva mahimnā vyāpya tiṣṭhataḥ /	divaQca pRTivIQca-eva mahimnA vyApya tizWataH /
   pitḥṇāntu gaṇāḥ sapta purāṇe kathitā mayā // Valc_2,9.7 //	pitHNa-antu gaNAH sapta purANe kaTitAH mayA // Valt-_2,9.7 //
   vairājā agniṣvāttāśca tathā varhiṣadaḥ smṛtāḥ /	vErAjAH agnizvAttAH-ca taTA varhizadaH smRtAH /
   sukālāśca haviṣmanta susvadhāścava somapāḥ // Valc_2,9.8 //	su-kAlAH-ca havizmanta su-svaDAH-cava somapAH // Valt-_2,9.8 //
   eṣāmādyāstrayo bhūpāḥ pitaro 'mūrttayaḥ smṛtāḥ /	ezAm-AdyAH-trayaH BUpAH pitaraH amUrttayaH smRtAH /
   sakālādyāśca catvāraḥ saptaivaite gaṇāḥ smṛtāḥ // Valc_2,9.9 //	sa-kAla-AdyAH-ca catvAraH sapta-eva-ete gaNAH smRtAH // Valt-_2,9.9 //
   virāṭsutāḥ somasadaḥ agniṣvāttā marīcijāḥ /	virAj-sutAH somasadaH agnizvAttAH marIci-jAH /
   paulastyāśca barhiṣadaḥ sukālāśca vaśiṣṭhajāḥ /	pOlastyAH-ca barhizadaH su-kAlAH-ca vaSizWa-jAH /
   susvadhāḥ pulahājjātāḥ somapāstu kaveḥ sutāḥ // Valc_2,9.10 //	su-svaDAH pulahAt-jAtAH somapAH-tu kaveH sutAH // Valt-_2,9.10 //
   sukālāñca haviṣyantān susvadhāñcaiva somapān /	su-kAlAn-ca havizyantAn su-svaDAQca-eva somapAn /
   brahmakṣatriyaviṭśūdrā bhāvayanti phalārthinaḥ // Valc_2,9.11 //	brahma-kzatriya-viS-SUdrAH BAvayanti Pala-arTinaH // Valt-_2,9.11 //
   yatra te tu gaṇā mukhyāḥ pitḥṇāṃ parikīrttitāḥ /	yatra te tu gaNAH muKyAH pitHNAm parikIrttitAH /
   teṣāmapi ha vijñeyaṃ putrapautramanantakam // Valc_2,9.12 //	tezAm-api ha vijQeyam putra-pOtram-anantakam // Valt-_2,9.12 //
   viśvo viśvabhugārādhyo dharmmo dhanyaḥ śubhānanaḥ /	viSvaH viSva-Buj-ArADyaH DarmmaH DanyaH SuBa-AnanaH /
   bhūtido bhūtikṛdbhatiḥ pitḥṇāñca gaṇā nava // Valc_2,9.13 //	BUti-daH BUti-kRt-BatiH pitHNAn-ca gaNAH nava // Valt-_2,9.13 //
   kalyāṇa kalyatākarttā kalyaḥ kalyatarāśrayaḥ /	kalyANa kalyatA-karttA kalyaH kalyatara-ASrayaH /
   kalyatāheturanaghaḥ ṣaḍime ca gaṇāḥ smṛtāḥ // Valc_2,9.14 //	kalyatA-hetuH-anaGaH zaw-ime ca gaNAH smRtAH // Valt-_2,9.14 //
   varo vareṇyo varadaḥ puṣṭidastuṣṭidastathā /	varaH vareNyaH vara-daH puzwi-daH-tuzwi-daH-taTA /
   viśvapātā tathā dhātā saptaivaite tathā gaṇāḥ // Valc_2,9.15 //	viSvapAtA taTA DAtA sapta-eva-ete taTA gaNAH // Valt-_2,9.15 //
   mahān mahātmā mahito mahimāvān mahābalaḥ /	mahAn mahAtmA mahitaH mahimAvAn mahA-balaH /
