   maṅgalācaraṇam	maFgala-AcaraNam
   suhṛdāṃ hita-kāmānāṃ yaḥ śṛṇoti na bhāṣitam |	suhRdAm hita--kAmAnAm yaH SRNoti na BAzitam |
   vipat sannihitā tasya sa naraḥ śatrunandanaḥ // Hit_1.75 //	vipad sannihitA tasya sa naraH Satru-nandanaH // Hit-_1.75 //
   kāko brūte-sa vañcakaḥ kvāste ?	kAkaH brUte--sa vaQcakaH kva-Aste ?
   mṛgeṇoktaṃ-man-māṃsārthī tiṣṭhaty atraiva |	mRgeNa-uktaM-man-mAMsa-arTI tizWati atra-eva |
   kāko brūte-mitra ! uktam eva mayā pūrvam |	kAkaH brUte-mitra ! uktam eva mayA pUrvam |
   aparādho na me'stīti naitad viśvāsa-kāraṇam |	aparADaH na me-asti-iti na-etat viSvAsa--kAraNam |
   vidyate hi nṛśaṃsebhyo bhayaṃ guṇavatām api // Hit_1.76 //	vidyate hi nRSaMseByaH Bayam guNavatAm api // Hit-_1.76 //
   dīpa-nirvāṇa-gandhaṃ ca suhṛd-vākyam arundhatīm |	dIpa--nirvANa--ganDam ca suhRd--vAkyam arunDatIm |
   na jighranti na śṛṇvanti na pśyanti gatāyuṣaḥ // Hit_1.77 //	na jiGranti na SRNvanti na pSyanti gata-AyuzaH // Hit-_1.77 //
   parokṣe kārya-hantāraṃ pratyakṣe priya-vādinam |	parokze kArya-hantAram pratyakze priya-vAdinam |
   varjayet tādṛśaṃ mitraṃ viṣa-kumbhaṃ payomukham // Hit_1.78 //	varjayet tAdRSam mitram viza-kumBam payaH-muKam // Hit-_1.78 //
   tataḥ kāko dīrghaṃ niḥśvasya uvāca-are vañcaka ! kiṃ tvayā pāpa-karmaṇā	tatas kAkaH dIrGam niHSvasya uvAca-are vaQcakaH ! kim tvayA pApa--karmaNA
   kṛtam | yataḥ-	kRtam | yatas--
   saṃlāpitānāṃ madhurair vacobhir	saMlApitAnAm maDurEH vacoBiH-
   mithyopacāraiś ca vaśīkṛtānām |	miTyA-upacArEH ca vaSIkRtAnAm |
   āśāvatāṃ śraddadhatāṃ ca loke	ASAvatAm SraddaDatAm ca loke
   kim arthināṃ vañcayitavyam asti // Hit_1.79 //	kim arTinAm vaQcayitavyam asti // Hit-_1.79 //
   anyac ca-	anyat ca-
   upakāriṇi viśrabdhe śuddha-matau yaḥ samācarati pāpam |	upakAriNi viSrabDe SudDa--matO yaH samAcarati pApam |
   taṃ janam asatya-sandhaṃ bhagavati vasudhe kathaṃ vahasi // Hit_1.80 //	tam janam asatya-sanDam Bagavati vasuDe kaTam vahasi // Hit-_1.80 //
   durjanena samaṃ sakhyaṃ vairaṃ cāpi na kārayet |	durjanena samam saKyam vEram ca-api na kArayet |
   uṣṇo dahati cāṅgāraḥ śītaḥ kṛṣṇāyate karam // Hit_1.81 //	uzNaH dahati ca-aFgAraH SItaH kRzNAyate karam // Hit-_1.81 //
   athavā sthitir iyaṃ durjanānām-	aTavA sTitiH iyam durjanAnAm--
   prāk pādayoḥ patati khādati pṛṣṭha-māṃsaṃ	prAk pAdayoH patati KAdati pRzWa--mAMsam
   karṇe phalaṃ kim api rauti śanair vicitram |	karNe Palam kim api rOti SanEs vicitram |
   chidraṃ nirūpya sahasā praviśaty aśaṅkaḥ	Cidram nirUpya sahasA praviSati aSaFkaH
   sarvaṃ khalasya caritaṃ maśakaḥ karoti // Hit_1.82 //	sarvam Kalasya caritam maSakaH karoti // Hit-_1.82 //
   tathā ca-	taTA ca-
   durjanaḥ priya-vādī ca naitad viśvāsa-kāraṇam |	durjanaH priya-vAdI ca na-etat viSvAsa--kAraNam |
   madhu tiṣṭhati jihvāgre hṛdi hālāhalaṃ viṣam // Hit_1.83 //	maDu tizWati jihvA-agre hRdi hAlAhalam vizam // Hit-_1.83 //
   atha prabhāte sa kṣetra-patir laguḍa-hastas taṃ pradeśam āgacchan	aTa praBAte sa kzetra-patiH laguxa--hastaH tam pradeSam AgacCan
   kākenāvalokitaḥ | tam avalokya kākenoktam-sakhe mṛga ! tvam ātmānaṃ	kAkena-avalokitaH | tam avalokya kAkena-uktam-saKe mRgaH ! tvam AtmAnam
   mṛtavat sandarśya vātenodaraṃ pūrayitvā pādān stabdhīkṛtya tiṣṭha | ahaṃ	mRta-vat sandarSya vAtena-udaram pUrayitvA pAdAn stabDIkRtya tizWa | aham
   tava cakṣuṣī cañcvā kim api vilikhāmi, yadāhaṃ śabdaṃ karomi, tadā tvam	tava cakzuzI caQcvA kim api viliKAmi, yadA-aham Sabdam karomi, tadA tvam
   utthāya satvaraṃ palāyiṣyase |	utTAya sa-tvaram palAyizyase |
   mṛgas tathaiva kāka-vacanena sthitaḥ | tataḥ kṣetra-patinā	mRgaH taTA-eva kAka-vacanena sTitaH | tatas kzetra-patinA
   harṣotphulla-locanena tathāvidho mṛga ālokitaḥ | athāsau-āḥ ! svayaṃ mṛto	harza-utPulla---locanena taTAviDaH mRgaH AlokitaH | aTa-asO-AH ! svayam mRtaH-
   'si ? ity uktvā mṛgaṃ bandhanāt mocayitvā pāśān saṃvarītuṃ satvaro babhūva	asi ? iti uktvA mRgam banDanAt mocayitvA pASAn saMvarItum satvaraH baBUva
   | tataḥ kiyad dūre antarite kṣetra-patau sa mṛgaḥ kākasya śabdaṃ śrutvā	| tatas kiyat dUre antarite kzetra-patO sa mRgaH kAkasya Sabdam SrutvA
   satvaram utthāya palāyitaḥ | tam uddiśya tena kṣetra-patinā prakopāt	sa-tvaram utTAya palAyitaH | tam uddiSya tena kzetra-patinA prakopAt-
   kṣiptena laguḍena śṛgālo vyāpāditaḥ | tathā coktam-	kziptena laguxena SRgAlaH vyApAditaH | taTA ca-uktam-
   tribhir varṣais tribhir māsais tribhiḥ pakṣais tribhir dinaiḥ |	triBiH varzEH triBiH mAsEH triBiH pakzEH triBiH dinEH |
   atyutkaṭaiḥ pāpa-puṇyair ihaiva phalam aśnute // Hit_1.84 //	ati-utkawEH pApa--puNyEH iha-eva Palam aSnute // Hit-_1.84 //
   ato 'haṃ bravīmi-bhakṣya-bhakṣyakayoḥ prītir ity ādi |	atas aham bravImi-Bakzya--BakzyakayoH prItiH iti Adi |
   iti mṛga-vāyasa-śṛgāla-kathā	iti mRga-vAyasa--SRgAla--kaTA
   kākaḥ punar āha-	kAkaH punar Aha-
   bhakṣitenāpi bhavatā nāhāro mama puṣkalaḥ |	Bakzitena-api BavatA na-AhAraH mama puzkalaH |
   tvayi jīvati jīvāmi citragrīva ivānagha // Hit_1.85 //	tvayi jIvati jIvAmi citragrIvaH iva-anaGaH // Hit-_1.85 //
   anyac ca-	anyat ca-
   tiraścām api viśvāso dṛṣṭaḥ puṇyaika-karmaṇām |	tiraScAm api viSvAsaH dRzwaH puNya-eka--karmaNAm |
   satāṃ hi sādhu-śīlatvāt svabhāvo na nivartate // Hit_1.86 //	satAm hi sADu--SIla-tvAt svaBAvaH na nivartate // Hid-_1.86 //
   kiṃ ca-	kim ca-
   sādhoḥ prakopitasyāpi mano nāyāti vikriyām |	sADoH prakopitasya-api manaH na-AyAti vikriyAm |
   na hi tāpayituṃ śakyaṃ sāgarāmbhas tṛṇolkayā // Hit_1.87 //	na hi tApayitum Sakyam sAgara-amBaH tRNa-ulkayA // Hid-_1.87 //
   hiraṇyako brūte-capalas tvam | capalena saha snehaḥ sarvathā na kartavyaḥ	hiraNyakaH brUte--capalaH tvam | capalena saha snehaH sarvaTA na kartavyaH
   | tathā coktam-	| taTA ca-uktam-
   mārjāro mahiṣo meṣaḥ kākaḥ kāpuruṣas tathā |	mArjAraH mahizaH mezaH kAkaH kApuruzaH taTA |
   viśvāsāt prabhavanty ete viśvāsas tatra no hitaḥ // Hit_1.88 //	viSvAsAt praBavanti ete viSvAsaH tatra naH hitaH // Hit-_1.88 //
   kiṃ cānyat-śatru-pakṣo bhavān asmākam | śatruṇā sandhir na vidheyam |	kim ca-anyat--Satru--pakzaH BavAn asmAkam | SatruNA sanDiH na viDeyam |
   uktaṃ caitat-	uktam ca-etat--
   śatruṇā na hi sandadhyāt saṃśliṣṭenāpi sandhinā |	SatruNA na hi sandaDyAt saMSlizwena-api sanDinA |
   sutaptam api pānīyaṃ śamayaty eva pāvakam // Hit_1.89 //	su-taptam api pAnIyam Samayati eva pAvakam // Hit-_1.89 //
   durjanaḥ parihartavyo vidyayālaṅkṛto 'pi san |	durjanaH parihartavyaH vidyayA-alaFkRtaH api san |
   maṇinā bhūṣitaḥ sarpaḥ kim asau na bhayaṅkaraḥ // Hit_1.90 //	maNinA BUzitaH sarpaH kim asO na BayaFkaraH // Hit-_1.90 //
   yad aśakyaṃ na tac chaktyaṃ yac chaktyaṃ śakyam eva tat |	yat aSakyam na tat Saktyam yat Saktyam Sakyam eva tat |
   nodake śakaṭaṃ yāti na ca naur gacchati sthale // Hit_1.91 //	na-udake Sakawam yAti na ca nOH gacCati sTale // Hid-_1.91 //
   aparaṃ ca-	aparam ca-
   mahatāpy artha-sāreṇa yo viśvasiti śatruṣu |	mahatA-api arTa--sAreNa yaH viSvasiti Satruzu |
   bhāryāsu ca viraktāsu tad-antaṃ tasya jīvanam // Hit_1.92 //	BAryAsu ca viraktAsu tad--antam tasya jIvanam // Hid-_1.92 //
   laghu-patanako brūte-śrutaṃ mayā sarvaṃ, tathāpi mamaitāvan eva saṅkalpaḥ	laGu-patanakaH brUte--Srutam mayA sarvan, taTA-api mama-etAvan eva saFkalpaH
   | yat tvayā saha sauhṛdyam avaśyaṃ karaṇīyam iti | anyathā anāhāreṇātmānaṃ	| yat tvayA saha sOhRdyam avaSyam karaNIyam iti | anyaTA anAhAreNa-AtmAnam
   tava dvāri vyāpādayiṣyāmīti | tathā hi-	tava dvAri vyApAdayizyAmi-iti | taTA hi-
   mṛd-ghaṭavat sukha-bhedyo duḥsandhānaś ca durjano bhavati |	mRd-Gawa-vat suKa-BedyaH duHsanDAnaH ca durjanaH Bavati |
   sujanas tu kanaka-ghaṭavad durbhedyaś cāśu sandheyaḥ // Hit_1.93 //	su-janaH tu kanaka--Gawa-vat durBedyaH ca-ASu sanDeyaH // Hit-_1.93 //
   kiṃ ca-	kim ca-
   dravatvāt sarva-lohānāṃ nimittād mṛga-pakṣiṇām |	drava-tvAt sarva-lohAnAm nimittAt mRga--pakziNAm |
   bhayāl lobhāc ca mūrkhāṇāṃ saṅgataḥ darśanāt satām // Hit_1.94 //	BayAt loBAt ca mUrKANAm saFgataH darSanAt satAm // Hit-_1.94 //
   kiṃ ca-	kim ca-
   nārikela-samākārā dṛśyante hi suhṛjjanāḥ |	nArikela--sama-AkArAH dRSyante hi suhRd-janAH |
   anye badarikākārā bahir eva manoharāḥ // Hit_1.95 //	anye badarikA-AkArAH bahis eva manoharAH // Hit-_1.95 //
   anyac ca-	anyat ca-
   sneha-cchede'pi sādhūnāṃ guṇā nāyānti vikriyām |	sneha-=-Cede-api sADUnAm guNAH na-AyAnti vikriyAm |
   bhaṅge'pi hi mṛṇālānām anubadhnanti tantavaḥ // Hit_1.96 //	BaFge-api hi mRNAlAnAm anubaDnanti tantavaH // Hit-_1.96 //
   anyac ca-	anyat ca-
   śucitvam tyāgitā śauryaṃ sāmānyaṃ sukha-duḥkhayoḥ |	Suci-tvam tyAgitA SOryam sAmAnyam suKa--duHKayoH |
   dākṣiṇyaṃ cānuraktiś ca satyatā ca suhṛd-guṇāḥ // Hit_1.97 //	dAkziNyam ca-anuraktiH ca satya-tA ca suhRd--guNAH // Hit-_1.97 //
   etair guṇair upeto bhavad=anyo mayā kaḥ suhṛt prāptavyaḥ ? ity ādi	etEH guNEH upetaH Bavat-=anyaH mayA kaH suhRd prAptavyaH ? iti Adi
   tad-vacanam ākarṇya hiraṇyako bahiḥ niḥsṛtyāha-āpyāyito 'haṃ bhavatām	tat--vacanam AkarNya hiraNyakaH bahis niHsRtya-aha-ApyAyitaH aham BavatAm
   etena vacanāmṛtena | tathā coktam-	etena vacana-amRtena | taTA ca-uktam-
   gharmārtaṃ na tathā suśītala-jalaiḥ snānaṃ na muktāvalī	Garma-Artam na taTA suSItala--jalEH snAnam na muktA-AvalI
   na śrīkhaṇḍa-vilepanam sukhayati pratyaṅgam apy arpitam |	na SrIKaNxa--vilepanam suKayati pratyaFgam api arpitam |
   prītyai sajjana-bhāṣitaṃ prabhavati prāyo yathā cetasaḥ	prItyE sat-jana--BAzitam praBavati prAyas yaTA cetasaH
   sad-yuktyā ca pariṣkṛtaṃ sukṛtinām ākṛṣṭi-mantropamam // Hit_1.98 //	sat--yuktyA ca parizkRtam sukRtinAm AkRzwi-mantra-upamam // Hit-_1.98 //
   anyac ca-	anyat ca-
   rahasya-bhedo yācñā ca naiṣṭhuryaṃ cala-cittayā |	rahasya-BedaH yAcQA ca nEzWuryam cala--cittayA |
   krodho niḥsatyatā dyūtam etan mitrasya dūṣaṇam // Hit_1.99 //	kroDaH niHsatya-tA dyUtam etat mitrasya dUzaNam // Hit-_1.99 //
   anena vacana-krameṇa tat ekam api dūṣaṇaṃ tvayi na lakṣyate | yataḥ-	anena vacana-krameNa tat ekam api dUzaNam tvayi na lakzyate | yatas--
   paṭutvaṃ satyavāditvaṃ kathā-yogena buddhyate |	pawu-tvam satya-vAdi-tvam kaTA-yogena budDyate |
   astabdhatvam acāpalyaṃ pratyakṣenāvagamyate // Hit_1.100 //	astabDa-tvam acApalyam pratyakzena-avagamyate // Hid-_1.100 //
   aparaṃ ca-	aparam ca-
   anyathaiva hi sauhārdaṃ bhavet svacchāntarātmanaḥ |	anyaTA-eva hi sOhArdam Bavet svacCa-antarAtmanaH |
   pravartate'nyathā vāṇī śāṭhyopahata-cetasaḥ // Hit_1.101 //	pravartate-anyaTA vANI SAWya-upahata--cetasaH // Hit-_1.101 //
   manasy anyad vacasy anyat karmaṇy anyad durātmanām |	manasi anyat vacasi anyat karmaNi anyat durAtmanAm |
   manasy ekaṃ vacasy ekaṃ karmaṇy ekaṃ mahātmanām // Hit_1.102 //	manasi ekam vacasi ekam karmaNi ekam mahAtmanAm // Hit-_1.102 //
   tad bhavatu bhavataḥ abhimatam eva ity uktvā hiraṇyako maitryaṃ vidhāya	tat Bavatu BavataH aBimatam eva iti uktvA hiraNyakaH mEtryam viDAya
   bhojana-viśeṣair vāyasaṃ santoṣya vivaraṃ praviṣṭaḥ | vāyaso 'pi	Bojana--viSezEH vAyasam santozya vivaram pravizwaH | vAyasaH api
   sva-sthānaṃ gataḥ tataḥ-prabhṛti tayoḥ anyo 'nyāhāra-pradānena	sva--sTAnam gataH tatas---praBRti tayoH anyaH anya-AhAra--pradAnena
   kuśala-praśnaiḥ viśrambhālāpaiś ca kiyat-kālo 'tivartane | ekadā	kuSala-praSnEH viSramBa-AlApEH ca kiyat--kAlaH ativartane | ekadA
   laghu-patanako hiraṇyakam āha-sakhe ! vāyasasya kaṣṭataralabhyāhāram idaṃ	laGu-patanakaH hiraNyakam Aha--saKe ! vAyasasya kazwatara-laBya-AhAram idam
   sthānam | tad etat parityajya sthānāntaraṃ gantum icchāmi |	sTAnam | tat etat parityajya sTAna-antaram gantum icCAmi |
   hiraṇyako brūte-	hiraNyakaH brUte-
   sthāna-bhraṣṭā na śobhante dantāḥ keśā nakhā narāḥ |	sTAna--BrazwAH na SoBante dantAH keSAH naKAH narAH |
   iti vijñāya matimān sva-sthānaṃ na parityajet // Hit_1.103 //	iti vijQAya matimAn sva--sTAnam na parityajet // Hit-_1.103 //
   kāko brūte-mitra ! kāpuruṣasya vacanam etat | yataḥ-	kAkaH brUte-mitra ! kApuruzasya vacanam etat | yatas--
   sthānam utsṛjya gacchanti siṃhāḥ sat-puruṣā gajāḥ |	sTAnam utsRjya gacCanti siMhAH sat--puruzAH gajAH |
   tatraiva nidhanaṃ yānti kākāḥ kāpuruṣā mṛgāḥ // Hit_1.104 //	tatra-eva niDanam yAnti kAkAH kApuruzAH mRgAH // Hit-_1.104 //
   anyac ca-	anyat ca-
   ko vīrasya manasvinaḥ sva-viṣayaḥ ko vā videśaḥ smṛtaḥ	kaH vIrasya manasvinaH sva--vizayaH kaH vA videSaH smRtaH
   yaṃ deśaṃ śrayate tam eva kurute bāhu-pratāpārjitam |	yam deSam Srayate tam eva kurute bAhu--pratApa-arjitam |
   yad daṃṣṭrānakha-lāṅgula-praharaṇaḥ siṃho vanaṃ gāhate	yat daMzwrA-naKa-lA-aFgula--praharaNaH siMhaH vanam gAhate
   tasminn eva hata-dvipendra-rudhirais tṛṣṇāṃ chinnatty ātmanaḥ // Hit_1.105	tasmin eva hata--dvipa-indra-ruDirEH tRzNAm Cinnatti AtmanaH // Hit-_1.105
   hiraṇyako brūte-mitra kva gantavyam ? tathā coktam-	hiraNyakaH brUte-mitra kva gantavyam ? taTA ca-uktam-
   calaty ekena pādena tiṣṭhaty ekena buddhimān |	calati ekena pAdena tizWati ekena budDimAn |
   nāsamīkṣya paraṃ sthānaṃ pūrvam āyatanaṃ tyajet // Hit_1.106 //	na-asamIkzya param sTAnam pUrvam Ayatanam tyajet // Hit-_1.106 //
   vāyaso brūte-mitra ! asti sunirūpitaṃ sthānam |	vAyasaH brUte-mitra ! asti su-nirUpitam sTAnam |
   hiraṇyako 'vadat-kiṃ tat ?	hiraNyakaH avadat-kim tat ?
   vāyasaḥ kathayati-asti daṇḍakāraṇye karpūragaurābhidhānaṃ saraḥ | tatra	vAyasaH kaTayati--asti daNxaka-araNye karpUra-gOra-aBiDAnam saraH | tatra
   cira-kālopārjitaḥ priya-suhṛn me mantharābhidhānaḥ kūrmaḥ sahaja-dhārmikaḥ	cira--kAla-upArjitaH priya-suhRd me manTara-aBiDAnaH kUrmaH sahaja-DArmikaH
   prativasati | paśya mitra !	prativasati | paSya mitra !
   paropadeśe pāṇḍityaṃ sarveṣāṃ sukaraṃ nṛṇām |	para-upadeSe pANxityam sarvezAm sukaram nRNAm |
   dharme svīyam anuṣṭhānaṃ kasyacit tu mahātmanaḥ // Hit_1.107 //	Darme svIyam anuzWAnam kasyacid tu mahAtmanaH // Hit-_1.107 //
   sa ca bhojana-viśeṣair māṃ saṃvardhayiṣyati | hiraṇyako 'py āha-tat kim	sa ca Bojana--viSezEH mAm saMvarDayizyati | hiraNyakaH api Aha-tat kim
   atrāvasthāya mayā kartavyam ? yataḥ-	atra-avasTAya mayA kartavyam ? yatas--
   yasmin deśe na sammāno na vṛttir na ca bāndhavaḥ |	yasmin deSe na sammAnaH na vRttiH na ca bAnDavaH |
   na ca vidyāgamaḥ kaścit taṃ deśaṃ parivarjayet // Hit_1.108 //	na ca vidyA-AgamaH kaScid tam deSam parivarjayet // Hit-_1.108 //
   aparaṃ ca---	aparam ca---
   dhanikaḥ śrotriyo rājā nadī vaidyas tu pañcamaḥ |	DanikaH SrotriyaH rAjA nadI vEdyaH tu paQcamaH |
   pañca yatra na vidyante tatra vāsaṃ na kārayet // Hit_1.109 //	paQca yatra na vidyante tatra vAsam na kArayet // Hit-_1.109 //
   aparaṃ ca---	aparam ca---
   loka-yātrā bhayaṃ lajjā dākṣiṇyaṃ tyāga-śīlatā |	loka-yAtrA Bayam lajjA dAkziNyam tyAga--SIla-tA |
   pañca yatra na vidyante na kuryāt tatra saṃsthitim // Hit_1.110 //	paQca yatra na vidyante na kuryAt tatra saMsTitim // Hit-_1.110 //
   anyac ca-	anyat ca-
   tatra mitra ! na vastavyaṃ yatra nāsti catuṣṭayam |	tatra mitra ! na vastavyam yatra na-asti catuzwayam |
   ṛṇa-dātā ca vaidyaś ca śrotriyaḥ sajalā nadī // Hit_1.111 //	RNa-dAtA ca vEdyaH ca SrotriyaH sa-jalA nadI // Hit-_1.111 //
   ato mām api tatra naya |	atas mAm api tatra naya |
   vāyaso 'vadat-evam astu |	vAyasaH avadat--evam astu |
   atha vāyasas tena mitreṇa saha vicitrālāpa-sukhena tasya sarasaḥ samīpaṃ	aTa vAyasaH tena mitreNa saha vicitra-AlApa--suKena tasya sarasaH samIpam
   yayau | tato mantharo dūrād eva laghu-patanakam avalokya utthāya	yayO | tatas manTaraH dUrAt eva laGu-patanakam avalokya utTAya
   yathocitam ātithyaṃ vidhāya mūṣikasyāpy atithi-satkāraṃ cakāra | yataḥ-	yaTocitam AtiTyam viDAya mUzikasya-api atiTi--satkAram cakAra | yatas--
   bālo vā yadi vā vṛddho yuvā vā gṛham āgataḥ |	bAlaH vA yadi vA vRdDaH yuvA vA gRham AgataH |
   tasya pūjā vidhātavyā sarvatrābhyāgato guruḥ // Hit_1.112 //	tasya pUjA viDAtavyA sarvatra-aByAgataH guruH // Hit-_1.112 //
   tathā-	taTA-
   gurur agnir dvijātīnāṃ varṇānāṃ brāhmaṇo guruḥ |	guruH agniH dvijAtInAm varNAnAm brAhmaNaH guruH |
   patir eko guruḥ strīṇāṃ sarvatrābhyāgato guruḥ // Hit_1.113 //	patiH ekaH guruH strINAm sarvatra-aByAgataH guruH // Hit-_1.113 //
   aparaṃ ca-	aparam ca-
   uttamasyāpi varṇasya nīco 'pi gṛham āgataḥ |	uttamasya-api varNasya nIcaH api gRham AgataH |
   pūjanīyo yathā-yogyaṃ sarva-deva-mayo 'tithiḥ // Hit_1.114 //	pUjanIyaH yaTA-yogyam sarva--deva-mayaH atiTiH // Hit-_1.114 //
   vāyaso 'vadat-sakhe ! manthara ! sa-viśeṣa-pūjām asami vidhehi, yato 'yaṃ	vAyasaH avadat--saKe ! manTaraH ! sa-viSeza--pUjAm asami viDehi, yatas ayam
   puṇya-karmaṇāṃ dhurīṇaḥ kāruṇya-ratnākaro hiraṇyaka-nāmā mūṣika-rājaḥ |	puNya-karmaNAm DurINaH kAruNya--ratna-AkaraH hiraNyaka-nAmA mUzika-rAjaH |
   etasya guṇa-stutiṃ jihvā-sahasra-dvayenāpi yadi sarpa-rājaḥ kadācit kartuṃ	etasya guNa--stutim jihvA--sahasra--dvayena-api yadi sarpa-rAjaH kadAcid kartum
   samarthaḥ syāt ity uktvā citragrīvopākhyānaṃ varṇitavān | tato mantharaḥ	samarTaH syAt iti uktvA citragrIva-upAKyAnam varNitavAn | tatas manTaraH
   sādaraṃ hiraṇyakaṃ sampūjyāha-bhadra ! ātmano nirjana-vanāgamana-kāraṇam	sa-Adaram hiraNyakam sampUjya-aha-Badra ! AtmanaH nirjana--vana-Agamana--kAraNam
   ākhyātum arhasi ?	AKyAtum arhasi ?
   hiraṇyako 'vadat-kathayāmi, śrūyatām |	hiraNyakaH avadat--kaTayAmi, SrUyatAm |
   kathā 4	kaTA 4
   asti campakābhidhānāyāṃ nagaryāṃ parivrājakāvasathaḥ | tatra cūḍākarṇo	asti campaka-aBiDAnAyAm nagaryAm parivrAjaka-AvasaTaH | tatra cUxAkarNaH-
   nāma parivrājakaḥ prativasati | sa ca bhojanāvaśiṣṭa-bhikṣānna-sahitaṃ	nAma parivrAjakaH prativasati | sa ca Bojana-avaSizwa--BikzA-anna--sahitam
   bhikṣāpātraṃ nāgadantake'vasthāpya svapiti | ahaṃ ca tad annam utplutya	BikzA-pAtram nAgadantake-avasTApya svapiti | aham ca tat annam utplutya
   utplutya pratyahaṃ bhakṣayāmi | anantaraṃ tasya priya-suhṛd vīṇākarṇo nāma	utplutya pratyaham BakzayAmi | anantaram tasya priya-suhRd vINAkarNaH nAma
   parivrājakaḥ samāyātaḥ, tena saha nānā-kathā-prasaṅgāvasthito mama	parivrAjakaH samAyAtaH, tena saha nAnA-kaTA--prasaFga-avasTitaH mama
   trāsārthaṃ jarjara-vaṃśa-khaṇḍena cūḍākarṇo bhūmim atāḍayat | taṃ	trAsa-arTam jarjara--vaMSa--KaNxena cUxAkarNaH BUmim atAxayat | tam
   tathāvidhaṃ dṛṣṭvā vīṇākarṇa uvāca-sakhe ! kim iti mama kathā-virakto	taTAviDam dRzwvA vINAkarNaH uvAca--saKe ! kim iti mama kaTA--viraktaH-
   'nyāsakto bhavān ? yataḥ-	anya-AsaktaH BavAn ? yatas--
   mukhaṃ prasannaṃ vimalā ca dṛṣṭiḥ	muKam prasannam vimalA ca dRzwiH
   kathānurāgo madhurā ca vāṇī |	kaTA-anurAgaH maDurA ca vANI |
   sneho 'dhikaḥ sambhrama-darśanaṃ ca	snehaH aDikaH samBrama--darSanam ca
   sadānuraktasya janasya lakṣma // Hit_1.115 //	sadA-anuraktasya janasya lakzmaH // Hit-_1.115 //
   adṛṣṭi-dānaṃ kṛta-pūrva-nāśanam	adRzwi--dAnam kRta--pUrva--nASanam
   ānanaṃ duścaritānukīrtanam |	Ananam duScarita-anukIrtanam |
   kathā-prasaṅgena ca nāma-vismṛtir	kaTA--prasaFgena ca nAma-vismRtiH-
   virakta-bhāvasya janasya lakṣaṇam // Hit_1.116 //	virakta-BAvasya janasya lakzaNam // Hit-_1.116 //
   cūḍākarṇenoktam-bhadra ! nāhaṃ viraktaḥ, kintu paśya ayaṃ mūṣiko	cUxAkarNena-uktam--Badra ! na-aham viraktaH, kintu paSya ayam mUzikaH-
   mamāpakārī sadā pātrasthaṃ bhikṣānnam utplutya bhakṣayati | vīṇākarṇo	mama-apakArI sadA pAtra-sTam BikzA-annam utplutya Bakzayati | vINA-karNaH-
   nāgadantam avalokyāha-katham ayaṃ mūṣikaḥ svalpa-balo 'py etāvad dūram	nAgadantam avalokya-aha--kaTam ayam mUzikaH svalpa-balaH api etAvat dUram
   utpatati ? tad atra kenāpi kāraṇena bhavitavyam |	utpatati ? tat atra kena-api kAraNena Bavitavyam |
   kṣaṇaṃ vicintya parivrājakenoktam-kāraṇaṃ cātra dhana-bāhulyam eva	kzaNam vicintya parivrAjakena-uktam--kAraNam ca-atra Dana--bAhulyam eva
   pratibhāti | yataḥ-	pratiBAti | yatas--
   dhanavān balavān loke sarvaḥ sarvatra sarvadā |	DanavAn balavAn loke sarvaH sarvatra sarvadA |
   prabhutvaṃ dhana-mūlaṃ hi rājñām apy upajāyate // Hit_1.117 //	praBu-tvam Dana--mUlam hi rAjQAm api upajAyate // Hid-_1.117 //
   tataḥ khanitram ādāya tena parivrājakena vivaraṃ khanitvā cira-sañcitaṃ	tatas Kanitram AdAya tena parivrAjakena vivaram KanitvA cira--saQcitam
   mama dhanaṃ gṛhītam | tataḥ prabhṛti pratyahaṃ nija-śakti-hīnaḥ	mama Danam gRhItam | tatas praBRti pratyaham nija--Sakti--hInaH
   sattvotsāha-rahitaḥ svāhāram apy utpādayitum akṣamaḥ sann āsaṃ mandaṃ	sattva-utsAha--rahitaH sva-AhAram api utpAdayitum akzamaH san Asam mandam
   mandam upasarpan cūḍākarṇenāvalokitaḥ | tatas tenoktam-	mandam upasarpan cUxAkarNena-avalokitaH | tatas tena-uktam-
   dhanena balavān loko dhanād bhavati paṇḍitaḥ |	Danena balavAn lokaH DanAt Bavati paNxitaH |
   paśyainaṃ mūṣikaṃ pāpaṃ svajāti-samatāṃ gatam // Hit_1.118 //	paSya-enam mUzikam pApam sva-jAti-sama-tAm gatam // Hit-_1.118 //
   kiṃ ca-	kim ca-
   arthena tu vihīnasya puruṣasyālpa-medhasaḥ |	arTena tu vihInasya puruzasya-alpa-meDasaH |
   kriyā sarvā vinaśyanti grīṣme kusarito yathā // Hit_1.119 //	kriyA sarvAH vinaSyanti grIzme kusaritaH yaTA // Hit-_1.119 //
   aparaṃ ca-	aparam ca-
   yasyārthās tasya mitrāṇi yasyārthās tasya bāndhavāḥ |	yasya-arTAH tasya mitrANi yasya-arTAH tasya bAnDavAH |
   yasyārthāḥ sa pumān loke yasyārthāḥ sa hi paṇḍitaḥ // Hit_1.120 //	yasya-arTAH sa pumAn loke yasya-arTAH sa hi paNxitaH // Hit-_1.120 //
   aparaṃ ca-	aparam ca-
   aputrasya gṛhaṃ śūnyaṃ san-mitra-rahitasya ca |	aputrasya gRham SUnyam san-mitra--rahitasya ca |
