   cittaparikarma dvādaśaḥ paricchedaḥ ||	citta-parikarma dvAdaSaH paricCedaH ||
   nitāni adbhir vā klinnāni vātâtāpavarṣair vā cūrṇīkṛtāni digvidikṣu	nitAni adBiH vA klinnAni vAtâtApa-varzEH vA cUrNIkRtAni diS-vidikzu
   prakṣiptāni tatrâiva pūtabhavam āyāsyanti |	prakziptAni tatrâiva pUta-Bavam AyAsyanti |
   evam anityāḥ sarvasaṃskārâivam adhruvêti vistaraḥ ||	evam anityAH sarva-saMskArâivam aDruvêti vistaraH ||
   tatra kleśāḥ prādhānyena rāgadveṣamohā yasyâiṣām ekatarasya tāvat	tatra kleSAH prADAnyena rAga-dveza-mohAH yasyâizAm ekatarasya tAvat-
   pratipakṣam ādau bhāvayet tannidānaṃ ca varjayet ||	pratipakzam AdO BAvayet tat-nidAnam ca varjayet ||
   tatrâryaratnameghe tāvad āha |	tatrârya-ratna-meGe tAvat Aha |
   sa rāgasya pratipakṣaṃ bhajate |	sa rAgasya pratipakzam Bajate |
   rāgôtpattipratyayāṃś ca varjayati |	rAgôt-patti-pratyayAn ca varjayati |
   katamaś ca sa rāgasya pratipakṣaḥ |	katamaH ca sa rAgasya pratipakzaH |
   katame ca te rāgôtpattipratyayāḥ |	katame ca te rAgôt-patti-pratyayAH |
   aśubhābhāvanârāgasya pratipakṣaḥ |	aSuBa-aBAvanâ-rAgasya pratipakzaH |
   janapadakalyāṇīrāgôtpattipratyayaḥ |	janapada-kalyANI-rAgôt-patti-pratyayaH |
   katamā ca sâśubhābhāvanā |	katamA ca sâ-SuBa-aBAvanA |
   yad uta santy asmin kāye keśā romāṇi nakhā dantā rajo malaṃ tvak māṃsâsthi	yat uta santi asmin kAye keSAH romANi naKAH dantAH rajaH malam tvac mAMsâsTi
   snāyuḥ śirā vṛkkā hṛdayaṃ plīhakaḥ klomakaḥ |	snAyuH SirAH vRkkAH hRdayam plIhakaH klomakaH |
   antrāṇy antraguṇâmâśayaḥ pakvâśayaḥ |	antrANi antra-guNâmâSayaH pakvâSayaH |
   audaryakaṃ yakṛt purīṣam aśru svedaḥ kheṭaḥ siṅghāṇakaṃ vasā lasikā majjā	Odaryakam yakRt purIzam aSru svedaH KewaH siFGANakam vasA lasikA majjA
   medaḥ pittaṃ śleśmā pūyaṃ śoṇitaṃ mastakaṃ mastakaluṅgaṃ*prasrāvaḥ |	medaH pittam SleSmA pUyam SoNitam mastakam mastakaluFgaM*prasrAvaH |
   eṣu ca vastuṣu bodhisatvôpaparīkṣaṇajātīyo bhavati |	ezu ca vastuzu boDisatvôpaparIkzaNa-jAtIyaH Bavati |
   tasyâivam upaparīkṣamāṇasyâivaṃ bhavati |	tasyâivam upaparIkzamANasyâivam Bavati |
   yo 'pi tāvat syād bālo mūḍhaḥ abhavyo 'kuśalaḥ so 'pi tāvad etāni vastūni	yaH api tAvat syAt bAlaH mUXaH aBavyaH akuSalaH saH api tAvat etAni vastUni
   [ Bendall ed p210 ---> ]	[ Bet-dalt ed p210 ---> ]
   jñātvā rāgacittaṃ nôtpādayet |	jQAtvA rAga-cittam nôt-pAdayet |
   prāg eva saprajñajātīyaḥ |	prAk eva sa-prajQa-jAtIyaH |
   evaṃ hi bodhisatvo 'śubhābhāvanābahulo bhavatîti ||	evam hi boDisatvaH aSuBa-aBAvanA-bahulaH Bavatîti ||
   bhagavatyām apy uktaṃ |	BagavatyAm api uktam |
   punar aparaṃ subhūte bodhisatvo mahāsatvaḥ prajñāpāra-	punar aparam suBUte boDisatvaH mahAsatvaH prajQApAra-
   [ Cambridge MS f97b ---> ]	[ Cambridge M f97B ---> ]
   mitāyāṃ carann imam evaṃ kāyaṃ yathābhūtaṃ prajānāti |	mitAyAm caran imam evam kAyam yaTABUtam prajAnAti |
   tad yathâpi nāma subhūte goghātako vā goghātakântevāsī vā gāṃ hatvā	tat yaTâpi nAma suBUte go-GAtakaH vA go-GAta-kântevAsI vA gAm hatvA
   tīkṣṇena śastreṇa catvāri phalakāni kṛtvā pratyavekṣate sthito 'thavā	tIkzNena SastreNa catvAri PalakAni kRtvA pratyavekzate sTitaH aTavA
   niṣaṇṇaḥ |	nizaNNaH |
   evam eva subhūte bodhisatvaḥ prajñāpāramitāyāṃ carann imam eva kāyaṃ	evam eva suBUte boDisatvaH prajQApAramitAyAm caran imam eva kAyam
   dhātuśo yathābhūtaṃ prajānāti |	DAtuSas yaTABUtam prajAnAti |
   asty asmin kāye pṛthivīdhātur abdhātur api tejodhātur api vāyudhātur apîti	asti asmin kAye pRTivI-DAtuH abDAtuH api tejaH-DAtuH api vAyuDAtuH apîti
   pe ||	pe ||
   punar apy āha |	punar api Aha |
   tad yathâpi subhūte karṣakasya mūtoḍī pūrṇā nānādhānyānāṃ śālīnāṃ vrīhīṇāṃ	tat yaTâpi suBUte karzakasya mUtoxI pUrNA nAnA-DAnyAnAm SAlInAm vrIhINAm
   tilānāṃ taṇḍulānāṃ mudrānāṃ māṣāṇāṃ yavānāṃ godhūmānāṃ maśūrāṇāṃ	tilAnAm taNxulAnAm mudrAnAm mAzANAm yavAnAm goDUmAnAm maSUrANAm
   sarṣapāṇāṃ |tān etān cakṣuṣmān puruṣaḥ pratyavekṣamāṇaḥ |	sarzapANAm |tAn etAn cakzuzmAn puruzaH pratyavekzamANaH |
   evaṃjātīyād ayaṃ śālir ayaṃ vrīhir amī tilâmī taṇḍulâmī mudrâmī māṣā	evaMjAtIyAt ayam SAliH ayam vrIhiH amI tilâmI taNxulâmI mudrâmI mAzA
   yavâmī godhūmâmī maśūrâmī sarṣapêti ||	yavâmI goDUmâmI maSUH-âmI sarzapêti ||
   evam eva bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ carann imam eva kāyam	evam eva boDisatvaH mahAsatvaH prajQApAramitAyAm caran imam eva kAyam
   ūrddhvaṃ pādatalād adhaḥ keśamastakanakharomatvak romaparyantaṃ pūrṇaṃ	UrdDvam pAda-talAt aDas keSa-mastaka-naKa-roma-tvac roma-paryantam pUrNam
   nānāprakārasyâśucer yathābhūtaṃ pratyavekṣate |	nAnA-prakArasyâSuceH yaTABUtam pratyavekzate |
   santy asmin kāye keśā romāṇi nakhā yāvan mastakaṃ mastakaluṅgam akṣigūthaṃ	santi asmin kAye keSAH romANi naKAH yAvat mastakam mastakaluFgam akzi-gUTam
   karṇagūtham iti ||	karNa-gUTam iti ||
   pe ||	pe ||
   punar aparaṃ subhūte bodhisatvaḥ śmaśānagataḥ paśyati nānārūpāṇi	punar aparam suBUte boDisatvaH SmaSAna-gataH paSyati nAnA-rUpANi
   mṛtaśarīrāṇi śmaśāne 'paviddhāni śavaśayane ujjhitāni ekâhamṛtāni vā	mRta-SarIrANi SmaSAne apavidDAni Sava-Sayane ujJitAni ekâhamRtAni vA
   dvyahamṛtāni vā tryahamṛtāni vā caturahamṛtāni vā pa-	dvi-aham-RtAni vA tri-ahamRtAni vA catur-aham-RtAni vA pa-
   [ Bendall ed p211 ---> ]	[ Bet-dalt ed p211 ---> ]
   ñcâhamṛtāni vā vyādhmātakāni vinīlakāni vipūyakāni vipaṭhyakāni |	QcâhamRtAni vA vyADmAtakAni vinIlakAni vipUyakAni vipaWyakAni |
   sêmam eva kāyaṃ tatrôpasaṃharati |	sêmam eva kAyam tatrôpasaMharati |
   ayam api kāyâivaṃdharmâivaṃsvabhāvaḥ |	ayam api kAyâivaMDarmâi-vaMsvaBAvaH |
   etāṃ dharmatām avyativṛttae iti ||	etAm Darma-tAm avyativRttae iti ||
   evaṃ hi subhūte bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran bahirdhā	evam hi suBUte boDisatvaH mahAsatvaH prajQApAramitAyAm caran bahirDA
   kāye kāyânudarśī viharati ||	kAye kAyânudarSI viharati ||
   pe ||	pe ||
   punar aparaṃ yadā mṛtaśarīrāṇi śmaśāne utsṛṣṭāni paśyati |	punar aparam yadA mRta-SarIrANi SmaSAne utsRzwAni paSyati |
   ṣaḍrātramṛtāni kākair vā khādyamānāni kurarair vā gṛdhrair vā śvabhir vā	zaz-rAtra-mRtAni kAkEH vA KAdyamAnAni kurarEH vA gRDrEH vA SvaBiH vA
   śṛgālair vā tato 'nyair vā nānāvidhaiḥ prāṇakajātaiḥ khādyamānāni	SRgAlEH vA tatas anyEH vA nAnAviDEH prANaka-jAtEH KAdyamAnAni
   [ Cambridge MS f98a ---> ]	[ Cambridge M f98aH ---> ]
   sêmam eva kāyaṃ tatrôpasaṃharati |	sêmam eva kAyam tatrôpasaMharati |
   ayam api kāyâivaṃdharmâivaṃsvabhāvaḥ |	ayam api kAyâivaMDarmâi-vaMsvaBAvaH |
   etāṃ dharmatāṃ na vyativṛttae iti ||	etAm Darma-tAm na vyativRttae iti ||
   punar aparaṃ yadā mṛtaśarīrāṇi paśyati śmaśāne utsṛṣṭāni vikhāditāny	punar aparam yadA mRta-SarIrANi paSyati SmaSAne utsRzwAni viKAditAni-
   aśucīni durgandhāni |	aSucIni durganDAni |
   sêmam eva kāyaṃ tatrôpasaṃharatîti pūrvavat ||	sêmam eva kAyam tatrôpasaMharatîti pUrvavat ||
   pe ||	pe ||
   punar aparaṃ yadā paśyati mṛtaśarīrāṇi śivapathikāyām asthisaṃkalikāṃ	punar aparam yadA paSyati mRta-SarIrANi Siva-paTikAyAm asTi-saMkalikAm
   māṃsaśoṇitamrakṣitāṃ snāyuvinibaddhāṃ |sa tatrêmam eva kāyam iti pūrvavat	mAMsa-SoNitamrakzitAm snAyu-vinibadDAm |sa tatrêmam eva kAyam iti pUrvavat-
   punar aparaṃ yadā mṛtaśarīrāṇi paśyati śivapathikāyām asthisaṃkalībhūtāni	punar aparam yadA mRta-SarIrANi paSyati Siva-paTikAyAm asTi-saMkalIBUtAni
   apagatamāṃsaśoṇitasnāyubandhanāni |	apagata-mAMsa-SoNita-snAyu-banDanAni |
   sêmam eva kāyam iti pūrvavat ||	sêmam eva kAyam iti pUrvavat ||
   punar aparaṃ yadā paśyati śivapathikāyām asthīni digvidikṣu kṣiptāni |	punar aparam yadA paSyati Siva-paTikAyAm asTIni diS-vidikzu kziptAni |
   yad utânyena pādâsthīni |	yat utânyena pAdâsTIni |
   anyena jaṅghâsthīni |	anyena jaFGâsTIni |
   anyena côrvasthīni |	anyena côru-asTIni |
   anyena śroṇikaṭāhakaṃ |	anyena SroNi-kawAhakam |
   [ Bendall ed p212 ---> ]	[ Bet-dalt ed p212 ---> ]
   anyena pṛṣṭhavaṃśam anyena pārśvakâsthīni |	anyena pRzWavaMSam anyena pArSva-kâ-sTIni |
   anyena grīvâsthīni |	anyena grIvâsTIni |
   anyena bāhvasthīni |	anyena bAhu-asTIni |
   sêmam eva kāyam upasaṃharatîti pūrvavat ||	sêmam eva kAyam upasaMharatîti pUrvavat ||
   pe ||	pe ||
   punar aparaṃ yadā paśyati śivapathikāyām asthīny anekavārṣikāṇi	punar aparam yadA paSyati Siva-paTikAyAm asTIni aneka-vArzikANi
   vātânupariśoṣitāni śaṅkhasannibhāni |	vAtânu-pari-SozitAni SaFKa-sanniBAni |
   imam eva kāyaṃ tatrôpasaṃharatîti pūrvavat |	imam eva kAyam tatrôpasaMharatîti pUrvavat |
   ayam api kāyâivaṃdharmâivaṃsvabhāvâitāṃ dharmatāṃ na vyativṛttae iti ||	ayam api kAyâivaMDarmâi-vaMsvaBAvâitAm Darma-tAm na vyativRttae iti ||
   punar aparaṃ subhūte bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran yadā	punar aparam suBUte boDisatvaH mahAsatvaH prajQApAramitAyAm caran yadA
   paśyati śivapathikāyām asthīny anekavārṣikāṇi tirobhūtāni nīlāni	paSyati Siva-paTikAyAm asTIni aneka-vArzikANi tiroBUtAni nIlAni
   kapotavarṇāni pūtīni cūrṇakajātāni pṛthivyāṃ pāṃsunâsamasamībhūtāni sêmam	kapota-varNAni pUtIni cUrNaka-jAtAni pRTivyAm pAMsunâ-sama-samIBUtAni sêmam
   eva kāyaṃ tatrôpasaṃharati ayam api kāyâivaṃdharmâivaṃsvabhāvaḥ |	eva kAyam tatrôpasaMharati ayam api kAyâivaMDarmâi-vaMsvaBAvaH |
   etāṃ dharmatāṃ na vyativṛttae iti ||	etAm Darma-tAm na vyativRttae iti ||
   eṣa tāvat samāsato rāgasya samudācārapratipakṣaḥ |	eza tAvat samAsatas rAgasya samudAcAra-pratipakzaH |
   dveṣasya maitrī pratipakṣaḥ |	dvezasya mEtrI pratipakzaH |
   apriyasatvâdarśanaṃ ca |	apriya-satvâ-darSanam ca |
   tena vā saha bhojanâdyekârthatayâprītyutpādanaṃ tatra parasukhasyâśaṃsā	tena vA saha BojanâdyekârTa-tayâ-prIti-utpAdanam tatra para-suKasyâSaMsA
   prārthanā tṛṣṇâbhinandanaṃ maitrī |	prArTanA tRzNâBinandanam mEtrI |
   kāmarāgapratyupakārahetubhyām akliṣṭaḥ snehêty arthaḥ ||	kAmarAga-pratyupakAra-hetuByAm aklizwaH snehêti arTaH ||
   sā trividhâryâkṣayamatisūtre 'bhihitā |	sA triviDârI-âkzayam-atisUtre aBihitA |
   satvârambaṇā mai-	satvârambaNAH mE-
   [ Cambridge MS f98b ---> ]	[ Cambridge M f98B ---> ]
   trī prathamacittôtpādikānāṃ bodhisatvānāṃ |	trI praTama-cittôtpAdikAnAm boDisatvAnAm |
   dharmârambaṇā caryāpratipannānāṃ bodhisatvānāṃ |	DarmârambaNA caryA-pratipannAnAm boDisatvAnAm |
   anārambaṇā maitrī anutpattikadharmakṣāntipratilabdhānāṃ bodhisatvānām iti	anArambaNA mEtrI anutpattika-Darma-kzAnti-pratilabDAnAm boDisatvAnAm iti
   ||punar buddhârambaṇā bodhisatvârambaṇā śrāvakapratyekabuddhârambaṇā	||punar budDârambaNA boDisatvârambaNA SrAvaka-pratyekabudDârambaNA
   satvârambaṇā ca |	satvârambaNA ca |
   tatra satvârambaṇāyāḥ pūrvaṃ priye satve hitasukhôpasaṃhārān na dhyānam	tatra satvârambaNAyAH pUrvam priye satve hita-suKôpa-saMhArAt na DyAnam
   abhyasya |	aByasya |
   tatsame maitrīm upasaṃharet |	tad-same mEtrIm upasaMharet |
   tataḥ pariciteṣu |	tatas paricitezu |
   tatôdāsīneṣu |	tatôdAsInezu |
   tataḥ samīpavāsiṣu |	tatas samIpa-vAsizu |
   tataḥ svagrāmavāsiṣu |	tatas sva-grAma-vAsizu |
   [ Bendall ed p213 ---> ]	[ Bet-dalt ed p213 ---> ]
   evaṃ paragrāme ca |	evam para-grAme ca |
   evaṃ yāvad ekāṃ diśam adhimucya spharitvôpasaṃpadya viharati |	evam yAvat ekAm diSam aDimucya sParitvôpasaMpadya viharati |
   evaṃ daśasu dikṣu |	evam daSasu dikzu |
   buddhâdyārambaṇāyās tv ayaṃ prayāso nâsti ||sā ca vajradhvajapariṇāmanāyām	budDâdya-ArambaNAyAH tu ayam prayAsaH nâsti ||sA ca vajra-Dvaja-pariNAmanAyAm
   uktā |	uktAH |
   sa bodhisatvacaryāyāṃ caran yāvanti kānicid dṛśyante rūpāṇi manojñāni vā	sa boDisatva-caryAyAm caran yAvanti kAnicid dRSyante rUpANi manojQAni vA
   pratikūlāni vā |	pratikUlAni vA |
   evaṃ śabdā gandhā rasā spraṣṭavyā dharmā manojñā vā pratikūlā vā |	evam SabdAH ganDAH rasAH sprazwavyAH DarmAH manojQAH vA pratikUlA vA |
   anavadyā viśuddhāḥ kalyāṇôdāraprabhāsvarā vā yena saumanasyaṃ jāyate |	anavadyAH viSudDAH kalyANôdAra-praBAsvarA vA yena sOmanasyam jAyate |
   sukham avakrāmati |	suKam avakrAmati |
   prasādo jāyate |	prasAdaH jAyate |
   prītiḥ saṃbhavati |	prItiH saMBavati |
   prāmodyaṃ saṃtiṣṭhate |	prAmodyam saMtizWate |
   harṣaḥ prādurbhavati |	harzaH prAdurBavati |
   daurmanasyaṃ nivartate |	dOrmanasyam nivartate |
   cittakalyatā prādurbhavati |	citta-kalya-tA prAdurBavati |
   cittaṃ karmaṇyaṃ bhavati |	cittam karmaNyam Bavati |
   āśayo mṛdubhavati |	ASayaH mRduBavati |
   indriyāṇi prahlādaṃ gacchanti |	indriyANi prahlAdam gacCanti |
   satatasukhaṃ saṃvedayamānâivaṃ pariṇāmayati |	satata-suKam saMvedayamAn-âivam pariNAmayati |
   sarvabuddhānām etayā pariṇāmanayā bhūyasyā mātrayā te buddhā bhagavanto	sarva-budDAnAm etayA pariNAmanayA BUyasyA mAtrayA te budDAH BagavantaH-
   'cintyena buddhavihārasukhena samanvāgatā bhavantv atulyena	acintyena budDa-vihAra-suKena samanvAgatAH Bavantu atulyena
   buddhasamādhisukhena susaṃgṛhītā bhavantv anantasukhena bhūyasyā	budDa-samADi-suKena su-saMgRhItAH Bavantu ananta-suKena BUyasyA
   mātrayôpastabdhā bhavantu |	mAtrayôpastabDAH Bavantu |
   apramāṇena buddhavimokṣasukhena samanvāgatā bhavantu |	apramANena budDa-vimokza-suKena samanvAgatAH Bavantu |
   aprameyeṇa buddhaprātihāryasukhena susaṃgṛhītā bhavantu |	aprameyeNa budDa-prAtihArya-suKena su-saMgRhItAH Bavantu |
   acintyena buddhâsaṃgavihārasukhena suparigṛhītā bhavantu |	acintyena budDâ-saMga-vihAra-suKena su-parigRhItAH Bavantu |
   durāsadena bu-	durAsadena bu-
   [ Bendall ed p214 ---> ]	[ Bet-dalt ed p214 ---> ]
   ddhavṛṣabhitasukhenâbhichannā bhavantu |	dDa-vRzaBita-suKenâBiCannAH Bavantu |
   aprameyeṇa buddhabalasukhenâtyantasukhitā bhavantu |	aprameyeNa budDa-bala-suKenâti-anta-suKitAH Bavantu |
   sarvaveditaśāntenânutpattisukhenâdhikārasukhā bhavantu |	sarva-vedita-SAntenânutpatti-suKenâDikAra-suKAH Bavantu |
   asaṃgavihārasatatasamāhitena tathāgatasukhenâdvayasamudā-	asaMga-vihAra-satata-samAhitena taTAgata-suKenâ-dvaya-samudA-
   [ Cambridge MS f99a ---> ]	[ Cambridge M f99aH ---> ]
   cāreṇâvikopitasukhā bhavantu ||evaṃ bodhisatvas tatkuśalamūlaṃ tathāgateṣu	cAreNâ-vikopita-suKAH Bavantu ||evam boDisatvaH tat-kuSala-mUlam taTAgatezu
   pariṇamayya bodhisatveṣu pariṇamayati |	pariNamayya boDisatvezu pariNamayati |
   yad idam aparipūrṇānām abhiprāyāṇāṃ paripūrṇāya pariṇamayati |	yat idam aparipUrNAnAm aBiprAyANAm paripUrNAya pariNamayati |
   apariśuddhānāṃ sarvajñatâdhyāśayānāṃ pariśuddhaye |	apariSudDAnAm sarvajQatâDya-ASayAnAm pariSudDaye |
   apariniṣpannānāṃ sarvapāramitānāṃ pariniṣpattaye |	aparinizpannAnAm sarva-pAramitAnAm parinizpattaye |
   vajrôpamasya bodhicittôtpādasyâdhiṣṭhānāya |	vajrôpamasya boDi-cittôt-pAdasyâDizWAnAya |
   anivartyasya sarvajñatāsaṃnāhasyâpratiprasrabdhaye |	anivartyasya sarvajQa-tA-saMnAhasyâpratiprasrabDaye |
   bodhisatvānāṃ kuśalamūlānāṃ mārgaṇatāyai |	boDisatvAnAm kuSala-mUlAnAm mArgaNa-tAyE |
   sarvajagatsamatāsthitasya mahāpraṇidhānasya paripūraye |	sarva-jagat-samatA-sTitasya mahA-praNiDAnasya paripUraye |
   sarvabodhisatvavihārāṇām adhigamāya |	sarva-boDisatva-vihArANAm aDigamAya |
   sarvabodhisatvêndriyāṇāṃ tīkṣṇâbhijñatāyai |	sarva-boDisatvêndriyANAm tIkzNâBijQa-tAyE |
   sarvabodhisatvakuśalamūlānāṃ sarvajñatāsparśanatāyai ||	sarva-boDisatva-kuSala-mUlAnAm sarvajQa-tA-sparSana-tAyE ||
   sâivaṃ tatkuśalamūlaṃ bodhisatvānām arthāya pariṇamayya	sâivam tat-kuSala-mUlam boDisatvAnAm arTAya pariNamayya
   buddhaśāsanâvacareṣu sarvaśrāvakapratyekabuddheṣu tatkuśalamūlam evaṃ	budDa-SAsanâ-vacarezu sarva-SrAvaka-pratyekabudDezu tat-kuSala-mUlam evam
   pariṇāmayati |	pariNAmayati |
   te kecit satvâikâcchaṭâsaṃhātamātram api buddhaśabdaṃ sṛṇvati |	te kecid satvâikâ=-Cawâ-saMhAta-mAtram api budDa-Sabdam sRNvati |
   dharmaśabdaṃ vâryasaṃghaparyupāsanaṃ vā kurvanti teṣāṃ tatkuśalamūlam	Darma-Sabdam vârya-saMGa-paryupAsanam vA kurvanti tezAm tat-kuSala-mUlam
   anuttarāyai samyaksaṃbodhaye pariṇāmayati buddhânusmṛtiparipūryai	anuttarAyE samyaksaMboDaye pariNAmayati budDânu-smRti-paripUryE
   pariṇāmayati |	pariNAmayati |
   dharmânusmṛtiprayogatāyai pariṇāmayati |	Darmâ-nusmRti-prayoga-tAyE pariNAmayati |
   āryasaṃghagauravāya pariṇāmayati |	Arya-saMGa-gOravAya pariNAmayati |
   acirahitabuddhadarśanatāyai pariṇāmayati |	acirahita-budDa-darSana-tAyE pariNAmayati |
   cittapariśuddhaye pariṇāmayati |	citta-pariSudDaye pariNAmayati |
   buddhadharmaprativedhāya pariṇāmayati |	budDa-Darma-prativeDAya pariNAmayati |
   aprameyaguṇapratipattaye pariṇāmayati |	aprameya-guNa-pratipattaye pariNAmayati |
   sarvâbhijñākuśalapariśuddhaye pariṇāmayati |	sarvâBijQA-kuSala-pariSudDaye pariNAmayati |
   dharmavimativinivartanāya pariṇāmayati |	Darma-vimati-vinivartanAya pariNAmayati |
   yathā buddhaśāsanâvacareṣu pariṇāmayati |	yaTA budDa-SAsanâ-vacarezu pariNAmayati |
   śrāvakapratyekabuddheṣu ca tathā bodhisatvaḥ sarvasatveṣu tatkuśala-	SrAvaka-pratyekabudDezu ca taTA boDisatvaH sarva-satvezu tat-kuSala-
   [ Bendall ed p215 ---> ]	[ Bet-dalt ed p215 ---> ]
   mūlaṃ pariṇāmayati ||	mUlam pariNAmayati ||
   yad idaṃ nairayikamārgavinivartanāya pariṇāmayati |	yat idam nErayika-mArga-vinivartanAya pariNAmayati |
   tiryagyonivyavacchedāya pariṇāmayati |	tiryagyoni-vyavacCedAya pariNAmayati |
   yamalokôpacchedasukhāya pariṇāmayati |	yama-lokôpacCeda-suKAya pariNAmayati |
   niravaśeṣasarvâpāyagatyupapattivyavacchedāya pariṇāmayati ||	niravaSeza-sarvâ-pAya-gati-upapatti-vyavacCedAya pariNAmayati ||
   teṣāṃ ca sarvasatvānām anuttarabodhichandavivardhanatāyai pariṇā-	tezAm ca sarva-satvAnAm anuttara-boDiCanda-vivarDana-tAyE pariNA-
   [ Cambridge MS f99b ---> ]	[ Cambridge M f99B ---> ]
   mayati |	mayati |
   adhyāśayasarvajñatācittalābhāya pariṇāmayati |	aDyASaya-sarvajQa-tA-citta-lABAya pariNAmayati |
   sarvabuddhadharmâpratikṣepāya pariṇāmayati |	sarva-budDa-Darmâ-pratikzepAya pariNAmayati |
   atyantasukhasarvajñatābhūmisaṃvartanāya pariṇāmayati |	atyanta-suKa-sarvajQa-tA-BUmi-saMvartanAya pariNAmayati |
   atyantasarvasatvaviśuddhaye pariṇāmayati |	atyanta-sarva-satva-viSudDaye pariNAmayati |
   sarvasatvānām anantajñānâdhigamāya pariṇāmayati |	sarva-satvAnAm ananta-jQAnâDigamAya pariNAmayati |
   pe ||	pe ||
   tasya yat kiñcic	tasya yat kiQcic
   cīvarapiṇḍapātaśayanâsanaglānapratyayabhaiṣajyagamanâgamanaśarīrôpasthānaniṣadyâdiniṣevaṇâyatanānāṃ	cIvara-piNxapAta-Sayanâsana-glAna-pratyaya-BEzajya-gamanâ-gamana-SarIrôpasTAna-nizadyâdi-nizevaNâ-yatanAnAm
   pravartanakarmêryāpathâdhiṣṭhānam īryāpathasyâvikopanaṃ kāyakarma vākkarma	pravartana-karmêryA-paTâDizWAnam IryA-paTasyâvikopanam kAya-karma vAkkarma
   manaskarma sacuritaṃ ṣaṇṇām indriyāṇāṃ saṃvaraḥ	manaskarma sa-curitam zaNNAm indriyANAm saMvaraH
   svaśarīrâchādanamardanasnānakarma |	sva-SarIrâ-CAdana-mardana-snAna-karma |
   aśitapītakhāditaṃ	aSita-pIta-KAditam
   saṃmiñjitaprasāritâvalokitavilokitasuptajāgaritasvaśarīragatôpasthānaṃ	saMmiQjita-prasAritâ-valokita-vilokita-supta-jAgarita-sva-SarIra-gatôpa-sTAnam
   sarvam etad bodhisatvasya sarvajñatâlambanaprayuktasya na kiñcid	sarvam etat boDisatvasya sarvajQa-tâ-lambana-prayuktasya na kiQcid-
   apariṇāmitaṃ sarvajñatāyāṃ sarvasatvahitasukhacittasya ||	apariNAmitam sarvajQa-tAyAm sarva-satva-hita-suKa-cittasya ||
   pe ||sarvajagatparitrāṇamanaso nityôdyuktakuśalamūlasya	pe ||-sarva-jagat-paritrANa-manasaH nityôdyukta-kuSala-mUlasya
   madapramādavyativṛttasya ||	mada-pramAda-vyativRttasya ||
   pe ||sarvakleśaparāṅmukhasya sarvabodhisatvânuśikṣaṇacetasaḥ	pe ||-sarva-kleSa-parAFmuKasya sarva-boDisatvânuSikzaNa-cetasaH
   sarvajñatāmārgâpratihatasya jñānabhūminiṣevaṇasya paṇḍitasaṃvāsâbhiratasya	sarvajQa-tA-mArgâ-pratihatasya jQAna-BUmi-nizevaNasya paNxita-saMvAsâBiratasya
   pe ||	pe ||
   madhukarêva kuśalamūlasaṃbharaṇasya	maDukarêva kuSala-mUla-saMBaraNasya
   sarvajagaduccalitasantānasyânabhiniviṣṭasarvasaṃskārasya |	sarva-jagat-uccalita-santAnasyânaBi-nivizwa-sarva-saMskArasya |
   pe ||antaśaḥ śvasv api tad anyeṣv api tiryagyonigateṣv ekâudanônmiñjitam	pe ||antaSas Svasu api tat anyezu api tiryagyoni-gatezu ekâudanônmiQjitam
   ekâlopaṃ vā parityajati |	ekâlopam vA parityajati |
   sugatāv upapattiṣu tat sarvaṃ teṣām eva hitāya teṣām eva parimocanāya	sugatO upapattizu tat sarvam tezAm eva hitAya tezAm eva parimocanAya
   pariṇāmayati |	pariNAmayati |
   tasyās tiryagyones tasmād duṣkhârṇavāt tasmād duṣkhôpādānāt tasmād	tasyAH tiryagyoneH tasmAt duzKârNavAt tasmAt duzKô-pAdAnAt tasmAt-
   duṣkhaskandhāt tasmād duṣkhāvedanāyāḥ |	duzKa-skanDAt tasmAt duzKa-AvedanAyAH |
   tasmād duṣkhôpacayāt tasmād duṣkhâbhisaṃskā-	tasmAt duzKôpacayAt tasmAt duzKâBisaMskA-
   [ Bendall ed p216 ---> ]	[ Bet-dalt ed p216 ---> ]
   rāt tasmād duṣkhanidānāt tato duṣkhamūlāt tasmād duṣkhâyatanāt teṣāṃ	rAt tasmAt duzKa-nidAnAt tatas duzKa-mUlAt tasmAt duzKâyatanAt tezAm
   satvānāṃ vinivartanāya pariṇāmayati tadārambaṇena ca	satvAnAm vinivartanAya pariNAmayati tad-ArambaNena ca
   sarvasatvârambaṇīkaroti manasikaroti |	sarva-satvârambaNIkaroti manasikaroti |
   tatra kuśalamūle pūrvaṅgamīkaroti |	tatra kuSala-mUle pUrvaFgam-Ikaroti |
   yad idaṃ sarvajñatāyāṃ pariṇāmayati |	yat idam sarvajQa-tAyAm pariNAmayati |
   [ Cambridge MS f100a ---> ]	[ Cambridge M f100aH ---> ]
   bodhicittôtpādena pratigṛhṇāti |	boDi-cittôt-pAdena pratigRhNAti |
   tatra kuśalamūlam upanayati |	tatra kuSala-mUlam upanayati |
   saṃsārakāntārād vinivartayati |	saMsAra-kAntArAt vinivartayati |
   anāvaraṇena buddhasukhenâbhimukhīkaroti |	anAvaraNena budDa-suKenâBimuKIkaroti |
