   samāsasūtra -	samAsa-sUtra -
   tathā bhūtendriyāhaṅkārabuddhyupāsanaṃ vaikṛtaḥ puruṣatattvamajānataḥ	taTA BUta-indriya-ahaFkAra-budDi-upAsanam vEkRtaH puruza-tattvam-ajAnataH
   kevalamiṣṭāpūrtakāriṇo dākṣiṇa iti trayāṇāmiti puruṣasvarūpavedakatvābhāve	kevalam-izwApUrta-kAriNaH dAkziNaH iti trayANAm-iti puruza-svarUpa-vedakatva-aBAve
   bandhakatvam // 20 //	banDaka-tvam // 20 //
   nanvetadajñānatrayanivṛttau kīdṛśo mokṣo jāyata ityāha /	nanu-etat-ajQAna-traya-nivRttO kIdRSaH mokzaH jAyate iti-Aha /
   trividho mokṣaḥ // Tats_21 //	triviDaH mokzaH // Tats_21 //
   iṣṭāpūrtādikarmasvasāratāṃ puruṣasvarūpopalabdhereva sāratāṃ	izwApUrta-Adi-karma-su-asAra-tAm puruza-svarUpa-upalabDeH-eva sAra-tAm
   buddhyamānasya prathamaḥ tato bhūtendriyādiṣvapi vikāratāṃ tataḥ	budDyamAnasya praTamaH tatas BUta-indriya-Adizu-api vikAra-tAm tatas-
   pṛthagātmānaṃ jānataḥ prakṛtirūpastṛtīyaḥ /	pRTak-AtmAnam jAnataH prakRti-rUpaH-tRtIyaH /
   yadyapi prathamadvitīyau na tāttvikamokṣau tathāpyaikadeśikānyatākhyatyā	yadi-api praTama-dvitIyO na tAttvika-mokzO taTA-api-Eka-deSika-anyatA-AKyatyA
   tāvadbandhāpagamena mokṣatvavyavahāra iti draṣṭavyam /	tAvat-banDa-apagamena mokza-tva-vyavahAraH iti drazwavyam /
   atra bandhamokṣasaṃsārāḥ prakṛtāveva na puruṣe	atra banDa-mokza-saMsArAH prakRtO=-eva na puruze
   savāsanakleśakarmāśayānāmapariṇāmini puruṣe 'sambhavāt tathā ca	sa-vAsana-kleSa-karma-ASayAnAm-apariNAmini puruze asamBavAt taTA ca
   bhṛtyajayaparājayayoḥ svāminyupacārāt prakṛtigatānāṃ bandhādīnāṃ puruṣe	BRtya-jaya-parAjayayoH svAmini-upacArAt prakRti-gatAnAm banDa-AdInAm puruze
   upacāra eva bhogāpavargayoḥ prakṛtigatayorapi vivekāgrahāt	upacAraH eva Boga-apavargayoH prakRti-gatayoH-api viveka-agrahAt
   puruṣasambandhaḥ susādhito bhavati /	puruza-sambanDaH su-sADitaH Bavati /
   evaṃ ca dharmajñānājñānavairāgyāvairāgyaiśvaryānaiśvaryaiḥ saptabhī rūpaiḥ	evam ca Darma-jQAna-ajQAna-vErAgya-avErAgya-ESvarya-anESvaryEH saptaBiH rUpEH
   prakṛtirbhogāpavargarūpapuruṣārthaṃ pratyātmānaṃ badhnāti tattvajñānena	prakRtiH-Boga-apavarga-rUpa-puruza-arTam pratyAtmAnam baDnAti tattva-jQAnena
   vivekakhyātyā ekena rūpeṇa vimocayati itīdṛśasya	viveka-KyAtyA ekena rUpeNa vimocayati iti-IdRSasya
   tattvajñānasyābhyāsādādaranairantaryadīrghakālasevitāt	tattva-jQAnasya-aByAsAt-Adara-nErantarya-dIrGa-kAla-sevitAt
   sattvapuruṣānyatāsākṣātkāri kevalaṃ jñānamutpadyate tenānādirapi	sattva-puruza-anya-tA-sAkzAt-kAri kevalam jQAnam-utpadyate tena-anAdiH-api
   viparyayavāsanā pratibadhyate tataścādhyavasāyābhimānasaṅkalpālocanāni	viparyaya-vAsanA pratibaDyate tatas-ca-aDyavasAya-aBimAna-saFkalpa-AlocanAni
   antarāṇi bāhyāśca sarve vyāpārā ātmani pratiṣiddhā bhavanti ayameva mokṣa	antarANi bAhyAH-ca sarve vyApArAH Atmani pratizidDAH Bavanti ayam-eva mokza
   iti siddhāntaḥ // 21 //	iti sidDAntaH // 21 //
   nanu puruṣaprakṛtyādīnāmalakṣyāṇāṃ lakṣyāṇāṃ ca	nanu puruza-prakRti-AdInAm-alakzyANAm lakzyANAm ca
   ghaṭapaṭādīnāmakhilaprameyāṇāṃ laukikaiḥ kathamanubhavo vidheyo 'ta āha /	Gawa-pawa-AdInAm-aKila-prameyANAm lOkikEH kaTam-anuBavaH viDeyaH atas Aha /
   trividhaṃ pramāṇam // Tats_22 //	triviDam pramANam // Tats_22 //
   asandigdhāviparītānadhigataviṣayā cittavṛttirbodhaśca pauruṣeyaḥ phalaṃ	asandigDa-aviparItAn-aDigata-vizayA citta-vRttiH-boDaH-ca pOruzeyaH Palam
   pramā tasyāḥ karaṇaṃ pramāṇam /	pramA tasyAH karaNam pramANam /
   tat trividhaṃ pratyakṣānumānaśabdabhedāt /	tat triviDam pratyakza-anumAna-Sabda-BedAt /
   etenādhikānyupamānādīni naiyāyikādyabhyupagatāni pramāṇāni	etena-aDikAni-upamAna-AdIni nEyAyika-Adi-aByupagatAni pramANAni
   eṣvevāntarbhavantīti nātiriktānyupayujyante /	ezu-eva-antarBavanti-iti na-atiriktAni-upayujyante /
   tatrārthasannikṛṣṭamindriyaṃ pratyakṣam /	tatra-arTa-sannikRzwam-indriyam pratyakzam /
   vyāpyavyāpakabhāvapakṣadharmatājñānapūrvakamanumānam /	vyApya-vyApaka-BAva-pakza-Darma-tA-jQAna-pUrvakam-anumAnam /
   āptavacanādvedādirūpācchabdamiti /	Apta-vacanAt-veda-Adi-rUpAt-Sabdam-iti /
   viśeṣata eṣāṃ lakṣaṇodāharaṇānyākarādavaseyānīti śivam // 22 //	viSezate ezAm lakzaNa-udAharaNAni-AkarAt-avaseyAni-iti Sivam // 22 //
   ekasmiṃstriguṇātmatattvayutito jātā dvidhā sāpyato dvitvaṃ prāpya	ekasmin=-triguNa-Atma-tattva-yutitaH jAtAH dviDA sA-api-atas dvi-tvam prApya
   prakāśayatyavirataṃ bhogāpavargau svataḥ /	prakASayati-aviratam Boga-apavargO svatas /
   ityevaṃ parisūcayan matimatāṃ mohāpahaṃ kāpilaṃ sūtrāṇāmamalaṃ	iti-evam parisUcayan matimatAm moha-apaham kApilam sUtrANAm-amalam
   dvikadvayamidaṃ jīyācciraṃ cetasi //	dvika-dvayam-idam jIyAt-ciram cetasi //
   iti sarvopakāriṇī saṃkṣiptakāpilasūtravṛttiḥ samāptā //	iti sarva-upakAriNI saMkzipta-kApila-sUtra-vRttiH samAptAH //
