   Yāmunācāryaḥ: Saṃvitsiddhiḥ	YAmunA-AcAryaH: SaMvid-sidDiH
   saiva cedbhāsate 'nyac cen na brūmas tasya bhāsanam // YSvs_168 //	sA-eva ced-BAsate anyat ced na brUmaH tasya BAsanam // YSvH-_168 //
   kiṃcāsyāḥ svaprakāśāyā nīrūpāyā na hi svataḥ // YSvs_169 //	kiMca-asyAH sva-prakASAyAH nIrUpAyAH na hi svatas // YSvH-_169 //
   ṛte viṣayanānātvān nānātvāvagrahabhramaḥ // YSvs_170 //	Rte vizaya-nAnA-tvAt nAnA-tva-avagraha-BramaH // YSvH-_170 //
   na vastu vastudharmo vā na pratyakṣo na laiṅgikaḥ // YSvs_171 //	na vastu vastu-DarmaH vA na pratyakzaH na lEFgikaH // YSvH-_171 //
   ghaṭādivedyabhedo 'pi kevalaṃ bhramalakṣaṇaḥ // YSvs_172 //	Gawa-Adi-vedya-BedaH api kevalam Brama-lakzaNaH // YSvH-_172 //
   yadā tadā tadāyatto dhībhedāvagrahodayaḥ // YSvs_173 //	yadA tadA tad-AyattaH DI-Beda-avagraha-udayaH // YSvH-_173 //
   kutaḥ kutastarāṃ tasya paramārthatvasambhavaḥ // YSvs_174 //	kutas kutastarAm tasya paramArTa-tva-samBavaH // YSvH-_174 //
   kiṃca svayamprakāśasya svato vā parato 'pi vā // YSvs_175 //	kiMca svayam-prakASasya svatas vA paratas api vA // YSvH-_175 //
   prāgabhāvādisiddhiḥ syāt svatas tāvan na yujyate // YSvs_176 //	prAc-aBAva-Adi-sidDiH syAt svatas tAvat na yujyate // YSvH-_176 //
   svasmin sati viruddhatvād abhāvasyānavasthiteḥ // YSvs_177 //	svasmin sati virudDa-tvAt aBAvasya-anavasTiteH // YSvH-_177 //
   svanimittaprakāśasya svasyābhāve 'py asambhavāt // YSvs_178 //	sva-nimitta-prakASasya svasya-aBAve api asamBavAt // YSvH-_178 //
   ananyagocaratvena cito na parato 'pi ca // YSvs_179 //	ananya-gocara-tvena citaH na paratas api ca // YSvH-_179 //
   kiṃca vedyasya bhedāder na ciddharmatvasambhavaḥ // YSvs_180 //	kiMca vedyasya Beda-AdeH na cit-Darma-tva-samBavaH // YSvH-_180 //
   rūpādivad ataḥ saṃvid advitiyā svayamprabhā // YSvs_181 //	rUpa-Adi-vat atas saMvid advitiyA svayampraBA // YSvH-_181 //
   atas tadbhedam āśritya yad vikalpādijalpitam // YSvs_182 //	atas tad-Bedam ASritya yat vikalpa-Adi-jalpitam // YSvH-_182 //
   tad avidyāvilāso 'yam iti brahmavido viduḥ // YSvs_183 //	tat avidyA-vilAsaH ayam iti brahma-vidaH viduH // YSvH-_183 //
   hanta brahmopadeśo 'yaṃ śraddadhāneṣu śobhate // YSvs_184 //	hanta brahma-upadeSaH ayam SraddaDAnezu SoBate // YSvH-_184 //
   vayam aśraddadhānāḥ smo ye yuktiṃ prārthayāmahe // YSvs_185 //	vayam aSraddaDAnAH smaH ye yuktim prArTayAmahe // YSvH-_185 //
   pratipramātṛviṣayaṃ parasparavilakṣaṇāḥ // YSvs_186 //	pratipramAtR-vizayam paraspara-vilakzaNAH // YSvH-_186 //
   aparokṣaṃ prakāśante sukhaduḥkhādivad dhiyaḥ // YSvs_187 //	aparokzam prakASante suKa-duHKa-Adi-vat DiyaH // YSvH-_187 //
   sambandhivyaṅgyabhedasya saṃyogecchādikasya naḥ // YSvs_188 //	sambanDi-vyaFgya-Bedasya saMyoga-icCA-Adikasya naH // YSvH-_188 //
   na hi bhedaḥ svato nāsti nāpratyakṣaś ca saṃmataḥ // YSvs_189 //	na hi BedaH svatas na-asti na-apratyakzaH ca saMmataH // YSvH-_189 //
   yadi sarvagatā nityā saṃvid evābhyupeyate // YSvs_190 //	yadi sarva-gatA nityA saMvid eva-aByupeyate // YSvH-_190 //
   tataḥ sarvaṃ sadā bhāyān na vā kiṃcit kadācana // YSvs_191 //	tatas sarvam sadA BAyAt na vA kiMcid kadAcana // YSvH-_191 //
   tadānīṃ na hi vedyasya sannidhītarakāritā // YSvs_192 //	tadAnIm na hi vedyasya sanniDItara-kAritAH // YSvH-_192 //
   vyavasthā ghaṭate vitter vyomavadvaibhavāśrayāt // YSvs_193 //	vyavasTA Gawate vitteH vyoma-vat-vEBava-ASrayAt // YSvH-_193 //
   nāpi kāraṇabhedena nityāyās tadabhāvataḥ // YSvs_194 //	na-api kAraNa-Bedena nityAyAH tad-aBAvataH // YSvH-_194 //
   na ca svarūpanānātvāt tadekatvaparigrahāt // YSvs_195 //	na ca svarUpa-nAnA-tvAt tad-eka-tva-parigrahAt // YSvH-_195 //
   tataś ca badhirāndhādeḥ śabdādigrahaṇaṃ bhavet // YSvs_196 //	tatas ca baDira-anDa-AdeH Sabda-Adi-grahaNam Bavet // YSvH-_196 //
   guruśiṣyādibhedaś ca nirnimittaḥ prasajyate // YSvs_197 //	guru-Sizya-Adi-BedaH ca nirnimittaH prasajyate // YSvH-_197 //
   nanu naḥ saṃvido bhinnaṃ sarvaṃ nāma na kiṃcana // YSvs_198 //	nanu naH saMvidaH Binnam sarvam nAma na kiMcana // YSvH-_198 //
   ataḥ sarvaṃ sadā bhāyād ity akāṇḍe 'nuyujyate // YSvs_199 //	atas sarvam sadA BAyAt iti akANxe anuyujyate // YSvH-_199 //
   idam ākhyāhi bhoḥ kiṃ nu nīlādir na prakāśate // YSvs_200 //	idam AKyAhi BoH kim nu nIla-AdiH na prakASate // YSvH-_200 //
   prakāśamāno nīlādiḥ saṃvido vā na bhidyate // YSvs_201 //	prakASamAnaH nIla-AdiH saMvidaH vA na Bidyate // YSvH-_201 //
   ādau pratītisubhago nirvāho lokavedayoḥ // YSvs_202 //	AdO pratIti-suBagaH nirvAhaH loka-vedayoH // YSvH-_202 //
   yataḥ padapadārthādi na kiṃcid avabhāsate // YSvs_203 //	yatas pada-padArTa-Adi na kiMcid avaBAsate // YSvH-_203 //
   dvitīye saṃvido 'dvaitaṃ vyāhanyeta samīhitam // YSvs_204 //	dvitIye saMvidaH advEtam vyAhanyeta samIhitam // YSvH-_204 //
   yady ayaṃ vividhākāra- prapañcaḥ saṃvidātmakaḥ // YSvs_205 //	yadi ayam viviDa-AkAra prapaQcaH saMvid-AtmakaH // YSvH-_205 //
   sāpi saṃvit tadātmeti yato nānā prasajyate // YSvs_206 //	sA-api saMvid tadA-AtmA-iti yatas nAnA prasajyate // YSvH-_206 //
   na cāvidyāvilāsatvād bhedābhedānirūpaṇā // YSvs_207 //	na ca-avidyA-vilAsa-tvAt Beda-aBedAnirUpaNAH // YSvH-_207 //
   sā hi nyāyānalaspṛṣṭā jāṭuṣābharaṇāyate // YSvs_208 //	sA hi nyAya-anala-spRzwAH jAwuzA-ABaraNAyate // YSvH-_208 //
   tathā hi yady avidyeyaṃ vidyābhāvātmikeṣyate // YSvs_209 //	taTA hi yadi avidyA-iyam vidyA-aBAva-AtmikA-izyate // YSvH-_209 //
   nirupākhyasvabhāvatvāt sā na kiṃcin niyacchati // YSvs_210 //	nirupAKya-svaBAva-tvAt sA na kiMcid niyacCati // YSvH-_210 //
   arthāntaram avidyā cet sādhvī bhedānirūpaṇā // YSvs_211 //	arTa-antaram avidyA ced sADvI BedAnirUpaNAH // YSvH-_211 //
   arthānarthāntaratvādi- vikalpo 'syā na yujyate // YSvs_212 //	arTa-anarTa-antara-tva-Adi vikalpaH asyAH na yujyate // YSvH-_212 //
   vidyāto 'rthāntaraṃ cāsāv iti suvyāhṛtaṃ vacaḥ // YSvs_213 //	vidyAtaH arTa-antaram ca-asO iti su-vyAhRtam vacaH // YSvH-_213 //
   athārthāntarabhāvo 'pi tasyās te bhrāntikalpitaḥ // YSvs_214 //	aTa-arTa-antara-BAvaH api tasyAH te BrAnti-kalpitaH // YSvH-_214 //
   hantaivaṃ saty avidyaiva vidyā syāt paramārthataḥ // YSvs_215 //	hanta-evam sati avidyA-eva vidyA syAt paramArTataH // YSvH-_215 //
   kiṃca śuddhājaḍā saṃvid avidyeyaṃ tu nedṛśī // YSvs_216 //	kiMca SudDa-ajaxA saMvid avidyA-iyam tu na-IdRSI // YSvH-_216 //
   tat kena hetunā seyam anyaiva na nirūpyate // YSvs_217 //	tat kena hetunA sA-iyam anyA-eva na nirUpyate // YSvH-_217 //
   api ceyam avidyā te yadabhāvādirūpiṇī // YSvs_218 //	api ca-iyam avidyA te yad-aBAva-Adi-rUpiNI // YSvH-_218 //
   sā vidyā kiṃ nu saṃvittir vedyaṃ vā veditāthavā // YSvs_219 //	sA vidyA kim nu saMvittiH vedyam vA veditA-aTavA // YSvH-_219 //
   vedyatve veditṛtve ca nāsyās tābhyāṃ nivartanam // YSvs_220 //	vedya-tve veditR-tve ca na-asyAH tAByAm nivartanam // YSvH-_220 //
   na hi jñānād ṛte 'jñānam anyatas te nivartate // YSvs_221 //	na hi jQAnAt Rte ajQAnam anyatas te nivartate // YSvH-_221 //
   saṃvid eveti cet tasyā nanu bhāvād asambhavaḥ // YSvs_222 //	saMvid eva-iti ced tasyAH nanu BAvAt asamBavaH // YSvH-_222 //
   kiṃceyaṃ tadviruddhā vā na tasyāḥ kvāpi sambhavaḥ // YSvs_223 //	kiMca-iyam tad-virudDAH vA na tasyAH kvApi samBavaH // YSvH-_223 //
   yato 'khilaṃ jagad vyāptaṃ vidyayaivādvitīyayā // YSvs_224 //	yatas aKilam jagat vyAptam vidyayA-eva-advitIyayA // YSvH-_224 //
   abhāvo 'nyo viruddho vā saṃvido 'pi yadīṣyate // YSvs_225 //	aBAvaH anyaH virudDaH vA saMvidaH api yadi-izyate // YSvH-_225 //
   tadānīṃ saṃvidadvaita- pratijñāṃ dūratas tyaja // YSvs_226 //	tadAnIm saMvid-advEta pratijQAm dUratas tyaja // YSvH-_226 //
   kiṃcāsau kasya jīvasya ko jīvo yasya seti cet // YSvs_227 //	kiMca-asO kasya jIvasya kaH jIvaH yasya sA-iti ced // YSvH-_227 //
   nanv evam asamādhānam anyonyāśrayaṇaṃ bhavet // YSvs_228 //	nanu evam asamADAnam anyonya-ASrayaNam Bavet // YSvH-_228 //
   narte jīvād avidyā syān na ca jīvas tayā vinā // YSvs_229 //	na-Rte jIvAt avidyA syAt na ca jIvaH tayA vinA // YSvH-_229 //
   na bījāṅkuratulyatvaṃ jīvotpatter ayogataḥ // YSvs_230 //	na bIja-aFkura-tulya-tvam jIva-utpatteH ayogataH // YSvH-_230 //
   brahmaṇaś cen na sarvajñaṃ kathaṃ tad bambhramīti te // YSvs_231 //	brahmaNaH ced na sarvajQam kaTam tat bamBrami-iti te // YSvH-_231 //
   avidyākṛtadehātma- pratyayādhīnatā na te // YSvs_232 //	avidyA-kRta-deha-Atma pratyaya-aDIna-tA na te // YSvH-_232 //
   brahmasarvajñabhāvasya tatsvābhāvikatāśruteḥ // YSvs_233 //	brahma-sarvajQa-BAvasya tad-svABAvika-tA-SruteH // YSvH-_233 //
   bhedāvabhāsagarbhatvād atha sarvajñatā mṛṣā // YSvs_234 //	Beda-avaBAsa-garBa-tvAt aTa sarvajQa-tA mRzA // YSvH-_234 //
   tata evāmṛṣā kasmān na syāc chabdāntarādivat // YSvs_235 //	tatas eva-amRzA kasmAt na syAt Sabda-antara-Adi-vat // YSvH-_235 //
   yathā śabdāntarābhyāsa- saṅkhyādyāḥ śāstrabhedakāḥ // YSvs_236 //	yaTA Sabda-antara-aByAsa saFKI-A-AdyAH SAstra-BedakAH // YSvH-_236 //
   bhedāvabhāsagarbhāś ca yathārthās tādṛśī na kim // YSvs_237 //	Beda-avaBAsa-garBAH ca yaTArTAH tAdRSI na kim // YSvH-_237 //
   sarvajñe nityamukte 'pi yady ajñānasya sambhavaḥ // YSvs_238 //	sarvajQe nityam-ukte api yadi ajQAnasya samBavaH // YSvH-_238 //
   tejasīva tamas tasmān na nivarteta kenacit // YSvs_239 //	tejasi-iva tamaH tasmAt na nivarteta kenacid // YSvH-_239 //
   sarvajñatvādivacana- prāmāṇyaṃ vyāvahārikam // YSvs_240 //	sarvajQa-tva-Adi-vacana prAmANyam vyAvahArikam // YSvH-_240 //
   tāttvikaṃ tu pramāṇatvam advaitavacasām iti // YSvs_241 //	tAttvikam tu pramANa-tvam advEta-vacasAm iti // YSvH-_241 //
   niyāmakaṃ na paśyāmo nirbandhāt tāvakād ṛte // YSvs_242 //	niyAmakam na paSyAmaH nirbanDAt tAvakAt Rte // YSvH-_242 //
   āśrayapratiyogitve parasparavirodhinī // YSvs_243 //	ASraya-pratiyogi-tve paraspara-viroDinI // YSvH-_243 //
   kathaṃ vaikarasaṃ brahma sad iti pratipadyate // YSvs_244 //	kaTam vA-eka-rasam brahma sat iti pratipadyate // YSvH-_244 //
   pratyaktvenāśrayo brahma- rūpeṇa pratiyogi cet // YSvs_245 //	pratyaktvena-ASrayaH brahma rUpeNa pratiyogi ced // YSvH-_245 //
   (em.; pratyaktatvenāśrayo Ed /unmetrical)	(em.; pratyakta-tvena-ASrayaH Et /unmetri-cal)
   rūpabhedaḥ kutastyo 'yaṃ yady avidyāprasādajaḥ // YSvs_246 //	rUpa-BedaH kutastyaH ayam yadi avidyA-prasAda-jaH // YSvH-_246 //
   nanu sāpi tadāyattety anyonyāśrayaṇaṃ punaḥ // YSvs_247 //	nanu sA-api tat-AyattA-iti anyonya-ASrayaNam punar // YSvH-_247 //
   avastutvād avidyāyāḥ (naitat taddūṣaṇaṃ yadi) // YSvs_248 //	avastu-tvAt avidyAyAH (na-etat tad-dUzaNam yadi) // YSvH-_248 //
   vastuno dūṣaṇatvena tvayā kvedaṃ nirīkṣitam // YSvs_249 //	vastunaH dUzaNa-tvena tvayA kva-idam nirIkzitam // YSvH-_249 //
   (svasādhyasya puraḥ)kārād doṣo 'nyonyasamāśrayaḥ // YSvs_250 //	(su-asADyasya puraH)kArAt dozaH anyonya-samASrayaH // YSvH-_250 //
   na vastutvād avastutvād ity ato nedam uttaram // YSvs_251 //	na vastu-tvAt avastu-tvAt iti atas na-idam uttaram // YSvH-_251 //
   kiṃca vidyā na ced (vastu vyavahāraḥ kutas tv ayam) // YSvs_252 //	kiMca vidyA na ced (vastu vyavahAraH kutas tu ayam) // YSvH-_252 //
   (na caiṣa vyoma)puṣpādi- vyavahāravad iṣyate // YSvs_253 //	(na ca-eza vyoma)-puzpa-Adi vyavahAra-vat izyate // YSvH-_253 //
   nāpy avastv iti co(ktis te vastutāṃ tatra sādhayet) // YSvs_254 //	na-api avastu iti ca-u(ktiH te vastu-tAm tatra sADayet) // YSvH-_254 //
   (niṣidhyate) samastena nañā vastv iti cet (na tat) // YSvs_255 //	(niziDyate) samastena naQAH vastu iti ced (na tat) // YSvH-_255 //
   samastena nañā vastu prathamaṃ yan niṣidhyate // YSvs_256 //	samastena naQA vastu praTamam yat niziDyate // YSvH-_256 //
   pratiprasūtaṃ vyastena punas tad iti vastutā // YSvs_257 //	pratiprasUtam vyastena punar tat iti vastu-tAH // YSvH-_257 //
   ato na vastu nā(vastu yāvidyā tadbale sati) // YSvs_258 //	atas na vastu na-a(vastu yA-avidyA tad-bale sati) // YSvH-_258 //
   (bhedo) na kaś cakāstiti vivakṣīr mā sma jātucit // YSvs_259 //	(BedaH-) na kaH cakAstiti vivakzIH mA sma jAtucit // YSvH-_259 //
   kiṃca prapañcanirvāha- jananī yeyam āśritā // YSvs_260 //	kiMca prapaQca-nirvAha jananI yA-iyam ASritAH // YSvH-_260 //
   avidyā sā kim ekaiva naikā vā tad idaṃ vada // YSvs_261 //	avidyA sA kim ekA-eva na-ekA vA tat idam vada // YSvH-_261 //
   tadāśrayaś ca saṃsārī tathaiko naika eva vā // YSvs_262 //	tad-ASrayaH ca saMsArI taTA-ekaH na-ekaH eva vA // YSvH-_262 //
   sā ced ekā tataḥ saikā śukasya brahmavidyayā // YSvs_263 //	sA ced ekA tatas sA-ekA Sukasya brahma-vidyayA // YSvH-_263 //
   pūrvam eva nirasteti vyarthas te muktaye śramaḥ // YSvs_264 //	pUrvam eva nirastA-iti vyarTaH te muktaye SramaH // YSvH-_264 //
   syān mataṃ naiva te santi vāmadevaśukādayaḥ // YSvs_265 //	syAt matam na-eva te santi vAmadeva-Suka-AdayaH // YSvH-_265 //
   yadvidyayā nirastatvān nādyāvidyeti codyate // YSvs_266 //	yat-vidyayA nirasta-tvAt na-adya-avidyA-iti codyate // YSvH-_266 //
   muktāmuktādibhedo hi kalpito madavidyayā // YSvs_267 //	muktA-muktA-Adi-BedaH hi kalpitaH mada-vidyayA // YSvH-_267 //
   dṛśyatvān māmakasvapna- dṛśyabhedaprapañcavat // YSvs_268 //	dRSya-tvAt mAmaka-svapna dRSya-Beda-prapaQca-vat // YSvH-_268 //
   yat punar brahmavidyātas teṣāṃ muktir abhūd iti // YSvs_269 //	yat punar brahma-vidyAtaH tezAm muktiH aBUt iti // YSvH-_269 //
   vākyaṃ tat svāpnamuktyukti- yuktyā pratyūhyatām iti // YSvs_270 //	vAkyam tat svApna-mukti-ukti yuktyA pratyUhyatAm iti // YSvH-_270 //
   nanv īdṛśānumānena svāvidyāparikalpitam // YSvs_271 //	nanu IdRSa-anumAnena sva-avidyA-parikalpitam // YSvH-_271 //
   prapañcaṃ sādhayaty anyaḥ kathaṃ pratyucyate tvayā // YSvs_272 //	prapaQcam sADayati anyaH kaTam pratyucyate tvayA // YSvH-_272 //
   tvadavidyānimittatve yo hetus te vivakṣitaḥ // YSvs_273 //	tvad-avidyA-nimitta-tve yaH hetuH te vivakzitaH // YSvH-_273 //
   sa eva hetus tasyāpi bhavet sarvajñasiddhivat // YSvs_274 //	saH eva hetuH tasya-api Bavet sarvajQa-sidDi-vat // YSvH-_274 //
   ity anyonyaviruddhokti- vyāhate bhavatāṃ mate // YSvs_275 //	iti anyonya-virudDa-ukti vyAhate BavatAm mate // YSvH-_275 //
   mukham astīti yatkiṃcit pralapann iva lakṣyase // YSvs_276 //	muKam asti-iti yat-kiMcid pralapan iva lakzyase // YSvH-_276 //
   yathā ca svāpnamuktyukti- sadṛśī tadvimuktigīḥ // YSvs_277 //	yaTA ca svApna-m-ukti-ukti sadRSI tad-vimukti-gIH // YSvH-_277 //
   tathaiva bhavato 'pīti vyartho mokṣāya te śramaḥ // YSvs_278 //	taTA-eva BavataH api-iti vyarTaH mokzAya te SramaH // YSvH-_278 //
   yathā teṣām abhūtaiva purastād ātmavidyayā // YSvs_279 //	yaTA tezAm aBUta-eva purastAt Atma-vidyayA // YSvH-_279 //
   muktir bhūtocyate tadvat parastād ātmavidyayā // YSvs_280 //	muktiH BUtA-ucyate tadvat parastAt Atma-vidyayA // YSvH-_280 //
   abhāviny eva sā mithyā bhāvinīty apadiśyatām // YSvs_281 //	aBAvinI eva sA miTyA BAvinI-iti apadiSyatAm // YSvH-_281 //
   santi ca svapnadṛṣṭāni dṛṣṭāntavacanāni te // YSvs_282 //	santi ca svapna-dRzwAni dRzwAnta-vacanAni te // YSvH-_282 //
   nanu nedaṃ aniṣṭaṃ me yan muktir na bhaviṣyati // YSvs_283 //	nanu na-idam anizwam me yat muktiH na Bavizyati // YSvH-_283 //
   ātmano nityamuktatvān nityasiddhaiva sā yataḥ // YSvs_284 //	AtmanaH nitya-mukta-tvAt nitya-sidDA-eva sA yatas // YSvH-_284 //
   tad idaṃ śāntikarmādau vetālāvāhanaṃ bhavet // YSvs_285 //	tat idam SAnti-karma-AdO vetAlAvAhanam Bavet // YSvH-_285 //
   yenaivaṃ sutarāṃ vyartho brahmavidyārjanaśramaḥ // YSvs_286 //	yena-evam sutarAm vyarTaH brahma-vidyA-arjana-SramaH // YSvH-_286 //
   avidyāpratibaddhatvād atha sā nityasaty api // YSvs_287 //	avidyA-pratibadDa-tvAt aTa sA nityasati api // YSvH-_287 //
   asatīveti tadvyaktir vidyāphalam upeyate // YSvs_288 //	asatI-iva-iti tad-vyaktiH vidyA-Palam upeyate // YSvH-_288 //
   hastastham eva hemādi vismṛtaṃ mṛgyate yathā // YSvs_289 //	hasta-sTam eva hema-Adi vismRtam mRgyate yaTA // YSvH-_289 //
   yathā tad eva hastastham avagamyopaśāmyate // YSvs_290 //	yaTA tat eva hasta-sTam avagamya-upaSAmyate // YSvH-_290 //
   tathaiva nityamuktātma- svarūpānavabodhataḥ // YSvs_291 //	taTA-eva nitya-mukta-Atma sva-rUpa-anavaboDataH // YSvH-_291 //
   saṃsāriṇas tathābhāvo vyajyate brahmavidyayā // YSvs_292 //	saMsAriNaH taTA-aBAvaH vyajyate brahma-vidyayA // YSvH-_292 //
   hanta keyam abhivyaktir yā vidyāphalam iṣyate // YSvs_293 //	hanta kA-iyam aBivyaktiH yA vidyA-Palam izyate // YSvH-_293 //
   svaprakāśasya ciddhātor yā svarūpapade sthitā // YSvs_294 //	sva-prakASasya cit-DAtoH yA sva-rUpa-pade sTitAH // YSvH-_294 //
   saṃvit kiṃ saiva kiṃvāhaṃ brahmāsmītiti kidṛśī // YSvs_295 //	saMvid kim sA-eva kiMvAham brahma-asmi-it-iti kidRSI // YSvH-_295 //
   yadi svarūpasaṃvit sā nityaiveti na tatphalam // YSvs_296 //	yadi svarUpa-saMvid sA nityA-eva-iti na tad-Palam // YSvH-_296 //
   atha brahmāham asmīti saṃvittir vyaktir iṣyate // YSvs_297 //	aTa brahmA-aham asmi-iti saMvittiH vyaktiH izyate // YSvH-_297 //
   nanu te brahmavidyā sā saiva tasyāḥ phalaṃ kathaṃ // YSvs_298 //	nanu te brahma-vidyA sA sA-eva tasyAH Palam kaTam // YSvH-_298 //
   kiṃca sā tat tvam asyādi- vākyajanyā bhavanmate // YSvs_299 //	kiMca sA tat tvam asya-Adi vAkya-janyA Bavat-mate // YSvH-_299 //
   utpattimaty anityeti muktasyāpi bhayaṃ bhavet // YSvs_300 //	utpattimatI anityA-iti muktasya-api Bayam Bavet // YSvH-_300 //
   api ca vyavahārajñāḥ sati puṣkalakāraṇe // YSvs_301 //	api ca vyavahAra-jQAH sati puzkala-kAraNe // YSvH-_301 //
   kāryaṃ na jāyate yena tam āhuḥ pratibandhakam // YSvs_302 //	kAryam na jAyate yena tam AhuH pratibanDakam // YSvH-_302 //
   iha kiṃ tad yad utpattum upakrāntaṃ svahetutaḥ // YSvs_303 //	iha kim tat yat utpattum upakrAntam sva-hetutaH // YSvH-_303 //
   avidyāpratibaddhatvād utpattiṃ na prapadyate // YSvs_304 //	avidyA-pratibadDa-tvAt utpattim na prapadyate // YSvH-_304 //
   na muktir nityasiddhatvān na brahmāsmīti dhīr api // YSvs_305 //	na muktiH nitya-sidDa-tvAt na brahma-asmi-iti DIH api // YSvH-_305 //
   na hi brahmāham asmīti saṃvitpuṣkalakāraṇam // YSvs_306 //	na hi brahmA-aham asmi-iti saMvid-puzkala-kAraNam // YSvH-_306 //
   saṃsāriṇas tadāstīti kathaṃ sā pratibadhyate // YSvs_307 //	saMsAriNaH tadA-asti-iti kaTam sA pratibaDyate // YSvH-_307 //
   yataḥ sā kāraṇābhāvād idānīṃ nopajāyate // YSvs_308 //	yatas sA kAraNa-aBAvAt idAnIm na-upajAyate // YSvH-_308 //
   na punaḥ pratibaddhatvād asthāne tena tadvacaḥ // YSvs_309 //	na punar pratibadDa-tvAt asTAne tena tad-vacaH // YSvH-_309 //
   kiṃcaiko jīva ity etad vastusthityā na yujyate // YSvs_310 //	kiMca-ekaH jIvaH iti etat vastu-sTityA na yujyate // YSvH-_310 //
   avidyātatsamāśleṣa- jīvatvādi mṛṣā hi te // YSvs_311 //	avidyA-tad-samASleza jIvatu-Adi mRzA hi te // YSvH-_311 //
   prātibhāsikam ekatvaṃ pratibhāsaparāhatam // YSvs_312 //	prAtiBAsikam eka-tvam pratiBAsa-parAhatam // YSvH-_312 //
   yato naḥ pratibhāsante saṃsarantaḥ sahasraśaḥ // YSvs_313 //	yatas naH pratiBAsante saMsarantaH sahasraSas // YSvH-_313 //
   āsaṃsārasamucchedaṃ vyavahārāś ca tatkṛtāḥ // YSvs_314 //	AsaMsAra-samucCedam vyavahArAH ca tad-kRtAH // YSvH-_314 //
   abādhitāḥ pratīyante svapnavṛttavilakṣaṇāḥ // YSvs_315 //	abADitAH pratIyante svapna-vRtta-vilakzaNAH // YSvH-_315 //
   tena yauktikam ekatvam api yuktiparāhatam // YSvs_316 //	tena yOktikam eka-tvam api yukti-parAhatam // YSvH-_316 //
   pravṛttibhedānumitā viruddhamitivṛttayaḥ // YSvs_317 //	pravRtti-Beda-anumitAH virudDam-iti-vRttayaH // YSvH-_317 //
   tattatsvātmavad anye 'pi dehino 'śakyanihnavāḥ // YSvs_318 //	tad-tad-svAtma-vat anye api dehinaH aSakya-nihnavAH // YSvH-_318 //
   yathānumeyād vahnyāder anumānā (?) vilakṣaṇāḥ // YSvs_319 //	yaTA-anumeyAt vahni-AdeH anumAnAH (?) vilakzaNAH // YSvH-_319 //
   pratyakṣaṃ (?) te tathānyebhyo jīvebhyo na pṛthak katham // YSvs_320 //	pratyakzam (?) te taTA-anyeByaH jIveByaH na pRTak kaTam // YSvH-_320 //
   na cec ceṣṭāviśeṣeṇa paro boddhānumīyate // YSvs_321 //	na ced cezwA-viSezeNa paraH bodDA-anumIyate // YSvH-_321 //
   vyavahāro 'valupyeta sarvo laukikavaidikaḥ // YSvs_322 //	vyavahAraH avalupyeta sarvaH lOkika-vEdikaH // YSvH-_322 //
   na caupādhikabhedena meyamātṛvibhāgadhīḥ // YSvs_323 //	na ca-OpADika-Bedena meya-mAtR-viBAga-DIH // YSvH-_323 //
   svaśarīre 'pi tatprāpteḥ śiraḥpāṇyādibhedataḥ // YSvs_324 //	sva-SarIre api tad-prApteH SiraH-pANi-Adi-BedataH // YSvH-_324 //
   yathā tatra śiraḥpāṇi- pādādau vedanodaye // YSvs_325 //	yaTA tatra SiraH-pANi pAda-AdO vedanA-udaye // YSvH-_325 //
   anusandhānam ekatve tathā sarvatra te bhavet // YSvs_326 //	anusanDAnam eka-tve taTA sarvatra te Bavet // YSvH-_326 //
   prāyaṇān narakakleśāt prasūtivyasanād api // YSvs_327 //	prAyaNAt naraka-kleSAt prasUti-vyasanAt api // YSvH-_327 //
   cirātivṛttāḥ prāgjanma- bhogā na smṛtigocarāḥ // YSvs_328 //	cira-ativRttAH prAc-janma BogAH na smRti-gocarAH // YSvH-_328 //
   yugapaj jāyamāneṣu (sukhaduḥkhādiṣu sphuṭaḥ) // YSvs_329 //	yugapad jAyamAnezu (suKa-duHKa-Adizu sPuwaH) // YSvH-_329 //
   āśrayāsaṅkaras tatra katham aikārthyavibhramaḥ // YSvs_330 //	ASraya-asaFkaraH tatra kaTam EkArTya-viBramaH // YSvH-_330 //
   na ca prātisvikāvidyā- kalpitasvasvadṛśyakaiḥ // YSvs_331 //	na ca prAtisvika-avidyA kalpita-sva-sva-dRSyakEH // YSvH-_331 //
   jīvair anekair apy eṣā lokayātropapadyate // YSvs_332 //	jIvEH anekEH api ezA lokayAtrA-upapadyate // YSvH-_332 //
   paravārtānabhijñās te svasvasvapnaikadarśinaḥ // YSvs_333 //	para-vArtA-anaBijQAH te sva-sva-svapna-eka-darSinaH // YSvH-_333 //
   kathaṃ pravartayeyus tāṃ saṅgādyekanibandhanām // YSvs_334 //	kaTam pravartayeyuH tAm saFga-Adi-eka-nibanDanAm // YSvH-_334 //
   kiṃca svayamprakāśatva- vibhutvaikatvanityatāḥ // YSvs_335 //	kiMca svayam-prakASa-tva viBu-tvA-eka-tva-nitya-tAH // YSvH-_335 //
   tvadabhyupetā bādheran saṃvidas te 'dvitīyatām // YSvs_336 //	tvad-aByupetAH bADeran saMvidaH te advitIya-tAm // YSvH-_336 //
   saṃvid eva na te dharmāḥ siddhāyām api saṃvidi // YSvs_337 //	saMvid eva na te DarmAH sidDAyAm api saMvidi // YSvH-_337 //
