   ātmabhāvarakṣā ṣaṣṭhaḥ paricchedaḥ |	Atma-BAva-rakzA zazWaH paricCedaH |
   pralambapādaṃ nâsīta na bāhuṃ mardayet samam ||	pralamba-pAdam nâsIta na bAhum mardayet samam ||
   evaṃ svayam apy utprekṣya dṛṣṭvā śrutvā ca lokâprasādaṃ rakṣeta |	evam svayam api utprekzya dRzwvA SrutvA ca lokâprasAdam rakzeta |
   aprasādakaravacanavarjanaṃ tu na sukaram iti smaraṇabodhanârtham	aprasAda-kara-vacana-varjanam tu na sukaram iti smaraNa-boDanârTam
   upadarśyate |	upadarSyate |
   [ Bendall ed p126 ---> ]	[ Bet-dalt ed p126 ---> ]
   āryasāgaramatisūtre deśitaṃ |	Arya-sAgaram-atisUtre deSitam |
   nâvalīnavacano bhavati |	nâvalIna-vacanaH Bavati |
   na vyavakīrṇavacanaḥ |	na vyavakIrNa-vacanaH |
   nâvasyandanavacanaḥ |	nâvasyandana-vacanaH |
   nôjjvālanavacanaḥ |	nôjjvAlana-vacanaH |
   na rāgânunītavacanaḥ |	na rAgânunIta-vacanaH |
   na prākṛtavacanaḥ |	na prAkRta-vacanaH |
   nâsaṃrakṣitavacanaḥ |	nâ-saMrakzita-vacanaH |
   na vyāpādasaṃdhukṣaṇavacanaḥ |	na vyApAda-saMDukzaNa-vacanaH |
   na cañcalavacanaḥ |	na caQcala-vacanaH |
   na capalavacanaḥ |	na capala-vacanaH |
   na raṭaraṅga-	na rawa-raFga-
   [ Cambridge MS f64b ---> ]	[ Cambridge M f64B ---> ]
   vacanaḥ |	vacanaH |
   na mukhasākṣy-avaropaṇavacano bhavatîti ||	na muKa-sAkzy-avaropaNa-vacanaH Bavatîti ||
   āryatathāgataguhyasūtre 'py āha |	Arya-taTAgata-guhya-sUtre api Aha |
   na khalu punaḥ kulaputra bodhisatvasya vāg raktā vā duṣṭā vā mūḍhā vā	na Kalu punar kula-putra boDisatvasya vAc raktA vA duzwAH vA mUXA vA
   kliṣṭā vā |	klizwA vA |
   kṣuṇṇavyākaraṇā vā svapakṣôtkarṣaṇavacanā vā |	kzuNNa-vyAkaraNAH vA sva-pakzôt-karzaNa-vacanA vA |
   parapakṣanigrahavacanā vā |	para-pakza-nigraha-vacanA vA |
   ātmavarṇânunayavacanā vā |	Atma-varNâ-nunaya-vacanA vA |
   paravarṇapratighavacanā vā |	para-varNa-pratiGa-vacanAH vA |
   pratijñôttāraṇavacanā vā |	pratijQôt-tAraNa-vacanA vA |
   ābhimānikavyākaraṇavacanā vêti ||	ABimAnika-vyAkaraNa-vacanAH vêti ||
   āryadaśabhūmakasūtre 'py uktaṃ |	Arya-daSa-BUmaka-sUtre api uktam |
   yêyaṃ vāgamanojñā svasantānaparasantānavināśanī tathārūpāṃ vācaṃ prahāya |	yêyam vAgamanojQA sva-santAna-para-santAna-vinASanI taTArUpAm vAcam prahAya |
   yêyaṃ vāk snigdhā mṛdvī manojñā madhurā priyakaraṇī manâpakaraṇī [[DOUBT]]	yêyam vAc snigDA mRdvI manojQA maDurA priya-karaNI manâpakaraNI [[DOUBT]]
   hitakaraṇī karṇasukhā hṛdayaṃgamā premaṇī varṇaviṣpaṣṭā vijñeyā	hita-karaNI karNa-suKA hRdayaMgamA premaNI varNa-vizpazwA vijQeyA
   śravaṇīyâniśritā bahujanakāntā bahujanapriyā bahujanamanâpā [[DOUBT]]	SravaNIyâ-niSritA bahu-jana-kAntAH bahu-jana-priyAH bahu-janam-anâpAH [[DOUBT]]
   vijñapraśastā sarvasatvahitasukhâvahā manôtplāvakarī manaḥprahlādanakarī	vijQa-praSastA sarva-satva-hita-suKâvahA manôt-plAva-karI manaH-prahlAdana-karI
   svaparasantānapramodanakarī rāgadveṣamohasarvakleśâpraśāmanī tathārūpāṃ	sva-para-santAna-pramodana-karI rAga-dveza-moha-sarva-kleSâ-praSAmanI taTArUpAm
   vācaṃ niścārayati |	vAcam niScArayati |
   yāvad itihāsapūrvakam api vacanaṃ parihārya pariharatîti ||	yAvat itihAsa-pUrvakam api vacanam parihArya pariharatîti ||
   āryagaganagañjasūtre tûktaṃ |	Arya-gagana-gaQja-sUtre tûktam |
   guruvacanânavamardanatayā |	guru-vacanâ-nava-mardana-tayA |
   paravacanânācchindanatayā câdeyagrāhyavacano bhavatîti ||	para-vacanânAcCindana-tayA câdeya-grAhya-vacanaH Bavatîti ||
   [ Bendall ed p127 ---> ]	[ Bet-dalt ed p127 ---> ]
   dharmasaṃgītisūtre 'py uktaṃ |	Darma-saMgIti-sUtre api uktam |
   gaganagañjo bodhisatvâha |	gagana-gaQjaH boDisatvâha |
   na bodhisatvenâiṣā vāg bhāṣitavyā yayâparo vyāpadyeta |	na boDisatvenâizA vAc BAzitavyA yayâ-paraH vyApadyeta |
   na sā vāg bhāṣitavyā yayâparaṃ tāpayet |	na sA vAc BAzitavyA yayâ-param tApayet |
   na bodhisatvena sā vāg bhāṣitavyā yat paro jānīyāt |	na boDisatvena sA vAc BAzitavyA yat paraH jAnIyAt |
   na sā vāg bhāṣitavyā yayârthā nirarthā |	na sA vAc BAzitavyA yayârTAH nirarTAH |
   na bodhisatvena sā vāg bhāṣitavyā yayā na vidyām utpādayet |	na boDisatvena sA vAc BAzitavyA yayA na vidyAm utpAdayet |
   na sā vāg bhāṣitavyā yā satvānāṃ na hṛdayaṃgamā na paurī na karṇasukhā	na sA vAc BAzitavyA yA satvAnAm na hRdayaMgamA na pOrI na karNa-suKA
   [ Cambridge MS f65a ---> ]	[ Cambridge M f65aH ---> ]
   na sā vāg bhāṣitavyêti ||	na sA vAc BAzita-vyêti ||
   saṃkṣepatas tu parâprasādarakṣâryasāgaramatisūtre deśitā |	saMkzepataH tu parâprasAda-rakzârI-a-sAgaram-atisUtre deSitA |
   aparâika dharmo*mahāyānasaṃgrahāya saṃvartate svaskhalitapratyavekṣaṇatayā	aparâika Darma-u*-mahAyAna-saMgrahAya saMvartate sva-sKalita-pratyavekzaNa-tayA
   sarvasatvânurakṣêti ||	sarva-satvânurakzêti ||
   eṣā rakṣâtmabhāvasya |	ezA rakzâtma-BAvasya |
   yathâparair na nāśyeta |	yaTâparEH na nASyeta |
   yathā na parān na nāśayet |	yaTA na parAn na nASayet |
   asya tu granthavistarasyâyaṃ piṇḍârtho bodhisatvena manasā nityaṃ	asya tu granTa-vistarasyâyam piNxârTaH boDisatvena manasA nityam
   dhārayitavyaḥ ||	DArayitavyaH ||
   suniścalaṃ suprasannaṃ dhīraṃ sâdaragauravaṃ |	su-niScalam su-prasannam DIram sâdara-gOravam |
   salajjaṃ sabhayaṃ śāntaṃ parârādhanatatparam ||	sa-lajjam sa-Bayam SAntam parârADana-tatparam ||
   ātmasatvavaśaṃ nityam anavadyeṣu vastuṣu |	Atma-satva-vaSam nityam anavadyezu vastuzu |
   nirmāṇam iva nirmānaṃ dhārayāmy eṣa mānasam |	nirmANam iva nirmAnam DArayAmi eza mAnasam |
   iti ||	iti ||
   kim etāvatī ātmabhāvarakṣā |	kim etAvatI Atma-BAva-rakzAH |
   na hi |	na hi |
   kiṃ tarhi bhaiṣajyavasanâdibhiḥ saha |	kim tarhi BEzajya-vasanâdiBiH saha |
   tatra dvividhaṃ bhaiṣajyaṃ |	tatra dviviDam BEzajyam |
   satatabhaiṣajyaṃ glānapratyayabhaiṣajyaṃ ca |	satata-BEzajyam glAna-pratyaya-BEzajyam ca |
   tatra satatabhaiṣajyam adhikṛtyâryaratnameghe 'bhihitaṃ |	tatra satata-BEzajyam aDikRtyârya-ratna-meGe aBihitam |
   tasmāt piṇḍapātrād ekaṃ pratyaṃśaṃ sabrahmacāriṇāṃ sthāpayati |	tasmAt piNxa-pAtrAt ekam pratyaMSam sabrahmacAriNAm sTApayati |
   dvitīyaṃ duṣkhitānāṃ tṛtīyaṃ vinipatitānāṃ caturtham ātmanā paribhuṅkte |	dvitIyam duzKitAnAm tRtIyam vinipatitAnAm caturTam AtmanA pariBuFkte |
   paribhuñjāno na raktaḥ paribhuṅkte 'sakto 'gṛddho 'nadhyavasitaḥ |	pariBuQjAnaH na raktaH pariBuFkte asaktaH agRdDaH anaDyavasitaH |
   anyatra yāvad eva kāyasya sthitaye |	anyatra yAvat eva kAyasya sTitaye |
   yāpanāyai |	yApanAyE |
   tathā paribhuṅkte yathā nâtisaṃlikhito bhavati |	taTA pariBuFkte yaTA nâti-saMliKitaH Bavati |
   nâtigurukāyaḥ |	nâti-guru-kAyaH |
   [ Bendall ed p128 ---> ]	[ Bet-dalt ed p128 ---> ]
   tat kasya hetoḥ |	tat kasya hetoH |
   atisaṃlikhito hi kuśalapakṣaparāṅmukho bhavati |	ati-saMliKitaH hi kuSala-pakza-parAFmuKaH Bavati |
   atigurukāyo middhâvaṣṭabdho bhavati |	ati-guru-kAyaH midDâvazwabDaH Bavati |
   tena taṃ piṇḍapātaṃ paribhujya kuśalapakṣâbhimukhena bhavitavyam ity ādi	tena tam piNxa-pAtam pariBujya kuSala-pakzâBimuKena Bavitavyam iti Adi
   āryaratnarāśāv apy uktaṃ |	Arya-ratna-rASO api uktam |
   tena grāmaṃ vā nagaraṃ vā nigamaṃ vā piṇḍāya caratā dharmasaṃnāhaṃ	tena grAmam vA nagaram vA nigamam vA piNxAya caratA Darma-saMnAham
   saṃnahya piṇḍāya cartavyaṃ |	saMnahya piNxAya ca-rtavyam |
   tatra katamo dharmasaṃnāhaḥ |	tatra katamaH Darma-saMnAhaH |
   amanâpāni [[DOUBT]] rūpāṇi dṛṣṭvā na pratihantavyaṃ |	am-anâpAni [[DOUBT]] rUpANi dRzwvA na pratihantavyam |
   manâpāni [[DOUBT]] dṛṣṭvā nânunetavyaṃ |	manâpAni [[DOUBT]] dRzwvA nânunetavyam |
   evaṃ manâpâmanâpeṣu [[DOUBT]] śabdagandharasaspraṣṭavyeṣu vijñapteṣu nânu-	evam manâpâmanâpezu [[DOUBT]] Sabda-ganDa-rasa-sprazwavyezu vijQaptezu nânu-
   [ Cambridge MS f65b ---> ]	[ Cambridge M f65B ---> ]
   netavyaṃ na pratihantavyaṃ |	netavyam na pratihantavyam |
   indriyasusaṃvṛtenânutkṣiptacakṣuṣā yugamātraprekṣiṇā |	indriya-su-saMvRtenânutkzipta-cakzuzA yuga-mAtra-prekziNA |
   dāntâjāneyacittena pūrvadharmamanasikāram anutsṛjatā nâmiṣaprakṣiptayā	dAntâ-jAneya-cittena pUrva-Darma-manasikAram anutsRjatA nâmiza-prakziptayA
   santatyā piṇḍāya cartavyaṃ sâvadānacāriṇā ca bhavitavyaṃ |	santatyA piNxAya ca-rtavyam sâvadAna-cAriNA ca Bavitavyam |
   yataś ca piṇḍapāto labhyate tatrânunayo na kartavyaḥ yataś ca na labhyate	yatas ca piNxapAtaH laByate tatrânunayaH na kartavyaH yatas ca na laByate
   tatra pratighāto*nôtpādayitavyaḥ |	tatra pratiGAta-u*nôtpAdayitavyaH |
   daśakulapraveśe na câikādaśāt kulād bhikṣā na labhyate |	daSa-kula-praveSe na câikA-daSAt kulAt BikzA na laByate |
   tathâpi na paritaptavyaṃ evaṃ ca cittam utpādayitavyam |	taTâpi na paritaptavyam evam ca cittam utpAdayitavyam |
   evaṃ bahukṛtyā hy ete śramaṇabrāhmaṇagṛhapatayo na tair avaśyaṃ mama	evam bahu-kRtyAH hi ete SramaNa-brAhmaNa-gRhapatayaH na tEH avaSyam mama
   dātavyaṃ |	dAtavyam |
   idaṃ tāvad āścaryaṃ yan mām ete samanvāharanti |	idam tAvat AScaryam yat mAm ete samanvAharanti |
   kaḥ punar vādo yad bhikṣāṃ dāsyanti |	kaH punar vAdaH yat BikzAm dAsyanti |
   tenâivam aparitapatā piṇḍāya cartavyaṃ ||	tet-âivam aparitapatA piNxAya ca-rtavyam ||
   ye câsya satvāś cakṣuṣu ābhāsam āgacchanti strīpuruṣadārakadārikāḥ |	ye ca-asya satvAH cakzuzu ABAsam AgacCanti strI-puruza-dAraka-dArikAH |
   antaśas tiryagyonigatās tatra maitrīkaruṇācittam utpādayitavyaṃ |	antaSas tiryagyoni-gatAH tatra mEtrI-karuNA-cittam utpAdayitavyam |
   tathâhaṃ kariṣyāmi yathā ye me satvāś cakṣuṣâbhāsam āgacchanti piṇḍapātaṃ	taTâham karizyAmi yaTA ye me satvAH cakzuzâ-BAsam AgacCanti piNxa-pAtam
   vā dāsyanti tān sugatigāminaḥ kariṣyāmi |	vA dAsyanti tAn sugati-gAminaH karizyAmi |
   tādṛśaṃ yogam āpatsye |	tAdRSam yogam Apatsye |
   tena lūhaṃ vā praṇītaṃ vā piṇḍapāta saṃgṛhya samantāc caturdiśaṃ	tena lUham vA praNItam vA piNxapAta saMgRhya samantAt caturdiSam
   vyavalokayitavyaṃ |	vyavalokayitavyam |
   ka-	ka-
   [ Bendall ed p129 ---> ]	[ Bet-dalt ed p129 ---> ]
   iha grāmanagaranigame daridraḥ satvaḥ |	iha grAma-nagara-nigame daridraH satvaH |
   yasyâsmāt piṇḍapātāt saṃvibhāgaṃ kariṣyāmi |	yasyâsmAt piNxa-pAtAt saMviBAgam karizyAmi |
   yadi daridraṃ satvaṃ paśyati tena tatpiṇḍapātāt saṃvibhāgaḥ kartavyaḥ |	yadi daridram satvam paSyati tena tad-piNxa-pAtAt saMviBAgaH kartavyaH |
   atha na kañcit satvaṃ daridraṃ paśyati |	aTa na kaQcid satvam daridram paSyati |
   tenâivaṃ cittam utpādayitavyaṃ |	tet-âivam cittam utpAdayitavyam |
   santy anābhāsagatāḥ satvā ye mama cakṣuṣu ābhāsaṃ nâgacchanti |	santi anABAsa-gatAH satvAH ye mama cakzuzu ABAsam nâgacCanti |
   teṣām itaḥ piṇḍapātād agraṃ*pratyaṃśaṃ niryātayāmi |	tezAm itas piNxa-pAtAt agraM*pratyaMSam niryAtayAmi |
   dattâdānāḥ paribhuñjatāṃ |	dattâ-dAnAH pariBuQjatAm |
   tena tat piṇḍapātaṃ gṛhītvā tad araṇyâyatanam abhiruhya dhautapāṇinā	tena tat piNxa-pAtam gRhItvA tat araNyâyatanam aBiruhya DOtapANinA
   śobhanasamācāreṇa śramaṇacāritrakalpa-	SoBana-samAcAreNa SramaNa-cAritra-kalpa-
   [ Cambridge MS f66a ---> ]	[ Cambridge M f66aH ---> ]
   samatvâgatenâdhiṣṭhānâdhiṣṭhitena paryaṅkaṃ baddhvā sapiṇḍapātaḥ	sama-tvâgatenâDizWAn-âDizWitena paryaFkam badDvA sapiNxapAtaH
   paribhoktavyaḥ ||pe ||	pariBoktavyaH ||pe ||
   paribhuñjatā câivaṃ manasikārôtpādayitavyaḥ |	pariBuQjatA câivam manasikArôt-pAdayitavyaH |
   santy asmin kāye 'śītiḥ krimikulasahasrāṇi |	santi asmin kAye aSItiH krimi-kula-sahasrANi |
   tāny anenâivâujasā sukhaṃ phāsuṃ viharantu |	tAni anenâivâujasA suKam PAsum viharantu |
   idānīṃ câiṣām āmiṣeṇa saṃgrahaṃ kariṣyāmi |	idAnIm câizAm AmizeNa saMgraham karizyAmi |
   bodhiprāptaś ca punar dharmeṇa saṃgrahaṃ kariṣyāmi |	boDi-prAptaH ca punar DarmeNa saMgraham karizyAmi |
   yadi punar asya lūhaṃ piṇḍapātaṃ bhavati tenâivaṃ cittam utpādayitavyaṃ |	yadi punar asya lUham piNxa-pAtam Bavati tet-âivam cittam utpAdayitavyam |
   lūhâhāratayā me laghuḥ kāyo bhaviṣyati	lUhâhAra-tayA me laGuH kAyaH Bavizyati
   prahāṇakṣamôccāraprasrāvaniṣyandanaś ca me parītto bhaviṣyati |	prahANa-kzamôt-cAra-prasrAva-nizyandanaH ca me parIttaH Bavizyati |
   śraddhādeyaṃ ca parīttaṃ bhaviṣyati |	SradDA-deyam ca parIttam Bavizyati |
   kāyalaghutā cittalaghutā ca me bhaviṣyati |	kAya-laGu-tA citta-laGu-tA ca me Bavizyati |
   alpamlānamiddhaś ca me bhaviṣyati |	alpa-mlAnam-idDaH ca me Bavizyati |
   yadā punar asya prabhūtaḥ piṇḍapāto bhavati tatrâpi mātrâbhojinā	yadA punar asya praBUtaH piNxa-pAtaH Bavati tatrâpi mAtrâBojinA
   bhavitavyaṃ utsarjanadharmiṇā ca |	Bavitavyam utsarjana-DarmiNA ca |
   tataḥ piṇḍapātād anyatarāyāṃ śilāyām avatīryâivaṃ cittam utpādayitavyaṃ |	tatas piNxa-pAtAt anyatarAyAm SilAyAm avatIryâivam cittam utpAdayitavyam |
   ye kecin mṛgapakṣisaṃgâmiṣabhojanenârthikās te dattâdānāḥ paribhuñjatām	ye kecid mRga-pakzi-saMgâmiza-BojanenârTikAH te dattâ-dAnAH pariBuQjatAm
   iti ||	iti ||
   punar āha |	punar Aha |
   tena sarveṇa rasasaṃjñā nôtpādayitavyā ||	tena sarveNa rasa-saMjQA nôt-pAdayitavyA ||
   pe ||	pe ||
   caṇḍālakumārasadṛśena mayā	caNxAla-kumAra-sadRSena mayA
   [ Bendall ed p130 ---> ]	[ Bet-dalt ed p130 ---> ]
   bhavitavyaṃ |	Bavitavyam |
   cittakāyacaukṣeṇa |	citta-kAya-cOkzeNa |
   na bhojanacaukṣeṇa |	na Bojana-cOkzeNa |
   tat kasmād dhetoḥ |	tat kasmAt DetoH |
   kiyatpraṇītam api bhojanaṃ bhuktaṃ |	kiyat-praNItam api Bojanam Buktam |
   sarvaṃ tat pūtiniṣyandaparyavasānaṃ durgandhaparyavasānaṃ	sarvam tat pUti-nizyanda-paryavasAnam durganDa-paryavasAnam
   pratikūlaparyavasānaṃ |	pratikUla-paryavasAnam |
   tasmān mayā na praṇītabhojanâkāṅkṣiṇā bhavitavyaṃ |	tasmAt mayA na praNIta-Bojanâ-kAFkziNA Bavitavyam |
   tena nâivaṃ cittam utpādayitavyaṃ |puruṣo me piṇḍapātaṃ dad-ti na strīḥ |	tena nâivam cittam utpAdayitavyam |puruzaH me piNxa-pAtam dad-ti na strIH |
   strī me piṇḍapātaṃ dadāti na puruṣaḥ |	strI me piNxa-pAtam dadAti na puruzaH |
   dārako me piṇḍapātaṃ dadāti na dārikā |	dArakaH me piNxa-pAtam dadAti na dArikA |
   dārikā me piṇḍapātaṃ dadāti na dārakaḥ |	dArikA me piNxa-pAtam dadAti na dArakaH |
   praṇītaṃ labhe 'haṃ na lūhaṃ |	praNItam laBe aham na lUham |
   satkṛtya labhe 'haṃ nâsatkṛtya |	satkRtya laBe aham nâsatkRtya |
   capalaṃ labhe 'haṃ na kṛcchreṇa praviṣṭamātraṃ ca māṃ samanvāhareyuḥ |	capalam laBe aham na kRcCreNa pravizwa-mAtram ca mAm samanvAhareyuH |
   na me kaścid vikṣepo bhavet |	na me kaScid vikzepaH Bavet |
   sunihitāṃl labhe 'haṃ-	su-nihitAn laBe ahaM-
   [ Cambridge MS f66b ---> ]	[ Cambridge M f66B ---> ]
   praṇītān nānārasāṃl labhe 'ham |	praNItAn nAnA-rasAn laBe aham |
   na hīnadaridrabhojanaṃ labhe 'haṃ pratyudgaccheyur māṃ	na hIna-daridra-Bojanam laBe aham pratyudgacCeyuH mAm
   strīpuruṣadārakadārikāḥ |	strI-puruza-dAraka-dArikAH |
   ime te sarve 'kuśalā manasikārā nôtpādayitavyaḥ ||	ime te sarve akuSalAH manasikArAH nôt-pAdayitavyaH ||
   pe ||	pe ||
   prāyeṇa hi satvā rasagṛddhā bhojanahetoḥ pāpāni karmāṇi kṛtvā	prAyeNa hi satvAH rasa-gRdDAH Bojana-hetoH pApAni karmANi kRtvA
   narakeṣûpapadyante |	narakezûpapadyante |
   ye ye punaḥ saṃtuṣṭâgṛddhâlulopā rasapratiprasrabdhā jihvêndriyasaṃtuṣṭāḥ	ye ye punar saMtuzwâ-gRdDâlula-upAH rasa-pratiprasrabDAH jihvêndriya-saMtuzwAH
   kiyallūhenâpi bhojanena jñāpayanti |	kiyat-lUhenâpi Bojanena jQApayanti |
   teṣāṃ cyutānāṃ kālagatānāṃ svargôpapattir bhavati |	tezAm cyutAnAm kAlagatAnAm svargôpapattiH Bavati |
   sugatigamanaṃ bhavati devamanuṣyeṣu |	sugati-gamanam Bavati deva-manuzyezu |
   te devôpapannāḥ sudhāṃ paribhuñjate |	te devôpapannAH suDAm pariBuQjate |
   evaṃ kāśyapa piṇḍacārikeṇa bhikṣuṇā rasatṛṣṇāṃ vinivartayitvā	evam kASyapa piNxa-cArikeNa BikzuNA rasa-tRzNAm vinivartayitvA
   nidhyaptacittena suparipakvān kulmāṣān paribhuñjatā na paritaptavyam |	niDyapta-cittena su-paripakvAn kulmAzAn pariBuQjatA na paritaptavyam |
   tat kasmād dhetoḥ |	tat kasmAt DetoH |
   kāyasaṃdhāraṇârthaṃ mārgasaṃdhāraṇârthaṃ mayā bhojanaṃ paribhoktavyaṃ ||	kAya-saMDAraNârTam mArga-saMDAraNârTam mayA Bojanam pariBoktavyam ||
   pe ||	pe ||
   yadi punaḥ kāśyapa piṇḍacāriko bhikṣur meghâkulavṛṣṭikālasamaye vartamāne	yadi punar kASyapa piNxacArikaH BikzuH meGâ-kula-vRzwi-kAla-samaye vartamAne
   na śaknuyāt piṇḍāyâvatartuṃ |	na SaknuyAt piNxAyâvataRtum |
   tena maitryâhārasaṃnaddhena dharmacintāmanasikārapratiṣṭhitena dvirātraṃ	tena mEtrI-âhAra-saMnadDena Darma-cintA-manasikAra-pratizWitena dvi-rAtram
   trirātraṃ vā bhaktacchadacchinnenâivaṃ saṃjñôtpādayitavyā |	tri-rAtram vA Bakta=-Cada=-Cinnenâivam saMjQôt-pAdayitavyA |
   santi yāmalaukikāḥ pretā duṣkarakarmakāriṇo ye varṣaśatena kheṭapiṇḍam apy	santi yAma-lOkikAH pretAH duzkara-karma-kAriNaH ye varza-Satena Kewa-piNxam api-
   āhāraṃ na pratilabhante |	AhAram na pratilaBante |
   tan mayā dharmayoniśaś cintāpratiṣṭhitena kāyadaurbalyaṃ vā	tat mayA Darma-yoniSas cintA-pratizWitena kAya-dOrbalyam vA
   cittadaurbalyaṃ vā nôtpādayitavyaṃ |	citta-dOrbalyam vA nôt-pAdayitavyam |
   adhivāsayiṣyāmi kṣutpipāsāṃ |	aDivAsayizyAmi kzuD-pipAsAm |
   na punar āryamārgabhāvanāyāṃ vīryaṃ sraṃsayiṣyāmi ||	na punar Arya-mArga-BAvanAyAm vIryam sraMsayizyAmi ||
   pe ||	pe ||
   yatra kule piṇḍapātaṃ śu-	yatra kule piNxapAtam Su-
   [ Bendall ed p131 ---> ]	[ Bet-dalt ed p131 ---> ]
   ciṃ kārayet tatra kule āsane niṣadya dhārmī kathā kartavyā |	cim kArayet tatra kule Asane nizadya DArmI kaTA kartavyA |
   yāvan na sa piṇḍapātaḥ śucīkrṭo bhavet tena piṇḍapātaṃ gṛhītvā	yAvat na sa piNxapAtaH SucIkrwaH Bavet tena piNxapAtam gRhItvA
   utthāyâsanāt prakramitavyaṃ |	utTAyâsanAt prakramitavyam |
   piṇḍacārikeṇa kāśyapa bhikṣuṇā	piNxa-cArikeNa kASyapa BikzuNA
   [ Cambridge MS f67a ---> ]	[ Cambridge M f67aH ---> ]
   nâvabhāsakareṇa bhavitavyaṃ na lapanā na kuhanā kartavyā ||	nâvaBAsa-kareNa Bavitavyam na lapanA na kuhanA kartavyA ||
   tatra katamo 'vabhāsaḥ |	tatra katamaH avaBAsaH |
   yat pareṣām evaṃ vācaṃ bhāṣate |	yat parezAm evam vAcam BAzate |
   lūho me piṇḍapāto rukṣo me piṇḍapātâsīn na ca me yāvadarthaṃ bhuktaṃ |	lUhaH me piNxapAtaH rukzaH me piNxa-pAtâsIt na ca me yAvadarTam Buktam |
   bahujanasādhāraṇaś ca me piṇḍapātaḥ kṛtaḥ |	bahu-jana-sADAraNaH ca me piNxapAtaH kRtaH |
   alpaṃ me bhuktaṃ jighatsito 'smîti |	alpam me Buktam jiGatsitaH asmîti |
   yat kiñcid evaṃrūpam avabhāsanimittaṃ |	yat kiQcid evaMrUpam avaBAsa-nimittam |
   iyam ucyate cittakuhanā |	iyam ucyate citta-kuhanA |
   sarvam etat piṇḍacārikeṇa bhikṣuṇā na kartavyaṃ |	sarvam etat piNxa-cArikeNa BikzuNA na kartavyam |
   upekṣakabhūtena |	upekzaka-BUtena |
   yat pātre patitaṃ lūhaṃ vā praṇītaṃ vā śubhaṃ vâśubhaṃ vā tat	yat pAtre patitam lUham vA praNItam vA SuBam vâSuBam vA tat-
   paribhoktavyam aparitapyamānenâśayaśuddhena dharmanidhyaptibahulena |	pariBoktavyam aparitapyamAnenâSaya-SudDena Darma-niDi-apti-bahulena |
   kāyajāpanârtham āryamārgasyôpastambhârthaṃ sa piṇḍapātaḥ paribhoktavyêti	kAya-jApanârTam Arya-mArgasya-ipastamBârTam sa piNxapAtaH pariBoktavyêti
   tathâryôgraparipṛcchāyām apy uktaṃ |	taTârI-ôgra-paripRcCAyAm api uktam |
   yasyāś cântike piṇḍapātaṃ paribhujya na śaknoty ātmanaḥ parasya cârthaṃ	yasyAH cântike piNxa-pAtam pariBujya na Saknoti AtmanaH parasya cârTam
   paripūrayitum anujānāmy ahaṃ tasya piṇḍacārikasya bodhisatvasya	paripUrayitum anujAnAmi aham tasya piNxacArikasya boDisatvasya
   nimantraṇam iti ||	nimantraNam iti ||
   evaṃ tāvat satatabhaiṣajyenâtmabhāvarakṣā kāryā |	evam tAvat satata-BEzajyenâtma-BAva-rakzA kAryA |
   tatrâpi na matsyamāṃsena laṅkâvatārasūtre pratiṣiddhatvāt ||	tatrâpi na matsya-mAMsena laFkâvatAra-sUtre pratizidDa-tvAt ||
   [ Bendall ed p132 ---> ]	[ Bet-dalt ed p132 ---> ]
   tathā hy uktaṃ |	taTA hi uktam |
   māṃsaṃ sarvam abhakṣyaṃ kṛpâtmāno bodhisatvasyêti vadāmi ||	mAMsam sarvam aBakzyam kRpâtmAnaH boDisatvasyêti vadAmi ||
   pe ||	pe ||
   svājanyād vyabhicārāc ca śukraśoṇitasaṃbhavāt |	svAjanyAt vyaBicArAt ca Sukra-SoNita-saMBavAt |
   udvejanīyaṃ bhūtānāṃ yogī māṃsaṃ vivarjayet ||	udvejanIyam BUtAnAm yogI mAMsam vivarjayet ||
   māṃsāni ca palāṇḍūṃś ca madyāni vividhāni ca |	mAMsAni ca palANxUn ca madyAni viviDAni ca |
   gṛñjanaṃ laśunaṃ câiva yogī nityaṃ vivarjayet ||	gRQjanam laSunam câiva yogI nityam vivarjayet ||
   mrakṣaṇaṃ varjayet tailaṃ śalyaviddheṣu na svapet |	mrakzaNam varjayet tElam Salya-vidDezu na svapet |
   chidrâchidreṣu satvānāṃ yac ca sthānaṃ mahābhayam ||	Cidrâ-Cidrezu satvAnAm yat ca sTAnam mahA-Bayam ||
   pe ||	pe ||
   lābhârthaṃ hanyate prāṇī māṃsârthaṃ dīyate dhanaṃ |	lABârTam hanyate prANI mAMsârTam dIyate Danam |
   ubhau tau pāpakarmāṇau pacyete rauravâdiṣu ||	uBO tO pApa-karmANO pacyete rOra-vâdizu ||
   yāvat ||	yAvat ||
   yo 'tikramya muner vākyaṃ māṃsaṃ bhakṣeta durmatiḥ |	yaH atikramya muneH vAkyam mAMsam Bakzeta durmatiH |
   lokadvayavināśârthaṃ dīkṣitaḥ śākyaśāsane ||	loka-dvaya-vinASârTam dIkzitaH SAkya-SAsane ||
   te yānti paramaṃ ghoraṃ narakaṃ pāpaka-riṇaḥ |	te yAnti paramam Goram narakam pApa-ka-riNaH |
   rauravâdiṣu raudreṣu pacyante māṃsakhādakāḥ ||	rOra-vâdizu rOdrezu pacyante mAMsa-KAdakAH ||
   trikoṭikṣuddhaṃ māṃsaṃ vai akalpitam ayācitaṃ |	tri-kowi-kzudDam mAMsam vE akalpitam ayAcitam |
