   Ajitasenavyākaraṇam	Ajita-sena-vyAkaraNam
   svagṛhagamanamārabdhā / atha bhagavāṃstāṃ dārikāmevamāha / tvaṃ dārike	sva-gRha-gamanam-ArabDAH / aTa BagavAn=-tAm dArikAm-evam-Aha / tvam dArike
   saptame divase kālaṃ kariṣyasi / kālaṃ kṛtvā / pūrvasyāndiśi magadhaviṣaye	saptame divase kAlam karizyasi / kAlam kRtvA / pUrvasya-andiSi magaDa-vizaye
   rājā ajitaseno nāma / tasya rājño 'jitasenasya antaḥpurasahasramasti /	rAjA ajitasenaH nAma / tasya rAjQaH ajitasenasya antaHpura-sahasram-asti /
   tasya khalu punā rājño 'jitasenasya putro janiṣyase / eṣa eva tava paścimo	tasya Kalu punA rAjQaH ajitasenasya putraH janizyase / ezaH eva tava paScimaH-
   garbhavāso bhaviṣyati /	garBa-vAsaH Bavizyati /
   atha bhagavān paścimakena nagaradvāreṇa śrāvastyā mahānagaryā niṣkrānto	aTa BagavAn paScimakena nagara-dvAreNa SrAvastyAH mahA-nagaryAH nizkrAntaH-
   yena jetavanaṃ vihārastenopasaṅkrāntaḥ / athāyuṣmānānando bhagavantaṃ	yena jetavanam vihAraH-tena-upasaFkrAntaH / aTa-AyuzmAn-AnandaH Bagavantam
   dūrata evāgacchantaṃ dṛṣṭvā pādau śirasābhivandya triḥ pradakṣiṇīkṛtya	dUratas eva-AgacCantam dRzwvA pAdO SirasA-aBivandya tris pradakziNIkRtya
   bhagavantaṃ gāthābhiradhyabhāṣata /	Bagavantam gATABiH-aDi-aBAzata /
   suvarṇavarṇaṃ varalakṣaṇārcitaṃ dvāviṃśatilakṣaṇarūpadhāriṇam /	suvarNa-varNam vara-lakzaNa-arcitam dvAviMSati-lakzaNa-rUpa-DAriNam /
   yadā tvayā āgatu piṇḍapātikā vimocayitvā iha sarvasattvā //	yadA tvayA Agatu piNxapAtikAH vimocayitvA iha sarva-sattvAH //
   sukhena saṃsthāpayi sarvasattvā maitrībalaṃ sarvajagattvayā kṛtam /	suKena saMsTApayi sarva-sattvAH mEtrI-balam sarva-jagat-tvayA kRtam /
   sa piṇḍapātaṃ varamāṇḍanāyaka vimocitaste jagatī bhayā ca //	sa piNxapAtam varamANxanAyaka vimocitaH-te jagatI BayA ca //
   ye bodhisattvā iha jambudvīpe sarve ca mārgaṃ tava darśayanti / (Asv 114)	ye boDisattvAH iha jambudvIpe sarve ca mArgam tava darSayanti / (Asu 114)
   parinirvṛtasya sada paścakāle dhāretu sūtram imu buddhavarṇitam //	parinirvRtasya sada paSca-kAle DAretu sUtram imu budDa-varNitam //
   parinirvṛtasya tava paścakāle bhaviṣyati śāsanavipralopam /	parinirvRtasya tava paSca-kAle Bavizyati SAsana-vipralopam /
   imaṃ nayaṃ dhārayi sūtraratnam //	imam nayam DArayi sUtra-ratnam //
   athāyuṣmānānanda imā gāthā bhāṣitvā bhagavantaṃ triḥ pradakṣiṇīkṛtya	aTa-AyuzmAn-AnandaH imAH gATAH BAzitvA Bagavantam tris pradakziNIkRtya
   bhagavataḥ puratastasthau / atha bhagavānāyuṣmantamānandamāmantrayate sma	BagavataH puratas-tasTO / aTa BagavAn-Ayuzmantam-Anandam-Amantrayate sma
   / gacchānanda gaṇḍīmākoṭaya / te śrāvakāḥ paribhokṣyanti piṇḍapātam /	/ gacCa-Ananda gaNxIm-Akowaya / te SrAvakAH pariBokzyanti piNxapAtam /
   athāyuṣmānānando bhagavantamāmantrayate sma / kīdṛśaṃ bhagavan	aTa-AyuzmAn-AnandaH Bagavantam-Amantrayate sma / kIdRSam Bagavan
   gaṇḍīśabdasya kuśalamūlaṃ bhaviṣyati / bhagavānāha / śṛṇu ānanda	gaNxI-Sabdasya kuSala-mUlam Bavizyati / BagavAn-Aha / SRNu Ananda
   gaṇḍīśabdasya kuśalamūlaṃ parikīrtayāmi / ye kecidānanda gaṇḍīśabdaṃ	gaNxI-Sabdasya kuSala-mUlam parikIrtayAmi / ye kecid-Ananda gaNxI-Sabdam
   śroṣyanti teṣāṃ pañcānantaryāṇi kṛtyāni parikṣayaṃ yāsyanti /	Srozyanti tezAm paQca-AnantaryANi kRtyAni parikzayam yAsyanti /
   avaivartikāste bhaviṣyanti kṣipraṃ cānuttarāṃ	avEvartikAH-te Bavizyanti kzipram ca-anuttarAm
   samyaksambodhimabhisambhotsyante / ānanda āha / kīdṛśaṃ bhagavaṃstaiḥ	samyaksamboDim-aBisamBotsyante / AnandaH Aha / kIdRSam Bagavan=-tEH
   sattvaiḥ kuśalamūlamavaropim / bhagavānāha / śṛṇu ānanda ye sattvāḥ	sattvEH kuSala-mUlam-avaropim / BagavAn-Aha / SRNu Ananda ye sattvAH
   paścime kāle paścime samaye mama parinirvṛtasya saddharmavipralope	paScime kAle paScime samaye mama parinirvRtasya sat-Darma-vipralope
   vartamāne saddharmasyāntardhānakālasamaye	vartamAne sadDarmasya-antarDAna-kAla-samaye
   grāmanagaranigamajanapadarāṣṭrarājadhānīṣu ye sattvā vā araṇyāyatane	grAma-nagara-nigama-janapada-rAzwra-rAja-DAnIzu ye sattvAH vE araNyAyatane
   gaṇḍayākoṭanaśabdaṃ śroṣyanti namo buddhāyeti kariṣyanti teṣāṃ	gaNxayA-kowana-Sabdam Srozyanti namaH budDAya-iti karizyanti tezAm
   pañcānantaryāṇi karmāṇi parikṣayaṃ (Asv 115) yāsyanti / īdṛśānyānanda	paQca-AnantaryANi karmANi parikzayam (Asu 115) yAsyanti / IdRSAni-Ananda
   gaṇḍīśabdasya kuśalamūlāni / athāyuṣmānānandaḥ śāntapraśāntena	gaNxI-Sabdasya kuSala-mUlAni / aTa-AyuzmAn-AnandaH SAnta-praSAntena
   gaṇḍīmākoṭayate sma / atha tena gaṇḍīśabdena sarve te mahāśrāvakāḥ	gaNxIm-Akowayate sma / aTa tena gaNxI-Sabdena sarve te mahA-SrAvakAH
   sannipatitā abhūvan / yathā yathā āsane niṣaṇṇāḥ piṇḍapātaṃ paribhuñjante	sannipatitAH aBUvan / yaTA yaTA Asane nizaNNAH piNxa-pAtam pariBuQjante
   sma / atha tatraiva śrāvakamadhye nandimitro nāma mahāśrāvakaḥ sannipatito	sma / aTa tatra-eva SrAvaka-maDye nandimitraH nAma mahA-SrAvakaH sannipatitaH-
   'bhūt sanniṣaṇṇaḥ / atha bhagavānāyuṣmantaṃ nandimitraṃ	aBUt sannizaNNaH / aTa BagavAn-Ayuzmantam nandimitram
   mahāśrāvakamāmantrayate sma / gaccha tvaṃ nandimitra mahāśrāvaka	mahA-SrAvakam-Amantrayate sma / gacCa tvam nandimitra mahA-SrAvaka
   pūrvasyāndiśi magadhaviṣaye rājño 'jitasenasya kalyāṇamitraparicaryāṃ kuru	pUrvasya-andiSi magaDa-vizaye rAjQaH ajitasenasya kalyANa-mitra-paricaryAm kuru
   / atha nandimitro mahāśrāvako bhagavantamevamāha / na bhagavan	/ aTa nandimitraH mahA-SrAvakaH Bagavantam-evam-Aha / na Bagavan
   śakṣyāmastaṃ pṛthivīpradeśaṃ gantum / durāsadāste sattvāḥ / te māṃ	SakzyAmaH-tam pRTivI-pradeSam gantum / durAsadAH-te sattvAH / te mAm
   jīvitādvyavaropayiṣyanti / atha bhagavānāyuṣmantaṃ taṃ nandimitraṃ	jIvitAt-vyavaropayizyanti / aTa BagavAn-Ayuzmantam tam nandimitram
   mahāśrāvakamevamāha / na te sattvāste śakṣyante bālāgramapi kampayituṃ	mahA-SrAvakam-evam-Aha / na te sattvAH-te Sakzyante bAla-agram-api kampayitum
   prāgeva jīvitādvyavaropayitum / atha nandimitro mahāśrāvakaḥ	prAk-eva jIvitAt-vyavaropayitum / aTa nandimitraH mahA-SrAvakaH
   pratyūṣakālasamaye suvarṇavarṇaṃ vastraṃ prāvṛtya yena pūrvasyāndiśi	pratyUza-kAla-samaye suvarNa-varNam vastram prAvRtya yena pUrvasya-AndiSi
   magadhaviṣaye rājño 'jitasenasya rājadhānī tenānukrānto 'bhut / atha rājā	magaDa-vizaye rAjQaH ajitasenasya rAjaDAnI tena-anukrAntaH aBut / aTa rAjA
   ajitasenastaṃ nandimitraṃ mahāśrāvakaṃ dṛṣṭvā tuṣṭa udagra āttamanāḥ	ajitasenaH-tam nandi-mitram mahA-SrAvakam dRzwvA tuzwaH udagre Atta-manAH
   pramuditaḥ prītisaumanasyajāto 'bhūt / atha rājñājitasenena amātyaḥ	pramuditaH prIti-sOmanasya-jAtaH aBUt / aTa rAjQA-ajitasenena amAtyaH
   preṣito 'bhūt / gacchainaṃ bhikṣumānaya / tadā so 'mātyo yena nandimitro	prezitaH aBUt / gacCa-enam Bikzum-Anaya / tadA saH amAtyaH yena nandimitraH-
   mahāśrāvakastenopasaṅkrāntaḥ (Asv 116) / atha so 'mātyo nandimitraṃ	mahA-SrAvakaH-tena-upasaFkrAntaH (Asu 116) / aTa saH amAtyaH nandimitram
   mahāśrāvakamevamāha / āgaccha mahāśrāvaka bhikṣo rājā te ājñāpayati / atha	mahA-SrAvakam-evam-Aha / AgacCa mahA-SrAvaka BikzaH rAjA te AjQApayati / aTa
   nandimitro mahāśrāvako 'mātyamevamāha / mama rājñā kiṃ kāryaṃ mama rājā	nandimitraH mahA-SrAvakaH amAtyam-evam-Aha / mama rAjQA kim kAryam mama rAjA
   kiṃ kariṣyati / athāmātyo yena rājājitasenastenopasaṅkrāntaḥ / taṃ	kim karizyati / aTa-amAtyaH yena rAjA-ajitasenaH-tena-upasaFkrAntaH / tam
   rājānamajitasenamevamāha / na ca sa bhikṣustava pārśve āgacchati / atha	rAjAnam-ajita-senam-evam-Aha / na ca sa BikzuH-tava pArSve AgacCati / aTa
   rājñājitasenena pañcāmātyaśatāni preṣitāni / na ca sa bhikṣūrājño	rAjQA-ajitasenena paQcAmAtya-SatAni prezitAni / na ca sa BikzU-rAjQaH-
   'jitasenasya pārśvamāgacchati / atha sa rājā svakenaivātmabhāvena yena sa	ajitasenasya pArSvam-AgacCati / aTa sa rAjA svakena-eva-Atma-BAvena yena sa
   nandimitramahāśrāvakastenopasaṅkrāntaḥ / upasaṅkramya kṛtāñjalirevamāha /	nandi-mitra-mahA-SrAvakaH-tena-upasaFkrAntaH / upasaFkramya kRtAQjaliH-evam-Aha /
   āgaccha bho bhikṣo mama rājadhānīṃ praviśa / atha rājā ajitaseno	AgacCa Bo BikzaH mama rAjaDAnIm praviSa / aTa rAjA ajita-senaH-
   dakṣiṇahaste taṃ bhikṣuṃ gṛhītvā svakāṃ rājadhānīṃ praviṣṭo 'bhūt / atha	dakziNa-haste tam Bikzum gRhItvA svakAm rAjaDAnIm pravizwaH aBUt / aTa
   rājñājitasenena nandimitrasya bhikṣoḥ siṃhāsanaṃ dattamabhut / atha	rAjQA-ajitasenena nandi-mitrasya BikzoH siMhAsanam dattam-aBut / aTa
   rājājitaseno bhadrapīṭhake niṣadya taṃ nandimitraṃ mahāśrāvakamevamāha /	rAjA-ajitasenaH BadrapIWake nizadya tam nandi-mitram mahA-SrAvakam-evam-Aha /
   kutra tvaṃ bhikṣo gacchasi / ko hetuḥ kaḥ pratyayaḥ / atha nandimitro	kutra tvam BikzaH gacCasi / kaH hetuH kaH pratyayaH / aTa nandimitraH-
   mahāśrāvako rājānamajitasenamevamāha / ye kecid bhikṣupravrajitāste sarve	mahA-SrAvakaH rAjAnam-ajita-senam-evam-Aha / ye kecid Bikzu-pravrajitAH-te sarve
   bhikṣāhārāḥ piṇḍapātamavacarantaḥ paribhuñjanti / atha rājā ajitasenastaṃ	BikzA-AhArAH piNxa-pAtam-avacarantaH pariBuQjanti / aTa rAjA ajitasenaH-tam
   nandimitraṃ mahāśrāvakamevamāha / paribhuṅkṣva mama gṛhe piṇḍapātam /	nandi-mitram mahA-SrAvakam-evam-Aha / pariBuFkzva mama gRhe piNxapAtam /
   yāvajjīvaṃ piṇḍapātaṃ pradāsyāmi / yadi te bhikṣo mama svamāṃsena kāryaṃ	yAvajjIvam piNxa-pAtam pradAsyAmi / yadi te BikzaH mama sva-mAMsena kAryam
   svamāṃsaṃ dāsyāmi / atha nandimitro mahāśrāvako rājānamajitasenaṃ	sva-mAMsam dAsyAmi / aTa nandimitraH mahA-SrAvakaH rAjAnam-ajita-senam
   gāthābhiradhyabhāṣata / (Asv 117)	gATABiH-aDi-aBAzata / (Asu 117)
   bhuñjāmi tadbhojanu yad dadāhi mṛṣṭānnapānaṃ rasapānamuktamam /	BuQjAmi tat-Bojanu yat dadAhi mRzwa-anna-pAnam rasa-pAnam-uktamam /
   kleśā hi nirmukta tvayā bhaviṣyasi sudurlabhaṃ labdha manuṣyalābham //	kleSAH hi nirmukta tvayA Bavizyasi su-durlaBam labDa manuzya-lABam //
   sudurlabhaṃ śāsanu nāyakasya śraddhāprasādaṃ paramaṃ sudurlabham /	su-durlaBam SAsanu nAyakasya SradDA-prasAdam paramam su-durlaBam /
   ye śāsane pravrajitā ca bhikṣavā sudurlabhaṃ śāsanu nāyakānām //	ye SAsane pravrajitA ca BikzavA su-durlaBam SAsanu nAyakAnAm //
   sudurlabhaṃ sugatavarasya darśanaṃ namo 'stu te buddha mahānubhāvo /	su-durlaBam sugata-varasya darSanam namaH astu te budDa mahA-anuBAvaH /
   namo 'stu te dharmamayaṃ mahāmune namo 'stu te kleśavicakṣaṇāryam //	namaH astu te Darma-mayam mahA-mune namaH astu te kleSa-vicakzaNa-Aryam //
   namo 'stu te sarvajarapramokṣaṇāt namo 'stu te mārganidarśanāryam /	namaH astu te sarva-jara-pramokzaNAt namaH astu te mArga-nidarSanAryam /
   namo 'stu te mārgapathasya darśakaṃ namo 'stu te bodhipathasya darśakam //	namaH astu te mArga-paTasya darSakam namaH astu te boDipaTasya darSakam //
   atha nandimitro mahāśrāvako rājānamajitasenaṃ bhagavato	aTa nandimitraH mahA-SrAvakaH rAjAnam-ajita-senam BagavataH-
   guṇavarṇamudīrayitvā tūṣṇīṃ sthito 'bhūt / atha rājānamajitasenaṃ taṃ	guNa-varNam-udIrayitvA tUzNIm sTitaH aBUt / aTa rAjAnam-ajita-senam tam
   nandimitro mahāśrāvako gāthābhiradhyabhāṣata /	nandimitraH mahA-SrAvakaH gATABiH-aDi-aBAzata /
   sudurlabhaṃ bhikṣu tathaiva darśanaṃ sudurlabhaṃ tasya bhaveya darśanam /	su-durlaBam Bikzu taTA-eva darSanam su-durlaBam tasya Baveya darSanam /
   (Asv 118)	(Asu 118)
   ye bhikṣusaṅghasya dadeya dānaṃ na tasya yakṣā na ca rākṣasāśca //	ye Bikzu-saFGasya dadeya dAnam na tasya yakzAH na ca rAkzasAH-ca //
   na pretakuṣmāṇḍamahoragāśca vighnaṃ na kurvanti kadāci teṣām /	na preta-kuzma-aNxa-mahA-uragAH-ca viGnam na kurvanti kadAci tezAm /
   ye bhikṣusaṅghāya dadanti dānaṃ sudurlabhaṃ tasya manuṣyalābham //	ye Bikzu-saFGAya dadanti dAnam su-durlaBam tasya manuzya-lABam //
   yo durlabhaṃ darśanu bhikṣubhāvaṃ sudurlabhaṃ kalpaśatairacintiyaiḥ /	yaH durlaBam darSanu Bikzu-BAvam su-durlaBam kalpa-SatEH-acintiyEH /
   yo lokanāthasya hi nāmu dhāraye kalpāna koṭīnayutānacintiyā //	yaH loka-nATasya hi na-amu DAraye kalpAna kowIna-yutAn-acintiyA //
   na jātu gacche vinipātadurgatiṃ yo īdṛśaṃ paśyati bhikṣurājam /	na jAtu gacCe vinipAta-durgatim yaH IdRSam paSyati Bikzu-rAjam /
   na tasya bhotī vinipātadurgatiṃ yo īdṛśaṃ paśyati bhikṣurājam //	na tasya BotI vinipAta-durgatim yaH IdRSam paSyati Bikzu-rAjam //
   kalyāṇamitraṃ mama mārgadarśako (yaṃ) sa āgatāye mama piṇḍapātikā /	kalyANa-mitram mama mArga-darSakaH (yaM) saH AgatAye mama piNxapAtikAH /
   yo dāsyate asya hi piṇḍapātaṃ muktā na bheṣyanti jarārtavyādhayā //	yaH dAsyate asya hi piNxa-pAtam muktAH na Bezyanti jarA-Arta-vyADayA //
   kleśā vinirmukta sadā tu bheṣyati ye tasya dāsyantiha piṇḍapātam //	kleSAH vinirmukta sadA tu Bezyati ye tasya dAsyanti-ha piNxa-pAtam //
   atha sa rājā ajitaseno nandimitraṃ mahāśrāvakaṃ guṇavarṇamudīrayitvā	aTa sa rAjA ajitasenaH nandi-mitram mahA-SrAvakam guNa-varNam-udIrayitvA
   tūṣṇīṃ sthito 'bhūt / atha nandimitro mahāśrāvako (Asv 119)	tUzNIm sTitaH aBUt / aTa nandimitraH mahA-SrAvakaH (Asu 119)
   rājānamajitasenamevamāha / evamastu mahārāja bhuñje piṇḍapāta tava gṛhe /	rAjAnam-ajita-senam-evam-Aha / evam-astu mahA-rAja BuQje piNxapAta tava gRhe /
   atha rājā ajitasenaḥ khādanīyena bhojanīyena taṃ nandimitramahāśrāvakaṃ	aTa rAjA ajitasenaH KAdanIyena BojanIyena tam nandi-mitra-mahA-SrAvakam
   santarpayati sma /	santarpayati sma /
   atha nandimitramahāśrāvako rājānamajitasenamevamāha / kiṃ tava mahārāja	aTa nandi-mitra-mahA-SrAvakaH rAjAnam-ajita-senam-evam-Aha / kim tava mahA-rAja
   asmin pṛthivīpradeśe udyānabhūmirasti / rājā āha / asti mahāśrāvaka	asmin pRTivI-pradeSe udyAna-BUmiH-asti / rAjA Aha / asti mahA-SrAvaka
   udyānabhūmirmama ramaṇīyā suśobhanā / nandimitra āha / gacchāmyahaṃ	udyAna-BUmiH-mama ramaNIyA su-SoBanA / nandimitraH Aha / gacCAmi-aham
   mahārāja / tāmudyānabhūmiṃ prekṣe / rājā āha / gaccha nandimitra /	mahA-rAja / tAm-udyAna-BUmim prekze / rAjA Aha / gacCa nandimitra /
   udyānabhūmiṃ prekṣasva / atha nandimitramahāśrāvako yena rājño	udyAna-BUmim prekzasva / aTa nandi-mitra-mahA-SrAvakaH yena rAjQaH-
   'jitasenasyodyānabhūmistenopasaṅkrāntaḥ / atha tatrodyānabhūmau ye	ajita-senasya-udyAna-BUmiH-tena-upasaFkrAntaH / aTa tatra-udyAna-BUmO ye
   udyānaguṇāste sarve santīti / yā graiṣmikyaḥ puṣkariṇyastāḥ	udyAna-guNAH-te sarve santi-iti / yAH grEzmikyaH puzkariNyaH-tAH
   śītalajalaparipūrṇā yā vārṣikyastā nātyuṣṇā nātiśītalajalaparipūrṇāḥ /	SItala-jala-paripUrNAH yAH vArzikyaH-tAH na-ati-uzNAH na-ati-SItala-jala-paripUrNAH /
   tāśca puṣkariṇyaḥ suvarṇasopānasañcchannā divyā ramaṇīyāḥ / ye ca	tAH-ca puzkariNyaH suvarNa-sopAna-saQt-CannAH divyAH ramaNIyAH / ye ca
   jāmbūpakaparibhogaguṇāste sarve santīti /	jAmbUpaka-pariBoga-guNAH-te sarve santi-iti /
   adhimuktakacampakāśokamucilindapāṭalasumanāsaugandhikapuṣpāṇi santīti /	aDimuktaka-campaka-aSoka-mucilinda-pAwala-sumanA-sOganDika-puzpANi santi-iti /
   (Asv 120) ye tiryagyonigatāḥ pakṣiṇaḥ	(Asu 120) ye tiryagyoni-gatAH pakziNaH
   śukaśārikācakravākamayūrakokilādayaste nānārutāni kurvanti sma / atha	Suka-SArikA-cakravAka-mayUra-kokila-AdayaH-te nAnA-rutAni kurvanti sma / aTa
   tatraiva udyānabhūmau suvarṇavarṇāḥ suvarṇatuṇḍāḥ suvarṇapakṣāḥ	tatra-eva udyAna-BUmO suvarNa-varNAH suvarNa-tuNxAH suvarNa-pakzAH
   suvarṇapādāḥ pakṣiṇaḥ prādurbhūtāḥ / te sarve buddhaśabdaṃ niścārayanti /	suvarNa-pAdAH pakziNaH prAdurBUtAH / te sarve budDa-Sabdam niScArayanti /
   atha nandimitramahāśrāvako yena rājño 'jitasenasya rājadhānī	aTa nandi-mitra-mahA-SrAvakaH yena rAjQaH ajitasenasya rAjaDAnI
   tenopasaṅkrāntaḥ / atha rājā ajitasenastaṃ nandimitraṃ mahāśrāvakamevamāha	tena-upasaFkrAntaH / aTa rAjA ajitasenaH-tam nandi-mitram mahA-SrAvakam-evam-Aha
   / āgatastvaṃ mahāśrāvaka / dṛṣṭodyānabhūmiḥ / nandimitra āha / dṛṣṭā	/ AgataH-tvam mahA-SrAvakaH / dRzwa-udyAna-BUmiH / nandimitraH Aha / dRzwA
   mayodyānabhūmī ramaṇīyā suśobhanā / atha nandimitraṃ mahāśrāvakaṃ rājā	mayA-udyAna-BUmiH ramaNIyA su-SoBanA / aTa nandi-mitram mahA-SrAvakam rAjA
   ajitaseno gāthābhiradhyabhāṣata /	ajitasenaH gATABiH-aDi-aBAzata /
   ye jambudvīpe paribhogamāsī adhimuktakacampakadhānuṣkārikā /	ye jambudvIpe pariBoga-mAsI aDimuktaka-campaka-DAnuzkArikAH /
   aśokamucilinda tathaiva pāṭalā saugandhikāśca sumanā ca vārṣikā //	aSokamucilinda taTA-eva pAwalA sOganDikAH-ca sumanA ca vArzikAH //
   tadā pāriyātrā nadītīranirmitā suvarṇavarṇā sada pakṣiṇā abhūt /	tadA pAriyAtrA nadI-tIra-nirmitA suvarNa-varNA sada pakziNAH aBUt /
   mārgaṃ ca te darśayi agrabodhaye	mArgam ca te darSayi agra-boDaye
   divyā manojñā madhurasvarāṃśca	divyAH manojQAH maDura-svarAn=-ca
   saṃśrāvayiṣyanti ca nityakālam //	saMSrAvayizyanti ca nityakAlam //
   atha nandimitramahāśrāvako rājño 'jitasenasya gāthā bhāṣitvā tūṣṇīṃ sthito	aTa nandi-mitra-mahA-SrAvakaH rAjQaH ajitasenasya gATA BAzitvA tUzNIm sTitaH-
   'bhūt / atha rājā ajitaseno bherīṃ parāhante sma / (Asv 121) atha tena	aBUt / aTa rAjA ajitasenaH BerIm parAhante sma / (Asu 121) aTa tena
   bherīśabdena sametyāmātyagaṇastaṃ rājānamajitasenamevamāha / kasyārthe	BerI-Sabdena sametya-amAtya-gaNaH-tam rAjAnam-ajita-senam-evam-Aha / kasya-arTe
   mahārāja bherī parāhatā / atha sa rājā āha / hastirathaṃ ca aśvarathaṃ ca	mahA-rAja BerI parAhatA / aTa sa rAjA Aha / hastiraTam ca aSva-raTam ca
   sajjaṃ kṛtaṃ syāt / ahamudyānabhūmiṃ gamiṣyāmi krīḍanārthāya / atha tā	sajjam kRtam syAt / aham-udyAna-BUmim gamizyAmi krIxana-arTAya / aTa tA
   amātyakoṭyo vacanaṃ śrutvā śīghrameva tad hastirathamaśvarathaṃ sajjaṃ	amAtya-kowyaH vacanam SrutvA SIGram-eva tat hasti-raTam-aSva-raTam sajjam
   kṛtavatyaḥ / atha tena kṣaṇalavamuhūrtamātreṇa rājājitaseno yena	kRtavatyaH / aTa tena kzaNa-lava-muhUrta-mAtreNa rAjA-ajitasenaH yena
   sodyānabhūmistenopasaṅkrāntaḥ / sa ca	sa-udyAna-BUmiH-tena-upasaFkrAntaH / sa ca
   nandimitramahāśrāvakastenaivopasaṅkrānto rājānamajitasenamevamāha / asmin	nandi-mitra-mahA-SrAvakaH-tena-eva-upasaFkrAntaH rAjAnam-ajita-senam-evam-Aha / asmin
   pṛthivīpradeśe mahārāja mama kuṭikaṃ kārayitavyam yatrāhaṃ sanniṣaṇṇastava	pRTivI-pradeSe mahA-rAja mama kuwikam kArayitavyam yatra-aham sannizaNNaH-tava
   gṛhe piṇḍapātaṃ paribhokṣyāmi / atha rājā ajitaseno	gRhe piNxa-pAtam pariBokzyAmi / aTa rAjA ajita-senaH-
   nandimitramahāśrāvakamevamāha / kīdṛśaṃ tava kuṭikaṃ kārayitavyam /	nandi-mitra-mahA-SrAvakam-evam-Aha / kIdRSam tava kuwikam kArayitavyam /
   nandimitra āha / yādṛśāstava mahārāja mahācittotpādaśraddhāprasādāstādṛśaṃ	nandimitraH Aha / yAdRSAH-tava mahA-rAja mahA-citta-utpAda-SradDA-prasAdAH-tAdRSam
   kuṭikaṃ kāraya / atha rājā ajitaseno jyeṣṭhāmātyamevamāha / asminneva	kuwikam kAraya / aTa rAjA ajitasenaH jyezWa-amAtyam-evam-Aha / asmin=-eva
   pṛthivīpradeśe kuṭikaṃ kāraya / atha jyeṣṭhāmātyo rājānamevamāha / kīdṛśaṃ	pRTivI-pradeSe kuwikam kAraya / aTa jyezWa-amAtyaH rAjAnam-evam-Aha / kIdRSam
   mahārāja kuṭikaṃ kārayāmi / rājā ajitasena evamāha / triṃśadyojanāni	mahA-rAja kuwikam kArayAmi / rAjA ajitasenaH evam-Aha / triMSat-yojanAni
   dīrgheṇa ṣaḍyojanānyūrdhvāyāṃ saptaratnamayaṃ maṇimuktisañcchāditaṃ	dIrGeNa zaz-yojanAni-UrDvAyAm sapta-ratna-mayam maNi-mukti-saQcCAditam
   kuṭikaṃ kāraya / atha so 'mātyaḥ kuṭikaṃ kārayati / saptaratnamayaṃ (Asv	kuwikam kAraya / aTa saH amAtyaH kuwikam kArayati / sapta-ratna-mayam (Asv
   122) maṇimuktisañcchāditaṃ kārayitvā yena rājā ajitasenastenopasaṅkrānto	122) maNi-mukti-saQcCAditam kArayitvA yena rAjA ajitasenaH-tena-upasaFkrAntaH-
   rājānamajitasenamevamāha / kṛtaṃ mahārāja mayā kuṭikaṃ yādṛśamājñaptam /	rAjAnam-ajita-senam-evam-Aha / kRtam mahA-rAja mayA kuwikam yAdRSam-AjQaptam /
   rājā āha / tatraiva pṛthivīpradeśe caṅkramaḥ kārayitavyaścaturyojanāni	rAjA Aha / tatra-eva pRTivI-pradeSe caFkramaH kArayitavyaH-catur-yojanAni
   dīrgheṇa dve yojane vistāreṇa / atha so 'mātyastaṃ caṅkramaṃ kārayitvā	dIrGeNa dve yojane vistAreNa / aTa saH amAtyaH-tam caFkramam kArayitvA
   yena rājā ajitasenastenopasaṅkrānto rājānaṃ gāthābhiradhyabhāṣata /	yena rAjA ajitasenaH-tena-upasaFkrAntaH rAjAnam gATABiH-aDi-aBAzata /
   kṛtaṃ mayā caṅkramu suṣṭhu śobhanaṃ ājñā tvayā yat kṛtapūrvameva ca /	kRtam mayA caFkramu suzWu SoBanam AjQA tvayA yat kRta-pUrvam-eva ca /
   sattvāna moceti prakṛtiṃ śubhāśubhaṃ vimocaye prāṇina sarvametat //	sattvAna mocA-iti prakRtim SuBa-aSuBam vimocaye prANina sarvam-etat //
   aho sulabdhā praṇidhīkṛtaṃ tvayā vimocayī sarvajagat sadevakam /	aho su-labDA praNiDIkRtam tvayA vimocayI sarva-jagat sa-devakam /
   praṇidhiṃ kṛtaṃ yattvayamīdṛśaṃ bhave dharmaṃ prakāśeti me dharmabhāṇako	praNiDim kRtam yat-tu-ayam-IdRSam Bave Darmam prakASa-iti me Darma-BANakaH-
   niṣaṇṇa sthitvā kuṭikā ca caṅkrame ājñā kṛtaṃ yat tvaya yādṛśī kṛtā /	nizaNNa sTitvA kuwikA ca caFkrame AjQA kRtam yat tvaya yAdRSI kRtA /
   sa caṅkramaṃ caiva kṛtaṃ suśobhanaṃ maṇiratnasañcchādita taṃ ca bhūmim //	sa caFkramam ca-eva kRtam su-SoBanam maNi-ratna-saQcCAdita tam ca BUmim //
   atha rājā ajitaseno yena svakā rājadhānī tenopasaṅkrāntaḥ / atha	aTa rAjA ajitasenaH yena svakA rAjaDAnI tena-upasaFkrAntaH / aTa
   nandimitramahāśrāvakaḥ pratinivṛtya tatraiva (Asv 123) kuṭike niṣaṇṇo	nandi-mitra-mahA-SrAvakaH pratinivRtya tatra-eva (Asu 123) kuwike nizaNNaH-
   vikiraṇaṃ nāma bodhisattvasamādhiṃ samāpanno 'bhūt / anyena keśānanyena	vikiraNam nAma boDisattva-samADim samApannaH aBUt / anyena keSAn-anyena
