   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   yadā mahārājâtmasaukhyaṃ parityaktaṃ bhavatîti |	yadA mahA-rAjâtma-sOKyam parityaktam Bavatîti |
   bodhicittamātrâsantuṣṭānāṃ karuṇâbhilāṣasaṃjanârtham	boDi-citta-mAtrâ-santuzwAnAm karuNâBilAza-saMjanârTam
   idam uktaṃ |	idam uktam |
   yathā na te tathāgataśāsane pravrajitā yeṣāṃ nâsti tyāgêti |	yaTA na te taTAgata-SAsane pravrajitAH yezAm nâsti tyAgêti |
   evam ihânyabodhicittanindā draṣṭavyā na tu bodhicittam anyathā	evam ihânya-boDi-citta-nindA drazwavyA na tu boDi-cittam anyaTA
   nôtpadyatae eva ||	nôtpadyatae eva ||
   yathā daśadharmakasūtre deśitaṃ |	yaTA daSa-Darmaka-sUtre deSitam |
   iha kulaputra bodhisatvo gotrasthaḥ sann anutpāditabodhicittaḥ	iha kula-putra boDisatvaH gotra-sTaH san anutpAdita-boDi-cittaH
   tathāgatena vā tathāgataśrāvakeṇa vā saṃcodyamānaḥ	taTAgatena vA taTAgata-SrAvakeNa vA saMcodyamAnaH
   saṃvedyamānaḥ samādāpyamāno 'nuttarāyāṃ samyaksambodhau	saMvedyamAnaH samAdApyamAnaH anuttarAyAm samyaksamboDO
   [ Cambridge MS f6a ---> ]	[ Cambridge M f6aH ---> ]
   bodhicittam utpādayatîdaṃ prathamaṃ kāraṇaṃ bodhicittôtpādāya |	boDi-cittam utpAdayatîdam praTamam kAraNam boDi-cittôt-pAdAya |
   saṃbodher vā bodhicittasya vā varṇaṃ bhāṣyamāṇaṃ śrutvânuttarāyāṃ	saMboDeH vA boDi-cittasya vA varNam BAzyamANam Srutvâ-nuttarAyAm
   samyaksaṃbodhau cittam utpādayatîdaṃ dvitīyaṃ kāraṇaṃ |	samyaksaMboDO cittam utpAdayatîdam dvitIyam kAraNam |
   sa satvā ... naśaraṇān advīpān dṛṣṭvā kāruṇyacittam upasthāpya	sa satvAH ... na-SaraNAn advIpAn dRzwvA kAruNya-cittam upasTApya
   yāvad anuttarāyāṃ samyaksambodhau cittam utpādayatîdaṃ tṛtīyaṃ kāraṇaṃ	yAvat anuttarAyAm samyaksamboDO cittam utpAdayatîdam tRtIyam kAraNam
   bodhicittôtpādāya |	boDi-cittôt-pAdAya |
   sa tathāgatasya sarvâkāraparipūrṇatāṃ dṛṣṭvā prītim	sa taTAgatasya sarvâkAra-paripUrNa-tAm dRzwvA prItim
   utpādyânuttarāyāṃ samyaksaṃbodhau cittam utpādayatîdaṃ caturthaṃ kāraṇam	utpAdyânuttarAyAm samyaksaMboDO cittam utpAdayatîdam caturTam kAraNam
   iti |	iti |
   tac ca bodhicittaṃ dvividhaṃ bodhipraṇidhicittaṃ ca	tat ca boDi-cittam dviviDam boDi-praNiDi-cittam ca
   bodhiprasthāna cittaṃ ca |	boDi-prasTAna cittam ca |
   yathâryagaṇḍavyūhasūtre bhāṣitaṃ |	yaTârya-gaNxa-vyUha-sUtre BAzitam |
   durlabhāḥ kulaputra te satvāḥ sarvaloke ye 'nuttarasyāṃ samyaksaṃbodhau	durlaBAH kula-putra te satvAH sarva-loke ye anuttarasyAm samyaksaMboDO
   cittaṃ praṇidadhati |	cittam praNidaDati |
   tato 'pi durlabhatamās te satvā ye 'nuttarāṃ samyaksaṃbodhim	tatas api durlaBatamAH te satvAH ye anuttarAm samyaksaMboDim
   abhisaṃprasthitêti |	aBisaMprasTitêti |
   tatra bodhipraṇidhicittaṃ |	tatra boDi-praNiDi-cittam |
   mayā buddhena bhavitavyam iti cittaṃ praṇidhānād utpannaṃ bhavati |	mayA budDena Bavitavyam iti cittam praNiDAnAt utpannam Bavati |
   śūraṅgamasūtre 'pi |	SUraFgamasUtre api |
   śāṭhyôtpāditasyâpi bodhicittasya buddhatvahetutvâbhidhānāt |	SAWyôt-pAditasi-âpi boDi-cittasya budDa-tva-hetu-tvâBiDAnAt |
   kaḥ punar vādaḥ kiñcid eva kuśalaṃ kṛtvā |	kaH punar vAdaH kiQcid eva kuSalam kRtvA |
   yathôktaṃ bhadrakalpikasūtre |	yaTôktam Badra-kalpika-sUtre |
   ghoṣadatto nāma	GozadattaH nAma
   [ Bendall ed p9 ---> ]	[ Bet-dalt ed p9 ---> ]
   tathāgato yatra nakṣatrarājena tathāgatena	taTAgataH yatra nakzatra-rAjena taTAgatena
   prathamaṃ bodhicittam utpāditaṃ tāmbūlapatraṃ dattvā	praTamam boDi-cittam utpAditam tAmbUla-patram dattvA
   gopālakabhūtena |	gopAlaka-BUtena |
   evaṃ vidyutpradīpo nāma tathāgato yatra yaśasā tathāgatena	evam vidyutpradIpaH nAma taTAgataH yatra yaSasA taTAgatena
   prathamaṃ bodhicittam utpāditaṃ daśikāṃ dattvā	praTamam boDi-cittam utpAditam daSikAm dattvA
   tantravāyabhūtena |	tantra-vAya-BUtena |
   evam anantaprabho nāma tathāgato yatrârciṣmatā tathāgatena	evam anantapraBaH nAma taTAgataH yatrârcizmatA taTAgatena
   prathamaṃ bodhicittam utpāditaṃ tṛṇapradīpaṃ dattvā	praTamam boDi-cittam utpAditam tRNa-pradIpam dattvA
   nagarâvalambakabhūtena |	nagarâ-valambaka-BUtena |
   evaṃ dṛḍhavikramo nāma tathāgato yatra duṣpradharṣeṇa	evam dRXavikramaH nAma taTAgataH yatra duzpraDarzeNa
   tathāgatena prathamaṃ bodhicittam utpāditaṃ dattakāṣṭhaṃ dattvā	taTAgatena praTamam boDi-cittam utpAditam datta-kAzWam dattvA
   kāṣṭhahārakabhūtenêty ādi ||	kAzWa-hAraka-BUtenêti Adi ||
   caryâvikale 'pi ca bodhicitte nâvamanyatā karttavyā |	caryâ-vikale api ca boDi-citte nâvamanyatA karttavyA |
   tasyâpy anantasaṃsārasukhaprasavanatvāt |	tasyâpi ananta-saMsAra-suKa-prasavana-tvAt |
   yathâryamaitreyavimokṣe varṇitaṃ |	yaTârya-mEtreya-vimokze varNitam |
   tad yathâpi nāma kulaputra cittam api vajraratnaṃ sarvaprativiśiṣṭaṃ	tat yaTâpi nAma kula-putra cittam api vajra-ratnam sarva-prativiSizwam
   suvarṇâlaṃkāram abhibhavati |	suvarNâ-laMkAram aBiBavati |
   vajraratnanāma ca na vijahāti |	vajra-ratna-nAma ca na vijahAti |
   sarvadāridryaṃ vinivarttayati |	sarva-dAridryam vinivarttayati |
   evam eva kulaputrâśayapratipattibhinnam api	evam eva kula-putrâSaya-pratipatti-Binnam api
   sarvajñatācittôtpādavajraratnaṃ	sarvajQa-tA-cittôt-pAda-vajra-ratnam
   sarvaśrāvakapratyekabuddhaguṇasuvarṇâlaṃkāram abhibhavati bodhisattvanāma	sarva-SrAvaka-pratyekabudDa-guNa-suvarNâ-laMkAram aBiBavati boDisattva-nAma
   ca na vijahāti |	ca na vijahAti |
   sarvasaṃsāradāridryaṃ vinivarttayatîti |	sarva-saMsAra-dAridryam vinivarttayatîti |
   itaś ca vinâpi caryayā bodhicittam upakārakam iti jñātavyaṃ |	itas ca vinâpi caryayA boDi-cittam upakArakam iti jQAtavyam |
   yenâpararājâvavādakasūtre kathitaṃ |	yenâpara-rAjâvavAdaka-sUtre kaTitam |
   yasmāc ca tvaṃ mahārāja bahukṛtyo bahukaraṇīyaḥ |	yasmAt ca tvam mahA-rAja bahu-kRtyaH bahu-karaNIyaH |
   [ Cambridge MS f7a ---> ]	[ Cambridge M f7aH ---> ]
   asahaḥ sarveṇa sarvaḥ sarvathā sarvaṃ sarvadā dānapāramitāyāṃ śikṣituṃ |	asahaH sarveNa sarvaH sarvaTA sarvam sarvadA dAna-pAramitAyAm Sikzitum |
   evaṃ yāvat prajñāpāramitāyāṃ śikṣituṃ |	evam yAvat prajQApAramitAyAm Sikzitum |
   tasmāt tarhi tvaṃ mahārājâivam eva samyaksambodhichandaṃ śraddhāṃ tra ...	tasmAt tarhi tvam mahA-rAjâivam eva samyaksamboDiCandam SradDAm tra ...
   praṇidhiṃ ca gacchann api tiṣṭhann api	praNiDim ca gacCan api tizWan api
   niṣaṇṇo 'pi śayāno 'pi jāgrad api bhuñjāno 'pi |	nizaNNaH api SayAnaH api jAgrat api BuQjAnaH api |
   pivann api |	pivan api |
   satatasamitam anusmara |	satata-samitam anusmara |
   manasikuru bhāvaya |	manasikuru BAvaya |
   sarvabuddhabodhisatvapratyekabuddhâryaśrāvakapṛthagjanānām	sarva-budDa-boDisatva-pratyekabudDârya-SrAvaka-pRTagjanAnAm
   ātmanaś câtītânāgatapratyutpannāni sarvakuśalamūlāny abhisaṃkṣipya	AtmanaH câtItânAgata-pratyutpannAni sarva-kuSala-mUlAni aBisaMkzipya
   tulayitvā piṇḍayitvânumodasvâgrayânumodanayā	tulayitvA piNxayitvânumodasu-âgrayânumodanayA
   yāvad ākāśasamatayā nirvāṇasamatayânumodasvânumodya ca	yAvat AkASa-sama-tayA nirvANa-samatayânumodasu-ânumodya ca
   sarvabuddhabodhisatvapratyeka-	sarva-budDa-boDisatva-pratyeka-
   [ Bendall ed p10 ---> ]	[ Bet-dalt ed p10 ---> ]
   buddhâryaśrāvakāṇāṃ pūjākarmaṇe niryātaya |	budDârya-SrAvakANAm pUjA-karmaNe niryAtaya |
   niryātya ca sarvasatvasādhāraṇāni kuru |	niryAtya ca sarva-satva-sADAraNAni kuru |
   tataḥ sarvasatvānāṃ yāvat sarvajñātapratilambhāya	tatas sarva-satvAnAm yAvat sarva-jQAta-pratilamBAya
   sarvabuddhadharmaparipūraṇāya dine dine traikālyam anuttarāyāṃ	sarva-budDa-Darma-paripUraNAya dine dine trEkAlyam anuttarAyAm
   samyaksaṃbodhau pariṇāmayâivaṃ khalu tvaṃ mahārāja pratipannaḥ	samyaksaMboDO pariNAmayâivam Kalu tvam mahA-rAja pratipannaH
   san rājyaṃ kārayiṣyasi rājyakṛtyāni ca na hāyayiṣyasi	san rAjyam kArayizyasi rAjya-kRtyAni ca na ha-Ayayizyasi
   bodhisaṃbhārāṃś ca paripūrayiṣyasîti ||	boDi-saMBArAn ca paripUrayizyasîti ||
   atrâiva câsya vipākôktaḥ |	atrâiva ca-asya vipAkôktaH |
   sa khalu punas tvaṃ mahārāja tasya samyaksaṃbodhicittakuśalamūlakarmaṇo-	sa Kalu punar tvam mahA-rAja tasya samyaksaMboDi-citta-kuSala-mUla-karmaNaH--
   [ Cambridge MS f7b ---> ]	[ Cambridge M f7B ---> ]
   vipākenânekaśatakṛtvo deveṣûpapanno 'bhūḥ |	vipAkenâneka-Sata-kRtvas devezûpapannaH aBUH |
   anekaśatakṛtvo manuṣyeṣûpapanno 'bhūḥ |	aneka-Sata-kRtvas manuzya-izûpapannaH aBUH |
   sarvāsu ca devamanuṣyôpapattiṣv ādhipatyam eva kārayasi |	sarvAsu ca deva-manuzyôpapattizu ADipatyam eva kArayasi |
   na ca tāvat tava mahārāja tasya samyaksaṃbodhicittasya	na ca tAvat tava mahA-rAja tasya samyaksaMboDi-cittasya
   kuśalakarmaṇônatvaṃ vâpūrṇatvaṃ vā prajñāyate |	kuSala-karmaNôna-tvam vâpUrNa-tvam vA prajQAyate |
   api ca mahārājâikam api samyaksaṃbodhicittaṃ sarvasattvôttāraṇârambaṇatvāt	api ca mahArAjâikam api samyaksaMboDi-cittam sarva-sattvôttAraNâ-rambaNa-tvAt
   sarvasatvâmocanârambaṇatvāt	sarva-satvâ-mocanâ-rambaNa-tvAt
   sarvasatvasamāśvāsanârambaṇatvāt sarvasatvaparinirvāṇârambaṇatvād	sarva-satva-samASvAsanârambaNa-tvAt sarva-satva-parinirvANâ-rambaNa-tvAt-
   aprameyâsaṃkhyeyakuśalôpacayam |	aprameyâ-saMKyeya-kuSalôpacayam |
   kaḥ punar vādo yâivaṃ bahulīkarotîti ||	kaH punar vAdaH yâivam bahulIkarotîti ||
   etac ca bodhicittaṃ rūpakāyadarśanôtpannaṃ |	etat ca boDi-cittam rUpa-kAya-darSanôtpannam |
   tatra pūrvâvadāne paṭhyate |	tatra pUrvâvadAne paWyate |
   evaṃ tāvat praṇidhibodhicittaṃ veditavyaṃ |	evam tAvat praNiDi-boDi-cittam veditavyam |
   idaṃ tu vaktavyaṃ kim abhūmipraviṣṭhasyâpi	idam tu vaktavyam kim aBUmi-pravizWasi-âpi
   bodhisatvasamvarâdhikāro 'sti na vêti |	boDisatva-samvarâDikAraH asti na vêti |
   astîti veditavyaṃ ākāśagarbhasūtre lābhasatkārârthaṃ mūlâpattiśravaṇāt |	astîti veditavyam AkASa-garBa-sUtre lABa-satkArârTam mUlâpatti-SravaNAt |
   daśabhūmikasūtre tu prathamāyāṃ bhūmau darśitaṃ |	daSa-BUmika-sUtre tu praTamAyAm BUmO darSitam |
   na ca kañcit satkārāṃ kasyacit sakāśāt pratikāṃkṣaty anyatra	na ca kaQcid satkArAm kasyacid sakASAt pratikAMkzati anyatra
   mayâivâiṣāṃ sarvasatvānāṃ sarvôpakaraṇabāhulyam	mayâivâizAm sarva-satvAnAm sarvôpakaraNa-bAhulyam
   upanāmayitavyam iti |	upanAmayitavyam iti |
   tathā câha |	taTA câha |
   pramuditāyāṃ bodhisatvabhūmau suvyavasthito bhavaty acalanayo-	pramuditAyAm boDisatva-BUmO su-vyavasTitaH Bavati acalanayaH--
   [ Cambridge MS f8a ---> ]	[ Cambridge M f8aH ---> ]
   ge	ge
   ... ti |	... ti |
   punaś côktaṃ |	punar côktam |
   tathāga-	taTAga-
   [ Bendall ed p11 ---> ]	[ Bet-dalt ed p11 ---> ]
   tavaṃśaniyato bhavati saṃbodhiparāyaṇêti |	tavaMSa-niyataH Bavati saMboDi-parAyaNêti |
   ākāśagarbhasūtre tv āha |	AkASa-garBa-sUtre tu Aha |
   śrāvakayānam evâsya na bhavati prāg eva mahāyānam iti |	SrAvaka-yAnam evâsya na Bavati prAk eva mahAyAnam iti |
   tathâryôgraparipṛcchāyāṃ mātsaryaparyavanaddhasyâpi	taTârI-ôgra-paripRcCAyAm mAtsarya-paryavanadDasi-âpi
   śikṣāpadāni prajñaptāni |	SikzA-padAni prajQaptAni |
   pramuditāyāṃ tu paṭhyate |	pramuditAyAm tu paWyate |
   ātmasaṃjñâpagamāc câsyâtmasneho na bhavati |	Atma-saMjQâpagamAt câsyâtma-snehaH na Bavati |
   kutaḥ |	kutas |
   punaḥ sarvôpakaraṇasnehêti |	punar sarvôpakaraNa-snehêti |
   tathā mastakâdidānam apy atrâsyôktaṃ ||	taTA mastakâdidAnam api atrâsyôktam ||
   evam ādi sūtreṣu bhūmipraviṣṭasyâpi śikṣāprajñaptir dṛśyate |	evam Adi sUtrezu BUmi-pravizwasi-âpi SikzA-prajQaptiH dRSyate |
   yatra vâsāmānyena bodhisatvam adhikṛtyôpadeśas tatrâbhyāsayogyatayā	yatra vâsAmAnyena boDisatvam aDikRtyôpadeSaH tatrâByAsa-yogya-tayA
   pratiṣedhavākyena vâdikarmikabodhisatvena na	pratizeDa-vAkyena vâdi-karmika-boDisatvena na
   śikṣitavyaṃ bhaved etat |	Sikzitavyam Bavet etat |
   ubhayâsaṃbhave tu sarvatra śikṣitavyaṃ |	uBayâ-saMBave tu sarvatra Sikzitavyam |
   tatrâpy ekasyāṃ śikṣāyāṃ śikṣaṇāyām aśaktasyêtaraśikṣânabhyāsādanâpattiḥ	tatrâpi ekasyAm SikzAyAm SikzaNAyAm aSaktasyêtara-Sikzâ-naBya-AsAdanâpattiH
   āryâkṣayamatisūtre 'py evam avocat |	Aryâ-kzayam-atisUtre api evam avocat |
   dānakāle śīlôpasaṃhārasyâpekṣêti vistaraḥ |	dAna-kAle SIlôpa-saMhArasyâpekzêti vistaraH |
   na câtra śithilena bhavitavyaṃ na ca śeṣāsu na samudāgacchati |	na câtra SiTilena Bavitavyam na ca SezAsu na samudAgacCati |
   yathābalaṃ yathābhajamānam iti daśabhūmikasūtre vacanāt |	yaTAbalam yaTABajamAnam iti daSa-BUmika-sUtre vacanAt |
   ayaṃ ca saṃvaraḥ strīṇām api mṛdukleśānāṃ bodhyabhilāṣacittānāṃ labhyate |	ayam ca saMvaraH strINAm api mRdu-kleSAnAm boDi-aBilAza-cittAnAm laByate |
   uktaṃ hi bodhisatvaprātimokṣe |	uktam hi boDisatva-prAtimokze |
   caturbhiḥ śāriputra dharmaiḥ	caturBiH SAriputra DarmEH
   [ Cambridge MS f8b ---> ]	[ Cambridge M f8B ---> ]
   samanvāgatāḥ bodhisatvāḥ	samanvAgatAH boDisatvAH
   satyavādino bhavantîty ārabhyâha |	satya-vAdinaH Bavantîti AraByâha |
   iha śāriputra kulaputro vā kuladuhitā vânuttarāyāṃ samyaksaṃbodhau cittam	iha SAriputra kula-putraH vA kula-duhitA vânuttarAyAm samyaksaMboDO cittam
   utpādyârabdhavīryo viharati	utpAdyârabDa-vIryaH viharati
   kuśaladharmaparyeṣaṇāyêty ārabhya sarvôpadeśaḥ ||	kuSala-Darma-paryezaNa-Ayêti AraBya sarvôpadeSaH ||
   saṃvaragrahaṇaṃ ca bodhisatvaśikṣāpadâbhyāsaparamasya	saMvara-grahaNam ca boDisatva-Sikza-Apad-âByAsa-paramasya
   sāṃvarikasyântikāt kartavyaṃ |	sAMvarikasyântikAt kartavyam |
   evaṃ-	evaM-
   [ Bendall ed p12 ---> ]	[ Bet-dalt ed p12 ---> ]
   hy asya śikṣâtikrame tīvram apatrāpyaṃ guruvisaṃvādanabhayaṃ côtpadyate |	hi asya Sikzâtikrame tIvram apatrApyam guru-visaMvAdana-Bayam côtpadyate |
   tatra cânābhogataḥ premagauravasiddhir ity eṣa	tatra cânABaH-gataH prema-gOrava-sidDiH iti eza
   sāmānyasaṃvaradharmaḥ |	sAmAnya-saMvara-DarmaH |
   atâiva bodhisatvāḥ tathāgatānāṃ purataḥ śikṣāṇām	atâiva boDisatvAH taTAgatAnAm puratas SikzANAm
   anyatamaśikṣāniṣpattikāmāḥ samādānaṃ kurvanti |	anyatama-SikzA-nizpatti-kAmAH samAdAnam kurvanti |
   tasya ca kalyāṇamitrasyâbhāve	tasya ca kalyANa-mitrasi-âBAve
   daśadigavasthitabuddhabodhisatvâbhimukhībhāvabhāvanayā saṃvaro grāhyaḥ	daSa-diS-avasTita-budDa-boDisatvâBimuKIBAva-BAvanayA saMvaraH grAhyaH
   saṃvaram	saMvaram
   ātmabalaṃ ca tulayitvā |	Atma-balam ca tulayitvA |
   anyathā tu sarvabuddhabodhisatvāḥ sadevakaś ca loko visaṃvāditaḥ syāt |	anyaTA tu sarva-budDa-boDisatvAH sa-devakaH ca lokaH visaMvAditaH syAt |
   saddharmasmṛtyupasthānasūtre hi kiñcin mātraṃ cintayitvâpy adadataḥ	sadDarma-smRti-upasTAna-sUtre hi kiQcid mAtram cintayitvâpi adadataH
   pretagatir uktā pratijñātaṃ câdadato narakagatiḥ |	preta-gatiH uktA pratijQAtam câdadataH naraka-gatiH |
   kiṃ punar anuttaram artham akhilasya jagataḥ pratijñāyâsaṃpādayataḥ |	kim punar anuttaram arTam aKilasya jagataH pratijQAyâsaMpAdayataH |
   atâivôktaṃ dharmasaṃgītisūtre |	atâivôktam Darma-saMgIti-sUtre |
   satyagurukeṇa kulaputra bodhisatvena bhavitavyaṃ |	satya-gurukeNa kula-putra boDisatvena Bavitavyam |
   satyasaṃgītiḥ kulaputra dharmasaṃgī-	satya-saMgItiH kula-putra Darma-saMgI-
   [ Cambridge MS f9a ---> ]	[ Cambridge M f9aH ---> ]
   tiḥ |	tiH |
   tatra kulaputra katamat satyaṃ yad bodhisatvo 'nuttarāyāṃ samyaksaṃbodhau	tatra kula-putra katamat satyam yat boDisatvaH anuttarAyAm samyaksaMboDO
   cittam utpādya tac cittaṃ jīvitahetor api na	cittam utpAdya tat cittam jIvita-hetoH api na
   parityajati na satveṣu vipratipadyate |	parityajati na satvezu vipratipadyate |
   idaṃ bodhisatvasya satyaṃ ||	idam boDisatvasya satyam ||
   yat punar bodhisatvo 'nuttarāyāṃ samyaksaṃbodhau cittam utpādya	yat punar boDisatvaH anuttarAyAm samyaksaMboDO cittam utpAdya
   paścāt tac cittaṃ parityajati satveṣu vipratipadyate 'yaṃ bodhisatvasya	paScAt tat cittam parityajati satvezu vipratipadyate ayam boDisatvasya
   pratikṛṣṭo mṛṣāvādêti |	pratikRzwaH mRzAvAdêti |
   āryasāgaramatisūtre 'pi deśitaṃ |	Arya-sAgaram-atisUtre api deSitam |
   syād yathâpi nāma sāgaramate rājā vā rājamātro vā sarvaṃ nāgarakaṃ janaṃ	syAt yaTâpi nAma sAgara-mate rAjA vA rAjamAtraH vA sarvam nAgarakam janam
   śvo bhaktenôpanimantryôpekṣako bhaven nânnapānaṃ samudānayet satyaṃ	Svas BaktenôpanimantrI-ôpekzakaH Bavet nânna-pAnam samudAnayet satyam
   sarvajanakāyaṃ visaṃvādayet |	sarva-jana-kAyam visaMvAdayet |
   tatra te 'nnapānabhojanam alabhamānôccagghantaḥ prakrāmeyuḥ |	tatra te anna-pAna-Bojanam alaBamAnôt-caghantaH prakrAmeyuH |
   evam eva sāgaramate yo bodhisatvaḥ sarvasatvān	evam eva sAgara-mate yaH boDisatvaH sarva-satvAn
   āśvāsyâtīrṇatāraṇāyâmuktamocanāyânāśvastâśvāsanāya yāvan na	ASvAsyâtIrNa-tAraNa-ayâmukta-mocanAyâna-aSvastâSvAsanAya yAvat na
   bāhuśrutye 'bhiyogaṃ karoti nâpi tato 'nyeṣu bodhipakṣyakuśalamūleṣu	bAhu-Srutye aBiyogam karoti nâpi tatas anyezu boDi-pakzya-kuSala-mUlezu
   dharmeṣu |	Darmezu |
   ayaṃ bodhisatvo visaṃvādayati	ayam boDisatvaH visaMvAdayati
   [ Bendall ed p13 ---> ]	[ Bet-dalt ed p13 ---> ]
   sadevakaṃ lokaṃ |	sa-devakam lokam |
   evaṃ ca taṃ pūrvabuddhadarśinyo devatôccagghanti	evam ca tam pUrva-budDa-darSinyaH devatôt-cagGanti
   vivādayanti |	vivAdayanti |
   durlabhās te yajñasvāmino ye mahāyajñaṃ pratijñāyôttārayanti |	durlaBAH te yajQa-svAminaH ye mahA-yajQam pratijQAyôt-tArayanti |
   tasmāt tarhi sāgaramate na sā bodhisatvena vāg bhāṣitavyā yayā	tasmAt tarhi sAgara-mate na sA boDisatvena vAc BAzitavyA yayA
   sadevamānu-	sa-devamAnu-
   [ Cambridge MS f9a ---> ]	[ Cambridge M f9aH ---> ]
   ṣâsuraṃ lokaṃ visaṃvādayet ||	zâsuram lokam visaMvAdayet ||
   punar aparaṃ sāgaramate bodhisatvaḥ kenacid evâdhīṣṭo bhavati dharmeṣv	punar aparam sAgara-mate boDisatvaH kenacid evâDIzwaH Bavati Darmezu-
   arthakaraṇīyeṣu |	arTa-karaNIyezu |
   tatra bodhisatvena vāg bhāṣitā bhavati yāvad ātmaparityāgo 'pi	tatra boDisatvena vAc BAzitA Bavati yAvat Atma-parityAgaH api
   bodhisatvena kartavyo bhavet tatra na punaḥ sa satvo visaṃvādayitavyêti |	boDisatvena kartavyaH Bavet tatra na punar sa satvaH visaMvAdayita-vyêti |
   tasmāt svabalânurūpeṇâikam api kuśalamūlaṃ samādāya	tasmAt sva-balânurUpeNâikam api kuSala-mUlam samAdAya
   rakṣitavyaṃ |	rakzitavyam |
   yathôktam āryakṣitigarbhasūtre |	yaTôktam Arya-kziti-garBa-sUtre |
   ebhir daśabhiḥ kuśalaiḥ karmapathair buddhatvaṃ |	eBiH daSaBiH kuSalEH karma-paTEH budDa-tvam |
   na punar yo 'ntaśâikam api yāvajjīvaṃ kuśalaṃ karmapathaṃ na	na punar yaH anta-Sâikam api yAvajjIvam kuSalam karma-paTam na
   rakṣati atha ca punar evaṃ vadati |	rakzati aTa ca punar evam vadati |
   ahaṃ mahāyāniko 'haṃ cânuttarāṃ samyaksaṃbodhiṃ paryeṣāmîti |	aham mahAyAnikaH aham cânuttarAm samyaksaMboDim paryezAmîti |
   sa pudgalaḥ paramakuhako mahāmṛṣāvādikaḥ sarveṣāṃ buddhānāṃ bhagavatāṃ	sa pudgalaH parama-kuhakaH mahA-mRzA-vAdikaH sarvezAm budDAnAm BagavatAm
   purato visaṃvādako lokasyôcchedavādī	puratas visaMvAdakaH lokasyô=-Ceda-vAdI
   sa mūḍhaḥ kālaṃ kurute vinipātagāmī bhavatîti |	sa mUXaH kAlam kurute vinipAta-gAmI Bavatîti |
   yāvat kālaṃ ca śaknoti tāvat kālaṃ kuśalaṃ samādāya	yAvat kAlam ca Saknoti tAvat kAlam kuSalam samAdAya
   vartitavyaṃ ||	vartitavyam ||
   etac ca bhaiṣajyaguruvaiḍūryaprabhasūtre draṣṭavyaṃ |	etat ca BEzajya-guru-vExUrya-praBa-sUtre drazwavyam |
   yas tu mahāsatvâivaṃ śrutvâpi bodhisatvacaryāduṣkaratām	yaH tu mahAsatvâivam Srutvâpi boDisatva-caryA-duzkara-tAm
   api prajñayâvagāhyôtsahatae eva sakaladuṣkhitajanaparitrāṇadhuram	api prajQayâvagAhyôt-sahatae eva sakala-duzKita-jana-paritrANa-Duram
   avavoḍhuṃ tena	avavoXum tena
   vandanapūjanapāpadeśanapuṇyânumodanabuddhâdhyeṣaṇayācanabodhipariṇāmanaṃ	vandana-pUjana-pApa-deSa-napuNyânumodana-budDâ-DyezaNa-yAcana-boDi-pariNAmanam
   kṛtvā	kRtvA
   kalyāṇamitram abhyetya ta-	kalyANa-mitram aByetya ta-
   [ Cambridge MS f10a ---> ]	[ Cambridge M f10aH ---> ]
   duktânuvādena svayaṃ vā vaktavyaṃ |	duktânuvAdena svayam vA vaktavyam |
   samanvāharâcāryâham evaṃ nāmêty uktvā |	samanvAharâ-cArI-âham evam nAmêti uktvA |
   yathâryamañjuśrībuddhakṣetraguṇavyūhâlaṅkārasūtre	yaTârya-maQju-SrI-budDa-kzetra-guNa-vyUhâ-laFkAra-sUtre
   bhagavatā mañjuśriyā pūrvajanmâvadāne caryôpetaṃ bodhicittam	BagavatA maQju-SriyA pUrva-janmâvadAne caryôpetam boDi-cittam
   utpāditaṃ tathôtpādayitavyaṃ |	utpAditam taTôt-pAdayitavyam |
   evaṃ hi tenôktaṃ ||	evam hi tenôktam ||
   yāvatī prathamā koṭiḥ saṃsārasyântavarjitā |	yAvatI praTamA kowiH saMsArasyânta-varjitA |
   tāvat satvahitârthāya cariṣyāmy amitāṃ carim ||	tAvat satva-hitârTAya carizyAmi amitAm carim ||
   [ Bendall ed p14 ---> ]	[ Bet-dalt ed p14 ---> ]
   utpādayāma saṃbodhau cittaṃ nāthasya saṃmukham |	utpAdayAma saMboDO cittam nATasya saMmuKam |
   nimantraye jagat sarvaṃ dāridryān mocitâsmi tat ||	nimantraye jagat sarvam dAridryAt mocitâsmi tat ||
   vyāpādakhilacittaṃ vêrṣyāmātsaryam eva vā |	vyApAt-aKila-cittam vêrzyA-mAtsaryam eva vA |
   adyâgre na kariṣyāmi bodhiṃ prāpsyāmi yāvatā |	adyâgre na karizyAmi boDim prApsyAmi yAvatA |
   brahmacaryaṃ cariṣyāmi kāmāṃs tyakṣyāmi pāpakān ||	brahmacaryam carizyAmi kAmAn tyakzyAmi pApakAn ||
   buddhānām anuśikṣiṣye śīlasaṃvarasaṃyame |	budDAnAm anuSikzizye SIla-saMvara-saMyame |
   nâhaṃ tvaritarūpeṇa bodhiṃ prāptum ihôtsahe ||	nâham tvarita-rUpeNa boDim prAptum ihôt-sahe ||
   parântakoṭiṃ sthāsyāmi satvasyâikasya kāraṇāt |	parânta-kowim sTAsyAmi satvasyâikasya kAraNAt |
   kṣetraṃ viśodhayiṣyāmi aprameyam acintiyam ||	kzetram viSoDayizyAmi aprameyam acintiyam ||
