   akariṣyat sudhīs tadā BhStc_40d	akarizyat suDIH tadA BhStt-_40d
   pluṣṭāśeṣabhavendhanā BhStc_58b	pluzwa-aSeza-Bava-inDanAH BhStt-_58b
   phalaṃ tad aja jātaṃ yat BhStc_109c	Palam tat aja jAtam yat BhStt-_109c
   phalaṃ lokatrayātmakam BhStc_32b	Palam lokatraya-Atmakam BhStt-_32b
   baliṃ yāmo bhavāya te BhStc_11d	balim yAmaH BavAya te BhStt-_11d
   bibhratāṃ tvaṃ prabho prabhuḥ BhStc_73d	biBratAm tvam praBo praBuH BhStt-_73d
   brahmaṇo 'pi bhavān brahma BhStc_74a	brahmaNaH api BavAn brahma BhStt-_74a
   brahmāṇḍagarbhiṇīṃ vyoma- BhStc_8a	brahmANxa-garBiNIm vyoma BhStt-_8a
   brahmāṇḍād api nairguṇya- BhStc_7c	brahmANxAt api nErguNya BhStt-_7c
   brahmādayo 'pi tad yasya BhStc_33a	brahma-AdayaH api tat yasya BhStt-_33a
   brahmādibhir api prabho BhStc_39d	brahma-AdiBiH api praBo BhStt-_39d
   brūyāṃ vā sādhv asādhu vā BhStc_103b	brUyAm vA sADu asADu vA BhStt-_103b
   bhakticintāmaṇiṃ śārvaṃ BhStc_26c	Bakti-cintAmaNim SArvam BhStt-_26c
   bhaktilakṣmyālayaṃ śambho BhStc_120c	Bakti-lakzmya-Alayam SamBo BhStt-_120c
   bhagavan bhava bhāvatkaṃ BhStc_14a	Bagavan Bava BAvat-kam BhStt-_14a
   bhaṭṭanārāyaṇo vyadhāt BhStc_120d	Bawwa-nArAyaNaH vyaDAt BhStt-_120d
   bhavajjñānāmbudher madhyam BhStc_95c	Bavat-jQAna-ambuDeH maDyam BhStt-_95c
   bhava tattatpradānena BhStc_24c	Bava tad-tad-pradAnena BhStt-_24c
   bhavatas tv īśa nāmāpi BhStc_79c	BavataH tu ISa nAma-api BhStt-_79c
   bhavate bhava te 'vate BhStc_30b	Bavate Bava te avate BhStt-_30b
   bhavadbhaktis tu jananī BhStc_116c	Bavat-BaktiH tu jananI BhStt-_116c
   bhavadbhāvaikabhūṣaṇam BhStc_119d	Bavat-BAva-eka-BUzaNam BhStt-_119d
   bhavān iva bhavān eva BhStc_83a	BavAn iva BavAn eva BhStt-_83a
   bhavet sālambanā tasya BhStc_115c	Bavet sa-AlambanA tasya BhStt-_115c
   bhaved yadi paraṃ bhava BhStc_83b	Bavet yadi param Bava BhStt-_83b
   bhārūpaḥ satyasaṃkalpas BhStc_85a	BA-rUpaH satya-saMkalpaH BhStt-_85a
   bhāvaṃ bhāvayituṃ ruciḥ BhStc_14b	BAvam BAvayitum ruciH BhStt-_14b
   bhinneṣv api na bhinnaṃ yac BhStc_6a	Binnezu api na Binnam yat BhStt-_6a
   bhuktvā bhogān bhavabhrāntiṃ BhStc_102a	BuktvA BogAn Bava-BrAntim BhStt-_102a
   bhūribhūtisitāṅgāya BhStc_57c	BUri-BUti-sita-aFgAya BhStt-_57c
   bhedayoge 'py abhedine BhStc_11b	Beda-yoge api aBedine BhStt-_11b
   bhoktre bhava namo 'stu te BhStc_63d	Boktre Bava namaH astu te BhStt-_63d
   bhramo na labhyate yasya BhStc_35a	BramaH na laByate yasya BhStt-_35a
   bhrāntāntaḥkaraṇair api BhStc_35b	BrAnta-antaHkaraNEH api BhStt-_35b
   bhrāntim udbhāvya bhindate BhStc_71b	BrAntim udBAvya Bindate BhStt-_71b
   magnair bhīme bhavāmbhodhau BhStc_26a	magnEH BIme Bava-amBoDO BhStt-_26a
   matayas taṃ śivaṃ stumaḥ BhStc_65d	matayaH tam Sivam stumaH BhStt-_65d
   manasā parameśvara BhStc_37b	manasA parameSvara BhStt-_37b
   manaskatvena yā sthitiḥ BhStc_15d	manaska-tvena yA sTitiH BhStt-_15d
   manorathagato 'pi vā BhStc_96b	manoraTa-gataH api vA BhStt-_96b
   manorathaphalapradam BhStc_120b	manoraTa-Pala-pradam BhStt-_120b
   manorathaḥ sthito yasya BhStc_105c	manoraTaH sTitaH yasya BhStt-_105c
   mantrayāmo 'mbikāpate BhStc_4b	mantrayAmaH ambikApate BhStt-_4b
   mantrasāmarthyam āśritāḥ BhStc_20b	mantra-sAmarTyam ASritAH BhStt-_20b
   mantrī tvattaḥ kuto 'paraḥ BhStc_84b	mantrI tvattaH kutas aparaH BhStt-_84b
   mantro 'si mantraṇīyo 'si BhStc_84a	mantraH asi mantraNIyaH asi BhStt-_84a
   manye nyastapadaḥ so 'pi BhStc_105a	manye nyasta-padaH saH api BhStt-_105a
   manye vandhyātmajānujaḥ BhStc_104d	manye vanDyAtmaja-anujaH BhStt-_104d
   mama tvayy eva yaḥ sthitaḥ BhStc_47b	mama tvayi eva yaH sTitaH BhStt-_47b
   mayam ekaṃ yad avyayam BhStc_89b	mayam ekam yat avyayam BhStt-_89b
   malatailāktasaṃsāra- BhStc_113a	mala-tEla-akta-saMsAra BhStt-_113a
   malasaṃkṣālanakṣamāḥ BhStc_76b	mala-saMkzAlana-kzamAH BhStt-_76b
   mastakanyastagaṅgāya BhStc_91c	mastaka-nyastagaFgAya BhStt-_91c
   mahatīyam aho māyā BhStc_44a	mahatI-iyam aho mAyA BhStt-_44a
   mahatsv apy arthakṛcchreṣu BhStc_65a	mahatsu api arTa-kRcCrezu BhStt-_65a
   mahān asmīti bhāvanā BhStc_115b	mahAn asmi-iti BAvanA BhStt-_115b
   mahāhaṃsāya śambhave BhStc_57d	mahA-AhaMsAya SamBave BhStt-_57d
   mahimā parameśvaraḥ BhStc_1d	mahimA parameSvaraH BhStt-_1d
   mānasaikanivāsine BhStc_57b	mAnasa-eka-nivAsine BhStt-_57b
   māmi nātmani kiṃ mudā BhStc_37d	mAmi na-Atmani kim mudA BhStt-_37d
   māyayāmeyayā tava BhStc_54d	mAyayA-ameyayA tava BhStt-_54d
   māyājalodarāt samyag BhStc_10a	mAyA-jala-udarAt samyak BhStt-_10a
   māyāmayamalāndhasya BhStc_88a	mAyA-maya-mala-anDasya BhStt-_88a
   māyām ekanimeṣeṇa BhStc_72c	mAyAm eka-nimezeNa BhStt-_72c
   mālālayamayātmane BhStc_23b	mAlA-Alaya-maya-Atmane BhStt-_23b
   mukuṭotkaṭamastakāḥ BhStc_94b	mukuwa-utkawa-mastakAH BhStt-_94b
   muktaye 'dhikriyeta kaḥ BhStc_48d	muktaye aDikriyeta kaH BhStt-_48d
   mukhyadhyeyasya dhūrjaṭeḥ BhStc_19b	muKya-Dyeyasya DUrjaweH BhStt-_19b
   mugdho lokaḥ ślathāyate BhStc_44d	mugDaH lokaH SlaTAyate BhStt-_44d
   muṣṇaṃs tāṃ pātu naḥ śivaḥ BhStc_72d	muzNan tAm pAtu naH SivaH BhStt-_72d
   muhur muhur aviśrāntas BhStc_112a	muhur muhur aviSrAntaH BhStt-_112a
   muhur muhur jagaccitrasy- BhStc_80a	muhur muhur jagat-citrasy BhStt-_80a
   mūlaprakṛtim īśvaram BhStc_64b	mUlaprakRtim ISvaram BhStt-_64b
   mokṣaparyantasiddhidam BhStc_79d	mokza-paryanta-sidDi-dam BhStt-_79d
   mohaughamalinīkṛtāḥ BhStc_65b	moha-oGa-malinIkRtAH BhStt-_65b
   ya uddhartā bhavārṇavāt BhStc_75d	yaH udDartA Bava-arNavAt BhStt-_75d
   yataḥ sampūrṇadharmaṇaḥ BhStc_64d	yatas sampUrNa-DarmaNaH BhStt-_64d
   yato 'nyatra na so 'si bhoḥ BhStc_67d	yatas anyatra na saH asi BoH BhStt-_67d
   yatprasatteḥ phalaṃ tava BhStc_98b	yat-prasatteH Palam tava BhStt-_98b
   yathāyuktārthakāriṇe BhStc_91d	yaTA-yukta-arTa-kAriNe BhStt-_91d
   yadicchayā pratāyete BhStc_66c	yat-icCayA pratAyete BhStt-_66c
   yadīya iha dhīmatām BhStc_25d	yadIyaH iha DImatAm BhStt-_25d
   yannāmnāpi mahātmānaḥ BhStc_82c	yad-nAmnA-api mahAtmAnaH BhStt-_82c
   yayānantaphalāṃ bhaktiṃ BhStc_43c	yayA-ananta-PalAm Baktim BhStt-_43c
   yas tvadālambanaḥ prabho BhStc_115d	yaH tvad-AlambanaH praBo BhStt-_115d
   yasya vedātmikājñeyam BhStc_69c	yasya veda-AtmikA-AjQeyam BhStt-_69c
   yasyāḥ prāpyeta paryanta- BhStc_72a	yasyAH prApyeta paryanta BhStt-_72a
   yaḥ sphītaḥ śrīdayābodha- BhStc_2a	yaH sPItaH SrIdayA-boDa BhStt-_2a
   yā yā dik tatra na kvāsi BhStc_56a	yA yA diS tatra na kva-asi BhStt-_56a
   yāvajjīvaṃ jagannātha BhStc_15a	yAvajjIvam jagannATa BhStt-_15a
   yāvad uttaram āsvāda- BhStc_50a	yAvat uttaram AsvAda BhStt-_50a
   ye tvāṃ jānanti dhūrjaṭe BhStc_27d	ye tvAm jAnanti DUrjawe BhStt-_27d
   ye vimuktānyasaṃkatham BhStc_62b	ye vimuktAni-asaMkaTam BhStt-_62b
   yo 'sau sa dayito 'smākaṃ BhStc_87c	yaH asO sa dayitaH asmAkam BhStt-_87c
   rasaḥ srotaḥsahasreṇa BhStc_22c	rasaH srotaH-sahasreNa BhStt-_22c
   rāgo 'py astu jagannātha BhStc_47a	rAgaH api astu jagannATa BhStt-_47a
   rūpaṃ tat pārameśvaram BhStc_6d	rUpam tat pArameSvaram BhStt-_6d
   lapsyase nātha kathyatām BhStc_56d	lapsyase nATa kaTyatAm BhStt-_56d
   labdhuṃ dhāma namāmi tam BhStc_33d	labDum DAma namAmi tam BhStt-_33d
   labhyate bhava kutrāṃśe BhStc_53c	laByate Bava kutra-aMSe BhStt-_53c
   lipseran nopakāraṃ ke BhStc_64c	lipseran na-upakAram ke BhStt-_64c
   lobhāyāpi namas tasmai BhStc_47c	loBAya-api namaH tasmE BhStt-_47c
   vacaś cetaś ca kāryaṃ ca BhStc_119a	vacaH ca-itas ca kAryam ca BhStt-_119a
   vapanti tvayy amī prabho BhStc_43d	vapanti tvayi amI praBo BhStt-_43d
   vayaṃ vañcyāmahe 'dyāpi BhStc_54c	vayam vaQcyAmahe adya-api BhStt-_54c
   vastutattvaṃ padārthānāṃ BhStc_79a	vastu-tattvam padArTAnAm BhStt-_79a
   vahed brāhmīṃ dhuraṃ na kaḥ BhStc_93d	vahet brAhmIm Duram na kaH BhStt-_93d
   vāṅmanaḥkāyakarmāṇi BhStc_17a	vAc-manaH-kAya-karmANi BhStt-_17a
   vācya eṣāṃ tvam eveti BhStc_40a	vAcyaH ezAm tvam eva-iti BhStt-_40a
   vāsanāvartidāhinā BhStc_113b	vAsanA-varti-dAhinA BhStt-_113b
   vidyoddyotitamāhātmyaḥ BhStc_2c	vidyA-uddyotita-mAhAtmyaH BhStt-_2c
   vidhir ādis tathānto 'si BhStc_70a	viDiH AdiH taTA-antaH asi BhStt-_70a
   viniyojya tvayi prabho BhStc_17b	viniyojya tvayi praBo BhStt-_17b
   vibhave śambhave namaḥ BhStc_5d	viBave SamBave namaH BhStt-_5d
   viyanmāyāsvarūpāya BhStc_5c	viyat-mAya-asvarUpAya BhStt-_5c
   viśeṣaḥ kair manorathaiḥ BhStc_72b	viSezaH kEH manoraTEH BhStt-_72b
   viśrāmyan bhava bhāvatka- BhStc_38c	viSrAmyan Bava BAvat-ka BhStt-_38c
   viśvaṅ no dhṛtavān asi BhStc_4d	viSvak naH DRtavAn asi BhStt-_4d
   viśvam astu svatantras tu BhStc_45c	viSvam astu svatantraH tu BhStt-_45c
   viśvasya parameśvara BhStc_70b	viSvasya parameSvara BhStt-_70b
   visṛṣṭānekasadbīja- BhStc_59a	visRzwa-aneka-sat-bIja BhStt-_59a
   vedāgamamayātmane BhStc_16b	veda-Agama-maya-Atmane BhStt-_16b
   vedyaṃ kiṃ karma vā nātha BhStc_31c	vedyam kim karma vA nATa BhStt-_31c
   vairāgyasya gatiṃ gurvīṃ BhStc_73a	vErAgyasya gatim gurvIm BhStt-_73a
   vyatītaguṇayogasya BhStc_19a	vyatIta-guNa-yogasya BhStt-_19a
   vyayaiśvaryaikaśāline BhStc_60d	vyaya-ESvarya-eka-SAline BhStt-_60d
   vyāpinaḥ sarvatogateḥ BhStc_8b	vyApinaH sarvatas-gateH BhStt-_8b
   śaktaḥ kubjayituṃ tṛṇam BhStc_93b	SaktaH kubjayitum tRNam BhStt-_93b
   śaktir yā te tayā nātha BhStc_80c	SaktiH yA te tayA nATa BhStt-_80c
   śaktiṃ haṃsīm iva stumaḥ BhStc_8d	Saktim haMsIm iva stumaH BhStt-_8d
   śambhave śaṃ bhave 'bhave BhStc_30d	SamBave Sam Bave aBave BhStt-_30d
   śambhau bhaktimataḥ param BhStc_102d	SamBO BaktimataH param BhStt-_102d
   śarīraṃ mama yat prabho BhStc_119b	SarIram mama yat praBo BhStt-_119b
   śaṃkarakṣīrasindhave BhStc_3d	SaMkara-kzIra-sinDave BhStt-_3d
   śākhāsahasravistīrṇa- BhStc_16a	SAKA-sahasra-vistIrNa BhStt-_16a
   śālini śūline namaḥ BhStc_18d	SAlini SUline namaH BhStt-_18d
   śāśvatīṃ kuruṣe yad vā BhStc_78c	SASvatIm kuruze yat vA BhStt-_78c
   śāṃkarī śaraṇaṃ mama BhStc_52d	SAMkarI SaraNam mama BhStt-_52d
   śivajñānaṃ svato dugdhaṃ BhStc_10c	Siva-jQAnam svatas dugDam BhStt-_10c
   śukrataḥ parataḥ param BhStc_69b	SukrataH paratas param BhStt-_69b
   śuddhāmṛtamayātmane BhStc_3b	SudDa-amRta-maya-Atmane BhStt-_3b
   śubhasyaiveśa kevalam BhStc_116d	SuBasya-eva-ISa kevalam BhStt-_116d
   śubhāśubhasya sarvasya BhStc_116a	SuBa-aSuBasya sarvasya BhStt-_116a
   śaivayogabalākṛṣṭā BhStc_76c	SEva-yoga-bala-AkRzwAH BhStt-_76c
   śrīratnāmṛtalābhāya BhStc_29a	SrI-ratna-amRta-lABAya BhStt-_29a
   śreyasā śreya evaitad BhStc_110a	SreyasA SreyaH eva-etat BhStt-_110a
   ślāghyās te śāmbhavīṃ bhūtim BhStc_20c	SlAGyAH te SAmBavIm BUtim BhStt-_20c
   ṣaṭpramāṇīpariccheda- BhStc_11a	zaz-pramANI-paricCeda BhStt-_11a
   sa geyaḥ parameśvaraḥ BhStc_82b	sa geyaH parameSvaraH BhStt-_82b
   sa jayaty aparājitaḥ BhStc_2d	sa jayati aparAjitaH BhStt-_2d
   sadaiśvaryaṃ bhavakṣayaḥ BhStc_55b	sat-ESvaryam Bava-kzayaH BhStt-_55b
   sa dhiyaḥ satpathe prabhuḥ BhStc_77d	sa DiyaH sat-paTe praBuH BhStt-_77d
   sa bindur yasya taṃ vande BhStc_61c	sa binduH yasya tam vande BhStt-_61c
   sa mahyaṃ dehi taṃ mantraṃ BhStc_84c	sa mahyam dehi tam mantram BhStt-_84c
   sampūrṇāmṛtasūtaye BhStc_5b	sampUrNa-amRta-sUtaye BhStt-_5b
   sarvajñaḥ sarvakṛt sarvam BhStc_31a	sarvajQaH sarva-kRt sarvam BhStt-_31a
   sarvatrātrāsmi nirvṛtaḥ BhStc_103d	sarvatra-atra-asmi nirvRtaH BhStt-_103d
   sarvatrānadhyavasyataḥ BhStc_52b	sarvatra-anaDyavasyataH BhStt-_52b
   sarvavibhramanirmoka- BhStc_95a	sarva-viBrama-nirmoka BhStt-_95a
   sarvasthāne mameśa tvaṃ BhStc_75c	sarva-sTAne mama-ISa tvam BhStt-_75c
   sarvasya spṛhaṇīyāya BhStc_42c	sarvasya spRhaNIyAya BhStt-_42c
   sarvaḥ kālo bhavanmayaḥ BhStc_56b	sarvaH kAlaH Bavat-mayaH BhStt-_56b
   sarvānugrāhikā śaktiḥ BhStc_52c	sarva-anugrAhikA SaktiH BhStt-_52c
   sahasraguṇavistaraḥ BhStc_50b	sahasraguNa-vistaraH BhStt-_50b
   saṃsārīti kim īśaiṣa BhStc_85c	saMsArI-iti kim ISa-eza BhStt-_85c
   saṃhṛtasparśayogāya BhStc_5a	saMhRta-sparSa-yogAya BhStt-_5a
   sā gatir gamyase yayā BhStc_109b	sA gatiH gamyase yayA BhStt-_109b
   sārthasiddhinidhānataḥ BhStc_99b	sArTa-sidDi-niDAnataH BhStt-_99b
   sā siddhis tat paraṃ padam BhStc_118d	sA sidDiH tat param padam BhStt-_118d
   sukṛtasyāpi saukṛtyaṃ BhStc_67c	sukRtasya-api sOkRtyam BhStt-_67c
   sugirā cittahāriṇyā BhStc_1a	sugirA citta-hAriNyAH BhStt-_1a
   suhṛdbhiḥ svāmibhis tathā BhStc_75b	suhRdBiH svAmiBiH taTA BhStt-_75b
   sūkṣmo 'pi cet trilokīyaṃ BhStc_39a	sUkzmaH api ced trilokIyam BhStt-_39a
   sūryācandramasāv imau BhStc_34b	sUryAcandramasO imO BhStt-_34b
   sevāśaṃsāsudhārasaḥ BhStc_111b	sevA-SaMsa-asuDA-rasaH BhStt-_111b
   seviṣye śivam ity ayam BhStc_105d	sevizye Sivam iti ayam BhStt-_105d
   somāya svāmine namaḥ BhStc_51d	somAya svAmine namaH BhStt-_51d
   stavacintāmaṇiṃ bhūri- BhStc_120a	stava-cintAmaNim BUri BhStt-_120a
   stumas tribhuvanārambha- BhStc_64a	stumaH triBuvana-AramBa BhStt-_64a
   stumas tvām ṛgyajuḥsāmnāṃ BhStc_69a	stumaH tvAm Rc-yajuH-sAmnAm BhStt-_69a
   sthityutpattilayair loka- BhStc_106a	sTiti-utpatti-layEH loka BhStt-_106a
   sthūlo 'tha kiṃ sudarśo na BhStc_39c	sTUlaH aTa kim sudarSaH na BhStt-_39c
   smayena tvanmayo 'smīti BhStc_37c	smayena tvad-mayaH asmi-iti BhStt-_37c
   smṛte yasmin prasīdanti BhStc_65c	smRte yasmin prasIdanti BhStt-_65c
   smṛtyā nutyā ca dadate BhStc_30c	smRtyA nutyA ca dadate BhStt-_30c
   svatantraṃ tantram īkṣase BhStc_106d	svatantram tantram Ikzase BhStt-_106d
   svatantrāyāsvatantrāya BhStc_60c	svatantrAya-asvatantrAya BhStt-_60c
   svapnaḥ so 'pi kutas tvayi BhStc_85d	svapnaH saH api kutas tvayi BhStt-_85d
   svayaṃ kartā bhavān api BhStc_116b	svayam kartA BavAn api BhStt-_116b
   svaśaktivyūhasaṃvyūḍha- BhStc_83c	sva-Sakti-vyUha-saMvyUXa BhStt-_83c
   svāmin so 'sīti niścitya BhStc_101c	svAmin saH asi-iti niScitya BhStt-_101c
   harapraṇatimāṇikya- BhStc_94a	hara-praNati-mANikya BhStt-_94a
   hitvā lapsye paraṃ padam BhStc_102b	hitvA lapsye param padam BhStt-_102b
   hṛtoddhatatamastāntiḥ BhStc_58a	hRta-udDatatamaH-tAntiH BhStt-_58a
   hetuḥ ka iti saṃśaye BhStc_101b	hetuH kaH iti saMSaye BhStt-_101b
