   // prathamādhyāye dvitīyāhnikam //	// praTama-aDyAye dvitIya-Ahnikam //
   // kathālakṣaṇaprakaraṇam //	// kaTA-lakzaNa-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   ucyamānagrāhyamaprāptakālādi /	ucyamAna-grAhyam-aprApta-kAla-Adi /
   ābhāsabahiruktagrāhyaṃ pratijñāvirodhādi /	ABAsa-bahis-ukta-grAhyam pratijQA-viroDa-Adi /
   eṣvasatsu ābhāsacintā /	ezu-asatsu ABAsa-cintA /
   tataḥ punaḥ pratidūṣaṇoktau ābhāsabahiḥpratijñāhānyādi /	tatas punar pratidUzaNa-uktO ABAsa-bahis-pratijQAhAnyAdi /
   etacca pañcame prapañcanīyamiti //	etat-ca paQcame prapaQcanIyam-iti //
   yadyapi nigrahasthānapadenāviśeṣāt sarvaprāptau siddhāntāviruddhaḥ	yadi-api nigraha-sTAna-padena-aviSezAt sarva-prAptO sidDAnta-avirudDaH
   pañcāvayavopapanna iti padadvayātideśo mandaḥ, tathāpi	paQca-avayava-upapannaH iti pada-dvaya-atideSaH mandaH, taTA-api
   gorbalīvardanyāyenāpi yathāśrutabhāṣyopapattau kṛtaṃ tadbhāṅgeneti	gorbalIvarda-nyAyena-api yaTA-Sruta-BAzya-upapattO kRtam tad-BAFgena-iti
   manyamāno bhāṣyaṃ vārttikena samañjasayannāha---uktamātramityādi /	manyamAnaH BAzyam vArttikena samaQjasayat-=-Aha----ukta-mAtram-ityAdi /
   yadyapyaparādhasaṃgūhanārthaṃ	yadi-api-aparADa-saMgUhana-arTam
   pratijñāhānipratijñāntarapratijñāsaṃnyāsahetvantarārthāntaranirarthakāvijñātārthavikṣepāpasiddhāntānāmupādānaṃ	pratijQA-ahAni-pratijQA-antara-pratijQA-saMnyAsa-hetu-antara-arTa-antara-nirarTaka-avijQAta-arTa-vikzepa-apa-sidDAntAnAm-upAdAnam
   saṃbhavati, tathāpi na sarvanigrahopādānasaṃbhavaḥ /	saMBavati, taTA-api na sarva-nigraha-upAdAna-saMBavaH /
   api ca pramādaskhalite 'pi chalādibhireva pratyavasthātumucitam,	api ca pramAda-sKalite api Cala-AdiBiH-eva pratyavasTAtum-ucitam,
   nigrahasthānāpekṣayā teṣāmanudbhaṭāparādhatvāt /	nigraha-sTAna-apekzayA tezAm-anudBawa-aparADa-tvAt /
   tasmādudbhāvyatayaivāmīṣāṃ sarveṣāmavatāraḥ /	tasmAt-udBAvyatayA-eva-amIzAm sarvezAm-avatAraH /
   tathā ca nāyuktatvamityabhiprāyavānāha---tat kimiti /	taTA ca na-ayukta-tvam-iti-aBiprAyavAn-Aha----tat kim-iti /
   sādhusādhanopādāne ca vādinā kṛta ityupalakṣaṇam /	sADu-sADana-upAdAne ca vAdinA kRtaH iti-upalakzaNam /
   pareṇa sādhusādhanopādāne ca kṛta ityapi draṣṭavyam /	pareNa sADu-sADana-upAdAne ca kRtaH iti-api drazwavyam /
   nanu bhāṣyaṃ dūṣayitvā kimadhikamamihitam? tenāpi	nanu BAzyam dUzayitvA kim-aDikam-ami-hitam? tena-api
   tattvarakṣaṇārthatvapratipādanādityata āha---tadanena prakāreṇeti /	tattva-rakzaNa-arTa-tva-pratipAdanAt-iti-atas Aha----tadanena prakAreNa-iti /
   prakāre bhāṣyam asaṃgatam, na tu prayojane /	prakAre BAzyam asaMgatam, na tu prayojane /
   tatastadapyevameva neyamiti /	tatas-tat-api-evam-eva na-iyam-iti /
   chalādivyutpādanaṃ prayojyatayeti śeṣaḥ //2 //	Cala-Adi-vyutpAdanam prayojyatayA-iti SezaH //2 //
   sa pratipakṣasthāpanāhīno vitaṇḍā //3 //	sa pratipakza-sTApanA-hInaH vitaNxA //3 //
   // pariśuddhiḥ //	// pariSudDiH //
   nanu vitaṇḍāyāḥ pratipakṣasthāpanāhīnatvamasaṃgatam, ekasādhanatāyāṃ	nanu vitaNxAyAH pratipakza-sTApanA-hIna-tvam-asaMgatam, eka-sADana-tAyAm
   puruṣaśakterapyanirūpaṇāt /	puruza-SakteH-api-anirUpaNAt /
   tathātve vā kṛtaṃ jalpena prayāsabahulena, antataḥ satpratipakṣatayāpi	taTA-tve vA kRtam jalpena prayAsa-bahulena, antatas sat-pratipakza-tayA-api
   dvitīyasādhanapraveśāt /	dvitIya-sADana-praveSAt /
   naitadevam, puruṣaśaktinirūpaṇāviśeṣe 'pi jalpe	na-etat-evam, puruza-Sakti-nirUpaNa-aviSeze api jalpe
   pratyavekṣāparāghātobhayagocaraśaktinirūpaṇāt,	pratyavekzA-parAGAta-uBaya-gocara-Sakti-nirUpaNAt,
   kṛtavidyakṣatriyadvayayuddhavat /	kRta-vidya-kzatriya-dvaya-yudDa-vat /
   vitaṇḍāyāṃ tu daśarathadaśānanatanayatamasivamīyuddhavat,	vitaNxAyAm tu daSaraTa-daSAnana-tanayatamasivamIyudDavat,
   kākolūkayuddhavad vā /	kAka-ulUka-yudDa-vat vA /
   ekasya svapratyavekṣāśaktiraparasya parāghātanaipuṇaṃ nirūpyate /	ekasya sva-pratyavekzA-SaktiH-aparasya parAGAta-nEpuNam nirUpyate /
   kathamayaṃ viśeṣa iti cet? vādinorabhiprāyavaśādanuvidheyastheyānurodhāt	kaTam-ayam viSezaH iti cet? vAdinoH-aBiprAya-vaSAt-anuviDeya-sTeya-anuroDAt
   veti na kiñcidetat dvitīyasādhanapraveśasatu dūṣaṇatayā na pratiṣidhyate /	vA-iti na kiQcid-etat dvitIya-sADana-praveSa-satu dUzaNa-tayA na pratiziDyate /
   api tu sthāpanātvena /	api tu sTApanA-tvena /
   na cāyaṃ niyamaḥ, asiddhatvādudbhāvanenāpi kathāparyavasānāditi,	na ca-ayam niyamaH, asidDa-tvAt-udBAvanena-api kaTA-paryavasAnAt-iti,
   samākhyānirvacanasāmarthyāt eva gamyata iti /	samAKyA-nirvacana-sAmarTyAt eva gamyate iti /
   na caivamastviti vācyam, jalpe 'pi parapakṣāghātasya	na ca-evam-astu-iti vAcyam, jalpe api para-pakzAGAtasya
   gatatvenātivyāpakatvāt /	gata-tvena-ati-vyApaka-tvAt /
   mātragrahaṇāt tu tannivṛttiriti cet---na, tena sādhanānivṛtteḥ /	mAtra-grahaNAt tu tad-nivRttiH-iti cet---na, tena sADana-anivRtteH /
   tatra sādhanopālambhasamudāye dūṣaṇamātraṃ vitaṇḍetyevamapyupapatteriti	tatra sADana-upAlamBa-samudAye dUzaNa-mAtram vitaNxa-iti-evam-api-upapatteH-iti
   // iti kathālakṣaṇaprakaraṇam //	// iti kaTA-lakzaNa-prakaraNam //
   // hetvābhāsalakṣaṇaprakaraṇam //	// hetvABAsa-lakzaNa-prakaraNam //
   // pariśuddhi //	// pariSudDi //
   evaṃ kathāprakaraṇaṃ samarthimatam /	evam kaTA-prakaraNam samarTi-matam /
   tasyāśca śarīraṃ sādhanaṃ dūṣaṇaṃ ca /	tasyAH-ca SarIram sADanam dUzaNam ca /
   tatra sādhanavādinā prathamatastadābhāsaparihāre dūṣaṇavādināpi	tatra sADana-vAdinA praTamatas-tad-ABAsa-parihAre dUzaNa-vAdinA-api
   saduttaraparigrahe yatnavatā bhavitavyam /	sat-uttara-parigrahe yatnavatA Bavitavyam /
   saduttarālābhe hi asaduttarāvatāra iti śikṣārthaṃ hetvābhāsāḥ prathamaṃ	sat-uttara-alABe hi asat-uttara-avatAraH iti SikzA-arTam hetvABAsAH praTamam
   chalādibhya uddiṣṭā iti saiva saṃgatirihāpītyāha---uddeśeti /	Cala-AdiByaH uddizwAH iti sA-eva saMgatiH-iha-api-iti-Aha---uddeSA-iti /
   atra triṣoḍaśyāṃ vyāpakāvyāpakabhedena yā dviṣoḍaśī sā	atra trizoxaSyAm vyApaka-avyApaka-Bedena yA dvi-zoxaSI sA
   asiddhaviśeṣaṇāsiddhaviśeṣyā samarthaviśeṣaṇā	asidDa-viSezaNa-asidDa-viSezyA samarTa-viSezaNA
   samarthaviśeṣyasandigdhaviśeṣaṇasandigdhaviśeṣyabhedena vivakṣitā	samarTa-viSezya-sandigDa-viSezaNa-sandigDa-viSezya-Bedena vivakzitA
   dvānavataṃ śataṃ bhavatīti /	dvAnavatam Satam Bavati-iti /
   saivāsiddhisandehayorvādiprativādisaṃbandhādaṣṭāviṃśataṃ śataṃ bhavet /	sA-eva-asidDi-sandehayoH-vAdi-prativAdi-saMbanDAt-azwAviMSatam Satam Bavet /
   saivānyatarāsiddhyā vyadhikaraṇasamarthasandigdhaviśeṣaṇaviśeṣyabhedāt	sA-eva-anyatarA-sidDyA vyaDikaraNa-samarTa-sandigDa-viSezaNa-viSezya-BedAt
   dvāvanataṃ śatamaparaṃ syāt /	dvOvanatam Satam-aparam syAt /
   saivomayānyatarāśrayāsiddhaviśeṣaṇaviśeṣyasaṃbandhādaparamaṣṭāviṃśataṃ	sA-eva-umayAni-atara-ASraya-asidDa-viSezaNa-viSezya-saMbanDAt-aparam-azwAviMSatam
   śataṃ bhavet /	Satam Bavet /
   saivāśrayāsiddhaviśeṣaṇāvyadhikaraṇāsamarthasandigdhaviśeṣaṇaviśeṣyasaṃbandhādaparaṃ	sA-eva-ASraya-asidDa-viSezaNa-avyaDikaraNA-samarTa-sandigDa-viSezaNa-viSezya-saMbanDAt-aparam
   dvānavataṃ śatam /	dvAnavatam Satam /
   saiva	sA-eva
   sandigdhavyadhikaraṇāsamarthasandigdhaviśeṣaṇaviśeṣyasaṃbandhādaparaṃ	sandigDa-vyaDikaraNa-asamarTa-sandigDa-viSezaNa-viSezya-saMbanDAt-aparam
   dvānavataṃ śatam /	dvAnavatam Satam /
   iyamevāśrayāsiddhiprakṣepeṇāparaṃ dvānavataṃ śatam /	iyam-eva-ASrayA-sidDi-prakzepeNa-aparam dvAnavatam Satam /
   saiva sandigdhatāṃ parityajyānyathāsiddhimupādāyāparaṃ dvānavataṃ śatam /	sA-eva sandigDa-tAm parityajyAnyaTA-sidDim-upAdAya-aparam dvAnavatam Satam /
   iyamevāśrayāsiddhiprakṣepeṇāparaṃ dvānavataṃ śantam /	iyam-eva-ASrayA-sidDi-prakzepeNa-aparam dvAnavatam Santam /
   saivānyathāsiddhiṃ vihāya viruddhatāmupādāyāparaṃ dvānavataṃ śatam /	sA-eva-anyaTA-sidDim vihAya virudDa-tAm-upAdAya-aparam dvAnavatam Satam /
   atraiva punarāśrayāsiddhiṃ prakṣipyāparaṃ dvānavataṃ śatam iti /	atra-eva punar-ASraya-asidDim prakzipya-aparam dvAnavatam Satam iti /
   so 'yamasiddhaviruddhānaikāntikānāṃ prapañcaḥ /	saH ayam-asidDa-virudDa-anEkAntikAnAm prapaQcaH /
   prakaraṇasamaṃ prapañcayituṃ vastugatiṃ tāvadāhetyāha---tanneti /	prakaraNa-samam prapaQcayitum vastu-gatim tAvat-Aha-iti-Aha---tat-na-iti /
   antata iti /	antatas iti /
   agṛhyamāṇaviśeṣadaśāyāmityarthaḥ /	agRhyamANa-viSeza-daSAyAm-iti-arTaH /
   kālātyayāpadiṣṭastūddeśa eva prapañcitaḥ iti //	kAla-atyaya-apadizwa-H-tu-uddeSaH eva prapaQcitaH iti //
   atra cātītakālo mandatamaprayogaḥ, kālābhāvāt /	atra ca-atIta-kAlaH mandatama-prayogaH, kAla-aBAvAt /
   yasya hyavasaro nāsti, tasyārthakriyā prati vicārataḥ sattvaṃ nāstīti /	yasya hi-avasaraH na-asti, tasya-arTa-kriyA prati vicArataH sattvam na-asti-iti /
   mandataraprayogastvasiddhaḥ, sati svakāle svayamevābhāvāt /	mandatara-prayogaH-tu-asidDaH, sati sva-kAle svayam-eva-aBAvAt /
   yastu svayameva nāsti, tasya deśakālāvasthāvirodhasāmarthānāṃ nāvakāśaḥ /	yaH-tu svayam-eva nAsti, tasya deSa-kAla-avasTA-viroDa-sAmarTAnAm na-avakASaH /
   mandaprayogastu satpratipakṣaḥ, satoḥ kāladeśavattvayoravasthābhāvāt /	manda-prayogaH-tu sat-pratipakzaH, satoH kAla-deSa-vat-tvayoH-avasTA-BAvAt /
   avasthābhāve 'virodhasāmarthyayoranavakāśāt /	avasTA-BAve aviroDa-sAmarTyayoH-anavakASAt /
   sāvakāśaprayogastu viruddhaḥ, kāladeśāvasthāsu satīṣu virodhāt /	sa-avakASa-prayogaH-tu virudDaH, kAla-deSa-avasTAsu satIzu viroDAt /
   yastvevaṃ tasya kutaḥ sāmarthyam? prāyaḥprayogastu savyabhicāraḥ,	yaH-tu-evam tasya kutas sAmarTyam? prAyas-prayogaH-tu savyaBicAraH,
   kāladeśāvasthāvirodheṣu satsu sāmarthyamātrābhāvādityanena hetunā	kAla-deSa-avasTA-viroDezu satsu sAmarTya-mAtra-aBAvAt-iti-anena hetunA
   savyabhicārādikramoddeśaḥ /	savyaBicAra-Adi-krama-uddeSaH /
   yad vā sugrahaḥ savyabhicāraḥ, vicchedamātrasiddhau tatsiddheḥ,	yat vA sugrahaH savyaBicAraH, vicCeda-mAtra-sidDO tad-sidDeH,
   upadarśitaviparītagrahaṇe tatsiddhiḥ /	upadarSita-viparIta-grahaNe tad-sidDiH /
   yatnagrāhyo vireddhaḥ /	yatna-grAhyaH viredDaH /
   atiyatnagrāhyaḥ prakaraṇasamaḥ, taditarasamastarūpasampannamanyadapanīya	atiyatna-grAhyaH prakaraNa-samaH, tad-itara-samasta-rUpa-sampannam-anya-t-apanIya
   tatsiddheḥ /	tad-sidDeH /
   durgraho 'siddhaḥ, asiddhāśrayo 'pi kaścit heturiti	durgrahaH asidDaH, asidDa-ASrayaH api kaScid hetuH-iti
   paramatanirākaraṇāvaṣṭambhena tatsiddheḥ /	parama-tanirAkaraNa-avazwamBena tad-sidDeH /
   durgrahataraḥ kālātyayāpadiṣṭaḥ, bādhakasyānanyathāsiddhyā prāmāṇyaṃ	durgrahataraH kAla-atyaya-apadizwaH, bADakasya-ananyaTA-sidDyA prAmANyam
   vyavasthāpya tatsiddheriti /	vyavasTApya tad-sidDeH-iti /
   tadvivakṣayā kramaniyama iti //4 //	tad-vivakzayA krama-niyamaH iti //4 //
   // pariśuddhiḥ //	// pariSudDiH //
   nanu vibhāgasūtre savyabhicāra ityuddiṣṭaṃ padamiha māṣyakāro	nanu viBAga-sUtre savyaBicAraH iti-uddizwam padam-iha mAzya-kAraH-
   lakṣaṇatvenaiva vyācaṣṭe /	lakzaNa-tvena-eva vyAcazwe /
   evaṃ coddiṣṭaṃ na lakṣitam, lakṣitaṃ ca noddiṣṭamityata āha---atra ceti /	evam ca-uddizwam na lakzitam, lakzitam ca na-uddizwam-iti-atas Aha---atra ca-iti /
   tathāpi lakṣaṇe vaktavye padaniruktiḥ kvopayujyate ityata āha---etaduktaṃ	taTA-api lakzaNe vaktavye pada-niruktiH kva-upayujyate iti-atas Aha---etat-uktam
   bhavatīti /	Bavati-iti /
   kiṃ tvekasminnante yo niyata iti anvayato vyatirekato vā sādhyenaiva	kim tu-ekasmin=-ante yaH niyataH iti anvayataH vyatirekataH vA sADyena-eva
   sahacarito dṛṣṭa ityarthaḥ /	sahacaritaH dRzwaH iti-arTaH /
   tadviparyayādanaikāntiko 'niyataḥ sādhyenaiva sahito na dṛṣṭaḥ /	tad-viparyayAt-anEkAntikaH aniyataH sADyena-eva sahitaH na dRzwaH /
   ubhayapakṣagāmīti yāvaditi ubhayapakṣaprasañjaka ityarthaḥ /	uBaya-pakza-gAmI-iti yAvat-iti uBaya-pakza-prasaQjakaH iti-arTaH /
   etena sādhāraṇāsādhāraṇānupasaṃhāryāḥ saṃgṛhītā iti sphuṭam /	etena sADAraNa-asADAraNa-anupasaMhAryAH saMgRhItAH iti sPuwam /
   bodhābhāsaprasañjitāmativyāptimanena vyākhyānena vyudastāmāha---na	boDa-ABAsa-prasaQjitAm-ati-vyAptim-anena vyAKyAnena vyudastAm-Aha---na
   caivaṃbhūtā /	ca-evaMBUtA /
   etacca tatra tatra vakṣyate /	etat-ca tatra tatra vakzyate /
   tadevamiti /	tat-evam-iti /
   anaikāntikapadavat savyabhicārapadamapi vyākhyeyamityarthaḥ /	anEkAntika-pada-vat sa-vyaBicAra-padam-api vyAKyeyam-iti-arTaH /
   nanvetāvataiva sarvaṃ vyākhyātam, tat kimaparamavaśiṣyate yadarthaṃ sarvo	nanu-etAvatA-eva sarvam vyAKyAtam, tat kim-aparam-avaSizyate yad-arTam sarvaH-
   'yamityādi vārtikamityata āha---avagatam iti /	ayam-ityAdi vArtikam-iti-atas Aha----avagatam iti /
   na nu anyatra prameyāditi asaṃgatam /	na nu anyatra prameyAt-iti asaMgatam /
   sādhyatadviparyayau hyantadvayam /	sADya-tad-viparyayO hi-anta-dvayam /
   na ca tadasya nāsti /	na ca tat-asya na-asti /
   athāyamarthaḥ, na tatrāyamanvayato vyatirekato vā niyata iti /	aTa-ayam-arTaH, na tatra-ayam-anvayataH vyatirekataH vA niyataH iti /
   tathāpi nāyamevaivaṃbhūtaḥ, sarveṣāmevānaikāntikānāmevaṃrūpatvāt /	taTA-api na-ayam-eva-evaMBUtaH, sarvezAm-eva-anEkAntikAnAm-evaMrUpa-tvAt /
   tadasyaiva varjanamanupapannam /	tat-asya-eva varjanam-anupapannam /
   udāharaṇamātrārthatvānna doṣa ityapi na yuktam,	udAharaNa-mAtra-arTa-tvAt-na dozaH iti-api na yuktam,
   nityaścānityaścetyādisaṃgrāhyakoṭāvanaikāntikasyāpradarśanādityata	nityaH-ca-anityaH-ca-ityAdi-saMgrAhya-kowO=-anEkAntikasya-apradarSanAt-ityata
   āha---prameyapadārthasya tviti /	Aha----prameya-padArTasya tu-iti /
   tadayaṃ vārttikārthaḥ, kaścid dharmaḥ sarvasyaprameyatvādilakṣaṇaḥ, kaścit	tat-ayam vArttika-arTaH, kaScid DarmaH sarvasyaprameya-tva-Adi-lakzaNaH, kaScid-
   kasyacideva nityatvādilakṣaṇaḥ /	kasyacid-eva nitya-tva-Adi-lakzaNaH /
   tatra sarvasya vā kasyacid vā yo dharmo hetutayopātta ubhāvantau	tatra sarvasya vA kasyacid vA yaH DarmaH hetu-tayA-upAttaH uBO=-antO
   sādhyadharmatadviparyayau āśritya prasajya pravartate dharmiṇi so	sADya-Darma-tad-viparyayO ASritya prasajya pravartate DarmiNi saH-
   'naikāntika iti /	anEkAntikaH iti /
   vyatirekyavyatirekitayā dharmadvaividhyapradarśanenānaikāntikasya	vyatirekya-vyatirekitayA Darma-dvEviDya-pradarSanena-anEkAntikasya
   viṣayavivecanaṃ sūcitam /	vizaya-vivecanam sUcitam /
   vyatirekiṇyeva hi dharme sādhye 'naikāntikaḥ saṃbhavatprayogo na	vyatirekiNI-A-iva hi Darme sADye anEkAntikaH saMBavat-prayogaH na
   tvavyatirekiṇi /	tu-avyatirekiNi /
   na nu paryudāsābhiprāyeṇaiva prāk vyākhyātam /	na nu paryudAsa-aBiprAyeNa-eva prAk vyAKyAtam /
   tat kathaṃ tatpratiṣedha ityata āha---paryudāsapakṣa iti /	tat kaTam tat-pratizeDaH iti-atas Aha---paryudAsa-pakzaH iti /
   tathāpi nābrāhmaṇa iti prasajyapratiṣedhodāharaṇam /	taTA-api na-abrAhmaNaH iti prasajya-pratizeDa-udAharaNam /
   na hi goghaṭādāvabrāhmaṇa iti vaktāro bhavanti, api tu	na hi go-GawA-dO=-abrAhmaNaH iti vaktAraH Bavanti, api tu
   kṣatriyādāvityāha---na punarityādi subodham //5 //	kzatriya-AdO=-ityAha---na punar-ityAdi su-boDam //5 //
   siddhāntamabhyupetya tadvirodhī viruddhaḥ //6 //	sidDAntam-aByupetya tad-viroDI virudDaH //6 //
   // pariśuddhiḥ //	// pariSudDiH //
   sūtre samānakartṛkatvābhāvāt ktvāpratyayānupapattyā śabdadoṣamāha---na	sUtre samAna-kartRka-tva-aBAvAt ktvA-apratyaya-anupapattyA Sabda-dozam-Aha---na
   khalviti /	Kalu-iti /
   arthadoṣamāha---na ca pakṣa iti /	arTa-dozam-Aha---na ca pakzaH iti /
   upalakṣaṇa caitat /	upalakzaNa ca-etat /
   etasmin sati virodhāpasiddhāntau nigrahasthāne niravakāśe /	etasmin sati viroDa-apasidDAntO nigraha-sTAne niravakASe /
   tayoḥ satorayaṃ vā mīmāṃsakābhimato viśeṣavirodho 'pi viruddha syādityapi	tayoH satorayam vA mImAMsaka-aBimataH viSeza-viroDaH api virudDa syAt-iti-api
   abhyupagameti /	aByupagama-iti /
   siddhāntaśabdenātra pakṣo vivakṣito 'to na prakṛtahānaṃ	sidDAnta-Sabdena-atra pakzaH vivakzitaH atas na prakRta-hAnam
   nāpyapasiddhāntavaiyarthyamityarthaḥ /	na-api-apasidDAnta-vEyarTyam-iti-arTaH /
   viśeṣaviruddhaprasaṅganivārayati---viśeṣeti /	viSeza-virudDa-prasaFga-nivArayati----viSeza-iti /
   abhyupetya ityanena pratijñāyeti vivakṣitam, na tvabhipretyeti /	aByupetya iti-anena pratijQAya-iti vivakzitam, na tu-aBipretya-iti /
   na ca viśeṣaḥ pratijñāyate 'pi tu abhipreyate na ca tathābhūtena	na ca viSezaH pratijQAyate api tu aBipreyate na ca taTABUtena
   virodhopalambhasaṃbhavo 'siddhidaśāyāmanupambhena siddhidaśāyāṃ	viroDa-upalamBa-saMBavaH asidDidaSAyAm-anupamBena sidDidaSAyAm
   sahopalambhenānavasaraparāhatatvāt /	saha-upalamBena-anavasara-parAhata-tvAt /
   evaṃbhūtasyābhiprāyagocaratvamapi kathamityapi na yuktam,	evaMBUtasya-aBiprAya-gocara-tvam-api kaTam-iti-api na yuktam,
   svārthānumānasamaye prakṛtopapādakatayā tatsiddheḥ anupapādakastu viśeṣo	sva-arTa-anumAna-samaye prakRta-upapAdaka-tayA tad-sidDeH anupapAdakaH-tu viSezaH-
   na sidhyati /	na siDyati /
   ata eva nābhiprāyagocaro 'pi /	atas eva nABi-prAya-gocaraH api /
   tadāpi kathaṃ sarvathānupalabdhacaraḥ sidhyatītyapi na vācyam,	tadA-api kaTam sarvaTA-anupalabDa-caraH siDyati-iti-api na vAcyam,
   ākāṅkṣādisaṃpattau padārthānāmivāpūrvārthapratipādane	AkAFkza-Adi-saMpattO padArTAnAm-iva-apUrva-arTa-pratipAdane
   vyāptipakṣadharmatāmāhātmyasyāpahnotumaśakyatvāt /	vyApti-pakza-Darma-tA-mAhAtmyasya-apahnotum-a-SakyatvAt /
   tasmād yayoreva parasparadharmiparihāreṇa niyamavatoḥ sthitirūpalabhyate,	tasmAt yayoH-eva paraspara-Darmi-parihAreNa niyamavatoH sTiti-rUpa-laByate,
   tayoreva virodho nānyathetyarthaḥ /	tayoH-eva viroDaH na-anyaTA-iti-arTaH /
   anuktaśca saṃgṛhītaśceti vipratiṣiddhamityata āhar---idṛśaṃ vyākhyānamiti	anuktaH-ca saMgRhItaH-ca-iti vipratizidDam-iti-atas Ahar---idRSam vyAKyAnam-iti
   syādetat, virodhe hi heturna syāt sādhya vā /	syAt-etat, viroDe hi hetuH-na syAt sADya vA /
   ādye 'siddha eva /	Adye asidDaH eva /
   dvitīye tu kālātyayāpadiṣṭaḥ /	dvitIye tu kAla-atyaya-apadizwaH /
   kvedānīṃ viruddhaḥ? anyatarāniścaye 'pi sandigdhāsiddha ityāśakṅkyoktaṃ	kva-idAnIm virudDaH? anyatarA-niScaye api sandigDA-asidDaH iti-ASakFkya-uktam
   vārttikakṛtā yasmādamyupagataṃ bādhata iti /	vArttika-kRtA yasmAt-ami-upagatam bADataH iti /
   nāsiddhaḥ, pakṣe niścitatvāt /	na-asidDaH, pakze niScita-tvAt /
   nāpi kālātītaḥ, pramāṇāntareṇa balavatā abādhanāt, kiṃ tvayameva	na-api kAla-atItaH, pramANa-antareNa balavatA abADanAt, kim tu-ayam-eva
   sisādhayipitaṃ bādhata iti vārttikārthaḥ sugama eva /	sisADayipitam bADataH iti vArttika-arTaH sugamaH eva /
   dvitīyaṃ vārttikamabhyupagatena bādhyate iti /	dvitIyam vArttikam-aByupagatena bADyate iti /
   tadapi yadyapi pratijñārthena tadbādhane 'siddhaḥ syāt, tathāpi	tat-api yadi-api pratijQA-arTena tad-bADane asidDaH syAt, taTA-api
   virodhasyaiva yatrodbhaṭatvam, tatra tadullaṅghanena	viroDasya-eva yatra-udBawa-tvam, tatra tad-ullaFGanena
   prayatnasādhyamasiddhatvaṃ nodbhāvyameva, daivatastatpratīkāre	prayatna-sADyam-asidDa-tvam na-udBAvyam-eva, dEvataH-tad-pratIkAre
   niranuyojyānuyogāpatteḥ, viruddhadvāreṇaivāsiddherapi vyavasthāpane	niranuyojya-anuyoga-ApatteH, virudDa-dvAreNa-eva-asidDeH-api vyavasTApane
   tadudbhāvanasyāvaśyakatvācceti /	tad-udBAvanasya-AvaSyaka-tvAt-ca-iti /
   sugamam /	sugamam /
   uttaravārttikānurodhena tu vyācaṣṭe---svarūpeṇa hetutvena vetyarthaḥ /	uttara-vArttika-anuroDena tu vyAcazwe----svarUpeNa hetu-tvena vA-iti-arTaH /
   atrodāharaṇabhāṣyamityādi /	atra-udAharaNa-BAzyam-ityAdi /
   uktamityartha iti /	uktam-iti-arTaH iti /
   antaṣṭīkāyāṃ bhāṣyasyeti śeṣaḥ /	antazwIkAyAm BAzyasya-iti SezaH /
   virodhanigrahasthānādetasyāmedamāśaṅkya yathā parihṛtaṃ vārttikakṛtā,	viroDa-nigraha-sTAnAt-etasyAm-a-idam-ASaFkya yaTA parihRtam vArttika-kRtA,
   tadanurodhena vyākhyātam /	tad-anuroDena vyAKyAtam /
   pratijñāśritatvamiti /	pratijQa-ASrita-tvam-iti /
   virodhavaibhavena codāharaṇāni vārttike /	viroDa-vEBavena ca-udAharaNAni vArttike /
   vastutastu svamate mānāntarasiddhasyārthasyānyathāvacanamapasiddhāntaḥ /	vastutas-tu sva-mate mAna-antara-sidDasya-arTasya-anyaTA-vacanam-apasidDAntaH /
   vākyāṃśayorekārthabhāvābhāvaviṣayatvena vyādhātī virodhaḥ /	vAkya-aMSayoH-eka-arTa-BAva-aBAva-vizaya-tvena vyADAtI viroDaH /
   viparyayavyāptatvena niścito viruddho hetvābhāsaḥ /	viparyaya-vyApta-tvena niScitaH virudDaH hetvABAsaH /
   sa ca vidhisādhane	sa ca viDi-sADane
   svabhāvānupalabdhirvyāpakānupalabdhirvyāpakaviruddhopalabdhiriti trividhaḥ	svaBAva-anupalabDiH-vyApaka-anupalabDiH-vyApaka-virudDa-upalabDiH-iti triviDaH
   tadyathā dhūmavānayaṃ yogyasya satastadvattayā anupalabhyamānatvāt,	tat-yaTA DUmavAn-ayam yogyasya sataH-tadvat-tayA anupalaByamAna-tvAt,
   niragnikatvāt, jalāśayatvāditi /	niragnika-tvAt, jalASaya-tvAt-iti /
   niṣedhasādhane 'pi svabhāvopalabdhirvyāpyopalabdhiriti dvividhaḥ /	nizeDa-sADane api svaBAva-upalabDiH-vyApya-upalabDiH-iti dviviDaH /
   tadyathā niragniko 'yam, tadvattayopalabhyamānatvāt, dhūmavattavāditi /	tat-yaTA niragnikaH ayam, tadvat-tayA-upalaByamAna-tva-at, DUmavat-tavAt-iti /
   sarvaścāyaṃ viśeṣaṇadvārāpi pratisandheyaḥ /	sarvaH-ca-ayam viSezaNa-dvArA-api pratisanDeyaH /
   yathā kṛṣṇāgururāruprabhavavahnimānayam,	yaTA kRzNa-aguruH-Aru-praBava-vahnimAnayam,
   kaṭukāsurabhivipāṇḍuradhūmavattvāditi saṃkṣepaḥ // 6 //	kawukA-suraBi-vipANxura-DUmavat-tvAt-iti saMkzepaH // 6 //
   yasmātprakaraṇacintā sa nirṇayārthamapadiṣṭaḥ prakaraṇasamaḥ // 7 //	yasmAt-prakaraNa-cintA sa nirNaya-arTam-apadizwaH prakaraNa-samaH // 7 //
   // pariśuddhiḥ //	// pariSudDiH //
