   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   suvisrabdhaṃ tatra dūtakarma//(p.72)	su-visrabDam tatra dUta-karma-/-/(p.72)
   1.5.36/.paṭutā dhārṣṭyam iṅgitākārajñatā pratāraṇa^kālajñatā	1.5.36/.pawu-tA DArzwyam iFgita-AkAra-jQa-tA pratAraNa^kAla-jQa-tA
   viṣahya^buddhitvaṃ laghvī pratipattiḥ sa^upāyā ca^iti dūtaguṇāḥ//(p.72)	vizahya^budDi-tvam laGvI pratipattiH saH-^upAyA ca^iti dUta-guNAH//(p.72)
   bhavati ca^atra ślokaḥ ---(p.73)	Bavati ca^atra SlokaH ---(p.73)
   1.5.37ab/.ātmavān mitravān yukto bhāvajño deśa^kālavit/(p.73)	1.5.37ab/.a-AtmavAn mitravAn yuktaH BAva-jQaH deSa^kAla-vit/(p.73)
   1.5.37cd/.alabhyām apy ayatnena striyaṃ saṃsādhayen naraḥ//(p.73)	1.5.37cd/.alaByAm api ayatnena striyam saMsADayet naraH//(p.73)
   2. sāṃprayogikaṃ nāma dvitīyam adhikaraṇam	2. sAMprayogikam nAma dvitIyam aDikaraNam
   2.1.(6) pramāṇa^kāla^bhāvebhyo rata^avasthāpanam	2.1.(6) pramANa^kAla^BAveByaH rataH-^avasTApanam
   2.1.1/.śaśo vṛṣo +aśva iti liṅgato nāyaka^viśeṣāḥ/ nāyikā punarmṛgī vaḍavā	2.1.1/.SaSaH vRzaH +aSvaH iti liFgataH nAyaka^viSezAH/ nAyikA punar-mRgI vaxavA
   hastinī ca^iti//(p.74)	hastinI ca^iti//(p.74)
   2.1.2/.tatra sadṛśa^saṃprayoge samaratāni trīṇi//(p.74)	2.1.2/.tatra sadRSa^saMprayoge samaratAni trINi//(p.74)
   2.1.3/.viparyayeṇa viṣamāṇi ṣaṭ/ viṣameṣv api puruṣa^ādhikyaṃ ced	2.1.3/.viparyayeNa vizamANi zaw/ vizamezu api puruzaH-^ADikyam ced-
   anantara^saṃprayoge dve ucca^rate/ vyavahitam ekam uccatararatam/	anantara^saMprayoge dve ucca^rate/ vyavahitam ekam uccatara-ratam/
   viparyaye punar dve nīca^rate/ vyavahitam ekaṃ nīcatara^rataṃ ca/ teṣu	viparyaye punar dve nIca^rate/ vyavahitam ekam nIcatara^ratam ca/ tezu
   samāni śreṣṭhāni/ tara^śabda^aṅkite dve kaniṣṭhe/ śeṣāṇi	samAni SrezWAni/ tara^SabdaH-^aFkite dve kanizWe/ SezANi
   madhyamāni//(p.75)	maDyamA-ani//(p.75)
   2.1.4/.sāmye +apy ucca^aṅkaṃ nīca^aṅkāj jyāyaḥ/ iti pramāṇato	2.1.4/.sAmye +api ucca^aFkam nIca^aFkAt jyAyaH/ iti pramANataH-
   nava^ratāni//(p.76)	nava^rata-ani//(p.76)
   2.1.5/.yasya saṃprayoga^kāle prītir udāsīnā vīryam alpaṃ kṣatāni ca na	2.1.5/.yasya saMprayoga^kAle prItiH udAsInAH vIryam alpam kzatAni ca na
   sahate sa manda^vegaḥ//(p.76)	sahate sa manda^vegaH//(p.76)
   2.1.6/.tad viparyayau madhyama^caṇḍa^vegau bhavatas tathā	2.1.6/.tat viparyayO maDyama^caNxa^vegO BavataH taTA
   nāyikā^api//(p.77)	nAyikAH-^api//(p.77)
   2.1.7/.tatra^api pramāṇavad eva nava^ratāni//(p.77)	2.1.7/.tatra^api pramANa-vat eva nava^rata-ani//(p.77)
   2.1.8/.tadvat kālato +api śīghra^madhya^cirakālā nāyakāḥ//(p.77)	2.1.8/.tadvat kAlataH +api SIGra^maDya^cira-kAlAH nAyakAH//(p.77)
   2.1.9/.tatra striyāṃ vivādaḥ//(p.77)	2.1.9/.tatra striyAm vivAdaH//(p.77)
   2.1.10/.na strī puruṣavad eva bhāvam adhigacchati//(p.77)	2.1.10/.na strI puruza-vat eva BAvam aDigacCati//(p.77)
   2.1.11/.sātatyāt tv asyāḥ puruṣeṇa kaṇḍūtir apanudyate//(p.77)	2.1.11/.sAtatyAt tu asyAH puruzeNa kaNxUtiH apanudyate//(p.77)
   2.1.12/.sā punar ābhimānikena sukhena saṃsṛṣṭā rasa^antaraṃ janayati/	2.1.12/.sA punar ABimAnikena suKena saMsRzwAH rasa^antaram janayati/
   tasmin sukha^buddhir asyāḥ/	tasmin suKa^budDiH asyAH/
   2.1.13/.puruṣa^*pratīteś[ch:prīteś] ca^anabhijñatvāt kathaṃ te sukham iti	2.1.13/.puruzaH-^*pratIteS[-S:-prIta-IS] ca^anaBijQa-tvAt kaTam te suKam iti
   praṣṭum aśakyatvāt/	prazwum aSakya-tvAt/
   2.1.14/.katham etad upalabhyata iti cet puruṣo hi ratim adhigamya	2.1.14/.kaTam etat upalaByate iti ced puruzaH hi ratim aDigamya
   svecchayā viramati, na striyam apekṣate, na tv evaṃ strī^ity	sva-icCayA viramati, na striyam apekzate, na tu evam strI^iti-
   auddālakiḥ//(p.78)	OddAlakiH//(p.78)
   2.1.15/.tatra^etat syāt/ cira^vege nāyake striyo +anurajyante	2.1.15/.tatra^etat syAt/ cira^vege nAyake striyaH +anurajyante
   śīghra^vegasya bhāvam anāsādya^avasāne +abhyasūyinyo	SIGra^vegasya BAvam anAsAdya^avasAne +aByasUyinyaH-
   *bhavati[ch:bhavanti]/ tat sarvaṃ bhāva^prāpter aprāpteś ca	*Bavati[S:Bavanti]/ tat sarvam BAva^prApteH aprApteH ca
   lakṣaṇam//(p.79)	lakzaNam-//(p.79)
   2.1.16/.tac ca na/ kaṇḍūti^pratīkāro +api hi dīrgha^kālaṃ priya iti/ etad	2.1.16/.tat ca na/ kaNxUti^pratIkAraH +api hi dIrGa^kAlam priyaH iti/ etat-
   upapadyata eva/ tasmāt saṃdigdhatvād alakṣaṇam iti//(p.80)	upapadyate eva/ tasmAt saMdigDa-tvAt alakzaNam iti//(p.80)
   2.1.17a/.saṃyoge yoṣitaḥ puṃsā kaṇḍūtir apanudyate/(p.80)	2.1.17a/.-saMyoge yozitaH puMsA kaNxUtiH apanudyate/(p.80)
   2.1.17b/.tac ca abhimāna^saṃsṛṣṭaṃ sukham ity abhidhīyate//(p.80)	2.1.17b/.tat ca aBimAna^saMsRzwam suKam iti aBiDIyate//(p.80)
   2.1.18/.sātatyād yuvatir ārambhāt prabhṛti bhāvam adhigacchati/ puruṣaḥ	2.1.18/.sAtatyAt yuvatiH AramBAt praBRti BAvam aDigacCati/ puruzaH
   punar anta eva/ etad upapannataram/ na hy asatyāṃ bhāva^prāptau	punar antaH eva/ etat upapannataram/ na hi asatyAm BAva^prAptO
   garbha^saṃbhava iti bābhravīyāḥ//(p.80)	garBa^saMBavaH iti bABravIyAH//(p.80)
   2.1.19/.atra^api tāv eva^aśaṅkā^parihārau bhūyaḥ//(p.81)	2.1.19/.atra^api tO eva^aSaFkA^parihArO BUyas-//(p.81)
   2.1.20/.tatra^etat syāt --- sātatyena rasa^prāptāv ārambha^kāle	2.1.20/.tatra^etat syAt -- sAtatyena rasa^prAptO AramBa^kAle
   madhyastha^cittatā na^atisahiṣṇutā ca/ tataḥ krameṇa^adhiko rāga^yogaḥ	maDyasTa^citta-tA na^ati-sahizNu-tA ca/ tatas krameNa^aDikaH rAga^yogaH
   śarīre nirapekṣatvam/ ante ca virāma^abhīpsā^ity etad upapannam	SarIre nirapekza-tvam/ ante ca virAma^aBIpsA^iti etat upapannam
   iti//(p.82)	iti//(p.82)
   2.1.21/.tac ca na/ sāmānye +api bhrānti^saṃskāre kulālacakrasya	2.1.21/.tat ca na/ sAmAnye +api BrAnti^saMskAre kulAla-cakrasya
   bhramarakasya vā bhrāntāv eva vartamānasya prārambhe manda^vegatā tataś ca	Bramarakasya vA BrAntO eva vartamAnasya prAramBe manda^vega-tA tatas ca
   krameṇa pūraṇam vegasyā^ity upapadyate/ dhātu^kṣayāc ca	krameNa pUraNam vegasyAH-^iti upapadyate/ DAtu^kzayAt ca
   virāma^abhīpsā^iti/ tasmād anākṣepaḥ//(p.82)	virAma^aBIpsA^iti/ tasmAt anAkzepaH-//(p.82)
   2.1.22a/.suratā^ante sukhaṃ puṃsāṃ strīṇāṃ tu satataṃ sukham/(p.83)	2.1.22a/.suratA^ante suKam puMsAm strINAm tu satatam suKam-/(p.83)
   2.1.22b/.dhātu^kṣaya^nimittā ca virāma^icchā^upajāyate//(p.83)	2.1.22b/.DAtu^kzaya^nimittA ca virAmaH-^icCA^upajAyate//(p.83)
   2.1.23/.tasmāt puruṣavad eva yoṣito +api rasa^vyaktir draṣṭavyā//	2.1.23/.tasmAt puruza-vat eva yozitaH +api rasa^vyaktiH drazwavyA//
   2.1.24/.kathaṃ hi samānāyām eva^ākṛtāv eka^artham abhiprapannayoḥ	2.1.24/.kaTam hi samAnAyAm eva^AkRtO eka^arTam aBiprapannayoH
   kārya^vailakṣaṇyaṃ syād	kArya^vElakzaNyam syAt-
   2.1.25/.upāya^vailakṣaṇyād abhimāna^vailakṣaṇyāc ca//(p.83)	2.1.25/.upAya^vElakzaNyAt aBimAna^vElakzaNyAt ca//(p.83)
   2.1.26/.katham upāya^vailakṣaṇyaṃ tu sargāt/ kartā hi puruṣo +adhikaraṇaṃ	2.1.26/.kaTam upAya^vElakzaNyam tu sargAt/ kartA hi puruzaH +aDikaraNam
   yuvatiḥ/ anyathā hi kartā kriyāṃ pratipadyate +anyathā ca^ādhāraḥ/ tasmāc	yuvatiH/ anyaTA hi kartA kriyAm pratipadyate +anyaTA ca^ADAraH/ tasmAt-
   ca^upāya^vailakṣaṇyāt sargād abhimāna^vailakṣaṇyam api bhavati/	ca^upAya^vElakzaNyAt sargAt aBimAna^vElakzaNyam api Bavati/
   abhiyoktā^aham iti puruṣo +anurajyate/ abhiyuktā^aham anena^iti yuvatir	aBiyoktA^aham iti puruzaH +anurajyate/ aBiyuktA^aham anena^iti yuvatiH-
   iti vātsyāyanaḥ//(p.84)	iti vAtsyAyanaH//(p.84)
   2.1.27/.tatra^etat syād upāya^vailakṣaṇyavad eva hi kārya^vailakṣaṇyam api	2.1.27/.tatra^etat syAt upAya^vElakzaNya-vat eva hi kArya^vElakzaNyam api
   kasmān na syād iti/ tac ca na/ hetumad upāya^vailakṣaṇyam/ tatra	kasmAt na syAt iti/ tat ca na/ hetumat upAya^vElakzaNyam/ tatra
   kartrādhārayor bhinna^lakṣaṇatvād ahetumat kārya^vailakṣaṇyam anyāyyaṃ	kartR-ADArayoH Binna^lakzaNa-tvAt ahetumat kArya^vElakzaNyam anyAyyam
   syāt/ ākṛter abhedād iti/ (p.85)	syAt/ AkRteH aBedAt iti/ (p.85)
   2.1.28/.tatra^etat syāt/ saṃhatya kārakair eko +artho +abhinirvartyate/	2.1.28/.tatra^etat syAt/ saMhatya kArakEH ekaH +arTaH +aBinirvartyate/
   pṛthak pṛthak svārtha^sādhakau punar imau tad ayuktam iti//(p.85)	pRTak pRTak sva-arTa^sADakO punar imO tat ayuktam iti//(p.85)
   2.1.29/.tac ca na/ yugapad aneka^artha^siddhir api dṛśyate/ yathā meṣayor	2.1.29/.tat ca na/ yugapad aneka^arTa^sidDiH api dRSyate/ yaTA mezayoH-
   abhighāte kapitthayor bhede mallayor yuddha iti/ na tatra kāraka^bheda iti	aBiGAte kapitTayoH Bede mallayoH yudDaH iti/ na tatra kAraka^BedaH iti
   ced iha^api na vastu^bheda iti/ upāya^vailakṣaṇyaṃ tu sargād iti tad	ced iha^api na vastu^BedaH iti/ upAya^vElakzaNyam tu sargAt iti tat-
   abhihitaṃ purastāt/ tena^ubhayor api sadṛśī sukha^pratipattir iti//(p.86)	aBihitam purastAt/ tena^uBayoH api sadRSI suKa^pratipattiH iti//(p.86)
   2.1.30a/.jāter abhedād daṃpatyoḥ sadṛśaṃ sukham iṣyate/(p.87)	2.1.30a/.jAteH aBedAt daMpatyoH sadRSam suKam izyate/(p.87)
   2.1.30b/.tasmāt tathā^upacaryā strī yathā^agre prāpnuyād ratim//(p.87)	2.1.30b/.tasmAt taTA^upacaryA strI yaTA^agre prApnuyAt ratim//(p.87)
   2.1.31/.sadṛśatvasya siddhatvāt, kāla^yoginy api bhāvato +api kālataḥ	2.1.31/.-sadRSa-tvasya sidDa-tvAt, kAla^yogini api BAvataH +api kAlataH
   pramāṇavad eva nava ratāni//(p.87)	pramANa-vat eva nava rata-ani//(p.87)
   2.1.32/.raso ratiḥ prītir bhāvo rāgo vegaḥ samāptir iti rati^paryāyāḥ/	2.1.32/.rasaH ratiH prItiH BAvaH rAgaH vegaH samAptiH iti rati^paryAyAH/
   saṃprayogo rataṃ rahaḥ śayanaṃ mohanaṃ surata^paryāyāḥ//(p.88)	saMprayogaH ratam rahaH Sayanam mohanam surata^paryAyAH//(p.88)
   2.1.33/.pramāṇa^kāla^bhāvajānāṃ saṃprayogāṇām ekaikasya navavidhatvāt	2.1.33/.-pramANa^kAla^BAva-jAnAm saMprayogANAm ekEkasya navaviDa-tvAt-
   teṣāṃ vyatikare surata^saṃkhyā na śakyate kartum/ atibahutvāt//(p.88)	tezAm vyatikare surata^saMKyA na Sakyate kartum/ ati-bahu-tva-at//(p.88)
   2.1.34/.teṣu tarkād upacārān prayojayed iti vātsyāyanaḥ//(p.89)	2.1.34/.tezu tarkAt upacArAn prayojayet iti vAtsyAyanaH//(p.89)
   2.1.35/.prathama^rate caṇḍa^vegatā śīghra^kālatā ca puruṣasya, tad	2.1.35/.praTama^rate caNxa^vega-tA SIGra^kAlatA ca puruzasya, tat-
   viparītam uttareṣu/ yoṣitaḥ punar etad eva viparītam/ ā dhātu^kṣayāt/	viparItam uttarezu/ yozitaH punar etat eva viparItam/ A DAtu^kzayAt-/
   2.1.36/.prāk ca strī^dhātu^kṣayāt puruṣa^dhātu^kṣaya iti	2.1.36/.-prAk ca strI^DAtu^kzayAt puruza^DAtu^kzayaH iti
   prāyovādaḥ//(p.90)	prAyovAdaH//(p.90)
   2.1.37a/.mṛdutvād upamṛdyatvān nisargāc ca^eva yoṣitaḥ/(p.91)	2.1.37a/.-mRdu-tvAt upamRdya-tvAt nisargAt ca^eva yozitaH/(p.91)
   2.1.37b/.prāpnuvanty āśu tāḥ prītim ity ācāryā vyavasthitāḥ//(p.91)	2.1.37b/.prApnuvanti ASu tAH prItim iti AcAryAH vyavasTitAH//(p.91)
   2.1.38a/.etāvad eva yuktānāṃ vyākhyātaṃ sāṃprayogikam/(p.92)	2.1.38a/.etAvat eva yuktAnAm vyAKyAtam sAMprayogikam/(p.92)
   2.1.38b/.mandānām avabodha^arthaṃ vistaro +ataḥ pravakṣyate//(p.92)	2.1.38b/.mandAnAm avaboDa^arTam vistaraH +ataH pravakzyate//(p.92)
   2.1.39a/.abhyāsād abhimānāc ca tathā saṃpratyayād api(p.92)	2.1.39a/.aByAsAt aBimAnAt ca taTA saMpratyayAt api(p.92)
   2.1.39b/.viṣayebhyaś ca tantrajñāḥ prītim āhuś caturvidhām//(p.92)	2.1.39b/.-vizayeByaH ca tantra-jQAH prItim AhuH caturviDAm//(p.92)
   2.1.40a/.śabda^ādibhyo bahirbhūtā yā karma^abhyāsa^lakṣaṇā/(p.92)	2.1.40a/.-Sabda^AdiByaH bahis-BUtA yA karma^aByAsa^lakzaNA/(p.92)
   2.1.40b/.prītiḥ sābhyāsikī jñeyā mṛgayā^ādiṣu karmasu//(p.92)	2.1.40b/.prItiH sA-AByAsikI jQeyAH mRgayA^Adizu karmasu//(p.92)
   2.1.41a/.anabhyasteṣv api purā karmasv aviṣaya^ātmikā/(p.92)	2.1.41a/.anaByaH-tezu api purA karmasu avizaya-^AtmikA-/(p.92)
   2.1.41b/.saṃkalpāj jāyate prītir yā sā syād ābhimānikī//(p.92)	2.1.41b/.-saMkalpAt jAyate prItiH yA sA syAt ABimAnikI//(p.92)
   2.1.42a/.prakṛter yā tṛtīyasyāḥ striyāś ca^eva^upariṣṭake/(p.93)	2.1.42a/.-prakRteH yA tRtIyasyAH striyAH ca^eva^uparizwake/(p.93)
   2.1.42b/.teṣu teṣu ca vijñeyā cumbana^ādiṣu karmasu//(p.93)	2.1.42b/.tezu tezu ca vijQeyA cumbana^Adizu karmasu//(p.93)
   2.1.43a/.na^anyo +ayam iti yatra syād anyasmin prīti^kāraṇe/(p.93)	2.1.43a/.na^anyaH +ayam iti yatra syAt anyasmin prIti^kAraNe/(p.93)
   2.1.43b/.tantrajñaiḥ kathyate sā^api prītiḥ saṃpratyaya^ātmikā//(p.93)	2.1.43b/.tantra-jQEH kaTyate sA^api prItiH saMpratyaya^AtmikA/-/(p.93)
   2.1.44a/.pratyakṣā lokataḥ siddhā yā prītir viṣaya^ātmikā/(p.94)	2.1.44a/.-pratyakzA lokataH sidDA yA prItiH vizaya^AtmikA-/(p.94)
   2.1.44b/.pradhāna^phalavattvāt sā tad arthāś ca^itarā api//(p.94)	2.1.44b/.-praDAna^Palavat-tvAt sA tat arTAH ca^itarAH api//(p.94)
   2.1.45a/.prītīr etāḥ parāmṛśya śāstrataḥ śāstra^lakṣaṇāḥ/(p.94)	2.1.45a/.-prItIH etAH parAmRSya SAstrataH SAstra^lakzaNAH/(p.94)
   2.1.45b/.yo yathā vartate bhāvas taṃ tathā^eva prayojayet//(p.94)	2.1.45b/.yaH yaTA vartate BAvaH tam taTA^eva prayojayet//(p.94)
   2.2.(7) āliṅganavicārā	2.2.(7) AliFgana-vicArA
   2.2.1/.saṃprayoga^aṅgaṃ catuḥṣaṣṭir ity ācakṣate/	2.2.1/.-saMprayoga^aFgam catuHzazwiH iti Acakzate/
   catuḥṣaṣṭi^prakaraṇatvāt//(p.95)	catuHzazwi^prakaraNa-tvAt//(p.95)
   2.2.2/.śāstram eva^idaṃ catuḥṣaṣṭir ity ācārya^vādaḥ//(p.95)	2.2.2/.SAstram eva^idam catuHzazwiH iti AcArya^vAdaH//(p.95)
   2.2.3/.kalānāṃ catuḥṣaṣṭitvāt tāsāṃ ca saṃprayoga^aṅga^bhūtatvāt	2.2.3/.kalAnAm catuHzazwi-tvAt tAsAm ca saMprayoga^aFga^BUta-tvAt-
   kalā^samūho vā catuḥṣaṣṭir iti/ ṛcāṃ daśatayīnāṃ ca saṃjñitatvāt/ iha^api	kalA^samUhaH vA catuHzazwiH iti/ RcAm daSatayInAm ca saMjQita-tva-at/ iha^api
   tad^artha^saṃbandhāt/ pañcāla^saṃbandhāc ca bahv^ṛcair eṣā pūjā^arthaṃ	tat-^arTa^saMbanDAt/ paQcAla^saMbanDAt ca bahu-^RcEH ezA pUjA^arTam
   saṃjñā pravartitā ity eke//(p.95)	saMjQA pravartitAH iti eke//(p.95)
   2.2.4/.āliṅgana^cumbana^nakha^cchedya^daśana^cchedya^saṃveśana^sītkṛta^puru	2.2.4/.AliFgana^cumbana^naKa^cCedya^daSana^cCedya^saMveSana^sItkRta^puru
   ṣa^āyita^aupariṣṭakānām aṣṭānām aṣṭadhā vikalpa^bhedād aṣṭāv aṣṭakāś	za^Ayita^OparizwakAnAm azwAnAm azwaDA vikalpa^BedAt azwO azwakAS
   catuḥṣaṣṭir iti bābhravīyāḥ//(p.96)	catuHzazwiH iti bABravIyAH//(p.96)
   2.2.5/.vikalpa^vargāṇām aṣṭānāṃ nyūna^adhikatva^darśanāt	2.2.5/.vikalpa^vargANAm azwAnAm nyUna^aDika-tva^darSanAt-
   prahaṇana^viruta^puruṣopasṛpta^citrarata^ādīnām anyeṣām api vargāṇām iha	prahaNana^viruta^puruza-upasRpta^citra-rate-^AdInAm anyezAm api vargANAm iha
   praveśanāt prāyovādo +ayam/ yathā sapta^parṇo vṛkṣaḥ pañca^varṇo balir iti	praveSanAt prAyovAdaH +ayam/ yaTA sapta^parNaH vRkzaH paQca^varNaH baliH iti
   vātsyāyanaḥ//(p.96)	vAtsyAyanaH//(p.96)
   2.2.6/.tatra^asamāgatayoḥ prīti^liṅga^dyotana^artham āliṅgana^catuṣṭayam	2.2.6/.tatra^asamAgatayoH prIti^liFga^dyotana^arTam AliFgana^catuzwayam
   ---spṛṣṭakam, viddhakam, uddhṛṣṭakam, pīḍitakam, iti//(p.97)	----spRzwa-kam, vidDa-kam, udDRzwa-kam, pIxita-kam, iti//(p.97)
   2.2.7/.sarvatra saṃjñā^arthena^eva karma^atideśaḥ//(p.97)	2.2.7/.sarvatra saMjQA^arTena^eva karma^atideSaH//(p.97)
   2.2.8/.saṃmukha^āgatāyāṃ prayojyāyām anya^apadeśena gacchato gātreṇa	2.2.8/.-saMmuKa^AgatAyAm prayojyAyAm anyaH-^apadeSena gacCataH gAtreNa
   gātrasya sparśanaṃ spṛṣṭakam//(p.97)	gAtrasya sparSanam spRzwakam-//(p.97)
   2.2.9/.prayojyaṃ sthitam upaviṣṭaṃ vā vijane kiṃcid gṛhṇatī payodhareṇa	2.2.9/.-prayojyam sTitam upavizwam vA vijane kiMcid gRhNatI payoDareNa
   *vidhyet[ch:viddhyet]/ nāyako +api tām avapīḍya gṛhṇīyād iti	*viDyet[-C:vidDi-et]/ nAyakaH +api tAm avapIxya gRhNIyAt iti
   viddhakam//(p.98)	vidDakam-//(p.98)
   2.2.10/.tad^ubhayam anatipravṛtta^saṃbhāṣaṇayoḥ//(p.98)	2.2.10/.tat-^uBayam anatipravRtta^saMBAzaNayoH//(p.98)
   2.2.11/.tamasi jana^saṃbādhe vijane vā^atha śanakair gacchator	2.2.11/.tamasi jana^saMbADe vijane vE-^aTa SanakEs gacCatoH-
   na^atihrasva^kālam uddharṣaṇaṃ parasparasya gātrāṇām uddhṛṣṭakam//(p.98)	na^ati-hrasva^kAlam udDarzaNam parasparasya gAtrANAm udDRzwakam//(p.98)
   2.2.12/.tad eva kuḍya^saṃdaṃśena stambha^saṃdaṃśena vā sphuṭakam	2.2.12/.tat eva kuxya^saMdaMSena stamBa^saMdaMSena vA sPuwakam
   avapīḍayed iti pīḍitakam//(p.99)	avapIxayet iti pIxita-kam//(p.99)
   2.2.13/.tad ubhayam avagata^paraspara^ākārayoḥ//(p.99)	2.2.13/.tat uBayam avagata^paraspara^AkArayoH//(p.99)
   2.2.14/.latā^veṣṭitakaṃ vṛkṣa^adhirūḍhakaṃ tila^taṇḍulakaṃ kṣīra^nīrakam	2.2.14/.latA^vezwitakam vRkzaH-^aDirUXakam tila^taNxulakam kzIra^nIrakam
   iti catvāri saṃprayoga^kāle//(p.99)	iti catvAri saMprayoga^kAle//(p.99)
   2.2.15/.latā^iva śālam āveṣṭayantī cumbana^arthaṃ mukham avanamayet/	2.2.15/.latA^iva SAlam AvezwayantI cumbana^arTam muKam avanamayet/
   uddhṛtya manda^sītkṛtā tam āśritā vā kiṃcid rāmaṇīyakaṃ paśyet	udDRtya manda^sItkRtA tam ASritA vA kiMcid rAmaNIyakam paSyet-
   tal^latā^āveṣṭitakam//(p.99)	tat-^latA^Avezwitakam//(p.99)
   2.2.16/.caraṇena caraṇam ākramya dvitīyena^ūru^deśam ākramantī veṣṭayantī	2.2.16/.caraNena caraNam Akramya dvitIyena^Uru^deSam AkramantI vezwayantI
   vā tat^pṛṣṭha^sakta^ekabāhur dvitīyena^aṃsam avanamayantī	vA tat-^pRzWa^saktaH-^eka-bAhuH dvitIyena^aMsam avanamayantI
   īṣan^manda^sītkṛta^kūjitā cumbana^artham eva^adhiroḍhum icched iti	Izat-^manda^sItkRta^kUjitA cumbana^arTam eva^aDiroXum icCet iti
   vṛkṣa^adhirūḍhakam//(p.100)	vRkzaH-^aDirUXakam//(p.100)
   2.2.17/.tad ubhayaṃ sthita^karma//(p.100)	2.2.17/.tat uBayam sTita^karma-//(p.100)
   2.2.18/.śayana^gatāv eva^ūrū^vyatyāsaṃ bhuja^vyatyāsaṃ ca sasaṃgharṣam iva	2.2.18/.Sayana^gatO eva^UrU^vyatyAsam Buja^vyatyAsam ca sa-saMGarzam iva
   ghanaṃ saṃsvajete tat^tila^taṇḍulakam//(p.100)	Ganam saMsvajete tat-^tila^taNxulakam-//(p.100)
   2.2.19/.rāga^andhāv anapekṣita^atyayau parasparam anuviśata	2.2.19/.-rAga-^anDO anapekzita^atyayO parasparam anuviSata
   iva^utsaṅga^gatāyām abhimukha^upaviṣṭāyāṃ śayane vā^iti	iva^utsaFga^gatAyAm aBimuKaH-^upavizwAyAm Sayane vA^iti
   kṣīra^jalakam//(p.101)	kzIra^jalakam-//(p.101)
   2.2.20/.tad^ubhayaṃ rāga^kāle//(p.101)	2.2.20/.tat-^uBayam rAga^kAle//(p.101)
   2.2.21/.ity upasūhana^yogā bābhravīyāḥ//(p.101)	2.2.21/.iti upasUhana^yogAH bABravIyAH//(p.101)
   2.2.22/.suvarṇanābhasya tv adhikam eka^aṅga^upagūhana^catuṣṭayam//(p.102)	2.2.22/.-suvarNanABasya tu aDikam ekaH-^aFga-^upagUhana^catuzwayam-//(p.102)
   2.2.23/.tatra^ūru^saṃdaṃśena^ekam ūrum ūrudvayaṃ vā sarva^prāṇaṃ pīḍayet	2.2.23/.tatra^Uru^saMdaMSena^ekam Urum Uru-dvayam vA sarva^prANam pIxayet-
   ity ūru^upagūhanam//(p.102)	iti Uru^upagUhanam-//(p.102)
   2.2.24/.jaghanena jaghanam avapīḍya prakīryamāṇa^keśa^hastā	2.2.24/.jaGanena jaGanam avapIxya prakIryamANa^keSa^hastA
   nakha^daśana^prahaṇana^cumbana^prayojanāya tadupari laṅghayet	naKa^daSana^prahaNana^cumbana^prayojanAya tad-upari laFGayet-
   taj^jaghana^upagūhanam//(p.102)	tat-^jaGanaH-^upagUhanam-//(p.102)
   2.2.25/.stanābhyām uraḥ praviśya tatra^eva bhāram āropayed iti	2.2.25/.-stanAByAm uraH praviSya tatra^eva BAram Aropayet iti
   stana^āliṅganam//(p.102)	stanaH-^AliFganam-//(p.102)
   2.2.26/.mukhe mukham āsajya^akṣiṇī akṣṇor lalāṭena lalāṭam āhanyāt sā	2.2.26/.-muKe muKam Asajya^akziNI akzNoH lalAwena lalAwam AhanyAt sA
   lalāṭikā//(p.102)	lalAwikA//(p.102)
   2.2.27/.saṃvāhanam apy upagūhana^prakāram ity eke manyante/	2.2.27/.saMvAhanam api upagUhana^prakAram iti eke manyante/
   saṃsparśatvāt//(p.103)	saMsparSa-tvAt/-/(p.103)
   2.2.28/.pṛthak kālatvād bhinna^prayojanatvād asādhāraṇatvān na^iti	2.2.28/.pRTak kAla-tvAt Binna^prayojana-tvAt asADAraNa-tvAt na^iti
   vātsyāyanaḥ//(p.103)	vAtsyAyanaH//(p.103)
   2.2.29a/.pṛcchatāṃ śṛṇvatāṃ vā^api tathā kathayatām api/(p.103)	2.2.29a/.pRcCatAm SRNvatAm vE-^api taTA kaTayatAm api/(p.103)
   2.2.29b/.upagūha^vidhiṃ kṛtsnaṃ riraṃsā jāyate nṛṇām//(p.103)	2.2.29b/.upagUha^viDim kRtsnam riraMsA jAyate nRNAm//(p.103)
   2.2.30a/.ye +api hy aśāstritāḥ ke cit saṃyogā rāga^vardhanāḥ/(p.103)	2.2.30a/.ye +api hi aSAstritAH ke cit saMyogAH rAga^varDanAH/(p.103)
   2.2.30b/.ādareṇa^eva te +apy atra prayojyāḥ sāṃprayogikāḥ//(p.103)	2.2.30b/.AdareNa^eva te +api atra prayojyAH sAMprayogikAH-//(p.103)
   2.2.31a/.śāstrāṇāṃ viṣayas tāvad yāvan manda^rasā narāḥ/(p.104)	2.2.31a/.SAstrANAm vizayaH tAvat yAvat manda^rasAH narAH/(p.104)
   2.2.31b/.rati^cakre pravṛtte tu na^eva śāstraṃ na ca kramaḥ//(p.104)	2.2.31b/.rati^cakre pravRtte tu na^eva SAstram na ca kramaH//(p.104)
   2.3.(8) cumbana^vikalpās	2.3.(8) cumbana^vikalpA-as
