   akaṇṭakā vasumatī MvyK_8a	akaNwakA vasumatI MvyK_8a
   tasya māro bhaviṣyati MvyC_90b	tasya mAraH Bavizyati MvyS_90b
   tasya māro bhaviṣyati MvyK_87b	tasya mAraH Bavizyati MvyK_87b
   tasya mūle niṣaṇṇo 'sau MvyC_58a	tasya mUle nizaNNaH asO MvyS_58a
   tasya mūle niṣaṇṇo 'sau MvyK_55a	tasya mUle nizaNNaH asO MvyK_55a
   tasya yūpasya maitreyo MvyC_54a	tasya yUpasya mEtreyaH MvyS_54a
   tasya yūpasya maitreyo MvyK_51a	tasya yUpasya mEtreyaH MvyK_51a
   tasya rājño bhaviṣyati MvyK_22d	tasya rAjQaH Bavizyati MvyK_22d
   tasyām eva ca rātrau hi MvyG_56c	tasyAm eva ca rAtrO hi Mu-yu-_56c
   tasyāhaṃ vistarañ caivaṃ MvyK_3a	tasya-aham vistaran ca-evam MvyK_3a
   tasyāḥ kukṣau sa niyataṃ MvyC_30c	tasyAH kukzO sa niyatam MvyS_30c
   tasyāḥ kukṣau sa niyataṃ MvyK_30c	tasyAH kukzO sa niyatam MvyK_30c
   tasyaiva x mahāmuneḥ MvyC_99b	tasya-eva x mahA-muneH MvyS_99b
   tasyopadhyāyo bhaviṣyati MvyC_27d	tasya-upaDyAyaH Bavizyati MvyS_27d
   taṃ ca ratnamayaṃ yūpaṃ MvyG_50a	tam ca ratna-mayam yUpam Mu-yu-_50a
   taṃ ca ratnamayaṃ yūpaṃ MvyC_53a	tam ca ratna-mayam yUpam MvyS_53a
   taṃ ca śakraḥ sahasrākṣo MvyG_91a	tam ca SakraH sahasrAkzaH Mu-yu-_91a
   taṃ cāpi dharmaṃ saṃśrutya MvyG_59c	tam ca-api Darmam saMSrutya Mu-yu-_59c
   taṃ cāsya dharmaṃ saṃśrutya MvyC_61c	tam ca-asya Darmam saMSrutya MvyS_61c
   taṃ tādṛśaṃ kāruṇikaṃ MvyG_106a	tam tAdRSam kAruNikam Mu-yu-_106a
   taṃ dvātriṃśalakṣṇānvitam MvyK_38d	tam dvAtriMSa-lakzNa-anvitam MvyK_38d
   taṃ lokanātham udvīkṣya MvyG_86c	tam loka-nATam udvIkzya Mu-yu-_86c
   taṃ lokanātham udvīkṣya MvyC_85c	tam loka-nATam udvIkzya MvyS_85c
   taṃ lokanātham udvīkṣya MvyK_82c	tam loka-nATam udvIkzya MvyK_82c
   tiryañ ca ṣoḍaśavyāmam MvyG_48c	tiryan ca zoxaSa-vyAmam Mu-yG_48c
   tuṣitebhyaś cyavitvā tu MvyC_30a	tuziteByaH cyavitvA tu MvyS_30a
   tuṣitebhyas tataś cyutvā MvyK_30a	tuziteByaH tatas cyutvA MvyK_30a
   tūryās pañcāṅgikā iva MvyK_18d	tUryAH paQcAFgikAH iva MvyK_18d
   tṛtīyaḥ sannipāto 'sya MvyG_81a	tRtIyaH sannipAtaH asya Mu-yu-_81a
   tṛtīyaḥ sannipāto 'sya MvyC_80a	tRtIyaH sannipAtaH asya MvyS_80a
   tṛtīyaḥ sannipāto 'sya MvyK_77a	tRtIyaH sannipAtaH asya MvyK_77a
   tṛṣṇābandhanabaddhānāṃ MvyG_37c	tRzNA-banDana-badDAnAm Mu-yG_37c
   te ca nūnaṃ bhaviṣyanti MvyC_94a	te ca nUnam Bavizyanti MvyS_94a
   tenaite preṣitāḥ sattvāḥ MvyG_76a	tena-ete prezitAH sattvAH Mu-yu-_76a
   tenaiva ca pramāṇena MvyC_65a	tena-eva ca pramANena MvyS_65a
   tenaiva ca pramāṇena MvyK_62a	tena-eva ca pramANena MvyK_62a
   tenaiva tālaśabdena MvyK_19c	tena-eva tAla-Sabdena MvyK_19c
   te pi taṃ pūjayiṣyanti MvyG_88c	te pi tam pUjayizyanti Mu-yG_88c
   te 'pi nūnaṃ bhaviṣyanti MvyG_99a	te api nUnam Bavizyanti Mu-yu-_99a
   te vai nūnaṃ bhaviṣyanti MvyG_98a	te vE nUnam Bavizyanti Mu-yu-_98a
   te vai nūnaṃ bhaviṣyanti MvyC_95a	te vE nUnam Bavizyanti MvyS_95a
   te vai nūnaṃ bhaviṣyanti MvyC_96a	te vE nUnam Bavizyanti MvyS_96a
   te vai nūnaṃ bhaviṣyanti MvyK_92a	te vE nUnam Bavizyanti MvyK_92a
   te vai nūnaṃ bhaviṣyanti MvyK_93a	te vE nUnam Bavizyanti MvyK_93a
   te vai nūnaṃ bhaviṣyanti MvyK_94a	te vE nUnam Bavizyanti MvyK_94a
   te vai pānaṃ gamiṣyanti MvyG_100a	te vE pAnam gamizyanti Mu-yu-_100a
   trayā rogā bhaviṣyanti MvyK_12a	trayAH rogAH Bavizyanti MvyK_12a
   traidhātukam idaṃ sarvaṃ MvyG_33c	trEDAtukam idam sarvam Mu-yG_33c
   traidhātukam idaṃ sarvaṃ MvyC_34c	trEDAtukam idam sarvam MvyS_34c
   traidhātukam idaṃ sarvaṃ MvyK_34e	trEDAtukam idam sarvam MvyK_34e
   dakṣiṇāṅge narottamaḥ MvyK_33b	dakziNa-aFge nara-uttamaH MvyK_33b
   dakṣiṇena narottamaḥ MvyC_33b	dakziNena nara-uttamaH MvyS_33b
   dattamātraṃ manoramam MvyG_50b	datta-mAtram manoramam Mu-yG_50b
   dattamātraṃ manoramam MvyC_53b	datta-mAtram manoramam MvyS_53b
   dattamātraṃ manoramam MvyK_50b	datta-mAtram manoramam MvyK_50b
   dattvā dānam asaṃkhyeyaṃ MvyG_61c	dattvA dAnam asaMKyeyam Mu-yu-_61c
   dattvā dānam asaṃkhyeyaṃ MvyC_63c	dattvA dAnam asaMKyeyam MvyS_63c
   dattvā dānam asaṃkhyeyaṃ MvyK_60c	dattvA dAnam asaMKyeyam MvyK_60c
   dattvā śākyamuneḥ stūpeṣv MvyG_72c	dattvA SAkya-muneH stUpezu Mu-yG_72c
   dattvā śākyamuneḥ stūpe hy MvyC_72c	dattvA SAkya-muneH stUpe hi MvyS_72c
   dattvā śākyamuneḥ stūpe hy MvyK_69c	dattvA SAkya-muneH stUpe hi MvyK_69c
   dattvā saṅghe ca dānāni MvyC_75a	dattvA saFGe ca dAnAni MvyS_75a
   dattvā saṃghe ca dānāni MvyK_72a	dattvA saMGe ca dAnAni MvyK_72a
   darśanīyā prāsādikā MvyC_29c	darSanIyA prAsAdikA MvyS_29c
   darśanīyā prāsādikā MvyK_29c	darSanIyA prAsAdikA MvyK_29c
   daśa māsāṃś ca nikhilān MvyC_31a	daSa mAsAn ca niKilAn MvyS_31a
   daśa māsāṃś ca nikhilān MvyK_31a	daSa mAsAn ca niKilAn MvyK_31a
   daśayojanasāhasrā MvyK_6a	daSa-yojana-sAhasrAH MvyK_6a
   daśavarṣasahasrāṇi MvyG_103c	daSa-varza-sahasrANi Mu-yG_103c
   daśavarṣasahasrāṇi MvyC_99c	daSa-varza-sahasrANi MvyS_99c
   daśavarṣasahasrāṇi MvyK_97c	daSa-varza-sahasrANi MvyK_97c
   divyamālās tathaiva ca MvyC_84d	divya-mAlAH taTA-eva ca MvyS_84d
   divyamālyaṃ tathaiva ca MvyK_81d	divya-mAlyam taTA-eva ca MvyK_81d
   divyaś ca tūryanirghoṣo MvyG_87a	divyaH ca tUrya-nirGozaH Mu-yu-_87a
   divyaṃ mālyaṃ patiṣyati MvyG_85d	divyam mAlyam patizyati Mu-yu-_85d
   divyaṃ mālyaṃ patiṣyati MvyG_87b	divyam mAlyam patizyati Mu-yG_87b
   divyāmbarāṇi puṣpāṇi MvyC_40a	divya-ambarANi puzpANi MvyS_40a
   divyāsurāṇi puṣpāṇi MvyK_37a	divya-asurANi puzpANi MvyK_37a
   diśaś catasraś codvīkṣya MvyG_36a	diSaH catasraH ca-udvIkzya Mu-yu-_36a
   diśaś catasraś codvīkṣya MvyC_38a	diSaH catasraH ca-udvIkzya MvyS_38a
   diśaś catasro udvīkṣya MvyK_35c	diSaH catasraH udvIkzya MvyK_35c
   duḥkhasya samatikramam MvyG_58d	duHKasya samatikramam Mu-yu-_58d
   duḥkhasya samatikramam MvyC_60b	duHKasya samatikramam MvyS_60b
   duḥkhasya samatikramam MvyK_57b	duHKasya samatikramam MvyK_57b
   duḥkhaṃ duḥkhasamutpādaṃ MvyG_58c	duHKam duHKa-samutpAdam Mu-yu-_58c
   duḥkhaṃ duḥkhasamutpādaṃ MvyC_60a	duHKam duHKa-samutpAdam MvyS_60a
   duḥkhaṃ duḥkhasamutpādaṃ MvyK_57a	duHKam duHKa-samutpAdam MvyK_57a
   duḥkhitā khalv iyaṃ prajā MvyK_44d	duHKitA Kalu iyam prajAH MvyK_44d
   duḥkhitā khalv iyāṃ prajāḥ MvyG_44d	duHKitA Kalu iyAm prajAH Mu-yu-_44d
   duḥkhitāh khalv imāḥ prajāḥ MvyC_47d	duHKitAh Kalu imAH prajAH MvyS_47d
   dṛṣṭāḥ saddharmadhātunā MvyC_70d	dRzwAH sat-Darma-DAtunA MvyS_70d
   dṛṣṭāḥ saddharmadhātunā MvyK_67d	dRzwAH sadDarma-DAtunA MvyK_67d
   dṛṣṭvā ca putraṃ subrahmā MvyC_45a	dRzwvA ca putram subrahmA MvyS_45a
   dṛṣṭvā ca vibhavānalpikām MvyG_107b	dRzwvA ca viBava-analpikAm Mu-yG_107b
   dṛṣṭvā caitām anityatām MvyG_51b	dRzwvA ca-etAm anitya-tAm Mu-yG_51b
   dṛṣṭvā cainām anityatām MvyC_54b	dRzwvA ca-enAm anitya-tAm MvyS_54b
   dṛṣṭvā cainām anityatām MvyK_51b	dRzwvA ca-enAm anitya-tAm MvyK_51b
   dṛṣṭvā saddharmadhātunā MvyG_69d	dRzwvA sadDarma-DAtunA Mu-yG_69d
   dṛṣṭvaivaṃ putraṃ subrahmā MvyG_42a	dRzwvA-evam putram su-brahmA Mu-yu-_42a
   dṛṣṭvaivaṃ putraṃ subrahmā MvyK_42a	dRzwvA-evam putram subrahmA MvyK_42a
   devatā prakariṣyanti MvyG_87c	devatA prakarizyanti Mu-yG_87c
   devatāḥ prakariṣyanti MvyG_83e	devatAH prakarizyanti Mu-yG_83e
   devatāḥ prakariṣyanti MvyC_82e	devatAH prakarizyanti MvyS_82e
   devatāḥ prakramiṣyanti MvyK_79e	devatAH prakramizyanti MvyK_79e
   devaputrā maharddhikāḥ MvyG_86b	deva-putrAH mahardDikAH Mu-yG_86b
   devaputrā maharddhikāḥ MvyC_85b	deva-putrAH mahardDikAH MvyS_85b
   devaputrā maharddhikāḥ MvyC_87f	deva-putrAH mahardDikAH MvyS_87f
   devaputrā maharddhikāḥ MvyK_82b	deva-putrAH mahardDikAH MvyK_82b
   devaputrā maharddhikāḥ MvyK_84f	deva-putrAH mahardDikAH MvyK_84f
   devarājaś śacīpatiḥ MvyC_35b	devarAjaH SacIpatiH MvyS_35b
   devarājaḥ śacīpatiḥ MvyG_91b	devarAjaH SacIpatiH Mu-yG_91b
   devarājaḥ śacīpatiḥ MvyK_38b	devarAjaH SacIpatiH MvyK_38b
   devarājā śacīpatiḥ MvyG_34b	devarAjA SacIpatiH Mu-yG_34b
   devarājo mahādyutiḥ MvyC_88b	devarAjaH mahA-dyutiH MvyS_88b
   devarājo mahādyutiḥ MvyK_85b	devarAjaH mahA-dyutiH MvyK_85b
   devarājo śacīpatiḥ MvyC_41b	devarAjaH SacIpatiH MvyS_41b
   deśayiṣyati saddharmaṃ MvyG_57c	deSayizyati sadDarmam Mu-yu-_57c
   deśayiṣyati saddharmaṃ MvyG_101c	deSayizyati sadDarmam Mu-yG_101c
   deśayiṣyati saddharmaṃ MvyC_59c	deSayizyati sadDarmam MvyS_59c
   deśayiṣyati saddharmaṃ MvyC_97c	deSayizyati sadDarmam MvyS_97c
   deśayiṣyati saddharmaṃ MvyK_56c	deSayizyati sadDarmam MvyK_56c
   deśayiṣyati saddharmaṃ MvyK_95c	deSayizyati sadDarmam MvyK_95c
   drumasya śākhām ālambya MvyG_32c	drumasya SAKAm Alambya Mu-yG_32c
   drumasya śākhām ālambya MvyC_32c	drumasya SAKAm Alambya MvyS_32c
   drumasya śākhām ālambya MvyK_32c	drumasya SAKAm Alambya MvyK_32c
   dvātriṃśatśatayojanaḥ MvyK_5b	dvAtriMSat-Sata-yojanaH MvyK_5b
   dvātriṃśadvaralakṣaṇam MvyG_39b	dvAtriMSat-vara-lakzaNam Mu-yG_39b
   dvātriṃśadvaralakṣaṇam MvyG_42b	dvAtriMSat-vara-lakzaNam Mu-yG_42b
   dvātriṃśadvaralakṣaṇam MvyC_36b	dvAtriMSat-vara-lakzaNam MvyS_36b
   dvātriṃśadvaralakṣaṇam MvyC_41d	dvAtriMSat-vara-lakzaNam MvyS_41d
   dvātriṃśadvaralakṣaṇam MvyC_45b	dvAtriMSat-vara-lakzaNam MvyS_45b
   dvātriṃśadvaralakṣaṇam MvyK_42b	dvAtriMSat-vara-lakzaNam MvyK_42b
   dvitīyaḥ sannipāto 'sya MvyG_80a	dvitIyaH sannipAtaH asya Mu-yu-_80a
   dvitīyaḥ sannipāto 'sya MvyC_79a	dvitIyaH sannipAtaH asya MvyS_79a
   dvitīyaḥ sannipāto 'sya MvyK_76a	dvitIyaH sannipAtaH asya MvyK_76a
   dharmacakraṃ pravartyātha MvyG_82a	Darma-cakram pravartya-aTa Mu-yu-_82a
   dharmacakraṃ pravartyātha MvyC_81a	Darma-cakram pravartya-aTa MvyS_81a
   dharmacakraṃ pravartyātha MvyK_78a	Darma-cakram pravartya-aTa MvyK_78a
   dharmasenāpatir vibhuḥ MvyK_1b	DarmasenApatiH viBuH MvyK_1b
   dhārayitvā mahādyutim MvyG_31b	DArayitvA mahA-dyutim Mu-yG_31b
   dhārayitvā mahādyutim MvyK_31b	DArayitvA mahA-dyutim MvyK_31b
   dhārayitvā mahādyutiḥ MvyC_31b	DArayitvA mahA-dyutiH MvyS_31b
   dhārayiṣyanti mūrdhani MvyG_38b	DArayizyanti mUrDani Mu-yG_38b
   dhārayiṣyanti mūrdhani MvyC_40d	DArayizyanti mUrDani MvyS_40d
   dhārayiṣyanti mūrdhani MvyK_37d	DArayizyanti mUrDani MvyK_37d
   dhyānāni copasaṃpadya MvyG_100c	DyAnAni ca-upasaMpadya Mu-yG_100c
   dhyānāni copasaṃpadya MvyC_96c	DyAnAni ca-upasaMpadya MvyS_96c
   dhyānāny upasaṃpādya MvyK_94c	DyAnAni upasaMpAdya MvyK_94c
   nagaraṃ kṛtapuṇyānāṃ MvyK_14c	nagaram kRta-puNyAnAm MvyK_14c
   na niṣaṇṇā na suptāsau MvyC_32a	na nizaNNAH na suptA-asO MvyS_32a
   na niṣaṇṇā nipannā vā MvyG_32a	na nizaNNAH nipannAH vA Mu-yu-_32a
   na niṣaṇṇā nipannā vā MvyK_32a	na nizaNNAH nipannAH vA MvyK_32a
   na punar abhyāgamiṣyāmi MvyG_36e	na punar aByAgamizyAmi Mu-yG_36e
   na punar āgamiṣyāmi MvyC_39a	na punar AgamizyAmi MvyS_39a
   na punar āgamiṣyāmi MvyK_36a	na punar AgamizyAmi MvyK_36a
   namas te puruṣasiṃha MvyK_86a	namaH te puruza-siMhaH MvyK_86a
   namas te puruṣājanya MvyG_92a	namaH te puruza-ajanyaH Mu-yu-_92a
   namas te puruṣājanya MvyC_89a	namaH te puruza-ajanyaH MvyS_89a
   namas te puruṣottama MvyG_92b	namaH te puruzottamaH Mu-yG_92b
   namas te puruṣottama MvyC_89b	namaH te puruzottamaH MvyS_89b
   namas te puruṣottama MvyK_86b	namaH te puruzottamaH MvyK_86b
   nayutaśatalakṣitāḥ MvyK_24b	nayuta-Sata-lakzitAH MvyK_24b
   narādhipaś cakravartī MvyG_43c	narADipaH cakravartI Mu-yG_43c
   narādhipaś cakravartī MvyC_46c	narADipaH cakravartI MvyS_46c
   narādhipaś cakravartī MvyK_43c	narADipaH cakravartI MvyK_43c
   narādhipo 'pi niṣkramya MvyK_61c	narADipaH api nizkramya MvyK_61c
   narādhipo viniṣkramya MvyG_62c	narADipaH vinizkramya Mu-yu-_62c
   narādhipo viniṣkramya MvyC_64c	narADipaH vinizkramya MvyS_64c
   narās te śubhakarminaḥ MvyK_7d	narAH te SuBa-karminaH MvyK_7d
   nāgavṛkṣas tadā tasya MvyG_54a	nAgavRkzaH tadA tasya Mu-yu-_54a
   nāgavṛkṣas tadā tasya MvyC_57a	nAgavRkzaH tadA tasya MvyS_57a
   nāgavṛkṣas tadā tasya MvyK_54a	nAgavRkzaH tadA tasya MvyK_54a
   nāgāś cāpi maharddhikāḥ MvyG_97d	nAgAH ca-api mahardDikAH Mu-yG_97d
   nāgāś cāpi maharddhikāḥ MvyC_93d	nAgAH ca-api mahardDikAH MvyS_93d
   nāgāś cāpi maharddhikāḥ MvyK_91d	nAgAH ca-api mahardDikAH MvyK_91d
   nāgendrau snāpayiṣyataḥ MvyG_38d	nAga-indrO snApayizyataH Mu-yu-_38d
   nānāraṅgopaśobhitāḥ MvyK_9d	nAnA-raFga-upaSoBitAH MvyK_9d
   nānāratnavibhuṣitām MvyG_40b	nAnA-ratna-viBuzitAm Mu-yG_40b
   nānāratnavibhuṣitām MvyC_42b	nAnA-ratna-viBuzitAm MvyS_42b
   nānāratnavibhuṣitām MvyK_39b	nAnA-ratna-viBuzitAm MvyK_39b
   nānāratnavibhūṣitam MvyG_49b	nAnA-ratna-viBUzitam Mu-yG_49b
   nānāratnavibhūṣitam MvyC_52b	nAnA-ratna-viBUzitam MvyS_52b
   nānāratnavibhūṣitam MvyK_49b	nAnA-ratna-viBUzitam MvyK_49b
   nānāratnavibhūṣitāḥ MvyK_15d	nAnA-ratna-viBUzitAH MvyK_15d
   nārīṇāṃ abhiniṣkramya MvyG_65e	nArINAm aBinizkramya Mu-yu-_65e
   nārīṇāṃ saha niṣkramya MvyC_67e	nArINAm saha nizkramya MvyS_67e
   nārīṇāṃ saha niṣkramya MvyK_64e	nArINAm saha nizkramya MvyK_64e
   nāsti bhūyaḥ punarbhavaḥ MvyG_36d	na-asti BUyas punarBavaH Mu-yu-_36d
   nāsti bhūyaḥ punarbhavaḥ MvyC_38d	na-asti BUyas punarBavaH MvyS_38d
   nāsti bhūyaḥ punarbhavaḥ MvyK_35f	na-asti BUyas punarBavaH MvyK_35f
   nikṣiptā mama śāsane MvyK_67f	nikziptAH mama SAsane MvyK_67f
   nirāmayāś ca te satvā MvyK_11a	nirAmayAH ca te satvAH MvyK_11a
   nirgataś ca prabhāyate MvyK_33d	nirgataH ca praBAyate MvyK_33d
   nirgataś ca prabhāsate MvyC_33d	nirgataH ca praBAsate MvyS_33d
   nirdiṣṭo lokanāyakaḥ MvyK_2b	nirdizwaH loka-nAyakaH MvyK_2b
   nirvāsyāmi nirāśravaḥ MvyC_39b	nirvAsyAmi nirASravaH MvyS_39b
   nirvāsyāmi nirāśravaḥ MvyK_36b	nirvAsyAmi nirASravaH MvyK_36b
   nirvāsyāmi nirāsravaḥ MvyG_36f	nirvAsyAmi nirAsravaH Mu-yG_36f
   niṣadya tasya cādhastān MvyG_55a	nizadya tasya ca-aDastAt Mu-yu-_55a
   niṣkramiṣyati pārśvena MvyC_33a	nizkramizyati pArSvena MvyS_33a
   niṣkramiṣyati pārśvena MvyK_33a	nizkramizyati pArSvena MvyK_33a
   niṣkramiṣyati maitreyaḥ MvyG_53c	nizkramizyati mEtreyaH Mu-yu-_53c
   niṣkramiṣyati maitreyaḥ MvyC_56c	nizkramizyati mEtreyaH MvyS_56c
   niḥkramiṣyati maitreyaḥ MvyK_53c	niHkramizyati mEtreyaH MvyK_53c
   pakṣasyehāṣṭamīṃ tathā MvyG_74d	pakzasya-iha-azwamIm taTA Mu-yu-_74d
   pakṣasyehāṣṭamīṃ tathā MvyC_76b	pakzasya-iha-azwamIm taTA MvyS_76b
   pakṣasyehāṣṭamīṃ tathā MvyK_73b	pakzasya-iha-azwamIm taTA MvyK_73b
   pañcavarṣaśatā kanyā MvyK_12c	paQca-varza-SatA kanyA MvyK_12c
   pañcāśadyojanāny asya MvyG_54c	paQcASat-yojanAni asya Mu-yu-_54c
   pañcāśadyojanās tasya MvyC_57c	paQcASat-yojanAH tasya MvyS_57c
   pañcāśadyojanās tasya MvyK_54c	paQcASat-yojanAH tasya MvyK_54c
   patiṣyanti nabhastalāt MvyC_40b	patizyanti naBastalAt MvyS_40b
   patiṣyanti nabhastalāt MvyK_37b	patizyanti naBastalAt MvyK_37b
   patiṣyanti narottame MvyC_82d	patizyanti narottame MvyS_82d
   patiṣyanti purottame MvyG_83d	patizyanti pura-uttame Mu-yG_83d
   patiṣyanti purottame MvyK_79d	patizyanti pura-uttame MvyK_79d
   pathi tatra sthitā bhūmir MvyK_83a	paTi tatra sTitA BUmiH MvyK_83a
   pathi bhūmiḥ sthitā tatra MvyC_86a	paTi BUmiH sTitA tatra MvyS_86a
   pathi bhūmyāstaraṃ tatra MvyG_89a	paTi BUmi-Astaram tatra Mu-yu-_89a
   padavyākaraṇe tathā MvyC_28d	pada-vyAkaraNe taTA MvyS_28d
   padavyākaraṇe tathā MvyK_28d	pada-vyAkaraNe taTA MvyK_28d
   padāni jātamātraś ca MvyG_35a	padAni jAta-mAtraH ca Mu-yu-_35a
   padāni jātamātras tu MvyC_37a	padAni jAta-mAtraH tu MvyS_37a
   pade pade nidhanaṃ ca MvyG_35c	pade pade niDanam ca Mu-yu-_35c
   pade pade nidhanaṃ ca MvyC_37c	pade pade niDanam ca MvyS_37c
   pade pade nidhānaṃ ca MvyK_35a	pade pade niDAnam ca MvyK_35a
   padmapattranibhekṣaṇaḥ MvyG_45d	padma-pattra-niBa-IkzaNaH Mu-yu-_45d
   padmapattranibhekṣaṇaḥ MvyC_48d	padma-pattra-niBa-IkzaNaH MvyS_48d
   padmapattranibhedekṣaṇaḥ MvyK_45d	padma-pattra-niBeda-IkzaNaH MvyK_45d
   padmaṃ caiva yathāmbhasā MvyC_34b	padmam ca-eva yaTA-amBasA MvyS_34b
   padmaṃ caiva yathāmbhuvā MvyK_34d	padmam ca-eva yaTA-amBuvA MvyK_34d
   padmaṃ padmaṃ bhaviṣyati MvyG_35d	padmam padmam Bavizyati Mu-yu-_35d
   padmaṃ padmaṃ bhaviṣyati MvyC_37d	padmam padmam Bavizyati MvyS_37d
   padmaṃ padmaṃ bhaviṣyati MvyK_35b	padmam padmam Bavizyati MvyK_35b
   padmotpalasamān kīrṇāś MvyK_16c	padma-utpala-samAn kIrNAH MvyK_16c
   parāṃ bodhim avāpsyati MvyG_56d	parAm boDim avApsyati Mu-yu-_56d
   parinirvṛtasya x x MvyC_99a	parinirvRtasya x x MvyS_99a
   parinirvṛtasya tasyaiva MvyK_97a	parinirvRtasya tasya-eva MvyK_97a
   paripālya yathābhūtam MvyG_73c	paripAlya yaTABUtam Mu-yu-_73c
   pariṣāś ca bhaviṣyanti MvyK_16a	parizAH ca Bavizyanti MvyK_16a
   parītā bhūrimedhasā MvyG_76d	parItA BUri-meDasA Mu-yu-_76d
   parṣat tasya bhaviṣyati MvyG_60d	parzad tasya Bavizyati Mu-yu-_60d
   parṣat tasya bhaviṣyati MvyG_67d	parzad tasya Bavizyati Mu-yu-_67d
   parṣat tasya bhaviṣyati MvyC_62d	parzad tasya Bavizyati MvyS_62d
   parṣat tasya bhaviṣyati MvyK_59d	parzad tasya Bavizyati MvyK_59d
   pālayiṣyati dharmeṇa MvyK_23c	pAlayizyati DarmeNa MvyK_23c
   piṅgalaś ca kaliṅgeṣu MvyK_25a	piFgalaH ca kaliFgezu MvyK_25a
   puṇḍarīkasugandhikam MvyC_84b	puNxarIka-suganDikam MvyS_84b
   puṇḍarīkaṃ sugandhikam MvyG_85b	puNxarIkam suganDikam Mu-yG_85b
   puṇḍarīkaṃ sugandhikam MvyK_81b	puNxarIkam suganDikam MvyK_81b
   putrān kṣemeṇa svastinā MvyC_44d	putrAn kzemeNa svastinA MvyS_44d
   putrān kṣemeṇa svastinā MvyK_41d	putrAn kzemeNa svastinA MvyK_41d
   pure piṇḍaṃ cariṣyati MvyG_82d	pure piNxam carizyati Mu-yu-_82d
   pure piṇḍaṃ cariṣyati MvyC_81d	pure piNxam carizyati MvyS_81d
   pure piṇḍaṃ cariṣyati MvyK_78d	pure piNxam carizyati MvyK_78d
   puṣkariṇo bhaviṣyanti MvyK_20a	puzkariNaH Bavizyanti MvyK_20a
   puṣpapatraphalotpatā MvyK_10a	puzpa-patra-Pala-utpatA MvyK_10a
   puṣpavarṣaṃ patiṣyati MvyG_41d	puzpa-varzam patizyati Mu-yu-_41d
   puṣpavarṣaṃ patiṣyati MvyC_43d	puzpa-varzam patizyati MvyS_43d
   puṣpavarṣaṃ patiṣyati MvyK_40d	puzpa-varzam patizyati MvyK_40d
   pūjāṃ tasya kariṣyati MvyG_84d	pUjAm tasya karizyati Mu-yu-_84d
   pūjāṃ tasya kariṣyati MvyC_83d	pUjAm tasya karizyati MvyS_83d
   pūjāṃ tasya vidhāsyati MvyK_80d	pUjAm tasya viDAsyati MvyK_80d
   pūrṇasahasraputrāṇāṃ MvyK_22c	pUrNa-sahasra-putrANAm MvyK_22c
   pūrṇaṃ ca yojanaśataṃ MvyG_60c	pUrNam ca yojana-Satam Mu-yu-_60c
   pūrṇaṃ ca yojanaṃ śataṃ MvyC_62c	pUrNam ca yojanam Satam MvyS_62c
   pūrṇā dvānavati koṭyo MvyK_77c	pUrNA dvAnavati kowyaH MvyK_77c
   pūrṇā dvānavatiḥ koṭyo MvyC_80c	pUrNA dvAnavatiH kowyaH MvyC_80c
   pūrṇā dvāviṃśatiḥ koṭyaḥ MvyG_81c	pUrNA dvAviMSatiH kowyaH Mu-yu-_81c
   pūrṇāś caturnavati koṭyaḥ MvyK_76c	pUrNAH caturnavati kowyaH MvyK_76c
   pūrṇāś caturnavatiḥ koṭyaḥ MvyG_80c	pUrNAH caturnavatiH kowyaH Mu-yu-_80c
   pūrṇāś caturnavatiḥ koṭyo MvyC_79c	pUrNAH caturnavatiH kowyaH MvyC_79c
   pūrṇāḥ ṣaṇnavatikoṭyaḥ MvyG_79c	pUrNAH zaNnavati-kowyaH Mu-yu-_79c
   pūrṇāḥ ṣaṇnavati koṭyaḥ MvyK_75c	pUrNAH zaNnavati kowyaH MvyK_75c
   pūrṇāḥ ṣaṇnavatiḥ koṭyaḥ MvyC_78c	pUrNAH zaNnavatiH kowyaH MvyS_78c
   prakārāḥ krośam uccitāḥ MvyK_15b	prakArAH kroSam uccitAH MvyK_15b
   pragrahīṣyati kumāraṃ MvyK_38c	pragrahIzyati kumAram MvyK_38c
   pratigṛhya ca taṃ dhātrī MvyG_39a	pratigRhya ca tam DAtrI Mu-yu-_39a
   pratipatsyanti śāsane MvyG_59d	pratipatsyanti SAsane Mu-yu-_59d
   pratipadyanti śāsane MvyC_61d	pratipadyanti SAsane MvyS_61d
   pratipadyanti śāsane MvyK_58d	pratipadyanti SAsane MvyK_58d
   pratipādya yathābhūtaṃ hy MvyK_71c	pratipAdya yaTABUtam hi MvyK_71c
   pratipālya yathābhūtaṃ hy MvyC_74c	pratipAlya yaTABUtam hi MvyS_74c
   pratisandhiṃ grahiṣyati MvyK_30d	pratisanDim grahizyati MvyK_30d
   pratisandhiṃ grahīṣyati MvyC_30d	pratisanDim grahIzyati MvyS_30d
   pratīṣṭāś ca mayāpy amī MvyG_76b	pratIzwAH ca mayA-api amI Mu-yG_76b
   pratyavīkṣātha mantreṣu MvyG_42c	pratyavIkzA-aTa mantrezu Mu-yu-_42c
   pratyavekṣya ca mantreṣu MvyC_45c	pratyavekzya ca mantrezu MvyS_45c
   pratyavekṣya sumantreṇa MvyK_42c	pratyavekzya sumantreNa MvyK_42c
   prathamaḥ sannipāto 'sya MvyG_79a	praTamaH sannipAtaH asya Mu-yu-_79a
