   Buddhacarita	BudDa-carita
   nikṛṣṭotkṛṣṭayorbhāvaṃ yā gṛhṇanti tu tāḥ striyaḥ // Bc_4.23 //	nikRzwa-utkRzwayoH-BAvam yAH gRhNanti tu tAH striyaH // Bc_4.23 //
   ityudāyivacaḥ śrutvā tā viddhā iva yoṣitaḥ /	iti-udAyi-vacaH SrutvA tAH vidDAH iva yozitaH /
   samāruruhurātmānaṃ kumāragrahaṇaṃ prati // Bc_4.24 //	samAruruhuH-AtmAnam kumAra-grahaNam prati // Bc_4.24 //
   tā bhrūmiḥ prekṣitairhāvairhasitailīḍitairgataiḥ /	tAH BrUmiH prekzitEH-ha-avEH-hasita-elIxitEH-gatEH /
   cakrurākṣepikāśceṣṭā bhītabhītā ivāṅganāḥ // Bc_4.25 //	cakruH-AkzepikAH-cezwAH BIta-BItAH iva-aFganAH // Bc_4.25 //
   rājñastu viniyogena kumārasya ca mārdavāt /	rAjQaH-tu viniyogena kumArasya ca mArdavAt /
   jahuḥ kṣipramaviśrambhaṃ madena madanena ca // Bc_4.26 //	jahuH kzipram-aviSramBam madena madanena ca // Bc_4.26 //
   atha nārījanavṛtaḥ kumāro vyacaradvanam /	aTa nArI-jana-vRtaH kumAraH vyacarat-vanam /
   vāsitāyūthasahitaḥ karīva himavadvanam // Bc_4.27 //	vAsitA-yUTa-sahitaH karI-iva himavat-vanam // Bc_4.27 //
   sa tasmin kānane ramye jajvāla strīpuraḥsaraḥ /	sa tasmin kAnane ramye jajvAla strI-puraHsaraH /
   ākrīḍa iva vibhrāje vivasvānapsarovṛtaḥ // Bc_4.28 //	AkrIxaH iva viBrAje vivasvAn-apsaraH-vRtaH // Bc_4.28 //
   madenāvarjitā nāma taṃ kāścittatra yiṣitaḥ /	madena-AvarjitAH nAma tam kAScid-tatra yizitaH /
   kaṭhinaiḥ paspṛśuḥ pīnaiḥ saṃhatairvalgubhiḥ stanaiḥ // Bc_4.29 //	kaWinEH paspRSuH pInEH saMhatEH-valguBiH stanEH // Bc_4.29 //
   srastāṃsakomalālambamṛdubāhulatābalā /	srasta-aMsa-komala-Alamba-mRdu-bAhu-latA-balA /
   anṛtaṃ skhalitaṃ kācitkṛtvainaṃ sasvaje balāt // Bc_4.30 //	anRtam sKalitam kAcid-kRtvA-enam sasvaje balAt // Bc_4.30 //
   kācittāmrādharoṣṭhena mukhenāsavagandhinā /	kAcid-tAmra-aDara-uzWena muKena-Asava-ganDinA /
   viniśaśvāsa karṇe 'sya rahasyaṃ śrūyatāmiti // Bc_4.31 //	viniSaSvAsa karNe asya rahasyam SrUyatAm-iti // Bc_4.31 //
   kācidājñāpayantīva provācārdrānulepanā /	kAcid-AjQApayanti-iva provAca-Ardra-anulepanA /
   iha bhaktiṃ kuruṣveti hastasaṃśleṣalipsayā // Bc_4.32 //	iha Baktim kuruzva-iti hasta-saMSleza-lipsayA // Bc_4.32 //
   muhurmuhurmadavyājasrastanīlāṃśukāparā /	muhur-muhur-mada-vyAja-srasta-nIla-aMSuka-aparA /
   ālakṣyaraśanā reje sphuradvidyudiva kṣapā // Bc_4.33 //	Alakzya-raSanAH reje sPurat-vidyut-iva kzapAH // Bc_4.33 //
   kāścitkanakakāñcībhirmukharābhiritastataḥ /	kAScid-kanaka-kAQcIBiH-muKarABiH-itaH-tatas /
   babhramurdarśayantyo 'sya śroṇīstanvaṃśukāvṛtāḥ // Bc_4.34 //	baBramuH-darSayantyaH asya SroNIH-tanu-aMSuka-AvRtAH // Bc_4.34 //
   cūtaśākhāṃ kusumitāṃ pragṛhyānyā lalambire /	cUta-SAKAm kusumitAm pragRhya-anyAH lalambire /
   suvarṇakalaśaprakhyāndarśayantyaḥ payodharān // Bc_4.35 //	suvarNa-kalaSa-praKyAn-darSayantyaH payoDarAn // Bc_4.35 //
   kācitpadmavanādetya sapadmā padmalocanā /	kAcid-padma-vanAt-etya sa-padmA padma-locanA /
   padmavaktrasya pārśve 'sya padmaśrīriva tasthuṣī // Bc_4.36 //	padma-vaktrasya pArSve asya padmaSrIH-iva tasTuzI // Bc_4.36 //
   madhuraṃ gītamanvarthaṃ kācitsābhinayaṃ jagau /	maDuram gItam-anvarTam kAcid-sa-aBinayam jagO /
   taṃ svasthaṃ codayantīva vañcito 'sītyavekṣitaiḥ // Bc_4.37 //	tam svasTam codayanti-iva vaQcitaH asi-iti-avekzitEH // Bc_4.37 //
   śubhena vadanenānyā bhrūkārmukavikarṣiṇā /	SuBena vadanena-anyA BrU-kArmuka-vikarziNA /
   prāvṛtyānucakārāsya ceṣṭitaṃ dhīralīlayā // Bc_4.38 //	prAvRtya-anucakAra-asya cezwitam DIra-lIlayA // Bc_4.38 //
   pīnavalgustanī kāciddhāsāghūrṇitakuṇḍalā /	pIna-valgu-stanI kAcid-hAsa-AGUrNita-kuNxalAH /
   uccairavajahāsainaṃ samāpnotu bhavāniti // Bc_4.39 //	uccEs-avajahAsa-enam samApnotu BavAn-iti // Bc_4.39 //
   apayāntaṃ tathaivānyā babandhurmālyadāmabhiḥ /	apayAntam taTA-eva-anyAH babanDuH-mAlya-dAmaBiH /
   kāścitsākṣepamadhurairjagṛharvacanāṅkuśaiḥ // Bc_4.40 //	kAScid-sa-Akzepa-maDurEH-jagRharvacana-aFkuSEH // Bc_4.40 //
   pratiyogārthinī kācid gṛhītvā cūtavallarīm /	pratiyoga-arTinI kAcid gRhItvA cUta-vallarIm /
   idaṃ puṣpaṃ tu kasyeti papraccha madaviklavā // Bc_4.41 //	idam puzpam tu kasya-iti papracCa mada-viklavAH // Bc_4.41 //
   kācitpuruṣavatkṛtvā gatiṃ saṃsthānameva ca /	kAcid-puruza-vat-kRtvA gatim saMsTAnam-eva ca /
   uvācainaṃ jitaḥ strībhīrjaya bho pṛthivīmimām // Bc_4.42 //	uvAca-enam jitaH strIBIH-jaya Bo pRTivIm-imAm // Bc_4.42 //
   atha lolekṣaṇā kācijjighrantī nīlamutpalam /	aTa lola-IkzaNA kAcid-jiGrantI nIlam-utpalam /
   kiṃcinmadakalairvākyai rnṛpātmajamabhāṣata // Bc_4.43 //	kiMcid-mada-kalEH-vAkyEH rnRpa-Atmajam-aBAzata // Bc_4.43 //
   paśya bhartīścitaṃ cūtaṃ kusumairmadhugandhibhiḥ /	paSya BartIH-citam cUtam kusumEH-maDu-ganDiBiH /
   hemapañjararuddho vā kokilo yatra kūjati // Bc_4.44 //	hema-paQjara-rudDaH vA kokilaH yatra kUjati // Bc_4.44 //
   aśoko dṛśyatāmeṣa kāmiśokavivardhanaḥ /	aSokaH dRSyatAm-eza kAmi-Soka-vivarDanaH /
   ruvanti bhramarā yatra dahyamānā ivāgninā // Bc_4.45 //	ruvanti BramarAH yatra dahyamAnAH iva-agninA // Bc_4.45 //
   cūtayaṣṭyā samāśliṣṭo dṛśyatāṃ tilakadrumaḥ /	cUta-yazwyA samASlizwaH dRSyatAm tilaka-drumaH /
   śuklavāsā iva naraḥ striyā pītāṅgarāgayā // Bc_4.46 //	Sukla-vAsAH iva naraH striyA pIta-aFgarAgayA // Bc_4.46 //
   phullaṃ kurubakaṃ paśya nirbhuktālaktakaprabham /	Pullam kurubakam paSya nirBukta-alaktaka-praBam /
   yo nakhaprabhayā strīṇāṃ nirbhīrtsata ivānataḥ // Bc_4.47 //	yaH naKa-praBayA strINAm nirBIrtsataH iva-AnataH // Bc_4.47 //
   bālāśokaśca nicito dṛśyatāmeṣa pallavaiḥ /	bAla-aSokaH-ca nicitaH dRSyatAm-eza pallavEH /
   yo 'smākaṃ hastaśobhābhirlajjamāna iva sthitaḥ // Bc_4.48 //	yaH asmAkam hasta-SoBABiH-lajjamAnaH iva sTitaH // Bc_4.48 //
   dīrghikā prāvṛtāṃ paśya tīrajaiḥ sinduvārakaiḥ /	dIrGikA prAvRtAm paSya tIra-jEH sinduvArakEH /
   pāṇḍurāṃśukasaṃvītāṃ śayānāṃ pramadāmiva // Bc_4.49 //	pANxura-aMSuka-saMvItAm SayAnAm pramadAm-iva // Bc_4.49 //
   dṛśyatāṃ strīṣu māhātmyaṃ cakravāko hyasau jale /	dRSyatAm strIzu mAhAtmyam cakravAkaH hi-asO jale /
   pṛṣṭhataḥ preṣyavadbhāryāmanuvartyanugacchati // Bc_4.50 //	pRzWatas prezya-vat-BAryAm-anuvarti-anugacCati // Bc_4.50 //
   mattasya parapuṣṭasya ruvataḥ śrūyatāṃ dhvaniḥ /	mattasya parapuzwasya ruvataH SrUyatAm DvaniH /
   aparaḥ kokilo 'nvakṣaṃ pratiśrutkeva kūjati // Bc_4.51 //	aparaH kokilaH anvakzam pratiSrutkA-iva kUjati // Bc_4.51 //
   api nāma vihaṅgānāṃ vasantenāhṛto madaḥ /	api nAma vihaFgAnAm vasantena-AhRtaH madaH /
   na tu cintayato 'cintyaṃ janasya prājñamāninaḥ // Bc_4.52 //	na tu cintayataH acintyam janasya prAjQa-mAninaH // Bc_4.52 //
   ityevaṃ tā yuvatayo manmathoddāmacetasaḥ /	iti-evam tAH yuvatayaH manmaTa-uddAma-cetasaH /
   kumāraṃ vividhaistaistairupacakramire nayaiḥ // Bc_4.53 //	kumAram viviDEH-tEH-tEH-upacakramire nayEH // Bc_4.53 //
   evamākṣipyamāṇo 'pi satu dhairyāvṛtendriyaḥ /	evam-AkzipyamANaH api satu DErya-AvRta-indriyaH /
   martavyamiti sodvego na jaharṣa na vivyathe // Bc_4.54 //	martavyam-iti sa-udvegaH na jaharza na vivyaTe // Bc_4.54 //
   tāsāṃ tattve 'navasthānaṃ dṛṣṭvā sa puruṣottamaḥ /	tAsAm tattve anavasTAnam dRzwvA sa puruzottamaH /
   samaṃ vignena dhīreṇa cintayāmāsa cetasā // Bc_4.55 //	samam vignena DIreNa cintayAmAsa cetasA // Bc_4.55 //
   kiṃ tvimā nāvagacchanti capalaṃ yauvanaṃ striyaḥ /	kim tu-imA na-avagacCanti capalam yOvanam striyaH /
   yato rūpeṇa saṃmattaṃ jarā yannāśayiṣyati // Bc_4.56 //	yatas rUpeNa saMmattam jarA yat-nASayizyati // Bc_4.56 //
   nūnametā na paśyanti kasyacidrogasaṃplavam /	nUnam-etAH na paSyanti kasyacid-roga-saMplavam /
   tathā hṛṣṭā bhayaṃ tyaktvā jagati vyadhidharmiṇi // Bc_4.57 //	taTA hRzwA Bayam tyaktvA jagati vyaDi-DarmiNi // Bc_4.57 //
   anabhijñāśca suvyaktaṃ mṛtyoḥ sarvāpahāriṇaḥ /	anaBijQAH-ca su-vyaktam mRtyoH sarva-apahAriNaH /
   tataḥ svasthā nirudvignāḥ krīḍanti ca hasanti ca // Bc_4.58 //	tatas svasTAH nirudvignAH krIxanti ca hasanti ca // Bc_4.58 //
   jarāṃ vyādhiṃ ca mṛtyuṃ ca ko hi jānansacetanaḥ /	jarAm vyADim ca mRtyum ca kaH hi jAnan-sa-cetanaH /
   svasthastiṣṭhenniṣīdedvā śayedvā kiṃ punarhaset // Bc_4.59 //	svasTaH-tizWet-nizIdet-vA Sayet-vA kim punar-haset // Bc_4.59 //
   yastu dṛṣṭvā paraṃ jīrṇa vyādhitaṃ mṛtameva ca /	yaH-tu dRzwvA param jIrNa vyADitam mRtam-eva ca /
   svastho bhavati nodvigno yathācetāstathaiva saḥ // Bc_4.60 //	svasTaH Bavati na-udvignaH yaTA-cetAH-taTA-eva saH // Bc_4.60 //
   viyujyamāne hi tarau puṣpairapi phalairapi /	viyujyamAne hi tarO puzpEH-api PalEH-api /
   patati cchidyamāne vā taruranyo na śocate // Bc_4.61 //	patati cCidyamAne vA taruH-anyaH na Socate // Bc_4.61 //
   iti dhyānaparaṃ dṛṣṭvā viṣayebhyo gataspṛham /	iti DyAna-param dRzwvA vizayeByaH gata-spRham /
   udāyī nītiśāstrajñastamuvāca suhṛttayā // Bc_4.62 //	udAyI nIti-SAstra-jQaH-tam-uvAca suhRd-tayA // Bc_4.62 //
   ahaṃ nṛpatinā dattaḥ sakhā tubhyaṃ kṣamaḥ kila /	aham nRpatinA dattaH saKA tuByam kzamaH kila /
   yāsmāttvayi vivakṣā me tayā praṇayavattayā // Bc_4.63 //	yA-asmAt-tvayi vivakzA me tayA praNayavat-tayA // Bc_4.63 //
   ahitātpratiṣedhaśca hite cānupravartanam /	ahitAt-pratizeDaH-ca hite ca-anupravartanam /
   vyasane cāparityāgastrividhaṃ mitralakṣaṇam // Bc_4.64 //	vyasane ca-aparityAgaH-triviDam mitra-lakzaNam // Bc_4.64 //
   so 'haṃ maitrīṃ pratijñāya puruṣārthātparāṅmukhaḥ /	saH aham mEtrIm pratijQAya puruza-arTAt-parAFmuKaH /
   yadi tvā samupekṣeya na bhavenmitratā mayi // Bc_4.65 //	yadi tvA samupekzeya na Bavet-mitra-tA mayi // Bc_4.65 //
   tadbravīmi suhṛdbhūtvā taruṇasya vapuṣmataḥ /	tat-bravImi suhRd-BUtvA taruNasya vapuzmataH /
   idaṃ na pratirūpaṃ te strīṣvadākṣiṇyamīdṛśam // Bc_4.66 //	idam na pratirUpam te strIzu-adAkziNyam-IdRSam // Bc_4.66 //
   anṛtenāpi nārīṇāṃ yuktaṃ samanuvartanam /	anRtena-api nArINAm yuktam samanuvartanam /
   tadvrīḍāparihārārthamātmaratyarthameva ca // Bc_4.67 //	tad-vrIxA-parihAra-arTam-Atma-rati-arTam-eva ca // Bc_4.67 //
   saṃnatiścānuvṛttiśca strīṇāṃ hṛdayabandhanam /	saMnatiH-ca-anuvRttiH-ca strINAm hRdaya-banDanam /
   snehasya hi guṇā yonirmānakāmāśca yoṣitaḥ // Bc_4.68 //	snehasya hi guNAH yoniH-mAna-kAmAH-ca yozitaH // Bc_4.68 //
   tadarhasi viśālākṣa hṛdaye 'pi parāṅmukhe /	tat-arhasi viSAla-akza hRdaye api parAFmuKe /
   rūpasyāsyānurūpeṇa dākṣiṇyenānuvartitum // Bc_4.69 //	rUpasya-asya-anurUpeNa dAkziNyena-anuvartitum // Bc_4.69 //
   dākṣiṇyamauṣadhaṃ strīṇāṃ dākṣiṇyaṃ bhūṣaṇaṃ param /	dAkziNyam-OzaDam strINAm dAkziNyam BUzaNam param /
   dākṣiṇyarahitaṃ rūpaṃ niṣpuṣpamiva kānanam // Bc_4.70 //	dAkziNya-rahitam rUpam nizpuzpam-iva kAnanam // Bc_4.70 //
   kiṃ vā dākṣiṇyamātreṇa bhāvenāstu parigrahaḥ /	kim vA dAkziNya-mAtreNa BAvena-astu parigrahaH /
   viṣayāndurlabhāṃllabdhvā na hyavajñātumarhasi // Bc_4.71 //	vizayAn-durlaBAn=-labDvA na hi-avajQAtum-arhasi // Bc_4.71 //
   kāmaṃ paramiti jñātvā devo 'pi hi puraṃdaraḥ /	kAmam param-iti jQAtvA devaH api hi puraMdaraH /
   gautamasya muneḥ patnīmahalyāṃ cakame purā // Bc_4.72 //	gOtamasya muneH patnIm-ahalyAm cakame purA // Bc_4.72 //
   agastyaḥ prārthayāmāsa somabhāryā ca rohiṇīm /	agastyaH prArTayAmAsa soma-BAryA ca rohiNIm /
   tasmāttatsadṛśī lebhe lopāmudrāmiti śrutiḥ // Bc_4.73 //	tasmAt-tad-sadRSI leBe lopAmudrAm-iti SrutiH // Bc_4.73 //
   utathyasya ca bhāryāyāṃ mamātāyaṃ mahātapaḥ /	utaTyasya ca BAryAyAm mama-atA-ayam mahA-tapaH /
   mārutyāṃ janayāmāsa bharadvājaṃ bṛhaspatiḥ // Bc_4.74 //	mArutyAm janayAmAsa BaradvAjam bRhaspatiH // Bc_4.74 //
   bṛhaspatermahiṣyāṃ ca juvhatyāṃ juvhatāṃ varaḥ /	bRhaspateH-mahizyAm ca juvhatyAm juvhatAm varaH /
   budhaṃ vibudhakarmāṇaṃ janayāmāsa candramāḥ // Bc_4.75 //	buDam vibuDa-karmANam janayAmAsa candramAH // Bc_4.75 //
   kālīṃ caiva purā kanyāṃ jalaprabhavasaṃbhavām /	kAlIm ca-eva purA kanyAm jala-praBava-saMBavAm /
   jagāma yamunātīre jātarāgaḥ parāśaraḥ // Bc_4.76 //	jagAma yamunA-tIre jAta-rAgaH parASaraH // Bc_4.76 //
   mātaṅgayāmakṣamālāyāṃ garhitāyāṃ riraṃsayā /	mAtaFgayAm-akzamAlAyAm garhitAyAm riraMsayA /
   kapiñjalādaṃ tanayaṃ vasiṣṭho 'janayanmuniḥ // Bc_4.77 //	kapiQjalAdam tanayam vasizWaH ajanayat-muniH // Bc_4.77 //
   yayātiścaiva rājarṣirvayasyapi vinirgate /	yayAtiH-ca-eva rAjarziH-vayasi-api vinirgate /
   viśvācyāpsarasā sārdhaṃ reme caitrarathe vane // Bc_4.78 //	viSvAcya-apsarasA sArDam reme cEtraraTe vane // Bc_4.78 //
   strīsaṃsarga vināśāntaṃ pāṇḍurjñātvāpi kauravaḥ /	strI-saMsarga vinASa-antam pANxuH-jQAtvA-api kOravaH /
   mādrīrūpaguṇākṣiptaḥ siṣeve kāmajaṃ sukham // Bc_4.79 //	mAdrI-rUpa-guNa-AkziptaH sizeve kAma-jam suKam // Bc_4.79 //
   karālajanakaścaiva hṛtvā brāhmaṇakanyakām /	karAla-janakaH-ca-eva hRtvA brAhmaNa-kanyakAm /
   avāpa bhraṃśamapyevaṃ na tu seje na manmatham // Bc_4.80 //	avApa BraMSam-api-evam na tu seje na manmaTam // Bc_4.80 //
   evamādyā mahātmāno viṣayān garhitānapi /	evamAdyAH mahAtmAnaH vizayAn garhitAn-api /
   ratihetorbubhujire prāgeva guṇasaṃhitān // Bc_4.81 //	rati-hetoH-buBujire prAk-eva guNa-saMhitAn // Bc_4.81 //
   tvaṃ punarnyāyataḥ prāptān balavān rūpavānyuvā /	tvam punar-nyAyataH prAptAn balavAn rUpavAn-yuvA /
   viṣayānavajānāsi yatra saktamidaṃ jagat // Bc_4.82 //	vizayAn-avajAnAsi yatra saktam-idam jagat // Bc_4.82 //
   iti śrutvā vacastasya ślakṣṇamāgamasaṃhitam /	iti SrutvA vacaH-tasya SlakzNam-Agama-saMhitam /
   meghastanitanirghoṣaḥ kumāraḥ pratyabhāṣata // Bc_4.83 //	meGa-stanita-nirGozaH kumAraH pratyaBAzata // Bc_4.83 //
   upapannamidaṃ vākyaṃ sauhārdavyañjakaṃ tvayi /	upapannam-idam vAkyam sOhArda-vyaQjakam tvayi /
   atra ca tvānuneṣyāmi yatra mā duṣṭhu manyase // Bc_4.84 //	atra ca tvA-anunezyAmi yatra mA duzWu manyase // Bc_4.84 //
   nāvajānāmi viṣayān jāne lokaṃ tadātmakam /	na-avajAnAmi vizayAn jAne lokam tad-Atmakam /
   anityaṃ tu jagamatvā nātra me ramate manaḥ // Bc_4.85 //	anityam tu jagamatvA na-atra me ramate manaH // Bc_4.85 //
   jarā vyādhiśca mṛtyuśca yadi na syādidaṃ trayam /	jarA vyADiH-ca mRtyuH-ca yadi na syAt-idam trayam /
   mamāpi hi manojñeṣu viṣayeṣu ratirbhavet // Bc_4.86 //	mama-api hi manojQezu vizayezu ratiH-Bavet // Bc_4.86 //
   nityaṃ yadapi hi strīṇāmetadeva vapurbhavet /	nityam yat-api hi strINAm-etat-eva vapuH-Bavet /
   doṣavatsvapi kāmeṣu kāmaṃ rajyeta me manaḥ // Bc_4.87 //	dozavatsu-api kAmezu kAmam rajyeta me manaH // Bc_4.87 //
   yadā tu jarayāpītaṃ rūpamāsāṃ bhaviṣyati /	yadA tu jarayA-ApItam rUpam-AsAm Bavizyati /
   ātmano 'pyanabhipretaṃ mohāttatra ratirbhavet // Bc_4.88 //	AtmanaH api-anaBipretam mohAt-tatra ratiH-Bavet // Bc_4.88 //
   mṛtyuvyādhijarādharmā mṛtyuvyādhijarātmabhiḥ /	mRtyu-vyADi-jarA-DarmA mRtyu-vyADi-jarA-AtmaBiH /
   ramamāṇo hyasaṃvignaḥ samāno mṛgapakṣibhiḥ // Bc_4.89 //	ramamANaH hi-asaMvignaH samAnaH mRga-pakziBiH // Bc_4.89 //
   yadapyāttha mahātmānaste 'pi kāmātmakā iti /	yat-api-AtTa mahAtmAnaH-te api kAma-AtmakAH iti /
   saṃvego 'traiva kartavyo yadā teṣāmapi kṣayaḥ // Bc_4.90 //	saMvegaH atra-eva kartavyaH yadA tezAm-api kzayaH // Bc_4.90 //
   māhātmyaṃ na ca tanmanye yatra sāmānyataḥ kṣayaḥ /	mAhAtmyam na ca tat-manye yatra sAmAnyatas kzayaH /
   viṣayeṣu prasaktirvā yuktirvā nātmavattayā // Bc_4.91 //	vizayezu prasaktiH-vA yuktiH-vA na-Atmavat-tayA // Bc_4.91 //
   yadapyātthānṛtenāpi strījane vartyatāmiti /	yat-api-AtTa-anRtena-api strI-jane vartyatAm-iti /
   anṛtaṃ nāvagacchāmi dākṣiṇyenāpi kiṃcana // Bc_4.92 //	anRtam na-avagacCAmi dAkziNyena-api kiMcana // Bc_4.92 //
   na cānuvartanaṃ tanme rucitaṃ yatra nārjavam /	na ca-anuvartanam tat-me rucitam yatra na-Arjavam /
   sarvabhāvena saṃparko yadi nāsti dhigastu tat // Bc_4.93 //	sarva-BAvena saMparkaH yadi na-asti Dik-astu tat // Bc_4.93 //
   adhṛteḥ śraddadhānasya saktasyādoṣadarśinaḥ /	aDRteH SraddaDAnasya saktasya-adoza-darSinaH /
   kiṃ hi vañcayitavyaṃ syājjātarāgasya cetasaḥ // Bc_4.94 //	kim hi vaQcayitavyam syAt-jAta-rAgasya cetasaH // Bc_4.94 //
   vañcayanti ca yadyevaṃ jātarāgāḥ parasparam /	vaQcayanti ca yadi-evam jAta-rAgAH parasparam /
   nanu naiva kṣamaṃ draṣṭuṃ narāḥ strīṇāṃ nṛṇāṃ striyaḥ // Bc_4.95 //	nanu na-eva kzamam drazwum narAH strINAm nRNAm striyaH // Bc_4.95 //
   tadevaṃ sati duḥkhārta jarāmaraṇabhāginam /	tat-evam sati duHKa-Arta jarA-maraNa-BAginam /
   na māṃ kāmeṣvanāryeṣu pratārayitumarhasi // Bc_4.96 //	na mAm kAmezu-anAryezu pratArayitum-arhasi // Bc_4.96 //
   aho 'tidhīraṃ balavacca te manaścaleṣu kāmeṣu ca sāradarśinaḥ /	aho ati-DIram balavat-ca te manaH-calezu kAmezu ca sAra-darSinaH /
   bhaye 'titīvre viṣayeṣu sajjase nirīkṣamāṇo maraṇādhvani prajāḥ // Bc_4.97	Baye ati-tIvre vizayezu sajjase nirIkzamANaH maraNa-aDvani prajAH // Bc_4.97
   ahaṃ punarbhīruratīvaviklavo jarāvipadvyādhibhayaṃ vicintayan /	aham punar-BIruH-atIva-viklavaH jarA-vipad-vyADi-Bayam vicintayan /
   labhe na śāntiṃ na dhṛtiṃ kuto ratiṃ niśāmayandīptamivāgninā jagat //	laBe na SAntim na DRtim kutas ratim niSAmayan-dIptam-iva-agninA jagat //
   Bc_4.98 //	Bc_4.98 //
   asaṃśayaṃ mṛtyuriti prajānato narasya rāgo hṛdi yasya jāyate /	asaMSayam mRtyuH-iti prajAnataH narasya rAgaH hRdi yasya jAyate /
   ayomayīṃ tasya paraimi cetanāṃ mahābhaye rajyati yo na roditi // Bc_4.99	ayaH-mayIm tasya parEmi cetanAm mahA-Baye rajyati yaH na roditi // Bc_4.99
   atho kumāraśca viniścayātmikāṃ cakāra kāmāśrayaghātinīṃ kathām /	aTo kumAraH-ca viniScaya-AtmikAm cakAra kAma-ASraya-GAtinIm kaTAm /
   janasya cakṣurgamanīyamaṇḍalo mahīdharaṃ cāstamiyāya bhāskaraḥ // Bc_4.100	janasya cakzuH-gamanIya-maNxalaH mahIDaram ca-astam-iyAya BAskaraH // Bc_4.100
   tato vṛthādhāritabhūṣaṇasrajaḥ kalāguṇaiśca praṇayaiśca niṣphalaiḥ /	tatas vRTA-DArita-BUzaNa-srajaH kalA-guNEH-ca praNayEH-ca nizPalEH /
   sva eva bhāve vinigṛhya manmathaṃ puraṃ yayurbhagnamanorathāḥ striyaḥ //	sve eva BAve vinigRhya manmaTam puram yayuH-Bagna-manoraTAH striyaH //
   Bc_4.101 //	Bc_4.101 //
   tataḥ purodyānagatāṃ janaśriyaṃ nirīkṣya sāyaṃ pratisaṃhṛtāṃ punaḥ /	tatas pura-udyAna-gatAm jana-Sriyam nirIkzya sAyam pratisaMhRtAm punar /
   anityatāṃ sarvagatāṃ vicintayanviveśa dhiṣṇayaṃ kṣitipālakātmajaḥ //	anitya-tAm sarva-gatAm vicintayan-viveSa DizNayam kzitipAlaka-AtmajaH //
   Bc_4.102 //	Bc_4.102 //
   tataḥ śrutvā rājā viṣayavimukhaṃ tasya tu mano	tatas SrutvA rAjA vizaya-vimuKam tasya tu manaH-
   na śiśye tāṃ rātriṃ hṛdayagataśalyo gaja iva /	na SiSye tAm rAtrim hRdaya-gata-SalyaH gajaH iva /
   atha śrānto mantre bahuvividhamārge sasacivo	aTa SrAntaH mantre bahu-viviDa-mArge sa-sacivaH-
   na so 'nyatkāmebhyo niyamanamapaśyatsutamateḥ // Bc_4.103 //	na saH anyat-kAmeByaH niyamanam-apaSyat-suta-mateH // Bc_4.103 //
   iti buddhacarite mahākāvye strīvighātano nāma caturthaḥ sargaḥ // 4 //	iti budDacarite mahAkAvye strIviGAtanaH nAma caturTaH sargaH // 4 //
   CANTO V	CANTO V
   sa tathā viṣayairvilobhyamānaḥ paramārhairapi śākyarājasūnuḥ /	sa taTA vizayEH-viloByamAnaH parama-arhEH-api SAkya-rAja-sUnuH /
   na jagāma dhṛtiṃ na śarma lebhe hṛdaye siṃha ivātidigdhaviddhaḥ // Bc_5.1	na jagAma DRtim na Sarma leBe hRdaye siMhaH iva-ati-digDa-vidDaH // Bc_5.1
   atha mantisutaiḥ kṣamaiḥ kadācitsakhibhiścitrakathaiḥ kṛtānuyātraḥ /	aTa manti-sutEH kzamEH kadAcid-saKiBiH-citra-kaTEH kRta-anuyAtraH /
   vanabhūmididṛkṣayā śamepsurnaradevānumato bahiḥ pratasthe // Bc_5.2 //	vana-BUmi-didRkzayA Sama-IpsuH-naradeva-anumataH bahis pratasTe // Bc_5.2 //
   navarukmakhalīnakiṅkiṇīkaṃ pracalaccāramaracāruhemabhāṇḍam /	nava-rukma-KalIna-kiFkiNIkam pracalat-cAra-mara-cAru-hema-BANxam /
   abhiruhya sa kanthakaṃ sadaśvaṃ prayayau ketumiva drumābjaketuḥ // Bc_5.3	aBiruhya sa kanTakam sat-aSvam prayayO ketum-iva druma-abja-ketuH // Bc_5.3
   sa vikṛṣṭatarāṃ vanāntabhūmiṃ vanalobhācca yayau mahīguṇācca /	sa vikRzwatarAm vanAnta-BUmim vana-loBAt-ca yayO mahI-guNAt-ca /
   salilormivikārasīramārgāṃ vasudhāṃ caiva dadarśa kṛṣyamāṇām // Bc_5.4 //	salila-Urmi-vikAra-sIra-mArgAm vasuDAm ca-eva dadarSa kRzyamANAm // Bc_5.4 //
   halabhinnavikīrṇaśaṣpadarbhā hatasūkṣmakrimikīṭajantukīrṇām /	hala-Binna-vikIrNa-Sazpa-darBAH hata-sUkzma-krimi-kIwa-jantu-kIrNAm /
   samavekṣya rasāṃ tathāvidhāṃ tāṃ svajanasyeva vadhe bhṛśaṃ śuśoca //	samavekzya rasAm taTAviDAm tAm sva-janasya-iva vaDe BRSam SuSoca //
   Bc_5.5 //	Bc_5.5 //
   kṛṣataḥ puruṣāṃśca vīkṣamāṇaḥ pavanārkāśurajovibhinnavarṇān /	kRzataH puruzAn=-ca vIkzamANaH pavana-arka-ASu-rajaH-viBinna-varNAn /
   vahanaklamaviklavāṃśca dhuryān paramāryaḥ paramāṃ kṛpāṃ cakāra // Bc_5.6	vahana-klama-viklavAn=-ca DuryAn paramAryaH paramAm kRpAm cakAra // Bc_5.6
