   Pañcaviṃśatisāhasrikā prajñāpāramitā	PaQcaviMSati sAhasrikA prajQApAramitA
   prajñāpāramitāyāṃ carati}/ na dhyānapāramitāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ	prajQApAramitAyAm carati}/ na DyAna pAramitAyAH {kRtaSas prajQApAramitAyAm
   carati}/ na	carati}/ na
   05305 prajñāpāramitāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/	05305 prajQApAramitAyAH {kRtaSas prajQApAramitAyAm carati}/
   nāvinivartanīyabhūmeḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na sattvapari 	na avinivartanIya BUmeH {kRtaSas prajQApAramitAyAm carati}/ na sattva pari 
   05306 pākahetoḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na	05306 pAka hetoH {kRtaSas prajQApAramitAyAm carati}/ na
   buddhakṣetrapariśuddhihetoḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na daśānāṃ	budDa kzetra pariSudDi hetoH {kRtaSas prajQApAramitAyAm carati}/ na daSAnAm
   tathā 	taTA 
   05307 gatabalānāṃ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na caturṇāṃ	05307 gata balAnAm {kRtaSas prajQApAramitAyAm carati}/ na caturNAm
   vaiśāradyānāṃ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na catasṛṇāṃ prati 	vESAradyAnAm {kRtaSas prajQApAramitAyAm carati}/ na catasRNAm prati 
   05308 saṃvidāṃ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ nāṣṭādaśānām āveṇikānāṃ	05308 saMvidAm {kRtaSas prajQApAramitAyAm carati}/ na azwAdaSAnAm AveNikAnAm
   buddhadharmāṇāṃ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ nādhyātma 	budDa DarmANAm {kRtaSas prajQApAramitAyAm carati}/ na aDyAtma 
   05309 śūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na bahirdhāśūnyatāyāḥ	05309 SUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/ na bahirDA SUnyatAyAH
   {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ nādhyātmabahirdhāśūnya 	{kRtaSas prajQApAramitAyAm carati}/ na aDyAtma bahirDA SUnya 
   05310 tāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na śūnyatāśūnyatāyāḥ	05310 tAyAH {kRtaSas prajQApAramitAyAm carati}/ na SUnyatA SUnyatAyAH
   {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na mahāśūnyatāyāḥ	{kRtaSas prajQApAramitAyAm carati}/ na mahA SUnyatAyAH
   05311 {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na paramārthaśūnyatāyāḥ {kṛtaśaḥ	05311 {kRtaSas prajQApAramitAyAm carati}/ na parama arTa SUnyatAyAH {kRtaSas 
   prajñāpāramitāyāṃ carati}/ na saṃskṛtaśūnyatāyāḥ {kṛtaśaḥ	prajQApAramitAyAm carati}/ na saMskRta SUnyatAyAH {kRtaSas 
   prajñāpāramitāyāṃ carati}/	prajQApAramitAyAm carati}/
   05312 nātyantaśūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/	05312 na atyanta SUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/
   nānavarāgraśūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ nānava 	nAna vara agra SUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/ nAnava 
   05313 kāraśūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na	05313 kAraSUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/ na
   prakṛtiśūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na sarvadharma 	prakRti SUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/ na sarva Darma 
   05314 śūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na	05314 SUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/ na
   svalakṣaṇaśūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/	sva lakzaNa SUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/
   nānupalambhaśūnya 	na anupalamBa SUnya 
   05315 tāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ nābhāvasvabhāvaśūnyatāyāḥ	05315 tAyAH {kRtaSas prajQApAramitAyAm carati}/ na aBA= a svaBAva SUnyatAyAH
   {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na bhāvaśūnyatāyāḥ	{kRtaSas prajQApAramitAyAm carati}/ na BAva SUnyatAyAH
   05316 {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ nābhāvaśūnyatāyāḥ {kṛtaśaḥ	05316 {kRtaSas prajQApAramitAyAm carati}/ na aBAva SUnyatAyAH {kRtaSas 
   prajñāpāramitāyāṃ carati}/ na svabhāvaśūnyatāyāḥ {kṛtaśaḥ	prajQApAramitAyAm carati}/ na svaBAva SUnyatAyAH {kRtaSas 
   prajñāpāramitāyāṃ carati}/ na para 	prajQApAramitAyAm carati}/ na para 
   05317 bhāvaśūnyatāyāḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na tathatāyāḥ	05317 BAva SUnyatAyAH {kRtaSas prajQApAramitAyAm carati}/ na taTatAyAH
   {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ na dharmadhātoḥ {kṛtaśaḥ	{kRtaSas prajQApAramitAyAm carati}/ na DarmaDAtoH {kRtaSas 
   prajñāpāramitāyāṃ carati}/ na	prajQApAramitAyAm carati}/ na
   05318 bhūtakoṭeḥ {kṛtaśaḥ prajñāpāramitāyāṃ carati}/ tat kasya hetoḥ/ na	05318 BUtakoweH {kRtaSas prajQApAramitAyAm carati}/ tat kasya hetoH/ na
   hi bodhisattvo mahāsattvaḥ prajñā 	hi boDisattvaH mahAsattvaH prajQA 
   05319 pāramitāyāṃ caran kasyacid dharmasya saṃbhedaṃ samanupaśyati/ evaṃ	05319 pAramitAyAm caran kasyacid Darmasya saMBedam samanupaSyati/ evam
   śāriputra	SAriputra
   05320 bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran na divyasya cakṣuṣaḥ	05320 boDisattvaH mahAsattvaH prajQApAramitAyAm caran na divyasya cakzuzaH
   kṛtaśaḥ	kRtaSas 
   05321 prajñāpāramitāyāṃ carati/ na divyasya śrotrasya kṛtaśaḥ prajñāpāra 	05321 prajQApAramitAyAm carati/ na divyasya Srotrasya kRtaSas prajQApAra 
   05322 mitāyāṃ carati/ na paracittajñānasya kṛtaśaḥ prajñāpāramitāyāṃ	05322 mitAyAm carati/ na para citta jQAnasya kRtaSas prajQApAramitAyAm
   carati/	carati/
   05401 na pūrvanivāsānusmṛteḥ kṛtaśaḥ prajñāpāramitāyāṃ carati/ na	05401 na pUrva nivAsa anusmRteH kRtaSas prajQApAramitAyAm carati/ na
   ṛddhividheḥ	RdDi viDeH
   05402 kṛtaśaḥ prajñāpāramitāyāṃ carati/ tat kasya hetoḥ/ tathā hi prajñā 	05402 kRtaSas prajQApAramitAyAm carati/ tat kasya hetoH/ taTA hi prajQA 
   05403 pāramitāyāṃ caran prajñāpāramitām eva na samanupaśyati/ kuta eva	05403 pAramitAyAm caran prajQApAramitAm eva na samanupaSyati/ kutas eva
   05404 bodhisattvaṃ kuta eva sarvākāraṃ sarvābhijñāḥ/ evaṃ hi śāriptura	05404 boDisattvam kutas eva sarva AkAram sarva aBijQAH/ evam hi SAriptuH a
   bodhi 	boDi 
   05405 sattvo mahāsattvaḥ prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ/	05405 sattvaH mahAsattvaH prajQApAramitAyAm caran yuktaH iti vaktavyaH/
   05406 punar aparaṃ śāriputra bodhisattvasya mahāsattvasya	05406 punar aparam SAriputra boDisattvasya mahAsattvasya
   prajñāpāramitāyāṃ carato	prajQApAramitAyAm carataH 
   05407 naivaṃ bhavati/ ahaṃ divyena cakṣuṣā pūrvasyaṃ diśi	05407 na evam Bavati/ aham divyena cakzuzA pUrvasyam diSi
   gaṅgānadīvālukopameṣu	gaFgA nadI vAlukA upamezu
   05408 lokadhātuṣu sattvānāṃ cyutopapādaṃ jñāsyāmīti divyena śrotreṇaiṣāṃ	05408 lokaDAtuzu sattvAnAm cyuta upapAdam jQAsyAmi iti divyena SrotreNa ezAm
   śabdān	SabdAn
   05409 śroṣyāmiti teṣām eva ca cittāni jñāsyāmīti/ teṣām eva ca	05409 SrozyAm iti tezAm eva ca cittAni jQAsyAmi iti/ tezAm eva ca
   pūrvanivāsa 	pUrva nivAsa 
   05410 m anusmṛtya ṛddhyā gatvā dharmaṃ deśayiṣyāmīti/ evaṃ śāriputra	05410 m anusmRtya RdDyA gatvA Darmam deSayizyAmi iti/ evam SAriputra
   {bodhisattvasya}	{boDisattvasya}
   05411 mahāsattvasya naivaṃ bhavati/ ahaṃ divyena cakṣuṣā dakṣiṇasyāṃ diśi	05411 mahAsattvasya na evam Bavati/ aham divyena cakzuzA dakziNasyAm diSi
   05412 {{gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ cyutopapādaṃ	05412 {{gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm cyuta upapAdam
   jñāsyāmīti divyena śrotreṇaiṣāṃ śabdān śroṣyāmiti teṣām eva ca cittāni	jQAsyAmi iti divyena SrotreNa ezAm SabdAn SrozyAm iti tezAm eva ca cittAni
   jñāsyāmīti/ teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā dharmaṃ	jQAsyAmi iti/ tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA Darmam
   deśayiṣyāmīti/ evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati/	deSayizyAmi iti/ evam SAriputra boDisattvasya mahAsattvasya na evam Bavati/
   ahaṃ divyena cakṣuṣā paścimāyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu	aham divyena cakzuzA paScimAyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu
   sattvānāṃ cyutopapādaṃ jñāsyāmīti divyena śrotreṇaiṣāṃ śabdān śroṣyāmiti	sattvAnAm cyuta upapAdam jQAsyAmi iti divyena SrotreNa ezAm SabdAn SrozyAm iti
   teṣām eva ca cittāni jñāsyāmīti/ teṣām eva ca pūrvanivāsam anusmṛtya	tezAm eva ca cittAni jQAsyAmi iti/ tezAm eva ca pUrva nivAsam anusmRtya
   ṛddhyā gatvā dharmaṃ deśayiṣyāmīti/ evaṃ śāriputra bodhisattvasya	RdDyA gatvA Darmam deSayizyAmi iti/ evam SAriputra boDisattvasya
   mahāsattvasya naivaṃ bhavati/ ahaṃ divyena cakṣuṣā uttarasyāṃ diśi	mahAsattvasya na evam Bavati/ aham divyena cakzuzA uttarasyAm diSi
   gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ cyutopapādaṃ jñāsyāmīti	gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm cyuta upapAdam jQAsyAmi iti
   divyena śrotreṇaiṣāṃ śabdān śroṣyāmiti teṣām eva ca cittāni jñāsyāmīti/	divyena SrotreNa ezAm SabdAn SrozyAm iti tezAm eva ca cittAni jQAsyAmi iti/
   teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā dharmaṃ deśayiṣyāmīti/	tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA Darmam deSayizyAmi iti/
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati/ ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati/ aham divyena
   cakṣuṣā uttarapūrvasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	cakzuzA uttara pUrvasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti divyena śrotreṇaiṣāṃ śabdān śroṣyāmiti teṣām eva	cyuta upapAdam jQAsyAmi iti divyena SrotreNa ezAm SabdAn SrozyAm iti tezAm eva
   ca cittāni jñāsyāmīti/ teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti/ tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti/ evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ	Darmam deSayizyAmi iti/ evam SAriputra boDisattvasya mahAsattvasya na evam
   bhavati/ ahaṃ divyena cakṣuṣā pūrvadakṣiṇasyāṃ diśi gaṅgānadīvālukopameṣu	Bavati/ aham divyena cakzuzA pUrva dakziNasyAm diSi gaFgA nadI vAlukA upamezu
   lokadhātuṣu sattvānāṃ cyutopapādaṃ jñāsyāmīti divyena śrotreṇaiṣāṃ śabdān	lokaDAtuzu sattvAnAm cyuta upapAdam jQAsyAmi iti divyena SrotreNa ezAm SabdAn
   śroṣyāmiti teṣām eva ca cittāni jñāsyāmīti/ teṣām eva ca pūrvanivāsam	SrozyAm iti tezAm eva ca cittAni jQAsyAmi iti/ tezAm eva ca pUrva nivAsam
   anusmṛtya ṛddhyā gatvā dharmaṃ deśayiṣyāmīti/ evaṃ śāriputra	anusmRtya RdDyA gatvA Darmam deSayizyAmi iti/ evam SAriputra
   bodhisattvasya mahāsattvasya naivaṃ bhavati/ ahaṃ divyena cakṣuṣā	boDisattvasya mahAsattvasya na evam Bavati/ aham divyena cakzuzA
   dakṣiṇapaścimāyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	dakziNa paScimAyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti divyena śrotreṇaiṣāṃ śabdān śroṣyāmiti teṣām eva	cyuta upapAdam jQAsyAmi iti divyena SrotreNa ezAm SabdAn SrozyAm iti tezAm eva
   ca cittāni jñāsyāmīti/ teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti/ tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti/ evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ	Darmam deSayizyAmi iti/ evam SAriputra boDisattvasya mahAsattvasya na evam
   bhavati/ ahaṃ divyena cakṣuṣā paścimottarasyām diśi gaṅgānadīvālukopameṣu	Bavati/ aham divyena cakzuzA paScima uttarasyAm diSi gaFgA nadI vAlukA upamezu
   lokadhātuṣu sattvānāṃ cyutopapādaṃ jñāsyāmīti divyena śrotreṇaiṣāṃ śabdān	lokaDAtuzu sattvAnAm cyuta upapAdam jQAsyAmi iti divyena SrotreNa ezAm SabdAn
   śroṣyāmiti teṣām eva ca cittāni jñāsyāmīti/ teṣām eva ca pūrvanivāsam	SrozyAm iti tezAm eva ca cittAni jQAsyAmi iti/ tezAm eva ca pUrva nivAsam
   anusmṛtya ṛddhyā gatvā dharmaṃ deśayiṣyāmīti/ evaṃ śāriputra	anusmRtya RdDyA gatvA Darmam deSayizyAmi iti/ evam SAriputra
   bodhisattvasya mahāsattvasya naivaṃ bhavati/ ahaṃ divyena cakṣuṣā adhastād	boDisattvasya mahAsattvasya na evam Bavati/ aham divyena cakzuzA aDastAt 
   diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ cyutopapādaṃ jñāsyāmīti	diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm cyuta upapAdam jQAsyAmi iti
   divyena śrotreṇaiṣāṃ śabdān śroṣyāmiti teṣām eva ca cittāni jñāsyāmīti/	divyena SrotreNa ezAm SabdAn SrozyAm iti tezAm eva ca cittAni jQAsyAmi iti/
   teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā dharmaṃ deśayiṣyāmīti/	tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA Darmam deSayizyAmi iti/
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati/ ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati/ aham divyena
   cakṣuṣā}}	cakzuzA}}
   05413 ūrdhvaṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	05413 UrDvam diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ	cyuta upapAdam
   05414 jñāsyāmīti divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti teṣām eva ca	05414 jQAsyAmi iti divyena SrotreNa ezAm SabdAn SrozyAmi iti tezAm eva ca
   05415 cittāni jñāsyāmīti/ teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā	05415 cittAni jQAsyAmi iti/ tezAm eva ca pUrva nivAsam anusmRtya RdDyA
   05416 gatvā dharmaṃ deśayiṣyāmīti/	05416 gatvA Darmam deSayizyAmi iti/
   05501 evaṃ hi śāriputra {bodhisattvo} mahāsattvaḥ prajñāpāramitāyāṃ carann	05501 evam hi SAriputra {boDisattvo} mahAsattvaH prajQApAramitAyAm caran= 
   aprameyān a 	aprameyAn a 
   05502 saṃkhyeyān aparimāṇān sattvān parinirvāpayan yukta iti vaktavyaḥ/	05502 saMKyeyAn aparimANAn sattvAn parinirvApayan yuktaH iti vaktavyaH/
   05503 evaṃ hi śāriputa {bodhisattvasya} mahāsattvasya prajñāpāramitāyāṃ	05503 evam hi SAriputa {boDisattvasya} mahAsattvasya prajQApAramitAyAm
   carato māraḥ	carataH mAraH
   05504 pāpīyān avatāraṃ na labhate/ sarve cāsyānye 'pi laukikā ye kecit	05504 pApIyAn avatAram na laBate/ sarve ca asya anye api lOkikAH ye kecid 
   05505 kleśās te sarve dalitā bhavanti/ ye 'pi te śāriputra pūrvasyāṃ diśi	05505 kleSAH te sarve dalitAH Bavanti/ ye api te SAriputra pUrvasyAm diSi
   buddhā	budDA
   05506 bhagavanto gaṅgānadīvālukopameṣu lokadhātuṣu tiṣṭhanti dhriyante	05506 BagavantaH gaFgA nadI vAlukA upamezu lokaDAtuzu tizWanti Driyante
   yāpa 	yApa 
   05507 yanti dharmaṃ ca deśayanti ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā	05507 yanti Darmam ca deSayanti ye ca tezAm SrAvakAH ye ca pratyekabudDA
   ye ca	ye ca
   05508 cāturmahārājakāyikā devās trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ	05508 cAturmahArAja kAyikAH devAH trayastriMSAH yAmAH tuzitAH nirmANaratayaH
   05509 paranirmitavaśavartino brahmapārṣadyā brahmapurohitā mahābrahmāṇaḥ	05509 paranirmitavaSavartinaH brahmapArzadyAH brahma purohitAH mahAbrahmANaH
   parīttābhā	parItta ABA
   05510 apramāṇābhā ābhāsvarāḥ parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnā	05510 apramANa ABAH ABAsvarAH parItta SuBAH apramANa SuBAH SuBa kRtsnA
   05511 anabhrakāḥ puṇyaprasavā bṛhatphalā asaṃjñisattvāḥ śuddhāvāsā avṛhā	05511 anaBrakAH puNya prasavAH bRhat PalAH asaMjQi sattvAH SudDAvAsAH avRhA
   05512 atapāḥ sudṛśāḥ sudarśanā akaniṣṭhā devās te 'pi taṃ {bodhisattvaṃ}	05512 atapAH sudRSAH sudarSanAH akanizWAH devAH te api tam {boDisattvaM}
   mahāsattvaṃ	mahAsattvam
   05513 rakṣanti/ mā khalv asya {bodhisattvasya} mahāsattvasya kaścid	05513 rakzanti/ mA Kalu asya {boDisattvasya} mahAsattvasya kaScid 
   antarāyaṃ kārṣīt/ ye 'py asya	antarAyam kArzIt/ ye api asya
   05514 kecit kāyikā doṣās te 'py asya dṛṣṭadhārmikā bhavanti/ tat kasya	05514 kecid kAyikAH dozAH te api asya dRzwa DArmikAH Bavanti/ tat kasya
   hetoḥ/	hetoH/
   05515 tathā hi sa sarvasattvān maitryā spharati/ ye 'pi te śāriputra	05515 taTA hi sa sarva sattvAt mEtryA sParati/ ye api te SAriputra
   dakṣiṇasyāṃ diśi	dakziNasyAm diSi
   05516 {{buddhā bhagavanto gaṅgānadīvālukopameṣu lokadhātuṣu tiṣṭhanti	05516 {{budDAH BagavantaH gaFgA nadI vAlukA upamezu lokaDAtuzu tizWanti
   dhriyante yāpayanti dharmaṃ ca deśayanti ye ca teṣāṃ śrāvakā ye ca	Driyante yApayanti Darmam ca deSayanti ye ca tezAm SrAvakAH ye ca
   pratyekabuddhā ye ca cāturmahārājakāyikā devās trayastriṃśā yāmās tuṣitā	pratyekabudDAH ye ca cAturmahArAja kAyikAH devAH trayastriMSAH yAmAH tuzitA
   nirmāṇaratayaḥ paranirmitavaśavartino brahmapārṣadyā brahmapurohitā	nirmANaratayaH paranirmitavaSavartinaH brahmapArzadyA brahma purohitA
   mahābrahmāṇaḥ parīttābhā apramāṇābhā ābhāsvarāḥ parīttaśubhā	mahAbrahmANaH parItta ABAH apramANa ABAH ABAsvarAH parItta SuBA
   apramāṇaśubhāḥ śubhakṛtsnā anabhrakāḥ puṇyaprasavā bṛhatphalā	apramANa SuBAH SuBa kRtsnA anaBrakAH puNya prasavA bRhatPalA
   asaṃjñisattvāḥ śuddhāvāsā avṛhā atapāḥ sudṛśāḥ sudarśanā akaniṣṭhā devās	asaMjQi sattvAH SudDAvAsAH avRhAH atapAH sudRSAH sudarSanA akanizWA devAH 
   te 'pi taṃ bodhisattvaṃ mahāsattvaṃ rakṣanti/ mā khalv asya bodhisattvasya	te api tam boDisattvam mahAsattvam rakzanti/ mA Kalu asya boDisattvasya
   mahāsattvasya kaścid antarāyaṃ kārṣīt/ ye 'py asya kecit kāyikā doṣās te	mahAsattvasya kaScid antarAyam kArzIt/ ye api asya kecid kAyikAH dozAH te
   'py asya dṛṣṭadhārmikā bhavanti/ tat kasya hetoḥ/ tathā hi sa sarvasattvān	api asya dRzwa DArmikAH Bavanti/ tat kasya hetoH/ taTA hi sa sarva sattvAn
   maitryā spharati/}}Ā@	mEtryA sParati/}}Ā@
   05601 {{ye 'pi te śāriputra paścimāyāṃ diśi buddhā bhagavanto	05601 {{ye api te SAriputra paScimAyAm diSi budDAH BagavantaH 
   gaṅgānadīvālukopameṣu lokadhātuṣu tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	gaFgA nadI vAlukA upamezu lokaDAtuzu tizWanti Driyante yApayanti Darmam ca
   deśayanti ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
   cāturmahārājakāyikā devās trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ	cAturmahArAja kAyikAH devAH trayastriMSAH yAmAH tuzitAH nirmANaratayaH
   paranirmitavaśavartino brahmapārṣadyā brahmapurohitā mahābrahmāṇaḥ	paranirmitavaSavartinaH brahmapArzadyAH brahma purohitAH mahAbrahmANaH
   parīttābhā apramāṇābhā ābhāsvarāḥ parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnā	parItta ABAH apramANa ABAH ABAsvarAH parItta SuBAH apramANa SuBAH SuBa kRtsnA
   anabhrakāḥ puṇyaprasavā bṛhatphalā asaṃjñisattvāḥ śuddhāvāsā avṛhā atapāḥ	anaBrakAH puNya prasavAH bRhat PalAH asaMjQi sattvAH SudDAvAsAH avRhAH atapAH
   sudṛśāḥ sudarśanā akaniṣṭhā devās te 'pi taṃ bodhisattvaṃ mahāsattvaṃ	sudRSAH sudarSanAH akanizWAH devAH te api tam boDisattvam mahAsattvam
   rakṣanti/ mā khalv asya bodhisattvasya mahāsattvasya kaścid antarāyaṃ	rakzanti/ mA Kalu asya boDisattvasya mahAsattvasya kaScid antarAyam
   kārṣīt/ ye 'py asya kecit kāyikā doṣās te 'py asya dṛṣṭadhārmikā bhavanti/	kArzIt/ ye api asya kecid kAyikAH dozAH te api asya dRzwa DArmikAH Bavanti/
   tat kasya hetoḥ/ tathā hi sa sarvasattvān maitryā spharati/ ye 'pi te	tat kasya hetoH/ taTA hi sa sarva sattvAt mEtryA sParati/ ye api te
   śāriputra uttarasyāṃ diśi buddhā bhagavanto gaṅgānadīvālukopameṣu	SAriputraH uttarasyAm diSi budDAH BagavantaH gaFgA nadI vAlukA upamezu
   lokadhātuṣu tiṣṭhanti dhriyante yāpayanti dharmaṃ ca deśayanti ye ca teṣāṃ	lokaDAtuzu tizWanti Driyante yApayanti Darmam ca deSayanti ye ca tezAm
   śrāvakā ye ca pratyekabuddhā ye ca cāturmahārājakāyikā devās trayastriṃśā	SrAvakAH ye ca pratyekabudDAH ye ca cAturmahArAja kAyikAH devAH trayastriMSA
   yāmās tuṣitā nirmāṇaratayaḥ paranirmitavaśavartino brahmapārṣadyā	yAmAH tuzitAH nirmANaratayaH paranirmitavaSavartinaH brahmapArzadyA
   brahmapurohitā mahābrahmāṇaḥ parīttābhā apramāṇābhā ābhāsvarāḥ	brahma purohitAH mahA brahmANaH parItta ABAH apramANa ABAH ABAsvarAH
   parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnā anabhrakāḥ puṇyaprasavā bṛhatphalā	parItta SuBAH apramANa SuBAH SuBa kRtsnA anaBrakAH puNya prasavA bRhatPalA
   asaṃjñisattvāḥ śuddhāvāsā avṛhā atapāḥ sudṛśāḥ sudarśanā akaniṣṭhā devās	asaMjQi sattvAH SudDAvAsAH avRhAH atapAH sudRSAH sudarSanA akanizWA devAH 
   te 'pi taṃ bodhisattvaṃ mahāsattvaṃ rakṣanti/ mā khalv asya bodhisattvasya	te api tam boDisattvam mahAsattvam rakzanti/ mA Kalu asya boDisattvasya
   mahāsattvasya kaścid antarāyaṃ kārṣīt/ ye 'py asya kecit kāyikā doṣās te	mahAsattvasya kaScid antarAyam kArzIt/ ye api asya kecid kAyikAH dozAH te
   'py asya dṛṣṭadhārmikā bhavanti/ tat kasya hetoḥ/ tathā hi sa sarvasattvān	api asya dRzwa DArmikAH Bavanti/ tat kasya hetoH/ taTA hi sa sarva sattvAn
   maitryā spharati/}} ye'pi te śāriputra	mEtryA sParati/}} ye api te SAriputra
   05602 uttarapūrvasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu buddhā	05602 uttara pUrvasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu budDA
   bhagavanta 	Bagavanta 
   05603 s tiṣṭhanti dhriyante yāpayanti dharmaṃ ca deśayanti/ ye ca teṣāṃ	05603 s tizWanti Driyante yApayanti Darmam ca deSayanti/ ye ca tezAm
   śrāvakā	SrAvakA
   05604 ye ca pratyekabuddhā ye ca cāturmahārājakāyikā devā yāvad akaniṣṭhā	05604 ye ca pratyekabudDAH ye ca cAturmahArAja kAyikA devAH yAvat akanizWA
   05605 devās te 'pi tasya {bodhisattvasya} mahāsattvasya rakṣāṃ kurvanti/	05605 devAH te api tasya {boDisattvasya} mahAsattvasya rakzAm kurvanti/
   mā khalv asya	mA Kalu asya
   05606 {bodhisattvasya} mahāsattvasyāntarāyo bhūd iti/	05606 {boDisattvasya} mahAsattvasya antarAyaH BUt iti/
   05607 {{ye'pi te śāriputra pūrvadakṣiṇasyāṃ diśi gaṅgānadīvālukopameṣu	05607 {{ye api te SAriputra pUrva dakziNasyAm diSi gaFgA nadI vAlukA upamezu
   lokadhātuṣu buddhā bhagavantas tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	lokaDAtuzu budDAH BagavantaH tizWanti Driyante yApayanti Darmam ca
   deśayanti/ ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti/ ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
