   Gaṇakārikā, 1	GaNa-kArikA, 1
   kaluṣaṃ notpadyate tāvatkālaṃ yad akaluṣatvaṃ tad aparaṃ yad bījakṣayād	kaluzam na-utpadyate tAvatkAlam yat akaluza-tvam tat aparam yat bIja-kzayAt-
   atyantanimittasadbhāve 'pi kaluṣaṃ notpadyate tat param iti // GkT_1.3:24	atyanta-nimitta-sadBAve api kaluzam na-utpadyate tat param iti // GkT_1.3:24
   * yogakriyāyām adhikṛtasya tṛtīyaṃ balam āha // GkT_1.3:25	* yoga-kriyAyAm aDikRtasya tRtIyam balam Aha // GkT_1.3:25
   * dvaṃdvajayas tathā iti // GkT_1.3:26	* dvaMdva-jayaH taTA iti // GkT_1.3:26
   * ādhyātmikādhibhautikādhidaivikāni duḥkhasādhanāni dvaṃdvāni teṣāṃ jayaḥ	* ADyAtmika-ADiBOtika-ADidEvikAni duHKa-sADanAni dvaMdvAni tezAm jayaH
   sahiṣṇutvaṃ dvaṃdvānabhibhāvyatvam ity arthaḥ // GkT_1.3:27	sahizNu-tvam dvaMdva-anaBiBAvya-tvam iti arTaH // GkT_1.3:27
   * tathāśabdaḥ samānārthe // GkT_1.3:28	* taTASabdaH samAna-arTe // GkT_1.3:28
   * yathā prāguktabale saty apy acaritārthavidhyadhikṛtasyākaluṣatvam eva	* yaTA prAc-ukta-bale sati api acarita-arTa-viDi-aDikRtasya-Akaluza-tvam eva
   balaṃ cintyate tathā baladvayasadbhāve 'py acaritārthaṃ dvaṃdvasahiṣṇutvam	balam cintyate taTA bala-dvaya-sadBAve api acarita-arTam dvaMdva-sahizNu-tvam
   eva prādhānyena balaṃ cintyata iti // GkT_1.3:29	eva prADAnyena balam cintyate iti // GkT_1.3:29
   * tad api dvividhaṃ parāparabhedāt yat tāvad akṣapite pāpe yogakriyāyām	* tat api dviviDam para-apara-BedAt yat tAvat akzapite pApe yoga-kriyAyAm
   abhiniviṣṭasya sādhakasya mṛdumadhyamaśītātapādibhir anubhāvyatvaṃ	aBinivizwasya sADakasya mRdu-maDyama-SIta-Atapa-AdiBiH anuBAvya-tvam
   dhyānādyabhyāsas tad aparam // GkT_1.3:30	DyAna-Adi-aByAsaH tat aparam // GkT_1.3:30
   * yat kṣapite niḥśeṣapāpe guhādeśaṃ gatasyātitīvrair api śītādibhir	* yat kzapite niHSeza-pApe guhA-deSam gatasya-ati-tIvrEH api SIta-AdiBiH-
   anabhibhāvyasvalakṣaṇaṃ dvaṃdvasahiṣṇutvaṃ tat param // GkT_1.3:31	anaBiBAvya-sva-lakzaNam dvaMdva-sahizNu-tvam tat param // GkT_1.3:31
   * bhāṣyakṛtā tu param eva gomṛgadharmatvaṃ vyākhyātam // GkT_1.3:32	* BAzya-kRtA tu param eva go-mRga-Darma-tvam vyAKyAtam // GkT_1.3:32
   * akaluṣatvavad abhyūhya śiṣyā aparaṃ gomṛgadharmitvaṃ pratipatsyanta ity	* akaluza-tva-vat aByUhya SizyAH aparam go-mRga-Darmi-tvam pratipatsyante iti-
   abhiprāyavatā noktam iti // GkT_1.3:33	aBiprAyavatA na-uktam iti // GkT_1.3:33
   * sadāsmṛtyadhikṛtasya caturthaṃ balam āha dharmaś caiva iti // GkT_1.3:34	* sadA-asmRti-aDikRtasya caturTam balam Aha DarmaH ca-eva iti // GkT_1.3:34
   * evaśabdo 'vadhāraṇe // GkT_1.3:35	* eva-SabdaH avaDAraNe // GkT_1.3:35
   * yadā dharma evāvasthitas tadā balam ity arthaḥ // GkT_1.3:36	* yadA DarmaH eva-avasTitaH tadA balam iti arTaH // GkT_1.3:36
   * īṣadadharmasadbhāve 'py avadhāraṇe nāsti doṣaḥ kṛṣṇabindusadbhāve śukla	* Izat-aDarma-sadBAve api avaDAraNe na-asti dozaH kRzNa-bindu-sadBAve Sukla
   evāyaṃ paṭa iti yathā // GkT_1.3:37	eva-ayam pawaH iti yaTA // GkT_1.3:37
   * caśabdaḥ pūrvoktabalatrayasadbhāve 'pi dharma evācaritārthatvena balam	* caSabdaH pUrva-ukta-bala-traya-sadBAve api DarmaH eva-AcaritArTa-tvena balam
   iti sūcayati // GkT_1.3:38	iti sUcayati // GkT_1.3:38
   * niṣṭhāyogayuktasya pañcamaṃ balam āha apramāda iti // GkT_1.3:39	* nizWA-yoga-yuktasya paQcamam balam Aha apramAdaH iti // GkT_1.3:39
   * viśiṣṭaṃ jñānam evātrāpramāda ity abhipretam // GkT_1.3:40	* viSizwam jQAnam eva-atra-apramAdaH iti aBipretam // GkT_1.3:40
   * tathā ca bhāṣyam asya tu jñānam asti yasmād āhāpramādī iti // GkT_1.3:41	* taTA ca BAzyam asya tu jQAnam asti yasmAt Aha-apramAdI iti // GkT_1.3:41
   * caśabdaḥ śarīrendriyadharmādharmavyāvṛttau satyām apramāda eva balam iti	* caSabdaH SarIra-indriya-Darma-aDarma-vyAvRttO satyAm apramAdaH eva balam iti
   sūcayati balānāṃ nyūnādhikabhāvavyavacchedaṃ ceti // GkT_1.3:42	sUcayati balAnAm nyUna-aDika-BAva-vyavacCedam ca-iti // GkT_1.3:42
   * balaṃ pañcavidham ity upasaṃhāraḥ // GkT_1.3:43	* balam paQcaviDam iti upasaMhAraH // GkT_1.3:43
   * smṛtam ity āptoktatvaṃ darśayati // GkT_1.3:44	* smRtam iti Apta-ukta-tvam darSayati // GkT_1.3:44
   * nanu ca tatra balacintā yujyate yatra tat sampādya śatrukṣaya upapadyate	* nanu ca tatra bala-cintA yujyate yatra tat sampAdya Satru-kzayaH upapadyate
   // GkT_1.3:45	// GkT_1.3:45
   * atra punar mokṣaśāstre vītarāgasya niṣparigrahasya śatrava eva na	* atra punar mokza-SAstre vIta-rAgasya nizparigrahasya SatravaH eva na
   vidyante kutaḥ tatkṣaya ity ato 'tra balacintānupapanneti // GkT_1.3:46	vidyante kutas tad-kzayaH iti atas atra bala-cintA-anupapannA-iti // GkT_1.3:46
   * naitad evam // GkT_1.3:47	* na-etat evam // GkT_1.3:47
   * atrāpi sādhakasyājñānādiśatruhānyupapattes tatpratipādanārtham āha //	* atra-api sADakasya-ajQAna-Adi-Satru-hAni-upapatteH tad-pratipAdana-arTam Aha //
   GkT_1.3:48]	GkT_1.3:48]
   ajñānahānyadharmasya hāniḥ saṅgakarasya ca /	ajQAna-hAni-aDarmasya hAniH saFga-karasya ca /
   cyutihāniḥ paśutvasya śuddhiḥ pañcavidhā smṛtā // Gk_1.4	cyuti-hAniH paSutvasya SudDiH paQcaviDA smRtA // Gk_1.4
   * ajñānahānir adharmasya iti prāpte chandobhaṅgaparihārārtham	* ajQAna-hAniH aDarmasya iti prApte CandaH-BaFga-parihAra-arTam
   ajñānahānyadharmasyety uktam // GkT_1.4:1	ajQAna-hAni-aDarmasya-iti uktam // GkT_1.4:1
   * ārṣatvān na doṣa iti // GkT_1.4:2	* Arza-tvAt na dozaH iti // GkT_1.4:2
   * ajñānaṃ ca vakṣyamāṇakaṃ tasya hāniḥ sabījasyātyantocchedaḥ // GkT_1.4:3	* ajQAnam ca vakzyamANakam tasya hAniH sa-bIjasya-atyanta-ucCedaH // GkT_1.4:3
   * adharmo 'pi vakṣyamāṇakas tasya hāniḥ savikārasyātyantocchedaḥ //	* aDarmaH api vakzyamANakaH tasya hAniH sa-vikArasya-atyanta-ucCedaH //
   GkT_1.4:4	GkT_1.4:4
   * adharmavat saṅgakarasyāpi hānir vyākhyātā // GkT_1.4:5	* aDarma-vat saFga-karasya-api hAniH vyAKyAtAH // GkT_1.4:5
   * cakāro hānipadasyānukarṣaṇārthaḥ // GkT_1.4:6	* cakAraH hAni-padasya-anukarzaNa-arTaH // GkT_1.4:6
   * cyuteḥ khalu vakṣyamāṇikāyāḥ saha bījenātyantocchedaś cyutihānir ity	* cyuteH Kalu vakzyamANikAyAH saha bIjena-atyanta-ucCedaH cyuti-hAniH iti-
   ucyate // GkT_1.4:7	ucyate // GkT_1.4:7
   * paśutvasyeti ṣaṣṭyantatvābhidhānād anantaroktahānipadena sambandhaḥ //	* paSutvasya-iti zazwi-antatva-aBiDAnAt anantara-ukta-hAni-padena sambanDaH //
   GkT_1.4:8	GkT_1.4:8
   * ḍamarukamaṇinyāyena vā madhyoktaṃ hānipadaṃ cyutipaśutvābhyāṃ	* xamaruka-maNi-nyAyena vA maDya-uktam hAni-padam cyuti-paSu-tvAByAm
   sambadhyate // GkT_1.4:9	sambaDyate // GkT_1.4:9
   * cakāro vā saṅgakarapadāntokto 'trānuvṛttaḥ // GkT_1.4:10	* cakAraH vA saFga-kara-pada-anta-uktaH atra-anuvRttaH // GkT_1.4:10
   * sa na kevalaṃ hānipadānukarṣakaḥ śuddhīnāṃ nyūnādhikabhāvaṃ	* sa na kevalam hAni-padAnukarzakaH SudDInAm nyUna-aDika-BAvam
   vyavacchinatti // GkT_1.4:11	vyavacCinatti // GkT_1.4:11
   * paśutvasya māheśvaraiśvaryasambandhād ātyantiko nirodhaḥ paśutvahānir	* paSutvasya mAheSvara-ESvarya-sambanDAt AtyantikaH niroDaH paSu-tva-hAniH-
   ity ucyate // GkT_1.4:12	iti ucyate // GkT_1.4:12
   * śuddhiḥ pañcavidhā ity upasaṃhāraḥ // GkT_1.4:13	* SudDiH paQcaviDAH iti upasaMhAraH // GkT_1.4:13
   * smṛtā ity āptoktatvapradarśanārtham // GkT_1.4:14	* smRtAH iti Apta-ukta-tva-pradarSana-arTam // GkT_1.4:14
   * kiṃ punar etāḥ śatrunivṛttayo balāni cāvasthābhedabhinnasya sampadyante	* kim punar etAH Satru-nivRttayaH balAni ca-avasTA-Beda-Binnasya sampadyante
   'thaikāvasthasyeti // GkT_1.4:15	aTa-eka-avasTasya-iti // GkT_1.4:15
   * kutaḥ saṃśayaḥ ubhayathā darśanād viṣṇucakravat // GkT_1.4:16	* kutas saMSayaH uBayaTA darSanAt vizNu-cakra-vat // GkT_1.4:16
   * ucyate prāyeṇa tāvad avasthābhedabhinnasya yasmād avasthābhedam āha //	* ucyate prAyeNa tAvat avasTA-Beda-Binnasya yasmAt avasTA-Bedam Aha //
   GkT_1.4:17]	GkT_1.4:17]
   vyaktāvyaktaṃ jayacchedo niṣṭhā caiveha pañcamī /	vyakta-avyaktam jayacCedaH nizWA ca-eva-iha paQcamI /
   * prātipadāvasthā khalu vyaktāvasthety uktā // GkT_1.5ab:1	* prAtipada-avasTA Kalu vyakta-avasTA-iti uktAH // GkT_1.5ab:1
   * kasmāt // GkT_1.5ab:2	* kasmAt // GkT_1.5ab:2
   * pāśupatye 'yam iti vyaktinimittatvāt bhasmasnānaśayanānusnānādibhir	* pASupatye ayam iti vyakti-nimitta-tvAt Basma-snAna-Sayana-anusnAna-AdiBiH-
   liṅgadhārīty upadeśād iti // GkT_1.5ab:3	liFga-DArI-iti upadeSAt iti // GkT_1.5ab:3
   * dvitīyāvasthā tu jātyādivyakter ahetutvād avyaktāvasthety uktā //	* dvitIyA-avasTA tu jAti-Adi-vyakteH ahetu-tvAt avyakta-avasTA-iti uktAH //
   GkT_1.5ab:4	GkT_1.5ab:4
   * kasmāt // GkT_1.5ab:5	* kasmAt // GkT_1.5ab:5
   * avyaktaliṅgopadeśād vidyādigopanopadeśāc ceti // GkT_1.5ab:6	* avyakta-liFga-upadeSAt vidyA-Adi-gopana-upadeSAt ca-iti // GkT_1.5ab:6
   * tṛtīyāvasthā punar indriyajayārthatvena jayāvasthety ucyate //	* tRtIyA-avasTA punar indriya-jaya-arTa-tvena jaya-avasTA-iti ucyate //
   GkT_1.5ab:7	GkT_1.5ab:7
   * devanityasvārthatve 'py asyā indriyajayārthataiva prādhānyenoktā	* deva-nitya-sva-arTa-tve api asyAH indriya-jaya-arTa-tA-eva prADAnyena-uktA
   sūtrāṇāṃ sambandhakathanadvāreṇācāryabhāṣyakṛteti // GkT_1.5ab:8	sUtrANAm sambanDa-kaTana-dvAreNa-AcArya-BAzya-kRtA-iti // GkT_1.5ab:8
   * chedāvasānārthāvasthā chedāvasthety uktā // GkT_1.5ab:9	* Ceda-avasAna-arTa-avasTA Ceda-avasTA-iti uktAH // GkT_1.5ab:9
   * sarvasya sādhakavyāpārasyātyantoparamo niṣṭhā // GkT_1.5ab:10	* sarvasya sADaka-vyApArasya-atyanta-uparamaH nizWA // GkT_1.5ab:10
   * tadupalakṣitāvasthā niṣṭhāvasthety ucyate // GkT_1.5ab:11	* tad-upalakzita-avasTA nizWA-avasTA-iti ucyate // GkT_1.5ab:11
   * vyaktādiviśeṣaṇābhidhānādyūhādiśaktimatāṃ viśeṣapratipattir bhaviṣyatīty	* vyakta-Adi-viSezaNa-aBiDAna-AdyUha-Adi-SaktimatAm viSeza-pratipattiH Bavizyati-iti-
   abhiprāyavatātrāvasthāgrahaṇaṃ na kṛtam iti // GkT_1.5ab:12	aBiprAyavatA-atra-avasTA-grahaNam na kRtam iti // GkT_1.5ab:12
   * caśabdo nyūnādhikavyavacchedasūcakaḥ // GkT_1.5ab:13	* caSabdaH nyUna-aDika-vyavacCeda-sUcakaH // GkT_1.5ab:13
   * pretonmattamūḍhāvasthāntarasadbhāvād adhikavyavacchedānupapattir iti cen	* preta-unmatta-mUXa-avasTA-antara-sadBAvAt aDika-vyavacCeda-anupapattiH iti ced-
   na gopananiyamenāvyaktāvasthāyām evāntarbhāvāt // GkT_1.5ab:14	na gopana-niyamena-avyakta-avasTAyAm eva-antarBAvAt // GkT_1.5ab:14
   * jayacchedāvasthayor apy avyaktāvasthātvaprasaṅga iti cen nānayor	* jaya=-Ceda-avasTayoH api avyakta-avasTAtva-prasaFgaH iti ced na-anayoH-
   gopananiyamānabhyupagamān niṣṭhāvasthām anabhyupagamya siddhāvasthāṃ	gopana-niyama-anaByupagamAt nizWA-avasTAm anaByupagamya sidDa-avasTAm
   pañcamīm āhuḥ // GkT_1.5ab:15	paQcamIm AhuH // GkT_1.5ab:15
   * kecit tanmatam avadhāraṇenaiva nirācaṣṭe // GkT_1.5ab:16	* kecid tat-matam avaDAraNena-eva nirAcazwe // GkT_1.5ab:16
   * niṣṭhā caiveha pañcamī iti // GkT_1.5ab:17	* nizWA ca-eva-iha paQcamI iti // GkT_1.5ab:17
   * ihety asmin pañcārthadarśane niṣṭhāvasthaiva pañcamī sūtraprāmāṇyāt	* iha-iti asmin paQcArTa-darSane nizWA-avasTA-eva paQcamI sUtra-prAmANyAt-
   pratīyate na siddhāvasthā // GkT_1.5ab:18	pratIyate na sidDa-avasTA // GkT_1.5ab:18
   * tatra kṣapaṇīyaprāpaṇīyābhāvāt sādhakāvasthāś ceha nirūpyante na tato	* tatra kzapaNIya-prApaNIya-aBAvAt sADaka-avasTAH ca-iha nirUpyante na tatas-
   'nyasyeti // GkT_1.5ab:19	anyasya-iti // GkT_1.5ab:19
   * atrāha // GkT_1.5ab:20	* atra-Aha // GkT_1.5ab:20
   * anadhikāriṇo 'vasthāprāptir ayuktā // GkT_1.5ab:21	* anaDikAriNaH avasTA-prAptiH ayuktAH // GkT_1.5ab:21
   * tatra tathā dvitīyādyavasthāprāptau jñānākaluṣatvādayo	* tatra taTA dvitIya-Adi-avasTA-prAptO jQAna-Akaluza-tvAt-ayaH-
   'dhikāritvāpādakāḥ tathā prathamāvasthāprāptau ko hetur ity ucyate //	aDikAri-tva-ApAdakAH taTA praTama-avasTA-prAptO kaH hetuH iti ucyate //
   GkT_1.5ab:22	GkT_1.5ab:22
   * atrāpi kāraṇaviśeṣotpāditā dīkṣā hetuḥ // GkT_1.5ab:23	* atra-api kAraNa-viSeza-utpAditAH dIkzA hetuH // GkT_1.5ab:23
   * yatas tatkāraṇapratipādanārtham idam āha // GkT_1.5ab:24]	* yatas tad-kAraNa-pratipAdana-arTam idam Aha // GkT_1.5ab:24]
   dravyaṃ kālaḥ kriyā mūrtir guruś caiveha pañcamaḥ // Gk_1.5	dravyam kAlaH kriyA mUrtiH guruH ca-eva-iha paQcamaH // Gk_1.5
   * atra vidyākalāpaśusaṃjñitaṃ vividhaṃ kāryaṃ dravyam ity ucyate //	* atra vidyA-kalA-paSu-saMjQitam viviDam kAryam dravyam iti ucyate //
   GkT_1.5cd:1	GkT_1.5cd:1
   * tatra vidyā tāvac chiṣyagatā dīkṣāṅgaṃ yayā śiṣyo dīkṣādhikṛto bhavati	* tatra vidyA tAvat Sizya-gatA dIkzA-aFgam yayA SizyaH dIkzA-aDikRtaH Bavati
   // GkT_1.5cd:2	// GkT_1.5cd:2
   * yayā tv ācāryaḥ sampūrṇāṃ dīkṣāṃ nirvartayati sācāryagatā vidyā //	* yayA tu AcAryaH sampUrNAm dIkzAm nirvartayati sa-AcArya-gatAH vidyA //
   GkT_1.5cd:3	GkT_1.5cd:3
   * kalā darbhādyā dīkṣāṅgam // GkT_1.5cd:4	* kalA darBa-AdyAH dIkzA-aFgam // GkT_1.5cd:4
   * uktaṃ hi darbhāḥ punar bhasma candanaṃ sūtram eva ca // GkT_1.5cd:5	* uktam hi darBAH punar Basma candanam sUtram eva ca // GkT_1.5cd:5
   * puṣpāṇi ca punar dhūpam eṣa kramaḥ smṛtaḥ // GkT_1.5cd:6	* puzpANi ca punar DUpam eza kramaH smRtaH // GkT_1.5cd:6
   * paśuḥ saṃskartavyo brāhmaṇaḥ // GkT_1.5cd:7	* paSuH saMskartavyaH brAhmaNaH // GkT_1.5cd:7
   * itthaṃ vyākhyānakaraṇād upakaraṇāder api saṃgraha ity ato na	* itTam vyAKyAna-karaNAt upakaraNa-AdeH api saMgrahaH iti atas na
   saṃskārakārikāvirodhaḥ // GkT_1.5cd:8	saMskAra-kArikA-viroDaH // GkT_1.5cd:8
   * kālaḥ pūrvāhṇaḥ // GkT_1.5cd:9	* kAlaH pUrvAhNaH // GkT_1.5cd:9
   * kāraṇamūrtiśiṣyayoḥ saṃskārakarma kriyety ucyate // GkT_1.5cd:10	* kAraNa-mUrti-SizyayoH saMskAra-karma kriyA-iti ucyate // GkT_1.5cd:10
   * tatkramaś ca saṃskārakārikāyāṃ draṣṭavyaḥ // GkT_1.5cd:11	* tad-kramaH ca saMskAra-kArikAyAm drazwavyaH // GkT_1.5cd:11
   * mūrtiśabdena yad upahārasūtre mahādevejyāsthānam ūrdhvaliṅgādilakṣaṇaṃ	* mUrti-Sabdena yat upahAra-sUtre mahAdeva-ijyA-sTAnam UrDva-liFga-Adi-lakzaNam
   vyākhyātaṃ tatsamīpadakṣiṇabhūpradeśaḥ kuṭyādyavyavahito 'trābhipretaḥ //	vyAKyAtam tad-samIpa-dakziNa-BU-pradeSaH kuwI-Adi-avyavahitaH atra-aBipretaH //
   GkT_1.5cd:12	GkT_1.5cd:12
   * gurur ācāryaḥ sa dvividhaḥ parāparabhedāt // GkT_1.5cd:13	* guruH AcAryaH sa dviviDaH para-apara-BedAt // GkT_1.5cd:13
   * tatrāparaḥ pañcārthajñānamaryādānvitaḥ // GkT_1.5cd:14	* tatra-aparaH paQcArTa-jQAna-maryAdA-anvitaH // GkT_1.5cd:14
   * tathā coktam /	* taTA ca-uktam /
   * śāstrānuge pracāre yo 'bhiniviṣṭaḥ prakṛṣṭadhīḥ kuśalaḥ /	* SAstra-anuge pracAre yaH aBinivizwaH prakRzwa-DIH kuSalaH /
   * sa bhavati mataḥ kila satām ācāryo jñānahetuś ca // GkT_1.5cd:15	* sa Bavati mataH kila satAm AcAryaH jQAna-hetuH ca // GkT_1.5cd:15
   * tathā /	* taTA /
   * ācāre sthāpayan śiṣyān yasmād ācarati svayam /	* AcAre sTApayan SizyAn yasmAt Acarati svayam /
   * ācinoti ca śāstrārthān ācāryas tena kīrtyate // GkT_1.5cd:16	* Acinoti ca SAstra-arTAn AcAryaH tena kIrtyate // GkT_1.5cd:16
   * tasyādhiṣṭhātā bhagavān maheśvaraḥ paro gurus tathā caivaṃ varṇite	* tasya-aDizWAtA BagavAn maheSvaraH paraH guruH taTA ca-evam varNite
   nimittam apy atra nānuktaṃ bhavati // GkT_1.5cd:17	nimittam api atra na-anuktam Bavati // GkT_1.5cd:17
   * caśabdo nyūnādhikavyavacchedasūcakaḥ // GkT_1.5cd:18	* caSabdaH nyUna-aDika-vyavacCeda-sUcakaH // GkT_1.5cd:18
   * evaśabdo guroḥ prādhānyam avadhārayati // GkT_1.5cd:19	* eva-SabdaH guroH prADAnyam avaDArayati // GkT_1.5cd:19
   * iha iti svasiddhāntanirdeśaḥ // GkT_1.5cd:20	* iha iti sva-sidDAnta-nirdeSaH // GkT_1.5cd:20
   * pañcama ity upasaṃhāraḥ // GkT_1.5cd:21	* paQcamaH iti upasaMhAraH // GkT_1.5cd:21
   * athavā eva iha padayoḥ pāṭhaviparyayaṃ kṛtvānyathārthaḥ pradarśyate //	* aTavA eva iha padayoH pAWa-viparyayam kRtvA-anyaTA-arTaH pradarSyate //
   GkT_1.5cd:22	GkT_1.5cd:22
   * ihaiva pāśupatadarśane evaṃviśiṣṭāni dīkṣānimittāni nānyatra //	* iha-eva pASupata-darSane evaMviSizwAni dIkzA-nimittAni na-anyatra //
   GkT_1.5cd:23	GkT_1.5cd:23
   * tataś ca niṣpādyā dīkṣāpy atraiva viśiṣṭāsti nānyatrety uktaṃ bhavati //	* tatas ca nizpAdyAH dIkzA-api atra-eva viSizwA-asti na-anyatra-iti uktam Bavati //
   GkT_1.5cd:24	GkT_1.5cd:24
   * atha kiṃ kāraṇaviśeṣair eveyaṃ dīkṣā viśiṣyate na kiṃ tarhi	* aTa kim kAraNa-viSezEH eva-iyam dIkzA viSizyate na kim tarhi
   phalaviśeṣair api // GkT_1.5cd:25	Pala-viSezEH api // GkT_1.5cd:25
   * yasmāt tadartham idam āha // GkT_1.5cd:26]	* yasmAt tad-arTam idam Aha // GkT_1.5cd:26]
   jñānaṃ tapo 'tha nityatvaṃ sthitiḥ siddhiś ca pañcamī /	jQAnam tapaH aTa nitya-tvam sTitiH sidDiH ca paQcamI /
   * tatra pañcapadārthaviṣayaṃ	* tatra paQca-padArTa-vizayam
   samāsavistaravibhāgaviśeṣopasaṃhāranigamanatas tattvajñānaṃ prathamo	samAsa-vistara-viBAga-viSeza-upasaMhAra-nigamanataH tattva-jQAnam praTamaH-
   vidyālābho jñānam iti cocyate // GkT_1.6ab:1	vidyA-lABaH jQAnam iti ca-ucyate // GkT_1.6ab:1
   * teṣāṃ samāsādīnāṃ svarūpaṃ yady api śrīmatācāryeṇa bhāṣyāvasāne	* tezAm samAsa-AdInAm svarUpam yadi api SrImat-A-AcAryeNa BAzya-avasAne
   prakaṭitaṃ tathāpi leśatas tadbhāṣyavivaraṇārtham asmābhir apy ucyate //	prakawitam taTA-api leSataH tad-BAzya-vivaraNa-arTam asmABiH api ucyate //
   GkT_1.6ab:2	GkT_1.6ab:2
   * tatra padārthānām uddeśaḥ samāsaḥ // GkT_1.6ab:3	* tatra padArTAnAm uddeSaH samAsaH // GkT_1.6ab:3
   * so 'tha śabdādibhir duḥkhāntādīnām abhihitaḥ // GkT_1.6ab:4	* saH aTa Sabda-AdiBiH duHKa-anta-AdInAm aBihitaH // GkT_1.6ab:4
   * uddiṣṭānāṃ pramāṇataḥ prapañcābhidhānaṃ vistaraḥ // GkT_1.6ab:5	* uddizwAnAm pramANataH prapaQca-aBiDAnam vistaraH // GkT_1.6ab:5
   * patiḥ saṃnādya ity evamādi // GkT_1.6ab:6	* patiH saMnAdya iti evamAdi // GkT_1.6ab:6
   * tatsādhanatvena pramāṇāny api vistaraśabdenoktāni // GkT_1.6ab:7	* tad-sADana-tvena pramANAni api vistara-Sabdena-uktAni // GkT_1.6ab:7
   * dharmadharmiṇāṃ yathāsambhavaṃ lakṣaṇato 'nyatvābhidhānaṃ vibhāgaḥ //	* Darma-DarmiNAm yaTAsamBavam lakzaNataH anyatva-aBiDAnam viBAgaH //
   GkT_1.6ab:8	GkT_1.6ab:8
   * sarvatrāpy abhidhīyata ity abhidhānam // GkT_1.6ab:9	* sarvatra-api aBiDIyate iti aBiDAnam // GkT_1.6ab:9
   * karmavyutpattir draṣṭavyā // GkT_1.6ab:10	* karma-vyutpattiH drazwavyA // GkT_1.6ab:10
   * tatra duḥkhāntasya vibhāgas tāvad ucyate // GkT_1.6ab:11	* tatra duHKAntasya viBAgaH tAvat ucyate // GkT_1.6ab:11
   * sarvaduḥkhāpoho duḥkhāntaḥ // GkT_1.6ab:12	* sarva-duHKa-apohaH duHKAntaH // GkT_1.6ab:12
   * sa dvividho 'nātmakaḥ sātmakaś ceti // GkT_1.6ab:13	* sa dviviDaH anAtmakaH sa-AtmakaH ca-iti // GkT_1.6ab:13
   * tatrānātmakaḥ sarvaduḥkhānām atyantocchedaḥ sātmakas tu	* tatra-anAtmakaH sarva-duHKAnAm atyanta-ucCedaH sa-AtmakaH tu
   maheśvaraiśvaryalakṣaṇā siddhiḥ // GkT_1.6ab:14	maheSvara-ESvarya-lakzaNA sidDiH // GkT_1.6ab:14
   * sā dvirūpā jñānaśaktiḥ kriyāśaktiś ceti // GkT_1.6ab:15	* sA dvi-rUpA jQAnaSaktiH kriyASaktiH ca-iti // GkT_1.6ab:15
   * tatra jñānam eva śaktir jñānaśaktiḥ // GkT_1.6ab:16	* tatra jQAnam eva SaktiH jQAnaSaktiH // GkT_1.6ab:16
   * sā khalv ekāpi satī samastavyastaviṣayabhedāt pañcadhoktā	* sA Kalu ekA-api satI samasta-vyasta-vizaya-BedAt paQcaDA-uktA
   darśanaśravaṇetyādinā brahmāder ivopacaritasarvajñatvapratiṣedhārtham //	darSana-SravaNa-ityAdinA brahma-AdeH iva-upacarita-sarvajQa-tva-pratizeDa-arTam //
   GkT_1.6ab:17	GkT_1.6ab:17
   * kriyāhetuḥ śaktiḥ kriyāśaktiḥ sā trividhā manojavitvādibhedā //	* kriyA-hetuH SaktiH kriyASaktiH sA triviDA manojavitva-Adi-BedAH //
   GkT_1.6ab:18	GkT_1.6ab:18
   * tatra niratiśayaṃ śīghrakāritvaṃ manojavitvaṃ	* tatra niratiSayam SIGrakAri-tvam manojavi-tvam
   karmādinirapekṣasyecchayaivānantararūpakartṛtvādhiṣṭhātṛtvaṃ kāmarūpitvaṃ	karma-Adi-nirapekzasya-icCayA-eva-anantara-rUpa-kartR-tva-aDizWAtR-tvam kAmarUpi-tvam
   saṃbhṛtakāyendriyasyāpi niratiśayaiśvaryasambandhitvaṃ vikaraṇadharmitvaṃ	saMBRta-kAya-indriyasya-api niratiSaya-ESvarya-sambanDi-tvam vikaraNa-Darmi-tvam
   ceti // GkT_1.6ab:19	ca-iti // GkT_1.6ab:19
   * yadā ceyaṃ dvirūpā siddhiḥ prāpyate tadā daśa siddhilakṣaṇāny	* yadA ca-iyam dvi-rUpA sidDiH prApyate tadA daSa sidDi-lakzaNAni-
   avaśyatvādīni patitvāntāni bhavanti // GkT_1.6ab:20	avaSya-tva-AdIni patitva-antAni Bavanti // GkT_1.6ab:20
   * tatra niratiśayamaparādhīnatvam avaśyatvam // GkT_1.6ab:21	* tatra niratiSayam-apara-aDIna-tvam avaSya-tvam // GkT_1.6ab:21
   * atha kim idam avaśyatvaṃ nāmeti // GkT_1.6ab:22	* aTa kim idam avaSya-tvam nAma-iti // GkT_1.6ab:22
   * vaśyatvamalanivṛttāvaśyatvākhyaḥ puruṣe 'vasthito dharmo 'bhivyajyate	* vaSya-tva-mala-nivRtta-AvaSya-tva-AKyaH puruze avasTitaH DarmaH aBivyajyate
   paṭe śuklatāvad ity eke // GkT_1.6ab:23	pawe Sukla-tAvat iti eke // GkT_1.6ab:23
   * tac cāyuktam aiśvaryābhivyakteḥ pratiṣiddhatvād anātmakasya ca	* tat ca-ayuktam ESvarya-aBivyakteH pratizidDa-tvAt anAtmakasya ca
