   vaiśeṣikasūtram	vESezika-sUtram
   tathātmasaṃyogo hastamusalakarmaṇi | KVs_5,1.4 |	taTA-Atma-saMyogaH hasta-musala-karmaNi | KVH-_5,1.4 |
   musalābhighātāt tu musalasaṃyogād dhaste karma | KVs_5,1.5 |	musala-aBiGAtAt tu musala-saMyogAt Daste karma | KVH-_5,1.5 |
   tathātmakarma hastasaṃyogāc ca | KVs_5,1.6 |	taTA-Atma-karma hasta-saMyogAt ca | KVH-_5,1.6 |
   saṃyogābhāve gurutvāt patanam | KVs_5,1.7 |	saMyoga-aBAve guru-tvAt patanam | KVH-_5,1.7 |
   nodanaviśeṣābhāvād nordhvaṃ na tiryag gamanam | KVs_5,1.8 |	nodana-viSeza-aBAvAt na-UrDvam na tiryak gamanam | KVH-_5,1.8 |
   prayatnaviśeṣān nodanaviśeṣaḥ | KVs_5,1.9 |	prayatna-viSezAt nodana-viSezaH | KVH-_5,1.9 |
   nodanaviśeṣād udasanaviśeṣaḥ | KVs_5,1.10 |	nodana-viSezAt udasana-viSezaH | KVH-_5,1.10 |
   hastakarmaṇā dārakakarma vyākhyātam | KVs_5,1.11 |	hasta-karmaNA dAraka-karma vyAKyAtam | KVH-_5,1.11 |
   tathā dagdhasya visphoṭanam | KVs_5,1.12 |	taTA dagDasya visPowanam | KVH-_5,1.12 |
   prayatnābhāve gurutvāt suptasya patanam | KVs_5,1.13 |	prayatna-aBAve guru-tvAt suptasya patanam | KVH-_5,1.13 |
   tṛṇakarma vāyusaṃyogāt | KVs_5,1.14 |	tRNa-karma vAyu-saMyogAt | KVH-_5,1.14 |
   maṇigamanaṃ sūcyabhisarpaṇam ity adṛṣṭakāritāni | KVs_5,1.15 |	maNi-gamanam sUcI-aBisarpaNam iti adRzwa-kAritAni | KVH-_5,1.15 |
   iṣāv ayugapat saṃyogaviśeṣāḥ karmānyatve hetuḥ | KVs_5,1.16 |	izO ayugapad saMyoga-viSezAH karma-anya-tve hetuH | KVH-_5,1.16 |
   nodanād ādyam iṣoḥ karma karmakāritāc ca saṃskārād uttaraṃ tathottaram	nodanAt Adyam izoH karma karma-kAritAt ca saMskArAt uttaram taTA-uttaram
   uttaraṃ ca | KVs_5,1.17 |	uttaram ca | KVH-_5,1.17 |
   saṃskārābhāve gurutvāt patanam | KVs_5,1.18 |	saMskAra-aBAve guru-tvAt patanam | KVH-_5,1.18 |
   nodanād abhighātāt saṃyuktasaṃyogāc ca pṛthivyāṃ karma | KVs_5,2.1 |	nodanAt aBiGAtAt saMyukta-saMyogAt ca pRTivyAm karma | KVH-_5,2.1 |
   tad viśeṣeṇādṛṣṭakāritam | KVs_5,2.2 |	tat viSezeNa-adRzwa-kAritam | KVH-_5,2.2 |
   apāṃ saṃyogābhāve gurutvāt patanam | KVs_5,2.3 |	apAm saMyoga-aBAve guru-tvAt patanam | KVH-_5,2.3 |
   tad viśeṣeṇādṛṣṭakāritam | KVs_5,2.4 |	tat viSezeNa-adRzwa-kAritam | KVH-_5,2.4 |
   dravatvāt syandanam | KVs_5,2.5 |	drava-tvAt syandanam | KVH-_5,2.5 |
   nāḍyā vāyusaṃyogād ārohaṇam | KVs_5,2.6 |	nAxyA vAyu-saMyogAt ArohaNam | KVH-_5,2.6 |
   nodanāt pīḍanāt saṃyuktasaṃyogāc ca | KVs_5,2.7 |	nodanAt pIxanAt saMyukta-saMyogAt ca | KVH-_5,2.7 |
   vṛkṣābhisarpaṇam ity adṛṣṭakāritam | KVs_5,2.8 |	vRkza-aBisarpaNam iti adRzwa-kAritam | KVH-_5,2.8 |
   apāṃ saṅghāto vilayanaṃ ca tejasaḥ saṃyogāt | KVs_5,2.9 |	apAm saFGAtaH vilayanam ca tejasaH saMyogAt | KVH-_5,2.9 |
   tatrāvasphūrjathur liṅgam | KVs_5,2.10 |	tatra-avasPUrjaTuH liFgam | KVH-_5,2.10 |
   vaidikaṃ ca | KVs_5,2.11 |	vEdikam ca | KVH-_5,2.11 |
   apāṃ saṃyogād vibhāgāc ca stanayitnuḥ | KVs_5,2.12 |	apAm saMyogAt viBAgAt ca stanayitnuH | KVH-_5,2.12 |
   pṛthivīkarmaṇā tejaḥkarma vāyukarma ca vyākhyātam | KVs_5,2.13 |	pRTivI-karmaNA tejaH-karma vAyu-karma ca vyAKyAtam | KVH-_5,2.13 |
   agner ūrdhvajvalanaṃ vāyoś ca tiryagpavanam aṇumanasoś cādyaṃ karmety	agneH UrDva-jvalanam vAyoH ca tiryak-pavanam aNu-manasoH ca-Adyam karma-iti-
   adṛṣṭakāritāni | KVs_5,2.14 |	adRzwa-kAritAni | KVH-_5,2.14 |
   hastakarmaṇā manasaḥ karma vyākhyātam | KVs_5,2.15 |	hasta-karmaNA manasaH karma vyAKyAtam | KVH-_5,2.15 |
   ātmendriyamano'rthasannikarṣāt sukhaduḥkhe tadanārambhaḥ | KVs_5,2.16 |	Atma-indriya-manaH-arTa-sannikarzAt suKa-duHKe tad-anAramBaH | KVH-_5,2.16 |
   ātmasthe manasi saśarīrasya sukhaduḥkhābhāvaḥ sa yogaḥ | KVs_5,2.17 |	Atma-sTe manasi sa-SarIrasya suKa-duHKa-aBAvaH sa yogaH | KVH-_5,2.17 |
   kāyakarmaṇātmakarma vyākhyātam | KVs_5,2.18 |	kAya-karmaNA-Atma-karma vyAKyAtam | KVH-_5,2.18 |
   apasarpaṇam upasarpaṇam aśitapītasaṃyogaḥ kāryāntarasaṃyogāś cety	apasarpaNam upasarpaNam aSita-pIta-saMyogaH kArya-antara-saMyogAH ca-iti-
   adṛṣṭakāritāni | KVs_5,2.19 |	adRzwa-kAritAni | KVH-_5,2.19 |
   tadabhāve saṃyogābhāvo 'prādurbhāvaḥ sa mokṣaḥ | KVs_5,2.20 |	tad-aBAve saMyoga-aBAvaH aprAdurBAvaH sa mokzaH | KVH-_5,2.20 |
   dravyaguṇakarmavaidharmyād bhāvābhāvamātraṃ tamaḥ | KVs_5,2.21 |	dravya-guNa-karma-vEDarmyAt BAva-aBAva-mAtram tamaH | KVH-_5,2.21 |
   tejaso dravyāntareṇāvaraṇāc ca | KVs_5,2.22 |	tejasaH dravya-antareNa-AvaraNAt ca | KVH-_5,2.22 |
   dikkālāv ākāśaṃ ca kriyāvadbhyo vaidharmyān niṣkriyāṇi | KVs_5,2.23 |	diS-kAlO AkASam ca kriyAvadByaH vEDarmyAt nizkriyANi | KVH-_5,2.23 |
   etena karmāṇi guṇāś ca vyākhyātāḥ | KVs_5,2.24 |	etena karmANi guNAH ca vyAKyAtAH | KVH-_5,2.24 |
   niṣkriyāṇāṃ samavāyaḥ karmabhyaḥ pratiṣiddhaḥ | KVs_5,2.25 |	nizkriyANAm samavAyaH karmaByaH pratizidDaH | KVH-_5,2.25 |
   kāraṇaṃ tv asamavāyino guṇāḥ | KVs_5,2.26 |	kAraNam tu asamavAyinaH guNAH | KVH-_5,2.26 |
   guṇair dig vyākhyātā | KVs_5,2.27 |	guNEH diS vyAKyAtA | KVH-_5,2.27 |
   kāraṇena kālaḥ | KVs_5,2.28 |	kAraNena kAlaH | KVH-_5,2.28 |
   buddhipūrvā vākyakṛtir vede | KVs_6,1.1 |	budDi-pUrvA vAkya-kRtiH vede | KVH-_6,1.1 |
   na cāsmadbuddhibhyo liṅgam ṛṣeḥ | KVs_6,1.2 |	na ca-asmad-budDiByaH liFgam RzeH | KVH-_6,1.2 |
   tathā brāhmaṇe saṃjñākarmasiddhir liṅgam | KVs_6,1.3 |	taTA brAhmaNe saMjQA-karma-sidDiH liFgam | KVH-_6,1.3 |
   buddhipūrvo dadātiḥ | KVs_6,1.4 |	budDi-pUrvaH dadAtiH | KVH-_6,1.4 |
   tathā pratigrahaḥ | KVs_6,1.5 |	taTA pratigrahaH | KVH-_6,1.5 |
   tayoḥ kramo yathānitaretarāṅgabhūtānām | KVs_6,1.6 |	tayoH kramaH yaTA-anitara-itara-aFga-BUtAnAm | KVH-_6,1.6 |
   ātmaguṇeṣv ātmāntaraguṇānām akāraṇatvāt | KVs_6,1.7 |	Atma-guNezu Atma-antara-guNAnAm akAraNa-tvAt | KVH-_6,1.7 |
   aduṣṭabhojanāt samabhivyāhārato 'bhyudayaḥ | KVs_6,1.8 |	aduzwa-BojanAt samaBivyAhArataH aByudayaH | KVH-_6,1.8 |
   tad duṣṭabhojane na vidyate | KVs_6,1.9 |	tat duzwa-Bojane na vidyate | KVH-_6,1.9 |
   duṣṭaṃ hiṃsāyām | KVs_6,1.10 |	duzwam hiMsAyAm | KVH-_6,1.10 |
   samabhivyāhārato doṣaḥ | KVs_6,1.11 |	samaBivyAhArataH dozaH | KVH-_6,1.11 |
   tad aduṣṭe na vidyate | KVs_6,1.12 |	tat aduzwe na vidyate | KVH-_6,1.12 |
   viśiṣṭe pravṛttiḥ | KVs_6,1.13 |	viSizwe pravRttiH | KVH-_6,1.13 |
   same hīne cāpravṛttiḥ | KVs_6,1.14 |	same hIne ca-apravRttiH | KVH-_6,1.14 |
   etena hīnasamaviśiṣtadhārmikebhyaḥ parādānaṃ vyākhyātam | KVs_6,1.15 |	etena hIna-sama-viSizta-DArmikeByaH parAdAnam vyAKyAtam | KVH-_6,1.15 |
   tathā viruddhānāṃ tyāgaḥ | KVs_6,1.16 |	taTA virudDAnAm tyAgaH | KVH-_6,1.16 |
   sama ātmatyāgaḥ paratyāgo vā | KVs_6,1.17 |	samaH Atma-tyAgaH para-tyAgaH vA | KVH-_6,1.17 |
   viśiṣṭe ātmatyāgaḥ | KVs_6,1.18 |	viSizwe Atma-tyAgaH | KVH-_6,1.18 |
   dṛṣṭānāṃ dṛṣṭaprayojanānāṃ dṛṣṭābhāve prayogo 'bhyudayāya.(C,V) (U	dRzwAnAm dRzwa-prayojanAnAm dRzwa-aBAve prayogaH aByudayAya.(-S,V) (U
   dṛṣṭādṛṣṭaprayojanānāṃ dṛṣṭābhāve prayojanam abhyudayāya.) | KVs_6,2.1 |	dRzwa-adRzwa-prayojanAnAm dRzwa-aBAve prayojanam aByudayAya.) | KVH-_6,2.1 |
   abhiṣecanopavāsabrahmacaryagurukulavāsavānaprasthyayajñadānaprokṣaṇadiṅnakṣatramantrakālaniyamāś	aBizecana-upavAsa-brahmacarya-guru-kula-vAsavAn-aprasTya-yajQa-dAna-prokzaNa-diS-nakzatra-mantra-kAla-niyamAS
   cādṛṣṭāya | KVs_6,2.2 |	ca-adRzwAya | KVH-_6,2.2 |
   cāturāśramyam upadhāc cānupadhāc ca/ | KVs_6,2.3 |	cAturASramyam upaDAt ca-anupaDAt ca/ | KVH-_6,2.3 |
   bhāvadoṣa upadhā | KVs_6,2.4 |	BAva-dozaH upaDA | KVH-_6,2.4 |
   adoṣo 'nupadhā | KVs_6,2.5 |	adozaH anupaDA | KVH-_6,2.5 |
   iṣṭarūparasagandhasparśaṃ prokṣitam abhyukṣitaṃ ca tac chuci | KVs_6,2.6 |	izwa-rUpa-rasa-ganDa-sparSam prokzitam aByukzitam ca tat Suci | KVH-_6,2.6 |
   aśucīti śucipratiṣedhaḥ | KVs_6,2.7 |	aSuci-iti Suci-pratizeDaH | KVH-_6,2.7 |
   arthāntaraṃ ca | KVs_6,2.8 |	arTa-antaram ca | KVH-_6,2.8 |
   ayatasya śucibhojanād abhyudayo na vidyate yamābhāvāt | KVs_6,2.9 |	ayatasya Suci-BojanAt aByudayaH na vidyate yama-aBAvAt | KVH-_6,2.9 |
   vidyate cānarthāntaratvād yamasya | KVs_6,2.10 |	vidyate ca-anarTa-antara-tvAt yamasya | KVH-_6,2.10 |
   asati cābhāvāt | KVs_6,2.11 |	asati ca-aBAvAt | KVH-_6,2.11 |
   sukhād rāgaḥ | KVs_6,2.12 |	suKAt rAgaH | KVH-_6,2.12 |
   tanmayatvāt | KVs_6,2.13 |	tad-maya-tvAt | KVH-_6,2.13 |
   tṛpteḥ | KVs_6,2.14 |	tRpteH | KVH-_6,2.14 |
   adṛṣṭāt | KVs_6,2.15 |	adRzwAt | KVH-_6,2.15 |
   jātiviśeṣāc ca rāgaviśeṣaḥ | KVs_6,2.16 |	jAti-viSezAt ca rAga-viSezaH | KVH-_6,2.16 |
   icchādveṣapūrvikā dharmādharmayoḥ pravṛttiḥ | KVs_6,2.17 |	icCA-dveza-pUrvikA Darma-aDarmayoH pravRttiH | KVH-_6,2.17 |
   tataḥ saṃyogo vibhāgaś ca | KVs_6,2.18 |	tatas saMyogaH viBAgaH ca | KVH-_6,2.18 |
   ātmakarmasu mokṣo vyākhyātaḥ | KVs_6,2.19 |	Atma-karmasu mokzaH vyAKyAtaH | KVH-_6,2.19 |
   uktā guṇāḥ | KVs_7,1.1 |	uktAH guNAH | KVH-_7,1.1 |
   guṇalakṣaṇaṃ coktam | KVs_7,1.2 |	guNa-lakzaNam ca-uktam | KVH-_7,1.2 |
   idam evaṃguṇam idam evaṃguṇam iti coktam | KVs_7,1.3 |	idam evaMguNam idam evaMguNam iti ca-uktam | KVH-_7,1.3 |
   pṛthivyāṃ rūparasagandhasparśā dravyānityatvād anityāḥ | KVs_7,1.4 |	pRTivyAm rUpa-rasa-ganDa-sparSAH dravya-anitya-tvAt anityAH | KVH-_7,1.4 |
   agnisaṃyogāc ca | KVs_7,1.5 |	agni-saMyogAt ca | KVH-_7,1.5 |
   guṇāntaraprādurbhāvāt | KVs_7,1.6 |	guNa-antara-prAdurBAvAt | KVH-_7,1.6 |
   etena nityeṣv anityatvam uktam | KVs_7,1.7 |	etena nityezu anitya-tvam uktam | KVH-_7,1.7 |
   apsu tejasi vāyau ca nityā dravyanityatvāt | KVs_7,1.8 |	apsu tejasi vAyO ca nityAH dravya-nitya-tvAt | KVH-_7,1.8 |
   anityeṣv anityā dravyānityatvāt | KVs_7,1.9 |	anityezu anityAH dravya-anitya-tvAt | KVH-_7,1.9 |
   kāraṇaguṇapūrvāḥ pṛthivyāṃ pākajāś ca | KVs_7,1.10 |	kAraNa-guNa-pUrvAH pRTivyAm pAka-jAH ca | KVH-_7,1.10 |
   apsu tejasi vāyau ca kāraṇaguṇapūrvāḥ pākajā na vidyante | KVs_7,1.11 |	apsu tejasi vAyO ca kAraNa-guNa-pUrvAH pAka-jAH na vidyante | KVH-_7,1.11 |
   aguṇavato dravyasya guṇārambhāt karmaguṇā aguṇāḥ | KVs_7,1.12 |	aguNavataH dravyasya guNa-AramBAt karma-guNAH aguNAH | KVH-_7,1.12 |
   etena pākajā vyākhyātāḥ | KVs_7,1.13 |	etena pAka-jAH vyAKyAtAH | KVH-_7,1.13 |
   ekadravyavattvāt | KVs_7,1.14 |	eka-dravyavat-tvAt | KVH-_7,1.14 |
   aṇor mahataś copalabdhyanupalabdhī nitye vyākhyāte | KVs_7,1.15 |	aNoH mahataH ca-upalabDi-anupalabDI nitye vyAKyAte | KVH-_7,1.15 |
   kāraṇabahutvāt kāraṇamahattvāt pracayaviśeṣāc ca mahat | KVs_7,1.16 |	kAraNa-bahu-tvAt kAraNa-mahat-tvAt pracaya-viSezAt ca mahat | KVH-_7,1.16 |
   tadviparītam aṇu | KVs_7,1.17 |	tad-viparItam aNu | KVH-_7,1.17 |
   aṇu mahad iti tasmin viśeṣabhāvād viśeṣābhāvāc ca | KVs_7,1.18 |	aNu mahat iti tasmin viSeza-BAvAt viSeza-aBAvAt ca | KVH-_7,1.18 |
   ekakālatvāt | KVs_7,1.19 |	eka-kAla-tvAt | KVH-_7,1.19 |
   aṇutvamahattvayor aṇutvamahattvābhāvaḥ karmaguṇair vyākhyātaḥ | KVs_7,1.21	aNu-tva-mahat-tvayoH aNu-tva-mahat-tva-aBAvaH karma-guNEH vyAKyAtaH | KVH-_7,1.21
   aṇutvamahattvābhyāṃ karmaguṇā aguṇāḥ | KVs_7,1.22 |	aNu-tva-mahat-tvAByAm karma-guNAH aguNAH | KVH-_7,1.22 |
   etena dīrghatvahrasvatve vyākhyāte | KVs_7,1.23 |	etena dIrGa-tva-hrasva-tve vyAKyAte | KVH-_7,1.23 |
   karmabhiḥ karmāṇi guṇair guṇāḥ | KVs_7,1.24 |	karmaBiH karmANi guNEH guNAH | KVH-_7,1.24 |
   tad anitye | KVs_7,1.25 |	tat anitye | KVH-_7,1.25 |
   nityaṃ parimaṇḍalam | KVs_7,1.26 |	nityam parimaNxalam | KVH-_7,1.26 |
   avidyā vidyāliṅgam | KVs_7,1.27 |	avidyA vidyA-liFgam | KVH-_7,1.27 |
   vibhavān mahān ākāśaḥ | KVs_7,1.28 |	viBavAn mahAn AkASaH | KVH-_7,1.28 |
   tathā cātmā | KVs_7,1.29 |	taTA ca-AtmA | KVH-_7,1.29 |
   tadabhāvād aṇu manaḥ | KVs_7,1.30 |	tad-aBAvAt aNu manaH | KVH-_7,1.30 |
   guṇair dig vyākhyātā | KVs_7,1.31 |	guNEH diS vyAKyAtA | KVH-_7,1.31 |
   kāraṇena kālaḥ | KVs_7,1.32 |	kAraNena kAlaH | KVH-_7,1.32 |
   rūparasagandhasparśavyatirekād arthāntaram ekatvaṃ tathā pṛthaktvam |	rUpa-rasa-ganDa-sparSa-vyatirekAt arTa-antaram eka-tvam taTA pRTaktvam |
   KVs_7,2.1 |	KVH-_7,2.1 |
   tayor nityatvānityatve tejaso rūpasparśābhyāṃ vyākhyāte | KVs_7,2.2 |	tayoH nitya-tva-anitya-tve tejasaH rUpa-sparSAByAm vyAKyAte | KVH-_7,2.2 |
   niṣpattiś ca | KVs_7,2.3 |	nizpattiH ca | KVH-_7,2.3 |
   ekatvapṛthaktvayor ekatvapṛthaktvābhāvo | KVs_7,2.4 |	ekatva-pRTaktvayoH ekatva-pRTaktva-aBAvaH | KVH-_7,2.4 |
   karmabhiḥ karmāṇi guṇair guṇāḥ | KVs_7,2.5 |	karmaBiH karmANi guNEH guNAH | KVH-_7,2.5 |
   niḥsaṃkhyatvāt karmaguṇānāṃ sarvaikatvaṃ na vidyate | KVs_7,2.6 |	niHsaMKya-tvAt karma-guNAnAm sarva-eka-tvam na vidyate | KVH-_7,2.6 |
   ekatvasyābhāvād bhāktaṃ na vidyate | KVs_7,2.7 |	eka-tvasya-aBAvAt BAktam na vidyate | KVH-_7,2.7 |
   kāryakāraṇaikatvapṛthaktvābhāvād ekatvapṛthaktve na vidyete | KVs_7,2.8 |	kArya-kAraNa-eka-tva-pRTaktva-aBAvAt ekatva-pRTaktve na vidyete | KVH-_7,2.8 |
   etad anityanitayor vyākhyātam | KVs_7,2.9 |	etat anitya-nitayoH vyAKyAtam | KVH-_7,2.9 |
   anyatarakarmaja ubhayakarmajaḥ saṃyogajaś ca saṃyogaḥ | KVs_7,2.10 |	anyatara-karma-jaH uBaya-karma-jaH saMyoga-jaH ca saMyogaH | KVH-_7,2.10 |
   etena vibhāgo vyākhyātaḥ | KVs_7,2.11 |	etena viBAgaH vyAKyAtaH | KVH-_7,2.11 |
   saṃyogavibhāgayoḥ saṃyogavibhāgābhāvo 'ṇutvamahattvābhyāṃ vyākhyātaḥ |	saMyoga-viBAgayoH saMyoga-viBAga-aBAvaH aNu-tva-mahat-tvAByAm vyAKyAtaH |
   KVs_7,2.12 |	KVH-_7,2.12 |
   karmabhiḥ karmāṇi guṇair guṇāḥ | KVs_7,2.13 |	karmaBiH karmANi guNEH guNAH | KVH-_7,2.13 |
   yutasiddhyabhāvāt kāryakāraṇayoḥ saṃyogavibhāgau na vidyete | KVs_7,2.14 |	yuta-sidDi-aBAvAt kArya-kAraNayoH saMyoga-viBAgO na vidyete | KVH-_7,2.14 |
   guṇatvāt | KVs_7,2.15 |	guNa-tvAt | KVH-_7,2.15 |
   guṇe ca bhāṣyate | KVs_7,2.16 |	guNe ca BAzyate | KVH-_7,2.16 |
   niṣkriyatvāt | KVs_7,2.17 |	nizkriya-tvAt | KVH-_7,2.17 |
   asati nāstīti ca prayogāt | KVs_7,2.18 |	asati na-asti-iti ca prayogAt | KVH-_7,2.18 |
   śabdārthāv asaṃbaddhau | KVs_7,2.19 |	Sabda-arTO asaMbadDO | KVH-_7,2.19 |
   saṃyogino daṇḍāt samavāyino viṣāṇāc ca | KVs_7,2.20 |	saMyoginaH daNxAt samavAyinaH vizANAt ca | KVH-_7,2.20 |
   dṛṣṭatvād ahetuḥ pratyayaḥ | KVs_7,2.21 |	dRzwa-tvAt ahetuH pratyayaH | KVH-_7,2.21 |
   tathā pratyayābhāvaḥ | KVs_7,2.22 |	taTA pratyaya-aBAvaH | KVH-_7,2.22 |
   saṃbaddhasaṃbandhād iti cet sandehaḥ | KVs_7,2.23 |	saMbadDa-saMbanDAt iti ced sandehaH | KVH-_7,2.23 |
   sāmayikaḥ śabdād arthapratyayaḥ | KVs_7,2.24 |	sAmayikaH SabdAt arTa-pratyayaH | KVH-_7,2.24 |
   ekadikkālābhyāṃ sannikṛṣṭaviprakṛṣṭābhyāṃ param aparam | KVs_7,2.25 |	eka-diS-kA-AlAByAm sannikRzwa-viprakRzwAByAm param aparam | KVH-_7,2.25 |
   kāraṇaparatvāt kāraṇāparatvāc ca | KVs_7,2.26 |	kAraNa-para-tvAt kAraNa-aparatvAt ca | KVH-_7,2.26 |
   paratvāparatvayoḥ paratvāparatvābhāvo 'ṇutvamahattvābhyāṃ vyākhyātaḥ |	paratva-aparatvayoH paratva-aparatva-aBAvaH aNu-tva-mahat-tvAByAm vyAKyAtaH |
   KVs_7,2.27 |	KVH-_7,2.27 |
   karmabhiḥ karmāṇi guṇair guṇāḥ | KVs_7,2.28 |	karmaBiH karmANi guNEH guNAH | KVH-_7,2.28 |
   iheti yataḥ kāryakāraṇayoḥ sa samavāyaḥ | KVs_7,2.29 |	iha-iti yatas kArya-kAraNayoH sa samavAyaH | KVH-_7,2.29 |
   dravyatvaguṇatvakarmatvapratiṣedho bhāvena vyākhyātaḥ | KVs_7,2.30 |	dravya-tva-guNa-tva-karma-tva-pratizeDaH BAvena vyAKyAtaH | KVH-_7,2.30 |
   tattvaṃ ca | KVs_7,2.31 |	tattvam ca | KVH-_7,2.31 |
   dravyeṣu jñānaṃ vyākhyātam | KVs_8.1 |	dravyezu jQAnam vyAKyAtam | KVH-_8.1 |
   mana ātmā ca | KVs_8.2 |	manaH AtmA ca | KVH-_8.2 |
   jñānanirdeśe jñānaniṣpattir uktā | KVs_8.3 |	jQAna-nirdeSe jQAna-nizpattiH uktA | KVH-_8.3 |
   guṇakarmasv asannikṛṣṭeṣu jñānaniṣpatter dravyaṃ kāraṇaṃ kāraṇakāraṇaṃ ca	guNa-karmasu asannikRzwezu jQAna-nizpatteH dravyam kAraNam kAraNa-kAraNam ca
   | KVs_8.4 |	| KVH-_8.4 |
   sāmānyaviśeṣeṣu sāmānyaviśeṣābhāvāt tata eva jñānam | KVs_8.5 |	sAmAnya-viSezezu sAmAnya-viSeza-aBAvAt tatas eva jQAnam | KVH-_8.5 |
   sāmānyaviśeṣāpekṣaṃ dravyaguṇakarmasu | KVs_8.6 |	sAmAnya-viSeza-apekzam dravya-guNa-karmasu | KVH-_8.6 |
   dravye dravyaguṇakarmāpekṣam | KVs_8.7 |	dravye dravya-guNa-karma-apekzam | KVH-_8.7 |
   guṇakarmasu guṇakarmābhāvad guṇakarmāpekṣaṃ na vidyate | KVs_8.8 |	guNa-karmasu guNa-karma-aBAvat guNa-karma-apekzam na vidyate | KVH-_8.8 |
   samavāyinaḥ śvaityāc chvaityabuddheḥ śvete buddhis te kāryakāraṇabhūte |	samavAyinaH SvEtyAt SvEtya-budDeH Svete budDiH te kArya-kAraNa-BUte |
   KVs_8.9 |	KVH-_8.9 |
   dravyeṣv anitaretarakāraṇāt kāraṇāyaugapadyāt | KVs_8.10 |	dravyezu anitara-itara-kAraNAt kAraNa-ayOgapadyAt | KVH-_8.10 |
   tathā dravyaguṇakarmasu kāraṇāviśeṣāt | KVs_8.11 |	taTA dravya-guNa-karmasu kAraNA-viSezAt | KVH-_8.11 |
   ayam eṣa kṛtaṃ tvayā bhojayāinam iti buddhyapekṣaṃ | KVs_8.12 |	ayam eza kRtam tvayA BojayAinam iti budDi-apekzam | KVH-_8.12 |
   dṛṣṭeṣu bhāvād adṛṣṭeṣv abhāvāt | KVs_8.13 |	dRzwezu BAvAt adRzwezu aBAvAt | KVH-_8.13 |
   artha iti dravyaguṇakarmasu | KVs_8.14 |	arTaH iti dravya-guNa-karmasu | KVH-_8.14 |
   dravyeṣu pañcātmakaṃ pratyuktam | KVs_8.15 |	dravyezu paQca-Atmakam pratyuktam | KVH-_8.15 |
   bhūyastvād gandhavattvāc ca pṛthivī gandhajñāne | KVs_8.16 |	BUyas-tvAt ganDavat-tvAt ca pRTivI ganDa-jQAne | KVH-_8.16 |
   tathāpas tejo vāyuś ca rasarūpasparśajñāneṣu rasarūpasparśaviśeṣāt |	taTA-apaH tejaH vAyuH ca rasa-rUpa-sparSa-jQAnezu rasa-rUpa-sparSa-viSezAt |
   KVs_8.17 |	KVH-_8.17 |
   kriyāguṇavyapadeśābhāvād asat | KVs_9.1 |	kriyA-guNa-vyapadeSa-aBAvAt asat | KVH-_9.1 |
   sad asat | KVs_9.2 |	sat asat | KVH-_9.2 |
   asataḥ sat kriyāguṇavyapadeśābhāvād arthāntaram (śabhāvād ?) | KVs_9.3 |	asataH sat kriyA-guNa-vyapadeSa-aBAvAt arTa-antaram (SaBAvAt ?) | KVH-_9.3 |
   sac cāsat | KVs_9.4 |	sat ca-asat | KVH-_9.4 |
   yac cānyat satas tad apy asat | KVs_9.5 |	yat ca-anyat sataH tat api asat | KVH-_9.5 |
   asad iti bhūtapratyakṣābhāvād bhūtasmṛter virodhipratyakṣatvāc ca jñānam |	asat iti BUta-pratyakza-aBAvAt BUta-smRteH viroDi-pratyakza-tvAt ca jQAnam |
   KVs_9.6 |	KVH-_9.6 |
   tathābāve bhāvapratyakṣatvāc ca | KVs_9.7 |	taTA-AbAve BAva-pratyakza-tvAt ca | KVH-_9.7 |
   etenāghaṭo 'gaur adharmaś ca vyākhyātaḥ | KVs_9.8 |	etena-aGawaH agOH aDarmaH ca vyAKyAtaH | KVH-_9.8 |
   abhūtaṃ nāstīty anarthāntaram | KVs_9.9 |	aBUtam na-asti-iti anarTa-antaram | KVH-_9.9 |
   nāsti ghaṭo geha iti sato ghaṭasya gehasaṃyogapratiṣedhaḥ | KVs_9.10 |	na-asti GawaH gehaH iti sataH Gawasya geha-saMyoga-pratizeDaH | KVH-_9.10 |
   nāsty anyaś candramā iti sāmānyāc candramasaḥ pratiṣedhaḥ | KVs_9.11 |	na-asti anyaH candramAH iti sAmAnyAt candramasaH pratizeDaH | KVH-_9.11 |
   sad asator vaidharmyāt kārye sad asattā na | KVs_9.12 |	sat asatoH vEDarmyAt kArye sat asattA na | KVH-_9.12 |
   ātmany ātmamanasoḥ saṃyogaviśeṣād ātmapratyakṣam | KVs_9.13 |	Atmani Atma-manasoH saMyoga-viSezAt Atma-pratyakzam | KVH-_9.13 |
   tathā dravyāntareṣu | KVs_9.14 |	taTA dravya-antarezu | KVH-_9.14 |
   ātmendriyamano'rthasannikarṣāc ca | KVs_9.15 |	Atma-indriya-manaH-arTa-sannikarzAt ca | KVH-_9.15 |
   tatsamavāyāt karmaguṇeṣu | KVs_9.16 |	tad-samavAyAt karma-guNezu | KVH-_9.16 |
   ātmasamavāyād ātmaguṇeṣu | KVs_9.17 |	Atma-samavAyAt Atma-guNezu | KVH-_9.17 |
   asyedaṃ kāryaṃ kāraṇaṃ saṃbandhy ekārhtasamavāyi virodhi ceti laiṅgikam |	asya-idam kAryam kAraNam saMbanDi eka-arhta-samavAyi viroDi ca-iti lEFgikam |
   KVs_9.18 |	KVH-_9.18 |
   etena śābdaṃ vyākhyātam | KVs_9.19 |	etena SAbdam vyAKyAtam | KVH-_9.19 |
