   Carmavastu	Carma-vastu
   śālāṭavīṃ praviṣṭāḥ / te tṛṣārtā (MSV IV 168) vihvalavadanā jihvāṃ	SAlAwavIm pravizwAH / te tRzA-ArtAH (MSV IV 168) vihvala-vadanA jihvAm
   nirnāmayya gacchanti / tān dṛṣṭvā tasya kāruṇyam utpannam* / sa	nirnAmayya gacCanti / tAn dRzwvA tasya kAruNyam utpannam* / sa
   saṃlakṣayati / yady etān notsrakṣyāmi ebhir eva sārdham anayena vyasanam	saMlakzayati / yadi etAn na-utsrakzyAmi eBiH eva sArDam anayena vyasanam
   āpatsye /	Apatsye /
   sa tān utsṛjya padbhyāṃ saṃprasthitaḥ / yāvat paśyati āyasaṃ nagaram uccaṃ	sa tAn utsRjya padByAm saMprasTitaH / yAvat paSyati Ayasam nagaram uccam
   ca pragṛhītaṃ ca / tatra dvāre puruṣas tiṣṭhati kālo raudraś caṇḍo	ca pragRhItam ca / tatra dvAre puruzaH tizWati kAlaH rOdraH caNxo
   lohitākṣa udbaddhapiṇḍo lohalaguḍavyagrahastaḥ {MS: tatra kālo caṇḍo	lohita-akzaH udbadDa-piNxaH loha-laguxa-vyagra-hastaH {MS: tatra kAlaH caNxo
   lohitākṣaḥ udbandhapiṇḍakāyaṣṭi vigraho puruṣo dvāre tiṣṭhati} / sa tasya	lohita-akzaH udbanDa-piNxakA-yazwi vigrahaH puruzaH dvAre tizWati} / sa tasya
   sakāśam upasaṃkrāntaḥ / bhoḥ puruṣa / asty atra pānīyam* / sa tūṣṇīm	sakASam upasaMkrAntaH / BoH puruzaH / asti atra pAnIyam* / sa tUzNIm
   avasthitaḥ / bhūyas tena pṛṣṭo 'sau puruṣo 'sty atra pānīyam iti / bhūyo	avasTitaH / BUyas tena pRzwaH asO puruzaH asti atra pAnIyam iti / BUyo
   'pi sa tūṣṇīm avasthitaḥ / tena sārthavāhena tatra praviśya pānīyaṃ	api sa tUzNIm avasTitaH / tena sArTavAhena tatra praviSya pAnIyam
   pānīyam iti śabdo niścāritaḥ / yāvat pañcamātraiḥ pretasahasrair	pAnIyam iti SabdaH niScAritaH / yAvat paQca-mAtrEH preta-sahasrEH-
   dagdhasthūṇāsadṛśair asthiyantravad ucchritaiḥ svakeśaromapracchannaiḥ	dagDa-sTUNA-sadRSEH asTi-yantra-vat ucCritEH sva-keSa-roma-pracCannEH
   parvatasannibhodaraiḥ sūcīcchidropamamukhair anuparivāritaḥ śroṇaḥ	parvata-sanniBa-udarEH sUcI=-Cidra-upama-muKEH anuparivAritaH SroNaH
   koṭīkarṇaḥ / te kathayanti / sārthavāha kāruṇikas tvam asmākaṃ tṛṣārtānāṃ	kowIkarNaH / te kaTayanti / sArTavAha kAruNikaH tvam asmAkam tRzA-ArtAnAm
   pānīyam anuprayaccha / sa kathayati / bhavanto 'ham api pānīyam eva	pAnIyam anuprayacCa / sa kaTayati / BavantaH aham api pAnIyam eva
   mṛgayāmi kuto 'haṃ yuṣmākaṃ pānīyam anuprayacchāmīti / te kathayanti /	mRgayAmi kutas aham yuzmAkam pAnIyam anuprayacCAmi-iti / te kaTayanti /
   sārthavāha pretanagaram idaṃ kutaḥ khalv atra pānīyam* / adyāsmābhir (MSV	sArTavAha preta-nagaram idam kutas Kalu atra pAnIyam* / adya-asmABiH (MSV
   IV 169) dvādaśabhir varṣais tvatsakāśāt pānīyaṃ pānīyam iti śabdaḥ śrutaḥ	IV 169) dvAdaSaBiH varzEH tvad-sakASAt pAnIyam pAnIyam iti SabdaH SrutaH
   / sa kathayati / ke yūyaṃ bhavantaḥ kena vā karmaṇā ihopapannāḥ / ta ūcuḥ	/ sa kaTayati / ke yUyam BavantaH kena vA karmaNA iha-upapannAH / te UcuH
   / śroṇa duṣkuhakā jambudvīpakā manuṣyā nābhiśraddadhāsyanti / sa cāha /	/ SroNa duzkuhakAH jambudvIpakAH manuzyAH na-aBiSraddaDAsyanti / sa ca-Aha /
   ahaṃ bhavantaḥ pratyakṣadarśī kasmān nābhiśraddadhāsye {MS: kathaṃ na	aham BavantaH pratyakza-darSI kasmAt na-aBiSraddaDAsye {MS: kaTam na
   śraddhāsye} / te gāthāṃ bhāṣante /	SradDA-Asye} / te gATAm BAzante /
   ākrośakā roṣakā vayaṃ matsariṇaḥ kuṭukuñcakā vayam* /	AkroSakAH rozakAH vayam matsariNaH kuwu-kuQcakAH vayam* /
   dānañ ca dattam aṇv api tena vayaṃ pretalokam āgatāḥ //	dAnan ca dattam aNu api tena vayam preta-lokam AgatAH //
   śroṇa gaccha puṇyamaheśākhyas tvam* {MS: puṇyakāmāṃ tvam} / asti kaścit	SroNa gacCa puNya-maheSa-AKyaH tvam* {MS: puNya-kAmAm tvam} / asti kaScid-
   tvayā dṛṣṭaḥ pretanagaraṃ praviṣṭaḥ svastikṣemābhyāṃ jīvan nirgacchan*	tvayA dRzwaH preta-nagaram pravizwaH svasti-kzemAByAm jIvan nirgacCan*
   {MS: nagaraṃ praviśya jīvan gacchati} / sa saṃprasthitaḥ / yāvat tenāsau	{MS: nagaram praviSya jIvan gacCati} / sa saMprasTitaH / yAvat tena-asO
   puruṣo dṛṣṭaḥ / sa tenoktaḥ / bhadramukha aho bata tvayā mamārocitaṃ syād	puruzaH dRzwaH / sa tena-uktaH / Badra-muKa aho bata tvayA mama-Arocitam syAt-
   yathedaṃ pretanagaram iti nāham atra praviṣṭaḥ syām* / sa tenoktaḥ / śroṇa	yaTA-idam preta-nagaram iti na-aham atra pravizwaH syAm* / sa tena-uktaH / SroNa
   gaccha puṇyamaheśākhyas tvam* / yena tvaṃ pretanagaraṃ praviśya	gacCa puNya-maheSa-AKyaH tvam* / yena tvam preta-nagaram praviSya
   svastikṣemābhyāṃ nirgataḥ /	svasti-kzemAByAm nirgataH /
   sa saṃprasthito yāvad aparaṃ paśyaty āyasaṃ nagaram uccaṃ ca pragṛhītaṃ ca	sa saMprasTitaH yAvat aparam paSyati Ayasam nagaram uccam ca pragRhItam ca
   / tatrāpi dvāre puruṣas tiṣṭhati kālaś caṇḍo lohitākṣa udbaddhapiṇḍo	/ tatra-api dvAre puruzaH tizWati kAlaH caNxaH lohita-akzaH udbadDa-piNxaH-
   lohalaguḍavyagrahastaḥ / sa tasya sakāśam upasaṃkrāntaḥ / upasaṃkramyaivam	loha-laguxa-vyagra-hastaH / sa tasya sakASam upasaMkrAntaH / upasaMkramya-evam
   āha / bhoḥ puruṣa asty atra nagare pānīyam* / sa tūṣṇīm avasthitaḥ /	Aha / BoH puruza asti atra nagare pAnIyam* / sa tUzNIm avasTitaH /
   bhūyas tena pṛṣṭaḥ / bhoḥ puruṣa asty atra nagare pānīyam* / sa tūṣṇīm	BUyas tena pRzwaH / BoH puruza asti atra nagare pAnIyam* / sa tUzNIm
   avasthitaḥ / tena tatra praviśya pānīyaṃ pānīyam iti śabdaḥ kṛtaḥ /	avasTitaH / tena tatra praviSya pAnIyam pAnIyam iti SabdaH kRtaH /
   anekaiḥ pretasahasrair dagdhasthūṇākṛtibhir (MSV IV 170) asthiyantravad	anekEH preta-sahasrEH dagDa-sTUNa-AkRtiBiH (MSV IV 170) asTi-yantra-vat-
   ucchritaiḥ svakeśaromapraticchannaiḥ parvatasannibhodaraiḥ	ucCritEH sva-keSa-roma-praticCannEH parvata-sanniBa-udarEH
   sūcīcchidropamamukhair anuparivāritaḥ / te kathayanti / (83r = GBM 6.748)	sUcI=-Cidra-upama-muKEH anuparivAritaH / te kaTayanti / (83H  GBm 6.748)
   śroṇa kāruṇikas tvam asmākaṃ tṛṣārtānāṃ pānīyam anuprayaccha / sa	SroNa kAruNikaH tvam asmAkam tRzA-ArtAnAm pAnIyam anuprayacCa / sa
   kathayati / aham api bhavantaḥ pānīyam eva mṛgayāmi kuto 'haṃ yuṣmākaṃ	kaTayati / aham api BavantaH pAnIyam eva mRgayAmi kutas aham yuzmAkam
   pānīyaṃ dadāmīti / te kathayanti / śroṇa pretanagaram idaṃ kuto 'tra	pAnIyam dadAmi-iti / te kaTayanti / SroNa preta-nagaram idam kutas atra
   pānīyam* / adyāsmābhir dvādaśabhir varṣais tvatsakāśāt pānīyaṃ pānīyam iti	pAnIyam* / adya-asmABiH dvAdaSaBiH varzEH tvad-sakASAt pAnIyam pAnIyam iti
   śabdaḥ śrutaḥ / sa cāha / ke yūyaṃ bhavantaḥ kena vā karmaṇā ihopapannāḥ /	SabdaH SrutaH / sa ca-Aha / ke yUyam BavantaH kena vA karmaNA iha-upapannAH /
   ta ūcuḥ / śroṇa duṣkuhakā jambudvīpakā manuṣyā nābhiśraddadhāsyanti / sa	te UcuH / SroNa duzkuhakAH jambudvIpakAH manuzyAH na-aBiSraddaDAsyanti / sa
   cāha / ahaṃ bhavantaḥ pratyakṣadarśī kasmān nābhiśraddadhāsye / te gāthāṃ	ca-Aha / aham BavantaH pratyakza-darSI kasmAt na-aBiSraddaDAsye / te gATAm
   bhāṣante /	BAzante /
   ārogyamadena mattakā yauvanabhogamadena mattakāḥ /	Arogya-madena mattakAH yOvana-Boga-madena mattakAH /
   dānaṃ ca na dattam aṇv api yena vayaṃ pretalokam āgatāḥ //	dAnam ca na dattam aNu api yena vayam preta-lokam AgatAH //
   śroṇa gaccha puṇyakarmā tvam* / asti kaścit tvayā dṛṣṭaḥ śrutaḥ	SroNa gacCa puNya-karmA tvam* / asti kaScid tvayA dRzwaH SrutaH
   pretanagaraṃ praviśya svastikṣemābhyāṃ jīvan nirgacchan* / sa	preta-nagaram praviSya svasti-kzemAByAm jIvan nirgacCan* / sa
   saṃprasthitaḥ / yāvat tenāsau puruṣo dṛṣṭaḥ / sa tenoktaḥ / bhadramukha	saMprasTitaH / yAvat tena-asO puruzaH dRzwaH / sa tena-uktaH / Badra-muKa
   aho bata yadi tvayā mamārocitaṃ syād yathedaṃ pretanagaram iti naivāham	aho bata yadi tvayA mama-Arocitam syAt yaTA-idam preta-nagaram iti na-eva-aham
   atra praviṣṭaḥ syām* / sa kathayati / śroṇa gaccha puṇyamaheśākhyas tvam*	atra pravizwaH syAm* / sa kaTayati / SroNa gacCa puNya-maheSa-AKyaH tvam*
   / asti kaścit tvayā dṛṣṭaḥ śruto vā pretanagaraṃ praviśya svastikṣemābhyāṃ	/ asti kaScid tvayA dRzwaH SrutaH vA preta-nagaram praviSya svasti-kzemAByAm
   jīvan nirgacchan* /	jIvan nirgacCan* /
   (MSV IV 171)	(MSV IV 171)
   sa saṃprasthitaḥ / yāvat paśyati sūryasyāstaṃgamanakāle vimānaṃ catasro	sa saMprasTitaH / yAvat paSyati sUryasya-astaMgamana-kAle vimAnam catasraH-
   'psarasaḥ abhirūpāḥ prāsādikā darśanīyāḥ / ekaś ca puruṣo 'bhirūpo	apsarasaH aBirUpAH prAsAdikAH darSanIyAH / ekaH ca puruzaH aBirUpaH-
   darśanīyaḥ prāsādikaḥ aṅgadakuṇḍalavicitramālyābharaṇānulepanas tābhiḥ	darSanIyaH prAsAdikaH aFgada-kuNxala-vicitra-mAlya-ABaraNa-anulepanaH tABiH
   sārdhaṃ krīḍati ramate paricārayati / sa tair dūrata eva dṛṣṭaḥ / te taṃ	sArDam krIxati ramate paricArayati / sa tEH dUratas eva dRzwaH / te tam
   pratyavabhāṣitum ārabdhāḥ / svāgataṃ śroṇa māsi tṛṣito bubhukṣito vā / sa	pratyavaBAzitum ArabDAH / svAgatam SroNa mAsi tRzitaH buBukzitaH vA / sa
   saṃlakṣayati / nūnaṃ devo 'yaṃ vā nāgo vā yakṣo vā bhaviṣyati / āha ca /	saMlakzayati / nUnam devaH ayam vA nAgaH vA yakzaH vA Bavizyati / Aha ca /
   ārya tṛṣito 'smi bubhukṣito 'smi / sa taiḥ snāpito bhojitaḥ / sa tasmin	Arya tRzitaH asmi buBukzitaH asmi / sa tEH snApitaH BojitaH / sa tasmin
   vimāne tāvat sthito yāvat sūryasyābhyudgamanakālasamayaḥ / sa tair uktaḥ /	vimAne tAvat sTitaH yAvat sUryasya-aByudgamana-kAla-samayaH / sa tEH uktaH /
   śroṇa avatara ādīnavo 'tra bhaviṣyati / so 'vatīrya ekānte	SroNa avataraH AdInavaH atra Bavizyati / saH avatIrya ekAnte
   prakramyāvasthitaḥ / tataḥ paścāt sūryasyābhyudgamanakālasamaye tad	prakramya-avasTitaH / tatas paScAt sUryasya-aByudgamana-kAla-samaye tat-
   vimānam antarhitam* / tā apy apsaraso 'ntarhitāś catvāraḥ śyāmaśavalāḥ	vimAnam antarhitam* / tAH api apsarasaH antarhitAH catvAraH SyAma-SavalAH
   kukkurāḥ prādurbhūtāḥ / tais taṃ puruṣam avamūrdhakaṃ pātayitvā tāvat	kukkurAH prAdurBUtAH / tEH tam puruzam avamUrDakam pAtayitvA tAvat-
   pṛṣṭhavaṃśāny utpāṭyotpāṭya bhakṣitāni yāvat sūryasyāstaṃgamanakālasamayaḥ	pRzWa-vaMSAni utpAwya-utpAwya BakzitAni yAvat sUryasya-astaMgamana-kAla-samayaH
   / tataḥ paścāt punar api tad vimānaṃ prādurbhūtaṃ tā āpsarasaḥ	/ tatas paScAt punar api tat vimAnam prAdurBUtam tAH ApsarasaH
   prādurbhūtāḥ / sa ca puruṣo 'bhirūpo darśanīyaprāsādiko	prAdurBUtAH / sa ca puruzaH aBirUpaH darSanIya-prAsAdikaH-
   'ṅgadakuṇḍalavicitramālyābharaṇānulepanas tābhiḥ sārdhaṃ krīḍati ramate	aFgada-kuNxala-vicitra-mAlya-ABaraNa-anulepanaH tABiH sArDam krIxati ramate
   paricārayati / sa teṣāṃ sakāśam upasaṃkramya kathayati / ke yūyaṃ kena ca	paricArayati / sa tezAm sakASam upasaMkramya kaTayati / ke yUyam kena ca
   karmaṇā ihopapannāḥ / te procuḥ / śroṇa duṣkuhakā jambudvīpakā manuṣyā	karmaNA iha-upapannAH / te procuH / SroNa duzkuhakA jambudvIpakAH manuzyA
   nābhiśraddadhāsyanti / sa cāha / ahaṃ pratyakṣadarśī kathaṃ	na-aBiSraddaDAsyanti / sa ca-Aha / aham pratyakza-darSI kaTam
   nābhiśraddadhāsye / śroṇa ahaṃ vāsavagrāmake aurabhrikaḥ (MSV IV 172)	na-aBiSraddaDAsye / SroNa aham vAsavagrAmake OraBrikaH (MSV IV 172)
   āsīt* / urabhrān praghātya praghātya māṃsaṃ vikrīya vikrīya jīvikāṃ	AsIt* / uraBrAn praGAtya praGAtya mAMsam vikrIya vikrIya jIvikAm
   kalpayāmi / āryaś ca mahākātyāyano mamānukampayā āgatya kathayati /	kalpayAmi / AryaH ca mahAkAtyAyanaH mama-anukampayA Agatya kaTayati /
   bhadramukha aniṣṭo 'sya karmaṇaḥ phalavipākaḥ / virama tvam asmāt pāpakād	Badra-muKa anizwaH asya karmaNaH Pala-vipAkaH / virama tvam asmAt pApakAt-
   asaddharmāt* / nāhaṃ tasya vacanena viramāmi / bhūyo bhūyaḥ sa māṃ	asat-DarmAt* / na-aham tasya vacanena viramAmi / BUyas BUyas sa mAm
   vicchandayati / bhadramukāniṣṭo 'sya karmaṇaḥ phalavipākaḥ / virama tvam	vicCandayati / BadramukA-nizwaH asya karmaNaH Pala-vipAkaH / virama tvam
   asmāt pāpakād asaddharmāt* / tatrāpy ahaṃ na prativiramāmi / (83v = GBM	asmAt pApakAt asat-DarmAt* / tatra-api aham na prativiramAmi / (83u  GBm
   6.749) sa māṃ pṛcchati / bhadramukha kiṃ tvam etān urabhrān divā	6.749) sa mAm pRcCati / Badra-muKa kim tvam etAn uraBrAn divA
   praghātayasyāhosvid rātrau / mayoktaḥ / ārya divā praghātayāmīti / sa	praGAtayasya-Ahosvit rAtrO / mayA-uktaH / Arya divA praGAtayAmi-iti / sa
   kathayati / bhadramukha rātrau śīlasamādānaṃ kiṃ na gṛhṇāsi / mayā	kaTayati / Badra-muKa rAtrO SIla-samAdAnam kim na gRhNAsi / mayA
   tasyāntikād rātrau śīlasamādānaṃ gṛhītam* / yat tad rātrau śīlasamādānaṃ	tasya-antikAt rAtrO SIla-samAdAnam gRhItam* / yat tat rAtrO SIla-samAdAnam
   gṛhītaṃ tasya karmaṇo vipākena rātrāv evaṃvidhaṃ divyaṃ sukhaṃ	gRhItam tasya karmaNaH vipAkena rAtrO evaMviDam divyam suKam
   pratyanubhavāmi / yan maya divā urabhrāḥ praghātitās tasya karmaṇo	pratyanuBavAmi / yat maya divA uraBrAH praGAtitAH tasya karmaNaH-
   vipākena divā evaṃvidhaṃ duḥkhaṃ pratyanubhavāmi / gāthāṃ ca bhāṣate /	vipAkena divA evaMviDam duHKam pratyanuBavAmi / gATAm ca BAzate /
   divasaṃ paraprāṇapīḍako rātrau śīlaguṇaiḥ samanvitaḥ /	divasam para-prANa-pIxakaH rAtrO SIla-guNEH samanvitaH /
   tasyaitat karmaṇaḥ phalaṃ hy anubhavāmi kalyāṇapāpakam* //	tasya-etat karmaNaH Palam hi anuBavAmi kalyANa-pApa-kam* //
   śroṇa gamiṣyasi tvaṃ vāsavagrāmakam* / gamiṣyāmi / tatra mama putraḥ	SroNa gamizyasi tvam vAsavagrAmakam* / gamizyAmi / tatra mama putraH
   prativasati / sa urabhrān praghātya praghātya jīvikaṃ kalpayati / sa tvayā	prativasati / saH uraBrAn praGAtya praGAtya jIvikam kalpayati / sa tvayA
   vaktavyaḥ dṛṣṭas te mayā pitā / sa kathayati / aniṣṭo 'sya karmaṇaḥ	vaktavyaH dRzwaH te mayA pitA / sa kaTayati / anizwaH asya karmaNaH
   phalavipāko viramāsmāt (MSV IV 173) pāpakād asaddharmāt* / bhoḥ puruṣa yat	Pala-vipAkaH virama-asmAt (MSV IV 173) pApakAt asat-Darma-at* / BoH puruza yat-
   tvam evaṃ kathayasi duṣkuhakā jambudvīpakā manuṣyā iti /	tvam evam kaTayasi duzkuhakAH jambudvIpakAH manuzyAH iti /
   nābhiśraddadhāsyati / śroṇa yadi na śraddadhāsyati vaktavyas tava pitā	na-aBiSraddaDAsyati / SroNa yadi na SraddaDAsyati vaktavyaH tava pitA
   kathayati asisthānādhastāt {MS: pitro 'sya sūnāyām adhastāt} suvarṇasya	kaTayati asi-sTAna-aDastAt {MS: pitraH asya sUnAyAm aDas-tAt} suvarNasya
   kalaśaḥ pūrayitvā sthāpitaḥ / tam uddhṛtyātmānaṃ samyaksukhena prīṇaya	kalaSaH pUrayitvA sTApitaH / tam udDRtya-AtmAnam samyak-suKena prINaya
   āryaṃ ca mahākātyāyanaṃ kālena kālaṃ piṇḍakena pratipādayāsmākaṃ ca nāmnā	Aryam ca mahAkAtyAyanam kAlena kAlam piNxakena pratipAdayA-asmAkam ca nAmnA
   dakṣiṇām ādeśaya / apy evaitat karma tanutvaṃ parikṣayaṃ paryādānaṃ	dakziNAm AdeSaya / api eva-etat karma tanu-tvam parikzayam paryAdAnam
   gacchet /	gacCet /
   sa saṃprasthitaḥ / yāvat sūryasyābhyudgamanakālasamaye paśyaty aparaṃ	sa saMprasTitaH / yAvat sUryasya-aByudgamana-kAla-samaye paSyati aparam
   vimānaṃ* / tatra ekā apsarā abhirūpā darśanīyā prāsādikā / ekaś ca puruṣo	vimAnaM* / tatra ekA apsarAH aBirUpA darSanIyA prAsAdikA / ekaH ca puruzaH-
   'bhirūpo darśanīyaḥ prāsādikaḥ aṅgadakuṇḍalavicitramālyābharaṇānulepanas	aBirUpaH darSanIyaH prAsAdikaH aFgada-kuNxala-vicitra-mAlya-ABaraNa-anulepana-s
   tayā sārdhaṃ krīḍati ramate paricārayati / sa taṃ dūrata eva dṛṣṭvā	tayA sArDam krIxati ramate paricArayati / sa tam dUratas eva dRzwvA
   pratyavabhāṣitum ārabdhaḥ / svāgataṃ śroṇa mā tṛṣito 'si mā bubhukṣito 'si	pratyavaBAzitum ArabDaH / svAgatam SroNa mA tRzitaH asi mA buBukzitaH asi
   vā / sa saṃlakṣayati / nūnam ayaṃ devo vā nāgo vā yakṣo vā bhaviṣyati / sa	vA / sa saMlakzayati / nUnam ayam devaH vA nAgaH vA yakzaH vA Bavizyati / sa
   kathayati / tṛṣito 'smi bubhukṣitaś ca / sa tābhyāṃ snāpito bhojitaḥ / sa	kaTayati / tRzitaH asmi buBukzitaH ca / sa tAByAm snApitaH BojitaH / sa
   tasmin vimāne tāvat sthitaḥ yāvat suryasyāstaṃgamanakālasamayaḥ / sa	tasmin vimAne tAvat sTitaH yAvat suryasya-astaMgamana-kAla-samayaH / sa
   tābhyām uktaḥ / śroṇa avatarasvādīnavo 'tra bhaviṣyati / sa dṛṣṭādīnavo	tAByAm uktaH / SroNa avatarasvAdInavaH atra Bavizyati / sa dRzwa-AdInavaH-
   'vatīrya ekānte 'vasthitaḥ / tataḥ paścāt sūryasyāstaṃgamanakālasamaye{MS:	avatIrya ekAnte avasTitaH / tatas paScAt sUryasya-astaMgamana-kAla-samaye{MS:
   sūryasyāvataraṇakālasamaye} tad vimānam antarhitam* / sāpy apsarā (MSV IV	sUryasya-avataraNa-kAla-samaye} tat vimAnam antarhitam* / sA-api apsarAH (MSV IV
   174) antarhitā / mahatī śatapadī prādurbhūtā / tayā tasya puruṣasya kāyena	174) antarhitA / mahatI SatapadI prAdurBUtA / tayA tasya puruzasya kAyena
   kāyaṃ saptakṛtvo veṣṭayitvā tāvad uparimastakaṃ bhakṣitaṃ yāvat sa eva	kAyam sapta-kRtvas vezwayitvA tAvat upari-mastakam Bakzitam yAvat saH eva
   sūryasyābhyudgamanakālasamayaḥ / tataḥ paścāt punar api tad vimānaṃ	sUryasya-aByudgamana-kAla-samayaH / tatas paScAt punar api tat vimAnam
   prādurbhūtam* / sāpy apsarā prādurbhūtā / sa ca puruṣo 'bhirūpo darśanīyaḥ	prAdurBUtam* / sA-api apsarA prAdurBUtA / sa ca puruzaH aBirUpaH darSanIyaH
   prāsādikaḥ aṅgadakuṇḍalavicitramālyābharaṇānulepanas tayā sārdhaṃ krīḍati	prAsAdikaH aFgada-kuNxala-vicitra-mAlya-ABaraNa-anulepanaH tayA sArDam krIxati
   ramate paricārayati / sa tam upasaṃkramya pṛcchati / ko bhavān kena	ramate paricArayati / sa tam upasaMkramya pRcCati / kaH BavAn kena
   karmaṇā ihopapannāḥ / sa evam āha / śroṇa duṣkuhakā jambudvīpakā manuṣyā	karmaNA iha-upapannAH / saH evam Aha / SroNa duzkuhakA jambudvIpakAH manuzyA
   nābhiśraddadhāsyanti / sa kathayati / ahaṃ pratyakṣadarśī kasmān	na-aBiSraddaDAsyanti / sa kaTayati / aham pratyakza-darSI kasmAn
   nābhiśraddadhāsye / sa kathayati / ahaṃ vāsavagrāmake brāhmaṇa āsīt*	na-aBiSraddaDAsye / sa kaTayati / aham vAsavagrAmake brAhmaNaH AsIt-*
   pāradārikaḥ / āryaś ca mahākātyāyano mamānukampayāgatya kathayati /	pAradArikaH / AryaH ca mahAkAtyAyanaH mama-anukampayA-Agatya kaTayati /
   bhadramukhāniṣṭo 'sya karmaṇaḥ phalavipāko virama tvam asmāt pāpakād	Badra-muKa-anizwaH asya karmaNaH Pala-vipAkaH virama tvam asmAt pApakAt-
   asaddharmāt* / tasya vacanenāhaṃ na prativiramāmi / bhūyo bhūyaḥ sa māṃ	asat-DarmAt* / tasya vacanena-aham na prativiramAmi / BUyas BUyas sa mAm
   vicchandayati / bhadramuka aniṣṭo 'sya karmaṇaḥ phalavipākaḥ (84r = GBM	vicCandayati / Badra-muka anizwaH asya karmaNaH Pala-vipAkaH (84H  GBm
   6.750) / viramāsmāt pāpakād asaddharmāt* / tathāpy ahaṃ tasmāt pāpakād	6.750) / virama-asmAt pApakAt asat-Darma-at* / taTA-api aham tasmAt pApakAt-
   asaddharmān na prativiramāmi / sa māṃ pṛcchati / bhadramukha paradārān kiṃ	asat-DarmAn na prativiramAmi / sa mAm pRcCati / Badra-muKa para-dArAn kim
   tvaṃ divā gacchasyāhosvid rātrau / sa mayā abhihitaḥ / ārya rātrau / sa	tvam divA gacCasi-Ahosvit rAtrO / sa mayA aBihitaH / Arya rAtrO / sa
   kathayati / bhadramukha divā kiṃ na śīlasamādānaṃ gṛhṇāsi / mayā	kaTayati / Badra-muKa divA kim na SIla-samAdAnam gRhNAsi / mayA
   tasyāntikād divā śīlasamādānaṃ (MSV IV 175) gṛhītam* / yat tan mayāryasya	tasya-antikAt divA SIla-samAdAnam (MSV IV 175) gRhItam* / yat tat mayA-Aryasya
   mahākātyāyanasyāntikād divā śīlasamādānaṃ gṛhītaṃ tasya karmaṇo vipākena	mahAkAtyAyanasya-antikAt divA SIla-samAdAnam gRhItam tasya karmaNaH vipAkena
   divā evaṃvidhaṃ divyaṃ sukhaṃ pratyanubhavāmi / yat tad rātrau	divA evaMviDam divyam suKam pratyanuBavAmi / yat tat rAtrO
   paradārābhigamanaṃ kṛtaṃ tasya karmaṇo vipākena rātrāv evaṃvidhaṃ duḥkhaṃ	para-dAra-aBigamanam kRtam tasya karmaNaH vipAkena rAtrO evaMviDam duHKam
   pratyanubhavāmi / gāthāṃ ca bhāṣate /	pratyanuBavAmi / gATAm ca BAzate /
   rātrau paradāramūrcchito divasaṃ śīlaguṇaiḥ samanvitaḥ /	rAtrO para-dAra-mUrcCitaH divasam SIla-guNEH samanvitaH /
   tasyaitat karmaṇaḥ phalaṃ hy anubhavāmi kalyāṇapāpakam* //	tasya-etat karmaNaH Palam hi anuBavAmi kalyANa-pApa-kam* //
   śroṇa gamiṣyasi tvaṃ vāsavagrāmakam* / tatra mama putro brāhmaṇaḥ	SroNa gamizyasi tvam vAsavagrAmakam* / tatra mama putraH brAhmaNaH
   pāradārikaḥ / sa vaktavyaḥ / dṛṣṭas te mayā pitā / sa kathayati aniṣṭo	pAradArikaH / sa vaktavyaH / dRzwaH te mayA pitA / sa kaTayati anizwaH-
   'sya karmaṇaḥ phalavipāko viramāsmāt pāpakād asaddharmāt* / sa cāha / bhoḥ	asya karmaNaH Pala-vipAkaH virama-asmAt pApakAt asat-DarmAt* / sa ca-Aha / BoH
   puruṣa tvam evaṃ kathayasi / duṣkuhakā jambudvīpakā manuṣyā iti /	puruza tvam evam kaTayasi / duzkuhakAH jambudvIpakAH manuzyAH iti /
   nābhiśraddadhāsyati / śroṇa yadi na śraddadhāsyati vaktavyaḥ tava	na-aBiSraddaDAsyati / SroNa yadi na SraddaDAsyati vaktavyaH tava
   pitrāgniṣṭomasyādhastāt suvarṇakalaśaḥ pūrayitvā sthāpitaḥ / tam	pitrA-agnizwomasya-aDastAt suvarNa-kalaSaH pUrayitvA sTApitaH / tam
   uddhṛtyātmānaṃ samyaksukhena prīṇaya āryaṃ ca mahākātyāyanaṃ kālena kālaṃ	udDRtya-AtmAnam samyak-suKena prINaya Aryam ca mahAkAtyAyanam kAlena kAlam
   piṇḍakena pratipādaya asmākaṃ ca nāmnā dakṣiṇām ādeśaya / apy evaitat	piNxakena pratipAdaya asmAkam ca nAmnA dakziNAm AdeSaya / api eva-etat-
   karma tanutvaṃ parikṣayaṃ paryādānaṃ gacchet /	karma tanu-tvam parikzayam paryAdAnam gacCet /
   sa saṃprasthitaḥ / yāvat paśyati aparaṃ vimānam* / tatraikā strī abhirūpā	sa saMprasTitaH / yAvat paSyati aparam vimAnam* / tatra-ekA strI aBirUpA
   darśanīyā prāsādikā aṅgadakuṇḍalavicitramālyābharaṇānulepanā / tasyāś	darSanIyA prAsAdikA aFgada-kuNxala-vicitra-mAlya-ABaraNa-anulepanA / tasya-AS
   caturṣu paryaṅkapādakeṣu catvāraḥ pretā baddhās tiṣṭhanti / sā taṃ dūrata	caturzu paryaFka-pAdakezu catvAraH pretAH badDAH tizWanti / sA tam dUrata
   eva dṛṣṭvā pratyanubhāṣitum ārabdhā / śroṇa svāgataṃ mā (MSV IV 176)	eva dRzwvA pratyanuBAzitum ArabDAH / SroNa svAgatam mA (MSV IV 176)
