   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   svayaṃbhuve svāhā.	svayaMBuve svAhA.
   pūrvāyām ānanda diśāyāṃ dhṛtarāṣṭro nāma gandharvamahārājā prativasati,	pUrvAyAm Ananda diSAyAm DRtarAzwraH nAma ganDarva-mahA-rAjA prativasati,
   gandharvādhipatir anekagandharvaśatasahasraparivāro gandharvāṇām	ganDarva-aDipatiH aneka-ganDarva-Sata-sahasra-parivAraH ganDarvANAm
   ādhipatyaṃ kārayati. yaḥ pūrvāṃ diśaṃ rakṣati paripālayati, so 'pi	ADipatyam kArayati. yaH pUrvAm diSam rakzati paripAlayati, saH api
   saputraḥ sapautraḥ sabhrātā sāmātyaḥ sasenāpatiḥ sapreṣyaḥ sadūtaḥ	sa-putraH sa-pOtraH sa-BrAtA sa-amAtyaH sa-senApatiH sa-prezyaH sa-dUtaH
   sapravaraḥ sapārṣado 'nayā mahāmāyūryā (Mmvr Taku 16) vidyārājñyā svāter	sa-pravaraH sa-pArzadaH anayA mahA-mAyUryAH (MmvH Taku 16) vidyA-rAjQyA svAteH-
   bhikṣor mama sarvasatvānāṃ ca rakṣāṃ karotu, guptiṃ paritrāṇaṃ parigrahaṃ	BikzoH mama sarva-satvAnAm ca rakzAm karotu, guptim paritrANam parigraham
   paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ	paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam
   viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca karotu. jīvatu varṣaśataṃ	viza-nASanam sImAbanDam DaraNI-banDam ca karotu. jIvatu varza-Satam
   paśyatu śaradāśataṃ. tadyathā.	paSyatu SaradA-SataM. tat-yaTA.
   suru suru suru suru suru suru suru suru suru suru me svāhā.	suru suru suru suru suru suru suru suru suru suru me svAhA.
   dakṣiṇāyām ānanda diśāyāṃ virūḍhako nāma kumbhāṇḍamahārājā prativasati	dakziNAyAm Ananda diSAyAm virUXakaH nAma kumBa-aNxa-mahA-rAjA prativasati
   sma, kumbhāṇḍādhipatir anekakumbhāṇḍaśatasahasraparivāraḥ kumbhāṇḍānām	sma, kumBANxa-aDipatiH aneka-kumBa-aNxa-Sata-sahasra-parivAraH kumBANxAnAm
   ādhipatyaṃ kārayati. yo dakṣiṇāṃ diśaṃ rakṣati paripālayati, so 'pi	ADipatyam kArayati. yaH dakziNAm diSam rakzati paripAlayati, saH api
   saputraḥ sapautraḥ sabhrātā sāmātyaḥ sasenāpatiḥ sapreṣyaḥ sadūtaḥ	sa-putraH sa-pOtraH sa-BrAtA sa-amAtyaH sa-senApatiH sa-prezyaH sa-dUtaH
   sapravaraḥ sapārṣado 'nayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	sa-pravaraH sa-pArzadaH anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ karotu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm karotu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca karotu. jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca karotu. jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   veluke veluke amitraghātanī varuṇavati somavati veṇumālini veluni putrike	veluke veluke amitra-GAtanI varuNavati somavati veNumAlini veluni putrike
   co cū ci cū svāhā.	caH cU ci cU svAhA.
   paścimāyām ānanda diśāyāṃ virūpākṣo nāma nāgamahārājā prativasati,	paScimAyAm Ananda diSAyAm virUpAkzaH nAma nAga-mahA-rAjA prativasati,
   nāgādhipatir anekanāgaśatasahasraparivāro nāgānām ādhipatyaṃ kārayati. yaḥ	nAga-aDipatiH aneka-nAga-Sata-sahasra-parivAraH nAgAnAm ADipatyam kArayati. yaH
   paścimāṃ diśaṃ rakṣati paripālayati, so 'pi saputraḥ sapautraḥ sabhrātā	paScimAm diSam rakzati paripAlayati, saH api sa-putraH sa-pOtraH sa-BrAtA
   sāmātyaḥ sasenāpatiḥ sapreṣyaḥ sadūtaḥ sapravaraḥ sapārṣado 'nayā	sa-amAtyaH sa-senApatiH sa-prezyaH sa-dUtaH sa-pravaraH sa-pArzadaH anayA
   mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ	mahAmAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca rakzAm
   karotu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ	karotu, guptim paritrANam parigraham paripAlanam SAntim svastyayanam
   daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ (Mmvr Taku 17)	daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam (MmvH Taku 17)
   sīmābandhaṃ dharaṇībandhaṃ ca karotu. jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca karotu. jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   veduri veduri veduri veduri, maṭṭite maṭṭite, koṭi koṭi, vidyumati, hu hu	veduri veduri veduri veduri, mawwite mawwite, kowi kowi, vidyumati, hu hu
   hu hu hu hu hu hu, cu cu cu cu cu cu cu cu, ru ru ru ru ru ru ru ru, ca ca	hu hu hu hu hu hu, cu cu cu cu cu cu cu cu, ru ru ru ru ru ru ru ru, ca ca
   ca ca ca ca ca ca, sa svāhā.	ca ca ca ca ca ca, sa svAhA.
   uttarāyām ānanda diśāyāṃ vaiśramaṇo nāma yakṣamahārājā prativasati,	uttarAyAm Ananda diSAyAm vESramaNaH nAma yakza-mahA-rAjA prativasati,
   yakṣādhipatir anekayakṣaśatasahasraparivāro yakṣāṇām ādhipatyaṃ kārayati.	yakza-aDipatiH aneka-yakza-Sata-sahasra-parivAraH yakzANAm ADipatyam kArayati.
   ya uttarāṃ diśaṃ rakṣati paripālayati, so 'pi saputraḥ sapautraḥ sabhrātā	yaH uttarAm diSam rakzati paripAlayati, saH api sa-putraH sa-pOtraH sa-BrAtA
   sāmātyaḥ sasenāpatiḥ sapreṣyaḥ sadūtaḥ sapravaraḥ sapārṣado 'nayā	sa-amAtyaH sa-senApatiH sa-prezyaH sa-dUtaH sa-pravaraH sa-pArzadaH anayA
   mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ	mahAmAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca rakzAm
   karotu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ	karotu, guptim paritrANam parigraham paripAlanam SAntim svastyayanam
   daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ	daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam
   dharaṇībandhaṃ ca karotu. jīvatu varṣaśataṃ paśyatu śaradāśataṃ. tadyathā.	DaraNI-banDam ca karotu. jIvatu varza-Satam paSyatu SaradA-SataM. tat-yaTA.
   sori sori, siri siri, mati mati, hiri hiri, mati pele mati pele, piṃgale	sori sori, siri siri, mati mati, hiri hiri, mati pele mati pele, piMgale
   curu curu, hataṃ viṣaṃ, bandhumati, nihataṃ viṣaṃ bandhumati svāhā.	curu curu, hatam vizaM, banDumati, nihatam vizam banDumati svAhA.
   pūrveṇa dhṛtarāṣṭras tu dakṣiṇena virūḍhakaḥ,	pUrveNa DRtarAzwraH tu dakziNena virUXakaH,
   paścimena virūpākṣaḥ kuberaś cottarādiśaṃ.	paScimena virUpAkzaH kuberaH ca-uttara-Adi-SaM.
   catvāra ete mahārājā lokapālā yaśasvinaḥ,	catvAraH ete mahA-rAjAH lokapAlAH yaSasvinaH,
   diśaś catasraḥ paripālayanti mahāsainyā mahābalāḥ.	diSaH catasraH paripAlayanti mahA-sEnyAH mahA-balAH.
   paracakrapramathanāḥ durdharṣā cāparājitāḥ,	para-cakra-pramaTanAH durDarzA ca-aparAjitAH,
   ṛddhimanto dyutimanto varṇavanto yaśasvinaḥ,	RdDimantaH dyutimantaH varNavantaH yaSasvinaH,
   devāsuram api saṃgrāmam anubhavanti maharddhikāḥ.	deva-asuram api saMgrAmam anuBavanti mahardDikAH.
   (Mmvr Taku 18)	(MmvH Taku 18)
   te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   ele mele, kile tile, mile śile, vāse, duṃbe duṃbe, varṣatu devaḥ samantena	ele mele, kile tile, mile Sile, vAse, duMbe duMbe, varzatu devaH samantena
   hili mili tuṃbe tuṃbe, aṭṭa vaṭṭa paradu vattā varṣatu devo guḍa guḍantu	hili mili tuMbe tuMbe, awwa vawwa para-du vattA varzatu devaH guxa guxantu
   samantenāḍakovatyāṃ, aṇḍe maṇḍe tunde tutunde curke vukke, iriḍi miriḍi	samantena-axakovatyAn, aNxe maNxe tunde tutunde curke vukke, irixi mirixi
   niriḍi ciriḍi, hili hili, hulu hulu, mili mili, tule tatale svāhā.	nirixi cirixi, hili hili, hulu hulu, mili mili, tule tatale svAhA.
   udgṛhṇa tvam ānanda mahāyakṣasenāpatīnāṃ nāmāni ye dharaṇyāṃ prativasanti.	udgRhNa tvam Ananda mahA-yakza-senApatInAm nAmAni ye DaraNyAm prativasanti.
   jeṣṭhaputraḥ kuberasya saṃjayo naravāhanaḥ.	jezWa-putraH kuberasya saMjayaH naravAhanaH.
   mithilāyāṃ prativasati devasatyopayācakaḥ.	miTilAyAm prativasati deva-satya-upayAcakaH.
   so 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	saH api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ karotu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm karotu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca karotu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca karotu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   bale balkale, mātaṃgi caṇḍali puruṣa, nici nici nigauri gandhāre, caṇḍāli	bale balkale, mAtaMgi caNxali puruza, nici nici nigOri ganDAre, caNxAli
   mātaṃgi, mālini hili hili, āgati gati, gauri gandhāri kauṣṭhikā vacari	mAtaMgi, mAlini hili hili, Agati gati, gOri ganDAri kOzWikA vacari
   vihāri, hili hili, kuṃje svāhā.	vihAri, hili hili, kuMje svAhA.
   krakucchandaḥ pāṭaliputre ṣṭhalāyāṃ cāparājitaḥ,	krakucCandaH pAwaliputre zWalAyAm ca-aparAjitaH,
   śailo bhadrapure yakṣa uttarāyāṃ ca mānavaḥ.	SElaH Badrapure yakzaH uttarAyAm ca mAnavaH.
   vajrapāṇi rājagṛhe gṛdhrakūṭe kṛtālaye,	vajrapANi rAjagRhe gRDrakUwe kRta-Alaye,
   trikṛtvo anuparyanti sāgarān tāṃ vasuṃdharāṃ,	tri-kRtvas anuparyanti sAgarAn tAm vasuMDarAM,
   mahābalo mahātejā daśayojanavikramaḥ.	mahA-balaH mahA-tejAH daSa-yojana-vikramaH.
   (Mmvr Taku 19)	(MmvH Taku 19)
   garuḍo vipule yakṣaḥ citraguptaś citīmukhe,	garuxaH vipule yakzaH citraguptaH citI-muKe,
   rājagṛhe vakkulo yakṣo mahāsainyo mahābalaḥ.	rAja-gRhe vakkulaH yakzaH mahA-sEnyaH mahA-balaH.
   kālopakālakau yakṣau vasathaḥ kapilavastuni,	kAla-upakAlakO yakzO vasaTaH kapila-vastuni,
   yatra jāto muni buddhaḥ śākyaketur mahāmuniḥ.	yatra jAtaH muni budDaH SAkyaketuH mahA-muniH.
   kalmāṣapādo vairāyāṃ kirāteṣu maheśvaraḥ,	kalmAzapAdaH vErAyAm kirAtezu maheSvaraH,
   bṛhaspatiś ca śrāvastyāṃ sākete sāgaro vaset.	bRhaspatiH ca SrAvastyAm sAkete sAgaraH vaset-.
   vajrayudhaś ca vaiśālyāṃ malleṣu haripiṅgalaḥ,	vajrayuDaH ca vESAlyAm mallezu hari-piFgalaH,
   vārāṇasyāṃ mahākālaś caṃpāyāṃ ca sudarśanaḥ.	vArANasyAm mahAkAlaH caMpAyAm ca sudarSanaH.
   viṣṇur yakṣo dvārakāyāṃ dharaṇo dvārapāliyāṃ,	vizNuH yakzaH dvArakAyAm DaraNaH dvArapAliyAM,
   vibhūṣanas tāmraparṇyāṃ uragāyāṃ ca mardanaḥ.	viBUzanaH tAmraparNyAm uragAyAm ca mardanaH.
   āṭavyāṃ āṭavako yakṣaḥ kapilo bahudhanyake,	AwavyAm AwavakaH yakzaH kapilaH bahu-Danyake,
   ujjayanyāṃ vasutrāto vasubhūmir avantiṣu.	ujjayanyAm vasutrAtaH vasu-BUmiH avantizu.
   bharuko bharukaccheṣu nando nandapure sthitaḥ,	BarukaH Baru-kacCezu nandaH nandapure sTitaH,
   agrodake mālyadhara ānando 'maraparvate.	agra-udake mAlya-DaraH AnandaH amara-parvate.
   śukladaṃṣṭraḥ suvāstuṣu dṛḍhanāmā manasviṣu,	Sukla-daMzwraH suvAstuzu dRXa-nAmA manasvizu,
   mahāgirir girinagare vāsavo vaidiśe vaśet.	mahA-giriH giri-nagare vAsavaH vEdiSe vaSet-.
   rohitake kārttikeyaḥ kumāro lokaviśrutaḥ,	rohitake kArttikeyaH kumAraH loka-viSrutaH,
   varṇabhaṭe śatabāhuḥ kaliṃgeṣu vṛhadratha.	varNa-Bawe SatabAhuH kaliMgezu vRhadraTa.
   duryodhanaś ca śrughneṣu arjunaś cārjunavane,	duryoDanaH ca SruGnezu arjunaH ca-arjuna-vane,
   mardane maṇḍapo yakṣo girikūṭaś ca mālave.	mardane maNxapaH yakzaH girikUwaH ca mAlave.
   bhadraś ca rohitāśveṣu sarvabhadraś ca sāgare,	BadraH ca rohita-aSvezu sarvaBadraH ca sAgare,
   sanṭīrake pālitakaḥ sārthavāho dhaneśvare.	sanwIrake pAlitakaH sArTavAhaH DaneSvare.
   ajitaṃjaye kūṭadaṃṣṭro vasubhadro vasātiṣu,	ajitaMjaye kUwadaMzwraH vasuBadraH vasA-atizu,
   (Mmvr Taku 20)	(MmvH Taku 20)
   śivaḥ śivapurādhāne śivabhadraś ca bhīṣaṇe.	SivaH Siva-pura-ADAne SivaBadraH ca BIzaNe.
   indraś cendrapure yakṣaḥ puṣpaketuḥ śilāpure,	indraH ca-indra-pure yakzaH puzpaketuH SilApure,
   dāruko dārukapure kapilo vasati varṇiṣu.	dArukaH dArukapure kapilaH vasati varNizu.
   maṇibhadro brahmavatyāṃ pūrṇabhadraś ca brātarau,	maNiBadraH brahmavatyAm pUrNaBadraH ca brAtarO,
   pramardanaś ca gāndhāre takṣaśilāyāṃ prabhañjanaḥ.	pramardanaH ca gAnDAre takzaSilAyAm praBaQjanaH.
   kharopoṣṭa mahāyakṣo daśaśailanivāsikaḥ,	Kara-upozwa mahA-yakzaH daSa-SEla-nivAsikaH,
   trigupto hanumatīre rauruke ca prabhaṃkaraḥ.	tri-guptaH hanuma-tIre rOruke ca praBaMkaraH.
   nandī ca vardhanaś caiva nagare nandivardhane,	nandI ca varDanaH ca-eva nagare nandivarDane,
   vāyiro vāyibhūmīye laṃpāke kalahapriyaḥ.	vAyiraH vAyiBUmIye laMpAke kalaha-priyaH.
   mathulāyāṃ gardabhako laṃkāyāṃ kolaśodaraḥ,	maTulAyAm gardaBakaH laMkAyAm kolaSodaraH,
   śūnye sūryaprabho yakṣo girimuṇḍaś ca kośale.	SUnye sUrya-praBaH yakzaH girimuNxaH ca koSale.
   vijayo vaijayantaś ca vasataḥ pāṇḍamāthure,	vijayaH vEjayantaH ca vasataH pANxamATure,
   malaye pūrṇako yakṣaḥ keraleṣu ca kinnaraḥ.	malaye pUrNakaH yakzaH keralezu ca kinnaraH.
   pauṇḍeṣu meghamāli pratiṣṭhāne khaṇḍakaḥ,	pONxezu meGa-mAli pratizWAne KaNxakaH,
   pitaṃgaleṣu śaṃkālī taraṃgavatyāṃ sukhāvahaḥ.	pitaMgalezu SaMkAlI taraMgavatyAm suKa-AvahaH.
   nāsike sundaro yakṣa āsaṃgo tarukacchake,	nAsike sundaraH yakzaH AsaMgaH tarukacCake,
   nandike ca pitānandī vīraś ca karahāṭake.	nandike ca pitA-AnandI vIraH ca karahAwake.
   lambodaraḥ kaliṃgeṣu kauśalyāyāṃ mahābhujaḥ,	lambodaraH kaliMgezu kOSalyAyAm mahA-BujaH,
   svastikaḥ svastikaṭake vanavāsyāṃ ca pālakaḥ.	svastikaH svastikawake vanavAsyAm ca pAlakaH.
   taṭiskandhe bhadrakarṇaḥ ṣadapure dhanavaraḥ,	tawi-skanDe BadrakarNaH zada-pure Dana-varaH,
   vairāmake balo yakṣo avantyāṃ priyadarśanaḥ.	vErAmake balaH yakzaH avantyAm priya-darSanaH.
   gomardane śikhaṇḍī ca vaideśe cāṃgulipriyaḥ,	gomardane SiKaNxI ca vEdeSe ca-aMguli-priyaH,
   (Mmvr Taku 21)	(MmvH Taku 21)
   chatrākāre veṣṭitakas tripuryāṃ makaraṃdamaḥ.	Catra-AkAre vezwitakaH tripuryAm makaraMdamaH.
   ekakakṣe viśālākṣo aṇḍabhaś ca udumbare,	eka-kakze viSAlAkzaH aNxaBaH ca udumbare,
   anābhogaś ca vaiśālyāṃ śāntivatyāṃ virocanaḥ.	anABogaH ca vESAlyAm SAntivatyAm virocanaH.
   ahicchatre caritakaḥ kampilye kapilas tathā,	ahicCatre caritakaH kampilye kapilaH taTA,
   bakkulo ujjahānyāyāṃ maṇḍavyāṃ pūrṇakas tathā.	bakkulaH ujjahA-anyAyAm maNxavyAm pUrNakaH taTA.
   naigameśaś ca pāṃcālyāṃ prasabho gajasāhvaye,	nEgama-ISaH ca pAMcAlyAm prasaBaH gajasAhvaye,
   varuṇāyāṃ dṛḍhadhanuḥ yodheye ca puraṃjayaḥ.	varuNAyAm dRXaDanuH yoDeye ca puraMjayaH.
   kurukṣetre ca yakṣendrau tararkakurutararkau,	kurukzetre ca yakza-indrO tararka-kurutararkO,
   yakṣīkhyātā ca tatraiva mahollūkhalamekhalau.	yakzI-KyAtA ca tatra-eva mahA-ullUKala-meKalO.
   vyatipātanaḥ siddhārtha āyatīvānivāsinaḥ,	vyatipAtanaH sidDArTaH Ayati-iva-anivAsinaH,
   siddhapātras tathā śrughne sthalāyāṃ sthala eva ca.	sidDapAtraH taTA SruGne sTalAyAm sTalaH eva ca.
   yakṣau siṃhabalau yau tu siṃhavyāghrabalābalau,	yakzO siMha-balO yO tu siMha-vyAGra-bala-abalO,
   koṭivarṣemahāsenas tathā parapuraṃjaye.	kowi-varzemahAsenaH taTA parapuraMjaye.
   puṣpadantaś ca caṃpāyāṃ magadhaś ca giribraje,	puzpadantaH ca caMpAyAm magaDaH ca giribraje,
   goyoge parvato yakṣaḥ susenaś caiva nāgare.	go-yoge parvataH yakzaH susenaH ca-eva nAgare.
   vīrabāhuś ca sākete kākaṭyāṃ ca sukhāvahaḥ,	vIrabAhuH ca sAkete kAkawyAm ca suKa-AvahaH,
   kauśāmbyāṃ cāpy anāyaso bhadrikāyāṃ ca bhadrikaḥ.	kOSAmbyAm ca-api anAyasaH BadrikAyAm ca BadrikaH.
   yakṣaḥ pāṭaliputre ca nāmnā bhūtamukhas tathā,	yakzaH pAwaliputre ca nAmnA BUta-muKaH taTA,
   aśokaś caiva kāṃcīṣu ambaṣṭheṣu kaṭaṃkaṭaḥ.	aSokaH ca-eva kAMcIzu ambazWezu kawaMkawaH.
   bharukacche va siddhārtho mandakaś cājitaṃjaye,	BarukacCe va sidDArTaH mandakaH ca-ajitaMjaye,
   agrodake maṃjakeśaḥ saindhave maṇikānanaḥ.	agra-udake maMja-keSaH sEnDave maNika-AnanaH.
   vikaṭaṃkaṭāś ca ye yakṣā vasante kapilavastuni,	vikawaMkawAH ca ye yakzAH vasante kapila-vastuni,
   gāndhārake naikṛtiko dvārako nilayadhruve.	gAnDArake nEkRtikaH dvArakaH nilaya-Druve.
   (Mmvr Taku 22)	(MmvH Taku 22)
   yakṣo madhyamakīyaś ca saubhadriye mahāyaśe,	yakzaH maDyamakIyaH ca sOBadriye mahA-yaSe,
   vairāṭakaḥ sārapure jambhako marubhūmiṣu.	vErAwakaH sAra-pure jamBakaH maru-BUmizu.
   yakṣo vṛndakaṭe khyātaḥ tathā vikaṭa ity api,	yakzaH vRndakawe KyAtaH taTA vikawaH iti api,
   vemāniko devasarme daradeṣu ca mandaraḥ.	vemAnikaH deva-sarme daradezu ca mandaraH.
   prabhaṃkaraś ca kaśmīre campakas ca jaṭāpure,	praBaMkaraH ca kaSmIre campakaH ca jawA-pure,
   pāñcika iti nāmnā tu vasate siṃdhu siṃdhuṣu.	pAQcikaH iti nAmnA tu vasate siMDu siMDuzu.
   paṃcaputraśatā yasya mahāsainyā mahābalāḥ,	paMca-putra-SatAH yasya mahA-sEnyAH mahA-balAH,
   jeṣṭhaputraḥ pāñcikasya vasate cīnabhūmiṣu.	jezWa-putraH pAQcikasya vasate cIna-BUmizu.
   skandhākṣa iti nāmena sa bhrātā kauśike vaset,	skanDa-akzaH iti nAmena sa BrAtA kOSike vaset-,
   uṣṭrapādaḥ kaliṃgeṣu maṇḍalo maṇḍalāsane.	uzwra-pAdaH kaliMgezu maNxalaH maNxala-Asane.
   laṃkeśvaraś ca kāpiśyāṃ mārīcī rāmakāṃkṣiyāṃ,	laMkeSvaraH ca kApiSyAm mArIcI rAmaka-aMkziyAM,
   dharmapālaś ca khāśeṣu bahlyāñ caiva mahābhujaḥ.	DarmapAlaH ca KASezu bahlyAn ca-eva mahA-BujaH.
   jinarṣabho rājaputraḥ śrīmān vaiśramaṇātmajaḥ,	jina-RzaBaH rAja-putraH SrImAn vESramaNa-AtmajaH,
   yakṣakoṭīparivṛtas tukhāreṣu nivāsikaḥ.	yakza-kowI-parivRtaH tuKArezu nivAsikaH.
   sātāgirihaimavatau vasataḥ siṃdhusāgare,	sAtAgiH-ihEmavatO vasataH siMDu-sAgare,
   triśūlapāṇi tripure kaliṃgeṣu pramardanaḥ.	triSUla-pANi tripure kaliMgezu pramardanaH.
   pāñcālagaṇḍo dramiḍe siṃhaleṣu dhaneśvaraḥ,	pAQcAla-gaNxaH dramixe siMhalezu DaneSvaraH,
   śukāmukhaś cāṭavyāṃ pātāle kiṃkaro vaset.	SukAmuKaH ca-awavyAm pAtAle kiMkaraH vaset-.
   prabhāsvaraḥ puṇḍarīke samilaś ca mahāpure,	praBAsvaraH puNxarIke samilaH ca mahA-pure,
   prabhaṃjanaś ca daradeṣu piṅgalo 'mbulime vaset.	praBaMjanaH ca daradezu piFgalaH ambulime vaset-.
   vaccaḍo uaccaḍādhāne mātaliś caiva kāmade,	vat-caxaH uaccaxa-ADAne mAtaliH ca-eva kAma-de,
   (Mmvr Taku 23)	(MmvH Taku 23)
   putrīvaṭe suprabuddhaḥ kāpiśyāṃ narakuveraḥ.	putrIvawe suprabudDaH kApiSyAm nara-kuveraH.
   pārāsaraḥ pārateṣu śakasthāneṣu śaṃkaraḥ,	pArAsaraH pAratezu Saka-sTAnezu SaMkaraH,
   vemacitraś ca bāhlīke ketakeṣu ca piṅgalaḥ.	vema-citraH ca bAhlIke ketakezu ca piFgalaH.
   puṇḍavardhane pūrṇamukhaḥ karāḍaś coḍiyānake,	puNxa-varDane pUrNa-muKaH karAxaH coxiyAnake,
   kuṃbhodaraḥ kauśaleṣu maruṣu makaradhvajaḥ.	kuMBa-udaraH kOSalezu maruzu makaraDvajaH.
   citrasenaś ca vokkāne ramatheṣu ca rāvaṇaḥ,	citrasenaH ca vA-ukkAne ramaTezu ca rAvaNaH,
   piṃgalaś caiva rāśine patnīye priyadarśanaḥ.	piMgalaH ca-eva rASine patnIye priya-darSanaH.
   kumbhīrayakṣo rājagṛhe vipule 'smiṃ nivāsikaḥ,	kumBIra-yakzaH rAjagRhe vipule asmim nivAsikaH,
   bhūyaḥ śatasahasrāṇāṃ yakṣeṇa paryupāsyate.	BUyas Sata-sahasrANAm yakzeNa paryupAsyate.
   ahicchatrāyāṃ gopāla alako alakāpure,	ahicCatrAyAm gopAla alakaH alakA-pure,
   nandī va nandinagare grāmaghoṣe baliḥ sthitaḥ.	nandI va nandi-nagare grAma-Goze baliH sTitaH.
   devāvatāre vaiśramaṇaḥ svasainyaparipālakaḥ,	deva-avatAre vESramaNaH sva-sEnya-paripAlakaH,
   yakṣakoṭiparivṛto 'ḍakavatyāṃ nivāsikaḥ.	yakza-kowi-parivRtaH axakavatyAm nivAsikaH.
   ete maharddhikā yakṣāḥ mahāsainyā mahābalāḥ,	ete mahardDikAH yakzAH mahA-sEnyAH mahA-balAH,
   paracakrapramathanā durdharṣā aparājitāh.	para-cakra-pramaTanA durDarzAH aparAjitA-ah.
   ṛddhimanto dyutimanto varṇavanto yaśasvinaḥ,	RdDimantaH dyutimantaH varNavantaH yaSasvinaH,
   devāsuram api saṃgrāmam anubhavanti maharddhikāḥ.	deva-asuram api saMgrAmam anuBavanti mahardDikAH.
   te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   akaṭe vikaṭe hariṇi hāriṇi dharaṇi dhāraṇi, hukke hukke, vukke vukke, hana	akawe vikawe hariNi hAriNi DaraNi DAraNi, hukke hukke, vukke vukke, hana
   hana hana hana hana hana hana hana hana hana, amitrān mama sarvasatvānāṃ	hana hana hana hana hana hana hana hana hana, amitrAn mama sarva-satvAnAm
