   śrīrastu	SrIH astu
   kaściccodayati  cittamekam | kasmāt | yathoktaṃ sūtre  cittamidaṃ	kaScid codayati cittam ekam | kasmAt | yaToktam sUtre cittam idam
   dīrgharātraṃ kāmādibhirupakliṣṭamiti | yadi cittaṃ nānā, na sadopakliṣṭaṃ	dIrGarAtram kAma AdiBiH upaklizwam iti | yadi cittam nAnA, na sadA upaklizwam
   syāt | ratnahārasūtra uktam  yaścittaṃ sadā śraddhayā śīlena tyāgena	syAt | ratna hArasUtraH uktam yaH cittam sadA SradDayA SIlena tyAgena
   śrutena prajñayā ca bhāvayati sa mṛto deveṣūtpadyate iti | dhyānasūtre	Srutena prajQayA ca BAvayati sa mRtaH devezu utpadyate iti | DyAna sUtre
   coktam  prathamadhyānalābhī cittasya paridamanāya	ca uktam praTa maDyA ana lABI cittasya paridamanAya
   prathamadhyānādvitīyadhyānamupasampadya viharati | iti | cittavarge	praTama DyAna advitIya DyAnam upasampadya viharati | iti | citta varge
   coktam 	ca uktam 
   matsyo yathā sthale kṣipta [okamokata uddhṛtaḥ] |	matsyaH yaTA sTale kzipta [okamokataH udDRtaH] |
   parispandatīdaṃ cittaṃ māradheyaṃ prahāpayet || iti |	parispandati idam cittam mAraDeyam prahApayet || iti |
   ato jñāyate cittamekaṃ cañcalamitastato dhāvatīti | saṃyuktapiṭake ca	atas jQAyate cittam ekam caQcala m itas tatas DAvati iti | saMyukta piwake ca
   bhikṣurāha 	BikzuH Aha 
   markaṭaḥ pañcadvārāyāṃ kuṭikāyāṃ pasakkiya |	markawaH paQca dvArAyAm kuwikAyAm pasakkiyaH |
   dvāreṇānuparīyāti ghaṭayaṃśca muhurmuhuḥ |	dvAreNa anuparIyAti Gawayan= ca muhur muhur |
   (SSS_174)	(H SS_174)
   tiṣṭha markaṭa mā [dhāvī]rna hi te tat yathā purā |	tizWa markawa mA [DAvI]rna hi te tat yaTA purA |
   nigṛhīto 'si prajñayā neto dūraṃ [gamiṣyasī]ti ||	nigRhItaH asi prajQayA na itas dUram [gamizyasI]ti ||
   ato jñāyate  cittamekaṃ pañcendriyadvāreṣu kāyakuṭikāyāṃ paribhramati |	atas jQAyate cittam ekam paQca indriya dvArezu kAya kuwikAyAm pariBramati |
   saiva tatprakṛtiḥ | ata āha "mā [dhāvī]rna hi te tat yathāpurā" | iti |	sA eva tat prakRtiH | atas Aha "mA [DAvI]H na hi te tat yaTA purA" | iti |
   āha ca 	Aha ca 
   cittametatsarvakālaṃ yathā dinakaraprabhā |	cittam etat sarvakAlam yaTA dinakara praBA |
   prajñāvān damayatyeva yathā hastinamaṅkuśam || iti |	prajQAvAn damayati eva yaTA hastinam aFkuSam || iti |
   ato jñāyate cittamekamevālambaneṣvaṭatīti | kiñcātmābhāvāccittameva	atas jQAyate cittam ekam eva Alambanezu awati iti | kiQca Atma aBAvAt cittam eva
   karmakṛtsyāt | ekameva hi cittaṃ karmāṇyabhinirvṛttya punarvipākaṃ	karma kRt syAt | ekam eva hi cittam karmANi aBinirvRttya punar vipAkam
   vedayate | cittaṃ mriyate cittamutpadyate cittaṃ badhyate cittaṃ mucyate |	vedayate | cittam mriyate cittam utpadyate cittam baDyate cittam mucyate |
   pūrvānubhūtaṃ cittaṃ smarati | ato jñāyate cittamekamiti | cittamekaṃ sat	pUrva anuBUtam cittam smarati | atas jQAyate cittam ekam iti | cittam ekam sat 
   sañcinoti [vāsanām] | kṣaṇikasya cittasya nāsti sañcayabalam | bhagavataḥ	saQcinoti [vAsanAm] | kzaNikasya cittasya na asti saQcaya balam | BagavataH
   śāsane nāstyātmā | cittamekaṃ sat sattvalakṣaṇaṃ bhavati | yasya cittaṃ	SAsane na asti AtmA | cittam ekam sat sattva lakzaNam Bavati | yasya cittam
   bahu | na tasya sattbalakṣaṇaṃ bhavati | dakṣiṇena cakṣuṣā dṛṣṭvā vāmena	bahu | na tasya sattba lakzaNam Bavati | dakziNena cakzuzA dRzwvA vAmena
   vijānāti | nahyanyat paśyati anyadvijānāti | ato jñāyate |	vijAnAti | na hi anyat paSyati anya t vijAnAti | atas jQAyate |
   cittamekamātmanā paśyati ātmanā vijānāti iti |	cittam ekam AtmanA paSyati AtmanA vijAnAti iti |
   cittaikatvavarga ekonasaptatitamaḥ |	citta ekatva vargaH ekonasaptatitamaH |
   70 na cittabahutvavargaḥ	70 na citta bahutva vargaH
   yadyapyuktaṃ bhavatā  rūpādīnāṃ vijñānamanyaditi | na yuktamidam | kasmāt	yadi api uktam BavatA rUpa AdInAm vijQAnam anyat iti | na yuktam idam | kasmAt 
   | yadekaṃ cittaṃ tadeva rūpaśabdādigrahaṇarūpāṇi nānākarmāṇi karoti |	| yat ekam cittam tat eva rUpa Sabda Adi grahaNa rUpANi nAnA karmANi karoti |
   yathaikaḥ puruṣaḥ pañcachidrake gṛhe sthitaḥ tatra tatra gatān viṣayān	yaTA ekaH puruzaH paQca Cidrake gRhe sTitaH tatra tatra gatAn vizayAn
   gṛhṇāti | tadeva cittaṃ cakṣuṣi lagnamālokadipratyayamapekṣya rūpaṃ	gRhNAti | tat eva cittam cakzuzi lagnam Aloka dipratyayam apekzya rUpam
   paśyati | yathā sa eva puruṣa anyatra sahāyamapekṣya [aparaṃ] kāryaṃ	paSyati | yaTA saH eva puruza anyatra sahAyam apekzya [aparan] kAryam
   karoti | tasyaiva cittasya vijñeyaṃ vibhaktaṃ bhavati | yathā sa eva	karoti | tasya eva cittasya vijQeyam viBaktam Bavati | yaTA saH eva
   pūrvaṃ jñānī san paścādajñānī bhavati | evaṃ mithyājñānaṃ punaḥ samyak	pUrvam jQAnI san paScAt ajQAnI Bavati | evam miTyAjQAnam punar samyak 
   jñānaṃ bhavati | yathā sa eva puruṣaḥ pūrvaṃ viśuddhaḥ paścādaviśuddho	jQAnam Bavati | yaTA saH eva puruzaH pUrvam viSudDaH paScAt aviSudDaH 
   bhavati | evaṃ yat sandigdhaṃ jñānaṃ tadeva niścitaṃ jñānaṃ bhavati |	Bavati | evam yat sandigDam jQAnam tat eva niScitam jQAnam Bavati |
   yathā sa eva puruṣaḥ pūrvaṃ saṃśayitaḥ punarniścito bhavati | yadakuśalaṃ	yaTA saH eva puruzaH pUrvam saMSayitaH punar niScitaH Bavati | yat akuSalam
   cittaṃ tadeva punaḥ kuśalamavyākṛtañca bhavati | yathā sa eva puruṣaḥ	cittam tat eva punar kuSalam avyAkRtaQca Bavati | yaTA saH eva puruzaH
   kadācitkuśalaṃ smarati | kadācidakuśalaṃ kadācidavyākṛtañca smarati |	kadAcid kuSalam smarati | kadAcid akuSalam kadAcid avyAkRtaQca smarati |
   (SSS_175) tadeva cittamatītānāgāmīryāpathaprabhedañca karoti | yathā sa	(H SS_175) tat eva cittam atIta anAgAmIryApaTa praBedaQca karoti | yaTA sa
   eva puruṣo 'tītānāgatādau nāneryāpathān karoti | evaṃ viśuddhaṃ	eva puruzaH atIta anAgata AdO na anA IryApaTAn karoti | evam viSudDam
   cittamevāviśuddhaṃ bhavati | aviśuddhameva viśuddhaṃ bhavati | yathā sa	cittam eva aviSudDam Bavati | aviSudDam eva viSudDam Bavati | yaTA sa
   eva puruṣaḥ pūrvaṃ prasannaḥ paścādaprasanno bhavati | tadeva cittaṃ	eva puruzaH pUrvam prasannaH paScAt aprasannaH Bavati | tat eva cittam
   sukhasamprayuktaṃ paścādduḥkhasamprayuktaṃ bhavati | yathā sa eva puruṣaḥ	suKa samprayuktam paScAt duHKa samprayuktam Bavati | yaTA saH eva puruzaH
   pūrvamanyaṃ sukhayati paścātpunarduḥkhayati | ata ucyate cittamekaṃ	pUrvam anyam suKayati paScAt punar duHKayati | atas ucyate cittam ekam
   bahukarmaṇe prabhavatīti |	bahu karmaNe praBavati iti |
   yadavādīḥ  ekameva vijñānaṃ na ṣaḍvivaṣayān gṛhṇātīti | naikaṃ cittamiti |	yat avAdIH ekam eva vijQAnam na zaz vivazayAn gRhNAti iti | na ekam cittam iti |
   tadayuktam | mama tu indriyapravibhāgādvijñānaṃ pravibhajyate | yat	tat ayuktam | mama tu indriya praviBAgAt vijQAnam praviBajyate | yat 
   vijñānaṃ cakṣuṣi lagnaṃ tat rūpamātraṃ gṛhṇāti | nānyaviṣayān |	vijQAnam cakzuzi lagnam tat rUpa mAtram gRhNAti | na anya vizayAn |
   anyadapyevam | yadavocaḥ  grāhyabhedādgrāhakabheda iti | tadayuktam |	anyat api evam | yat avocaH grAhya BedAt grAhaka BedaH iti | tat ayuktam |
   cittadharmatā yadātmānaṃ vijānātīti | yathā pradīpa ātmānaṃ prakāśayati	citta DarmatA yadA AtmAnam vijAnAti iti | yaTA pradIpaH AtmAnam prakASayati
   anyānapi prakāśayati | yathā gaṇaka ātmānaṃ gaṇayati anyānapi gaṇayati |	anyAn api prakASayati | yaTA gaNakaH AtmAnam gaNayati anyAn api gaNayati |
   evamekameva cittamātmānaṃ vijānāti anyānapi vijānāti | bhavatokto	evam ekam eva cittam AtmAnam vijAnAti anyAn api vijAnAti | BavatA uktaH 
   markaṭadṛṣṭānto 'yuktaḥ | yathā markaṭaḥ śākhāṃ gṛhṇāti tāṃ muttkāparāṃ	markawa dRzwAntaH ayuktaH | yaTA markawaH SAKAm gRhNAti tAm muttka aparAm
   gṛhṇāti | tathā cittamapi ekamālambanaṃ gṛhṇāti | tadutsṛjyāparaṃ gṛhṇāti	gRhNAti | taTA cittam api ekam Alambanam gRhNAti | tad utsRjya aparam gRhNAti
   | ato 'nyaduktameva [yat] svayameva karmābhinirvartayati, svayameva	| atas anyat uktam eva [yat] svayam eva karma aBinirvartayati, svayam eva
   punarvipākaṃ vedayate iti saṃkṣipya pratyavocam | kasmāt | yadi	punar vipAkam vedayate iti saMkzipya pratyavocam | kasmAt | yadi
   cittamanyat, tadā anyatkaroti, anyadvedayate anyanmṛnmriyate anyajjāyata	cittam anyat, tadA anyat karoti, anyat vedayate anyat mRd mriyate anyat jAyata
   ityādayo doṣāḥ syuḥ | ato jñāyate cittamekamiti ||	ityAdayaH dozAH syuH | atas jQAyate cittam ekam iti ||
   na cittabahutvavargaḥ saptatitamaḥ |	na citta bahutva vargaH saptatitamaH |
   71 na cittaikatvavargaḥ	71 na citta eka tva vargaH
   atrocyate | yadabravīḥ  cittamekaṃ kāmādinā ciramupakliṣṭam iti |	atra ucyate | yat abravIH cittam ekam kAma AdinA ciram upaklizwam iti |
   tadayuktam |	tat ayuktam |
   santanyamānacittasyaikaṃ lakṣaṇaṃ dṛśyate | yathā vadanti sandhyāvāt eva	santanyamAna cittasya ekam lakzaNam dRSyate | yaTA vadanti sanDyAvAt eva
   prabhātavātaḥ | adyatananadyeva pūrvanadī | [adya] rājasabhāpradīpa eva	praBAta vAtaH | adyatana nadi eva pUrva nadI | [adya] rAja saBA pradIpaH eva
   hyastanapradīpa iti | yathā dantaḥ punarjāta ityucyate | vastutastu	hyastana pradIpaH iti | yaTA dantaH punar jAtaH iti ucyate | vastutas tu
   pūrvadanto na purnajātaḥ | lakṣaṇasāmyena jātaḥ punarjāta (SSS_176)	pUrva dantaH na purna jAtaH | lakzaNa sAmyena jAtaH punar jAtaH (H SS_176)
   ityucyate | evaṃ cittamanyadapi santatyā cittamekamityucyate | yadavocaḥ 	iti ucyate | evam cittam anyat api santatyA cittam ekam iti ucyate | yat avocaH 
   [pūrvānubhūtaṃ cittaṃ] smaratīti | puruṣaḥ kadācidātmanaiva pūrvacittaṃ	[pUrva anuBUtam cittaM] smarati iti | puruzaH kadAcid AtmanA eva pUrvacittam
   smarati | yat pūrvacittaṃ tadidānīmāgatamiti kiṃ smṛtena | tenaiva cittena	smarati | yat pUrvacittam tat idAnIm Agatam iti kim smRtena | tena eva cittena
   tadeva smaryata iti kathaṃ bhaviṣyati | nahyasti svātmavedakaṃ jñānamekam	tat eva smaryate iti kaTam Bavizyati | na hi asti sva Atma vedakam jQAnam ekam
   | ato naikaṃ cittam |	| atas na ekam cittam |
   yabdravīṣi  [cittaṃ] sañcinotīti | yadi cittaṃ nityamekam | kaḥ	yabdravIzi [cittaM] saQcinoti iti | yadi cittam nityam ekam | kaH
   sañcayenopakāraḥ | yadi cittaṃ bahu | tadā	saQcayena upakAraH | yadi cittam bahu | tadA
   adharamadhyottamakramasantatyotpadyamānatvādasti sañcayaḥ | bhavatoktaṃ	aDara maDya uttama krama santatya utpadyamAna tvAt asti saQcayaH | BavatA uktam
   cittaṃ sattvalakṣaṇamiti | yadi cittamekam | tadeva nityaṃ bhavet |	cittam sattva lakzaNam iti | yadi cittam ekam | tat eva nityam Bavet |
   yannityam | sa evātmā syāt | kasmāt | idānīṃ kurvan paścātkariṣyan nitya	yat nityam | saH eva AtmA syAt | kasmAt | idAnIm kurvan paScAt karizyan nitya
   eko 'vikārītyata ātmā bhavati | cittaviśeṣalakṣaṇānabhijñasya cittamekaṃ	ekaH avikAri iti atas AtmA Bavati | citta viSeza lakzaNa anaBijQasya cittam ekam
   bhavati | pravāhavaccittaṃ santanyamānamekamiti vadanti | yathā taimirikaḥ	Bavati | pravAha vat cittam santanyamAnam ekam iti vadanti | yaTA tEmirikaH
   keśakalāpamekaṃ paśyati | tadvivecakastu tadbhedaṃ vijānāti | yastu	keSa kalApam ekam paSyati | tad vivecakaH tu tad Bedam vijAnAti | yaH tu
   prajñāvān sa cittabhedaṃ vijānāti | kasmāt | brahmādayo vyāmohagatā evaṃ	prajQAvAn sa citta Bedam vijAnAti | kasmAt | brahma AdayaH vyAmoha gatAH evam
   manyante kāyo 'yamanityaḥ cittaṃ vijñānantu nityam iti | yadi	manyante kAyaH ayam anityaH cittam vijQAnantu nityam iti | yadi
   brahmādīnāmeva vyāmohaḥ | kaḥ punarvādo 'nyeṣāṃ nityeṣvāsaktānām | ataḥ	brahma AdInAm eva vyAmohaH | kaH punar vAdaH anyezAm nityezu AsaktAnAm | atas 
   kuśalacetanāpratyayasāmagrīsamutpanno dharmo nityaḥ syāt | tadviparītastu	kuSala cetanA pratyaya sAmagrI samutpannaH DarmaH nityaH syAt | tad viparItaH tu
   kṣayī |	kzayI |
   yaduktaṃ bhavatā  dakṣiṇena dṛṣṭvā vāmena vijānīyāditi | tat	yat uktam BavatA dakziNena dRzwvA vAmena vijAnIyAt iti | tat 
   jñānabalādanyatpaśyati anyadvijānāti | yathāyaṃ puruṣo granthaṃ racayati |	jQAna balAt anyat paSyati anya t vijAnAti | yaTA ayam puruzaH granTam racayati |
   anyaḥ puruṣo vijānāti | anāgatamajātamasadbhūtañcāryajñānabalena vijānāti	anyaH puruzaH vijAnAti | anAgatamajAtam asat BUtaQcArya jQAna balena vijAnAti
   | atītaṃ vastu asadapi smṛtvā vijānanti anāgatamasadapi	| atItam vastu asat api smRtvA vijAnanti anAgatam asat api
   [ārya]jñānabalādvijānanti | idaṃ paścāt savistaraṃ vakṣyate ||	[Arya] jQAna balAt vijAnanti | idam paScAt sa vistaram vakzyate ||
   na cittaikatvavarga ekasaptatitamaḥ |	na citta ekatva vargaH ekasaptatitamaH |
   72 cittabahutvapradarśanavargaḥ	72 citta bahutva pradarSana vargaH
   yadavocaḥ  cittamekaṃ bahukarmaṇe prabhavatīti | tadayuktama | kasmāt |	yat avocaH cittam ekam bahu karmaNe praBavati iti | tat ayuktama | kasmAt |
   samyak pratyāyakātmakaṃ hi cittam, rūpapratyāyanaṃ śabdapratyāyanādanyat |	samyak pratyAyaka Atmakam hi cittam, rUpa pratyAyanam Sabda pratyAyanAt anyat |
   kathaṃ cittamekaṃ bhavati | yathā ghaṭaṃ dhatte hastakarma | na tadeva	kaTam cittam ekam Bavati | yaTA Gawam Datte hasta karma | na tat eva
   karmānyadvastu dhatte | tathā yena cittena rūpaṃ gṛhyate | (SSS_177) na	karma anya t vastu Datte | taTA yena cittena rUpam gRhyate | (H SS_177) na
   tenaiva śabdaḥ śrūyate | cakṣurvijñānamidañca cakṣurāśrayīkṛtya	tena eva SabdaH SrUyate | cakzuH vijQAnam idaQca cakzuH ASrayIkRtya
   rūpamālambanīkṛtya bhavati | tadubhayamanityaṃ kṣaṇikam | cakṣurvijñānaṃ	rUpam AlambanIkRtya Bavati | tat uBayam anityam kzaNikam | cakzuH vijQAnam
   kathamakṣaṇikam | yathā vinā vṛkṣaṃ na cchāyānvāste | evaṃ cakṣūrūpayoḥ	kaTam akzaNikam | yaTA vinA vRkzam na cCAyA anvAste | evam cakzU rUpayoH
   kṣaṇikatvāt tadāśrityotpannaṃ vijñānamapi kṣaṇikam | kṣaṇikadharmasya	kzaNika tvAt tad ASritya utpannam vijQAnam api kzaNikam | kzaNika Darmasya
   nāsti gamanaśaktiḥ | manovarge ca pūrvaṃ bahudhā pratyuktameva | ato na	na asti gamana SaktiH | manaH varge ca pUrvam bahuDA pratyuktam eva | atas na
   mano gacchatīti |	manaH gacCati iti |
   yadavādiḥ  vijñānaṃ cakṣuṣi lagnaṃ sat ālokamapekṣya paśyati | yathā sa	yat avAdiH vijQAnam cakzuzi lagnam sat Alokam apekzya paSyati | yaTA sa
   eva puruṣaḥ paśyati śṛṇoti ityādi | tadayuktam | kasmāt | śāstre 'smin	eva puruzaH paSyati SRNoti ityAdi | tat ayuktam | kasmAt | SAstre asmin
   dharmaṇāṃ vastutattvamanviṣyate | puruṣaḥ prajñaptisan na dṛṣṭānto	DarmaNAm vastu tattvam anvizyate | puruzaH prajQapti san na dRzwAntaH 
   bhavitumarhati | puruṣalakṣaṇañcānveṣṭavyam | pañcaskandhāḥ puruṣātmakā	Bavitum arhati | puruza lakzaNaQca anvezwavyam | paQca skanDAH puruza AtmakA
   iti vadāmaḥ | saṃśayajñānādīni niścayajñānādibhyo 'nyāni na	iti vadAmaH | saMSaya jQAna AdIni niScaya jQAna AdiByaH anyAni na
   saṃśayajñānādīnyeva niścayajñānādīni ityapi vadāmaḥ | tathā sarvaṃ	saMSaya jQAna AdIni eva niScaya jQAna AdIni iti api vadAmaH | taTA sarvam
   [vaktavyam] |	[vaktavyam] |
   yadavocaḥ  indriyapravibhāgādvijñānaṃ pravibhajyata iti | tadayuktam |	yat avocaH indriya praviBAgAt vijQAnam praviBajyate iti | tat ayuktam |
   indriyaṃ vijñānajananasya hetupratyayaḥ | yadi vijñānamekam | indriyaṃ kiṃ	indriyam vijQAna jananasya hetu pratyayaH | yadi vijQAnam ekam | indriyam kim
   karoti | [yat] pradīpaṃ dṛṣṭāntatvena kalpayasi | nāyaṃ dṛṣṭānto yuktaḥ |	karoti | [yat] pradIpam dRzwAnta tvena kalpayasi | na ayam dRzwAntaH yuktaH |
   yathā aprakāśitasya prakāśanaṃ karoti pradīpaḥ | na pradīpasvarūpaṃ	yaTA aprakASitasya prakASanam karoti pradIpaH | na pradIpa svarUpam
   prakāśayati | ato nātmānaṃ prakāśayati | pradīpenāndhakāre vinaṣṭe	prakASayati | atas na AtmAnam prakASayati | pradIpena anDakAre vinazwe
   [viṣayeṣu] cakṣurvijñānamutpadyate | tadutpannaṃ sat pradīpamapi paśyati |	[vizayezu] cakzuH vijQAnam utpadyate | tat utpannam sat pradIpam api paSyati |
   ghaṭādi dravyamapi [paśyati] gaṇakastu ātmarūpamapi jānāti pararūpamapi	Gawa Adi dravyam api [paSyati] gaNakaH tu Atma rUpam api jAnAti para rUpam api
   jānāti | taducyate lakṣaṇajñānam |	jAnAti | tat ucyate lakzaNa jQAnam |
   yadavocaḥ karmādi | tat karmādidūṣaṇe pratyuktam | ato nāsti sa doṣaḥ |	yat avocaH karma Adi | tat karma Adi dUzaNe pratyuktam | atas na asti sa dozaH |
   yadi cittamekaṃ nityam | tadāsti karma nāsti vipākaḥ | kasmāt |	yadi cittam ekam nityam | tadA asti karma na asti vipAkaH | kasmAt |
   sākṣāccittaṃ tadāśrita ñca karma bhavati | yadi cittamekam | kaḥ	sAkzAt cittam tad ASritaH Qca karma Bavati | yadi cittam ekam | kaH
   karmavipākaḥ | tathā bandhamokṣādirapi yadavādīḥ  anyat karoti	karma vipAkaH | taTA banDa mokza AdiH api yat ava AdIH anyat karoti
   anyadvedayata iti | tadapyayuktam | skandhānāṃ santāno naiko nānyaḥ |	anyat vedayate iti | tat api ayuktam | skanDAnAm santAnaH na ekaH na anyaH |
   antadvayapātāpatteḥ | saṃvṛtisaṃjñayā karmādīnāṃ vacanaṃ na tu	anta dvaya pAta ApatteH | saMvRti saMjQayA karma AdInAm vacanam na tu
   paramārthataḥ | ataḥ skandhasantāne so 'yam ityādisaṃjñāvyavahāra	paramArTataH | atas skanDa santAne saH ayam ityAdi saMjQA vyavahAra
   ityanavadyam | ato jñāyate cittaṃ bahviti ||	iti anavadyam | atas jQAyate cittam bahu iti ||
   cittabahutvapradarśanavargo dvisaptatitamaḥ |	citta bahutva pradarSana vargaH dvisaptatitamaH |
   (SSS_178)	(H SS_178)
   73 kiñcitkālasthāyivijñānavargaḥ	73 kiQcid kAla sTAyi vijQAna vargaH
   (pṛ) cittaṃ bahviti nirūpitam | idānīṃ tāni cittāni kiṃ kṣaṇikāni | uta	(pR) cittam bahu iti nirUpitam | idAnIm tAni cittAni kim kzaNikAni | uta
   kiñcitkālasthāyīni | kecidāhuḥ  kiñcitkālasthāyīnīti | kasmāt | rūpādīnāṃ	kiQcid kAla sTAyIni | kecid AhuH kiQcid kAla sTAyIni iti | kasmAt | rUpa AdInAm
   pratyāyanāt | yat kṣaṇikaṃ na tat pratyāyayet | ato nāsthāyi bhavati |	pratyAyanAt | yat kzaNikam na tat pratyAyayet | atas na AsTAyi Bavati |
   yadi kṣaṇikaṃ [cittaṃ] tadā rūpādīni na kadāpi pratīyeran | kasmāt | yathā	yadi kzaNikam [cittaM] tadA rUpa AdIni na kadApi pratIyeran | kasmAt | yaTA
   vidyutprabhā kiñcitsthāyinyapi na punaḥ sujñeyā bhavati | kaḥ punarvādaḥ |	vidyutpraBA kiQcid sTAyini api na punar su jQeyA Bavati | kaH punar vAdaH |
   kṣaṇikaṃ pratyāyayatīti | vastutastu pratyāyayati | ato jñāyate vijñānāni	kzaNikam pratyAyayati iti | vastutas tu pratyAyayati | atas jQAyate vijQAnAni
   na kṣaṇikānīti | cakṣuḥ pratītya rūpañca cakṣurvijñāna[mutpadyate]	na kzaNikAni iti | cakzuH pratItya rUpaQca cakzuH vijQAna[m utpadyate]
   ityanayorabhede vijñānamapyabhinnam | cittañca yugapadeva nīlādīni rūpāṇi	iti anayoH aBede vijQAnam api aBinnam | cittaQca yugapad eva nIla AdIni rUpANi
   gṛhṇāti | ato jñāyate 'kṣaṇikamiti |	gRhNAti | atas jQAyate akzaNikam iti |
   yanmanyase  santānato 'dhyavasyatīti | tadapi na yuktam | yadyaikaikaṃ	yat manyase santAnataH aDyavasyati iti | tat api na yuktam | yadya ekEkam
   cittaṃ nādhyavasyati | santāno 'pi nādhyavasyet | yathaikasminnandhe	cittam na aDyavasyati | santAnaH api na aDyavasyet | yaTA ekasmin= anDe
   rūpamapaśyati bahavo 'pi na paśyeyuḥ | yadi bravīṣi  yathaikastanturna	rUpam apaSyati bahavaH api na paSyeyuH | yadi bravIzi yaTA ekaH tantuH na
   hastinaṃ pratirundhe | bahavastu sañcitāḥ prabhavanti | tathaikaṃ cittaṃ	hastinam pratirunDe | bahavaH tu saQcitAH praBavanti | taTA ekam cittam
   nādhyavasyati | tatsantānastu adhyavasyati | iti | idamapyayuktam |	na aDyavasyati | tad santAnaH tu aDyavasyati | iti | idam api ayuktam |
   ekaikasmin tantau pratyekamasti kiñcidvalam iti tatsamavāyaḥ prabhavati |	ekEkasmin tantO pratyekam asti kiQci d valam iti tad samavAyaH praBavati |
   cittasyaikasmin kṣaṇe nāsti kiñcitpratyāyakabalam | tasmātsantāno 'pi na	cittasya ekasmin kzaNe na asti kiQcid pratyAyaka balam | tasmAt santAnaH api na
   pratyāyayet | vastutastu pratyāyayati | ato jñāyate 'kṣaṇikamiti | yadi	pratyAyayet | vastutas tu pratyAyayati | atas jQAyate akzaNikam iti | yadi
   cittaṃ kṣaṇikamiti | atītānāgatādikarmāṇi niṣprayojanāni syuḥ |	cittam kzaNikam iti | atIta anAgata Adi karmANi nizprayojanAni syuH |
   kiñcitkālasthāyi tu saprayojanāni karoti | ato jñāyate 'kṣaṇikamiti |	kiQcid kAla sTAyi tu sa prayojanAni karoti | atas jQAyate akzaNikam iti |
   anityamapi kiñcitkālamavaśyaṃ tiṣṭhati ||	anityam api kiQcid kAlam avaSyam tizWati ||
   kiñcitkālasthāyivijñānavargastrisaptatitamaḥ |	kiQcid kAla sTAyi vijQAna vargaH trisaptatitamaH |
   (SSS_179)	(H SS_179)
   74 asthāyivijñānavargaḥ	74 asTAyi vijQAna vargaH
   atra pratibrūmaḥ | yaduktaṃ bhavatā  cittaṃ pratyāyakamityato 'kṣaṇikamiti	atra pratibrUmaH | yat uktam BavatA cittam pratyAyakam iti atas akzaNikam iti
   | tadayuktam | cittagatanimittānāṃ balāt [cittaṃ] pratyāyayati | na	| tat ayuktam | citta gata nimittAnAm balAt [cittaM] pratyAyayati | na
   sthāyibalāt | tathā no cet śabdakarmaṇo na syātpratyāyanam | kasmāt |	sTAyi balAt | taTA no ced Sabda karmaNaH na syAt pratyAyanam | kasmAt |
   pratyakṣaṃ paśyāmaḥ khalvidaṃ kṣaṇikamatha ca pratyāyakamiti | ato jñāyate	pratyakzam paSyAmaH Kalu idam kzaNikam aTa ca pratyAyakam iti | atas jQAyate
   na sthāyitvātpratyāyatīti | samyak pratyayātmakaṃ hi cittam | yannīlaṃ	na sTAyi tvAt pratyAyati iti | samyak pratyaya Atmakam hi cittam | yat nIlam
   pratyāyayati | na tadeva pītaṃ pratyāyayati | tasmānnīlapratyāyakaṃ	pratyAyayati | na tat eva pItam pratyAyayati | tasmAt nIla pratyAyakam
   kiñcitkālasthāyyapi na pītaṃ pratyāyayati | nīlapratyāyanakālo 'nyaḥ |	kiQcid kAla sTAyi api na pItam pratyAyayati | nIla pratyAyana kAlaH anyaH |
   anīlapratyāyanakālaścānyaḥ | naiko dharmo dvayoḥ kālayoḥ syāt | dharmaḥ	anIla pratyAyana kAlaH ca anyaH | na ekaH DarmaH dvayoH kAlayoH syAt | DarmaH
   kālasamanvitaḥ | kālaśca dharmasamanvitaḥ | graho dvividhaḥ	kAla samanvitaH | kAlaH ca Darma samanvitaH | grahaH dviviDaH
   adhyavasāyātmakaḥ anadhyavasāyatmaka iti | yadi vijñānamakṣaṇikam | sarvaṃ	aDyavasAya AtmakaH anaDyavasAyatmakaH iti | yadi vijQAna makzaNikam | sarvam
   grāhyaṃ sākalyenādhyavasyet | mama tu bahuvijñānasantānavaśādutpanno graho	grAhyam sAkalyena aDyavasyet | mama tu bahu vijQAna santAna vaSAt utpannaH grahaH 
   'dhyavasyati | alpasantāne tu nādhyavasyati | vijñānañca viṣayaṃ gṛhṇāti	aDyavasyati | alpa santAne tu na aDyavasyati | vijQAnaQca vizayam gRhNAti
   mandaṃ vā kṣipraṃ vā iti cittasya nāsti niyamaḥ |	mandam vA kzipram vA iti cittasya na asti niyamaH |
   yaduktaṃ bhavatā  āśrayālambanayornāsti bheda iti | kṣaṇikatvāt	yat uktam BavatA ASraya AlambanayoH na asti BedaH iti | kzaNika tvAt 
   rūpamāśrayālambanamapi bhinnamevetyarthaḥ sādhitaḥ | yadavādīḥ  yugapad	rUpam ASraya Alambanam api Binnam eva iti arTaH sADitaH | yat ava AdIH yugapad 
   gṛhṇātīti | vijñānaṃ sarvakāyāvayavagrāhakamityato yugapagdraha ityucyate	gRhNAti iti | vijQAnam sarva kAya avayava grAhakam iti atas yugapagdrahaH iti ucyate
   | ato nāstyekaṃ vijñānaṃ sarvagrāhakam | kasmāt | apariniṣpannagrahameva	| atas na asti ekam vijQAnam sarva grAhakam | kasmAt | aparinizpanna graham eva
