   Mahāpratisarā vidyārājñī	MahA-pratisarA vidyA-rAjQI
   namo namaḥ / namaḥ sarvabuddhabodhisatvadharmasaṃghebhyaḥ //	namaH namaH / namaH sarva-budDa-boDisatva-Darma-saMGeByaH //
   tadyathā / oṃ vipulagarbhe / vimali jayagarbhe / oṃ vipulavimale /	tat-yaTA / om vipula-garBe / vimali jaya-garBe / om vipula-vimale /
   vimalagarbhe vajrajvālāgarbhe gatigahane / gagane / gaganaviśodhani /	vimala-garBe vajra-jvAlA-garBe gati-gahane / gagane / gagana-viSoDani /
   sarvapāpaviśodhani / oṃ guṇavati gaganavicāriṇi / gagariṇi 2 giri 2 giriṇi	sarva-pApa-viSoDani / om guNavati gagana-vicAriNi / gagariNi 2 giri 2 giriNi
   2 gamari 2 gaha 2 gargāri 2 gagari 2 gaṃbhari 2 gabhi 2 gahi 2 gamani 2	2 gamari 2 gaha 2 gargAri 2 gagari 2 gaMBari 2 gaBi 2 gahi 2 gamani 2
   gare 2 guru 2 gubha 2 guha 2 guruṇicale / guhaṇi 2 guruṇe 2 culu 2 gucile	gare 2 guru 2 guBaH 2 guha 2 guruNi-cale / guhaNi 2 guruNe 2 culu 2 gucile
   2 jaya vijaya 2 / sarvabhayavigate / sarvagarbhasaṃrakṣaṇi / śiri 2 tiri 2	2 jaya vijaya 2 / sarva-Baya-vigate / sarva-garBa-saMrakzaNi / Siri 2 tiri 2
   miri 2 ghiri 2 samantākarṣaṇi / sarvaśatrupramathani / rakṣa 2 māṃ	miri 2 Giri 2 samantAkarzaNi / sarva-Satru-pramaTani / rakza 2 mAm
   sarvasatvān sarvabhayebhyaḥ sarvopadravebhyaḥ sarvavyādhibhyaḥ / ciri 2	sarva-satvAn sarva-BayeByaH sarva-upadraveByaH sarva-vyADiByaH / ciri 2
   viri 2 dhiri 2 vigatāvaraṇe / viśodhani / vividhāvaraṇavināśani / muri 2	viri 2 Diri 2 vigata-AvaraNe / viSoDani / viviDa-AvaraNa-vinASani / muri 2
   muci 2 muli 2 cili 2 kili 2 mili 2 kamale vimale / jaye vijaye jayāvahe /	muci 2 muli 2 cili 2 kili 2 mili 2 kamale vimale / jaye vijaye jayAvahe /
   jayavati viśeṣavati / bhagavati ratnamukuṭamālādhari /	jayavati viSezavati / Bagavati ratna-mukuwa-mAlA-Dari /
   bahuvividhavicitraveśadhāriṇi / bhagavati mahāvidyādevi rakṣa 2 (Mp_8) māṃ	bahu-viviDa-vicitra-veSa-DAriNi / Bagavati mahAvidyAdevi rakza 2 (M=-_8) mAm
   saparivāraṃ sarvasatvāṃś ca samantān sarvapāpaviśodhani / huru 2 muru 2	sa-parivAram sarva-satvAn ca samantAn sarva-pApa-viSoDani / huru 2 muru 2
   rakṣa 2 māṃ sarvasatvāṃś cānāthān atrāṇān aparāyaṇāt primocya	rakza 2 mAm sarva-satvAn ca-anATAn atrANAn aparAyaNAt primocya
   sarvaduḥkhebhyaḥ caṇḍe 2 caṇḍi 2 caṇḍini 2 vegavati 2 sarvaduṣṭanivāriṇi /	sarva-duHKeByaH caNxe 2 caNxi 2 caNxini 2 vegavati 2 sarva-duzwa-nivAriNi /
   vijayavāhiṇi / huru 2 muru 2 curu 2 turu 2 āyuḥpālani suravarapramathani /	vijaya-vAhiNi / huru 2 muru 2 curu 2 turu 2 AyuH-pAlani sura-vara-pramaTani /
   sarvadevagaṇapūjite / cili 2 dhili 2 samantāvalokite / prabhe 2 suprabhe /	sarva-deva-gaNa-pUjite / cili 2 Dili 2 samantA-avalokite / praBe 2 su-praBe /
   suprabhaviśuddhe sarvapāpaviśodhani / dhuru 2 dharaṇidhare dhara 2 sumu 2	su-praBavi-SudDe sarva-pApa-viSoDani / Duru 2 DaraNiDare DaraH 2 su-mu 2
   musu 2 rurucale cālaya sarvaduṣṭān pūraya me sarvapāpaviśuddhe āśāṃ	musu 2 ruru-cale cAlaya sarva-duzwAn pUraya me sarva-pApa-viSudDe ASAm
   śrīvasudhare jayakamale / kṣiṇi 2 varadāṃkuśe / oṃ padmaviśuddhe / śodhaya	SrI-vasuDare jaya-kamale / kziNi 2 vara-dAMkuSe / om padma-viSudDe / SoDaya
   2 śuddhe 2 bhara 2 bhiri 2 bhuru 2 maṅgalaviśuddhe / pavitramukhi /	2 SudDe 2 Bara 2 Biri 2 Buru 2 maFgala-viSudDe / pavitra-muKi /
   khaṅgini 2 khara 2 jvalitaśikhare / samantāvalokitaprabhe /	KaFgini 2 Kara 2 jvalita-SiKare / samantA-avalokita-praBe /
   suprabhaviśuddhe / samantaprasāritāvabhāsaśuddhe / jvala 2	su-praBaviSudDe / samanta-prasArita-avaBAsa-SudDe / jvala 2
   sarvadevasamākarṣaṇi / satyaprate / oṃ hrītraṃ tara 2 tāraya 2 māṃ	sarva-deva-samAkarzaNi / satya-prate / om hrItram tara 2 tAraya 2 mAm
   sarvasatvāṃś ca nāgavilokite / lahu 2 hulu 2 hutu 2 turu 2 kiṇi 2 kṣiṇi 2	sarva-satvAn ca nAga-vilokite / lahu 2 hulu 2 hutu 2 turu 2 kiNi 2 kziNi 2
   huni 2 sarvagrahabhakṣaṇi / piṅgale 2 muru 2 mucu 2 musu 2 musuri rate /	huni 2 sarva-graha-BakzaNi / piFgale 2 muru 2 mucu 2 musu 2 musuri rate /
   tara 2 nāgavalokite / tāraya bhagavati atha mahādāruṇabhayebhyaḥ /	tara 2 nAgavalokite / tAraya Bagavati aTa mahA-dAruNa-BayeByaH /
   sarvatra samantena vajraprākāravajrapāśabandhena vajrajvālāviśuddhe /	sarvatra samantena vajra-prAkAra-vajra-pASa-banDena vajra-jvAlA-viSudDe /
   bhuri 2 bhagavati garbhasaṃśodhani / kukṣisaṃpūraṇi / jvala 2 cala 2	Buri 2 Bagavati garBa-saMSoDani / kukzi-saMpUraNi / jvala 2 cala 2
   jvālani / varṣantu devaḥ samantena divyodakena amṛtavarṣaṇi devatāvatāraṇi	jvAlani / varzantu devaH samantena divya-udakena amRta-varzaNi devatAvatA-araNi
   / abhiṣiñcantu māṃ sugatavaravacanāmṛtavaravapuṣe rakṣa 2 māṃ sarvatra	/ aBiziQcantu mAm sugata-vara-vacana-amRta-vara-vapuze rakza 2 mAm sarvatra
   sarvadā / sarvabhayebhyaḥ sarvopadravebhyaḥ sarvopasargebhyaḥ	sarvadA / sarva-BayeByaH sarva-upadraveByaH sarva-upasargeByaH
   sarvavyādhibhyaḥ sarvaduṣṭabhayabhītebhyaḥ	sarva-vyADiByaH sarva-duzwa-Baya-BIteByaH
   sarvakalikalahavigrahavivādaduḥsvapnadurnimittāmaṅgalapāpaviśodhani	sarva-kali-kalaha-vigraha-vivAda-duHsvapna-durnimitta-amaFgala-pApa-viSoDani
   sarvayakṣarākṣasanāgavidāraṇi / cala 2 balavati / jaya 2 vijaya 2 jayatu	sarva-yakza-rAkzasa-nAga-vidAraNi / cala 2 balavati / jaya 2 vijaya 2 jayatu
   sarvatra sarvakālaṃ sidhyantu me / iyaṃ vidyā sādhaya maṇḍalaṃ ghāṭaya	sarvatra sarvakAlam siDyantu me / iyam vidyA sADaya maNxalam GAwaya
   vighnān / jaya 2 siddhe 2 sidhya 2 budhya 2 pūraya 2 pūraṇi 2 pūraya me	viGnAn / jaya 2 sidDe 2 siDya 2 buDya 2 pUrayaH 2 pUraNi 2 pUraya me
   āśāṃ sarvavidyodgatamūrte / jayottari jayakari jayavati / tiṣṭha 2	ASAm sarva-vidyA-udgata-mUrte / jaya-uttari jaya-kari jayavati / tizWa 2
   bhagavati samayam anupālaya sarvatathāgatahṛdayaśuddhe vyavalokaya māṃ	Bagavati samayam anupAlaya sarva-taTAgata-hRdaya-SudDe vyavalokaya mAm
   saparivāraṃ sarvasatvāṃś (Mp_9) cātha mahādāruṇabhayeṣu sarvāsāṃ	sa-parivAram sarva-satvAn (M=-_9) ca-aTa mahA-dAruNa-Bayezu sarvAsAm
   paripūraya trāyasva mahābhayebhyaḥ / sara 2 prasara 2 sarvāvaraṇaviśodhani	paripUraya trAyasva mahA-BayeByaH / saraH 2 prasara 2 sarva-AvaraNa-viSoDani
   samantākāramaṇḍalaviśuddhe / vigate 2 vigatamale / sarvamalaviśodhani /	samanta-AkAra-maNxala-viSudDe / vigate 2 vigata-male / sarva-mala-viSoDani /
   sarvāmaṅgalaviśuddhe / sarvāmaṅgalaviśodhani / kṣiṇi 2 sarvapāpaviśuddhe /	sarva-amaFgala-viSudDe / sarva-amaFgala-viSoDani / kziNi 2 sarva-pApa-viSudDe /
   malavigate / jayavati tejovati vajravati trailokyādhiṣṭhite svāhā //	mala-vigate / jayavati tejovati vajravati trElokya-aDizWite svAhA //
   sarvatathāgatamūrdhābhiṣikte svāhā //	sarva-taTAgata-mUrDABizikte svAhA //
   sarvabuddhabodhisatvābhiṣikte svāhā //	sarva-budDa-boDisatva-aBizikte svAhA //
   sarvatathāgatahṛdayaviśuddhe svāhā //	sarva-taTAgata-hRdaya-viSudDe svAhA //
   sarvatathāgatābhiṣikte svāhā //	sarva-taTAgata-aBizikte svAhA //
   sarvatathāgatahṛdayādhiṣṭhitahṛdaye svāhā //	sarva-taTAgata-hRdaya-aDizWita-hRdaye svAhA //
   sarvatathāgatahṛdayasiddhe svāhā //	sarva-taTAgata-hRdaya-sidDe svAhA //
   indre indravati indravyavalokite / brahme brahmādhyuṣite svāhā //	indre indravati indra-vyavalokite / brahme brahma-aDyuzite svAhA //
   viṣṇunamaskṛte svāhā / maheśvaravanditapūjitāyai svāhā //	vizNu-namaskRte svAhA / maheSvara-vandita-pUjitAyE svAhA //
   vajradhara vajrapāṇibalavīryādhiṣṭhite svāhā //	vajraDara vajrapANi-bala-vIrya-aDizWite svAhA //
   dhṛtarāṣṭrāye svāhā / virūḍhakāya svāhā / virūpākṣāya svāhā / vaiśramaṇāya	DRtarAzwrAye svAhA / virUXakAya svAhA / virUpAkzAya svAhA / vESramaNAya
   svāhā / caturmahārājanamaskṛtāya svāhā //	svAhA / catur-mahA-rAja-namaskRtAya svAhA //
   yamāya svāhā / yamapūjitanamaskṛtāya svāhā //	yamAya svAhA / yama-pUjita-namaskRtAya svAhA //
   varuṇāya svāhā / mārutāya svāhā / mahāmārutāya svāhā / agnaye svāhā /	varuNAya svAhA / mArutAya svAhA / mahAmArutAya svAhA / agnaye svAhA /
   vāyave svāhā //	vAyave svAhA //
   nāgavilokitāya svāhā / devagaṇebhyaḥ svāhā / nāgagaṇebhyaḥ svāhā /	nAga-vilokitAya svAhA / deva-gaNeByaH svAhA / nAga-gaNeByaH svAhA /
   yakṣagaṇebhyaḥ svāhā / rākṣasagaṇebhyaḥ svāhā / gandharvagaṇebhyaḥ svāhā /	yakza-gaNeByaH svAhA / rAkzasa-gaNeByaH svAhA / ganDarva-gaNeByaH svAhA /
   asuragaṇebhyaḥ svāhā / garuḍagaṇebhyaḥ svāhā / kinnaragaṇebhyaḥ svāhā /	asura-gaNeByaH svAhA / garuxa-gaNeByaH svAhA / kinnara-gaNeByaH svAhA /
   mahoragagaṇebhyaḥ svāhā / manuṣyagaṇebhyaḥ svāhā / amanuṣyagaṇebhyaḥ svāhā	mahA-uraga-gaNeByaH svAhA / manuzya-gaNeByaH svAhA / amanuzya-gaNeByaH svAhA
   sarvagrahebhyaḥ svāhā / sarvabhūtebhyaḥ svāhā / sarvapretebhyaḥ svāhā /	sarva-graheByaH svAhA / sarva-BUteByaH svAhA / sarva-preteByaH svAhA /
   sarvapiśācebhyaḥ svāhā / sarvāpasmārebhyaḥ svāhā / sarvakumbhāṇḍebhyaḥ	sarva-piSAceByaH svAhA / sarva-apasmAreByaH svAhA / sarva-kumBa-aNxeByaH
   svāha / sarvapūtanebhyaḥ svāhā / sarvakaṭapūtanebhyaḥ svāhā /	svAha / sarva-pUtaneByaH svAhA / sarva-kawa-pUtaneByaH svAhA /
   sarvaduṣṭapraduṣṭebhyaḥ svāhā //	sarva-duzwa-praduzweByaH svAhA //
   oṃ dhuru 2 svāhā / oṃ turu 2 svāhā / oṃ kuru 2 svāhā / oṃ (Mp_10) curu 2	om Duru 2 svAhA / om turu 2 svAhA / om kuru 2 svAhA / om (M=-_10) curu 2
   svāhā / oṃ muru 2 svāhā //	svAhA / om muru 2 svAhA //
   hara 2 sarvaśatrūn svāhā / daha 2 sarvaduṣṭān svāhā / paca 2	hara 2 sarva-SatrUn svAhA / daha 2 sarva-duzwAn svAhA / paca 2
   sarvapratyarthikapratyamitrān svāhā //	sarva-pratyarTika-pratyamitrAn svAhA //
   ye mahāhitaiṣiṇas teṣāṃ sarveṣāṃ śarīraṃ jvālaya 2 duṣṭacittānāṃ svāhā //	ye mahA-ahita-eziNaH tezAm sarvezAm SarIram jvAlaya 2 duzwa-cittAnAm svAhA //
   jvalitāya svāhā / prajvalitāya svāhā / dīptajvālāya svāhā / vajrajvālāya	jvalitAya svAhA / prajvalitAya svAhA / dIpta-jvAlAya svAhA / vajra-jvAlAya
   svāhā / samantajvālāya svāhā //	svAhA / samanta-jvAlAya svAhA //
   māṇibhadrāya svāhā / pūrṇabhadrāya svāhā / kālāya svāhā / mahākālāya svāhā	mANiBadrAya svAhA / pUrNaBadrAya svAhA / kAlAya svAhA / mahAkAlAya svAhA
   / mātṛgaṇāya svāhā //	/ mAtR-gaNAya svAhA //
   yakṣaṇīnāṃ svāhā / rākṣasīnāṃ svāhā / pretapiśācaḍākinīnāṃ svāhā /	yakzaNInAm svAhA / rAkzasInAm svAhA / preta-piSAca-xAkinInAm svAhA /
   ākāśamātṛṇāṃ svāhā / samudragāminīnāṃ svāhā / samudravāśinīnāṃ svāhā /	AkASa-mAtRNAm svAhA / samudra-gAminInAm svAhA / samudra-vASinInAm svAhA /
   rātricarāṇāṃ svāhā / divasacarāṇāṃ svāhā / trisandhyacarāṇāṃ svāhā /	rAtri-carANAm svAhA / divasa-carANAm svAhA / tri-sanDya-carANAm svAhA /
   velācarāṇāṃ svāhā / avelācarāṇāṃ svāhā //	velA-carANAm svAhA / avelA-carANAm svAhA //
   garbhaharebhyaḥ svāhā / garbhāhāriṇībhyaḥ svāhā / garbhasaṃdhāriṇībhyah	garBa-hareByaH svAhA / garBa-AhAriNIByaH svAhA / garBa-saMDAriNIByah
   svāhā //	svAhA //
   hulu 2 svāhā / oṃ svāhā / bhūḥ svāhā / bhuvaḥ svāhā / bhūrbhuvaḥ svaḥ	hulu 2 svAhA / om svAhA / BUH svAhA / BuvaH svAhA / BUH-BuvaH svar-
   svāhā //	svAhA //
   ciṭi 2 svāhā / viṭi 2 svāhā //	ciwi 2 svAhA / viwi 2 svAhA //
   dharaṇi svāhā / dhāraṇi svāhā / agniḥ svāhā tejovāyuḥ svāhā //	DaraNi svAhA / DAraNi svAhA / agniH svAhA tejaH-vAyuH svAhA //
   cili 2 svāhā / śili 2 svāhā / mili 2 svāhā / budhya 2 svāhā / sidhya 2	cili 2 svAhA / Sili 2 svAhA / mili 2 svAhA / buDya 2 svAhA / siDya 2
   svāhā //	svAhA //
   maṇḍalabandhe svāhā / sīmābandhe svāhā //	maNxala-banDe svAhA / sImA-banDe svAhA //
   sarvaśatrūn bhañjaya 2 svāhā / stambhaya 2 svāhā / chinda 2 svāhā / bhinda	sarva-SatrUn BaQjaya 2 svAhA / stamBaya 2 svAhA / Cinda 2 svAhA / Binda
   2 svāhā / 2 svāhā / bhañja 2 svāhā / bandha 2 svāhā / mohaya 2 svāhā //	2 svAhA / 2 svAhA / BaQjaH 2 svAhA / banDaH 2 svAhA / mohaya 2 svAhA //
   maṇiviśuddhe svāhā / sūrye sūryaviśuddhe svāhā / candre pūrṇacandre svāhā	maNi-viSudDe svAhA / sUrye sUrya-viSudDe svAhA / candre pUrNa-candre svAhA
   śodhani svāhā / viśodhani svāhā //	SoDani svAhA / viSoDani svAhA //
   grahebhyaḥ svāhā / nakṣatrebhyaḥ svāhā / śivebhyaḥ svāhā / (Mp_11)	graheByaH svAhA / nakzatreByaH svAhA / SiveByaH svAhA / (Mp_11)
   śāntibhyaḥ svāhā / puṣṭibhyaḥ svāhā / svastyayanebhyaḥ svāhā //	SAntiByaH svAhA / puzwiByaH svAhA / svastyayaneByaH svAhA //
   śivaṃkari svāhā / śaṃkari svāhā / śāntiṃkari svāhā / puṣṭiṃkari svāhā /	SivaMkari svAhA / SaMkari svAhA / SAntiMkari svAhA / puzwiMkari svAhA /
   balavardhani svāhā / balavardhanaṃkari svāhā / śrīkari svāhā / śrīvardhani	bala-varDani svAhA / bala-varDanaMkari svAhA / SrIkari svAhA / SrI-varDani
   svāhā / śrījvālini svāhā / muci svāhā / namuci svāhā / muruci svāhā /	svAhA / SrI-jvAlini svAhA / muci svAhA / namuci svAhA / muruci svAhA /
   vegavati svāhā //	vegavati svAhA //
   oṃ sarvatathāgatamūrte pravaravigatabhaye śamayasva me bhagavati	om sarva-taTAgata-mUrte pravara-vigata-Baye Samayasva me Bagavati
   sarvapāpaṃ svastir mama sarvasatvānāṃ ca svāhā //	sarva-pApam svastiH mama sarva-satvAnAm ca svAhA //
   oṃ muni 2 vimuni 2 dhari cari calane bhayavigate bhayahariṇi / bodhi 2	om muni 2 vimuni 2 Dari cari calane Baya-vigate Baya-hariNi / boDi 2
   bodhaya 2 buddhili 2 sarvatathāgatahṛdayajuṣṭe svāhā //	boDaya 2 budDili 2 sarva-taTAgata-hRdaya-juzwe svAhA //
   oṃ muni 2 munivare abhisiñcantu māṃ sarvasatvāṃś ca sarvatathāgatāḥ	om muni 2 muni-vare aBisiQcantu mAm sarva-satvAn ca sarva-taTAgatAH
   sarvavidyābhiṣekair mahāvajrakavacamudrāmudritaiḥ	sarva-vidyA-aBizekEH mahA-vajra-kavaca-mudrA-mudritEH
   sarvatathāgatahṛdayādhiṣṭhitavajre svāhā //	sarva-taTAgata-hRdaya-aDizWita-vajre svAhA //
   samantajvālāmālāviśuddhisphūritacintāmaṇimahāmūdrāhṛdayāparājitā	samanta-jvAlA-mAlA-viSudDi-sPUrita-cintAmaNi-mahA-mUdrA-hRdaya-aparAjitA
   mahādhāraṇī tena khalu samayena tasyām eva pariṣadi mahābrāhmaṇaḥ	mahADAraNI tena Kalu samayena tasyAm eva parizadi mahA-brAhmaNaH
   saṃnipatito 'bhūt / saṃniṣaṇṇaś ca //	saMnipatitaH aBUt / saMnizaNNaH ca //
   tatra bhagavān mahābrāhmaṇam āmantrayate sma / asyā mahāpratisarāyā	tatra BagavAn mahA-brAhmaNam Amantrayate sma / asyAH mahA-pratisarAyA
   mahāvidyārājñaḥ sahasravarṇamātreṇa mahābrāhmaṇa tasya kulaputrasya vā	mahAvidyA-rAjQaH sahasra-varNa-mAtreNa mahA-brAhmaNa tasya kula-putrasya vA
   kuladuhitur vā sarvapāpavinirmuktir bhavati / yasya punar iyaṃ hṛdayagatā	kula-duhituH vA sarva-pApa-vinirmuktiH Bavati / yasya punar iyam hRdaya-gatA
   bhaviṣyati / sa mahābrāhmaṇa vajrakāya iti veditavyaḥ / nāgnis tasya kāye	Bavizyati / sa mahA-brAhmaNa vajra-kAyaH iti veditavyaH / na-agniH tasya kAye
   kramiṣyati / kim iti saṃjñitaṃ / yadā kapilavastumahānagaravare	kramizyati / kim iti saMjQitam / yadA kapila-vastu-mahA-nagara-vare
   rāhulabhadraḥ kumāro mātuḥ kukṣigato 'bhūd yadā ṣaḍvarṣātikrānte	rAhulaBadraH kumAraH mAtuH kukzi-gataH aBUt yadA zaz-varza-atikrAnte
   sarvārthasiddhena kumāreṇa mama nābhiḥ pādaṃ suṣṭhena pṛṣṭho nirgatas tad	sarva-arTa-sidDena kumAreNa mama nABiH pAdam suzWena pRzWaH nirgataH tat-
   ājānāmi / nānyat kiṃcid iti / parikīrṇāgninā viṣodakena	AjAnAmi / na-anyat kiMcid iti / parikIrNa-agninA vizodakena
   taptakuṭhārikayāturayamānān atrāthāparājitā bhavāmi / tadā gopayā	tapta-kuWArika-yAturayamAnAn atra-aTa-aparAjitA BavAmi / tadA gopayA
   śākyakanyayā ātmānam agnikhadāyāṃ prakṣiptaḥ / tatra padminī prādurbhūtā /	SAkya-kanyayA AtmAnam agni-KadAyAm prakziptaH / tatra padminI prAdurBUtA /
   tadā rāhulabhadrakumāro mātuḥ kukṣigato eva imāṃ vidyāṃ manasy akarṣīt /	tadA rAhulaBadrakumAraH mAtuH kukzi-gataH eva imAm vidyAm manasi akarzIt /
   asyā vidyāyā anusmaraṇamātreṇa (Mp_12) so 'pi tasmin kṣaṇe śītībhāvam	asyAH vidyAyAH anusmaraNa-mAtreNa (Mp_12) saH api tasmin kzaNe SItIBAvam
   udāgataḥ / tato gopāyāḥ śākyakanyāyāḥ śarīram agninā na spṛṣṭam / tat	udAgataH / tatas gopAyAH SAkya-kanyAyAH SarIram agninA na spRzwam / tat-
   kasya hetor eṣā vidyā sarvatathāgatādhiṣṭhitā / tena hetunāyaṃ	kasya hetoH ezA vidyA sarva-taTAgata-aDizWitA / tena hetunA-ayam
   mahābrāhmaṇo 'gnir na dahati / na ca viṣeṇa śakyaṃ taṃ jīvitād	mahA-brAhmaNaH agniH na dahati / na ca vizeNa Sakyam tam jIvitAt-
   vyaparopayitum / tat katham iti //	vyaparopayitum / tat kaTam iti //
   yadā mahābrāhmaṇa śūrpārake mahānagaravare koṣavaṇikasya śreṣṭhinaḥ putro	yadA mahA-brAhmaNa SUrpArake mahA-nagara-vare kozavaNikasya SrezWinaH putraH-
   vidyāvādiko babhūva / tena tad vidyābalena takṣako nāgarājā ākarṣitaḥ /	vidyA-vAdikaH baBUva / tena tat vidyA-balena takzakaH nAga-rAjAH AkarzitaH /
   ākarṣayitvā ca pramāṇavaśād baddho nadānto yāvat tenāsau krodhād daṣṭaḥ /	AkarzayitvA ca pramANa-vaSAt badDaH na-da-antaH yAvat tena-asO kroDAt dazwaH /
   sa tīvrāṃ kharāṃ kaṭukāṃ vedanāṃ vedayati / yathā jānāmi ca me jīvitaṃ	sa tIvrAm KarAm kawukAm vedanAm vedayati / yaTA jAnAmi ca me jIvitam
   niruddham iti / tatra bahavo vādikā āhutāḥ / na ca kaścic chaknoti viṣaṃ	nirudDam iti / tatra bahavaH vAdikAH AhutAH / na ca kaScid Saknoti vizam
   cikitsitum / atha traiva śūrpārake mahānagaravare vimalaviśuddhir	cikitsitum / aTa trEva SUrpArake mahA-nagara-vare vimala-viSudDiH-
   nāmopāsikā prativasati sma / mahākaruṇāsamanvāgatā tasya iyaṃ	nAma-upAsikA prativasati sma / mahA-karuNA-samanvAgatA tasya iyam
   mahāvidyārājñī jihvāgre 'bhūt / sā tasyāntikam upasaṃkrāntā	mahAvidyA-rAjQI jihvA-agre aBUt / sA tasya-antikam upasaMkrAntA
   upasaṃkramyemāṃ mahāvidyāṃ pravartayāmāsa / sā tayaikavelāyām	upasaMkramya-imAm mahAvidyAm pravartayAmAsa / sA tayA-eka-velAyAm
   anusmṛtamātrayā nirviṣaṃ smṛtipratilabdhaṃ kṛtvā tato mahāvyasanāt	anusmRta-mAtrayA nirvizam smRti-pratilabDam kRtvA tatas mahA-vyasanAt-
   parimocayitvā imām eva śuddhiputre mahāvidyāṃ hṛdayagatāṃ kārayati sma /	parimocayitvA imAm eva SudDi-putre mahAvidyAm hRdaya-gatAm kArayati sma /
   yathā vidhivad anujñātam iti //	yaTA viDivat anujQAtam iti //
   api ca mahābrāhmaṇa kiṃ parijñātam iti / bārāṇāsyāṃ mahānagaryām	api ca mahA-brAhmaNa kim parijQAtam iti / bArANa-AsyAm mahA-nagaryAm
   anupūrveṇānuvicaramāṇo rājā brahmadatta iti saṃkhyāṃ gacchati / tasya	anupUrveNa-anuvicaramANaH rAjA brahmadattaH iti saMKyAm gacCati / tasya
   prātisīmiko balacakrarājā caturaṅgabalakāyaṃ saṃnāhya bārāṇasīmahānagarīṃ	prAtisImikaH bala-cakrarAjA caturaFga-balakAyam saMnAhya bArANasI-mahA-nagarIm
   parivārya vināśayitum ārabdhaḥ / tato rājñā brahmadattasyāmātyair	parivArya vinASayitum ArabDaH / tatas rAjQA brahmadattasya-amAtyEH-
   niveditam / deva paracakreṇa nagaram apahṛtam / tataḥ kiṃ tu khalu vayam	niveditam / deva para-cakreNa nagaram apahRtam / tatas kim tu Kalu vayam
   upāyaṃ kuryāmo yenaitat paracakraṃ vinaśyet / ājñāṃ prayaccha / rājā	upAyam kuryAmaH yena-etat para-cakram vinaSyet / AjQAm prayacCa / rAjA
   kathayati / alpotsukā bhavanto mā bhavata / asti mama mahāpratisarā nāma	kaTayati / alpa-utsukAH BavantaH mA BavataH / asti mama mahA-pratisarAH nAma
   vidyārājñī / yenāham ihemaṃ caturaṅgabalakāyaṃ parājeṣyāmi / tathā	vidyA-rAjQI / yena-aham iha-imam caturaFga-balakAyam parAjezyAmi / taTA
   kariṣyāmi / amātyāḥ śirasā praṇipatyocuḥ / kim idaṃ mahārāja nāsmābhiḥ	karizyAmi / amAtyAH SirasA praNipatya-UcuH / kim idam mahA-rAja na-asmABiH
   kadācid api na śrutam iti / rājā prāha / aham idānīṃ pratyakṣaṃ darśanaṃ	kadAcid api na Srutam iti / rAjA prAha / aham idAnIm pratyakzam darSanam
   kariṣyāmi / atha sa rājā brahmadatto (Mp_13) nānāgandhodakena snātaḥ śirāḥ	karizyAmi / aTa sa rAjA brahmadattaH (M=-_13) nAnA-ganDa-udakena snAtaH SirAH
   śucivastraṃ prāvṛtya imāṃ mahāpratisarāṃ mahāvidyārājñīṃ	Suci-vastram prAvRtya imAm mahA-pratisarAm mahAvidyA-rAjQIm
   yathāvidhinābhilikhya śiraḥ keśe 'vasthāpya imām eva mahāvidyārājñīṃ	yaTAviDinA-aBiliKya SiraH keSe avasTApya imAm eva mahAvidyA-rAjQIm
   kavacaṃ kṛtvā saṃgrāmamadhye 'vatīrya ekākinaiva sarvāsau	kavacam kRtvA saMgrAma-maDye avatIrya ekAkinA-eva sarvA-asO
   caturaṅgabalakāyaḥ parājitaḥ / āmarditaś ca tāvad yāvac caraṇaṃ gataḥ /	caturaFga-bala-kAyaH parAjitaH / AmarditaH ca tAvat yAvat caraNam gataH /
   iti kṛtvāsau balacakrarājā mukta iti //	iti kRtvA-asO bala-cakrarAjA muktaH iti //
   evaṃ hi mahābrāhmaṇa pratyakṣaṃ mahānubhāveyaṃ mahāvidyārājñī	evam hi mahA-brAhmaNa pratyakzam mahA-anuBAvA-iyam mahAvidyA-rAjQI
   sarvatathāgatahṛdayamudrādhiṣṭhitā / pratyakṣam eveti dhārayitavyā /	sarva-taTAgata-hRdaya-mudrA-aDizWitA / pratyakzam eva-iti DArayitavyA /
   sarvatathāgatasamaiṣā draṣṭavyā / ye kecit paścime kāle paścime samaye	sarva-taTAgata-sama-ezAH drazwavyA / ye kecid paScime kAle paScime samaye
   alpāyuṣkānāṃ mandabhāgyānāṃ mandadhānyānaṃ parīttabhāgyānāṃ satvānām	alpa-AyuzkAnAm mandaBAgyAnAm mandaDAnyAnam parItta-BAgyAnAm satvAnAm
   arthāya hitāya sukhāya draṣṭavyā / yaḥ kaścin mahābrāhmaṇa imāṃ	arTAya hitAya suKAya drazwavyA / yaH kaScid mahA-brAhmaNaH imAm
   mahāvidyārājñīṃ yathāvidhinā likhitvā bāhau kaṇṭhe dhārayiṣyati / sa	mahAvidyA-rAjQIm yaTAviDinA liKitvA bAhO kaNWe DArayizyati / sa
   sarvatathāgatādhiṣṭhito veditavyaḥ / sarvatathāgatakāya iti veditavyaḥ /	sarva-taTAgata-aDizWitaH veditavyaH / sarva-taTAgata-kAyaH iti veditavyaH /
   vajrakāya iti veditavyaḥ / sarvatathāgatadhātugarbha iti veditavyaḥ /	vajra-kAyaH iti veditavyaH / sarva-taTAgata-DAtu-garBaH iti veditavyaH /
