   Muktā-caritram	MuktA--caritram
   mitreṇa hitam āśāṃsanīyam iti vijñāpayann asmi | agre tubhyaṃ yad rocate |	mitreNa hitam ASAMsanIyam iti vijQApayan asmi | agre tuByam yat rocate |
   tato'haṃ daśanai rasanāṃ sandaśya - sakhe! imā gāndharvādayaḥ kulāṅganāḥ	tatas-aham daSanEH rasanAm sandaSya  saKe! imAH gAnDarva-AdayaH kula-aFganAH
   prakāmādāna-pradāne mahā-śucayas tad ajānataiva tvayedam ucyate tac	prakAma-AdAna--pradAne mahA-SucayaH tat ajAnatA-eva tvayA-idam ucyate tat-
   chrūyatāṃ	CrUyatAm
   sāmpratam eva svādharāmṛtopaḍhaukanena mām atīva santoṣya gāndharvayā	sAmpratam eva svADara-amRta-upaXOkanena mAm atIva santozya gAnDarvayA
   mat-sakāśāt prātar gṛhīta-kamal-rāga-rekhikā-yugalena nija-vakṣoruhaṃ	mat--sakASAt prAtar gRhIta-kamal--rAga--reKikA--yugalena nija-vakzoruham
   paribhūṣya mad-urasi tad eva caturguṇīkṛtya sāyam eva vitīrṇam | lalitayā	pariBUzya mad--urasi tat eva caturguNIkRtya sAyam eva vitIrNam | lalitayA
   ca	ca
   paraśvaḥ sāyam amṛta-srāvi-cumbaka-ratnam ekam ādāya kali-krameṇa	paraSvas sAyam amRta--srAvi--cumbaka-ratnam ekam AdAya kali-krameNa
   tri-guṇī-kṛtya pariśodhitam | viśākhayāpi niśīthe paramāgraheṇa	tri-guNI-kRtya pariSoDitam | viSAKayA-api niSITe parama-agraheNa
   man-madhurādharāmṛtam ādāya sva-sarva-bhūtaṃ tad eva prātar bahu-guṇīkṛtya	man--maDura-aDara-amRtam AdAya sva--sarva-BUtam tat eva prAtar bahu-guNIkRtya
   pradāya bāḍham āpyāyito'smi | campaka-latādayaś ca bāraṃ bāraṃ	pradAya bAXam ApyAyitaH-asmi | campa-ka-latA-AdayaH ca bAram bAram
   sva-svābhīṣṭa-padārtham āgraheṇābhigṛhya kāścid dviguṇīkṛtya kāścit	sva-sva-aBIzwa--padArTam AgraheNa-aBigRhya kAScid dvi-guNIkRtya kAScid-
   triguṇīkṛtya pradāya mām atīva santoṣitavatyaḥ | kintu āsu jana-dvayī	triguNIkRtya pradAya mAm atIva santozitavatyaH | kintu Asu jana--dvayI
   kevalaṃ	kevalam
   pradāne kiñcid anyādṛśa-vyavasāyā vartate |	pradAne kiQcid anyAdRSa--vyavasAyAH vartate |
   nāndīmukhī - katarā sā ?	nAndImuKI  katarA sA ?
   tato'haṃ - ekā raṅgaṇavallī mad-vakṣasi	tatas-aham  ekA raFgaNavallI mad--vakzasi
   nija-vakṣaḥ-sthit-nistala-madhura-phala-yugalasya trirāropaṇam urīkṛtya	nija--vakzaH--sTit--nistala--maDura---Pala--yugalasya tris-AropaNam urIkRtya
   mat-kara-mardana-phala-dvayaṃ gṛhītvā sakṛd eva tad-arpitaṃ avaiśiṣṭaṃ	mat-kara--mardana--Pala--dvayam gRhItvA sakRt eva tad--arpitam avESizwam
   dvir-arpaṇaṃ gati-kriyām ācarya nādyāpi karoti | kācid anyā	dvis--arpaNam gati-kriyAm Acarya na-adya-api karoti | kAcid anyA
   raṅgaṇamālā-sahacarī	raFgaNa-mAlA--sahacarI
   tulasī nāmnī dviguṇīkṛtya dātum uktvā mad-eka-parirambha-stavakaṃ samādāya	tulasI nAmnI dvi-guNIkRtya dAtum uktvA mad--eka--pariramBa-stavakam samAdAya
   sāmpratam idānīṃ deyaṃ tadānīṃ deyam iti kālaṃ kṣapayantī mūlam api na	sAmpratam idAnIm deyam tadAnIm deyam iti kAlam kzapayantI mUlam api na
   dadāti |	dadAti |
   madhumaṅgalaḥ - ayi raṅgaṇavallī-tulasyau! yuvayoḥ sakāśād	maDumaFgalaH  ayi raFgaNavallI--tulasyO! yuvayoH sakASAt-
   albhyamānātma-divya-dravyo'pi priyaṃvado'smat-priya-vayasyaḥ	alByamAna-Atma--divya--dravyaH-api priyaMvadaH-asmat--priya--vayasyaH
   sahaja-sāralyato	sahaja--sAralyataH-
   bhavad-vidhāsu priyam eva vakti | tathāpy etādṛśe'py asmin vañcana-cāturīm	Bavat--viDAsu priyam eva vakti | taTA-api etAdRSe-api asmin vaQcana--cAturIm
   ācarantībhyāṃ bhavatībhyāṃ kṛtaghnatvāt loka-dharmato bhayaṃ na kriyate |	AcarantIByAm BavatIByAm kRtaGna-tvAt loka-DarmataH Bayam na kriyate |
   tad ākarṇya cāru hasantī lalitā prāha - sakhyus tavārya madhumaṅgala!	tat AkarNya cAru hasantI lalitA prAha  saKyuH tava-Arya maDu-maFgala!
   bhāṣitaṃ	BAzitam
   tat pīyūṣataḥ priyataraṃ nahi kasya goṣṭhe pratyakṣaraṃ pratipadaṃ	tat pIyUzataH priyataram na-hi kasya gozWe pratyakzaram pratipadam
   tad-alīkatogra-śakrāśanasya nahi ced iha bhūri-gandhaḥ | tataḥ	tad--alIka-tA-ugra--Sakra-aSanasya na-hi ced iha BUri-ganDaH | tatas-
   sahāsa-kolāhalaṃ	saha-asa--kolAhalam
   sādhu lalite! sādhu varṇitam iti sarvās tās tām āliṅgatavatyaḥ | rādhā ca	sADu lalite! sADu varNitam iti sarvAH tAH tAm AliFga-tavatyaH | rADA ca
   tathaiva	taTA-eva
   manasā |	manasA |
   nāndīmukhī - mohana! katham apratītiḥ kriyate ? lalitā-prema-pātrīyaṃ	nAndImuKI  mohana! kaTam apratItiH kriyate ? lalitA--prema--pAtrIyam
   raṅgaṇa-mālikā, dvitīyā ca viśākhā-priya-śiṣyā tad etābhyām eva te	raFgaNa-mAlikA, dvitIyA ca viSAKA--priya--SizyA tat etAByAm eva te
   prbodhya tad	prboDya tat-
   avaśyaṃ dāpayiṣyate | yathā tābhyāṃ saha bhavataḥ śuddha-bhāvena punaḥ	avaSyam dApayizyate | yaTA tAByAm saha BavataH SudDa--BAvena punar-
   punar	punar-
   eṣa vyavahāro nirvahati | yadi vā dāpayituṃ na śakyate tadā	eza vyavahAraH nirvahati | yadi vA dApayitum na Sakyate tadA
   tad-avaśiṣṭa-dravyaṃ	tat--avaSizwa--dravyam
   tat-snehāt tābhyāṃ svayam eva dāpyate | ete api yadi te jhaṭiti dātuṃ	tat-snehAt tAByAm svayam eva dApyate | ete api yadi te Jawiti dAtum
   nāṅgīkurutas	na-aFgIkuruta-s
   tarhi kenāpi bhavān anuyoktuṃ na śakyate | bhavatā tv	tarhi kena-api BavAn anuyoktum na Sakyate | BavatA tu-
   anaṅga-mañjarī-sahodarāgrataḥ kriyamāṇa eva phutkārārambhe tābhyām eva	anaFga-maQjarI--sahodara-agratas kriyamANaH eva PutkAra-AramBe tAByAm eva
   sādhvasena svīkṛta-vṛddhi-sahitaṃ tad drutaṃ sutarāṃ vitariṣyate |	sADvasena svIkRta-vRdDi--sahitam tat drutam sutarAm vitarizyate |
   tataḥ sarvāsu nāndīmukhīṃ māṃ ca sa-bhrū-kuṭi-kauṭilyam īkṣamāṇāsu kiñcid	tatas sarvAsu nAndImuKIm mAm ca sa-BrU--kuwi--kOwilyam IkzamANAsu kiQcid-
   upasṛtya tuṅgavidyā sāntaḥ-smitam āha - bho bhoḥ sakhyaḥ! apūrvaikā vārtā	upasRtya tuFga-vidyA sa-antaH--smitam Aha  Bo BoH saKyaH! apUrvA-ekA vArtA
   śrūyatām |	SrUyatAm |
   sarvāḥ - sakhi! kā sā ?	sarvAH  saKi! kA sA ?
   tuṅgavidyā - ekaḥ kānta-darpa-nāmācāryaḥ śruto'sti |	tuFga-vidyA  ekaH kAnta--darpa-nAma-AcAryaH SrutaH-asti |
   lalitā - paramparayā śruto'sti bhadreṇa na jñāyate |	lalitA  paramparayA SrutaH-asti BadreNa na jQAyate |
   tuṅgavidyā - tat-priya-śiṣyeṇa śyāmala-miśra-nāmnā tat-kṛta-sūtrāṇāṃ	tuFga-vidyA  tat--priya--SizyeNa SyAmala-miSra--nAmnA tat-kRta-sUtrANAm
   sandhi-catuṣṭayākhyāta-kṛd-vṛttaya iti vyākhyātāś catasro vṛttayo yāḥ	sanDi--catuzwaya-AKyAta--kRt--vRttayaH iti vyAKyAtAH catasraH vRttayaH yAH
   kṛtāḥ santi	kRtAH santi
   tāḥ kiṃ bhavatībhir dṛṣṭa-caryo bhavanti ?	tAH kim BavatIBiH dRzwa--caryaH Bavanti ?
   viśākhā -- viṣṇu viṣṇu tad-vṛtti-darśanaṃ tāvad-dūre'stu sa eva kadāpi na	viSAKAH - vizNu vizNu tad--vRtti-darSanam tAvat--dUre-astu saH eva kadApi na
   karṇa-gocarīkṛto'sti |	karNa-gocarIkRtaH-asti |
   lalitā sākūtaṃ - tuṅgavidye! kutrāsau tvayā paricitaḥ ?	lalitA sa-AkUtam  tuFga-vidye! kutra-asO tvayA paricitaH ?
   tuṅgavidyā - sakhīsthalyā eka-mahā-padmāpsarasā tad-vṛtti-pāī̀ohārthaṃ taṃ	tuFga-vidyA  saKI-sTalyA eka--mahA--padma-apsarasA tad--vRtti--pAÌoha-arTam tam
   mṛgayituṃ sāya atrāgatam āsīt |	mRgayitum sAya atra-Agatam AsIt |
   tato'haṃ - tuṅgavidye! etāvad-dūra-bhūmau kathaṃ tat-sañcāraḥ ?	tatas-aham  tuFga-vidye! etAvat--dUra-BUmO kaTam tat--saQcAraH ?
   tuṅgavidyā - nikāma-vanyāvṛddhi-sāmarthyena | ity ākarṇya sarvāḥ smitaṃ	tuFga-vidyA  nikAma-vanyA-vRdDi--sAmarTyena | iti AkarNya sarvAH smitam
   kurvanti sma |	kurvanti sma |
   lalitā - tatas tataḥ |	lalitA  tatas tatas |
   tuṅgavidyā - śyāmala-miśrādvitīyenālīka-rāja-paṇḍitena prathamaṃ	tuFga-vidyA  SyAmala--miSrAdvitIyena-alIka--rAja--paNxitena praTamam
   narma-pañjikā̆ā̆aṃ kraya-vikraya-pañjikāṃ ca vidhāya sāmpratam	narma--paQjikĂĂam kraya--vikraya-paQjikAm ca viDAya sAmpratam
   alīka-pañjikā	alIka-paQjikA
   tathādāna-pradāna-pañjikā ca prapañcitā anukrameṇa nāmnāntareṇa ca	taTA-AdAna--pradAna-paQjikA ca prapaQcitAH anukrameNa nAmnA-antareNa ca
   prapañcitaitat-pañjikā-catuṣṭayaṃ bhavatībhiḥ śrutam astīti manye |	prapaQcita-etat-paQjikA--catuzwayam BavatIBiH Srutam asti-iti manye |
   lalitā - atha kiṃ so'pi suṣṭhu anubhūyamāno'sti |	lalitAH  aTa kim saH-api suzWu anuBUyamAnaH-asti |
   tuṅgavidyā - tebhyo'pi parama-samīcīna-tīvra-dhī-prāgalbhyena	tuFga-vidyA  teByaH-api parama--samIcIna-tIvra--DI--prAgalByena
   tat-satīrthena	tat-sa-tIrTena
   kuhaka-bhaṭṭena tad-vrtti-catuṣṭayasya ṭīkā yugapat-kartum ārabdhāḥ santi	kuhaka-Bawwena tad--vrtti--catuzwayasya wIkAH yugapat-kartum ArabDAH santi
   campakalatā - tuṅgavidye! tvaṃ sarva-vidyā-viśāradāsi tad eṣāṃ catūrṇāṃ	campaka-latA  tuFga-vidye! tvam sarva--vidyA--viSAradA-asi tat ezAm catu-UrNAm
   śāstra-kāriṇāṃ nāma-dheya-niruktim avagantuṃ sarvās tvatto'bhilaṣanti |	SAstra-kAriNAm nAma-Deya--niruktim avagantum sarvAH tvattaH-aBilazanti |
   viśākhā - ācārya-bhaṭṭayor arthaḥ spaṣṭa eva tan-miśra-paṇḍitayoḥ sa tāvan	viSAKA  AcArya-BawwayoH arTaH spazwaH eva tan-miSra--paNxitayoH sa tAvan
   nirucyatām |	nirucyatAm |
   tuṅgavidyā vihasya - doṣo'py asti guṇo'py asti tena miśrena miśreta iti	tuFga-vidyA vihasya  dozaH-api asti guNaH-api asti tena miSrena miSretaH iti
   miśraḥ |	miSraH |
   nāndīmukhī - kataro vā doṣaḥ kataro vā gunaḥ ?	nAndImuKI  kataraH vA dozaH kataraH vA gunaH ?
   tuṅgavidyā - vaidagdhyāvaidagdhayor avicāreṇaiva yatra kutrāpi sarvatra	tuFga-vidyA  vEdagDyA-vEdagDayoH avicAreNa-eva yatra kutra-api sarvatra
   pravṛttir	pravRttiH-
   iti doṣaḥ | sāralyādhikyena uttamānuttamāvicāreṇaiva vaiṣamyaṃ vinā	iti dozaH | sAralI-ADikyena uttama-anuttamA-vicAreNa-eva vEzamyam vinA
   sarvatra	sarvatra
   samatayā pravṛttir iti mahān guṇaḥ |	samatayA pravRttiH iti mahAn guNaH |
   lalitā smitvā - tad asyaitan-miśratā padavī samucitaiva |	lalitA smitvA  tat asya-etat--miSratA padavI samucitA-eva |
   citrā - paṇḍito'pi nirucyatām |	citrA  paNxitaH-api nirucyatAm |
   tuṅgavidyā - sad-asad-vicārikā buddhiḥ paṇḍā | tayā yuktaḥ paṇḍitaḥ iti |	tuFga-vidyA  sat--asat--vicArikA budDiH paNxA | tayA yuktaH paNxitaH iti |
   ayaṃ tu	ayam tu
   buddhi-gauraveṇa pūrva-parayoḥ para-vidhir balavān iti vicārya parā	budDi--gOraveNa pUrva-parayoH para-viDiH balavAn iti vicArya parA
   asad-vicārikā	asat--vicArikA
   yā sā paṇḍā tām evottaramtveāśritas tad-yuktatvāt paṇḍita iti |	yA sA paNxA tAm eva-uttaram-tvea-ASritaH tad--yukta-tvAt paNxitaH iti |
   citrā - sakhi tuṅgavidye! sandhyādi-catuṣṭayasyāpy arthaḥ prakāśya	citrA  saKi tuFga-vidye! sanDi-Adi-catuzwayasya-api arTaH prakASya
   kathyatām |	kaTyatAm |
   tuṅgavidyā - citre! asmad-goṣṭhyāṃ tat-prapañcena lalitaiva dakṣā tat	tuFga-vidyA  citre! asmad--gozWyAm tat--prapaQcena lalitA-eva dakzA tat-
   saiva	sA-eva
   kathayatu |	kaTayatu |
   lalitā - citre! etat-prasaṅga-leśo'pi mayā kadāpi na śruto'pi tad	lalitA  citre! etat--prasaFga--leSaH-api mayA kadApi na SrutaH-api tat-
   etat-prakaraṇa-vyākhyātrī tuṅgavidyaiva tad-arthaṃ jānāti |	etat--prakaraNa--vyAKyAtrI tuFga-vidyA-eva tad--arTam jAnAti |
   citrā - tuṅgavidye! mac-chirasā śāpitāsi tvayaiva vyākhyāyatām |	citrA  tuFga-vidye! mac--SirasA SApitA-asi tvayA-eva vyAKyAyatAm |
   tato'tilajjayā svayam asaṃkathya rādhikātiprīti-pātrīṃ manāg apy	tatas-ati-lajjayA svayam asaMkaTya rADikA-ati-prIti--pAtrIm manAk api-
   anucyamānāṃ	anucyamAnAm
   tadīya-sukhada-savidhāṃ bhū-cāraṇa-varya-kiśorīṃ tuṅganarmākhya-vaihāsikīṃ	tadIya--suKa-da-saviDAm BU--cAraNa--varya-kiSorIm tuFga-narma-AKya--vEhAsikIm
   cakṣuḥ-kūṇanena sa-smitam ālokayantyāṃ tuṅgavidyāyāṃ, tuṅganarmā kiñcit	cakzuH--kUNanena sa--smitam AlokayantyAm tuFga-vidyAyAn, tuFga-narmA kiQcid-
   sannidhāya sa-smita-man-mukham avalokayantī nijagāda - citre! sa tāvad	sanniDAya sa-smita-man-muKam avalokayantI nijagAda  citre! sa tAvat-
   artho'smābhir na jñāyate kintu tayāpsarasā punaḥ punar āgatya sa-vinayaṃ	arTaH-asmABiH na jQAyate kintu tayA-apsarasA punar punar Agatya sa-vinayam
   svayam	svayam
   āgraha-bhareṇa suprasannīkṛtāt yathārtha-padavīka-miśra-varād adhītya	Agraha--BareNa su-prasannIkRtAt yaTArTa-padavIka-miSra-varAt aDItya
   tad-vṛtti-catuṣṭaya-vyākhyānam asmat-sahita-tuṅgavidyāgrataḥ sāṅgaṃ yad	tad--vRtti--catuzwaya--vyAKyAnam asmat--sahita--tuFga-vidyA-agratas sAFgam yat-
   akāri	akAri
   tat samāsena mayā kathyamānaṃ śṛṇuta -	tat samAsena mayA kaTyamAnam SRNuta -
   prathamaṃ śṛṇu dūtī-dvārā vā kṛtābhiyogena yūnor milanaṃ sandhiḥ | tasya	praTamam SRNu dUtI-dvArA vA kRta-aBiyogena yUnoH milanam sanDiH | tasya
   vṛttir	vRttiH-
   vivaraṇa-matisārādir iti |	vivaraNa-matisAra-AdiH iti |
   tataḥ kucālambha-pariṣvaṅga-cumbanādhara-pāna-rūpāṇāṃ śṛṅgāra-bhedānāṃ	tatas kuca-AlamBa--parizvaFga--cumbana-aDara--pAna--rUpANAm SRFgAra-BedAnAm
   catuṣṭayam eva catuṣṭayam | tasya tasya vṛttir nakha-kṣatādiḥ,	catuzwayam eva catuzwayam | tasya tasya vRttiH naKa--kzata-AdiH,
   bāhu-bandha-bhṛṅgy-ādiḥ, gaṇḍa-sthale savilāsa-mukha-kamalāropaṇādiḥ,	bAhu-banDa--BRFgI--AdiH, gaNxa-sTale sa-vilAsa--muKa--kamala-AropaNa-AdiH,
   savaidagdhya-daṃśādir iti |	sa-vEdagDya-daMSa-AdiH iti |
   tato'nyonya-narma-lapitam ākhyātam | tasya vṛttiḥ paraspara-jayākāṅkṣayā	tatas-anyonya--narma--lapitam AKyAtam | tasya vRttiH paraspara-jayA-kAFkzayA
   nigūḍhārtha-prahelikādi-prayoga iti |	nigUXa-arTa--prahelikA-Adi-prayogaH iti |
   citrā sa-smitaṃ - tuṅganarman! aśruta-caraitad apūrvārtha-vyākhyānam	citrA sa--smitam  tuFga-narmanaH aSruta--cara-etat apUrva-arTa--vyAKyAnam
   asmat-karṇa-gocarīkṛtaṃ, bhavatyā tat kṛd-vṛtter apy arthaḥ suṣṭhu	asmat-karNa--gocarIkRtaM, BavatyA tat kRd--vRtteH api arTaH suzWu
   nirucyatām |	nirucyatAm |
   tuṅganarmā -- ānandaṃ karotīti ānanda-kṛt sambhogaḥ | tasya vṛttiḥ	tuFga-narmA - Anandam karoti-iti Ananda-kRt samBogaH | tasya vRttiH
   śītkāra-cakṣr nirmīlanādir iti | kiṃ ca kānta-darpācāryādy-avatāriṇā	SItkAra--cakzAH nirmIlana-AdiH iti | kim ca kAnta--darpa-AcArya-Adi--ava-tAriNA
   kalāpa-priyeṇa siddha-kumāreṇānena tat-tad-vigrahāntareṇaiva yat	kalApa-priyeNa sidDa--kumAreNa-anena tat--tad--vigraha-antareNa-eva yat-
   kalāpa-vyākaraṇam āvirbhāvitaṃ tatrātyantāpādeyatvena atiśaya-rahasyatvena	kalA-pa--vyAkaraNam AvirBAvitam tatra-atyanta-apAdeya-tvena atiSaya-rahasya-tvena
   ca	ca
   prakaṭam anigadya bhaṅgyā nāma-dheyāntareṇa ca yat kiñcit nigūhitaṃ tad	prakawam anigadya BaFgyA nAma-Deya-antareNa ca yat kiQcid nigUhitam tat-
   bhavad-vidha-rasika-snigdha-vidagdha-janair vidagdha-buddhi-sakhībhiḥ	Bavat--viDa-rasika--snigDa--vidagDa--janEH vidagDa--budDi--saKIBiH
   samasadhika-vicāreṇa samanubhavanīyam iti |	sama-saDika-vicAreNa samanuBavanIyam iti |
   campakalatā kiñcid vihasya - tuṅgavidye! etad-bhaṭṭa-pādānāṃ tvāv eva	campakalatA kiQcid vihasya  tuFga-vidye! etat--Bawwa--pAdAnAm tvO eva
   bhujau	BujO
   tatrāpy atīva sukumārau tat katham ekadaiva ṭīkā-catuṣṭayaṃ lekhituṃ	tatra-api atIva su-kumArO tat kaTam ekadA-eva wIkA--catuzwayam leKitum
   śaknotu |	Saknotu |
   tuṅgavidyā -- mugdhe! nijendra-jāla-balenāyaṃ bhuja-catuṣṭayam api	tuFga-vidyA - mugDe! nija-indra-jAla--balena-ayam Buja--catuzwayam api
   prāduṣkartuṃ śaknoti |	prAduzkartum Saknoti |
   lalitā -- satyaṃ satyaṃ vāsantika-rāsollāsa-mahotsave	lalitA - satyam satyam vAsantika-rAsa-ullAsa--mahA-utsave
   parama-rāsa-sthalī-nikaṭa-varti-praviṣṭaka-nāmāraṇya-khaṇḍāntar-nikuñjāntar	parama--rAsa--sTalI-nikawa--varti--pravizwaka-nAma-araNya---KaNxa-antar--nikuQja-antar
   āle'pi para-rāmā-ratnam apahartuṃ nikhila-ballavī-vṛnda-vañcanāya ca	Ale-api para-rAmA--ratnam apahartum niKila--ballavI--vRnda--vaQcanAya ca
   sva-paricyāyakādbhuta-nija-mādhurī-santatim avaguṇṭhya kuhaka-balād	sva--paricyAyaka-adButa--nija--mADurI--santatim avaguNWya kuhaka-balAt-
   evānena	eva-anena
   caturbhujatvam āviṣkṛtam āsīt |	catur-Buja-tvam AvizkRtam AsIt |
   viśākhā - lalite! satyam etat sarvam asyakuhaka-bala-vijṛmbhitam eva yat	viSAKA  lalite! satyam etat sarvam asya-kuhaka-bala--vijRmBitam eva yat-
   priya-sakhyā saha gadya-padyair narmālāpa-goṣṭhyāṃ tāṃ jetuṃ	priya-saKyA saha gadya--padyEH narma-AlApa-gozWyAm tAm jetum
   nija-kuhaka-pāṇḍityena samprati vṛddhi-vṛttim ācaratā pada-dvayasya	nija--kuhaka--pANxityena samprati vRdDi-vRttim AcaratA pada--dvayasya
   vṛddhiḥ	vRdDiH
   kadācid yad anena kriyate tac cāsmābhir api dṛṣṭam asti |	kadAcid yat anena kriyate tat ca-asmABiH api dRzwam asti |
   sudevī - viśākhe! caturṇām eteṣāṃ śāstra-kāriṇāṃ prāyeṇaika eva vyavasāyaḥ	sudevI  viSAKe! caturNAm etezAm SAstra-kAriNAm prAyeNa-ekaH eva vyavasAyaH
   kathaṃ dṛśyate ?	kaTam dRSyate ?
   nāndīmukhī - sudevi! etad vivaraṇam alpākṣareṇa tuṅganarmaṇā yad akāri tat	nAndImuKI  sudevi! etat vivaraNam alpa-akzareNa tuFga-narmaNA yat akAri tat-
   kiṃ	kim
   tvayā nahi śrutam ?	tvayA na-hi Srutam ?
   sudevī - yāva-grāma-stha-priya-sakhyāṃ tadānīṃ datta-manaskayā mayā tat	sudevI  yAva-grAma--sTa-priya--saKyAm tadAnIm datta-manaskayA mayA tat-
   samyaktayā nāvadhāritaṃ tat kṛpayā tvayaiva vistareṇa saṃkathya śrāvyatām	samyaktayA na-avaDAritam tat kRpayA tvayA-eva vistareNa saMkaTya SrAvyatAm
   nāndīmukhī - sudevi! śrūyatām | vastuta ete catvāraḥ kuhaka-bhaṭṭa-nāmā	nAndImuKI  sudevi! SrUyatAm | vastutas ete catvAraH kuhaka-Bawwa--nAmA
   eka	eka
   eva kumāro bhavati | sa eva kṛtya-bheda-vinoda-sampādanāyātmanaḥ	eva kumAraH Bavati | saH eva kRtya-Beda-vinoda--sampAdanAya-AtmanaH
   prakṛṣṭatara-kuhaka-prabhāvāt prakaṭitenaikena vigraheṇaiva	prakRzwatara--kuhaka--praBAvAt prakawitena-ekena vigraheNa-eva
   kānta-darpācārya	kAnta--darpa-AcArya
   iti apareṇa śyāmala-miśra iti padavīm adhyārūḍho vartate |	iti apareNa SyAmala-miSraH iti padavIm aDyArUXaH vartate |
   alīka-rāja-paṇḍitena	alIka--rAja--paNxitena
   samaṃ tu sphuṭam asya pṛthag-vigrahatā nāsty eva kintv ayam eva sadā	samam tu sPuwam asya pRTak--vigraha-tA na-asti eva kintu ayam eva sadA
   dharmī	DarmI
   kumāraḥ | sphuṭam atra vilāsa-viśeṣollāsa-karaṇāya kiñcit	kumAraH | sPuwam atra vilAsa--viSeza-ullAsa-karaNAya kiQcid-
   prakāśa-bhedenālīka-rāja-paṇḍiteti nāmāntaram urarīkṛtya kāmam ātmīyānām	prakASa--Bedena-alIka--rAja--paNxitA-iti nAma-antaram urarIkRtya kAmam AtmIyAnAm
   ātmanaś ca paramānanda-kallolam āsphālayan viharate |	AtmanaH ca parama-Ananda--kallolam AsPAlayan viharate |
   tato'haṃ - haṃho! yac caturbhujatvādika-līlāyitam akhilam asmābhiḥ	tatas-aham  haMho! yat catur-Buja-tva-Adi-ka-lIlAyitam aKilam asmABiH
   siddhatā-prabhāvair evāvirbhāvyate | tan mūrkhābhir ābhir ugrābhiḥ	sidDa-tA--praBAvEH eva-AvirBAvyate | tat mUrKABiH ABiH ugrABiH
   kuhaka-bhaṭṭābhir nija-nikṛṣṭa-kuhaka-prabhāvair eveti santatam udghuṣyate	kuhaka-BawwABiH nija--nikRzwa--kuhaka--praBAvEH eva-iti santatam udGuzyate
   iti mad-vacaḥ samākarṇya sarvāḥ - anena siddha-gosvāminā sva-prabhāveṇa	iti mad--vacaH samAkarNya sarvAH  anena sidDa-go-svAminA sva--praBAveNa
   nijālīkatāpi siddhī-sampādya sva-mukhenaiva paraṃ nirdhāritā vyadhāyīti	nija-alIka-tA-api sidDI--sampAdya sva--muKena-eva param nirDAritA vyaDAyi-iti
   sarvair	sarvEH-
   nirbharam ullāsyamāne hāsa-kutūhale |	nirBaram ullAsyamAne hAsa-kutUhale |
   ahaṃ svagataṃ - bho āścaryam āścaryam amūbhir vāvadūka-ballavībhir	aham sva-gatam  Bo AScaryam AScaryam amUBiH vAvadUka--ballavIBiH-
   vacana-prakāśa-paripāṭībhir bāḍham alīkataiva mayi siddhīkṛteti manasi	vacana--prakASa--paripAwIBiH bAXam alIka-tA-eva mayi sidDIkRtA-iti manasi
   vibhāvya	viBAvya
   lajjayā mayā tad-anākarṇita-mudrayaiva tāḥ suṣṭhv avadhāryeva kiñcid	lajjayA mayA tad--anAkarNita--mudrayA-eva tAH suzWu avaDArya-iva kiQcid-
   vihasya	vihasya
   vyāhṛtaṃ - bho mugdhā yauvanāndhā vilāsinyaḥ! yady atra nahi vaḥ pratītis	vyAhRtam  Bo mugDA yOvana-anDA vilAsinyaH! yadi atra na-hi vaH pratIti-s
   tarhi	tarhi
   sarveṣāṃ samakṣam eva sva-siddhiṃ darśayan prathamam asyāḥ kaṇṭhe	sarvezAm samakzam eva sva--sidDim darSayan praTamam asyAH kaNWe
   vana-mālā	vana-mAlA
   bhavāni iti vihasya campakalatām upasarpan - vayasya siddhasya tava	BavAni iti vihasya campakala-tAm upasarpan  vayasya sidDasya tava
   para-ramaṇī-sparśaḥ parama-nyāyya iti vihasya vadatā madhumaṅgalena	para-ramaNI--sparSaH parama-nyAyyaH iti vihasya vadatA maDu-maFgalena
   nivartito'ham avadaṃ - sakhe! siddhasya siddhayā saṃyogo mithaḥ	nivartitaH-aham avadam  saKe! sidDasya sidDayA saMyogaH miTas-
   paramānanda-lābhāyaiva bhavati | uktaṃ ca śrī-nāradena -	parama-Ananda--lABAya-eva Bavati | uktam ca SrI-nAradena -
   paramānanda-lābhāya	parama-Ananda--lABAya
   sva-yūthyām eva saṃśrayed iti |	sva--yUTyAm eva saMSrayet iti |
   iti niśamya hasantīṣu sarvāsu paramānanda-janita-kampādi-sāttvika-vikārān	iti niSamya hasantIzu sarvAsu parama-Ananda--janita--kampa-Adi--sAttvika-vikArAn
   bhaneevācchādayantī campakalatā prapalāyya kuñjāntarāle praviṣṭā rādhāṃ	Banea-iva-acCAdayantI campa-kalatA prapalAyya kuQja-antarAle pravizwAH rADAm
   pṛṣṭhe samāliṅgya nilīnāsīt |	pRzWe samAliFgya nilInA-AsIt |
   tato'haṃ citrāṃ mauktikāni haste cālayann uktavān - citre! samakṣam āgatya	tatas-aham citrAm mOktikAni haste cAlayan uktavAn  citre! samakzam Agatya
   mauktika-mūlyaṃ śṛṇu śṛṅgāra-karma-vicakṣaṇāyās tava mūrti-mañjuṣikāyāṃ	mOktika--mUlyam SRNu SRFgAra--karma--vicakzaNAyAH tava mUrti--maQjuzikAyAm
   tat-sādhanāni bahūni santīti tvat-prāṇa-preṣṭha-sakhyā kathitam asti |	tat-sADanAni bahUni santi-iti tu-at--prANa--prezWa--saKyA kaTitam asti |
   tair	tEH-
   vicitra-śṛṅgāreṇa mat-pratyaṅgāni tathā bhūṣaya yathāham api	vicitra--SRFgAreNa mat--pratyaFgAni taTA BUzaya yaTA-aham api
