   (PSP_5:1)	(PSu _5:1)
   mamābhiprāyaṃ paripūrayiṣyaty, ayaṃ bodhisattvayānikaḥ pudgalo 'py ābhyāṃ	mama aBiprAyam paripUrayizyaty, ayam boDisattva yAnikaH pudgalaH api AByAm
   dvābhyāṃ bhūmibhyām anyatarasyāṃ bhūmau sthāsyati yad uta śrāvakabhūmau vā	dvAByAm BUmiByAm anyatarasyAm BUmO sTAsyati yat uta SrAvaka BUmO vA
   pratyekabuddhabhūmau vā.	pratyekabudDa BUmO vA.
   punar aparam ānanda evaṃrūpasya bodhisattvasya māraḥ pāpīyān avatāraṃ	punar aparam Ananda evaMrUpasya boDisattvasya mAraH pApIyAn avatAram
   lapsyate yo bodhisattva iha gambhīrāyāṃ prajñapāramitāyāṃ bhāṣyamāṇāyām	lapsyate yaH boDisattvaH iha gamBIrAyAm prajQapAramitAyAm BAzyamANAyAm
   evaṃ vakṣyati: gambhīreyaṃ prajñāpāramitā, kiṃ te etayā gambhīrayā	evam vakzyati: gamBIrA iyam prajQApAramitA, kim te etayA gamBIrayA
   prajñāpāramitayā śrutayā bhāṣitayā vācitayā paryavāptayā dhāritayā? aham	prajQApAramitayA SrutayA BAzitayA vAcitayA paryavAptayA DAritayA? aham
   api tāvad asyām āgādhaṃ na labhe kutaḥ punas tvaṃ lapsyase, asyāpy ānanda	api tAvat asyAm AgADam na laBe kutas punar tvam lapsyase, asya api Ananda
   bodhisattvasya māraḥ pāpīyān avatāraṃ lapsyate.	boDisattvasya mAraH pApIyAn avatAram lapsyate.
   punar aparam ānanda yasmin samaye bodhisattvo 'nyataraṃ bodhisattvam	punar aparam Ananda yasmin samaye boDisattvaH anyataram boDisattvam
   avamaṃsyate: ahaṃ dānapāramitāyāṃ carāmi na tvaṃ dānapāramitāyāñ carasi,	avamaMsyate: aham dAna pAramitAyAm carAmi na tvam dAna pAramitAyAn carasi,
   ahaṃ śīlapāramitāyāṃ kṣāntipāramitāyāṃ vīryapāramitāyāṃ dhyānapāramitāyāṃ	aham SIla pAramitAyAm kzAnti pAramitAyAm vIrya pAramitAyAm DyAna pAramitAyAm
   carāmi na tvaṃ śīlapāramitāyāṃ kṣāntipāramitāyāṃ vīryapāramitāyāṃ	carAmi na tvam SIla pAramitAyAm kzAnti pAramitAyAm vIrya pAramitAyAm
   dhyānapāramitāyāṃ carasi, ahaṃ prajñāpāramitāyāṃ carāmi na tvaṃ	DyAna pAramitAyAm carasi, aham prajQApAramitAyAm carAmi na tvam
   prajñāpāramitāyāṃ carasi, asyāpy ānanda bodhisattvasya māraḥ pāpīyān	prajQApAramitAyAm carasi, asya api Ananda boDisattvasya mAraH pApIyAn
   avatāraṃ lapsyate.	avatAram lapsyate.
   punar aparam ānanda yasmin samaye bodhisattvo ātmānam utkṛṣṭaṃ manyate	punar aparam Ananda yasmin samaye boDisattvaH AtmAnam utkRzwam manyate
   tasminn ānanda samaye māraḥ pāpīyāṃs tuṣṭo bhavaty udagro bhavaty	tasmin Ananda samaye mAraH pApIyAn tuzwaH Bavati udagraH Bavati 
   āttamanāḥ pramuditaḥ prītisaumanasyajāto bhavati, asyāpy ānanda	Atta manAH pramuditaH prIti sOmanasya jAtaH Bavati, asya api Ananda
   bodhisattvasya māraḥ pāpīyān avatāraṃ lapsyate.	boDisattvasya mAraH pApIyAn avatAram lapsyate.
   punar aparam ānanda yasmin samaye bodhisattvo nāmagrahaṇato vā	punar aparam Ananda yasmin samaye boDisattvaH nAma grahaNataH vA
   gotragrahaṇato vā parikīrtito bhavati sa tena nāmagrahaṇena vā	gotra grahaNataH vA parikIrtitaH Bavati sa tena nAma grahaNena vA
   gotragrahaṇena vā tadanyān bodhisattvān peśalān kalyāṇadharmaṇo	gotra grahaNena vA tad anyAn boDisattvAn peSalAn kalyANa DarmaNaH 
   'vamaṃsyate, ātmānam utkarṣayati parān paṃśayati, te cāsya guṇā na	avamaMsyate, AtmAnam utkarzayati parAn paMSayati, te ca asya guNAH na
   saṃvidyante ye 'vinivartanīyānāṃ bodhisattvānāṃ mahāsattvānām ākārā	saMvidyante ye avinivartanIyAnAm boDisattvAnAm mahAsattvAnAm AkArA
   liṅgāni nimittāni. (PSP_5:25) sa tair akārair liṅgair nimittair	liFgAni nimitta ani. (PSu _5:25) sa tEH akArEH liFgEH nimittEH 
   asaṃvidyamānaiḥ kleśam utpādayati, ātmānam utkarṣayati parān paṃśayati: na	asaMvidyamAnEH kleSam utpAdayati, AtmAnam utkarzayati parAn paMSayati: na
   tvam atra bodhisattvayāne saṃdṛśyase yathāham atra bodhisattvayāne	tvam atra boDisattva yAne saMdRSyase yaTA aham atra boDisattva yAne
   bodhisattvagotre saṃdṛśye. sa tenādhimānena bodhisattvayānikān pudgalān	boDisattva gotre saMdRSye. sa tena aDimAnena boDisattva yAnikAn pudgalAn
   kutsayiṣyati paṃśayiṣyati. tatra mārasya pāpīyasa evaṃ bhaviṣyati, aśūnyaṃ	kutsayizyati paMSayizyati. tatra mArasya pApIyasaH evam Bavizyati, aSUnyam
   me bhavanaṃ bhaviṣyaty utsadā bhaviṣyanti mahānarakās, tiryagyonir	me Bavanam Bavizyati utsadAH Bavizyanti mahAnara kAs, tiryagyoniH 
   yamalokaḥ pretaviṣayaḥ. tathātathā ca māraḥ pāpīyāṃs tān bodhisattvān	yama lokaH preta vizayaH. taTA taTA ca mAraH pApIyAn tAn boDisattvAn
   adhiṣṭhāsyati yathādeyavacanā bhaviṣyanti teṣāṃ tayādeyavacanatayā	aDizWAsyati yaTA deya vacanAH Bavizyanti tezAm tayA Adeya vacana tayA
   bahujanaḥ śrotavyaṃ maṃsyante, teṣāṃ śrutvā dṛṣṭvānukṛtim āpatsyante, te	bahu janaH Srotavyam maMsyante, tezAm SrutvA dRzwvA anukRtim Apatsyante, te
   śrutvā dṛṣṭvānukṛtim āpadyamānās tathatāyai na śikṣiṣyante, te tathatāyai	SrutvA dRzwvA anukRtim ApadyamAnAH taTatAyE na Sikzizyante, te taTatAyE
   na śikṣamāṇās te tathatāyai na pratipadyamānāḥ kleśaṃ vivardhayiṣyanti, te	na SikzamANAH te taTatAyE na pratipadyamAnAH kleSam vivarDayizyanti, te
   viparyastayā cittasaṃtatyā yadyad eva karmārapsyante kāyena vā vācā vā	viparyastayA citta saMtatyAH yat yat eva karma Arapsyante kAyena vA vAcA vA
   manasā vā, sarvaṃ tad aniṣṭatvāyākāntatvāyāmanaāpatvāya saṃvartiṣyati.	manasA vA, sarvam tat anizwa tvAya akAnta tva AyAmanaA apatvAya saMvartizyati.
   evaṃ te mahānarakā utsadā bhaviṣyanti, tiryagyonir yamalokaḥ pretaviṣaya	evam te mahAnarakAH utsadA Bavizyanti, tiryagyoniH yama lokaH preta vizaya
   utsado bhaviṣyati, mārabhavanāny utsadāni bhaviṣyanti. imaṃ	utsadaH Bavizyati, mAra BavanAni utsadAni Bavizyanti. imam
   ānandārthavaśaṃ saṃpaśyamāno māraḥ pāpīyān āttamanā bhavati pramuditaḥ	Ananda arTa vaSam saMpaSyamAnaH mAraH pApIyAn Atta manAH Bavati pramuditaH
   prītisaumanasyajātaḥ.	prIti sOmanasya jAtaH.
   punar aparaṃ ānanda saced bodhisattvayānikaḥ pudgalaḥ śrāvakayānikena	punar aparam Ananda saced boDisattva yAnikaH pudgalaH SrAvaka yAnikena
   pudgalena sārdhaṃ vivadati, tatra mārasya pāpīyasa evaṃ bhavati,	pudgalena sArDam vivadati, tatra mArasya pApIyasaH evam Bavati,
   dūrīkariṣyati batāyaṃ kulaputraḥ sarvākārajñatāṃ nāyam abhyāsī bhaviṣyati	dUrIkarizyati bata ayam kula putraH sarva AkAra jQa tAm na ayam aByAsI Bavizyati
   sarvākārajñatāyāḥ. tat kasya hetoḥ? naite kalahabhaṇḍanavigrahavivādā	sarva AkAra jQa tAyAH. tat kasya hetoH? na ete kalaha BaNxana vigraha vivAdA
   mārgaḥ sarvākārajñtāyā narakamārga eṣa tiryagyonimārga eṣa yamalokamārga	mArgaH sarva AkAra jQtAyAH naraka mArgaH eza tiryagyoni mArgaH eza yama loka mArga
   eṣa naiṣa mārgaḥ sarvākārajñatāyāḥ.	eza na eza mArgaH sarva AkAra jQa tAyAH.
   punar aparaṃ ānanda saced bodhisattvayānikaḥ pudgalo 'pareṇa	punar aparam Ananda saced boDisattva yAnikaH pudgalaH apareNa
   bodhisattvayānikena pudgalena sārdhaṃ kalahabhaṇḍanavigrahavivādān karoti,	boDisattva yAnikena pudgalena sArDam kalaha BaNxana vigraha vivAdAn karoti,
   tatra mārasya pāpīyasa evaṃ bhavati, ubhāv apy etau dūrībhaviṣyataḥ,	tatra mArasya pApIyasaH evam Bavati, uBO api etO dUrIBavizyataH,
   sarvākārajñatāyā ubhāv apy etau nābhisaṃbhotsyete 'nuttarāṃ	sarva AkAra jQa tAyAH uBO api etO nABisaMBotsyete anuttarAm
   samyaksaṃbodhim. tat kasya hetoḥ? tathā hi naiṣa mārgaḥ sarvākārajñatāyā	samyaksaMboDim. tat kasya hetoH? taTA hi na eza mArgaH sarva AkAra jQa tAyAH 
   ya etaiḥ kulaputrair ārabdho, narakamārga eṣa tiryagyonimārga eṣa	yaH etEH kula putrEH ArabDo, naraka mArgaH eza tiryagyoni mArgaH eza
   yamalokamārga eṣa ya etaiḥ kulaputrair ārabdhaḥ.	yama loka mArgaH eza yaH etEH kula putrEH ArabDaH.
   punar aparaṃ ānandāvyākṛto bodhisattvo vyākṛtasya bodhisattvasya	punar aparam Ananda avyAkRtaH boDisattvaH vyAkRtasya boDisattvasya
   mahāsattvasyāntike cittam āghātayiṣyati, kalahaṃ vā bhaṇḍanam (PSP_5:26)	mahAsattvasya antike cittam AGAtayizyati, kalaham vA BaNxanam (PSu _5:26)
   vā vigrahaṃ vā vivādaṃ vā kariṣyati, tena punas tāvata eva kalpān saṃnāhaḥ	vA vigraham vA vivAdam vA karizyati, tena punar tAvataH eva kalpAn saMnAhaH
   saṃnaddhavyaḥ yāvanti tasya tāni cittāny utpannāni kalahaṃ vā bhaṇḍanaṃ vā	saMnadDavyaH yAvanti tasya tAni cittAni utpannAni kalaham vA BaNxanam vA
   vigrahaṃ vā vivādaṃ vā kurvataḥ, saced asya sarvākārajñatāparibhyaktā	vigraham vA vivAdam vA kurvataH, saced asya sarva AkAra jQa tA pariByaktA
   bhavati.	Bavati.
   evam ukte āyuṣmān ānando bhagavantam etad avocat: asti bhagavann eteṣāṃ	evam ukte AyuzmAn AnandaH Bagavantam etat avocat: asti Bagavan etezAm
   cittotpādānāṃ niḥsaraṇam utāho tāvata eva kalpān saṃnāhaḥ saṃnaddhavyaḥ.	citta utpAdAnAm niHsaraNam uta aho tAvataH eva kalpAn saMnAhaH saMnadDavyaH.
   evam ukte bhagavān āyuṣmantam ānandam etad avocat: aniḥsaraṇo mayānanda	evam ukte BagavAn Ayuzmantam Anandam etat avocat: aniHsaraNaH mayA Ananda
   dharmo deśitaḥ śrāvakayānikānāñ ca pudgalānāṃ pratyekabuddhayānikānāñ ca	DarmaH deSitaH SrAvaka yAnikAnAn ca pudgalAnAm pratyekabudDa yAnikAnAn ca
   pudgalānāṃ, tatrānanda yo 'yaṃ bodhisattvayānikaḥ pudgalo	pudgalAnAn, tatra Ananda yaH ayam boDisattva yAnikaH pudgalaH 
   bodhisattvayānikena pudgalena sārdhaṃ kalahaṃ vā bhaṇḍanaṃ vā vigrahaṃ vā	boDisattva yAnikena pudgalena sArDam kalaham vA BaNxanam vA vigraham vA
   kuryād yāvad vivaded vā ākrośed vā paribhāṣed vā kalahayitvā vā	kuryAt yAvat vivadet vA AkroSet vA pariBAzet vA kalahayitvA vA
   bhaṇḍayitvā vā vigrahayitvā vā vivādayitvā vā ākrośayitvā vā	BaNxayitvA vA vigrahayitvA vA vivAdayitvA vA AkroSayitvA vA
   paribhāṣayitvā vā na pratideśayaty anuśayaṃ vahati anuśayabaddho viharati,	pariBAzayitvA vA na pratideSayati anuSayam vahati anuSaya badDaH viharati,
   nāham ānanda tasya pudgalasya niḥsaraṇaṃ vadāmi, avaśyaṃ tena tāvata eva	na aham Ananda tasya pudgalasya niHsaraNam vadAmi, avaSyam tena tAvataH eva
   kalpān saṃnāhaḥ saṃnaddhavyaḥ, saced asyāparityaktā sarvākārajñatā.	kalpAn saMnAhaH saMnadDavyaH, saced asya aparityaktA sarva AkAra jQa tA.
   punar aparam ānanda bodhisattvo mahāsattvaḥ kalahayitvā bhaṇḍitvā	punar aparam Ananda boDisattvaH mahAsattvaH kalahayitvA BaNxitvA
   vigrahayitvā vivaditvā ākroṣitvā paribhāṣitvā pratideśayati: mānuśayaṃ	vigrahayitvA vivaditvA AkrozitvA pariBAzitvA pratideSayati: mA anuSayam
   vahaty āyatyāṃ saṃvaram āpadyate durlabdhā me lābhā, yan mayā	vahati AyatyAm saMvaram Apadyate durlabDA me lABA, yat mayA
   sarvasattvānāṃ bhāra āhartavyas tad ahaṃ mantrite pratimantrayāmi, yan	sarva sattvAnAm BAraH AhartavyaH tat aham mantrite pratimantrayAmi, yat 
   mayā sarvasattvānāṃ saṃkramabhūtena bhavitavyaṃ so 'haṃ parasyāpriyaṃ	mayA sarva sattvAnAm saMkrama BUtena Bavitavyam saH aham parasya apriyam
   mantrayāmi prativacanaṃ ca dadāmi. evam api mayā na vaktavyaṃ	mantrayAmi prativacanam ca dadAmi. evam api mayA na vaktavyam
   jaḍaiḍakamūkasadṛśena mayā bhavitavyaṃ, adhyāśayaś ca me na vikopayitavyo	jaxa exaka mUka sadRSena mayA Bavitavyan, aDyASayaH ca me na vikopayitavyaH 
   yan mayaite sattvāḥ parinirvāpayitavyā anuttarāṃ samyaksaṃbodhim	yat mayA ete sattvAH parinirvApayitavyAH anuttarAm samyaksaMboDim
   abhisaṃbudhya tad aham atra vyāpadye tad aham atra kṣubhyāmi na mayātra	aBisaMbuDya tat aham atra vyApadye tat aham atra kzuByAmi na mayA atra
   vyāpattavyaṃ na mayā kṣobhacittam utpādayitavyam. asyānanda bodhisattvasya	vyApattavyam na mayA kzoBa cittam utpAdayitavyam. asya Ananda boDisattvasya
   mahāsattvasya māraḥ pāpīyān avatāraṃ na labhate.	mahAsattvasya mAraH pApIyAn avatAram na laBate.
   punar aparam ānanda bodhisattvena mahāsattvena śrāvakayānikaiḥ pudgalaiḥ	punar aparam Ananda boDisattvena mahAsattvena SrAvaka yAnikEH pudgalEH
   sārdhaṃ na sthātavyaṃ sacet tiṣṭhati tena na kasyacid antike vyāpattavyaṃ.	sArDam na sTAtavyam saced tizWati tena na kasyacid antike vyApattavyaM.
   tat kasya hetoḥ? tathā hi naitan mama pratirūpaṃ syāt, (PSP_5:27) yad aham	tat kasya hetoH? taTA hi na etat mama pratirUpam syAt, (PSu _5:27) yat aham
   eteṣām antike vyāpadye vā kṣubhyeyaṃ vā. tat kasya hetoḥ? tathā hi te	etezAm antike vyApadye vA kzuByA iyam vA. tat kasya hetoH? taTA hi te
   mayānuttarāṃ samyaksaṃbodhim abhisaṃbudhya sarvaduḥkhebhyaḥ	mayA anuttarAm samyaksaMboDim aBisaMbuDya sarva duHKeByaH
   parimocayitavyāḥ. iti saptamī	parimocayitavyAH. iti saptamI
   atha khalv āyuṣmān ānando bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu AyuzmAn AnandaH Bagavantam etat avocat: kaTam Bagavan
   bodhisattvena mahāsattvena bodhisattvayānikānāṃ pudgalānām antike	boDisattvena mahAsattvena boDisattva yAnikAnAm pudgalAnAm antike
   sthātavyam?	sTAtavyam?
   bhagavān āha: tadyathāpi nāmānanda śāstari, evaṃ bodhisattvena	BagavAn Aha: tat yaTA api nAma Ananda SAstari, evam boDisattvena
   mahāsattvena bodhisattvayānikānāṃ pudgalānām antike sthātavyam. tat kasya	mahAsattvena boDisattva yAnikAnAm pudgalAnAm antike sTAtavyam. tat kasya
   hetoḥ? eṣa hi mama sahāyaka ekayānasamārūḍho, yathā caivaitena śikṣitavyaṃ	hetoH? eza hi mama sahAyakaH eka yAna samArUXo, yaTA ca eva etena Sikzitavyam
   tathā caiva mayā śikṣitavyaṃ yatra caitena śikṣitavyaṃ tatra caiva mayā	taTA ca eva mayA Sikzitavyam yatra ca etena Sikzitavyam tatra ca eva mayA
   śikṣitavyaṃ yad uta dānapāramitāyāṃ śīlapāramitāyāṃ kṣāntipāramitāyāṃ	Sikzitavyam yat uta dAna pAramitAyAm SIla pAramitAyAm kzAnti pAramitAyAm
   vīryapāramitāyāṃ dhyānapāramitāyāṃ prajñāpāramitāyāṃ sarvaśūnyatāsu	vIrya pAramitAyAm DyAna pAramitAyAm prajQApAramitAyAm sarva SUnyatAsu
   saptatriṃśadbodhipakṣyeṣu dharmeṣv apramāṇadhyānārūpyasamāpattisv	saptatriMSat boDi pakzyezu Darmezu apramANa DyAna ArUpya samApatti sv
   āryasatyeṣu sarvavimokṣasamādhisamāpattidhāraṇīmukheṣu	Arya satyezu sarva vimokza samADi samApatti DAraNI muKezu
   śūnyatānimittāpraṇihiteṣu pañcasv abhijñāsu daśasu tathāgatabaleṣu caturṣu	SUnyatA nimitta apraNihitezu paQcasu aBijQAsu daSasu taTAgata balezu caturzu
   vaiśāradyeṣu catasṛṣu pratisaṃvitsv aṣṭādaśasv āveṇikeṣu buddhadharmeṣu	vESAradyezu catasRzu pratisaMvitsu azwAdaSasu AveNikezu budDa Darmezu
   yāvat sarvākārajñatāyām apagatasarvākārajñatāpratisaṃyuktair manasikārair	yAvat sarva AkAra jQa tAyAm apagata sarva AkAra jQa tA pratisaMyuktEH manasikArEH 
   na mayātra śikṣitavyam. sacet punar eṣa bodhisattvo mahāsattvo 'virahito	na mayA atra Sikzitavyam. saced punar eza boDisattvaH mahAsattvaH avirahitaH 
   bhavati sarvākārajñatāpratisaṃyuktair manasikārair mayāpy evam eva	Bavati sarva AkAra jQa tA pratisaMyuktEH manasikArEH mayA api evam eva
   śikṣitavyam. evaṃ śikṣamāṇo bodhisattvo mahāsattvaḥ samaśikṣo bhavati.	Sikzitavyam. evam SikzamANaH boDisattvaH mahAsattvaH sama SikzaH Bavati.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: katamā bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: katamA Bagavan
   bodhisattvānāṃ mahāsattvānāṃ samatā yatra samatāyāṃ bodhisattvena	boDisattvAnAm mahAsattvAnAm sama tA yatra samatAyAm boDisattvena
   mahāsattvena śikṣitavyam?	mahAsattvena Sikzitavyam?
   bhagavān āha: adhyātmaśūnyatā subhūte bodhisattvānāṃ mahāsattvānāṃ samatā,	BagavAn Aha: aDyAtma SUnyatA suBUte boDisattvAnAm mahAsattvAnAm sama tA,
   bahirdhāśūnyatā adhyātmabahirdhāśūnyatā yāvad abhāvasvabhāvaśūnyatā, rūpaṃ	bahirDA SUnyatA aDyAtma bahirDA SUnyatA yAvat aBAva svaBAva SUnyatA, rUpam
   rūpeṇa śūnyaṃ, vedanā vedanayā śūnyā, saṃjñā saṃjñayā śūnyā, saṃskārāḥ	rUpeNa SUnyan, vedanA vedanayA SUnyA, saMjQA saMjQayA SUnyA, saMskArAH
   saṃskāraiḥ śūnyāḥ, vijñānaṃ vijñānena śūnyam. evaṃ skandhadhātvāyatanāni	saMskArEH SUnyAH, vijQAnam vijQAnena SUnyam. evam skanDa DAtu AyatanAni
   skandhadhātvāyatanaiḥ śūnyāni, pratītyasamutpādaḥ pratītyasamutpādaiḥ	skanDa DAtu AyatanEH SUnyAni, pratItyasamutpAdaH pratItyasamutpAdEH
   śūnyaḥ, pratītyasamutpādāṅgāni pratītyasamutpādāṅgaiḥ śūnyāni, pāramitāḥ	SUnyaH, pratItya samutpAda aFgAni pratItyasamutpAda aFgEH SUnyAni, pAramitAH
   pāramitābhiḥ śūnyāḥ, saptatriṃśadbodhipakṣyā dharmāḥ	pAramitABiH SUnyAH, saptatriMSat boDi pakzyAH DarmAH
   saptatriśadbbodhipakṣyair dharmaiḥ śūnyāḥ, āryasatyāny (PSP_5:28)	saptatri SadbboDi pakzyEH DarmEH SUnyAH, Arya satyAni (PSu _5:28)
   āryasatyaiḥ śūnyāni, apramāṇadhyānārūpyasamāpattayo	Arya satyEH SUnyAni, apramANa DyAna ArUpya samApattayo
   'pramāṇadhyānārūpyasamāpattibhiḥ śūnyāḥ,	apramANa DyAna ArUpya samApattiBiH SUnyAH,
   sarvavimokṣasamādhisamāpattidhāraṇīmukhāni	sarva vimokza samADi samApatti DAraNI muKAni
   sarvavimokṣasamādhisamāpattidhāraṇīmukhaiḥ sūnyāni, trīṇi vimokṣamukhāni	sarva vimokza samADi samApatti DAraNI muKEH sUnyAni, trINi vimokza muKAni
   tribhir vimokṣamukhaiḥ śūnyāni, abhijñā abhijñābhiḥ śūnyā, daśabalāni	triBiH vimokza muKEH SUnyAni, aBijQAH aBijQABiH SUnyA, daSa balAni
   daśabalaiḥ śūnyāni, vaiśāradyāni vaiśāradyaiḥ śūnyāni, pratisaṃvidaḥ	daSa balEH SUnyAni, vESAradyAni vESAradyEH SUnyAni, pratisaMvidaH
   pratisaṃvidbhiḥ śūnyāḥ, āveṇikabuddhadharmā āveṇikābuddhadharmaiḥ śūnyāḥ,	pratisaMvidBiH SUnyAH, AveNika budDa DarmAH AveNikA budDa DarmEH SUnyAH,
   bodhir yāvad bodhyā śūnyā. iyaṃ subhūte bodhisattvānāṃ mahāsattvānāṃ	boDiH yAvat boDyA SUnyA. iyam suBUte boDisattvAnAm mahAsattvAnAm
   samatā, yatra samatāyāṃ sthitvā bodhisattvā mahāsattvā anuttarāṃ	samatA, yatra samatAyAm sTitvA boDisattvAH mahAsattvAH anuttarAm
   samyaksaṃbodhim abhisaṃbudhyante. ity aṣṭamī	samyaksaMboDim aBisaMbuDyante. iti azwamI
   subhūtir āha: kiṃ punar bhagavan bodhisattvo mahāsattvo rūpasya kṣayāya	suBUtiH Aha: kim punar Bagavan boDisattvaH mahAsattvaH rUpasya kzayAya
   śikṣate śikṣate sarvākārajñatāyai, rūpasya virāgāya nirodhāya śikṣate	Sikzate Sikzate sarva AkAra jQa tAyE, rUpasya virAgAya niroDAya Sikzate
   śikṣate sarvākārajñatāyai, rūpasyānutpādāya śikṣate śikṣate	Sikzate sarva AkAra jQa tAyE, rUpasya anutpAdAya Sikzate Sikzate
   sarvākārajñatāyai, vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ, vijñānasya kṣayāya	sarva AkAra jQa tAyE, vedanAyAH saMjQAyAH saMskArANAM, vijQAnasya kzayAya
   śikṣate śikṣate sarvākārajñatāyai, vijñānasya virāgāya nirodhāya śikṣate	Sikzate Sikzate sarva AkAra jQa tAyE, vijQAnasya virAgAya niroDAya Sikzate
   śikṣate sarvākārajñatāyai, vijñānasyānutpādāya śikṣate śikṣate	Sikzate sarva AkAra jQa tAyE, vijQAnasya anutpAdAya Sikzate Sikzate
   sarvākārajñatāyai. evaṃ skandhadhātvāyatanapratītyasamutpādasya	sarva AkAra jQa tAyE. evam skanDa DAtu Ayatana pratItyasamutpAdasya
   pratītyasamutpādāṅgānāṃ ca kṣayāya virāgāya nirodhāyānutpādāya śikṣate	pratItyasamutpAda aFgAnAm ca kzayAya virAgAya niroDAya anutpAdAya Sikzate
   śikṣate sarvākārajñatāyai. sarvapāramitānāṃ sarvaśūnyatānāṃ	Sikzate sarva AkAra jQa tAyE. sarva pAramitAnAm sarva SUnyatAnAm
   saptatriṃśadbodhipakṣyāṇāṃ dharmāṇāṃ caturṇām āryasatyānām	saptatriMSat boDi pakzyANAm DarmANAm caturNAm Arya satyAnAm
   apramāṇadhyānārūpyasamāpattīnāṃ śūnyatānimittāpraṇihitānāṃ	apramANa DyAna ArUpya samApattInAm SUnyatA nimitta apraNihitAnAm
   sarvavimokṣasamādhisamāpattidhāraṇīmukhānāṃ trayāṇāṃ vimokṣamukhānāṃ	sarva vimokza samADi samApatti DAraNI muKAnAm trayANAm vimokza muKAnAm
   pañcānām abhijñanāṃ daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmāṇāṃ	paQcAnAm aBijQanAm daSa bala vESAradya pratisaMvid AveNika budDa DarmANAm
   kṣayāya virāgāya nirodhāyānutpādāya śikṣate śikṣate sarvākārajñatāyai. kiṃ	kzayAya virAgAya niroDAya anutpAdAya Sikzate Sikzate sarva AkAra jQa tAyE. kim
   punar bhagavan bodhisattvo mahāsattvo 'nuttarāyāḥ samyaksaṃbodheḥ kṣayāya	punar Bagavan boDisattvaH mahAsattvaH anuttarAyAH samyaksaMboDeH kzayAya
   śikṣate virāgāya śikṣate nirodhāya śikṣate 'nutpādāya śikṣate śikṣate	Sikzate virAgAya Sikzate niroDAya Sikzate anutpAdAya Sikzate Sikzate
   sarvākārajñatāyai.	sarva AkAra jQa tAyE.
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: yat subhūtiḥ sthavira	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: yat suBUtiH sTavira
   evam āha, yad rūpasya kṣayāya śikṣate śikṣate sarvākārajñatāyai, yad	evam Aha, yat rUpasya kzayAya Sikzate Sikzate sarva AkAra jQa tAyE, yat 
   rūpasya virāgāya nirodhāyānutpādāya śikṣate śikṣate sarvākārajñatāyai,	rUpasya virAgAya niroDAya anutpAdAya Sikzate Sikzate sarva AkAra jQa tAyE,
   evaṃ vedanāsaṃjñāsaṃskārāṇāṃ, vijñānasya kṣayāya śikṣate śikṣate	evam vedanA saMjQA saMskArANAM, vijQAnasya kzayAya Sikzate Sikzate
   sarvākārajñatāyai, vijñānasya virāgāya nirodhāyānutpādāya śikṣate śikṣate	sarva AkAra jQa tAyE, vijQAnasya virAgAya niroDAya anutpAdAya Sikzate Sikzate
   sarvākārajñatāyai. evaṃ skandhadhātvāyatanapratītyasamutpādasya	sarva AkAra jQa tAyE. evam skanDa DAtu Ayatana pratItyasamutpAdasya
   pratītyasamutpādāṅgānāṃ ca kṣayāya virāgāya (PSP_5:29) nirodhāyānutpādāya	pratItyasamutpAda aFgAnAm ca kzayAya virAgAya (PSu _5:29) niroDAya anutpAdAya
   śikṣate śikṣate sarvākārajñatāyai. sarvapāramitānāṃ sarvaśūnyatānāṃ	Sikzate Sikzate sarva AkAra jQa tAyE. sarva pAramitAnAm sarva SUnyatAnAm
   saptatriṃśadbodhipakṣyāṇāṃ dharmāṇāñ caturṇām āryasatyānām	saptatriMSat boDi pakzyANAm DarmANAn caturNAm Arya satyAnAm
   apramāṇadhyānārūpyasamāpattīnāṃ	apramANa DyAna ArUpya samApattInAm
   sarvavimokṣasamādhisamāpattidhāraṇīmukhānāṃ trayāṇāṃ vimokṣamukhānāṃ	sarva vimokza samADi samApatti DAraNI muKAnAm trayANAm vimokza muKAnAm
   pañcānām abhijñānāṃ daśānāṃ tathāgatabalānāṃ caturṇāṃ vaiśāradyānāṃ	paQcAnAm aBijQAnAm daSAnAm taTAgata balAnAm caturNAm vESAradyAnAm
   catasṛṇāṃ pratisaṃvidām aṣṭādaśānām āveṇikānāṃ buddhadharmāṇāṃ kṣayāya	catasRNAm pratisaMvidAm azwAdaSAnAm AveNikAnAm budDa DarmANAm kzayAya
   virāgāya nirodhāyānutpādāya śikṣate śikṣate sarvākārajñatāyai. anuttarāyāḥ	virAgAya niroDAya anutpAdAya Sikzate Sikzate sarva AkAra jQa tAyE. anuttarAyAH
   samyaksaṃbodheḥ kṣayāya virāgāya nirodhāyānutpādāya śikṣate śikṣate	samyaksaMboDeH kzayAya virAgAya niroDAya anutpAdAya Sikzate Sikzate
   sarvākārajñatāyai iti. tat kiṃ manyase? subhūte yā rūpasya tathatā yā	sarva AkAra jQa tAyE iti. tat kim manyase? suBUte yA rUpasya taTatA yA
