   śrī-jayadeva-gosvāmi-viracitaṃ	SrI-jayadeva--go-svAmi-viracitam
   kṛta-parirambhaṇa-cumbanayā parirabhya kṛtādhara-pānam || GG_2.13 ||	kRta--pariramBaNa--cumbanayA pariraBya kRta-aDara--pAnam || Gu-_2.13 ||
   alasa-nimīlita-locanayā pulakāvali-lalita-kapolam |	alasa-nimIlita--locanayA pulaka-Avali-lalita-kapolam |
   śrama-jala-sakala-kalevarayā vara-madana-madād atilolam || GG_2.14 ||	Srama--jala--sakala--kalevarayA vara-madana-madAt ati-lolam || Gu-_2.14 ||
   kokila-kala-rava-kūjitayā jita-manasija-tantra-vicāram |	kokila--kala--rava--kUjitayA jita--manasija--tantra--vicAram |
   ślatha-kusumākula-kuntalayā nakha-likhita-ghana-stana-bhāram || GG_2.15 ||	SlaTa--kusuma-Akula--kuntalayA naKa-liKita-Gana--stana--BAram || Gu-_2.15 ||
   caraṇa-raṇita-maṇi-nūpurayā paripūrita-surata-vitānam |	caraNa-raNita-maNi--nUpurayA paripUrita--surata-vitAnam |
   mukhara-viśṛṅkhala-mekhalayā sa-kaca-graha-cumbana-dānam || GG_2.16 ||	muKara--viSRFKala--meKalayA sa-kaca-graha--cumbana-dAnam || Gu-_2.16 ||
   rati-sukha-samaya-rasālasayā dara-mukulita-nayana-sarojam |	rati-suKa--samaya--rasa-alasayA dara--mukulita--nayana--sarojam |
   niḥsaha-nipatita-tanu-latayā madhusūdanam udita-manojam || GG_2.17 ||	niHsaha--nipatita--tanu--latayA maDusUdanam udita--manojam || Gu-_2.17 ||
   śrī-jayadeva-bhaṇitam idam atiśaya-madhu-ripu-nidhuvana-śīlam |	SrI-jaya-deva--BaNitam idam atiSaya--maDu-ripu-niDuvana--SIlam |
   sukham utkaṇṭhita-gopa-vadhū-kathitaṃ vitanotu salīlaṃ || GG_2.18 ||	suKam utkaNWita-gopa--vaDU--kaTitam vitanotu sa-lIlam || Gu-_2.18 ||
   hasta-srasta-vilāsa-vaṃśam	hasta-srasta--vilAsa--vaMSam
   anṛju-bhrū-vallimad-ballavī-vṛndotsāri-dṛganta-vīkṣitam	anRju--BrU--valli-mad--ballavI--vRnda-utsAri-dRS-anta--vIkzitam
   atisvedārdra-gaṇḍa-sthalam |	ati-sveda-Ardra--gaNxa--sTalam |
   mām udvīkṣya vilajjitaṃ smṛta-sudhā-mugdhānana-kānane govindaṃ	mAm udvIkzya vilajjitam smRta-suDA--mugDa-Anana--kAnane govindam
   vraja-sundarī-gaṇa-vṛtaṃ paśyāmi hṛṣyāmi ca || GG_2.19 ||	vraja-sundarI--gaNa-vRtam paSyAmi hRzyAmi ca || Gu-_2.19 ||
   durāloka-stoka-stavaka-navakāśoka-latikā-vikāsaḥ kāsāropavana-pavano'pi	durAloka--stoka-stava-ka-navaka-aSoka-latikA--vikAsaH kAsAra-upavana--pavanaH-api
   vyathayati |	vyaTayati |
   api bhrāmyad-bhṛṅgī-raṇita-ramaṇīyā na mukula-prasūtiś cūtānāṃ sakhi	api BrAmyat--BRFgI-raNita-ramaNIyA na mukula--prasUtiH cUtAnAm saKi
   śikhariṇīyaṃ sukhayati || GG_2.20 ||	SiKariNI-iyam suKayati || Gu-_2.20 ||
   sakūta-smitam ākulākula-galad-dhammillam ullāsita-bhrū-vallīkam	sa-kUta--smitam Akula-Akula--galad-Dammillam ullAsita--BrU--vallIkam
   alīka-darśita-bhujā-mūlārdha-hasta-stanam |	alIka-darSita-BujA--mUla-arDa--hasta--stanam |
   gopīnāṃ nibhṛtaṃ nirīkṣya gamitākāṅkṣaś ciraṃ cintayann antar	gopInAm niBRtam nirIkzya gamita-AkAFkzaH ciram cintayan antar
   mugdha-manoharaṃ haratu vaḥ kleśaṃ navaḥ keśavaḥ || GG_2.21 ||	mugDa--manoharam haratu vaH kleSam navaH keSavaH || Gu-_2.21 ||
   iti śrī-gīta-govinda-mahā-kāvye akleśa-keśavo nāma	iti SrI--gIta-govinda--mahA--kAvye akleSa-keSavaH nAma
   dvitīyaḥ sargaḥ	dvitIyaH sargaH
   tṛtīyaḥ sargaḥ	tRtIyaH sargaH
   mugdha-madhusūdanaḥ	mugDa--maDusUdanaH
   kaṃsārir api saṃsāra-vāsanābaddha-śṛṅkhalām |	kaMsAriH api saMsAra--vAsanA-badDa--SRFKalAm |
   NOTE: {vāsanābaddha- iti caitanya-caritāmṛtasya pāṭhaḥ.}	NOTE: {vAsanA-badDa iti cEtanya--carita-amRtasya pAWaH.}
   rādhām ādhāya hṛdaye tatyāja vraja-sundarīḥ || GG_3.1 ||	rADAm ADAya hRdaye tatyAja vraja-sundarIH || Gu-_3.1 ||
   itas tatas tām anusṛtya rādhikām anaṅga-bāṇa-vraṇa-khinna-mānasaḥ |	itas tatas tAm anusRtya rADikAm anaFga--bANa-vraNa--Kinna--mAnasaH |
   kṛtānutāpaḥ sa kalinda-nandinī-taṭānta-kuñje viṣasāda mādhavaḥ || GG_3.2	kRta-anutApaH sa kalinda-nandinI--tawa-anta--kuQje vizasAda mADavaH || Gu-_3.2
   || prabandhaḥ 7 ||	|| prabanDaH 7 ||
   gurjarī-rāga-yati-tālābhyāṃ gīyate |	gurjarI--rAga-yati--tAlAByAm gIyate |
   mām iyaṃ calitā vilokya vṛtaṃ vadhū-nicayena |	mAm iyam calitAH vilokya vRtam vaDU--nicayena |
   sāparādhatayā mayāpi na vāritā'tibhayena || GG_3.3 ||	sa-aparADa-tayA mayA-api na vAritA-ati-Bayena || Gu-_3.3 ||
   hari hari hatādaratayā gatā sā kupiteva ||dhruva-padam ||	hari hari hata-Adara-tayA gatA sA kupitA-iva ||Druva-padam ||
   kiṃ kariṣyati kiṃ vadiṣyati sā ciraṃ viraheṇa |	kim karizyati kim vadizyati sA ciram viraheNa |
   kiṃ dhanena janena kiṃ mama jīvitena gṛheṇa || GG_3.4 ||	kim Danena janena kim mama jIvitena gRheNa || Gu-_3.4 ||
   cintayāmi tad-ānanaṃ kuṭila-bhru kopa-bhareṇa |	cintayAmi tat--Ananam kuwila-Bru kopa-BareNa |
   śona-padmam ivopari-bhramatākulaṃ bhramareṇa || GG_3.5 ||	Sona--padmam iva-upari-Bra-mata-Akulam BramareNa || Gu-_3.5 ||
   tām ahaṃ hṛdi saṅgatām aniśaṃ bhṛśaṃ ramayāmi |	tAm aham hRdi saFga-tAm aniSam BRSam ramayAmi |
   kiṃ vane'nusarāmi tām iha kiṃ vṛthā vilapāmi || GG_3.6 ||	kim vane-anusarAmi tAm iha kim vRTA vilapAmi || Gu-_3.6 ||
   tanvi khinnam asūyayā hṛdayaṃ tavākalayāmi |	tanvi Kinnam asUyayA hRdayam tava-akalayAmi |
   tan na vedmi kuto gatāsi na tena te'nunayāmi || GG_3.7 ||	tat na vedmi kutas gatA-asi na tena te-anunayAmi || Gu-_3.7 ||
   dṛśyase purato gatāgatam eva me vidadhāsi |	dRSyase puratas gatAgatam eva me vidaDAsi |
   kiṃ pureva sasambhramaṃ parirambhaṇaṃ na dadāsi || GG_3.8 ||	kim purA-iva sa-samBramam pariramBaNam na dadAsi || Gu-_3.8 ||
   kṣamyatām aparaṃ kadāpi tavedṛśaṃ na karomi |	kzamyatAm aparam kadApi tava-IdRSam na karomi |
   dehi sundari darśanaṃ mama manmathena dunomi || GG_3.9 ||	dehi sundari darSanam mama manmaTena dunomi || Gu-_3.9 ||
   varṇitaṃ jayadevakena harer idaṃ praṇatena |	varNitam jayadevakena hareH idam praNatena |
   NOTE: {pravaṇena}	NOTE: {pravaNena}
   kindubilva-samudra-sambhava-rohiṇī-ramaṇena || GG_3.10 ||	kindu-bilva--samudra--samBava--rohiNI--ramaNena || Gu-_3.10 ||
   hṛdi bisa-latā-hāro nāyaṃ bhujaṅgama-nāyakaḥ kuvalaya-dala-śreṇī kaṇṭhe na	hRdi bisa--latA-hAraH na-ayam BujaFgama-nAyakaH kuvalaya-dala--SreNI kaNWe na
   sā garala-dyutiḥ |	sA garala-dyutiH |
   malayaja-rajo nedaṃ bhasma priyā-rahite mayi prahara na	malayaja--rajaH na-idam Basma priyA--rahite mayi prahara na
   hara-bhrāntyā'naṅga krudhā kim u dhāvasi || GG_3.11 ||	hara-BrAntyA-anaFga kruDA kim u DAvasi || Gu-_3.11 ||
   pāṇau mā kuru cūta-sāyakam amuṃ mā cāpam āropaya kṛīḍā-nirjita-viśva	pANO mA kuru cUta--sAyakam amum mA cApam Aropaya kRIxA--nirjita-viSva
   mūrcchita-janāghātena kiṃ pauruṣam |	mUrcCita-jana-AGAtena kim pOruzam |
   tasyā eva mṛgī-dṛśo manasija preṇkhat-katākṣāśuga-śreṇī-jarjaritaṃ manāg	tasyAH eva mRgI-dRSaH manasija preNKat-ka-tAkza-ASu-ga-SreNI--jarjaritam manAg
   api mano nādyāpi sandhukṣate || GG_3.12 ||	api manaH na-adya-api sanDukzate || Gu-_3.12 ||
   bhrū-pallavaṃ dhanur apāṅga-taraṇgitāni bāṇā guṇaḥ śravaṇa-pālir iti	BrU--pallavam DanuH apAFga-taraNgitAni bANAH guNaH SravaNa-pAliH iti
   smareṇa |	smareNa |
   tasyām anaṅga-jaya-jaṅgama-devatāyām astrāṇi nirjita-jaganti kim arpitāni	tasyAm anaFga-jaya--jaFgama--devatAyAm astrANi nirjita--jaganti kim arpitAni
   || GG_3.13 ||	|| Gu-_3.13 ||
   bhrū-cāpe nihitaḥ kaṭākṣa-viśikho nirmātu marma-vyathāṃ śyāmātmā kuṭilaḥ	BrU-cApe nihitaH kawAkza--viSiKaH nirmAtu marma--vyaTAm SyAma-AtmA kuwilaH
   karotu kabarī-bhāro'pi mārodyamam |	karotu kabarI-BAraH-api mAra-udyamam |
   mohaṃ tāvad ayaṃ ca tanvi tanutāṃ bimba-dharo rāgavān sad-vṛttaḥ	moham tAvat ayam ca tanvi tanu-tAm bimba-DaraH rAgavAn sad-vRttaH
   stana-maṇḍalas tava kathaṃ prāṇair mama krīḍati || GG_3.14 ||	stana-maNxalaH tava kaTam prANEH mama krIxati || Gu-_3.14 ||
   tāni sparśa-sukhāni te ca taralāḥ snigdhā dṛśor vibhramās	tAni sparSa--suKAni te ca taralAH snigDA dRSoH viBramAs
   tad-vaktrāmbuja-saurabhaṃ sa ca sudhā-syandi girāṃ vakrimā |	tad--vaktra-ambuja--sOraBam sa ca suDA-syandi girAm vakrimA |
   sa bimbādhara-mādhurīti viṣayāsaṅge'pi cen mānasaṃ tasyāṃ lagna-samādhi	sa bimba-aDara--mADurI-iti vizaya-AsaFge-api ced mAnasam tasyAm lagna--samADi
   hanta viraha-vyādhiḥ kathaṃ vardhate || GG_3.15 ||	hanta viraha--vyADiH kaTam varDate || Gu-_3.15 ||
   tiryak-kaṇṭha-vilola-mauli-taralottaṃsasya	tiryak--kaNWa--vilola--mOli-tarala-uttaMsasya
   vamśoccarad-gīti-sthāna-kṛtāvadhāna-lalanā-lakṣair na saṃlakṣitāḥ |	vamSa-uccarat--gIti--sTAna--kRta-avaDAna-lalanA-lakzEH na saMlakzitAH |
   NOTE: {dīpti iti ni-pāṭhāntaraḥ.}	NOTE: {dIpti iti ni-pAWa-antaraH.}
   saṃmugdhe madhusūdanasya madhure rādhā-mukhendau sudhā-sāre kandalitāś	saMmugDe maDusUdanasya maDure rADA--muKa-indO suDA-a-sAre kandalitAH-
   ciraṃ dadatu vaḥ kṣemaṃ kaṭākṣormayaḥ || GG_3.16 ||	ciram dadatu vaH kzemam kawAkza-UrmayaH || Gu-_3.16 ||
   iti śrī-gīta-govinda-mahā-kāvye mugdha-madhusūdano nāma	iti SrI--gIta-govinda--mahA--kAvye mugDa-maDusUdanaH nAma
   tṛtīyaḥ sargaḥ	tRtIyaH sargaH
   caturthaḥ sargaḥ	caturTaH sargaH
   snigdha-madhusūdanaḥ	snigDa--maDusUdanaH
   yamunā-tīra-vānīra-nikuñje mandaṃ āsthitaṃ |	yamunA--tIra--vAnIra--nikuQje mandam AsTitam |
   prāha prema-bharodbhrāntaṃ mādhavaṃ rādhikā-sakhī || GG_4.1 ||	prAha prema--Bara-udBrAntam mADavam rADikA-saKI || Gu-_4.1 ||
   || prabandhaḥ 8 ||	|| prabanDaH 8 ||
   karṇāṭa-rāgaika-tālī-tālābhyāṃ gīyate |	karNa-awa-rAga-eka-tAlI--tAlAByAm gIyate |
   nindati candanam indu-kiraṇam anu vindati khedam adhīram |	nindati candanam indu-kiraNam anu vindati Kedam aDIram |
   vyāla-nilaya-milanena garalam iva kalayati malaya-samīram || GG_4.2 ||	vyAla--nilaya--milanena garalam iva kalayati malaya--samIram || Gu-_4.2 ||
   mādhava manasija-viśikha-bhayād iva bhāvanayā tvayi līnā |	mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInA |
   sā virahe tava dīnā || dhruva-padam ||	sA virahe tava dInAH || Druva-padam ||
   avirala-nipatita-madana-śarād iva bhavad-avanāya vīśālam |	avirala--nipatita--madana--SarAt iva Bavat--avanAya vISAlam |
   sva-hṛdaya-marmaṇi varma karoti sajala-nalinī-dala-jālam || GG_4.3 ||	sva--hRdaya--marmaNi varma karoti sa-jala-nalinI--dala--jAlam || Gu-_4.3 ||
   kusuma-viśikha-śara-talpam analpa-vilāsa-kalā-kamaṇīyam |	kusuma--viSiKa--Sara--talpam analpa-vilAsa-kalA--kamaNIyam |
   vratam iva tava parirambha-sukhāya karoti kusuma-śayanīyam || GG_4.4 ||	vratam iva tava pariramBa--suKAya karoti kusuma-SayanIyam || Gu-_4.4 ||
   vahati ca calita-vilocana-jaladhāram ānana-kamalam udāram |	vahati ca calita--vilocana--jala-DAram Anana-kamalam udAram |
   vidhum iva vikaṭa-vidhuntuda-danta-dalana-galitāmṛta-dhāram || GG_4.5 ||	viDum iva vikawa-viDuntuda-danta--dalana--galita-amRta-DAram || Gu-_4.5 ||
   vilikhati rahasi kuraṅga-madena bhavantam asama-śara-bhūtam |	viliKati rahasi kuraFga--madena Bavantam asama-Sara--BUtam |
   praṇamati makaram adho vinidhāya kare ca śaraṃ nava-cūtam || GG_4.6 ||	praNamati makaram aDas viniDAya kare ca Saram nava--cUtam || Gu-_4.6 ||
   dhyāna-layena puraḥ parikalpya bhavantam atīva durāpam |	DyAna--layena puras parikalpya Bavantam atIva durApam |
   vilapati hasati viṣīdati roditi cañcati muñcati tāpam || GG_4.7 ||	vilapati hasati vizIdati roditi caQcati muQcati tApam || Gu-_4.7 ||
   prati-padam idam api nigadati mādhava tava caraṇe patitāham |	prati-padam idam api nigadati mADava tava caraNe patitA-aham |
   tvayi vimukhe mayi sapadi sudhā-nidhir api tanute tanu-dāham || GG_4.8 ||	tvayi vimuKe mayi sapadi suDA-niDiH api tanute tanu--dAham || Gu-_4.8 ||
   śrī-jayadeva-bhaṇitam idam adhikaṃ yadi manasā naṭaṇīyam |	SrI-jaya-deva--BaNitam idam aDikam yadi manasA nawaNIyam |
   hari-virahākula-ballava-yuvati-sakhī-vacanaṃ paṭhanīyam || GG_4.9 ||	hari--viraha-Akula--ballava--yuvati-saKI--vacanam paWanIyam || Gu-_4.9 ||
   āvāso vipināyate priya-sakhī-mālāpi jālāyate tāpo'pi śvasitena	AvAsaH vipinAyate priya-saKI--mAlA-api jAlAyate tApaH-api Svasitena
   dāva-dahana-jvāla-kalāpāyate |	dAva-dahana--jvAla--kalApAyate |
   sāpi tvad-viraheṇa hanta hariṇī-rūpāyate hā kathaṃ kandarpo'pi yamāyate	sA-api tvad--viraheNa hanta hariNI-ru-upAyate hA kaTam kandarpaH-api yamAyate
   viracayan śārdūla-vikrīḍitam || GG_4.10 ||	viracayan SArdUla--vikrIxitam || Gu-_4.10 ||
   || prabandhaḥ 9 ||	|| prabanDaH 9 ||
   deśākhya-rāgaika-tālī-tālābhyāṃ gīyate |	deSa-AKya-rAga-eka-tAlI--tAlAByAm gIyate |
   stana-vinihitam api hāram udāram |	stana--vinihitam api hAram udAram |
   sa manute kṛśā-tanur iva bhāram || GG_4.11 ||	sa manute kRSA--tanuH iva BAram || Gu-_4.11 ||
   rādhikā tava virahe keśava || dhruvam ||	rADikA tava virahe keSavaH || Druvam ||
   sa-rasa-masṛṇam api malayaja-paṅkam |	sa-rasa-masRNam api malayaja--paFkam |
   paśyati viṣam iva vapuṣi sa-śaṅkam || GG_4.12 ||	paSyati vizam iva vapuzi sa-SaFkam || Gu-_4.12 ||
   śvasita-pavanam anupama-pariṇāham |	Svasita-pavanam anupama--pariNAham |
   madana-dahanam iva vahati sa-dāham || GG_4.13 ||	madana--dahanam iva vahati sa--dAham || Gu-_4.13 ||
   diśi diśi kirati sajala-kaṇa-jālam |	diSi diSi kirati sa-jala--kaNa--jAlam |
   nayana-nalinam iva vigalita-nālam || GG_4.14 ||	nayana-nalinam iva vigalita-nAlam || Gu-_4.14 ||
   tyajati na pāṇi-talena kapolam |	tyajati na pANi--talena kapolam |
   bāla-śaśinam iva sāyam alolam || GG_4.15 ||	bAla-SaSinam iva sAyam alolam || Gu-_4.15 ||
   nayana-viṣayam api kiśalaya-talpaṃ |	nayana--vizayam api kiSalaya--talpam |
   kalayati vihita-hutāśa-vikalpam || GG_4.16 ||	kalayati vihita-hutASa--vikalpam || Gu-_4.16 ||
   harir iti harir iti japati sa-kāmam |	hariH iti hariH iti japati sa-kAmam |
   viraha-vihita-maraṇeva nikāmaṃ || GG_4.17 ||	viraha--vihita--maraNA-iva nikAmam || Gu-_4.17 ||
   śrī-jayadeva-bhaṇitam iti gītam |	SrI-jayadeva--BaNitam iti gItam |
   sukhayatu keśava-padam upanītam || GG_4.18 ||	suKayatu keSa-va-padam upanItam || Gu-_4.18 ||
   sā romāñcati śītkaroti vilapaty utkampate tāmyati dhyāyaty udbhramati	sA romAQcati SItkaroti vilapati utkampate tAmyati DyAyati udBramati
   pramīlati pataty udyāti mūrcchaty api |	pramIlati patati udyAti mUrcCati api |
   etāvaty atanu-jvare vara-tanur jīven na kiṃ te rasāt svar-vaidya-pratima	etAvatI atanu--jvare vara-tanuH jIvet na kim te rasAt svar--vEdya-pratima
   prasīdasi yadi tyakto'nyathā hastakaḥ || GG_4.19 ||	prasIdasi yadi tyaktaH-anyaTA hastakaH || Gu-_4.19 ||
   smarāturaṃ daivata-vaidya-hṛdya tvad-aṅga-saṅgāmṛta-mātra-sādhyam |	smara-Aturam dEvata-vEdya-hRdya tvad--aFga--saFga-amRta--mAtra--sADyam |
   nivṛtta-bādhāṃ kuruṣe na rādhām upendra-vajrād api dāruṇo'si || GG_4.20 ||	nivRtta--bADAm kuruze na rADAm upendra-vajrAt api dAruNaH-asi || Gu-_4.20 ||
   kandarpa-jvara-saṃjvarātura-tanor aścaryam asyāś ciraṃ cetaś	kandarpa--jvara--saMjvara-Atura--tanoH aScaryam asyAH ciram cetas-
   candana-candramaḥ-kamalinī-cintāsu santāmyati |	candana--candramaH--kamalinI--cintAsu santAmyati |
   kintu klānti-vaśena śītala-tanuṃ tvām ekam eva priyaṃ dhyāyantī rahasi	kintu klAnti--vaSena SItala-tanum tvAm ekam eva priyam DyAyantI rahasi
   sthitā katham api kṣīṇā kṣaṇaṃ prāṇiti || GG_4.21 ||	sTitA kaTam api kzINA kzaNam prANiti || Gu-_4.21 ||
   kṣaṇam api virahaḥ purā na sehe nayana-nimīlana-khinnayā yayā te |	kzaNam api virahaH purA na sehe nayana--nimIlana--KinnayA yayA te |
   śvasiti katham asau rasāla-śākhāṃ cira-viraheṇa vilokya puṣpitāgram ||	Svasiti kaTam asO rasAla--SAKAm cira--viraheNa vilokya puzpita-agram ||
   GG_4.22 ||	Gu-_4.22 ||
   vṛṣṭi-vyākula-gokula-vana-rasād uddhṛtya govardhanaṃ bibhrad	vRzwi--vyAkula--go-kula--vana--rasAt udDRtya govarDanam biBrad
   ballava-vallabhābhir adhikānandāc ciraṃ cumbitaḥ |	ballava-vallaBABiH aDika-AnandAt ciram cumbitaH |
   darpeṇeva tad-arpitādhara-taṭī-sindūra-mudrāṅkito bāhur gopa-tanos tanotu	darpeNa-iva tad--arpita-aDara--tawI--sindUra-mudrA-aFkitaH bAhuH gopa-tanoH tanotu
   bhavatāṃ śreyāṃsi kaṃsa-dviṣaḥ || GG_4.23 ||	BavatAm SreyAMsi kaMsa-dvizaH || Gu-_4.23 ||
   iti śrī-gīta-govinde snigdha-madhusūdano nāma	iti SrI--gIta-govinde snigDa-maDusUdanaH nAma
   caturthaḥ sargaḥ	caturTaH sargaH
   pañcamaḥ sargaḥ	paQcamaH sargaH
   sākāṅkṣa-puṇḍarīkākṣaḥ	sA-kAFkza--puNxarIkAkzaH
   aham iha nivasāmi yāhi rādhām anunaya mad-vacanena cānayethāḥ |	aham iha nivasAmi yAhi rADAm anunaya mad---vacanena ca-AnayeTAH |
   iti madhu-rīpuṇā sakhī niyuktā svayam idam etya punar jagāda rādhām ||	iti maDu-rI-puNA saKI niyuktA svayam idam etya punar jagAda rADAm ||
   GG_5.1 ||	Gu-_5.1 ||
   || prabandhaḥ 10 ||	|| prabanDaH 10 ||
   deśīvarāḍi-rāgeṇa rūpaka-tālena gīyate |	deSIvarAxi--rAgeNa rUpa-ka-tAlena gIyate |
   vahati malaya-samīre madanam upanidhāya |	vahati malaya--samIre madanam upaniDAya |
   sphuṭati kusuma-nikare virahi-hṛdaya-dalanāya || GG_5.2 ||	sPuwati kusuma--nikare virahi--hRdaya--dalanAya || Gu-_5.2 ||
   tava virahe vana-mālī sakhi sīdati | dhruva-padam ||	tava virahe vana-mAlI saKi sIdati | Druva-padam ||
   dahati śiśira-mayūkhe maraṇam anukaroti |	dahati SiSira--mayUKe maraNam anukaroti |
   patati madana-viśikhe vilapati vikalataro'ti || GG_5.3 ||	patati madana--viSiKe vilapati vikalataraH-ati || Gu-_5.3 ||
   dhvanati madhupa-samūhe śravaṇam apidadhāti |	Dvanati maDupa--samUhe SravaNam apidaDAti |
   manasi kalita-virahe niśi nisi rujam upayāti || GG_5.4 ||	manasi kalita-virahe niSi nisi rujam upayAti || Gu-_5.4 ||
   vasati vipina-vitāne tyajati lalita-dhāma |	vasati vipina--vitAne tyajati lalita--DAma |
   luṭhati dharaṇi-śayane bahu vilapati tava nāma || GG_5.5 ||	luWati DaraNi--Sayane bahu vilapati tava nAma || Gu-_5.5 ||
   bhaṇati kavi-jayadeve viraha-vilasitena |	BaNati kavi-jayadeve viraha--vilasitena |
   manasi rabhasa-vibhave harir udayatu sukṛtena || GG_5.6 ||	manasi raBasa-viBave hariH udayatu sukRtena || Gu-_5.6 ||
   pūrvaṃ yatra samaṃ tvayā rati-pater āsāditāḥ siddhayas tasminn eva	pUrvam yatra samam tvayA rati-pateH AsAditAH sidDayaH tasmin eva
   nikuñja-manmatha-mahā-tīrthe punar mādhavaḥ |	nikuQja--manmaTa--mahA-tIrTe punar mADavaH |
   dhyāyaṃs tvām aniśaṃ japann api tavaivālāpa-mantrāvaliṃ bhūyas	DyAyan tvAm aniSam japan api tava-eva-AlApa-mantra-Avalim BUyas-
   tvat-kuca-kumbha-nirbhara-parīrambhāmṛtaṃ vāñchati || GG_5.7 ||	tvat-kuca-kumBa--nirBara--parIramBa-amRtam vAQCati || Gu-_5.7 ||
   || prabandhaḥ 11 ||	|| prabanDaH 11 ||
   gurjarī-rāgeṇa ekatāli-tālena gīyate |	gurjarI--rAgeNa eka-tAli-tAlena gIyate |
   rati-sukha-sāre gatam abhisāre madana-manohara-veśam |	rati--suKa--sAre gatam aBisAre madana--manohara-veSam |
   na kuru nitambini gamana-vilambanam anusara taṃ hṛdayeśam || GG_5.8 ||	na kuru nitambini gamana--vilambanam anusara tam hRdaya-ISam || Gu-_5.8 ||
   dhīra-samīre yamunā-tīre vasati vane vana-mālī |	DIra--samIre yamunA--tIre vasati vane vana-mAlI |
   pīna-payodhara-parisara-mardana-cañcala-kara-yuga-śālī || dhruva||	pIna--payoDara--parisara--mardana---caQcala--kara--yuga--SAlI || Druva||
   NOTE: {This line does not seem to be in all versions. Prabodhananda does	NOTE: {ThiH line doeH na-ut seem taH be id alt versions. PraboDa-nanda doeH-
   not comment on it.}	na-ut comment on it.}
   nāma-sametaṃ kṛta-saṅketaṃ vādayate mṛdu-veṇum |	nAma--sametam kRta-saFketam vAdayate mRdu-veNum |
   bahu manute'tanu te tanu-saṅgata-pavana-calitam api reṇum || GG_5.9 ||	bahu manute-atanu te tanu--saFgata-pavana--calitam api reNum || Gu-_5.9 ||
   patati patatre vicalati patre śaṅkita-bhavad-upayānam |	patati patatre vicalati patre SaFkita--Bavat--upayAnam |
   racayati śayanaṃ sacakita-nayanaṃ paśyati tava panthānam || GG_5.10 ||	racayati Sayanam sa-cakita-nayanam paSyati tava panTAnam || Gu-_5.10 ||
   mukharam adhīraṃ tyaja mañjīraṃ ripum iva keli-sulolam |	muKaram aDIram tyaja maQjIram ripum iva keli--su-lolam |
   cala sakhi kuñjaṃ satimira-puñjaṃ śīlaya nīla-nicolam || GG_5.11 ||	cala saKi kuQjam sa-timira--puQjam SIlaya nIla--nicolam || Gu-_5.11 ||
   urasi murārer upahita-hāre ghana iva tarala-balāke |	urasi murAreH upahita--hAre GanaH iva tarala--balAke |
   taḍid iva pīte rati-viparīte rājasi sukṛta-vipāke || GG_5.12 ||	taxit iva pIte rati-viparIte rAjasi su-kRta--vipAke || Gu-_5.12 ||
   vigalita-vasanaṃ parihṛta-raśanaṃ ghaṭaya jaghanam apidhānam |	vigalita--vasanam parihRta-raSanam Gawaya jaGanam apiDAnam |
   kiśalaya-śayane paṅkaja-nayane nidhim iva harṣa-nidhānam || GG_5.13 ||	kiSala-ya--Sayane paFkaja--nayane niDim iva harza--niDAnam || Gu-_5.13 ||
   harir abhimāṇī rajanir idānīm iyam api yāti virāmam |	hariH aBimANI rajaniH idAnIm iyam api yAti virAmam |
   kuru mama vacanaṃ satvara-racanaṃ pūraya madhu-ripu-kāmam || GG_5.14 ||	kuru mama vacanam sa-tvara--racanam pUraya maDu-ripu--kAmam || Gu-_5.14 ||
   śrī-jayadeve kṛta-hari-seve bhaṇati parama-ramaṇīyam |	SrI--jayadeve kRta--hari--seve BaNati parama--ramaNIyam |
   pramudita-hṛdayaṃ harim atisadayaṃ namata sukṛta-kamanīyaṃ || GG_5.15 ||	pramudita-hRdayam harim ati-sa-dayam namata sukRta-kamanIyam || Gu-_5.15 ||
   vikirati muhuḥ śvāsān āśāḥ puro muhur īkṣate praviśati muhuḥ kuñjaṃ gūñjan	vikirati muhur SvAsAn ASAH puras muhur Ikzate praviSati muhur kuQjam gUQjan
   muhur bahu tāmyati |	muhur bahu tAmyati |
   racayati muhuḥ śayyāṃ paryākulaṃ muhur īkṣate madana-kadana-klāntaḥ kānte	racayati muhur SayyAm paryAkulam muhur Ikzate madana--kadana--klAntaH kAnte
   priyas tava vartate || GG_5.16 ||	priyaH tava vartate || Gu-_5.16 ||
   tvad-vāmyena samaṃ samagram adhunā tigmāṃśur astaṃ gato govindasya	tvad--vAmyena samam samagram aDunA tigmAMSuH astam gataH govindasya
   manorathena ca samaṃ prāptaṃ tamaḥ sāndratām |	manoraTena ca samam prAptam tamaH sAndra-tAm |
   kokānāṃ karuṇa-svanena sadṛśī dīrgha-mad-abhyarthanā tan mugdhe viphalaṃ	kokAnAm karuNa--svanena sadRSI dIrGa-mad--aByarTanA tat mugDe viPalam
   vilambanam asau ramyo'bhisāra-kṣaṇaḥ || GG_5.17 ||	vilambanam asO ramyaH-aBisAra-kzaNaH || Gu-_5.17 ||
   āśleṣād anu cumbanād anu nakho-lekhād anu svāntaja-prodbodhād anu	ASlezAt anu cumbanAt anu naKa-u-leKAt anu svAnta-ja--prodboDAt anu
   sambhramād anu ratārambhād anu prītayoḥ |	samBramAt anu rata-AramBAt anu prItayoH |
