   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   gṛhapatimahāsālakulānāṃ vā cāturmahārājakāṇi kānāmvā (cāturmahārājikāṇāṃ	gRhapati mahA sAla kulAnAm vA cAturmahA rAjakANi kAnAm vA (cAturmahArAjikANAm
   vā) devānāṃ, trā (tra)yastriṃśānāmvā, yāmānāṃ, tuṣitānāṃ, nirmāṇaratīnāṃ,	vA) devAnAn, trA (tra)yaH triMSAnAmvA, yAmAnAn, tuzitAnAn, nirmANaratInAM,
   paranirmitavaśavarttināṃ devānāṃ sabhāgatoyopapaho (sabhāgatāyāmupapanno)	para nirmita vaSavarttinAm devAnAm sa BAga toya upapahaH (saBA gatAyAm upapanno)
   yathāpi tadviśuddhatvācchīlānāṃ samadānāṃ atyarthajātaṃ dhyānāni ca	yaTA api tad viSudDa tvAt SIlAnAm sa madAnAm atyarTa jAtam DyAnAni ca
   samāpadya dṛṣṭe dharme sukhaṃ vihareyaṃ | rūpopamānāṃ ca devānāṃ	samApadya dRzwe Darme suKam vihareyam | rUpa upamAnAm ca devAnAm
   sabhāgatāyopapadyeya (yāmupasampadyeya) vihare[ya eta]dyaśa etacca	saBA gatAya upapadyeyaH (yAm upasampadyeya) vihare[yaH eta]t yaSaH etat ca
   śīlavato vītarāgasya praṇidhānaṃ samṛdhyati | sa cedākāṃkṣate | ..........	SIlavataH vIta rAgasya praNiDAnam samRDyati | sa ced AkAMkzate | ..........
   vimokṣā............ syādvopasampadya vihareyaṃ | ārūpyopagatānāmvā	vimokzA............ syAt vA upasampadya vihareyam | ArUpya upagatAnAm vA
   devā[nāṃ sa]bhāgatāyo (yāmu)papadyeya pūrvavat || sa cedākāṃkṣate	devA[nAm sa]BAga tAyaH (yAm u)papadyeya pUrvavat || sa ced AkAMkzate
   atyantaniṣṭhanirvāṇamadhigaccheyamityadhigacchati || (tadgati)	atyanta nizWa nirvANam aDigacCeyam iti aDigacCati || (tad gati)
   śuddhatvācchīlānāṃ (Śbh_Sh: 63) sarvatra ca vītarāgasya [|] ayaṃ daśamaḥ	SudDa tvAt SIlAnAm (ŚB_Sh: 63) sarvatra ca vIta rAgasya [|] ayam daSamaH
   śīlānuśaṃso veditavyaḥ ||	SIla anuSaMsaH veditavyaH ||
   nirdiṣṭaḥ śīlaskandho vibhāgaśaḥ, nirdiṣṭā vipattisampattiḥ | nirdiṣṭāni	nirdizwaH SIla skanDaH viBAgaSaH, nirdizwA vipatti sampattiH | nirdizwAni
   paryāyanāmāni | nirdiṣṭā pariśuddhipratyavekṣā, nirdiṣṭo [a]nuśaṃsaḥ ||	paryAya nAmAni | nirdizwA pariSudDi pratyavekzA, nirdizwaH [a]nuSaMsaH ||
   sa eṣa sarvākāraparipūrṇaḥ śīlasamvaraḥ saṃbhāraparigṛhīta ākhyātaḥ	saH eza sarva AkAra paripUrNaH SIla samvaraH saMBAra parigRhItaH AKyAtaH
   kathimo (to) vivṛtaḥ prakāśito yatrātmakāmaiḥ śrāmaṇyabrāhmaṇyakāmaiḥ	kaTimaH (to) vivRtaH prakASitaH yatra Atma kAmEH SrAmaNyabrAhmaNya kAmEH
   kulaputraiḥ śikṣitavyaṃ ||	kula putrEH Sikzitavyam ||
   || uddānaṃ ||	|| uddAnam ||
   vibhaṃgastrividho jñeyaḥ sampad daśavidhā bhavet |	viBaMgaH triviDaH jQeyaH sampad daSaviDA Bavet |
   paryāyaśca ṣaḍākāro viśuddhistrividhā matā |	paryAyaH ca zaz AkAraH viSudDiH triviDA matA |
   anuśanso (śaṃso) daśavidhaḥ eṣo 'sau śīlasamvaraḥ ||	anuSansaH (SaMso) daSaviDaH ezaH asO SIla samvaraH ||
   indriyasamvaraḥ katamaḥ | yathāpīhaikatyaḥ (Śbh_Sh: 64)	indriya samvaraH katamaH | yaTA api iha ekatyaH (ŚB_Sh: 64)
   indriyairguptadvāro viharatyārakṣitasmṛtirnipakasmṛtiritti vistaraḥ |	indriyEH gupta dvAraH viharati Arakzita smRtiH nipaka smRtiH itti vistaraH |
   tatra kathamindriyairguptadvāro viharatyārakṣitasmṛtirbhavati |	tatra kaTam indriyEH gupta dvAraH viharati Arakzita smRtiH Bavati |
   nipakasmṛtiriti vistareṇa yāvadrarakṣati mana indriyaṃ mana indriyeṇa [|]	nipaka smRtiH iti vistareNa yAvat rarakzati manaH indriyam manaH indriyeNa [|]
   sa evaṃ samāpadyate | evamindriyairguptadvāro viharati |	saH evam samApadyate | evam indriyEH gupta dvAraH viharati |
   tatra kathamārakṣitasmṛtirbhavati |	tatra kaTam Arakzita smRtiH Bavati |
   yathāpīhaikatyenendriyaguptadvāratāmevādhipatiṃ kṛtvā śrutamudgṛhītaṃ	yaTA api iha ekatyena indriyagupta dvAra tAm eva aDipatim kRtvA Srutam udgRhItam
   bhavati | cintitamvā punarbhāvitamvā | tena ca śrutacintābhāvanādhipateyā	Bavati | cintitam vA punarBAvitam vA | tena ca Sruta cintA BAvanA aDipateyA
   smṛtiḥ pratilabdhā bhavati | (Śbh_Sh: 65) sa tasyā eva smṛteḥ	smRtiH pratilabDA Bavati | (ŚB_Sh: 65) sa tasyAH eva smRteH
   pratilabdhāyāḥ asaṃpramoṣārthamadhigamārthamavināśārthaṃ kālena kālaṃ	pratilabDAyAH asaMpramoza arTam aDigama arTam avinASa arTam kAlena kAlam
   tasminneva śrute yogaṃ karotyabhyāsaṃ karoti, cintāyāṃbhāvanāyāṃ	tasmin= eva Srute yogam karoti aByAsam karoti, cintAyAMBAvanAyAm
   yogamabhyāsaṃ karoti | na bhavati sa sta prayogā yi kṛta prayoga evamanena	yogam aByAsam karoti | na Bavati sa sta prayogAH yi kRta prayogaH evam anena
   tasyā[ḥ] śrutasamudāgamatā(gatā) yāścintā samudāgatāyāḥ smṛteḥ kālena	tasyA[H] Sruta samudAgama tA(gatA) yAH cintA  samudAgatAyAH smRteH kAlena
   kālaṃ śrutacintābhāvanāyogakriyāyā ārakṣā kṛtā bhavati |	kAlam Sruta cintA BAvanA yoga kriyAyAH ArakzA kRtA Bavati |
   evamārakṣitasmṛtirbhavati |	evam Arakzita smRtiH Bavati |
   kathaṃ nipakasmṛtirbhavati | sa tasyāmeva smṛtau nityakārī ca bhavati |	kaTam nipaka smRtiH Bavati | sa tasyAm eva smRtO nitya kArI ca Bavati |
   [niryāṇakārī ca bhavati] | tatra yā nityakāritā iyamucyate sātatyakāritā |	[niryANa kArI ca Bavati] | tatra yA nitya kAritA iyam ucyate sAtatya kAritA |
   tatra yā niryāṇakāritā iyamucyate satkṛtyakāritā | sa evaṃ sātatyakārī	tatra yA niryANa kAri tA iyam ucyate satkRtya kAritA | saH evam sAtatyakArI
   satkṛtyakārī nipakasmṛtirityucyate | sa tathārakṣitasmṛtirbhavati | tathā	satkRtya kArI nipaka smRtiH iti ucyate | sa taTA rakzita smRtiH Bavati | taTA
   tāṃ smṛtiṃ na saṃpramoṣayati | sa tathānipakasmṛtirbhavati | tathā	tAm smRtim na saMpramozayati | sa taTA anipaka smRtiH Bavati | taTA
   tasyāmevāpramuṣitāyāṃ (Śbh_Sh: 66) smṛtau balādhānaprāpto bhavati | yena	tasyAm eva apramuzitAyAm (ŚB_Sh: 66) smRtO bala ADAna prAptaH Bavati | yena
   śakto bhavati pratibalaśca rūpāṇāmabhibhavāya śabdānāṃ, gandhānāṃ,	SaktaH Bavati pratibalaH ca rUpANAm aBiBavAya SabdAnAM, ganDAnAM,
   rasānāṃ, spraṣṭavyānāṃ, dharmāṇāmabhibhavāya |	rasAnAM, sprazwavyAnAM, DarmANAm aBiBavAya |
   kathaṃ smṛtyārakṣitamānaso bhavati | cakṣuḥ pratītya rūpāṇi cotpadyate |	kaTam smRtyA rakzita mAnasaH Bavati | cakzuH pratItya rUpANi ca utpadyate |
   cakṣurvi[jñānaṃ, ca] kṣurvijñānānantaramutpadyate | vikalpakaṃ	cakzuH vi[jQAnan, ca] kzuH vijQAna anantaram utpadyate | vikalpakam
   manovijñānaṃ yena vikalpakena manovijñānena priyarūpeṣu rūpeṣu saṃrajyate	manaH vijQAnam yena vikalpakena manaH vijQAnena priya rUpezu rUpezu saMrajyate
   | apriyarūpeṣu rūpeṣu vyāpadyate [|] sa bhā (tā)mevādhipatiṃ kṛtvā	| apriya rUpezu rUpezu vyApadyate [|] sa BAs (tA)m eva aDipatim kRtvA
   tasmādayoniśo vikalpāt saṃkleśasamutthāpakāttasmāt saṃrakṣati | yathā	tasmAt ayoniSas vikalpAt saMkleSa samutTApakAt tasmAt saMrakzati | yaTA
   saṃkleśo notpadyate | evaṃ śrotraṃ ghrāṇaṃ jihvāṃ kāyaṃ manaḥ pratītya	saMkleSaH na utpadyate | evam Srotram GrANam jihvAm kAyam manaH pratItya
   dharmāścotpadyate manovijñānaṃ | tacca	DarmAH ca utpadyate manaH vijQAnam | tat ca
   manovijñānamasyāyoniśevikalpasahagataṃ saṃkleśasamutthāpakaṃ | yena	manaH vijQAnam asya ayoniSevikalpa saha gatam saMkleSa samutTApakam | yena
   priyarūpeṣu dharmeṣu saṃrajyate | apriyarūpeṣu dharmeṣu vyāpadyate | sa	priya rUpezu Darmezu saMrajyate | apriya rUpezu Darmezu vyApadyate | sa
   tasmādayoniśovikalpāt saṃkleśasamutthāpakāttanmānasaṃ rakṣatyevamasya	tasmAt ayoni Sas vi kalpAt saMkleSa samutTApakAt tad mAnasam rakzati evam asya
   saṃkleśo notpadyate | evaṃ smṛtyārakṣitamānasobhavati |	saMkleSaH na utpadyate | evam smRtyA rakzita mAna soBavati |
   kathaṃ samāvasthāvacārako bhavati | samāvasthocyate | upekṣā kuśalā vā,	kaTam sama avasTA avacArakaH Bavati | samA avasTA ucyate | upekzA kuSalAH vA,
   avyākṛtā vā [|] sa tasmādayoniśo vikalpāt saṃkleśasamutthāpakāt tanmānasaṃ	avyAkRtA vA [|] sa tasmAt ayoniSas vikalpAt saMkleSa samutTApakAt tad mAnasam
   rakṣitvā kuśalāyāmvā upekṣāyāmavyākṛtāyāmvā avacārayati | (Śbh_Sh: 67)	rakzitvA kuSalAyAm vA upekzAyAm avyAkRtAyAm vA avacArayati | (ŚB_Sh: 67)
   tenocyate samāvasthāvacārakaḥ | evaṃ samāvasthāvacārako bhavati |	tena ucyate sama avasTA avacArakaH | evam sama avasTA avacArakaH Bavati |
   kathaṃ punastasmādayoniśo vikalpasaṃkleśasamutthāpakān mānasaṃ rakṣati |	kaTam punar tasmAt ayoniSas vikalpa saMkleSa samutTApakAt mAnasam rakzati |
   na nimittagrāhī bhavati | teṣu rūpeṣu, śabdeṣu, gandheṣu, raseṣu,	na nimitta grAhI Bavati | tezu rUpa izu, Sabdezu, ganDezu, rasezu,
   spraṣṭavyeṣu, dharmeṣu nānuvyaṃjanagrāhī bhavati yato [a]dhikaraṇamasya	sprazwavya izu, Darmezu na anuvyaMjana grAhI Bavati yatas [a]Di karaNam asya
   pāpakā akuśalā dharmāścittamanusraveyuḥ | sa cet punaḥ smṛtisaṃpramoṣāt	pApakAH akuSalAH DarmAH cittam anusraveyuH | sa ced punar smRti saMpramozAt 
   kleśapracuratayā vā vivarjayato [a]pi nimittagrāhama(ho	kleSa pracura tayA vA vivarjayataH [a]pi nimitta grAham a(ho
   ')nuvyaṃjanagrāha[ḥ sa]mutpadyate eva | pāpakā akuśalāto duḥgṛhīto	a)nuvyaMjana grAha[H sa]m utpadyate eva | pApakAH akuSalAtaH duHgRhItaH 
   (pāpakādakuśalato durgṛhīto) bhavati ke (ye) dharmā anusarantyeva | cittaṃ	(pApakAt akuSalataH durgRhItaH ) Bavati ke (ye) DarmAH anusaranti eva | cittam
   teṣāṃ samvarāya pratipadyate | ābhyāṃ dvābhyāmākārābhyāṃ tasmāt	tezAm samvarAya pratipadyate | AByAm dvAByAm AkArAByAm tasmAt 
   saṃkleśasamutthāpakādayoniśovikalpāttanmānasaṃ rakṣitaṃ bhavati ||	saMkleSa samutTApakAt ayoniSas vikalpAt tat mAnasam rakzitam Bavati ||
   kathaṃ ca punastanmānasamābhyāmākārābhyāṃ saraṃkṣya kuśalāyāmvā	kaTam ca punar tad mAna samAByAm AkArAByAm saraMkzya kuSalAyAmvA
   upekṣāyāmavadhārayatyavyā kṛtāyāmvā [|] dvābhyāmevākārābhyāṃ [|]	upekzAyAm avaDArayati avyA kRtAyAm vA [|] dvAByAm eva AkArAByAm [|]
   katamābhyāṃ dvābhyāṃ [|] yathāha rakṣati cakṣurindriyaṃ cakṣurindriyeṇa	katamAByAm dvAByAm [|] yaTA Aha rakzati cakzuH indriyam cakzuH indriyeNa
   samvaramāpadyate | yathā cakṣurindriyaṃ cakṣurindriyeṇa samvaramāpadyate |	samvaram Apadyate | yaTA cakzuH indriyam cakzuH indriyeNa samvaram Apadyate |
   me (e)vaṃ śrotraghrāṇajihvākāyāṃ (yān), rakṣati mana indriyaṃ mana	me (e)vam Srotra GrANa jihvA kAyAm (yAn ), rakzati manaH indriyam mana
   indriyeṇa samvaramāpadyate | ābhyāṃ dvābhyomākārābhyāṃ kuśalāyāmvā,	indriyeNa samvaram Apadyate | AByAm dvAByoma AkArAByAm kuSalAyAmvA,
   avyākṛtāyāmvā upekṣāyāṃ tanmānasameva cārayati ||	avyAkRtAyAm vA upekzAyAm tat mAnasam eva cArayati ||
   (Śbh_Sh: 68)	(ŚB_Sh: 68)
   kathaṃ cakṣurvijñeyeṣu rūpeṣu na nimittagrāhī bhavati | nimittagrāha	kaTam cakzuH vijQeyezu rUpezu na nimitta grAhI Bavati | nimitta grAha
   ucyate | yaccakṣurvijñānagocaro rūpe tasya gocarasya grāhī bhavati |	ucyate | yat cakzuH vijQAna gocaraH rUpe tasya gocarasya grAhI Bavati |
   cakṣurvijñānena [|] evaṃ nimittagrāhī bhavati | yaduta cakṣurvijñeyeṣu	cakzuH vijQAnena [|] evam nimitta grAhI Bavati | yat uta cakzuH vijQeyezu
   rūpeṣu śrotraghrāṇajih vākāyamanovijñeyeṣu rūpeṣu aparā jāti[r] nimittaṃ |	rUpezu Srotra GrANa jih vA kAya manaH vijQeyezu rUpezu aparA jAti[r] nimittam |
   sa cet punastaṃ gocaraṃ parivarjayati | cakṣurvijñānasyaivaṃ na (ca) na	sa ced punar tam gocaram parivarjayati | cakzuH vijQAnasya evam na (ca) na
   nimittagrāhī [bha]vati | cakṣurvijñeyeṣu rūpeṣvevaṃ śrotra	nimitta grAhI [Ba]vati | cakzuH vijQeyezu rUpezu evam Srotra
   ghrāṇajihvākāyamanovijñeyeṣu dharmeṣu [|]	GrANa jihvA kAya manaH vijQeyezu Darmezu [|]
   kathaṃ nānuvyaṃjanagrāhībhavati | cakṣurvijñeyeṣu rūpeṣu [|]	kaTam na anuvyaMjana grAhIBavati | cakzuH vijQeyezu rUpezu [|]
   anuvyaṃjanagrāha ucyate | yasteṣvevacakṣurvijñeyeṣu rūpeṣu	anuvyaMjana grAhaH ucyate | yaH tezu eva cakzuH vijQeyezu rUpezu
   cakṣurvijñānasyaiva samanantarasahotpannasya vikalpakasya manovijñānasya	cakzuH vijQAnasya eva samanantara saha utpannasya vikalpakasya manaH vijQAnasya
   yo gocaraḥ saṃrāgāya vā, saṃdveṣāya, vā saṃmohāya vā taṃ gocaraṃ	yaH gocaraH saMrAgAya vA, saMdvezAya, vA saMmohAya vA tam gocaram
   parivarjayati | notpādayati tadālambanaṃ | tanmanovijñānamevaṃ	parivarjayati | na utpAdayati tad Alambanam | tad manaH vijQAnam evam
   nānuvyaṃjanagrāhī bhavati | yaduta cakṣurvijñeyeṣu rūpeṣu [|] evaṃ	na anuvyaMjana grAhI Bavati | yat uta cakzuH vijQeyezu rUpezu [|] evam
   śrotraghrāṇajih vākāyamanovijñeyeṣu dharmeṣu aparā	Srotra GrANa jih vA kAya manaH vijQeyezu Darmezu aparA
   jātirnimittagrāhasyānuvyaṃjanagrāhasya ca | tatra nimittagrāho yaccakṣuṣā	jAtiH nimitta grAhasya anuvyaMjana grAhasya ca | tatra nimitta grAhaH yat cakzuzA
   rupāṇyābhāsagatāni tajjaṃ manaskāraṃ saṃmukhīkṛtya paśyati [|]	rupANi ABAsa gatAni tad jam manaskAram saMmuKIkRtya paSyati [|]
   tatrānuvyaṃjanagrāhaḥ | tānyeva rūpāṇi cakṣuṣā ābhāsagatāni tajjaṃ	tatra anuvyaMjana grAhaH | tAni eva rUpANi cakzuzA ABAsa gatAni tad jam
   manasikāraṃ saṃmukhīkṛtya paśyati | apitu parato [a]nusravapūrvakaṃ	manasikAram saMmuKIkRtya paSyati | apitu paratas [a]nu srava pUrvakam
   (Śbh_Sh: 69) śrṛṇoti | santyevaṃ rūpāṇyevaṃ rūpāṇi cakṣurvijñeyāni	(ŚB_Sh: 69) SrRNoti | santi evam rUpANi evam rUpANi cakzuH vijQeyAni
   rūpāṇīti yāni tāni tadanugatāni nāmāni padāni vyaṃjanāni [yānya]dhipatiṃ	rUpANi iti yAni tAni tad anugatAni nAmAni padAni vyaMjanAni [yAni a]Dipatim
   kṛtvā, yāni niśritya pratiṣṭhāyāyaṃ puruṣapudgalaḥ yathāśrutāni	kRtvA, yAni niSritya pratizWAya ayam puruza pudgalaH yaTA SrutAni
   cakṣurvijñeyāni rūpāṇi vikalpayatyayamucyate | anuvyaṃjanagrāhaḥ [|] yathā	cakzuH vijQeyAni rUpANi vikalpayati ayam ucyate | anuvyaMjana grAhaH [|] yaTA
   cakṣurvijñeyeṣu rūpeṣu, evaṃ śrotraghrāṇajih vākāyamanovijñeyeṣu dharmeṣu	cakzuH vijQeyezu rUpa izu, evam Srotra GrANa jih vA kAya manaH vijQeyezu Darmezu
   veditavyaḥ | sa punarayaṃ nimittagrāho [a]nuvyaṃjanagrāhaśca asti	veditavyaH | sa punar ayam nimitta grAhaH [a]nu vyaMjana grAhaH ca asti
   yannidānamasya yadadhikaraṇaṃ yadadhipateyaṃ asya pāpakā akuśalā	yat nidAnam asya yat aDikaraNam yat aDipateyam asya pApakAH akuSalA
   dharmāścittamanusravanti | asti yacca tannidānaṃ ca tadadhikaraṇaṃ ca	DarmAH cittam anusravanti | asti yat ca tat nidAnam ca tad aDikaraNam ca
   tadadhipateyaṃ pāpakā akuśalā dharmā ścittamanusravanti | tatra yo [a]yaṃ	tad aDipateyam pApakAH akuSalAH DarmAH Scittam anusravanti | tatra yaH [a]yam
   nimittagrāho [a]nuvyaṃjanagrāho ayoniśogrāhaḥ yannidānaṃ yadadhikaraṇaṃ	nimitta grAhaH [a]nu vyaMjana grAhaH ayoniSaH grAhaH yat nidAnam yat aDikaraNam
   yadadhipateyamasya pāpakā akuśalā dharmāścittamanusravanti | tadrūpamasau	yat aDipateyam asya pApakAH akuSalAH DarmAH cittam anusravanti | tad rUpam asO
   nimittagrāhamanuvyaṃjanagrāhaṃ ca parivarjayati |	nimitta grAham anuvyaMjana grAham ca parivarjayati |
   pāpakā akuśalā dharmāḥ katame [|] rāgaḥ, rāgasamutthāpitaṃ kāyaduścaritaṃ,	pApakAH akuSalAH DarmAH katame [|] rAgaH, rAga samutTApitam kAya duScaritaM,
   vāgduścaritaṃ, manoduścaritaṃ | dveṣo, mohaḥ [|], mohasamutthāpitaṃ ca	vAc duScaritaM, manaH duScaritam | dvezo, mohaH [|], moha samutTApitam ca
   kāyaduścaritaṃ, vāgduścaritaṃ, manoduścaritamima ucyante pāpakā akuśalā	kAya duScaritaM, vAc duScaritaM, manaH duScaritam ima ucyante pApakAH akuSalA
   dharmāḥ |	DarmAH |
   (Śbh_Sh: 70)	(ŚB_Sh: 70)
   kathamete cittamanusravanti | yadālambanaṃ cittamanovijñānamutpadyate |	kaTam ete cittam anusravanti | yadAlambanam citta manaH vijQAnam utpadyate |
   gacchati pratisarati | tadālambanāstadālambanāstena cittamanovijñānena	gacCati pratisarati | tad AlambanAH tad AlambanAH tena citta manaH vijQAnena
   saṃprayuktāḥ [ḥ] kāyavāṅmanoduścaritasamutthāpakā[s] te rāgadveṣamohā	saMprayuktAH [H] kAya vAc manaH duScarita samutTApakA[ s] te rAga dveza mohA
   utpadyante, gacchanti pratisaranti | tenocyante (te) cittamanupravanti ||	utpadyante, gacCanti pratisaranti | tena ucyante (te) cittam anupravanti ||
   evaṃ tāvannimittagrāheṇānuvyaṃjanagrāheṇa ca ya utpadyate,	evam tAvat nimitta grAheNa anuvyaMjana grAheNa ca yaH utpadyate,
   saṃkleśaścakṣurvijñeyeṣu rūpeṣu yāvanmanovijñeyeṣu dharmeṣu so [a]sya	saMkleSaH cakzuH vijQeyezu rUpezu yAvat manaH vijQeyezu Darmezu saH [a]sya
   notpadyate nimittagrāhamanuvyaṃjanagrāhaṃ ca parivarjayataḥ [|] sa cet	na utpadyate nimitta grAham anuvyaMjana grAham ca parivarjayataH [|] sa ced 
   punaḥ smṛtisaṃpramoṣādvā, kleśapracuratayā vā, ekākino [a]pi viharataḥ	punar smRti saMpramozAt vA, kleSa pracura tayA vA, ekAkinaH [a]pi viharataH
   pūrvadṛṣṭāni cakṣurvijñeyāni rūpāṇyadhipatiṃ kṛtvā pūrvānubhūtāṃ (tān)	pUrva dRzwAni cakzuH vijQeyAni rUpANi aDipatim kRtvA pUrva anuBUtAm (tAn)
   śrotraghrāṇajihvākāyamanovijñeyān dharmānadhipatiṃ kṛtvotpadyante pāpakā	Srotra GrANa jihvA kAya manaH vijQeyAn DarmAn aDipatim kRtvA utpadyante pApakA
   akuśalā dharmā[s] tānutpannānadhivāsayati, prajahāti, viśodhayati,	akuSalA DarmA[s] tAn utpannAn aDivAsayati, prajahAti, viSoDayati,
   vyantīkaroti | tenocyate teṣāṃ samvarāya pratipadyate |	vyantIkaroti | tena ucyate tezAm samvarAya pratipadyate |
   sa yeṣu rūpeṣu cakṣuḥ prerayitavyaṃ bhavati | yeṣu śrotraghrāṇajih	sa yezu rUpezu cakzuH prerayitavyam Bavati | yezu Srotra GrANa jih
   vākāyamanovijñeyeṣu dharmeṣu manaḥ prerayitavyaṃ (Śbh_Sh: 71) bhavati |	vAkAya manaH vijQeyezu Darmezu manaH prerayitavyam (ŚB_Sh: 71) Bavati |
   teṣu tathā prerayati | yathā na saṃkliśyate | evamanena tasmāt	tezu taTA prerayati | yaTA na saMkliSyate | evam anena tasmAt 
   saṃkleśānmana[indriyaṃ] rakṣitaṃ bhavati | tenocyate rakṣati mana indriyaṃ	saMkleSAt mana[ indriyan] rakzitam Bavati | tena ucyate rakzati manaH indriyam
   | yeṣu punaścakṣurvijñeyeṣu rūpeṣu cakśurindriyaṃ na prerayitavyaṃ bhavati	| yezu punar cakzuH vijQeyezu rUpezu cakSuH indriyam na prerayitavyam Bavati
   | yeṣu śrotraghrāṇajih vākāyamanovijñeyeṣu dha[rmeṣu] mana indriyaṃ na	| yezu Srotra GrANa jih vA kAya manaH vijQeyezu Da[rma izu] manaH indriyam na
   prerayitavyaṃ bhavati | teṣu sarveṇa sarvaṃ sarvathā na prerayati |	prerayitavyam Bavati | tezu sarveNa sarvam sarvaTA na prerayati |
   tenocyatecakṣurindriyeṇa samvaramāpadyate | tenocyate yāvanmana indriyeṇa	tena ucyatecakzuH indriyeNa samvaram Apadyate | tena ucyate yAvat manaH indriyeNa
   samvaramāpadyate | ayaṃ tāvadvibhaṃgo vistareṇendriyasamvarasya vijñeya[ḥ]	samvaram Apadyate | ayam tAvat viBaMgaH vistareNa indriya samvarasya vijQeya[H]
   samāsārthaḥ | yena ca saṃvṛṇoti, yataśca saṃvṛṇoti, yathā ca saṃvṛṇoti, yā	samAsa arTaH | yena ca saMvRNoti, yatas ca saMvRNoti, yaTA ca saMvRNoti, yA
   cāsau saṃvṛtiḥ | tatsarvamekatyamabhisaṃkṣipyendriyasamvara ityucyate |	ca asO saMvRtiH | tat sarvam ekatyam aBisaMkzipya indriya samvaraH iti ucyate |
   tatra kena saṃvṛṇoti [|] yā ārakṣitā ca smṛtistayā saṃvṛṇoti [|]	tatra kena saMvRNoti [|] yA ArakzitA ca smRtiH tayA saMvRNoti [|]
   kiṃ saṃvṛṇoti [|] cakṣurindriyaṃ saṃvṛṇoti | śrotraghrāṇajih	kim saMvRNoti [|] cakzuH indriyam saMvRNoti | Srotra GrANa jih
   vākāyamanaindriyaṃ saṃvṛṇoti | idaṃ saṃvṛṇoti |	vAkAyam anA Endriyam saMvRNoti | idam saMvRNoti |
   kutaḥ saṃvṛṇoti | priyarūpāpriyarūpebhyo rūpebhyaḥ śabdebhyo	kutas saMvRNoti | priya rUpa apriya rUpeByaH rUpeByaH SabdeByaH 
   yāvaddharmebhyo [a]taḥ saṃvṛṇoti (saṃvṛṇoti) |	yAvat DarmeByaH [a]taH saMvRNoti (saMvRNoti) |
   kathaṃ saṃvṛṇoti | na nimittagrāhī bhavati nānuvyaṃjanagrāhī (Śbh_Sh: 72)	kaTam saMvRNoti | na nimitta grAhI Bavati na anuvyaMjana grAhI (ŚB_Sh: 72)
   yato [a]dhikaraṇameva pāpakā akuśalā dharmāścittamanusravanti | teṣāṃ	yatas [a]Di karaNam eva pApakAH akuSalAH DarmAH cittam anusravanti | tezAm
   samvarāya pratipadyate | rakṣatīndriyamindriyeṇa | samvaramāpadyate |	samvarAya pratipadyate | rakzati indriyam indriyeNa | samvaram Apadyate |
   ityevaṃ saṃvṛṇoti |	iti evam saMvRNoti |
   kā punaḥ saṃvṛtiḥ | yataḥ smṛtyārakṣitamānaso bhavati |	kA punar saMvRtiH | yatas smRti Arakzita mAnasaH Bavati |
   samāvasthāvacārakaḥ | iyamucyate saṃvṛtiḥ |	sama avasTA avacArakaH | iyam ucyate saMvRtiH |
   punaraparaḥ samāsārthaḥ [|] yaścasamvaropāyaḥ | yacca samvaraṇīyamvastu,	punar aparaH samAsa arTaH [|] yaH ca samvara upAyaH | yat ca samvaraNIyam vastu,
   yā ca saṃvṛtiḥ | tadekatyamabhisaṃkṣipyendriyasamvara ityucyate |	yA ca saMvRtiH | tad ekatyam aBisaMkzipya indriya samvaraH iti ucyate |
   tatra katamaḥ samvarovā (saṃvaropāyaḥ) [|] yadāha ārakṣitasmṛtirbhavati,	tatra katamaH samvarovA (saMvara upAyaH) [|] yat Aha Arakzita smRtiH Bavati,
   nipakasmṛtiriti cakṣuṣā rūpāṇi dṛṣṭvā na nimittagrāhī bhavati,	nipaka smRtiH iti cakzuzA rUpANi dRzwvA na nimitta grAhI Bavati,
   nānuvyaṃjanagrāhī, yāvanmanasā dharmān vijñāya na nimittagrāhī bhavati,	na anuvyaMjana grAhI, yAvat manasA DarmAn vijQAya na nimitta grAhI Bavati,
   nānuvyaṃjanagrāhī | yato [a]dhikaraṇameva pāpakā akuśalā	na anuvyaMjana grAhI | yatas [a]Di karaNam eva pApakAH akuSalA
   dharmāścittamanusravanti | teṣāṃ samvarāya pratipadyate |	DarmAH cittam anusravanti | tezAm samvarAya pratipadyate |
   rakṣatīndriyamindriyeṇa samvaramāpadyate | ayamucyate samvaropāyaḥ |	rakzati indriyam indriyeNa samvaram Apadyate | ayam ucyate samvara upAyaH |
   samvaraṇīyaṃ vastu katamat [|] cakṣūrūpaṃ caivaṃ	samvaraNIyam vastu katamat [|] cakzU rUpam ca evam
   yāvanmanodharmāścedamucyate samvaraṇīyaṃ vastu |	yAvat manaH DarmAH ca idam ucyate samvaraNIyam vastu |
   tatra saṃvṛtiḥ katamā [|] yadāha | smṛtyārakṣitamānaso bhavati |	tatra saMvRtiH katamA [|] yat Aha | smRti A rakzita mAnasaH Bavati |
   samāvasthāvacāraka itīyamucyate saṃvṛtiḥ |	sama avasTAvacArakaH iti iyam ucyate saMvRtiH |
   sa khalvayamindriyasamvaraḥ samāsato dvividhaḥ | (Śbh_Sh: 73)	sa Kalu ayam indriya samvaraH samAsatas dviviDaH | (ŚB_Sh: 73)
