   uparivibhāgaḥ	upari viBAgaH
   na saṃhatābhyāṃ pāṇibhyāṃ kaṇḍūyedātmanaḥ śiraḥ /	na saMhatAByAm pANiByAm kaNxUyet AtmanaH SiraH /
   na laukikaiḥ stavairdevāṃstoṣayed bāhyajairapi // KūrmP_2,16.64 //	na lOkikEH stavEH devAn= tozayet bAhya jEH api // KUrmP_2,16.64 //
   nākṣaiḥ krīḍenna dhāveta nāpsu viṇmūtramācaret /	na akzEH krIxet na DAveta na apsu viz mUtram Acaret /
   nocchiṣṭaḥ saṃviśennityaṃ na nagnaḥ snānamācaret // KūrmP_2,16.65 //	na ucCizwaH saMviSet nityam na nagnaH snAnam Acaret // KUrmP_2,16.65 //
   na gacchenna paṭhed vāpi na caiva svaśiraḥ spṛśet /	na gacCet na paWet vA api na ca eva sva SiraH spRSet /
   na dantairnakharomāṇi chindyāt suptaṃ na bodhayet // KūrmP_2,16.66 //	na dantEH naKa romANi CindyAt suptam na boDayet // KUrmP_2,16.66 //
   na bālātapamāsevet pretadhūmaṃ vivarjayet /	na bAla Atapam Asevet preta DUmam vivarjayet /
   naikaḥ supyācchūnyagṛhe svayaṃ nopānahau haret // KūrmP_2,16.67 //	na ekaH supyAt SUnya gRhe svayam na upAnahO haret // KUrmP_2,16.67 //
   nākāraṇād vā niṣṭhīvenna bāhubhyāṃ nadīṃ taret /	na akAraNAt vA nizWIvet na bAhuByAm nadIm taret /
   na pādakṣālanaṃ kuryāt pādenaiva kadācana // KūrmP_2,16.68 //	na pAda kzAlanam kuryAt pAdena eva kadAcana // KUrmP_2,16.68 //
   nāgnau pratāpayet pādau na kāṃsye dhāvayed budhaḥ /	na agnO pratApayet pAdO na kAMsye DAvayet buDaH /
   nābhiprāsarayed devaṃ brāhmaṇān gāmathāpi vā /	na aBiprAsarayet devam brAhmaNAn gAm aTa api vA /
   vāyvagniguruviprān vā sūryaṃ vā śaśinaṃ prati // KūrmP_2,16.69 //	vAyu agni guru viprAn vA sUryam vA SaSinam prati // KUrmP_2,16.69 //
   aśuddhaḥ śayanaṃ yānaṃ svādhyāyaṃ snānavāhanam /	aSudDaH Sayanam yAnam svADyAyam snAna vAhanam /
   bahirniṣkramaṇaṃ caiva na kurvota kathañcana // KūrmP_2,16.70 //	bahis nizkramaNam ca eva na kurvota kaTaQcanaH // KUrmP_2,16.70 //
   svapnamadhyayanaṃ snānamudvartaṃ bhojanaṃ gatim /	svapnam aDyayanam snAnam udvartam Bojanam gatim /
   ubhayoḥ saṃdhyayornityaṃ madhyāhne caiva varjayet // KūrmP_2,16.71 //	uBayoH saMDyayoH nityam maDyAhne ca eva varjayet // KUrmP_2,16.71 //
   na spṛśet pāṇinocchiṣṭo viprogobrāhmaṇānalān /	na spRSet pANinA ucCizwaH vipraH go brAhmaNa analAn /
   na cāsanaṃ padā vāpi na devapratimāṃ spṛśet // KūrmP_2,16.72 //	na ca Asanam padA vA api na deva pratimAm spRSet // KUrmP_2,16.72 //
   nāśuddho 'gniṃ paricarenna devān kīrtayedṛṣīn /	na aSudDaH agnim paricaret na devAn kIrtayet RzIn /
   nāvagāhedagādhāmbu dhārayennānimittataḥ // KūrmP_2,16.73 //	na avagAhet agADa ambu DArayet na animittatas // KUrmP_2,16.73 //
   na vāmahastenoddhatya pibed vaktreṇa vā jalam /	na vAma hastena udDatya pibet vaktreNa vA jalam /
   nottaredanupaspṛśya nāpsu retaḥ samutsṛjet // KūrmP_2,16.74 //	na uttaret anupaspRSya na apsu retaH samutsRjet // KUrmP_2,16.74 //
   amedhyaliptamanyad vā lohitaṃ vā viṣāṇi vā /	ameDya liptam anyat vA lohitam vA vizANi vA /
   vyatikramenna stravantīṃ nāpsu maithunamācaret /	vyatikramet na stravantIm na apsu mETunam Acaret /
   caityaṃ vṛkṣaṃ na vai chindyānnāpsu ṣṭhīvanamācaret // KūrmP_2,16.75 //	cEtyam vRkzam na vE CindyAt na apsu zWIvanam Acaret // KUrmP_2,16.75 //
   nāsthibhasmakapālāni na keśānna ca kaṇṭakān /	na asTi Basma kapAlAni na keSAn na ca kaNwakAn /
   tuṣāṅgārakarīṣaṃ vā nādhitiṣṭhet kadācana // KūrmP_2,16.76 //	tuza aFgAra karIzam vA na aDitizWet kadAcana // KUrmP_2,16.76 //
   na cāgniṃ laṅghayed dhīmān nopadadhyādadhaḥ kvacit /	na ca agnim laFGayet DImAn na upadaDyAt aDas kvacid /
   na cainaṃ pādataḥ kuryānmukhena na dhamed budhaḥ // KūrmP_2,16.77 //	na ca enam pAdataH kuryAt muKena na Damet buDaH // KUrmP_2,16.77 //
   na kūpamavaroheta nāvekṣetāśuciḥ kvacit /	na kUpam avaroheta na avekzeta aSuciH kvacid /
   agnau na ca kṣipedagniṃ nādbhiḥ praśamayet tathā // KūrmP_2,16.78 //	agnO na ca kzipet agnim na adBiH praSamayet taTA // KUrmP_2,16.78 //
   suhṛnmaraṇamārtiṃ vā na svayaṃ śrāvayet parān /	suhRd maraNam Artim vA na svayam SrAvayet parAn /
   apaṇyaṃ kūṭapaṇyaṃ vā vikraye na prayojayet // KūrmP_2,16.79 //	apaNyam kUwa paNyam vA vikraye na prayojayet // KUrmP_2,16.79 //
   na vahniṃ mukhaniśvāsair jvālayennāśucirbudhaḥ /	na vahnim muKa niSvAsEH jvAlayet na aSuciH buDaH /
   puṇyasthānodakasthāne sīmāntaṃ vā kṛṣenna tu // KūrmP_2,16.80 //	puNya sTAna udaka sTAne sImAntam vA kRzet na tu // KUrmP_2,16.80 //
   na bhindyāt pūrvasamayamabhyupetaṃ kadācana /	na BindyAt pUrva samayam aByupetam kadAcana /
   parasparaṃ paśūn vyālān pakṣiṇo nāvabodhayet // KūrmP_2,16.81 //	parasparam paSUn vyAlAn pakziNaH na avaboDayet // KUrmP_2,16.81 //
   parabādhaṃ na kurvota jalavātātapādibhiḥ /	para bADam na kurva uta jala vAta Atapa AdiBiH /
   kārayitvā svakarmāṇi kārūn paścānna vañcayet /	kArayitvA sva karmANi kArUn paScAt na vaQcayet /
   sāyaṃprātar gṛhadvārān bhikṣārthaṃ nāvaghaṭṭayet // KūrmP_2,16.82 //	sAyaMprAtar gRha dvArAn BikzA arTam na avaGawwayet // KUrmP_2,16.82 //
   bahirmālyaṃ bahirgandhaṃ bhāryayā saha bhojanam /	bahis mAlyam bahis ganDam BAryayA saha Bojanam /
   vigṛhya vādaṃ kudvārapraveśaṃ ca vivarjayet // KūrmP_2,16.83 //	vigRhya vAdam ku dvAra praveSam ca vivarjayet // KUrmP_2,16.83 //
   na khādanbrāhmaṇastiṣṭhenna jalped vā hasan budhaḥ /	na KAdan brAhmaNaH tizWet na jalpet vA hasan buDaH /
   svamagniṃ naiva hastena spṛśennāpsu ciraṃ vaset // KūrmP_2,16.84 //	svam agnim na eva hastena spRSet na apsu ciram vaset // KUrmP_2,16.84 //
   na pakṣakeṇopadhamenna śūrpeṇa na pāṇinā /	na pakzakeNa upaDamet na SUrpeNa na pANinA /
   mukhe naiva dhamedagniṃ mukhādagnirajāyata // KūrmP_2,16.85 //	muKe na eva Damet agnim muKAt agniH ajAyate // KUrmP_2,16.85 //
   parastriyaṃ na bhāṣeta nāyājyaṃ yājayed dvijaḥ /	para striyam na BAzeta na ayAjyam yAjayet dvijaH /
   naikaścaret sabhāṃ vipraḥ samavāyaṃ ca varjayet // KūrmP_2,16.86 //	na ekaH caret saBAm vipraH samavAyam ca varjayet // KUrmP_2,16.86 //
   na devāyatanaṃ gacchet kadācid vāpradakṣiṇam /	na devAyatanam gacCet kadAcid vA apradakziNam /
   na vījayed vā vastreṇa na devāyatane svapet // KūrmP_2,16.87 //	na vIjayet vA vastreNa na devAyatane svapet // KUrmP_2,16.87 //
   naiko 'dhvānaṃ prapadyeta nādhārmikajanaiḥ saha /	na ekaH aDvAnam prapadyeta na aDArmika janEH saha /
   na vyādhidūṣitairvāpi na śūdraiḥ patitena vā // KūrmP_2,16.88 //	na vyADi dUzitEH vA api na SUdrEH patitena vA // KUrmP_2,16.88 //
   nopānadvarjito vātha jalādirahitastathā /	na upAnat varjitaH vA aTa jala Adi rahitaH taTA /
   na rātrau nāriṇā sārdhaṃ na vinā ca kamaṇḍalum /	na rAtrO nAriNA sArDam na vinA ca kamaNxalum /
   nāgnigobrāhmaṇādīnāmantareṇa vrajet kvacit // KūrmP_2,16.89 //	na agni go brAhmaNa AdInAm antareNa vrajet kvacid // KUrmP_2,16.89 //
   na vatsatantrīṃ vitatāmatikrāmet kvacid dvijaḥ /	na vatsa tantrIm vitatAm atikrAmet kvacid dvijaH /
   na ninded yoginaḥ siddhān vratino vāyatīṃstathā // KūrmP_2,16.90 //	na nindet yoginaH sidDAn vratinaH vAyatIn= taTA // KUrmP_2,16.90 //
   devatāyatanaṃ prājño devānāṃ caiva satriṇām /	devatAyatanam prAjQaH devAnAm ca eva satriNAm /
   nākrāmet kāmataśchāyāṃ brāhmaṇānāṃ ca gorapi // KūrmP_2,16.91 //	na AkrAmet kAmataH CAyAm brAhmaNAnAm ca goH api // KUrmP_2,16.91 //
   svāṃ tu nākramayecchāyāṃ patitādyairna rogibhiḥ /	svAm tu na Akramayet CAyAm patita AdyEH na rogiBiH /
   nāṅgārabhasmakeśādiṣvadhitiṣṭhet kadācana // KūrmP_2,16.92 //	na aFgAra Basma keSa Adizu aDitizWet kadAcana // KUrmP_2,16.92 //
   varjayenmārjanīreṇuṃ snānavastraghacodakam /	varjayet mArjanI reNum snAna vastra Gaca udakam /
   na bhakṣayedabhakṣyāṇi nāpeyaṃ ca pibed dvijaḥ // KūrmP_2,16.93 //	na Bakzayet aBakzyANi na apeyam ca pibet dvijaH // KUrmP_2,16.93 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge ṣoḍaśo 'dhyāyaḥ	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge zoxaSaH aDyAyaH
   vyāsa uvāca	vyAsaH uvAca
   nādyācchūdrasya vipro 'nnaṃ mohād vā yadi vānyataḥ /	na adyAt SUdrasya vipraH annam mohAt vA yadi vA anyatas /
   sa śūdrayoniṃ vrajati yastu bhuṅkte hyanāpadi // KūrmP_2,17.1 //	sa SUdra yonim vrajati yaH tu BuFkte hi anApadi // KUrmP_2,17.1 //
   ṣaṇmāsān yo dvijo bhuṅkte śūdrasyānnaṃ vigarhitam /	zaz mAsAn yaH dvijaH BuFkte SUdrasya annam vigarhitam /
   jīvanneva bhavecchūdro mṛtaḥ śvā cābhijāyate // KūrmP_2,17.2 //	jIvan= eva Bavet SUdraH mRtaH SvA ca aBijAyate // KUrmP_2,17.2 //
   brāhmaṇakṣatriyaviśāṃ śūdrasya ca munīśvarāḥ /	brAhmaNa kzatriya viSAm SUdrasya ca muni ISvarAH /
   yasyānnenodarasthena mṛtastadyonimāpnuyāt // KūrmP_2,17.3 //	yasya annena udara sTena mRtaH tad yonim ApnuyAt // KUrmP_2,17.3 //
   rājānnaṃ nartakānnaṃ ca takṣṇo 'nnaṃ carmakāriṇaḥ /	rAjAnnam nartaka annam ca takzNaH annam carmakAriNaH /
   gaṇānnaṃ gaṇikānnaṃ ca ṣaṇḍhānnaṃ caiva varjayet // KūrmP_2,17.4 //	gaNa annam gaNikA annam ca zaNXa annam ca eva varjayet // KUrmP_2,17.4 //
   cakropajīvirajakataskaradhvajināṃ tathā /	cakra upajIvi rajaka taskara DvajinAm taTA /
   gāndharvalohakārānnaṃ sūtakānnaṃ ca varjayet // KūrmP_2,17.5 //	gAnDarva lohakAra annam sUtaka annam ca varjayet // KUrmP_2,17.5 //
   kulālacitrakarmānnaṃ vārdhuṣeḥ patitasya ca /	kulAla citrakarma annam vArDuzeH patitasya ca /
   paunarbhavacchatrikayorabhiśastasya caiva hi // KūrmP_2,17.6 //	pOnarBavat CatrikayoH aBiSastasya ca eva hi // KUrmP_2,17.6 //
   suvarṇakāraśailūṣavyādhabaddhāturasya ca /	suvarNakAra SElUza vyADa badDa Aturasya ca /
   cikitsakasya caivānnaṃ puṃścalyā daṇḍikasya ca // KūrmP_2,17.7 //	cikitsakasya ca eva annam puMScalyAH daNxikasya ca // KUrmP_2,17.7 //
   stenanāstikayorannaṃ devatānindakasya ca /	stena nAstikayoH annam devatA nindakasya ca /
   somavikrayiṇaścānnaṃ śvapākasya viśeṣataḥ // KūrmP_2,17.8 //	soma vikrayiNaH ca annam SvapAkasya viSezataH // KUrmP_2,17.8 //
   bhāryājitasya caivānnaṃ yasya copapatirgṛhe /	BAryA ajitasya ca eva annam yasya ca upapatiH gRhe /
   utsṛṣṭasya kadaryasya tathaivocchiṣṭabhojinaḥ // KūrmP_2,17.9 //	utsRzwasya kadaryasya taTA eva ucCizwa BojinaH // KUrmP_2,17.9 //
   apāṅktyānnaṃ ca saṅghānnaṃ śastrājīvasya caiva hi /	apAFktya annam ca saFGa annam Sastra AjIvasya ca eva hi /
   klībasaṃnyāsinoścānnaṃ mattonmattasya caiva hi /	klIba saMnyAsinoH ca annam matta unmattasya ca eva hi /
   bhītasya ruditasyānnamavakruṣṭaṃ parikṣutam // KūrmP_2,17.10 //	BItasya ruditasya annam avakruzwam parikzutam // KUrmP_2,17.10 //
   brahmadviṣaḥ pāparuceḥ śrāddhānnaṃ sūtakasya ca /	brahma dvizaH pApa ruceH SrAdDa annam sUtakasya ca /
   vṛthāpākasya caivānnaṃ śāvānnaṃ śvaśurasya ca // KūrmP_2,17.11 //	vRTA pAkasya ca eva annam SAva annam SvaSurasya ca // KUrmP_2,17.11 //
   aprajānāṃ tu nārīṇāṃ bhṛtakasya tathaiva ca /	aprajAnAm tu nArINAm BRtakasya taTA eva ca /
   kārukānnaṃ viśeṣeṇa śastravikrayiṇastathā // KūrmP_2,17.12 //	kAruka annam viSezeNa Sastra vikrayiNaH taTA // KUrmP_2,17.12 //
   śauṇḍānnaṃ ghāṭikānnaṃ ca bhiṣajāmannameva ca /	SONxa annam GAwika annam ca BizajAm annam eva ca /
   viddhaprajananasyānnaṃ parivittyannameva ca // KūrmP_2,17.13 //	vidDa prajananasya annam parivitti annam eva ca // KUrmP_2,17.13 //
   punarbhuvo viśeṣeṇa tathaiva didhiṣūpateḥ /	punarBuvaH viSezeNa taTA eva diDizUpateH /
   avajñātaṃ cāvadhūtaṃ saroṣaṃ vismayānvitam /	avajQAtam ca avaDUtam sa rozam vismaya anvitam /
   gurorapi na bhoktavyamannaṃ saṃskāravarjitam // KūrmP_2,17.14 //	guroH api na Boktavyam annam saMskAra varjitam // KUrmP_2,17.14 //
   duṣkṛtaṃ hi manuṣyasya sarvamanne vyavasthitam /	duzkRtam hi manuzyasya sarvam anne vyavasTitam /
   yo yasyānnaṃ samaśnāti sa tasyāśnāni kilbiṣam // KūrmP_2,17.15 //	yaH yasya annam samaSnAti sa tasya aSnAni kilbizam // KUrmP_2,17.15 //
   ārdhikaḥ kulamitraśca svagopālaśca nāpitaḥ /	ArDikaH kula mitraH ca sva gopAlaH ca nApitaH /
   ete śūdreṣu bhojyānnā yaścātmānaṃ nivedayet // KūrmP_2,17.16 //	ete SUdrezu Bojya annAH yaH ca AtmAnam nivedayet // KUrmP_2,17.16 //
   kuśīlavaḥ kumbhakāraḥ kṣetrakarmaka eva ca /	kuSIlavaH kumBakAraH kzetrakarmakaH eva ca /
   ete śūdreṣu bhojyānnā dattvā svalpaṃ paṇaṃ budhaiḥ // KūrmP_2,17.17 //	ete SUdrezu Bojya annA dattvA su alpam paNam buDEH // KUrmP_2,17.17 //
   pāyasaṃ snehapakvaṃ yad gorasaṃ caiva saktavaḥ /	pAyasam sneha pakvam yat gorasam ca eva saktavaH /
   piṇyākaṃ caiva tailaṃ ca śūdrād grāhyaṃ dvijātibhiḥ // KūrmP_2,17.18 //	piNyAkam ca eva tElam ca SUdrAt grAhyam dvijAtiBiH // KUrmP_2,17.18 //
   vṛntākaṃ nālikāśākaṃ kusumbhāśmantakaṃ tathā /	vRntAkam nAlikA SAkam kusumBa aSmantakam taTA /
   palāṇḍuṃ laśunaṃ śuktaṃ niryāsaṃ caiva varjayet // KūrmP_2,17.19 //	palANxum laSunam Suktam niryAsam ca eva varjayet // KUrmP_2,17.19 //
   chatrākaṃ viḍvarāhaṃ ca śelaṃ peyūṣameva ca /	CatrAkam vixvarAham ca Selam peyUzam eva ca /
   vilayaṃ sumukhaṃ caiva kavakāni ca varjayet // KūrmP_2,17.20 //	vilayam su muKam ca eva kavakAni ca varjayet // KUrmP_2,17.20 //
   gṛñjanaṃ kiṃśukaṃ caiva kakubhāṇḍaṃ tathaiva ca /	gRQjanam kiMSukam ca eva kaku BANxam taTA eva ca /
   udumbaramalābuṃ ca jagdhvā patati vai dvijaḥ // KūrmP_2,17.21 //	udumbaram alAbum ca jagDvA patati vE dvijaH // KUrmP_2,17.21 //
   vṛthā kṛśarasaṃyāvaṃ pāyasāpūpameva ca /	vRTA kRSara saMyAvam pAyasa apUpam eva ca /
   anupākṛtamāṃsaṃ ca devānnāni havīṃṣi ca // KūrmP_2,17.22 //	anupAkRta mAMsam ca deva annAni havIMzi ca // KUrmP_2,17.22 //
   yavāgūṃ mātuliṅgaṃ ca matsyānapyanupākṛtān /	yavAgUm mAtuliFgam ca matsyAn api anupAkRtAn /
   nīpaṃ kapitthaṃ plakṣaṃ ca prayatnena vivarjayet // KūrmP_2,17.23 //	nIpam kapitTam plakzam ca prayatnena vivarjayet // KUrmP_2,17.23 //
   piṇyākaṃ coddhṛtasnehaṃ devadhānya tathaiva ca /	piNyAkam ca udDRta sneham devaDAnya taTA eva ca /
   rātrau ca tilasaṃbaddhaṃ prayatnena dadhi tyajet // KūrmP_2,17.24 //	rAtrO ca tila saMbadDam prayatnena daDi tyajet // KUrmP_2,17.24 //
   nāśnīyāt payasā takraṃ na bījānyupajīvayet /	na aSnIyAt payasA takram na bIjAni upajIvayet /
   kriyāduṣṭaṃ bhāvaduṣṭamasatsaṃsargi varjayet // KūrmP_2,17.25 //	kriyA duzwam BAva duzwam asat saMsargi varjayet // KUrmP_2,17.25 //
   keśakīṭāvapannaṃ ca sahṛllekhaṃ ca nityaśaḥ /	keSa kIwa avapannam ca sa hRlleKam ca nityaSas /
   śvāghrātaṃ ca punaḥ siddhaṃ caṇḍālāvekṣitaṃ tathā // KūrmP_2,17.26 //	Sva AGrAtam ca punar sidDam caNxAla avekzitam taTA // KUrmP_2,17.26 //
   udakyayā ca patitairgavā cāghrātameva ca /	udakyayA ca patitEH gavA ca AGrAtam eva ca /
   anarcitaṃ puryuṃ ṣitaṃ paryāyānnaṃ ca nityaśaḥ // KūrmP_2,17.27 //	anarcitam puryum zitam paryAya annam ca nityaSas // KUrmP_2,17.27 //
   kākakukkuṭasaṃspṛṣṭaṃ kṛmibhiścaiva saṃyutam /	kAka kukkuwa saMspRzwam kRmiBiH ca eva saMyutam /
   manuṣyairapyavaghrātaṃ kuṣṭhinā spṛṣṭameva ca // KūrmP_2,17.28 //	manuzyEH api avaGrAtam kuzWinA spRzwam eva ca // KUrmP_2,17.28 //
   na rajasvalayā dattaṃ na puṃścālyā saroṣayā /	na rajasvalayA dattam na puMScAlyA sa rozayA /
   malabadvāsasā vāpi paravāso 'tha varjayet // KūrmP_2,17.29 //	mala badvAsasA vA api para vAsaH aTa varjayet // KUrmP_2,17.29 //
   vivatsāyāśca goḥ kṣīramauṣṭraṃ vānirdaśaṃ tathā /	vivatsAyAH ca goH kzIram Ozwram vA anirdaSam taTA /
   āvikaṃ sandhinīkṣīramapeyaṃ manurabravīt // KūrmP_2,17.30 //	Avikam sanDinI kzIram apeyam manuH abravIt // KUrmP_2,17.30 //
   balākaṃ haṃsadātyūhaṃ kalaviṅkaṃ śukaṃ tathā /	balAkam haMsa dAtyUham kalaviFkam Sukam taTA /
   kuraraṃ ca cakoraṃ ca jālapādaṃ ca kokilam // KūrmP_2,17.31 //	kuraram ca cakoram ca jAlapAdam ca kokilam // KUrmP_2,17.31 //
   vāyasaṃ khañjarīṭaṃ ca śyenaṃ gṛdhraṃ tathaiva ca /	vAyasam KaQjarIwam ca Syenam gRDram taTA eva ca /
   ulūkaṃ cakravākaṃ ca bhāsaṃ pārāvatānapi /	ulUkam cakravAkam ca BAsam pArAvatAn api /
   kapotaṃ ṭiṭṭibhaṃ caiva grāmakukkuṭameva ca // KūrmP_2,17.32 //	kapotam wiwwiBam ca eva grAma kukkuwam eva ca // KUrmP_2,17.32 //
   siṃhavyāghraṃ ca mārjāraṃ śvānaṃ śūkarameva ca /	siMha vyAGram ca mArjAram SvAnam SUkaram eva ca /
   śṛgālaṃ markaṭaṃ caiva gardabhaṃ ca na bhakṣayet // KūrmP_2,17.33 //	SRgAlam markawam ca eva gardaBam ca na Bakzayet // KUrmP_2,17.33 //
   na bhakṣayet sarvamṛgān pakṣiṇo 'nyān vanecarān /	na Bakzayet sarva mRgAn pakziNaH anyAn vanecarAn /
   jalecarān sthalacarān prāṇinaśceti dhāraṇā // KūrmP_2,17.34 //	jalecarAn sTala carAn prANinaH ca iti DAraNA // KUrmP_2,17.34 //
   godhā kūrmaḥ śaśaḥ śvāvicchalyakaśceti sattamāḥ /	goDA kUrmaH SaSaH SvAviD SalyakaH ca iti sattamAH /
   bhakṣyāḥ pañcanakhā nityaṃ manurāha prijāpatiḥ // KūrmP_2,17.35 //	BakzyAH paQcanaKAH nityam manuH Aha prijApatiH // KUrmP_2,17.35 //
   matsyān saśalkān bhuñjīyān māṃsaṃ rauravamevaca /	matsyAn sa SalkAn BuQjIyAt mAMsam rOravam eva ca /
   nivedya devatābhyastu brāhmaṇebhyastu nānyathā // KūrmP_2,17.36 //	nivedya devatAByaH tu brAhmaNeByaH tu na anyaTA // KUrmP_2,17.36 //
   mayūraṃ tittiraṃ caiva kapotaṃ ca kapiñjalam /	mayUram tittiram ca eva kapotam ca kapiQjalam /
   vādhrīṇasaṃ bakaṃ bhakṣyaṃ mīnahaṃsaparājitāḥ // KūrmP_2,17.37 //	vADrINasam bakam Bakzyam mIna haMsa parAjitAH // KUrmP_2,17.37 //
   śapharaṃ siṃhatuṇḍaṃ ca tathā pāṭhīnarohitau /	SaParam siMhatuNxam ca taTA pAWIna rohitO /
   matsyāścaite samuddiṣṭā bhakṣaṇāya dvijottamāḥ // KūrmP_2,17.38 //	matsyAH ca ete samuddizwAH BakzaNAya dvijottamAH // KUrmP_2,17.38 //
   prokṣitaṃ bhakṣayedeṣāṃ māṃsaṃ ca dvijakāmyayā /	prokzitam Bakzayet ezAm mAMsam ca dvija kAmyayA /
   yathāvidhi niyuktaṃ ca prāṇānāmapi cātyaye // KūrmP_2,17.39 //	yaTAviDi niyuktam ca prANAnAm api ca atyaye // KUrmP_2,17.39 //
   bhakṣayennaiva māṃsāni śeṣabhojī na lipyate /	Bakzayet na eva mAMsAni Seza BojI na lipyate /
   auṣadhārthamaśaktau vā niyogād yajñakāraṇāt // KūrmP_2,17.40 //	OzaDa arTam aSaktO vA niyogAt yajQa kAraNAt // KUrmP_2,17.40 //
   āmantritastu yaḥ śrāddhe daive vā māṃsamutsṛjet /	AmantritaH tu yaH SrAdDe dEve vA mAMsam utsRjet /
   yāvanti paśuromāṇi tāvato narakān vrajet // KūrmP_2,17.41 //	yAvanti paSu romANi tAvataH narakAn vrajet // KUrmP_2,17.41 //
   adeyaṃ cāpyapeyaṃ ca tathaivāspṛśyameva ca /	adeyam ca api apeyam ca taTA eva aspRSyam eva ca /
   dvijātīnāmanālokyaṃ nityaṃ madyamiti sthitiḥ // KūrmP_2,17.42 //	dvijAtInAm anAlokyam nityam madyam iti sTitiH // KUrmP_2,17.42 //
   tasmāt sarvaprakāreṇa madyaṃ nityaṃ vivarjayet /	tasmAt sarva prakAreNa madyam nityam vivarjayet /
   pītvā patati karmabhyastvasaṃbhāṣyo bhaved dvijaḥ // KūrmP_2,17.43 //	pItvA patati karmaByaH tu asaMBAzyaH Bavet dvijaH // KUrmP_2,17.43 //
   bhakṣayitvā hyabhakṣyāṇi pītvāpeyānyapi dvijaḥ /	BakzayitvA hi aBakzyANi pItvA apeyAni api dvijaH /
   nādhikārī bhavet tāvad yāvad tanna jahātyadhaḥ // KūrmP_2,17.44 //	na aDikArI Bavet tAvat yAvat tat na jahAti aDas // KUrmP_2,17.44 //
   tasmāt pariharennityamabhakṣyāṇi prayatnataḥ /	tasmAt pariharet nityam aBakzyANi prayatnataH /
   apeyāni ca vipro vai tathā ced yāti rauravam // KūrmP_2,17.45 //	apeyAni ca vipraH vE taTA ced yAti rOravam // KUrmP_2,17.45 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge saptadaśo 'dhyāyaḥ	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge saptadaSaH aDyAyaH
   ṛṣaya ūcuḥ	RzayaH UcuH
   ahanyahani kartavyaṃ brāhmaṇānāṃ mahāmune /	ahani ahani kartavyam brAhmaNAnAm mahA mune /
   tadācakṣvākhilaṃ karma yena mucyeta bandhanāt // KūrmP_2,18.1 //	tat Acakzva aKilam karma yena mucyeta banDanAt // KUrmP_2,18.1 //
   vyāsa uvāca	vyAsaH uvAca
   vakṣye samāhitā yūyaṃ śṛṇudhvaṃ gadato mama /	vakzye samAhitAH yUyam SRNuDvam gadataH mama /
   ahanyahani kartavyaṃ brāhmaṇānāṃ kramād vidhim // KūrmP_2,18.2 //	ahani ahani kartavyam brAhmaNAnAm kramAt viDim // KUrmP_2,18.2 //
   brāhme muhūrte tūtthāya dharmamarthaṃ ca cintayet /	brAhme muhUrte tu utTAya Darmam arTam ca cintayet /
   kāyakleśaṃ tadudbhūtaṃ dhyāyīta manaseśvaram // KūrmP_2,18.3 //	kAya kleSam tad udBUtam DyAyIta manasA ISvaram // KUrmP_2,18.3 //
   uṣaḥ kāle 'tha saṃprāpte kṛtvā cāvaśyakaṃ budhaḥ /	uzaH kAle aTa saMprApte kRtvA ca AvaSyakam buDaH /
   snāyānnadīṣu suddhāsu śaucaṃ kṛtvā yathāvidhi // KūrmP_2,18.4 //	snAyAt nadIzu sudDAsu SOcam kRtvA yaTAviDi // KUrmP_2,18.4 //
   prātaḥ snānena pūyante ye 'pi pāpakṛto janāḥ /	prAtar snAnena pUyante ye api pApa kRtaH janAH /
   tasmāt sarvaprayatnena prātaḥ snānaṃ samācaret // KūrmP_2,18.5 //	tasmAt sarva prayatnena prAtar snAnam samAcaret // KUrmP_2,18.5 //
   prātaḥ snānaṃ praśaṃsanti dṛṣṭādṛṣṭakaraṃ śubham /	prAtar snAnam praSaMsanti dRzwa adRzwa karam SuBam /
   ṛṣīṇāmṛṣitā nityaṃ prātaḥ snānānna saṃśayaḥ // KūrmP_2,18.6 //	RzINAm Rzi tAH nityam prAtar snAnAt na saMSayaH // KUrmP_2,18.6 //
   mukhe suptasya satataṃ lālā yāḥ saṃstravanti hi /	muKe suptasya satatam lAlAH yAH saMstravanti hi /
   tato naivācaret karma akṛtvā snānamāditaḥ // KūrmP_2,18.7 //	tatas na eva Acaret karma akRtvA snAnam Aditas // KUrmP_2,18.7 //
   alakṣmīḥ kālakarṇo ca duḥ svapnaṃ durvicintitam /	alakzmIH kAlakarNaH ca duH svapnam durvicintitam /
   prātaḥ snānena pāpāni pūyante nātra saṃśayaḥ // KūrmP_2,18.8 //	prAtar snAnena pApAni pUyante na atra saMSayaH // KUrmP_2,18.8 //
   na ca snānaṃ vinā puṃsāṃ pāvanaṃ karma susmṛtam /	na ca snAnam vinA puMsAm pAvanam karma su smRtam /
   home japye viśeṣeṇa tasmāt snānaṃ samācaret // KūrmP_2,18.9 //	home japye viSezeNa tasmAt snAnam samAcaret // KUrmP_2,18.9 //
