   āmaraughaśāsana	Amara-oGa-SAsana
   brahmadaṇḍacakreṇāsau kapālakarparaṃ yāvat tasmin kapālakarpare	brahma-daNxa-cakreNa-asO kapAla-karparam yAvat tasmin kapAla-karpare
   candramaṇḍalāntargataṃ kapālaliṅgaṃ lampikāsthānordhve 'mṛtadhārām	candra-maNxala-antargatam kapAla-liFgam lampikA-sTAna-UrDve amRta-DArAm
   abhisravati mastakamadhye garbhe tiṣṭhati tad evāmṛtaṃ rājadantamaye	aBisravati mastaka-maDye garBe tizWati tat eva-amRtam rAja-danta-maye
   śaṅkhinī brahmadaṇḍatale damayitvā sravati // 69	SaFKinI brahmadaNxa-tale damayitvA sravati // 69
   ekaṃ mukharandhraṃ rājadantāntare etad eva śaṅkhinīmukhaṃ daśamadvāram ity	ekam muKa-ranDram rAja-danta-antare etat eva SaFKinI-muKam daSama-dvAram iti-
   ucyate // 70	ucyate // 70
   yatra ca mūlabhagamaṇḍalānte kuṇḍalinī śaktir vinirgatā tatra	yatra ca mUla-Baga-maNxala-ante kuNxalinI SaktiH vinirgatA tatra
   vāmabhāgodbhavasomanāḍikā dakṣiṇabhāgodbhavasūryanāḍikā candro	vAma-BAga-udBava-soma-nAxikA dakziNa-BAga-udBava-sUrya-nAxikA candraH-
   vāmāṅgavyāpakaḥ sūryo dakṣiṇāṅgavyāpakaḥ candro vāmāṅge vāmanāsāpuṭaṃ	vAma-aFga-vyApakaH sUryaH dakziNa-aFga-vyApakaH candraH vAma-aFge vAma-nAsA-puwam
   sūryo dakṣiṇāṅge dakṣiṇanāsāpuṭam ity evaṃ sūryacandrau vyavasthitau // 71	sUryaH dakziNa-aFge dakziNa-nAsA-puwam iti evam sUrya-candrO vyavasTitO // 71
   yatra mūlakande pavanodayaḥ manasa udayaḥ tapanodayaḥ jīvodayaḥ śabdodayaḥ	yatra mUla-kande pavana-udayaH manasaH udayaH tapana-udayaH jIva-udayaH Sabda-udayaH
   mātṛkākṣarodayaś ceti // 72	mAtRkA-akzara-udayaH ca-iti // 72
   manomadhye nidrāviṣayam icchākāryo nirañjanaḥ paramātmā // 73	manaH-maDye nidrA-vizayam icCA-kAryaH niraQjanaH paramAtmA // 73
   mūlakandodyato vāyuḥ somasūryapathodbhavaḥ // 74	mUla-kanda-udyataH vAyuH soma-sUrya-paTodBavaH // 74
   śaktyādhārasthito yāti brahmadaṇḍakabhedakaḥ // 75	Sakti-ADAra-sTitaH yAti brahmadaNxaka-BedakaH // 75
   mūlakande tu yā śaktiḥ kuṇḍalākārarūpiṇī // 76	mUlakande tu yA SaktiH kuNxala-AkAra-rUpiNI // 76
   udgamāvartavāto 'yaṃ prāṇa ity ucyate budhaiḥ // 77	udgama-Avarta-vAtaH ayam prANaH iti ucyate buDEH // 77
   kandadaṇḍena coddaṇḍair bhrāmitā yā bhujaṅginī // 78	kanda-daNxena ca-uddaNxEH BrAmitA yA BujaFginI // 78
   mūrchitā sā śivaṃ vetti prāṇair evaṃ vyavasthitā // 79	mUrCitA sA Sivam vetti prANEH evam vyavasTitAH // 79
   janmāvasthānād adho liṅgaḥ sa cādhārakandajātimadhyasthito guhya ūrdhve	janma-avasTAnAt aDas liFgaH sa ca-ADAra-kanda-jAti-maDya-sTitaH guhyaH UrDve
   bhavati tasyordhve liṅgasthānaṃ svādhiṣṭhānaṃ nābhimaṇḍale	Bavati tasya-UrDve liFga-sTAnam svADizWAnam nABi-maNxale
   maṇipūrakasyordhvabhāge 'nalakaḥ tenoddaṇḍakādyaṃ samāgacchati	maNipUrakasya-UrDva-BAge analakaH tena-uddaNxaka-Adyam samAgacCati
   adhaḥpradeśe maṇipūrakasya dakṣiṇapaścimavarti amedhyasthānam madhye	aDas-pradeSe maNipUrakasya dakziNa-paScima-varti ameDya-sTAnam maDye
   nābheḥ kandaḥ tatra padmākṛtiḥ tatra śarīranāḍīnām ādhāraḥ kathyate hṛdaye	nABeH kandaH tatra padma-AkRtiH tatra SarIra-nAxInAm ADAraH kaTyate hRdaye
   pṛthivītattvaṃ pītavarṇaṃ madhye kadambagolakākṛti tatra	pRTivI-tattvam pIta-varNam maDye kadamba-golaka-AkRti tatra
   cittaviśrāntisthānaṃ tad eva analacakram kaṇṭhe codakapravāhapūrṇam	citta-viSrAnti-sTAnam tat eva anala-cakram kaNWe ca-udaka-pravAha-pUrNam
   ātmatattvaṃ tad viśuddhisthānam tālumadhye dīpaśikhākāraḥ sadoddyotaḥ tat	Atma-tattvam tat viSudDi-sTAnam tAlu-maDye dIpa-SiKA-AkAraH sadA-uddyotaH tat-
   tejastattvam kapālakandarāṅkure vāyutattvam nāsāgre ākāśatattvam	tejaH-tattvam kapAla-kandara-aFkure vAyu-tattvam nAsA-agre AkASa-tattvam
   tasyordhve	tasya-UrDve
   ājñāsthānam ājñāsthānāntare granthiṣoḍaśāntare amṛtā ṣoḍaśī kalā tadantare	AjQA-sTAnam AjQA-sTAna-antare granTi-zoxaSa-antare amRtA zoxaSI kalA tad-antare
   vālāgraśatadhāśrayā ante tasyordhve kalānte binduḥ bindubhedād anantaraṃ	vAla-agra-SataDA-ASrayAH ante tasya-UrDve kalA-ante binduH bindu-BedAt anantaram
   śṛṃgāṭakākṛtir mastakasyoddeśas tasmin cittalayasthānam cittasya	SRMgAwaka-AkRtiH mastakasya-uddeSaH tasmin citta-laya-sTAnam cittasya
   śarīrabandhanādvayopetas trailokyavihāraḥ tasyāśritā jñānaśaktiḥ evaṃ	SarIra-banDanA-dvaya-upetaH trElokya-vihAraH tasya-ASritA jQAnaSaktiH evam
   śaktitrayālaṃkṛtaś ciddarpaṇapratibimbaḥ samo vividhabhāvakalākalitaḥ	Sakti-traya-alaMkRtaH cit-darpaNa-pratibimbaH samaH viviDa-BAva-kalA-kalitaH
   saṃsāraceṣṭāvalokanakuśalaḥ suptāvasthāyāṃ rūpī jalacandravat dṛśyate yaḥ	saMsAra-cezwA-avalokana-kuSalaH supta-avasTAyAm rUpI jala-candra-vat dRSyate yaH
   sa paramātmā sarvavyāpī maheśvaraḥ caturdaśavidhabhūtagrāmakartā ca iti so	sa paramAtmA sarva-vyApI maheSvaraH caturdaSaviDa-BUta-grAma-kartA ca iti saH-
   'yaṃ paramātmā // 80	ayam paramAtmA // 80
