   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   tvanmata iti// uktamiti/ pūrvabhaṅge/ tathāca tava matepi pakṣatāyā na	tvad mataH iti// uktam iti/ pUrva BaFge/ taTA ca tava matepi pakzatAyAH na
   sahakāritvamiti bhāvaḥ/ nanvevamiti// anumitisahakārisaṃpatteḥ pakṣatātve	sahakAri tvam iti BAvaH/ nanu evam iti// anumiti sahakAri saMpatteH pakzatA tve
   satītyarthaḥ/	sati iti arTaH/
   1.rūpapadaṃ na  ga.ṭa.rā. 2.nā sahakāritvāt ga.ṭa.rā. 3.tehi ga.rā.	1.rUpa padam na  ga.wa.rA. 2.nA sahakAri tva at ga.wa.rA. 3.tehi ga.rA.
   4.siddhiṃ prati pratibandhikā  ka.ga.ṭa.rā.	4. sidDim prati pratibanDikAH  ka.ga.wa.rA.
   svate palaṇam) pakṣatāvādaḥ pu   75.	svate  palaNam) pakzatA vAdaH pu  75.
   1 kātra kathaṃ tā/ liṅgaparāmarśasya pakṣadharmatāviṣayakatvaṃ hi na	1 kA atra kaTam tA/ liFga parAmarSasya pakza Darma tA vizayaka tvam hi na
   svapūrvakāle svakāle ca vidyamānā yā pakṣatā tadāśraye	sva pUrva kAle sva kAle ca vidyamAnA yA pakzatA tad ASraye
   vyāpyavatvaviṣayakatvam/ kiṃ tu svakāle vastugatyā vidyamānā yā pakṣatā	vyApyavatva vizayaka tvam/ kim tu sva kAle vastu gatyA vidyamAnA yA pakzatA
   tadaśraye vyāpyavatvaviṣayakatvam/ liṅgaparāmarśakāle ca pakṣatāstyeva/	tad aSraye vyApyavatva vizayaka tvam/ liFga parAmarSa kAle ca pakzatA asti eva/
   pakṣatājñānaṃ tu tvanmatepi nānumitiheturiti kātrānupapattiḥ/	pakzatA jQAnam tu tvad matepi na anumiti hetuH iti kAtra anupapattiH/
   sapakṣavipakṣāvapyuktasahakārisaṃpattidaśāyāṃ pakṣāveva/	sa pakza vipakzO= api ukta sahakAri saMpatti daSAyAm pakzO= eva/
   tadasaṃpattidaśāyāṃ pakṣopyapakṣa eva/ na hi pakṣatvaṃ jātiḥ//	tad asaMpatti daSAyAm pakza upya pakzaH eva/ na hi pakza tvam jAtiH//
   etadevābhipretya mithyātvānumānakhaṇḍanaṭīkāyāṃ"sādhyadharmaviśiṣṭaḥ	etat eva aBipretya miTyAtva anumAna KaNxa nawI kAyAn"sADya Darma viSizwaH
   pakṣa"iti mūlavyākhyāvasare"yatpratītirliṅgena janayitavyā sa	pakza" iti mUla vyAKyA avasare"yat pratItiH liFgena janayitavyA sa
   sādhyadharma"ityuktam/	sADya Darma" iti uktam/
   kathaṃ pakṣadharmatāviṣayaka iti/ pakṣatādhikaraṇavṛttiryo dharmaḥ ta 2	kaTam pakza Darma tA vizayakaH iti/ pakzata aDikaraNa vRttiH yaH DarmaH te 2
   dviṣayakatvasya 3 pakṣadharmatāviṣayakatvena pakṣatāyāḥ	dvizayaka tvasya 3 pakza Darma tA vizayaka tvena pakzatAyAH
   parāmarśakālatāvaśyaṃ bhāvāditi bhāvaḥ//	parAmarSa kAla tA vaSyam BAvAt iti BAvaH//
   nanvevaṃ pakṣatāyāḥ parāmarśakālīnatvena parāmarśasya	nanu evam pakzatAyAH parAmarSa kAlIna tvena parAmarSasya
   tadaviṣayakatvāttasya caramakālatvena tadanantaraṃ	tad avizayaka tvAt tasya carama kAla tvena tad anantaram
   pakṣatājñānasyāśakyaśaṅkatvātpakṣatājñānaṃ na heturiti syadityata āha  	pakzatA jQAnasya aSakya SaFka tvAt pakzatA jQAnam na hetuH iti syat iti atas Aha  
   pakṣatājñānaṃ tviti// tvanmatepīti// na kevalaṃ manmata ityarthaḥ/	pakzatA jQAnam tu iti// tvad mata Ipi iti// na kevalam manmataH iti arTaH/
   pratibandhakābhāvarūpatvātpratibandhakābhāvasya ca svarūpasata eva	pratibanDaka aBAva rUpa tvAt pratibanDaka aBAvasya ca svarUpa satas eva
   hetutvāditi bhāvaḥ//	hetu tvAt iti BAvaH//
   nanvevaṃ sapakṣādāvapi kadāciduktasahakārisaṃpatteḥ saṃbhavātpakṣepi	nanu evam sa pakza AdO= api kadAcid ukta sahakAri saMpatteH saMBavAt pakzepi
   kadācittadasaṃbhavādativyāptyavyāptī syātāmityata āha   sapakṣeti//	kadAcid tad asaMBavAt ati vyApti avyAptI syAtAm iti atas Aha  sa pakza iti//
   1. t/ ittham/ liṅga  ga.rā. 2.tatvavi ṭa.ṭha. 3.yaddharmatāvi ṭa.	1. t/ itTam/ liFgaH  ga.rA. 2.tatva vi wa.Wa. 3.yat DarmatA vi wa.
   pu  76. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 76. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   sudhāyāmapi vastutastvanumitiviṣayaḥ pakṣa ityuktam/ tatra hi	suDAyAm api vastutas tu anumiti vizayaH pakzaH iti uktam/ tatra hi
   tavyapratyayena viṣayaśabdena coktasahakārisaṃpattirūpānumitiviṣayatva 1	tavya pratyayena vizaya Sabdena ca ukta sahakAri saMpatti rUpa anumiti vizaya tva 1
   yogyataivābhipretā//	yogyatA eva aBipretA//
   yadvā granthadvayorapi vyāpakavatvenānumitiviṣayatvaṃ	yat vA granTa dvayoH api vyApakava tvena anumiti vizaya tvam
   pakṣatvamabhiprekatam/ vyāpakavatvena viśeṣaṇe 2 na tadanumitiviṣayorapi 3	pakza tvam aBiprekatam/ vyApakava tvena viSezaNe 2 na tad anumiti vizayoH api 3
   vyāpake vyāpakatāvacchedakādau ca nātivyāptiḥ/ asmiṃśca pakṣe	vyApake vyApaka tAvacCedaka AdO ca na ati vyAptiH/ asmin= ca pakze
   liṅgaparāmarśadaśāyāmapi	liFga parAmarSa daSAyAm api
   na pakṣatā/ kiṃ tvanumitidaśāyāmeva/ tvanmatepyanumitidaśāyāṃ	na pakzatA/ kim tu anumiti daSAyAm eva/ tvad matepi anumiti daSAyAm
   siddhivirahagarbhitā pakṣatā nāstyeva/ asminpakṣe liṅgaparāmarśasya	sidDi viraha garBitA pakzatA na asti eva/ asmin pakze liFga parAmarSasya
   pakṣadharmatāviṣayakatvaṃ tu svajanyaphalasamānakālīnapakṣatāśraye	pakza Darma tA vizayaka tvam tu sva janya Pala samAna kAlIn apakzata ASraye
   vyāpyavatvaviṣayakatvam//	vyApyavatva vizayaka tvam//
   sādhyalakṣaṇe dhīpadena pramiteravivakṣitatvādvipakṣasyāpi grahaṇaṃ kṛtam/	sADya lakzaNe DI padena pramiteH avivakzita tvAt vipakzasya api grahaNam kRtam/
   sudhāyāmapīti// bhaktipāde sādhyāsiddheradoṣatvoktiprastāve	suDAyAm api iti// Bakti pAde sADya asidDeH adoza tva ukti prastAve
   sudhāyāmityarthaḥ/ svoktaṃ mūlārūḍhatayā darśayati   tatra hīti//	suDAyAm iti arTaH/ sva uktam mUla ArUXa tayA darSayati  tatra hi iti//
   udāhṛtavākyadvaye hītyarthaḥ/ saṃpattirūpā yogyataivetyanvayaḥ/	udAhRta vAkya dvaye hi iti arTaH/ saMpatti rUpA yogyatA eva iti anvayaH/
   yogyatāpakṣamāśrityaikaṃ pakṣamuktvā phalopadhānamāśritya	yogya tA pakzam ASritya ekam pakzam uktvA Pala upaDAnam ASritya
   lakṣaṇāntaramāha   yadveti//	lakzaNa antaram Aha  yat vA iti//
   nanūktapakṣadvaye kadācideva pakṣatā prāptā na tu parāmarśātpūrvaṃ	nanu ukta pakza dvaye kadAcid eva pakzatA prAptA na tu parAmarSAt pUrvam
   paścāccetyatastvanmatepi tathaiva pratyutāvaśyakānumitivelāyāmeva	paScAt ca iti atas tvad matepi taTA eva pratyuta AvaSyaka anumiti velAyAm eva
   nāstītyāha   tvanmatepīti// sarvadā pakṣatāsatvaprakāramāha   kecitviti//	na asti iti Aha  tvad mata Ipi iti// sarvadA pakza tA satva prakAram Aha  kecitu iti//
   1.yakatve ga.rā. 2.ṇādanu ga.rā. 3.yepya ka. yevyā ga.rā.	1.yaka tve  ga.rA. 2.NAt anu  ga.rA. 3.yepya ka. yevyA ga.rA.
   svate palakṣaṇ) pakṣatāvādaḥ pu   77.	svatA i palakzaN) pakza tA vAdaH pu  77.
   kecittu    granthayepyanumitiviṣayatvayogyataiva pakṣatābhipretā/ yogyatā	kecid tu   granTayepi anumiti vizaya tva yogya tA eva pakzatA aBipretA/ yogyatA
   ca samānādhikaraṇāpramātvenābhimatā yā sādhyābhāvaviṣayā dhīstadabhāvaḥ/	ca samAna aDikaraNa apramAtvena aBimatA yA sADya aBAva vizayAH DIH tad aBAvaH/
   evaṃ ca jagatyakṣaṇikatvavā 1 dini vyadhikaraṇāyāṃ pramātvenābhimatāyāṃ	evam ca jagati akzaNika tva vA 1 dini vyaDikaraNAyAm pramAtvena aBimatAyAm
   kṣiṇikatva 2 vādini ca samānādhikaraṇāyāṃ pramātvenānabhimatāyāṃ	kziNika tva 2 vAdini ca samAna aDikaraNAyAm pramAtvena anaBimatAyAm
   pratyakṣāyāmakṣaṇikatvapramāyāṃ 3 ca satyāmapi kṣaṇika 4 vādinaḥ	pratyakzAyAmakzaNika tva pramAyAm 3 ca satyAm api kzaNika 4 vAdinaH
   kṣaṇikatvānumāne jagataḥ pakṣatā yuktā/	kzaNikatva anumAne jagataH pakzatA yuktA/
   samānādhikaraṇeti// yatrānumityutpādarastadadhikaraṇavṛttirityarthaḥ/	samAna aDikaraNa iti// yatra anum iti utpAdaraH tad aDikaraNa vRttiH iti arTaH/
   pramātvenābhimatasamānādhikaraṇasādhyābhāvabuddhyabhāva ityarthaḥ/	pramAtvena aBimata samAna aDikaraNa sADya aBAva budDi aBAvaH iti arTaH/
   buddhyabhāva ityukte 'saṃbhavaḥ/ abhāvabuddhyabhāva ityaktepi sa eva	budDi aBAvaH iti ukte asaMBavaH/ aBAva budDi aBAvaH iti aktepi saH eva
   doṣaḥ/ ba satvāt/ pramārūpetyuktau	dozaH/ ba satvAt/ pramA rUpa iti uktO
   vādiprativādiniṣṭhaparasparasādhyābhāvabuddheḥ pramārūpatvaniyamābhāvena	vAdi prativAdi nizWa paraspara sADya aBAva budDeH pramA rUpa tva niyama aBAvena
   tādṛśabuddhau satyāmapi pakṣatā syātsā mābhūdityabhimatetyuktam/	tAdRSa budDO satyAm api pakzatA syAt sA mABUt iti aBimatA iti uktam /
   pramātvenābhimatatādṛśabuddhyabhāva ityuktepi	pramAtvena aBimata tAdRSa budDi aBAvaH iti uktepi
   vyadhikaraṇapuruṣāntaraprativādibuddhimādāyāsaṃbhava eveti	vyaDikaraNa puruza antara prativAdi budDim AdAya asaMBavaH eva iti
   samānādhikaraṇetyādi sarvamarthavat//	samAna aDikaraNa ityAdi sarvam arTavat//
   parārthānumānasthe pakṣatālakṣaṇaṃ lakṣyaniṣṭhatayā darśayati/ evaṃ ceti//	para arTa anumAna sTe pakzatA lakzaNam lakzya nizWatayA darSayati/ evam ca iti//
   kṣaṇikavādinaḥ yatsattatkṣaṇikaṃ yathā dīpādi saccedaṃ jagadityeva	kzaNika vAdinaH yat sat tad kzaNikam yaTA dIpa Adi sat ca idam jagat iti eva
   rūpakṣaṇikatvānumāne jagataḥ pakṣatāyuktetyanvayaḥ/ pratyabhijñārūpā	rUpa kzaNika tva anumAne jagataH pakza tA yuktA iti anvayaH/ pratyaBijQA rUpA
   jagatyakṣaṇikatvadhīstāvatkṣaṇikavādino 'kṣaṇikavādinaścāsti/ tatra	jagati akzaNika tva DIH tAvat kzaNika vAdinaH akzaNika vAdinaH ca Asti/ tatra
   kṣaṇikavādinaḥ pramātvenānabhimatā/	kzaNika vAdinaH pramAtvena anaBimatA/
   1.ka vā rā. 2.ka vā  rā. 3.yāṃ kṣaṇi ga.rā. 4.katva vā ga.	1.ka vA rA. 2.ka vA rA. 3.yAm kzaNi ga.rA. 4.katva vA ga.
   pu  78. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  78. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   dhūmānumāne mahānase sapakṣa 1 vyavahārastu niścitavyāpakavattayā	DUma anumAne mahAnase sa pakza 1 vyavahAraH tu niScita vyApakavat tayA
   sapakṣatvasyāpi satvāt/ uktarūpāyāṃ pakṣatāyāṃ satyāmapi	sa pakza tvasya api satva at/ ukta rUpAyAm pakzatAyAm satyAm api
   pakṣatvāvyavahāropyanumityaviṣayatvāt/ tatra pakṣatāyāṃ satyāmapi	pakza tva avyavahAra upyanumiti avizaya tva at/ tatra pakzatAyAm satyAm api
   kadācidanumityabhāvāśca tvanmate 2 saṃśayottarapratyakṣasthala iva	kadAcid anumiti aBAvAH ca tvad mate 2 saMSaya uttara pratyakza sTalaH iva
   liṅgaparāmarśāditatsāmagryabhāvādityāhuḥ//	liFga parAm arSa Adi tad sAmagrya BAvAt iti AhuH//
   iti svamate pakṣalakṣaṇam // 6 //	iti sva mate pakza lakzaNam // 6 //
   anyasya tu pramātvenābhimatā/ sācānumātari kṣaṇikavādini 3	anyasya tu pramAtvena aBimatA/ sAca anumAtari kzaNika vAdini 3
   satvātsamānādhikaraṇā/ akṣaṇikavādini satvādvyadhikaraṇā ca / tathāca	satvAt samAna aDikaraNA/ akzaNika vAdini satvAt vyaDikaraNA ca / taTA ca
   tādṛśasādhyābhāvabuddhau satyāmapi	tAdRSa sADya aBAva budDO satyAm api
   samānādhikaraṇapramātvābhimatabuddhyabhāvātpakṣatāyuktetyarthaḥ/	samAna aDikaraNa pramAtvA aBimata budDi aBAvAt pakzatA yuktA iti arTaH/
   akṣaṇikavādini kṣaṇikavādini cetyanantaraṃ vidyamānatveneti śeṣaḥ/	akzaNika vAdini kzaNika vAdini ca iti anantaram vidyamAna tvena iti SezaH/
   pratyakṣāyāṃ pratyabhijñānādisākṣātkārarūpāyāmityarthaḥ/ nanvevaṃ	pratyakzAyAm pratyaBijQAna Adi sAkzAtkAra rUpAyAm iti arTaH/ nanu evam
   mahānasādāvapyuktarūpānumitiviṣayatvayogyatvasatvātpakṣatā syāt/ tathāca	mahAnasa AdO= api ukta rUpa anumiti vizaya tva yogya tva satvAt pakzatA syAt/ taTA ca
   tatkāryāṇāṃ sapakṣatvāvyavahārapakṣatvavyavahārānumitīnāmāpāta ityata	tad kAryANAm sa pakza tva avyavahAra pakza tva vyavahAra anumitInAm ApAtaH iti ata
   āha   dhūmeti// pakṣatvāvyavahāropītyatra heturanumityaviṣayatvāditi//	Aha  DUma iti// pakza tva avyavahAra upIti atra hetuH anumiti avizaya tvAt iti//
   liṅgaparāmarśādīti// tatra yathā	liFga parAmarSa Adi iti// tatra yaTA
   viśakalitavyāptismaraṇakarādirūpaliṅkadarśanayorbhāvepi	viSakalita vyApti smaraNa kara Adi rUpa liFka darSanayoH BAvepi
   vyāptiviśiṣṭaliṅdarśanarūpaparāmarśābhāvādvā parāmarśasatvepi	vyApti viSizwa liFdarSana rUpa parAmarSa aBAvAt vA parAmarSa satvepi
   pratyakṣasāmagrībalavatvena vā yathā nānumitistathetyarthaḥ//	pratyakza sAmagrI balava tvena vA yaTA na anumitiH taTA iti arTaH//
   atra gauravamarucibījamityeke / daivānmahānasādau satyapi parāmarśe	atra gOravam aruci bIjam iti eke / dEvAt mahAnasa AdO sati api parAmarSe
   pratyakṣasāmagryāmasatyāṃ cānumityāpatyā pakṣatvavyavahārādyāpāta	pratyakza sAmagryAm asatyAm ca anumitya apatyA pakza tva vyavahAra Adi ApAta
   ityanye//	iti anye//
   iti svamate pakṣalakṣaṇam// 8 //	iti sva mate pakza lakzaNam// 8 //
   1.kṣatvavya  ka.ga.rā. 2.paramate saṃ ga.rā. 3.no dvikṣaṇikavādini	1.kzatvavyaH  ka.ga.rA. 2.para mate saM ga.rA. 3.naH dvi kzaNika vAdini
   satvā ṭha.	satvA Wa.
   svāto pādhi sānya laṇam) upādhivādaḥ pu   79.	svAto pADi  sAnya laNam) upADivAdaH pu  79.
   athopādhivādaḥ // 3. //	aTa upADivAdaH // 3. //
   atha svābhimatopādhisāmānyalakṣaṇam // 7 //	aTa sva aBimata upADi sAmAnya lakzaNam // 7 //
   athopādhijñānasya vyāptijñānapratibandhakatvādupādhirnirūpyate/	aTa upADi jQAnasya vyApti jQAna pratibanDaka tvAt upADiH nirUpyate/
   sādhyavyāpakatve sati sādhanāvyāpaka 1 upādhiḥ//	sADya vyApaka tve sati sADana avyApakaH 1 upADiH//
   athopādhivādaḥ // 3. //	aTa upADivAdaH // 3. //
   atha svābhimatopādhisāmānyalakṣaṇam// 7 //	aTa sva aBimata upADi sAmAnya lakzaNam// 7 //
   upādhinirūpaṇe kā pūrvasaṅgatirityāha   athopādhīti//	upADinirUpaNe kA pUrva saFgatiH iti Aha  aTa upADi iti//
   evamanumānopayuktavyāptyādinirūpaṇānantaramavasaprāptaṃ	evam anumAna upayukta vyApti Adi nirUpaNa anantara mavasa prAptam
   pratibandhakasvarūpaṃ nirūpyata ityarthaḥ/ etena yanmaṇau pakṣatokteḥ	pratibanDaka svarUpam nirUpyate iti arTaH/ etena yat maNO pakzatA ukteH
   prāgevopādhainirūpaṇaṃ tadanavasaradusthamityuktaṃ bhavati/ upādhijñānaṃ	prAk eva upADEnirUpaNam tad anavasara dusTam iti uktam Bavati/ upADi jQAnam
   hi dvedhā vyāptigrahaṇakālīnaṃ vyāptigrahaṇānantaramanumānaprayogakālīnaṃ	hi dveDA vyApti grahaNa kAlInam vyApti grahaNa anantaram anumAna prayoga kAlInam
   ceti/ tatrādyābhiprāyeṇoktaṃ   vyāptijñānapratibandhakatvāditi// dvitīya 2	ceti/ tatra Adya aBiprAyeNa uktaM  vyApti jQAna pratibanDaka tvAt iti// dvitIya 2
   sya pratipakṣatayā doṣatvenānumitipratibandhakatvāt/	sya pratipakzatayA doza tvena anumiti pratibanDaka tvAt/
   vyāptijñānapratibandhakatvaprakāraśca sādhyavyāpakaṃ parityajato hetoḥ	vyApti jQAna pratibanDaka tva prakAraH ca sADya vyApakam parityajataH hetoH
   sādhyaparityāgasyāvaśyakatvādinopādherdūṣakatābījoktivāde vyaktaḥ//	sADya parityAgasya AvaSyaka tva AdinA upADeH dUzaka tA bIja ukti vAde vyaktaH//
   "sādhyavyāpakavailobhmavyāptiḥ sādhanasya tu"/	"sADya vyApaka vEla UBma vyAptiH sADanasya tu"/
   iti yuktipādīyānuvyākhyānasudhādyuktiṃ hṛdi kṛtvopādhisāmānyalakṣaṇamāha	iti yukti pAdIya anuvyAKyAna suDA di uktim hRdi kRtvA upADi sAmAnya lakzaNam Aha
      sādhyeti// atra sādhyapadena pūrvoktadiśā na liṅgajanyadhīviṣayatvaṃ	  sADya iti// atra sADya padena pUrva ukta diSA na liFga janya DI vizaya tvam
   vivakṣitam/	vivakzitam/
   1. katvasu  ga.rā. 2.yaṃ prati satprati  ṭha.	1. katvasu  ga.rA. 2.yam prati sat prati  Wa.
   pu  80. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  80. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   nanu    vāyuḥ spārśanaḥ anudbhūtarūpānadhikaraṇatve sati	nanu   vAyuH spArSanaH anudBUta rUpa an aDikaraNa tve sati
   pratyakṣasparśāśrayatvāt ghaṭavadityādau pakṣadharmeṇa	pratyakza sparSa ASraya tvAt Gawa vat iti AdO pakza DarmeNa
   dravyatvenāvacchinna 1 sādhyavyāpake cākṣuṣatvādyupādau samavāyaḥ	dravya tvena avacCinnaH 1 sADya vyApake cAkzuza tva Adi upAdO samavAyaH
   samavetaḥ saṃbandhatvāt saṃyogavat ityādau sādhanena	samavetaH saMbanDa tvAt saMyoga vat iti AdO sADanena
   saṃbandhatvenāvacchinna   	saMbanDa tvena avacCinnaH   
   yena vyāptigrahadaśāyāṃ mahānasīyadhūmādestādṛśatvābhāvena	yena vyApti graha daSAyAm mahAnasIya DUma AdeH tAdRSa tva aBAvena
   tadupādhyārdrendhanādāvavyāptiḥ syāt/ kintu	tad upADi Ardra inDana AdO= avyAptiH syAt/ kintu
   vyāpakatāvacchedakadharmavatvamātramityagre vyaktam/ dhūmādyanumāne 2	vyApaka tAvacCedaka Darmavatva mAtram iti agre vyaktam/ DUma Adi anumAne 2
   vyañjanavatvāderupādhitāvyāvṛtyarthaṃ satyantam/ tatraiva	vyaQjanavatu AdeH upADita avyAvRti arTam satyantam/ tatra eva
   prameyatvāderupādhitānirāsāya sādhanāvyāpaka ityuktiḥ/ sādhaneti	prameya tva AdeH upADita anirAsAya sADana avyApakaH iti uktiH/ sADana iti
   sādhanatvābhimatamucyate/ evaṃ sādhyapadenāpi// atrāvinābhāvasyaiva	sADana tva aBimatam ucyate/ evam sADya padena api// atra avinABO= asya eva
   vyāptitvopagamenānaupādhikatvarūpavyāpteranādarānnānyonyāśrayaḥ//	vyApti tva upagamena ana OpADika tva rUpa vyApteH anAdarAt na anyonya ASrayaH//
   uktalakṣaṇasyāvyāptatvaśaṅkottare sudhokte vivaritumākṣipati   nanviti//	ukta lakzaNasya avyApta tva SaFkA uttare suDA ukte vivaritum Akzipati  nanu iti//
   spārśanaṃ tvigindriyavedyaḥ/ taptavāristhavahnāvavyabhicārāya satyantam/	spArSanam tvij indriya vedyaH/ tapta vAri sTa vahnO= avyaBicArAya satyantam/
   tanmātras gaganādāvavyabhicārāyā viśeṣyam/	tanmAtraH gagana AdO= avyaBicArAyAH viSezyam/
   cākṣuṣatvādyupādhāvavyāptirityanvayaḥ/ yatra spārśanatvaṃ tatra	cAkzuza tva Adi upADO= avyAptiH iti anvayaH/ yatra spArSana tvam tatra
   cākṣuṣatvamiti sparśaguṇa eva vyabhicāreṇa śuddhasādhyavyāpakatvasyā 3	cAkzuza tvam iti sparSa guNaH eva vyaBicAreNa SudDa sADya vyApaka tvasyAH 3
   bhāvepi dravyatve sati spārśanatvaṃ yatra tatra cākṣuṣatvamiti ghaṭādau	BAvepi dravya tve sati spArSana tvam yatra tatra cAkzuza tvam iti Gawa AdO
   vyāptidarśanena pakṣadharmāvacchinnasādhyavyāpakatva 4 sya	vyApti darSanena pakza Darma avacCinna sADya vyApaka tva 4 sya
   satvāttatrāvyāptiḥ/	satvAt tatra avyAptiH/
   1.nnesā  ga.rā. 2.ghaṭāderupādhitā  ṭha. 3.tvābhā  ṭa.ṭha.ḍa.	1.nnesA  ga.rA. 2.Gawa AdeH upADitA  Wa. 3.tva ABA wa.Wa.xa.
   4.tvasatvā ṭha.ṭa.	4.tu asatva a Wa.wa.
   svāto pādhi sānya laṇam) upādhivādaḥ pu   81.	svAto pADi  sAnya laNam) upADivAdaH pu  81.
    sādhyavyāpake kṛtakatvādyupādhau cāvyāptiḥ/ tatra spārśanatvādereva	 sADya vyApake kRtaka tva Adi upADO ca avyAptiH/ tatra spArSana tva AdeH eva
   sādhyatvāt/ sādhyapadena   	sADya tva at/ sADya padena   
   tathā yatra samavetatvaṃ tatra kṛtakatvamityasya jātyādau vyabhicāreṇa	taTA yatra samaveta tvam tatra kRtaka tvam iti asya jAti AdO vyaBicAreNa
   kṛtakatvasya śuddhasādhyāvyāpakatvepi saṃbandhatve sati samavetatvaṃ yatra	kRtaka tvasya SudDa sADya avyApaka tvepi saMbanDa tve sati samaveta tvam yatra
   tatra kṛtakatvamiti vyāpteḥ saṃyoge darśanena	tatra kRtaka tvam iti vyApteH saMyoge darSanena
   sādhanāvacchinnasādhyavyāpakopādhau cāvyāptirityarthaḥ/ atrāvacchinnatvaṃ	sADana avacCinna sADya vyApaka upADO ca avyAptiH iti arTaH/ atra avacCinna tvam
   samānādhikaraṇatvaṃ dhyeyam/ avyāptiṃ vyanakti   tatreti// uktānumānadvaye	samAna aDikaraNa tvam Dyeyam/ avyAptim vyanakti  tatra iti// ukta anumAna dvaye
   1 na tvavacchinnaṃ spārśanatvādikam/ yenoktalakṣaṇasatvādavyāptirna	1 na tu avacCinnam spArSana tva Adikam/ yena ukta lakzaNa satvAt avyAptiH na
   syāditibhāvaḥ//	syAt iti BAvaH//
   nanvetāvupādhicatvenāsaṃgrāhyau/ kiṃ tu śuddhasādhyavyāpaka eveti cenna//	nanu etO= upADi catvena asaMgrAhyO/ kim tu SudDa sADya vyApakaH eva iti ced na//
   "vaktṛśrotṛprasaktīnāṃ yadāptiranukūlatā"/	"vaktR SrotR prasaktInAm yat AptiH anukUla tA"/
   ityādā"athāto brahmajijñāsā"ityādi śāstraṃ	iti AdA"aTa ataH brahma jijQAsA"ityAdi SAstram
   pramāṇamanukūlavaktrādimatvādityatanumāne	pramANam anukUla vaktra AdimatvA Aditya tanu mAne
   vākyatvādyavacchinnasādhāyavyāpakasyāptavākyatvāderupādhitvasvīkārādvakṣyamāṇadūṣakatābījasyāvacchinnasādhyavyāpakopādhisādhāraṇyācceti	vAkya tva Adi avacCinna sADAya vyApakasya Apta vAkya tva AdeH upADi tva svIkArAt vakzyamANa dUzaka tA bIjasya avacCinna sADya vyApaka upADi sADa araNyAt ced 
   bhāvaḥ//	BAvaH//
   yadyapi samavāyasyāprāmāṇikatvena tatra sādhyahetvorbādhā 1 dinaiva	yadi api samavAyasya aprAmANika tvena tatra sADya hetvoH bADA 1 dinA eva
   tadanumānasya duṣṭatayā tatropādheranaṅgīkārepi na kṣatiḥ/ tathāpi	tad anumAnasya duzwa tayA tatra upADeH anaFgIkArepi na kzatiH/ taTA api
   nodāharaṇamādaraṇīyamiti nyāyena dhvaṃso vināśī janyatvādityādau	na udAharaNam AdaraNIyam iti nyAyena DvaMsaH vinASI janya tvAt ityAdO
   sādhanāvacchinnasādhyavyāpakasya kṛtakatvāde 2	sADana avacCinna sADya vyApakasya kRtaka tvAde 2
   rupādhitvenodāharaṇāntarasaṃbhavena ca	rupADi tvena udAharaNa antara saMBavena ca
   sādhanāvacchinnasādhyavyāpakopādhipradarśana eva tātparyāt/ paramate	sADana avacCinna sADya vyApaka upADi pradarSanaH eva tAtparyAt/ para mate
   prasiddhatvātsudhāyāmasyaivānuvādātsamavāyapakṣaka eva prayogo darśita	prasidDa tvAt suDA AyAmasya eva anuvAdAt samavAya pakzakaH eva prayogaH darSita
   ityadoṣaḥ//	iti adozaH//
   1.dhenaiva ṭa.ṭha. 2.atyantābhāvovināśī janyatvādityādau	1.Dena eva wa.Wa. 2.atyanta aBAvaH vinASI janya tvAt ityAdO
   sādhanāvacchinnasādhyavyāpakasya bhāvatvasya ityadhikam ṭa. syābhāvasya	sADana avacCinna sADya vyApakasya BAva tvasya iti aDikam wa. syABAvasya
    ṭha.ḍa.	 Wa.xa.
   pu 82. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 82. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
     pakṣadharmādyavacchinnasādhyavivakṣāyāṃ tu vimato dhūmavān	  pakza Darma Adi avacCinna sADya vivakzAyAm tu vimataH DUmavAn
   vahnimatvādityādau śuddhasādhyavyāpake ārdrendhanādyupādhau vaidhī hiṃsā	vahnima tvAt itya AdO SudDa sADya vyApake Ardra inDana Adi upADO vEDI hiMsA
   adharmasādhanaṃ hiṃsātvādityādau niṣiddhatvādyupādhau cāvyāptiriti cenna//	aDarma sADanam hiMsA tvAt ityAdO nizidDa tva Adi upADO ca avyAptiH iti ced na//
   sādhyapadena hi vyāpakatāvacchedakadharmādhikaraṇatvamātre vivakṣitam na	sADya padena hi vyApaka tAvacCedaka Darma aDikaraNa tva mAtre vivakzitam na
   tu tadatiriktadharmā 1 vacchinnatvamapi/ evaṃ ca yathā śuddhasādhyaṃ 2	tu tad atirikta DarmAH 1 vacCinna tvam api/ evam ca yaTA SudDa sADyam 2
