   akṛtvā vapanaṃ teṣāṃ YS99v_56c	akRtvA vapanam tezAm YS99u-_56c
   mātāpitros tu satkṛtim YS99v_81b	mAtA-pitroH tu satkRtim YS99u-_81b
   mātā bhuktvā sa daivatam YS99v_80b	mAtA BuktvA sa dEvatam YS99u-_80b
   mātṛgotragatāsv api YS99v_37b	mAtR-gotra-gatAsu api YS99u-_37b
   mānuṣaiś ca ratiṃ vinā YS99v_25b	mAnuzEH ca ratim vinA YS99u-_25b
   māsam abhyasya pūruṣaḥ YS99v_32b	mAsam aByasya pUruzaH YS99u-_32b
   māsārdhena viśudhyati YS99v_26d	mAsa-arDena viSuDyati YS99u-_26d
   mucyate pretalokāt sa YS99v_89c	mucyate preta-lokAt sa YS99u-_89c
   muṇḍamuṇḍāpanaṃ smṛtam YS99v_54d	muNxam-uNxApanam smRtam YS99u-_54d
   munīnām agraṇīr yamaḥ YS99v_1d	munInAm agraNIH yamaH YS99u-_1d
   mūrchitaḥ patito vāpi YS99v_46a	mUrCitaH patitaH vA-api YS99u-_46a
   mūle sarvaṃ samācaret YS99v_53d	mUle sarvam samAcaret YS99u-_53d
   mūṣikotkaravartmasu YS99v_67b	mUzikA-utkara-vartmasu YS99u-_67b
   mṛtaṃ codbandhanādinā YS99v_27b	mRtam ca-udbanDa-na-AdinA YS99u-_27b
   mṛtena mṛtakaṃ tathā YS99v_76b	mRtena mRtakam taTA YS99u-_76b
   mṛto 'medhyena leptavyo YS99v_20c	mRtaH ameDyena leptavyaH YS99u-_20c
   mauñjī homena śudhyati YS99v_30d	mOQjI homena SuDyati YS99u-_30d
   yathā pūrvaṃ tathā punaḥ YS99v_42d	yaTA pUrvam taTA punar YS99u-_42d
   yathā śāstrapracoditam YS99v_21d	yaTA SAstra-pracoditam YS99u-_21d
   yathāsaṃkhyaṃ samācaret YS99v_3b	yaTAsaMKyam samAcaret YS99u-_3b
   yadā bhojanakāle syād YS99v_7a	yadA Bojana-kAle syAt YS99u-_7a
   yas tu gāṃ vinipātayet YS99v_40b	yaH tu gAm vinipAtayet YS99u-_40b
   yasya cotsṛjyate vṛṣaḥ YS99v_89b	yasya ca-utsRjyate vRzaH YS99u-_89b
   yāvadasthi manuṣyāṇāṃ YS99v_91a	yAvat-asTi manuzyANAm YS99u-_91a
   yena yena tu varṇena YS99v_85a	yena yena tu varNena YS99u-_85a
   yo bhuñjāno 'śucir vāpi YS99v_2a	yaH BuQjAnaH aSuciH vA-api YS99u-_2a
   rajakaś carmakāraś ca YS99v_33a	rajakaH carmakAraH ca YS99u-_33a
   rajasy uparate sādhvī YS99v_77c	rajasi uparate sADvI YS99u-_77c
   rajasvalā tu saṃspṛṣṭā YS99v_12a	rajasvalA tu saMspRzwAH YS99u-_12a
   rajasvale yadā nāryāv YS99v_13a	rajasvale yadA nAryO YS99u-_13a
   rajjvādibhir upakramaiḥ YS99v_20b	rajju-AdiBiH upakramEH YS99u-_20b
   rahasyakaraṇe 'py evaṃ YS99v_32a	rahasya-karaNe api evam YS99u-_32a
   rājā daṇḍena pīḍayet YS99v_59d	rAjA daNxena pIxayet YS99u-_59d
   rājā vā rāja putro vā YS99v_56a	rAjA vA rAja putraH vA YS99u-_56a
   rājñāṃ pravrajitāṃ dhātrīṃ YS99v_36a	rAjQAm pravrajitAm DAtrIm YS99u-_36a
   rātribhir māsatulyābhir YS99v_77a	rAtriBiH mAsa-tulyABiH YS99u-_77a
   rātrau nakṣatramārutaiḥ YS99v_96b	rAtrO nakzatra-mArutEH YS99u-_96b
   vatsānāṃ kaṇṭhabandhena YS99v_52a	vatsAnAm kaNWa-banDena YS99u-_52a
   varṇānām anupūrvaśaḥ YS99v_1b	varNAnAm anupUrvaSas YS99u-_1b
   varṇānām anupūrvaśaḥ YS99v_88d	varNAnAm anupUrvaSas YS99u-_88d
   varṣaṃ tyājyā dhanaṃ vinā YS99v_18d	varzam tyAjyAH Danam vinA YS99u-_18d
   varṣe varṣe tu kurvīta YS99v_81a	varze varze tu kurvIta YS99u-_81a
   vāpī kūpataḍāgāni YS99v_70a	vApI kUpa-taxAgAni YS99u-_70a
   vāristho dakṣiṇāmukhaḥ YS99v_94b	vAri-sTaH dakziNAmuKaH YS99u-_94b
   viṇmūtre tu kṛte dvijaḥ YS99v_10b	viz-mUtre tu kRte dvijaH YS99u-_10b
   vittāpekṣaṃ bhaved iṣṭaṃ YS99v_69a	vitta-apekzam Bavet izwam YS99u-_69a
   vivāhāt saptame pade YS99v_78b	vivAhAt saptame pade YS99u-_78b
   vivāhe caiva saṃvṛtte YS99v_86a	vivAhe ca-eva saMvRtte YS99u-_86a
   viṣaprapatanaprāya- YS99v_22c	viza-prapatana-prAya YS99u-_22c
   viṃśatiṃ gāvṛṣaṃ caiva YS99v_61c	viMSatim gAvRzam ca-eva YS99u-_61c
   vṛddhiśrāddham athāparam YS99v_82b	vRdDi-SrAdDam aTa-aparam YS99u-_82b
   veśyābhigamane pāpaṃ YS99v_38a	veSyA-aBigamane pApam YS99u-_38a
   vyapohanti dvijātayaḥ YS99v_38b	vyapohanti dvijAtayaH YS99u-_38b
   śaktyā dadyāc ca dakṣiṇām YS99v_62d	SaktyA dadyAt ca dakziNAm YS99u-_62d
   śatadhā parivartate YS99v_65d	SataDA parivartate YS99u-_65d
   śayanād utthitā nārī YS99v_17c	SayanAt utTitA nArI YS99u-_17c
   śastraghātahatāś ca ye YS99v_22d	Sastra-GAta-hatAH ca ye YS99u-_22d
   śastre cāpy atikṛcchrakam YS99v_49d	Sastre ca-api atikRcCrakam YS99u-_49d
   śastrair vā nihatā yadi YS99v_48b	SastrEH vA nihatAH yadi YS99u-_48b
   śāstre śāstre nigadyate YS99v_48d	SAstre SAstre nigadyate YS99u-_48d
   śuklāyā mūtraṃ gṛhṇīyāt YS99v_71a	SuklAyAH mUtram gRhNIyAt YS99u-_71a
   śuciḥ syād aśuciḥ pumān YS99v_17d	SuciH syAt aSuciH pumAn YS99u-_17d
   śudhyataḥ pañcagavyena YS99v_13c	SuDyataH paQcagavyena YS99u-_13c
   śudhyed antarjale sthitaḥ YS99v_32d	SuDyet antar-jale sTitaH YS99u-_32d
   śūdrā dānopavāsataḥ YS99v_14d	SUdrAH dAna-upavAsataH YS99u-_14d
   śaucaṃ mūtrapurīṣavat YS99v_16d	SOcam mUtra-purIza-vat YS99u-_16d
   śmaśāne śaucaśeṣe ca YS99v_67c	SmaSAne SOca-Seze ca YS99u-_67c
   śyāmāc chabalakāc cyutaḥ YS99v_24b	SyAmAt SabalakAt cyutaH YS99u-_24b
   śrāddhaṃ pañcavidhaṃ budhaiḥ YS99v_82d	SrAdDam paQcaviDam buDEH YS99u-_82d
   śrāddhe havanakāle ca YS99v_99a	SrAdDe havana-kAle ca YS99u-_99a
   śrutismṛtyuditaṃ dharmaṃ YS99v_1a	Sruti-smRti-uditam Darmam YS99u-_1a
   śvamātaṅgādivāyasaiḥ YS99v_12b	Sva-mAtaFga-Adi-vAyasEH YS99u-_12b
   śvaśṛgālaplavaṅgādyair YS99v_25a	Sva-SRgAla-plavaFga-AdyEH YS99u-_25a
   śvetāyā dadhi cocyate YS99v_71d	SvetAyAH daDi ca-ucyate YS99u-_71d
   ṣaḍrātraṃ vā trirātraṃ vā YS99v_3a	zaz-rAtram vA tri-rAtram vA YS99u-_3a
   ṣaṇṇāṃ deyās trayaḥ piṇḍā YS99v_79c	zaNNAm deyAH trayaH piNxA YS99u-_79c
   sa gotrām abhigamya ca YS99v_36d	sa gotrAm aBigamya ca YS99u-_36d
   sadyaḥ snānena śudhyati YS99v_64d	sadyas snAnena SuDyati YS99u-_64d
   sa pūrtaphalam aśnute YS99v_70d	sa pUrta-Palam aSnute YS99u-_70d
   sapta pañca daśāpi vā YS99v_46d	sapta paQca daSA-api vA YS99u-_46d
   saptame navame tathā YS99v_88b	saptame navame taTA YS99u-_88b
   saptaite antyajāḥ smṛtāḥ YS99v_33d	saptA-ete antyajAH smRtAH YS99u-_33d
   sarvatīrthe nadī toye YS99v_72c	sarva-tIrTe nadI toye YS99u-_72c
   sarvalokabahiṣkṛtāḥ YS99v_23b	sarva-loka-bahizkRtAH YS99u-_23b
   sarvān keśān samuddhṛtya YS99v_54a	sarvAn keSAn samudDRtya YS99u-_54a
   saṃdhyayor apy ubhābhyāṃ ca YS99v_96c	saMDyayoH api uBAByAm ca YS99u-_96c
   saṃpadyate cen maraṇaṃ YS99v_45c	saMpadyate ced maraNam YS99u-_45c
   saṃspṛśed antyajo yadi YS99v_11b	saMspRSet antyajaH yadi YS99u-_11b
   saṃspṛṣṭe raśmibhis teṣām YS99v_66c	saMspRzwe raSmiBiH tezAm YS99u-_66c
   sāyaṃ saṃgopanārthaṃ ca YS99v_52c	sAyam saMgopana-arTam ca YS99u-_52c
   sārdraś ca sa palāśaś ca YS99v_41c	sArdraH ca sa palASaH ca YS99u-_41c
   suvarṇam āṣakaṃ dadyāt YS99v_63c	suvarNam Azakam dadyAt YS99u-_63c
   sūtake tu samutpanne YS99v_75a	sUtake tu samutpanne YS99u-_75a
   sthale dadyāj jalāñjalīn YS99v_98d	sTale dadyAt jala-aQjalIn YS99u-_98d
   sthitvā vā mahati kratau YS99v_31d	sTitvA vA mahati kratO YS99u-_31d
   snātvā triṣavaṇaṃ vipraḥ YS99v_3c	snAtvA trizavaNam vipraH YS99u-_3c
   snātvā śuddhim avāpnuyāt YS99v_7d	snAtvA SudDim avApnuyAt YS99u-_7d
   snānaṃ maithuninaḥ smṛtam YS99v_16b	snAnam mETuninaH smRtam YS99u-_16b
   snānaṃ yena vidhīyate YS99v_15b	snAnam yena viDIyate YS99u-_15b
   snānena strī rajasvalā YS99v_77d	snAnena strI rajasvalA YS99u-_77d
   svagotrād bhraśyate tataḥ YS99v_84d	sva-gotrAt BraSyate tatas YS99u-_84d
   svagotrād bhraśyate nārī YS99v_78a	sva-gotrAt BraSyate nArI YS99u-_78a
   svabhāvayuktam avyāptam YS99v_97a	svaBAva-yuktam avyAptam YS99u-_97a
   svargaloke mahīyate YS99v_89d	svarga-loke mahIyate YS99u-_89d
   svargaloke mahīyate YS99v_91d	svarga-loke mahIyate YS99u-_91d
   svasṛduhitarau snuṣām YS99v_35b	svasR-duhitarO snuzAm YS99u-_35b
   svasthas trīṇi sahasrāṇi YS99v_9c	svasTaH trINi sahasrANi YS99u-_9c
   svāmigotreṇa kartavyās YS99v_78c	svAmi-gotreNa kartavyAH YS99u-_78c
   svena bhartrā saha śrāddhaṃ YS99v_80a	svena BartrA saha SrAdDam YS99u-_80a
   svenaiva prapitāmahī YS99v_80d	svena-eva prapitAmahI YS99u-_80d
   hatvā garbham acetanam YS99v_43d	hatvA garBam acetanam YS99u-_43d
   hastau kṛtvā susaṃyuktau YS99v_93a	hastO kRtvA su-saMyuktO YS99u-_93a
   hṛdayenānucintayet YS99v_92b	hRdayena-anucintayet YS99u-_92b
