   Pariccheda 2	Pari=-CedaH 2
   ayam ālohitacchāyo madane mukhacandramāḥ /	ayam Alohita=-CAyaH madane muKa-candramAH /
   saṃnaddhodayarāgasya candrasya pratigarjati // 2.89 //	saMnadDa-udaya-rAgasya candrasya pratigarjati // 2.89 //
   [- vyatirekarūpaka]	[ vyatireka-rUpaka]
   candramāḥ pīyate devair mayā tvanmukhacandramāḥ /	candramAH pIyate devEH mayA tvad-muKa-candramAH /
   asamagro 'py asau śaśvad ayam āpūrṇamaṇḍalaḥ // 2.90 //	asamagraH api asO SaSvat ayam ApUrNa-maNxalaH // 2.90 //
   [- ākṣeparūpaka]	[ Akzepa-rUpaka]
   mukhacandrasya candratvam ittham anyopatāpinaḥ /	muKa-candrasya candra-tvam itTam anya-upatApinaH /
   na te sundari saṃvādīty etad ākṣeparūpakam // 2.91 //	na te sundari saMvAdi-iti etat Akzepa-rUpakam // 2.91 //
   [- samādhānarūpaka]	[ samADAna-rUpaka]
   mukhendur api te caṇḍi māṃ nirdahati nirdayam /	muKa-induH api te caNxi mAm nirdahati nirdayam /
   bhāgyadoṣān mamaiveti tat samādhānarūpakam // 2.92 //	BAgya-dozAt mama-eva-iti tat samADAna-rUpakam // 2.92 //
   [- rūpakarūpaka]	[ rUpaka-rUpaka]
   mukhapaṅkajaraṅge 'smin bhrūlatānartakī tava /	muKa-paFkaja-raFge asmin BrU-latA-nartakI tava /
   līlānṛtyaṃ karotīti ramyaṃ rūpakarūpakam // 2.93 //	lIlA-nRtyam karoti-iti ramyam rUpaka-rUpakam // 2.93 //
   [- āpahnavarūpaka]	[ Apahnava-rUpaka]
   naitan mukham idaṃ padmaṃ na netre bhramarāv imau /	na-etat muKam idam padmam na netre BramarO imO /
   etāni kesarāṇy eva naitā dantārciṣas tava // 2.94 //	etAni kesarANi eva na-etAH danta-arcizaH tava // 2.94 //
   mukhāditvaṃ nivartyaiva padmāditvena rūpaṇāt /	muKa-Adi-tvam nivartya-eva padma-Adi-tvena rUpaNAt /
   udbhāvitaguṇotkarṣaṃ tat tv āpahnavarūpakam // 2.95 //	udBAvita-guNa-utkarzam tat tu Apahnava-rUpakam // 2.95 //
   na paryanto vikalpānāṃ rūpakopamayor ataḥ /	na paryantaH vikalpAnAm rUpaka-upamayoH atas /
   diṅmātraṃ darśitaṃ dhīrair anuktam anumīyatām // 2.96 //	diS-mAtram darSitam DIrEH anuktam anumIyatAm // 2.96 //
   [dīpaka]	[dIpaka]
   jātikriyāguṇadravya- vācinaikatra vartinā /	jAti-kriyA-guNa-dravya vAcinA-ekatra vartinA /
   sarvavākyopakāraś cet tad āhur dīpakaṃ yathā // 2.97 //	sarva-vAkya-upakAraH ced tat AhuH dIpakam yaTA // 2.97 //
   [- ādidīpaka: jāti]	[ AdidIpaka: jAti]
   pavano dakṣiṇaḥ parṇaṃ jīrṇaṃ harati vīrudhāṃ /	pavanaH dakziNaH parNam jIrNam harati vIruDAm /
   sa evāvanatāṅgīnāṃ mānabhaṅgāya kalpate // 2.98 //	saH eva-avanata-aFgInAm mAna-BaFgAya kalpate // 2.98 //
   [- ādidīpaka: kriyā]	[ AdidIpaka: kriyA]
   caranti caturambhodhi- velodyāneṣu dantinaḥ /	caranti catur-amBoDi velA-udyAnezu dantinaH /
   cakravālādrikuñjeṣu kundabhāso guṇāś ca te // 2.99 //	cakravAla-adri-kuQjezu kunda-BAsaH guNAH ca te // 2.99 //
   [- ādidīpaka: guṇa]	[ AdidIpaka: guNa]
   śyāmalāḥ prāvṛṣeṇyābhir diśo jīmūtapaṅktibhiḥ /	SyAmalAH prAvRzeNyABiH diSaH jImUta-paFktiBiH /
   bhuvaś ca sukumārābhir navaśādvalarājibhiḥ // 2.100 //	BuvaH ca sukumArABiH nava-SAdvala-rAjiBiH // 2.100 //
   [- ādidīpaka: dravya]	[ AdidIpaka: dravya]
   viṣṇunā vikramasthena dānavānāṃ vibhūtayaḥ /	vizNunA vikrama-sTena dAnavAnAm viBUtayaH /
   kvāpi nītāḥ kuto 'py āsann ānītā daivatarddhayaḥ // 2.101 //	kvApi nItAH kutas api Asan AnItAH dEvata-RdDayaH // 2.101 //
   ity ādidīpakāny uktāny evaṃ madhyāntayor api /	iti AdidIpakAni uktAni evam maDya-antayoH api /
   vākyayor darśayiṣyāmaḥ kāni cittāni tadyathā // 2.102 //	vAkyayoH darSayizyAmaH kAni cittAni tat-yaTA // 2.102 //
   [- madhyadīpaka: jāti]	[ maDyadIpaka: jAti]
   nṛtyanti niculotsaṅge gāyanti ca kalāpinaḥ /	nRtyanti nicula-utsaFge gAyanti ca kalApinaH /
   badhnanti ca payodeṣu dṛśo harṣāśrugarbhiṇīḥ // 2.103 //	baDnanti ca payodezu dRSaH harza-aSru-garBiNIH // 2.103 //
   [- madhyadīpaka: kriyā]	[ maDyadIpaka: kriyA]
   mando gandhavahaḥ kṣāro vahnir induś ca jāyate /	mandaH ganDavahaH kzAraH vahniH induH ca jAyate /
   carcācandanapātaś ca śastrapātaḥ pravāsinām // 2.104 //	carcA-candana-pAtaH ca Sastra-pAtaH pravAsinAm // 2.104 //
   [- antadīpaka: dravya (Komm.: jāti)]	[ antadIpaka: dravyaH (Komm.: jAti)]
   jalaṃ jaladharodgīrṇaṃ kulaṃ gṛhaśikhaṇḍinām /	jalam jalaDara-udgIrNam kulam gRha-SiKaNxinAm /
   calaṃ ca taḍitāṃ dāma balaṃ kusumadhanvanaḥ // 2.105 //	calam ca taxitAm dAma balam kusumaDanvanaH // 2.105 //
   [- antadīpaka: kriyā]	[ antadIpaka: kriyA]
   tvayā nīlotpalaṃ karṇe smareṇāstraṃ śarāsane /	tvayA nIlotpalam karNe smareNa-astram SarAsane /
   mayāpi maraṇe cetas trayam etat samaṃ kṛtam // 2.106 //	mayA-api maraNe cetaH trayam etat samam kRtam // 2.106 //
   [- (ādidīpaka): mālādīpaka]	[ (Adi-dIpaka): mAlAdIpaka]
   śuklaḥ śvetārciṣo vṛddhyai pakṣaḥ pañcaśarasya saḥ /	SuklaH SvetArcizaH vRdDyE pakzaH paQcaSarasya saH /
   sa ca rāgasya rāgo 'pi yūnāṃ ratyutsavaśriyaḥ // 2.107 //	sa ca rAgasya rAgaH api yUnAm rati-utsava-SriyaH // 2.107 //
   ity ādidīpakatve 'pi pūrvapūrvavyapekṣiṇī /	iti AdidIpaka-tve api pUrva-pUrva-vyapekziNI /
   vākyamālā prayukteti tan mālādīpakaṃ matam // 2.108 //	vAkya-mAlA prayuktA-iti tat mAlAdIpakam matam // 2.108 //
   [- viruddhārthadīpaka]	[ virudDa-arTa-dIpaka]
   avalepam anaṅgasya vardhayanti balāhakāḥ /	avalepam anaFgasya varDayanti balAhakAH /
   karśayanti tu gharmasya mārutoddhūtaśīkarāḥ // 2.109 //	karSayanti tu Garmasya mAruta-udDUta-SIkarAH // 2.109 //
   avalepapadenātra balāhakapadena ca /	avalepa-padena-atra balAhaka-padena ca /
   kriye viruddhe saṃyukte tad viruddhārthaṃ dīpakam // 2.110 //	kriye virudDe saMyukte tat virudDa-arTam dIpakam // 2.110 //
   [- ekārthadīpaka]	[ eka-arTa-dIpaka]
   haraty ābhogam āśānāṃ gṛhṇāti jyotiṣāṃ gaṇam /	harati ABogam ASAnAm gRhNAti jyotizAm gaNam /
   ādatte cādya me prāṇān asau jaladharāvalī // 2.111 //	Adatte ca-adya me prANAn asO jalaDara-AvalI // 2.111 //
   anekaśabdopādānāt kriyaikaivātra dīpyate /	aneka-Sabda-upAdAnAt kriyA-ekA-eva-atra dIpyate /
   yato jaladharāvalyā tasmād ekārthadīpakam // 2.112 //	yatas jalaDara-AvalyA tasmAt eka-arTa-dIpakam // 2.112 //
   [- śliṣṭārthadīpaka]	[ Slizwa-arTa-dIpaka]
   hṛdyagandhavahās tuṅgās tamālaśyāmalatviṣaḥ /	hRdyaganDa-vahAH tuFgAH tamAla-SyAmala-tvizaH /
   divi bhramanti jīmūtā bhuvi caite mataṃgajāḥ // 2.113 //	divi Bramanti jImUtAH Buvi ca-ete mataMgajAH // 2.113 //
   atra dharmair abhinnānām abhrāṇāṃ dantināṃ tathā /	atra DarmEH aBinnAnAm aBrANAm dantinAm taTA /
   bhramaṇenaiva saṃbandha iti śliṣṭārthadīpakam // 2.114 //	BramaNena-eva saMbanDaH iti Slizwa-arTa-dIpakam // 2.114 //
   anenaiva prakāreṇa śeṣāṇām api dīpake /	anena-eva prakAreNa SezANAm api dIpake /
   vikalpānām avagatir vidhātavyā vicakṣaṇaiḥ // 2.115 //	vikalpAnAm avagatiH viDAtavyAH vicakzaNEH // 2.115 //
   [āvṛtti]	[AvRtti]
   arthāvṛttiḥ padāvṛttir ubhayāvṛttir eva ca /	arTa-AvRttiH padAvRttiH uBayAvRttiH eva ca /
   dīpakasthāna eveṣṭam alaṃkāratrayaṃ yathā // 2.116 //	dIpaka-sTAnaH eva-izwam alaMkAra-trayam yaTA // 2.116 //
   [- arthāvṛtti]	[ arTa-AvRtti]
   vikasanti kadambāni sphuṭanti kuṭajadrumāḥ /	vikasanti kadambAni sPuwanti kuwaja-drumAH /
   unmīlanti ca kandalyo dalanti kakubhāni ca // 2.117 //	unmIlanti ca kandalyaH dalanti kakuBAni ca // 2.117 //
   [- padāvṛtti]	[ pada-AvRtti]
   utkaṇṭhayati meghānāṃ mālā vṛndaṃ kalāpinām /	utkaNWayati meGAnAm mAlA vRndam kalApinAm /
   yūnāṃ cotkaṇṭhayaty eva mānasaṃ makaradhvajaḥ // 2.118 //	yUnAm ca-utkaNWayati eva mAnasam makaraDvajaH // 2.118 //
   [- ubhayāvṛtti (artha u. pada)]	[ uBayAvRtti (arTaH u. pada)]
   jitvā viśvaṃ bhavān atra viharaty avarodhanaiḥ /	jitvA viSvam BavAn atra viharati avaroDanEH /
   viharaty apsarobhis te ripuvargo divaṃ gataḥ // 2.119 //	viharati apsaroBiH te ripu-vargaH divam gataH // 2.119 //
   [ākṣepa]	[a-Akzepa]
   pratiṣedhoktir ākṣepas traikālyāpekṣayā tridhā /	pratizeDa-uktiH AkzepaH trEkAlya-apekzayA triDA /
   athāsya punar ākṣepya- bhedānantyād anantatā // 2.120 //	aTa-asya punar Akzepya Beda-AnantyAt ananta-tA // 2.120 //
   [- vṛttākṣepa]	[ vRtta-Akzepa]
   anaṅgaḥ pañcabhiḥ puṣpair viśvaṃ vyajayateṣubhiḥ /	anaFgaH paQcaBiH puzpEH viSvam vyajayata-izuBiH /
   ity asaṃbhāvyam atha vā vicitrā vastuśaktayaḥ // 2.121 //	iti asaMBAvyam aTa vA vicitrAH vastu-SaktayaH // 2.121 //
   ity anaṅgajayāyoga- buddhir hetubalād iha /	iti anaFga-jayA-yoga budDiH hetu-balAt iha /
   pravṛttaiva yad ākṣiptā vṛttākṣepaḥ sa īdṛśaḥ // 2.122 //	pravRttA-eva yat AkziptA vRtta-AkzepaH saH IdRSaH // 2.122 //
   [- vartamānākṣepa]	[ vartamAna-Akzepa]
   kutaḥ kuvalayaṃ karṇe karoṣi kalabhāṣiṇi /	kutas kuvalayam karNe karozi kala-BAziNi /
   kim apāṅgam aparyāptam asmin karmaṇi manyase // 2.123 //	kim apAFgam aparyAptam asmin karmaNi manyase // 2.123 //
   sa vartamānākṣepo 'yaṃ kurvaty evāsitotpala /	sa vartamAnAkzepaH ayam kurvati eva-asita-utpala /
   karṇe kācit priyeṇaivaṃ cāṭukāreṇa rudhyate // 2.124 //	karNe kAcid priyeNa-evam cAwu-kAreNa ruDyate // 2.124 //
   [- bhaviṣyadākṣepa]	[ Bavizyat-Akzepa]
   satyaṃ bravīmi na tvaṃ māṃ draṣṭuṃ vallabha lapsyase /	satyam bravImi na tvam mAm drazwum vallaBa lapsyase /
   anyacumbanasaṃkrānta- lākṣāraktena cakṣuṣā // 2.125 //	anya-cumbana-saMkrAnta lAkzA-raktena cakzuzA // 2.125 //
   so 'yaṃ bhaviṣyadākṣepaḥ prāg evātimanasvinī /	saH ayam Bavizyat-AkzepaH prAk eva-ati-manasvinI /
   kadācid aparādho 'sya bhāvīty evam arunddhayat // 2.126 //	kadAcid aparADaH asya BAvi-iti evam arundDayat // 2.126 //
   [- dharmākṣepa]	[ DarmAkzepa]
   tava tanvaṅgi mithyaiva rūḍham aṅgeṣu mārdavam /	tava tanvaFgi miTyA-eva rUXam aFgezu mArdavam /
   yadi satyaṃ mṛdūny eva kim akāṇḍe rujanti mām // 2.127 //	yadi satyam mRdUni eva kim akANxe rujanti mAm // 2.127 //
   dharmākṣepo 'yam ākṣiptam aṅganāgātramārdavam /	DarmAkzepaH ayam Akziptam aFganA-gAtra-mArdavam /
   kāmukena yad atraivaṃ karmaṇā tadvirodhinā // 2.128 //	kAmukena yat atra-evam karmaNA tad-viroDinA // 2.128 //
   [- dharmyākṣepa]	[ DarmyAkzepa]
   sundarī sā bhavaty evaṃ vivekaḥ kena jāyate /	sundarI sA Bavati evam vivekaH kena jAyate /
   prabhāmātraṃ hi taralaṃ dṛśyate na tadāśrayaḥ // 2.129 //	praBA-mAtram hi taralam dRSyate na tad-ASrayaH // 2.129 //
   dharmyākṣepo 'yam ākṣipto dharmī dharmaṃ prabhāhvayam /	DarmyAkzepaH ayam AkziptaH DarmI Darmam praBA-Ahvayam /
   anujñāyaiva yad rūpam atyāścaryaṃ vivakṣatā // 2.130 //	anujQAya-eva yat rUpam ati-AScaryam vivakzatA // 2.130 //
   [- kāraṇākṣepa]	[ kAraNa-Akzepa]
   cakṣuṣī tava rajyete sphuraty adharapallavaḥ /	cakzuzI tava rajyete sPurati aDara-pallavaH /
   bhruvau ca bhugne na tathāpy aduṣṭasyāsti me bhayam // 2.131 //	BruvO ca Bugne na taTA-api aduzwasya-asti me Bayam // 2.131 //
   sa eṣa kāraṇākṣepaḥ pradhānaṃ kāraṇaṃ bhiyaḥ /	saH eza kAraNAkzepaH praDAnam kAraNam BiyaH /
   svāparādho niṣiddho 'tra yat priyeṇa paṭīyasā // 2.132 //	sva-aparADaH nizidDaH atra yat priyeNa pawIyasA // 2.132 //
   [- kāryākṣepa]	[ kAryAkzepa]
   dūre priyatamaḥ so 'yam āgato jaladāgamaḥ /	dUre priyatamaH saH ayam AgataH jalada-AgamaH /
   dṛṣṭāś ca phullā niculā na mṛtā cāsmi kiṃ nv idam // 2.133 //	dRzwAH ca PullAH niculA na mRtA ca-asmi kim nu idam // 2.133 //
   kāryākṣepaḥ sa kāryasya maraṇasya nivartanāt /	kAryAkzepaH sa kAryasya maraNasya nivartanAt /
   tatkāraṇam upanyasya dāruṇaṃ jaladāgamam // 2.134 //	tad-kAraNam upanyasya dAruNam jalada-Agamam // 2.134 //
   [- anujñākṣepa]	[ anujQAkzepa]
   na ciraṃ mama tāpāya tava yātrā bhaviṣyati /	na ciram mama tApAya tava yAtrA Bavizyati /
   yadi yāsyasi yātavyam alam āśaṅkayātra te // 2.135 //	yadi yAsyasi yAtavyam alam ASaFkayA-atra te // 2.135 //
   ity anujñāmukhenaiva kāntasyākṣipyate gatiḥ /	iti anujQA-muKena-eva kAntasya-Akzipyate gatiH /
   maraṇaṃ sūcayantyaiva so 'nujñākṣepa ucyate // 2.136 //	maraNam sUcayantyA-eva saH anujQAkzepaH ucyate // 2.136 //
   [- prabhutvākṣepa]	[ praBu-tvAkzepa]
   dhanaṃ ca bahu labhyaṃ te sukhaṃ kṣemaṃ ca vartmani /	Danam ca bahu laByam te suKam kzemam ca vartmani /
   na ca me prāṇasaṃdehas tathāpi priya mā sma gāḥ // 2.137 //	na ca me prANa-saMdehaH taTA-api priya mA sma gAH // 2.137 //
   ity ācakṣāṇayā hetūn priyayātrānubandhinaḥ /	iti AcakzANayA hetUn priya-yAtrA-anubanDinaH /
   prabhutvenaiva ruddhas tat prabhutvākṣepa ucyate // 2.138 //	praBu-tvena-eva rudDaH tat praBu-tvAkzepaH ucyate // 2.138 //
   [- anādarākṣepa]	[ anAdara-Akzepa]
   jīvitāśā balavatī dhanāśā durbalā mama /	jIvita-ASA balavatI Dana-ASA durbalAH mama /
   gaccha vā tiṣṭha vā kānta sva1vasthā tu niveditā // 2.139 //	gacCa vA tizWa vA kAnta sva1vasTA tu niveditAH // 2.139 //
   asāv anādarākṣepo yad anādaravad vacaḥ /	asO anAdara-AkzepaH yat anAdara-vat vacaH /
   priyapraṇāyaṃ rundhatyā prayuktam iha raktayā // 2.140 //	priya-praNAyam runDatyA prayuktam iha raktayA // 2.140 //
   [- āśīrvacanākṣepa]	[ ASIrvacana-Akzepa]
   gaccha gacchasi cet kānta panthānaḥ santu te śivāḥ /	gacCa gacCasi ced kAnta panTAnaH santu te SivAH /
   mamāpi janma tatraiva bhūyād yatra gato bhavān // 2.141 //	mama-api janma tatra-eva BUyAt yatra gataH BavAn // 2.141 //
   ity āśīrvacanākṣepo yad āśīrvādavartmanā /	iti ASIrvacana-AkzepaH yat ASIrvAda-vartmanA /
   svāvasthāṃ sūcayantyaiva kāntayātrā niṣidhyate // 2.142 //	sva-avasTAm sUcayantyA-eva kAnta-yAtrA niziDyate // 2.142 //
   [- paruṣākṣepa]	[ paruzAkzepa]
   yadi satyaiva yātrā te kāpy anyā mṛgyatāṃ tvayā /	yadi satyA-eva yAtrA te kA-api anyA mRgyatAm tvayA /
   aham adyaiva ruddhāsmi randhrāpekṣeṇa mṛtyunā // 2.143 //	aham adya-eva rudDA-asmi ranDra-apekzeNa mRtyunA // 2.143 //
   ity eṣa paruṣākṣepaḥ paruṣākṣarapūrvakam /	iti eza paruzAkzepaH paruza-akzara-pUrvakam /
   kāntasyākṣipyate yasmāt prasthānaṃ premanighnayā // 2.144 //	kAntasya-Akzipyate yasmAt prasTAnam prema-niGnayA // 2.144 //
   [- sācivyākṣepa]	[ sAci-vyAkzepa]
   [śleṣa (= śliṣṭa)]	[Sleza ( Slizwa)]
   śliṣṭam iṣṭam anekārtham ekarūpānvitaṃ vacaḥ /	Slizwam izwam aneka-arTam eka-rUpa-anvitam vacaH /
   tad abhinnapadaṃ bhinna- padaprāyam iti dvidhā // 2.310 //	tat aBinnapadam Binna pada-prAyam iti dviDA // 2.310 //
   [- abhinnapadaśleṣa]	[ aBinnapada-Sleza]
   asāv udayam ārūḍhaḥ kāntimān raktamaṇḍalaḥ /	asO udayam ArUXaH kAntimAn raktamaNxalaH /
   rājā harati lokasya hṛdayaṃ mṛdubhiḥ karaiḥ // 2.311 //	rAjA harati lokasya hRdayam mRduBiH karEH // 2.311 //
   [- bhinnapadaśleṣa]	[ Binna-pada-Sleza]
   doṣā(3)kareṇa saṃbadhnan[n / n]a[]kṣatrapathavartinā /	doza-a(3)kareNa saMbaDnan[n / n]a-[]kzatra-paTa-vartinA /
   rajñā pradoṣo mām ittham apriyaṃ kiṃ na bādhate // 2.312 //	rajQA pradozaH mAm itTam apriyam kim na bADate // 2.312 //
   upamārūpakākṣepa- vyatirekādigocarāḥ /	upamA-rUpaka-Akzepa vyatireka-Adi-gocarAH /
   prāg eva darśitāḥ śleṣā darśyante kecanāpare // 2.313 //	prAk eva darSitAH SlezAH darSyante kecana-apare // 2.313 //
   asty abhinnakriyaḥ kaścid aviruddhakriyo 'paraḥ /	asti aBinna-kriyaH kaScid avirudDa-kriyaH aparaH /
   viruddhakarmā cāsty anyaḥ śleṣo niyamavān api // 2.314 //	virudDa-karmA ca-asti anyaH SlezaH niyamavAn api // 2.314 //
   niyamākṣeparūpoktir avirodhī virodhy api /	niyama-Akzepa-rUpa-uktiH aviroDI viroDi api /
   teṣāṃ nidarśaneṣv eva rūpam āvir bhaviṣyati // 2.315 //	tezAm nidarSanezu eva rUpam Avis Bavizyati // 2.315 //
   [- abhinnakriyaśleṣa]	[ aBinna-kriya-Sleza]
   vakrāḥ svabhāvamadhurāḥ śaṃsantyo rāgam ulbaṇam /	vakrAH svaBAva-maDurAH SaMsantyaH rAgam ulbaNam /
   dṛśo dūtyaś ca karṣanti kāntābhiḥ preṣitāḥ priyān // 2.316 //	dRSaH dUtyaH ca karzanti kAntABiH prezitAH priyAn // 2.316 //
   [- aviruddhakriyaśleṣa]	[ avirudDa-kriya-Sleza]
   madhurā rāgavardhinyaḥ komalāḥ kokilāgiraḥ /	maDurAH rAga-varDin-yaH komalAH kokilA-giraH /
   ākarṇyante madakalāḥ śliṣyante cāsitekṣaṇāḥ // 2.317 //	AkarNyante mada-kalAH Slizyante ca-asita-IkzaNAH // 2.317 //
   [- viruddhakarmaśleṣa]	[ virudDa-karma-Sleza]
   rāgam ādarśayann eṣa vāruṇīyogavardhitam /	rAgam AdarSayan eza vAruNI-yoga-varDitam /
   tirobhavati gharmāṃśur aṅgajas tu vijṛmbhate // 2.318 //	tiroBavati GarmAMSuH aFgajaH tu vijRmBate // 2.318 //
   [- niyamavacchleṣa]	[ niyamavat-Sleza]
   nistriṃśatvam asāv eva dhanuṣy evāsya vakratā /	nistriMSa-tvam asO eva Danuzi eva-asya vakra-tA /
   śareṣv eva narendrasya mārgaṇatvaṃ ca vartate // 2.319 //	Sarezu eva narendrasya mArgaNa-tvam ca vartate // 2.319 //
   [- niyamākṣeparūpoktiśleṣa]	[ niyama-Akzepa-rUpa-ukti-Sleza]
   padmānām eva daṇḍeṣu kaṇṭakas tvayi rakṣati /	padmAnAm eva daNxezu kaNwakaH tvayi rakzati /
   athavā dṛśyate rāgi- mithunāliṅganeṣv api // 2.320 //	aTavA dRSyate rAgi miTuna-AliFganezu api // 2.320 //
   [- avirodhiśleṣa]	[ aviroDi-Sleza]
   mahībhṛd bhūrikaṭakas tejasvī niyatodayaḥ /	mahIBRt BUri-kawakaH tejasvI niyata-udayaH /
   dakṣaḥ prajāpatiś cāsīt svāmī śaktidharaś ca saḥ // 2.321 //	dakzaH prajApatiH ca-AsIt svAmI SaktiDaraH ca saH // 2.321 //
   [- virodhiśleṣa]	[ viroDi-Sleza]
   acyuto 'py avṛṣacchedī rājāpy aviditakṣayaḥ /	acyutaH api avRza=-CedI rAjA-api avidita-kzayaH /
   devo 'py avibudho jajñe śaṃkaro 'py abhujaṃgavān // 2.322 //	devaH api avibuDaH jajQe SaMkaraH api aBujaMgavAn // 2.322 //
   [viśeṣokti]	[viSeza-ukti]
   guṇajātikriyādīnāṃ yatra vaikalyadarśanam /	guNa-jAti-kriyA-AdInAm yatra vEkalya-darSanam /
   viśeṣadarśanāyaiva sā viśeṣoktir iṣyate // 2.323 //	viSeza-darSanAya-eva sA viSeza-uktiH izyate // 2.323 //
   [- viśeṣokti: guṇa]	[ viSeza-ukti: guNa]
   na kaṭhoraṃ na vā tīkṣṇam āyudhaṃ puṣpadhanvanaḥ /	na kaWoram na vA tIkzNam AyuDam puzpaDanvanaH /
   tathāpi jitam evāsīd amunā bhuvanatrayam // 2.324 //	taTA-api jitam eva-AsIt amunA Buvanatrayam // 2.324 //
   [- viśeṣokti: jāti]	[ viSeza-ukti: jAti]
   na devakanyakā nāpi gandharvakulasaṃbhavā /	na deva-kanyakA na-api ganDarva-kula-saMBavAH /
   tathāpy eṣā tapobhaṅgaṃ vidhātuṃ vedhaso 'py alam // 2.325 //	taTA-api ezA tapaH-BaFgam viDAtum veDasaH api alam // 2.325 //
   [- viśeṣokti: kriyā]	[ viSeza-ukti: kriyA]
   na baddhā bhrukuṭir nāpi sphurito daśanacchadaḥ /	na badDA BrukuwiH na-api sPuritaH daSanacCadaH /
   na ca raktābhavad dṛṣṭir jitaṃ ca dviṣatāṃ balam // 2.326 //	na ca raktA-aBavat dRzwiH jitam ca dvizatAm balam // 2.326 //
   [- viśeṣokti: dravya]	[ viSeza-ukti: dravya]
   na rathā na ca mātaṃgā na hayā na ca pattayaḥ /	na raTAH na ca mAtaMgAH na hayAH na ca pattayaH /
   strīṇām apāṅgadṛṣṭyaiva jīyate jagatāṃ trayam // 2.327 //	strINAm apAFga-dRzwyA-eva jIyate jagatAm trayam // 2.327 //
   [- viśeṣokti: hetu]	[ viSeza-ukti: hetu]
   ekacakro ratho yantā vikalo viṣamā hayāḥ /	ekacakraH raTaH yantA vikalaH vizamAH hayAH /
   ākrāmaty eva tejasvī tathāpy arko nabhastalam // 2.328 //	AkrAmati eva tejasvI taTA-api arkaH naBastalam // 2.328 //
   saiṣā hetuviśeṣoktis tejasvīti viśeṣaṇāt /	sA-ezA hetu-viSeza-uktiH tejasvI-iti viSezaNAt /
   ayaṃ eva kramo 'nyeṣāṃ bhedānām api kalpate // 2.329 //	ayam eva kramaH anyezAm BedAnAm api kalpate // 2.329 //
   [tulyayogitā]	[tulya-yogitA]
   vivakṣitaguṇotkṛṣṭair yat samīkṛtya kasyacit /	vivakzita-guNa-utkRzwEH yat samIkRtya kasyacid /
   kīrtanaṃ stutinindārthaṃ sā matā tulyayogitā // 2.330 //	kIrtanam stuti-nindA-arTam sA matA tulyayogitAH // 2.330 //
   yamaḥ kubero varuṇaḥ sahasrākṣo bhavān api /	yamaH kuberaH varuNaH sahasrAkzaH BavAn api /
   bibhṛty ananyaviṣayāṃ lokapāla iti śrutim // 2.331 //	biBRti ananya-vizayAm lokapAlaH iti Srutim // 2.331 //
   saṃgatāni mṛgākṣīṇāṃ taḍidvilasitāni ca /	saMgatAni mRga-akzINAm taxit-vilasitAni ca /
   kṣaṇadvayaṃ na tiṣṭhanti ghanārabdhāny api svayam // 2.332 //	kzaNa-dvayam na tizWanti Gana-ArabDAni api svayam // 2.332 //
   [virodhacakra]	[viroDa-cakra]
   viruddhānāṃ padārthānāṃ yatra saṃsargadarśanam /	virudDAnAm padArTAnAm yatra saMsarga-darSanam /
   viśeṣadarśanāyaiva sa virodhaḥ smṛto yathā // 2.333 //	viSeza-darSanAya-eva sa viroDaH smRtaH yaTA // 2.333 //
   kūjitaṃ rājahaṃsānāṃ vardhate madamañjulam /	kUjitam rAjahaMsAnAm varDate mada-maQjulam /
   kṣīyate ca mayūrāṇāṃ rutam utkrāntasauṣṭhavam // 2.334 //	kzIyate ca mayUrANAm rutam utkrAnta-sOzWavam // 2.334 //
   prāvṛṣeṇyair jaladharair ambaraṃ durdināyate /	prAvRzeNyEH jalaDarEH ambaram durdinAyate /
   rāgeṇa punar ākrāntaṃ jāyate jagatām manaḥ // 2.335 //	rAgeNa punar AkrAntam jAyate jagatAm manaH // 2.335 //
   tanumadhyaṃ pṛthuśroṇi raktauṣṭham asitekṣaṇam /	tanu-maDyam pRTu-SroNi rakta-ozWam asita-IkzaNam /
   natanābhi vapuḥ strīṇāṃ kaṃ na hanty unnatastanam // 2.336 //	nata-nABi vapuH strINAm kam na hanti unnata-stanam // 2.336 //
   mṛṇālabāhu rambhoru padmotpalamukhekṣaṇam /	mRNAla-bAhu ramBA-Uru padma-utpala-muKa-IkzaNam /
   api te rūpam asmākam tanvi tāpāya kalpate // 2.337 //	api te rUpam asmAkam tanvi tApAya kalpate // 2.337 //
   udyānamārutoddhūtāś cūtacampakareṇavaḥ /	udyAna-mAruta-udDUtAH cUta-campa-kareNavaH /
   udaśrayanti pānthānām aspṛśanto 'pi locane // 2.338 //	udaSrayanti pAnTAnAm aspRSantaH api locane // 2.338 //
   kṛṣṇārjunānuraktāpi dṛṣṭiḥ karṇāvalambinī /	kRzNa-arjuna-anuraktA-api dRzwiH karNa-avalambinI /
   yāti viśvasanīyatvaṃ kasya te kalabhāṣiṇī // 2.339 //	yAti viSvasanIya-tvam kasya te kala-BAziNI // 2.339 //
   ity anekaprakāro 'yam alaṃkāraḥ pratīyate /	iti aneka-prakAraH ayam alaMkAraH pratIyate /
   [aprastutapraśaṃsā]	[a-prastuta-praSaMsA]
   aprastutapraśaṃsā syād aprakānteṣu yā stutiḥ // 2.340 //	aprastuta-praSaMsA syAt aprakAntezu yA stutiH // 2.340 //
