   bhaktivilāsākhyaṃ prathamaṃ stotram	BaktivilAsa-AKyam praTamam stotram
   parisamāptam ivogram idaṃ jagad vigalito 'viralo manaso malaḥ &	parisamAptam iva-ugram idam jagat vigalitaH aviralaH manasaH malaH &
   tad api nāsti bhavatpurārgalakavāṭavighaṭṭanam aṇva pi // UtSst_4.15 //	tat api na-asti Bavat-pura-argalaka-vAwa-viGawwanam aNva pi // UtSst-_4.15 //
   satataphullabhavanmukhapaṅkajodaravilokanalālasacetasaḥ &	satata-Pulla-Bavat-muKa-paFkaja-udara-vilokana-lAlasa-cetasaH &
   kim api tat kuru nātha manāg iva sphurasi yena mamābhimukhasthitiḥ //	kim api tat kuru nATa manAk iva sPurasi yena mama-aBimuKa-sTitiH //
   UtSst_4.16 //	UtSst-_4.16 //
   tvadavibhedamater aparaṃ nu kiṃ sukham ihāsti vibhūtir athāparā &	tvad-aviBeda-mateH aparam nu kim suKam iha-asti viBUtiH aTa-aparA &
   tad iha tāvakadāsajanasya kiṃ kupatham eti manaḥ parihṛtya tām //	tat iha tAvaka-dAsa-janasya kim kupaTam eti manaH parihRtya tAm //
   UtSst_4.17 //	UtSst-_4.17 //
   kṣaṇam apīha na tāvakadāsatāṃ prati bhaveyam ahaṃ kila bhājanam &	kzaNam api-iha na tAvaka-dAsa-tAm prati Baveyam aham kila BAjanam &
   bhavadabhedarasāsavam ādarād avirataṃ rasayeyam ahaṃ na cet // UtSst_4.18	Bavat-aBeda-rasa-Asavam AdarAt aviratam rasayeyam aham na ced // UtSst_4.18
   na kila paśyati satyam ayaṃ janas tava vapur dvayadṛṣṭimalīmasaḥ &	na kila paSyati satyam ayam janaH tava vapuH dvaya-dRzwi-malImasaH &
   tad api sarvavidāśritavatsalaḥ kim idam āraṭitaṃ na śṛṇoṣi me //	tat api sarva-vid-ASrita-vatsalaH kim idam Arawitam na SRNozi me //
   UtSst_4.19 //	UtSst-_4.19 //
   smarasi nātha kadācid apīhitaṃ viṣayasaukhyam athāpi mayārthitam &	smarasi nATa kadAcid api-Ihitam vizaya-sOKyam aTa-api mayA-arTitam &
   satatam eva bhavadvapurīkṣaṇāmṛtamabhīṣṭamalaṃ mama dehi tat // UtSst_4.20	satatam eva Bavat-vapuH-IkzaNa-amRtam-aBIzwa-malam mama dehi tat // UtSst_4.20
   kila yadaiva śivādhvani tāvake kṛtapado 'smi maheśa tavecchayā &	kila yadA-eva Siva-aDvani tAvake kRta-padaH asmi maheSa tava-icCayA &
   śubhaśatānyuditāni tadaiva me kim aparaṃ mṛgaye bhavataḥ prabho //	SuBa-SatAni-uditAni tadA-eva me kim aparam mRgaye BavataH praBo //
   UtSst_4.21 //	UtSst-_4.21 //
   yatra so 'stam ayam eti vivasvāṃś candramaḥ prabhṛtibhiḥ saha sarvaiḥ &	yatra saH astam ayam eti vivasvAn candramaH praBRtiBiH saha sarvEH &
   kāpi sā vijayate śivarātriḥ svaprabhāprasarabhāsvararūpā // UtSst_4.22 //	kA-api sA vijayate SivarAtriH sva-praBA-prasara-BAsvara-rUpAH // UtSst-_4.22 //
   apy upārjitam ahaṃ triṣu lokeṣv adhipatyam amareśvara manye &	api upArjitam aham trizu lokezu aDipatyam amareSvara manye &
   nīrasaṃ tad akhilaṃ bhavadaṅghrisparśanāmṛtarasena vihīnam // UtSst_4.23	nIrasam tat aKilam Bavat-aFGri-sparSana-amRta-rasena vihInam // UtSst_4.23
   bata nātha dṛḍho 'yam ātmabandho bhavadakhyātimayas tvayaiva kḷptaḥ &	bata nATa dRXaH ayam Atma-banDaH Bavat-aKyAti-mayaH tvayA-eva k?ptaH &
   yad ayaṃ prathamānam eva me tvām avadhīrya ślathate na leśato 'pi //	yat ayam praTamAnam eva me tvAm avaDIrya SlaTate na leSataH api //
   UtSst_4.24 //	UtSst-_4.24 //
   mahatām amareśa pūjyamāno 'py aniśaṃ tiṣṭhasi pūjakaikarūpaḥ &	mahatAm amara-ISa pUjyamAnaH api aniSam tizWasi pUjaka-eka-rUpaH &
   bahirantarapīha dṛśyamānaḥ sphurasi draṣṭṛśarīra eva śaśvat // UtSst_4.25	bahis-antar-api-iha dRSyamAnaH sPurasi drazwR-SarIraH eva SaSvat // UtSst_4.25
   svabalanideśanākhyaṃ pañcamaṃ stotram	sva-bala-nideSana-AKyam paQcamam stotram
   tvatpādapadmasamparkamātrasambhogasaṅginam &	tvad-pAda-padma-samparka-mAtra-samBoga-saFginam &
   galepādikayā nātha māṃ svaveśma praveśaya // UtSst_5.1 //	galepa-AdikayA nATa mAm sva-veSma praveSaya // UtSst_5.1 //
   bhavatpādāmbujarajorājirañjitamūrdhajaḥ &	Bavat-pAda-ambuja-rajaH-rAji-raQjita-mUrDajaH &
   apārarabhasārabdhanartanaḥ syām ahaṃ kadā // UtSst_5.2 //	apAra-raBasa-ArabDa-nartanaH syAm aham kadA // UtSst-_5.2 //
   tvad ekanātho bhagavann iyad evārthaye sadā &	tvat eka-nATaH Bagavan iyat eva-arTaye sadA &
   tvadantarvasatir mūko bhaveyaṃ mānyathā budhaḥ // UtSst_5.3 //	tvad-antar-vasatiH mUkaH Baveyam mA-anyaTA buDaH // UtSst_5.3 //
   aho sudhānidhe svāminn aho mṛṣṭa trilocana &	aho suDA-niDe svAmin aho mRzwa trilocana &
   aho svādo virūpakṣety eva nṛtyeyam āraṭan // UtSst_5.4 //	aho svAdaH virUpakza-iti eva nRtyeyam Arawan // UtSst_5.4 //
   tvatpādapadmasaṃsparśaparimīlitalocanaḥ &	tvad-pAda-padma-saMsparSa-parimIlita-locanaH &
   vijṛmbheyabhavadbhaktimadirāmadaghūrṇitaḥ // UtSst_5.5 //	vijRmBeya-Bavat-Bakti-madirA-mada-GUrNitaH // UtSst_5.5 //
   cittabhūbhṛd bhuvi vibho vaseyaṃ kvāpi yatra sā &	citta-BUBRt Buvi viBo vaseyam kvApi yatra sA &
   nirantaratvatpralāpamayī vṛttir mahārasā // UtSst_5.6 //	nirantara-tvad-pralApa-mayI vRttiH mahArasAH // UtSst_5.6 //
   yatra devīsametas tvam āsaudhādā ca gopurāt &	yatra devI-sametaH tvam AsODAdA ca gopurAt &
   bahurūpaḥ sthitas tasmin vāstavyaḥ syām ahaṃ pure // UtSst_5.7 //	bahu-rUpaH sTitaH tasmin vAstavyaH syAm aham pure // UtSst-_5.7 //
   samullasantu bhagavan bhavadbhānumarīcayaḥ &	samullasantu Bagavan Bavat-BAnu-marIcayaH &
   vikasatveṣa yāvan me hṛtpadmaḥ pūjanāya te // UtSst_5.8 //	vikasatu-eza yAvat me hRd-padmaH pUjanAya te // UtSst_5.8 //
   prasīda bhagavan yena tvatpade patitaṃ sadā &	prasIda Bagavan yena tvad-pade patitam sadA &
   mano me tattadāsvādya kṣīved iva galed iva // UtSst_5.9 //	manaH me tat-tat-AsvAdya kzIvet iva galet iva // UtSst_5.9 //
   praharṣād vātha śokād vā yadi kuṅyād dhaṭād api &	praharzAt vA-aTa SokAt vA yadi kuFyAt DawAt api &
   bāhyād athāntarād bhāvāt prakaṭībhava me prabho // UtSst_5.10 //	bAhyAt aTa-antarAt BAvAt prakawIBava me praBo // UtSst-_5.10 //
   bahir apy antar api tat syandamānaṃ sadāstu me &	bahis api antar api tat syandamAnam sadA-astu me &
   bhavatpādāmbujasparśāmṛtam atyantaśītalam // UtSst_5.11 //	Bavat-pAda-ambuja-sparSa-amRtam atyanta-SItalam // UtSst-_5.11 //
   tvatpādasaṃsparśasudhāsaraso 'ntarnimajjanam &	tvad-pAda-saMsparSa-suDA-sarasaH antar-nimajjanam &
   ko 'py eṣa sarvasambhogalaṅghī bhogo 'stu me sadā // UtSst_5.12 //	kaH api eza sarva-samBoga-laFGI BogaH astu me sadA // UtSst_5.12 //
   niveditam upādatsva rāgādi bhagavan mayā &	niveditam upAdatsva rAga-Adi Bagavat mayA &
   ādāya cāmṛtīkṛtya bhuṅkṣva bhaktajanaiḥ samam // UtSst_5.13 //	AdAya ca-amRtIkRtya BuFkzva Bakta-janEH samam // UtSst-_5.13 //
   aśeṣabhuvanāhāranityatṛptaḥ sukhāsanam &	aSeza-Buvana-AhAra-nitya-tRptaH suKa-Asanam &
   svāmin gṛhāṇa dāseṣu prasādālokanakṣaṇam // UtSst_5.14 //	svAmin gRhANa dAsezu prasAda-Aloka-nakzaNam // UtSst-_5.14 //
   antarbhakticamatkāracarvaṇāmīlitekṣaṇaḥ &	antar-Bakti-camatkAra-carvaNa-AmIlita-IkzaNaH &
   namo mahyaṃ śivāyeti pūjayam syāṃ tṛṇāny api // UtSst_5.15 //	namaH mahyam SivAya-iti pUjayam syAm tRNAni api // UtSst-_5.15 //
   api labdhabhavadbhāvaḥ svātmollāsamayaṃ jagat &	api labDa-Bavat-BAvaH sva-Atma-ullAsa-mayam jagat &
   paśyan bhaktirasābhogair bhaveyam aviyojitaḥ // UtSst_5.16 //	paSyan Bakti-rasa-ABogEH Baveyam aviyojitaH // UtSst_5.16 //
   ākāmkṣaṇīyam aparaṃ yena nātha na vidyate &	AkAmkzaNIyam aparam yena nATa na vidyate &
   tava tenādvitīyasya yuktaṃ yat paripūrṇatā // UtSst_5.17 //	tava tena-advitIyasya yuktam yat paripUrNa-tA // UtSst_5.17 //
   hasyate nṛtyate yatra rāgadveṣādi bhujyate &	hasyate nRtyate yatra rAga-dveza-Adi Bujyate &
   pīyate bhaktipīyūṣarasas tat prāpnuyāṃ padam // UtSst_5.18 //	pIyate Bakti-pIyUza-rasaH tat prApnuyAm padam // UtSst-_5.18 //
   tat tad apūrvāmodatvaccintākusumavāsanā dṛḍhatām &	tat tat apUrva-Amoda-tvad-cintA-kusuma-vAsanA dRXa-tAm &
   etu mama manasi yāvann aśyatu durvāsanāgandhaḥ // UtSst_5.19 //	etu mama manasi yAvan aSyatu durvAsana-AganDaH // UtSst_5.19 //
   kva nu rāgādiṣu rāgaḥ kva ca haracaraṇāmbujeṣu rāgitvam &	kva nu rAga-Adizu rAgaH kva ca hara-caraNa-ambujezu rAgi-tvam &
   itthaṃ virodharasikaṃ bodhaya hitam amara me hṛdayam // UtSst_5.20 //	itTam viroDa-rasikam boDaya hitam amara me hRdayam // UtSst-_5.20 //
   vicaran yogadaśāsv api viṣayavyāvṛttivartamāno 'pi &	vicaran yoga-daSAsu api vizaya-vyAvRtti-vartamAnaH api &
   tvaccintāmadirāmadataralīkṛtahṛdaya eva syām // UtSst_5.21 //	tvad-cintA-madirA-mada-taralIkRta-hRdayaH eva syAm // UtSst_5.21 //
   vāci manomatiṣu tathā śarīraceṣṭāsu karaṇaracitāsu &	vAci manaH-matizu taTA SarIra-cezwAsu karaNa-racitAsu &
   sarvatra sarvadā me puraḥsaro bhavatu bhaktirasaḥ // UtSst_5.22 //	sarvatra sarvadA me puraHsaraH Bavatu Bakti-rasaH // UtSst_5.22 //
   śivaśivaśiveti nāmani tava niravadhi nātha japyamāne 'smin &	Siva-Siva-Siva-iti nAmani tava niravaDi nATa japyamAne asmin &
   āsvādayan bhaveyaṃ kam api mahārasam apunaruktam // UtSst_5.23 //	AsvAdayan Baveyam kam api mahArasam apunaruktam // UtSst_5.23 //
   sphuradanantacidātmakaviṣṭape parinipītasamastajaḍādhvani &	sPurat-ananta-cit-Atmaka-vizwape parinipIta-samasta-jaxa-aDvani &
   agaṇitāparacinmayagaṇḍike pravicareyam ahaṃ bhavato 'rcitā // UtSst_5.24	agaNita-apara-cit-maya-gaNxike pravicareyam aham BavataH arcitAH // UtSst_5.24
   svavapuṣi sphuṭabhāsini śāśvate sthitikṛte na kim apy upayujyate &	sva-vapuzi sPuwa-BAsini SASvate sTiti-kRte na kim api upayujyate &
   iti matiḥ sudṛḍhā bhavatāt paraṃ mama bhavaccaraṇābjarajaḥ śuceḥ //	iti matiH su-dRXA BavatAt param mama Bavat-caraNa-abja-rajaH SuceH //
   UtSst_5.25 //	UtSst-_5.25 //
   kim api nātha kadācana cetasi sphurati tad bhavadaṃghritalaspṛśām &	kim api nATa kadAcana cetasi sPurati tat Bavat-aMGri-tala-spRSAm &
   galati yatra samastamidaṃ sudhāsarasi viśvam idaṃ diśa me sadā //	galati yatra samastam-idam suDA-sarasi viSvam idam diSa me sadA //
   UtSst_5.26 //	UtSst-_5.26 //
   adhvavisphuraṇākhyaṃ sastham stotram	aDva-visPuraNa-AKyam sa-sTam stotram
   kṣaṇamātram apīśāna viyuktasya tvayā mama &	kzaNa-mAtram api-ISAna viyuktasya tvayA mama &
   nibiḍaṃ tapyamānasya sadā bhūyā dṛśaḥ padam // UtSst_6.1 //	nibixam tapyamAnasya sadA BUyAH dRSaH padam // UtSst-_6.1 //
   viyogasāre saṃsāre priyeṇa prabhuṇā tvayā &	viyoga-sAre saMsAre priyeNa praBuNA tvayA &
   aviyuktaḥ sadaiva syāṃ jagatāpi viyojitaḥ // UtSst_6.2 //	aviyuktaH sadA-eva syAm jagatA-api viyojitaH // UtSst_6.2 //
   kāyavāṅmanasair yatra yāmi sarvaṃ tvam eva tat &	kAya-vAc-manasEH yatra yAmi sarvam tvam eva tat &
   ity eṣa paramārtho 'pi paripūrṇo 'stu me sadā // UtSst_6.3 //	iti eza parama-arTaH api paripUrNaH astu me sadA // UtSst_6.3 //
   nirvikalpo mahānandapūrṇo yadvad bhavāṃs tathā &	nirvikalpaH mahA-Ananda-pUrNaH yadvat BavAn taTA &
   bhavatstutikarī bhūyād anurūpaiva vāṅ mama // UtSst_6.4 //	Bavat-stuti-karI BUyAt anurUpA-eva vAc mama // UtSst_6.4 //
   bhavadāveśataḥ paśyan bhāvaṃ bhāvaṃ bhavanmayam &	Bavat-AveSataH paSyan BAvam BAvam Bavat-mayam &
   vicareyaṃ nirākāṅkṣaḥ praharṣaparipūritaḥ // UtSst_6.5 //	vicareyam nirAkAFkzaH praharza-paripUritaH // UtSst_6.5 //
   bhagavanbhavataḥ pūrṇam paśyeyam akhilaṃ jagat &	Bagavan-BavataH pUrNam paSyeyam aKilam jagat &
   tāvataivāsmi santuṣṭas tato na parikhidyase // UtSst_6.6 //	tAvatA-eva-asmi santuzwaH tatas na pariKidyase // UtSst_6.6 //
   vilīyamānās tvayy eva vyomni meghalavā iva &	vilIyamAnAH tvayi eva vyomni meGa-lavAH iva &
   bhāvā vibhāntu me śaśvat kramanairmalyagāminaḥ // UtSst_6.7 //	BAvAH viBAntu me SaSvat kramanErmalya-gAminaH // UtSst_6.7 //
   svaprabhāprasaradhvastāparyantadhvāntasantatiḥ &	sva-praBA-prasara-Dvasta-aparyanta-DvAnta-santatiH &
   santataṃ bhātu me ko 'pi bhavamadhyād bhavanmaṇiḥ // UtSst_6.8 //	santatam BAtu me kaH api Bava-maDyAt Bavat-maNiH // UtSst_6.8 //
   kāṃ bhūmikāṃ nādhiśeṣe kiṃ tat syād yan na te vapuḥ &	kAm BUmikAm na-aDiSeze kim tat syAt yat na te vapuH &
   śrāntas tenāprayāsena sarvatas tvām avāpnuyām // UtSst_6.9 //	SrAntaH tena-aprayAsena sarvatas tvAm avApnuyAm // UtSst_6.9 //
   bhavadaṅgapariṣvaṅgasambhogaḥ svecchayaiva me &	Bavat-aFga-parizvaFga-samBogaH sva-icCayA-eva me &
   ghaṭatām iyati prāpte kiṃ nātha na jitaṃ mayā // UtSst_6.10 //	Gawa-tAm iyati prApte kim nATa na jitam mayA // UtSst_6.10 //
   prakaṭībhava nānyābhiḥ prārthanābhiḥ kadarthanāḥ &	prakawIBava na-anyABiH prArTanABiH kadarTanAH &
   kurmas te nātha tāmyantas tvām eva mṛgayāmahe // UtSst_6.11 //	kurmaH te nATa tAmyantaH tvAm eva mRgayAmahe // UtSst_6.11 //
   vidhuravijayanāmadheyaṃ saptamaṃ stotram	viDura-vijaya-nAmaDeyam saptamam stotram
   tvayy ānandasarasvati samarasatām etya nātha mama cetaḥ &	tvayi Ananda-sarasvati samarasa-tAm etya nATa mama cetaH &
   pariharatu sakṛd iyantaṃ bhedādhīnaṃ mahānartham // UtSst_7.1 //	pariharatu sakRt iyantam Beda-aDInam mahA-anarTam // UtSst_7.1 //
   etan mama na tv idam iti rāgadveṣādinigaḍadṛḍhamūle &	etat mama na tu idam iti rAga-dveza-Adi-nigaxa-dRXa-mUle &
   nātha bhavanmayataikyapratyayaparaśuḥ patatvantaḥ // UtSst_7.2 //	nATa Bavat-maya-tEkya-pratyaya-paraSuH patatu-antaH // UtSst_7.2 //
   galatu vikalpakalaṅkāvalī samullasatu hṛdi nirargalatā &	galatu vikalpa-kalaFka-AvalI samullasatu hRdi nirargalatA &
   bhagavann ānandarasaplutāstu me cinmayī mūrtiḥ // UtSst_7.3 //	Bagavan Ananda-rasa-plutAH-tu me cit-mayI mUrtiH // UtSst-_7.3 //
   rāgādimayabhavāṇḍakaluṭhitaṃ tvadbhaktibhāvanāmbikā tais taiḥ &	rAga-Adi-maya-Bava-aNxa-kaluWitam tvad-Bakti-BAvanA-ambikA tEH tEH &
   āpyāyayatu rasair māṃ pravṛddhapakṣo yathā bhavāmi khagaḥ // UtSst_7.4 //	ApyAyayatu rasEH mAm pravRdDa-pakzaH yaTA BavAmi KagaH // UtSst_7.4 //
   tvaccaraṇabhāvanāmṛtarasasārāsvādanaipuṇaṃ labhatām &	tvad-caraNa-BAvanA-amRta-rasa-sAra-AsvAda-nEpuNam laBatAm &
   cittam idaṃ niḥśeṣitaviṣayaviṣāsaṅgavāsanāvadhi me // UtSst_7.5 //	cittam idam niHSezita-vizaya-viza-AsaFga-vAsanA-avaDi me // UtSst_7.5 //
   tvadbhaktitapanadīdhitisaṃsparśavaśān mamaiṣa dūrataram &	tvad-Bakti-tapanadI-Diti-saMsparSa-vaSAt mama-eza dUrataram &
   cetomaṇir vimūñcaturāgādikataptavahnikaṇān // UtSst_7.6 //	cetomaNiH vimUQcatu-rAga-Adika-tapta-vahni-kaNAn // UtSst_7.6 //
   tasmin pade bhavantaṃ satatam upaślokayeyam atyuccaiḥ &	tasmin pade Bavantam satatam upaSlokayeyam ati-uccEs &
   hariharyaśvaviriñcā api yatra bahiḥ pratīkṣante // UtSst_7.7 //	hari-haryaSva-viriQcAH api yatra bahis pratIkzante // UtSst_7.7 //
   bhaktimadajanitavibhramavaśena paśyeyam avikalaṃ karaṇaiḥ &	Bakti-mada-janita-viBrama-vaSena paSyeyam avikalam karaNEH &
   śivamayam akhilaṃ lokaṃ kriyāś ca pūjāmayī sakalāḥ // UtSst_7.8 //	Siva-mayam aKilam lokam kriyAH ca pUjA-mayI sakalAH // UtSst_7.8 //
   māmakamanogṛhītatvadbhaktikulāṅganāṇimādisutān &	mAmaka-manaH-gRhIta-tvad-Bakti-kula-aFganA-aNima-Adi-sutAn &
   sūtvā subaddhamūlā mameti buddhiṃ dṛḍhīkurutām // UtSst_7.9 //	sUtvA su-badDa-mUlA mama-iti budDim dRXIkurutAm // UtSst_7.9 //
   alaukikodbalanākhyam aṣṭamaṃ stotram	alOkika-udbalana-AKyam azwamam stotram
   yaḥ prasādalava īśvarasthito yā ca bhaktir iva mām upeyuṣī &	yaH prasAda-lavaH ISvara-sTitaH yA ca BaktiH iva mAm upeyuzI &
   tau parasparasamanvitau kadā tādṛśe vapuṣi rūḍhim eṣyataḥ // UtSst_8.1 //	tO paraspara-samanvitO kadA tAdRSe vapuzi rUXim ezyataH // UtSst_8.1 //
   tvatprabhutvaparicarvaṇajanmā ko 'py udetu paritoṣaraso 'ntaḥ &	tvad-praBu-tva-paricarvaNa-janmA kaH api udetu paritoza-rasaH antar &
   sarvakālam iha me param astu jñānayogamahimādi vidūre // UtSst_8.2 //	sarvakAlam iha me param astu jQAna-yoga-mahima-Adi vidUre // UtSst-_8.2 //
   lokavadbhavatu me viṣayeṣu sphīta eva bhagavanparitarṣaḥ &	loka-vat-Bavatu me vizayezu sPItaH eva Bagavan-paritarzaH &
   kevalaṃ tava śarīratayaitān+ lokayeyam aham astavikalpaḥ // UtSst_8.3 //	kevalam tava SarIra-tayA-etAn+ lokayeyam aham asta-vikalpaH // UtSst_8.3 //
   dehabhūmiṣu tathā manasi tvaṃ prāṇavartmani ca bhedam upete &	deha-BUmizu taTA manasi tvam prANa-vartmani ca Bedam upete &
   saṃvidaḥ pathiṣu teṣu ca tena svātmanā mama bhava sphuṭarūpaḥ // UtSst_8.4	saMvidaH paTizu tezu ca tena sva-AtmanA mama Bava sPuwa-rUpaH // UtSst_8.4
   nijanijeṣu padeṣu patantv imāḥ karaṇavṛttaya ullasitā mama &	nija-nijezu padezu patantu imAH karaNa-vRttayaH ullasitAH mama &
   kṣaṇamapīśa manāg api maiva bhūt tvadavibhedarasakṣatisāhasam // UtSst_8.5	kzaNam-api-ISa manAk api mA-eva BUt tvad-aviBeda-rasa-kzati-sAhasam // UtSst_8.5
   laghumasṛṇasitācchaśītalaṃ bhavadāveśavaśena bhāvayan &	laGu-masRNa-sitAt-SaSItalam Bavat-AveSa-vaSena BAvayan &
   vapur akhilapadārthapaddhater vyavahārān ativartayeya tān // UtSst_8.6 //	vapuH aKila-padArTa-padhateH vyavahArAn ativartayeya tAn // UtSst_8.6 //
   vikasatu svavapur bhavadātmakaṃ samupayāntu jaganti mamāṅgatām &	vikasatu sva-vapuH Bavat-Atmakam samupayAntu jaganti mama-aFga-tAm &
   vrajatu sarvam idaṃ dvayavalgitaṃ smṛtipathopagame 'py anupākhyatām //	vrajatu sarvam idam dvaya-valgitam smRti-paTa-upagame api anupAKyatAm //
   UtSst_8.7 //	UtSst-_8.7 //
   samudiyād api tādṛśatāvakānana viloka parāmṛtasamplavaḥ &	samudiyAt api tAdRSatA-avakAnana viloka para-amRta-samplavaH &
   mama ghaṭeta yathā bhavadadvayāprathanaghoradarīparipūraṇam // UtSst_8.8	mama Gaweta yaTA Bavat-advaya-apraTana-Gora-darI-paripUraNam // UtSst_8.8
   api kadācana tāvakasaṅgamāmṛtakaṇācchuraṇena tanīyasā &	api kadAcana tAvaka-saFgama-amRta-kaNAt-CuraNena tanIyasA &
   sakalalokasukheṣu parāṅmukho na bhavitāsmy ubhayacyuta eva kim //	sakala-loka-suKezu parAFmuKaH na BavitAsmi uBaya-cyutaH eva kim //
   UtSst_8.9 //	UtSst-_8.9 //
   satatam eva bhavaccaraṇāmbujākaracarasya hi haṃsavarasya me &	satatam eva Bavat-caraNa-ambuja-Akara-carasya hi haMsa-varasya me &
   upari mūlatalād api cāntarād upanamatv aja bhaktimṛṇālikā // UtSst_8.10 //	upari mUla-talAt api ca-antarAt upanamatu aja Bakti-mRNAlikA // UtSst_8.10 //
   upayāntu vibho samastavastūny api cintāviṣayaṃ dṛśaḥ padaṃ ca &	upayAntu viBo samasta-vastUni api cintA-vizayam dRSaH padam ca &
   mama darśanacintanaprakāśāmṛtasārāṇi paraṃ parisphurantu // UtSst_8.11 //	mama darSana-cintana-prakASa-amRta-sArANi param parisPurantu // UtSst-_8.11 //
   parameśvara teṣu teṣu kṛcchreṣv api nāmopanamatsv ahaṃ bhaveyam &	parameSvara tezu tezu kRcCrezu api nAma-upanamatsu aham Baveyam &
   na paraṃ gatabhīs tvadaṅgasaṅgādupajātādhikasammado 'pi yāvat //	na param gata-BIH tvad-aFga-saFgAt-upajAta-aDika-sammadaH api yAvat //
   UtSst_8.12 //	UtSst-_8.12 //
   bhavadātmani viśvam umbhitaṃ yad bhavataivāpi bahiḥ prakāśyate tat &	Bavat-Atmani viSvam umBitam yat BavatA-eva-api bahis prakASyate tat &
   iti yad dṛḍhaniścayopajuṣṭaṃ tad idāniṃ sphuṭam eva bhāsatām // UtSst_8.13	iti yat dRXa-niScaya-upajuzwam tat idAnim sPuwam eva BAsatAm // UtSst_8.13
   svātantryavijayākhyaṃ navamaṃ stotram	svAtantrya-vijaya-AKyam navamam stotram
   kadā navarasārdrārdrasambhogāsvādanotsukam &	kadA navarasa-Ardra-Ardra-samBoga-AsvAdana-utsukam &
   pravarteta vihāyānyan mama tvatsparśane manaḥ // UtSst_9.1 //	pravarteta vihAya-an-yat mama tvad-sparSane manaH // UtSst_9.1 //
   tvadekaraktas tvatpādapūjāmātramahādhanaḥ &	tvad-eka-raktaH tvad-pAda-pUjA-mAtra-mahADanaH &
   kadā sākṣātkariṣyāmi bhavantam ayam utsukaḥ // UtSst_9.2 //	kadA sAkzAtkarizyAmi Bavantam ayam utsukaH // UtSst-_9.2 //
   gāḍhānurāgavaśato nirapekṣībhūtamānaso 'smi kadā &	gAXa-anurAga-va-SataH nirapekzIBUta-mAnasaH asmi kadA &
   paṭapaṭiti vighaṭitākhilamahārgalas tvām upaiṣyāmi // UtSst_9.3 //	pawapawiti viGawita-aKila-mahA-argalaH tvAm upEzyAmi // UtSst_9.3 //
   svasaṃvitsārahṛdayādhiṣṭhānāḥ sarvadevatāḥ &	sva-saMvid-sAra-hRdaya-aDizWAnAH sarva-devatAH &
   kadā nātha vaśīkuryāṃ bhavadbhaktiprabhāvataḥ // UtSst_9.4 //	kadA nATa vaSIkuryAm Bavat-Bakti-praBAvataH // UtSst_9.4 //
   kadā me syād vibho bhūri bhaktyānandarasotsavaḥ &	kadA me syAt viBo BUri BaktyAnanda-rasa-utsavaH &
   yadālokasukhānandī pṛthaṅ nāmāpi lapsyate // UtSst_9.5 //	yadAloka-suKa-AnandI pRTak nAma-api lapsyate // UtSst_9.5 //
   īśvaram abhayam udāraṃ pūrṇam akāraṇam apahnutātmānaṃ &	ISvaram aBayam udAram pUrNam akAraNam apahnuta-AtmAnam &
   sahasābhijñāya kadā svāmijanaṃ lajjayiṣyāmi // UtSst_9.6 //	sahasA-aBijQAya kadA svAmi-janam lajjayizyAmi // UtSst_9.6 //
   kadā kām api tāṃ nātha tava vallabhatām iyām &	kadA kAm api tAm nATa tava vallaBa-tAm iyAm &
   yayā māṃ prati na kvāpi yuktaṃ te syāt palāyitum // UtSst_9.7 //	yayA mAm prati na kvApi yuktam te syAt palAyitum // UtSst-_9.7 //
   tattvato 'śeṣajantūnāṃ bhavatpūjāmayātmanām &	tattvataH aSeza-jantUnAm Bavat-pUjA-maya-AtmanAm &
   dṛṣṭyānumoditarasāplāvitaḥ syāṃ kadā vibho // UtSst_9.8 //	dRzwyA-anumodita-rasa-AplAvitaH syAm kadA viBo // UtSst-_9.8 //
   jñānasya paramā bhūmir yogasya paramā daśā &	jQAnasya paramA BUmiH yogasya paramA daSA &
   tvadbhaktir yā vibho karhi pūrṇa me syāt tadarthitā // UtSst_9.9 //	tvad-BaktiH yA viBo karhi pUrNa me syAt tad-arTitAH // UtSst_9.9 //
   sahasaivasādya kadā gāḍham avaṣṭabhya harṣavivaśo 'ham &	sahasA-eva-sAdya kadA gAXam avazwaBya harza-vivaSaH aham &
   tvaccaraṇavaranidhānaṃ sarvasya prakaṭayiṣyāmi // UtSst_9.10 //	tvad-caraNa-vara-niDAnam sarvasya prakawayizyAmi // UtSst_9.10 //
   paritaḥ prasaracchuddhatvadālokamayaḥ kadā &	paritas prasarat-SudDa-tvad-Aloka-mayaH kadA &
   syāṃ yatheśa na kiñcin me māyācchāyābilaṃ bhavet // UtSst_9.11 //	syAm yaTA-ISa na kiQcid me mAyA=-CAyA-bilam Bavet // UtSst_9.11 //
   ātmasātkṛtaniḥśeṣamaṇḍalo nirvyapekṣakaḥ &	AtmasAt-kRta-niHSeza-maNxalaH nirvyapekzakaH &
   kadā bhaveyaṃ bhagavaṃs tvadbhaktagaṇanāyakaḥ // UtSst_9.12 //	kadA Baveyam Bagavan tvad-Bakta-gaNa-nAyakaH // UtSst_9.12 //
   nātha lokābhimānānām apūrvaṃ tvaṃ nibandhanam &	nATa loka-aBimAnAnAm apUrvam tvam nibanDanam &
   mahābhimānaḥ karhi syāṃ tvadbhaktirasapūritaḥ // UtSst_9.13 //	mahA-aBimAnaH karhi syAm tvad-Bakti-rasa-pUritaH // UtSst_9.13 //
