   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   pārājiko bhavatyasamvāsyo na labhate bhikṣu hi [sārdhaṃ] saṃvāsaṃ /	pArAjikaH Bavati-asamvAsyaH na laBate Bikzu hi [sArDaM] saMvAsam /
   tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ / dvitīyaṃ pi āyuṣmanto	tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH / dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāstṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH-tRtIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ pariśuddhātrāyuṣmanto yasmāttūṣṇīmeva metaṃ dhārayāmi /	pariSudDAH pariSudDAtrAyuzmantaH yasmAt-tUzNIm-eva metam DArayAmi /
   II. THE THIRTEEN SAMGHATISESA DHARMAS.	II. THE THIRTEEN SAMGHa-aTI-ISESAH DHARMAS.
   ime punarāyuṣmanto trayodaśa saṃghātiśeṣā dharmā anvaddharmāsaṃ sūtre	ime punar-AyuzmantaH trayodaSa saMGAti-SezAH DarmAH anvadDarmAsam sUtre
   prātimokṣe uddheśamāgacchanti /	prAtimokze udDeSam-AgacCanti /
   PrMoSū(Mā)_SA.1. saṃcetanikā ye śukrasya viśṛṣtīye anyatra svapnāntareṃ	PrMoSU(MA)_SA.1. saMcetanikA ye Sukrasya viSRztIye anyatra svapna-antarem
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.2. yo punabhikṣu otīṇṇā vipariṇatena cittena mātṛgrāmeṇa	PrMoSU(MA)_SA.2. yaH puna-Bikzu otINNA vipariNatena cittena mAtR-grAmeNa
   sārddhaṃ kāyasaṃsaṃggaṃ samāpadyeya saṃyathīdaṃ hastagrahaṇaṃ vā	sArdDam kAya-saMsaMggam samApadyeya saMyaTi-idam hasta-grahaNam vA
   veṇīgrahaṇamvā anyatarānyatarasya vā punaraṅgajātasya prāmodya	veNI-grahaNam-vA anyatara-anyatarasya vA punar-aFga-jAtasya prAmodya
   śaparāsopiṇaṃ śādiyeya saṃghātiśeṣo /	Sapara-AsopiNam SAdiyeya saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.3. yo punabhikṣu otīṇṇā viparītena cittena mātṛgrāmaṃ	PrMoSU(MA)_SA.3. yaH puna-Bikzu otINNA viparItena cittena mAtR-grAmam
   dusthūlāya vācāya obhāṣeya pāpikāya maithunāya saṃvītāya saṃyathīdaṃ yuvāṃ	dusTUlAya vAcAya oBAzeya pApikAya mETunAya saMvItAya saMyaTi-idam yuvAm
   yuvāṃ yuvatīti saṃghātiśeṣo /	yuvAm yuvati-iti saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.4. yo punabhikṣu otīṇṇo vipariṇatena cittena mātṛgrāmasya	PrMoSU(MA)_SA.4. yaH puna-Bikzu otINNaH vipariNatena cittena mAtR-grAmasya
   antike ātmikāye paricaryāye vaṇṇaṃ bhāṣeya etadagraṃ bhagini paricaryāṇāṃ	antike AtmikAye paricaryAye vaNNam BAzeyaH etat-agram Bagini paricaryANAm
   yā mādṛśaṃ śramaṇaṃ śīlavantaṃ kalyāṇadharmaṃ brahmacāriṃ etena dharmeṇa	yA mAdRSam SramaNam SIlavantam kalyANa-Darmam brahmacArim etena DarmeNa
   upasthiheya paricareya yaduta maithunopasaṃhiteneti saṃghātiśeṣo //	upasTiheya paricareya yat-uta mETuna-upasaMhitena-iti saMGa-ati-SezaH //
   PrMoSū(Mā)_SA.5. yo punabhikṣuḥ saṃcaritraṃ samāpadyeya striyāye vā	PrMoSU(MA)_SA.5. yaH puna-BikzuH saMcaritram samApadyeya striyAye vA
   puruṣasyopasaṃhareya puruṣyasya vā sataṃ striyāye upasaṃhareya jāyattanena	puruzasya-upasaMhareya puruzyasya vA satam striyAye upasaMhareya jAyattanena
   vā jārttanena vā antamasato bhikṣuṇi kāyāmapi saṃghātiśeṣo //	vA jArttanena vE antamasataH BikzuNi kAyAm-api saMGa-ati-SezaH //
   PrMoSū(Mā)_SA.6. svayaṃ cāyikāya bhikṣuṇā kuṭī kārāpayamāṇena	PrMoSU(MA)_SA.6. svayam cAyikAya BikzuNA kuwI kArApayamANena
   asvābhikātmoddeśikāṃ kuṭīkārāpayitavyā / tatredaṃ pramāṇaṃ dīrdhaso	asvABika-Atma-uddeSikAm kuwIkArApayitavyA / tatra-idam pramANam dIrDasaH-
   dvādaśavitastīyo sugatavitastinā / tiryaka saptāntaraṃ bhikṣu	dvAdaSa-vitastIyaH sugata-vitastinA / tiryaka sapta-antaram Bikzu
   cānonābhinetavyā vastudeśanāya te hi bhikṣu hi vastu deśayitavyaṃ /	ca-anona-aBinetavyA vastu-deSanAya te hi Bikzu hi vastu deSayitavyam /
   anārambhāṃ saparikramaṇaṃ sārambhe ce bhikṣu vastusminnaparikramaṇe svayaṃ	anAramBAm sa-parikramaNam sa-AramBe ce Bikzu vastu-sminna-parikramaNe svayam
   yācikāya kuṭīṃ kārāpeyaṃ / asvābhikāmātmoddeśikaṃ bhikṣustānābhineya	yAcikAya kuwIm kAra-apeyam / asvABikAma-Atma-uddeSikam BikzuH-tAn-ABineya
   vastudesanāya / pramāṇaṃ vā atikrameya adeśite vastusminnaparikramaṇe	vastu-desanAya / pramANam vA atikrameya adeSite vastu-smin=-a-parikramaNe
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.7. mahālakaṃ bhikṣuṇā vihāraṃ [kārā] pathamāṇena	PrMoSU(MA)_SA.7. mahAlakam BikzuNA vihAram [kArA] paTamANena
   sasvāmikakātmoddeśikaṃ bhikṣuvānenābhinetavyā vastudeśanāya te hi bhikṣū	sa-svAmikakAtma-uddeSikam BikzuvAn-ena-aBinetavyA vastu-deSanAya te hi BikzU
   hi vastu deśayitavyaṃ / anārambhaḥ saparikramaṇaṃ sārambhe ce bhikṣūṃ	hi vastu deSayitavyam / anAramBaH sa-parikramaNam sa-AramBe ce BikzUm
   vastusminnaparikramaṇaṃ mahallakaṃ vihāraṃ kārāpeya sasvāmikamātmoddeśikaṃ	vastu-smin=-a-parikramaNam mahallakam vihAram kArApeya sa-svAmikam-Atma-uddeSikam
   bhikṣunvā nābhineya vastudeśanā ya adeśite vastusminnaparikramaṇe	BikzunvA na-aBineya vastu-deSanA yaH adeSite vastu-smin=-a-parikramaNe
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.8. yo punabhikṣū bhikṣusya duṣto doṣātkupito anāttamano	PrMoSU(MA)_SA.8. yaH puna-BikzU Bikzusya duztaH dozAt-kupitaH anAtta-manaH-
   śuddhaṃ bhikṣūmanāpatikamamūlakena pārājikena dharmeṇa anudhvaṃseya appeva	SudDam BikzUmanApati-kamamUlakena pArAjikena DarmeNa anuDvaMseya appeva
   nāma imaṃ bhikṣūṃ brahmacaryāto cyāveyanti / so tadapareṇa samayena	nAma imam BikzUm brahmacarya-atas cyAveyanti / saH tad-apareNa samayena
   samanugrāhiyamāṇo vā asamanugrāhiyamāṇo vā amūlakameva tamadhikaraṇaṃ	samanugrAhiyamANaH vA asamanugrAhiyamANaH vA amUlakam-eva tam-aDikaraNam
   bhavati / amūlakasya ca adhikaraṇasya ca adharmo upādinno bhavati / bhikṣu	Bavati / amUlakasya ca aDikaraNasya ca aDarmaH upAdinnaH Bavati / Bikzu
   ca doṣe pratiṣṭhihati / doṣādavacāmīti saṃghātiśeṣo /	ca doze pratizWihati / dozAt-avacAmi-iti saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.9. yo punabhikṣū bhikṣusya duṣto doṣātkupito anāttamano	PrMoSU(MA)_SA.9. yaH puna-BikzU Bikzusya duztaH dozAt-kupitaH anAtta-manaH-
   anyabhāgīyasyādhikaraṇasya kiñcideva lesāmātrakaṃ dharmamupādāya	anya-BAgIyasya-aDikaraNasya kiQcid-eva lesA-mAtrakam Darmam-upAdAya
   aparājikaṃ bhikṣūṃ parājikeṇa dharmeṇa anudhvaṃseya appeva nāma imaṃ	aparAjikam BikzUm parAjikeNa DarmeNa anuDvaMseya appeva nAma imam
   bhikṣuṃ brahmacaryāto cyāveyanti / so tadapareṇa samayena	Bikzum brahmacarya-atas cyAveyanti / saH tad-apareNa samayena
   samanugrāhiyamāṇo vā asamanugrāhiyamāṇo vā anyabhāgīyameva tamadhikaraṇaṃ	samanugrAhiyamANaH vA asamanugrAhiyamANaH vA anya-BAgIyam-eva tam-aDikaraNam
   bhavati / anyabhāgīyasya cādhikaraṇasya keci [deva] lesāmātrako dharmo	Bavati / anya-BAgIyasya ca-aDikaraNasya keci [deva] lesA-mAtrakaH DarmaH-
   upādinno bhavati / bhikṣu ca doṣe pratiṣṭhahati doṣādavacāmīti	upAdinnaH Bavati / Bikzu ca doze pratizWahati dozAt-avacAmi-iti
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.10. yo punabhikṣuḥ samagrasya saṃghasya bhedāya parākrameya	PrMoSU(MA)_SA.10. yaH puna-BikzuH samagrasya saMGasya BedAya parAkrameya
   bhedanasamvarttanīyamvā'dhikaraṇaṃ / samādāya pragṛhya tiṣṭheya so bhikṣu	Bedana-samvarttanIyam-vA-aDikaraNam / samAdAya pragRhya tizWeya saH Bikzu
   bhikṣuhi evamasya vacanīyo mā āyuṣman samagrasya saṃghasya bhedāya	Bikzuhi evam-asya vacanIyaH mA Ayuzman samagrasya saMGasya BedAya
   parākramehi / bhedana samvarttanīyamvā adhikaraṇaṃ samādāya pragṛhya	parAkrama-ihi / Bedana samvarttanIyam-vA aDikaraNam samAdAya pragRhya
   tiṣṭhāhi / sametta āyuṣmānsārddhaṃ saṃghena samagrohi saṃgho sahito	tizWAhi / samettaH AyuzmAn-sArdDam saMGena samagrohi saMGaH sahitaH-
   sammodamāno avivadamāno ekuddeśo kṣīrodakī bhūto śāstuḥ śāsanaṃ dīpayamāno	sammodamAnaH avivadamAnaH ekuddeSaH kzIrodakI BUtaH SAstuH SAsanam dIpayamAnaH-
   sukhaṃ ca phāsuñca viharati / evaṃ ca sa bhikṣū bhikṣū hi vucyamāno taṃ	suKam ca PAsuQca viharati / evam ca sa BikzU BikzuH hi vucyamAnaH tam
   vastuṃ pratinissareya ityetaṃ kuśalaṃ / so ca pratinissareya so bhikṣū	vastum pratinissareyaH iti-etam kuSalam / saH ca pratinissareya saH BikzU
   bhikṣū hi yāvantṛtīyakaṃ samanugrāhitavyo samanubhāṣitavyo tasya vastusya	BikzU hi yAvantRtIyakam samanugrAhitavyaH samanuBAzitavyaH tasya vastusya
   pratinissaggāya yāvantṛtīyakaṃ samanugrāhiyamāṇo vā samanubhāṣiyamāṇo vā /	pratinissak-gAya yAvantRtIyakam samanugrAhiyamANaH vA samanuBAziyamANaH vA /
   taṃ vastuṃ pratinissareya ityetaṃ kuśalaṃ no ca pratinissareya tameva	tam vastum pratinissareyaH iti-etam kuSalam no ca pratinissareya tam-eva
   vastusamādāya pragṛhya tiṣṭheya saṃghātiśeṣo /	vastu-samAdAya pragRhya tizWeya saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.11. tasya kho punabhikṣusya bhikṣusahāyakā bhonti / eko vā	PrMoSU(MA)_SA.11. tasya KaH puna-Bikzusya Bikzu-sahAyakAH Bonti / ekaH vA
   dvau vā trayo vā sambahulā vā vagavādakā anuvattakāḥ samanuṣyāḥ	dvO vA trayaH vA sambahulAH vA vagavAdakAH anuvattakAH sa-manuzyAH
   saṃghabhedāya te bhikṣū tānbhikṣūnevaṃ vadeyya mā āyuṣmanto etaṃ bhikṣuṃ	saMGa-BedAya te BikzU tAn-BikzUn-evam vadeyya mA AyuzmantaH etam Bikzum
   kiñcidvadatha / kalyāṇaṃ vā pāpakamvā / dharmmavādī caiṣo bhikṣū	kiQcidvat-aTa / kalyANam vA pApakam-vA / Darmma-vAdI ca-ezaH BikzU
   vinayavādī caiṣo bhikṣū asmākaṃ caiṣo bhikṣūcchandañca rūciñca samādāya	vinaya-vAdI ca-ezaH BikzU asmAkam ca-ezaH Bikzu-ucCandaQca rUciQca samAdAya
   pragṛhya vyavaharati / ya caitasya bhikṣūsya kṣamate ca rocate ca	pragRhya vyavaharati / yaH ca-etasya BikzUsya kzamate ca rocate ca
   asmākamapi taṃ kṣamate ca rocate ca jānan caiṣo bhikṣu bhāṣate no ajānan /	asmAkam-api tam kzamate ca rocate ca jAnan ca-ezaH Bikzu BAzate naH ajAnan /
   te bhikṣū bhikṣū hi evamasya vacanīyā māyuṣmanto evaṃ vadatha na eṣo	te BikzU BikzuH hi evam-asya vacanIyAH mAyuzmantaH evam vat-aTa naH ezaH-
   bhikṣū dharmavādī na eṣo bhikṣū vinayavādī adharmavādī caiṣo bhikṣū	BikzU Darma-vAdI na ezaH BikzU vinaya-vAdI aDarma-vAdI ca-ezaH BikzU
   avinayavādī caiṣo bhikṣū ajānan caiṣo bhikṣū bhāṣate no jānan / mā	avinaya-vAdI ca-ezaH BikzU ajAnan ca-ezaH BikzU BAzate naH jAnan / mA
   āyuṣmanto saṃghabhedaṃ rocenta saṃghasāmagrīmevāyuṣmanto rocanta / samenta	AyuzmantaH saMGa-Bedam rocenta saMGa-sAmagrIm-eva-AyuzmantaH rocanta / samenta
   āyuṣmanto sārdhaṃ saṃghena samagro hi saṃgho sahito sammodamāno	AyuzmantaH sArDam saMGena samagraH hi saMGaH sahitaH sammodamAnaH-
   avivadamāno ekuddeśo kṣīrodakī bhūto śāstuḥ śāsanaṃ dīpayamāno sukhaṃ ca	avivadamAnaH ekuddeSaH kzIrodakI BUtaH SAstuH SAsanam dIpayamAnaH suKam ca
   phāsuṃ ca viharati / evañca te bhikṣu bhikṣuhi vucyamānāstamvastuṃ	PAsum ca viharati / evaQca te Bikzu Bikzuhi vucyamAnAH-tamvastum
   pratinissarea ityetaṃ kuśalaṃ no ca pratinissarea te bhikṣū bhikṣū hi	pratinissarea iti-etam kuSalam no ca pratinissarea te BikzU BikzuH hi
   yāvantṛtīyakaṃ samanugrāhitavyāḥ samanubhāṣitavyāḥ / tasya vastusya	yAvantRtIyakam samanugrAhitavyAH samanuBAzitavyAH / tasya vastusya
   pratinissaggāya yāvantṛtīyakaṃ samanugrāhiyamāṇā vā samanubhāṣiyamāṇā vā	pratinissak-gAya yAvantRtIyakam samanugrAhiyamANA vA samanuBAziyamANA vA
   tamvastuṃ pratinissarea itaṃ kuśalaṃ no ca pratinissareṃsu tameva ca	tam-vastum pratinissarea itam kuSalam no ca pratinissareMsu tam-eva ca
   vastuṃ samādāya pragṛhya tiṣṭheya saṃghātiśeṣo /	vastum samAdAya pragRhya tizWeya saMGa-ati-SezaH /
   PrMoSū(Mā)_SA.12. bhikṣuḥ kho punadūrvvacakajātīyo bhoti so	PrMoSU(MA)_SA.12. BikzuH KaH punadUH-u-vacaka-jAtIyaH Boti saH-
   uddeśaparyāpanne hi śikṣāpade hi bhikṣu hi śikṣāyāṃ sahadharmeṇa	uddeSa-paryApanne hi SikzA-pade hi Bikzu hi SikzAyAm saha-DarmeNa
   sahavinayena vucya māno ātmānamavacanīyaṃ karoti / so evamāha / mā māṃ	saha-vinayena vucya mAnaH AtmAnam-avacanIyam karoti / saH evam-Aha / mA mAm
   āyuṣmanto kiñcidvadatha kalyāṇaṃ vā pāpakaṃ vā / ahamapyāyuṣmantānāṃ na	AyuzmantaH kiQcid-vat-aTa kalyANam vA pApakam vA / aham-api-AyuzmantAnAm na
   kiñcid pracchomi / kalyāṇaṃ vā pāpakaṃ vā viramanvāyuṣmanto mama vacanāya	kiQcid pracComi / kalyANam vA pApakam vA viramanvAyuzmantaH mama vacanAya
   / so bhikṣū bhikṣū hi evamasya vacanīyo mā āyuṣmannuddeśaparyāpanne hi	/ saH BikzU BikzuH hi evam-asya vacanIyaH mA Ayuzmat-=-uddeSa-paryApanne hi
   śikṣāpade hi bhikṣū hi śikṣāyāṃ sahadharmeṇa saha vinayena vucyamāno	SikzA-pade hi BikzU hi SikzAyAm sahaDarmeNa saha vinayena vucyamAnaH-
   ātmānamavacanīyaṃ karo hi vacanīyam vāyuṣmānātmānaṃ karottu bhikṣu pi	AtmAnam-avacanIyam karaH hi vacanIyam vAyuzmAn-AtmAnam karot-tu Bikzu pi
   āyuṣmantamvakṣanti śikṣāyāṃ sahadharmeṇa sahavina [yena] āyuṣmānapi	Ayuzmantam-vakzanti SikzAyAm sahaDarmeNa sa-havinaH [yena] AyuzmAn-api
   bhikṣūnvadantu śikṣayā sahadharmeṇa sahavinayena / evaṃ samvaddhā kho	BikzUn-vadantu SikzayA sahaDarmeNa saha-vinayena / evam samvadDA Ko
   punastasya bhagavato tathāgatasyārhataḥ samyak sambuddhasya yathā	punar-tasya BagavataH taTAgatasya-arhataH samyak sambudDasya yaTA
   yadidamasya manyasya vacanīyā anyo nyāpatti vyutthāpanīyā / evaṃ ca so	yat-idam-asya manyasya vacanIyAH anyaH nyApatti vyutTApanIyAH / evam ca saH-
   bhikṣū bhikṣū hi vucyamāno taṃ vastuṃ pratinissareya ityetaṃ kuśalaṃ no ca	BikzU BikzuH hi vucyamAnaH tam vastum pratinissareyaH iti-etam kuSalam no ca
   pratinissareya so bhikṣū bhikṣū hi yāvantṛtīyakaṃ samanugrāhitavyo	pratinissareya saH BikzU BikzuH hi yAvantRtIyakam samanugrAhitavyaH-
   samanubhāṣitavyo tasya vastusya pratinissaggāya yāvantṛtīyakaṃ	samanuBAzitavyaH tasya vastusya pratinissak-gAya yAvantRtIyakam
   samanugrāhiyamāṇo vābhivastuṃ pratinissareya ityetaṃ kuśalaṃ no ca	samanugrAhiyamANaH vA-aBivastum pratinissareyaH iti-etam kuSalam no ca
   pratinissareya tameva vastuṃ samādāya pragṛhya tiṣṭheya saṃghātiśeṣo /	pratinissareya tam-eva vastum samAdAya pragRhya tizWeya saMGa-ati-SezaH /
   PrMoSū(Mā)_SA. bhikṣu kho punaranyataraṃ grāmamvā nagaramvā nigamamvā	PrMoSU(MA)_SA. Bikzu KaH punar-anyataram grAmam-vA nagaram-vA nigamamvA
   upaniśrāya viharanti / kuladūṣakāḥ pāpasamācārāsteṣānte pāpakāḥ samācārā	upaniSrAya viharanti / kula-dUzakAH pApa-samAcArAH-teza-ante pApakAH samAcArA
   dṛśyante ca śrūyante ca kulānyapi duṣtāni dṛśyante ca śrūyante ca	dRSyante ca SrUyante ca kulAni-api duztAni dRSyante ca SrUyante ca
   kuladūṣakāśca punarbhavanti / pāpasamācārāḥ te bhikṣū bhikṣū hi evamasya	kula-dUzakAH-ca punar-Bavanti / pApa-samAcArAH te BikzU BikzuH hi evam-asya
   va canīyāḥ / āyuṣmantānāṃ khalu pāpakāḥ samācārāḥ dṛśyante ca śrūyante ca	va canIyAH / AyuzmantAnAm Kalu pApakAH samAcArAH dRSyante ca SrUyante ca
   kulānyapi duṣtāni dṛśyante ca śrūyante ca / kuladūṣakāśca punarāyuṣmantaḥ	kulAni-api duztAni dRSyante ca SrUyante ca / kula-dUzakAH-ca punar-AyuzmantaH
   pāpasamācārāḥ prakramanvāyuṣmanto imasmādāvāsādalamvā iha vāseneti / evaṃ	pApa-samAcArAH prakramanvAyuzmantaH imasmAt-AvAsAt-alam-vA iha vAsena-iti / evam
   ca te bhikṣū bhikṣū hi vucyamānāste bhikṣū tānbhikṣune vadea cchandagāmī	ca te BikzU BikzuH hi vucyamAnAH-te BikzU tAn-Bikzune vadea cCanda-gAmI
   cāyuṣmānto saṃgho doṣagāmī cāyuṣmanto saṃgho mohagāmī cāyuṣmanto saṃgho	ca-AyuzmAntaH saMGaH doza-gAmI ca-AyuzmantaH saMGaH moha-gAmI ca-AyuzmantaH saMGaH-
   bhayagāmī cāyuṣmanto saṃgho saṃgho ca tāhi tādṛśikāhi āpattīhi / ekatyān	Baya-gAmI ca-AyuzmantaH saMGaH saMGaH ca tAhi tAdRSikA-hi ApattI-hi / ekatyAn
   bhikṣūn pravrājeti ekatyānbhikṣunna pravrājeti te bhikṣū bhikṣū hi	BikzUn pravrAja-iti ekatyAn-Bikzut-na pravrAja-iti te BikzU BikzuH hi
   evaṃmasya vacanīyāḥ / mā āyuṣmanto evaṃ vada na ca bhikṣū na saṃgho	evaMmasya vacanIyAH / mA AyuzmantaH evam vada na ca BikzU na saMGaH-
   cchandagāmī / na saṃgho doṣagāmī na saṃgho mohagāmī / na saṃgho bhayagāmī	cCanda-gAmI / na saMGaH doza-gAmI na saMGaH moha-gAmI / na saMGaH Baya-gAmI
   / na ca saṃgho tāhi tādṛśikāhi āpattīhi / ekatyānbhikṣūn pravrājeti	/ na ca saMGaH tAhi tAdRSikA-hi ApattI-hi / ekatyAn-BikzUn pravrAja-iti
   ekatyānbhikṣūnna pravrājeti / āyuṣmantānāmeva khalamāpakaḥ samācārā	ekatyAn-BikzUn-na pravrAja-iti / AyuzmantAnAm-eva Kalam-ApakaH samAcArA
   dṛśyante ca śrūyante ca kulānyapi duṣtāni dṛśyante ca śrūyante ca	dRSyante ca SrUyante ca kulAni-api duztAni dRSyante ca SrUyante ca
   kuladūṣakāśca punarāyuṣmantaḥ grāmasamācārāḥ prakramanvāyuṣmanto	kula-dUzakAH-ca punar-AyuzmantaH grAma-samAcArAH prakramanu-AyuzmantaH-
   imasmādāvāsādalamvā iha vāseneti evaṃ ca bhikṣū bhikṣū hi	imasmAt-AvAsAt-alam-vA iha vAsena-iti evam ca BikzU BikzuH hi
   vucyamānābhivastupratinissarea ityetaṃ kuśalaṃ no ca pratinissarea te	vucyamAna-aBivastu-pratinissarea iti-etam kuSalam no ca pratinissarea te
   bhikṣū bhikṣū hi yāvantṛtīyakaṃ samanugrāhitavyā samanubhāṣitavyāstasya	BikzU BikzU hi yAvantRtIyakam samanugrAhitavyA samanuBAzitavyAH-tasya
   vastusya pratinissaggāya yāvantṛtīyakaṃ samanugrāhiyamāṇā vā	vastusya pratinissak-gAya yAvantRtIyakam samanugrAhiyamANA vA
   samanubhāṣiyamāṇā vā taṃ vastuṃ pratinissarea ityetaṃ kuśalaṃ no ca	samanuBAziyamANAH vA tam vastum pratinissarea iti-etam kuSalam no ca
   pratinissarea ime ca vastuṃ samādāya pragṛhya tiṣṭhea saṃghātiśeṣo //	pratinissarea ime ca vastum samAdAya pragRhya tizWea saMGa-ati-SezaH //
   PrMoSū(Mā)_SA// uddānaṃ // [1] saṃcetanikā [2] hastagraho [3] obhāṣo [4]	PrMoSU(MA)_SA// uddAnam // [1] saMcetanikA [2] hasta-grahaH [3] oBAzo [4]
   paricaryāvvaṇanaṃ [[5] saṃcaritraṃ [6-7] kuṭīvihārodve cā dūtena saṃghasya	paricaryOvvaNanam [[5] saMcaritram [6-7] kuwI-vihAra-udve cA dUtena saMGasya
   ca [10] bhedāyopakrāmati tasya [11] cānuvarttakāḥ [12] durvvacako [13]	ca [10] BedAya-upakrAmati tasya [11] ca-anuvarttakAH [12] durvvacakaH [13]
   kuladūṣakāśca //	kula-dUzakAH-ca //
   PrMoSū(Mā)_SA// uddiṣtāḥ // kho punarāyuṣmanto trayodaśasaṃghātiśeṣo	PrMoSU(MA)_SA// uddiztAH // KaH punar-AyuzmantaH trayodaSa-saMGAti-SezaH-
   dharmāstatra nava prathamāpattikāścatvāro yāvantṛtīyakā yeṣāṃ bhikṣu	DarmAH-tatra nava praTamApattikAH-catvAraH yAvantRtIyakAH yezAm Bikzu
   anyatarāmāpattimāpatitvā yāvantakaṃ jānan[prati] cchādeti tāvantakaṃ tena	anyatarAm-Apattim-ApatitvA yAvantakam jAnan[prati] cCAda-iti tOvantakam tena
   bhikṣuṇā akāmaparivāsaṃ parivasitavyaṃ / parivuttha parivāsena bhikṣuṇā	BikzuNA akAma-parivAsam parivasitavyam / parivutTa parivAsena BikzuNA
   uttariṃ ṣaḍāhaṃ bhikṣusaṃghe mānatvaṃ caritavyaṃ / ciṇṇamānatve bhikṣūḥ	uttarim zaz-Aham Bikzu-saMGe mAna-tvam caritavyam / ciNNamAna-tve BikzUH
   kṛtānudharmo āhūyana prativedyeya asyā viṃśatigaṇo bhikṣū saṃgho tatra so	kRta-anuDarmaH AhUyana prativedyeya asyAH viMSati-gaNaH BikzU saMGaH tatra saH-
   bhikṣu āmreyitavyo / eka bhikṣuṇāpi vodūno viṃśatigaṇo bhikṣusaṃgho taṃ	Bikzu AmreyitavyaH / eka BikzuNA-api vA-udUnaH viMSati-gaNaH Bikzu-saMGaH tam
   bhikṣumāmreya so ca bhikṣū anābhṛto te ca bhikṣū gārhyāḥ iyamatra sāmīcī /	Bikzum-Amreya saH ca BikzU anABRtaH te ca BikzU gArhyAH iyam-atra sAmIcI /
   PrMoSū(Mā)_SA tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ dvitīyaṃ pi	PrMoSU(MA)_SA tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH dvitIyam pi
   āyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ tṛtīyamapi āyuṣmanto pṛcchāmi	AyuzmantaH pRcCAmi kaccitTa pariSudDAH tRtIyam-api AyuzmantaH pRcCAmi
   kaccittha pariśuddhāḥ pariśuddhā atrāyuṣmanto yasmāttūṣṇīmevametaṃ	kaccitTa pariSudDAH pariSudDAH atra-AyuzmantaH yasmAt-tUzNIm-evam-etam
   dhārayāmi /	DArayAmi /
   III. THE TWO ANIYATA DHARMAS	III. THE TWO ANIYa-aTAH DHARMAH-
   PrMoSū(Mā)_Aniy.ime kho punarāyuṣmanto duve aniyatā dharmā anvarddhamāsaṃ	PrMoSU(MA)_Aniy.ime KaH punar-AyuzmantaH duve aniyatA DarmAH anvardDa-m-Asam
   sūtre prātimokṣe uddeśamāgacchanti /	sUtre prAtimokze uddeSam-AgacCanti /
   PrMoSū(Mā)_Aniy.1. yo punabhikṣu mātugrāmeṇa sārddhaṃ praticchannāsane	PrMoSU(MA)_Aniy.1. yaH puna-Bikzu mAtu-grAmeNa sArdDam praticCanna-Asane
   alaṅkarmāṇīye ekoyaraho niṣadyāṃ kalpeya tamena śraddheya vacasā upāsikā	alaFkarmANIye ekoya-rahaH nizadyAm kalpeya tamena SradDeya vacasA upAsikA
   dṛṣṭvā trayāṇāṃ dharmāṇāṃ manyatarānyatareṇa dharmeṇa vādeya pārāji kena	dRzwvA trayANAm DarmANAm manyatara-anyatareNa DarmeNa vAdeya pArAji kena
   vā saṃghātiśeṣeṇa vā pācattikena vā niṣadyo bhikṣuḥ pratijānāmāno trayāṇāṃ	vA saMGAti-SezeNa vA pAcattikena vA nizadyaH BikzuH pratijAnAmAnaH trayANAm
   dharmāṇāmanyatarānyatareṇa dharmeṇa kārāpayitavyo pārājikena vā	DarmANAm-anyatara-anyatareNa DarmeNa kArApayitavyaH pArAjikena vA
   saṃghātiśeṣeṇa vā pācattikena vā yena yena vā punarasya średdeya vacasā	saMGa-ati-SezeNa vA pAcattikena vA yena yena vA punar-asya Sreddeya vacasA
   upāsikā dṛṣṭvā dharmeṇa vadeya tena so bhikṣū dharmeṇa kārāpayitavyo ayaṃ	upAsikAH dRzwvA DarmeNa vadeya tena saH BikzU DarmeNa kArApayitavyaH ayam
   dharmo aniyato /	DarmaH aniyataH /
   PrMoSū(Mā)_Aniy.2. nāhaiva kho punaḥ praticchannāsanambhavati /	PrMoSU(MA)_Aniy.2. na-aha-eva KaH punar praticCanna-asanam-Bavati /
   nālaṃkarmaṇīyaṃ alaṃ kho puna mātṛgrāmaṃ dusthūlāya vācāya obhāsituṃ /	na-alaMkarmaNIyam alam KaH puna mAtR-grAmam dusTUlAya vAcAya oBAsitum /
