   namas tārāyai	namaH tArAyE
   pūrvakatvena vyāptaḥ, vācakaśabdopanyāso vā vācyasvīkārapūrvakatvena	pUrvaka-tvena vyAptaH, vAcaka-Sabda-upanyAsaH vA vAcya-svIkAra-pUrvaka-tvena
   vyāptas tathā 'vastuno dharmitvaṃ nāstīti vacanopanyāso 'vastuno	vyAptaH taTA avastunaH Darmi-tvam na-asti-iti vacana-upanyAsaH avastunaH-
   dharmitvasvīkārapūrvakatvena vyāptaḥ / anyathā tadvacanopanyāsasya	Darmi-tva-svIkAra-pUrvaka-tvena vyAptaH / anyaTA tad-vacana-upanyAsasya
   vyarthatvāt /	vyarTa-tvAt /
   (82.11) tad yadi vacanopanyāso vyāpyadharmas tadā 'vastuno	(82.11) tat yadi vacana-upanyAsaH vyApya-DarmaH tadA avastunaH-
   dharmitvasvīkāro 'pi vyāpakadharmo durvāraḥ / atha na vyāpakadharmaḥ, tadā	Darmi-tva-svIkAraH api vyApaka-DarmaH durvAraH / aTa na vyApaka-DarmaH, tadA
   vyāpyasyāpi vacanopanyāsasyāsambhava iti mūkataivātra balād āyāteti kathaṃ	vyApyasya-api vacana-upanyAsasya-asamBavaH iti mUka-tA-eva-atra balAt AyAta-iti kaTam
   na svavacanapratirodhasiddhiḥ /	na sva-vacana-pratiroDa-sidDiH /
   (82.15) yad āhācāryaḥ / na hy abruvan paraṃ bodhayitum īśaḥ / [a]bruvan vā	(82.15) yat Aha-AcAryaH / na hi abruvan param boDayitum ISaH / [a]bruvan vA
   doṣam imaṃ parihartum iti mahati saṃkaṭe praveśaḥ /	dozam imam parihartum iti mahati saMkawe praveSaH /
   (82.17) avastuprastāve sahṛdayānāṃ mūkataiva yujyate iti cet / aho mahad	(82.17) avastu-prastAve sahRdayAnAm mUkatA-eva yujyate iti ced / aho mahat-
   vaidagdhyam / avastuprastāve svayam eva yathāśakti valgitvā bhagno	vEdagDyam / avastu-prastAve svayam eva yaTASakti valgitvA BagnaH-
   mūkataiva nyāyaprāpteti paribhāyayā niḥsartum icchati / na cāvastuprastāvo	mUkatA-eva nyAya-prAptA-iti pariBAyayA niHsartum icCati / na ca-avastu-prastAvaH-
   rājadaṇḍena vinā caraṇamardanādināniṣṭimātreṇa vā pratiṣedhuṃ śakṣate /	rAja-daNxena vinA caraNa-mardana-AdinA-anizwi-mAtreNa vA pratizeDum Sakzate /
   tataś cātrāpi kramākramabhāvasya sādhanatve sattvābhāvasya ca sādhyatve	tatas ca-atra-api kramAkrama-BAvasya sADana-tve sattva-aBAvasya ca sADya-tve
   sandigdhavastubhāvasyāvastvātmano vā kṣaṇikasya dharmitvaṃ kena	sandigDa-vastu-BAvasya-avastu-AtmanaH vA kzaNikasya Darmi-tvam kena
   pratiṣidhyate /	pratiziDyate /
   (82.22) trividho hi dharmo dṛṣṭaḥ / kaś cit vastuniyato nīlādiḥ / kaś cid	(82.22) triviDaH hi DarmaH dRzwaH / kaH cit vastu-niyataH nIla-AdiH / kaH cit-
   avastuniyato yathā sarvopākhyāvirahaḥ / kaś cid ubhayasādhāraṇo yathā	avastu-niyataH yaTA sarva-upAKyA-virahaH / kaH cit uBaya-sADAraNaH yaTA
   'nupalabdhimātram / tatra vastudharmeṇāvastuno dharmitvaniṣedha iti yuktam	anupalabDi-mAtram / tatra vastu-DarmeNa-avastunaH Darmi-tva-nizeDaH iti yuktam
   / na tv avastudharmeṇa / vastvavastudharmeṇa vā /	/ na tu avastu-DarmeNa / vastu-avastu-DarmeNa vA /
   svavacanasyānupanyāsaprasaṅgād ity akṣaṇikasyābhāve sandehe 'pi vā	sva-vacanasya-anupanyAsa-prasaFgAt iti akzaNikasya-aBAve sandehe api vA
   'vastudharmeṇa dharmitvam avyāhatam iti nāyam āśrayāsiddho	avastu-DarmeNa Darmi-tvam avyAhatam iti na-ayam ASraya-asidDaH-
   vyāpakānupalambhaḥ /	vyApaka-anupalamBaH /
   (82.27) akṣaṇikāpratītāvāśrayasiddho hetur iti yuktam uktām / tadapratītau	(82.27) akzaNikA-pratItO=-ASraya-sidDaH hetuH iti yuktam uktAm / tad-apratItO
   tadvyavahārāyogāt / kevalam asau vyavahārāṅgabhūtā pratītir vastvavastunor	tad-vyavahArA-yogAt / kevalam asO vyavahAra-aFga-BUtA pratItiH vastu-avastunoH-
   ekarūpā na bhavati / sākṣāt pāramparyeṇa vastusāmarthyabhāvinī hi	eka-rUpA na Bavati / sAkzAt pAramparyeNa vastu-sAmarTya-BAvinI hi
   vastupratītiḥ / yathā pratyakṣam anumānaṃ pratyakṣapṛṣṭhabhāvi ca vikalpaḥ	vastu-pratItiH / yaTA pratyakzam anumAnam pratyakza-pRzWa-BAvi ca vikalpaH
   / avastunas tu sāmarthyābhāvād vikalpamātram eva pratītiḥ / vastuno hi	/ avastunaH tu sAmarTya-aBAvAt vikalpa-mAtram eva pratItiH / vastunaH hi
   vastubalabhāvinī pratītir yathā sākṣāt pratyakṣam, paramparayā	vastu-bala-BAvinI pratItiH yaTA sAkzAt pratyakzam, paramparayA
   tatpṛṣṭhabhāvī vikalpo 'numānaṃ ca / avastuno na vastubalabhāvinī pratītis	tad-pRzWa-BAvI vikalpaH anumAnam ca / avastunaH na vastu-bala-BAvinI pratIti-s
   tatkārakatvenāvastutvahāniprasaṅgāt / tasmād vikalpamātram evāvastunaḥ	tad-kAraka-tvena-avastu-tva-hAni-prasaFgAt / tasmAt vikalpa-mAtram eva-avastunaH
   pratītiḥ /	pratItiH /
   (83.4) na hy abhāvah kaś cid vigrahavān yaḥ sākṣātkartavyo 'pi tu	(83.4) na hi aBAvam kaH cit vigrahavAn yaH sAkzAt-kartavyaH api tu
   vyavahartavyaḥ / sa ca vyavahāro vikalpād api sidhyaty eva / anyathā	vyavahartavyaH / sa ca vyavahAraH vikalpAt api siDyati eva / anyaTA
   sarvajanaprasiddho 'vastuvyavahāro na syāt / iṣyate ca /	sarva-jana-prasidDaH avastu-vyavahAraH na syAt / izyate ca /
   (83.6) taddharmitvapratiṣedhānubandhād ity akāmenāpi vikalpamātrasiddho	(83.6) tad-Darmitva-pratizeDa-anubanDAt iti akAmena-api vikalpa-mAtra-sidDaH-
   'kṣaṇikaḥ svīkartavya iti nāyam apratītatvād apy āśrayāsiddho hetur	akzaNikaH svIkartavyaH iti na-ayam apratIta-tvAt api ASraya-asidDaH hetuH-
   vaktavyaḥ / tataś cākṣaṇikasya vikalpamātrasiddhatve yad uktam /	vaktavyaH / tatas ca-akzaNikasya vikalpa-mAtra-sidDa-tve yat uktam /
   (83.9) na kaś cid dhetur anāśrayaḥ vikalpamātrasiddhasya dharmiṇaḥ	(83.9) na kaH cit DetuH anASrayaH vikalpa-mAtra-sidDasya DarmiNaH
   sarvatra sulabhatvād iti /	sarvatra sulaBa-tvAt iti /
   (83.10) tad asaṅgatam / vikalpamātrasiddhasya dharmiṇaḥ sarvatra sambhave	(83.10) tat asaFgatam / vikalpa-mAtra-sidDasya DarmiNaH sarvatra samBave
   'pi vastudharmeṇa dharmitvāyogāt / vastudharmahetutvāpekṣaya	api vastu-DarmeNa Darmi-tva-ayogAt / vastu-Darma-hetu-tva-apekzaya
   āśrayāsiddhasyāpi hetoḥ sambhavāt /	ASraya-asidDasya-api hetoH samBavAt /
   (83.11) yathā ātmano vibhutvasādhanārtham upanyastaṃ	(83.11) yaTA AtmanaH viBu-tva-sADana-arTam upanyastam
   sarvatropalabhyamānaguṇatvād iti sādhanam / vikalpaś cāyaṃ hetūpanyāsāt /	sarvatra-upalaByamAna-guNa-tvAt iti sADanam / vikalpaH ca-ayam hetu-upanyAsAt /
   pūrvaṃ sandigdhavastukaḥ / samarthite tu hetāv avastuka iti brūmaḥ /	pUrvam sandigDa-vastukaH / samarTite tu hetO avastukaH iti brUmaH /
   (83.14) na cātra sandigdhāśrayatvaṃ nāma hetudoṣaḥ / āstāṃ tāvat /	(83.14) na ca-atra sandigDa-ASraya-tvam nAma hetu-dozaH / AstAm tAvat /
   sandigdhasyāvastuno 'pi vikalpamātrasiddhasyāvastudharmāpekṣayā	sandigDasya-avastunaH api vikalpa-mAtra-sidDasya-avastu-Darma-apekzayA
   dharmitvaprasādhanāt / vastudharmahetvapekṣayaiva sandigdhāśrayasya	Darmi-tva-prasADanAt / vastu-Darma-hetu-apekzayA-eva sandigDa-ASrayasya
   hetvābhāsasya vyavasthāpanāt / yatheha nikuñje mayūraḥ kekāyitād iti /	hetvABAsasya vyavasTApanAt / yaTA-iha nikuQje mayUraH kekAyitAt iti /
   avastukavikalpaviṣayasyāsattvaṃ tu vyāpakānupalambhād eva prasādhitam /	avastuka-vikalpa-vizayasya-asattvam tu vyApaka-anupalamBAt eva prasADitam /
   evaṃ dṛṣṭāntasyāpi vyomotpalāder dharmitvaṃ vikalpamātreṇa pratītiś	evam dRzwAntasya-api vyoma-utpala-AdeH Darmi-tvam vikalpa-mAtreNa pratItiH-
   cāvagantavyā / tad evam avastudharmāpekṣayā 'vastunodharmitvasya	ca-avagantavyA / tat evam avastu-Darma-apekzayA avastunaH-Darmi-tvasya
   vikalpamātreṇa pratīteś cāpahnotum aśakyatvān nāyam āśrayāsiddho hetuḥ /	vikalpa-mAtreNa pratIteH ca-apahnotum aSakya-tvAt na-ayam ASraya-asidDaH hetuH /
   na ca dṛṣṭāntakṣatiḥ /	na ca dRzwAnta-kzatiH /
   (83.20) na caiṣa svarūpāsiddhaḥ / akṣaṇike dharmiṇi kramākramayor	(83.20) na ca-eza svarUpa-asidDaH / akzaNike DarmiNi kramAkramayoH-
   vyāpakayor ayogāt / tathā hi yadi tasya prathame kṣaṇe	vyApakayoH ayogAt / taTA hi yadi tasya praTame kzaNe
   dvitīyādikṣaṇabhāvikāryakaraṇasāmarthyam asti tadā	dvitIya-Adi-kzaNa-BAvi-kArya-karaNa-sAmarTyam asti tadA
   prathamakṣaṇabhāvikāryavat dvitīyādikṣaṇabhāvyam api (?) kāryaṃ kuryāt /	praTama-kzaNa-BAvi-kArya-vat dvitIya-Adi-kzaNa-BAvyam api (?) kAryam kuryAt /
   samarthasya kṣepāyogāt /	samarTasya kzepA-yogAt /
   (83.22) atha tadā sahakārisākalyalakṣaṇasāmarthyaṃ nāsti /	(83.22) aTa tadA sahakAri-sAkalya-lakzaNa-sAmarTyam na-asti /
   tadvaikalyalakṣaṇasyāsāmarthyasya sambhavāt / na hi bhāvaḥ svarūpeṇa	tad-vEkalya-lakzaNasya-asAmarTyasya samBavAt / na hi BAvaH sva-rUpeNa
   karotīti svarūpeṇaiva karoti / sahakārisahitād eva tataḥ	karoti-iti sva-rUpeNa-eva karoti / sahakAri-sahitAt eva tatas-
   kāryotpattidarsanāt iti cet /	kArya-utpatti-darsanAt iti ced /
   (83.24) yadā tāvad amī militāḥ santaḥ kāryaṃ kurvate	(83.24) yadA tAvat amI militAH santaH kAryam kurvate
   tadaikārthakaraṇalakṣaṇaṃ sahakāritvam eṣām astu ko niṣeddhā / militair	tadA-eka-arTa-karaNa-lakzaNam sahakAri-tvam ezAm astu kaH nizedDA / militEH-
   eva tu tatkāryaṃ karttavyam iti kuto labhyate / pūrvāparakālayor	eva tu tat-kAryam karttavyam iti kutas laByate / pUrva-apara-kAlayoH-
   ekasvabhāvatvād bhāvasya / sarvadā jananājananayor	eka-svaBAva-tvAt BAvasya / sarvadA jananA-jananayoH-
   anyataraniyamaprasaṅgasya durvāratvāt / tasmāt sāmagrī janikā naikaṃ	anyatara-niyama-prasaFgasya durvAra-tvAt / tasmAt sAmagrI janikA na-ekam
   janakam iti sthiravādināṃ manorājyasyāpy aviṣayaḥ /	janakam iti sTira-vAdinAm manaH-rAjyasya-api avizayaH /
   (83.29) kiṃ kurmo dṛśyate tāvad evam iti cet / dṛśyatāṃ kiṃ tu	(83.29) kim kurmaH dRSyate tAvat evam iti ced / dRSyatAm kim tu
   pūrvasthitād eva paścāt sāmagrīmadhyapraviṣṭād bhāvāt kāryotpattir	pUrva-sTitAt eva paScAt sAmagrI-maDya-pravizwAt BAvAt kArya-utpattiH-
   anyasmād eva viśiṣṭasāmagrīsamutpannāt kṣaṇād iti vivādapadam etat / tatra	anyasmAt eva viSizwa-sAmagrI-samutpannAt kzaNAt iti vivAda-padam etat / tatra
   prāg api sambhave sarvadaiva kāryotpattir na vā kadā cid apīti virodham	prAk api samBave sarvadA-eva kArya-utpattiH na vA kadA cit api-iti viroDam
   asamādhāya tad eva kāryotpattir iti sādhyānuvādamātrapravṛttaḥ kṛpām	asamADAya tat eva kArya-utpattiH iti sADya-anuvAda-mAtra-pravRttaH kRpAm
   arhati /	arhati /
   (84.3) na ca pratyabhijñānād evaikatvasiddhiḥ / tat pauruṣasya	(84.3) na ca pratyaBijQAnAt eva-eka-tva-sidDiH / tat pOruzasya
   lūnapunarjātakeśakuśakadalīstambādau nirdalanāt / vistareṇa ca	lUna-punar-jAta-keSa-kuSa-kadalI-stamba-AdO nirdalanAt / vistareNa ca
   pratyabhijñādūṣaṇam asmābhiḥ sthirasiddhidūṣaṇe pratipāditam iti tad	pratyaBijQA-t-UzaNam asmABiH sTira-sidDi-dUzaNe pratipAditam iti tat-
   evāvadhāryam /	eva-avaDAryam /
   (84.6) nanu kāryam eva sahakāriṇam apekṣate / na tu kāryotpattihetuḥ /	(84.6) nanu kAryam eva sahakAriNam apekzate / na tu kArya-utpatti-hetuH /
   yasmād dvividhaṃ sāmarthyaṃ nijam āgantukaṃ ca sahakāryantaraṃ, tato	yasmAt dviviDam sAmarTyam nijam Agantukam ca sahakAri-antaran, tatas-
   'kṣaṇikasyāpi kramavat sahakārinānātvād api kramavat kāryanānātvam iti cet	akzaNikasya-api krama-vat sahakAri-nAnAtvAt api krama-vat kArya-nAnA-tvam iti ced-
   (84.8) bhavatu tāvat nijāgantukabhedena dvividhaṃ sāmarthyam / tathāpi tat	(84.8) Bavatu tAvat nija-Agantuka-Bedena dviviDam sAmarTyam / taTA-api tat-
   prātisvikaṃ vastusvalakṣaṇaṃ sadyaḥ kriyādharmakamavaśyābhyupagantavyam /	prAtisvikam vastu-sva-lakzaNam sadyas kriyA-Darmakam-avaSya-aByupagantavyam /
   tad yadi prāg api, prāg api kāryaprasaṅgaḥ / atha paścād eva, na tadā	tat yadi prAk api, prAk api kArya-prasaFgaH / aTa paScAt eva, na tadA
   sthiro bhāvaḥ /	sTiraH BAvaH /
   (84.11) na ca kāryaṃ sahakāriṇo 'pekṣata iti yuktam, tasyāsattvāt / hetuś	(84.11) na ca kAryam sahakAriNaH apekzate iti yuktam, tasya-asattvAt / hetuH-
   ca sann api yadi svakāryaṃ na karoti, tadā tatkāryam eva tan na syāt /	ca san api yadi sva-kAryam na karoti, tadA tad-kAryam eva tat na syAt /
   svātantryāt /	svAtantryAt /
   (84.13) yaccoktam / yo hi uttarakāryajananasvabhāvah / sa katham ādau	(84.13) yat-ca-uktam / yaH hi uttara-kArya-janana-svaBAvah / sa kaTam AdO
   kāryaṃ kuryāt / na tarhi tatkāryakaraṇasvabhāvaḥ / na hi	kAryam kuryAt / na tarhi tad-kArya-karaNa-svaBAvaH / na hi
   nīlotpādanasvabhāvaḥ pītādikam api karotīti /	nIla-utpAdana-svaBAvaH pIta-Adikam api karoti-iti /
   (84.15) tad asaṅgatam / sthirasvabhāvatve bhāvasyottarakālam evedaṃ na	(84.15) tat asaFgatam / sTira-svaBAva-tve BAvasya-uttarakAlam eva-idam na
   pūrvakālam iti kuta etat / tadabhāvāc ca kāraṇam apy uttarakāryasvabhāvam	pUrva-kAlam iti kutas etat / tad-aBAvAt ca kAraNam api uttara-kArya-svaBAvam
   ity api kutaḥ /	iti api kutas /
   (84.17) kiṃ kurmaḥ / uttarakālam eva tasya janmeti cet / sthiratve	(84.17) kim kurmaH / uttarakAlam eva tasya janma-iti ced / sTira-tve
   tadanupapadyamānam asthiratām ādiśatu / sthiratve 'py eṣa eva svabhāvas	tat-anupapadyamAnam asTira-tAm AdiSatu / sTira-tve api ezaH eva svaBAvaH-
   tasya yad uttarakṣaṇa eva kāryaṃ karotīti cet / na, pramāṇabādhite	tasya yat uttarakzaNaH eva kAryam karoti-iti ced / na, pramANa-bADite
   svabhāvābhyupagamāyogād iti na tāvad akṣaṇikasya kramikāryakāritvam asti /	svaBAva-aByupagamA-yogAt iti na tAvat akzaNikasya krami-kArya-kAri-tvam asti /
   nāpyakramikāryakāritvasambhavaḥ / dvitīye 'pi kṣaṇe kārakasvarūpasadbhāve	na-api-akrami-kArya-kAri-tva-samBavaH / dvitIye api kzaNe kAraka-svarUpa-sadBAve
   punar api kāryakaraṇaprasaṅgāt /	punar api kArya-karaNa-prasaFgAt /
   (84.21) kārye niṣpanne tadviṣayavyāpārābhāvād ūnā sāmagrī na niṣpāditaṃ	(84.21) kArye nizpanne tad-vizaya-vyApAra-aBAvAt UnA sAmagrI na nizpAditam
   niṣpādayed iti cet / na, sāmagrīsambhavāsambhavayor api sadyaḥ	nizpAdayet iti ced / na, sAmagrI-samBava-asamBavayoH api sadyas-
   kriyākārakasvarūpasambhave janakatvam avadhāryam iti prāg eva pratipādanāt	kriyA-kAraka-svarUpa-samBave janaka-tvam avaDAryam iti prAk eva pratipAdanAt-
   / kāryasya hi niṣpāditatvāt punaḥ kartum aśakyatvam eva kāraṇam asamartham	/ kAryasya hi nizpAdita-tvAt punar kartum aSakya-tvam eva kAraNam asamarTam
   āvedayati /	Avedayati /
   (84.23) tad ayam akṣaṇike kramākramikāryakāritvābhāvo na siddhaḥ / na ca	(84.23) tat ayam akzaNike krama-Akrami-kArya-kAritva-aBAvaH na sidDaH / na ca
   kramākramābhyām aparaprakārasambhavo yena tābhyām avyāptau	krama-AkramAByAm apara-prakAra-samBavaH yena tAByAm avyAptO
   sandigdhavyatireko hetuḥ syāt / prakārāntaraśaṅkāyāṃ tasyāpi	sandigDa-vyatirekaH hetuH syAt / prakAra-antara-SaFkAyAm tasya-api
   dṛśyatvādṛśyatvaprakāradvayadūṣaṇe 'pi svapakṣe 'py anāśvāsaprasaṅgāt /	dRSya-tvAdRSya-tva-prakAra-dvaya-dUzaNe api sva-pakze api anASvAsa-prasaFgAt /
   tasmād anyo 'nyavyavacchedasthitir nāparaḥ prakāraḥ sambhavati /	tasmAt anyaH anya-vyavacCeda-sTitiH na-aparaH prakAraH samBavati /
   svarūpāpraviṣṭasya vastuno 'vastuno vā 'tatsvabhāvatvāt /	svarUpa-apravizwasya vastunaH avastunaH vA atad-svaBAva-tvAt /
   prakārāntarasyāpi kramasvarūpāpraviṣṭatvāt / tathātīndriyasya sahakāriṇo	prakAra-antarasya-api krama-svarUpa-apravizwa-tvAt / taTA-atIndriyasya sahakAriNaH-
   'dṛśyatve 'pyayogavyavacchedena dṛśyasahakārisahitasya sattvasya	adRSya-tve api-ayoga-vyavacCedena dRSya-sahakAri-sahitasya sattvasya
   dṛśyakramākramābhyāṃ vyāptiḥ pratyakṣād eva sidhyati / evaṃ	dRSya-krama-AkramAByAm vyAptiH pratyakzAt eva siDyati / evam
   kramākramābhyām arthakriyākāritvaṃ vyāptam iti kramākramayor anyo	krama-AkramAByAm arTa-kriyA-kAritvam vyAptam iti kramAkramayoH anyaH-
   'nyavyavacchedena sthitatvād etat prakāradvayaparihāreṇārthākriyakāritvam	anya-vyavacCedena sTita-tvAt etat prakAra-dvaya-parihAreNa-arTa-akriya-kAri-tvam
   anyatra na gatam ity arthaḥ / ata evaitayor vinivṛttau nivartate /	anyatra na gatam iti arTaH / atas eva-etayoH vinivRttO nivartate /
   (85.4) trilocanasyāpi vikalpatraye prathamadūṣaṇam	(85.4) trilocanasya-api vikalpa-traye praTama-dUzaNam
   āśrayāsiddhidoṣaparihārato nirastam /	ASraya-asidDi-doza-parihArataH nirastam /
   (85.5) dvitīyaṃ cāsaṅgatam / vikalpajñānena vyatirekasya pratītatvāt / na	(85.5) dvitIyam ca-asaFgatam / vikalpa-jQAnena vyatirekasya pratIta-tvAt / na
   hy abhāvaḥ kaś cid vigrahavān yaḥ sākṣatkartavyaḥ, api tu vikalpād eva	hi aBAvaH kaH cit vigrahavAn yaH sAkzatkartavyaH, api tu vikalpAt eva
   vyavahartavyaḥ / na hy abhāvasya vikalpād anyāpratipattir apratipattir vā	vyavahartavyaH / na hi aBAvasya vikalpAt anya-apratipattiH apratipattiH vA
   sarvathā / ubhayathāpi tadvyavahārahāniprasaṅgāt / evaṃ	sarvaTA / uBayaTA-api tad-vyavahAra-hAni-prasaFgAt / evam
   vaidharmyadṛṣṭāntasya hetuvyatirekasya ca vikalpād eva pratipattiḥ.4 /	vEDarmya-dRzwAntasya hetu-vyatirekasya ca vikalpAt eva pratipattiH.4 /
   (85.9) tṛtīyam api dūṣaṇam asaṅgatam / vyāpakānupalambhena nirdoṣeṇa	(85.9) tRtIyam api dUzaNam asaFgatam / vyApakAn-upalamBena nirdozeNa
   sattvasya kṣaṇikatvena vyāpter avyāhatatvāt /	sattvasya kzaNika-tvena vyApteH avyAhata-tvAt /
   (85.11) tad ayaṃ vyāpakānupalambho 'kṣaṇikasyāsattvam / sattvasya tato	(85.11) tat ayam vyApaka-anupalamBaH akzaNikasya-asattvam / sattvasya tatas-
   vyatirekaṃ kṣaṇikatvena vyāptiṃ ca sādhayatyekavyāpārātmakatvād iti	vyatirekam kzaNika-tvena vyAptim ca sADayati-eka-vyApAra-Atmaka-tvAt iti
   sthitam /	sTitam /
   (85.13) nanu vyāpakānupalabdhir iti yady anupalabdhimātraṃ tadā na tasya	(85.13) nanu vyApaka-anupalabDiH iti yadi anupalabDi-mAtram tadA na tasya
   sādhyabuddhijanakatvam avastutvāt / na cānyopalabdhir vyāpakānupalabdhir	sADya-budDi-janaka-tvam avastu-tvAt / na ca-anya-upalabDiH vyApaka-anupalabDiH-
   abhidhātuṃ śakyā bhūtalādivad anyasya kasya cid anupalabdher iti cet /	aBiDAtum SakyA BU-tala-Adi-vat anyasya kasya cit anupalabDeH iti ced /
   (85.15) tad asaṅgatam / dharmyupalabdher evānyatrānupalabdhitayā	(85.15) tat asaFgatam / DarmI-upalabDeH eva-anyatra-anupalabDi-tayA
   vyavasthāpanāt / yathā hi neha śiṃśapā vṛkṣābhāvād ity atra vṛkṣāpekṣayā	vyavasTApanAt / yaTA hi na-iha SiMSapA vRkza-aBAvAt iti atra vRkza-apekzayA
   kevalapradeśasya dharmiṇa upalabdhir vṛkṣānupalabdhiḥ / śiṃśapāpeksayā ca	kevala-pradeSasya DarmiNaH upalabDiH vRkza-anupalabDiH / SiMSapA-apeksayA ca
   kevalapradeśasya dharmiṇa upalabdhir eva śiṃśapāyā abhāvopalabdhir iti	kevala-pradeSasya DarmiNaH upalabDiH eva SiMSapAyAH aBAva-upalabDiH iti
   svabhāvahetuparyavasāyivyāpāro vyāpakānupalambhaḥ / tathā nityasya	svaBAva-hetu-paryavasAyi-vyApAraH vyApaka-anupalamBaH / taTA nityasya
   dharmiṇo vikalpabuddhyavasitasya kramikāritvākramikāritvāpekṣayā	DarmiNaH vikalpa-budDi-avasitasya kramikAri-tvA-krami-kAritva-apekzayA
   kevalagrahaṇād eva kramikāritvākramikāritvānupalambhaḥ / arthakriyāpekṣayā	kevala-grahaNAt eva kramikAri-tvA-krami-kAritvA-anupalamBaH / arTa-kriyA-apekzayA
   ca kevalapratītir evārthakriyāyoga pratītir iti vyāpakānupalambhāntarād	ca kevala-pratItiH eva-arTa-kriyA-yoga pratItiH iti vyApaka-anupalamBa-antarAt-
   asya na kaś cid viśeṣaḥ /	asya na kaH cit viSezaH /
   (85.22) adhyavasāyāpekṣayā ca bāhye 'kṣaṇike vastuni vyāpakābhāvād	(85.22) aDyavasAya-apekzayA ca bAhye akzaNike vastuni vyApaka-aBAvAt-
   vyāpyābhāvasiddhivyavahāraḥ / adhyavasāyaś ca samanantarapratyayabalād	vyApya-aBAva-sidDi-vyavahAraH / aDyavasAyaH ca samanantara-pratyaya-balAt-
   āyātākāraviśeṣayogād agṛhīte 'pi pravartanaśaktir bodhavyaḥ / īdṛśaś	AyAta-AkAra-viSeza-yogAt agRhIte api pravartana-SaktiH boDavyaH / IdRSaH-
   cādhyavasāyo 'smaccitrādvaitasiddhau nirvāhitaḥ / sa cāvisaṃvādī	ca-aDyavasAyaH asmad-citrA-dvEta-sidDO nirvAhitaH / sa ca-avisaMvAdI
   vyavahāraḥ parihartum aśakyaḥ / yad vyāpakaśūnyaṃ tadvyāpyaśūnyam iti /	vyavahAraH parihartum aSakyaH / yat vyApaka-SUnyam tat-vyApya-SUnyam iti /
   etasyaivārthasyānenāpi krameṇa pratipādanāt / ayaṃ ca nyāyo yathā	etasya-eva-arTasya-anena-api krameNa pratipAdanAt / ayam ca nyAyaH yaTA
   vastubhūte dharmiṇi tathā 'vastubhūte 'pīti ko viśeṣaḥ /	vastu-BUte DarmiNi taTA avastu-BUte api-iti kaH viSezaH /
   (85.27) tathā hy ekajñānasaṃsargy atra vikalpya eva / yathā ca	(85.27) taTA hi eka-jQAna-saMsargi atra vikalpya eva / yaTA ca
   hariṇaśirasi tenaikajñānasaṃsargiśṛṅgam upalabdhaṃ / śaśaśirasy api tena	hariNa-Sirasi tena-eka-jQAna-saMsargi-SRFgam upalabDam / SaSaSirasi api tena
   sahaikajñānasaṃsargitvasambhāvanayaiva śṛṅgaṃ niṣidhyate, tathā nīlādāv	saha-eka-jQAna-saMsargi-tva-samBA-avanayA-eva SRFgam niziDyate, taTA nIla-AdO=-
   apariniṣṭhitanityānityabhāve kramākramau svadharmiṇā sārdham	aparinizWita-nitya-aniti-aBAve kramAkramO svaDarmiNA sArDam
   ekajñānasaṃsargiṇau dṛṣṭau, yadi nitye bhavataḥ nityagrāhijñāne	eka-jQAna-saMsargiNO dRzwO, yadi nitye BavataH nitya-grAhi-jQAne
   svadharmiṇā nityena sahaiva gṛhyeyātām iti sambhāvanaya	sva-DarmiNA nityena saha-eva gRhyeyAtAm iti samBA-avanaya
   ekājñānasaṃsargadvārakam eva pratiṣidhyate / kathaṃ punar etasmin	eka-ajQAna-saMsarga-dvArakam eva pratiziDyate / kaTam punar etasmin
   nityajñāne kramākramayor asphuraṇam iti yāvatā kramākramakroḍikṛtam eva	nitya-jQAne kramAkramayoH asPuraNam iti yAvatA krama-Akrama-kroxi-kRtam eva
   nityaṃ vikalpayām iti cet. ata eva bādhakāvatāro viparītāropam antareṇa	nityam vikalpayAm iti cet. atas eva bADaka-avatAraH viparIta-Aropam antareNa
   tasya vaiyarthyāt.	tasya vEyarTyAt.
   (86.6) kālāntare 'py ekarūpatayā nityatvam. kramākramau ca kṣaṇadvaye	(86.6) kAla-antare api eka-rUpa-tayA nitya-tvam. krama-AkramO ca kzaNa-dvaye
   bhinnarūpatayā. tato nityatvasya kramākramikāryaśakteś ca	Binna-rUpatayA. tatas nitya-tvasya krama-Akrami-kArya-SakteH ca
   parasparaparihārasthitilakṣaṇatayā durvāro virodha iti kathaṃ nitye	paraspara-parihAra-sTiti-lakzaNa-tayA durvAraH viroDaH iti kaTam nitye
   kramākramayor antarbhāvaḥ. anantarbhāvāc ca suddhanityavikalpena	kramAkramayoH antarBAvaH. anantarBAvAt ca sudDa-nitya-vikalpena
   dūrīkṛtakramākramasamāropeṇa katham ullekhaḥ. tataś ca pratiyogini nitye	dUrIkRta-krama-Akrama-samAropeNa kaTam ulleKaH. tatas ca pratiyogini nitye
   'pi vikalpyamāne ekajñānasaṃsargilakṣaṇaprāpte nityopalabdhir eva	api vikalpyamAne eka-jQAna-saMsargi-lakzaNa-prApte nitya-upalabDiH eva
   nityaviruddhasyānupalabhyamānasya kramākramasyānupalabdhiḥ. tata eva	nitya-virudDasya-anupalaByamAnasya krama-Akramasya-anupalabDiH. tatas eva
