   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   bhuvo vugluṅliṭoḥ // VLk_395 = P_6,4.88 //	BuvaH vugluFliwoH // VLk-_395  P_6,4.88 //
   bhuvo vugāgamaḥ syāt luṅliṭoraci //	BuvaH vuc-a-AgamaH syAt luFliwa-uraci //
   liṭi dhātoranabhyāsasya // VLk_396 = P_6,1.8 //	liwi DAtoH-anaByAsasya // VLk-_396  P_6,1.8 //
   liṭi pare 'nabhyāsadhātvavayasyaikācaḥ prathamasya dve sta ādibhūtādacaḥ	liwi pare anaByAsa-DAtu-avayasya-ekAcaH praTamasya dve staH Adi-BUtAdacaH
   parasya tu dvitīyasya / bhūv bhūv a iti sthite -- .	parasya tu dvitIyasya / BUv BUv aH iti sTite - .
   pūrvo 'bhyāsaḥ // VLk_397 = P_6,1.4 //	pUrvaH aByAsaH // VLk-_397  P_6,1.4 //
   atra ye dve vihite tayoḥ pūrvo 'bhyāsasaṃjñaḥ syāt //	atra ye dve vihite tayoH pUrvaH aByAsa-saMjQaH syAt //
   halādiḥ śeṣaḥ // VLk_398 = P_7,4.60 //	halAdiH SezaH // VLk-_398  P_7,4.60 //
   abhyāsasyādirhal śiṣyate anye halo lupyante / iti valopaḥ //	aByAsasya-AdiH-han Sizyate anye halaH lupyante / iti valopaH //
   hrasvaḥ // VLk_399 = P_7,4.59 //	hrasvaH // VLk-_399  P_7,4.59 //
   abhyāsatyāco hrasvaḥ syāt //	aByAsatyAcaH hrasvaH syAt //
   bhavateraḥ // VLk_400 = P_7,4.73 //	BavateraH // VLk-_400  P_7,4.73 //
   bhavaterabhyāsokārasya aḥ syālliṭi //	BavateH-aByAsa-ukArasya aH syAt-liwi //
   abhyāse carca // VLk_401 = P_8,4.54 //	aByAse carcaH // VLk-_401  P_8,4.54 //
   abhyāse jhalāṃ caraḥ syurjaśaśca / jhaśāṃ jaśaḥ khayāṃ cara iti vivekaḥ /	aByAse JalAm caraH syuH-jaSaH-ca / JaSAm jaSaH KayAm caraH iti vivekaH /
   babhūva / babhuvatuḥ / babhūvuḥ //	baBUva / baBuvatuH / baBUvuH //
   liṭ ca // VLk_402 = P_3,4.115 //	liz ca // VLk-_402  P_3,4.115 //
   liḍādeśastiṅṅārdhadhātukasaṃjñaḥ //	lixAdeSaH-tiFFA-arDa-DAtuka-saMjQaH //
   ārdhadhātukasyeḍvalādeḥ // VLk_403 = P_7,2.35 //	ArDaDAtukasya-Ixvala-AdeH // VLk-_403  P_7,2.35 //
   valāderārdhadhāturasyeḍāgamaḥ syāt / babhūvitha / babhūvathuḥ / babhūva /	vala-AdeH-ArDa-DAtuH-asyexAgamaH syAt / baBUviTa / baBUvaTuH / baBUva /
   babhūva / babhūviva / babhūvima /	baBUva / baBUviva / baBUvima /
   anadyatane luṭ // VLk_404 = P_3,3.15 //	anadyatane luh // VLk-_404  P_3,3.15 //
   bhaviṣyatyanadyataner'the dhātorluṭ syāt //	Bavizyati-anadyataner-aTe DAtoH-luj syAt //
   syatāsī ḷluṭoḥ // VLk_405 = P_3,1.33 //	syatAsI ?luwoH // VLk-_405  P_3,1.33 //
   dhātoḥ sya tāsi etau pratyayau sto ḷluṭoḥ parataḥ / śabādyapavādaḥ / ḷ iti	DAtoH sya tAsi etO pratyayO staH ?luwoH paratas / Saba-Adi-apavAdaH / ? iti
   ḷṅḷṭorgrahaṇam /	?F?woH-grahaNam /
   ārdhadhātukaṃ śeṣaḥ // VLk_406 = P_2,4.114 //	ArDaDAtukam SezaH // VLk-_406  P_2,4.114 //
   tiṅśidbhyo 'nyo dhātoriti vihitaḥ pratyaya etatsaṃjñaḥ syāt / iṭ //	tiFSidByaH anyaH DAtoH-iti vihitaH pratyayaH etat-saMjQaH syAt / iz //
   luṭaḥ prathamasya ḍāraurasaḥ // VLk_407 = P_2,4.85 //	luwaH praTamasya xArOrasaH // VLk-_407  P_2,4.85 //
   ḍā rau ras ete kramātsyuḥ / ḍitvasāmarthyādabhasyāpi ṭerlopaḥ / bhavitā //	xAH rO raH ete kramAt-syuH / xitva-sAmarTyAdaBasya-api weH-lopaH / BavitA //
   tāsastyorlopaḥ // VLk_408 = P_7,4.50 //	tAsaH-tyoH-lopaH // VLk-_408  P_7,4.50 //
   tāserasteśca sasya lopassyāt sādau pratyaye pare /	tAseraH-teH-ca sasya lopa-ssyAt sAdO pratyaye pare /
   ri ca // VLk_409 = P_7,4.51 //	ri ca // VLk-_409  P_7,4.51 //
   rādau pratyaye tathā / bhavitārau / bhavitāraḥ / bhavitāsi / bhavitāsthaḥ	rAdO pratyaye taTA / BavitArO / BavitAraH / BavitAsi / BavitA-sTaH
   / bhavitāstha / bhavitāsmi / bhavitāsvaḥ / bhavitāsmaḥ/	/ BavitA-sTa / BavitAsmi / BavitAsvaH / BavitA-asmaH/
   ḷṭ śeṣe ca // VLk_410 = P_3,3.13 //	?w Seze ca // VLk-_410  P_3,3.13 //
   bhaviṣyadarthāddhātorḷṭ kriyārthāyāṃ kriyāyāṃ satyāmasatyāṃ vā / s ya iṭ /	Bavizyat-arTAt-DAtoH-?w kriyA-arTAyAm kriyAyAm satyAm-asatyAm vA / s yaH iz /
   bhaviṣyati / bhaviṣyataḥ / bhaviṣyanti / bhaviṣyasi / bhaviṣyathaḥ /	Bavizyati / BavizyataH / Bavizyanti / Bavizyasi / BavizyaTaH /
   bhaviṣyatha / bhaviṣyāmi / bhaviṣyāvaḥ / bhaviṣyāmaḥ/	BavizyaTa / BavizyAmi / BavizyAvaH / BavizyAmaH/
   loṭ ca // VLk_411 = P_3,3.162 //	low ca // VLk-_411  P_3,3.162 //
   vidhyādyartheṣu dhātorloṭ //	viDi-Adi-arTezu DAtoH-loh //
   āśiṣi liṅloṭau // VLk_412 = P_3,3.173 //	ASizi liFlowO // VLk-_412  P_3,3.173 //
   eruḥ // VLk_413 = P_3,4.86 //	eruH // VLk-_413  P_3,4.86 //
   loṭa ikārasya uḥ / bhavatu //	lowaH ikArasya uH / Bavatu //
   tuhyostātaṅṅāśiṣyanyatarasyām // VLk_414 = P_7,1.35 //	tuhyoH-tAtaFFASizI-anyatarasyAm // VLk-_414  P_7,1.35 //
   āśiṣi tuhyostātaṅ vā / paratvātsarvādeśaḥ / bhavatāt //	ASizi tuhyoH-tAtaF vA / paratvAt-sarva-AdeSaH / BavatAt //
   loṭo laṅvat // VLk_415 = P_3,4.85 //	lowaH laFvat // VLk-_415  P_3,4.85 //
   loṭastāmādayassalopaśca //	lowaH-tAm-AdayaH-sa-lopaH-ca //
   tasthasthamipāṃ tāṃtaṃtāmaḥ // VLk_416 = P_3,4.101 //	tasTa-sTam-ipAm tAMtaMtAmaH // VLk-_416  P_3,4.101 //
   ṅitaścaturṇāṃ tāmādayaḥ kramātsyuḥ / bhavatām / bhavantu //	FitaH-caturNAm tAm-AdayaH kramAt-syuH / BavatAm / Bavantu //
   serhyapicca // VLk_417 = P_3,4.87 //	serhi-apid-ca // VLk-_417  P_3,4.87 //
   loṭaḥ serhiḥ so 'picca //	lowaH serhiH saH apicca //
   ato heḥ // VLk_418 = P_6,4.105 //	atas heH // VLk-_418  P_6,4.105 //
   ataḥ parasya herluk / bhava / bhavatāt / bhavatam / bhavata /	atas parasya heH-luc / Bava / BavatAt / Bavatam / BavataH /
   merniḥ // VLk_419 = P_3,4.89 //	merniH // VLk-_419  P_3,4.89 //
   loṭo merniḥ syāt //	lowaH merniH syAt //
   āḍuttamasya picca // VLk_420 = P_3,4.92 //	Axuttamasya picca // VLk-_420  P_3,4.92 //
   loḍuttamasyāṭ syāt picca / hinyorutvaṃ na, ikāroccāraṇa sāmarthyāt //	loxuttamasyAw syAt picca / hinyA-Uru-tvam na, ikAra-uccAraNa sAmarTyAt //
   te prāgdhātoḥ // VLk_421 = P_1,4.80 //	te prAc-DAtoH // VLk-_421  P_1,4.80 //
   te gatyupasargasaṃjñā dhātoḥ prāgeva prayoktavyāḥ //	te gati-upasarga-saMjQA DAtoH prAk-eva prayoktavyAH //
   āni loṭ // VLk_422 = P_8,4.16 //	Ani low // VLk-_422  P_8,4.16 //
   upasargasithānnimittātparasya loḍādeśasyānītyasya nasya ṇaḥ syāt /	upasarga-siTAn-nimittAt-parasya loxAdeSasya-AnIti-asya nasya NaH syAt /
   prabhavāṇi / (duraḥ ṣatvaṇatvayorupasargatvapratiṣedho vaktavyaḥ)/	praBavANi / (duraH zatvaNa-tvayoH-upasarga-tva-pratizeDaH vaktavyaH)/
   duḥsthitiḥ / durbhavāni/ (antaśśabdasyāṅki vidhiṇatveṣūpasargatvaṃ	duHsTitiH / durBavAni/ (antaH-Sabdasya-aFki viDiNa-tvezu-upasarga-tvam
   vācyam)/ antarbhavāṇi //	vAcyam)/ antar-BavANi //
   nityaṃ ṅitaḥ // VLk_423 = P_3,4.99 //	nityam FitaH // VLk-_423  P_3,4.99 //
   sakārāntasya ṅiduttamasya nityaṃ lopaḥ / alo 'ntyasyeti salopaḥ / bhavāva	sakAra-antasya Fiduttamasya nityam lopaH / alaH antyasya-iti sa-lopaH / BavAva
   / bhavāma /	/ BavAma /
   anadyatane laṅ // VLk_424 = P_3,2.111 //	anadyatane laF // VLk-_424  P_3,2.111 //
   anadyatana bhūtārtha vṛtter dhātor laṅ syāt //	anadyatana BUta-arTa vRtteH DAtoH laF syAt //
   luṅlaṅḷṅkṣvaḍudāttaḥ // VLk_425 = P_6,4.71 //	luFlaF?FkzvaxudAttaH // VLk-_425  P_6,4.71 //
   eṣvaṅgasyāṭ //	ezu-aFgasyAj //
   itaśca // VLk_426 = P_3,4.100 //	itas-ca // VLk-_426  P_3,4.100 //
   ṅito lasya parasmaipadamikārāntaṃ yattadantasya lopaḥ / abhavat /	FitaH lasya parasmEpadamikAra-antam yat-tad-antasya lopaH / aBavat /
   abhavatām / abhavan / abhavaḥ / abhavatam / abhavata / abhavam / abhavāva	aBavatAm / aBavan / aBavaH / aBavatam / aBavataH / aBavam / aBavAva
   / abhavāma //	/ aBavAma //
   vidhinimantraṇāmantraṇādhīṣṭasaṃpraśnaprārthaneṣu liṅ // VLk_427 =	viDi-ni-mantraNA-mantraNa-aDIzwa-saMpraSna-prArTanezu liF // VLk-_427 =
   P_3,3.161 //	P_3,3.161 //
   eṣvartheṣu dhātorliṅ //	ezu-arTezu DAtoH-lij //
   yāsuṭ parasmaipadeṣūdātto ṅicca // VLk_428 = P_3,4.103 //	yAsuz parasma-epadezu-udAttaH Fit-ca // VLk-_428  P_3,4.103 //
   liṅaḥ parasmaipadānāṃ yāsuḍāgamo ṅicca //	liFaH parasmEpadAnAm yAsuxa-AgamaH Fit-ca //
   liṅaḥ salopo 'nantyasya // VLk_429 = P_7,2.79 //	liFaH sa-lopaH ananti-asya // VLk-_429  P_7,2.79 //
   sārvadhātukaliṅo'nantyasya sasya lopaḥ / iti prāpte -- .	sArvaDAtu-kaliFaH-ananti-asya sasya lopaH / iti prApte - .
   ato yeyaḥ // VLk_430 = P_7,2.80 //	atas yeyaH // VLk-_430  P_7,2.80 //
   ataḥ parasya sārvadhātukāvayavasya yās ityasya iy / guṇaḥ //	atas parasya sArvaDAtuka-avayavasya yAH iti-asya iy / guNaH //
   lopo vyorvali // VLk_431 = P_6,1.66 //	lopaH vyoH-vali // VLk-_431  P_6,1.66 //
   bhavet / bhavetām /	Bavet / BavetAm /
   jherjus // VLk_432 = P_3,4.108 //	JerjuH // VLk-_432  P_3,4.108 //
   liṅo jherjus syāt / bhaveyuḥ / bhaveḥ / bhavetam / bhaveta / bhaveyam /	liFaH JerjuH syAt / BaveyuH / BaveH / Bavetam / Baveta / Baveyam /
   bhaveva / bhavema //	Bava-iva / Bavema //
   liṅāśiṣi // VLk_433 = P_3,4.116 //	liFA-Sizi // VLk-_433  P_3,4.116 //
   āśiṣi liṅastiṅārdhadhātukasaṃjñaḥ syāt //	ASizi liFaH-tiFA-arDa-DAtuka-saMjQaH syAt //
   kidāśiṣi // VLk_434 = P_3,4.104 //	kidASizi // VLk-_434  P_3,4.104 //
   āśiṣi liṅo yāsuṭ kit / skoḥ saṃyogādyoriti salopaḥ //	ASizi liFaH yAsuh kid / skoH saMyoga-AdyoH-iti sa-lopaH //
   kṅiti ca // VLk_435 = P_1,1.5 //	kFiti ca // VLk-_435  P_1,1.5 //
   gitkinṅinnimitte iglakṣaṇe guṇavṛddhī na staḥ / bhūyāt / bhūyāstām /	gitkinFid-nimitte iglakzaNe guNa-vRdDI na staH / BUyAt / BUyAH-tAm /
   bhūyāsuḥ / bhūyāḥ / bhūyāstam / bhūyāsta / bhūyāsam / bhūyāsva / bhūyāsma	BUyAsuH / BUyAH / BUyAH-tam / BUyAH-te / BUyAsam / BUyAsva / BUya-asma
   luṅ // VLk_436 = P_3,2.110 //	luk // VLk-_436  P_3,2.110 //
   bhūtārthe dhātorluṅ syāt //	BUta-arTe DAtoH-luF syAt //
   māṅi luṅ // VLk_437 = P_3,3.175 //	mAFi luk // VLk-_437  P_3,3.175 //
   sarvalakārāpavādaḥ //	sarva-lakAra-apavAdaH //
   smottare laṅ ca // VLk_438 = P_3,3.176 //	sma-uttare lak ca // VLk-_438  P_3,3.176 //
   smottare māṅi laṅ syāccālluṅ //	sma-uttare mAFi laF syAt-ca-alluj //
   cli luṅi // VLk_439 = P_3,1.43 //	cli luFi // VLk-_439  P_3,1.43 //
   śabādyapavādaḥ //	Saba-Adi-apavAdaH //
   cleḥ sic // VLk_440 = P_3,1.44 //	cleH sit // VLk-_440  P_3,1.44 //
   icāvitau //	icOvitO //
   gātisthāpābhūbhyaḥ sicaḥ parasmaipadeṣu // VLk_441 = P_2,4.77 //	gAti-sTApABUByaH sicaH parasmEpadezu // VLk-_441  P_2,4.77 //
   ebhyaḥ sico luk syāt / gāpāviheṇādeśapibatī gṛhyate //	eByaH sicaH luc syAt / gApa-aviheNa-AdeSa-pibatI gRhyate //
   bhūsuvostiṅi // VLk_442 = P_7,3.88 //	BUsuvostiFi // VLk-_442  P_7,3.88 //
   bhū sū etayoḥ sārvadhātuke tiṅi pare guṇo na / abhūt / abhūtām / abhūvan /	BU sU etayoH sArvaDAtuke tiFi pare guNaH na / aBUt / aBUtAm / aBUvan /
   abhūḥ / abhūtam / abhūta / abhūvam / abhūva / abhūma /	aBUH / aBUtam / aBUta / aBUvam / aBUva / aBUma /
   na māṅyoge // VLk_443 = P_6,4.74 //	na mA-aFyoge // VLk-_443  P_6,4.74 //
   aḍāṭau na staḥ / mā bhavān bhūt / mā sma bhavat / mā sma bhūt //	axAwO na staH / mA BavAn BUt / mA sma Bavat / mA sma BUt //
   liṅnimitte ḷṅ kriyātipattau // VLk_444 = P_3,3.139 //	liFni-mitte ?F kriyA-atipattO // VLk-_444  P_3,3.139 //
   hetuhetumadbhāvādi liṅnimittaṃ tatra bhaviṣyatyarthe ḷṅ syāt kriyāyā	hetu-hetum-at-BAva-Adi liS-nimittam tatra Bavizyati-arTe ?F syAt kriyAyAH-
   aniṣpattau gamyamānāyām / abhaviṣyat / abhaviṣyatām / abhaviṣyan /	anizpattO gamyamAnAyAm / aBavizyat / aBavizyatAm / aBavizyan /
   abhaviṣyaḥ / abhaviṣyatam / abhaviṣyata / abhaviṣyam / abhaviṣyāva /	aBavizyaH / aBavizyatam / aBavizyata / aBavizyam / aBavizyAvaH /
   abhaviṣyāma / suvṛṣṭiścedabhaviṣyattadā subhikṣamabhaviṣyat, ityādi jñeyam	aBavizyAma / su-vRzwiH-ced-aBavizyat-tadA suBikzam-aBavizyat, ityAdi jQeyam
   // ata sātatyagamane // 2 // atati //	// atas sAtatya-gamane // 2 // atati //
   ata ādeḥ // VLk_445 = P_6,4.70 //	atas AdeH // VLk-_445  P_6,4.70 //
   abhyāsasyāderato dīrghaḥ syāt / āta / ātatuḥ / ātuḥ / ātitha / ātathuḥ /	aByAsasya-AdeH-atas dIrGaH syAt / Ata / AtatuH / AtuH / AtiTa / AtaTuH /
   āta / āta / ātiva / ātima / atitā / atiṣyati / atatu //	Ata / Ata / Ativa / Atima / atitAH / atizyati / atatu //
   āḍajādīnām // VLk_446 = P_6,4.72 //	Axaja-AdInAm // VLk-_446  P_6,4.72 //
   ajāderaṅgasyāṭ luṅlaṅḷṅkṣu / ātat / atet / atyāt / atyāstām / luṅi sici	aja-AdeH-aFgasyAj luFlaF?Fkzu / Atat / atet / atyAt / ati-AstAm / luFi sici
   iḍāgame kṛte --- .	ixA-Agame kRte -- .
   astisico 'pṛkte // VLk_447 = P_7,3.96 //	asti-sicaH apRkte // VLk-_447  P_7,3.96 //
   vidyamānāt sico 'steśca parasyāpṛktasya hala īḍāgamaḥ //	vidyamAnAt sicaH asteH-ca parasya-apRktasya halaH IxAgamaH //
   iṭa īṭi // VLk_448 = P_8,2.28 //	iwaH Iwi // VLk-_448  P_8,2.28 //
   iṭaḥ parasya sasya lopaḥ syādīṭi pare / (sijlopa ekādeśe siddho vācyaḥ) /	iwaH parasya sasya lopaH syAt-Iwi pare / (si-jlopaH ekAdeSe sidDaH vAcyaH) /
   ātīt / ātiṣṭām //	AtIt / AtizwAm //
   sijabhyastavidibhyaśca // VLk_449 = P_3,4.109 //	sija-Byasta-vidiByaH-ca // VLk-_449  P_3,4.109 //
   sico 'bhyastādvideśca parasya ṅitsaṃbandhino jherjus / ātiṣuḥ / ātīḥ /	sicaH aByastAt-videH-ca parasya Fid-saMbanDinaH JerjuH / AtizuH / AtIH /
   ātiṣṭam / ātiṣṭa / ātiṣam / ātiṣva / ātiṣma / ātiṣyat // ṣidha gatyām // 3	Atizwam / Atizwa / Atizam / Atizva / Atizma / Atizyat // ziDa gatyAm // 3
   hrasvaṃ laghu // VLk_450 = P_1,4.10 //	hrasvam laGu // VLk-_450  P_1,4.10 //
   saṃyoge garu // VLk_451 = P_1,4.11 //	saMyoge garu // VLk-_451  P_1,4.11 //
   saṃyoge pare hrasvaṃ guru syāt //	saMyoge pare hrasvam guru syAt //
   dīrghaṃ ca // VLk_452 = P_1,4.12 //	dIrGam ca // VLk-_452  P_1,4.12 //
   guru syāt //	guru syAt //
   pugantalaghūpadhasya ca // VLk_453 = P_7,3.86 //	pugantalaGu-upaDasya ca // VLk-_453  P_7,3.86 //
   pugantasya laghūpadhasya cāṅgasyeko guṇaḥ sārvadhātukārdhadhātukayoḥ /	pugantasya laGu-upaDasya ca-aFgasi-ekaH guNaH sArvaDAtuka-arDa-DAtukayoH /
   dhātvāderiti saḥ / sedhati / ṣatvam / siṣedha //	DAtu-AdeH-iti saH / seDati / zatvam / sizeDaH //
   asaṃyogālliṭ kit // VLk_454 = P_1,2.5 //	asaMyogAt-lih kid // VLk-_454  P_1,2.5 //
   asaṃyogātparo 'pilliṭ kit syāt / siṣidhatuḥ / siṣidhuḥ / siṣedhitha /	asaMyogAt-paraH api-llih kid syAt / siziDatuH / siziDuH / sizeDiTa /
   siṣidhathuḥ / siṣidha / siṣedha / siṣidhiva / siṣidhima / sedhitā /	siziDaTuH / siziDaH / sizeDa / siziDivaH / siziDima / seDitAH /
   sedhiṣyati / sedhatu / asedhat / sedhet / sidhyāt / asedhīt / asedhiṣyat /	seDizyati / seDatu / aseDat / seDet / siDyAt / aseDIt / aseDizyat /
   evam -- citī saṃjñāne // 4 // śuca śoke // 5 // gada vyaktāyāṃ vāci // 6	evam - citI saMjQAne // 4 // Suca Soke // 5 // gada vyaktAyAm vAci // 6
   // gadati //	// gadati //
   nergadanadapatapadaghumāsyatihantiyātivātidrātipsātivapativahatiśāmyati	neH-gadanada-pata-pat-aGu-mAsyati-hanti-yAtivA-ati-drAtipsA-ati-vapati-vahatiSAmyati
   cinotidegdhiṣu ca // VLk_455 = P_8,4.17 //	cinoti-degDizu ca // VLk-_455  P_8,4.17 //
   upasargasthānnimittātparasya nernasya ṇo gadādiṣu pareṣu / praṇigadati //	upasarga-sTAn-nimittAt-parasya na-IH-nasya NaH gadA-Adizu parezu / praNigadati //
   kuhoścuḥ // VLk_456 = P_7,4.62 //	kuhoScuH // VLk-_456  P_7,4.62 //
   abhyāsakavargahakārayoścavargādeśaḥ //	aByAsaka-varga-hakArayoH-cavarga-AdeSaH //
   ata apadhāyāḥ // VLk_457 = P_7,2.116 //	atas apaDAyAH // VLk-_457  P_7,2.116 //
   upadhāyā ato vṛddhiḥ syāt ñiti ṇiti ca pratyaye pare / jagāda / jagadatuḥ	upaDAyAH atas vRdDiH syAt Qiti Niti ca pratyaye pare / jagAda / jagadatuH
   / jagaduḥ / jagaditha / jagadathuḥ / jagada //	/ jagaduH / jagadiTa / jagadaTuH / jagada //
   ṇaluttamo vā // VLk_458 = P_7,1.91 //	NaluttamaH vA // VLk-_458  P_7,1.91 //
   uttamo ṇal vā ṇitsyāt / jagāda, jagada / jagadiva / jagadima / gaditā /	uttamaH Nat vA NitsyAt / jagAda, jagada / jagat-iva / jagat-ima / gaditA /
   gadiṣyati / gadatu / agadat / gadet / gadyāt //	gadizyati / gadatu / agadat / gadet / gadyAt //
   ato halāderlaghoḥ // VLk_459 = P_7,2.7 //	atas halAdeH-laGoH // VLk-_459  P_7,2.7 //
   halāderlaghorakārasya vṛddhirveḍādau parasmaipade sici / agādīt, agadīt /	hala-AdeH-laGoH-a-kArasya vRdDiH-vexA-AdO parasma-epade sici / agAdIt, agadIt /
   agadiṣyat // ṇada avyakte śabde // 7 //	agadizyat // Nada avyakte Sabde // 7 //
   ṇo naḥ // VLk_460 = P_6,1.65 //	NaH naH // VLk-_460  P_6,1.65 //
   dhātvāderṇasya naḥ / ṇopadeśāstvanardnāṭināthnādhnandanakkanṝnṛtaḥ //	DAtu-AdeH-Nasya naH / Na-upadeSAH-tu-anardna-awinA-aTna-aDnanda-nak-kanLnRtaH //
   upasargādasamāse 'pi ṇopadeśasya // VLk_461 = P_8,4.14 //	upasargAt-asamAse api Na-upadeSasya // VLk-_461  P_8,4.14 //
   upasargasthānnimittātparasya dhātornasya ṇaḥ / praṇadati / praṇinadati /	upasarga-sTAn-nimittAt-parasya DAtoH-nasya NaH / praNadati / praNinadati /
   nadati / nanāda //	nadati / nanAda //
   ata ekahalmadhye 'nādeśāderliṭi // VLk_462 = P_6,4.120 //	atas eka-halmaDye anAdeSa-AdeH-liwi // VLk-_462  P_6,4.120 //
   liṇnimittādeśādikaṃ na bhavati yadaṅgaṃ	liz-nimitta-AdeSa-Adikam na Bavati yat-aFgam
   tadavayavasyāsaṃyuktahalmadhyasthasyāta etvamabhyāsalopaśca kiti liṭi /	tad-avayavasya-asaMyukta-halmaDya-sTasya-atas etvam-aByAsa-lopaH-ca kiti liwi /
   nedatuḥ / neduḥ //	nedatuH / neduH //
   thali ca seṭi // VLk_463 = P_6,4.121 //	Tali ca sewi // VLk-_463  P_6,4.121 //
   prāguktaṃ syāt / neditha / nedathuḥ / neda / nanāda, nanada / nediva /	prAk-uktam syAt / nediTa / nedaTuH / neda / nanAda, nanada / net-ivaH /
   nedima / naditā / nadiṣyati / nadatu / anadat / nadet / nadyāt / anādīt,	nedime / naditA / nadizyati / nadatu / anadat / nadet / nadyAt / anAdIt,
   anadīt / anadiṣyat // ṭu nadi samṛddhau // 8 //	anadIt / anadizyat // wu nadi samRdDO // 8 //
   ādirñiṭuḍavaḥ // VLk_464 = P_1,3.5 //	AdirQiwuxavaH // VLk-_464  P_1,3.5 //
   upadeśe dhātorādyā ete itaḥ syuḥ //	upadeSe DAtoH-AdyAH ete itas syuH //
   idito num dhātoḥ // VLk_465 = P_7,1.58 //	iditaH num DAtoH // VLk-_465  P_7,1.58 //
   nandati / nananda / nanditā / nandiṣyati / nandatu / anandat / nandet /	nandati / nananda / nanditA / nandizyati / nandatu / anandat / nandet /
   nandyāt / anandīt / anandiṣyat / arca pūjāyām // 9 // arcati //	nandyAt / anandIt / anandizyat / arca pUjAyAm // 9 // arcati //
   tasmānnuḍ dvihalaḥ // VLk_466 = P_7,4.71 //	tasmAt-nuz dvi-halaH // VLk-_466  P_7,4.71 //
   dvihalo dhātordīrghībhūtātparasya nuṭ syāt / ānarca / ānarcatuḥ / arcitā /	dvi-halaH DAtoH-dIrGIBUtAt-parasya nuh syAt / Anarca / AnarcatuH / arcitA /
   arciṣyati / arcatu / ārcat / arcet / arcyāt / ārcīt / ārciṣyat // vraja	arcizyati / arcatu / Arcat / arcet / arcyAt / ArcIt / Arcizyat // vraja
   gatau // 10 // vrajati / vavrāja / vrajitā / vrajiṣyati / vrajatu /	gatO // 10 // vrajati / vavrAja / vrajitA / vrajizyati / vrajatu /
   avrajat / vrajet / vrajyāt //	avrajat / vrajet / vrajyAt //
   vadavrajahalantasyācaḥ // VLk_467 = P_7,2.3 //	vadavrajahalantasyAcaH // VLk-_467  P_7,2.3 //
   eṣāmaco vṛddhiḥ sici parasmaipadeṣu / avrājīt / avrajiṣyat // kaṭe	ezAm-acaH vRdDiH sici parasmEpadezu / avrAjIt / avrajizyat // kawe
   varṣāvaraṇayoḥ // 11 // kaṭati / cakāṭa / cakaṭatuḥ / kaṭitā / kaṭiṣyati /	varza-AvaraNayoH // 11 // kawati / cakAwa / cakawatuH / kawitA / kawizyati /
   kaṭatu / akaṭat / kaṭet / kaṭyāt //	kawatu / akawat / kawet / kawyAt //
   hmyantakṣaṇaśvasajāgṛṇiśvyeditām // VLk_468 = P_7,2.5 //	hmi-anta-kzaNa-SvasajA-gRNiH-vyeditAm // VLk-_468  P_7,2.5 //
   hamayāntasya kṣaṇāderṇyantasya śvayatereditaśca vṛddhirneḍādau sici /	hamayA-antasya kzaNAderNi-antasya SvayateH-editaH-ca vRdDiH-nexA-AdO sici /
   akaṭīt / akaṭiṣyat // gupū rakṣaṇe // 12 //	akawIt / akawizyat // gupuH rakzaNe // 12 //
   gupūdhūpavicchipaṇipanibhya āyaḥ // VLk_469 = P_3,1.28 //	gupUDUpa-vid-SipaNipaniByaH AyaH // VLk-_469  P_3,1.28 //
   ebhya āyaḥ pratyayaḥ syāt svārthe //	eByaH AyaH pratyayaH syAt sva-arTe //
   sanādyantā dhātavaḥ // VLk_470 = P_3,1.32 //	sana-Adi-antAH DAtavaH // VLk-_470  P_3,1.32 //
   sanādayaḥ kamerṇiṅantāḥ pratyayā ante yeṣāṃ te dhātusaṃjñakāḥ /	sana-AdayaH kamerNiFantAH pratyayAH ante yezAm te DAtu-saMjQakAH /
   dhātutvāllaḍādayaḥ / gopāyati //	DAtu-tvAt-laxa-AdayaH / gopAyati //
   āyādaya ārdhadhātuke vā // VLk_471 = P_3,1.31 //	AyAdayaH ArDaDAtuke vA // VLk-_471  P_3,1.31 //
   ārdhadhātukavivakṣāyāmāyādayo vā syuḥ / (kāsyanekāca ām vaktavyaḥ) / liṭi	ArDaDAtuka-vivakza-AyAmAya-AdayaH vA syuH / (kA-asi-anekAca Am vaktavyaH) / liwi
   āskāsorāmvidhānānmasya nettvam //	AskAsa-uH-AmviDAnAt-masya nettvam //
   ato lopaḥ // VLk_472 = P_6,4.48 //	atas lopaH // VLk-_472  P_6,4.48 //
   ārdhadhātukopadeśe yadadantaṃ tasyāto lopa ārdhadhātuke //	ArDaDAtuka-upa-deSe yat-adantam tasya-atas lopaH ArDaDAtuke //
   āmaḥ // VLk_473 = P_2,4.81 //	AmaH // VLk-_473  P_2,4.81 //
   āmaḥ parasya luk //	AmaH parasya luc //
   kṛñ cānuprayujyate liṭi // VLk_474 = P_3,1.40 //	kRQ ca-anuprayujyate liwi // VLk-_474  P_3,1.40 //
   āmantālliṭparāḥ kṛbhvastayo 'nuprayujyante / teṣāṃ dvitvādi //	Am-antAt-liz-parAH kRBvastayaH anuprayujyante / tezAm dvi-tva-Adi //
   urat // VLk_475 = P_7,4.66 //	urat // VLk-_475  P_7,4.66 //
