   Kṣemendraviracitā	Kzema indra viracitA
   priyāmālikhyāhaṃ nikhilasukhavṛṣṭiṃ nayanayor	priyAm AliKyA aham niKila suKa vRzwim nayanayoH 
   na paśyāmyudbāṣpaḥ kṣaṇamapi śaraccandravadanām /	na paSyAmi udbAzpaH kzaNam api Sarad candra vadanAm /
   ayaṃ nūnaṃ tanvīvirahanirapekṣavratavataḥ	ayam nUnam tanvI viraha nirapekza vratavataH
   sphurattāpaḥ śāpaḥ kimapi mama pāpādupanataḥ // KAvk_10.56 //	sPurat tApaH SApaH kim api mama pApAt upanataH // Ka avc _10.56 //
   phullāmbhojavanatviṣā spṛhāvaśāsaktāśrutoyaṃ vapus	Pulla amBoja vana tvizA spRhA vaSa Asakta aSru toyam vapuH 
   tatkālopagatāntarāyajanitaḥ kopaḥ samutsṛjyatām /	tad kAla upagata antarAya janitaH kopaH samutsRjyatAm /
   haṃho sundari dehi me prativacaḥ kiṃ maunamālambase	haMho sundari dehi me prativacaH kim mOnam Alambase
   satyaṃ tvanmayarāgavīcaramidaṃ cittavrataṃ me vratam // KAvk_10.57 //	satyam tvad maya rAgavIcaram idam citta vratam me vratam // Ka avc _10.57 //
   iti bruvāṇaṃ taṃ dṛṣṭvā dūrādālikhitaṃ ca tat /	iti bruvANam tam dRzwvA dUrAt AliKitam ca tat /
   sāsūyā bhikṣavo 'bhyetya bhagavantaṃ babhāṣire // KAvk_10.58 //	sa asUyA BikzavaH aByetya Bagavantam baBAzire // Ka avc _10.58 //
   bhagavan durvinītasya vātsalyādeva kevalam /	Bagavan durvinItasya vAtsalyAt eva kevalam /
   śunaḥ kusumamāleva pravrajyeyaṃ tvayārpitā // KAvk_10.59 //	SunaH kusuma mAlA iva pravrajyA iyam tvayA arpitA // KAvc _10.59 //
   ākhilya sundarīmukhaṃ nandaḥ svairaṃ śilātale /	AKilya sundarI muKam nandaH svEram SilA tale /
   tatpralāpajapāsakto dhyānālambanatāṃ gataḥ // KAvk_10.60 //	tad pralApa japa AsaktaH DyAna AlambanatAm gataH // KAvc _10.60 //
   etadākarṇya bhagavān nandamāhvāyya kananāt /	etat AkarNya BagavAn nandam AhvAyya kananAt /
   kimetaditi papraccha priyāvirahamohitam // KAvk_10.61 //	kim etat iti papracCa priyA viraha mohitam // Ka avc _10.61 //
   so 'bravīd bhagavan satyaṃ kāntāsaktasya me param /	saH abravIt Bagavan satyam kAntA saktasya me param /
   bhikṣūṇāṃ saṃmate 'pyasmin vane na ramate matiḥ // KAvk_10.62 //	BikzUNAm saMmate api asmin vane na ramate matiH // Ka avc _10.62 //
   iti dandavacaḥ śrutvā tamūce bhagavān jinah /	iti danda vacaH SrutvA tam Uce BagavAn jinam /
   mīlayanneva vaktrendukāntyā rāgasaroruham // KAvk_10.63 //	mIlayan= eva vaktra indu kAntyA rAga saroruham // Ka avc _10.63 //
   sādho tāvanna yuktā te saṃrāgānugatā matiḥ /	sADo tAvat na yuktA te saMrAga anugatA matiH /
   vighnairnākṛṣyate cetaḥ kalyāṇābhiniveśinām // KAvk_10.64 //	viGnEH na AkRzyate cetaH kalyANa aBiniveSinAm // Ka avc _10.64 //
   kvāyaṃ yogastanutṛṇatulātyaktabhogābhiyogaḥ	kva ayam yogaH tanu tRNa tulA tyakta Boga aBiyogaH
   kkāyaṃ nindyaḥ kṣaṇasukhalavāsvādasaṃvāda eṣaḥ /	kkAyam nindyaH kzaNa suKa lava AsvAda saMvAdaH ezaH /
   jātyaivāyaṃ harati kuśalaṃ dustaro māramārgaḥ	jAtyA eva ayam harati kuSalam dustaraH mAra mArgaH
   premāndhānām bhavati sahasā duḥsaho yoktrajātaḥ // KAvk_10.65 //	prema anDAnAm Bavati sahasA duHsahaH yoktra jAtaH // Ka avc _10.65 //
   ityasya bhagavān kṛtvā ciraṃ vairāgyadeśanām /	iti asya BagavAn kRtvA ciram vErAgya deSanAm /
   saṃsthātavyamihetyuktvā svakṛtyāya svayaṃ yayau // KAvk_10.66 //	saMsTAtavyam iha iti uktvA sva kRtyAya svayam yayO // Ka avc _10.66 //
   tamevāvasaraṃ nandaḥ saṃcintya gamanocitam /	tam eva avasaram nandaH saMcintya gamana ucitam /
   pratasthe svagṛhaṃ hṛṣṭaḥ sundarīdarśanotsukaḥ // KAvk_10.67 //	pratasTe sva gRham hRzwaH sundarI darSana utsukaH // Ka avc _10.67 //
   vrajan dvāri pidhānāptairvihārairbahubhiścirāt /	vrajan dvAri piDAna AptEH vihArEH bahuBiH cirAt /
   nagarābhimukhaṃ mārgaṃ sa kathaṃcidavāptavān // KAvk_10.68 //	nagara aBimuKam mArgam sa kaTaMcid avAptavAn // Ka avc _10.68 //
   atha vijñāya sarvajñastaṃ rāgād gantumudyatam /	aTa vijQAya sarvajQaH tam rAgAt gantum udyatam /
   uvācābhyetya bhagavān nanda tūrṇaṃ kka gamyate // KAvk_10.69 //	uvAca aByetya BagavAn nanda tUrNam kkaH gamyate // KAvc _10.69 //
   sa jagāda vane tāvat bhagavan nāsti me ratiḥ /	sa jagAda vane tAvat Bagavat na asti me ratiH /
   na hyaviśrāntacittānāṃ kriyā kācit prasīdati // KAvk_10.70 //	na hi aviSrAnta cittAnAm kriyA kAcid prasIdati // KAvc _10.70 //
   sā śrīścāmarahāsinī maṇimayī sā ramyaharmyāvalī	sA SrIH ca amara hAsinI maNi mayI sA ramya harmya AvalI
   sā bālānilalolacārulatikā kāntā navodyānabhūḥ /	sA bAla anila lola cAru latikA kAntA nava udyAna BUH /
   sā tanvī kusumeṣukārmukalatā kṣāmodarī sundarī	sA tanvI kusumezukArmukalatA kzAmodarI sundarI
   no janmāntaravāsanā iva manaḥ saktaṃ vimuñcanti me // KAvk_10.71 //	naH janma antara vAsanAH iva manaH saktam vimuQcanti me // Ka avc _10.71 //
   sarāgeṇaiva manasā brahacaryaṃ carāmyaham /	sa rAgeNa eva manasA brahacaryam carAmi aham /
   vratapañjarabandhena vihaṅga iva yantritaḥ // KAvk_10.72 //	vrata paQjara banDena vihaFgaH iva yantritaH // Ka avc _10.72 //
   tyaktvā vrajāmi pravrajyāmastu me narako 'kṣayaḥ /	tyaktvA vrajAmi pravrajyAm astu me narakaH akzayaH /
   na vītarāgatāmeti mañjiṣṭhāraktamaṃśukam // KAvk_10.73 //	na vIta rAga tAm eti maQjizWA raktam aMSukam // Ka avc _10.73 //
   iti bruvāṇamasakṛt svapadaṃ gantumudyatam /	iti bruvANam asakRt sva padam gantum udyatam /
   nivāryānugrahadhiyā tamūce bhagavān jinaḥ // KAvk_10.74 //	nivArya anugraha DiyA tam Uce BagavAn jinaH // Ka avc _10.74 //
   mā kṛthā viplavaṃ nanda ninditaṃ hi śrutāśrutam /	mA kRTAH viplavam nanda ninditam hi Sruta aSrutam /
   vidvajjanopadiṣṭena yathā yāti pṛthagjanaḥ // KAvk_10.75 //	vidvat jana upadizwena yaTA yAti pRTagjanaH // Ka avc _10.75 //
   vivekavyastadoṣāṇāṃ viduṣāṃ śīlaśālinām /	viveka vyasta dozANAm viduzAm SIla SAlinAm /
   niḥsārasukhalābhena nākārye dhīḥ pravartate // KAvk_10.76 //	niHsAra suKa lABena na akArye DIH pravartate // Ka avc _10.76 //
   gāḍharāgagṛhītasya jugupsāyatane param /	gAXa rAga gRhItasya jugupsA Ayatane param /
   jadhanyakarmaṇyāsaktiḥ kiṃ lajjājanane na te // KAvk_10.77 //	jaDanya karmaNi AsaktiH kim lajjA janane na te // Ka avc _10.77 //
   yonijayonisaṃsaktāḥ stanapastanamardinaḥ /	yoni ja yoni saMsaktAH stanapastana mardinaH /
   aho bata na lajjante janmanyeva layaṃ gatāḥ // KAvk_10.76 //	aho bata na lajjante janmani eva layam gatAH // Ka avc _10.76 //
   sadāsajjanavarjitā jananījaghanāsaktiḥ /	sadA Asat jana varjitA jananI jaGana AsaktiH /
   saṃmohāhatacittānāṃ paśūnāmeva dṛśyate // KAvk_10.79 //	saMmoha Ahata cittAnAm paSUnAm eva dRSyate // Ka avc _10.79 //
   rāmāramaṇamāno 'yaṃ viramya tyajyatāṃ tvayā /	rAma AramaNa mAnaH ayam viramya tyajyatAm tvayA /
   bhogaiḥ saha bhujaṅgānāṃ dṛṣṭo bhavabile kṣayaḥ // KAvk_10.80 //	BogEH saha BujaFgAnAm dRzwaH Bava bile kzayaH // Ka avc _10.80 //
   jaghanyā janayatyeva na kasya viratiṃ ratiḥ /	jaGanyA janayati eva na kasya viratim ratiH /
   yasyāṃ bhavati paryanteṣvapi naiva parāṅmukhaḥ // KAvk_10.81 //	yasyAm Bavati paryantezu api na eva parAFmuKaH // Ka avc _10.81 //
   gṛhajālavimuktastvaṃ kiṃ tatraivābhidhāvasi /	gRha jAla vimuktaH tvam kim tatra eva aBiDAvasi /
   na hi nirgasya sāraṅgaḥ punarviśati vāgurāṃ // KAvk_10.82 //	na hi nirgasya sAraFgaH punar viSati vAgurAm // Ka avc _10.82 //
   iti vākyād bhagavataḥ śāsanena niyantritaḥ /	iti vAkyAt BagavataH SAsanena niyantritaH /
   cintayan sundarīṃ nandaḥ praviveśāśramaṃ punaḥ // KAvk_10.83 //	cintayan sundarIm nandaH praviveSa ASramam punar // Ka avc _10.83 //
   tataḥ kadācidādiśya nanda māśramamārjane /	tatas kadAcid AdiSya nanda mA ASrama mArjane /
   āsanānugrahavyagraḥ prayayau bhagavān punah // KAvk_10.84 //	Asana anugraha vyagraH prayayO BagavAn punar // Ka avc _10.84 //
   tacchāsanāt pravṛttasya nandasyāśramaśodhane /	tad SAsanAt pravRttasya nandasya ASrama SoDane /
   no bhūtalādapayayau rajo rāga ivāśayat // KAvk_10.85 //	naH BU talAda payayO rajaH rAgaH iva ASayat // Ka avc _10.85 //
   tasyāhartuṃ gatasyātha salilaṃpārabhāgikam /	tasya Ahartum gatasya aTa salilaMpAra BAgikam /
   muhuḥ pūrṇasamutkṣiptah śūnya evābhavaddhaṭaḥ // KAvk_10.86 //	muhur pUrNa samutkziptah SUnyaH eva aBavat hawaH // Ka avc _10.86 //
   tena vighnena gamane sutarām khinnamānasaḥ /	tena viGnena gamane sutarAm Kinna mAnasaH /
   tyaktvā tuprayayau nandaḥ sundarīdarśanotsukaḥ // KAvk_10.87 //	tyaktvA tu prayayO nandaH sundarI darSana utsukaH // Ka avc _10.87 //
   atha vijñāya sarvajñastaṃ yāntaṃ divyacakṣuṣā /	aTa vijQAya sarvajQaH tam yAntam divya cakzuzA /
   babhāṣe sahasābhyetya stambhamānamanorathah // KAvk_10.88 //	baBAze sahasA aByetya stamBa mAna manoraTah // KAvc _10.88 //
   pātrayogena taptasya śyāmaraktaruceḥ param /	pAtra yogena taptasya SyAma rakta ruceH param /
   aho snehakalaṅkaste dīpasyeva na śāmyati // KAvk_10.89 //	aho sneha kalaFkaH te dIpasya iva na SAmyati // Ka avc _10.89 //
   alaṃ vāmābhilāṣeṇa nīlīrāga ivaiṣa te /	alam vAma aBilAzeNa nIlI rAgaH iva eza te /
   saṃsaktaḥ ko 'pi hṛdaye yannādyāpi virajyase // KAvk_10.90 //	saMsaktaH kaH api hRdaye yat na adya api virajyase // Ka avc _10.90 //
   andhīkaroti prārambhe ratistatkālakātaram /	anDIkaroti prAramBe ratiH tad kAla kAtaram /
   āliṅgati jugupseva vṛtte mukhyāṅgasaṃgame // KAvk_10.91 //	AliFgati jugupsA iva vRtte muKya aFga saMgame // Ka avc _10.91 //
   viṣayākhvādasaṅgena pāpamitrairivendriyaiḥ /	vizaya AKvAda saFgena pApa mitrEH iva indriyEH /
   duḥsahavyasanāvarte pātyate narake narah // KAvk_10.92 //	duHsaha vyasana Avarte pAtyate narake narah // Ka avc _10.92 //
   adhivāsayati sparśalekhenāpi kusaṃgamaḥ /	aDivAsayati sparSa leKena api kusaMgamaH /
   praklinnamatsyakuṇapāt pūtigandha ivodgataḥ // KAvk_10.93 //	praklinna matsya kuNapAt pUti ganDaH iva udgataH // Ka avc _10.93 //
   kalyāṇamitrasaṃparkaḥ sarvathā kuśalāvahaḥ /	kalyANa mitra saMparkaH sarvaTA kuSala AvahaH /
   śubhāmeda iva vyāpto yaḥ karoti mahārhatām // KAvk_10.94 //	SuBa AmedaH iva vyAptaH yaH karoti mahArhatAm // KAvc _10.94 //
   ityukte tasya bhagavān sākṣāts adasatoḥ pathi /	iti ukte tasya BagavAn sAkzAt s adasatoH paTi /
   ghrāṇasparśena saṃdarśya cakre tatsaṅgadeśanām // KAvk_10.95 //	GrANa sparSena saMdarSya cakre tad saFga deSanAm // KAvc _10.95 //
   atha nandaṃ samādāya bhagavān gandhamādane /	aTa nandam samAdAya BagavAn ganDamAdane /
   yayau viriñciramarībālavyajanavījitaḥ // KAvk_10.96 //	yayO viriQciH amarI bAla vyajana vIjitaH // Ka avc _10.96 //
   tatra dāvānalapliṣṭāmaniṣṭakliṣṭavigrahām /	tatra dAva anala plizwa Am anizwa klizwa vigrahAm /
   kāṇāṃ karmaṭīkāmasmai darśayitvāvadajjinaḥ // KAvk_10.97 //	kANAm karmawI kAm asmE darSayitvA avadajjinaH // Ka avc _10.97 //
   imāṃ paśyasi kiṃ nanda māndyanindyatarākṛtim /	imAm paSyasi kim nanda mAndyanindyatara AkRtim /
   kasmaiciducitā ceyaṃ rocate priyadarśanā // KAvk_10.98 //	kasmEcid ucitA ca iyam rocate priya darSanA // Ka avc _10.98 //
   sattā sadasatornāsti rāgaḥ paśyati ramyatām /	sattA sat asatoH na asti rAgaH paSyati ramyatAm /
   sa tasya lalito loke yo yasya dayito janaḥ // KAvk_10.99 //	sa tasya lalitaH loke yaH yasya dayitaH janaH // Ka avc _10.99 //
   pakṣapātaṃ samṛtsṛjya satyaṃ nanda tvayocyatām /	pakzapAtam sa mRtsRjya satyam nanda tvayA ucyatAm /
   asyāstasyāśca sundaryā lāvaṇyasya kimantaram // KAvk_10.100 //	asyAH tasyAH ca sundaryAH lAvaNyasya kim antaram // Ka avc _10.100 //
   anarthitvādvayaṃ naiva saundaryāntaravedinaḥ /	anarTitvA dvayam na eva sOndarya antara vedinaH /
   arthipriyatvamāyāti prārthitaṃ tacca cārutām // KAvk_10.101 //	arTi priya tvam AyAti prArTitam tat ca cAru tAm // KAvc _10.101 //
   paśyāmyahaṃ viśeṣaṃ tu tasyā nāsyāśca kaṃcana /	paSyAmi aham viSezam tu tasyAH na asyAH ca kaMcana /
   ramyatvaṃ māṃsavarmāsthiyantre samayamātrakam // KAvk_10.102 //	ramya tvam mAMsa varma asTi yantre samaya mAtrakam // Ka avc _10.102 //
   iti pṛṣṭo bahgavatā nandastaṃ pratyabhāsata /	iti pRzwaH bahgavatA nandaH tam pratyaBAsata /
   atyantānucitaḥ praśnaḥ ko 'pi gauravayantritaḥ // KAvk_10.103 //	atyanta anucitaH praSnaH kaH api gOrava yantritaH // Ka avc _10.103 //
   kimetad bhagavān vakti keyaṃ śoke biḍambanā /	kim etat BagavAn vakti kA iyam Soke bixambanA /
   kkāpi vā viśvaguravo vineyāḥ prabhaviṣṇavah // KAvk_10.104 //	kkApi vA viSva guravaH vineyAH praBavizNavah // Ka avc _10.104 //
   ratiḥ sādhikasundaryāḥ parabhāgeṇa rajyate /	ratiH sADika sundaryAH para BAgeNa rajyate /
   yāṃ dṛṣṭvā jagatāṃ jetā na ratiṃ smarati smaraḥ // KAvk_10.105 //	yAm dRzwvA jagatAm jetA na ratim smarati smaraH // Ka avc _10.105 //
   jyotsnayeva na tatkāntyā nodate kumudākaraḥ /	jyotsnayA iva na tad kAntyA nodate kumuda AkaraH /
   guṇāntaraṃ na jānāti prasiddhiśaraṇo janaḥ // KAvk_10.106 //	guNa antaram na jAnAti prasidDi SaraNaH janaH // Ka avc _10.106 //
   baddhaṃ tayā vadanasaurabhasārahāramālokya puṣyanicayaṃ pṛthukeśapāśe /	badDam tayA vadana sOraBa sAra hAram Alokya puzya nicayam pRTu keSa pASe /
   manye vilāsagatilovanakānticauraiḥ bhītyeva haṃsahariṇairvanamiva yātam //	manye vilAsa gati lovana kAnti cOrEH BItyA iva haMsa hariNEH vanam iva yAtam //
   KAvk_10.107 //	KAvc _10.107 //
   analpaiḥ saṃkalpairbahuvidhavikalpairanupamā	analpEH saMkalpEH bahuviDa vikalpEH anupamA
   na sā sāraṅgākṣīlikhitumapi śakyā paricitaiḥ /	na sA sAraFga akzI liKitum api SakyA paricitEH /
   tulārohe ysyā vadanaparabhāge laghutaraḥ	tulArohe ysyAH vadana para BAge laGutaraH
   sa nūnaṃ tārāṇāṃ gaganamadhirūḍhaḥ parivṛḍhaḥ // KAvk_10.108 //	sa nUnam tArANAm gaganam aDirUXaH parivRXaH // Ka avc _10.108 //
   puṇyaprahvaṃ lalitalalitabhrūlatālāsyalīlā	puNya prahvam lalita lalita BrU la tAla Asya lIlA
   ramyaṃ tasyā yadi na vadanaṃ nandanaṃ labhyate tat /	ramyam tasyAH yadi na vadanam nandanam laByate tat /
   pravrajyeyaṃ sukṛtamadhikaṃ kiṃkarī kiṃkarī me	pravrajyA iyam sukRtam aDikam kiMkarI kiMkarI me
   kasmādetaṃ vrataparikaraṃ bhārabhūtaṃ vahāmi // KAvk_10.109 //	kasmAt etam vrata parikaram BAra BUtam vahAmi // Ka avc _10.109 //
   iti nandavacaḥ śrutvā bhagavān rāganirbharam /	iti nanda vacaH SrutvA BagavAn rAga nirBaram /
   upakṣipya prabhāveta ta nināya surālayam // KAvk_10.110 //	upakzipya praBAveta te ninAya surAlayam // Ka avc _10.110 //
   adarśayacca tatrāsya līlodyāne śatakratoḥ /	adarSayat ca tatra asya lIlA udyAne SatakratoH /
   sudhāmanthasamudbhūtāḥ kāntāstridaśayoṣitaḥ // KAvk_10.111 //	suDAmanTa samudBUtAH kAntAH tridaSa yozitaH // Ka avc _10.111 //
   aruṇaiḥ kāntisaṃtānaiḥ pādapadmavanoditaiḥ /	aruNEH kAnti saMtAnEH pAda padma vana uditEH /
   anuyātā ivāmbhodhikūlavidrumakānanaiḥ // KAvk_10.112 //	anuyAtAH iva amBoDi kUla vidruma kAnanEH // KAvc _10.112 //
   viśālalāsyasacivaiḥ pāṇibhirvijitāmbujaiḥ /	viSAla la Asya sacivEH pANiBiH vijita ambujEH /
   saṃsaktaiḥ sahajasyeva pārijātasya pallavaiḥ // KAvk_10.113 //	saMsaktEH sahajasya iva pArijAtasya pallavEH // KAvc _10.113 //
   kāntimādhuryalalitairmadanānandabāṇdhavaiḥ /	kAnti mADurya lalitEH madana Ananda bANDavEH /
   helānimīlitāmbhojavadanaiścandrasundaraiḥ // KAvk_10.114 //	helA nimIlita amBoja vadanEH candra sundarEH // KAvc _10.114 //
   saṃmohanairjīvanaiśca kṛṣṇasārairvilokanaiḥ /	saMmohanEH jIvanEH ca kRzNasArEH vilokanEH /
   kālakūṭacchadaspṛṣṭairamṛtoghairivāvṛtāḥ // KAvk_10.115 //	kAlakUwa= Cada spRzwEH amRtaH GEH iva AvRtAH // Ka avc _10.115 //
   pūrṇayauvanalāvaṇyāḥ sahasaiva vilokya tāḥ /	pUrNa yOvana lAvaNyAH sahasA eva vilokya tAH /
   nandaḥ sānandavadanaḥ svedasnāta ivābhavat // KAvk_10.116 //	nandaH sa Ananda vadanaH sveda snAtaH iva aBavat // Ka avc _10.116 //
   padmānanāsu vipulotpalalocanāsu kundastimātu nibiḍastabakastanīṣu /	padma AnanAsu vipula utpala locanAsu kundastimAtu nibixa stabaka stanIzu /
   nandasya tāsu hṛdayaṃ yugapannipatya dolāvilāsataralālitumavāpa //	nandasya tAsu hRdayam yugapad nipatya dolA vilAsataralAlitum avApa //
   KAvk_10.117 //	KAvc _10.117 //
   tataḥ provāca bahgavān nandaṃ tadgatamānasam /	tatas provAca bahgavAn nandam tad gata mAnasam /
   āsāṃ saṃdarśane nanda prītyā te ramate matiḥ // KAvk_10.118 //	AsAm saMdarSane nanda prItyA te ramate matiH // Ka avc _10.118 //
   āsāṃ tasyāśca sundaryā lāvaṇye kiyadantaram /	AsAm tasyAH ca sundaryAH lAvaNye kiyat antaram /
   utkarṣaḥ parabhāgeṇa sphuṭamevābhibhāvyate // KAvk_10.119 //	utkarzaH para BAgeNa sPuwam eva aBiBAvyate // Ka avc _10.119 //
   nirastasundarīrūpaṃ rūpamapsarasām yadi /	nirasta sundarI rUpam rUpam apsarasAm yadi /
   tadetā eva kālena kariṣyāmi tvadāśrayāḥ // KAvk_10.120 //	tat etAH eva kAlena karizyAmi tvad ASrayAH // Ka avc _10.120 //
   ārogeṇaiva manasā brahmacaryaṃ prasannadhīḥ /	ArogeNa eva manasA brahmacaryam prasanna DIH /
   cara tāvattataste 'haṃ dāsyāmyapsarasām gaṇam // KAvk_10.121 //	cara tAvat tatas te aham dAsyAmi apsarasAm gaNam // Ka avc _10.121 //
   evaṃ bhagavato vākyānnandaḥ saṃjātaniścayaḥ /	evam BagavataH vAkyAn nandaH saMjAta niScayaH /
   tathetyuktvā vrate cetaścakre svargāṅganāśayā // KAvk_10.122 //	taTA iti uktvA vrate cetaH cakre svarga aFganA ASayA // Ka avc _10.122 //
   mandādaraḥ svadāreṣu so 'bhūt tatsaṃgamecchayā /	manda AdaraH sva dArezu saH aBUt tad saMgama icCayA /
   guṇapṇyatulāvṛtternāsti snehasya satyatā // KAvk_10.123 //	guNa pNya tulA vRtteH na asti snehasya satya tA // Ka avc _10.123 //
   aho cismṛtasaṃvāsapravāsapariśoṣitā /	aho cismRta saMvAsa pravAsa pariSozitAH /
   puṃsāmābhyāsikī prītiḥ sahasānyatra dhāvati // KAvk_10.124 //	puMsAm AByAsikI prItiH sahasA anyatra DAvati // KAvc _10.124 //
   kṣaṇayauvanaramyāṇi premāṇi praṇayavyayaiḥ /	kzaNa yOvana ramyANi premANi praNaya vyayEH /
   na satyāni na nityāni na sukhāni śarīriṇām // KAvk_10.125 //	na satyAni na nityAni na suKAni SarIriNAm // Ka avc _10.125 //
   tato bhagavatā nandaḥ kṣaṇānītaḥ svamāśramam /	tatas BagavatA nandaH kzaNa Ani itaH svam ASramam /
   tanniścayād brahmacaryaṃ cacāra niyatavrataḥ // KAvk_10.126 //	tad niScayAt brahmacaryam cacAra niyata vrataH // Ka avc _10.126 //
   sa cisasmāra sundaryāḥ kāntisaṃpadamanyadhīḥ /	sa cisasmAra sundaryAH kAnti saMpada m anyaDIH /
   kṣaṇapramuṣitā prītirmalaṃ yāti guṇeṣvapi // KAvk_10.127 //	kzaNa pramuzitA prItiH malam yAti guNezu api // KAvc _10.127 //
   tataḥ kadācidvicaran nandaḥ kkāpi vyalokayat /	tatas kadAcid vicaran nandaH kkA api vyalokayat /
   karālanarakāsaktāṃ dhīmān kumbhībhṛtāṃ bhuvam // KAvk_10.128 //	karAla naraka AsaktAm DImAn kumBIBRtAm Buvam // KAvc _10.128 //
   tām vilokyaiva sākampaḥ kimetaditi duḥkhitaḥ /	tAm vilokya eva sa akampaH kim etat iti duHKitaH /
   sa papraccha tadāsaktān ghoranarakakāraṇam // KAvk_10.129 //	sa papracCa tad AsaktAn Gora naraka kAraNam // Ka avc _10.129 //
   te tamūcuriyaṃ bhūmistaptakumbhīśatācitā /	te tam UcuH iyam BUmiH tapta kumBI Sata AcitAH /
   kalpitā rājaputrasya nandasyānandarāgiṇaḥ // KAvk_10.130 //	kalpitAH rAja putrasya nandasya Ananda rAgiNaH // Ka avc _10.130 //
   mithyāvrataḥ sa nādyāpi bhajate vītarāgatām /	miTyA vrataH sa na adya api Bajate vIta ra Aga tAm /
   brahamcaryaṃ caratyeva svargastrūīsaṃgamāśayā // KAvk_10.131 //	brahamcaryam carati eva svargaH trUI saMgama ASayAH // Ka avc _10.131 //
   mithyāvratānām lubdhānāṃ rāgadveṣakaṣāyiṇām /	miTyA vratAnAm lubDAnAm rAga dveza kazAyiNAm /
   etāsu nityataptāsu kumbhīṣvevākṣayaḥ kṣayaḥ // KAvk_10.132 //	etAsu nitya taptAsu kumBIzu eva akzayaH kzayaH // Ka avc _10.132 //
   iti nanda samākarṇya jātaromāñcakañcukah /	iti nanda samAkarNya jAta romAQca kaQcukah /
   tatra cyutāmiva tanūṃ paścāttāpādamanyataḥ // KAvk_10.133 //	tatra cyutAm iva tanUm paScAt tApAt am anyatas // Ka avc _10.133 //
   samamyetya tyaktarāgasaṃvāsavāsanah svayam /	samamyetya tyakta rAga saMvAsa vAsanah svayam /
   babhūvānuttarabrahmacaryaparyāptāṃyamaḥ // KAvk_10.134 //	baBUva anuttara brahmacarya paryAptAMyamaH // Ka avc _10.134 //
   ghanamohakṣayāttasya vimukte saṃśaye tataḥ /	Gana moha kzayAt tasya vimukte saMSaye tatas /
   mahaḥ prasādamāpede śaradīvedadheḥ payaḥ // KAvk_10.135 //	mahaH prasAdam Apede SaradI vedaDeH payaH // Ka avc _10.135 //
   niṣkāmaḥ praśamaṃ prāptaḥ parāṃ niṣṭhāmupāgataḥ /	nizkAmaH praSamam prAptaH parAm nizWAm upAgataH /
   śuddhadhīḥ sa samabhyetya bhagavantamabhāṣata // KAvk_10.136 //	SudDa DIH sa samaByetya Bagavantam aBAzata // Ka avc _10.136 //
   nāpsarobhirna sundaryā bhagavan kṛtyamasti me /	na apsaroBiH na sundaryAH Bagavan kRtyam asti me /
   etāḥ paryantavicchāyāḥ sapātā viṣayaśriyaḥ // KAvk_10.137 //	etAH paryanta vicCAyAH sa pAtAH vizaya SriyaH // Ka avc _10.137 //
   yathā yatheyaṃ bhāvānāṃ bhāvyate niḥsvabhāvatā /	yaTA yaTA iyam BAvAnAm BAvyate niHsvaBAva tA /
   tathā tathā prqsīdanti nirāvaraṇavṛttayaḥ // KAvk_10.138 //	taTA taTA prqsIdanti nirAvaraNa vRttayaH // Ka avc _10.138 //
   iti dandasya vadataḥ prāptasyārtapadaṃ śanaiḥ /	iti dandasya vadataH prAptasya Arta padam SanEs /
   bhagavān nirvāṇaśuddhāmasya siddhimamanyata // KAvk_10.139 //	BagavAn nirvANa SudDAmasya sidDim amanyata // Ka avc _10.139 //
   keṣāṃ kuśalamūlānāṃ nandenāsāditaṃ phalam /	kezAm kuSala mUlAnAm nandena AsAditam Palam /
   iti bhikṣubhirabhyetya pṛṣṭhastānavadajjinaḥ // KAvk_10.140 //	iti BikzuBiH aByetya pRzWaH tAn avadat jinaH // Ka avc _10.140 //
   janmāntarārjitaiḥ puṇyaiḥ sukṛtābhyāsakāriṇā /	janma antara arjitEH puNyEH su kRta aByAsa kAriNA /
   prāptāḥ kuśalamūlānāṃ nandena phalasaṃpadaḥ // KAvk_10.141 //	prAptAH kuSala mUlAnAm nandena Pala saMpadaH // Ka avc _10.141 //
   vipulavimala vaṃśe janma smarapratimā tanuḥ	vipula vimala vaMSe janma smara pratimA tanuH
   surajanasakhī lakṣī vṛttiḥ priyāḥ satataṃ satām /	surajana saKI lakzI vRttiH priyAH satatam satAm /
   praśamasalilasnātaṃ cetaḥ svabhāvagatirgatiḥ	praSama salila snAtam cetaH svaBAva gatiH gatiH
   kuśalakusumasyeyaṃ puṃsāṃ viśālaphalodgatiḥ // KAvk_10.142 //	kuSala kusumasya iyam puMsAm viSAla Pala udgatiH // KAvc _10.142 //
   stūpe vipaśyinaḥ samyaksaṃbuddhasyādaraḥ purā /	stUpe vipaSyinaH samyaksaMbudDasya AdaraH purA /
   nagaryāmaruṇāvatyāmaruṇena mahībhūhā // KAvk_10.143 //	nagaryAm aruNAvatyAm aruNena mahIBUhA // Ka avc _10.143 //
   kriyamāṇo maṇimaye maitro nāma dvijanmajaḥ /	kriyamANaH maNi maye mEtraH nAma dvijanma jaH /
   mahataḥ puṇyabhogasya bhāgī kārakatām yayau // KAvk_10.144 //	mahataH puNya Bogasya BAgI kAraka tAm yayO // Ka avc _10.144 //
