   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   gomatīṃ ca japedvidvān Ang_2,11.5c	gomatIm ca japet-vidvAn Ank-_2,11.5c
   gomayena vidhānataḥ Ang_1.778b	gomayena viDAnataH Ank-_1.778b
   gomūtreṇa tu saṃyuktaṃ Ang_2,12.6c	go-mUtreNa tu saMyuktam Ank-_2,12.6c
   gomūtreṇa vidhīyate Ang_2,11.2d	go-mUtreNa viDIyate Ank-_2,11.2d
   gorakṛtvā svaśaktitaḥ Ang_2,11.7d	goH-akRtvA sva-SaktitaH Ank-_2,11.7d
   gosahasrairvidhānena Ang_1.1066c	go-sahasrEH-viDAnena Ank-_1.1066c
   gauṇamātari mātṛtvaṃ Ang_1.121a	gONa-mAtari mAtR-tvam Ank-_1.121a
   gaurīdānaṃ tathaiveti Ang_1.489c	gOrI-dAnam taTA-eva-iti Ank-_1.489c
   gaurīdānaṃ vṛṣotsargaḥ Ang_1.482a	gOrI-dAnam vRzotsargaH Ank-_1.482a
   gaurīvākyena kevalam Ang_1.588d	gOrI-vAkyena kevalam Ank-_1.588d
   grayānaṃ ca samācaret Ang_1.68d	grayAnam ca samAcaret Ank-_1.68d
   grahaṇaśrāddhameva ca Ang_1.475d	grahaNa-SrAdDam-eva ca Ank-_1.475d
   grahaṇaṃ pitṛtṛptidam Ang_1.281d	grahaNam pitR-tRpti-dam Ang_1.281d
   grahaṇādiṣu śaktaśced Ang_1.278a	grahaNa-Adizu SaktaH-ced Ank-_1.278a
   grahaṇe śrāddhakāleṣu Ang_1.258a	grahaNe SrAdDa-kAlezu Ank-_1.258a
   grahasparśādatha yatan Ang_1.486a	graha-sparSAt-aTa yatat Ank-_1.486a
   grahasya cākrikasyāsya Ang_1.282c	grahasya cAkrikasya-asya Ank-_1.282c
   grahe muhūrtadvitaye Ang_1.279a	grahe muhUrta-dvitaye Ank-_1.279a
   grāmacaṇḍālakarmasu Ang_1.763d	grAma-caNxAla-karmasu Ank-_1.763d
   grāmayājakameva ca Ang_1.747b	grAma-yAjakam-eva ca Ank-_1.747b
   grāhakasya na kurvīta Ang_1.136a	grAhakasya na kurvIta Ang_1.136a
   grāhakāveva saṃtatam Ang_1.421d	grAhakO=-eva saMtatam Ank-_1.421d
   grāhayecchrāddhakarmaṇi Ang_1.762b	grAhayet-SrAdDa-karmaNi Ank-_1.762b
   grāhmabhaidyaśarīriṇām Ang_1.228b	grAhma-BEdya-SarIriNAm Ank-_1.228b
   grāhyakāyasurāṇāṃ vai Ang_1.229c	grAhya-kAya-surANAm vE Ang_1.229c
   grāhyabhedyaniveditam Ang_1.231d	grAhya-Bedya-niveditam Ank-_1.231d
   grāhyamauṣadhameva ca Ang_2,8.18b	grAhyam-OzaDam-eva ca Ank-_2,8.18b
   grīṣmamṛtyuṃjayasya ca Ang_1.596b	grIzma-mRtyuMjayasya ca Ank-_1.596b
   ghaṭikādvayameva vā Ang_1.220d	GawikA-dvayam-eva vA Ank-_1.220d
   ghātayitvā narān parān Ang_1.260d	GAtayitvA narAn parAn Ank-_1.260d
   ghrātvā pītvā nirīkṣyātha Ang_2,8.3a	GrAtvA pItvA nirIkzya-aTa Ank-_2,8.3a
   -ghrāya vā tatparaṃ punaḥ Ang_1.856b	-GrAya vA tat-param punar Ank-_1.856b
   cakravallī nipānakṛt Ang_1.521b	cakravallI nipAna-kRt Ank-_1.521b
   cakrike grahaṇe tathā Ang_1.914b	cakrike grahaNe taTA Ank-_1.914b
   caṇḍālatvaṃ bhajeta vai Ang_1.205b	caNxAla-tvam Bajeta vE Ank-_1.205b
   caṇḍāleṣveva niṣkampaṃ Ang_1.357a	caNxAlezu-eva nizkampam Ank-_1.357a
   catasraḥ ṣaḍaśītayaḥ Ang_1.639b	catasraH zaz-aSItayaH Ank-_1.639b
   catasraḥ ṣaḍaśītayaḥ Ang_1.645b	catasraH zaz-aSItayaH Ank-_1.645b
   catasro viṣṇupadyaśca Ang_1.639c	catasraH vizNupadyaH-ca Ank-_1.639c
   catasro viṣṇupadyaśca Ang_1.645c	catasraH vizNupadyaH-ca Ank-_1.645c
   catugurṇaṃ śūdrayogād Ang_1.192c	catugurNam SUdra-yogAt Ang_1.192c
   caturṇāmapi vedānāṃ Ang_2,5.2a	caturNAm-api vedAnAm Ank-_2,5.2a
   caturthadivase kuryād Ang_1.87c	caturTa-divase kuryAt Ank-_1.87c
   caturthasya sakṛtkila Ang_1.675b	caturTasya sakRt-kile Ank-_1.675b
   caturdaśapadāni ca Ang_1.538b	caturdaSa-padAni ca Ank-_1.538b
   caturdaśyāṃ viśeṣeṇa Ang_1.709c	caturdaSyAm viSezeNa Ank-_1.709c
   caturbhiḥ sādhanaiścaiva Ang_2,1.6c	caturBiH sADanEH-ca-eva Ank-_2,1.6c
   caturviṃśativārṣikam Ang_1.1060b	caturviMSati-vArzikam Ank-_1.1060b
   caturviṃśaddinādhikāḥ Ang_1.36b	caturviMSat-dina-aDikAH Ank-_1.36b
   catuṣkulaikaparyantaṃ Ang_1.1007a	catuzkula-eka-paryantam Ank-_1.1007a
   catuṣṭayamiti kramāt Ang_1.287d	catuzwayam-iti kramAt Ank-_1.287d
   catuḥṣaṣṭikulānyasya Ang_1.328c	catuHzazwi-kulAni-asya Ank-_1.328c
   catvāraḥ kathitāḥ sadbhir Ang_1.1056a	catvAraH kaTitAH sadBiH Ank-_1.1056a
   catvāraḥ patitā proktā Ang_2,7.9c	catvAraH patitA proktAH Ank-_2,7.9c
   catvāriṃśaddevatākam Ang_1.680a	catvAriMSat-devatAkam Ank-_1.680a
   catvāro vā trayo vāpi Ang_2,4.3a	catvAraH vA trayaH vA-api Ank-_2,4.3a
   candanaiḥ spandanairnīpais Ang_1.546c	candanEH spandanEH-nIpEH Ank-_1.546c
   campakaiḥ pāṭalībhiśca Ang_1.546a	campakEH pAwalIBiH-ca Ank-_1.546a
   caruṇā lājato 'pi vā Ang_1.89d	caruNA lAjataH api vE Ank-_1.89d
   caretsarvaṃ nipātane Ang_2,10.4d	caret-sarvam nipAtane Ank-_2,10.4d
   caredeva na saṃdehas Ang_1.300a	caret-eva na saMdehaH Ank-_1.300a
   caredyatnena śudhyarthaṃ Ang_1.172a	caret-yatnena SuDi-arTam Ank-_1.172a
   caredyadi viśeṣeṇa Ang_1.701a	caret-yadi viSezeNa Ank-_1.701a
   carmaṇā tena saṃvṛtaḥ Ang_2,11.2b	carmaNA tena saMvRtaH Ank-_2,11.2b
   carmanirmocane tathā Ang_2,10.11b	carma-nirmocane taTA Ank-_2,10.11b
   caryāśuddhiprakāśanam Ang_2,1.5d	caryA-SudDi-prakASanam Ank-_2,1.5d
   cā 'kḷptā ityudīritāḥ Ang_1.638d	cA ak?ptAH iti-udIritAH Ank-_1.638d
   cākrikaṃ grahaṇaṃ mukhyam Ang_1.280a	cAkrikam grahaNam muKyam Ank-_1.280a
   cāṭupāruṣyabhāṣaṇam Ang_1.1026b	cAwu-pAruzya-BAzaNam Ank-_1.1026b
   cāturvedyā iti smṛtāḥ Ang_2,5.2d	cAturvedyAH iti smRtAH Ank-_2,5.2d
   cāturvedyo vikalpī ce Ang_2,5.1a	cAturvedyaH vikalpI ce Ank-_2,5.1a
   cādyaprabhṛti bhūtale Ang_1.592d	ca-adya-praBRti BU-tale Ang_1.592d
   cādhīyānasya nityaśaḥ Ang_2,8.7b	ca-aDIyAnasya nityaSas Ank-_2,8.7b
   cāpāgrayānataḥ paścāt Ang_1.206c	cApa-agra-yAnataH paScAt Ank-_1.206c
   cāpāgrayānaṃ kṛtvādau Ang_1.189a	cApa-agra-yAnam kRtvA-AdO Ank-_1.189a
   cāpāgrasnānaśanakair Ang_1.1066a	cApa-agra-snAna-SanakEs Ank-_1.1066a
   cāpāgraṃ tadbhavecchuciḥ Ang_1.222b	cApa-agram tat-Bavet-SuciH Ank-_1.222b
   cāpāgre snānamācaret Ang_1.143b	cApa-agre snAnam-Acaret Ank-_1.143b
   cārayitvā pradīyate Ang_2,4.2b	cArayitvA pradIyate Ank-_2,4.2b
   cāśaikaraṇamārabhet Ang_1.808b	ca-ASEkaraNam-AraBet Ank-_1.808b
   cāsanādi samarcayet Ang_1.970d	ca-Asana-Adi samarcayet Ank-_1.970d
   cāhamasmīti sūktakam Ang_1.816b	ca-aham-asmi-iti sUktakam Ank-_1.816b
   cittaṃ niścaya ucyate Ang_2,4.1b	cittam niScayaH ucyate Ank-_2,4.1b
   citrakarma yathānekair Ang_2,4.10a	citrakarma yaTA-anekEH Ank-_2,4.10a
   cintayanneva taccaret Ang_1.316b	cintayan=-eva tat-caret Ank-_1.316b
   cintitārthaikadāyinī Ang_1.10d	cintita-arTa-eka-dAyinI Ank-_1.10d
   cirakāle tu tadbhavet Ang_1.175d	cira-kAle tu tat-Bavet Ank-_1.175d
   ciratyaktāndhasastathā Ang_1.295b	cira-tyakta-anDasaH-taTA Ank-_1.295b
   cirādbhrāntyādikṛcchrataḥ Ang_1.205d	cirAt-BrAnti-Adi-kRcCrataH Ank-_1.205d
   cīrṇavedavratairdvijaiḥ Ang_2,4.5b	cIrNa-veda-vratEH-dvijEH Ank-_2,4.5b
   cullisthāni bhaveyurhi Ang_1.820a	culli-sTAni BaveyuH-hi Ank-_1.820a
   cūrṇakalkaprabhedena Ang_1.530c	cUrNa-kalka-praBedena Ank-_1.530c
   cetasā tu vayaṃ tathā Ang_1.1090d	cetasA tu vayam taTA Ank-_1.1090d
   cenmanastaccarennanu Ang_1.386d	ced-manaH-tat-caret-nanu Ank-_1.386d
   celaṃ vājinameva vā Ang_1.55b	celam vAjinam-eva vA Ank-_1.55b
   celaṃ vā 'nugrahādikam Ang_1.1025d	celam vA anugraha-Adikam Ank-_1.1025d
   ceṣṭaiḥ sa upabhujyatām Ang_1.895d	cezwEH saH upaBujyatAm Ank-_1.895d
   caikārṣeyāṇi kānicit Ang_1.350b	ca-eka-ArzeyANi kAnicid Ank-_1.350b
   caikoddiṣṭaṃ na pārvaṇam Ang_1.689d	ca-eka-uddizwam na pArvaNam Ank-_1.689d
   caiva dharmo 'khilo mahān Ang_1.461d	ca-eva DarmaH aKilaH mahAn Ank-_1.461d
   caivamityapi vai punaḥ Ang_1.362d	ca-evam-iti-api vE punar Ank-_1.362d
   caivaṃ dharmo na hīyate Ang_2,7.6d	ca-evam DarmaH na hIyate Ank-_2,7.6d
   codanā saiva nānyā sā Ang_1.4c	codanA sA-eva na-anyA sA Ang_1.4c
   coditaṃ brahmavādibhiḥ Ang_1.69b	coditam brahma-vAdiBiH Ank-_1.69b
   coditaḥ smṛtikartṛbhiḥ Ang_1.616b	coditaH smRti-kartRBiH Ank-_1.616b
   copastīrya tataḥ punaḥ Ang_1.809b	ca-upastIrya tatas punar Ank-_1.809b
   copasthānasya lakṣaṇam Ang_2,2.1b	ca-upasTAnasya lakzaNam Ank-_2,2.1b
   coravyāghrādibhirbhayaiḥ Ang_2,11.6b	cora-vyAGra-AdiBiH-BayEH Ank-_2,11.6b
   corvārurmama kā gatiḥ Ang_1.587d	ca-UrvAruH-mama kA gatiH Ang_1.587d
   coṣmaśūnyaṃ na paitṛkam Ang_1.821d	ca-Uzma-SUnyam na pEtRkam Ang_1.821d
   caulasyākaraṇe tataḥ Ang_1.16d	cOlasya-akaraNe tatas Ank-_1.16d
   cauṣadhātikṣudaśnataḥ Ang_1.292d	ca-OzaDAt-ikzudaSnataH Ank-_1.292d
   cyutacūtānarāmarāḥ Ang_1.504b	cyuta-cUta-anara-amarAH Ank-_1.504b
   charīrārogyahetave Ang_1.251b	SarIra-Arogya-hetave Ank-_1.251b
   chardayitvātitāḍitaḥ Ang_1.260b	CardayitvA-ati-tAxitaH Ank-_1.260b
   chrāddhakartā na tena saḥ Ang_1.109b	CrAdDa-kartA na tena saH Ank-_1.109b
   chrāddhaśeṣaṃ samāpayet Ang_1.1080b	CrAdDa-Sezam samApayet Ank-_1.1080b
   chrāddhānuṣṭhānamucyate Ang_1.1044b	CrAdDa-anuzWAnam-ucyate Ank-_1.1044b
   jakārapañcakaṃ tvekaṃ Ang_1.475a	jakAra-paQcakam tu-ekam Ank-_1.475a
   jakārapañcakaṃ proktaṃ Ang_1.485c	jakAra-paQcakam proktam Ang_1.485c
   jakārapañcakaṃ vatsaḥ Ang_1.483c	jakAra-paQcakam vatsaH Ank-_1.483c
   jagadurbrahmavādinaḥ Ang_1.456d	jagaduH-brahma-vAdinaH Ank-_1.456d
   jagmuḥ kila surottamaiḥ Ang_1.567b	jagmuH kila sura-uttamEH Ank-_1.567b
   jaḍo bhrāntaśca durmanāḥ Ang_1.464d	jaxaH BrAntaH-ca durmanAH Ank-_1.464d
   janakasyaiva gotre tān Ang_1.341c	janakasya-eva gotre tAn Ank-_1.341c
   janakāśaucamocane Ang_1.301d	janakASOca-mocane Ank-_1.301d
   janakena sahātmajaḥ. Ang_1.976b	janakena saha-AtmajaH. Ank-_1.976b
   jananakramataścedaṃ Ang_1.672c	janana-kramataH-ca-idam Ank-_1.672c
   jananītvādinā bhavet Ang_1.119d	jananI-tvAdinA Bavet Ang_1.119d
   janānāṃ purato dṛḍham Ang_1.371b	janAnAm puratas dRXam Ank-_1.371b
   janārdanamahāsmṛtiḥ Ang_1.484d	janArdana-mahA-smRtiH Ank-_1.484d
   janiturmukhyasūnuḥ syād Ang_1.127c	janituH-muKya-sUnuH syAt Ank-_1.127c
   jantūnāṃ janmamocanī Ang_1.916b	jantUnAm janma-mocanI Ank-_1.916b
   janmabhūmyādikaṃ tatra Ang_1.478a	janma-BUmi-Adikam tatra Ank-_1.478a
   janmaśārīravidyābhir Ang_2,4.9a	janma-SArIra-vidyABiH Ank-_2,4.9a
   janmasiddhātisuśriyaḥ Ang_1.572d	janma-sidDa-ati-suSriyaH Ank-_1.572d
   japatāṃ juhvatāṃ caiva Ang_2,12.12a	japatAm juhvatAm ca-eva Ank-_2,12.12a
   japato juhvato vāpi Ang_2,8.7c	japataH juhvataH vA-api Ank-_2,8.7c
   japahomavratādikān Ang_1.1023b	japa-homa-vrata-AdikAn Ank-_1.1023b
   japaṃstaptākhyakaṃ śivam Ang_1.201d	japan=-tapta-AKyakam Sivam Ang_1.201d
   japitvā pātamānīyaṃ Ang_2,10.7c	japitvA pAtam-AnIyam Ank-_2,10.7c
   japedaṣṭasahasrakam Ang_2,12.3b	japet-azwa-sahasrakam Ank-_2,12.3b
   japo godānameva ca Ang_1.150d	japaH go-dAnam-eva ca Ank-_1.150d
   japtvaitā vyāhṛtīrdivyāḥ Ang_1.20c	japtvA-etAH vyAhRtIH-divyAH Ank-_1.20c
   jalabudbudasaṃkāśaṃ Ang_1.315a	jala-budbuda-saMkASam Ank-_1.315a
   jalavatsaṃpraśīryate Ang_2,6.10d	jala-vat-saMpraSIryate Ank-_2,6.10d
   jalaṃ tatraiva vartante Ang_1.1111c	jalam tatra-eva vartante Ang_1.1111c
   jalaṃ bhūmigataṃ katham Ang_1.562b	jalam BUmi-gatam kaTam Ank-_1.562b
   jalārdhaṃ jāhnavītīraṃ Ang_1.484c	jala-arDam jAhnavI-tIram Ank-_1.484c
   jalā lavaṇaśambarāḥ Ang_1.936b	jalA lavaNa-SambarAH Ank-_1.936b
   jātakarmādinā tasya Ang_1.306c	jAtakarma-AdinA tasya Ank-_1.306c
   jātakādi samācaret Ang_1.221b	jAtaka-Adi samAcaret Ank-_1.221b
   jātaputro 'thavā yajan Ang_1.379b	jAta-putraH aTavA yajan Ank-_1.379b
   jātaputro 'pyāhitāgnir Ang_1.428c	jAta-putraH api-AhitAgniH Ank-_1.428c
   jātamātre dharmapatnī- Ang_1.431c	jAta-mAtre Darma-patnI Ank-_1.431c
   jātahomātparaṃ pṛthak Ang_1.406b	jAta-homAt-param pRTak Ank-_1.406b
   jātaṃ dharmeṇa pūrvajam Ang_1.381b	jAtam DarmeNa pUrvajam Ank-_1.381b
   jātānāṃ pāṇipīḍane Ang_1.343b	jAtAnAm pANi-pIxane Ank-_1.343b
   jātānāṃ saṅkaṭaṃ mahat Ang_1.1007b	jAtAnAm saFkawam mahat Ank-_1.1007b
   jātibhraṣṭānakarmiṣṭhān Ang_1.139c	jAti-BrazwAna-karmizWAn Ank-_1.139c
   jātibhraṃśakarādiṣu Ang_1.168d	jAti-BraMSa-kara-Adizu Ank-_1.168d
   jāte tatpitaraḥ param Ang_1.714b	jAte tad-pitaraH param Ank-_1.714b
   jāte naṣṭe ca pitari Ang_1.1047c	jAte nazwe ca pitari Ank-_1.1047c
   jāte 'pi caurase bhūyaḥ Ang_1.363a	jAte api ca-Orase BUyas Ank-_1.363a
   jāto 'dhikaḥ pradattāttu Ang_1.1011a	jAtaH aDikaH pradattAt-tu Ank-_1.1011a
   jānadbhirapi ca dvijaiḥ Ang_2,7.5d	jAnadBiH-api ca dvijEH Ank-_2,7.5d
   jānadbhiḥ parṣadaḥ panthā Ang_2,7.2c	jAnadBiH parzadaH panTAH Ang_2,7.2c
   jānanto na prayacchanti Ang_2,7.1c	jAnantaH na prayacCanti Ank-_2,7.1c
   jānanvāpyanyathā vadet Ang_2,6.13b	jAnan-vA-api-anyaTA vadet Ank-_2,6.13b
   jāyate śrāddhavārakaḥ Ang_1.51d	jAyate SrAdDa-vArakaH Ank-_1.51d
   jāhnavī saritāṃ mukhyā Ang_1.921c	jAhnavI saritAm muKyAH Ank-_1.921c
   jihvāyamitarasya ca Ang_1.740b	jihvA-ayam-itarasya ca Ank-_1.740b
   jīrṇaśaktimato nuścet Ang_1.290a	jIrNa-SaktimataH nuScet Ank-_1.290a
   jīvacchrāddhaṃ tu tatproktaṃ Ang_1.679c	jIvat-SrAdDam tu tat-proktam Ank-_1.679c
   jīvattāto 'pi kartā syād Ang_1.721a	jIvat-tAtaH api kartA syAt Ank-_1.721a
   jīvanneva bhavecchūdro Ang_2,8.8c	jIvan=-eva Bavet-SUdraH Ank-_2,8.8c
   jīve pitari cecchrāddhe Ang_1.106a	jIve pitari ced-SrAdDe Ank-_1.106a
   juhuyātsaṃskṛtaṃ ghṛtam Ang_1.79b	juhuyAt-saMskRtam GRtam Ank-_1.79b
   jñātajātirjanoktitaḥ Ang_1.1050b	jQAta-jAtiH-jana-uktitaH Ank-_1.1050b
   'jñātavāsibhireva vai Ang_1.633d	ajQAta-vAsiBiH-eva vE Ang_1.633d
   jñātājñātaikagotrakaḥ Ang_1.1049d	jQAta-ajQAta-eka-gotrakaH Ank-_1.1049d
   jñātisādhāraṇaṃ bhavet Ang_1.311b	jQAti-sADAraNam Bavet Ank-_1.311b
   jñātvā taddhṛdayaṃ sarvam Ang_1.582c	jQAtvA tad-hRdayam sarvam Ank-_1.582c
   jñātvā taṃ sarvasundaram Ang_1.590b	jQAtvA tam sarva-sundaram Ank-_1.590b
   jñātvā tūṣṇīṃ vyavasthitāḥ Ang_1.581d	jQAtvA tUzNIm vyavasTitAH Ank-_1.581d
   jñātvā bālyena kevalam Ang_1.1057d	jQAtvA bAlyena kevalam Ank-_1.1057d
   jñānājñānata eva vai Ang_1.899d	jQAna-ajQAnataH eva vE Ang_1.899d
   jñānāya kila tatparam Ang_1.344b	jQAnAya kila tad-param Ank-_1.344b
   jñānenā 'jñānato vā 'pi Ang_1.544a	jQAnenA ajQAnataH vA api Ank-_1.544a
   jñeyā viṣṇupadāhvayā Ang_1.640b	jQeyA vizNu-pada-AhvayA Ank-_1.640b
   jyeṣṭha eva na saṃśayaḥ Ang_1.378b	jyezWaH eva na saMSayaH Ank-_1.378b
   jyeṣṭhaputra iti smṛtaḥ Ang_1.450b	jyezWa-putraH iti smRtaH Ank-_1.450b
   jyeṣṭhaḥ kanīyānna bhavettathaiko Ang_1.426c	jyezWaH kanIyAn-na Bavet-taTA-ekaH Ank-_1.426c
   jyeṣṭhāyāstatkaniṣṭhājaḥ Ang_1.440c	jyezWAyAH-tad-kanizWA-jaH Ank-_1.440c
   jyeṣṭhena dattaputreṇa Ang_1.441a	jyezWena datta-putreNa Ank-_1.441a
   jyaiṣṭhyakāniṣṭhyavarjitaḥ Ang_1.126b	jyEzWyaka-anizWya-varjitaH Ank-_1.126b
   jyotiṣāmayane caiva Ang_2,5.4c	jyotizAmayane ca-eva Ank-_2,5.4c
   jvalano jananotpanna- Ang_1.485a	jvalanaH janana-utpanna Ank-_1.485a
   ṭiṭṭibhe khañjarīṭake Ang_2,10.16b	wiwwiBe KaQjarIwake Ank-_2,10.16b
   ta ete kila sarvepi Ang_1.1054a	te ete kila sarva-ipi Ank-_1.1054a
   ta ete tanayāḥ sadā Ang_1.1067d	te ete tanayAH sadA Ank-_1.1067d
   ta ete tanayāḥ sarve Ang_1.332c	te ete tanayAH sarve Ank-_1.332c
   ta ete divyaśākāḥ syuḥ Ang_1.527c	te ete divya-SAkAH syuH Ank-_1.527c
   ta ete nikhilā dharmā Ang_1.1081c	te ete niKilAH DarmAH Ank-_1.1081c
   ta ete nikhilāḥ parāḥ Ang_1.477b	te ete niKilAH parAH Ank-_1.477b
   ta eva kathitāḥ parāḥ Ang_1.468b	te eva kaTitAH parAH Ank-_1.468b
   ta eva nānye kartavyāḥ Ang_1.696c	te eva na-anye kartavyAH Ank-_1.696c
   ta eva piṇḍāḥ pitaras Ang_1.864a	te eva piNxAH pitaraH Ank-_1.864a
   ta eva vratadāḥ smṛtāḥ Ang_2,5.8d	te eva vrata-dAH smRtAH Ank-_2,5.8d
   takrābhāve tu yāvakam Ang_2,12.5d	takra-aBAve tu yAvakam Ank-_2,12.5d
   tacca pañcaśatābdānām Ang_1.282a	tat-ca paQca-Sata-abdAnAm Ank-_1.282a
   taccākrikamiti proktaṃ Ang_1.281c	tat-ca-Akrikam-iti proktam Ang_1.281c
   taccāṇḍālaṃ prakīrtitam Ang_1.97b	tat-cANxAlam prakIrtitam Ank-_1.97b
   taccāpi vaiṣṇavaṃ dhāma Ang_1.913a	tat-ca-api vEzNavam DAma Ank-_1.913a
   taccāvaśyakamucyate Ang_1.1075d	tat-ca-AvaSyakam-ucyate Ank-_1.1075d
   taccaitrāmalako grāhya Ang_1.508c	tat-cEtra-AmalakaH grAhyaH Ank-_1.508c
   tacchatādhikamucyate Ang_1.1112d	tat-Sata-aDikam-ucyate Ank-_1.1112d
   tacchāntistena nānyena Ang_1.190a	tat-SAntiH-tena na-anyena Ank-_1.190a
   tacchāyāpatramūlakaiḥ Ang_1.500d	tad-CAyA-patra-mUlakEH Ank-_1.500d
   tacchāyābhiśca tatphalaiḥ Ang_1.546d	tad-CAyABiH-ca tad-PalEH Ank-_1.546d
   tacchāstrādhikakṛtyataḥ Ang_1.850d	tad-SAstra-aDika-kRtyataH Ank-_1.850d
   tacchudhyarthaṃ rasāyāṃ tu Ang_1.220a	tat-SuDi-arTam rasAyAm tu Ank-_1.220a
   taccheṣatiladarbhaistu Ang_1.719a	tad-Seza-tila-darBEH-tu Ank-_1.719a
   taccheṣeṇa yamāyeti Ang_1.810c	tad-SezeNa yamAya-iti Ank-_1.810c
   taccheṣeṇa samāpanam Ang_1.72d	tad-SezeNa samApanam Ank-_1.72d
   tacchrāddhaṃ bhavatītyāhur Ang_1.41a	tat-SrAdDam Bavati-iti-AhuH Ank-_1.41a
   tacchreṣṭhā vai smṛtākhilaiḥ Ang_1.940d	tad-SrezWAH vE smRta-aKilEH Ank-_1.940d
   tajjakārasya pañcakam Ang_1.478b	tad-jakArasya paQcakam Ank-_1.478b
   tajjapastasya niṣkṛtiḥ Ang_1.19b	tad-japaH-tasya nizkRtiH Ank-_1.19b
   tajjalaṃ śrāddhakarmaṇi Ang_1.942d	tat-jalam SrAdDa-karmaNi Ank-_1.942d
   tajjaṃ tatprapitāmaham Ang_1.1002d	tad-jam tad-prapitAmaham Ank-_1.1002d
   tajjātānāṃ vivāhasya Ang_1.344c	tad-jAtAnAm vivAhasya Ank-_1.344c
   tajjānāṃ saṃprakīrtitam Ang_1.676d	tad-jAnAm saMprakIrtitam Ang_1.676d
   tajjñātigatameva vai Ang_1.312b	tad-jQAti-gatam-eva vE Ank-_1.312b
   taṇḍulān dadhitakrājya- Ang_1.1024c	taNxulAn daDi-takrAjya Ank-_1.1024c
   taṇḍulairakṣataiḥ puṣpais Ang_1.860c	taNxulEH-akzatEH puzpEH Ank-_1.860c
   tataśca krāntayaḥ smṛtāḥ Ang_1.638b	tatas-ca krAntayaH smRtAH Ank-_1.638b
   tataśca śrāddhamekakam Ang_1.716d	tatas-ca SrAdDam-ekakam Ang_1.716d
   tataścetputrakāmukaḥ Ang_1.868d	tatas-ced-putra-kAmukaH Ank-_1.868d
   tatastāṃ bibhṛyādapi Ang_1.207d	tatas-tAm biBRyAt-api Ank-_1.207d
   tataste praṇipātena Ang_2,2.9a	tatas-te praNipAtena Ank-_2,2.9a
   tataḥ pariṣadaṃ vrajet Ang_2,2.7d	tatas parizadam vrajet Ang_2,2.7d
   tataḥ śuddhā bhavetsā tu Ang_1.191c	tatas SudDA Bavet-sA tu Ank-_1.191c
   tataḥ śuddho bhavedevaṃ Ang_1.198c	tatas SudDaH Bavet-evam Ank-_1.198c
   tataḥ śrāddhaikasādguṇya- Ang_1.893a	tatas SrAdDa-ekasAdguNya Ank-_1.893a
   tataḥ sā niyatā śuciḥ Ang_1.869d	tatas sA niyatA SuciH Ang_1.869d
   tataḥ svayaṃ ca nityaṃ vai Ang_1.209a	tatas svayam ca nityam vE Ank-_1.209a
   tato 'gnau karaṇaṃ kuryād Ang_1.802c	tatas agnO karaNam kuryAt Ank-_1.802c
   tato 'gnau juhuyāccarum Ang_1.971b	tatas agnO juhuyAt-carum Ank-_1.971b
   tato jyeṣṭhasya cetputras Ang_1.407a	tatas jyezWasya ced-putraH Ank-_1.407a
   tato dadyāttilodakam Ang_1.853b	tatas dadyAt-tila-udakam Ank-_1.853b
   tato 'dhiko yajñadattas Ang_1.332a	tatas aDikaH yajQadattaH Ank-_1.332a
   tato 'pi dviguṇaḥ paraḥ Ang_1.331d	tatas api dviguNaH paraH Ank-_1.331d
   tato bhūyaḥ sagotriṇaḥ Ang_1.677b	tatas BUyas sagotriNaH Ank-_1.677b
   tato mātāmahānāṃ ca Ang_1.665a	tatas mAtAmahAnAm ca Ank-_1.665a
   tato vidvān mahātmā yo Ang_1.1050c	tatas vidvAn mahAtmA yaH Ang_1.1050c
   tato 'sya vratamādiśet Ang_2,5.12d	tatas asya vratam-AdiSet Ank-_2,5.12d
   tatkareṇa na pīḍayet Ang_1.235d	tad-kareNa na pIxayet Ank-_1.235d
   tatkartṛkāṇi śrāddhāni Ang_1.108c	tad-kartRkANi SrAdDAni Ank-_1.108c
   tatkarmaṇi na cetaraḥ Ang_1.437d	tat-karmaNi na ca-itaraH Ank-_1.437d
   tatkarmaṇi punaḥ prāpte Ang_1.119c	tat-karmaNi punar prApte Ank-_1.119c
   tatkarmamadhye na punaḥ Ang_1.807c	tad-karma-maDye na punar Ank-_1.807c
   tatkalāvṛddhijanakaṃ Ang_1.1102a	tad-kalA-vRdDi-janakam Ank-_1.1102a
   tatkāryakaraṇaṃ tadvad Ang_1.475c	tad-kArya-karaNam tadvat Ank-_1.475c
   tatkālabhakṣaṇamapi Ang_1.294c	tad-kAla-BakzaNam-api Ank-_1.294c
   tatkālabhakṣaṇāvṛttir Ang_1.296a	tad-kAla-BakzaNa-AvRttiH Ank-_1.296a
   tatkālaḥ puṇyadaḥ smṛtaḥ Ang_1.644b	tad-kAlaH puNya-daH smRtaH Ank-_1.644b
   tatkālājīrṇarāhitye Ang_1.289a	tad-kAla-ajIrNa-rAhitye Ank-_1.289a
   tatkālājīrṇaśūnyatā Ang_1.297b	tad-kAla-ajIrNa-SUnyatA Ank-_1.297b
   tatkāle kevale 'pi vā Ang_1.284d	tad-kAle kevale api vE Ank-_1.284d
