   Śayanāsanavastu	Śayana-Asana-vastu
   ārāgayati; sa kare kapolaṃ datvā cintāpro vyavasthitaḥ; tasya madhuskandho	ArAgayati; sa kare kapolam datvA cintA-praH vyavasTitaH; tasya maDuskanDaH-
   nāma mānavo vayasyaḥ; tenāsau dṛṣṭas tathā cintāparaḥ; sa kathayati:	nAma mAnavaH vayasyaH; tena-asO dRzwaH taTA cintA-paraH; sa kaTayati:
   kasmāt tvaṃ gṛhapate kare kapolaṃ datvā cintāparas tiṣṭhasīti; sa	kasmAt tvam gRhapate kare kapolam datvA cintA-paraH tizWasi-iti; sa
   kathayati: mayā ṣaṇṇāṃ putrāṇāṃ niveśaḥ kṛtaḥ; saptamasya sujātasya	kaTayati: mayA zaNNAm putrANAm niveSaH kRtaH; saptamasya sujAtasya
   sadṛśakulaṃ cintayāmi katarat tat kulaṃ yato 'sya niveṣaṃ kariṣyāmīti; sa	sadRSa-kulam cintayAmi katarat tat kulam yatas asya nivezam karizyAmi-iti; sa
   kathayati: alpotsukas tiṣṭha aham asya sadṛśaṃ kulaṃ gaveṣayāmi;	kaTayati: alpa-utsukaH tizWa aham asya sadRSam kulam gavezayAmi;
   katarasmin deśe? sa kathayati; magadhaviṣayaṃ tāvad gacchami; evaṃ kuru;	katarasmin deSe? sa kaTayati; magaDa-vizayam tAvat gacCami; evam kuru;
   sa rājagṛhaṃ gataḥ; rājagṛhe anyatamo gṛhapatir āḍhyo mahādhano mahābhogo	sa rAja-gRham gataH; rAja-gRhe anyatamaH gRhapatiH AXyaH mahADanaH mahA-BogaH-
   'nāthapiṇḍadasya pratirūpaḥ; sa tasya gṛhaṃ praviṣṭo dvāraśālāyāṃ sthitvā	anATapiNxadasya pratirUpaH; sa tasya gRham pravizwaH dvAra-SAlAyAm sTitvA
   kathayati: svasti svastīti; tasya gṛhajanāḥ kathayanti: brāhmaṇa kiṃ	kaTayati: svasti svasti-iti; tasya gRha-janAH kaTayanti: brAhmaNa kim
   prārthayasi? kanyābhikṣām; kasyārthāya? śrāvastyām anāthapiṇḍado gṛhapatis	prArTayasi? kanyA-aBikzAm; kasya-arTAya? SrAvastyAm anATapiNxadaH gRhapati-s
   tasya putraḥ sujāto nāmnā; te kathayanti sādṛṣo 'smākaṃ kulena; api tu	tasya putraH sujAtaH nAmnA; te kaTayanti sAdRzaH asmAkam kulena; api tu
   prabhūtam asmākaṃ kulaśulkam; (A 318a) kiyatprabhūtam? śatam aśvānāṃ śataṃ	praBUtam asmAkam kula-Sulkam; (A 318a) kiyat-praBUtam? Satam aSvAnAm Satam
   niṣkāṇāṃ śatam aśvatarīrathānāṃ śataṃ kāmbojikānāṃ kanyānām iti;	nizkANAm Satam aSvatarI-raTAnAm Satam kAmbojikAnAm kanyAnAm iti;
   madhuskandhena (MSV III 137) mānavenānāthapiṇḍadasya gṛhapater anenārthena	maDu-skanDena (MSV III 137) mAnavena-anATapiNxadasya gRhapateH anena-arTena
   lekho dattaḥ: tenāpi vācayitvā pratīccha sarvaṃ mayā deyam iti; tena	leKaH dattaH: tena-api vAcayitvA pratIcCa sarvam mayA deyam iti; tena
   divasamuhūrtayogena pratīṣṭam	divasa-muhUrta-yogena pratIzwam
        tatas taiḥ śucinā praṇītena prabhūtenāhāreṇa saṃtarpito mānavakaḥ	tatas tEH SucinA praNItena praBUtena-AhAreNa saMtarpitaH mAnavakaH
   śālāṃ gatvā vāsam upagato viṣūcitaḥ; aparicitā brāhmaṇāḥ; sa tair	SAlAm gatvA vAsam upagataH vizUcitaH; aparicitAH brAhmaNAH; sa tEH-
   aśucibhayād bahir niṣkāsayitvā cchoritaḥ; daivād āyuṣmantau	aSuci-BayAt bahis nizkAsayitvA cCoritaH; dEvAt AyuzmantO
   śāriputramaudgalyāyanau taṃ pradeśam āgatau; sa tābhyāṃ dṛṣṭaḥ; tatas	SAriputra-mOdgalyAyanO tam pradeSam AgatO; sa tAByAm dRzwaH; tatas-
   tābhyāṃ vaṃśavidalikayā nirlikhya pāṇḍumṛttikayā udvartya snāpitaḥ;	tAByAm vaMSa-vidalikayA nirliKya pANxu-mRttikayA udvartya snApitaH;
   tasyaiva dharmaṃ deśayitvā prakrāntau; tasya pravāhikā nāvatiṣṭhate; sa	tasya-eva Darmam deSayitvA prakrAntO; tasya pravAhikA na-avatizWate; sa
   tayor antike cittam abhiprasādya kālagataḥ; cāturmahārājikeṣu	tayoH antike cittam aBiprasAdya kAlagataH; cAturmahArAjikezu
   deveṣūpapannaḥ; sa vaiśravaṇasya mahārājasya sakāśaṃ gatvā bhavanaṃ	devezu-upapannaH; sa vESravaNasya mahA-rAjasya sakASam gatvA Bavanam
   prārthayate; sa kathayati: gaccha tad eva te śivikādvāraṃ bhavanam iti; sa	prArTayate; sa kaTayati: gacCa tat eva te SivikA-dvAram Bavanam iti; sa
   tatra gatvā naivāsikaḥ saṃvṛttaḥ (Śay-v 14)	tatra gatvA nEvAsikaH saMvRttaH (Śay-u 14)
        videharājena rājño biṃbisārasya haimavatānāṃ nāgānāṃ sātam	videha-rAjena rAjQaH biMbisArasya hEmavatAnAm nAgAnAm sAtam
   anupreṣitam; tena rājñā prasenajitaḥ kosalasya sandiṣṭam: mama	anuprezitam; tena rAjQA prasenajitaH kosalasya sandizwam: mama
   videharājena haimavatānāṃ nāgānāṃ śatam anupreṣitam; yady arthī bhavasi	videha-rAjena hEmavatAnAm nAgAnAm Satam anuprezitam; yadi arTI Bavasi
   preṣya iti	prezyaH iti
        anāthapiṇḍado gṛhapatir yena rājā prasenajit kosalas	anATapiNxadaH gRhapatiH yena rAjA prasenajit kosala-s
   tenopasaṃkrāntaḥ; upasaṃkramya rājānaṃ prasenajitaṃ kosalam idam avocat:	tena-upasaMkrAntaH; upasaMkramya rAjAnam prasenajitam kosalam idam avocat-:
   deva mama rājagṛhe kiṃcit prayojanam; tatra gatvā āgamiṣyāmīti; rājā	deva mama rAja-gRhe kiMcid prayojanam; tatra gatvA AgamizyAmi-iti; rAjA
   kathayati: śobhanaṃ gaccha mamāpi tasmāt hastiśatam āneyaṃ (MSV III 138)	kaTayati: SoBanam gacCa mama-api tasmAt hasti-Satam Aneyam (MSV III 138)
   tad aneṣyasīti; sa kathayati: deva yadi mama tatra prayojanaṃ ḥnaḥ bhavati	tat anezyasIti; sa kaTayati: deva yadi mama tatra prayojanam HnaH Bavati
   grahīṣyāmīti; ihāgamya devasya cttagrāhaṃ kariṣyāmīti; rājā kathayati:	grahIzyAmi-iti; iha-Agamya devasya cttagrAham karizyAmi-iti; rAjA kaTayati:
   śobhanam evaṃ bhavatv iti	SoBanam evam Bavatu iti
   Anāthapiṇḍada meets the Buddha	AnATapiNxada meetH Te BudDa
        tato 'nāthapiṇḍado gṛhapatiḥ prabhūtaṃ kulaśulkam ādāya rājagṛhaṃ	tatas anATapiNxadaH gRhapatiH praBUtam kula-Sulkam AdAya rAja-gRham
   gataḥ; sa yasya gṛhapater gṛhe vāsam upagataḥ sa gṛhapatiḥ sarātram	gataH; sa yasya gRhapateH gRhe vAsam upagataH sa gRhapatiH sarAtram
   evotthāyāntarjanam āmaṃtrayate: uttiṣṭhāryā uttiṣṭha; bhadramukhāḥ	eva-utTAya-antar-janam AmaMtrayate: uttizWAryAH uttizWa; Badra-muKAH
   kāṣṭhāni pāṭayata samitiṃ prajvālayata; bhaktaṃ pacata; sūpikaṃ pacata;	kAzWAni pAwayata samitim prajvAlayata; Baktam pacata; sUpikam pacata;
   khādyakāny ullāḍayata; pratijāgṛta maṇḍalavāṭam iti; athānāthapiṇḍasya	KAdyakAni ullAxayata; pratijAgRta maNxalavAwam iti; aTa-anATapiNxasya
   gṛhapater etad abhavat: kiṃ punar asya gṛhapater āvāho vā vivāho vā	gRhapateH etat aBavat: kim punar asya gRhapateH AvAhaH vA vivAhaH vA
   bhaviṣyati; rāṣṭraṃ vānena bhaktenopanimantritam? śreṇī vā, pūgo vā	Bavizyati; rAzwram vA-anena Baktena-upanimantritam? SreNI vA, pUgaH vA
   parṣado vā? rājā vānena māgadhaḥ śreṇyo bimbisāraḥ bhaktenopanimantritaḥ;	parzadaH vA? rAjA vA-anena mAgaDaH SreNyaH bimbisAraH Baktena-upanimantritaH;
   iti viditvā taṃ gṛhapatim idam avocat: kiṃ punas te gṛhapate āvāho vā	iti viditvA tam gRhapatim idam avocat: kim punar te gRhapate AvAhaH vA
   bhaviṣyati, vivāho vā rāṣṭraṃ vā tvayā bhaktenopanimantritaṃ śreṇī vā pūgo	Bavizyati, vivAhaH vA rAzwram vA tvayA Baktena-upanimantritam SreNI vA pUgaH-
   vā parṣado vā rājā vā te māgadhaḥ śreṇyo bimbisāro bhaktenopanimantrita	vA parzadaH vA rAjA vA te mAgaDaH SreNyaH bimbisAraH Baktena-upanimantrita
   iti; sa kathayati: gṛhapate na me āvāho bhaviṣyati na vivāho vā nāpi mayā	iti; sa kaTayati: gRhapate na me AvAhaH Bavizyati na vivAhaH vA na-api mayA
   rāṣṭraṃ bhaktenopanimantritaṃ, na śreṇī na pūgo na parṣado nāpi rājā	rAzwram Baktena-upanimantritaM, na SreNI na pUgaH na parzadaH na-api rAjA
   māgadhaḥ śreṇyo bimbisāro bhaktenopanimantritaḥ api tu buddhapramukho	mAgaDaH SreNyaH bimbisAraH Baktena-upanimantritaH api tu budDa-pramuKaH-
   bhikṣusaṃgho bhaktenopanimantrita; iti anāthapaiṇḍadasya gṛhapater buddha	Bikzu-saMGaH Baktena-upanimantrita; iti anATa-pa-eNxadasya gRhapateH budDa
   ity aśrutapūrvaṃ ghoṣaṃ śrutvā sarvaromakūpāny (A 318b) āhṛṣṭāni; sa	iti aSruta-pUrvam Gozam SrutvA sarva-romakUpAni (A 318b) AhRzwA-ani; sa
   āhṛṣṭaromakūpas taṃ gṛhapatim idam avocat: ka eṣa gṛhapate buddho nāma?	AhRzwa-romakUpaH tam gRhapatim idam avocat: kaH eza gRhapate budDaH nAma?
   asti gṛhapate śramaṇo (Śay-v 15) gautamaḥ śākyaputraḥ (MSV III 139)	asti gRhapate SramaNaH (Śay-u 15) gOtamaH SAkya-putraH (MSV III 139)
   śākyakulāt keśaśmaśrū avatārya kāṣāyāṇi vastrāṇy ācchādya samyag eva	SAkya-kulAt keSa-SmaSrU avatArya kAzAyANi vastrANi AcCAdya samyak eva
   śraddhayā agārād anagārikāṃ pravrajitaḥ; so 'nuttarāṃ samyaksaṃbodhim	SradDayA agArAt anagArikAm pravrajitaH; saH anuttarAm samyaksaMboDim
   abhisaṃbuddhaḥ; sa eṣa gṛhapate buddho nāma; ka eṣa gṛhapate saṅgho nāma?	aBisaMbudDaH; saH eza gRhapate budDaH nAma; kaH eza gRhapate saFGaH nAma?
   santi gṛhapate kṣatriyakulād api kulaputrāḥ keśaśmaśrū avatārya kāṣāyāṇy	santi gRhapate kzatriya-kulAt api kula-putrAH keSa-SmaSrU avatArya kAzAyANi-
   vastrāṇy ācchādya samyag eva śraddhayā agārād anāgārikāṃ tam eva	vastrANi AcCAdya samyak eva SradDayA agArAt anAgArikAm tam eva
   bhagavantaṃ pravrajitam anupravrajitāḥ; brāhmaṇakulād api vaiśyakulād api	Bagavantam pravrajitam anupravrajitAH; brAhmaNa-kulAt api vESya-kulAt api
   śūdrakulād api kulaputrāḥ keāśaśmaśrū avatārya kāṣāyāṇi vastrāṇi ācchādya	SUdra-kulAt api kula-putrAH keASa-SmaSrU avatArya kAzAyANi vastrANi AcCAdya
   samyag eva śraddhayā anāgārād anāgārikāṃ tam eva bhagavantaṃ pravrajitam	samyak eva SradDayA anAgArAt anAgArikAm tam eva Bagavantam pravrajitam
   anupravrajitāḥ; sa eṣa gṛhapate saṅgho nāma; ḥśvaḥḥ sa mayā buddhapramukho	anupravrajitAH; saH eza gRhapate saFGaH nAma; HSvaHH sa mayA budDa-pramuKaH-
   bhikṣusaṅgho 'ntargṛhe bhaktenopanimantritaḥ; kutra gṛhapate sa bhagavān	Bikzu-saFGaH antar-gRhe Baktena-upanimantritaH; kutra gRhapate sa BagavAn
   etarhi viharati? asminn eva rājagṛhe śītavane śmaśāne; labhyaṃ gṛhapate so	etarhi viharati? asmin eva rAja-gRhe SItavane SmaSAne; laByam gRhapate saH-
   'smābhir bhagavān draṣṭum? tena hi gṛhapate āgamaya tāvat tvam; sthānam	asmABiH BagavAn drazwum? tena hi gRhapate Agamaya tAvat tvam; sTAnam
   etad vidyate yad ihāgataṃ śvo drakṣyasi; anāthapiṇḍado gṛhapatis tāṃ	etat vidyate yat iha-Agatam Svas drakzyasi; anATapiNxadaH gRhapatiH tAm
   rātriṃ buddhālambanayā smṛtyā middham avakrāntaḥ; so 'prabhāte	rAtrim budDa-AlambanayA smRtyA midDam avakrAntaH; saH apraBAte
   prabhātasaṃjñī yena śivakadvāraṃ tenopsaṅkrāntaḥ; tena khalu samayena	praBAta-saMjQI yena Sivaka-dvAram tena-upsaFkra-antaH; tena Kalu samayena
   śivakadvāraṃ rātryā dvau yāmau vivṛtaṃ tiṣṭhati; pūrvakaṃ paścimakaṃ ca,	Sivaka-dvAram rAtryA dvO yAmO vivRtam tizWati; pUrvakam paScimakam ca,
   māhaiva āgantukānāṃ gamikānāṃ ca dūtānāṃ vighno bhaviṣyatīti; yāvat	mAhA-eva AgantukAnAm gamikAnAm ca dUtAnAm viGnaH Bavizyati-iti; yAvat-
   paśyati śivakadvāraṃ vivṛtam ālokena ca sphuṭam; tasyaitad adhavat: nūnaṃ	paSyati Sivaka-dvAram vivRtam Alokena ca sPuwam; tasya-etat aDavat: nUnam
   prabhātā rajanī: tathā hi śivakadvāraṃ vivṛtaṃ tiṣṭhati; iti viditvā	praBAtA rajanI: taTA hi Sivaka-dvAram vivRtam tizWati; iti viditvA
   tenaiva ālokena nagarān niṣkrāntaḥ; samanantaraniṣkrāntasya cāsya ya	tena-eva Alokena nagarAt nizkrAntaH; samanantara-nizkrAntasya ca-asya ya
   ālokaḥ (MSV III 140) so 'ntarhitaḥ; andhakāraṃ prādurbhūtam; tasyābhūd	AlokaH (MSV III 140) saH antarhitaH; anDakAram prAdurBUtam; tasya-aBUt-
   bhayam; abhūc chambhitatvaṃ; abhūd romaharṣah; māhaiva kaścid viheṭayen	Bayam; aBUt SamBita-tvaM; aBUt romaharza-h; mAha-eva kaScid vihewayet-
   manuṣyo vāmanuṣyo vā dhūrtako vā asaṃprāptam vā syāt prabhūtaṃ kulaśulkam	manuzyaH vA-amanuzyaH vA DUrtakaH vA asaMprAptam vA syAt praBUtam kula-Sulkam
   iti; viditvā pratinivartitukāmo madhuskandhasya devaputrasya sthaṇḍilaṃ	iti; viditvA pratinivartitu-kAmaH maDu-skanDasya deva-putrasya sTaNxilam
   pradakṣiṇīkaroti, namaskaroti ca; atha madhuskandhasya devaputrasya etad	pradakziNIkaroti, namaskaroti ca; aTa maDu-skanDasya deva-putrasya etat-
   abhavat: adyaivānāthapiṇḍadena gṛhapatinā satyadarśanaṃ kartavyam;	aBavat: adya-eva-anATapiNxadena gRhapatinA satya-darSanam kartavyam;
   adyaivāyaṃ buddhaṃ bhagavantam apāsya anyadevatānamaskāraṃ kariṣyati; iti	adya-eva-ayam budDam Bagavantam apAsya anya-devatA-namaskAram karizyati; iti
   viditvā yāvacca śivakadvāraṃ yavac ca śītavanaṃ śmaśānam atrāntarād	viditvA yAvat-ca Sivaka-dvAram yavat ca SItavanam SmaSAnam atra-antarAt-
   udāreṇāvabhāsenāvabhāsya anāthapiṇḍadaṃ gṛhapatim idam avocat: abhikrama	udAreNa-avaBAsena-avaBAsya anATapiNxadam gRhapatim idam avocat: aBikrama
   gṛhapate, mā pratikrama; abhikramatas te śreyo bhaviṣyati; na	gRhapate, mA pratikrama; aBikramataH te SreyaH Bavizyati; na
   pratikramataḥ; tat kasya hetoḥ? (Śay-v 16)	pratikramataH; tat kasya hetoH? (Śay-u 16)
        śatam aśvā śataṃ niṣkāḥ śatam aśvatarīrathāḥ /	Satam aSvAH Satam nizkAH Satam aSvatarI-raTAH /
        nānāvittasya saṃpūrṇāḥ śataṃ ca vaḍavārathāḥ /	nAnA-vittasya saMpUrNAH Satam ca vaxavAraTAH /
        padāvihārasyaikasya kalāṃ nārhanti ṣoḍaśīm //	padA-vihArasya-ekasya kalAm na-arhanti zoxaSIm //
   abhikrāma gṛhapate, mā pratikrāma; abhikramatas te śreyo bhavati, na	aBikrAma gRhapate, mA pratikrAma; aBikramataH te SreyaH Bavati, na
   pratikramataḥ; tat kasya hetoḥ?	pratikramataH; tat kasya hetoH?
        śataṃ haimavatā nāgāḥ suvarṇamaṇikalpitāḥ /	Satam hEmavatAH nAgAH suvarNa-maNi-kalpitAH /
        īṣādantā mahākāyā vyūḍhavanto mataṅgajāḥ /	IzA-dantAH mahA-kAyAH vyUXavantaH mataFga-jAH /
        padāvihārasyaikasya kalāṃ nārhanti ṣoḍaśīm //	padA-vihArasya-ekasya kalAm na-arhanti zoxaSIm //
   abhikrāma gṛhapate, mā pratikrama; abhikramatas (MSV III 141) te śreyo	aBikrAma gRhapate, mA pratikrama; aBikramataH (MSV III 141) te SreyaH-
   bhavati; na pratikramataḥ; tat kasya hetoḥ?	Bavati; na pratikramataH; tat kasya hetoH?
        śataṃ kāmbojikā kanyāḥ āmuktamaṇikuṇḍalāḥ /	Satam kAmbojikA kanyAH Amukta-maNi-kuNxalAH /
        suvarṇakeyūradharāḥ niṣkagrīvāḥ svalaṅkṛtāḥ /	suvarNa-keyUra-DarAH nizka-grIvAH su-alaFkRtAH /
        padāvihārasyaikasya kalāṃ nārhanti ṣoḍaśīm //	padA-vihArasya-ekasya kalAm na-arhanti zoxaSIm //
   abhikrāma gṛhapate, mā pratikrāma; abhikrāmatas te śreyo bhavati; na	aBikrAma gRhapate, mA pratikrAma; aBikrAmataH te SreyaH Bavati; na
   pratikrāmataḥ; (A 319a) athānāthapiṇḍado gṛhapatis taṃ devaputram idam	pratikrAmataH; (A 319a) aTa-anATapiNxadaH gRhapatiH tam deva-putram idam
   avocat: kas tvam bhadrmukha? aham asmi gṛhapate madhuskandho nāma māṇavaḥ;	avocat: kaH tvam BadrmuKa? aham asmi gRhapate maDuskanDaH nAma mANavaH;
   tavaiva purāṇo gṛhasakhā; so 'haṃ śāriputramaudgalyāyanayor bhikṣvor	tava-eva purANaH gRha-saKA; saH aham SAriputra-mOdgalyAyanayoH Bikzvor
   antike cittam abhiprasādya kālagataś cāturmahārājikeṣu deveṣūpapannaḥ,	antike cittam aBiprasAdya kAlagataH cAturmahArAjikezu devezu-upapannaH,
   asminn eva śivikādvāre naivāsikaḥ; tasmād aham evaṃ vadāmi: abhikrāma	asmin eva SivikA-dvAre nEvAsikaH; tasmAt aham evam vadAmi: aBikrAma
   gṛhapate mā pratikrāma; abhikrāmatas te śreyo bhavati, na pratikrāmata	gRhapate mA pratikrAma; aBikrAmataH te SreyaH Bavati, na pratikrAmata
   iti; athānāthapiṇḍādasya gṛhapater etad abhavat: nāvaro buddho bhaviṣyati,	iti; aTa-anATapiNxAdasya gRhapateH etat aBavat: na-avaraH budDaH Bavizyati,
   nāvaraṃ dharmākhyānaṃ, yatredānīṃ devatā api autsukyam āpadyante tasya	na-avaram Darma-AKyAnaM, yatra-idAnIm devatAH api Otsukyam Apadyante tasya
   bhagavato darśanāya; iti viditvā yena śītavanaṃ śmaśānaṃ tenopasaṅkrāntaḥ;	BagavataH darSana-aya; iti viditvA yena SItavanam SmaSAnam tena-upasaFkrAntaH;
   tena khalu samayena bahir vihārasyābhyavakāśe bhagavān caṅkrameṇa	tena Kalu samayena bahis vihArasya-aByavakASe BagavAn caFkrameNa
   caṅkramyate, yadbhūyasā anāthapiṇḍadaṃ gṛhapatim āgamayamānaḥ; adrākṣīd	caFkramyate, yat-BUyasA anATapiNxadam gRhapatim AgamayamAnaH; adrAkzIt-
   anāthapiṇḍado gṛhapatir bhagavantam durād eva; dṛṣṭvā ca punar yena	anATapiNxadaH gRhapatiH Bagavantam durAt eva; dRzwvA ca punar yena
   bhagavāṃs tenopasaṅkrāntaḥ; upasaṅkramya bhagavantam gṛhapatiḥ	BagavAn tena-upasaFkrAntaH; upasaFkramya Bagavantam gRhapatiH
   pratisaṃmodanayā pratisammodate: (MSV III 142) kaccid bhagavān sukhaṃ	pratisaMmodanayA pratisammodate: (MSV III 142) kaccit BagavAn suKam
   śāyita iti; atha bhagavāṃs tasyāṃ velāyāṃ gāthā bhāṣate;	SAyitaH iti; aTa BagavAn tasyAm velAyAm gATAH BAzate;
        sarvathā vai sukhaṃ śete brāhmaṇaḥ parinirvṛtaḥ / (Śay-v 17)	sarvaTA vE suKam Sete brAhmaNaH parinirvRtaH / (Śay-u 17)
        lipyate yo na kāmair hi vipramukto nirupadhiḥ //	lipyate yaH na kAmEH hi vipramuktaH nirupaDiH //
        chitveha sarvam āśaktin vinīya hṛdayajvaram /	CitvA-iha sarvam ASaktin vinIya hRdaya-jvaram /
        upaśāntaḥ sukhaṃ śete śāntiprāptena cetasā //	upaSAntaH suKam Sete SAnti-prAptena cetasA //
   atha bhagavān anāthapiṇḍadaṃ gṛhapatim ādāya vihāraṃ praviśya prajñapta	aTa BagavAn anATapiNxadam gRhapatim AdAya vihAram praviSya prajQapta
   evāsane niṣaṇṇaḥ; anāthapiṇḍado gṛhpatir bhagavataḥ pādau śirasā vanditvā	eva-Asane nizaNNaH; anATapiNxadaH gRhpatiH BagavataH pAdO SirasA vanditvA
   ekānte niṣaṇṇaḥ; ekānte niṣaṇṇam anāthapiṇḍadaṃ gṛhapatiṃ bhagavān	ekAnte nizaNNaH; ekAnte nizaNNam anATapiNxadam gRhapatim BagavAn
   dharmyayā kathayā sandarśayati samādāpayati samuttejayati,	DarmyayA kaTayA sandarSayati samAdApayati samuttejayati,
   saṃpraharṣayati; yāsau buddhānāṃ bhagavatāṃ pūrvakālakaraṇīyā dharmyā	saMpraharzayati; yA-asO budDAnAm BagavatAm pUrva-kAla-karaNIyA DarmyA
   kathā, tadyathā dānakathā śīlakathā svargakathā kāmānām	kaTA, tat-yaTA dAna-kaTA SIla-kaTA svarga-kaTA kAmAnAm
   āsvādādīnavasaṃkleśavyavadānanaiṣkramyapraviveka anuśaṃsavyavadānapakṣyān	AsvAda-AdIn-avasaMkleSa-vyavadAna-nEzkramya-praviveka anuSaMsa-vyavadAna-pakzyAn
   dharmān vistareṇa saṃprakāśayati; yadā cainaṃ bhagavān adrākṣīt	DarmAn vistareNa saMprakASayati; yadA ca-enam BagavAn adrAkzIt-
   hṛṣṭacittaṃ kalyacittaṃ muditacittaṃ vinivaraṇacittaṃ bhavyaṃ pratibalaṃ	hRzwa-cittam kalya-cittam mudita-cittam vinivaraNa-cittam Bavyam pratibalam
   sāmutkarṣikīṃ dharmadeśanām ājñātum, tadā yāsau buddhānāṃ bhagavatāṃ	sAmutkarzikIm Darma-deSanAm AjQAtum, tadA yA-asO budDAnAm BagavatAm
   sāmutkarṣikī dharmadeśanā tadyathā duḥkhaṃ samudayo nirodho mārgaś catvāry	sAmutkarzikI Darma-deSanA tat-yaTA duHKam samudayaH niroDaH mArgaH catvAri-
   āryasatyāni vistareṇa saṃprakāśayati; athānāthapiṇḍado gḥapatis tasminn	Arya-satyAni vistareNa saMprakASayati; aTa-anATapiNxadaH gHapatiH tasmin=-
   evāsane niṣaṇṇaś catvaṛy āryasatyāny abhisameti; tadyathā duḥkhaṃ samudayo	eva-Asane nizaNNaH catvaRi Arya-satyAni aBisameti; tat-yaTA duHKam samudayaH-
   nirodho mārgaḥ; tasyathā śuddhaṃ vastram apagatakālakaṃ rañjanopagaṃ raṅge	niroDaH mArgaH; tasyaTA SudDam vastram apagata-kAlakam raQjana-upagam raFge
   prakṣiptaṃ samyag eva raṅgaṃ pratigṛhṇāti, evam evānāthapiṇḍado gṛhapatis	prakziptam samyak eva raFgam pratigRhNAti, evam eva-anATapiNxadaH gRhapati-s
   tasminn eva āsane niṣaṇṇaś catvāry āryasatyāny abhisameti; tadyathā	tasmin eva Asane nizaNNaH catvAri Arya-satyAni aBisameti; tat-yaTA
   duḥkhaṃ samudayo nirodho mārga iti; athānāthapiṇḍado gṛhapatir dṛṣṭadharmā	duHKam samudayaH niroDaH mArgaH iti; aTa-anATapiNxadaH gRhapatiH dRzwa-DarmA
   prāptadharmā viditadharmā (MSV III 143) paryavagāḍhadharmā tīrṇakāṅkṣo	prApta-DarmA vidita-DarmA (MSV III 143) paryavagAXa-DarmA tIrNa-kAFkzaH-
   tīrṇavicikitsaḥ aparapratyayo 'nanyaneyaḥ śāstuś śāsane dharmeṣu	tIrNa-vicikitsaH apara-pratyayaH ananyaneyaH SAstuH SAsane Darmezu
   vaiśāradyaprāptaḥ utthāyāsanād ekāṃsam uttarāsaṅgaṃ kṛtvā, yena bhagavāṃs	vESAradya-prAptaH utTAya-AsanAt eka-aMsam uttarAsaFgam kRtvA, yena BagavAn=-
   tenāñjalim praṇamya bhagavantam idam (A 319b) avocat; abhikrānto 'haṃ	tena-aQjalim praNamya Bagavantam idam (A 319b) avocat; aBikrAntaH aham
   bhadantābhikrāntaḥ; eso 'haṃ bhagavantaṃ śaraṇaṃ gacchāmi; dharmaṃ ca	Badanta-aBikrAntaH; esaH aham Bagavantam SaraNam gacCAmi; Darmam ca
   bhikṣusaṅghaṃ ca; upāsakam māṃ ca dhāraya adyāgreṇa yāvajjīvaṃ prāṇopetaṃ	Bikzu-saFGam ca; upAsakam mAm ca DAraya adya-agreNa yAvajjIvam prANa-upetam
   śaraṇāgatam abhiprasannam; atha bhagavān anāthapiṇḍadaṃ gṛhapatim idam	SaraNa-Agatam aBiprasannam; aTa BagavAn anATapiNxadam gRhapatim idam
   āvocat: kinnāmā tvaṃ gṛhapate? aham asmi bhadanta sudatto nāmnā; api tv	Avocat: kinnAmA tvam gRhapate? aham asmi Badanta sudattaH nAmnA; api tu-
   anāthebhyaḥ piṇḍakam anuprayacchāmi; tato mām anāthapiṇṣado gṛhapatir	anATeByaH piNxakam anuprayacCAmi; tatas mAm anATapiNzadaH gRhapatiH-
   anāthapiṇḍado gṛhapatir iti janaḥ sañjānīte; kutobhūmakas tvaṃ gṛhapate?	anATapiNxadaH gRhapatiH iti janaH saQjAnIte; kutas-BUmakaH tvam gRhapate?
   (Śay-v 18) asti bhadanta prācīneṣu janapadeṣu śrāvastī nāma kosalānāṃ	(Śay-u 18) asti Badanta prAcInezu janapadezu SrAvastI nAma kosalAnAm
   nigamaḥ; tatrāhaṃ prativasāmi	nigamaH; tatra-aham prativasAmi
   Anāthapiṇḍada invites the Buddha to Śrāvastī	AnATapiNxadaH inviteH Te BudDa taH ŚrAvastI
        āgacchatu bhagavān śrāvastīm; ahaṃ bhagavantam upasthāsyāmi	AgacCatu BagavAn SrAvastIm; aham Bagavantam upasTAsyAmi
   yāvajjīvaṃ cīvarapiṇḍapātaglānapratyayabhaiṣaiyapariṣkāraiḥ sārdhaṃ	yAvajjIvam cIvara-piNxapAta-glAna-pratyaya-BEzEya-parizkArEH sArDam
   bhikṣusaṅghena; santi gṛhapate vihārāḥ śrāvastyām? no bhadanta: yatra	Bikzu-saFGena; santi gRhapate vihArAH SrAvastyAm? naH Badanta: yatra
   gṛhapate vihārāḥ santi tatra bhikṣava āgantavyaṃ gantavyaṃ vastavyaṃ	gRhapate vihArAH santi tatra BikzavaH Agantavyam gantavyam vastavyam
   manyante; āgacchatu bhagavān; ahaṃ tathā kariṣyāmi yathā śrāvastyāṃ vihārā	manyante; AgacCatu BagavAn; aham taTA karizyAmi yaTA SrAvastyAm vihArA
   bhaviṣyanti; bhikṣavaś ca āgantavyaṃ gantavyaṃ vastavyaṃ maṃsyanta iti;	Bavizyanti; BikzavaH ca Agantavyam gantavyam vastavyam maMsyante iti;
