   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   atha svakāraṇasattāsaṃbandha evotpattirātmalābhaśca kāryasyeti cet,	aTa sva kAraNa sattA saMbanDaH eva utpattiH Atma lABaH ca kAryasya iti ced ,
   kathamalabdhātmakaṃ saṃbadhyeteti vaktavyam /	kaTam alabDa Atmakam saMbaDyeta iti vaktavyam /
   satorhi dvayoḥ saṃbandhaḥ saṃbhavati na sadasatorasatorvā /	satoH hi dvayoH saMbanDaH saMBavati na sat asatA urasatoH vA /
   abhāvasya ca nirupākhyatvātprāgutpatteriti maryādākaraṇamanupapannam /	aBAvasya ca nirupAKya tvAt prAk utpatteH iti maryAdA karaNam anupapannam /
   satāṃ hi loke kṣetragṛhādīnāṃ maryādā dṛṣṭā nābhāvasya /	satAm hi loke kzetra gRha AdInAm maryAdA dRzwA na aBAvasya /
   nahi vandhyāputro rājā babhūva prākpūrṇavarmaṇo 'bhiṣekādityevañjātīyakena	na hi vanDyA putraH rAjA baBUva prAk pUrNavarmaNaH aBizekAt iti evan jAtIyakena
   maryādākāraṇena nirupākhyo vandhyāputro rājā babhūva prākpūrṇavarmaṇo	maryAdA kAraNena nirupAKyaH vanDyA putraH rAjA baBUva prAc pUrNavarmaNaH 
   'bhiṣekādityevañjātīyakena maryādākaraṇena nirupākhyo vandhyaputro rājā	aBizekAt iti evan jAtIyakena maryAdA karaNena nirupAKyaH vanDya putraH rAjA
   babhūva bhavati bhaviṣyatīti vā viśeṣyate /	baBUva Bavati Bavizyati iti vA viSezyate /
   yadi ca vandyāputro 'pi kārakavyāpārādūrdhvamabhaviṣyattata	yadi ca vandyA putraH api kAraka vyApArAt UrDvam aBavizyat tata
   idamapyupātsyata kāryābhāvo 'pi kārakavyāpārādūrdhvaṃ bhaviṣyatīti /	idam api upAtsyata kArya aBAvaH api kAraka vyApArAt UrDvam Bavizyati iti /
   vayaṃ tu paśyāmo vandyāputrasya kāryābhāvasya cābhāvatvāviśeṣādyathā	vayam tu paSyAmaH vandyA putrasya kArya aBAvasya ca aBAvatva aviSezAt yaTA
   vandhyāputraḥ kārakavyāpārādūrdhvaṃ na bhaviṣyatyevaṃ kāryābhāvo 'pi	vanDyA putraH kAraka vyApArAt UrDvam na Bavizyati evam kArya aBAvaH api
   kārakavyāpārādūrdhvaṃ na bhaviṣyatīti /	kAraka vyApArAt UrDvam na Bavizyati iti /
   nanvevaṃ sati kārakavyāpāro 'narthakaḥ prasajyeta /	nanu evam sati kAraka vyApAraH anarTakaH prasajyeta /
   yathaiva hi prāksiddhatvātkāraṇasvarūpasiddhaye na kaścidvyāpriyate /	yaTA eva hi prAc sidDa tvAt kAraNa svarUpa sidDaye na kaScid vyApriyate /
   evaṃ prāksiddhatvāttadananyatvācca kāryasya svarūpasiddhaye 'pi na	evam prAc sidDa tvAt tat ananya tvAt ca kAryasya svarUpa sidDaye api na
   kaścidvyāpriyeta /	kaScid vyApriyeta /
   vyāpriyate ca /	vyApriyate ca /
   ataḥ kārakavyāpārārthavattvāya manyāmahe prāgutpatterabhāva /	atas kAraka vyApAra arTavat tvAya manyAmahe prAk utpatteH aBAva /
   kāryasyeti /	kAryasya iti /
   naiṣa doṣaḥ /	na eza dozaH /
   yataḥ kāryākāreṇa kāraṇaṃ vyavastāpayataḥ	yatas kArya akAreNa kAraNam vyavastApayataH
   kārakavyāpārasyārthavattvamapapadyate /	kAraka vyApArasya arTavat tvam apapadyate /
   kāryākāro 'pi kāraṇasyātmabhūta evānātmabhūtasyānārabhyatvādityabhāṇi /	kArya akAraH api kAraNasya Atma BUtaH eva anAtma BUtasya anAraBya tva Aditya BANi /
   naca viśeṣadarśanamātreṇa vastvanyatvaṃ bhavati /	na ca viSeza darSana mAtreNa vastu anya tvam Bavati /
   nahi devadattaḥ saṃkocitahastapādaḥ prasāritahastapādaśca viśeṣaṇa	na hi devadattaH saMkocita hasta pAdaH prasArita hasta pAdaH ca viSezaNa
   dṛśyamāno 'pi vastvanyatvaṃ gacchati, sa eveti pratyabhijñānāt /	dRSyamAnaH api vastu anya tvam gacCati, saH eva iti pratyaBijQAnAt /
   tathā pratidinamanekasaṃsthānānāmapi pitrādīnāṃ na vastvanyatvaṃ bhavati,	taTA pratidinam aneka saMsTAnAnAm api pitR AdInAm na vastu anya tvam Bavati,
   mama pitā mama bhrātā mama putra iti pratyabhijñānāt /	mama pitA mama BrAtA mama putraH iti pratyaBijQAnAt /
   janmocchedānantaritatvāttatra yuktaṃ nānyatreti cet /	janma ucCeda anantarita tvAt tatra yuktam na anyatra iti ced /
   na /	na /
   kṣīrādīnāmapi dadhyādyākārasaṃsthānasya pratyakṣatvāt /	kzIra AdInAm api daDi Adi AkAra saMsTAnasya pratyakza tvAt /
   adṛśyamānānāmapi vaṭadhānādīnāṃ samānajātīyāvayavāntaropacitānāmaṅ	adRSyamAnAnAm api vawa DAna AdInAm samAna jAtIya avayava antara upacitAnAm aF
   kurādibhāvena darśanagocaratāpattau janmasaṃjñā /	kura Adi BAvena darSana gocara tA ApattO janma saMjQA /
   teṣāmevāyavānāmapacayavaśādadarśanāpattāvucchedasaṃjñā /	tezAm eva ayavAnAm apacaya vaSAt adarSana ApattO= ucCeda saMjQA /
   tatredṛgjanmocchedāntaritatvāccedasataḥ sattvapattistathā sati	tatra IdRS janma ucCeda antarita tvAt ced asataH sattva pattiH taTA sati
   garbhavāsina uttānaśāyinaśca bhedaprasaṅgaḥ /	garBa vAsinaH uttAna SAyinaH ca Beda prasaFgaH /
   tathāca bālyayauvanasthāvireṣvapi bhedaprasaṅgaḥ,	taTA ca bAlya yOvana sTAvirezu api Beda prasaFgaH,
   pitrādivyavahāralopaprasaṅgaśca /	pitR Adi vyavahAra lopa prasaFgaH ca /
   etena kṣaṇabhaṅgavādaḥ prativaditavyaḥ /	etena kzaNa BaFga vAdaH prativaditavyaH /
   yasyapunaḥ prāgutpatterasatkāryaṃ tasya nirviṣayaḥ kārakavyāpāraḥ syāt /	yasya punar prAk utpatteH asat kAryam tasya nirvizayaH kAraka vyApAraH syAt /
   abhāvasya	aBAvasya
   viṣayatvānupapatterākāśahananaprayojanakhaḍgādyanekāyudhaprayuktivat /	vizaya tva anupapatteH AkASa hanana prayojana Kaxga Adi aneka AyuDa prayukti vat /
   samavāyikāraṇaviṣayaḥ kārakavyāpāraḥ syāditi cet /	samavAyi kAraNa vizayaH kAraka vyApAraH syAt iti ced /
   na /	na /
   anyaviṣayeṇa kārakavyāpāreṇānyaniṣpatteratiprasaṅgāt /	anya vizayeNa kAraka vyApAreNa anya nizpatteH ati prasaFgAt /
   samavāyikāraṇasyaivātmātiśayaḥ kāryamiti cet /	samavAyi kAraNasya eva Atma atiSayaH kAryam iti ced /
   na /	na /
   satkāryatāpatteḥ /	satkArya tA ApatteH /
   tasmātkṣīrādīnyeva dravyāṇi dadhyādibhāvenāvatiṣṭhamānāni kāryākhyāṃ	tasmAt kzIra AdIni eva dravyANi daDi Adi BAvena avatizWamAnAni kArya AKyAm
   labhanta iti na kāraṇādanyatkāryaṃ varṣaśatenāpi śakyaṃ niścetum /	laBante iti na kAraNAt anyat kAryam varza Satena api Sakyam niScetum /
   tathā mūlakāraṇamevāntyātkāryāttena tena kāryākāreṇa	taTA mUla kAraNam eva antyAt kAryAt tena tena kArya akAreNa
   naṭavatsarvavyavahārāspadatvaṃ pratipadyate /	nawa vat sarva vyavahAra Aspada tvam pratipadyate /
   evaṃ yukteḥ kāryasya prāgutpatteḥ sattvamananyatvaṃ ca kāraṇādavagamyate /	evam yukteH kAryasya prAk utpatteH sattvam ananya tvam ca kAraNAt avagamyate /
   śabdāntarāccaitadavagamyate /	Sabda antarAt ca etat avagamyate /
   pūrvasūtre 'sadvyapadeśinaḥ śabdasyodāhṛtatvāttato 'nyaḥ sadvyapadeśī	pUrva sUtre asat vyapadeSinaH Sabdasya udAhRta tvAt tatas anyaH sat vyapadeSI
   śabdaḥ śabdāntaram  'sadeva somyedamagra āsīdekamevādvitīyam' ityādi /	SabdaH Sabda antaram asat eva somya idam agre AsIt ekam eva advitIyam a ityAdi /
   'taddhaika āhurasadevedamagra āsīt' iti cāsatpakṣamupakṣipya 'kathamasataḥ	atadDA ekaH AhuH asadeva idam agre AsIt a iti ca asat pakzam upakzipya akaTam asataH
   sajjāyeta' ityākṣipya 'sadeva somyedamagra āsīt' (chā. 6.2.1)	sat jAyeta a iti Akzipya asat eva somya idam agre AsIt a (CA. 6.2.1)
   ityavadhārayati /	iti avaDArayati /
   tatredaṃśabdavācyasya kāryasya prāgutpatteḥ sacchabdavācyena kāraṇena	tatra idaMSabda vAcyasya kAryasya prAk utpatteH sat Sabda vAcyena kAraNena
   sāmānādhikaraṇyasya śrūyamāṇatvātsattvānanyatve prasiddhyataḥ /	sAmAnADikaraNyasya SrUyamANa tvAt sattva an anya tve prasidDi atas /
   yadi tu prāgutpatterasatkāryaṃ syātpaścāccotpadyamānaṃ kāraṇe	yadi tu prAk utpatteH asat kAryam syAt paScAt ca utpadyamAnam kAraNe
   samaveyāttadānyakāraṇātsyāt /	samaveyAt tadA anya kAraNAt syAt /
   tatra 'yenāśrutaṃ śrutaṃ bhavati' (chā. 6.1.3) itīyaṃ pratijñā pīḍyeta /	tatra ayena aSrutam Srutam Bavati a (CA. 6.1.3) iti iyam pratijQA pIxyeta /
   sattvānanyatvāvagatestviyaṃ pratijñā samarthyate // 18 //	sattva ananyatva avagateH tu iyam pratijQA samarTyate // 18 //
   FN: atiśayaḥ kāryadharmaḥ kāraṇadharmo vā /	FN: atiSayaH kArya DarmaH kAraNa DarmaH vA /
   kāryābhāvo 'satkāryamityarthaḥ upāpatsyata upapannamabhaviṣyadityanvayaḥ /	kArya aBAvaH asatkAryam iti arTaH upApatsyate upapannam aBavizyat iti anvayaH /
   vastvantaratvaṃ paramārthato bhinnatvam /	vastu antara tvam paramArTataH Binna tvam /
   etena kāraṇasya sarvakāryeṣvanvayakathanena /	etena kAraNasya sarva kAryezu anvaya kaTanena /
   vivartavādaṃ vyaktīkartuṃ naṭavadityudāharaṇam /	vivartavAdam vyaktIkartum nawa vat iti udAharaNam /
   paṭavac ca | BBs_2,1.19 |	pawavat ca | BBH _2,1.19 |
   yathā ca saṃveṣṭitaḥ paṭo na vyaktaṃ gṛhyate kimayaṃ paṭaḥ kiṃ	yaTA ca saMvezwitaH pawaH na vyaktam gRhyate kim ayam pawaH kim
   vānyaddravyamiti /	vA anyat dravyam iti /
   sa eva prasārito yatsaṃveṣṭitaṃ dravyaṃ tatpaṭa eveti prasāraṇenābhivyakto	saH eva prasAritaH yat saMvezwitam dravyam tat pawaH eva iti prasAraNena aBivyaktaH 
   gṛhyate /	gRhyate /
   yathāca saṃveṣṭanasamaye paṭa iti gṛhyamāṇe 'pi na viśiṣṭāyāmavistāro	yaTA ca saMvezwana samaye pawaH iti gRhyamANe api na viSizwa AyAmavistAraH 
   gṛhyate sa eva prasāraṇasamaye viśiṣṭāyāmavistāro gṛhyate na	gRhyate saH eva prasAraNa samaye viSizwa AyAma vistAraH gRhyate na
   saṃveṣṭitarūpādanyo 'yaṃ bhinnaḥ paṭa iti /	saMvezwita rUpAt anyaH ayam BinnaH pawaH iti /
   evaṃ tantvādikāraṇāvasthaṃ paṭādikāryamaspaṣṭaṃ sat	evam tantu Adi kAraNa avasTam pawa Adi kAryam aspazwam sat 
   turīvemakuvindādikārakavyāpāradibhirvyaktaṃ spaṣṭaṃ gṛhyate /	turI vema kuvinda Adi kAra kavyApAra diBiH vyaktam spazwam gRhyate /
   ataḥ saṃveṣṭitaprasīritapaṭanyāyenaivānanyatkāraṇātkāryamityarthaḥ // 19	atas saMvezwita prasIrita pawa nyAyena eva ananyat kAraNAt kAryam iti arTaH // 19
   FN: āyāmo dairghyam /	FN: AyAmaH dErGyam /
   yathā ca prāṇādiḥ | BBs_2,1.20 |	yaTA ca prANa AdiH | BBH _2,1.20 |
   yathā ca loke prāṇāpānādiṣu prāṇabhedeṣu prāṇāyāmena niruddheṣu	yaTA ca loke prANa apAna Adizu prANa Bedezu prANAyAmena nirudDezu
   kāraṇamātreṇa rūpeṇa vartamāneṣu jīvanamātraṃ kāryaṃ nivartyate	kAraNa mAtreNa rUpeNa vartamAnezu jIvana mAtram kAryam nivartyate
   nākuñcanaprasāraṇādikaṃ kāryāntaram /	na AkuQcana prasAraNa Adikam kArya antaram /
   teṣveva prāṇabhedeṣu punaḥ pravṛtteṣu	tezu eva prANa Bedezu punar pravRttezu
   jīvanādadhikamākuñcanaprāsāraṇādikamapi kāryāntaraṃ nirvartyate /	jIvanAt aDikam AkuQcana prAsAraNa Adikam api kArya antaram nirvartyate /
   naca prāṇabhedānāṃ prabhedavataḥ prāṇādanyatvaṃ, samīraṇasvabhāvāviśeṣāt /	na ca prANa BedAnAm praBedavataH prANAt anya tvaM, samIraNa svaBAva aviSezAt /
   evaṃ kāryasya kāraṇādananyatvam /	evam kAryasya kAraNAt ananya tvam /
   ataśca kṛtsnasya jagato brahmakāryatvāttadananyatvācca siddhaiṣā śrautī	atas ca kRtsnasya jagataH brahma kArya tvAt tat ananya tvAt ca sidDA ezA SrOtI
   pratijñā 'yenāśrutaṃ śrutaṃ bhavatyamataṃ matamavijñātaṃ vijñātam' (chā.	pratijQA ayena aSrutam Srutam Bavati amatam matam avijQAtam vijQAtam a (CA.
   6.1.1) iti // 20 //	6.1.1) iti // 20 //
   7 itaravyapadeśādhikaraṇam / sū. 21 23	7 itara vyapadeSa aDikaraNam / sU. 21 23
   itaravyapadeśād dhitākaraṇādidoṣaprasaktiḥ | BBs_2,1.21 |	itara vyapadeSAt DitA karaNa Adi doza prasaktiH | BBH _2,1.21 |
   anyathā punaścetanakāraṇavāda ākṣipyate /	anyaTA punar cetana kAraNa vAdaH Akzipyate /
   cetanāddhi jagatprakriyāyāmāśrīyamāṇāyāṃ hitākaraṇādayo doṣāḥ prasajyante	cetanAt hi jagat prakriyAyAm ASrIyamANAyAm hita akaraNa AdayaH dozAH prasajyante
   kutaḥ /	kutas /
   itaravyapadeśāt /	itara vyapadeSAt /
   itarasya śārīrasya brahmātmatvaṃ vyapadiśati śrutiḥ   'sa ātmā tattvamasi	itarasya SArIrasya brahma Atma tvam vyapadiSati SrutiH  asaH AtmA tat tvam asi
   śvetaketo' (chā. 6.8.7) iti prabodhanāt /	SvetaketaH a (CA. 6.8.7) iti praboDanAt /
   yadvā /	yat vA /
   itarasya ca brahmaṇaḥ śārīrātmatvaṃ vyapadiśati 'tatsṛṣṭvā	itarasya ca brahmaNaH SArIra Atma tvam vyapadiSati atat sRzwvA
   tadevānuprāviśat' (tai. 2.6) iti sraṣṭurevāvikṛtasya brahmaṇaḥ	tat eva anuprAviSat a (tE. 2.6) iti srazwuH eva avikRtasya brahmaNaH
   kāryānupraveśena śārīrātmatvapradarśanāt /	kArya anupraveSena SArIra Atma tva pradarSanAt /
   'anena jīvenātmanānupraviśya nāmarūpe vyākaravāṇi' (chā. 6.3.2) iti ca	aanena jIvena AtmanA anupraviSya nAma rUpe vyAkaravANi a (CA. 6.3.2) iti ca
   parā devatā jīvamātmaśabdena vyapadiśantī na brahmaṇo bhinnaḥ śārīra iti	parA devatA jIvam Atma Sabdena vyapadiSantI na brahmaNaH BinnaH SArIraH iti
   darśayati /	darSayati /
   tasmādyadbrahmaṇaḥ sraṣṭṛtvaṃ taccharīrasyaiveti /	tasmAt yat brahmaNaH srazwR tvam tat SarIrasya eva iti /
   ataḥ sa svatantraḥ kartā san hitamevātmanaḥ saumanasyakaraṃ kuryānnāhitaṃ	atas sa svatantraH kartA san hitam eva AtmanaH sOmanasya karam kuryAt na ahitam
   janmamaraṇajarārogādyanekānarthajālam /	janma maraNa jarA roga Adi aneka an arTa jAlam /
   nahi kaścidaparatantro bandhanāgāramātmanaḥ kṛtvānupraviśati /	na hi kaScid aparatantraH banDanAgAram AtmanaH kRtvA anupraviSati /
   naca svayamatyantanirmalaḥ sannatyantamalinaṃ dehamātmatvenopeyāt /	na ca svayam atyanta nirmalaH san= ati anta malinam deham Atma tvena upeyAt /
   kṛtamapi kathañcidyadduḥkhakaraṃ tadicchayā jahyāt /	kRtam api kaTaQcid yat duHKa karam tad icCayA jahyAt /
   sukhakaraṃ copādadīta /	suKa karam ca upAdadIta /
   smarecca mayedaṃ jagadbimbaṃ vicitraṃ viracitamiti /	smaret ca mayA idam jagat bimbam vicitram viracitam iti /
   sarvo hi lokaḥ spaṣṭaṃ kāryaṃ kṛtvā smarati mayedaṃ kṛtamiti /	sarvaH hi lokaH spazwam kAryam kRtvA smarati mayA idam kRtam iti /
   yathāca māyāvī svayaṃ prasāritāṃ māyāmicchayānāyāsenaivopasaṃharati, evaṃ	yaTA ca mAyAvI svayam prasAritAm mAyAm icCayA anAyAsena eva upasaMharati, evam
   śārīro 'pīmāṃ sṛṣṭimupasaṃharet /	SArIraH api imAm sRzwim upasaMharet /
   svamapi tāvaccharīraṃ śārīro na śaknotyanāyāsenopasaṃhartum /	svam api tAvat SarIram SArIraH na Saknoti anAyAsena upasaMhartum /
   evaṃ hitakriyādyadarśanādanyāyyā cetamājjagatprakriyeti gamyate // 21 //	evam hita kriyA Adi adarSanAt anyAyyA cetamAt jagat prakriyA iti gamyate // 21 //
   adhikaṃ tu bhedanirdeśāt | BBs_2,1.22 |	aDikam tu Beda nirdeSAt | BBH _2,1.22 |
   tuśabdaḥ pakṣaṃ vyāvartayati /	tuSabdaH pakzam vyAvartayati /
   yatsarvajñaṃ sarvaśakti brahma nityaśuddhabuddhamuktasvabhāvaṃ	yat sarvajQam sarva Sakti brahma nitya SudDa budDa mukta svaBAvam
   śārīrādadhikamanyat, tadvayaṃ jagataḥ sraṣṭṛ brūmaḥ /	SArIrAt aDikam anyat, tat vayam jagataH srazwR brUmaH /
   na tasminhitākaraṇādayo doṣāḥ prasajyante /	na tasmin hita AkaraNa AdayaH dozAH prasajyante /
   nahi tasya hitaṃ kiñcitkartavyamastyahitaṃ vā parihartavyaṃ,	na hi tasya hitam kiQcid kartavyam asti ahitam vA parihartavyaM,
   nityamuktasvabhāvāt /	nitya mukta svaBAvAt /
   naca tasya jñānapratibandhaḥ śaktipratibandho vā kvacidapyasti,	na ca tasya jQAna pratibanDaH Sakti pratibanDaH vA kvacid api asti,
   sarvajñatvātsarvaśaktitvācca /	sarvajQa tvAt sarva Sakti tvAt ca /
   śārīrastvanevaṃvidhastasminprasajyante hitākaraṇādayo doṣāḥ /	SArIraH tu anevaMviDaH tasmin prasajyante hita akaraNa AdayaH dozAH /
   natu taṃ vayaṃ jagataḥ sraṣṭāraṃ brūmaḥ /	na tu tam vayam jagataH srazwAram brUmaH /
   kuta etat /	kutas etat /
   bhedanirdeśāt /	Beda nirdeSAt /
   'ātmā vā are draṣṭavyaḥ śrotavyo mantavyo nididhyāsitavyaḥ'' (bṛ. 2.4.5),	aAtmA vE are drazwavyaH SrotavyaH mantavyaH nidiDyAsitavyaH aa (bR. 2.4.5),
   'so 'nveṣṭavyaḥ sa vijijñāsitavyaḥ' (chā. 8.7.1), 'satā somya tadā	asaH anvezwavyaH sa vijijQAsitavyaH a (CA. 8.7.1), asatA somya tadA
   saṃpanno bhavati' (chā. 6.8.1) 'śārīra ātmā prājñenātmanānvārūḍhaḥ' (bṛ.	saMpannaH Bavati a (CA. 6.8.1) aSArIraH AtmA prAjQena AtmanA anvArUXaH a (bR.
   4.3.35) ityevañjātīyakaḥ kartṛkarmādibhedanirdeśo jīvādadhikaṃ brahma	4.3.35) iti evan jAtIyakaH kartR karma Adi Beda nirdeSaH jIvAt aDikam brahma
   darśayati /	darSayati /
   nanvabhedanirdeśo 'pi darśitaḥ 'tattvamasi' ityevañjātīyakaḥ /	nanu aBeda nirdeSaH api darSitaH atat tvam asi a iti evan jAtIyakaH /
   kathaṃ bhedābhedau viruddhau saṃbhaveyātām /	kaTam Beda aBedO virudDO saMBaveyAtAm /
   naiṣa doṣaḥ /	na eza dozaH /
   ākāśaghaṭākāśanyāyenobhayasaṃbhavasya tatra tatra pratiṣṭhapitatvāt /	AkASa Gawa AkASa nyAyena uBaya saMBavasya tatra tatra pratizWapita tvAt /
   apica yadā tattvamasītyevañjātīyakenābhedanirdeśenābhedaḥ pratibodhito	api ca yadA tat tvam asi iti evan jAtIyakena aBeda nirdeSena aBedaH pratiboDitaH 
   bhavatyapagataṃ bhavati tadā jīvasya saṃsāritvaṃ brahmaṇaśca sraṣṭṛtvaṃ,	Bavati apagatam Bavati tadA jIvasya saMsAri tvam brahmaNaH ca srazwR tvaM,
   samastasya mithyājñānavijṛmbhitasya bhedavyavahārasya samyagjñānena	samastasya miTyAjQAna vijRmBitasya Beda vyavahArasya samyak jQAnena
   bādhitatvāt /	bADita tvAt /
   tatra kuta eva sṛṣṭiḥ kuto vā hitākaraṇādayo doṣāḥ /	tatra kutas eva sRzwiH kutas vA hita akaraNa AdayaH dozAH /
   avidyāpratyupasthāpitanāmarūpakṛtakāryakaraṇasaṃghātopādhyavivekakṛtā hi	avidyA pratyupasTApita nAma rUpa kRta kArya karaNa saMGAta upADi aviveka kRtA hi
   bhrāntirhitākaraṇādilakṣaṇaḥ saṃsāro natu paramārthato 'stītyasakṛdavocāma	BrAntiH hita akaraNa Adi lakzaNaH saMsAraH na tu paramArTataH asti iti asakRt avocAma
   janmamaraṇacchedanabhedanādyabhimānavat /	janma maraNa= Cedana Bedana Adi aBimAna vat /
   abādhite tu bhedavyavahāre 'se 'nveṣṭavyaḥ sa vijijñāsitavyaḥ'	abADite tu Beda vyavahAre ase anvezwavyaH sa vijijQAsitavyaH a
   ityevañjātīyakena bhedanirdeśenāvagamyamānaṃ brahmaṇo 'dhikatvaṃ	iti evan jAtIyakena Beda nirdeSena avagamyamAnam brahmaNaH aDika tvam
   hitākaraṇādidoṣaprasaktiṃ niruṇaddhi // 22 //	hita akaraNa Adi doza prasaktim niruNadDi // 22 //
   aśmādivac ca tadanupapattiḥ | BBs_2,1.23 |	aSma Adi vat ca tad anupapattiH | BBH _2,1.23 |
   yathā ca loke pṛthivītvasāmānyānvitānāmapyaśmanāṃ kecinmahārhā maṇayo	yaTA ca loke pRTivI tva sAmAnya anvitAnAm api aSmanAm kecid mahArhAH maNayaH 
   vajravaiḍūryādayo 'nye madhyamavīryāḥ sūryakāntādayo 'nye prahīṇāḥ	vajra vExUrya AdayaH anye maDyama vIryAH sUrya kAnta AdayaH anye prahINAH
   śvavāyasaprakṣepaṇārhāḥ pāṣāṇā ityanekavidhaṃ vaicitryaṃ dṛśyate /	Sva vAyasa prakzepaNa arhAH pAzANAH iti anekaviDam vEcitryam dRSyate /
   yathā caikapṛthivīvyapāśrayāṇāmapi bījānāṃ bahuvidhaṃ	yaTA ca eka pRTivI vyapASrayANAm api bIjAnAm bahuviDam
   patrapuṣpaphalagandharasādivaicitryaṃ candanakiṃpākādiṣūpalakṣyate /	patra puzpa Pala ganDa rasa Adi vEcitryam candana kiMpAka Adizu upalakzyate /
   yathā caikasyāpyannarasasya lohitādīni keśalomādīni ca vicitrāṇi kāryāṇi	yaTA ca ekasya api anna rasasya lohita AdIni keSa loma AdIni ca vicitrANi kAryANi
   bhavanti /	Bavanti /
   evamekasyāpi brahmaṇo jīvaprājñapṛthaktvaṃ kāryavaicitryaṃ copapadyata	evam ekasya api brahmaNaH jIva prAjQa pRTaktvam kArya vEcitryam ca upapadyata
   ityastadanupapattiḥ /	ityaH tad anupapattiH /
   paraparikalpitadoṣānupapattirtyarthaḥ /	para parikalpita dozAn upapattiH tyarTaH /
   śruteśca prāmāṇyādvikārasya ca	SruteH ca prAmANyAt vikArasya ca
   vācārambhaṇamātratvātsvapnadṛśyabhāvavaicitryavaccetyabhyuccayaḥ // 23 //	vAcA AramBaNa mAtra tvAt svapna dRSya BAva vEcitrya vat ca iti aByuccayaH // 23 //
   FN: kiṃpāko mahātālaphalam /	FN: kiMpAkaH mahAtAla Palam /
   8 upasaṃhāradarśanādhikaraṇam. sū. 24 25	8 upasaMhAra darSana aDikaraNam. sU. 24 25
   upasaṃhāradarśanān neti cen na kṣīravad dhi | BBs_2,1.24 |	upasaMhAra darSanAt na iti ced na kzIra vat Di | BBH _2,1.24 |
   cetanaṃ brahmaikamadvitīyaṃ jagataḥ kāraṇamiti yaduktaṃ tannopapadyate /	cetanam brahma ekam advitIyam jagataH kAraNam iti yat uktam tat na upapadyate /
   kasmāt /	kasmAt /
   upasaṃhāradarśanāt /	upasaMhAra darSanAt /
   iha hi loke kulālādayo ghaṭapaṭādīnāṃ kartāro	iha hi loke kulAla AdayaH Gawa pawa AdInAm kartAraH 
   mṛddaṇḍacakrasūtrādyanekakārakopasaṃhāreṇa saṃgṛhītasādhanāḥ	mRd daNxa cakra sUtra Adi aneka kAra kopa saMhAreNa saMgRhIta sADanAH
   santastattatkāryaṃ kurvāṇā dṛśyante /	santaH tat tad kAryam kurvANAH dRSyante /
   brahma cāsahāyaṃ tavābhipretaṃ tasya sādhanāntarānupasaṃgrahe sati kathaṃ	brahma ca asahAyam tava aBipretam tasya sADana antara anupasaMgrahe sati kaTam
   sraṣṭṛtvamupapadyeta /	srazwR tvam upapadyeta /
   tasmānna brahma jagatkāraṇamiti cet /	tasmAt na brahma jagat kAraNam iti ced /
   naiṣa doṣaḥ /	na eza dozaH /
   yataḥ kṣīravaddravyasvabhāvaviśeṣādupapadyate /	yatas kzIra vat dravya svaBAva viSezAt upapadyate /
   yathā hi loke kṣīraṃ jalaṃ vā svayameva dadhihimabhāvena pariṇamate	yaTA hi loke kzIram jalam vA svayam eva daDi hima BAvena pariNamate
   'napekṣya bāhyaṃ sādhanaṃ tathehāpi bhaviṣyati /	anapekzya bAhyam sADanam taTA iha api Bavizyati /
   nanu kṣīrādyapi dadhyādibhāvena pariṇāmamānapekṣata eva bāhyaṃ	nanu kzIra Adi api daDi Adi BAvena pariNAma mAnapekzataH eva bAhyam
   sādhanamauṣṇyādikaṃ kathamucyate kṣīravaddhīti /	sADanam OzNya Adikam kaTam ucyate kzIra vat hi iti /
   naiṣa doṣaḥ /	na eza dozaH /
   svayamapi hi kṣīraṃ yāṃ ca yāvatīṃ ca pariṇāmamātramanubhavati tāvatyeva	svayam api hi kzIram yAm ca yAvatIm ca pariNAma mAtram anuBavati tAvatI eva
   tvāryate tvauṣṇyādinā dadhibhāvāya /	tvAryate tu OzNya AdinA daDi BAvAya /
   yadi ca svayaṃ dadhibhāvaśīlatā na syānnaivauṣṇyādināpi	yadi ca svayam daDi BAva SIla tA na syAt na eva OzNya AdinA api
   balāddadhibhāvamāpadyeta /	balAt daDi BAvam Apadyeta /
   nahi vāyurākāśo vauṣṇyadinā balāddadhibhāvamāpadyate /	na hi vAyuH AkASaH vOzNya dinA balAt daDi BAvam Apadyate /
   sādanasāmagryā ca tasya pūrṇatā saṃpādyate /	sAdana sAmagryA ca tasya pUrNa tA saMpAdyate /
   paripūrṇaśaktikaṃ tu brahma /	paripUrNa Saktikam tu brahma /
   na tasyānyena kenacitpūrṇatā saṃpādayitavyā /	na tasya anyena kenacid pUrNa tA saMpAdayitavyA /
   śrutiśca bhavati  'na tasya kāryaṃ kāraṇaṃ ca vidyate na	SrutiH ca Bavati ana tasya kAryam kAraNam ca vidyate na
   tatsamaścābhyadhikaśca dṛśyate /	tad samaH ca aByaDikaH ca dRSyate /
   parāsya śaktirvividhaiva śrūyate svābhāvikī jñānabalakriyā ca //	parA asya SaktiH viviDA eva SrUyate svABAvikI jQAna bala kriyA ca //
   ' (śve. 6.2) iti /	a (Sve. 6.2) iti /
   tasmādekasyāpi brahmaṇo vicitraśaktiyogātkṣīrādivadvicitrapariṇāma	tasmAt ekasya api brahmaNaH vicitra Sakti yogAt kzIra Adi vat vicitra pariNAma
