   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   pariśuddhātrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi ḥ	pariSudDAtrAyuzmantaH yasmAt tUzNIm evam etam DArayAmi H
   [II. trayodaśa saṃghātiśeṣā dharmāḥ]	[II. trayodaSa saMGAti-SezAH DarmAH]
   ime kho punar āyuṣmanto trayodaśa saṃghātiśeṣā dharmā anvardhamāsaṃ sūtre	ime KaH punar AyuzmantaH trayodaSa saMGAti-SezAH DarmAH anvarDa-mAsam sUtre
   prātimokṣe uddeśam āgacchanti /	prAtimokze uddeSam AgacCanti /
   PrMoSū(Mā-L)SA.1. saṃcetanikāye śukrasya visṛṣṭīye anyatra svapnāntare	PrMoSU(MA-L)SA.1. saMceta-nikAye Sukrasya visRzwIye anyatra svapna-antare
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.2. yo puna bhikṣu otīrṇo vipariṇatena cittena mātṛgrāmeṇa	PrMoSU(MA-L)SA.2. yaH puna Bikzu otIrNaH vipariNatena cittena mAtR-grAmeNa
   sārdhaṃ kāyasaṃsargaṃ samāpadyeya saṃyathīdaṃ hastagrahaṇaṃ vā	sArDam kAya-saMsargam samApadyeya saMyaTi-idam hasta-grahaNam vA
   veṇīgrahaṇaṃ vā anyatarānyatarasya vā punar aṅgajātasya āmoṣaṇaparāmoṣaṇaṃ	veNI-grahaNam vA anyatara-anyatarasya vA punar aFga-jAtasya AmozaNa-parAma-UzaNam
   sādiyeya saṃghātiśeṣo /	sAdiyeya saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.3. yo puna bhikṣu otīrṇo vipariṇatena cittena mātṛgrāmaṃ	PrMoSU(MA-L)SA.3. yaH puna Bikzu otIrNaH vipariNatena cittena mAtR-grAmam
   duṣṭhullāya vācāya obhāṣeya pāpikāya maithunopasaṃhitāya saṃyathīdaṃ yuvāṃ	duzWullAya vAcAya oBAzeya pApikAya mETuna-upasaMhitAya saMyaTi-idam yuvAm
   yuvatīti saṃghātiśeṣo /	yuvati-iti saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.4. yo puna bhikṣu otīrṇo vipariṇatena cittena mātṛgrāmasya	PrMoSU(MA-L)SA.4. yaH puna Bikzu otIrNaH vipariNatena cittena mAtR-grAmasya
   antike ātmikāye paricaryāye varṇaṃ bhāṣeya Ō etad agraṃ bhagini	antike AtmikAye paricaryAye varNam BAzeya Ō etat agram Bagini
   paricaryāṇāṃ yā mādṛśaṃ śramaṇaṃ śīlavantaṃ kalyāṇadharmaṃ brahmacāriṃ	paricaryANAm yA mAdRSam SramaNam SIlavantam kalyANa-Darmam brahmacArim
   etena dharmeṇa upasthiheya paricareya yaduta maithunopasaṃhiteneti	etena DarmeNa upasTiheya paricareya yat-uta mETuna-upasaMhitena-iti
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.5. yo puna bhikṣuḥ saṃcaritraṃ samāpadyeya istriyāye mataṃ	PrMoSU(MA-L)SA.5. yaH puna BikzuH saMcaritram samApadyeya istriyAye matam
   puruṣasyopasaṃhareya puruṣasya vā mataṃ istriyāye upasaṃhareya jāyattanena	puruzasya-upasaMhareya puruzasya vA matam istriyAye upasaMhareya jAyattanena
   vā jārtanena vā antamaśato tatkṣaṇikāyām api saṃghātiśeṣo /	vA jArtanena vE antam-aSataH tad-kzaNikAyAm api saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.6. svayaṃ yācikāya bhikṣuṇā kuṭī kārayamāṇena	PrMoSU(MA-L)SA.6. svayam yAcikAya BikzuNA kuwI kArayamANena
   asvāmikātmoddeśikā kuṭī kārāpayitavyā / tatredaṃ pramāṇaṃ Ō dīrghaśo	asvAmika-AtmA-uddeSikA kuwI kArApayitavyA / tatra-idam pramANam Ō dIrGaSas-
   dvādaśa vitastīyo sugatavitastinā / tiryak saptāntaraṃ / bhikṣū	dvAdaSa vitastIyaH sugata-vitastinA / tiryak sapta-antaram / BikzU
   cānenābhinetavyā vastudeśanāya / tehi bhikṣuhi vastu deśayitavyaṃ /	ca-anena-aBinetavyA vastu-deSanAya / tehi Bikzuhi vastu deSayitavyam /
   anāraṃbhaṃ saparikramaṇaṃ / sāraṃbhe ced bhikṣu vastusminn aparikramaṇe	anAraMBam sa-parikramaNam / sAraMBe ced Bikzu vastusmin aparikramaNe
   svayaṃyācikāya kuṭīṃ kārāpeya asvāmikām ātmoddeśikāṃ bhikṣūn vā nābhineya	svayaMyAcikAya kuwIm kArApeya asvAmikAm Atma-uddeSikAm BikzUn vA na-aBineya
   vastudesanāya, pramāṇaṃ vā atikrameya, adeśite vastusminn aparikramaṇe	vastu-desanAya, pramANam vA atikrameya, adeSite vastusmin aparikramaNe
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.7. mahālakaṃ bhikṣuṇā vihāraṃ [kārā]payamāṇena sasvāmikam	PrMoSU(MA-L)SA.7. mahAlakam BikzuNA vihAram [kArA]-payamANena sa-svAmikam
   ātmoddeśikaṃ bhikṣū cānenābhinetavyā vastudeśanāya / tehi bhikṣūhi vastu	Atma-uddeSikam BikzU ca-anena-aBinetavyAH vastu-deSanAya / tehi BikzUhi vastu
   deśayitavyaṃ / anāraṃbhaṃ saparikramaṇaṃ / sāraṃbhe ced bhikṣu vastusminn	deSayitavyam / anAraMBam sa-parikramaNam / sAraMBe ced Bikzu vastusmin=-
   aparikramaṇe mahallakaṃ vihāraṃ kārāpeya sasvāmikam ātmoddeśikaṃ bhikṣūn	aparikramaNe mahallakam vihAram kArApeya sa-svAmikam Atma-uddeSikam BikzUn
   vā nābhineya vastudeśanāya, adeśite vastusminn aparikramaṇe saṃghātiśeṣo /	vA na-aBineya vastu-deSanAya, adeSite vastusmin aparikramaNe saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.8. yo puna bhikṣu bhikṣusya duṣṭo, doṣāt kupito, anāttamano	PrMoSU(MA-L)SA.8. yaH puna Bikzu Bikzusya duzwaH-, dozAt kupitaH-, anAtta-manaH-
   śuddhaṃ bhikṣum anāpattikam amūlakena pārājikena dharmeṇa anudhvaṃseya apy	SudDam Bikzum anApattikam amUlakena pArAjikena DarmeNa anuDvaMseya api-
   evaṃ nāma imaṃ bhikṣuṃ brahmacaryāto cyāveyaṃ ti, so tad apareṇa samayena	evam nAma imam Bikzum brahmacarya-atas cyAveyam ti, saH tat apareNa samayena
   samanugrāhiyamāṇo vā asamanugrāhiyamāṇo vā amūlakam eva tam adhikaraṇaṃ	samanugrAhiyamANaH vA asamanugrAhiyamANaH vA amUlakam eva tam aDikaraNam
   bhavati / amūlakasya ca adhikaraṇasya ca adharmo upādinno bhavati, bhikṣu	Bavati / amUlakasya ca aDikaraNasya ca aDarmaH upAdinnaH Bavati, Bikzu
   ca doṣe pratiṣṭhihati doṣād avacāmīti saṃghātiśeṣo /	ca doze pratizWihati dozAt avacAmi-iti saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.9. yo puna bhikṣu bhikṣusya duṣṭo, doṣāt kupito, anāttamano	PrMoSU(MA-L)SA.9. yaH puna Bikzu Bikzusya duzwaH-, dozAt kupitaH-, anAtta-manaH-
   anyabhāgīyasyādhikaraṇasya kiñcid eva leśamātrakaṃ dharmam upādāya	anya-BAgIyasya-aDikaraNasya kiQcid eva leSa-mAtrakam Darmam upAdAya
   aparājikaṃ bhikṣuṃ pārājikena dharmeṇa anudhvaṃseya apy eva nāma imaṃ	aparAjikam Bikzum pArAjikena DarmeNa anuDvaMseya api eva nAma imam
   bhikṣuṃ brahmacaryāto cyāveyaṃ ti, so tad apareṇa samayena	Bikzum brahmacarya-atas cyAveyam ti, saH tat apareNa samayena
   samanugrāhiyamāṇo vā asamanugrāhiyamāṇo vā anyabhāgīyam eva tam	samanugrAhiyamANaH vA asamanugrAhiyamANaH vA anya-BAgIyam eva tam
   adhikaraṇaṃ bhavati, anyabhāgīyasya cādhikaraṇasya kocid e[va] leśamātrako	aDikaraNam Bavati, anya-BAgIyasya ca-aDikaraNasya kocid e[va] leSa-mAtra-kaH-
   dharmo upādinno bhavati, bhikṣu ca doṣe pratiṣṭhihati doṣād avacāmīti	DarmaH upAdinnaH Bavati, Bikzu ca doze pratizWihati dozAt avacAmi-iti
   saṃghātiśeṣo /	saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.10. yo puna bhikṣuḥ samagrasya saṃghasya bhedāya	PrMoSU(MA-L)SA.10. yaH puna BikzuH samagrasya saMGasya BedAya
   parākrameya bhedanasaṃvartanīyaṃ vādhikaraṇaṃ samādāya pragṛhya tiṣṭheya,	parAkrameya Bedana-saMvartanIyam vA-aDikaraNam samAdAya pragRhya tizWeya,
   so bhikṣu bhikṣūhi evam asya vacanīyo Ō mā āyuṣman samagrasya saṃghasya	saH Bikzu BikzUhi evam asya vacanIyaH Ō mA Ayuzman samagrasya saMGasya
   bhedāya parākramehi, bhedanasaṃvartanīyaṃ vā adhikaraṇaṃ samādāya pragṛhya	BedAya parAkrama-ihi, Bedana-saMvartanIyam vE aDikaraNam samAdAya pragRhya
   tiṣṭhāhi / sametu āyuṣmān sārdhaṃ saṃghena, samagro hi saṃgho sahito	tizWAhi / sametu AyuzmAn sArDam saMGena, samagraH hi saMGaH sahitaH-
   sammodamāno avivadamāno ekuddeśo kṣīrodakībhūto śāstuḥ śāsanaṃ dīpayamāno	sammodamAnaH avivadamAnaH ekuddeSaH kzIrodakIBUtaH SAstuH SAsanam dIpayamAnaH-
   sukhaṃ ca phāsuṃ ca viharati / evaṃ ca so bhikṣu bhikṣūhi vucyamāno taṃ	suKam ca PAsum ca viharati / evam ca saH Bikzu BikzUhi vucyamAnaH tam
   vastuṃ pratinissareya ity etaṃ kuśalaṃ / no ca pratinissareya, so bhikṣu	vastum pratinissareyaH iti etam kuSalam / no ca pratinissareya, saH Bikzu
   bhikṣūhi yāvantṛtīyakaṃ samanugrāhitavyo samanubhāṣitavyo tasya vastusya	BikzUhi yAvantRtIyakam samanugrAhitavyaH samanuBAzitavyaH tasya vastusya
   pratinissargāya / yāvantṛtīyakaṃ samanugrāhiyamāṇo vā samanubhāṣiyamāṇo vā	pratinissargAya / yAvantRtIyakam samanugrAhiyamANaH vA samanuBAziyamANaH vA
   taṃ vastuṃ pratinissareya ity etaṃ kuśalaṃ / no ca pratinissareya tam eva	tam vastum pratinissareyaH iti etam kuSalam / no ca pratinissareya tam eva
   vastuṃ samādāya pragṛhya tiṣṭheya saṃghātiśeṣo /	vastum samAdAya pragRhya tizWeya saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.11. tasya kho puna bhikṣusya bhikṣū sahāyakā bhonti eko vā,	PrMoSU(MA-L)SA.11. tasya KaH puna Bikzusya BikzU sahAyakAH Bonti ekaH vA,
   dvau vā trayo vā saṃbahulā vā, vargavādakā anuvartakāḥ samanujñāḥ	dvO vA trayaH vA saMbahulAH vA, varga-vAdakAH anuvartakAH sa-manujQAH
   saṃghabhedāya / te bhikṣū tān bhikṣūn evaṃ vadeṃsu Ō mā āyuṣmanto etaṃ	saMGa-BedAya / te BikzU tAn BikzUn evam vadeMsu Ō mA AyuzmantaH etam
   bhikṣuṃ kiñcid vadatha kalyāṇaṃ vā pāpakaṃ vā / dharmavādī caiṣo bhikṣur	Bikzum kiQcid vat-aTa kalyANam vA pApakam vA / Darma-vAdI ca-ezaH BikzuH-
   vina[ya]vādī caiṣo bhikṣu, asmākaṃ caiṣo bhikṣu cchandaṃ ca ruciṃ ca	vina[ya]-vAdI ca-ezaH Bikzu, asmAkam ca-ezaH Bikzu cCandam ca rucim ca
   samādāya pragṛhya vyavaharati / yaṃ caitasya bhikṣusya kṣamate ca rocate	samAdAya pragRhya vyavaharati / yam ca-etasya Bikzusya kzamate ca rocate
   ca asmākam api taṃ kṣamate ca rocate ca / jānan caiṣo bhikṣu bhāṣate no	ca asmAkam api tam kzamate ca rocate ca / jAnan ca-ezaH Bikzu BAzate na-u
   ajānan / te bhikṣu bhikṣūhi evam asya vacanīyā Ō mā āyuṣmanto evaṃ	ajAnan / te Bikzu BikzUhi evam asya vacanIyAH Ō mA AyuzmantaH evam
   vadatha, na eṣo bhikṣur dharmavādī, na eṣo bhikṣur vinayavādī, adharmavādī	vadaTa, naH ezaH BikzuH Darma-vAdI, naH ezaH BikzuH vinaya-vAdI, aDarma-vAdI
   caiṣo bhikṣu, avinayavādī caiṣo bhikṣu, ajānan* caiṣo bhikṣu bhāṣate no	ca-ezaH Bikzu, avinaya-vAdI ca-ezaH Bikzu, ajAnan* ca-ezaH Bikzu BAzate na-u
   jānan* / mā āyuṣmanto saṃghabhedaṃ rocentu, saṃghasāmagrīm evāyuṣmanto	jAnan* / mA AyuzmantaH saMGa-Bedam rocentu, saMGa-sAmagrIm eva-AyuzmantaH-
   rocentu / samentu āyuṣmanto sārdhaṃ saṃghena / samagro hi sahito	rocet-tu / samentu AyuzmantaH sArDam saMGena / samagraH hi sahitaH-
   sammodamāno avivadamāno ekuddeśo kṣīrodakībhūto śāstuḥ śāsanaṃ dīpayamāno	sammodamAnaH avivadamAnaH ekuddeSaH kzIrodakIBUtaH SAstuH SAsanam dIpayamAnaH-
   sukhaṃ ca phāsuṃ ca viharati / evaṃ ca te bhikṣū bhikṣūhi vucyamānās taṃ	suKam ca PAsum ca viharati / evam ca te BikzU BikzUhi vucyamAnAH tam
   vastuṃ pratinissareṃsu ity etaṃ kuśalaṃ, no ca pratinissareṃsu te bhikṣū	vastum pratinissareMsu iti etam kuSalaM, no ca pratinissareMsu te BikzU
   bhikṣūhi yāvantṛtīyakaṃ samanugrāhitavyāḥ samanubhāṣitavyāḥ tasya vastusya	BikzUhi yAvantRtIyakam samanugrAhitavyAH samanuBAzitavyAH tasya vastusya
   pratinissargāya / yāvantṛtīyakaṃ samanugrāhiyamāṇā vā samanubhāṣiyamāṇā vā	pratinissargAya / yAvantRtIyakam samanugrAhiyamANA vA samanuBAziyamANA vA
   taṃ vastuṃ pratinissareṃsu i[ty e]taṃ kuśalaṃ, no ca pratinissareṃsu tam	tam vastum pratinissareMsu i[ti e]tam kuSalaM, no ca pratinissareMsu tam
   eva ca vastuṃ samādāya pragṛhya tiṣṭheṃsu saṃghātiśeṣo /	eva ca vastum samAdAya pragRhya tizWeMsu saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA.12. bhikṣuḥ kho puna durvacakajātīyo bhoti / so	PrMoSU(MA-L)SA.12. BikzuH KaH puna durvacaka-jAtIyaH Boti / saH-
   uddeśaparyāpannehi śikṣāpadehi bhikṣūhi śikṣāyāṃ saha dharmeṇa saha	uddeSa-paryApanna-ihi SikzA-Apadehi BikzUhi SikzAyAm saha DarmeNa saha
   vinayena vucyamāno ātmānam avacanīyaṃ karoti / so evam āha Ō mā me	vinayena vucyamAnaH AtmAnam avacanIyam karoti / saH evam Aha Ō mA me
   āyuṣmanto kiñcid vadatha kalyāṇaṃ vā pāpakaṃ vā / aham apy āyuṣmantānāṃ na	AyuzmantaH kiQcid vat-aTa kalyANam vA pApakam vA / aham api AyuzmantAnAm na
   kiñcid vakṣyāmi kalyāṇaṃ vā pāpakaṃ vā / viramathāyuṣmanto mama vacanāya /	kiQcid vakzyAmi kalyANam vA pApakam vA / viramaTa-AyuzmantaH mama vacanAya /
   so bhikṣu bhikṣūhi evam asya vacanīyo Ō mā āyuṣmann uddeśaparyāpannehi	saH Bikzu BikzUhi evam asya vacanIyaH Ō mA Ayuzman uddeSa-paryApanna-Ihi
   śikṣāpadehi bhikṣūhi śikṣāyāṃ saha dharmeṇa saha vinayena vucyamāno	SikzA-Apadehi BikzUhi SikzAyAm saha DarmeNa saha vinayena vucyamAnaH-
   ātmānam avacanīyaṃ karohi / [a]vacanīyam evāyuṣmān ātmānaṃ karotu / bhikṣū	AtmAnam avacanIyam karohi / [a]vacanIyam eva-AyuzmAn AtmAnam karotu / BikzU
   pi āyuṣmantaṃ vakṣyanti śikṣāyāṃ saha dharmeṇa saha vina[yena] / āyuṣmān	pi Ayuzmantam vakzyanti SikzAyAm saha DarmeNa saha vina[yena] / AyuzmAn
   api bhikṣūn vadatu śikṣāyāṃ saha dharmeṇa saha vinayena / evaṃ saṃbaddhā	api BikzUn vadatu SikzAyAm saha DarmeNa saha vinayena / evam saMbadDA
   kho punas tasya bhagavato tathāgatasyārhataḥ samyaksambuddhasya parṣā yad	KaH punar tasya BagavataH taTAgatasya-arhataH samyaksambudDasya parzAH yat-
   idam anyamanyasya vacanīyā, anyonyāpatti vyutthāpanīyā / evaṃ ca so bhikṣū	idam anyam-anyasya vacanIyA, anyonya-apatti vyutTApanIyAH / evam ca saH BikzU
   bhikṣūhi vucyamāno taṃ vastuṃ pratinissareya ity etaṃ kuśalaṃ, no ca	BikzUhi vucyamAnaH tam vastum pratinissareyaH iti etam kuSalaM, no ca
   pratinissareya so bhikṣu bhikṣūhi yāvantṛtīyakaṃ samanugrāhitavyo	pratinissareya saH Bikzu BikzUhi yAvantRtIyakam samanugrAhitavyaH-
   samanubhāṣitavyo tasya vastusya pratinissargāya / yāvantṛtīyakaṃ	samanuBAzitavyaH tasya vastusya pratinissargAya / yAvantRtIyakam
   samanugrāhiyamāṇo vā taṃ vastuṃ pratinissareya ity etaṃ kuśalaṃ, no ca	samanugrAhiyamANaH vA tam vastum pratinissareyaH iti etam kuSalaM, no ca
   pratinissareya tam eva vastuṃ samādāya pragṛhya tiṣṭheya saṃghātiśeṣo /	pratinissareya tam eva vastum samAdAya pragRhya tizWeya saMGa-ati-SezaH /
   PrMoSū(Mā-L)SA. saṃbahulā bhikṣū kho punar anyataraṃ grāmam vā nagaraṃ vā	PrMoSU(MA-L)SA. saMbahulA BikzU KaH punar anyataram grAmam vA nagaram vA
   nigamaṃ vā upaniśrāya viharanti kuladūṣakāḥ pāpasamācārāḥ / teṣāṃ te	nigamam vA upaniSrAya viharanti kula-dUzakAH pApa-samAcArAH / tezAm te
   pāpakāḥ samācārā dṛśyante ca śrūyante ca / kulāny api duṣṭāni dṛśyante ca	pApakAH samAcArAH dRSyante ca SrUyante ca / kulAni api duzwAni dRSyante ca
   śrūyante ca / kuladūṣakāś ca punar bhavanti pāpasamācārāḥ / te bhikṣū	SrUyante ca / kula-dUzakAH ca punar Bavanti pApa-samAcArAH / te BikzU
   bhikṣūhi evam asya vacanīyāḥ Ō āyuṣmantānāṃ khalu pāpakāḥ samācārāḥ	BikzUhi evam asya vacanIyAH Ō AyuzmantAnAm Kalu pApakAH samAcArAH
   dṛśyante ca śrūyante ca / kulāny api duṣṭāni dṛśyante ca śrūyante ca /	dRSyante ca SrUyante ca / kulAni api duzwAni dRSyante ca SrUyante ca /
   kuladūṣakāś ca punar āyuṣmantaḥ pāpasamācārāḥ / prakramathāyuṣmanto	kula-dUzakAH ca punar AyuzmantaH pApa-samAcArAH / prakram-aTa-AyuzmantaH-
   imasmād āvāsād alaṃ vo iha vustena / evaṃ ca te bhikṣū bhikṣūhi vucyamānās	imasmAt AvAsAt alam vaH iha vustena / evam ca te BikzU BikzUhi vucyamAnA-as
   te bhikṣū tān bhikṣūn evaṃ vadeṃsu Ō cchandagāmī cāyuṣmanto doṣagāmī	te BikzU tAn BikzUn evam vadeMsu Ō cCanda-gAmI ca-AyuzmantaH doza-gAmI
   cāyuṣmanto saṃgho, mohagāmī cāyuṣmanto saṃgho, bhayagāmī cāyuṣmanto	ca-AyuzmantaH saMGo, moha-gAmI ca-AyuzmantaH saMGo, Baya-gAmI ca-AyuzmantaH-
   saṃgho, saṃgho ca tāhi tādṛśikāhi āpattīhi ekatyān bhikṣūn pravrājeti	saMGo, saMGaH ca tAhi tAdRSikA-hi ApattI-hi ekatyAn BikzUn pravrAja-iti
   ekatyān bhikṣūn na pravrājeti / te bhikṣū bhikṣūhi evam asya vacanīyāḥ Ō	ekatyAn BikzUn na pravrAja-iti / te BikzU BikzUhi evam asya vacanIyAH Ō
   mā āyuṣmanto evaṃ vadatha / na saṃgho cchandagāmī, na saṃgho doṣagāmī, na	mA AyuzmantaH evam vat-aTa / na saMGaH cCanda-gAmI, na saMGaH doza-gAmI, na
   saṃgho mohagāmī, na saṃgho bhayagāmī / na ca saṃgho tāhi tādṛśikāhi	saMGaH moha-gAmI, na saMGaH Baya-gAmI / na ca saMGaH tAhi tAdRSikA-hi
   āpattīhi ekatyān bhikṣūn pravrājeti, ekatyān bhikṣūn na pravrājeti /	ApattIhi ekatyAn BikzUn pravrAja-iti, ekatyAn BikzUn na pravrAja-iti /
   āyuṣmantānām eva khalu pāpakāḥ samācārāḥ dṛśyante ca śrūyante ca / kulāny	AyuzmantAnAm eva Kalu pApakAH samAcArAH dRSyante ca SrUyante ca / kulAni-
   api duṣṭāni dṛśyante ca śrūyante ca / kuladūṣakāś ca punar āyuṣmantaḥ	api duzwAni dRSyante ca SrUyante ca / kula-dUzakAH ca punar AyuzmantaH
   pāpasamācārāḥ / prakramathāyuṣmanto imasmād āvāsād alaṃ vo iha vustena /	pApa-samAcArAH / prakram-aTa-AyuzmantaH imasmAt AvAsAt alam vaH iha vustena /
   evaṃ ca te bhikṣū bhikṣūhi vucyamānā taṃ vastuṃ pratinissareṃsu ity etaṃ	evam ca te BikzU BikzUhi vucyamAnA tam vastum pratinissareMsu iti etam
   kuśalaṃ / no ca pratinissareṃsu te bhikṣū bhikṣūhi yāvantṛtīyakaṃ	kuSalam / no ca pratinissareMsu te BikzU BikzUhi yAvantRtIyakam
   samanugrāhitavyā samanubhāṣitavyās tasya vastusya pratinissargāya /	samanugrAhitavyA samanuBAzitavyAH tasya vastusya pratinissargAya /
   yāvantṛtīyakaṃ samanugrāhiyamāṇā vā samanubhāṣiyamāṇā vā taṃ vastuṃ	yAvantRtIyakam samanugrAhiyamANA vA samanuBAziyamANAH vA tam vastum
   prati[ni]ssareṃsu ity etaṃ kuśalaṃ / no ca pratinissareṃsu tam eva vastuṃ	prati[ni]ssareMsu iti etam kuSalam / no ca pratinissareMsu tam eva vastum
   samādāya pragṛhya tiṣṭheṃsu saṃghātiśeṣo /	samAdAya pragRhya tizWeMsu saMGa-ati-SezaH /
   // uddānaṃ //	// uddAnam //
   (1) saṃcetanikā (2) hastagraho (3) obhāṣo (4) paricaryā atha (5)	(1) saMcetanikA (2) hasta-grahaH (3) oBAzo (4) paricaryAH aTa (5)
   saṃcaritraṃ (6) kuṭīṃ (7) vihāro (8-9) dve cābhūtena (10) saṃghasya ca	saMcaritram (6) kuwIm (7) vihAraH (8-9) dve ca-aBUtena (10) saMGasya ca
   bhedāyopakrāmati / (11) tasya cānuvartakāḥ (12) durvacako (13) kuladūṣakāś	BedAya-upakrAmati / (11) tasya ca-anuvartakAH (12) durvacakaH (13) kula-dUza-kAS
   ca //	ca //
   uddiṣṭā kho punar āyuṣmanto trayodaśa saṃghātiśeṣā dharmāḥ / tatra nava	uddizwA KaH punar AyuzmantaH trayodaSa saMGAti-SezAH DarmAH / tatra nava
   prathamāpattikāś catvāro yāvantṛtīyakā, yeṣāṃ bhikṣur ato 'nyatarām	praTama-ApattikAH catvAraH yAvantRtIyakA, yezAm BikzuH atas anyatarAm
   āpattim āpadyitvā yāvatakaṃ jānan* cchādeti tāvatakaṃ tena bhikṣuṇā	Apattim ApadyitvA yAvatakam jAnan* cCAda-iti tAvatakam tena BikzuNA
   akāmaparivāsaṃ parivasitavyaṃ / parivustaparivāsena bhikṣuṇā uttariṣaḍāhaṃ	akAma-parivAsam parivasitavyam / parivusta-parivAsena BikzuNA uttari-zaz-A-aham
   bhikṣusaṃghe mānatvaṃ caritavyaṃ / cīrṇamānatvo bhikṣuḥ kṛtānudharmo	Bikzu-saMGe mAna-tvam caritavyam / cIrNa-mAnatvaH BikzuH kRta-anuDarmaH-
   āhvayanapratibaddho yatra syād viṃśagaṇo bhikṣusaṃgho tatra so bhikṣu	Ahvayana-pratibadDaH yatra syAt viMSa-gaNaH Bikzu-saMGaH tatra saH Bikzu
   āhvayitavyo / ekabhikṣuṇāpi ced ūnoviṃśatigaṇo bhikṣusaṃgho taṃ bhikṣum	AhvayitavyaH / eka-BikzuNA-api ced UnoviMSati-gaNaH Bikzu-saMGaH tam Bikzum
   āhveya, so ca bhikṣu anāhūto te ca bhikṣū garhyāḥ / iyam atra sāmīcī /	Ahveya, saH ca Bikzu anAhUtaH te ca BikzU garhyAH / iyam atra sAmIcI /
   tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto	tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi /	pariSudDAH? pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etam DArayAmi /
   [III. duve aniyatā dharmāḥ /]	[III. duve aniyatAH DarmAH /]
   PrMoSū(Mā-L)Aniy. ime kho punar āyuṣmanto duve aniyatā dharmā	PrMoSU(MA-L)a-aniy. ime KaH punar AyuzmantaH duve aniyatA DarmA
   anvardhamāsaṃ sūtre prātimokṣe uddeśam āgacchanti Ō	anvarDa-mAsam sUtre prAtimokze uddeSam AgacCanti Ō
   PrMoSū(Mā-L)Aniy.1. yo puna bhikṣu mātṛgrāmeṇa sārdhaṃ praticchannāsane	PrMoSU(MA-L)A-niy.1. yaH puna Bikzu mAtR-grAmeNa sArDam praticCanna-Asane
   alaṃkarmaṇīye eko [ekā]ya raho niṣadyāṃ kalpeya, tam enaṃ śraddheyavacasā	alaMkarmaNIye ekaH [ekA]ya rahaH nizadyAm kalpeya, tam enam SradDeya-vacasA
   upāsikā dṛṣṭvā trayāṇāṃ dharmāṇām anyatarānyatareṇa dharmeṇa vadeya	upAsikAH dRzwvA trayANAm DarmANAm anyatara-anyatareNa DarmeNa vadeya
   pārājikena vā saṃghātiśeṣeṇa vā pācattikena vā / niṣadyāṃ bhikṣuḥ	pArAjikena vA saMGAti-SezeNa vA pAcattikena vA / nizadyAm BikzuH
   pratijānamāno trayāṇāṃ dharmāṇām anyatarānyatareṇa dharmeṇa kārāpayitavyo	pratijAnamAnaH trayANAm DarmANAm anyatara-anyatareNa DarmeNa kArApayitavyaH-
   pārājikena vā saṃghātiśeṣeṇa vā pācattikena vā yena yena vā punar asya	pArAjikena vA saMGAti-SezeNa vA pAcattikena vA yena yena vA punar asya
   śraddheyavacasā upāsikā dṛṣṭvā dharmeṇa vadeya, tena so bhikṣu dharmeṇa	SradDeya-vacasA upAsikAH dRzwvA DarmeNa vadeya, tena saH Bikzu DarmeNa
   kārāpayitavyo / ayaṃ dharmo aniyato /	kArApayitavyaH / ayam DarmaH aniyataH /
   PrMoSū(Mā-L)Aniy.2. na haiva kho punaḥ praticchannāsanaṃ bhavati, nālaṃ	PrMoSU(MA-L)A-niy.2. na ha-eva KaH punar praticCanna-Asanam Bavati, na-alam
   karmaṇīyaṃ, alaṃ kho puna mātṛgrāmaṃ duṣṭhullāya vācāya obhāṣituṃ pāpikāya	karmaNIyaM, alam KaH puna mAtR-grAmam duzWullAya vAcAya oBAzitum pApikAya
   maithunopasaṃhitāya / tathārūpe ca bhikṣu āsane mātṛgrāmeṇa sārdham eko	mETuna-upasaMhitAya / taTArUpe ca Bikzu Asane mAtR-grAmeNa sArDam ekaH-
