   oṃ namaḥ sarvajñāya //	om namaH sarvajQAya //
   tat tenaiva punar jalena vipacet kṣāraṃ sa taile vidhiḥ /	tat tena-eva punar jalena vipacet kzAram sa tEle viDiH /
   yuñjyāt tad vraṇaduṣṭiṣu vraṇarujāsv arśassu nāḍīṣu ca	yuQjyAt tat vraNa-duzwizu vraNa-rujAsu arSassu nAxIzu ca
   tvagdoṣeṣu bhagaṃdareṣu vividhe kaṇṭhāmaye ca sthire // Yś_63 //	tvac-dozezu BagaMdarezu viviDe kaNWa-Amaye ca sTire // YH-_63 //
   niśāsayaṣṭīmadhupadmakotpalaiḥ priyaṅgukāsāvaralodhracandanaiḥ /	niSAsa-yazwImaDu-padmaka-utpalEH priyaFgu-kAsa-avara-loDra-candanEH /
   vipācya tailaṃ payasā prayojayet kṣateṣu saṃropaṇadāhanāśanam // Yś_64 //	vipAcya tElam payasA prayojayet kzatezu saMropaNa-dAha-nASanam // YH-_64 //
   jātīnimbapaṭolapatrakaṭukādārvīniśāsārivā-	jAtI-nimba-pawola-patra-kawukA-dArvI-niSAsArivA-
   mañjiṣṭhābhayasikthatutthamadhukair naktāhvabījaiḥ samaiḥ /	maQjizWA-Baya-sikTa-tutTa-maDukEH naktAhva-bIjEH samEH /
   sarpiḥ siddham anena sūkṣmavadanā marmāśritāḥ srāvino	sarpiH sidDam anena sUkzma-vadanAH marma-ASritAH srAvinaH-
   gambhīrāḥ sarujā vraṇāḥ sagatikāḥ śudhyanti rohanti ca // Yś_65 //	gamBIrAH sa-rujAH vraNAH sa-gatikAH SuDyanti rohanti ca // YH-_65 //
   śirīṣapuṣpaṃ svarasena bhāvitaṃ sahasrakṛtvo maricaṃ sitāhvayam /	SirIza-puzpam svarasena BAvitam sahasra-kRtvas maricam sitAhvayam /
   prayojayed añjanapānanāvanair vimohitānām api sarpadaṃśinām // Yś_66 //	prayojayet aQjana-pAna-nAvanEH vimohitAnAm api sarpa-daMSinAm // YH-_66 //
   mayūrapittena tu taṇḍulīyakaṃ kākāṇḍayuktaṃ prapibed analpam /	mayUra-pittena tu taNxulIyakam kAkANxa-yuktam prapibet analpam /
   viṣāṇi saṃstāvarajaṅgamāni sopadravāṇy apy acireṇa hanti // Yś_67 //	vizANi saMstAvara-jaFgamAni sa-upadravANi api acireNa hanti // YH-_67 //
   tailaṃ tilānāṃ palalaṃ guḍaṃ ca kṣīraṃ tathārkaṃ samam eva pītam /	tElam tilAnAm palalam guxam ca kzIram taTA-arkam samam eva pItam /
   ālarkam ugraṃ viṣam āśu hanti sadyodbhavaṃ vāyur ivābhravṛndam // Yś_68 //	Alarkam ugram vizam ASu hanti sadyodBavam vAyuH iva-aBra-vRndam // YH-_68 //
   āgāradhūmo mahiṣākṣayuktaḥ savājigandhāghṛtataṇḍulīyakaḥ /	AgAraDUmaH mahizAkza-yuktaH sa-vAjiganDA-GRta-taNxulIyakaH /
   gomūtrapiṣṭo hy agado nihanti viṣāṇi saṃsthāvarajaṅgamāni // Yś_69 //	go-mUtra-pizwaH hi agadaH nihanti vizANi saMsTA-vara-jaFgamAni // YH-_69 //
   māṃsīsevyālakauntījalajaladaśilārocanāpadmakeśī-	mAMsI-sevyAla-kOntI-jala-jalada-SilA-rocanA-padma-keSI-
   spṛkkācaṇḍāharidrāgadasitapalitāsṛglatāpadmakailāḥ /	spRkkA-caNxa-aharidrA-gada-sita-palita-asRj-latA-padma-kElAH /
   tulyā gaurāṣṭabhāgāś caturibhakusumā vartayaḥ sarvabhogyāḥ	tulyAH gOra-azwa-BAgAH catur-iBakusumAH vartayaH sarva-BogyAH
   kṛtyālakṣmīpiśācajvaraviṣam agadā ghnanti candrodayākhyāḥ // Yś_70 //	kRtyA-lakzmI-piSAca-jvara-vizam agadAH Gnanti candra-udaya-AKyAH // YH-_70 //
   siddhārthatriphalāśirīṣakaṭabhīśvetākarañjāmṛtā-	sidDArTa-triPalA-SirIza-kawaBI-SvetAkaraQja-amRtA-
   mañjiṣṭhārajanīdvayatrikaṭukaṃ śyāmā vacā hiṅgu ca /	maQjizWA-rajanI-dvaya-trikawukam SyAmA vacA hiFgu ca /
   śastaṃ chāgalamūtrapiṣṭam agadaṃ sarvagrahotsādanaṃ	Sastam CAgala-mUtra-pizwam agadam sarva-graha-utsAdanam
   kṛtyonmādapiśācarākṣasaharaṃ pānādibhiḥ sevitam // Yś_71 //	kRtya-unmAda-piSAca-rAkzasa-haram pAna-AdiBiH sevitam // YH-_71 //
   karpāsāsthimayūrapatrabṛhatīnirmālyapiṇḍītakais	karpAsa-asTi-mayUra-patra-bRhatI-nirmAlya-piNxItakEH-
   tvagvāṃśīvṛṣadaṃśaviṭtuṣavacākeśāhinirmocakaiḥ /	tvac-vAMSI-vRza-daMSa-viz-tuza-vacA-keSa-ahi-nirmocakEH /
   gośṛṅgīdvipadantahiṅgumaricais tulyaiś ca dhūpaḥ kṛtaḥ	go-SRFgI-dvipa-danta-hiFgu-maricEH tulyEH ca DUpaH kRtaH
   skandonmādapiśācarākṣasasurāveśajvaraghnaḥ smṛtaḥ // Yś_72 //	skanda-unmAda-piSAca-rAkzasa-sura-AveSa-jvara-GnaH smRtaH // YH-_72 //
   trikaṭukadalakuṅkumagranthikakṣārasiṃhīniśākuṣṭhasiddhārthayugmāmbuśakrāhvayaiḥ	trikawuka-dala-kuFkuma-granTika-kzAra-siMhI-niSA-kuzWa-sidDArTa-yugma-ambu-Sakra-AhvayEH
   sitalaśunaphalatrikośīratiktāvacātutthayaṣṭībalālohitākhyāśilāpadmakaiḥ /	sita-laSuna-Palatrika-uSIra-tiktA-vacA-tutTa-yazwI-bala-Alohita-AKyA-SilA-padmakEH /
   dadhitagaramadhūkasārapriyāhvāviṣākhyāviṣātārkṣyaśailaiḥ sacavyāmaraiḥ	daDi-tagara-maDUka-sAra-priya-AhvA-viza-AKyA-vizA-tArkzya-SElEH sa-cavya-amarEH
   kalkitaiḥ	kalkitEH
   ghṛtam anavam aśeṣamūtrāmbusiddhaṃ smṛtaṃ bhūtarāvaṃ tu pānena tat syād	GRtam anavam aSeza-mUtra-ambu-sidDam smRtam BUtarAvam tu pAnena tat syAt-
   grahaghnaṃ param // Yś_73 //	graha-Gnam param // YH-_73 //
   natamadhukakarañjalākṣāpaṭolīsamaṅgāvacāpāṭalīhiṅgusiddhārthasiṃhīniśāyuglatārohiṇī-	nata-maDuka-karaQja-lAkzA-pawolI-samaFgA-vacA-pAwalI-hiFgu-sidDArTa-siMhI-niSA-yuglatA-rohiNI-
   phalakhadirakaṭutrikākāṇḍadārukrimighnājagandhāmarāṅkollakośātakīśigrunimbāmbudendrāhvayaiḥ	Pala-Kadira-kawutrikA-kANxa-dAru-krimi-GnAja-ganDA-amara-aFkollakoSAtakI-Sigru-nimba-ambuda-indra-AhvayEH
   gadaśukatarupuṣpabījāmbuyaṣṭyadrikarṇīnikumbhāgnibilvaiḥ	gada-Suka-taru-puzpa-bIja-ambu-yazwi-adrikarNI-nikumBa-agni-bilvEH
   samaiḥ kalkitair mūtravargeṇa siddhaṃ ghṛtaṃ	samEH kalkitEH mUtravargeNa sidDam GRtam
   vidhivinihitam āśu sarvaiḥ kramair yojitaṃ hanti	viDi-vinihitam ASu sarvEH kramEH yojitam hanti
   sarvagrahonmādakuṣṭhajvarāṃs tan mahābhūtarāvaṃ smṛtam // Yś_74 //	sarva-graha-unmAda-kuzWa-jvarAn tat mahABUtarAvam smRtam // YH-_74 //
   dārvī haridrā kuṭajasya bījaṃ siṃhī ca yaṣṭīmadhukaṃ ca tulyam /	dArvI haridrA kuwajasya bIjam siMhI ca yazwImaDukam ca tulyam /
   kvāthaḥ śiśoḥ stanyakṛte ca doṣe sarvātisāreṣu ca sarvajeṣu // Yś_75 //	kvATaH SiSoH stanya-kRte ca doze sarva-atisArezu ca sarvajezu // YH-_75 //
   bilvaṃ ca puṣpāṇi ca dhātakīnāṃ jalaṃ salodhraṃ gajapippalī ca /	bilvam ca puzpANi ca DAtakInAm jalam sa-loDram gajapippalI ca /
   kvāthāvalehau madhunā vimiśrau bāleṣu yojyāv atisāriteṣu // Yś_76 //	kvATa-avalehO maDunA vimiSrO bAlezu yojyO atisAritezu // YH-_76 //
   śṛṅgīṃ sakṛṣṇātiviṣāṃ vicūrṇya lehaṃ vidadhyān madhunā śiśūnām /	SRFgIm sa-kRzNa-ativizAm vicUrNya leham vidaDyAt maDunA SiSUnAm /
   kāsajvaracchardibhir arditānāṃ samākṣikāṃ cātiviṣām athaikām // Yś_77 //	kAsa-jvara=-CardiBiH arditAnAm sa-mAkzikAm ca-ativizAm aTa-ekAm // YH-_77 //
   dhātrīcūrṇasya kaṃsaṃ svarasaparigataḥ kṣaudrasarpiḥ samāṃśaṃ	DAtrI-cUrNasya kaMsam svarasa-parigataH kzOdra-sarpiH sama-aMSam
   kṛṣṇāmānīsitāṣṭaprasṛtayutam idaṃ sthāpitaṃ bhasmarāśau /	kRzNA-mAnIsita-azwa-prasRta-yutam idam sTApitam Basma-rASO /
   varṣānte tat samaśnan bhavati vipalito rūpavarṇaprabhāvī	varza-ante tat samaSnan Bavati vipalitaH rUpa-varNa-praBAvI
   nirvyādhir buddhimedhāsmṛtivacanabalasthairyasattvair upetaḥ // Yś_78 //	nirvyADiH budDi-meDA-smRti-vacana-bala-sTErya-sattvEH upetaH // YH-_78 //
   yaṣṭītugāsaindhavapippalībhiḥ saśarkarābhis triphalā prayuktā /	yazwI-tugA-sEnDava-pippalIBiH sa-SarkarABiH triPalA prayuktAH /
   āyuḥpradā vṛṣyatamātimedhyā bhavej jarāvyādhivināśanī ca // Yś_79 //	AyuH-pradA vRzyatamA-atimeDyA Bavet jarA-vyADi-vinASanI ca // YH-_79 //
   cūrṇaṃ śvadaṃṣṭrāmalakāmṛtānāṃ lihet sasarpir madhunā ca yuktam /	cUrNam SvadaMzwrA-Amalaka-amRtAnAm lihet sa-sarpiH maDunA ca yuktam /
   vṛṣyaḥ sthiraḥ śāntavikāraduḥkhaḥ samāśataṃ jīvati kṛṣṇakeśaḥ // Yś_80 //	vRzyaH sTiraH SAnta-vikAra-duHKaH samASatam jIvati kRzNa-keSaH // YH-_80 //
   nimbasya tailaṃ prakṛtistham evaṃ nasyāṃ niṣiktaṃ vidhinā yathāvat /	nimbasya tElam prakRti-sTam evam nasyAm niziktam viDinA yaTAvat /
   māsena tat kṣīraghṛtopayojyaṃ jarāprabhūtaṃ palitaṃ nihanti // Yś_81 //	mAsena tat kzIra-GRta-upayojyam jarA-praBUtam palitam nihanti // YH-_81 //
   gokṣurakaḥ kṣurakaḥ śatamūlī vānari nāgabalātibalā ca /	gokzurakaH kzurakaH SatamUlI vAnari nAgabalA-atibalA ca /
   cūrṇam idaṃ payasā niśi peyaṃ yasya gṛhe pramadāśatam asti // Yś_82 //	cUrNam idam payasA niSi peyam yasya gRhe pramadA-Satam asti // YH-_82 //
   madhukāṃ madhunā ghṛtena ca pralihan kṣīram anuprayojayet /	maDukAm maDunA GRtena ca pralihan kzIram anuprayojayet /
   labhate ca na dhātusaṃkṣayaṃ pramadānāṃ ca śataṃ ca gacchati // Yś_83 //	laBate ca na DAtu-saMkzayam pramadAnAm ca Satam ca gacCati // YH-_83 //
   yaṣṭīkaṣāyaṃ lavaṇāgrayuktaṃ kaliṅgakṛṣṇāphalakalkamiśram /	yazwI-kazAyam lavaNa-agra-yuktam kaliFga-kRzNA-Pala-kalka-miSram /
   sakṣaudram etad vamanaṃ prayojyaṃ ghrāṇāsyakaṇṭhaśravaṇāmayeṣu // Yś_84 //	sa-kzOdram etat vamanam prayojyam GrANa-Asya-kaNWa-SravaNa-Amayezu // YH-_84 //
   harītakībhiḥ kvathitaṃ suvīraṃ dantyaṅghrikṛṣṇāviḍacūrṇayuktam /	harItakIBiH kvaTitam su-vIram dantI-aFGri-kRzNA-vixa-cUrNa-yuktam /
   virecanaṃ sorubutailam etan niratyayaṃ yojyam athāmayaghnam // Yś_85 //	virecanam sa-uru-butElam etat niratyayam yojyam aTa-Amaya-Gnam // YH-_85 //
   rāsnārāṭhaphalatrayāmṛtalatāyukpañcamūlībalā-	rAsnA-rAWa-Palatraya-amRta-latA-AyukpaQcamUlI-balA-
   māṃsakvāthayutaḥ satailalavaṇakṣaudrāṃśasarpirguḍaḥ /	mAMsa-kvATa-yutaH sa-tEla-lavaNa-kzOdra-aMSa-sarpiH-guxaH /
   puṣpāhvāghanakuṣṭhabilvaphalinīkṛṣṇāvacākalkito	puzpAhvA-Gana-kuzWa-bilva-PalinI-kRzNA-vacA-kalkitaH-
   vastiḥ kāñjikadugdhamūtrasahito vātāmayebhyo hitaḥ // Yś_86 //	vastiH kAQjika-dugDa-mUtra-sahitaH vAta-AmayeByaH hitaH // YH-_86 //
   tailaṃ balākvathitakalkasugandhigarbhasiddhaṃ	tElam balA-kvaTita-kalka-suganDi-garBa-sidDam
   payodadhituṣodakamastucukraiḥ /	payaH-daDi-tuza-udaka-mastu-cukrEH /
   tadvat sahācarasaraṇyamṛtāvarībhiḥ pratyekapakvam anuvāsasamīraṇaghnam //	tadvat sahAcara-saraNI-amRtA-varIBiH pratyeka-pakvam anuvAsa-samIraNa-Gnam //
   Yś_87 //	YH-_87 //
   nasyaṃ vidadhyād guḍanāgaraṃ vā sasaindhavāṃ māgadhikām athovā /	nasyam vidaDyAt guxa-nAgaram vA sa-sEnDavAm mAgaDikAm aTa-uvA /
   ghrāṇāsyamanyāhanubāhupṛṣṭhaśirokṣikaṇṭhaśravaṇāmayeṣu // Yś_88 //	GrANa-AsyamanyA-hanu-bAhu-pRzWa-Sirokzi-kaNWa-SravaNa-Amayezu // YH-_88 //
   śreṣṭhaḥ parpaṭako jvareṣu vihitas tṛṣṇāsu pañcāmliko	SrezWaH parpawakaH jvarezu vihitaH tRzNAsu paQcAmlikaH-
   lājā cchardiṣu vastijeṣu girijo meheṣu dhātrīrasaḥ /	lAjA cCardizu vasti-jezu girijaH mehezu DAtrI-rasaH /
   rāsnā vātagadeṣu mūtram udare plīhāmaye pippalī	rAsnA vAta-gadezu mUtram udare plIha-Amaye pippalI
   saṃdhāne kṛmihā viṣe śukataruḥ śophe tathā gugguluḥ // Yś_89 //	saMDAne kRmi-hA vize SukataruH SoPe taTA gugguluH // YH-_89 //
   vṛṣo 'śrapitte kuṭajo 'tisāre bhallātam arśassu gareṣu hema /	vRzaH aSrapitte kuwajaH atisAre BallAtam arSassu garezu hema /
   sthūleṣu dāruḥ kṛmiṣu krimighnaṃ harītakī pāṇḍugadeṣu śasyate // Yś_90 //	sTUlezu dAruH kRmizu krimi-Gnam harItakI pANxu-gadezu Sasyate // YH-_90 //
   akṣyāmayeṣu triphalā vadanti śūleṣu sarveṣu tathā rasonam /	akzi-Amayezu triPalA vadanti SUlezu sarvezu taTA rasonam /
   kuṣṭheṣu nityaṃ khadirasya sāraṃ sarveṣu kāseṣu nidigdhikāṃ ca // Yś_91 //	kuzWezu nityam Kadirasya sAram sarvezu kAsezu nidigDikAm ca // YH-_91 //
   śaṃsanti vājīkaraṇe śvadaṃṣṭrām uraḥkṣate nāgabalā balāṃ ca /	SaMsanti vAjIkaraNe SvadaMzwrAm uraH-kzate nAgabalAH balAm ca /
   rasāyaneṣv āmalakaṃ sadevagraheṣu rogeṣu śilāhvayaṃ ca // Yś_92 //	rasAyanezu Amalakam sa-deva-grahezu rogezu SilAhvayam ca // YH-_92 //
   ity ete vidhivihitāḥ prasiddhayogāḥ siddhyarthaṃ vinigaditā bhiṣagvarāṇām	iti ete viDi-vihitAH prasidDa-yogAH sidDi-arTam vinigaditAH Bizaj-varANAm
   dṛṣṭvaitān katham acikitsako 'pi yuñjyād ity arthaṃ punar api vakṣyate	dRzwvA-etAn kaTam acikitsakaH api yuQjyAt iti arTam punar api vakzyate
   'tra kiṃcit // Yś_93 //	atra kiMcid // YH-_93 //
   saṃdhāraṇānaśanajāgaraṇoccabhāṣāvyāyāmayānakaṭutiktakaṣāyarūkṣaiḥ /	saMDAraNa-anaSana-jAgaraNa-ucca-BAzA-vyAyAma-yAna-kawu-tikta-kazAya-rUkzEH /
   cintāvyavāyabhayalaṅghanaśokaśītair vāyuḥ prakopam upayāti ghanāgame ca //	cintA-vyavAya-Baya-laFGana-Soka-SItEH vAyuH prakopam upayAti Gana-Agame ca //
   Yś_94 //	YH-_94 //
   kaṭvāmlamadyalavaṇoṣṇavidāhitīkṣṇakrodhānalātapapariśramaśuṣkaśākaiḥ /	kawva-amla-madya-lavaNa-uzNa-vidAhi-tIkzNa-kroDa-anala-Atapa-pariSrama-Suzka-SAkEH /
   kṣārādyajīrṇaviṣamāśanabhojanaś ca pittaṃ prakopam upayāti ghanātyaye ca	kzAra-Adi-ajIrNa-vizama-aSana-BojanaH ca pittam prakopam upayAti GanAtyaye ca
   // Yś_95 //	// YH-_95 //
   svapnād divā madhuraśītalamatsamāṃsagurvāmlapicchalatilekṣupayovikāraiḥ /	svapnAt divA maDura-SItala-matsa-mAMsa-guru-Amla-picCala-ti-la-ikzu-payaH-vikArEH /
   snigdhātitṛptilavaṇodakapānabhakṣaiḥ śleṣmā prakopam upayāti tathā vasante	snigDa-ati-tRpti-lavaNa-udaka-pAna-BakzEH SlezmA prakopam upayAti taTA vasante
   // Yś_96 //	// YH-_96 //
   ity evam ete kramaśo dviśo vā doṣāḥ pravṛddhā yugapat trayo vā /	iti evam ete kramaSas dviSas vA dozAH pravRdDAH yugapad trayaH vA /
   kurvanti rogān vividhān śarīre saṃkhyātu saṃjnāvigatān anekān // Yś_97 //	kurvanti rogAn viviDAn SarIre saMKyAtu saMjnA-vigatAn anekAn // YH-_97 //
   pāruṣyasaṃkocanatodaśūlaśyāmatvam aṅgavyathabhaṅgaceṣṭān /	pAruzya-saMkocana-toda-SUla-SyAma-tvam aFga-vyaTa-BaFga-cezwAn /
   suptatvaśītatvakharatvaśoṣān karmāṇi vāyoḥ pravadanti tajjñāḥ // Yś_98 //	supta-tva-SIta-tva-Kara-tva-SozAn karmANi vAyoH pravadanti tad-jQAH // YH-_98 //
   parisravasvedavidāharāgadaurgandhisaṃkledavipākakopān /	parisrava-sveda-vidAha-rAga-dOrganDi-saMkleda-vipAka-kopAn /
   pralāpamūrchabhramapītabhāvān pittasya karmāṇi vadanti tajjñāḥ // Yś_99 //	pralApa-mUrCa-Brama-pIta-BAvAn pittasya karmANi vadanti tad-jQAH // YH-_99 //
   śvetatvaśītatvagurutvakaṇḍūsnehopadehastimitatvalepān /	Sveta-tva-SIta-tva-guru-tva-kaNxU-sneha-upadeha-stimita-tva-lepAn /
   utsekasaṃghātacirakriyāś ca kaphasya karmāṇi vadanti tajjnāḥ // Yś_100 //	utseka-saMGAta-cira-kriyAH ca kaPasya karmANi vadanti tad-jnAH // YH-_100 //
   etāni liṅgāni ca tatkṛtānāṃ sarvāmayānām api naikanāmnām /	etAni liFgAni ca tad-kRtAnAm sarva-AmayAnAm api na-eka-nAmnAm /
   kaścid bhavet prāptiviśeṣa eṣāṃ saṃjñāntaraṃ yena tu saṃprayānti // Yś_101	kaScid Bavet prApti-viSezaH ezAm saMjQA-antaram yena tu saMprayAnti // YH-_101
   ālasyatandrāhṛdayāviśuddhidoṣāpravṛttikṣudabhāvamūtraiḥ /	Alasya-tandrA-hRdaya-aviSudDi-doza-apravRtti-kzuda-BAva-mUtrEH /
   gurūdaratvārucisuptatābhir āmānvitaṃ vyādhim udāharanti // Yś_102 //	guru-udara-tva-aruci-suptatABiH Ama-anvitam vyADim udAharanti // YH-_102 //
   snigdhoṣṇasthiravṛṣyabalyalavaṇasvādvamlatailātapa-	snigDa-uzNa-sTira-vRzya-balya-lavaNa-svAdu-amla-tEla-Atapa-
   snānābhyañjanavastimāṃsamadirāsaṃvāhanonmardanaiḥ /	snAna-aByaQjana-vasti-mAMsa-madirA-saMvAhana-unmardanEH /
   snehasvedanirūhanasyaśamanasnehopanāhādikaṃ	sneha-sveda-nirUha-nasya-Samana-sneha-upanAha-Adikam
   pānāhāravihārabheṣajam idaṃ vātapraśāntim nayet // Yś_103 //	pAna-AhAra-vihAra-Bezajam idam vAta-praSAntim nayet // YH-_103 //
   tiktasvādukaṣāyaśītapavanacchāyāniśāvījanaṃ	tikta-svAdu-kazAya-SIta-pavana=-CAyA-niSAvIjanam
   jyotsnābhūgṛhayantravārijaladastrīgātrasaṃsparśanam /	jyotsnA-BUgRha-yantra-vAri-jalada-strI-gAtra-saMsparSanam /
   sarpiḥkṣīravirekasekarudhirasrāvapradehādikaṃ	sarpiH-kzIra-vireka-seka-ruDira-srAva-pradeha-Adikam
   pānāhāravihārabheṣajam idaṃ pittaṃ praśāntiṃ nayet // Yś_104 //	pAna-AhAra-vihAra-Bezajam idam pittam praSAntim nayet // YH-_104 //
   rūkṣakṣārakaṣāyatiktakaṭukavyāyāmaniṣṭīvanaṃ	rUkza-kzAra-kazAya-tikta-kawuka-vyAyAm-a-nizwI-vanam
   strīsevādhvaniyuddhajāgarajalakrīḍāpadāghātanam /	strI-sevA-Dva-niyudDa-jAgara-jala-krIxA-pada-AGAtanam /
   dhūmātyuṣṇaśirovirekavamanasvedopavāsādikaṃ	DUma-ati-uzNa-SiraH-vireka-vamana-sveda-upavAsa-Adikam
   pānāhāravihārabhaiṣajam idaṃ śleṣmānam ugraṃ jayet // Yś_105 //	pAna-AhAra-vihAra-BEzajam idam SlezmAnam ugram jayet // YH-_105 //
   āmaṃ jayel laṅghanakolapeyālaghvannasūpodakatiktayūṣaiḥ /	Amam jayet laFGana-kola-peyA-laGu-anna-su-upa-udaka-tikta-yUzEH /
   virūkṣaṇasvedanapācanaiś ca saṃśodhanair ūrdhvam adhas tathā ca // Yś_106	virUkzaNa-svedana-pAcanEH ca saMSoDanEH UrDvam aDas taTA ca // YH-_106
   hemantavarṣāśiśireṣu vāyoḥ pittasya toyāntanidāghayoś ca /	hemanta-varza-aSiSirezu vAyoH pittasya toya-anta-nidAGayoH ca /
   kaphasya kopaḥ kusumāgame ca kurvanti tad vai vihitaṃ yathaiṣām // Yś_107	kaPasya kopaH kusuma-Agame ca kurvanti tat vE vihitam yaTA-ezAm // YH-_107
   kaphasya kope vamanaṃ sanasyaṃ virecanaṃ pittabhave vikāre /	kaPasya kope vamanam sanasyam virecanam pitta-Bave vikAre /
   vātātmake vastim udāharanti saṃsargaje 'pi vyatimiśram etat // Yś_108 //	vAta-Atmake vastim udAharanti saMsarga-je api vyatimiSram etat // YH-_108 //
   vāto 'mlatailalavaṇair madhurānnapānaiḥ pittaṃ tathā	vAtaH amla-tEla-lavaNEH maDura-anna-pAnEH pittam taTA
   madhuratiktakaṣāyaśītaiḥ /	maDura-tikta-kazAya-SItEH /
   śleṣmāpi tiktakaṭurūkṣakaṣāyatīkṣṇair āmaṃ praśāntim upayānty apatarpaṇena	SlezmA-api tikta-kawu-rUkza-kazAya-tIkzNEH Amam praSAntim upayAnti apatarpaNena
   // Yś_109 //	// YH-_109 //
   buddhvaitad anyad api yat tad anuktam atra yuktyā svayaṃ samadhigamya	budDvA-etat anyat api yat tat anuktam atra yuktyA svayam samaDigamya
   yathānurūpam /	yaTA-anurUpam /
   rogeṣu bheṣajam analpamatir vidadhyāc chāstraṃ hi kiṃcid upadeśalavaṃ	rogezu Bezajam analpa-matiH vidaDyAt SAstram hi kiMcid upadeSa-lavam
   karoti // Yś_110 //	karoti // YH-_110 //
   guṇādhikaṃ yogaśataṃ nibadhya prāptaṃ mayā puṇyam anuttaraṃ yat /	guNa-aDikam yoga-Satam nibaDya prAptam mayA puNyam anuttaram yat /
   nānāprakārāmayanīḍabhūtaṃ kṛtsnaṃ jagat tena bhavatv arogam // Yś_111 //	nAnA-prakAra-Amaya-nIxa-BUtam kRtsnam jagat tena Bavatu arogam // YH-_111 //
