   alātaśāntiprakaraṇa	alAta-SAnti-prakaraNa
   evaṃ hi sarvathā buddhair ajātiḥ paridīpitā // MandUpK_4.19 //	evam hi sarvaTA budDEH ajAtiH paridIpitAH // Mandu-upK_4.19 //
   MandUpKC_4.19	Mandu-upKC_4.19
   seyamaśaktiraparijñānaṃ tattvāviveko mūḍhatetyarthaḥ /	sA-iyam-aSaktiH-aparijQAnam tattva-avivekaH mUXa-tA-iti-arTaH /
   atha vā yo 'yaṃ tvayoktaḥ kramo hetoḥ phalasya siddhiḥ phalācca hetoḥ	aTa vA yaH ayam tvayA-uktaH kramaH hetoH Palasya sidDiH PalAt-ca hetoH
   siddhiritītaretarānantaryalakṣaṇastasya kopo viparyāso 'nyathābhāvaḥ	sidDiH-iti-ita-retara-Anantarya-lakzaNaH-tasya kopaH viparyAsaH anyaTA-BAvaH
   syādityabhiprāyaḥ /	syAt-iti-aBiprAyaH /
   evaṃ hetuphalayoḥ kāryakāraṇabhāvānupapatterajātiḥ sarvasyānutpattiḥ	evam hetu-PalayoH kArya-kAraNa-BAva-anupapatteH-ajAtiH sarvasya-anutpattiH
   paridīpitā prakāśitānyonyapakṣadoṣaṃ bruvadbhirvādibhirbuddhaiḥ	paridIpitA prakASita-anyonya-pakza-dozam bruvadBiH-vAdiBiH-budDEH
   paṇḍitairityarthaḥ //19//	paNxitEH-iti-arTaH //19//
   START MandUpK 4.20	START Mandu-upK 4.20
   nanu hetulayoḥ kāryakāraṇabhāva ityasmābhiruktaṃ śabdamātramāśritya	nanu hetulayoH kArya-kAraNa-BAvaH iti-asmABiH-uktam Sabda-mAtram-ASritya
   cchalamidaṃ tvayoktaṃ putrājjanma pituryathā, viṣāṇavaccāsaṃbandha ityādi	cCalam-idam tvayA-uktam putrAt-janma pituH-yaTA, vizANa-vat-ca-asaMbanDaH ityAdi
   na hyasmābhirasiddhāddhetoḥ phalasiddhirasiddhādvā	na hi-asmABiH-asidDAt-hetoH Pala-sidDiH-asidDAt-vA
   phalāddhetusiddharabhyupagatā /	PalAt-hetu-sidDa-raByupagatA /
   kiṃ tarhi? bījāṅkuravatkāryakāraṇabhāvo 'bhyupagamyata iti /	kim tarhi? bIja-aFkura-vat-kArya-kAraNa-BAvaH aByupagamyate iti /
   atrocyate-	atra-ucyate-
   bījāṅkurākhyo dṛṣṭāntaḥ sadā sādhyasamo hi sa /	bIja-aFkura-AKyaH dRzwAntaH sadA sADya-samaH hi sa /
   na hi sādhyasamo hetuḥ siddhau sādhyasya yujyate // MandUpK_4.20 //	na hi sADya-samaH hetuH sidDO sADyasya yujyate // Mandu-upK_4.20 //
   MandUpKC_4.20	Mandu-upKC_4.20
   bījāṅkurākhyā dṛṣṭānto yaḥ sa sādhyena tulyo mametyabhiprāyaḥ /	bIja-aFkura-AKyAH dRzwAntaH yaH sa sADyena tulyaH mama-iti-aBiprAyaH /
   nanu pratyakṣaḥ kāryakāraṇabhāvo bījāṅkurayoranādiḥ? na, pūrvasya	nanu pratyakzaH kArya-kAraNa-BAvaH bIja-aFkurayoH-anAdiH? na, pUrvasya
   pūrvasyāparavadādimattvābhyupagamāt /	pUrvasya-apara-vat-Adi-mattva-aByupagamAt /
   yathedānīmutpanno 'paro 'ṅkuro bījādādimānbījaṃ cāparamanyasmādaṅkurāditi	yaTA-idAnIm-utpannaH aparaH aFkuraH bIjAt-AdimAn-bIjam ca-aparam-anyasmAt-aFkurAt-iti
   krameṇotyannatvādādimat /	krameNa-uti-anna-tvAt-Adimat /
   evaṃ pūrvaḥ pūrvo 'ṅkuro bījaṃ ca pūrvaṃ pūrvamādimadeviti pratyekaṃ	evam pUrvaH pUrvaH aFkuraH bIjam ca pUrvam pUrvam-Adimadeviti pratyekam
   sarvasya bījāṅkurajātasyādimattvātkasyacidapyanāditvānupapatti /	sarvasya bIja-aFkura-jAtasya-AdimattvAt-kasyacid-api-anAditva-anupapatti /
   evaṃ hetuphalānām /	evam hetu-PalAnAm /
   atha bījāṅkurasantateranādimattvamiti cet? na, ekatvānupapatteḥ /	aTa bIja-aFkura-santateH-anAdimattvam-iti cet? na, ekatva-anupapatteH /
   na hi bījāṅkuravyatirekeṇa bījāṅkurasantatirnāmaikābhyupagamyate	na hi bIja-aFkura-vyatirekeNa bIja-aFkura-santatiH-nAma-eka-aByupagamyate
   hetuphalasantatirvā tadanāditvavādibhis tasmātsūktaṃ hetoḥ phalasya	hetu-Pala-santatiH-vA tad-anAdi-tva-vAdiBiH tasmAt-sUktam hetoH Palasya
   cānādiḥ kathaṃ tairupavarṇyata iti /	ca-anAdiH kaTam tEH-upavarNyate iti /
   tathā cānyadapyanupapatternacchalamityabhiprāyaḥ /	taTA ca-anyat-api-anupapatteH-nacCalam-iti-aBiprAyaH /
   na ca loke sādhyasamo hetuḥ sādhyasiddhau siddhinimittaṃ prayujyate	na ca loke sADya-samaH hetuH sADya-sidDO sidDi-nimittam prayujyate
   pramāṇakuśalairityarthaḥ /	pramANa-kuSalEH-iti-arTaH /
   heturiti dṛṣṭānto 'trābhipretaḥ, gamakatvāt /	hetuH-iti dRzwAntaH atra-aBipretaH, gamaka-tvAt /
   prakṛto hi dṛṣṭānto na heturiti //20//	prakRtaH hi dRzwAntaH na hetuH-iti //20//
   START MandUpK 4.21	START Mandu-upK 4.21
   kathaṃ buddhairajātiḥ paridīpitetyāha-	kaTam budDEH-ajAtiH paridIpitA-iti-Aha-
   pūrvāparāparijñānam ajāteḥ paridīpakam /	pUrva-apara-aparijQAnam ajAteH paridIpakam /
   jāyamānād dhi vai dharmāt kathaṃ pūrvaṃ na gṛhyate // MandUpK_4.21 //	jAyamAnAt Di vE DarmAt kaTam pUrvam na gRhyate // Mandu-upK_4.21 //
   MandUpKC_4.21	Mandu-upKC_4.21
   yadetaddhetuphalayoḥ pūrvāparāparijñānaṃ taccaitadajāteḥ	yat-etat-hetu-PalayoH pUrva-apara-aparijQAnam tat-ca-etat-ajAteH
   paridīpakamavabodhakamityarthaḥ /	paridIpakam-avaboDakam-iti-arTaH /
   jāyamāno hi ceddharmo gṛhyate, kathaṃ tasmātpūrvaṃ kāraṇaṃ na gṛhyate /	jAyamAnaH hi ced-DarmaH gRhyate, kaTam tasmAt-pUrvam kAraNam na gRhyate /
   avaśyaṃ jāyamānasya grahītrā tajjanakaṃ grahītavyam /	avaSyam jAyamAnasya grahItrA tad-janakam grahItavyam /
   janyajanakayoḥ saṃbandhasyānapetatvāt /	janya-janakayoH saMbanDasya-anapeta-tvAt /
   tasmādajātiparidīpakaṃ tadityarthaḥ //21//	tasmAt-ajAti-paridIpakam tat-iti-arTaH //21//
   START MandUpK 4.22	START Mandu-upK 4.22
   itaśca na jāyate kiñcit, yajjāyamānaṃ vastu-	itas-ca na jAyate kiQcit, yat-jAyamAnam vastu-
   svato vā parato vāpi na kiñcid vastu jāyate /	svatas vA paratas vA-api na kiQcid vastu jAyate /
   sad asat sadasad vāpi na kiñcid vastu jāyate // MandUpK_4.22 //	sat asat sat-asat vA-api na kiQcid vastu jAyate // Mandu-upK_4.22 //
   MandUpKC_4.22	Mandu-upKC_4.22
   svataḥ parata ubhayato vā sadasatsadasadvā na jāyate na tasya kenacidapi	svatas paratas uBayatas vA sat-asat-sat-asat-vA na jAyate na tasya kenacid-api
   prakāreṇa janma saṃbhavati /	prakAreNa janma saMBavati /
   na tāvatsvayamevāpariniṣpannātsvataḥ svarūpātsvayameva jāyate yathā	na tAvat-svayam-eva-aparinizpannAt-svatas svarUpAt-svayam-eva jAyate yaTA
   ghaṭastasmādeva ghaṭāt /	GawaH-tasmAt-eva GawAt /
   nāpi parato 'nyasmādanyo yathā ghaṭātpaṭaḥ paṭātpaṭāntaram /	na-api paratas anyasmAt-anyaH yaTA GawAt-pawaH pawAt-pawa-antaram /
   tathā nobhayataḥ, virodhāt; yathā ghaṭapaṭābhyāṃ ghaṭaḥ paṭo vā na jāyate	taTA na-uBayataH, viroDAt; yaTA Gawa-pawAByAm GawaH pawaH vA na jAyate
   nanu mṛdo ghaṭo jāyate pituśca putraḥ /	nanu mRdaH GawaH jAyate pituH-ca putraH /
   satyam, asti jāyata iti pratyayaḥ śabdaśca mūḍhānām /	satyam, asti jAyate iti pratyayaH SabdaH-ca mUXAnAm /
   tāveva śabdapratyayau vivekibhiḥ parīkṣyete kiṃ satyameva tāvuta mṛṣeti /	tO=-eva Sabda-pratyayO vivekiBiH parIkzyete kim satyam-eva tO=-uta mRzA-iti /
   yāvatā parīkṣyamāṇe śabdapratyaviṣayaṃ vastu ghaṭaputrādilakṣaṇaṃ	yAvatA parIkzyamANe Sabda-pratyavizayam vastu Gawa-putra-Adi-lakzaNam
   śabdamātrameva tat /	Sabda-mAtram-eva tat /
   "vācārambhaṇam"(chā.u.6 / 1 / 4) iti śruteḥ /	"vAca-AramBaNam"(CA.u.6 / 1 / 4) iti SruteH /
   saccenna jāyate sattvānmṛtpitrādivad /	sat-ced-na jAyate sattvAt-mRd-pitra-Adi-vat /
   yadyasattathāpi na jāyate 'sattvādeva śaśaviṣāṇādivat /	yat-i-asat-taTA-api na jAyate asattvAt-eva SaSa-vizANa-Adi-vat /
   atha sadasattathāpi na jāyate viruddhasyaikasyāsaṃbhavāt /	aTa sat-asat-taTA-api na jAyate virudDasya-ekasya-asaMBavAt /
   ato na kiñcadvastu jāyata iti siddham /	atas na kiQcadvastu jAyate iti sidDam /
   yeṣāṃ punarjanireva jāyata iti kriyākārakaphalaikatvam abhyupagamyate	yezAm punar-janiH-eva jAyate iti kriyA-kAraka-Pala-eka-tvam aByupagamyate
   kṣaṇikatvaṃ ca vastunaḥ, te dūrata eva nyāyāpetāḥ /	kzaNika-tvam ca vastunaH, te dUratas eva nyAya-apetAH /
   idamitthamityavadhāraṇakṣaṇāntarānavasthānādananubhūtasya	idam-itTam-iti-avaDAraNa-kzaNa-antara-anavasTAnAt-ananuBUtasya
   smṛtyanupapatteśca //22//	smRti-anupapatteH-ca //22//
   START MandUpK 4.23	START Mandu-upK 4.23
   kiṃ ca hetuphalayoranāditvamabhyupagacchatā tvayā	kim ca hetu-PalayoH-anAdi-tvam-aByupagacCatA tvayA
   balāddhetuphalayorajanmaivābhyupagataṃ syāt /	balAt-hetu-PalayoH-ajanma-eva-aByupagatam syAt /
   tatkatham?	tat-kaTam?
   hetur na jāyate 'nādeḥ phalaṃ cāpi svabhāvataḥ /	hetuH na jAyate anAdeH Palam ca-api svaBAvataH /
   ādir na vidyate yasya tasya hy ādir na vidyate // MandUpK_4.23 //	AdiH na vidyate yasya tasya hi AdiH na vidyate // Mandu-upK_4.23 //
   MandUpKC_4.23	Mandu-upKC_4.23
   anāderādirahitātphalāddheturna jāyate /	anAdeH-Adi-rahitAt-PalAt-hetuH-na jAyate /
   na hyanutpannādanādeḥ phalāddhetorjanmeṣyate tvayā /	na hi-anutpannAt-ana-AdeH PalAt-hetoH-janma-izyate tvayA /
   phalaṃ cādirahitādanāderhetorajātsvabhāvata eva nirnimittaṃ jāyata iti	Palam ca-Adi-rahitAt-anAdeH-hetoH-ajAt-svaBAvataH eva nirnimittam jAyate iti
   nābhyupagamyate /	na-aByupagamyate /
   tasmādanāditvamabhyupagacchatā tvayā hetuphalayorajanmāvābhyupagamyate /	tasmAt-anAdi-tvam-aByupagacCatA tvayA hetu-PalayoH-ajanma-avAByupagamyate /
   yasmādādiḥ kāraṇaṃ na vidyate yasya loke tasya hyādiḥ pūrvoktā jātirna	yasmAt-AdiH kAraNam na vidyate yasya loke tasya hi-AdiH pUrva-uktAH jAtiH-na
   vidyate /	vidyate /
   kāraṇavata eva hyādirabhyupagamyate nākāraṇavataḥ //23//	kAraNavataH eva hi-AdiH-aByupagamyate na-akAraNavataH //23//
   START MandUpK 4.24	START Mandu-upK 4.24
   uktasyaivārthasya dṛḍhīkaraṇacikīrṣayā punarākṣipati-	uktasya-eva-arTasya dRXIkaraNa-cikIrzayA punar-Akzipati-
   prajñapteḥ sanimittatvam anyathā dvayanāśataḥ /	prajQapteH sa-nimitta-tvam anyaTA dvaya-nASataH /
   saṃkleśasyopalabdheś ca paratantrāstitā matā // MandUpK_4.24 //	saMkleSasya-upalabDeH ca paratantra-astitAH matAH // Mandu-upK_4.24 //
   MandUpKC_4.24	Mandu-upKC_4.24
   prajñānaṃ prajñaptiḥ śabdādipratītistasyāḥ sanimittatvam; nimittaṃ kāraṇaṃ	prajQAnam prajQaptiH Sabda-Adi-pratItiH-tasyAH sa-nimitta-tvam; nimittam kAraNam
   viṣaya ityetatsannimittatvaṃ saviṣatvaṃ svātmavyatiriktaviṣayatetyetat	vizayaH iti-etat-sannimitta-tvam sa-viza-tvam sva-Atma-vyatirikta-vizaya-tA-iti-etat
   pratijānīmahe /	pratijAnImahe /
   na hi nirviṣayā prajñaptiḥ śabdādipratītiḥ syāt, tasyāḥ sanimittatvāt /	na hi nirvizayA prajQaptiH Sabda-Adi-pratItiH syAt, tasyAH sa-nimitta-tvAt /
   anyathā nirviṣayatve śabdasparśanīlapītalohitādipratyayavaicitryasya	anyaTA nirvizaya-tve Sabda-sparSa-nIla-pIta-lohita-Adi-pratyaya-vEcitryasya
   dvayasya nāśato nāśo 'bhāvaḥ prasajyetetyarthaḥ /	dvayasya nASataH nASaH aBAvaH prasajyeta-iti-arTaH /
   na ca pratyayavaicitryasya dvayasyābhāvo 'sti pratyakṣatvāt /	na ca pratyaya-vEcitryasya dvayasya-aBAvaH asti pratyakza-tvAt /
   ataḥ pratyavaicitryasya dvayasya darśānāt, pareṣāṃ tantraṃ	atas pratyavEcitryasya dvayasya darSa-anAt, parezAm tantram
   paratantramityanyaśāstram, tasya paratantrasya paratantrāśrayasya	paratantram-iti-anya-SAstram, tasya paratantrasya paratantra-ASrayasya
   bāhyārthasya jñānavyatiriktasyāsthitā matābhipretā /	bAhya-arTasya jQAna-vyatiriktasya-AsTitA mata-aBipretAH /
   na hi prajñapteḥ prakāśamātrasvarūpāyā	na hi prajQapteH prakASa-mAtra-svarUpAyAH-
   nīlapītādibāhyālambanavaicitryamantareṇa svabhāvabhedenaiva vaicitryaṃ	nIla-pIta-Adi-bAhya-Alambana-vEcitryam-antareNa svaBAva-Bedena-eva vEcitryam
   saṃbhavati /	saMBavati /
   sphaṭikasyeva nīlādyupādhyāśrayairvinā vaicitryaṃ na ghaṭata ityabhiprāyaḥ	sPawikasya-iva nIla-Adi-upADi-ASrayEH-vinA vEcitryam na GawataH iti-aBiprAyaH
   itaśca paratantrāśrayasya bāhyārthasya jñānavyatiriktasyāstitā /	itas-ca paratantra-ASrayasya bAhya-arTasya jQAna-vyatiriktasya-astitAH /
   saṃkleśanaṃ saṃkleśo duḥkhamityarthaḥ /	saMkleSanam saMkleSaH duHKam-iti-arTaH /
   upalabhyate hyagnidāhādinimittaṃ duḥkham /	upalaByate hi-agni-dAha-Adi-nimittam duHKam /
   yadyagnyādibāhyaṃ dāhādinimittaṃ vijñānavyatiriktaṃ na syāttato	yadi-agni-Adi-bAhyam dAha-Adi-nimittam vijQAna-vyatiriktam na syAt-tatas-
   dāhādiduḥkhaṃ nopalabhyate /	dAha-Adi-duHKam na-upalaByate /
   upalabhyate tu /	upalaByate tu /
   atastena manyamahe 'sti bāhyor'tha iti /	atas-tena manya-mahe asti bAhyor-aTa iti /
   na hi vijñānamātre saṃklośo yuktaḥ, anyatrādarśanādityabhiprāyaḥ //24//	na hi vijQAna-mAtre saMkloSaH yuktaH, anyatra-adarSanAt-iti-aBiprAyaH //24//
   START MandUpK 4.25	START Mandu-upK 4.25
   atrocyate-	atra-ucyate-
   prajñapteḥ sanimittatvam iṣyate yuktidarśanāt /	prajQapteH sa-nimitta-tvam izyate yukti-darSanAt /
   nimittasyānimittatvam iṣyate bhūtadarśanāt // MandUpK_4.25 //	nimittasya-animitta-tvam izyate BUta-darSanAt // Mandu-upK_4.25 //
   MandUpKC_4.25	Mandu-upKC_4.25
   bāḍhamevaṃ prajñapteḥ sanimittatvaṃ	bAXam-evam prajQapteH sa-nimitta-tvam
   dvayasaṃkleśopalabdhiyuktidarśanādiṣyate tvayā /	dvaya-saMkleSa-upalabDi-yukti-darSanAt-izyate tvayA /
   sthirībhava tāvattvaṃ yuktidarśanaṃ vastunastathātvābhyupagame	sTirIBava tAvat-tvam yukti-darSanam vastunaH-taTA-tva-aByupagame
   kāraṇamityatra /	kAraNam-iti-atra /
   brūhi kiṃ tata iti /	brUhi kim tatas iti /
   ucyate /	ucyate /
   nimittasya prajñaptyālambanābhimatasya ghaṭāderanimittatvamanālambanatvaṃ	nimittasya prajQapti-AlambanABimatasya Gawa-AdeH-animitta-tvam-anAlambana-tvam
   vaicitryāhetutvamiṣyate 'smābhiḥ /	vEcitrya-ahetu-tvam-izyate asmABiH /
   katham? bhūtadarśanātparamārthadarśanādityetat /	kaTam? BUta-darSanAt-parama-arTa-darSanAt-iti-etat /
   na hi ghaṭo yathābhūtamṛdrūpadarśane sati tadvyatirekeṇāsti,	na hi GawaH yaTABUta-mRd-rUpa-darSane sati tad-vyatirekeNa-Asti,
   yathāśvānmahiṣaḥ paṭo vā tantuvyatirekeṇa,	yaTA-aSvAn-mahizaH pawaH vA tantu-vyatirekeNa,
   tantavaścāṃśuvyatirekeṇetyevamuttarottara bhūtadarśana	tantavaH-ca-aMSu-vyatirekeNa-iti-evam-uttarottara BUta-darSana
   āśabdapratyayanirodhānnaiva nimittamupalabhāmaha ityarthaḥ /	ASabda-pratyaya-niroDAt-na-eva nimittam-upalaBAmahe iti-arTaH /
   athavā bhūtadarśanādbāhyārthasyānimittatvamiṣyate, rajjvādāviva	aTavA BUta-darSanAt-bAhya-arTasya-animitta-tvam-izyate, rajju-AdO=-iva
   sarpāderityarthaḥ /	sarpa-AdeH-iti-arTaH /
   bhrāntidarśanaviṣayatvācca nimittasyānimittatvaṃ bhavet /	BrAnti-darSana-vizaya-tvAt-ca nimittasya-animitta-tvam Bavet /
   tadabhāve 'bhāvān na hi suṣuptasamāhitamuktānāṃ bhrāntidarśanābhāva	tad-aBAve aBAvAt na hi suzupta-samAhita-muktAnAm BrAnti-darSana-aBAva
   ātmavyatirikto bāhyor'tha upalabhyate /	Atma-vyatiriktaH bAhyor-aTa upalaByate /
   na hyunmattāvagataṃ vastvanunmattairapi tathābhūtaṃ gamyate /	na hi-unmatta-avagatam vastu-anunmattEH-api taTABUtam gamyate /
   etena dvayadarśanaṃ saṃkleśopalabdhiśca pratyuktā //25//	etena dvaya-darSanam saMkleSa-upalabDiH-ca pratyuktAH //25//
   START MandUpK 4.26	START Mandu-upK 4.26
   yasmānnāsti bāhyaṃ nimittamataḥ-	yasmAt-na-asti bAhyam nimittam-atas--
   cittaṃ na saṃspṛśaty arthaṃ nārthābhāsaṃ tathaiva ca /	cittam na saMspRSati arTam na-arTa-ABAsam taTA-eva ca /
   abhūto hi yataś cārtho nārthābhāsas tataḥ pṛthak // MandUpK_4.26 //	aBUtaH hi yatas ca-arTaH na-arTa-ABAsaH tatas pRTak // Mandu-upK_4.26 //
   MandUpKC_4.26	Mandu-upKC_4.26
   cittaṃ na spṛśatyarthaṃ bāhyālambanaviṣayam, nāpyarthābhāsaṃ	cittam na spRSati-arTam bAhya-Alambana-vizayam, na-api-arTa-ABAsam
   cittatvātsvapnacittavat /	citta-tvAt-svapna-citta-vat /
   abhūto hi jāgarite 'pi svapnārthavadeva bāhyaḥ śabdādyartho yata	aBUtaH hi jAgarite api svapna-arTavat-eva bAhyaH Sabda-Adi-arTaH yata
   uktahetutvācca /	ukta-hetu-tvAt-ca /
   nāpyarthābhāsaścittātpṛthakcittameva hi ghaṭādyarthavadavabhāsate yathā	na-api-arTa-ABAsaH-cittAt-pRTak-cittam-eva hi Gawa-Adi-arTavat-avaBAsate yaTA
   svapne //26//	svapne //26//
   START MandUpK 4.27	START Mandu-upK 4.27
   nanu viparyāsastarhyasati ghaṭādau ghaṭādyābhāsatā cittasya /	nanu viparyAsaH-tarhi-asati Gawa-AdO Gawa-Adi-ABAsa-tA cittasya /
   tathā ca satyaviparyāsaḥ kvacidvaktavya iti /	taTA ca satya-viparyAsaH kvacid-vaktavyaH iti /
   atrocyate-	atra-ucyate-
   nimittaṃ na sadā cittaṃ saṃspṛśaty adhvasu triṣu /	nimittam na sadA cittam saMspRSati aDvasu trizu /
   animitto viparyāsaḥ kathaṃ tasya bhaviṣyati // MandUpK_4.27 //	animittaH viparyAsaH kaTam tasya Bavizyati // Mandu-upK_4.27 //
   MandUpKC_4.27	Mandu-upKC_4.27
   nimittaṃ viṣayamatītānāgatavartamānādhvasu triṣvapi sadā cittaṃ na	nimittam vizayam-atIta-anAgata-vartamAna-aDvasu trizu-api sadA cittam na
   spṛśedeva hi /	spRSet-eva hi /
   yadi hi kvacit saṃspṛśet sa aviparyāsaḥ paramārtha iti /	yadi hi kvacid saMspRSet sa aviparyAsaH parama-arTaH iti /
   atastadapekṣayāsati ghaṭe ghaṭādyābhāsatā viparyāsaḥ syānna tu tadasti	atas-tat-apekzayA-asati Gawe Gawa-Adi-ABAsa-tA viparyAsaH syAt-na tu tat-asti
   kadācidapi cittasyārthasaṃsparśanam /	kadAcid-api cittasya-arTa-saMsparSanam /
   tasmādanimitto viparyāsaḥ kathaṃ tasya cittasya bhaviṣyati; na	tasmAt-animittaH viparyAsaH kaTam tasya cittasya Bavizyati; na
   kathañcidviparyāso 'stītyabhiprāyaḥ /	kaTaQcid-viparyAsaH asti-iti-aBiprAyaH /
   ayameva hi svabhāvaścittasya yadutāsati nimitte ghaṭādau tadvadavabhāsanam	ayam-eva hi svaBAvaH-cittasya yat-uta-asati nimitte Gawa-AdO tadvat-avaBAsanam
   START MandUpK 4.28	START Mandu-upK 4.28
   prajñapteḥ sanimittatvamityādyetadantaṃ vijñānavādino bauddhastha vacanaṃ	prajQapteH sa-nimitta-tvam-iti-Adi-etat-antam vijQAna-vAdinaH bOdDa-sTa vacanam
   bāhyārthavādipakṣapratiṣedhaparamācāryeṇānumoditam /	bAhya-arTa-vAdi-pakza-pratizeDa-parama-AcAryeNa-anumoditam /
   tadeva hetuṃ kṛtvā tatpakṣapratiṣedhāya tadidamucyate-	tat-eva hetum kRtvA tad-pakza-pratizeDAya tat-idam-ucyate-
   tasmān na jāyate cittaṃ cittadṛśyaṃ na jāyate /	tasmAt na jAyate cittam citta-dRSyam na jAyate /
   tasya paśyanti ye jātiṃ khe vai paśyanti te padam // MandUpK_4.28 //	tasya paSyanti ye jAtim Ke vE paSyanti te padam // Mandu-upK_4.28 //
   MandUpKC_4.28	Mandu-upKC_4.28
   yasmādasatyeva ghaṭādau ghaṭādyābhāsatā cittasya vijñānavādinābhyupagatā	yasmAt-asati-eva Gawa-AdO Gawa-Adi-ABAsa-tA cittasya vijQAna-vAdinA-aByupagatA
   tadanumoditam asmābhirapi bhūtadarśanāt, tasmāttasyāpi cittasya	tad-anumoditam asmABiH-api BUta-darSanAt, tasmAt-tasya-api cittasya
   jāyamānāvabhāsatāsatyeva janmani yuktā bhavitumityato na jāyate cittam,	jAyamAna-avaBAsa-tA-sati-eva janmani yuktA Bavitum-iti-atas na jAyate cittam,
   yathā cittadṛśyaṃ na jāyate /	yaTA citta-dRSyam na jAyate /
   atastasya cittasya ye jātiṃ paśyanti vijñānavādinaḥ	atas-tasya cittasya ye jAtim paSyanti vijQAna-vAdinaH
   kṣaṇikatvaduḥkhitvaśūnyatvānātmatvādi ca, tenaiva cittena cittasvarūpaṃ	kzaNika-tva-duHKi-tva-SUnya-tvAnAtma-tva-Adi ca, tena-eva cittena citta-svarUpam
   draṣṭumaśakyaṃ paśyantaḥ khe vai paśyanti te padaṃ pakṣyādīnām /	drazwum-aSakyam paSyantaH Ke vE paSyanti te padam pakzi-AdInAm /
   ata itarebhyo 'pi dvaitibhyo 'tyantasāhasikā ityartho ye 'pi śūnyavādinaḥ	atas itareByaH api dvEtiByaH atyanta-sAhasikAH iti-arTaH ye api SUnya-vAdinaH
   paśyanta eva sarvaśūnyatāṃ svadarśanasyāpi śūnyatāṃ svadarśanasyāpi	paSyantaH eva sarva-SUnyatAm sva-darSanasya-api SUnyatAm sva-darSanasya-api
   śūnyatāṃ pratijānate te tato 'pi sāhasikatarāḥ khaṃ muṣṭināpi jighṛkṣanti	SUnyatAm pratijAnate te tatas api sAhasikatarAH Kam muzwinA-api jiGRkzanti
   START MandUpK 4.29	START Mandu-upK 4.29
   uktairhetubhirajamekaṃ brahmeti siddhaṃ yatpunarādau pratijñātaṃ	uktEH-hetuBiH-ajam-ekam brahma-iti sidDam yat-punar-AdO pratijQAtam
   tatphalopasaṃhārārthoyaṃ ślokaḥ-	tad-Pala-upasaMhAra-arToyam SlokaH-
   ajātaṃ jāyate yasmād ajātiḥ prakṛtis tataḥ /	ajAtam jAyate yasmAt ajAtiH prakRtiH tatas /
   prakṛter anyathābhāvo na kathañcid bhaviṣyati // MandUpK_4.29 //	prakRteH anyaTA-BAvaH na kaTaQcid Bavizyati // Mandu-upK_4.29 //
   MandUpKC_4.29	Mandu-upKC_4.29
   ajātaṃ yaccittaṃ brahmaiva jāyata iti vādibhiḥ parikalpyate tadajātaṃ	ajAtam yat-cittam brahma-eva jAyate iti vAdiBiH parikalpyate tad-ajAtam
   jāyate yasmādajātiḥ prakṛtistasya /	jAyate yasmAt-ajAtiH prakRtiH-tasya /
   tatastasmādajātarūpāyāḥ prakṛteranyathābhāvo janma na kathañcidbhaviṣyati	tatas-tasmAt-ajAtarUpAyAH prakRteH-anyaTA-BAvaH janma na kaTaQcid-Bavizyati
   START MandUpK 4.30	START Mandu-upK 4.30
   ayaṃ cāpara ātmanaḥ saṃsāramokṣayoḥ paramārthasadbhāvavādināṃ doṣa ucyate-	ayam ca-aparaH AtmanaH saMsAra-mokzayoH parama-arTa-sadBAva-vAdinAm dozaH ucyate-
   anāder antavattvaṃ ca saṃsārasya na setsyati /	anAdeH antavat-tvam ca saMsArasya na setsyati /
   anantatā cādimato mokṣasya na bhaviṣyati // MandUpK_4.30 //	ananta-tA ca-AdimataH mokzasya na Bavizyati // Mandu-upK_4.30 //
   MandUpKC_4.30	Mandu-upKC_4.30
   anāderatītakoṭirahitasya saṃsārasyāntavattvaṃ samāptirna setsyati yuktitaḥ	anAdeH-atIta-kowi-rahitasya saMsArasya-antavat-tvam samAptiH-na setsyati yuktitaH
   siddhiṃ nopayāsyati /	sidDim na-upayAsyati /
   na hyanādiḥ sannantavānkaścitpadārtho dṛṣṭo loke /	na hi-anAdiH sannantavAn-kaScid-padArTaH dRzwaH loke /
   bījāṅkurasaṃbandhanairantaryavicchedo iṣṭa iti cet,	bIja-aFkura-saMbanDa-nErantarya-vicCedaH izwaH iti ced-,
   nai7kavastvabhāvenāpoditvāt /	nE7ka-vaH-tu-aBAvena-apoditvAt /
   tathānantatāpi vijñānaprāptikālaprabhavasya mokṣasyādimato na bhaviṣyati,	taTA-anantatA-api vijQAna-prApti-kAla-praBavasya mokzasya-AdimataH na Bavizyati,
   ghaṭādiṣvadarśanāt /	Gawa-Adizu-adarSanAt /
   ghacādivināśavadavastutvādadoṣa iti cet, tathā ca mokṣasya	Gaca-Adi-vinASa-vat-avastu-tvAt-adozaH iti cet, taTA ca mokzasya
   paramārthasadbhāvapratijñāhāniḥ /	parama-arTa-sadBAva-pratijQA-hAniH /
   asattvādeva śaśaviṣāṇasyevādimattvābhāvaśca //30//	asattvAt-eva SaSa-vizANasya-iva-Adimattva-aBAvaH-ca //30//
   START MandUpK 4.31-32	START Mandu-upK 4.31-32
   ādāvante ca yan nāsti vartamāne 'pi tat tathā /	AdO=-ante ca yat na-asti vartamAne api tat taTA /
