   Ahorātravratakathā	AhorAtra-vrata-kaTA
   netrābhirāmā bahuratnakoṣā narādhipair arcitapādapadmāḥ /	netra-aBirAmAH bahu-ratna-kozAH narADipEH arcita-pAda-padmAH /
   jñānapradīpāhatamohajālā ye dīpamālā racayanti buddhe // Avk_80 //	jQAna-pradIpA-hata-moha-jAlAH ye dIpa-mAlAH racayanti budDe // Avc-_80 //
   naivedyam asmai pradadāti loke yo bhaktiyuktaḥ surasaṃ sugandhim /	nEvedyam asmE pradadAti loke yaH Bakti-yuktaH surasam suganDim /
   balī viśiṣṭo naracakracūḍāmaṇyarcitāṅghrī nṛpasevyamānaḥ // Avk_81 //	balI viSizwaH nara-cakra-cUxAmaNI-arcita-aFGrI nRpa-sevyamAnaH // Avc-_81 //
   phalamūlādikaṃ dattvā caityeṣu bhaktimānasaḥ /	Pala-mUla-Adikam dattvA cEtyezu Bakti-mAnasaH /
   yatheṣṭaṃ phalam āpnoti nirogī sukhavān sadā // Avk_82 //	yaTezwam Palam Apnoti nirogI suKavAn sadA // Avc-_82 //
   rogādibhiḥ prabaladuḥkhakarair vimuktāḥ snigdhānanāḥ	roga-AdiBiH prabala-duHKa-karEH vimuktAH snigDa-AnanAH
   kanakatulyamanojñavarṇāḥ /	kanaka-tulya-manojQa-varNAH /
   rājyaṃ hi yad vigatakaṇṭakam āpnuvanti bhaiṣajyadānavidhinā tad uśanti	rAjyam hi yat vigata-kaNwakam Apnuvanti BEzajya-dAna-viDinA tat uSanti
   caitye // Avk_83 //	cEtye // Avc-_83 //
   tāmbūlādigaṇaṃ dattvā rūpavān sukhavāñ chuciḥ /	tAmbUla-Adi-gaNam dattvA rUpavAn suKavAn CuciH /
   divyāṅganā manohārī rājalakṣmīm avāpnuyāt // Avk_84 //	divya-aFganA manohArI rAja-lakzmIm avApnuyAt // Avc-_84 //
   vitānam uccair vitanoti caitye dhanyas triloke paripūjanīyaḥ /	vitAnam uccEs vitanoti cEtye DanyaH triloke paripUjanIyaH /
   viśālavaṃśo guṇarakṣaṇīyo jāto mahādīptaśarīrabhāsaḥ // Avk_85 //	viSAla-vaMSaH guNa-rakzaNIyaH jAtaH mahA-dIpta-SarIra-BAsaH // Avc-_85 //
   dhvajān patākān abhiropayanti ye caityabimbe khalu bhaktiyuktāḥ /	DvajAn patAkAn aBiropayanti ye cEtya-bimbe Kalu Bakti-yuktAH /
   mahīśvarās te jitaduṣṭasaṃghā bhavanti nāthā divi bhūtale ca // Avk_86 //	mahI-ISvarAH te jita-duzwa-saMGAH Bavanti nATAH divi BU-tale ca // Avc-_86 //
   chattrāṇi nānāmaṇibhir mahārhaiḥ saṃpādayanty āttamanā dadanti /	CattrANi nAnA-maNiBiH mahArhEH saMpAdayanti Atta-manAH dadanti /
   caityeṣu bhūmīśvaravṛndavandyāḥ śrīsaṃyutā dharmaratā bhavanti // Avk_87	cEtyezu BUmISvara-vRnda-vandyAH SrI-saMyutAH Darma-ratAH Bavanti // Avc-_87
   vīṇādibhir ghaṇṭamṛdaṅgavādyaiḥ śṛṅgaiś ca śaṅkhādisudivyaghoṣaiḥ /	vINA-AdiBiH GaNwa-mRdaFgavAdyEH SRFgEH ca SaFKa-Adi-su-divya-GozEH /
   saṃghoṣaṇāṃ ye vitaranti caitye te 'bhijñayā pañcabhir āśrayante // Avk_88	saMGozaNAm ye vitaranti cEtye te aBijQayA paQcaBiH ASrayante // Avc-_88
   mahotsāhakarair gītaiḥ sumanojñasvarair jine /	mahA-utsAha-karEH gItEH su-manojQa-svarEH jine /
   nṛtyaṃ ca kārayen nityaṃ kuryāc ca divyaghoṣaṇām // Avk_89 //	nRtyam ca kArayet nityam kuryAt ca divya-GozaNAm // Avc-_89 //
   te narāḥ susvarā bhonti sundarā divi bhūtale /	te narAH su-svarAH Bonti sundarAH divi BU-tale /
   divyaśrotrā mahāvijñāḥ suśabdaṃ śṛṇuyuḥ sadā // Avk_90 //	divya-SrotrAH mahA-vijQAH su-Sabdam SRNuyuH sadA // Avc-_90 //
   nṛtyagītādikaṃ kṛtvā caityabimbe jinālaye /	nRtya-gIta-Adikam kRtvA cEtya-bimbe jina-Alaye /
   vandyamānāḥ sugotrāś ca niṣpāpāś ca bahuśrutāḥ // Avk_91 //	vandyamAnAH sugotrAH ca nizpApAH ca bahu-SrutAH // Avc-_91 //
   dīrghāyuṣkāḥ sahasrākṣā nirāpadāḥ guṇāśrayāḥ /	dIrGa-AyuzkAH sahasrAkzAH nirApadAH guNa-ASrayAH /
   grahavyādhivimuktāṅgā bhavanti te śubhākarāḥ // Avk_92 //	graha-vyADi-vimukta-aFgAH Bavanti te SuBa-AkarAH // Avc-_92 //
   trāsāya duṣṭasattvānāṃ rakṣārthaṃ ca jinālaye /	trAsAya duzwa-sattvAnAm rakzA-arTam ca jina-Alaye /
   śastrahastāḥ sthitā ye ca jinabhaktisamanvitāḥ // Avk_93 //	Sastra-hastAH sTitAH ye ca jina-Bakti-samanvitAH // Avc-_93 //
   āyuṣmanto nirogāś ca putrapautrīsamanvitāḥ /	AyuzmantaH nirogAH ca putra-pOtrI-samanvitAH /
   bhāgyavanto dhanāḍhyāś ca gacchanty ante jinālayam // Avk_94 //	BAgyavantaH Dana-AXyAH ca gacCanti ante jina-Alayam // Avc-_94 //
   dūrvākundākṣatān puṣpān lājayā saha bhaktimān /	dUrvA-kunda-akzatAn puzpAn lAjayA saha BaktimAn /
   prakṣipej jinacaityeṣu svastivākyam udāharan // Avk_95 //	prakzipet jina-cEtyezu svasti-vAkyam udAharan // Avc-_95 //
   durgatiṃ nābhijānāti sukulī lokanandanaḥ /	durgatim na-aBijAnAti sukulI lokanandanaH /
   sarvavidyāgurur vandyaś cānte mokṣam avāpnuyāt // Avk_96 //	sarva-vidyA-guruH vandyaH ca-ante mokzam avApnuyAt // Avc-_96 //
   ye ramamuktāmaṇivajrahemaṃ rūpyaṃ suvarṇādikadhātudānāt /	ye rama-muktAm-aNi-vajra-hemam rUpyam suvarNa-Adika-DAtu-dAnAt /
   vinaṣṭaśokāḥ subhagāḥ suvaṃśāḥ pūrṇendriyāḥ pūrṇamanorathāḥ syuḥ // Avk_97	vinazwa-SokAH suBagAH su-vaMSAH pUrNa-indriyAH pUrNa-manoraTAH syuH // Avc-_97
   ye śuddhacittāḥ stutim ācaranti gadyātmikāṃ padyamayīṃ vicitrām /	ye SudDa-cittAH stutim Acaranti gadya-AtmikAm padya-mayIm vicitrAm /
   te śabdasaṃghān bahuvādyajātān śṛṇvanti gītān surabhāminīnām // Avk_98 //	te Sabda-saMGAn bahu-vAdya-jAtAn SRNvanti gItAn sura-BAminInAm // Avc-_98 //
   yāvatī bhūmir ākrāntā hy adhaḥ kāñcanacakrataḥ /	yAvatI BUmiH AkrAntAH hi aDas kAQcana-cakrataH /
   yojanānāṃ sahasrāṇi rāśibhyaḥ parikīrtitāḥ // Avk_99 //	yojanAnAm sahasrANi rASiByaH parikIrtitAH // Avc-_99 //
   yāvatyo vālukās tatra tāvatyaḥ parisaṃkhyayā /	yAvatyaH vAlukAH tatra tAvatyaH parisaMKyayA /
   rājā bhavati vīreśaś cakravartī mahītale // Avk_100 //	rAjA Bavati vIreSaH cakravartI mahI-tale // Avc-_100 //
   ye jātamātrāḥ prabhutāṃ prayānti śreṣṭhīkule janma sadaiva yeṣām /	ye jAta-mAtrAH praBu-tAm prayAnti SrezWI-kule janma sadA-eva yezAm /
   hastyaśvayānaiś ca paribhramanti kṛtvātra te caityavarapraṇāmam // Avk_101	hasti-aSva-yAnEH ca pariBramanti kRtvA-atra te cEtya-vara-praNAmam // Avc-_101
   akāra-m-ādyakṣaramantrarājair balyūpahāraṃ khalu yo hi dadyāt /	akAra-m-a-Adi-akzara-mantra-rAjEH balyu-upahAram Kalu yaH hi dadyAt /
   tasmai sudevāḥ sagaṇāḥ sutṛptā dāsyanti satkarmaphalābhilāṣam // Avk_102	tasmE sudevAH sa-gaNAH su-tRptAH dAsyanti sat-karma-Pala-aBilAzam // Avc-_102
   yasmin sudhālepam udācaranti te rogaśokādivimuktadehāḥ /	yasmin suDA-lepam udAcaranti te roga-Soka-Adi-vimukta-dehAH /
   dhaneśvarā dīrghatarāyuṣas te narāmarāṇāṃ subhagā bhavanti // Avk_103 //	DaneSvarAH dIrGatara-AyuzaH te nara-amarANAm suBagAH Bavanti // Avc-_103 //
   ye buddham uddiśya mahānti nityaṃ kurvanti mṛdgomayalepanāni /	ye budDam uddiSya mahAnti nityam kurvanti mRd-gomaya-lepanAni /
   bhaktyā suśuddhā jalamaṇḍalaṃ vā labhanti te rājabalaṃ subhāgyāḥ //	BaktyA su-SudDAH jala-maNxalam vA laBanti te rAja-balam suBAgyAH //
   Avk_104 //	Avc-_104 //
   stūpāṅgaṇaṃ dhātuvaraṃ vihāraṃ ye śodhayantīha narāḥ prayatnaiḥ /	stu-upAFgaNam DAtu-varam vihAram ye SoDayanti-iha narAH prayatnEH /
   nirmālyam ebhyaś ca samuddharanti te hemavarṇāḥ sudṛśo bhavanti // Avk_105	nirmAlyam eByaH ca samudDaranti te hema-varNAH su-dRSaH Bavanti // Avc-_105
   pradakṣiṇāṃ ye vitaranti tasmin bhavanti jātismaralābhinas te /	pradakziNAm ye vitaranti tasmin Bavanti jAti-smara-lABinaH te /
   suvarṇavarṇā bahuputrapautrāḥ pūjyā manuṣyāmaranāthasaṃgḥaiḥ // Avk_106	suvarNa-varNAH bahu-putra-pOtrAH pUjyAH manuzya-amara-nATa-saMgHEH // Avc-_106
   ālasyenāpi yaḥ kuryāj jinālayapradakṣiṇām /	Alasyena-api yaH kuryAt jina-Alaya-pradakziNAm /
   pade pade suvarṇaikakarṣadānaphalaṃ labhet // Avk_107 //	pade pade suvarNa-eka-karza-dAna-Palam laBet // Avc-_107 //
   brahmakṣatriyavaiśyānāṃ sacchūdrāṇāṃ prapūjanam /	brahma-kzatriya-vESyAnAm sat-SUdrANAm prapUjanam /
   tebhyo vihīnajātīnām adhikāro na pūjane // Avk_108 //	teByaH vihIna-jAtInAm aDikAraH na pUjane // Avc-_108 //
   gandhapuṣpadvijātīnāṃ ... ca pūjayet /	ganDa-puzpa-dvijAtInAm ... ca pUjayet /
   gandhapuṣpadvijātīnāṃ viśeṣeṇa prakathyate // Avk_109 //	ganDa-puzpa-dvijAtInAm viSezeNa prakaTyate // Avc-_109 //
   chattrāvarohaṇaṃ rājñāṃ vaiśyānāṃ tv annaḍhaukane /	Cattra-avarohaNam rAjQAm vESyAnAm tu anna-XOkane /
   dhvajapātākavastreṣu śudrāṇāṃ ca pracakṣyate // Avk_110 //	Dvaja-pAtAka-vastrezu SudrANAm ca pracakzyate // Avc-_110 //
   svarṇakārā lohakārāḥ kāṃsyakṛtkṛṣikādayaḥ /	svarNakArAH lohakArAH kAMsya-kRt-kRzika-AdayaH /
   eteṣāṃ ceha hastena caityapuṃgavapūjanam // Avk_111 //	etezAm ca-iha hastena cEtya-puMgava-pUjanam // Avc-_111 //
   taṇḍulī vyañjanī cāpi krayavikrayakāriṇaḥ /	taNxulI vyaQjanI ca-api kraya-vikraya-kAriNaH /
   etaiḥ svavṛttivastūni ḍhaukanīyāni bhaktitaḥ // Avk_112 //	etEH sva-vRtti-vastUni XOkanIyAni BaktitaH // Avc-_112 //
   śaulinī dhvananavartī māṃsavartī tathā surī /	SOlinI DvananavartI mAMsavartI taTA surI /
   etair dīpaḥ pradātavyaḥ kuladharmapramāṇataḥ // Avk_113 //	etEH dIpaH pradAtavyaH kula-Darma-pramANataH // Avc-_113 //
   carmakāraś ca mātaṅgo niyogī rajako dhvajī /	carmakAraH ca mAtaFgaH niyogI rajakaH DvajI /
   etaiś ca dūrataḥ sthitvā vandanīyo jinālayaḥ // Avk_114 //	etEH ca dUratas sTitvA vandanIyaH jina-AlayaH // Avc-_114 //
   ṣaṭtriṃśajjātibhir evaṃ svakulavṛtticāraṇaiḥ /	zawtriMSat-jAtiBiH evam sva-kula-vRtti-cAraNEH /
   anyaiś ca vividhair nityaṃ pūjyo mānyo jinālayaḥ // Avk_115 //	anyEH ca viviDEH nityam pUjyaH mAnyaH jina-AlayaH // Avc-_115 //
   yeṣāṃ vratavikāro na pūjane jinapuṃgave /	yezAm vrata-vikAraH na pUjane jina-puMgave /
   etaiḥ pradakṣiṇāṃ kṛtvā vandanīyaḥ svabhaktitaḥ // Avk_116 //	etEH pradakziNAm kRtvA vandanIyaH sva-BaktitaH // Avc-_116 //
   evaṃ bhūyaś cared dharmī vratarājam aharniśam /	evam BUyas caret DarmI vrata-rAjam aharniSam /
   tasya puṇyaṃ yathā proktaṃ kuṣṭhavyādhikṣayaṃ vrajet // Avk_117 //	tasya puNyam yaTA proktam kuzWa-vyADi-kzayam vrajet // Avc-_117 //
   pañcānantaryapāpāni yāsyanty api na saṃśayaḥ /	paQca-anantarya-pApAni yAsyanti api na saMSayaH /
   kiṃ punaś cānyapāpāni janmāntarakṛtāny api // Avk_118 //	kim punar ca-anya-pApAni janma-antara-kRtAni api // Avc-_118 //
   na hī sa vidyate rājan sarvatra bhuvaneṣv api /	na hI sa vidyate rAjan sarvatra Buvanezu api /
   ahorātravrataṃ puṇyaṃ yo 'nyathātvaṃ kariṣyati // Avk_119 //	ahorAtra-vratam puNyam yaH anyaTAtvam karizyati // Avc-_119 //
   śravād api haret pāpaṃ darśanāt puṇyam āpnuyāt /	SravAt api haret pApam darSanAt puNyam ApnuyAt /
   anumodāt tathā caivaṃ vratināṃ tu kim ucyate // Avk_120 //	anumodAt taTA ca-evam vratinAm tu kim ucyate // Avc-_120 //
   vratināṃ saptabhāgāni kṛtvā puṇyaṃ viśāradaḥ /	vratinAm sapta-BAgAni kRtvA puNyam viSAradaH /
   ekabhāgaṃ labhed rājā caikaṃ tu sārathījanaḥ /	eka-BAgam laBet rAjA ca-ekam tu sAraTI-janaH /
   sarvasattvasya caikaṃ hi tac cheṣaṃ labhate vratī // Avk_121 //	sarva-sattvasya ca-ekam hi tat Sezam laBate vratI // Avc-_121 //
   iti śrutvā guror vākyam indrapṛṣṭo mahāprabhuḥ //	iti SrutvA guroH vAkyam indra-pRzwaH mahA-praBuH //
   tataḥ sattvahitārthāya vrataṃ kartuṃ samudyataḥ // Avk_122 //	tatas sattva-hita-arTAya vratam kartum samudyataH // Avc-_122 //
   vārāṇasīpuraṃ gatvā vasubandhuvaco yathā /	vArANasI-puram gatvA vasubanDu-vacaH yaTA /
   vihāraṃ ca pratiṣṭhāpya caityarājaṃ jinālayam /	vihAram ca pratizWApya cEtya-rAjam jina-Alayam /
   saṃghabhojyaṃ tataḥ kṛtvā yayau svargaṃ janaiḥ sudhīḥ // Avk_123 //	saMGa-Bojyam tatas kRtvA yayO svargam janEH suDIH // Avc-_123 //
   tato bhikṣavo bhagavantam etad ūcuḥ /	tatas BikzavaH Bagavantam etat UcuH /
   bhagavan muniśārdūla punar vaktuṃ tvam arhasi /	Bagavat muni-SArdUla punar vaktum tvam arhasi /
   kena kena purā nātha vratarājam idaṃ kṛtam // Avk_124 //	kena kena purA nATa vrata-rAjam idam kRtam // Avc-_124 //
   bhagavān āha /	BagavAn Aha /
   purā svargeṣu śakreṇa ahorātravrataṃ kṛtam /	purA svargezu SakreNa ahorAtra-vratam kRtam /
   sa ṣaṭpāramitāṃ dhārya caityarājam apūjayat /	sa zaz-pAramitAm DArya cEtya-rAjam apUjayat /
   pradakṣiṇāṃ sadā kṛtvā yathāvidhi mahotsavaiḥ // Avk_125 //	pradakziNAm sadA kRtvA yaTAviDi mahA-utsavEH // Avc-_125 //
   pātāle ca purā vīro daityendro balavān abhūt /	pAtAle ca purA vIraH dEtya-indraH balavAn aBUt /
   nirghoṣadamano nāma devāsurapramardakaḥ // Avk_126 //	nirGozadamanaH nAma deva-asura-pramardakaH // Avc-_126 //
   indraṃ svarge nirākṛtya pṛthivīm avadhāritam /	indram svarge nirAkRtya pRTivIm avaDAritam /
   tenāsurasahāyena trailokyaṃ svavaśe kṛtam // Avk_127 //	tena-asura-sahAyena trElokyam sva-vaSe kRtam // Avc-_127 //
   pṛthivīmaṇḍalaṃ gatvā gato 'sau maghavatpurim /	pRTivI-maNxalam gatvA gataH asO maGavat-purim /
   indrapṛṣṭamahāsthāne devatāpratimāṃ sthitām /	indra-pRzwa-mahA-sTAne devatA-pratimAm sTitAm /
   pañcapradakṣiṇāṃ kṛtvā prajñāpārasthito 'bhavat // Avk_128 //	paQca-pradakziNAm kRtvA prajQApAra-sTitaH aBavat // Avc-_128 //
   pātāleṣu punar gatvā so 'carat tad vratottamam /	pAtAlezu punar gatvA saH acarat tat vrata-uttamam /
   nāginyo nāgarājāś ca pātāleṣv acaraṃs tathā // Avk_129 //	nAginyaH nAga-rAjAH ca pAtAlezu acaran taTA // Avc-_129 //
   nāgaiḥ phaṇavibhūṣābhir devanāgendrakalpitam /	nAgEH PaNa-viBUzABiH deva-nAga-indra-kalpitam /
   pūjitaṃ satataṃ bhaktyā caityarājaṃ vidhānataḥ // Avk_130 //	pUjitam satatam BaktyA cEtya-rAjam viDAnataH // Avc-_130 //
   ṛṣayaś ca purā sapta jalāśrayapratiṣṭhitam /	RzayaH ca purA sapta jala-ASraya-pratizWitam /
   pupūjuḥ jinadhātusthaṃ vidhibhiś ca viśāradāḥ // Avk_131 //	pupUjuH jinaDAtu-sTam viDiBiH ca viSAradAH // Avc-_131 //
   nāginyo viṣadarpāndhāḥ pūjyamānāñ jinālayam /	nAginyaH viza-darpa-anDAH pUjyamAnAn jina-Alayam /
   tāpitān kārayām āsur viṣāṅgāraiḥ pradāhanaiḥ // Avk_132 //	tApitAn kArayAm AsuH viza-aFgArEH pradAhanEH // Avc-_132 //
   tatas taiḥ śāpitā evaṃ nāginyaḥ śambukāḥ khalu /	tatas tEH SApitAH evam nAginyaH SambukAH Kalu /
   bhavadhvaṃ saptajanmāni punaś caityasya sevakāḥ // Avk_133 //	BavaDvam sapta-janmAni punar cEtyasya sevakAH // Avc-_133 //
   tataś cānte punaḥ prāpya mānuṣyaṃ puṇyabhāvataḥ /	tatas ca-ante punar prApya mAnuzyam puNya-BAvataH /
   eṣā sā nāyakā yā tu dharmadakṣaṃ patiṃ labhet // Avk_134 //	ezA sA nAyakA yA tu Darma-dakzam patim laBet // Avc-_134 //
   tatas ta vañcitāḥ sarvāḥ śambukā dharmamānasāḥ /	tatas te vaQcitAH sarvAH SambukAH Darma-mAnasAH /
   dhānyāṃ pradakṣiṇāṃ cakrur bhāvayantyo jinālayam // Avk_135 //	DAnyAm pradakziNAm cakruH BAvayantyaH jina-Alayam // Avc-_135 //
   tataḥ puṇyānubhāvena devyaḥ saptakumārikāḥ /	tatas puNya-anuBAvena devyaH saptakumArikAH /
   bhūtā rājasutā dhanyāḥ prālabhan paramaṃ padam // Avk_136 //	BUtAH rAja-sutAH DanyAH prAlaBan paramam padam // Avc-_136 //
   tāsām ekā vratī nāmnā dharmadakṣapativratā /	tAsAm ekA vratI nAmnA Darma-dakza-pativratA /
   tasyāḥ puṇyaprabhāvena dharmadakṣo 'labhad vratam // Avk_137 //	tasyAH puNya-praBAvena Darma-dakzaH alaBat vratam // Avc-_137 //
   dharmadakṣo mahārājā yathāvidhi vrataṃ caran /	Darma-dakzaH mahA-rAjAH yaTAviDi vratam caran /
   bhāryayā saha dharmātmā sukhāvatyāṃ mahīpatiḥ // Avk_138 //	BAryayA saha Darma-AtmA suKAvatyAm mahIpatiH // Avc-_138 //
   ity evaṃ bhikṣavo jñātvā vratānāṃ vratam uttamam /	iti evam BikzavaH jQAtvA vratAnAm vratam uttamam /
   caityasevā sadā kāryā vratapuṇyapracāraṇaiḥ // Avk_139 //	cEtya-sevA sadA kAryA vrata-puNya-pracAraNEH // Avc-_139 //
   caityavratasamaṃ puṇyaṃ nāsti satyaṃ tribhūvane /	cEtya-vrata-samam puNyam na-asti satyam triBU-vane /
   tasmāc caityaḥ sadā vandyaḥ pūjanīyaḥ prayatnataḥ // Avk_140 //	tasmAt cEtyaH sadA vandyaH pUjanIyaH prayatnataH // Avc-_140 //
   ity ahoratravratakathā	iti ahoH-atra-vrata-kaTA
