   sāṃkhyatattvavivecanam	sAMKya-tattva-vivecanam
        niraṅgatvātīndriyatvāt sūkṣmo nityaḥ sadātanāt //	niraFga-tva-ati-indriya-tvAt sUkzmaH nityaH sadAtanAt //
        evaṃ sāṃkhyaḥ sa puruṣo vyākhyātaḥ pūrvasūribhiḥ /	evam sAMKyaH sa puruzaH vyAKyAtaH pUrva-sUriBiH /
        jīvo jantuḥ pumānātmā puruṣaḥ pūjako naraḥ //	jIvaH jantuH pumAn-AtmA puruzaH pUjakaH naraH //
        kṣetrajñaścākṣaraḥ prāṇaḥ koya eṣaḥ sa jñastathā /	kzetrajQaH-ca-akzaraH prANaH koyaH ezaH sa jQaH-taTA /
        aja etāni nāmāni sāṃkhye puruṣasañjñite //	ajaH etAni nAmAni sAMKye puruza-saQjQite //
   evam,	evam,
        pañcaviṃśatitattvajño yatra kutrāśrame rataḥ /	paQcaviMSati-tattva-jQaH yatra kutra-ASrame rataH /
        muṇḍī jaṭī śikhī vāpi mucyate nātra saṃśayaḥ //	muNxI jawI SiKI vA-api mucyate na-atra saMSayaH //
        ayaṃ kartā 'thavā 'karttā puruṣaḥ prakṛteḥ paraḥ /	ayam kartA aTavA akarttA puruzaH prakRteH paraH /
        śubhāśubhāni karttā cet kuryādvṛttitrayaṃ vinā //	SuBa-aSuBAni karttA ced kuryAt-vRtti-trayam vinA //
        lokadṛṣṭaguṇānāṃ cet kartṛtā dharmitā katham //	loka-dRzwa-guNAnAm ced kartR-tA DarmitA kaTam //
        sāhityaṃ yamaniyamaniṣecanaprasaṃkhyānāt /	sAhityam yama-niyama-nizecana-prasaMKyAnAt /
        jñānaiśvaryavikāraprakāśane sāttvikī vṛttiḥ //	jQAna-ESvarya-vikAra-prakASane sAttvikI vRttiH //
        rāgaḥ krodho lobhaḥ paraparivādo nindā tuṣṭiḥ /	rAgaH kroDaH loBaH para-parivAdaH nindA tuzwiH /
        vikṛtākṛtapāruṣyaṃ prakhyātaiṣā rajobuddhiḥ //	vikRta-akRta-pAruzyam praKyAtA-ezA rajaH-budDiH //
        unmādamadaviṣādā nāstikyaṃ strīprasaṅgitā /	unmAda-mada-vizAdAH nAstikyam strI-prasaFgitA /
        nidrālasyaṃ nairghṛṇyaṃ tvaśaucamiti tāmasī vṛttiḥ //	nidrA-Alasyam nErGRNyam tu-aSOcam-iti tAmasI vRttiH //
        etadvṛttitrayaṃ dṛṣṭvā guṇānāṃ kartṛtā 'thavā /	etat-vRtti-trayam dRzwvA guNAnAm kartR-tA aTavA /
        akartā puruṣaḥ siddha iti siddhānta iṣyate //	akartA puruzaH sidDaH iti sidDAntaH izyate //
        pravarttamānaprakṛterimān guṇān	pravarttamAna-prakRteH-imAn guNAn
        rajastamobhyāṃ viparītadarśanāt /	rajaH-tamoByAm viparIta-darSanAt /
        ātmānamācchādya sa ātmane tad	AtmAnam-AcCAdya saH Atmane tat-
        ahaṅkaromītyabudho 'vamanyate //	ahaFkaromi-iti-abuDaH avamanyate //
        bālāgrakukṣīkaraṇāsamarthaḥ	bAla-agra-kukzIkaraNa-asamarTaH
        sarvaṃ mayedaṃ kṛtamityamanyata /	sarvam mayA-idam kRtam-iti-amanyata /
        unmattavadbhāvyata ityabodhaḥ	unmatta-vat-BAvyataH iti-aboDaH
        aho vidhe paṇḍitamāninaḥ kaḥ //	aho viDe paNxita-mAninaH kaH //
   taduktaṃ gītāsu	tat-uktam gItAsu
        prakṛteḥ kriyamāṇāni guṇaiḥ karmāṇi sarvaśaḥ /	prakRteH kriyamANAni guNEH karmANi sarvaSas /
        ahaṅkāravimūḍhātmā kartā 'hamiti manyate //	ahaFkAra-vimUXa-AtmA kartA aham-iti manyate //
        anāditvānnirguṇatvāt paramātmā 'yamavyayaḥ /	anAdi-tvAt-nirguNa-tvAt paramAtmA ayam-avyayaH /
        śarīrastho 'pi kaunteya na karoti na lipyate //	SarIra-sTaH api kOnteya na karoti na lipyate //
        prakṛtyaiva ca karmāṇi kriyamāṇāni sarvaśaḥ /	prakRtyA-eva ca karmANi kriyamANAni sarvaSas /
        yaḥ paśyati sadā '; 'tmānamakartāraṃ sa paśyati // ityādi /	yaH paSyati sadA a; atmAnam-akartAram sa paSyati // ityAdi /
        sa ekaḥ puruṣaḥ kiṃ vā nāneti ca vicāraya /	saH ekaH puruzaH kim vA nAnA-iti ca vicAraya /
        sukhaduḥkhamohasaṅkaraviśuddhajanmamaraṇānām /	suKa-duHKa-moha-saFkara-viSudDa-janma-maraNAnAm /
        nānātvāt puruṣabahutvaṃ siddhaṃ lokāśramavarṇabhedācca //	nAnAtvAt puruza-bahu-tvam sidDam loka-ASrama-varNa-BedAt-ca //
        yadyekaḥ puruṣaḥ syād buddhihāniḥ prasajyate /	yadi-ekaH puruzaH syAt budDi-hAniH prasajyate /
        ekasmin sukhite sarve sukhinaḥ syurataḥ param /	ekasmin suKite sarve suKinaH syuH-atas param /
        ekasmin duḥkhite sarve duḥkhitāḥ syuriti kramāt //	ekasmin duHKite sarve duHKitAH syuH-iti kramAt //
        ato bahutvaṃ saṃsiddhaṃ bahavaḥ puruṣāḥ smṛtāḥ /	atas bahu-tvam saMsidDam bahavaH puruzAH smRtAH /
   ākṛtigarbhāśayabhāvasaṅgatiśarīravibhāgālliṅgabahutvāt sāṃkhyācāryāḥ	AkRti-garBASaya-BAva-saFgati-SarIra-viBAgAt-liFga-bahu-tvAt sAMKya-AcAryAH
   kapilāsuripañcaśikhapatañjaliprabhṛtayaḥ puruṣabahutvaṃ varṇayanti |	kapilA-suri-paQca-SiKa-pataQjali-praBRtayaH puruza-bahu-tvam varNayanti |
   vedavādina ācāryā hariharahiraṇyagarbhavyāsādaya ekamātmānaṃ, tathā ca	veda-vAdinaH AcAryAH hari-hara-hiraNyagarBa-vyAsa-AdayaH ekam-AtmAnan, taTA ca
   śrutiḥ |	SrutiH |
        puruṣa evedaṃ sarvaṃ yadbhūtaṃ yacca bhāvyam |	puruzaH eva-idam sarvam yat-BUtam yat-ca BAvyam |
        utāmṛtatvasyeśāno yadanyenātirohati /	uta-amRta-tvasya-ISAnaH yat-anyena-atirohati /
        tadevāgnistadādityastadvāyustadu candramāḥ //	tat-eva-agniH-tad-AdityaH-tat-vA-AyuH-tadu candramAH //
        tadeva śukraṃ tadbrahma tā āpaḥ sa prajāpatiḥ /	tat-eva Sukram tat-brahma tAH ApaH sa prajApatiH /
        tadeva satyamamṛtaṃ sa mokṣaḥ sā parā gatiḥ //	tat-eva satyam-amRtam sa mokzaH sA parA gatiH //
        tadakṣaraṃ tatsaviturvareṇyaṃ yasmāt paraṃ nāparamasti kiñcit /	tat-akzaram tat-savituH-vareNyam yasmAt param na-aparam-asti kiQcid /
        yasmānnāṇīyo na jyāyo 'sti kiñcit //	yasmAt-na-aNIyaH na jyAyaH asti kiQcid //
        vṛkṣa iva stambho divi tiṣṭhatyekaḥ tenedaṃ pūrṇaṃ puruṣeṇa /	vRkzaH iva stamBaH divi tizWati-ekaH tena-idam pUrNam puruzeNa /
        sarvataḥ pāṇipādaṃ tat sarvato 'kṣiśiromukham //	sarvatas pANi-pAdam tat sarvatas akzi-SiraH-muKam //
        sarvataḥ śrutimalloke sarvamāvṛtya tiṣṭhati /	sarvatas Srutimat-loke sarvam-AvRtya tizWati /
        sarvendriyaguṇābhāsaṃ sarvendriyavivarjitam //	sarva-indriya-guNa-ABAsam sarva-indriya-vivarjitam //
        sarvasya paśumīśānaṃ sarvasya śaraṇaṃ mahat /	sarvasya paSum-ISAnam sarvasya SaraNam mahat /
        sarvataḥ sarvasattvāni sarvātmā sarvasambhavaḥ //	sarvatas sarva-sattvAni sarva-AtmA sarva-samBavaH //
        sarvaṃ vilīyate yasmin tadbrahma munayo viduḥ /	sarvam vilIyate yasmin tat-brahma munayaH viduH /
        eka eva hi bhūtātmā bhūte bhūte vyavasthitaḥ //	ekaH eva hi BUtAtmA BUte BUte vyavasTitaH //
        ekadhā bahudhā caiva dṛśyate jalacandravat /	ekaDA bahuDA ca-eva dRSyate jala-candra-vat /
        sa hi sarveṣu bhūteṣu sthāvareṣu careṣu ca //	sa hi sarvezu BUtezu sTAvarezu carezu ca //
        vasatyeko mahānātmā yena sarvamidaṃ tatam // ityādi /	vasati-ekaH mahAn-AtmA yena sarvam-idam tatam // ityAdi /
   traiguṇyam || Tats_4 ||	trEguNyam || Tats_4 ||
        sattvaṃ rajastama iti guṇāḥ bhāveṇyastraiguṇyam /	sattvam rajaH-tamaH iti guNAH BAveNyaH-trEguNyam /
        prasādo lāghavaṃ saṅgaḥ prasaṅgāt prītirārjavam //	prasAdaH lAGavam saFgaH prasaFgAt prItiH-Arjavam //
        tuṣṭistitikṣā sattvasya rūpaṃ sākṣāt sukhāvaham /	tuzwiH-titikzA sattvasya rUpam sAkzAt suKa-Avaham /
        śokastambhadveṣatāpakhedabhogābhimānitā //	Soka-stamBa-dveza-tApa-Keda-Boga-aBimAnitAH //
        rajorūpāṇyanekāni bahuduḥkhapradāni vai /	rajaH-rUpANi-anekAni bahu-duHKa-pradAni vE /
        tamo nāmācchādanādi bībhatsāvaraṇādi ca //	tamaH nAma-AcCAdana-Adi bIBatsa-AvaraNa-Adi ca //
        dainyagauravanidrādipramādālasyalakṣaṇam /	dEnya-gOrava-nidrA-Adi-pramAda-Alasya-lakzaNam /
        mohātmakamanantaṃ tadevaṃ traiguṇyamīritam /	moha-Atmakam-anantam tat-evam trEguNyam-Iritam /
        sattvaṃ prakāśakaṃ vidyādrajo vidyāt pravarttakam //	sattvam prakASakam vidyAt-rajaH vidyAt pravarttakam //
        vināśakaṃ tamo vidyāt traiguṇyaṃ nāma sañjñitam /	vinASakam tamaH vidyAt trEguNyam nAma saQjQitam /
   saṃcaraḥ || Tats_5 ||	saMcaraH || Tats_5 ||
        sāmyāvasthā guṇānāṃ yā prakṛtiḥ sā svabhāvataḥ /	sAmya-avasTA guNAnAm yA prakRtiH sA svaBAvataH /
        kālakṣobheṇa vaiṣamyāt kṣetre parayute purā //	kAla-kzoBeNa vEzamyAt kzetre para-yute purA //
        buddhistataścāhaṅkārastrividho 'pi vyajāyata /	budDiH-tatas-ca-ahaFkAraH-triviDaH api vyajAyata /
        tanmātrāṇīndriyāṇi mahābhūtāni ca kramāt //	tanmAtrANi-indriyANi mahABUtAni ca kramAt //
        evaṃ krameṇaivotpattiḥ sañcaraḥ parikīrttitaḥ /	evam krameNa-eva-utpattiH saQcaraH parikIrttitaH /
   pratisaṃcaraḥ || Tats_6 ||	pratisaMcaraH || Tats_6 ||
        vyutkrameṇaiva līyante tanmātre bhūtapañcakam /	vyutkrameNa-eva lIyante tanmAtre BUta-paQcakam /
        tanmātrāṇīndriyāṇi ahaṅkāre vilīyate //	tanmAtrANi-indriyANi ahaFkAre vilIyate //
        ahaṅkāro 'tha buddhau tu buddhiravyaktasañjñake /	ahaFkAraH aTa budDO tu budDiH-avyakta-saQjQake /
        avyaktaṃ na kvacillīnaṃ pratisañcara iti smṛtaḥ //	avyaktam na kvacid-lInam pratisaQcaraH iti smRtaH //
   adhyātmam adhibhūtam adhidaivataṃ ca || Tats_7 ||	aDyAtmam aDiBUtam aDidEvatam ca || Tats_7 ||
        buddhyāhaṅkāramanasī śrotraṃ tvak cakṣuṣī tathā /	budDyA-ahaFkAra-manasI Srotram tvac cakzuzI taTA /
        jihvā ghrāṇaṃ pādapāyūpasthamadhyātmasañjñitam //	jihvA GrANam pAda-pAyu-upasTam-aDyAtma-saQjQitam //
   yattu mokṣadharme	yat-tu mokza-Darme
        ādau mana ahaṅkārāt jāyate vṛttayascatāḥ //	AdO manaH ahaFkArAt jAyate vRttayaH-catAH //
        śabdarāgāt śrotramasya jāyate bhāvitātmanaḥ /	SabdarAgAt Srotram-asya jAyate BAvitAtmanaH /
        rūparāgāt tathā cakṣurghrāṇaṃ gandhajidhṛkṣayā //	rUpa-rAgAt taTA cakzuH-GrANam ganDa-jiDRkzayA //
   ityādinendriyāṇāṃ manovṛttirāgādikāryatvaṃ tadvedāntarītyaiveti mantavyam	ityAdinA-indriyANAm manaH-vRtti-rAga-Adi-kArya-tvam tad-veda-antarItyA-eva-iti mantavyam
   adhibhūtam |	aDiBUtam |
        yathākrameṇa boddhavyamabhimantavyameva ca /	yaTAkrameNa bodDavyam-aBimantavyam-eva ca /
        saṅkalpitavyaṃ śrotavyaṃ spraṣṭavyaṃ draṣṭavyameva ca //	saFkalpitavyam Srotavyam sprazwavyam drazwavyam-eva ca //
        rasayitavyaṃ ghrātavyaṃ gantavyamutsraṣṭavyaṃ ca /	rasayitavyam GrAtavyam gantavyam-utsrazwavyam ca /
        ānandayitavyamityevamadhibhūtaṃ prakīrtitam //	Anandayitavyam-iti-evam-aDiBUtam prakIrtitam //
        adhidaivataṃ ca /	aDidEvatam ca /
        brahmā rudraścandramāśca ākāśo vāyureva ca /	brahmA rudraH-candramAH-ca AkASaH vAyuH-eva ca /
        sūryo varuṇa indraśca viṣṇumitraṃ tathaiva ca //	sUryaH varuNaH indraH-ca vizNu-mitram taTA-eva ca //
        anenaiva krameṇedaṃ saṃproktamadhidaivatam /	anena-eva krameNa-idam saMproktam-aDidEvatam /
        catvāri yo vedayate yathā ca-	catvAri yaH vedayate yaTA ca-
        kṣuṣā svarūpāṇyadhidaivataṃ vā /	kzuzA svarUpANi-aDidEvatam vA /
        vimuktayāthāgatadoṣasaṅgo-	vimukta-yA-aTA-gata-doza-saFgaH--
        guṇāṃstu bhuṅkte na guṇaiḥ sa yujyate //	guNAn=-tu BuFkte na guNEH sa yujyate //
   pañcābhibuddhayaḥ || Tats_8 ||	paQca-aBibudDayaH || Tats_8 ||
        icchābhirbuddhirvijñeyā ābhimukhyena karmaṇaḥ /	icCABiH-budDiH-vijQeyAH ABimuKyena karmaNaH /
        idaṃ me kāryamityeṣo 'dhyavasāyaḥ karomyaham //	idam me kAryam-iti-ezaH aDyavasAyaH karomi-aham //
        icchā vāñchā 'tha saṅkalpo manasaḥ karma ceṣyate /	icCA vAQCA aTa saFkalpaH manasaH karma ca-izyate /
        evametāśca pañcābhibuddhayaḥ parikīrtitāḥ //	evam-etAH-ca paQca-aBibudDayaH parikIrtitAH //
   pañca karmayonayaḥ || Tats_9 ||	paQca karma-yonayaH || Tats_9 ||
        dhṛtiḥ śraddhā sukhecchā vividiṣā tadabhāvakau /	DRtiH SradDA suKa-icCA vividizA tad-aBAvakO /
        sāmānyataḥ samuddiṣṭāḥ pañcaite karmayonayaḥ //	sAmAnyatas samuddizwAH paQca-ete karma-yonayaH //
        vāci karmaṇi saṃkalpe pratītiryābhirajyate /	vAci karmaNi saMkalpe pratItiH-yABiH-ajyate /
        tanniṣṭhastatpratiṣṭhaśca dhṛteretaddhi lakṣaṇam //	tad-nizWaH-tad-pratizWaH-ca DRteH-etat-hi lakzaNam //
        anasūyā brahmacaryaṃ yajanaṃ yājanaṃ tapaḥ /	anasUyA brahmacaryam yajanam yAjanam tapaH /
        pratigrahaśca homaśca śraddhāyā lakṣaṇaṃ smṛtam //	pratigrahaH-ca homaH-ca SradDAyAH lakzaNam smRtam //
        sukhaṃ sukhārthī seveta vidyā karma tapāṃsi ca /	suKam suKa-arTI seveta vidyA karma tapAMsi ca /
        prāyaścittaparo nityaṃ sukheyaṃ parikīrttitā //	prAyaScitta-paraH nityam suKeyam parikIrttitAH //
        viṣadhūmamūrchitavad vividiṣā dhyānināṃ prajñāyoniḥ /	viza-DUma-mUrCita-vat vividizA DyAninAm prajQA-yoniH /
        ekatvaṃ ca pṛthaktvaṃ ca nityaṃ vedamacetanam //	eka-tvam ca pRTaktvam ca nityam vedam-acetanam //
        sūkṣmasatkāryasaṃkṣobhyaṃ jñeyā vividiṣā hi sā /	sUkzma-satkArya-saMkzoByam jQeyA vividizA hi sA /
        kāryakaraṇakṣamakarī vividiṣā prākṛtī vṛttiḥ //	kArya-karaNa-kzamakarI vividizA prAkRtI vRttiH //
        dhṛtiḥ śraddhā vividiṣā sukhā ceti catuṣṭayam /	DRtiH SradDA vividizA suKA ca-iti catuzwayam /
        jñeyaṃ bandho vividiṣā mokṣāya parikalpitā /	jQeyam banDaH vividizA mokzAya parikalpitA /
        karmayonisvarūpo 'yaṃ viśiṣya parikīrttitaḥ //	karma-yoni-svarUpaH ayam viSizya parikIrttitaH //
   pañca vāyavaḥ || Tats_10 ||	paQca vAyavaH || Tats_10 ||
        prāṇo 'pānaḥ samānaśca udāno vyāna eva ca /	prANaH apAnaH samAnaH-ca udAnaH vyAnaH eva ca /
        ityete vāyavaḥ pañca śarīreṣu śarīriṇām //	iti-ete vAyavaH paQca SarIrezu SarIriNAm //
        mukhanāsādhicārī yaḥ prāṇanāt prāṇa ucyate /	muKa-nAsA-aDicArI yaH prANanAt prANaH ucyate /
        nābheradhicaratyevopānaye 'pāna iṣyate //	nABeH-aDicarati-eva-upAnaye apAnaH izyate //
        hṛdyadhiṣṭhānanayanāt samāna iti kīrtitaḥ /	hRdi-aDizWAna-nayanAt samAnaH iti kIrtitaH /
        kaṇṭhādūrdhvāvagamanādudāna iti ca smṛtaḥ //	kaNWAt-UrDva-avagamanAt-udAnaH iti ca smRtaH //
        sandhyadhiṣṭhānato vyāno vikṣepaṇavijṛmbhaṇāt /	sanDi-aDizWAnataH vyAnaH vikzepaNa-vijRmBaNAt /
   pañca karmātmānaḥ || Tats_11 ||	paQca karma-AtmAnaH || Tats_11 ||
        vaikārikādayaḥ pūrvaṃ yathākramamudāhṛtāḥ /	vEkArika-AdayaH pUrvam yaTAkramam-udAhRtAH /
        śubhaṃ vā 'śubhamūḍhau ca śubhamūḍhā 'śubhamūḍhake //	SuBam vA aSuBa-mUXO ca SuBa-mUXAH aSuBa-mUXake //
        yathākramaṃ ca karttārastattatkarma samīritam /	yaTAkramam ca karttAraH-tat-tad-karma samIritam /
   pañcaparvāvidyā || Tats_12 ||	paQca-parva-avidyA || Tats_12 ||
        tamo moho mahāmohastāmisraścāndhatāmisraḥ //	tamaH mohaH mahAmohaH-tAmisraH-ca-anDatAmisraH //
        aṣṭakau tau tamau mohau prakṛtyaṣṭakaniṣṭhitau /	azwakO tO tamO mohO prakRti-azwaka-nizWitO /
        ātmajñānābhimānyeyaṃ prāptyādyaiśvaryamānitā //	Atma-jQAna-aBimAnyA-iyam prApti-Adi-ESvarya-mAnitAH //
        nirvṛtte viṣaye dṛṣṭe pañcānuśravike tathā /	nirvRtte vizaye dRzwe paQca-AnuSravike taTA /
        moho 'hamabhimāno yo mahāmoho daśātmakaḥ //	mohaH aham-aBimAnaH yaH mahAmohaH daSa-AtmakaH //
        aṣṭaiśvarye daśaviṣaye siddhatāmisra ucyate /	azwa-ESvarye daSa-vizaye sidDa-tAmisraH ucyate /
        viṣādaḥ so 'ndhatāmisro maraṇe pratipadyate //	vizAdaH saH anDatAmisraH maraNe pratipadyate //
        avidyā pañcaparvaiṣā bhinnā dvāṣaṣṭibhedataḥ /	avidyA paQca-parvA-ezA BinnA dvAzazwi-BedataH /
   aṣṭāviṃśatidhāśaktiḥ || Tats_13 ||	azwAviMSatiDA-SaktiH || Tats_13 ||
        jaḍatvakuṣṭikubjatvarūpatāghrāṇatvamūkatvasupaṅgutāśca /	jaxa-tva-kuzwi-kubja-tva-rUpa-tA-GrANa-tva-mUka-tvasu-paFgutAH-ca /
        kuṇirgudāvartti ca ṣaṇḍhatā ca unmāda ityeṣa nirūpito 'yam //	kuNirgudAvartti ca zaNXa-tA ca unmAdaH iti-eza nirUpitaH ayam //
        ekādaśendriyavadho bādhiryādisvarūpataḥ /	ekAdaSa-indriya-vaDaH bADirya-Adi-svarUpataH /
        buddhervadhaḥ saptadaśa tuṣṭisiddhiviparyayaḥ //	budDeH-vaDaH saptadaSa tuzwi-sidDi-viparyayaH //
        nāsti pradhānamiti yā pratipattirajambhikā /	na-asti praDAnam-iti yA pratipattiH-ajamBikA /
        na mahānityasalilā nāyācchā cānahaṃkṛtau //	na mahAnitya-salilA nAyAcCA ca-anahaMkRtO //
        na vā 'styadṛṣṭistanmātrapañcakaṃ bhūtakāraṇam /	na vA asti-adRzwiH-tanmAtra-paQcakam BUta-kAraNam /
        sarvamevedaṃ brahmeti brahmaiva san brahmāpyeti /	sarvam-eva-idam brahma-iti brahma-eva san brahmA-apyeti /
        yathā vedāntināṃ tadvat sāṃkhyānāmīdṛśī matiḥ //	yaTA vedAntinAm tadvat sAMKyAnAm-IdRSI matiH //
        asutā viṣayārjane pravṛttiḥ	asutA vizaya-arjane pravRttiH
        sutarā parirakṣaṇe pravṛttiḥ /	sutarA parirakzaNe pravRttiH /
        krayadoṣamapaśyato dhane pravṛttiḥ	kraya-dozam-apaSyataH Dane pravRttiH
        asunetrā parikīrttyate hi sāṃkhyaiḥ //	asunetrA parikIrttyate hi sAMKyEH //
        akurmarīcikābhogaśaktirhiṃsādyapaśyataḥ /	akurmarIcikA-Boga-SaktiH-hiMsA-Adi-apaSyataH /
        anuttambhāmbhasikā doṣabhogādambhaḥ pravarttanam //	anuttamBa-amBasikA doza-BogAt-amBaH pravarttanam //
        navadhā kathitā hyete tatra tuṣṭirviparyayāḥ /	navaDA kaTitAH hi-ete tatra tuzwiH-viparyayAH /
        kathyante siddhayo hyaṣṭau te 'mī siddhiviparyayāḥ //	kaTyante sidDayaH hi-azwO te amI sidDi-viparyayAH //
        nānātvamūhamānasya siddhamekamatārakam /	nAnA-tvam-UhamAnasya sidDam-ekam-atArakam /
        viparītagrahaḥ śabdaśravaṇādasutārakam //	viparIta-grahaH Sabda-SravaNAt-asu-tArakam //
        nānātvajño mukta iti śrutvaikajño na muktibhāk /	nAnA-tva-jQaH muktaH iti SrutvA-ekajQaH na mukti-BAj /
        atārayantamajñānāsadacchāstraniveśataḥ /	atArayantam-ajQAna-asadat-Sa-astra-niveSataH /
        duḥkhitasyāpyanudvegādapramodā hi saṃsṛtau //	duHKitasya-api-anudvegAt-apramodA hi saMsRtO //
        apramudaṃ tadajñānapramuditamapramodamānaṃ vā /	apramudam tad-ajQAna-pramuditam-apramodamAnam vA /
        asamyagvacanādapyuparodhena vā gurau //	asamyak-vacanAt-api-uparoDena vA gurO //
        abhāgyasya na siddhiḥ syāt jñāne tat samudīritam /	aBAgyasya na sidDiH syAt jQAne tat samudIritam /
        snigdhasaṃsargato jñānottarājñānamaramyakam //	snigDa-saMsargataH jQAna-uttara-AjQAnam-aramyakam //
        vyākhyātāḥ pūrvarītyāṣṭāvete siddhiviparyayāḥ /	vyAKyAtAH pUrva-rItyA-azwO=-ete sidDi-viparyayAH /
        aṣṭāviṃśatidhā 'śaktirvyākhyātobhayayogataḥ //	azwAviMSatiDA aSaktiH-vyAKyAta-uBaya-yogataH //
   navadhā tuṣṭiḥ || Tats_14 ||	navaDA tuzwiH || Tats_14 ||
        prakṛtau paramātmatvaṃ pratipadyaiva tuṣṭibhāk //	prakRtO paramAtma-tvam pratipadya-eva tuzwi-BAj //
        mādhyasthyamavalambeta ambhaḥ sā tuṣṭirucyate /	mADyasTyam-avalambeta amBaH sA tuzwiH-ucyate /
        buddhau ca paramātmatve tuṣṭiḥ sā salilā smṛtā //	budDO ca paramAtma-tve tuzwiH sA salilA smRtAH //
        ahaṃkāre yadā sā syādāyācchā iti śabdhitā /	ahaMkAre yadA sA syAt-AyAcCA iti SabDitA /
        tanmātreṣu yadā sā syāt tuṣṭirdṛṣṭirnigadyate //	tanmAtrezu yadA sA syAt tuzwiH-dRzwiH-nigadyate //
        ādhyātmikāścatasrastu tuṣṭayaḥ prabhavanti hi /	ADyAtmikAH-catasraH-tu tuzwayaH praBavanti hi /
        mokṣastāsvapi nāstyeva tattvajñānādyathoditā //	mokzaH-tAsu-api na-asti-eva tattva-jQAnAt-yaTA-uditA //
        arthānāmarjane duḥkhamarjitānāṃ ca rakṣaṇe /	arTAnAm-arjane duHKam-arjitAnAm ca rakzaNe /
        tyāge duḥkhaṃ kṣaye duḥkhaṃ dhigarthaṃ duḥkhabhājanam // iti	tyAge duHKam kzaye duHKam Dik-arTam duHKa-BAjanam // iti
        doṣadarśanasantuṣṭaḥ parabrahmaiva mokṣabhāk /	doza-darSana-santuzwaH para-brahma-eva mokza-BAj /
        suteyaṃ pañcamī tuṣṭistattvajñānādyabhāvataḥ //	sutA-iyam paQcamI tuzwiH-tattva-jQAna-Adi-aBAvataH //
        rakṣaṇe sutarā ṣaṣṭhī saptamī kṣayadarśanāt /	rakzaNe sutarA zazWI saptamI kzaya-darSanAt /
        sunetrā saṅgadoṣā cāṣṭamī kurmarīcikā //	sunetrA saFga-dozA ca-azwamI kurmarIcikA //
        arthe hiṃsādidoṣeṇa nivṛttiśca samaskarī /	arTe hiMsA-Adi-dozeNa nivRttiH-ca samaskarI /
        tuṣṭistu navamī proktā hyuttamāmbhasikā tava //	tuzwiH-tu navamI proktA hi-uttamA-amBasikA tava //
   aṣṭadhā siddhiḥ || Tats_15 ||	azwaDA sidDiH || Tats_15 ||
        jñānaṃ yaddūramutpannaṃ tārākhyā prathamā hi sā /	jQAnam yat-dUram-utpannam tArA-AKyA praTamA hi sA /
        śabdamātreṇa bhūteṣu sutārā jñānamiṣyate //	Sabda-mAtreNa BUtezu sutArA jQAnam-izyate //
        jñānamadhyayanenaiva tārayantī tṛtīyakā /	jQAnam-aDyayanena-eva tArayantI tRtIyakAH /
        adhyātmaduḥkhāpanayāt pramodetyabhidhīyate //	aDyAtma-duHKa-apanayAt pramoda-iti-aBiDIyate //
        bhautikakleśaharaṇāt pramudā siddhirucyate /	BOtika-kleSa-haraNAt pramudA sidDiH-ucyate /
        ādhidaivakleśaharaṇāt jñānamutpadyate nṛṇām //	ADidEva-kleSa-haraNAt jQAnam-utpadyate nRNAm //
        pramodamānetyākhyātā ṣaṣṭhī siddhiḥ svayaṃ satām /	pramodamAnA-iti-AKyAtA zazWI sidDiH svayam satAm /
        snigdhasaṃsarganāśāttu ramyakā saptamī smṛtā //	snigDa-saMsarga-nASAt-tu ramyakA saptamI smRtA //
        pramudā cāṣṭamī siddhiḥ paricaryādinā guroḥ /	pramudA ca-azwamI sidDiH paricaryA-AdinA guroH /
        ityetāḥ siddhayo hyaṣṭau vyākhyātāḥ jñānasādhikāḥ //	iti-etAH sidDayaH hi-azwO vyAKyAtAH jQAna-sADikAH //
   daśa mūlikārthāḥ || Tats_16 ||	daSa mUlikA-arTAH || Tats_16 ||
        astitvamekatvayathārthavattve	astitvam-eka-tva-yaTArTavat-tve
        pārārthyamanyatvamakartṛkatvam /	pArArTyam-anya-tvam-akartRka-tvam /
        yogo viyogo bahavaḥ pumāṃsaḥ	yogaH viyogaH bahavaH pumAMsaH
        sthitiḥ śarīrasya ca śeṣavṛttiḥ //	sTitiH SarIrasya ca Seza-vRttiH //
        eṣā sā daśamūlikā 'rthagaṇanā saṅghātapārārthyataḥ	ezA sA daSamUlikA arTa-gaNanA saFGAta-pAra-arTyataH
        siddhā sā puruṣāstitā pariṇaterbhedasya tatkāraṇam /	sidDA sA puruza-astitAH pariNateH-Bedasya tad-kAraNam /
        astyavyaktamanantamekamiti ca premāviṣādātmakaṃ	asti-avyaktam-anantam-ekam-iti ca prema-AvizAda-Atmakam
        nānāpāyaparārthatā triguṇato 'nyatvasya siddhistathā //	nAnA-pAya-parArTa-tA triguNataH anya-tvasya sidDiH-taTA //
        viparyāsādakartṛtvaṃ yogaḥ puruṣadarśanāt /	viparyAsAt-akartR-tvam yogaH puruza-darSanAt /
        prāpte śarīrabhede tu caritārthatvadarśanāt //	prApte SarIra-Bede tu caritArTa-tva-darSanAt //
        janmādikaraṇāntānāṃ bhedānnānā hi te smṛtāḥ /	janma-Adi-karaNa-antAnAm Beda-at-nAnAH hi te smRtAH /
