   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   tena brahma hṛdā iti sarva-lokāśrayatva-buddhi-vṛtti-prerakatvādi-sāmyāt |	tena brahma hRdA iti sarva-loka-ASraya-tva-budDi-vRtti--preraka-tva-Adi-sAmyAt |
   dharma-vistara ity atra dharma-śabdaḥ parama-dharma-paraḥ | dharmaḥ	Darma-vistaraH iti atra Darma--SabdaH parama--Darma--paraH | DarmaH
   projjhita-kaitavo'tra paramaḥ [BhP 1.1.2] ity atraiva pratipāditatvāt | sa	projJita-kEtavaH-atra paramaH [Bhu 1.1.2] iti atra-eva pratipAdita-tvAt | sa
   ca	ca
   bhagavad-dhyānādi-lakṣaṇa eveti purastād vyaktībhaviṣyati ||19||	Bagavat--DyAna-Adi--lakzaNaH eva-iti purastAt vyaktIBavizyati ||19||
   BD: śrībhāgavataṃ stauti yat khalv ity ādi | aparituṣṭeneti | purāṇa-jāte	BD: SrI-BAgavatam stOti yat Kalu iti Adi | aparituzwena-iti | purANa-jAte
   brahma-sūtre ca bhagavat-pāramaiśvarya-mādhuryayoḥ sandigdhatayā	brahma-sUtre ca Bagavat--pAram-ESvarya--mADuryayoH sandigDa-tayA
   gūḍhatayā coktes tatra tatra cāparitoṣaḥ | śrī-bhāgavate tu tayos tad-	gUXa-tayA ca-ukteH tatra tatra ca-aparitozaH | SrI--BAgavate tu tayoH tat--
   vilakṣaṇatayoktes tatra paritoṣa iti bodhyam | tad-arthatā gāyatry-arthatā	vilakzaNa-tayA-ukteH tatra paritozaH iti boDyam | tad--arTa-tA gAyatrI--arTa-tA
   | sa	| sa
   ca bhagavad-dhyānādi-lakṣaṇa iti | viśuddha-bhakti-mārga-bodhaka ity	ca Bagavat--DyAna-Adi--lakzaNaH iti | viSudDa--Bakti--mArga--boDakaH iti-
   arthaḥ ||19||	arTaH ||19||
   evaṃ skānde prabhāsa-khaṇḍe ca yatrādhikṛtya gāyatrīm ity ādi |	evam skAnde praBAsa--KaNxe ca yatra-aDikRtya gAyatrIm iti Adi |
   sārasvatasya kalpasya madhye ye syur narāmarāḥ |	sArasvatasya kalpasya maDye ye syuH nara-amarAH |
   sad-vṛttānodbhavaṃ loke tac ca bhāgavataṃ smṛtam ||	sat--vRttAnA-udBavam loke tat ca BAgavatam smRtam ||
   likhitvā tac ca ity ādi | aṣṭādaśa-sahasrāṇi purāṇaṃ tat prakīrtitam iti	liKitvA tat ca iti Adi | azwAdaSa--sahasrANi purANam tat prakIrtitam iti
   purāṇāntaraṃ ca -	purANa-antaram ca -
   grantho'ṣṭādaśa-sāhasro dvādaśa-skandha-sammitaḥ |	granTaH-azwAdaSa--sAhasraH dvAdaSa-skanDa--sammitaH |
   hayagrīva-brahma-vidyā yatra vṛtra-vadhas tathā |	hayagrIva--brahma-vidyA yatra vRtra-vaDaH taTA |
   gāyatryā ca samārambhas tad vai bhāgavataṃ viduḥ || iti |	gAyatryA ca samAramBaH tat vE BAgavatam viduH || iti |
   atra hayagrīva-brahma-vidyā iti vṛtra-vadha-sāhacaryeṇa nārāyaṇa-	atra hayagrIva--brahma-vidyA iti vRtra--vaDa--sAhacaryeNa nArAyaNa-
   varmaivocyate | hayagrīva-śabdenātrāśvaśirā dadhīcir evocyate | tenaiva ca	varmA-eva-ucyate | hayagrIva--Sabdena-atra-aSva-SirAH daDIciH eva-ucyate | tena-eva ca
   pravartitā nārāyaṇa-varmākhyā brahma-vidyā | tasyāśva-śirastvaṃ ca ṣaṣṭhe	pravartitA nArAyaNa-varma-AKyA brahma-vidyA | tasya-aSva--SiraH-tvam ca zazWe
   yad vā aśva-śiro nāma [BhP 6.9.52] ity atra prasiddhaṃ nārāyaṇa-varmaṇo	yat vA aSva-SiraH nAma [Bhu 6.9.52] iti atra prasidDam nArAyaNa-varmaNaH-
   brahma-vidyātvaṃ ca -	brahma-vidyA-tvam ca -
   etac chrutvā tathovāca dadhyaṅ ātharvaṇas tayoḥ |	etat SrutvA taTA-uvAca daDyak ATarvaNaH tayoH |
   pravargyaṃ brahma-vidyāṃ ca sat-kṛto'satya-śaṅkitaḥ || iti	pravargyam brahma--vidyAm ca sat-kRtaH-asatya--SaFkitaH || iti
   ṭīkotthāpita-vacanena ceti | śrīmad-bhāgavatasya bhagavat-priyatvena	wIkA-utTApita--vacanena ca-iti | SrImat--BAgavatasya Bagavat--priya-tvena
   bhāgavatābhīṣṭatvena ca parama-sāttvikatvam | yathā pādme ambarīṣaṃ	BAgavata-aBIzwa-tvena ca parama-sAttvika-tvam | yaTA pAdme ambarIzam
   prati gautama-praśnaḥ -	prati gOtama-praSnaH -
   purāṇaṃ tvaṃ bhāgavataṃ paṭhase purato hareḥ |	purANam tvam BAgavatam paWase puratas hareH |
   caritaṃ daitya-rājasya prahlādasya ca bhūpate || [PadmaP]	caritam dEtya--rAjasya prahlAdasya ca BUpate || [PadmaP]
   tatraiva vyañjulī-māhātmye tasya tasminn upadeśaḥ -	tatra-eva vyaQjulI--mAhAtmye tasya tasmin upadeSaH -
   rātrau tu jāgaraḥ kāryaḥ śrotavyā vaiṣṇavī kathā |	rAtrO tu jAgaraH kAryaH SrotavyA vEzNavI kaTA |
   gītānām asahasraṃ ca purāṇaṃ śuka-bhāṣitam |	gItAnAm asahasram ca purANam Suka-BAzitam |
   paṭhitavyaṃ prayatnena hareḥ santoṣa-kāraṇam || [PadmaP]	paWitavyam prayatnena hareH santoza--kAraNam || [PadmaP]
   tatraivānyatra -	tatra-eva-anyatra -
   ambarīṣa śuka-proktaṃ nityaṃ bhāgavataṃ śṛṇu |	ambarIza Suka--proktam nityam BAgavatam SRNu |
   paṭhasva sva-mukhenaiva yadīcchasi bhava-kṣayam || [PadmaP]	paWasva sva--muKena-eva yadi-icCasi Bava--kzayam || [PadmaP]
   skānde prahlāda-saṃhitāyāṃ dvārakā-māhātmye -	skAnde prahlAda--saMhitAyAm dvArakA--mAhAtmye -
   śrīmad-bhāgavataṃ bhaktyā paṭhate hari-sannidhau |	SrImat--BAgavatam BaktyA paWate hari--sanniDO |
   jāgare tat-padaṃ yāti kula-vṛnda-samanvitaḥ ||20||	jAgare tat-padam yAti kula-vRnda--samanvitaH ||20||
   BD: grantha ity ādau hayagrīvādi-śabdayor bhrāntiṃ nirākurvan vyācaṣṭe |	BD: granTaH iti AdO hayagrIvA-Adi--SabdayoH BrAntim nirAkurvan vyAcazwe |
   atra hayagrīvety ādinā | etac chrutveti | dadhyaṅ dadhīciḥ | pravargyam	atra hayagrIvA-iti AdinA | etat SrutvA-iti | daDyaF daDIciH | pravargyam
   iti	iti
   prāṇa-vidyām | nanu pādmādīni sāttvikāni pañca santi | tair astu vicāra	prANa-vidyAm | nanu pAdma-AdIni sAttvikAni paQca santi | tEH astu vicAra
   iti	iti
   cet tatrāha śrīmad iti | etasya parama-sāttvikatve pādmādi-vacanāny	ced tatra-Aha SrImat iti | etasya parama-sAttvika-tve pAdma-Adi--vacanAni-
   udāharati purāṇaṃ tvam ity ādinā | kula-vṛndeti tat-kartṛka-śravaṇa-	udAharati purANam tvam iti AdinA | kula-vRnda-iti tat-kartRka-SravaNa-
   mahimnā tat-kulasya ca hari-pada-lābha ity arthaḥ ||20||	mahimnA tat-kulasya ca hari-pada--lABaH iti arTaH ||20||
   gāruḍe ca -	gAruxe ca -
   pūrṇaḥ so'yam atiśayaḥ |	pUrNaH saH-ayam atiSayaH |
   artho'yaṃ brahma-sūtrāṇāṃ bhāratārtha-vinirṇayaḥ ||	arTaH-ayam brahma-sUtrANAm BArata-arTa--vinirNayaH ||
   gāyatrī-bhāṣya-rūpo'sau vedārtha-paribṛṃhitaḥ |	gAyatrI--BAzya--rUpaH-asO veda-arTa--paribRMhitaH |
   purāṇānāṃ sāma-rūpaḥ sākṣād-bhagavatoditaḥ ||	purANAnAm sAma--rUpaH sAkzAt--BagavatA-uditaH ||
   dvādaśa-skandha-yukto'yaṃ śatavic-cheda-saṃyutaḥ |	dvAdaSa-skanDa--yuktaH-ayam Sata-vic--Ceda--saMyutaH |
   grantho'ṣṭādaśa-sāhasraḥ śrīmad-bhāgavatābhidhaḥ || iti |	granTaH-azwAdaSa--sAhasraH SrImat--BAgavata-aBiDaH || iti |
   brahma-sūtrāṇām arthas teṣām akṛtrima-bhāṣya-bhūta ity arthaḥ | pūrvaṃ	brahma-sUtrANAm arTaH tezAm akRtrima--BAzya--BUtaH iti arTaH | pUrvam
   sūkṣmatvena manasy āvirbhūtaṃ tad eva saṅkṣipya sūtratvena punaḥ	sUkzma-tvena manasi AvirBUtam tat eva saFkzipya sUtra-tvena punar-
   prakaṭitam paścād vistīrṇatvena sākṣāc-chrī-bhāgavatam iti | tasmāt tad-	prakawitam paScAt vistIrNa-tvena sAkzAc-SrI--BAgavatam iti | tasmAt tat--
   bhāṣya-bhūte svataḥ-siddhe tasmin satyarvacīnam anyad anyeṣāṃ	BAzya--BUte svataH--sidDe tasmin satyarva-cInam anyat anyezAm
   svasvakapola-kalpitaṃ tad-anugatam evādaraṇīyam iti gamyate |	sva-sva-kapola--kalpitam tat--anugatam eva-AdaraNIyam iti gamyate |
   bhāratārtha-vinirṇayaḥ -	BArata-arTa--vinirNayaH -
   nirṇayaḥ sarva-śāstrāṇāṃ bhārataṃ parikīrtitam |	nirNayaH sarva--SAstrANAm BAratam parikIrtitam |
   bhārataṃ sarva-vedāś ca tulām āropitāḥ purā |	BAratam sarva-vedAH ca tulAm AropitAH purA |
   devair brahmādibhiḥ sarvair ṛṣibhiś ca samanvitaiḥ ||	devEH brahma-AdiBiH sarvEH RziBiH ca samanvitEH ||
   vyāsasyaivājñayā tatra tvatyaricyata bhāratam |	vyAsasya-eva-AjQayA tatra tu-atyaricyata BAratam |
   mahattvād bhāravattvāc ca mahābhāratam ucyate ||	mahat-tvAt BAravat-tvAt ca mahABAratam ucyate ||
   ity ādy-ukta-lakṣaṇasya bhāratasyārtha-vinirṇayo yatra saḥ | śrī-bhagavaty	iti Adi--ukta-lakzaNasya BAratasya-arTa--vinirNayaH yatra saH | SrI--BagavatI-
   eva tātparyaṃ tasyāpi | tad uktaṃ mokṣa-dharme nārāyaṇīye śrī-veda-vyāsaṃ	eva tAtparyam tasya-api | tat uktam mokza-Darme nArAyaNIye SrI--veda--vyAsam
   prati janamejayena -	prati janamejayena -
   idaṃ śatasahasrād dhi bhāratākhyāna vistarāt |	idam Sata-sahasrAt Di BArata-AKyAna vistarAt |
   āmathya matimanthena jñānodadhim anuttamam ||	AmaTya mati-manTena jQAna-udaDim anuttamam ||
   nava nītaṃ yathā dadhno malayāc candanaṃ yathā |	nava nItam yaTA daDnaH malayAt candanam yaTA |
   āraṇyakaṃ ca vedebhya oṣadhibhyo 'mṛtaṃ yathā ||	AraNyakam ca vedeByaH ozaDiByaH amRtam yaTA ||
   samuddhṛtam idaṃ brahman kathāmṛtam anuttamam |	samudDRtam idam brahman kaTA-amRtam anuttamam |
   tapo nidhe tvayoktaṃ hi nārāyaṇa kathāśrayam || [Mbh 12.331.2-4] iti |21||	tapaH niDe tvayA-uktam hi nArAyaNa kaTA-ASrayam || [MB 12.331.2-4] iti |21||
   BD: gāruḍa-vacanaiś ca parama-sāttvikatvaṃ vyañjayan brahma-sūtrādy-artha-	BD: gAruxa-vacanEH ca parama-sAttvika-tvam vyaQjayan brahma-sUtra-Adi--arTa-
   nirṇīyakatvaṃ guṇam āha artho'yam iti | gāruḍa-vākya-padāni vyācaṣṭe	nirNIyaka-tvam guNam Aha arTaH-ayam iti | gAruxa--vAkya--padAni vyAcazwe
   brahma-sūtrāṇām ity ādinā | tasmāt tad-bhāṣyety ādi anyad vaiṣṇavācārya-	brahma-sUtrANAm iti AdinA | tasmAt tad--BAzya-iti Adi anyat vEzNava-AcArya-
   racitam ādhunikaṃ bhāṣyaṃ tad-anugataṃ śrī-bhāgavatāviruddham	racitam ADunikam BAzyam tat--anugatam SrI--BAgavatA-virudDam
   evādartavyaṃ | tad-viruddhaṃ śaṅkara-bhaṭṭa-bhāskarādi-racitaṃ tu heyam	eva-Adartavyam | tat--virudDam SaFkara--Bawwa--BAskara-Adi--racitam tu heyam
   ity arthaḥ | bhāratārtheti padaṃ vyākurvan bhārata-vākyenaiva bhārata-	iti arTaH | BArata-arTa-iti padam vyAkurvan BArata--vAkyena-eva BArata-
   svarūpaṃ darśayati nirṇayaḥ sarveti | bhārataṃ kiṃ tātparyakam ity āha	svarUpam darSayati nirNayaH sarva-iti | BAratam kim tAtparyakam iti Aha
   śrībhagavaty eveti | tasya bhāratasyāpīty arthaḥ | bhāratasya	SrI-Bagavati eva-iti | tasya BAratasya-api-iti arTaH | BAratasya
   bhagavat-tāt-	Bagavat-tAt-
   paryakatve nārāyaṇīya-vākyam udāharati idaṃ śatety ādi ||21||	paryakatve nArAyaNIya--vAkyam udAharati idam Sata-iti Adi ||21||
   tathā ca tṛtīye -	taTA ca tRtIye -
   munir vivakṣur bhagavad-guṇānāṃ	muniH vivakzuH Bagavat--guNAnAm
   sakhāpi te bhāratam āha kṛṣṇaḥ |	saKA-api te BAratam Aha kRzNaH |
   yasmin nṛṇāṃ grāmya-sukhānuvādair	yasmin nRNAm grAmya--suKa-anuvAdEH-
   matir gṛhītā nu hareḥ kathāyām || iti [BhP 3.5.12]	matiH gRhItA nu hareH kaTAyAm || iti [Bhj 3.5.12]
   tasmād gāyatrī-bhāṣya-rūpo'sau | tathaiva hi viṣṇudharmottarādau tad-	tasmAt gAyatrI--BAzya--rUpaH-asO | taTA-eva hi vizNuDarma-uttara-AdO tat--
   vyākhyāne bhagavān eva vistareṇa pratipāditaḥ | atra janmādyasya ity asya	vyAKyAne BagavAn eva vistareNa pratipAditaH | atra janma-Adyasya iti asya
   vyākhyānaṃ ca tathā darśayiṣyate |	vyAKyAnam ca taTA darSayizyate |
   vedārtha-paribṛṃhitaḥ | vedārthasya paribṛṃhaṇaṃ yasmāt | tac coktam	veda-arTa--paribRMhitaH | veda-arTasya paribRMhaNam yasmAt | tat ca-uktam
   itihāsa-	itihAsa-
   purāṇābhyām ity ādi | purāṇānāṃ sāma-rūpaḥ | vedeṣu sāmavat sa teṣu	purANAByAm iti Adi | purANAnAm sAma--rUpaH | vedezu sAma-vat sa tezu
   śreṣṭha ity arthaḥ | ataeva skānde -	SrezWaH iti arTaH | ataeva skAnde -
   śataśo'tha sahasraiś ca kim anyaiḥ śāstra-saṅgrahaiḥ |	SataSas-aTa sahasrEH ca kim anyEH SAstra-saFgrahEH |
   na yasya tiṣṭhate gehe śāstraṃ bhāgavataṃ kalau ||	na yasya tizWate gehe SAstram BAgavatam kalO ||
   kathaṃ sa vaiṣṇavo jñeyaḥ śāstraṃ bhāgavataṃ kalau |	kaTam sa vEzNavaH jQeyaH SAstram BAgavatam kalO |
   gṛhe na tiṣṭhate yasya sa vipraḥ śvapacādhamaḥ ||	gRhe na tizWate yasya sa vipraH Svapaca-aDamaH ||
   yatra yatra bhaved vipra śāstraṃ bhāgavataṃ kalau |	yatra yatra Bavet vipra SAstram BAgavatam kalO |
   tatra tatra harir yāti tridaśaiḥ saha nārada ||	tatra tatra hariH yAti tridaSEH saha nArada ||
   yaḥ paṭhet prayato nityaṃ ślokaṃ bhāgavataṃ mune |	yaH paWet prayataH nityam Slokam BAgavatam mune |
   aṣṭādaśa-purāṇānāṃ phalaṃ prāpnoti mānavaḥ || iti |	azwAdaSa--purANAnAm Palam prApnoti mAnavaH || iti |
   śata-viccheda-saṃyutaḥ | pañcatriṃśad-adhika-śata-trayādhyāya-viśiṣṭa ity	Sata-vicCeda--saMyutaH | paQcatriMSat--aDika--Sata-traya-aDyAya--viSizwaH iti-
   arthaḥ | spaṣṭārtham anyat | tad evaṃ paramārtha-vivitsubhiḥ	arTaH | spazwa-arTam anyat | tat evam parama-arTa-vivitsuBiH
   śrī-bhāgavatam	SrI--BAgavatam
   eva sāmprataṃ vicāraṇīyam iti sthitam | hemādrer vrata-khaṇḍe -	eva sAmpratam vicAraNIyam iti sTitam | hemAdreH vrata--KaNxe -
   strī-śūdra-dvijabandhūnāṃ trayī na śruti-gocarā |	strI--SUdra--dvija-banDUnAm trayI na Sruti-gocarAH |
   karma-śreyasi mūḍhānāṃ śreya evaṃ bhaved iha |	karma-Sreyasi mUXAnAm SreyaH evam Bavet iha |
   iti bhāratam ākhyānaṃ kṛpayā muninā kṛtam || [BhP 1.4.25]	iti BAratam AKyAnam kRpayA muninA kRtam || [Bhj 1.4.25]
   iti vākyaṃ śrī-bhāgavatīyatvenotthāpya bhāratasya vedārtha-tulyatvena	iti vAkyam SrI--BAgavatIya-tvena-utTApya BAratasya veda-arTa--tulya-tvena
   nirṇayaḥ kṛta iti | tan-matānusāreṇa tv evaṃ vyākhyeyam bhāratārthasya	nirNayaH kRtaH iti | tan--mata-anusAreNa tu evam vyAKyeyam BArata-arTasya
   vinirṇayaḥ | vedārtha-tulyatvena viśiṣya nirṇayo yatreti | yasmād eva:a	vinirNayaH | veda-arTa--tulya-tvena viSizya nirNayaH yatra-iti | yasmAt eva:a
   bhagavat-paras tasmād eva yatrādhikṛtya gāyatrīm iti kṛta-lakṣaṇa-śrīmad-	Bagavat--paraH tasmAt eva yatra-aDikRtya gAyatrIm iti kRta--lakzaNa--SrImat--
   bhāgavata-nāmā granthaḥ śrī-bhagavat-parāyā gāyatryā bhāṣya-rūpo'sau |	BAgavata--nAmA granTaH SrI--Bagavat--parAyAH gAyatryA BAzya--rUpaH-asO |
   tad uktaṃ yatrādhikṛtya gāyatrīm ity ādi | tathaiva hy agni-purāṇe tasya	tat uktam yatra-aDikRtya gAyatrIm iti Adi | taTA-eva hi agni-purANe tasya
   vyākhyāne vistareṇa pratipāditaḥ | tatra tadīya-vyākhyā-dig-darśanaṃ yathā	vyAKyAne vistareNa pratipAditaH | tatra tadIya--vyAKyA-diS--darSanam yaTA
   taj-jyotiḥ paramaṃ brahma bhargas tejo yataḥ smṛtaḥ |	taj-jyotiH paramam brahma BargaH tejaH yatas smRtaH |
   ity ārabhya punar āha -	iti AraBya punar Aha -
   taj-jyotir bhagavān viṣṇur jagaj-janmādi-kāraṇam ||	taj-jyotiH BagavAn vizNuH jagaj-janma-Adi-kAraNam ||
   śivaṃ kecit paṭhanti sma śakti-rūpaṃ paṭhanti ca |	Sivam kecid paWanti sma Sakti-rUpam paWanti ca |
   kecit sūryaṃ kecid agniṃ daivatāny agni-hotriṇaḥ ||	kecid sUryam kecid agnim dEvatAni agni-hotriNaH ||
   agny-ādi-rūpo viṣṇur hi vedādau brahma gīyate |	agni--Adi--rUpaH vizNuH hi veda-AdO brahma gIyate |
   atra janmādyasya ity asya vyākhyānaṃ ca tathā darśayiṣyate | kasmai yena	atra janma-Adyasya iti asya vyAKyAnam ca taTA darSayizyate | kasmE yena
   vibhāsito'yam [BhP 12.13.19] ity upasaṃhāra-vākye ca tac-chuddham [BhP	viBAsitaH-ayam [Bhj 12.13.19] iti upasaMhAra--vAkye ca tac-SudDam [BhP
   12.13.19] ity ādi-samānam evāgni-purāṇe tad vyākhyānam |	12.13.19] iti Adi-samAnam eva-agni-purANe tat vyAKyAnam |
   nityaṃ śuddhaṃ paraṃ brahma nitya-bhargam adhīśvaram |	nityam SudDam param brahma nitya-Bargam aDISvaram |
   ahaṃ jyotiḥ paraṃ brahma dhyāyema hi vimuktaye || iti |	aham jyotiH param brahma DyAyema hi vimuktaye || iti |
   atrāhaṃ brahmeti nādevo devam arcayet iti nyāyena yogyatvāya svasya	atra-aham brahma-iti na-adevaH devam arcayet iti nyAyena yogya-tvAya svasya
   tākṛktva-bhāvanā darśitā | dhyāyemeti ahaṃ tāvat dhyāyeyaṃ sarve ca vayaṃ	tAkRktva--BAvanA darSitA | DyAyema-iti aham tAvat DyAyeyam sarve ca vayam
   dhyāyemety arthaḥ | tad etan-mate tu mantre'pi bharga-śabdo'yam adanata	DyAyema-iti arTaH | tat etat--mate tu mantre-api Barga--SabdaH-ayam adanata
   eva	eva
   syāt | supāṃ suluk ity [Pāṇ 7.1.39] ādinā chāndasa-sūtreṇa tu	syAt | supAm su-luc iti [PAN 7.1.39] AdinA CAndasa-sUtreNa tu
   dvitīyaikavacanasyāmaḥ su-bhāvo jñeyaḥ |	dvitIyA-eka-vacanasya-amaH su-BAvaH jQeyaH |
   yat tu dvādaśe oṃ namaste ity ādi [BhP 12.6.67] gadyeṣu tad-arthatvena	yat tu dvAdaSe om namaH-te iti Adi [Bhj 12.6.67] gadyezu tad--arTa-tvena
   sūryaḥ	sUryaH
   stutaḥ | tat paramātma-dṛṣṭyaiva, na tu svātantryeṇety adoṣaḥ |	stutaH | tat paramAtma--dRzwyA-eva, na tu svAtantryeNa-iti adozaH |
   tathaivāgre śrī-śaunaka-vākye brūhi naḥ śraddadhānānāṃ vyūhaṃ	taTA-eva-agre SrI--SOnaka-vAkye brUhi naH SraddaDAnAnAm vyUham
   sūryātmano hareḥ iti | na cāsya bhargasya sūrya-maṇḍala-	sUrya-AtmanaH hareH iti | na ca-asya Bargasya sUrya-maNxala-
   mātrādhiṣṭhānatvam | mantre vareṇya-śabdena | atra ca granthe para-	mAtrA-aDizWAna-tvam | mantre vareNya--Sabdena | atra ca granTe para-
   śabdena paramaiśvarya-paryantatāyā darśitatvāt |	Sabdena parama-ESvarya--paryanta-tAyAH darSita-tvAt |
   tad evam agni-purāṇe'py uktam --	tat evam agni-purANe-api uktam --
   dhyānena puruṣo'yaṃ ca draṣṭavyaḥ sūrya-maṇḍale |	DyAnena puruzaH-ayam ca drazwavyaH sUrya--maNxale |
   satyaṃ sadā-śivaṃ brahma viṣṇor yat paramaṃ padam || iti |	satyam sadA-Sivam brahma vizNoH yat paramam padam || iti |
   trilokī-janānām upāsanārthaṃ pralaye vināśini sūrya-maṇḍale	trilokI--janAnAm upAsana-arTam pralaye vinASini sUrya--maNxale
   cāntaryāmitayā prādurbhūto'yaṃ puruṣo dhyānena draṣṭavya upāsitavyaḥ |	ca-antaryAmitayA prAdurBUtaH-ayam puruzaH DyAnena drazwavyaH upAsitavyaH |
   yat tu viṣṇos tasya mahā-vaikuṇṭha-rūpaṃ paramaṃ padam | tad eva satyaṃ	yat tu vizNoH tasya mahA-vEkuNWa--rUpam paramam padam | tat eva satyam
   kāla-trayāvyabhicāri, sadā-śivam upadrava-śūnyaṃ yato brahma-svarūpam ity	kAla-traya-avi-aBicAri, sadA-a-Sivam upadrava--SUnyam yatas brahma--svarUpam iti-
   arthaḥ | tad etad gāyatrīṃ procya purāṇa-lakṣaṇa-prakaraṇe yatrādhikṛtya	arTaH | tat etat gAyatrIm procya purANa--lakzaNa--prakaraNe yatra-aDikRtya
   gāyatrīm ity ādy apy uktam agni-purāṇe | tasmāt	gAyatrIm iti Adi api uktam agni-purANe | tasmAt-
   agneḥ purāṇaṃ gāyatrīṃ sametya bhagavat-parām |	agneH purANam gAyatrIm sametya Bagavat--parAm |
   bhagavantaṃ tatra matvā jagaj-janmādi-kāraṇam ||	Bagavantam tatra matvA jagaj-janma-Adi-kAraNam ||
   yatrādhikṛtya gāyatrīm iti lakṣaṇa-pūrvakam |	yatra-aDikRtya gAyatrIm iti lakzaNa--pUrvakam |
   śrīmad-bhāgavataṃ śaśvat pṛthvyāṃ jayati sarvataḥ ||	SrImat--BAgavatam SaSvat pRTvyAm jayati sarvatas ||
   tad evam asya śāstrasya gāyatrīm adhikṛtya pravṛttir darśitā |	tat evam asya SAstrasya gAyatrIm aDikRtya pravRttiH darSitAH |
   yat tu sārasvata-kalpam adhikṛtyeti pūrvam uktam | tac ca gāyatryā	yat tu sArasvata--kalpam aDikRtya-iti pUrvam uktam | tat ca gAyatryA
   bhagavat-	Bagavat-
   pratipādaka-vāg-viśeṣa-rūpa-sarasvatītvād upayuktam eva | yad uktam agni-	pratipAdaka--vAc---viSeza--rUpa-sarasvatI-tvAt upayuktam eva | yat uktam agni-
   purāṇe -	purANe -
   gāyatry-ukthāni śāstrāṇi bhargaṃ prāṇāṃs tathaiva ca ||	gAyatrI--ukTAni SAstrANi Bargam prANAn taTA-eva ca ||
   tataḥ smṛteyaṃ gāyatrī sāvitrī yata eva ca |	tatas smRtA-iyam gAyatrI sAvitrI yatas eva ca |
   prakāśinī sā savitur vāg-rūpatvāt sarasvatī ||	prakASinI sA savituH vAc---rUpa-tvAt sarasvatI ||
   atha krama-prāptā vyākhyā vedārtha-paribṛṃhita iti | vedārthānāṃ	aTa krama--prAptA vyAKyA veda-arTa--paribRMhitaH iti | veda-arTAnAm
   paribṛṃhaṇaṃ yasmāt | tac coktam itihāsa-purāṇābhyām iti | purāṇānāṃ	paribRMhaNam yasmAt | tat ca-uktam itihAsa-purANAByAm iti | purANAnAm
   sāma-rūpa iti vedeṣu sāmavat purāṇeṣu śreṣṭha ity arthaḥ | purāṇāntarāṇāṃ	sAma-rUpaH iti vedezu sAma-vat purANezu SrezWaH iti arTaH | purANa-antarANAm
   keṣāṃcid āpātato rajas-tamasī juṣamāṇais tat-paratvāpratītatve'pi vedānāṃ	kezAMcid ApAtatas rajas--tamasI juzamANEH tat--paratva-apratIta-tve-api vedAnAm
   kāṇḍa-traya-vākyaika-vākyatāyāṃ yathā sāmnā tathā teṣāṃ śrī-bhāgavatena	kANxa-traya--vAkya-eka-vAkyatAyAm yaTA sAmnA taTA tezAm SrI--BAgavatena
   pratipādye śrī-bhagavaty eva paryavasānam iti bhāvaḥ | tad uktam -	pratipAdye SrI--BagavatI eva paryavasAnam iti BAvaH | tat uktam -
   vede rāmāyaṇe caiva purāṇe bhārate tathā |	vede rAmAyaNe ca-eva purANe BArate taTA |
   ādāv ante ca madhye ca hariḥ sarvatra gīyate || iti | [HV 132.95]	AdO ante ca maDye ca hariH sarvatra gIyate || iti | [HV 132.95]
   pratipādayiṣyate ca tad idaṃ paramātma-sandarbhe | sākṣād bhagavatoditam	pratipAdayizyate ca tat idam paramAtma-sandarBe | sAkzAt BagavatA-uditam
   iti | kasmai yena vibhāsito'yam [BhP 12.13.19] ity	iti | kasmE yena viBAsitaH-ayam [Bhu 12.13.19] iti-
   upasaṃhāra-vākyānusāreṇa	upasaMhAra--vAkya-anusAreNa
   jñeyam | śata-viccheda-saṃyuta iti | vistāra-bhiyā na viviriyate | tad	jQeyam | Sata-vicCeda--saMyutaH iti | vistAra-BiyA na viviriyate | tat-
   evaṃ	evam
   śrīmad-bhāgavataṃ sarva-śāstra-cakravarti-padam āptam iti sthite hema-	SrImat--BAgavatam sarva-SAstra--cakravarti-padam Aptam iti sTite hema-
   siṃha-samanvitam ity atra hema-siṃhāsanam ārūḍham iti ṭīkākārair yad	siMha--samanvitam iti atra hema-siMhAsanam ArUXam iti wIkAkArEH yat-
   vyākhyātaṃ tad eva yuktam |	vyAKyAtam tat eva yuktam |
   ataḥ śrīmad-bhāgavatasyaivābhyāsāvaśyakatvaṃ śreṣṭhatvaṃ ca skānde	atas SrImat--BAgavatasya-eva-aByAsa-AvaSyaka-tvam SrezWa-tvam ca skAnde
   nirṇītam - śataśo'tha sahasraiś ca kim anyaiḥ śāstra-saṅgrahaiḥ | tad evaṃ	nirNItam  SataSas-aTa sahasrEH ca kim anyEH SAstra-saFgrahEH | tat evam
   paramārtha-vivitsubhiḥ śrī-bhāgavatam eva sāmprataṃ vicāraṇīyam iti	parama-arTa-vivitsuBiH SrI--BAgavatam eva sAmpratam vicAraNIyam iti
   sthitam ||22||	sTitam ||22||
   BD: nanu śrī-bhāgavatasya bhāratārtha-nirṇāyakatvaṃ kathaṃ pratītam iti	BD: nanu SrI--BAgavatasya BArata-arTa--nirNAyaka-tvam kaTam pratItam iti
