   folios 1-4 are missing	folioH 1-4 are missing
   asaṃvṛtavāgbhāṣitaṃ pāpakaṃ dṛṣṭigataṃ parigṛhya mayaiva yūyaṃ tataḥ	asaMvRta-vAc-BAzitam pApakam dRzwi-gatam parigRhya mayA-eva yUyam tatas-
   pāpadṛṣṭigatāt parimocya pravrajitāḥ / tato 'rvāg yuṣmābhir bahūni	pApa-dRzwi-gatAt parimocya pravrajitAH / tatas arvAk yuzmABiH bahUni
   buddhasahasrāṇi paryupāsitāni / teṣāṃ ca pūjopasthānaṃ kṛtaṃ / tebhyaś ca	budDa-sahasrANi paryupAsitAni / tezAm ca pUjA-upasTAnam kRtam / teByaH ca
   dharmaṃ śrutvā praṇidhānaṃ kṛtaṃ ṣaṭsu pāramitāsu caritaṃ iti // tena	Darmam SrutvA praNiDAnam kRtam zawsu pAramitAsu caritam iti // tena
   yūyaṃ kāyavāṅmanoduścaritena karmaṇā pūrvaṃ tṛṣv apāyeṣv aneke kalpāḥ	yUyam kAya-vAc-manaH-duScaritena karmaNA pUrvam tRzu apAyezu aneke kalpAH
   duḥkhāny anubhūtavantaḥ / tenaiva karmāvaraṇenaitarhi mārasya pāpīmato	duHKAni anuBUtavantaH / tena-eva karma-AvaraNena-etarhi mArasya pApImatas-
   bhavane upapannā iti // asmiṃ khalu punā ratnaketudhāraṇīpūrvayoge	Bavane upapannAH iti // asmim Kalu punA ratna-ketu-DA-araNI-pUrva-yoge
   bhāṣyamāṇe bhagavatā śākyamuninā tathāgatena teṣāṃ paṃcānāṃ	BAzyamANe BagavatA SAkya-muninA taTAgatena tezAm paMcAnAm
   mārakanyāśatānāṃ strībhāvam antardhāya puruṣabhāvaḥ saṃvṛtto	mAra-kanyA-SatAnAm strI-BAvam antarDAya puruza-BAvaH saMvRttaH-
   'nutpattikadharmakṣāntipratilaṃbhāś cābhūvan / apramāṇānām asaṃkhyeyānāṃ	anutpattika-Darma-kzAnti-pratilaMBAH ca-aBUvan / apramANAnAm asaMKyeyAnAm
   sattvakoṭīnayutaśatasahasrāṇāṃ sadevamānuṣāyāḥ (Kurumiya 51) prajāyā	sattva-kowIn-ayuta-Sata-sahasrANAm sa-deva-mAnuzAyAH (Kurum-iya 51) prajAyA
   anuttarāyāṃ samyaksaṃbodhau cittāny utpannāny avaivartyāś cābhūvann	anuttarAyAm samyaksaMboDO cittAni utpannAni avEvartyAH ca-aBUvat-=-
   anuttarāyāṃ samyaksaṃbodhau / evam aprameyāsaṃkhyeyāni	anuttarAyAm samyaksaMboDO / evam aprameya-asaMKyeyAni
   sattvakoṭīnayutaśatasahasrāṇi śrāvakapratyekabuddhayāne 'vaivartya abhūvan	sattva-kowIn-ayuta-Sata-sahasrANi SrAvaka-pratyekabudDa-yAne avEvartya aBUvan
   / aprameyāsaṃkhyeyānāṃ devamānuṣyakanyānāṃ mātṛgrāmabhāvo vinivṛttaḥ	/ aprameya-asaMKyeyAnAm deva-mAnuzya-kanyAnAm mAtR-grAma-BAvaH vinivRttaH
   puruṣabhāvāśrayapratilābhaś cābhūt // //	puruza-BAva-ASraya-pratilABaH ca-aBUt // //
   ratnaketuparivartād dvitīyaḥ pūrvayogaparivartaḥ samāptaḥ // //	ratna-ketu-parivartAt dvitIyaH pUrva-yoga-parivartaH samAptaH // //
   (Kurumiya 52)	(Kurum-iya 52)
   III.	III.
   atha khalv asyāṃ ratnaketudhāraṇyāṃ bhāṣyamāṇāyāṃ śākyamuninā	aTa Kalu asyAm ratnaketuDA-AraNyAm BAzyamANAyAm SAkya-muninA
   tathāgatenaitarhi sarvāvatīyaṃ sahālokadhātur udāreṇāvabhāsena sphuṭābhūt	taTAgatena-etarhi sarvAvatIyam saha-AlokaDAtuH udAreNa-avaBAsena sPuwA-aBUt
   / yac ceha buddhakṣetre koṭīśataṃ cāturdvīpikānāṃ teṣu koṭīśataṃ	/ yat ca-iha budDa-kzetre kowI-Satam cAturdvIpikAnAm tezu kowI-Satam
   kāmeśvarāṇāṃ māratvaṃ kārayaṃti / te buddhānubhāvena saṃvignā imāṃ	kAma-ISvarANAm mAra-tvam kArayaMti / te budDa-anuBAvena saMvignAH imAm
   cāturdvīpikāṃ vyavalokayaṃti sma / kuto 'yam avabhāsa utpannaḥ / nūnaṃ	cAturdvIpikAm vyavalokayaMti sma / kutas ayam avaBAsaH utpannaH / nUnam
   pāpīmān nāma māro yas tatra cāturdvīpikāyāṃ prativasati tasyaiṣa prabhāvaḥ	pApImAn nAma mAraH yaH tatra cAturdvIpikAyAm prativasati tasya-eza praBAvaH
   so 'smatto balavattara īśvarataro mahaujaskataraś ca / atha khalu te mārā	saH asmattaH balavattaraH ISvarataraH mahA-ojaskataraH ca / aTa Kalu te mArA
   vyavalokayanto 'drākṣuḥ taṃ māraṃ pāpīmantaṃ śokāgāre niṣaṇṇaṃ	vyavalokayantaH adrAkzuH tam mAram pApIm-antam Soka-AgAre nizaNNam
   paramadurmanasthaṃ //	parama-durmana-sTam //
   atha tat koṭīśataṃ mārāṇāṃ yeneyaṃ cāturdvīpikā yena mārasya pāpīmato	aTa tat kowI-Satam mArANAm yena-iyam cAturdvIpikA yena mArasya pApImatas-
   bhavanaṃ tenopajagāmopetya māraṃ pāpīmantam evam āha / kiṃ bho kāmeśvara	Bavanam tena-upajagAma-upetya mAram pApIm-antam evam Aha / kim Bo kAmeSvara
   sarvāvatīyaṃ lokadhātur avabhāsitā tvaṃ ca śokāgāraṃ praviśya niṣaṇṇaḥ //	sarvAvatIyam lokaDAtuH avaBAsitA tvam ca Soka-AgAram praviSya nizaNNaH //
   (Kurumiya 53)	(Kurum-iya 53)
   atha kāmeśvaro māras teṣāṃ mārakoṭīśatānāṃ vistareṇārocayati sma / yat	aTa kAmeSvaraH mAraH tezAm mAra-kowI-SatAnAm vistareNa-Arocayati sma / yat-
   khalu mārṣā jānīyur iha bho śramaṇa utpannaḥ śākyavaṃśāt paramaśaṭhaḥ	Kalu mArzAH jAnIyuH iha Bo SramaNaH utpannaH SAkya-vaMSAt parama-SaWaH
   māyāvī / tenotpannamātreṇa sarvāvatīyaṃ sahālokadhātur avabhāsitā	mAyAvI / tena-utpanna-mAtreNa sarvAvatIyam saha-AlokaDAtuH avaBAsitA
   prakaṃpitā kṣobhitā / ye kecid iha kṛtsnalokadhātuvidvāṃso brahmendrā vā	prakaMpitA kzoBitA / ye kecid iha kRtsna-loka-DAtu-vidvAMsaH brahma-indrAH vA
   nāgendra vā yakṣendrā vāsurendrā vā mahoragendrā vā garuḍendrā vā	nAga-indra vA yakza-indrAH vA-asura-indrAH vA mahA-uraga-indrAH vA garuxa-indrAH vA
   kinnarendrā vā yāvad anye 'pi kecin manuṣyāmanuṣyā vidvāṃsas te sarve tam	kinnara-indrAH vA yAvat anye api kecid manuzya-amanuzyAH vidvAMsaH te sarve tam
   upāgatāḥ pūjākarmaṇe yāvat ṣaḍvarṣāṇy ekākyadvitīyā niṣadyālakṣaṇāṃ māyaṃ	upAgatAH pUjA-karmaNe yAvat zaz-varzANi ekAkya-dvitIyA nizadya-alakzaNAm mAyam
   sādhitavān / ahaṃ ca svabalasaṃdarśanaṃ cikīrṣur evaṃ	sADitavAn / aham ca sva-bala-saMdarSanam cikIrzuH evam
   ṣaṭtriṃśatkoṭīsainyaparivāra upasaṃkramya samaṃtato 'nuparivārya	zawtriMSat-kowI-sEnya-parivAraH upasaMkramya samaMtataH anuparivArya
   sarvamārabalavikurvaṇarddhivīryaparākramaṃ saṃdarśitavān ekaromakūpam apy	sarvam-Ara-bala-vikurvaNa-RdDi-vIrya-parAkramam saMdarSitavAn eka-romakUpam api-
   aham aśakto 'sya saṃtrāsayituṃ vā bhīṣayituṃ vā kim aṃga punas tasmād	aham aSaktaH asya saMtrAsayitum vA BIzayitum vA kim aMga punar tasmAt-
   āsanāt kaṃpayituṃ kiṃ vā punar anyaṃ vighātaṃ kartum ity atha cet tena	AsanAt kaMpayitum kim vA punar anyam viGAtam kartum iti aTa ced tena
   vṛṣalena tādṛśī māyā pradarśitā pṛthivīkaṃpaś ca kṛtaḥ / yat sasainyo 'haṃ	vRzalena tAdRSI mAyA pradarSitA pRTivI-kaMpaH ca kRtaH / yat sa-sEnyaH aham
   parājitaḥ chinnavṛkṣa iva dharaṇītale nipatitaḥ / tena ca tatraiva	parAjitaH Cinna-vRkzaH iva DaraNI-tale nipatitaH / tena ca tatra-eva
   (Kurumiya 54) niṣaṇṇena tādṛśī alakṣaṇā māyā sādhitā yat sarvamāraviṣayam	(Kurum-iya 54) nizaNNena tAdRSI alakzaNA mAyA sADitA yat sarva-mAra-vizayam
   abhibhūya sādhitavidyas tasmād utthāya sattvebhyaḥ saṃprakāśayām āsa / ye	aBiBUya sADita-vidyaH tasmAt utTAya sattveByaH saMprakASayAm Asa / ye
   ca kecid iha cāturdvīpikāyāṃ lokadhātau paṇḍitā vijñāḥ sattvās tathā	ca kecid iha cAturdvIpikAyAm lokaDAtO paNxitAH vijQAH sattvAH taTA
   māyayāvarjitā yathā cittam apy ahaṃ teṣāṃ na prajānāmi gatyupapattiṃ vā	mAyayA-AvarjitA yaTA cittam api aham tezAm na prajAnAmi gati-upapattim vA
   ṣaṭsu gatiṣu / ye ca taccharaṇagatās teṣām ekaromakūpam api na śaknomi	zawsu gatizu / ye ca tat-SaraNa-gatAH tezAm eka-romakUpam api na Saknomi
   saṃtrāsayituṃ vā saṃkṣobhayituṃ vā kim aṃga punas tasmād visaṃvādayituṃ vā	saMtrAsayitum vA saMkzoBayitum vA kim aMga punar tasmAt visaMvAdayitum vA
   kaṃpayituṃ vā śaknuyām / adyaiva ca me paṃca paricārikāśatāni viṃśatiś ca	kaMpayitum vA SaknuyAm / adya-eva ca me paMca paricArikA-SatAni viMSatiH ca
   putrasahasrāṇi sagaṇapārṣadyāni vṛṣalaṃ gautamaṃ taṃ śramaṇaṃ śaraṇaṃ	putra-sahasrANi sa-gaNa-pArzadyAni vRzalam gOtamam tam SramaNam SaraNam
   gatās tasya purato niṣaṇṇāḥ / na cāhaṃ bhūyas tāni śaktas tasmād	gatAH tasya puratas nizaNNAH / na ca-aham BUyas tAni SaktaH tasmAt-
   vivecayituṃ / tena hi yūyaṃ balavantaḥ puṇyavanto jñānavantaḥ	vivecayitum / tena hi yUyam balavantaH puNyavantaH jQAnavantaH
   aiśvaryavantaḥ suhṛdo bhavata / taṃ śākyaputraṃ vṛṣalaṃ jīvitād	ESvaryavantaH suhRdaH BavataH / tam SAkya-putram vRzalam jIvitAt-
   vyavaropayiṣyāmaḥ / ye ca sattvās taccharaṇagatās tāṃ sarvāṃ	vyavaropayizyAmaH / ye ca sattvAH tad-SaraNa-gatAH tAm sarvAm
   vidhvaṃsayiṣyāmaḥ / (Kurumiya 55) kṛṣṇaṃ māyāśaṭhaṃ śramaṇapakṣaṃ	viDvaMsayizyAmaH / (Kurum-iya 55) kRzNam mAyA-SaWam SramaNa-pakzam
   parājeṣyāmaḥ / śuklaṃ mārapakṣam uddyotayiṣyāmaḥ / tataḥ paścāt sukhaṃ	parAjezyAmaH / Suklam mAra-pakzam uddyotayizyAmaH / tatas paScAt suKam
   phāṣaṃ vihariṣyāmaḥ //	PAzam viharizyAmaH //
   atha jyotiṣprabho māraḥ imaṃ jaṃbudvīpaṃ vyavalokayām āsa yatra tathāgato	aTa jyotizpraBaH mAraH imam jaMbudvIpam vyavalokayAm Asa yatra taTAgataH-
   niṣaṇṇo dharmaṃ deśayati / atha jyotiṣprabho māro bhagavataḥ kāyam	nizaNNaH Darmam deSayati / aTa jyotizpraBaH mAraH BagavataH kAyam
   adrākṣīt / svaraghoṣayuktāṃ dharmadeśanām aśrauṣīt / atha tāvad eva tasya	adrAkzIt / svara-Goza-yuktAm Darma-deSanAm aSrOzIt / aTa tAvat eva tasya
   romaharṣaṇaḥ saṃtrāsa utpannaḥ / atha sa māraṃ pāpīmantam evam āha //	romaharzaNaH saMtrAse utpannaH / aTa sa mAram pApIm-antam evam Aha //
   kṛtsne kṣetre hy eṣa viśiṣṭo vararūpaḥ	kRtsne kzetre hi eza viSizwaH vara-rUpaH
   puṇyajñānair āśrayaśuddhaś cirakālaṃ /	puNya-jQAnEH ASraya-SudDaH cira-kAlam /
   kleśān mukto mārgasuyuktaś cirarātraṃ	kleSAt muktaH mArga-su-yuktaH cira-rAtram
   kṣīṇāḥ sarve tasya bhavā śokavimuktaḥ // RKP_3.1	kzINAH sarve tasya BavA Soka-vimuktaH // RKc-_3.1
   mā tvaṃ bhūyaḥ krodhavaśaṃ gaccha na yuktam	mA tvam BUyas kroDa-vaSam gacCa na yuktam
   agro hy eṣa śreṣṭha śaraṇyas tribhavesmiṃ /	agraH hi eza SrezWa SaraNyaH tri-Bavesmim /
   yasyāsmi vidveṣalavo 'pi pratibhāti	yasya-asmi vidveza-lavaH api pratiBAti
   vyāmūḍho 'sau saukhyavinaṣṭo bhavatīha // RKP_3.2	vyAmUXaH asO sOKya-vinazwaH Bavati-iha // RKc-_3.2
   (Kurumiya 56)	(Kurum-iya 56)
   athāparo māraḥ sannimiko nāma taṃ māraṃ pāpīmantam evam āha /	aTa-aparaH mAraH sat-nimikaH nAma tam mAram pApIm-antam evam Aha /
   maharddhiko 'sau varapuṇyalakṣaṇo hy anāśṛtaḥ sarvagatipramuktaḥ /	mahardDikaH asO vara-puNya-lakzaNaH hi anASRtaH sarva-gati-pramuktaH /
   aśeṣaduḥkhakṣayamārgadeśako vihiṃsituṃ māraśatair na śakyam // RKP_3.3	aSeza-duHKa-kzaya-mArga-deSakaH vihiMsitum mAra-SatEH na Sakyam // RKc-_3.3
   pāpīmān āha /	pApImAn Aha /
   vaśaṃ madīyā janatā kṛtā hi yuṣmajjanas tasya vaśānugo 'yaṃ /	vaSam madIyAH janatA kRtA hi yuzmad-janaH tasya vaSa-anugaH ayam /
   na cirāt sa śūnyaṃ viṣayaṃ kariṣyati asmadgatiḥ kutra punar bhaviṣyati //	na cirAt sa SUnyam vizayam karizyati asmad-gatiH kutra punar Bavizyati //
   RKP_3.4	RKc-_3.4
   atha navarajo nāma māraḥ sa māraṃ pāpīmantam evam āha /	aTa navarajaH nAma mAraH sa mAram pApIm-antam evam Aha /
   yadā tavāsīt paramā samṛddhis tadā tvayā darśitam ātmaśauryaṃ /	yadA tava-AsIt paramA samRdDiH tadA tvayA darSitam Atma-SOryam /
   balapranaṣṭo 'sy adhunā nirāśaḥ kiṃ spardhase sarvavidā sahādya // RKP_3.5	bala-pranazwaH asi aDunA nirASaH kim sparDase sarva-vidA saha-adya // RKc-_3.5
   khaḍgasomo māraḥ prāha /	Kaxga-somaH mAraH prAha /
   kvacin na tasyāsti manaḥpradoṣaṃ bhāvena śuddho hi nirāśrayo 'sau /	kvacid na tasya-asti manaH-pradozam BAvena SudDaH hi nirASrayaH asO /
   traidhātukān muktagatipracāro nāsau parair ghātayituṃ hi śakyam // RKP_3.6	trEDAtukAn mukta-gati-pracAraH na-asO parEH GAtayitum hi Sakyam // RKc-_3.6
   (Kurumiya 57)	(Kurum-iya 57)
   pāpīmān āha /	pApImAn Aha /
   ye santisattvā iha kāmadhātau kāmaprasaktā madamānamūrcchitāḥ /	ye santi-sattvAH iha kAmaDAtO kAma-prasaktAH mada-mAna-mUrcCitAH /
   sadānuvṛttā mama kiṃkarās te kathaṃ na śakyaṃ hanituṃ samagraiḥ // RKP_3.7	sadA-anuvRttAH mama kiMkarAH te kaTam na Sakyam hanitum samagrEH // RKc-_3.7
   kṣititoyo nāma māraḥ sa evam āha /	kzititoyaH nAma mAraH saH evam Aha /
   māyāmarīcipratimān asārān bhāvān parijñāya vinītatṛṣṇaḥ /	mAyA-marIci-pratimAn asArAn BAvAn parijQAya vinIta-tRzNaH /
   bhaveṣv asakto gaganasvabhāvaḥ śakyaṃ vighātaḥ katham asya kartum //	Bavezu asaktaH gagana-svaBAvaH Sakyam viGAtaH kaTam asya kartum //
   RKP_3.8	RKc-_3.8
   pāpīmān āha /	pApImAn Aha /
   ihaiva tasyāsti vaśo triloke mṛṣṭānnapānāsanavastrasevitaḥ /	iha-eva tasya-asti vaSaH triloke mRzwa-anna-pAna-Asana-vastra-sevitaH /
   tṛvedanā cāsya matau pratiṣṭhitā kṣayaṃ praṇetuṃ sa kathaṃ na śakyam //	tRvedanA ca-asya matO pratizWitA kzayam praNetum sa kaTam na Sakyam //
   RKP_3.9	RKc-_3.9
   (Kurumiya 58)	(Kurum-iya 58)
   tṛṣṇājaho nāma māraḥ sa evam āha /	tRzNA-jahaH nAma mAraH saH evam Aha /
   yā ṛddhir asmadviṣaye 'sti kācit pāpīmatāṃ caiva mahoragāṇāṃ /	yA RdDiH asmad-vizaye asti kAcid pApImatAm ca-eva mahA-uragANAm /
   siddhārtha-ṛddher na kalāṃ spṛśaṃti kṣayaṃ praṇetuṃ sa kathaṃ hi śakyam //	sidDArTa--RdDeH na kalAm spRSaMti kzayam praNetum sa kaTam hi Sakyam //
   RKP_3.10	RKc-_3.10
   pāpīmān āha /	pApImAn Aha /
   bhaktacchedo mayāsmai hi kāritas tacchilā punaḥ /	Bakta=-CedaH mayA-asmE hi kAritaH tad-SilA punar /
   kṣiptā dattās tathākrośā āśramāt kaṃpito 'pi na // RKP_3.11	kziptAH dattAH taTA-AkroSAH ASramAt kaMpitaH api na // RKc-_3.11
   bodhākṣo nāma māraḥ sa evam āha /	boDAkzaH nAma mAraH saH evam Aha /
   yadā tvayā tasya kṛto vighātaḥ kaścit pradoṣaḥ kupitena tena /	yadA tvayA tasya kRtaH viGAtaH kaScid pradozaH kupitena tena /
   saṃdarśitas te bhṛkuṭī mukhe vā kiṃ tasya sākṣād avacaḥ śrutaṃ te //	saMdarSitaH te BRkuwI muKe vA kim tasya sAkzAt avacaH Srutam te //
   RKP_3.12	RKc-_3.12
   pāpīyān āha /	pApIyAn Aha /
   pratisaṃkhyayā so kṣamate ca nityaṃ prahīṇarāgo gatadoṣamohaḥ /	pratisaMKyayA saH kzamate ca nityam prahINa-rAgaH gata-doza-mohaH /
   (Kurumiya 59)	(Kurum-iya 59)
   sarveṣu sattveṣu sa maitracittaḥ saṃsargacaryā punar asya nityam //	sarvezu sattvezu sa mEtra-cittaH saMsarga-caryA punar asya nityam //
   RKP_3.13	RKc-_3.13
   durdharṣo nāma māraḥ sa evam āha /	durDarzaH nAma mAraH saH evam Aha /
   ye ca trisaṃyojanapāśabaddhās teṣāṃ vighātāya vayaṃ yatema /	ye ca tri-saMyojana-pASa-badDAH tezAm viGAtAya vayam yatema /
   sa tu prahīṇāmayamohapāśaḥ kṣayaṃ praṇetuṃ sa kathaṃ hi śakyam // RKP_3.14	sa tu prahINa-Amaya-moha-pASaH kzayam praNetum sa kaTam hi Sakyam // RKc-_3.14
   pāpīmān āha /	pApImAn Aha /
   yūyaṃ mama prāptabalāḥ sahāyāḥ sadyo bhavanto bhavathāpramattāḥ /	yUyam mama prApta-balAH sahAyAH sadyas BavantaH BavaTa-apramattAH /
   apo 'dhitiṣṭhāmi mahīm aśeṣāṃ sarvā diśaḥ parvatamālinī ca // RKP_3.15	apaH aDitizWAmi mahIm aSezAm sarvAH diSaH parvata-mAlinI ca // RKc-_3.15
   gaganāt pracaṇḍaṃ ghanaśailavarṣaṃ samutsṛjāmy āyasacūrṇarāśim /	gaganAt pracaNxam Gana-SEla-varzam samutsRjAmi Ayasa-cUrNa-rASim /
   nārācaśaktikṣuratomarāṃś ca kṣipāmi kāye 'sya vicūrṇanārthaṃ // RKP_3.16	nArAca-Sakti-kzura-tomarAn ca kzipAmi kAye asya vicUrNana-arTam // RKc-_3.16
   ebhiḥ prayogair abhighātadīptais taṃ śākyasiṃhaṃ prakaromi bhasma //	eBiH prayogEH aBiGAta-dIptEH tam SAkya-siMham prakaromi Basma //
   RKP_3.17	RKc-_3.17
   peyālam / yāvan mārakoṭībhir gāthākoṭī bhāṣitā iti /	peyAlam / yAvat mAra-kowIBiH gATA-kowI BAzitAH iti /
   atha sarve mārā ekakaṇṭhenaivam āhuḥ / evam astu / gamiṣyāmaḥ /	aTa sarve mArAH eka-kaNWena-evam AhuH / evam astu / gamizyAmaH /
   svakasvakebhyo bhavanebhyaḥ sannāhaṃ baddhvā sasainyaparivārā āgamiṣyāmo	sva-ka-svakeByaH BavaneByaH sat-na-aham badDvA sa-sEnya-parivArAH AgamizyAmaH-
   (Kurumiya 60) yad asmākam ṛddhibalaviṣayaṃ tat sarvam ādarśayiṣyāmaḥ /	(Kurum-iya 60) yat asmAkam RdDi-bala-vizayam tat sarvam AdarSayizyAmaH /
   atha tvaṃ svayam eva jñāsyase yādṛśaṃ śauryaṃ sa śramaṇo gautamas tatkṣaṇe	aTa tvam svayam eva jQAsyase yAdRSam SOryam sa SramaNaH gOtamaH tad-kzaNe
   pradarśayiṣyati / atha tā mārakoṭyaḥ svabhavanāni gatvā sannāhabandhaṃ	pradarSayizyati / aTa tAH mAra-kowyaH sva-BavanAni gatvA sanna-aha-banDam
   kṛtvā ekaiko māraḥ koṭīsahasraparivāro vividhāni varmāṇi prāvṛtya te	kRtvA ekEkaH mAraH kowI-sahasra-parivAraH viviDAni varmANi prAvRtya te
   nānāpraharaṇayuktā vividhasannāhasannaddhāḥ / tasyām eva rātryām	nAnA-praharaNa-yuktAH viviDa-sannAha-sat-nadDAH / tasyAm eva rAtryAm
   atyayenemaṃ jaṃbudvīpam anuprāptaḥ aṅgamagadhasandhau gagane tasthuḥ yāvad	atyayena-imam jaMbudvIpam anuprAptaH aFga-magaDa-sanDO gagane tasTuH yAvat-
   ye cāsmiṃś cāturdvīpike	ye ca-asmin cAturdvIpike
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragapretapiśācakumbhāṇḍā	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-preta-piSAca-kumBa-aNxA
   bhagavato 'ntike aprasannacittā alabdhagauravamanaskārā dharme saṃghe	BagavataH antike aprasanna-cittAH alabDa-gOrava-manaskArAH Darme saMGe
   cāprasannacittās te sarve māreṇa pāpīmatā bhagavato 'ntike vadhāyodyojitāḥ	ca-aprasanna-cittAH te sarve mAreNa pApImatA BagavataH antike vaDAya-udyojitAH
   / te 'pi nānāpraharaṇavarmaprāvṛtāḥ tatraiva tasthuḥ / māro 'pi pāpīmān	/ te api nAnA-praharaNa-varma-prAvRtAH tatra-eva tasTuH / mAraH api pApImAn
   anuhimavataḥ pārśvaṃ gatvā yatra jyotīraso ṛṣiḥ prativasati	anuhimavataH pArSvam gatvA yatra jyotIrasaH RziH prativasati
   maheśvarabhaktiko aṣṭādaśasu vidyāsthāneṣv ṛddhiviṣayapāramiprāptaḥ	maheSvara-BaktikaH azwAdaSasu vidyA-sTAnezu RdDi-vizaya-pArami-prAptaH
   paṃcaśataparivāraḥ tasya maheśvararūpeṇa purataḥ sthitvaivam āha /	paMca-Sata-pari-vAraH tasya maheSvara-rUpeNa puratas sTitvA-evam Aha /
   nityaṃ gautamagotrajo ṛṣivaro vijñān'; abhijñāśrito	nityam gOtama-gotra-jaH Rzi-varaH vijQAn-a; aBijQA-ASritaH-
   magadhe saṃvasatīha so 'dya carate piṇḍāya rājñogṛham /	magaDe saMvasati-iha saH adya carate piNxAya rAjQaH-gRham /
   (Kurumiya 61)	(Kurum-iya 61)
   tena tvaṃ saha saṃlapasva viśadaṃ nānākathābhiḥ sthiraḥ	tena tvam saha saMlapasva viSadam nAnA-kaTABiH sTiraH
   tatraive tvam atīva paṃca niyataṃ prāpsyasy abhijñāvaśim // RKP_3.18	tatra-eve tvam atIva paMca niyatam prApsyasi aBijQA-avaSim // RKc-_3.18
   atha māraḥ pāpīmān imāṃ gāthāṃ bhāṣitvā tatraivāntarhitaḥ / svabhavanaṃ ca	aTa mAraH pApImAn imAm gATAm BAzitvA tatra-eva-antarhitaH / sva-Bavanam ca
   gatvā svapārṣadyānāṃ mārāṇām ārocayati sma //	gatvA sva-pArzadyAnAm mArANAm Arocayati sma //
   matto bho śṛṇutādya yādṛg atulā buddhir mayā cintitā	mattaH Bo SRNutA-adya yAdRS atulA budDiH mayA cintitA
   svairaṃ śākyasutaṃ samālapata ye-d-ṛddhiprabhāvānvitāḥ /	svEram SAkya-sutam samAlapata ye-d-RdDi-praBAva-anvitAH /
   tāṃ māyāṃ na vidarśayet svaviṣayīṃ mārorudarpāpahāṃ	tAm mAyAm na vidarSayet sva-vizayIm mAra-Uru-darpa-apahAm
   nityaṃ snigdhavacāḥ sa śiṣyanirato māteva putreṣv iva // RKP_3.19	nityam snigDa-vacAH sa Sizya-nirataH mAtA-iva putrezu iva // RKc-_3.19
   śiṣyās tasya hi ye prahīṇamadanāś caryāṃ caraṃti dhruvaṃ	SizyAH tasya hi ye prahINa-madanAH caryAm caraMti Druvam
   pūrvāhṇe nagaraṃ krameṇa nibhṛtāḥ svaireṇa tāvad vayaṃ /	pUrvAhNe nagaram krameNa niBRtAH svEreNa tAvat vayam /
   gṛhṇīmo druta nṛtyagītamadhuraprādhānyabhāvair yathā	gRhNImaH druta nRtya-gIta-maDura-prADAnya-BAvEH yaTA
   śrutvaitāṃ prakṛtiṃ manovirasatāṃ yāyāt sa śākyarṣabhaḥ // RKP_3.20	SrutvA-etAm prakRtim manaH-virasa-tAm yAyAt sa SAkya-RzaBaH // RKc-_3.20
   aparo māra evam āha /	aparaH mAraH evam Aha /
   siṃhavyāghragajoṣṭracaṇḍamahoṣīṅ kṣipraṃ purasyāsya hi	siMha-vyAGra-gaja-uzwra-caNxa-mahozIF kzipram purasya-asya hi
   prāvṛṅmeghaninādinaḥ khararavān nirmāya naikāṃ bahiḥ /	prAvRc-meGa-ninAdinaH Kara-ravAn nirmAya na-ekAm bahis /
   (Kurumiya 62)	(Kurum-iya 62)
   tiṣṭhemo vayam āyudhapraharaṇāḥ sākṣāt sa dṛṣṭvādbhutān	tizWemaH vayam AyuDa-praharaNAH sAkzAt sa dRzwvA-adButAn
   bhrānto ṛddhim apāsya yāsyati tato nānādiśo vismṛtaḥ // RKP_3.21	BrAntaH RdDim apAsya yAsyati tatas nAnAdiSaH vismRtaH // RKc-_3.21
   aparo māraḥ prāha /	aparaH mAraH prAha /
   vīthīcatvaratoraṇeṣu bahuśaḥ sthitvā virūpair mukhair	vITI-catvara-toraNezu bahuSas sTitvA virUpEH muKEH-
   nānādyāyudhatīkṣṇatomaraśaraprāsāsikhaḍgāśritaiḥ /	nAnA-Adya-AyuDa-tIkzNa-tomara-Sara-prAsa-asi-Kaxga-ASritEH /
   ākāśād ghanarāvasupraharaṇair meghāsaniṃ muṃcata	AkASAt Gana-rAvasu-praharaNEH meGAsanim muMcata
   kṣipraṃ sa pralayaṃ prayāsyati tato bhūkaṃpabhīto 'vaśaḥ // RKP_3.22	kzipram sa pralayam prayAsyati tatas BU-kaMpa-BItaH avaSaH // RKc-_3.22
   vistareṇa yathāsau mārāṇāṃ mārabalaviṣayavikurvāṃ tāṃ sarvāṃ tathaiva	vistareNa yaTA-asO mArANAm mAra-bala-vizaya-vikurvAm tAm sarvAm taTA-eva
   cakruḥ //	cakruH //
   bhagavāṃś ca punaḥ sarvāvatīm imāṃ trisāhasramahāsāhasrīṃ lokadhātuṃ	BagavAn ca punar sarvAvatIm imAm tri-sAhasra-mahA-sAhasrIm lokaDAtum
   vajramayīm adhyatiṣṭhat / na ca punar bhūyo mārāḥ rāvāṃś cakrur na	vajra-mayIm aDyatizWat / na ca punar BUyas mArAH rAvAn cakruH na
   caturdiśam agniparvatās tasthuḥ na kṛṣṇābhrā nākālavāyavo na ca kaścin	caturdiSam agni-parvatAH tasTuH na kRzNa-aBrAH na-akAla-vAyavaH na ca kaScid-
