   <B1> śrīḥ /	<B1> SrIH /
   yathaiva yatnāśrayatve tulye 'pi caitrāśvayoḥ svātantryapāratantryābhyāṃ	yaTA-eva yatna-ASraya-tve tulye api cEtra-aSvayoH svAtantrya-pAratantryAByAm
   kartṛkaraṇavyapadeśavyavasthā bhavati caitro aśvena gacchati, natu	kartR-karaNa-vyapadeSa-vyavasTA Bavati cEtraH aSvena gacCati, na-tu
   kadācidaśvaḥ caitreṇa gacchatīti, tathā karotervyāpārābhidhāyitve 'pi	kadAcid-aSvaH cEtreNa gacCati-iti, taTA karoteH-vyApAra-aBiDAyi-tve api
   sarvakārakāṇāṃ vyāpārāśrayatve tulye 'pi tābhyāmeva saṃbhavati sā	sarva-kArakANAm vyApAra-ASraya-tve tulye api tAByAm-eva saMBavati sA
   vyavasthā /	vyavasTA /
   yathāca satyapi tadanukūlayatne svātantryābhāvena	yaTA-ca sati-api tad-anukUla-yatne svAtantrya-aBAvena
   kartṛtvaniṣedhavyavahāraḥ /	kartR-tva-nizeDa-vyavahAraH /
   yathā paravaco vadati dūte nāyamasya vaktā, para evāsya vakteti, tathā	yaTA para-vacaH vadati dUte na-ayam-asya vaktA, paraH eva-asya vaktA-iti, taTA
   satyapi tadanukūlavyāpārāśrayatve tadabhāvavivakṣayaiva saṃbhavati	sati-api tad-anukUla-vyApAra-ASraya-tve tad-aBAva-vivakzayA-eva saMBavati
   kartṛtvaniṣedhavyavahāraḥ /	kartR-tva-nizeDa-vyavahAraH /
   yathā vātādi spandena bhagne kenedaṃbhagnamanenaiva nānyeneti /	yaTA vAta-Adi spandena Bagne kena-idaMBagnam-anena-eva na-anyena-iti /
   ato na vyāpārasyākhyātavācyatve kiñcit bādhakam, pratyuta	atas na vyApArasya-AKyAta-vAcya-tve kiQcid bADakam, pratyuta
   pākānukūlayatnavatvasya caitreśvarayostulyatvāt caitraḥ pacatītivadīśvaraḥ	pAka-anukUla-yatnavatu-asya cEtreSvarayoH-tulya-tvAt cEtraH pacati-iti-vat-ISvaraH
   pacatītyapi prayogāpattiḥ yatnasya vācyatve bādhakam /	pacati-iti-api prayoga-ApattiH yatnasya vAcya-tve bADakam /
   athecchājanyatāvacchedako yatnatvavyāpyo jātiviśeṣa eva	aTa-icCA-janya-tAvacCedakaH yatna-tva-vyApyaH jAti-viSezaH eva
   ākhyātaśakyatāvacchedakaḥ //	AKyAta-Sakya-tAvacCedakaH //
   yadvā -------- dhātvarthapākāderākhyātārthaphale ceṣṭādidvārameva	yat-vA ------- DAtu-arTa-pAka-AdeH-AKyAta-arTa-Pale cezwA-Adi-dvAram-eva
   janakatvam, athavā ---------- ākhyātārthayatnasya prathamāntapadārthe	janakatvam, aTavA --------- AKyAta-arTa-yatnasya praTama-anta-padArTe
   caitrādāvavacchedakatvaṃ saṃsarga iti svīkṛtyeśvaraḥ pacatīti	cEtra-AdO=-avacCedaka-tvam saMsargaH iti svIkRtya-ISvaraH pacati-iti
   prayogavāraṇam /	prayoga-vAraNam /
   nahīśvaro janyakṛtimān /	na-hi-ISvaraH janya-kRtimAn /
   nāpi tatkṛteḥ ceṣṭādidvāraṃ janakatvaṃ, nāpi kṛtijanmani	na-api tad-kRteH cezwA-Adi-dvAram janaka-tvan, na-api kRti-janmani
   caitrasyeveśvarasyāvacchedakatvamityucyeta, tathāsati	cEtrasya-Iva-ISvarasya-avacCedaka-tvam-iti-ucyeta, taTA-asati
   riśvarakartṛkakriyāvācināṃ	riSvara-kartRka-kriyA-vAcinAm
   vedapurāṇetihāsagatānāmākhyātapadānāmanupapattiḥ /	veda-purANa-itihAsa-gatAnAm-AKyAta-padAnAm-anupapattiH /
   tatrāgatyā vyutpattityāga iti cenna, śāstrasthāvā	tatra-AgatyA vyutpatti-tyAgaH iti ca-id-na, SAstra-sTAvA
   tannimittatvādityatroktena trivṛccarvaśvavālādinyāyena tādṛśapadānusāriṇyā	tad-nimitta-tvAt-iti-atra-uktena trivRt-carvaSva-vAla-Adi-nyAyena tAdRSa-pada-anusAriNyA
   eva vyutpatteraṅgīkāryatvāt /	eva vyutpatteH-aFgI-kArya-tvAt /
   kiñca ----------- yāvantaḥ phalajanakā yatnāste pratyekamākhyātavācyāḥ,	kiQca ---------- yAvantaH Pala-janakAH yatnAH-te pratyekam-AKyAta-vAcyAH,
   kiṃvā yāvato phalasamudāyasya phalopadhānaniyamastāvatsamudāyo vācyaḥ /	kiMvA yAvataH Pala-samudAyasya Pala-upaDAna-niyamaH-tAvat-samudAyaH vAcyaH /
   ādye tādṛśayatnavantaṃ kañcitparañca tādṛśasamudāyavantamuddiśya	Adye tAdRSa-yatnavantam kaQcid-paraQca tAdRSa-samudAyavantam-uddiSya
   nedṛśavacaḥprayogaḥ syāt, nāyamapākṣīt, kintu para eveti /	na-IdRSa-vacaH-prayogaH syAt, na-ayam-apAkzIt, kintu paraH eva-iti /
   pākajanakayatnasya dvayorapi sattvāviśeṣāt /	pAka-janaka-yatnasya dvayoH-api sattva-aviSezAt /
   dvitīye yatnatvaṃ na śakyatāvacchedakam, tasya pratyekavṛttitvena	dvitIye yatna-tvam na Sakya-tA-avacCedakam, tasya pratyeka-vRtti-tvena
   samudāyāvṛttitvāt, asmanmatetu vyāpāratvasya śakyatāvacchedakatve 'pi	samudAya-AvRtti-tvAt, asmad-matetu vyApAra-tvasya Sakya-tA-avat-Cedaka-tve api
   phalopahitatvasaṃbandhena bhāvyaniṣṭhasyaiva tasyākhyātena pratyāyyatvāt	Pala-upahita-tva-saMbanDena BAvya-nizWasya-eva tasya-AKyAtena pratyAyya-tvAt-
   phalopahitatvasya ca vyāpāranicayavṛttitvāt vyāpārasya	Pala-upahita-tvasya ca vyApAra-nicaya-vRtti-tvAt vyApArasya
   cādyaparispandaprabhṛtyāphalalābhādvitatā bhāvaneti vyavahārāt ko 'sau	ca-Adya-parispanda-praBRti-A-aPala-lABAdvitatA BAvanA-iti vyavahArAt kaH asO
   vyāpāra ityapekṣāyāmanvādhānādibrāhmaṇatarpaṇāntapadārthanicayasyāyamasau	vyApAraH iti-apekzAyAm-anvADAnAdi-brAhmaNa-tarpaNa-anta-padArTa-nicayasya-ayam-asO
   vyāpāra ityanvayakathanācca samudāye 'pi vyavahāropapattessaṃbhavati	vyApAraH iti-anvaya-kaTanAt-ca samudAye api vyavahAra-upapatteH-saMBavati
   vyāpāranicayavatyākhyātaprayogaḥ /	vyApAra-nicayavati-AKyAta-prayogaH /
   yattu ----------- vidheścetanapravartakatvaniyamānupapattidūṣaṇaṃ,	yat-tu ---------- viDeH-cetana-pravartaka-tva-niyama-anupapatti-dUzaNaM,
   tattadanuṣṭheyadhātvarthānuraktavyāpārābhidhānena	tad-tad-anuzWeya-DAtu-arTa-anurakta-vyApAra-aBiDAnena
   tanniyamāpatterakiñcitkaram /	tat-niyama-ApatteH-akiQcitkaram /
   yadapi bhāṣyādau yajetetyasya yateteti vivaraṇapradarśanaṃ, tadapi	yat-api BAzya-AdO yajeta-iti-asya yateta-iti vivaraNa-pradarSanaM, tat-api
   ākhyātārthevyāpāre yatnasyāpyanupraveśasattvādvyāpārāntarasyā	AKyAta-arTevyApAre yatnasya-api-anupraveSa-sattvAt-vyApAra-antarasya-a
   niyatatvādyatnasyaiva niyatatvāt tatparameveti na viruddham -----------	niyata-tvAt-yatnasya-eva niyata-tvAt tat-param-eva-iti na virudDam -----------
   iti //	iti //
   (bhāṭṭālaṅkārakṛduktasakaladūṣaṇoddhārapūrvakaṃ	(Ba-awwa-alaFkAra-kRt-ukta-sakala-dUzaNa-udDAra-pUrvakam
   vyāpārasāmānyavācitvapakṣopapāditasarvopapattinirāsapūrvakaṃ ca	vyApAra-sAmAnya-vAci-tva-pakza-upapAdita-sarva-upapatti-nirAsa-pUrvakam ca
   yatnatvameva śakyatāvacchedakamiti nirūpaṇam) tadapyetenāpāstam /	yatna-tvam-eva Sakya-tA-avacCedakam-iti nirUpaNam) tat-api-etena-apAstam /
   tathāhi ---------- yattāvadvyāpāratvasya akhaṇḍopādhitve śruta	taTA-hi --------- yat-tAvat-vyApAra-tvasya aKaNxa-upADi-tve Sruta
   evetyādivyavahārasya mānatvamuktaṃ, tanna; prāyeṇānukūlayatnāsaṃbhavena	eva-ityAdi-vyavahArasya mAna-tvam-uktaM, tat-na; prAyeNa-anukUla-yatna-asaMBavena
   vyāpāre lakṣaṇāṅgīkāre 'pi madhurarasaviṣayakānubhavasyaiva	vyApAre lakzaNa-aFgIkAre api maDura-rasa-vizayaka-anuBavasya-eva
   madhurarasaviṣayasya vyāpāratvāṅgīkārāt tasya ca viṣayajanyatvenaiva	maDura-rasa-vizayasya vyApAra-tva-aFgIkArAt tasya ca vizaya-janya-tvena-eva
   vyāpāravyavahāropapattau akhaṇḍatvasvīkāre mānābhāvāt /	vyApAra-vyavahAra-upapattO aKaNxa-tva-svIkAre mAna-aBAvAt /
   nahyananubhūto madhurarasaḥ śruto 'pi svāśraye abhilāṣagocaratāpādakaḥ	na-hi-ananuBUtaH maDura-rasaH SrutaH api sva-ASraye aBilAza-gocara-tApAdakaH
   saṃbhavati /	saMBavati /
   ato gurubhūtatāśakyatāvacchedake sthitaiva /	atas guru-BUta-tA-Sakya-tAvacCedake sTitA-eva /
   yadapi gurutvadravatvādīnāmapi jātirūpatvena yatnasyaiva	yat-api guru-tva-drava-tva-AdInAm-api jAti-rUpa-tvena yatnasya-eva
   śakyatāvacchedakatvāpādanam, tadapi tebhyasteṣāmapratītyaivāyuktam /	Sakya-tA-avacCedaka-tva-ApAdanam, tat-api teByaH-tezAm-apratItya-eva-ayuktam /
   ataeva ------------ gurutvadravatvādeḥ dravati	ataeva ----------- guru-tva-drava-tva-AdeH dravati
   jalamityādivyavahārādasamavāyikāraṇatvenopasthitasyāpi padāntareṇaiva	jalam-iti-Adi-vyavahArAt-asamavAyi-kAraNa-tvena-upasTitasya-api pada-antareNa-eva
   samarpaṇam, natvākhyātapadāt /	samarpaNam, na-tu-AKyAta-padAt /
   nahi pākaṃ karotīti vivaraṇamiva gurutvādinākhyātavivaraṇaṃ dṛśyate /	na-hi pAkam karoti-iti vivaraNam-iva guru-tva-AdinA-AKyAta-vivaraNam dRSyate /
   atastatrāpi mukhyārthabādhe ākhyātasyāśrayatve lakṣaṇaiveti nānanubhūte	atas-tatra-api muKya-arTa-bADe AKyAtasya-ASraya-tve lakzaNA-eva-iti na-ananuBUte
   śaktikalpanāpattiḥ /	Sakti-kalpanA-pattiH /
   etena ----------- yatnatvāderanekasya śakyatāvacchedakatvābhyupagamena	etena ---------- yatna-tva-AdeH-anekasya Sakya-tA-avacCedaka-tva-aByupagamena
   āśrayitvānekatvasaṃbandhakalpanakṛtagauravāpādanamapi ------------	ASrayitvA-aneka-tva-saMbanDa-kalpana-kRta-gOrava-ApAdanam-api ------------
   nirastam; yadapi	nirastam; yat-api
   bhāvanākathaṃbhāvākāṅkṣayetikartavyatānvayānupapattyāpādanaṃ, tadapi na;	BAvanA-kaTaMBAva-AkAFkzayA-iti-kartavyatA-anvaya-anupapatti-ApAdanan, tat-api na;
   bhāvanāyāḥ svajanyakaraṇena phale janyamāne anugrāhakākāṅkṣāyā eva	BAvanAyAH sva-janya-karaNena Pale janyamAne anugrAhaka-AkAFkzAyAH eva
   kathaṃbhāvākāṅkṣārūpatvena phalavācitvapakṣe tadākāṅkṣayā tadanvaye	kaTaMBAvA-kAFkzA-rUpatvena Pala-vAci-tva-pakze tad-AkAFkzayA tad-anvaye
   bādhakābhāvāt /	bADaka-aBAvAt /
   yadapi 'ratho gacchatī' tyādau acetanaprayoge bhāvanābhāve 'pi	yat-api araTaH gacCatI-a tyAdO acetana-prayoge BAvanA-BAve api
   rathādyāśritagamanavyāpāramādāya vinaiva lakṣaṇayā bodhopapādanam, tadapi	raTa-Adi-ASrita-gamana-vyApAram-AdAya vinA-eva lakzaNayA boDa-upapAdanam, tat-api
   tādṛśavyāpārasya dhātunaiva	tAdRSa-vyApArasya DAtunA-eva
   pratītestadatiriktavyāpārasyākhyātārthatvābhāve vyāpārasāmānyasya	pratIteH-tad-atirikta-vyApArasya-AKyAta-arTa-tva-aBAve vyApAra-sAmAnyasya
   ākhyātārthatvoktyasaṃbhavāt lakṣaṇāyā evāśrayaṇāpattermūle nyāyaprakāśa	AKyAta-arTa-tva-ukti-asaMBavAt lakzaNAyAH eva-ASrayaNa-ApatteH-mUle nyAya-prakASa
   eva etādṛśaviṣaye dhātvarthātiriktabhāvanānirūpaṇena tadvirodhāccāyuktam /	eva etAdRSa-vizaye DAtu-arTa-atirikta-BAvanA-nirUpaNena tad-viroDAt-ca-ayuktam /
   yadapi sthālī bibhartītyasya dhāraṇaṃ karotīti karotinā vivaraṇānurodhāt	yat-api sTAlI biBarti-iti-asya DAraNam karoti-iti karotinA vivaraNa-anuroDAt-
   karoterapi vyāpārasāmānyārthakatvamuktam, tadapina; svayamevācetanaprayoge	karoteH-api vyApAra-sAmAnya-arTaka-tvam-uktam, tat-apina; svayam-eva-acetana-prayoge
   ratho gamanaṃ karotīti vivaraṇe sarvānubhavaviṣayatvābhāvasya	raTaH gamanam karoti-iti vivaraNe sarva-anuBava-vizaya-tva-aBAvasya
   pūrvamupapāditatvenehāpi sthalī dhāraṇaṃ karotīti	pUrvam-upapAdita-tvena-iha-api sTalI DAraNam karoti-iti
   vyavahārasyopapādanānupapatteḥ, sattve vobhayatrāpi tasya	vyavahArasya-upapAdana-anupapatteH, sattve vA-uBayatra-api tasya
   lākṣaṇikatvopapatteśca /	lAkzaNika-tva-upapatteH-ca /
   itarathā gaṅgāpadasyāpi gaṅgāyāṃ ghoṣaḥ gaṅgāyāṃ mīnaḥ	itaraTAH gaFgA-padasya-api gaFgAyAm GozaH gaFgAyAm mInaH
   ityubhayasādhāraṇatayā gaṅgāsamīpadeśa eva śaktyāpatteḥ /	iti-uBaya-sADAraNa-tayA gaFgA-samIpa-deSaH eva Sakti-ApatteH /
   etena ---------- agninā pākaḥ kṛto 'gniḥ pākakartetyādayaḥ prayogā	etena --------- agninA pAkaH kRtaH agniH pAka-kartA-ityAdayaH prayogA
   apyasaṃbhavadūṣitāḥ kathañcillakṣaṇayā ------------ vyākhyeyāḥ /	api-asaMBava-dUzitAH kaTaQcid-lakzaNayA ----------- vyAKyeyAH /
   yadapi yatnasādhyayormadhye alpayatnasādhye akṛtatvavyapadeśanyāyena	yat-api yatna-sADyayoH-maDye alpa-yatnasADye akRta-tva-vyapadeSa-nyAyena
   vyāpārasādhyatvāviśeṣe 'pi yatnanyūnatvenaiva	vyApAra-sADya-tva-aviSeze api yatna-nyUna-tvena-eva
   svalpavyāpārasādhyatvādakṛtatvavyavahāropapādanaṃ, tadalpayatnasādhye	su-alpa-vyApAra-sADya-tvAt-akRta-tva-vyavahAra-upapAdanan, tad-alpa-yatna-sADye
   akṛtatvavyapadeśanyāyena vyāpārasādhyatvāviśeṣe 'pi yatnanyūnatvenaiva	akRta-tva-vyapadeSa-nyAyena vyApAra-sADya-tva-aviSeze api yatna-nyUna-tvena-eva
   svalpavyāpārasādhyatvādakṛtatvavyavahāropapādanaṃ, tadalpayatnasādhye	su-alpa-vyApAra-sADya-tvAt-akRta-tva-vyavahAra-upapAdanan, tad-alpa-yatna-sADye
   akṛtatvavyavahārasya kvāpyadṛṣṭeḥ kṛtisāmānyābhāva evāṅkuro mayā na kṛta	akRta-tva-vyavahArasya kvApi-adRzweH kRti-sAmAnya-aBAvaH eva-aFkuraH mayA na kRta
   iti vyavahārasya darśanādalpatvādestatprayojakatvānupapatterayuktam /	iti vyavahArasya darSanAt-alpa-tva-AdeH-tad-prayojaka-tva-anupapatteH-ayuktam /
   yadapi vātādinā spandamāne spandānukūlavyāpāravatyapi kartṛtvaniṣedhasya	yat-api vAta-AdinA spandamAne spanda-anukUla-vyApAravatI-api kartR-tva-nizeDasya
   svātantryābhāvavivakṣayopapādanam, tadapi kiṃ tvayā spandaḥ kriyata iti	svAtantrya-aBAva-vivakzayA-upapAdanam, tat-api kim tvayA spandaH kriyate iti
   praśnasyottaratvena svaprayatnābhāvavivakṣayā pravṛtte nāhaṃ spandaṃ	praSnasya-uttaratvena sva-prayatna-aBAva-vivakzayA pravRtte na-aham spandam
   karomīti vākye svaprayatnābhāvaviṣayatvāvaśyaṃbhāvena	karomi-iti vAkye sva-prayatna-aBAva-vizaya-tva-avaSyaMBAvena
   svātantryābhāvavivakṣayā tadanupapādanānna yuktam /	svAtantrya-aBAva-vivakzayA tad-anupapAdanAt-na yuktam /
   paravaco vadati dūte yatnasattve 'pi nāyamasya vaktā, kintu para eveti	para-vacaH vadati dUte yatna-sattve api na-ayam-asya vaktA, kintu paraH eva-iti
   vyavahārānurodhenavacanānukūlaprayojakaparavṛttiyatnāśrayatvābhāvenaiva	vyavahAra-anuroDena-vacana-anukUla-prayojaka-para-vRtti-yatna-ASraya-tva-aBAvena-eva
   tatkṛtitvaniṣedhasyopapattau svātantryābhāvavivakṣāyāṃ prayojanābhāvācca /	tad-kRti-tva-nizeDasya-upapattO svAtantrya-aBAva-vivakzAyAm prayojana-aBAvAt-ca /
   yadapīśvaraḥ pacatīti prayogāpattivāraṇāyāvacchedakatvasaṃbandhāṅgīkāre	yat-api-ISvaraH pacati-iti prayoga-Apatti-vAraNAya-avacCedaka-tva-saMbanDa-aFgIkAre
   riśvarakartṛkakriyāvācipadānāṃ vedādigatānāṃ gauṇatvāpādanam, tadapi	riSvara-kartRka-kriyA-vAci-padAnAm veda-Adi-gatAnAm gONa-tva-ApAdanam, tat-api
   aśarīriṇarḥ iśvarasya tattatkriyākartṛkatvamādāya paṭhati vaktīti	aSarIriNarH iSvarasya tad-tad-kriyA-kartRka-tvam-AdAya paWati vakti-iti
   prayogasya kvāpyasaṃbhavādayuktam /	prayogasya kvApi-asaMBavAt-ayuktam /
   yastu mīnādiśarīradhāraṇena mīna uvācetyādiprayogastatratu mīnaśarīre	yaH-tu mIna-Adi-SarIra-DAraNena mInaH uvAca-ityAdi-prayogaH-tatratu mIna-SarIre
   vedaṃ paṭhatītyādipratītibalāt tadīyakṛtau	vedam paWati-ityAdi-pratIti-balAt tadIya-kRtO
   tattaccharīrāvacchedakatvakalpanayāpyupapanna eva /	tad-tad-SarIra-avacCedaka-tva-kalpanayA-api-upapannaH eva /
   astuvāśarīreśvarakartṛtvamādāya kvāpiprayogastathāpi tasya gauṇatve 'pi na	astuva-aSarIra-ISvara-kartR-tvam-AdAya kvApi-prayogaH-taTA-api tasya gONa-tve api na
   kṣatiḥ /	kzatiH /
   itarathā "yajamānaḥ prastara" iti śāstrasya prayogāvirodhenaiva	itaraTAH "yajamAnaH prastara" iti SAstrasya prayoga-aviroDena-eva
   yajamānapadasyāpi gauṇamukhyasādhāraṇaikaśaktikalpanāpatteḥ bhavanmate	yajamAna-padasya-api gONa-muKya-sADAraNa-eka-Sakti-kalpanA-patteH Bavat-mate
   'pir iśvarakartṛkakriyāvācakapadānāṃ anukūlavyāpārāśrayatvenopapādane	apiH iSvara-kartRka-kriyA-vAcaka-padAnAm anukUla-vyApAra-ASraya-tvena-upapAdane
   tādṛśavyāpārāśrayatvasya vibhāvātmani sadā sattveneśvaraḥ pacatīti	tAdRSa-vyApAra-ASraya-tvasya viBAva-Atmani sadA sattvena-ISvaraH pacati-iti
   prayogāpattiranivāryaiva /	prayoga-ApattiH-anivArya-eva /
   ataḥ sādhāraṇakartṛtayā tādṛśaprayoge vivakṣāsattve iṣṭāpattestadabhāve	atas sADAraNa-kartR-tayA tAdRSa-prayoge vivakzA-sattve izwa-ApatteH-tad-aBAve
   riśvarakṛterevānaṅgīkārāditi śabdāntarādhikaraṇagatakaustubhoktarītyā	riSvara-kRteH-eva-anaFgIkArAt-iti Sabda-antara-aDikaraNa-gata-kOstu-Ba-ukta-rItyA
   tatkṛterabhāvādeva tadanāyatyuktāvapi na kiñcidbādhakam /	tad-kRteH-aBAvAt-eva tad-anAyati-uktO=-api na kiQcid-bADakam /
   yadapi kiñcetyādyākhyātaprayogaityantamuktaṃ, tanna;	yat-api kiQca-ityAdi-AKyAta-prayoga-etyantam-uktaM, tat-na;
   pākānukūlaphaloddeśyakayatnānāṃ pratyekameva vācyatvābhyupagame	pAka-anukUla-Pala-uddeSyaka-yatnAnAm pratyekam-eva vAcya-tva-aByupagame
   bādhakābhāvāt /	bADaka-aBAvAt /
   ata eva bahūnāṃ pākakartṛtve sati kasyacidyatnasya phalopahitatvābhāve	atas eva bahUnAm pAka-kartR-tve sati kasyacid-yatnasya Pala-upahita-tva-aBAve
   'pyayamapi caitraḥ pacatīti prayoga upapadyate /	api-ayam-api cEtraH pacati-iti prayogaH upapadyate /
   ata eva kṛtikūṭāntargatayatkiñcitkṛtimādāyāpi vartamānatvānvayopapādanam	atas eva kRti-kUwa-antargatayat-kiQcitkRtim-AdAya-api vartamAna-tva-anvaya-upapAdanam
   tāntrikāṇām /	tAntrikANAm /
   dvayoryatnasattvāviśeṣe 'pi nāyamapākṣīditi prayogaḥ	dvayoH-yatna-sattva-aviSeze api na-ayam-apAkzIt-iti prayogaH
   phalopadhānakatvābhāvābhiprāyeṇāpi upapadyata eva /	Pala-upaDAnaka-tva-aBAva-aBiprAyeNa-api upapadyate eva /
   bhavatāmapi vyāpārasamudāyaikadeśavati pacatīti	BavatAm-api vyApAra-samudAya-eka-deSavati pacati-iti
   prayogānāpatterdurnivāratvāt //	prayogAn-ApatteH-durnivAra-tvAt //
   kiñca. vyāpāratvamakhaṇḍo dharmaḥ yadi samudāyavṛttīṣyate,tadā yathāśakti	kiQca. vyApAra-tvam-aKaNxaH DarmaH yadi samudAya-vRttIzyate,tadA yaTASakti
   prayoge ekāṅgavaikalye samudāyābhāve tadvṛttivyāpāratvena	prayoge eka-aFga-vEkalye samudAya-aBAve tad-vRtti-vyApAra-tvena
   rūpeṇākhyātādbodhābhāve kathaṃ vidhyarthānuṣṭhānamupapadyate? ataḥ	rUpeNa-AKyAtAt-boDa-aBAve kaTam viDi-arTa-anuzWAnam-upapadyate? atas-
   pratyekavṛttyeva vyāpāratvamabhyupetya tena tena rūpeṇa tāvatāmeva	pratyeka-vRttyA-iva vyApAra-tvam-aByupetya tena tena rUpeNa tAvatAm-eva
   saṃbhavatāṃ vyāpārāṇāmākhyātavācyatvaṃ ca prakalpyaikataravyāpāramādāyaiva	saMBavatAm vyApArANAm-AKyAta-vAcya-tvam ca prakalpya-ekatara-vyApAram-AdAya-eva
   pacati yajata iti prayogopapādane 'pi satre	pacati yajate iti prayoga-upapAdane api satre
   sāmyutthānenāyamayaṣṭetyādiprayoge evameva nirvāhasyāvaśyakatvam,	sAmi-utTAnena-ayam-ayazwa-ityAdi-prayoge evam-eva nirvAhasya-AvaSyaka-tvam,
   tadvanmamāpīti pratyuta vyāpāratvānāmanekeṣāṃ śakyatāvacchedakatvāt	tadvat-mama-api-iti pratyuta vyApAra-tvAnAm-anekezAm Sakya-tA-avacCedaka-tvAt-
   gauravamanekaśaktikalpanamapyadhikamiti na vyāpārasāmānye śaktikalpanaṃ	gOravam-aneka-Sakti-kalpanam-api-aDikam-iti na vyApAra-sAmAnye Sakti-kalpanam
   bhāṣyādigranthānāmasāmañjasyāpatteryuktam /	BAzya-Adi-granTAnAm-asAm-aQjasya-ApatteH-yuktam /
   ato lāghavāt dvārāntarāpekṣayā niyatatvādyatna eva śaktiḥ, tadbādhe	atas lAGavAt dvAra-antara-apekzayA niyata-tvAt-yatnaH eva SaktiH, tad-bADe
   lakṣaṇaivetyetatsarvaṃ sarvatreti padena pūjyapādaissūcitam /	lakzaNA-eva-iti-etat-sarvam sarvatra-iti padena pUjya-pAdEH-sUcitam /
   ata evoktaṃ ---------- tārkikācāryaiḥ --------- "kṛtākṛtavibhāgena	atas eva-uktam --------- tArkikA-AcAryEH -------- "kRta-akRta-viBAgena
   kartṛrūpavyavasthayā /	kartR-rUpa-vyavasTayA /
   yatna eva kṛtiḥ pūrvāparasmin sarvabhāvanā" iti //	yatnaH eva kRtiH pUrva-aparasmin sarva-BAvanA" iti //
   (pratyayaikarūpyeṇa sarvatra śaktikalpanameva yuktamiti	(pratyaya-eka-rUpyeNa sarvatra Sakti-kalpanam-eva yuktam-iti
   vyāpārasāmānyārthatvamiti prakāśakāramatatatkhaṇḍane) yadapi prakāśakāraiḥ	vyApAra-sAmAnya-arTa-tvam-iti prakASa-kAra-mata-tat-KaNxane) yat-api prakASa-kArEH
   ---------- "ātmakartṛkamevāha vyāpāraṃ yo 'pi bhāvanam /	--------- "a-Atma-kartRkam-eva-Aha vyApAram yaH api BAvanam /
   kartrantare 'pyanākhyātaṃ dhīsāmānyopacāratā" iti maṇḍanoktyāśrayeṇa karī	kartR-antare api-anAKyAtam DI-sAmAnya-upacAra-tA" iti maNxana-ukti-ASrayeNa karI
   gacchati ratho gacchatīti pratyayāvailakṣaṇyādyatnasya ākhyātārthatve	gacCati raTaH gacCati-iti pratyaya-avElakzaNyAt-yatnasya AKyAta-arTa-tve
   ratho gacchatītyatra na lakṣaṇāsaṃbhava ityuktam, tadapi "yajamānaḥ	raTaH gacCati-iti-atra na lakzaNa-asaMBavaH iti-uktam, tat-api "yajamAnaH
   caitraḥ" "yajamānaḥ prastara" iti pratyayāvailakṣaṇyāt lakṣaṇānāpatteḥ	cEtraH" "yajamAnaH prastara" iti pratyaya-avElakzaNyAt lakzaNAnApatteH
   pratyayāvailakṣaṇyasyāprayojakatvādayuktamiti dik //	pratyaya-avElakzaNyasya-aprayojaka-tvAt-ayuktam-iti diS //
   (bhāvanāyāssakarmakatvaikakarmakatvaniyamopapādanam) bhāvanāyāṃ	(BAvanAyAssa-karmaka-tva-eka-karmaka-tva-niyama-upapAdanam) BAvanAyAm
   dhātvarthakaraṇatvasya pūrvamuktasya bhāvyadvārakatvāt prathamaṃ	DAtu-arTa-karaNa-tvasya pUrvam-uktasya BAvya-dvAraka-tvAt praTamam
   bhāvyākāṅkṣotthāpanena bhāvyānvayamupapādayituṃ nirūpitāyā bhāvanāyāḥ	BAvya-AkAFkza-utTApanena BAvya-anvayam-upapAdayitum nirUpitAyAH BAvanAyAH
   sakarmakatvamupapādayati ----------- yatnasyaivaceti /	sa-karmaka-tvam-upapAdayati ---------- yatnasya-eva-ca-iti /
   vidheḥ pravartakatvabodhakatāśaktibādhāpatteḥ	viDeH pravartaka-tva-boDaka-tA-Sakti-bADa-ApatteH
   cetanaviṣayapravartakatvasyāpuruṣārthabhāvyakapravṛttyānupapatteryāgāderapuruṣārthatvena	cetana-vizaya-pravartaka-tvasya-apuruza-arTa-BAvyaka-pravRttyA-anupapatteH-yAga-AdeH-apuruza-arTa-tvena
   bhāvyatvāyogādanyasyaiva kasyacit bhāvyatvenāpekṣitatvāt nityaṃ	BAvya-tva-ayogAt-anyasya-eva kasyacid BAvya-tvena-apekzita-tvAt nityam
   sakarmakatvam /	sa-karmaka-tvam /
   evaṃ cakāraṃ vinā ghaṭaṃ paṭaṃ karotītyaprayogāt karoteriva ekakarmatvaṃ	evam cakAram vinA Gawam pawam karoti-iti-aprayogAt karoteH-iva eka-karma-tvam
   cetyarthaḥ /	ca-iti-arTaH /
   ata eva sakarmakākarmakavyavahāro 'pi dhātugata eva, natu bhāvanāgataḥ /	atas eva sa-karmakA-karmaka-vyavahAraH api DAtu-gataH eva, na-tu BAvanA-gataH /
   ata eva dhātorakarmakatve 'pi 'svāsthyakāmaḥ śayīte' tyādau svāsthyādīnāṃ	atas eva DAtoH-akarmaka-tve api asvAsTya-kAmaH SayIte-a tyAdO svAsTya-AdInAm
   bhāvanāyāmeva bhāvyatvenānvaya iti draṣṭavyam //	BAvanAyAm-eva BAvya-tvena-anvayaH iti drazwavyam //
