   harṣacaritam	harza-caritam
   kusumbhabhāsi sravati pinākiprarṇātamuditasaṃdhyāsvedasalila iva	kusumBa-BAsi sravati pinAki-prarNAta-mudita-saMDyA-sveda-salilaH iva
   raktacandanadreve, vandārumunivṛndārakavṛndabadhyamānasaṃdhyāñjalivane,	raktacanda-nadreve, vandAru-muni-vRndAraka-vRnda-baDyamAna-saMDyA-aQjali-vane,
   brahnotpattikamalasevāgatasakalakamalākara iva rājati brahyaloke;	brahna-utpatti-kamala-sevA-gata-sakala-kamala-AkaraH iva rAjati brahya-loke;
   samuccāritatṛtīyasavanabrahnaṇi brahnaṇi,	samuccArita-tRtIyasavana-brahnaNi brahnaNi,
   jvalitavaitānajvalanajvālājaṭālājireṣvārabdhadharmasādhanaśibiranīrājaneṣviva	jvalita-vEtAna-jvalana-jvAlA-jawAlAjirezu-ArabDa-Darma-sADana-Sibira-nIrAjanezu-iva
   saptarṣimandireṣu, aghamarṣaṇamuṣitakilbiṣaviṣagadollāghalaghuṣu yatiṣu	saptarzi-mandirezu, aGa-marzaNa-muzita-kilbiza-viza-gada-ullAGa-laGuzu yatizu
   saṃdhyopāsanāsīnatapasvipaṅktipūtapuline	saMDyA-upAsana-AsIna-tapasvi-paFkti-pUta-puline
   plavamānanalinayoniyānahaṃsahāsadanturitormiṇi mandākinījale,	plavamAna-nalina-yoni-yAna-haMsa-hAsa-danturita-UrmiNi mandAkinI-jale,
   jaladevatātapatre patrarathakulakalatrāntaḥpurasaudhe	jaladevatA-Atapatre patra-raTa-kula-kalatra-antaHpura-sODe
   nijamadhumadhurāmodini kṛtamadhupamudi mumudiṣamāṇe kumudavane,	nija-maDu-maDura-Amodini kRta-maDupa-mudi mumudizamANe kumuda-vane,
   divasāvasānatāmyattāmarasamadhuramadhusapītiprīte suṣupsati	divasa-avasAna-tAmyat-tAm-arasa-maDura-maDu-sapIti-prIte suzupsati
   mṛdumṛṇālakāṇḍakaṇḍūyanakuṇḍalitakandhare dhutapatrarājivījitarājīvasarasi	mRdu-mRNAla-kANxa-kaNxUyana-kuNxalita-kanDare Duta-patra-rAji-vIjita-rAjIva-sarasi
   rājahaṃsayūthe, taṭalatākusumadhūlidhūsaritasariti	rAjahaMsa-yUTe, tawalatA-kusumaDUli-DUsarita-sariti
   siddhapurapurandhridhammillamallikāgandhagrāhiṇi sāyantane tanīyasi	sidDa-pura-puranDri-Dammilla-mallikA-ganDa-grAhiNi sAyantane tanIyasi
   niśāniśvāsanibhe nabhasvati,	niSA-niSvAsa-niBe naBasvati,
   saṃkocodañcaduccakesarakoṭisaṃkaṭakuśeśayakośakoṭarakuṭīśāyini	saMkoca-udaQcat-ucca-kesara-kowi-saMkawa-kuSeSaya-koSa-kowara-kuwI-SAyini
   ṣaṭcaraṇacakre, nṛtyoddhūtadhūrjaṭijaṭāṭavīkuṭajakuḍhmalanikaranibhe	zawcaraNa-cakre, nRtya-udDUta-DUrjawi-jawA-awavI-kuwaja-kuXmala-nikara-niBe
   nabhastalaṃ stabakayati tārāgaṇe, saṃdhyānubanvatāmre	naBastalam stabakayati tArA-gaNe, saMDyA-anubanva-tAmre
   pariṇamattālaphalatvaktviṣi kālameghamedure, medinīṃ mīlayati navavayasi	pariNamat-tAla-Pala-tvac-tvizi kAla-meGa-medure, medinIm mIlayati nava-vayasi
   tamasi taruṇataratimirapaṭalapāṭanapaṭīyasi sa,munmiṣati	tamasi taruNatara-timira-pawala-pAwana-pawIyasi sa,munmizati
   yāminīkāminīkarṇapūracampakakalikākadambake pradīpaprakare,	yAminI-kAminI-karNapUra-campaka-kalikA-kadambake pradIpa-prakare,
   pratanutuhinakiraṇakiraṇalāvaṇyālokapāṇḍunyāśyānanīlanīramuktakālindīkulabālapulināyamāne	pratanu-tuhina-kiraNa-kiraNa-lAvaNya-Aloka-pANxu-nyASyAna-nIla-nIra-mukta-kAlindI-kula-bAla-pulinAyamAne
   śātakratave kraśayati timiramāśāmukhe, samuci	SAtakratave kraSayati timiram-ASA-muKe, samuci
   mecakitavikacitakuvalayasarasi śaśadharakaranikarakacagrahāvile viloyamāne	mecakita-vikacita-kuvalaya-sarasi SaSaDara-kara-nikara-kaca-graha-Avile viloyamAne
   māninīmanasīva sarvarīśabdacikuracaye cāṣapakṣatviṣi tamasi, udite	mAninI-manasi-iva sarva-rI-Sabda-cikura-caye cAza-pakza-tvizi tamasi, udite
   bhagavatyudayagiriśikharakaṭakakuharaharikharanakharanivahahetini	Bagavati-udaya-giri-SiKara-kawaka-kuhara-hari-Kara-naKara-nivaha-hetini
   hatanijahariṇagalitaradhiraniyānicitamiva lohitaṃ	hata-nija-hariNa-galita-raDiH-aniyA-nicitam-iva lohitam
   vapurudayarāgadharamadharamiva vibhāvarīvadhvā dhārayati śvetabhānau,	vapuH-udaya-rAga-Daram-aDaram-iva viBAvarI-vaDvA DArayati Sveta-BAnO,
   acalacyutacandrakāntajaladhārādhauta iva dhvaste dhvānte,	acala-cyuta-candra-kAnta-jala-DArA-DOtaH iva Dvaste DvAnte,
   golokagalitadugdhavisaravāhini dantamayakaramukhamahāpraṇāla ivāpūrayituṃ	goloka-galita-dugDa-visara-vAhini danta-maya-kara-muKa-mahApraNAlaH iva-ApUrayitum
   prakṛte payodhimindumaṇḍale, spaṣṭe pradosamaye sāvitrī śūnyahṛdayāmiva	prakRte payoDim-indu-maNxale, spazwe pradosamaye sAvitrI SUnya-hRdayAm-iva
   kimapi dhyāyantīṃ sāsrāṃ sarasvatīmavādīt--"sakhi,	kim-api DyAyantIm sa-asrAm sarasvatIm-avAdIt--"-saKi,
   tribhuvanopadeśadānadakṣāyāstava puro jihvā jihreti me jalapantī /	triBuvana-upadeSa-dAna-dakzAyAH-tava puras jihvA jihrA-iti me jalapantI /
   jānāsyeva yādṛśyo visaṃsthulā guṇavatyapi jane durjanavannirdākṣiṇyāḥ	jAnAsi-eva yAdRSyaH visaMsTulA guNavatI-api jane durjana-vat-nirdAkziNyAH
   kṣaṇabhaṅginyo duratikramaṇīyā na ramaṇīyā daivasya vāmā vṛttayaḥ /	kzaNa-BaFginyaH duratikramaNIyAH na ramaNIyAH dEvasya vAmA vRttayaH /
   niṣkāraṇā ca nikārakaṇikāpi kaluṣayati manasvinoṣapi	nizkAraNA ca nikAra-kaNikA-api kaluzayati manasvinozapi
   mānasamasadṛśajanādāpatantī /	mAna-sam-asadRSa-janAt-ApatantI /
   anavaratanayanajalasicyamānaśca taruriva vipallavo 'pi sahasradhā	anavarata-nayana-jala-sicyamAnaH-ca taruH-iva vipallavaH api sahasraDA
   prarohati /	prarohati /
   atisukumāraṃ ca janaṃ saṃtāpaparamāṇavo mālatīkusumamiva mlānimānayanti /	ati-sukumAram ca janam saMtApa-paramANavaH mAlatI-kusumam-iva mlAnim-Anayanti /
   mahatāṃ copari tipatannaṇurapi sṛṇiriva kariṇāṃ kleśaḥ kadarthanāyālam /	mahatAm ca-upari tipatan=-aNuH-api sRNiH-iva kariNAm kleSaH kadarTanAya-alam /
   sahajasnehapāśagranthibandhanāśca bāndhavabhūtā dustayajā janmabhūmayaḥ /	sahaja-sneha-pASa-granTi-banDanAH-ca bAnDava-BUtAH dustaya-jAH janma-BUmayaH /
   dārayati dāruṇaḥ krakacpāta iva hṛdayaṃ saṃstutajanavirahaḥ, sā	dArayati dAruNaH krakacpAtaH iva hRdayam saMstuta-jana-virahaH, sA
   nārhasyevaṃ bhavitum /	na-arhasi-evam Bavitum /
   abhūmiḥ khalvasi duḥkhakṣveḍāṅkuraprasavānām /	aBUmiH Kalu-asi duHKa-kzvexa-aFkura-prasavAnAm /
   api ca purākṛte karmaṇi balavati śubhe 'śubhe vā phalakṛti	api ca purA-kRte karmaNi balavati SuBe aSuBe vA PalakRti
   tiṣṭhatyadhiṣṭhātari prarākṛte karmaṇi balavati śubhe 'śubhe vā phalakṛti	tizWati-aDizWAtari prarAkRte karmaNi balavati SuBe aSuBe vA PalakRti
   tiṣṭhatyadhiṣṭhātari praṣṭhe pṛṣṭhataśca ko 'vasaro viduṣi śucām /	tizWati-aDizWAtari prazWe pRzWatas-ca kaH avasaraH viduzi SucAm /
   idaṃ ca te tribhuvanamaṅgalaikakamalamamaṅgalabhūtāḥ kathamiva	idam ca te triBuvana-maFgala-eka-kamalam-amaFgala-BUtAH kaTam-iva
   mukhamapavitrayantyaśrubindavaḥ /	muKam-apavitrayanti-aSru-bindavaH /
   tadalam /	tat-alam /
   adhunā kathaya katamaṃ bhuvo bhāgamalaṅkartumicchisi /	aDunA kaTaya katamam BuvaH BAgam-alaFka-rtum-icCisi /
   sakminnavatitīrṣati te puṇyabhāji pradeśa hṛdayam /	sakmin=-avatitIrzati te puNya-BAji pradeSa hRdayam /
   kāni vā tīrthānyanugrahītumabhilaṣasi /	kAni vA tIrTAni-anugrahItum-aBilazasi /
   keṣu vā dhanyeṣu tapovanadhāmasu tapastantī rathātumicchasi /	kezu vA Danyezu tapaH-vana-DAmasu tapaH-tantI raTAtum-icCasi /
   sajjo 'yamupacaraṇacaturaḥ sahapāṃśukrīḍāparicayapeśalaḥ preyānsakhījanaḥ	sajjaH ayam-upacaraNa-caturaH saha-pAMSu-krIxA-paricaya-peSalaH preyAn-saKI-janaH
   kṣititalāvataraṇāya /	kziti-tala-avataraNAya /
   ananyaśaraṇā caidyaiva prabhṛti pratipadyasva manasā vācā kriyayā ca	ananya-SaraNA cEdya-eva praBRti pratipadyasva manasA vAcA kriyayA ca
   sarvavidyāvidhātāra dātāraṃ ca śvaḥśreyasasya	sarva-vidyA-viDAtAra dAtAram ca SvaHSreyasasya
   caraṇarajaḥpavitritatridaśāsuraṃ sudhāsūtikalikākalpitakarṇavataṃsaṃ	caraNa-rajaH-pavitrita-tridaSa-asuram suDA-sUti-kalikA-kalpita-karNa-vataMsam
   devadevaṃ tribhuvanaguruṃ tryambakam /	devadevam triBuvana-gurum tryambakam /
   alpīyasaiva kālena sa te śāpaśokaviratiṃ vitariṣyita' iti /	alpIyasA-eva kAlena sa te SApa-Soka-viratim vitarizyita-a iti /
   evamuktā muktamuktāphaladhavalalocanajalalavā sarasvatī	evam-uktA mukta-muktAPala-Davala-locana-jala-lavA sarasvatI
   pratyavādīt--"priyasakhi, tvayā saha vicarantyā na me kāñcidapi	pratyavAdIt--"-priya-saKi, tvayA saha vicarantyAH na me kAQcid-api
   pīṇāmutpādayiṣyati brahnalokavirahaḥ śāpaśoko vā /	pINAm-utpAdayizyati brahna-loka-virahaH SApa-SokaH vA /
   kevalaṃ kamlasanasevāsukhamārdrayati me hṛdayam /	kevalam kamlasana-sevA-suKam-Ardrayati me hRdayam /
   api ca tvameva vetsi me bhuvi dharmadhāmāni samādhisādhānāni yogayogyāni	api ca tvam-eva vetsi me Buvi Darma-DAmAni samADi-sADAnAni yoga-yogyAni
   ca sthānāni sthātum' ityevamabhidhāya virarāma /	ca sTAnAni sTAtum-a iti-evam-aBiDAya virarAma /
   raṇaraṇakopanītaprajāgarā cānimīlitalocanaiva tā niśāmanayat /	raNa-raNa-kopa-nIta-prajAgarA ca-animIlita-locanA-eva tAH niSAm-anayat /
   anyedyurudite bhagavati tribhuvanaśekhare	anyedyus-udite Bagavati triBuvana-SeKare
   khaṇakhaṇāyamānaskhalatkhalīnakṣatanijaturagamukhakṣiptena kṣatajeneva	KaNa-KaNAyamAna-sKalat-KalIna-kzata-nija-turaga-muKa-kziptena kzatajena-iva
   pāṭalitavapuṣyudayācalacūḍāmaṇau jaratkṛkavākucūḍāruṇāruṇapuraḥsare	pAwalita-vapuzi-udayA-acala-cUxAmaNO jarat-kRkavA-kucUxa-aruNa-aruNa-puraHsare
   virocate nātidūravartī vivicya pitāmahavimāna haṃsakulapālaḥ	virocate na-ati-dUra-vartI vivicya pitAmaha-vimAna haMsa-kulapAlaH
   paryaṭannaparavaktramuccairagāyat-- "taralayasi dṛśaṃ	paryawanna-para-vaktram-uccEs-agAyat- "taralayasi dRSam
   kimutsukāmakaluṣamānasavāsalālite /	kim-utsu-kAmakaluza-mAnasa-vAsa-lAlite /
   avatara kalahaṃsi vāpikāṃ punarapi yāsyasi paṅkajālayam' //	avatara kalahaMsi vApikAm punar-api yAsyasi paFkaja-Alayam-a //
   tacchrutvā sarasvatī punaracintayat-"ahamivānena paryanuyuktā /	tat-SrutvA sarasvatI punar-acintayat-"aham-iva-anena paryanuyuktA /
   bhavatu /	Bavatu /
   mānayāmi munervacanam' ityuktvotthāya kṛtamahītalāvataraṇasaṃkalpā	mAnayAmi muneH-vacanam-a iti-uktvA-utTAya kRta-mahI-tala-avataraNa-saMkalpA
   parityajya viyogaviklavaṃ svaparijanaṃ jñātivargamavigaṇayyāvagaṇā triḥ	parityajya viyoga-viklavam sva-parijanam jQAti-vargam-avigaNayya-avagaNA tris-
   pradakṣiṇīkṛtya caturmukhaṃ kathamapyanunayanivartitānuyāyivrativrātā	pradakziNIkRtya caturmuKam kaTam-api-anunaya-nivartita-anuyAyivrati-vrAtA
   brahnalokataḥ sāvitrīdvitīyā nirjagāma /	brahna-lokataH sAvitrI-dvitIyA nirjagAma /
   tataḥ krameṇa dhruvapravṛttāṃ	tatas krameNa Druva-pravRttAm
   dharmadhenumivādhodhāvamānadhavalapayodharām, uddhuradhvanim,	Darma-Denum-iva-aDoDa-avamAna-Davala-payoDarAm, udDura-Dvanim,
   andhakamathanamaulimālatīmālikām, ālīyamānabālakhilyaruddharodhasam,	anDaka-maTana-mOli-mAla-tI-mAli-kAm, AlIyamAna-bAla-Kilya-rudDa-roDa-sam,
   arundhatīdhautatāravatvacam tvaṅgattuṅgataraṅgatarattaralataratāratārakām,	arunDatI-DOta-tArava-tvacam tu-aFgat-tuFga-taraFga-tarat-taralatara-tAra-tAra-kAm,
   tāpasavitīrṇataralatilodakapulakitapulinām	tApasa-vitIrNa-tarala-tila-udaka-pulakita-pulinAm
   āplavanapūtapitāmahapātitapitṛpiṇḍapāṇḍuritapārām,	Aplavana-pUta-pitAmaha-pAtita-pitR-piNxa-pANxurita-pArAm,
   paryantasuptasaptarṣikuśaśayanasūcitasūryagrahasūtakopavāsām,	paryanta-supta-saptarzi-kuSa-Sayana-sUcita-sUrya-graha-sUtakopa-vAsAm,
   ācamanaśuciśacīpatimucyamānārcanakusumanikaraśārām,	Acamana-Suci-SacI-patim-ucyamAna-arcana-kusuma-nikara-SArAm,
   śivapurapatitanirmālyamandaradāmakām, anādaradāritamandaradarīdṛṣadam,	Siva-pura-patita-nirmAlya-mandara-dAma-kAm, anAdara-dArita-mandara-darI-dRzadam,
   anekanākanāyakanikāyakāminokucakalaśavilulitavigrahām,	aneka-nAka-nAyaka-nikAya-kAminokuca-kalaSa-vilulita-vigrahAm,
   grāhagrāvagrāmaskhalanamukharitasrotasam,	grAha-grAva-grAma-sKalana-muKarita-srota-sam,
   suṣumṇāsrutaśaśisudhāśīkarastabakatārakitatīrām,	suzumNA-sruta-SaSi-suDA-SIkara-stabaka-tArakitatIrAm,
   dhiṣaṇāgnikāryadhūmadhūsaritasaikatām,	DizaNA-agni-kArya-DUma-DU-sarita-sa-ekatAm,
   siddhaviracitavālukāliṅgalaṅghanatrāsavidrutavidyādharām, nirmokamuktimiva	sidDa-viracita-vAlukA-liFga-laFGana-trAsa-vidruta-vidyADarAm, nirmoka-muktim-iva
   gaganoragasya, līlālalāṭikāmivatriviṣṭapaviṭasya, vikrayavīthīmiva	gagana-uragasya, lIlA-lalAwikAm-iva-trivizwapa-viwasya, vikraya-vITIm-iva
   puṇyapaṇyasya, dattārgalāmiṃva narakanagaradvārasya,	puNya-paNyasya, datta-argalAm-iMva naraka-nagara-dvArasya,
   aṃśukoṣṇīṣapaṭṭikāmiva sumerunṛpasya, dugūlakadalikāmiva	aMSuka-uzNIza-pawwikAm-iva sumeru-nRpasya, dugUla-kadalikAm-iva
   kailāsakuñjarasya, paddhatimivāpavargasya, nemimiva kṛtayugasya	kElAsa-kuQjarasya, padDatim-iva-apavargasya, nemim-iva kRta-yugasya
   saptasāgrājamahiṣīṃ mandākinīmanusarantī martyalokamavatatāra /	saptasA-agrAja-mahizIm mandAkinIm-anusarantI martya-lokam-avatatAra /
   apaśyaccāmbaratalasthitaiva hāramiva varuṇasya, amṛtanirjharamiva	apaSyat-ca-ambara-tala-sTitA-eva hAram-iva varuNasya, amRta-nirJaram-iva
   candrācalasya, śaśimaṇiniṣyandamiva vindhyasya,	candrAcalasya, SaSi-maNi-nizyandam-iva vinDyasya,
   karpūradrumadravapravāhamiva daṇḍakāraṇyasya, lāvaṇyarasaprasravaṇamiva	karpUradruma-drava-pravAham-iva daNxaka-araNyasya, lAvaNya-rasa-prasravaNam-iva
   diśām, sphāṭikaśilāpaṭṭaśayanamivāmbaraśriyāḥ svacchaśiśirasurasavāripūṇaṃ	diSAm, sPAwika-SilA-pawwa-Sayanam-iva-ambara-SriyAH svacCa-SiSira-surasa-vAri-pUNam
   bhagavataḥ pitāmahasyāpatyaṃ hiraṇyavāhanāmānaṃ mahānadam, yaṃ janāḥ śoṇa	BagavataH pitAmahasya-apatyam hiraNya-vAha-nAmAnam mahA-nadam, yam janAH SoNa
   iti kathayanti /	iti kaTayanti /
   dṛṣṭvāca taṃ rāmaṇīyakahṛtadayā tasyaiva tīre vāsamaracayat /	dRzwvA-ca tam rAmaNIyaka-hRta-dayA tasya-eva tIre vAsam-aracayat /
   uvāca ca sāvitrī--"sakhi, madhuramayūravirutayaḥ	uvAca ca sAvitrI--"-saKi, maDura-mayUra-virutayaH
   kusumapāṃśupaṭalasikatilatarutalāḥ	kusuma-pAMSu-pawala-sikatila-taru-talAH
   parimalamattamadhupaveṇīvīṇāraṇitaramaṇīyā ramayanti māṃ	parimala-matta-maDupa-veNI-vINA-raNita-ramaNIyAH ramayanti mAm
   mandīkṛtamandākinīdyuterasya mahānadasyopakaṇṭhabhūmayaḥ /	mandIkRta-mandAkinI-dyuterasya mahA-nadasya-upakaNWa-BUmayaH /
   pakṣapāti ca hṛdayamatraiva sthātuṃ me' iti /	pakzapAti ca hRdayam-atra-eva sTAtum me-a iti /
   abhinanditavacanā ca tatheti tayā tasya paścime tīre samavātarat /	aBinandita-vacanA ca taTA-iti tayA tasya paScime tIre samavAtarat /
   ekasmiṃśca śucau śilātalasanāthe taṭalatāmaṇḍape gṛhabuddhiṃ babandha /	ekasmin=-ca SucO SilA-tala-sanATe tawa-latA-maNxape gRha-budDim babanDa /
   viśrāntā ca nāticirādutthāya sāvitryā sārdhaṃmuccitārcanakusumā sasnau /	viSrAntA ca na-aticirAt-utTAya sAvitryA sArDaMmuccita-arcana-kusumA sasnO /
   pulinapṛṣṭhapratiṣṭhitaśivaliṅgā ca bhaktyā paramayā parabrahnapuraḥsarāṃ	pulina-pRzWa-pratizWita-Siva-liFgA ca BaktyA paramayA para-brahna-puraHsarAm
   samyaṅmudrābandhavihitaparikarāṃ	samyak-mudrA-banDa-vihita-parikarAm
   dhruvāgītigarbhāmavanipavanavanagaganadahanatapanatuhinakiraṇayajamānamayīrmūrtiraṣṭāvapi	DruvA-gIti-garBAm-avani-pavana-vana-gagana-dahana-tapana-tuhina-kiraNa-yajamAna-mayIH-mUrtiH-azwO=-api
   dhyāyantī suciramaṣṭapuṣpikāmadāt /	DyAyantI su-ciram-azwa-puzpikA-madAt /
   ayatnopanatena phalamūlenāmṛtarasamamapyatiśiśayiṣamāṇena ca svādimnā	ayatna-upanatena Pala-mUlena-amRta-rasamam-api-ati-SiSayizamANena ca svAdimnA
   śiśireṇa śoṇavāriṇā śarīsthitimakarot /	SiSireNa SoNa-vAriNA SarI-sTitim-akarot /
   ativāhitadivasā ca tasmiṃllatāmaṇḍapaśilātale kalpitapallavaśayanā suṣvāpa	ativAhita-divasA ca tasmin=-latA-maNxapa-SilA-tale kalpita-pallava-SayanA suzvApa
   anyedyurapyanenaiva krameṇa naktandinamatyavāhayat /	anyedyus-api-anena-eva krameNa naktandinam-atyavAhayat /
   evamatikrāmatsu divaseṣu gacchati ca kāle yāmamātrodgate ca	evam-atikrAmatsu divasezu gacCati ca kAle yAma-mAtra-udgate ca
   ravāvuttarasyāṃ kakubhi pratiśabdapūritavanagahvaraṃ gambhīratārataraṃ	ravO=-uttarasyAm kakuBi prati-Sabda-pUrita-vana-gahvaram gamBIra-tAra-taram
   turaṅgaheṣitahlādamaśṛṇot /	turaFga-hezita-hlAdam-aSRNot /
   upajātakutūhalā ca nirgatya latāmaṇḍapādvilokayantī	upajAta-kutUhalA ca nirgatya latA-maNxapAt-vilokayantI
   vikacaketakīgarbhapatrapāṇḍuraṃ rajaḥsaṅghātaṃ nātidavīyasi	vikaca-ketakI-garBa-patra-pANxuram rajaH-saFGAtam na-ati-davIyasi
   saṃmukhamapitantamapaśyat /	saMmuKam-apitantam-apaSyat /
   krameṇa ca sāmīpyopajāyamānābhivyakti tasminmahati śapharodaradhūsare	krameNa ca sAmIpya-upajAyamAna-aBivyakti tasmin-mahati SaPara-udara-DUsare
   rajasi payasīva makaracakraṃ plavamānaṃ puraḥ pradhāvamānena,	rajasi payasi-iva makara-cakram plavamAnam puras praDAvamAnena,
   pralambakuṭilakacapallavaghaṭitalalāṭajajūṭakena,	pralamba-kuwila-kaca-pallava-Gawita-lalAwa-ja-jUwakena,
   dhavaladantapatrikādyutihasitakapolabhittinā,	Davala-dantapatrikA-dyuti-hasita-kapola-BittinA,
   pinaddhakṛṣṇāgurupaṅkakalkacchuraṇakṛṣṇaśabalakaṣāyakañcukena,	pinadDa-kRzNa-aguru-paFka-kalka=-CuraNa-kRzNa-Sabala-kazAya-kaQcukena,
   uttarīyakṛtaśiroveṣṭanena, vāmaprakoṣṭhaniviṣṭaspaṣṭahāṭakakaṭakena,	uttarIya-kRta-SiraH-vezwanena, vAma-prakozWa-nivizwa-spazwa-hAwaka-kawakena,
   dviguṇapaṭṭapaṭṭikāgāḍhagranthigrathitāsidhenunā,	dviguNa-pawwa-pawwikA-gAXa-granTi-graTita-asiDenunA,
   anavaratavyāyāmakṛtakarkaśaśarīre, vātahaṃriṇayūtheneva muhurmuhuḥ	anavarata-vyAyAma-kRta-karkaSa-SarIre, vAta-haMriNa-yUTena-iva muhur-muhur-
   khamuḍḍīyamānena, laṅghitasamaviṣamāvaṭaviṭapena, koṇadhāriṇā,	Kam-uxxIyamAnena, laFGita-sama-vizama-avawa-viwapena, koNa-DAriNA,
   kṛpāṇapāṇinā, sevāgṛhītavividhavanakusumaphalamūlaparṇena, "cala cala,	kRpANa-pANinA, sevA-gRhIta-viviDa-vana-kusuma-Pala-mUlaparNena, "cala cala,
   yāhi yāhi, apasarpāpasarpa, puraḥ prayaccha panthānam'	yAhi yAhi, apasarpa-apasarpa, puras prayacCa panTAnam-a
   ityanavaratakṛtakalakalena yuvaprāyeṇa, sahasramātreṇa padātijanena	iti-anavarata-kRta-kalakalena yuva-prAyeNa, sahasra-mAtreNa padAti-janena
   sanāthamaśvavṛndaṃ sadadarśa /	sa-nATam-aSva-vRndam sat-adarSa /
   madhye ca tasya sārdhacandreṇa muktāphalajālamālinā	maDye ca tasya sa-arDacandreNa muktAPala-jAla-mAlinA
   vividharatnakhaṇḍakhacitena śaṅkhakṣīraphenapāṇḍureṇa kṣīrodeneva svayaṃ	viviDa-ratna-KaNxa-Kacitena SaFKa-kzIra-Pena-pANxureNa kzIrodena-iva svayam
   lakṣmīṃ dātumāgatena gaganagatenātapatreṇa kṛtacchāyam,	lakzmIm dAtum-Agatena gagana-gatena-AtapatreNa kRta=-CAyam,
   acchācchenābharaṇadyutīnāṃ nivahena diśāmiva darśanānurāgalagnena	acCa-at-Sena-ABaraNa-dyutInAm nivahena diSAm-iva darSana-anurAga-lagnena
   cakravālenānugamyamānam, ānitambavilambinyā mālatīśekharasrajā	cakravAlena-anugamyamAnam, Anitamba-vilambinyA mAlati-ISeKara-srajA
   sakalabhuvanavijayārjitayā rūpapatākayeva virājamānam, utsarpibhiḥ	sakala-Buvana-vijaya-arjitayA rUpa-patAkayA-iva virAjamAnam, utsarpiBiH
   śikhaṇḍakhaṇḍikāpajharāgamaṇeraruṇairaṃśujālairadṛśyamānavanadevatāvidhṛtairbālapallavairiva	SiKaNxa-KaNxikA-apaJarAga-maNeH-aruNEH-aMSu-jAlEH-adRSyamAna-vana-devatA-viDRtEH-bAla-pallavEH-iva
   pramṛjyamānamārgareṇuparuṣavapuṣam,	pramRjyamAna-mArga-reNu-paruza-vapuzam,
   bakulakuḍmalamaṇḍalīmuṇḍamālāmaṇḍanamanohareṇa kuṭilakuntalastabakamālinā	bakula-kuxmala-maNxalI-muNxa-mAlA-maNxana-manohareNa kuwila-kuntala-stabaka-mAlinA
   maulinā mīlitātapaṃ pibantamiva divasam,	mOlinA mIlita-Atapam pibantam-iva divasam,
   paśupatijaṭāmukuṭamṛgāṅkadvitīyaśakalaghaṭitasyeva	paSupati-jawA-mukuwa-mRgAFka-dvitIya-Sakala-Gawitasya-iva
   sahajalakṣmīsamāliṅgitasya lalāṭapaṭṭasya manaḥśilāpaṅkapiṅgalena	sahaja-lakzmI-samAliFgitasya lalAwa-pawwasya manaHSilA-paFka-piFgalena
   lāvaṇyena limpantamivāntarikṣam,	lAvaNyena limpantam-iva-antarikzam,
   abhinavayauvanārambhāvaṣṭambhapragalbhadṛṣṭipātatṛṇīkṛtatribhuvanasya	aBinava-yOvana-AramBa-avazwamBa-pragalBa-dRzwi-pAta-tRNIkRta-triBuvanasya
   cakṣuṣaḥ prathimnā	cakzuzaH praTimnA
   vikacakumudakuvalayakamalasaraḥsahasrasachāditadaśadiśaṃ śaradamiva	vikaca-kumuda-kuvalaya-kamala-saraH-sahasra-sa-CAdita-daSa-diSam Saradam-iva
   pravartayantam, āyatanayananadīsīmāntasetubandhena	pravartayantam, Ayata-nayana-nadI-sImAnta-setu-banDena
   lalāṭataṭaśaśimaṇiśilātalagalitena āntisalilasrotaseva drāghīyasā	lalAwa-tawa-SaSi-maNi-SilA-tala-galitena Anti-salila-srotasA-iva drAGIyasA
   nāsāvaṃśena śobhamānam,	nAsA-=-aMSena SoBamAnam,
   atisurabhisahakārakarpūrakakkolalavaṅgapārijātakaparimalapucā	ati-suraBi-sahakAra-karpUra-kakkola-lavaFga-pArijAtaka-parimala-pucA
   mattamadhukarakulakolāhalamu khareṇa mukhena sanandanavanaṃ	matta-maDukara-kula-kolAhala-mu KareNa muKena sanandana-vanam
   vasantamivāvatārayantam,	vasantam-iva-avatArayantam,
   āsannasuhṛtparihāsabhāvanottānitamukhamugdhahasitairdaśanajyotsnāsnapitadiṅmukhaiḥ	Asanna-suhRd-parihAsa-BAvanA-uttAnita-muKa-mugDa-hasitEH-daSana-jyotsnA-snapita-diFmuKEH
   punaḥpunarnabhasi saṃcāriṇaṃ candrālokamiva kalpayantam,	punar-punar-naBasi saMcAriNam candrAlokam-iva kalpayantam,
   kadambamukulasthalamuktāphalayugalamadhyādhyāsitamarakatasya	kadamba-mukula-sTala-muktAPala-yugala-maDya-aDyAsitamarakatasya
   trikaṣṭakakarṇābharaṇasya preṅkhataḥ prabhayā samutsarpantyā	tri-kazwaka-karNa-ABaraNasya preFKataH praBayA samutsarpantyA
   kṛtasakusumaharitakundapallavakarṇāvataṃsamivopalakṣyamāṇam,	kRta-sa-kusuma-harita-kunda-pallava-karNa-avataMsam-iva-upalakzyamANam,
   āmoditamṛgamadapaṅkalikhitapatrabhaṅgabhāsvaram,	Amodita-mRga-mada-paFka-liKita-patra-BaFga-BAsvaram,
   bhujayugalamuddāmamakarākrāntaśikharamiva makaraketuketoḥ daṇḍadvayaṃ	Buja-yugalam-uddAma-makara-AkrAnta-SiKaram-iva makara-ketu-ketoH daNxa-dvayam
