   (PSP_6 8:1)	(PSu _6 8:1)
   'pravyāhāraḥ śūnyatānimittāpraṇihitābhijñānāṃ yaḥ svabhāvaḥ so 'pravyāhāro	apravyAhAraH SUnyatA nimitta apraNihita aBijQAnAm yaH svaBAvaH saH apravyAhAraH 
   daśānāṃ bodhisattvabhūmīnāṃ yaḥ svabhāvaḥ so 'pravyāhāraḥ,	daSAnAm boDisattva BUmInAm yaH svaBAvaH saH apravyAhAraH,
   daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmāṇāṃ yaḥ svabhāvaḥ so	daSa bala vESAradya pratisaMvid AveNika budDa DarmANAm yaH svaBAvaH saH 
   'pravyāhāraḥ, sarvākārajñatāyā yaḥ svabhāvaḥ so 'pravyāhāraḥ, ayaṃ subhūte	apravyAhAraH, sarva AkAra jQa tAyAH yaH svaBAvaH saH apravyAhAraH, ayam suBUte
   bodhisattvasya mahāsattvasya niyāmaḥ, niyāmam akrānto bodhisattvo	boDisattvasya mahAsattvasya niyAmaH, niyAmam akrAntaH boDisattvaH 
   mahāsattvaḥ samādhiparipūrṇo na samāpattivaśenopapadyate, prāg eva rāgaṃ	mahAsattvaH samADi paripUrNaH na samApatti vaSena upapadyate, prAk eva rAgam
   vā doṣaṃ vā mohaṃ votpādayed yatra sthitvā tat karmābhisaṃskuryād yena	vA dozam vA moham vA utpAdayet yatra sTitvA tat karma aBisaMskuryAt yena
   karmābhisaṃskāreṇa caturṇāṃ dhyānānām anyatamenopapadyeta nedaṃ sthānaṃ	karma aBisaMskAreNa caturNAm DyAnAnAm anyatamena upapadyeta na idam sTAnam
   vidyate 'nyatra māyopameṣu sthitvā sarvasattvānām arthaṃ karoti na ca	vidyate anyatra mAyA upamezu sTitvA sarva sattvAnAm arTam karoti na ca
   sattvānupalabhamānaḥ sattvāṃś ca paripācayati buddhakṣetraṃ ca	sattva an upalaBamAnaH sattvAn ca paripAcayati budDa kzetram ca
   pariśodhayati. evaṃ khalu subhūte bodhisattvo mahāsattvo dhyānapāramitāṃ	pariSoDayati. evam Kalu suBUte boDisattvaH mahAsattvaH DyAna pAramitAm
   paripūrya yāvad dharmacakraṃ pravartayati, yad	paripUrya yAvat Darma cakram pravartayati, yat 
   utānupalaṃbhaśūnyatānimittāpraṇihitacakram.	uta anupalaMBa SUnyatA nimitta apraNihita cakram.
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	punar aparam suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   svapnopamān dharmān parijānāti pratiśrutkopamān pratibhāsopamān	svapna upamAn DarmAn parijAnAti pratiSrutka upamAn pratiBAsA upamAn
   pratibiṃbopamān marīcyupamān māyopamān nirmitakopamān gandharvanagaropamān	pratibiMba upamAt marIci upamAn mAyA upamAn nirmitaka upamAn ganDarvanagara upamAn
   sarvadharmān parijānāti.	sarva DarmAn parijAnAti.
   ity alakṣaṇasarvadharmaikalakṣaṇābhisamayalakṣaṇo 'yam	iti alakzaNa sarva Darma eka lakzaNa aBisamaya lakzaNaH ayam
   ekacittakṣaṇābhisamayas tṛtīyaḥ	eka citta kzaNa aBisamayaH tRtIyaH
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: kathaṃ punar bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: kaTam punar Bagavan
   bodhisattvo mahāsattvaḥ svapnopamān sarvadharmān parijānāti?	boDisattvaH mahAsattvaH svapna upamAn sarva DarmAn parijAnAti?
   pratiśrutkopamān pratibhāsopamān pratibiṃbopamān marīcyupamān māyopamān	pratiSrutka upamAn pratiBAsA upamAn pratibiMba upamAn marIci upamAn mAyA upamAn
   nirmitakopamān gandharvanagaropamāṃś ca sarvadharmān parijānāti?	nirmitaka upamAn ganDarvanagara upamAn ca sarva DarmAn parijAnAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   na svapnaṃ na svapnadarśinaṃ paśyati, na pratiśrutkān na	na svapnam na svapna darSinam paSyati, na pratiSrutkAn na
   pratiśrutkādarśinaṃ, na pratibhāsaṃ na pratibhāsadarśinaṃ, na pratibiṃbaṃ	pratiSrutkA darSinan, na pratiBAsam na pratiBAsa darSi naM, na pratibiMbam
   na pratibiṃbadarśinaṃ, na marīciṃ na marīcidarśinaṃ, na māyāṃ na	na pratibiMba darSinaM, na marIcim na marIci darSinaM, na mAyAm na
   (PSP_6 8:39) māyādarśinaṃ, na nirmitakaṃ na nirmitakadarśinaṃ, na	(PSu _6 8:39) mAyA darSinan, na nirmitakam na nirmitaka darSinan, na
   gandharvanagaraṃ na gandharvanagaradarśinaṃ ca paśyati. tat kasya hetoḥ?	ganDarvanagaram na ganDarvanagara darSinam ca paSyati. tat kasya hetoH?
   tathā hi viparyāsaḥ svapno viparyāsaḥ, pratiśrutkā viparyāsaḥ pratibhāso	taTA hi viparyAsaH svapnaH viparyAsaH, pratiSrutkA viparyAsaH pratiBAsaH 
   viparyāsaḥ pratibiṃbaṃ viparyāso marīcir viparyāso māyā viparyāso	viparyAsaH pratibiMbam viparyAsaH marIciH viparyAsaH mAyA viparyAsaH 
   nirmitako viparyāso gandharvanagaraṃ viparyāsa eṣa bālapṛthagjanānāṃ punar	nirmitakaH viparyAsaH ganDarvanagaram viparyAsaH eza bAla pRTagjanAnAm punar 
   nāpi svapnadarśanaṃ nāpi svapnadarśī na pratiśrutkādarśanaṃ nāpi	na api svapna darSanam na api svapna darSI na pratiSrutkA darSanam na api
   pratiśrutkādarśī na pratibhāsadarśanaṃ nāpi pratibhāsaadarśī, na	pratiSrutka AdarSI na pratiBAsa darSanam na api pratiBAsaa darSI, na
   pratibiṃbadarśanaṃ nāpi pratibiṃbadarśī, na marīcidarśanaṃ na marīcidarśī,	pratibiMba darSanam na api pratibiMba darSI, na marIci darSanam na marIci darSI,
   na māyādarśanaṃ na māyādarśī, na nirmitakadarśanaṃ na nirmitakadarśī, na	na mAyA darSanam na mAyA darSI, na nirmitaka darSanam na nirmitaka darSI, na
   gandharvanagaradarśanaṃ na gandharvanagaradarśī, evaṃ yāvan nārhan na	ganDarvanagara darSanam na ganDarvanagara darSI, evam yAvat na arhan na
   pratyekabuddho na bodhisattvo mahāsattvo na tathāgato 'rhan	pratyekabudDaH na boDisattvaH mahAsattvaH na taTAgataH arhan
   samyaksaṃbuddhaḥ. tat kasya hetoḥ? tathā hy abhāvasvabhāvāḥ sarvadharmā	samyaksaMbudDaH. tat kasya hetoH? taTA hi aBAva svaBAvAH sarva DarmA
   anutpannā asadbhūtā ye 'bhāvasvabhāvāḥ sarvadharmās te pariniṣpannās tatra	anutpannAH asat BUtAH ye aBAva svaBAvAH sarva DarmAH te parinizpannAH tatra
   kiṃ bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran bhāvasaṃjñī bhaviṣyati	kim boDisattvaH mahAsattvaH prajQApAramitAyAm caran BAva saMjQI Bavizyati
   pariniṣpannasaṃjñī vāsadbhūtasaṃjñī vā nedaṃ sthānaṃ vidyate. tat kasya	parinizpanna saMjQI vAsadBUta saMjQI vA na idam sTAnam vidyate. tat kasya
   hetoḥ? na sā prajñāpāramitā syād yadi kasyacid dharmasya svabhāvo bhavet	hetoH? na sA prajQApAramitA syAt yadi kasyacid Darmasya svaBAvaH Bavet 
   pariniṣpattir vā sadbhūtatā vā, evaṃ caran bodhisattvo mahāsattvaḥ	parinizpattiH vA sat BUta tA vA, evam caran boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ na rūpe sajjati, na vedanāyāṃ na saṃjñāyāṃ na saṃskāreṣu	prajQApAramitAyAm na rUpe sajjati, na vedanAyAm na saMjQAyAm na saMskArezu
   na vijñāne sajjati, na skandhadhātvāyatanapratītyasamutpādeṣu sajjati, na	na vijQAne sajjati, na skanDa DAtu Ayatana pratItyasamutpAdezu sajjati, na
   pratītyasamutpādāṅgeṣu sajjati, na kāmadhātau na rūpadhātau nārūpyadhātau	pratItyasamutpAda aFgezu sajjati, na kAmaDAtO na rUpa DAtO na ArUpya DAtO
   sajjati, apramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukheṣu na	sajjati, apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKezu na
   sajjati, saptatriṃśadbodhipakṣyeṣu dharmeṣu na sajjati,	sajjati, saptatriMSat boDi pakzyezu Darmezu na sajjati,
   śūnyatānimittāpraṇihitasamādhau na sajjati, āryasatyeṣu na sajjati,	SUnyatA nimitta apraNihita samADO na sajjati, Arya satyezu na sajjati,
   dānapāramitāyāṃ na sajjati, śīlapāramitāyāṃ kṣāntipāramitāyāṃ	dAna pAramitAyAm na sajjati, SIla pAramitAyAm kzAnti pAramitAyAm
   vīryapāramitāyāṃ dhyānapāramitāyāṃ prajñāpāramitāyāṃ na sajjati. evaṃ	vIrya pAramitAyAm DyAna pAramitAyAm prajQApAramitAyAm na sajjati. evam
   khalu subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran prathamāṃ	Kalu suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran praTamAm
   bhūmiṃ paripūrayati, tatra cchandarāgaṃ notpādayati. tat kasya hetoḥ?	BUmim paripUrayati, tatra cCanda rAgam na utpAdayati. tat kasya hetoH?
   tathā hi tāṃ bhūmiṃ nopalabhate, tat kiṃ tatra cchandarāgaṃ kariṣyaty evaṃ	taTA hi tAm BUmim na upalaBate, tat kim tatra cCanda rAgam karizyati evam
   dvitīyāṃ bhūmiṃ tṛtīyāṃ bhūmiñ caturthāṃ bhūmiṃ pañcamīṃ bhūmiṃ	dvitIyAm BUmim tRtIyAm BUmin caturTAm BUmim paQcamIm BUmim
   (PSP_6 8:40) ṣaṣṭhīṃ bhūmiṃ saptamīṃ bhūmim aṣṭamīṃ bhūmiṃ navamīṃ bhūmiṃ	(PSu _6 8:40) zazWIm BUmim saptamIm BUmim azwamIm BUmim navamIm BUmim
   daśamīṃ bhūmiṃ paripūrayati, tatra cchandarāgaṃ notpādayati. tat kasya	daSamIm BUmim paripUrayati, tatra cCanda rAgam na utpAdayati. tat kasya
   hetoḥ? tathā hi sa tā bhūmīr nopalabhate, tat kin tatra chandarāgaṃ	hetoH? taTA hi sa tAH BUmIH na upalaBate, tat kin tatra Canda rAgam
   kariṣyati, evaṃ daśamyāṃ bhūmau caran sarvadharmāś ca tatra	karizyati, evam daSamyAm BUmO caran sarva DarmAH ca tatra
   prajñāpāramitāyām antargatān paśyati, tāṃś ca sarvadharmān nopalabhate.	prajQApAramitAyAm antargatAn paSyati, tAn ca sarva DarmAt na upalaBate.
   tat kasya hetoḥ? tathā hi te sarvadharmāḥ sā ca	tat kasya hetoH? taTA hi te sarva DarmAH sA ca
   prajñāpāramitādvayādvaidhīkārāḥ. tat kasya hetoḥ? tathā hi sarvadharmāṇāṃ	prajQApAramitA dvayAt vEDIkArAH. tat kasya hetoH? taTA hi sarva DarmANAm
   na kaścid bhedo 'sti dharmadhātunirdeśena tathatānirdeśena	na kaScid BedaH asti DarmaDAtu nirdeSena taTatA nirdeSena
   bhūtakoṭinirdeśenāsaṃbhinnāḥ sarvadharmāḥ.	BUta kowi nirdeSena asaMBinnAH sarva DarmAH.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavānn	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: yadi BagavAn n
   asaṃbhinnatā sarvadharmāṇāṃ tatra kathaṃ kuśaladharmanirdeśo bhavati	asaMBinna tA sarva DarmANAm tatra kaTam kuSala Darma nirdeSaH Bavati
   sāsravāṇām anāsravāṇāñ ca dharmāṇāṃ nirdeśo bhavati, laukikalokottarāṇāṃ	sa AsravANAm anAsravANAn ca DarmANAm nirdeSaH Bavati, lOkika loka uttarANAm
   vā saṃskṛtāsaṃskṛtānāṃ dharmāṇāṃ nirdeśo bhavati.	vA saMskRta AsaMskRtAnAm DarmANAm nirdeSaH Bavati.
   bhagavān āha: tat kiṃ manyase? subhūte yā dharmāṇāṃ dharmatā sā kasyacid	BagavAn Aha: tat kim manyase? suBUte yA DarmANAm DarmatA sA kasyacid 
   dharmasya pravyāhāraḥ saṃskṛtasya vāsaṃskṛtasya vā srotaāpattiphalasya vā	Darmasya pravyAhAraH saMskRtasya vAsaMskRtasya vA srotaApatti Palasya vA
   sakṛdāgāmiphalasya vānāgāmiphalasya vārhattvasya vā pratyekabodher vā	sakRdAgAmi Palasya vA anAgAmi Palasya vArhat tvasya vA pratyeka boDeH vA
   bodhisattvatāyā vā samyaksaṃbodher vā.	boDisattva tAyAH vA samyaksaMboDeH vA.
   subhūtir āha: no bhagavan.	suBUtiH Aha: naH Bagavan .
   bhagavān āha: tad anena subhūte paryāyeṇaivaṃ veditavyaṃ, asaṃbhinnāḥ	BagavAn Aha: tat anena suBUte paryAyeNa evam veditavyan, asaMBinnAH
   sarvadharmā alakṣaṇā anutpannā avinirbhogāḥ sarvadharmā na mayā subhūte	sarva DarmAH alakzaNAH anutpannAH avinirBogAH sarva DarmA na mayA suBUte
   sarvāṃ bodhisattvacaryāṃ caratā, kaścid dharmopalabdho rūpam iti vā	sarvAm boDisattva caryAm caratA, kaScid Darma upalabDaH rUpam iti vA
   vedaneti vā saṃjñeti vā saṃskārā iti vā vijñānam iti vā	vedanA iti vA saMjQA iti vA saMskArAH iti vA vijQAnam iti vA
   skandhadhātvāyatanānīti vā pratītyasamutpannā iti vā,	skanDa DAtu AyatanAni iti vA pratItyasamutpannAH iti vA,
   pratītyasamutpādāṅgānīti vā kāmadhātur vā rūpadhātur vārūpyadhātur vā,	pratItyasamutpAda aFgAni iti vA kAmaDAtuH vA rUpa DAtuH vA ArUpya DAtuH vA,
   kuśalākuśalā vā dharmāḥ sāsravā vānāsravā vā sāvadyā vānavadyā vā	kuSala akuSalAH vA DarmAH sa AsravAH vAnAsravAH vA sa avadyAH vA anavadyA vA
   saṃskṛtam iti vāsaṃskṛtam iti vā yāvac chrotaāpattiphalaṃ vā	saMskRtam iti vAsaMskRtam iti vA yAvat SrotaApatti Palam vA
   sakṛdāgāmiphalaṃ vānāgāmiphalaṃ vārhattvaṃ vā pratyekabodhir vā	sakRdAgAmi Palam vA anAgAmi Palam vArhat tvam vA pratyeka boDiH vA
   bodhisattvatā vā samyaksaṃbodhir vā. evaṃ khalu subhūte bodhisattvo	boDisattva tA vA samyaksaMboDiH vA. evam Kalu suBUte boDisattvaH 
   mahāsattvaḥ prajñāpāramitāyāṃ carati prathamacittotpādam upādāya yāvad	mahAsattvaH prajQApAramitAyAm carati praTama citta utpAdam upAdAya yAvat 
   anuttarāṃ samyaksaṃbodhim abhisaṃbotsyate 'nupalaṃbhayogena, evaṃ caratā	anuttarAm samyaksaMboDim aBisaMbotsyate anupalaMBa yogena, evam caratA
   (PSP_6 8:41) subhūte bodhisattvena mahāsattvena sarvadharmāṇāṃ svabhāve	(PSu _6 8:41) suBUte boDisattvena mahAsattvena sarva DarmANAm svaBAve
   kuśalena bhavitavyaṃ, sarvadharmāṇāṃ svabhāvakuśalo bodhimārgañ ca	kuSalena BavitavyaM, sarva DarmANAm svaBAva kuSalaH boDimArgan ca
   pariśodhayiṣyati, sattvāṃś ca paripācayiṣyati, buddhakṣetraṃ ca	pariSoDayizyati, sattvAn ca paripAcayizyati, budDa kzetram ca
   pariśodhayiṣyati, yatra sthitvānuttarāṃ samyaksaṃbodhim abhisaṃbudhya	pariSoDayizyati, yatra sTitvA anuttarAm samyaksaMboDim aBisaMbuDya
   sattvān vinayiṣyati, ye vinītatvās triṣu bhaveṣu na dṛśyante, evaṃ khalu	sattvAn vinayizyati, ye vinIta tvAH trizu Bavezu na dRSyante, evam Kalu
   subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ śikṣitavyam	suBUte boDisattvena mahAsattvena prajQApAramitAyAm Sikzitavyam
   alakṣaṇayogena.	alakzaNa yogena.
   ity advayalakṣaṇasarvadharmaikalakṣaṇābhisamayalakṣaṇo 'yam	iti advaya lakzaNa sarva Darma eka lakzaNa aBisamaya lakzaNaH ayam
   ekacittakṣaṇābhisamayaś caturthaḥ	eka citta kzaNa aBisamayaH caturTaH
   ity ukta ekakṣaṇābhisamayaḥ	iti uktaH eka kzaNa aBisamayaH
   āryapañcaviṃśatisāhasrikāyāṃ bhagavatyāṃ prajñāpāramitāyām	Arya paQcaviMSati sAhasrikAyAm BagavatyAm prajQApAramitAyAm
   abhisamayālaṃkārānusāreṇa saṃśodhitāyām ekakṣaṇābhisamayādhikāraḥ	aBisamaya alaMkAra anusAreNa saMSoDitAyAm eka kzaNa aBisamaya aDikAraH
   śikṣāparisamāptiparivartaḥ saptamaḥ	SikzA parisamApti parivartaH saptamaH
   (PSP_6 8:42): empty	(PSu _6 8:42): empty
   (PSP_6 8:43)	(PSu _6 8:43)
   pañcaviṃśatisāhasrikā prajñāpāramitā VIII	paQcaviMSati sAhasrikA prajQApAramitA VIII
   punar aparaṃ subhūte teṣām eva svapnopamānāṃ sarvadharmāṇām avastukānām	punar aparam suBUte tezAm eva svapna upamAnAm sarva DarmANAm avastukAnAm
   abhāvasvabhāvānāṃ svalakṣaṇaśūnyānāṃ sarvākārapariśuddhānām anāśravāṇāṃ yā	aBAva svaBAvAnAm sva lakzaNa SUnyAnAm sarva AkAra pariSudDAnAm anASravANAm yA
   prakṛtir ekalakṣaṇā yad utālakṣaṇā sa tathāgato 'rhan samyaksaṃbuddho	prakRtiH eka lakzaNA yat uta alakzaNA sa taTAgataH arhan samyaksaMbudDaH 
   veditavyaḥ. evaṃ khalu subhūte bodhisattvena mahāsattvena	veditavyaH. evam Kalu suBUte boDisattvena mahAsattvena
   prajñāpāramitāyāṃ śikṣitavyam.	prajQApAramitAyAm Sikzitavyam.
   subhūtir āha: katame punas te bhagavann anāsravāḥ sarvadharmāḥ.	suBUtiH Aha: katame punar te Bagavan anAsravAH sarva DarmAH.
   bhagavān āha: saptatriṃśad bodhipakṣyā dharmāś catvāry apramāṇāny aṣṭau	BagavAn Aha: saptatriMSat boDi pakzyAH DarmAH catvAri apramANAni azwO
   vimokṣā navānupūrvavihārasamāpattayo daśa kṛtsnāyatanāni aṣṭāv	vimokzAH nava anupUrva vihAra samApattayaH daSa kRtsnA AyatanAni azwO= 
   abhinnāyatanāni araṇasamādhiḥ praṇidhijñānam ṣaḍ abhijñāś catasraḥ	aBinna AyatanAni araNa samADiH praNiDi jQAnam zaw aBijQAH catasraH
   pratisaṃvidaḥ sarvākārāś catasraḥ pariśuddhayo daśa pāramiā daśabalāni	pratisaMvidaH sarva AkArAH catasraH pariSudDayaH daSa pAramiA daSa balAni
   catvāri vaiśāradyāni trīṇy akṣarāṇi trīṇi smṛtyupasthānāni	catvAri vESAradyAni trINi akzarANi trINi smRti upasTAnAni
   asaṃpramoṣadharmatā vāsanāsamudghāto mahākaruṇā sarvākārajñatā	asaMpramoza Darma tA vAsanA samudGAtaH mahA karuNA sarva AkAra jQa tA
   mārgākārajñatā sarvajñatā ca ime ucyante subhūte anāsravāḥ sarvadharmā	mArga AkAra jQa tA sarvajQa tA ca ime ucyante suBUte anAsravAH sarva DarmA
   iti. evaṃ khalu subhūte bodhisattvena mahāsattvena prajñāpāramitāyāip	iti. evam Kalu suBUte boDisattvena mahAsattvena prajQApAramitAyAi p
   śikṣitavyam.	Sikzitavyam.
   iti svabhāvikaḥ kāyaḥ	iti sva BAvikaH kAyaH
   punar aparaṃ subhūte prajñāpāramitāyāṃ śikṣitvā teṣām eva dharmāṇām	punar aparam suBUte prajQApAramitAyAm SikzitvA tezAm eva DarmANAm
   adhigamād anuttarāṃ samyaksaṃbodhim abhisaṃbuddhya sarveṇa sarvaṃ sarvathā	aDigamAt anuttarAm samyaksaMboDim aBisaMbudDya sarveNa sarvam sarvaTA
   sarvaṃ dvātriṃśanmahāpuruṣalakṣaṇair aśītyā cānuvyañjanair alaṃkṛtakāyas	sarvam dvAtriMSat mahApuruza lakzaNEH aSItyA ca anuvyaQjanEH alaMkRta kAya s
   tathāgato 'rhan samyaksaṃbuddho bodhisattvānāṃ mahāsattvānāṃ paramaṃ	taTAgataH arhan samyaksaMbudDaH boDisattvAnAm mahAsattvAnAm paramam
   mahāyānadharmam anuttararatiprītiprāmodyasukhopabhogāya deśayati. evaṃ	mahAyAna Darmam anuttara rati prIti prAmodya suKa upaBogAya deSayati. evam
   khalu subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ śikṣitavyam.	Kalu suBUte boDisattvena mahAsattvena prajQApAramitAyAm Sikzitavyam.
   iti sāṃbhogikaḥ kāyaḥ	iti sAMBogikaH kAyaH
   punar aparaṃ subhūte prajñāpāramitāyāṃ śikṣitvā teṣām eva sarvadharmāṇām	punar aparam suBUte prajQApAramitAyAm SikzitvA tezAm eva sarva DarmANAm
   avigamenānuttarāṃ samyaksaṃbodhim abhisaṃbuddhya tathāgato 'rhan	avigamena anuttarAm samyaksaMboDim aBisaMbudDya taTAgataH arhan
   samyaksaṃbuddho daśasu dikṣv anantāparyanteṣu sarvalokadhatuṣu	samyaksaMbudDaH daSasu dikzu ananta aparyantezu sarva lokaDatuzu
   (PSP_6 8:44) sarvakālan nānānirmāṇameghena sarvasattvānām arthaṃ karoti.	(PSu _6 8:44) sarvakAlan nAnA nirmANa meGena sarva sattvAnAm arTam karoti.
   evaṃ khalu subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ	evam Kalu suBUte boDisattvena mahAsattvena prajQApAramitAyAm
   śikṣitavyam.	Sikzitavyam.
   iti nairmāṇikaḥ kāyaḥ	iti nErmANikaH kAyaH
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: kaTam Bagavan
   svapnopamānāṃ sarvadharmāṇām avastukānām abhāvasvabhāvānāṃ	svapna upamAnAm sarva DarmANAm avastukAnAm aBAva svaBAvAnAm
   svalakṣaṇaśūnyānāṃ vyavasthānaṃ bhavati, ime kuśalā ime 'kuśalā ime	sva lakzaNa SUnyAnAm vyavasTAnam Bavati, ime kuSalAH ime akuSalAH ime
   laukikā ime lokottarā ime sāsravā ime 'nāsravā ime saṃskṛtā ime 'saṃskṛtā	lOkikAH ime loka uttarAH ime sa AsravAH ime anAsravAH ime saMskRtAH ime asaMskRtA
   ime srotraāpattiphalasākṣātkriyāyai saṃvartante, ime	ime srotraA patti Pala sAkzAt kriyAyE saMvartante, ime
   sakṛdāgāmiphalasākṣātkriyāyai saṃvartante, ime 'nāgāmiphalasākṣātkriyāyai	sakRdAgAmi Pala sAkzAt kriyAyE saMvartante, ime anAgAmi Pala sAkzAt kriyAyE
   saṃvartante, ime 'rhattvaphalasākṣātkriyāyai saṃvartante, ime	saMvartante, ime arhat tva Pala sAkzAt kriyAyE saMvartante, ime
   pratyekabodhaye saṃvartante, ime 'nuttarāyai samyaksaṃbodhaye saṃvartante,	pratyeka boDaye saMvartante, ime anuttarAyE samyaksaMboDaye saMvartante,
   pratiśrutkopamānāṃ pratibhāsopamānāṃ pratibiṃbopamānāṃ marīcyupamānāṃ	pratiSrutka upamAnAm pratiBAsA upamAnAm pratibiMba upamAnAm marIci upamAnAm
   māyopamānāṃ nirmitakopamānāṃ gandharvanagaropamānāṃ sarvadharmāṇām	mAyA upamAnAm nirmitaka upamAnAm ganDarvanagara upamAnAm sarva DarmANAm
   avastukānām abhāvasvabhāvānāṃ svalakṣaṇaśūnyānāṃ vyavasthānam ime kuśalā	avastukAnAm aBAva svaBAvAnAm sva lakzaNa SUnyAnAm vyavasTAnam ime kuSalA
   ime 'kuśalā ime laukikā ime lokottarā ime sāsravā ime 'nāsravā ime	ime akuSalAH ime lOkikAH ime loka uttarAH ime sa AsravAH ime anAsravAH ime
   saṃskṛtā ime 'saṃskṛtā ime srotaāpattiphalasākṣātkriyāyai saṃvartante, ime	saMskRtAH ime asaMskRtAH ime srotaApatti Pala sAkzAt kriyAyE saMvartante, ime
   sakṛdāgāmiphalasākṣātkriyāyai saṃvartante, ime 'nāgāmiphalasākṣātkriyāyai	sakRdAgAmi Pala sAkzAt kriyAyE saMvartante, ime anAgAmi Pala sAkzAt kriyAyE
   saṃvartante, ime 'rhattvaphalasākṣātkriyāyai saṃvartante, ime	saMvartante, ime arhat tva Pala sAkzAt kriyAyE saMvartante, ime
   pratyekabodhaye saṃvartante, ime 'nuttarāyai samyaksaṃbodhaye saṃvartante?	pratyeka boDaye saMvartante, ime anuttarAyE samyaksaMboDaye saMvartante?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: iha subhūte bālo	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: iha suBUte bAlaH 
   'śrutavān pṛthagjanaḥ svapnam upalabhate svapnadarśinam upalabhate,	aSrutavAn pRTagjanaH svapnam upalaBate svapna darSinam upalaBate,
   pratiśrutkām upalabhate pratiśrutkādarśinam upalabhate, pratibhāsam	pratiSrutkAm upalaBate pratiSrutka AdarSinam upalaBate, pratiBAsam
   upalabhate pratibhāsadarśinam upalabhate, pratibiṃbam upalabhate	upalaBate pratiBAsa darSinam upalaBate, pratibiMbam upalaBate
   pratibiṃbadarśinam upalabhate, marīcim upalabhate marīcidarśinam	pratibiMba darSinam upalaBate, marIcim upalaBate marIci darSinam
   upalabhate, māyām upalabhate māyādarśinam upalabhate, nirmitakam	upalaBate, mAyAm upalaBate mAyA darSinam upalaBate, nirmitakam
   upalabhate nirmitakadarśinam upalabhate, gandharvanagaram upalabhate	upalaBate nirmitaka darSinam upalaBate, ganDarvanagaram upalaBate
   gandharvanagaradarśinam upalabhate, svapnam upalabhya svapnadarśinam	ganDarvanagara darSinam upalaBate, svapnam upalaBya svapna darSinam
   upalabhya, yāvad gandharvanagaram upalabhya gandharvanagaradarśinam	upalaBya, yAvat ganDarvanagaram upalaBya ganDarvanagara darSinam
   (PSP_6 8:45) upalabhya, kuśalān abhisaṃskārān abhisaṃskaroti, kāyena vācā	(PSu _6 8:45) upalaBya, kuSalAn aBisaMskArAn aBisaMskaroti, kAyena vAcA
   manasākuśalān vābhisaṃskārān abhisaṃskaroti, kāyena vācā manasā	manasA akuSalAn vA aBisaMskArAn aBisaMskaroti, kAyena vAcA manasA
   puṇyāpuṇyāneñjyān abhisaṃskārān abhisaṃskaroti. kāyena vācā manasā tān	puNya apuNyAn eQjyAn aBisaMskArAn aBisaMskaroti. kAyena vAcA manasA tAn
   bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran dvayoḥ śūnyatayoḥ	boDisattvaH mahAsattvaH prajQApAramitAyAm caran dvayoH SUnyatayoH
   sthitvātyantaśunyatāyām anavarāgraśūnyatāyāñ ca sattvānāṃ dharman	sTitvA atyanta SunyatAyAm anavara agra SUnyatAyAn ca sattvAnAm Darman
   deśayati, śūnyam idaṃ traidhātukaṃ nāsty atra rūpaṃ vā vedanā vā saṃjñā vā	deSayati, SUnyam idam trEDAtukam na asti atra rUpam vA vedanA vA saMjQA vA
   saṃskārā vā vijñānaṃ vā skandhā vā dhātavo vāyatanāni vā pratiśrutkaiṣā	saMskArAH vA vijQAnam vA skanDAH vA DAtavaH vA AyatanAni vA pratiSrutkA ezA
   pratibhāsa eṣa marīcir eṣā nirmitaka eṣa gandharvanagaram etan nāsty atra	pratiBAsaH eza marIciH ezA nirmitakaH eza ganDarvanagaram etat na asti atra
   rūpaṃ vā vedanā vā saṃjñā vā saṃskārā vā vijñānaṃ vā skandhadhātavo	rUpam vA vedanA vA saMjQA vA saMskArAH vA vijQAnam vA skanDa DAtavaH 
