   PADA MARKERS	PADAH MARKERS
   bhaṇḍī śukadruḥ plavaṃgaḥ $ śirīṣo mṛdupuṣpakaḥ &	BaNxI SukadruH plavaMgaH $ SirIzaH mRdupuzpakaH &
   kapilā śiṃśapā kṛṣṇa- % sāro maṇḍalapattrakaḥ // VAnigh_84 //	kapilA SiMSapA kRzNa % sAraH maNxalapattrakaH // Va-aniG_84 //
   bastāntrī meṣaśṛṅgī ca $ cakṣuṣyā bahulāṅgikā &	bastAntrI mezaSRFgI ca $ cakzuzyA bahula-AFgikA &
   kāleyakaṃ pītasāraṃ % tṛtīyaṃ varṇakṛddhimam // VAnigh_85 //	kAleyakam pItasAram % tRtIyam varNa-kRt-himam // Va-aniG_85 //
   tāḍas tālo dīrghatarus $ tṛṇarājas tribījakaḥ &	tAxaH tAlaH dIrGataruH $ tRNarAjaH tribIjakaH &
   palāśaḥ kiṃśuko vāta- % rodho brahmataruḥ paṭuḥ // VAnigh_86 //	palASaH kiMSukaH vAta % roDaH brahmataruH pawuH // Va-aniG_86 //
   joṅgakaḥ śītaśamano $ lohanāmāgaruḥ smṛtaḥ &	joFgakaH SIta-SamanaH $ loha-nAmA-agaruH smRtaH &
   sajahviḥ śrīkaraḥ śālo % raso niryāsarālakau // VAnigh_87 //	sajahviH SrIkaraH SAlaH % rasaH niryAsa-rAlakO // Va-aniG_87 //
   dhavo dṛḍhatarur gauraḥ $ śakaṭākṣo marūdbhavaḥ &	DavaH dRXataruH gOraH $ SakawAkzaH marUdBavaH &
   kramukaṃ kaivukaṃ pūgaṃ % kaṣāyaṃ madhur āhvayam // VAnigh_88 //	kramukam kEvukam pUgam % kazAyam maDuH Ahvayam // Va-aniG_88 //
   śvetaghnaḥ śītaśamanaḥ $ bastakarṇo 'jakarṇakaḥ &	SvetaGnaH SIta-SamanaH $ bastakarNaH ajakarNakaH &
   śasyasaṃvaraṇaḥ śūraḥ % kuśikaś cāśvakarṇakaḥ // VAnigh_89 //	Sasya-saMvaraNaH SUraH % kuSikaH ca-aSvakarNakaH // Va-aniG_89 //
   varuṇasairyakayugmaśatāvarī- $ dahanamoraṭabilvaviṣāṇikāḥ &	varuNa-sEryaka-yugma-SatAvarI $ dahana-morawa-bilva-vizANikAH &
   dvibṛhatīdvikarañjajayādvayaṃ % bahalapallavadarbharujākarāḥ // VAnigh_90	dvi-bRhatI-dvi-karaQja-jayA-dvayam % bahala-pallava-darBa-rujA-karAH // VAniG_90
   varuṇādiḥ kaphaṃ medo $ mandāgnitvaṃ niyacchati &	varuNa-AdiH kaPam medaH $ manda-agni-tvam niyacCati &
   āḍhyavātaṃ śiraḥśūlaṃ % gulmaṃ cāntaḥ savidradhim // VAnigh_91 //	AXyavAtam SiraH-SUlam % gulmam ca-antar sa-vidraDim // Va-aniG_91 //
   varuṇādau śvetapuṣpo $ varuṇo varaṇaḥ smṛtaḥ &	varuNa-AdO SvetapuzpaH $ varuNaH varaNaH smRtaH &
   śaṭālavṛkṣo bilvo 'strī % pūtivāto mahāphalaḥ // VAnigh_92 //	SawAlavRkzaH bilvaH astrI % pUtivAtaH mahA-PalaH // Va-aniG_92 //
   mālūraḥ śrīphalaḥ śaivaḥ $ śāṇḍilyaḥ śrīnivāsakaḥ &	mAlUraH SrIPalaH SEvaH $ SANxilyaH SrInivAsakaH &
   mahākālyajaśṛṅgī ca % kūrcaparṇī viṣāṇikā // VAnigh_93 //	mahAkAlI-ajaSRFgI ca % kUrcaparNI vizANikAH // Va-aniG_93 //
   jayāgnimantho 'raṇikā $ takkārī vaijayantikā &	jaya-agnimanTaH araNikA $ takkArI vEjayantikA &
   śigruḥ śobhāñjanas tīkṣṇa- % gandho bahalapallavaḥ // VAnigh_94 //	SigruH SoBAQjanaH tIkzNa % ganDaH bahala-pallavaH // Va-aniG_94 //
   muraṅgī śigruko rakta- $ puṣpo madhuraśigrukaḥ &	muraFgI SigrukaH rakta $ puzpaH maDura-SigrukaH &
   tṛtīyo madhuraḥ siṃśa- % kesaro madhuśigrukaḥ // VAnigh_95 //	tRtIyaH maDuraH siMSa % kesaraH maDuSigrukaH // Va-aniG_95 //
   sitaṃ tīkṣṇaṃ śigrubījaṃ $ śvetāṅgaṃ maricāhvayam &	sitam tIkzNam Sigru-bIjam $ Sveta-aFgam marica-Ahvayam &
   darbhaḥ kuśo lavaḥ sthūlaḥ % sūkṣmo vedapavitrakaḥ // VAnigh_96 //	darBaH kuSaH lavaH sTUlaH % sUkzmaH veda-pavitrakaH // Va-aniG_96 //
   rujākaras tv ārtagalo $ huṃkāro bhīṣaṇāhvayaḥ &	rujAkaraH tu Arta-galaH $ huMkAraH BIzaNa-AhvayaH &
   jālavṛkṣo duṣpradharṣaḥ % svādutiktaphalaḥ smṛtaḥ // VAnigh_97 //	jAlavRkzaH duzpraDarzaH % svAdu-tikta-PalaH smRtaH // Va-aniG_97 //
   ūṣakas tutthakaṃ hiṅgu $ kāsīsadvayasaindhavam &	UzakaH tutTakam hiFgu $ kAsIsa-dvaya-sEnDavam &
   saśilājatu kṛcchrāśma- % gulmamedaḥkaphāpaham // VAnigh_98 //	sa-SilAjatu kRcCra-aSma % gulma-medaH-kaPa-apaham // Va-aniG_98 //
   ūṣakādau tu vṛṣako $ vūṣako rucakāhvayaḥ &	Uzaka-AdO tu vRzakaH $ vUzakaH rucaka-AhvayaH &
   ūṣo niḥsārakaḥ siṃho % mūtravṛddhikaraḥ smṛtaḥ // VAnigh_99 //	UzaH niHsArakaH siMhaH % mUtra-vRdDi-karaH smRtaH // Va-aniG_99 //
   kaṭhinaṃ tutthakaṃ dvedhā $ karparaṃ barhikaṇṭakam &	kaWinam tutTakam dveDA $ karparam barhikaNwakam &
   jantughnaṃ jaraṇaṃ hiṅgu % rāmaṭhaṃ bhūtanāśanam // VAnigh_100 //	jantu-Gnam jaraNam hiFgu % rAmaWam BUta-nASanam // Va-aniG_100 //
   kāsīsaṃ pāṃśudhāvākhyaṃ $ dvitīyaṃ puṣpasaṃjñakam &	kAsIsam pAMSuDAva-AKyam $ dvitIyam puzpa-saMjQakam &
   saindhavaṃ māṇimanthaṃ ca % nādeyaṃ lavaṇottamam // VAnigh_101 //	sEnDavam mANimanTam ca % nAdeyam lavaNottamam // Va-aniG_101 //
   śilājaṃ dhātujaṃ jñeyaṃ $ mandarotthaṃ śilājatu &	SilAjam DAtu-jam jQeyam $ mandara-utTam SilAjatu &
   pārvataṃ śailaniryāsaḥ % girijaṃ ca śilāhvayam // VAnigh_102 //	pArvatam SElaniryAsaH % girijam ca SilAhvayam // Va-aniG_102 //
   vellantarāraṇikabūkavṛṣāśmabheda- $ gokaṇṭakotkaṭasahācarabāṇakāśāḥ &	vellantara-AraNika-bUka-vRza-aSma-Beda $ gokaNwaka-utkawa-sahAcara-bANa-kASAH &
   vṛkṣādanīnalakuśādvayaguṇṭhagundrā- % bhallūkamoraṭakuraṇṭakarambhapārthāḥ	vRkzAdanI-nala-kuSA-dvaya-guNWa-gundrA % BallUka-morawa-kuraNwa-ka-ramBa-pArTAH
   // VAnigh_103 //	// Va-aniG_103 //
   vargo vīratarādyo 'yaṃ $ hanti vātakṛtān gadān &	vargaH vIratarAdyaH ayam $ hanti vAta-kRtAn gadAn &
   aśmarīśarkarāmūtra- % kṛcchrāghātarujāharaḥ // VAnigh_104 //	aSmarI-SarkarA-mUtra % kRcCra-AGAta-rujA-haraH // Va-aniG_104 //
   vellantaro vīratarur $ gaṇe vīratarādike &	vellantaraH vIrataruH $ gaNe vIratarAdike &
   vasukaḥ sthūlapuṣpaś ca % bukaś ceśvaramallikā // VAnigh_105 //	vasukaH sTUlapuzpaH ca % bukaH ca-ISvara-mallikA // Va-aniG_105 //
   siṃhāsyaḥ karkaṭaś caiva $ vṛṣakaś cāṭarūṣakaḥ &	siMhAsyaH karkawaH ca-eva $ vRzakaH ca-AwarUzakaH &
   veṇupatrī vṛṣā pārvī % parvaṇī vaṃśapatrikā // VAnigh_106 //	veNupatrI vRzA pArvI % parvaNI vaMSapatrikA // Va-aniG_106 //
   aśmabhedī śilābhedī $ jñeyā pāṣāṇabhedikā &	aSmaBedI SilABedI $ jQeyA pAzANaBedikA &
   utkaṭā sūkṣmapatrā ca % dīrghalohitayaṣṭikā // VAnigh_107 //	utkawA sUkzma-patrA ca % dIrGa-lohita-yazwikAH // Va-aniG_107 //
   śarekṣukusumau bāṇaḥ $ sa kāṇḍekṣunibhāṅghrikaḥ &	Sara-ikzu-kusumO bANaH $ sa kANxa-ikzu-niBa-aFGrikaH &
   śvetacāmarakaḥ kāśo % gundrā syād gucchapuṣpikā // VAnigh_108 //	Sveta-cAmarakaH kASaH % gundrA syAt gucCapuzpikAH // Va-aniG_108 //
   vṛkṣādanī tu śikharo $ vandākaḥ kāmavṛkṣakaḥ &	vRkzAdanI tu SiKaraH $ vandAkaH kAmavRkzakaH &
   mṛdupuṣpo 'tha suṣiro % nadīstho nalako nalaḥ // VAnigh_109 //	mRdupuzpaH aTa suziraH % nadI-sTaH nalakaH nalaH // Va-aniG_109 //
   guṇṭho vṛttatṛṇaḥ śuṇṭhaḥ $ śṛṅgaverābhamūlakaḥ &	guNWaH vRttatRNaH SuNWaH $ SRFgavera-ABa-mUlakaH &
   bhallūko bhūtavṛkṣaś ca % śyonākaś caiva ṭuṇṭukaḥ // VAnigh_110 //	BallUkaH BUtavRkzaH ca % SyonAkaH ca-eva wuNwukaH // Va-aniG_110 //
   śrīhastinī kuraṭakā $ picukaḥ śitivārakaḥ &	SrI-hastinI kurawakAH $ picukaH SitivArakaH &
   kṛṣṇasūkṣmaphalā yukta- % puṣpā mastakamañjarī // VAnigh_111 //	kRzNa-sUkzmaPalA yukta % puzpA mastaka-maQjarI // Va-aniG_111 //
   karambhaḥ karkaśo yugma- $ phalā cottamakanyakā &	karamBaH karkaSaH yugma $ PalA ca-uttama-kanyakA &
   kapotavaṅkā varadā % ravibhaktā suvarcalā // VAnigh_112 //	kapotavaFkA vara-dA % ravi-BaktA suvarcalAH // Va-aniG_112 //
   rodhraśābarakarodhrapalāśāḥ $ jiṅgiṇīsaralakaṭphalayuktāḥ &	roDra-SAbaraka-roDra-palASAH $ jiFgiNI-sarala-kawPala-yuktAH &
   kutsitāmbakadalīgataśokāḥ % sailavāluparipelavamocāḥ // VAnigh_113 //	kutsitAmba-kadalI-gata-SokAH % sa-elavAlu-paripelava-mocAH // Va-aniG_113 //
   eṣa rodhrādiko nāma $ medaḥkaphaharo gaṇaḥ &	eza roDra-AdikaH nAma $ medaH-kaPa-haraH gaNaH &
   yonidoṣaharaḥ stambhī % varṇyo viṣavināśanaḥ // VAnigh_114 //	yoni-doza-haraH stamBI % varNyaH viza-vinASanaH // Va-aniG_114 //
   lodhrādau tilvako lodhras $ tirīṭaḥ paṭṭikāhvayaḥ &	loDra-AdO tilvakaH loDraH $ tirIwaH pawwikA-AhvayaH &
   dvitīyaḥ śābaraḥ śveto % ghanatvak cākṣibheṣajaḥ // VAnigh_115 //	dvitIyaH SAbaraH SvetaH % Gana-tvac ca-akzi-BezajaH // Va-aniG_115 //
   jiṅgiṇī jhiṅgiṇī jñeyā $ mocakī guḍamañjarī &	jiFgiNI JiFgiNI jQeyA $ mocakI guxamaQjarI &
   pūtikāṣṭhaṃ devavṛkṣaḥ % saralo devadārukaḥ // VAnigh_116 //	pUtikAzWam devavRkzaH % saralaH devadArukaH // Va-aniG_116 //
   surakāṣṭhaṃ bhadradāruḥ $ devaparyāyavācakaḥ &	surakAzWam BadradAruH $ deva-paryAya-vAcakaH &
   sugandhā suvahā rāsnā % yuktāhvā gandhanākulī // VAnigh_117 //	suganDA suvahA rAsnA % yuktA-AhvA ganDanAkulI // Va-aniG_117 //
   surabhiś ca kadambaś ca $ kuñcitāṅgo haripriyaḥ &	suraBiH ca kadambaH ca $ kuQcita-aFgaH haripriyaH &
   rambhā tu kadalī mocā % vṛttapuṣpāṃśumatphalā // VAnigh_118 //	ramBA tu kadalI mocA % vRtta-puzpa-aMSumat-PalAH // Va-aniG_118 //
   aśoko vigataśokaḥ $ subhagas tāmrapallavaḥ &	aSokaH vigata-SokaH $ suBagaH tAmra-pallavaH &
   elavālukam aileyaṃ % bāleyaṃ harivālukam // VAnigh_119 //	elavAlukam Eleyam % bAlA-iyam harivAlukam // Va-aniG_119 //
   kuṭannaṭaṃ plavaṃgaṃ ca $ vitunnaṃ paripelavam &	kuwannawam plavaMgam ca $ vitunnam paripelavam &
   surabhiḥ sallakī mocā % mahārambhā gajapriyā // VAnigh_120 //	suraBiH sallakI mocA % mahAramBAH gajapriyA // Va-aniG_120 //
   arkālakau nāgadantī viśalyā $ bhārṅgī rāsnā vṛścikālī prakīryā &	arkAlakO nAgadantI viSalyA $ BArFgI rAsnA vRScikAlI prakIryA &
   pratyakpuṣpī pītatailodakīryā % śvetāyugmaṃ tāpasānāṃ ca vṛkṣaḥ //	pratyakpuzpI pIta-tElA-udakIryA % SvetA-yugmam tApasAnAm ca vRkzaH //
   VAnigh_121 //	VAniG_121 //
   ayam arkādiko vargaḥ $ kaphamedoviṣāpahaḥ &	ayam arka-AdikaH vargaH $ kaPa-medaH-viza-apahaH &
   kṛmikuṣṭhapraśamano % viśeṣād vraṇaśodhanaḥ // VAnigh_122 //	kRmi-kuzWa-praSamanaH % viSezAt vraNa-SoDanaH // Va-aniG_122 //
   arkādau tu sadāpuṣpā $ sūryāhvārkas tu rūpikā &	arka-AdO tu sadA-puzpA $ sUrya-Ahva-arkaH tu rUpikA &
   mandāraḥ śvetakusumo % 'larko vikaraṇaḥ smṛtaḥ // VAnigh_123 //	mandAraH SvetakusumaH % alarkaH vikaraNaH smRtaH // Va-aniG_123 //
   nāgadantī śvetaghaṇṭā $ nāginī pūrvapuṣpikā &	nAgadantI SvetaGaNwA $ nAginI pUrvapuzpikA &
   viśalyā halinī vahmi- % jihvā lāṅgalikā smṛtā // VAnigh_124 //	viSalyA halinI vahmi % jihvA lAFgalikA smRtAH // Va-aniG_124 //
   bhārṅgī phañjī ca pālindī $ dvijayaṣṭiḥ sugandhikā &	BArFgI PaQjI ca pAlindI $ dvijayazwiH suganDikA &
   apāmārgaḥ śaikharikaḥ % pratyakpuṣpī mayūrakaḥ // VAnigh_125 //	apAmArgaH SEKarikaH % pratyakpuzpI mayUrakaH // Va-aniG_125 //
   kākādanī pītatailā $ vegā kākāṇḍakī tathā &	kAkAdanI pItatElA $ vegA kAkANxakI taTA &
   jyotiṣmatī pītatailā % vegā kaṅguṇikā smṛtā // VAnigh_126 //	jyotizmatI pItatElA % vegA kaFguNikA smRtAH // Va-aniG_126 //
   śvetā sunābhiḥ kaṭabhī $ kiṇihī madhureṇukā &	SvetA sunABiH kawaBI $ kiNihI maDureNukA &
   kaṭaṃbharā mahāśvetā % kālindī kaṭabhī sitā // VAnigh_127 //	kawaMBarA mahASvetA % kAlindI kawaBI sitA // Va-aniG_127 //
   kumāryākhyā mahāśvetā $ vandhyā karkoṭakī tathā &	kumArI-AKyA mahASvetA $ vanDyA karkowakI taTA &
   iṅgudas tiktamañjā ca % pīlukas tāpasadrumaḥ // VAnigh_128 //	iFgudaH tiktamaQjA ca % pIlukaH tApasa-drumaH // Va-aniG_128 //
   surasayugaphaṇijjaṃ kālamālā viḍaṅgaṃ $ kharabusavṛṣakarṇī kaṭphalaṃ	surasa-yuga-PaNijjam kAlamAlA vixaFgam $ Kara-busa-vRzakarNI kawPalam
   kāsamardaḥ &	kAsamardaH &
   kṣavakasarasibhārṅgīkārmukāḥ kākamācī % kulahalaviṣamuṣṭī bhūstṛṇo	kzavaka-sarasi-BArFgI-kArmukAH kAkamAcI % kula-hala-vizamuzwI BUstRNaH-
   bhūtaveśī // VAnigh_129 //	BUtaveSI // Va-aniG_129 //
   surasādir gaṇaḥ śleṣma- $ medaḥkṛminiṣūdanaḥ &	surasAdiH gaNaH Slezma $ medaH-kRmi-nizUdanaH &
   pratiśyāyāruciśvāsa- % kāsaghno vraṇaśodhanaḥ // VAnigh_130 //	pratiSyAya-aruci-SvAsa % kAsa-GnaH vraNa-SoDanaH // Va-aniG_130 //
   surasādau gaṇe dvedhā $ surā kṛṣṇagarur ataḥ &	surasAdO gaNe dveDA $ surA kRzNagaruH atas &
   svādugandhicchadā caiva % kāyasthā tulasī tathā // VAnigh_131 //	svAduganDicCadA ca-eva % kAyasTA tulasI taTA // Va-aniG_131 //
   phaṇijjako mañjarīkas $ tīkṣṇagandhaḥ sugandhikaḥ &	PaNijjakaH maQjarIkaH $ tIkzNaganDaH suganDikaH &
   kṛṣṇasarjakaḥ kālamālaḥ % vaṭhiñjarakuṭherakau // VAnigh_132 //	kRzNasarjakaH kAlamAlaH % vaWiQjara-kuWerakO // Va-aniG_132 //
   viḍaṅgaṃ kṛmijid balyaṃ $ kirīṭaṃ śvetataṇḍulam &	vixaFgam kRmijit balyam $ kirIwam Sveta-taNxulam &
   śūkātmakaḥ kharabusau % maruvaḥ kharapattrakaḥ // VAnigh_133 //	SUka-AtmakaH Kara-busO % maruvaH KarapattrakaH // Va-aniG_133 //
   vṛṣakarṇyākhukarṇī ca $ tathā bhūmipariśrayā &	vRzakarNI-AKukarNI ca $ taTA BUmi-pariSrayAH &
   rājakṣavaḥ pītapuṣpaḥ % kāsaghnaṃ kāsamardakaḥ // VAnigh_134 //	rAjakzavaH pItapuzpaH % kAsa-Gnam kAsamardakaH // Va-aniG_134 //
   udvegajananas tīkṣṇaḥ $ kṣavakaḥ kṣudvibodhakaḥ &	udvega-jananaH tIkzNaH $ kzavakaH kzuD-viboDakaH &
   kapitthapattrī jharasī % nirjharā jharapattrikā // VAnigh_135 //	kapitTapattrI JarasI % nirJarA JarapattrikA // Va-aniG_135 //
   prācīnā bodhakī kāntā $ kāmukā raktamañjarī &	prAcInA boDakI kAntA $ kAmukA raktamaQjarI &
   mādhavī syād amuktaś ca % suvasanto 'timuktakaḥ // VAnigh_136 //	mADavI syAt amuktaH ca % suvasantaH atimuktakaH // Va-aniG_136 //
   kākamācī gūḍhaphalā $ kākāhvā mācikāpi ca &	kAkamAcI gUXaPalA $ kAkAhvA mAcikA-api ca &
   volo vṛddhaḥ kulahalo % jambūlo bhūkadambakaḥ // VAnigh_137 //	volaH vRdDaH kulahalaH % jambUlaH BUkadambakaH // Va-aniG_137 //
   viṣamuṣṭiś ca karkoṭī $ kṣayāhvā keśamuṣṭikā &	vizamuzwiH ca karkowI $ kzayAhvA keSa-muzwikA &
   putrāñjaliḥ bhūtakeśī % bhūstṛṇo guhyabījakaḥ // VAnigh_138 //	putra-aQjaliH BUtakeSI % BUstRNaH guhyabIjakaH // Va-aniG_138 //
   bhūtāveśī bhūtakeśī $ nirguṇḍī tinduvārakaḥ &	BUtAveSI BUtakeSI $ nirguNxI tinduvArakaH &
   śephālikā śvetapuṣpā % śvetanirguṇḍikā smṛtā // VAnigh_139 //	SePAlikA SvetapuzpA % Sveta-nirguNxikA smRtAH // Va-aniG_139 //
   muṣkakasnugvarādvīpi- $ palāśadhavaśiṃśapāḥ &	muzkaka-snuh-varAt-vIpi $ palASa-Dava-SiMSapAH &
   gulmamehāśmarīpāṇḍu- % medo 'rśaḥkaphaśukrajit // VAnigh_140 //	gulma-meha-aSmarI-pANxu % medaH arSaH-kaPa-Sukra-jit // Va-aniG_140 //
   muṣkakādau tu śikharī $ muṣkako mokṣakas tathā &	muzkaka-AdO tu SiKarI $ muzkakaH mokzakaH taTA &
   kālamuṣkaḥ kṣāravṛkṣaḥ % kṣīṇavāriphalaḥ smṛtaḥ // VAnigh_141 //	kAlamuzkaH kzAravRkzaH % kzINa-vAriPalaH smRtaH // Va-aniG_141 //
   sudhā vajrī mahāvṛkṣo $ granthilā snug guḍā snuhī &	suDA vajrI mahAvRkzaH $ granTilA snuh guxA snuhI &
   samantadugdhā śvajihva- % patraś ca yugmakaṇṭakaḥ // VAnigh_142 //	samantadugDA Sva-jihva % patraH ca yugmakaNwakaH // Va-aniG_142 //
   vatsakamūrvābhārṅgīkaṭukā marīcaṃ ghuṇapriyā ca gaṇḍīram /*	vatsaka-mUrvA-BArFgI-kawukA marIcam GuNapriyA ca gaNxIram /*
   elā pāṭhā jājī kaṭvaṅgaphalājamodasiddhārthavacāḥ // VAnigh_143 //*	elA pAWA jAjI kawvaFga-Pala-ajamoda-sidDArTa-vacAH // Va-aniG_143 //*
   jīrakahiṅguviḍaṅgaṃ paśugandhā pañcakolakaṃ hanti /*	jIraka-hiFgu-vixaFgam paSuganDA paQcakolakam hanti /*
   calakaphamedaḥpīnasagulmajvaraśūladurnāmnaḥ // VAnigh_144 //*	cala-kaPa-medaH-pInasa-gulma-jvara-SUla-durnAmnaH // Va-aniG_144 //*
   vanatikto vatsakādau $ kuṭajo girimallikā &	vanatiktaH vatsakAdO $ kuwajaH girimallikA &
   vṛkṣakaḥ śakravṛkṣaś ca % vatsakaḥ kuṭajas tathā // VAnigh_145 //	vRkzakaH SakravRkzaH ca % vatsakaH kuwajaH taTA // Va-aniG_145 //
   bhaṅgurātiviṣā mādrī $ śuklakandā ghuṇapriyā &	BaFgurA-ativizA mAdrI $ Sukla-kandA GuNapriyA &
   dvitīyā tu prativiṣā % śvetaraktaviṣā matā // VAnigh_146 //	dvitIyA tu prativizA % Sveta-rakta-vizAH matAH // Va-aniG_146 //
   dīrghavṛnto mahānimbaḥ $ kaṭvaṅgo 'ralutiktakaḥ &	dIrGavRntaH mahAnimbaH $ kawu-aFgaH aralu-tiktakaH &
   dīpyakaṃ tv ajamodas tu % yavānī jaraṇāhvayā // VAnigh_147 //	dIpyakam tu ajamodaH tu % yavAnI jaraNa-AhvayA // Va-aniG_147 //
   vacogragandhā jaṭilā $ ṣaḍgranthā haimavatyapi &	vacA-ugraganDA jawilA $ zaxgranTA hEmavatI-api &
   śuklā yā sā svādukandā % suvāsā himasaṃbhavā // VAnigh_148 //	SuklA yA sA svAdu-kandA % su-vAsAH hima-saMBavAH // Va-aniG_148 //
   vacājaladadevāhva- $ nāgarātiviṣāmayāḥ &	vacA-jalada-devAhva $ nAgara-ativizA-AmayAH &
   haridrādvayayaṣṭyāhva- % kalaśīkuṭajodbhavāḥ // VAnigh_149 //	haridrA-dvaya-yazwyAhva % kalaSI-kuwaja-udBavAH // Va-aniG_149 //
   vacāharidrādigaṇāv $ āmātīsāranāśanau &	vacA-haridrA-Adi-gaNO $ Ama-atIsAra-nASanO &
   medaḥkaphāḍhyapavana- % stanyadoṣanibarhaṇau // VAnigh_150 //	medaH-kaPa-AXya-pavana % stanya-doza-nibarhaNO // Va-aniG_150 //
   vacādau prāg vacā proktā $ mustā tu jaladāhvayā &	vacA-AdO prAk vacA proktA $ mustA tu jalada-AhvayA &
   gāṅgeyī kuruvindā ca % devāhvā bhadramustakam // VAnigh_151 //	gAFgeyI kuruvindA ca % devAhvA Badramustakam // Va-aniG_151 //
   haridrādigaṇaṃ vakṣye $ gaurī śyāmā ca nirviṣā &	haridrA-Adi-gaNam vakzye $ gOrI SyAmA ca nirvizAH &
   niśā kṣapā ca rātriś ca % varā lomaśamūlikā // VAnigh_152 //	niSA kzapA ca rAtriH ca % varA lomaSamUlikA // Va-aniG_152 //
   svarṇavarṇā haridrā tu $ niśāhvā rajanī tathā &	svarNa-varNA haridrA tu $ niSAhvA rajanI taTA &
   dārvī kaṭaṃkaṭerī ca % parjanyā ca pacampacā // VAnigh_153 //	dArvI kawaMkawerI ca % parjanyA ca pacampacA // Va-aniG_153 //
   priyaṅgupuṣpāñjanayugmapadmāḥ $ padmādrajo yojanavallyanantā &	priyaFgu-puzpa-aQjana-yugma-padmAH $ padmAt-rajaH yojanavallI-anantA &
   mānadrumo mocarasaḥ samaṅgā % punnāgaśītaṃ madanīyahetuḥ // VAnigh_154 //	mAnadrumaH mocarasaH samaFgA % punnAga-SItam madanIya-hetuH // Va-aniG_154 //
   ambaṣṭhā madhukaṃ namaskarī $ nandīvṛkṣapalāśakacchurā &	ambazWA maDukam namaskarI $ nandI-vRkza-palASa-kacCurA &
   rodhraṃ dhātakibilvapeśike % kaṭvaṅgaṃ kamalodbhavaṃ rajaḥ // VAnigh_155	roDram DAtaki-bilva-peSike % kawu-aFgam kamalodBavam rajaH // Va-aniG_155
   gaṇau priyaṅgvambaṣṭhādī $ pakvātīsāranāśanau &	gaNO priyaFgu-ambazWA-AdI $ pakva-atIsAra-nASanO &
   sandhānīyau hitau pitte % vraṇānām api ropaṇau // VAnigh_156 //	sanDAnIyO hitO pitte % vraNAnAm api ropaNO // Va-aniG_156 //
   priyaṅgvādigaṇe pūrvaṃ $ priyaṅguḥ samudāhṛtā &	priyaFgvAdi-gaNe pUrvam $ priyaFguH samudAhRtA &
   padmāsitāravindā ca % cāraṭī padmacāriṇī // VAnigh_157 //	padma-asitAravindA ca % cArawI padmacAriNI // Va-aniG_157 //
   rajaḥ parāgaṃ kiñjalkaṃ $ kesaraṃ padmasaṃbhavam &	rajaH parAgam kiQjalkam $ kesaram padmasaMBavam &
   mañjiṣṭhā vijayā raktā % samaṅgā vikasāruṇā // VAnigh_158 //	maQjizWA vijayA raktA % samaFgA vikasa-aruNAH // Va-aniG_158 //
   mañjukā raktayaṣṭī ca $ tāmrā yojanavally api &	maQjukA raktayazwI ca $ tAmrA yojanavallI api &
   anantā dīrghamūlā ca % samudrānto yavāsakaḥ // VAnigh_159 //	anantA dIrGamUlA ca % samudrAntaH yavAsakaH // Va-aniG_159 //
   sāradruḥ śālmalī mocā $ purāṇī raktapuṣpikā &	sAradruH SAlmalI mocA $ purANI raktapuzpikA &
   niryāso yas tu śālmalyāḥ % sa mocarasasaṃjñakaḥ // VAnigh_160 //	niryAsaH yaH tu SAlmalyAH % sa moca-rasa-saMjQakaH // Va-aniG_160 //
   samaṅgā śatapattrā ca $ tathaivāñjalikārikā &	samaFgA SatapattrA ca $ taTA-eva-aQjalikArikA &
   namaskārī raktamūlā % tathā puṣpāvarodhikā // VAnigh_161 //	namaskArI raktamUlA % taTA puzpa-avaroDikAH // Va-aniG_161 //
   puṃnāgaḥ puruṣāhvaś ca $ tuṅgākhyo raktakesaraḥ &	puMnAgaH puruzAhvaH ca $ tuFga-AKyaH raktakesaraH &
   namerur devapuṃnāgaḥ % skandhapuṣpaḥ surāhvayaḥ // VAnigh_162 //	nameruH deva-puMnAgaH % skanDapuzpaH sura-AhvayaH // Va-aniG_162 //
   madahetuḥ sindhupuṣpī $ dhātakī madayantikā &	mada-hetuH sinDupuzpI $ DAtakI madayantikAH &
   kuñjarā harisārā ca % madavīryā madapriyā // VAnigh_163 //	kuQjarA harisArA ca % mada-vIryAH mada-priyA // Va-aniG_163 //
   ambaṣṭhādau smṛtāmbaṣṭhā $ sahasrī bahumūlakaḥ &	ambazWa-AdO smRta-ambazWA $ sahasrI bahumUlakaH &
   madhuparṇī kekiśikhā % mayūrāhvā śikhī tathā // VAnigh_164 //	maDuparNI kekiSiKA % mayUrAhvA SiKI taTA // Va-aniG_164 //
   nandīvṛkṣaḥ prarohī ca $ jayavṛkṣendravṛkṣakau &	nandIvRkzaH prarohI ca $ jayavRkza-indravRkzakO &
   kacchurā paṇihārī ca % tīkṣṇapattrā marudbhavā // VAnigh_165 //	kacCurA paNihArI ca % tIkzNa-pattrA marut-BavAH // Va-aniG_165 //
   mustāvacāgnidviniśādvitiktā- $ bhallātapāṭhātriphalīviṣākhyāḥ &	mustA-vacA-agni-dvi-niSA-t-vi-tiktA $ BallAta-pAWA-triPalI-viza-AKyAH &
   kuṣṭhaṃ kuṭī haimavatī ca yoni- % stanyāmayaghnā malapācanāś ca //	kuzWam kuwI hEmavatI ca yoni % stanya-Amaya-GnAH mala-pAcanAH ca //
   VAnigh_166 //	VAniG_166 //
