   oṃ namo maṅgalamūrtaye |	om namaH maFgala-mUrtaye |
   trikādidarśanavidaḥ | evaṃ ekasyaiva cidātmano bhagavataḥ	trika-Adi-darSana-vidaH | evam ekasya-eva cit-AtmanaH BagavataH
   svātantryāvabhāsitāḥ sarvā imā bhūmikāḥ	svAtantrya-avaBAsitAH sarvAH imAH BUmikAH
   svātantryapracchādanonmīlanatāratamyabheditāḥ | ata eka eva	svAtantrya-pracCAdana-unmIlana-tAratamya-BeditAH | atas ekaH eva
   etāvadvyāptikātmā | mitadṛṣṭayas tu aṃśāṃśikāsu tadicchayaiva	etAvat-vyAptika-AtmA | mita-dRzwayaH tu aMSa-aMSikAsu tad-icCayA-eva
   abhimānaṃ grāhitāḥ yena dehādiṣu bhūmiṣu	aBimAnam grAhitAH yena deha-Adizu BUmizu
   pūrvapūrvapramātṛvyāptisāratāprathāyām api uktarūpāṃ	pUrva-pUrva-pramAtR-vyApti-sAra-tA-praTAyAm api ukta-rUpAm
   mahāvyaptiṃ paraśaktipātaṃ vinā na labhante |	mahAvyaptim para-SaktipAtam vinA na laBante |
   yathoktaṃ=20	yaTA-uktaM=20
   vaiṣṇavādyās tu ye kecit vidyārāgeṇa rañjitāḥ |	vEzNava-AdyAH tu ye kecid vidyA-rAgeNa raQjitAH |
   na vidanti paraṃ devaṃ sarvajñaṃ jñānaśālinam || iti |	na vidanti param devam sarvajQam jQAna-SAlinam || iti |
   tathā=20	taTA=20
   bhramayaty eva tān māyā hy amokṣe mokṣalipsayā [8] | iti |	Bramayati eva tAn mAyA hi amokze mokza-lipsayA [8] | iti |
   ta ātmopāsakāḥ śaivaṃ na gacchanti paraṃ padam [9] | iti ca |	te Atma-upAsakAH SEvam na gacCanti param padam [9] | iti ca |
   api ca sarveṣāṃ darśanānāṃ samastānāṃ nīlasukhādijñānānāṃ yāḥ	api ca sarvezAm darSanAnAm samastAnAm nIla-suKa-Adi-jQAnAnAm yAH
   sthitayaḥ antarmukharūpā viśrāntayaḥ tāḥ tadbhūmikāḥ	sTitayaH antarmuKa-rUpAH viSrAntayaH tAH tad-BUmikAH
   cidānandaghanasvātmasvarūpābhivyaktyupāyāḥ |	cit-Ananda-Gana-sva-Atma-svarUpa-aBivyakti-upAyAH |
   tathā hi yadā yadā bahirmukhaṃ rūpaṃ svarūpe viśrāmyati	taTA hi yadA yadA bahirmuKam rUpam svarUpe viSrAmyati
   tadā tadā bāhyavastūpasaṃhāraḥ antaḥpraśāntapadāvasthitiḥ	tadA tadA bAhya-vastu-upasaMhAraH antar-praSAnta-pada-avasTitiH
   tattadudeṣyatsaṃvitsantatyāsūtraṇaṃ iti sṛṣṭisthitisaṃhāramelanarūp=	tat-tat-udezyat-saMvid-santatyA-sUtraNam iti sRzwi-sTiti-saMhAra-melana-rUp=
   ā	A
   iyaṃ turīyā saṃvidbhaṭṭārikā tattatsṛṣṭyādibhedān udvamantī	iyam turIyA saMvid-BawwArikA tad-tad-sRzwi-Adi-BedAn udvamantI
   saṃharantī ca sadā pūrṇā ca kṛśā ca ubhayarūpā ca anubhayātmā ca akrama=	saMharantI ca sadA pUrNA ca kRSA ca uBaya-rUpA ca anuBaya-AtmA ca akrama=
   m	m
   eva sphurantī sthitā | uktaṃ ca śrīpratyabhijñāṭīkāyāṃ	eva sPurantI sTitA | uktam ca SrI-pratyaBijQAwIkAyAm
   tāvad arthāvalehena uttiṣṭhati pūrṇā ca bhavati | iti |	tAvat arTa-avalehena uttizWati pUrNA ca Bavati | iti |
   eṣā ca bhaṭṭārikā kramāt kramaṃ adhikam anuśīlyamānā svātmasātkaroty	ezA ca BawwArikA kramAt kramam aDikam anuSIlyamAnA sva-AtmasAt-karoti-
   eva bhaktajanam ||	eva Bakta-janam ||
   yadi evaṃbhūtasya ātmano vibhūtiḥ tat kathaṃ ayaṃ malāvṛto 'ṇuḥ	yadi evaMBUtasya AtmanaH viBUtiH tat kaTam ayam mala-AvRtaH aNuH
   kalādivalitaḥ saṃsārī abhidhīyate ityāha	kalA-Adi-valitaH saMsArI aBiDIyate iti-Aha
   cidvat tac chaktisaṃkocāt malāvṛtaḥ saṃsārī || 9 ||	cidvat tat Sakti-saMkocAt mala-AvRtaH saMsArI || 9 ||
   yadā cidātmā parameśvaraḥ svasvātantryāt abhedavyāptiṃ nimajjya	yadA cit-AtmA parameSvaraH sva-svAtantryAt aBeda-vyAptim nimajjya
   bhedavyāptim avalambate tadā tadīyā icchādiśaktayaḥ asaṃkucitā api	Beda-vyAptim avalambate tadA tadIyAH icCA-Adi-SaktayaH asaMkucitAH api
   saṃkocavatyo bhānti | tadānīm eva ayaṃ malāvṛtaḥ saṃsārī bhavati |	saMkocavatyaH BAnti | tadAnIm eva ayam mala-AvRtaH saMsArI Bavati |
   tathā ca apratihatasvātantryarūpā icchāśaktiḥ saṃkucitā satī	taTA ca apratihata-svAtantrya-rUpA icCA-SaktiH saMkucitA satI
   apūrṇamanyatārūpaṃ [10] āṇavaṃ malam | jñānaśaktiḥ krameṇa saṃkocāt	apUrNam-anyatA-rUpam [10] ANavam malam | jQAnaSaktiH krameNa saMkocAt-
   bhede sarvajñatvasya kiṃcijjñatvāpteḥ	Bede sarvajQa-tvasya kiMcid-jQatva-ApteH
   antaḥkaraṇabuddhīndriyatāpattipūrvaṃ atyantasaṃkocagrahaṇena [11]	antaHkaraNa-budDIndriya-tA-patti-pUrvam atyanta-saMkoca-grahaNena [11]
   bhinnavedyaprathārūpaṃ māyīyaṃ malam |	Binna-vedya-praTA-rUpam mAyIyam malam |
   kriyāśaktiḥ krameṇa bhede sarvakartṛtvasya kiṃcitkartṛtvāpteḥ	kriyASaktiH krameNa Bede sarva-kartR-tvasya kiMcitkartR-tva-ApteH
   karmendriyarūpasaṃkocagrahaṇapūrvaṃ atyantaparimitatāṃ [12] prāptā	karmendriya-rUpa-saMkoca-grahaNa-pUrvam atyanta-parimita-tAm [12] prAptA
   śubhāśubhānuṣṭānamayaṃ kārmaṃ malam |	SuBa-aSuBa-anuzwAnam-ayam kArmam malam |
   tathā sarvakartṛtvasarvajñatvapūrṇatvanityatvavyāpakatvaśaktayaḥ	taTA sarva-kartR-tva-sarvajQa-tva-pUrNa-tva-nitya-tva-vyApaka-tva-SaktayaH
   saṃkocaṃ gṛhṇānā yathākramaṃ kalāvidyārāgakālaniyatirūpatayā bhānti |	saMkocam gRhNAnAH yaTAkramam kalA-vidyA-rAga-kAla-niyati-rUpa-tayA BAnti |
   tathāvidhaś ca ayaṃ śaktidaridraḥ saṃsārī ucyate | svaśaktivikāse tu	taTAviDaH ca ayam Sakti-daridraH saMsArI ucyate | sva-Sakti-vikAse tu
   śiva eva ||	SivaH eva ||
   nanu saṃsāryavasthāyām asya kiṃcit śivatocitaṃ abhijñānam asti yena	nanu saMsAri-avasTAyAm asya kiMcid SivatA-ucitam aBijQAnam asti yena
   śiva eva tathāvasthita ity udghoṣyate astītyāha	SivaH eva taTA-avasTitaH iti udGozyate asti-iti-Aha
   tathāpi tadvat pañcakṛtyāni karoti || 10 ||	taTA-api tadvat paQca-kRtyAni karoti || 10 ||
   iha īśvarādvayadarśanasya brahmavādibhyaḥ ayam eva viśeṣaḥ |	iha ISvarA-dvaya-darSanasya brahma-vAdiByaH ayam eva viSezaH |
   yat=20	yat=20
   sṛṣṭisaṃhārakartāraṃ vilayasthitikārakam |	sRzwi-saMhAra-kartAram vilaya-sTiti-kArakam |
   anugrahakaraṃ devaṃ praṇatārtivināśanam [13] || iti	anugraha-karam devam praNata-Arti-vinASanam [13] || iti
   śrimatsvacchandādiśāsanoktanītyā sadā pañcavidhakṛtyakāritvaṃ cidātmano	Srimat-svacCanda-Adi-SAsana-ukta-nItyA sadA paQcaviDa-kRtya-kAritvam cit-AtmanaH-
   bhagavataḥ | yathā ca bhagavān śuddhetarādhvasphāraṇakrameṇa	BagavataH | yaTA ca BagavAn SudDa-itara-aDva-sPAraNa-krameNa
   svarūpavikāsarūpāṇi sṛṣṭyādīni karoti tathā saṃkucitacicchaktyā	sva-rUpa-vikAsa-rUpANi sRzwi-AdIni karoti taTA saMkucita-cicCaktyA
   saṃsārabhūmikāyām api pañcakṛtyāni	saMsAra-BUmikAyAm api paQca-kRtyAni
   vidhatte | tathā hi	viDatte | taTA hi
   tad evaṃ vyavahāre 'pi prabhur dehādim āviśan |	tat evam vyavahAre api praBuH deha-Adim AviSan |
   bhāntam evāntararthaugham icchayā bhāsayed bahiḥ [14] ||	BAntam eva-antararTa-oGam icCayA BAsayet bahis [14] ||
   iti pratyabhijñākārikoktārthadṛṣṭyā dehaprāṇādipadaṃ āviśan cidrūpo	iti pratyaBijQA-kArikA-ukta-arTa-dRzwyA deha-prANa-Adi-padam AviSan cit-rUpaH-
   maheśvaro bahirmukhībhāvāvasare nīlādikam arthaṃ niyatadeśakālāditayā	maheSvaraH bahirmuKIBAva-avasare nIla-Adikam arTam niyata-deSa-kAla-Adi-tayA
   yadā ābhāsayati tadā niyatadeśakālādyābhāsāṃśe asya sraṣṭṛtā |	yadA ABAsayati tadA niyata-deSa-kAla-Adi-ABAsa-aMSe asya srazwRtA |
   anyadeśakālādyābhāsāṃśe asya saṃhartṛtā |	anya-deSa-kAla-Adi-ABAsa-aMSe asya saMhartR-tA |
   nīlādyābhāsāṃśe sthāpakatā | bhedena ābhāsāṃśe vilayakāritā |	nIla-Adi-ABAsa-aMSe sTApaka-tA | Bedena ABAsa-aMSe vilaya-kAritA |
   prakāśaikyena prakāśane anugrahītṛtā | yathā ca sadā	prakASa-Ekyena prakASane anugrahItRtA | yaTA ca sadA
   pañcavidhakṛtyakāritvaṃ bhagavataḥ tathā mayā vitatya spandasandohe	paQcaviDa-kRtya-kAri-tvam BagavataH taTA mayA vitatya spanda-sandohe
   nirnītam | evam idaṃ pañcavidhakṛtyakāritvaṃ ātmīyaṃ sadā	nirnItam | evam idam paQcaviDa-kRtya-kAri-tvam AtmIyam sadA
   dṛḍhapratipattyā pariśīlyamānaṃ māheśvaryaṃ unmīlayaty eva	dRXa-pratipattyA pariSIlyamAnam mAheSvaryam unmIlayati eva
   bhaktibhājām | ata eva ye sadā etat pariśīlayanti te svarūpavikāsamayaṃ	Bakti-BAjAm | atas eva ye sadA etat pariSIlayanti te sva-rUpa-vikAsa-mayam
   viśvaṃ jānānā jīvanmuktā ity āmnātāḥ | ye tu na tathā te sarvato	viSvam jAnAnAH jIvanmuktAH iti AmnAtAH | ye tu na taTA te sarvatas-
   vibhinnaṃ meyajātaṃ paśyanto baddhātmanaḥ ||	viBinnam meya-jAtam paSyantaH badDa-AtmanaH ||
   na ca ayam eva prakāraḥ pañcavidhakṛtyakāritve yāvad anyo 'pi kaścit	na ca ayam eva prakAraH paQcaviDa-kRtya-kAri-tve yAvat anyaH api kaScid-
   rahasyarūpo 'stīty āha	rahasya-rUpaH asti-iti Aha
   ābhāsanaraktivimarśanabījāvasthāpanavilāpanatas	ABAsana-rakti-vimarSana-bIja-avasTApana-vilApanatas
   tāni || 11 ||	tAni || 11 ||
   pañcavidhakṛtyāni karoti iti pūrvataḥ saṃbadhyate |	paQcaviDa-kRtyAni karoti iti pUrvatas saMbaDyate |
   śrīmanmahārthadṛṣṭyā dṛgādidevīprasaraṇakrameṇa yad yad ābhāti tat	SrImat-mahA-arTa-dRzwyA dRS-Adi-devI-prasaraNa-krameNa yat yat ABAti tat-
   tat sṛjyate | tathā sṛṣṭe pade tatra yadā praśāntanimeṣaṃ kaṃcit	tat sRjyate | taTA sRzwe pade tatra yadA praSAnta-nimezam kaMcid-
   kālaṃ rajyati tadā sthitidevyā tat sthapyate |	kAlam rajyati tadA sTiti-devyA tat sTapyate |
   camatkārāparaparyāyavimarśanasamaye tu saṃhriyate | yathoktaṃ śrīrāmena	camatkAra-apara-paryAya-vimarSana-samaye tu saMhriyate | yaToktam SrI-rAmena
   samādhivajreṇāpy anyair abhedyo bhedabhūdharaḥ |	samADi-vajreNa-api anyEH aBedyaH Beda-BUDaraH |
   parāmṛṣṭaś ca naṣṭaś ca tvadbhaktibalaśālibhiḥ || iti |	parAmRzwaH ca nazwaH ca tvad-Bakti-bala-SAliBiH || iti |
   yadā tu saṃhriyamāṇam api etat antaḥ vicitrāśaṅkādisaṃskāraṃ ādhatte	yadA tu saMhriyamANam api etat antar vicitra-ASaFkA-Adi-saMskAram ADatte
   tadā tat punar udbhaviṣyat saṃsārabījabhāvam āpannaṃ	tadA tat punar udBavizyat saMsAra-bIja-BAvam Apannam
   vilayapadamadhyāropitam | yadā punaḥ tat tathāntaḥsthāpitaṃ anyad	vilaya-padam-aDyAropitam | yadA punar tat taTA-antar-sTApitam anyat-
   vānubhūyamānam eva haṭhapākakrameṇālaṃgrāsayuktyā cidagnisādbhāvam	vA-anuBUyamAnam eva haWa-pAka-krameNa-alaMgrAsa-yuktyA cit-agnisAdBAvam
   āpadyate tadā pūrṇatāpādanena anugṛhyata eva | īdṛśaṃ ca	Apadyate tadA pUrNa-tA-ApAdanena anugRhyate eva | IdRSam ca
   pañcavidhakṛtyakāritvaṃ sarvasya sadā sannihitam api sadgurūpadeśaṃ vin=	paQcaviDa-kRtya-kAri-tvam sarvasya sadA sannihitam api sat-gu-ru-upadeSam vin=
   ā	A
   na prakāśata iti sadgurusaparyaiva etatprathārtham anusartavyā ||	na prakASate iti sat-guru-saparyA-eva etat-praTA-arTam anusartavyAH ||
   yasya punaḥ sadgurūpadeśaṃ vinā etatparijñānaṃ nāsti	yasya punar sat-guru-upadeSam vinA etat-parijQAnam na-asti
   tasyāvacchāditasvasvarūpābhiḥ nijābhiḥ śaktibhiḥ vyāmohitatvaṃ	tasya-avacCAdita-sva-svarUpABiH nijABiH SaktiBiH vyAmohita-tvam
   bhavatīty āha	Bavati-iti Aha
   tadaparijñāne svaśaktibhir vyāmohitatā	tad-aparijQAne sva-SaktiBiH vyAmohita-tA
   saṃsāritvam || 12 ||	saMsAri-tvam || 12 ||
   tasyaitasya sadā saṃbhavataḥ pañcavidhakṛtyakāritvasya aparijñāne	tasya-etasya sadA saMBavataH paQcaviDa-kRtya-kAritvasya aparijQAne
   śaktipātahetukasvabalonmīlanābhāvāt aprakāśane svabhiḥ śaktibhiḥ	SaktipAta-hetuka-sva-bala-unmIlana-aBAvAt aprakASane svaBiH SaktiBiH
   vyāmohitatvaṃ vividhalaukikaśāstrīyaśaṅkāśaṅkukīlitatvaṃ yat idam ev=	vyAmohita-tvam viviDa-lOkika-SAstrIya-SaFkA-SaFku-kIlita-tvam yat idam ev=
   a	a
   saṃsāritvam | tad uktaṃ śrīsarvavīrabhaṭṭārake	saMsAri-tvam | tat uktam SrI-sarva-vIra-BawwArake
   ajñānāc chaṅkate lokas tataḥ sṛṣṭiś ca saṃhṛtiḥ | iti |	ajQAnAt SaFkate lokaH tatas sRzwiH ca saMhRtiH | iti |
   mantrā varṇātmakāḥ sarve sarve varṇāḥ śivātmakāḥ | iti ca |	mantrAH varNa-AtmakAH sarve sarve varNAH Siva-AtmakAH | iti ca |
   tathā hi citprakāśāt avyatiriktā nityoditamahāmantrarūpā	taTA hi cit-prakASAt avyatiriktA nitya-udita-mahA-mantra-rUpA
   pūrṇāhaṃvimarśamayī yeyaṃ parāvākchaktiḥ	pUrNa-ahaMvimarSa-mayI yA-iyam parAvAc-SaktiH
   ādikṣāntarūpāśeṣaśakticakragarbhiṇī sā tāvat	Adikza-anta-rUpa-aSeza-Sakti-cakra-garBiNI sA tAvat-
   paśyantīmadhyamādikrameṇa grāhakabhūmikāṃ bhāsayati |	paSyantI-maDyama-Adi-krameNa grAhaka-BUmikAm BAsayati |
   tatra ca parārūpatvena svarūpaṃ aprathayantī māyāpramātuḥ	tatra ca parArUpatvena svarUpam apraTayantI mAyA-pramAtuH
   asphuṭāsādhāraṇārthāvabhāsarūpāṃ pratikṣaṇaṃ navanavāṃ vikalpakriyā.=	asPuwa-asADAraNa-arTa-avaBAsa-rUpAm pratikzaNam nava-navAm vikalpa-kriyA.=
   m	m
   ullāsayati | śuddhām api ca avikalpabhūmiṃ tadācchāditām eva darśayati |	ullAsayati | SudDAm api ca avikalpa-BUmim tad-A-AcCAditAm eva darSayati |
   tatra ca brāhmyādidevatādhiṣṭhitakakārādivicitraśaktibhiḥ vyāmohito	tatra ca brAhmI-Adi-devatA-aDizWita-kakAra-Adi-vicitra-SaktiBiH vyAmohitaH-
   dehaprāṇādim eva parimitaṃ avaśaṃ ātmānaṃ manyate mūḍhajanaḥ |	deha-prANa-Adim eva parimitam avaSam AtmAnam manyate mUXa-janaH |
   brāhmyādidevyaḥ paśudaśāyāṃ bhedaviṣaye sṛṣṭisthitī abhedaviṣaye c=	brAhmI-Adi-devyaH paSu-daSAyAm Beda-vizaye sRzwi-sTitI aBeda-vizaye c=
   a	a
   saṃhāraṃ prathayantyaḥ parimitavikalpapātratām eva saṃpādayanti |	saMhAram praTayantyaH parimita-vikalpa-pAtra-tAm eva saMpAdayanti |
   patidaśāyāṃ tu bhede saṃhāraṃ abhede ca sargasthitī prakaṭayantyaḥ	pati-daSAyAm tu Bede saMhAram aBede ca sarga-sTitI prakawayantyaH
   kramāt kramaṃ vikalpanirhrāsanena śrīmadbhairavamudrānupraveśamayīṃ	kramAt kramam vikalpa-nirhrAsanena SrImat-BErava-mudrA-anupraveSa-mayIm
   mahatīm avikalpabhūmim eva unmīlayanti |	mahatIm avikalpa-BUmim eva unmIlayanti |
   sarvo mamāyaṃ vibhava ity evaṃ parijānataḥ |	sarvaH mama-ayam viBavaH iti evam parijAnataH |
   viśvātmano vikalpānāṃ prasare 'pi maheśatā [15] ||	viSva-AtmanaH vikalpAnAm prasare api maheSatA [15] ||
   ityādirūpāṃ cidānandāveśamagnāṃ śuddhavikalpaśaktim ullāsayanti |	ityAdi-rUpAm cit-Ananda-AveSa-magnAm SudDa-vikalpa-Saktim ullAsayanti |
   tataḥ uktanītyā svaśaktivyāmohitataiva saṃsāritvam |	tatas ukta-nItyA sva-Sakti-vyAmohita-tA-eva saMsAri-tvam |
   kiṃ ca citiśaktir eva bhagavatī viśvavamanāt saṃsāravāmācāratvāc ca	kim ca citi-SaktiH eva BagavatI viSva-vamanAt saMsAra-vAma-AcAra-tvAt ca
   vāmeśvaryākhyā satī khecarīgocarīdikcarībhūcarīrūpaiḥ aśeṣaiḥ	vAmeSvarI-a-AKyA satI KecarI-gocarI-dikcarI-BUcarI-rUpEH aSezEH
   pramātrantaḥkaraṇabahiṣkaraṇabhāvasvabhāvaiḥ parisphurantī	pramAtR-antaHkaraNa-bahizkaraNa-BAva-svaBAvEH parisPurantI
   paśubhūmikāyāṃ śūnyapadaviśrāntā	paSuBUmikAyAm SUnya-pada-viSrAntA
   kiṃcitkartṛtvādyātmakakalādiśaktyātmanā khecarīcakreṇa	kiMcitkartR-tva-Adi-Atmaka-kalA-Adi-Sakti-AtmanA KecarI-cakreNa
   gopitapāramārthikacidgaganacarītvasvarūpeṇa cakasti |	gopita-pAramArTika-cit-gagana-carI-tva-svarUpeNa cakasti |
   bhedaniścayābhimānavikalpanapradhānāntaḥkaraṇadevīrūpeṇa gocarīcakrena	Beda-niScaya-aBimAna-vikalpana-praDAna-antaHkaraNa-devI-rUpeNa gocarI-cakrena
   gopitābhedaniścayādyātmakapāramārthikasvarūpeṇa prakāśate |	gopita-aBeda-niScaya-Adi-Atmaka-pAramArTika-svarUpeNa prakASate |
   bhedālocanādipradhānabahiṣkaraṇadevatātmanā ca dikcarīcakreṇa	Beda-Alocana-Adi-praDAna-bahizkaraNa-devatA-AtmanA ca diS-carI-cakreNa
   gopitābhedaprathātmakapāramārthikasvarūpeṇa sphurati | sarvato	gopitA-aBeda-praTA-Atmaka-pAramArTika-svarUpeNa sPurati | sarvatas-
   vyavacchinnābhāsasvabhāvaprameyātmanā ca bhūcarīcakreṇa	vyavacCinna-ABAsa-svaBAva-prameya-AtmanA ca BUcarI-cakreNa
   gopitasārvātmyasvarūpeṇa paśuhṛdayavyāmohinā	gopita-sAru-Atmya-svarUpeNa paSu-hRdaya-vyAmohinA
   bhāti | patibhūmikāyāṃ tu sarvakartṛtvādiśaktyātmakacidgaganacarītvena	BAti | pati-BUmikAyAm tu sarva-kartR-tva-Adi-Sakti-Atmaka-cid-gagana-carI-tvena
   abhedaniścayādyātmanā gocarītvena abhedālocanādyātmanā dikcarītvena	aBeda-niScaya-Adi-AtmanA gocarI-tvena aBeda-Alocana-Adi-AtmanA diS-carI-tvena
   svāṅgakalpādvayaprathāsāraprameyātmanā ca bhūcarītvena patihṛdayavikāsinā	svAFga-kalpA-dvaya-praTA-sAra-prameya-AtmanA ca BUcarI-tvena pati-hRdaya-vikAsinA
   sphurati | tathā coktaṃ sahajacamatkāraparijanitākṛtakādareṇa	sPurati | taTA ca-uktam sahaja-camatkAra-parijanita-akRtaka-AdareNa
   bhaṭṭadāmodareṇa vimuktakeṣu	Bawwa-dAmodareNa vimuktakezu
   pūrṇāvacchinnamātrāntarbahiṣkaraṇabhāvagāḥ |	pUrNa-avacCinna-mAtra-antar-bahizkaraNa-BAva-gAH |
   vāmeśādyāḥ parijñānājñānāt syur muktibandhadāḥ || iti |	vAma-ISa-AdyAH parijQAna-ajQAnAt syuH mukti-banDa-dAH || iti |
   evaṃ ca nijaśaktivyāmohitataiva saṃsaritvam | api ca cidātmanaḥ	evam ca nija-Sakti-vyAmohita-tA-eva saMsaritvam | api ca cit-AtmanaH
   parameśvarasya svā anapāyinī ekaiva sphurattāsārakartṛtātmā	parameSvarasya svA anapAyinI ekA-eva sPurat-tA-sAra-kartR-ta-AtmA
   aiśvaryaśaktiḥ | sā yadā svarūpaṃ gopayitvā pāśave pade	ESvarya-SaktiH | sA yadA svarUpam gopayitvA pASave pade
   prāṇāpānasamānaśaktidaśābhiḥ jāgratsvapnasuṣuptabhūmibhiḥ	prANa-apAna-samAna-Sakti-daSABiH jAgrat-svapna-suzupta-BUmiBiH
   dehaprāṇapuryaṣṭakakalābhiś ca vyāmohayati tadā tadvyāmohitatā	deha-prANa-puryazwaka-kalABiH ca vyAmohayati tadA tad-vyAmohita-tA
   saṃsāritvam | yadā tu madhyadhāmollāsāṃ udānaśaktiṃ viśvavyāptisārāṃ	saMsAri-tvam | yadA tu maDya-DAma-ullAsAm udAna-Saktim viSva-vyApti-sArAm
   ca vyānaśaktiṃ turyadaśārūpāṃ turyātītadaśārūpāṃ ca cidānandaghanāṃ	ca vyAna-Saktim turyadaSA-rUpAm turyAtI-tadaSA-rUpAm ca cit-Ananda-GanAm
   unmīlayati tadā dehādyavasthāyām api patidaśātmā jīvanmuktir bhavati |	unmIlayati tadA deha-Adi-avasTAyAm api patidaSa-AtmA jIvanmuktiH Bavati |
   evaṃ tridhā svaśaktivyāmohitatā vyākhyātā |	evam triDA sva-Sakti-vyAmohita-tA vyAKyAtAH |
   cidvat iti sūtre [16] citprakāśo gṛhītasaṃkocaḥ saṃsārī ity uktam | ih=	cidvat iti sUtre [16] cit-prakASaH gRhIta-saMkocaH saMsArI iti uktam | ih=
   a	a
   tu svaśaktivyāmohitatvena asya saṃsāritvaṃ bhavati iti bhaṅgyantareṇa	tu sva-Sakti-vyAmohita-tvena asya saMsAri-tvam Bavati iti BaFgi-antareNa
   uktam | evaṃ saṃkucitaśaktiḥ prāṇādimān api yadā svaśaktivyāmohito na	uktam | evam saMkucita-SaktiH prANa-AdimAn api yadA sva-Sakti-vyAmohitaH na
   bhavati tadā ayaṃ śarīrī parameśvaraḥ ity āmnāyasthityā	Bavati tadA ayam SarIrI parameSvaraH iti AmnAya-sTityA
   śivabhaṭṭāraka eva iti bhaṅgyā nirūpitaṃ bhavati |	Siva-BawwArakaH eva iti BaFgyA nirUpitam Bavati |
   yadāgamaḥ=20	yad-AgamaH=20
   manuṣyadeham āsthāya channās te parameśvarāḥ | iti |	manuzya-deham AsTAya CannAH te parameSvarAH | iti |
   uktam ca pratyabhijñāṭīkāyāṃ "śarīram eva ghaṭādy api vā ye	uktam ca pratyaBijQAwIkAyAm "SarIram eva Gawa-Adi api vA ye
   ṣaṭtriṃśattattvamayaṃ śivarūpatayāpaśyanti te 'pi sidhyanti" iti ||	zawtriMSat-tattva-mayam Siva-rUpa-tayA-apaSyanti te api siDyanti" iti ||
   uktasūtrārthaprātipakṣyeṇa tattvadṛṣṭiṃ darśayitum āha	ukta-sUtra-arTa-prAtipakzyeNa tattva-dRzwim darSayitum Aha
   tatparijñāne cittam eva antarmukhībhāvena	tad-parijQAne cittam eva antarmuKIBAvena
   cetanapadādhyārohāt citiḥ || 13 ||	cetana-pada-aDyArohAt citiH || 13 ||
   pūrvasūtravyākhyāprasaṅgena prameyadṛṣṭyā vitatya vyākhyātaprāyam etat	pUrva-sUtra-vyAKyA-prasaFgena prameya-dRzwyA vitatya vyAKyAta-prAyam etat-
   sūtram | śabdasaṃgatyā tu adhunā vyākhyāyate | tasyātmīyasya	sUtram | Sabda-saMgatyA tu aDunA vyAKyAyate | tasya-AtmIyasya
   pañcakṛtyakāritvasya parijñāne sati aparijñānalakṣaṇakāraṇāpagamāt	paQca-kRtya-kAritvasya parijQAne sati aparijQAna-lakzaNa-kAraNa-apagamAt
   svaśaktivyāmohitatānivṛttau svātantryalabhāt prāk vyākhyātaṃ yat cittaṃ	sva-Sakti-vyAmohita-tA-nivRttO svAtantrya-laBAt prAk vyAKyAtam yat cittam
   tad eva saṃkocinīṃ bahirmukhatāṃ jahat antarmukhībhāvena	tat eva saMkocinIm bahirmuKa-tAm jahat antarmuKIBAvena
   cetanapadādhyārohāt grāhakabhūmikākramaṇakrameṇa saṃkocakalāyā api	cetana-pada-aDyArohAt grAhaka-BUmikA-kramaNa-krameNa saMkoca-kalAyAH api
   vigalanena svarūpāpattyā citir bhavati | svāṃ cinmayīṃ parāṃ bhūmim	vigalanena svarUpa-ApattyA citiH Bavati | svAm cit-mayIm parAm BUmim
   āviśatīty arthaḥ ||	AviSati-iti arTaH ||
   nanu yadi pāramārthikaṃ cicchaktipadaṃ sakalabhedakavalanasvabhāvaṃ [17]	nanu yadi pAramArTikam cit-Sakti-padam sakala-Beda-kavalana-svaBAvam [17]
   tad asya māyāpade 'pi tathārūpeṇa bhavitavyaṃ yathā jaladācchāditasyāpi	tat asya mAyA-pade api taTArUpeNa Bavitavyam yaTA jalada-AcCAditasya-api
   bhānoḥ bhāvāvabhāsakatvaṃ ity āśaṅkyāha	BAnoH BAva-avaBAsaka-tvam iti ASaFkya-Aha
   citivahnir arohapade channo 'pi mātrayā	citi-vahniH aroha-pade CannaH api mAtrayA
   meyendhanaṃ pluṣyati || 14 ||	meya-inDanam pluzyati || 14 ||
   citir eva viśvagrasanaśīlatvāt vahniḥ | asau eva avarohapade	citiH eva viSva-grasana-SIla-tvAt vahniH | asO eva avaroha-pade
   māyāpramātṛtāyāṃ channo 'pi svātantryāt ācchāditasvabhāvo 'pi	mAyA-pramAtR-tAyAm CannaH api svAtantryAt AcCAdita-svaBAvaH api
   bhūribhūtichannāgnivat mātrayā aṃśena nīlapītādiprameyendhanaṃ pluṣyati	BUri-BUti-Canna-agni-vat mAtrayA aMSena nIla-pIta-Adi-prameya-inDanam pluzyati
   svātmasātkaroti | mātrāpadasyedam ākūtaṃ yat kavalayann api sārvātmyena na	sva-AtmasAt-karoti | mAtrApadasya-idam AkUtam yat kavalayan api sArvAtmyena na
   grasate api tu aṃśena saṃskārātmanā utthāpayati |	grasate api tu aMSena saMskAra-AtmanA utTApayati |
   grāsakatvaṃ ca sarvapramātṝṇāṃ svānubhavata eva siddham | yad uktaṃ	grAsaka-tvam ca sarva-pramAtLNAm sva-anuBavataH eva sidDam | yat uktam
   śrīmadutpaladevapādaiḥ nijastotreṣu	SrImat-utpala-deva-pAdEH nija-stotrezu
