   śrīrastu	SrIH astu
   bhrukuṭīkaṭākṣakuṭilaṃ strīṇāmīrṣyākṛtaṃ bhavati // BhN_7.13 //	BrukuwI kawAkza kuwilam strINAm IrzyA akRtam Bavati // Bhz _7.13 //
   strīnīcaprakṛtiṣveṣa śoko vyasanasambhavaḥ /	strI nIca prakRtizu eza SokaH vyasana samBavaH /
   dhairyeṇottamamadhyānāṃ nīcānāṃ ruditena ca // BhN_7.14 //	DEryeNa uttama maDyAnAm nIcAnAm ruditena ca // Bhz _7.14 //
   krodho nāma ādharṣaṇākruṣṭakalahavivādapratikūlādibhirvibhāvaiḥ	kroDaH nAma ADarzaNa Akruzwa kalaha vivAda pratikUla AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   asya	asya
   vikṛṣṭanāsāpuṭodvṛttanayanasaṃdaṣṭhoṣṭhapuṭagaṇḍasphuraṇādibhiranubhāvairabhinayaḥ	vikRzwa nAsA puwa udvRtta nayana saMdazWa uzWa puwa gaNxa sPuraNa AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   ripujo gurujaścaiva praṇayiprabhavastathā /	ripu jaH guru jaH ca eva praNayi praBavaH taTA /
   bhṛtyajaḥ kṛtakaśceti krodhaḥ pañcavidhaḥ smṛtaḥ // BhN_7.15 //	BRtya jaH kRtakaH ca iti kroDaH paQcaviDaH smRtaH // Bhz _7.15 //
   atrāryā bhavanti	atra AryAH Bavanti
   bhṛkuṭīkuṭilotkaṭamukhaḥ sandaṣṭhoṣṭhaḥ spṛśankareṇa karam /	BRkuwI kuwila utkawa muKaH sandazWa uzWaH spRSan kareNa karam /
   kruddhaḥ svabhujāprekṣī śatrau niryantraṇaṃ ruṣyet // BhN_7.16 //	krudDaH sva Buja aprekzI SatrO niryantraNam ruzyet // Bhz _7.16 //
   kiñcidavāṅgmukhadṛṣṭiḥ sāsrasvedāpamārjanaparaśca /	kiQcid avAFgmuKa dRzwiH sa asra sveda apamArjana paraH ca /
   avyaktolbaṇaceṣṭo gurau vinayayantrito ruṣyet // BhN_7.17 //	avyakta ulbaNa cezwaH gurO vinaya yantritaH ruzyet // Bhz _7.17 //
   alpaprataravicāro vikirannaśrūṇyapāṅgavikṣepaiḥ /	alpa pratara vicAraH vikiran= aSrUNi apAFga vikzepEH /
   sabhrukuṭisphuritoṣṭhaḥ praṇayopagatāṃ priyā ruṣyet // BhN_7.18 //	sa Brukuwi sPurita uzWaH praNaya upagatAm priyAH ruzyet // Bhz _7.18 //
   atha parijane tu roṣastarjananirbhartsanākṣivistāraiḥ /	aTa parijane tu rozaH tarjana nirBartsana akzi vistArEH /
   viprekṣaṇaiśca vividhairabhineyaḥ krūratārahitaḥ // BhN_7.19 //	viprekzaNEH ca viviDEH aBineyaH krUra tA rahitaH // Bhz _7.19 //
   kāraṇamavekṣamāṇaḥ prāyeṇāyāsaliṅgasaṃyuktaḥ /	kAraNam avekzamANaH prAyeNa AyAsa liFga saMyuktaH /
   vīrarasāntaracārī kāryaḥ kṛtako bhavati kopaḥ // BhN_7.20 //	vIra rasa antara cArI kAryaH kRtakaH Bavati kopaH // Bhz _7.20 //
   utsāho nāma uttamaprakṛtiḥ |	utsAhaH nAma uttama prakRtiH |
   sa cāviṣādaśaktidhairyaśauryādibhirvibhāvairutpadyate |	sa ca avizAda Sakti DErya SOrya AdiBiH viBAvEH utpadyate |
   tasya dhairyatyāgavaiśāradyādibhiranubhāvairabhinayaḥ prayoktavyaḥ |	tasya DErya tyAga vESAradya AdiBiH anuBAvEH aBinayaH prayoktavyaH |
   atra ślokaḥ:	atra SlokaH:
   asammohādibhirvyakto vyavasāyanayātmakaḥ /	asammoha AdiBiH vyaktaH vyavasAya naya AtmakaH /
   utsāhastvabhineyaḥ syādapramādotthitādibhiḥ // BhN_7.21 //	utsAhaH tu aBineyaH syAt apramAda utTita AdiBiH // Bhz _7.21 //
   bhayaṃ nāma strīnīcaprakṛtikam |	Bayam nAma strI nIca prakRtikam |
   gururājāparādhaśvāpadaśūnyāgārāṭavīparvatagahanagajāhidarśananirbhartsanakāntāradurdinaniśāndhakarolūkanaktañcarārāvaśravaṇādibhirvibhāvaiḥ	guru rAjA parADa SvApada SUnyAga ArAwavI parvata gahana gaja ahi darSana nirBartsana kAntAra durdina niSA anDa kara ulUka naktaQcara ArAva SravaNa AdiBiH v
   samutpadyate |	samutpadyate |
   tasya	tasya
   prakampitakaracaraṇahṛdayakampanastambhamukhaśoṣajihvāparilehanasvedavepathutrāsasaparitrāṇānveṣaṇadhāvanotkṛṣṭādibhiranubhavairabhinayaḥ	prakampita kara caraNa hRdaya kampana stamBa muKa Soza jihvA parilehana sveda vepaTu trAsa sa paritrANa anvezaNa DAvana utkRzwa AdiBiH anuBavEH aBinay
   prayoktavyaḥ |	prayoktavyaH |
   atra ślokāḥ:	atra SlokAH:
   gururājāparādhena raudrāṇāṃ cāpi darśanāt /	guru rAjA aparADena rOdrANAm ca api darSanAt /
   śravaṇādapi ghorāṇāṃ bhayaṃ mohena jāyate // BhN_7.22 //	SravaNAt api GorANAm Bayam mohena jAyate // Bhz _7.22 //
   gātrakampanavitrāsairvaktraśoṣaṇasambhramaiḥ	gAtra kampana vitrAsEH vaktra SozaNa samBramEH
   visphāritaikṣaṇaiḥ kāryamabhineyakriyāguṇaiḥ // BhN_7.23 //	visPAri tEkzaNEH kAryam aBineya kriyA guNEH // Bhz _7.23 //
   sattvavitrāsanodbhūtaṃ bhayamutpadyate nṛṇām /	sattva vitrAsana udBUtam Bayam utpadyate nRNAm /
   srastāṅgākṣinimeṣaistadabhineyaṃ tu nartakaiḥ // BhN_7.24 //	srasta aFga akzi nimezEH tat aBineyam tu nartakEH // Bhz _7.24 //
   atrāryā bhavati	atra AryA Bavati
   karacaraṇahṛdayakampairmukhaśoṣaṇavadanalehanastambhaiḥ /	kara caraNa hRdaya kampEH muKa SozaNa vadana lehana stamBEH /
   sambhrāntavadanavepathusaṃtrāsakṛtairabhinayo 'sya // BhN_7.25 //	samBrAnta vadana vepaTu saMtrAsa kRtEH aBinayaH asya // Bhz _7.25 //
   jugupsā nāma strīnīcaprakṛtikā |	jugupsA nAma strI nIca prakRtikAH |
   sā cāhṛdyadarśanaśravaṇādibhirvibhāvaiḥ samutpadyate |	sA ca ahRdya darSana SravaNa AdiBiH viBAvEH samutpadyate |
   tasyāḥ	tasyAH
   sarvāṅgasaṅkocaniṣṭhīvanamukhavikūṇanahṛllekhādibhiranubhāvairabhinayaḥ	sarva aFga saFkoca nizWIvana muKa vikUNana hRlleKA AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   bhavati cātra ślokaḥ	Bavati ca atra SlokaH
   nāsāpracchādaneneha gātrasaṅkocanena ca /	nAsA pracCAdanena iha gAtra saFkocanena ca /
   udvejanaiḥ sahṛllekhairjugupsāmabhinirdiśet // BhN_7.26 //	udvejanEH sa hRlleKEH jugupsAm aBinirdiSet // Bhz _7.26 //
   vismayo nāma	vismayaH nAma
   māyendrajālamānuṣakarmātiśayacitrapustaśilpavidyātiśayādibhirvibhāvaiḥ	mAyA indra jAla mAnuza karma atiSaya citra pusta Silpa vidyA atiSaya AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tasya	tasya
   nayanavistārānimeṣaprekṣitabhrūkṣeparomaharṣaṇaśiraḥkampasādhuvādādibhiranubhāvairabhinayaḥ	nayana vistArA nimeza prekzita BrU kzepa roma harzaNa SiraH kampa sADu vAda AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   bhavati cātra ślokaḥ:	Bavati ca atra SlokaH:
   karmātiśayanirvṛtto vismayo harṣasambhavaḥ /	karma atiSaya nirvRttaH vismayaH harza samBavaH /
   siddhisthāne tvasau sādhyaḥ praharṣapulakādibhiḥ // BhN_7.27 //	sidDi sTAne tu asO sADyaH praharza pulaka AdiBiH // Bhz _7.27 //
   evamete sthāyino bhāvā rasasaṃjñāḥ pratyavagantavyāḥ |	evam ete sTAyinaH BAvAH rasa saMjQAH pratyavagantavyAH |
   vyabhicāriṇa idānīṃ vyākhyāsyāmaḥ |	vyaBicAriNaH idAnIm vyAKyAsyAmaH |
   atrāha	atra Aha
   vyabhicāriṇa iti kasmāt |	vyaBicAriNaH iti kasmAt |
   ucyate	ucyate
   vi abhi ityetāvupasargau |	vi aBi iti etO= upasargO |
   cara iti gatyartho dhātuḥ |	caraH iti gati arTaH DAtuH |
   vividhamābhimukhyena raseṣu carantīti vyabhicāriṇaḥ |	viviDam ABimuKyena rasezu caranti iti vyaBicAriNaH |
   vāgaṅgasattvopetāḥ prayoge rasānnayantīti vyabhicāriṇaḥ |	vAc aFga sattva upetAH prayoge rasAn nayanti iti vyaBicAriNaH |
   atrāha	atra Aha
   kathaṃ nayantīti |	kaTam nayanti iti |
   ucyate	ucyate
   lokasiddhānta eṣaḥ	loka sidDAntaH ezaH
   yathā sūrya idaṃ dinaṃ nakṣatraṃ vā nayatīti |	yaTA sUryaH idam dinam nakzatram vA nayati iti |
   na ca tena bāhubhyāṃ skandhena vā nīyate |	na ca tena bAhuByAm skanDena vA nIyate |
   kiṃ tu lokaprasiddhametat |	kim tu loka prasidDam etat |
   yathedaṃ sūryo nakṣatraṃ dina vā nayatīti |	yaTA idam sUryaH nakzatram dina vA nayati iti |
   evamete vyabhicāriṇa ityavagantavyāḥ |	evam ete vyaBicAriNaH iti avagantavyAH |
   tāniha saṅgrahābhihitāṃstrayastriṃśadvyabhicāriṇo bhāvān varṇayiṣyāmaḥ |	tAn iha saFgraha aBihitAn= trayastriMSat vyaBicAriNaH BAvAn varNayizyAmaH |
   tatra nirvedo nāma	tatra nirvedaH nAma
   dāridryavyādhyavamānādhikṣepākruṣṭakrodhatāḍaneṣṭajanaviyogatattvajñānādibhirvibhāvaiḥ	dAridrya vyADi avamAna aDikzepa Akruzwa kroDa tAxana izwa jana viyoga tattva jQAna AdiBiH viBAvEH
   samutpadyate strīnīcakusattvānām |	samutpadyate strI nIcaku sattvAnAm |
   ruditaniḥśvasitocchvasitasampradhāraṇādibhiranubhāvaistamabhinayet |	rudita niHSvasita ucCvasita sampraDAraNa AdiBiH anuBAvEH tam aBinayet |
   atra ślokaḥ:	atra SlokaH:
   dāridryeṣṭaviyogādyaiḥ nirvedo nāma jāyate /	dAridrya izwa viyoga AdyEH nirvedaH nAma jAyate /
   sampradhāraṇaniḥśvāsaistasya tvabhinayo bhavet // BhN_7.28 //	sampraDAraNa niHSvAsEH tasya tu aBinayaH Bavet // Bhz _7.28 //
   atrānuvaṃśye ārye bhavataḥ:	atra anuvaMSye Arye BavataH:
   iṣṭajanaviprayogāddāridryādvyādhitastathā duḥkhāt /	izwa jana viprayogAt dAridryAt vyADitaH taTA duHKAt /
   ṛddhiṃ parasya dṛṣṭvā nirvedo nāma sambhavati // BhN_7.29 //	RdDim parasya dRzwvA nirvedaH nAma samBavati // Bhz _7.29 //
   bāṣpapariplutanayanaḥ punaśca niḥśvāsanadīnamukhanetraḥ /	bAzpa paripluta nayanaH punar ca niHSvAsana dIna muKa netraH /
   yogīva dhyānaparo bhavati hi nirvedavānpuruṣaḥ // BhN_7.30 //	yogI iva DyAna paraH Bavati hi nirvedavAn puruzaH // Bhz _7.30 //
   glānirnāma	glAniH nAma
   vāntaviriktavyādhitaponiyamopavāsamanastāpātiśayamadanasevanātivyāyāmādhvagamanakṣutpipāsānidrācchedādibhirvibhāvaiḥ	vAnta virikta vyADi taponiyama upavAsa manaH tApa atiSaya madana sevana ativyAya Ama aDva gamana kzuD pipAsA nidrA A= Ceda AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tasyāḥ	tasyAH
   kṣāmavākyanayanakapolodaramandapadotkṣepaṇavepanānutsāhatanugātravaivarṇyasvarabhedābhiranubhāvairabhinayaḥ	kzAma vAkya nayana kapola udara manda pada utkzepaNa vepanAnutsAha tanugAtra vEvarNya svara BedABiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atrārye bhavataḥ	atra Arye BavataH
   vāntaviriktavyādhiṣu tapasā jarasā ca jāyate glāniḥ /	vAnta virikta vyADizu tapasA jarasA ca jAyate glAniH /
   kārśyena sābhineyā mandabhramaṇena kampena // BhN_7.31 //	kArSyena sa aBineyAH manda BramaNena kampena // Bhz _7.31 //
   gaditaiḥ kṣāmakṣāmairnetravikāraiśca dīnasañcāraiḥ /	gaditEH kzAma kzAmEH netra vikArEH ca dIna saQcArEH /
   ślathabhāvenāṅgānāṃ muhurmuhurnirdiśed glānim // BhN_7.32 //	SlaTa BAvena aFgAnAm muhur muhur nirdiSet glAnim // Bhz _7.32 //
   śaṅkā nāma sandehātmikā strīnīcaprabhavā |	SaFkA nAma sandeha AtmikA strI nIca praBavA |
   cauryābhigrahaṇanṛpāparādhapāpakarmakaraṇādibhirvibhāvaiḥ samutpadyate |	cOrya aBigrahaNa nRpa aparADa pApa karma karaNa AdiBiH viBAvEH samutpadyate |
   tasyā	tasyAH 
   muhurmuhuravalokanāvakuṇṭhanamukhaśoṣaṇajihvālehanamukhavaivarṇyasvarabhedavepathuśuṣkoṣṭhakaṇṭhāyāsasādharmyādibhiranubhāvairabhinayaḥ	muhur muhur avaloka nAvakuNWana muKa SozaNa jihvA lehana muKa vEvarNya svara Beda vepaTu Suzka uzWa kaNWa AyAsa sADarmi AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   cauryādijanitā śaṅkā prāyaḥ kāryā bhayānake /	cOrya Adi janitA SaFkA prAyas kAryA BayAnake /
   priyavyalīkajanitā tathā śṛṅgāriṇī matā // BhN_7.33 //	priya vyalIka janitA taTA SRFgAriNI matAH // Bhz _7.33 //
   atrākārasaṃvaraṇamapi kecidicchanti |	atra AkAra saMvaraNam api kecid icCanti |
   tacca kuśalairupādhibhiriṅgitaiścopalakṣyam |	tat ca kuSalEH upADiBiH iFgitEH ca upalakzyam |
   atrārye bhavataḥ	atra Arye BavataH
   dvividhā śaṅkā kāryāhyātmasamutthā ca parasamutthā ca /	dviviDA SaFkA kAryAhi Atma samutTA ca para samutTA ca /
   yā tatrātmasamutthā sā jñeyā dṛṣṭiceṣṭābhiḥ // BhN_7.34 //	yA tatra Atma samutTA sA jQeyA dRzwi cezwABiH // Bhz _7.34 //
   kiñcitpravepitāṅgastvadhomukho vīkṣate ca pārśvāni /	kiQcid pravepita aFgaH tu aDomuKaH vIkzate ca pArSvAni /
   gurusajjamānajihvaḥ śyāmāsyaḥ śaṅkitaḥ puruṣaḥ // BhN_7.35 //	guru sajjamAna jihvaH SyAma AsyaH SaFkitaH puruzaH // Bhz _7.35 //
   asūyā nāma	asUyA nAma
   nānāparādhadveṣaparaiśvaryasaubhāgyamedhāvidyālīlādibhirvibhāvaiḥ	nAnA parADa dveza para ESvarya sOBAgya meDA vidyA lIlA AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tasyāśca pariṣadi	tasyAH ca parizadi
   doṣaprakhyāpanaguṇopaghāterṣyācakṣuḥpradānādhomukhabhrukuṭīkriyāvajñānakutsanādibhiranubhāvairabhinayaḥ	doza praKyApana guNa upaGAta IrzyA cakzuH pradAna aDomuKa BrukuwI kriyA avajQAna kutsana AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atrārye bhavataḥ	atra Arye BavataH
   parasaubhāgyeśvaratāmedhālīlāsamucchrayāndṛṣṭvā /	para sOBAgya ISvara tA meDA lIlA samucCrayAn dRzwvA /
   utpadyate hyasūyā kṛtāparādho bhavedyaśca // BhN_7.36 //	utpadyate hi asUyA kRta aparADaH Bavet yaH ca // Bhz _7.36 //
   bhrukuṭikuṭilotkaṭamukhaiḥ serṣyākrodhaparivṛttanetraiśca /	Brukuwi kuwila utkawa muKEH sa IrzyA kroDa parivRtta netrEH ca /
   guṇanāśanavidveṣaistatrābhinayaḥ prayoktavyaḥ // BhN_7.37 //	guNa nASana vidvezEH tatra aBinayaH prayoktavyaH // Bhz _7.37 //
   mado nāma madyopayogādutpadyate |	madaH nAma madya upayogAt utpadyate |
   sa ca trividhaḥ pañcavibhāvaśca |	sa ca triviDaH paQca viBAvaH ca |
   atrāryā bhavanti	atra AryAH Bavanti
   jñeyastu madastrividhastaruṇo madhyastathāvakṛṣṭaśca /	jQeyaH tu madaH triviDaH taruNaH maDyaH taTA avakRzwaH ca /
   karaṇaṃ pañcavidhaṃ syāttasyābhinayaḥ prayoktavyaḥ // BhN_7.38 //	karaNam paQcaviDam syAt tasya aBinayaH prayoktavyaH // Bhz _7.38 //
   kaścinmatto gāyati roditi kaścittathā hasati kaścit /	kaScid mattaH gAyati roditi kaScid taTA hasati kaScid /
   paruṣavacanābhidhāyī kaścitkaścittathā svapiti // BhN_7.39 //	paruza vacana aBiDAyI kaScid kaScid taTA svapiti // Bhz _7.39 //
   uttamasattvaḥ śete hasati ca gāyati ca madhyamaprakṛtiḥ /	uttama sattvaH Sete hasati ca gAyati ca maDyama prakRtiH /
   paruṣavacanābhidhāyī rodatyapi cādhamaprakṛtiḥ // BhN_7.40 //	paruza vacana aBiDAyI rodati api ca aDama prakRtiH // Bhz _7.40 //
   smitavacanamadhurarāgo hṛṣṭatanuḥ kiñcidākulitavākyaḥ /	smita vacana maDura rAgaH hRzwa tanuH kiQcid Akulita vAkyaH /
   sukumārāviddhagatistaruṇamadastūttamaprakṛtiḥ // BhN_7.41 //	sukumAra AvidDa gatiH taruNa madaH tu uttama prakRtiH // Bhz _7.41 //
   skhalitāghūrṇitanayanaḥ srastavyākulitabāhuvikṣepaḥ /	sKalita AGUrNita nayanaH srasta vyAkulita bAhu vikzepaH /
   kuṭilavyāviddhagatirmadhyamado madhyamaprakṛtiḥ // BhN_7.42 //	kuwila vyAvidDa gatiH maDya ma daH maDyama prakRtiH // Bhz _7.42 //
   naṣṭasmṛtirhatagatiścharditahikkākaphaiḥ subībhatsaḥ /	nazwa smRtiH hata gatiH Cardita hikkA kaPEH subIBatsaH /
   gurusajjamānajihvo niṣṭhīvati cādhamaprakṛtiḥ // BhN_7.43 //	guru sajjamAna jihvaH nizWIvati ca aDama prakRtiH // Bhz _7.43 //
   raṅge pibataḥ kāryā madavṛddhirnāṭyayogamāsādya /	raFge pibataH kAryA mada vRdDiH nAwya yogam AsAdya /
   kāryo madakṣayo vai yaḥ khalu pītvā praviṣṭaḥ syāt // BhN_7.44 //	kAryaH mada kzayaH vE yaH Kalu pItvA pravizwaH syAt // Bhz _7.44 //
   santrāsācchokādvā bhayātpraharṣācca kāraṇopagatāt /	santrAsAt SokAt vA BayAt praharzAt ca kAraNa upagatAt /
   utkramyāpi hi kāryo madapraṇāśaḥ kramāttajjñaiḥ // BhN_7.45 //	utkramya api hi kAryaH mada praNASaH kramAt tad jQEH // Bhz _7.45 //
   ebhirbhāvaviśeṣairmado drutaṃ sampraṇāśamupayāti /	eBiH BAva viSezEH madaH drutam sampraNASam upayAti /
   abhyudayasukhairvākyairyathaiva śokaḥ kṣayaṃ yāti // BhN_7.46 //	aByudaya suKEH vAkyEH yaTA eva SokaH kzayam yAti // Bhz _7.46 //
   śramo nāma adhvavyāyāmasevanādibhirvibhāvaiḥ samutpadyate |	SramaH nAma aDva vyAyAma sevana AdiBiH viBAvEH samutpadyate |
   tasya	tasya
   gātraparimardanasaṃvāhananiḥśvasitavijṛmbhitamandapadotkṣepaṇanayanavadanavikūṇanasītkarādibhiranubhāvairabhinayaḥ	gAtra parimardana saMvAhana niHSvasita vijRmBita manda pada utkzepaNa nayana vadana vikUNa nasItkara AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atrāryā	atra AryA
   nṛttādhvavyāyāmānnarasya sañjāyate śramo nāma /	nRtta aDva vyAyAmAt narasya san jAyate SramaH nAma /
   niḥśvāsakhedagamanaistasyābhinayaḥ prayoktavyaḥ // BhN_7.47 //	niHSvAsa Keda gamanEH tasya aBinayaH prayoktavyaH // Bhz _7.47 //
   ālasyaṃ nāma khedavyādhigarbhasvabhāvaśramasauhityādibhirvibhāvaiḥ	Alasyam nAma Keda vyADi garBa svaBAva Srama sOhitya AdiBiH viBAvEH
   samutpadyate strīnīcānām |	samutpadyate strI nIcAnAm |
   tadabhinayetsarvakarmānabhilāṣaśayanāsananidrātandrīsevanādibhiranubhāvaiḥ	tat aBinayet sarva karma anaBilAza Sayana Asana nidrA tandrI sevana AdiBiH anuBAvEH
   atrāryā	atra AryA
   ālasyaṃ tvabhineyaṃ khedāpagataṃ svabhāvajaṃ cāpi /	Alasyam tu aBineyam Keda apagatam svaBAva jam ca api /
   āhāravarjitānāmārambhāṇāmanārambhāt // BhN_7.48 //	AhAra varjitAnAm AramBANAm anAramBAt // Bhz _7.48 //
   dainyaṃ nāma daurgatyamanastāpādibhirvibhāvaiḥ samutpadyate |	dEnyam nAma dOrgatya manaH tApa AdiBiH viBAvEH samutpadyate |
   tasyādhṛtiśirorogagātragauravānyamanaskatāmṛjāparivarjanādibhiranubhāvairabhinayaḥ	tasya aDRti SiraH roga gAtra gOrava anya manaskatA mRjA parivarjana AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atrāryā	atra AryA
   cintautsukyasamutthā duḥkhādyā bhavati dīnatāṃ puṃsām /	cintA Otsukya samutTA duHKa AdyA Bavati dIna tAm puMsAm /
   sarvamṛjāparihārairvividho 'bhinayo bhavettasya // BhN_7.49 //	sarvamRjA parihArEH viviDaH aBinayaH Bavet tasya // Bhz _7.49 //
   cintā nāma aiśvaryabhraṃśeṣṭadravyāpahāradāridryādibhirvibhāvairutpadyate	cintA nAma ESvarya BraMSa izwa dravya apahAra dAridrya AdiBiH viBAvEH utpadyate
   tāmabhinayenniḥśvasitocchvasitasantāpadhyānādhomukhacintanatanukārśyādibhiranubhāvaiḥ	tAm aBinayet niHSvasita ucCvasita santApa DyAna aDomuKa cintana tanu kArSya AdiBiH anuBAvEH
   atrārye bhavataḥ	atra Arye BavataH
   aiśvaryabhraṃśeṣṭadravyakṣayajā bahuprakārā tu /	ESvarya BraMSa izwa dravya kzaya jA bahu prakArA tu /
   hṛdayavitarkopagatā nṝṇāṃ cintā samudbhavati // BhN_7.50 //	hRdaya vitarka upagatA nLNAm cintA samudBavati // Bhz _7.50 //
   socchvāsairniḥśvasitaiḥ santāpaiścaiva hṛdayaśūnyatayā /	sa ucCvAsEH niHSvasitEH santApEH ca eva hRdaya SUnya tayA /
   abhinetavyā cintā mṛjāvihīnairadhṛtyā ca // BhN_7.51 //	aBinetavyA cintA mRjA vihInEH aDRtyA ca // Bhz _7.51 //
   moho nāma	mohaH nAma
   daivopaghātavyasanābhighātavyādhibhayāvegapūrvavairānusmaraṇādibhirvibhāvaiḥ	dEva upaGAta vyasana aBiGAta vyADi Baya Avega pUrva vEra anusmaraNa AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tasya niścaitanyabhramaṇapatanāghūrṇanādarśanādibhiranubhāvairabhinayaḥ	tasya niScEtanya BramaNa patana AGUrNanA darSana AdiBiH anuBAvEH aBinayaH
   prayoktavyaḥ |	prayoktavyaH |
   atra ślokastāvadāryā ca	atra SlokaH tAvat AryA ca
   asthāne taskarāndṛṣṭvā trāsanairvividhairapi /	asTAne taskarAn dRzwvA trAsanEH viviDEH api /
   tatpratīkāraśūnyasya mohaḥ samupajāyate // BhN_7.52 //	tad pratIkAra SUnyasya mohaH samupajAyate // Bhz _7.52 //
   vyasanābhighātabhayapūrvavairasaṃsmaraṇarogajo mohaḥ /	vyasana aBiGAta Baya pUrva vEra saMsmaraNa roga jaH mohaH /
   sarvendriyasammohāttasyābhinayaḥ prayoktavyaḥ // BhN_7.53 //	sarva indriya sammohAt tasya aBinayaH prayoktavyaH // Bhz _7.53 //
   smṛtirnāma sukhaduḥkhakṛtānāṃ bhāvānāmanusmaraṇam |	smRtiH nAma suKa duHKa kRtAnAm BAvAnAm anusmaraNam |
   sā ca	sA ca
   svāsthyajaghanyarātrinidrācchedasamānadarśanodāharaṇacintābhyāsādibhirvibhāvaiḥ	svAsTya jaGanya rAtri nidrA AcCeda samAna darSana udAharaNa cintA aByAsa AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tāmabhinayecchiraḥkampanāvalokanabhrūsamunnamanādibhiranubhāvaiḥ |	tAm aBinayet SiraH kampana avalokana BrU samunnam ana AdiBiH anuBAvEH |
   atrārye bhavataḥ	atra Arye BavataH
   sukhaduḥkhamatikrāntaṃ tathā mativibhāvitaṃ yathāvṛttam /	suKa duHKam atikrAntam taTA mati viBAvitam yaTAvRttam /
   ciravismṛtaṃ smarati yaḥ smṛtimāniti veditavyo 'sau // BhN_7.54 //	cira vismRtam smarati yaH smRtimAn iti veditavyaH asO // Bhz _7.54 //
   svāsthyābhyāsasamutthā śrutidarśanasambhavā smṛtirnipuṇaiḥ /	svAsTya aByAsa samutTA Sruti darSana samBavA smRtiH nipuNEH /
   śira udvāhanakampairbhūkṣepaiścābhinetavyā // BhN_7.55 //	SiraH udvAhana kampEH BUkzepEH ca aBinetavyAH // Bhz _7.55 //
   dhṛtirnāma	DRtiH nAma
   śauryavijñānaśrutivibhavaśaucācāragurubhaktyadhikamanorathārthalābhakrīḍādibhirvibhāvaiḥ	SOrya vijQAna Sruti viBava SOca AcAra guru Bakti aDika manoraTa arTa lABa krIxA AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tāmabhinayetprāptānāṃ	tAm aBinayet prAptAnAm
   viṣayāṇāmupabhogādaprāptātītopahṛtavinaṣṭānāmanuśocanādibhiranubhāvaiḥ |	vizayANAm upaBogAt aprApta atIta upahRta vinazwAnAm anuSocana AdiBiH anuBAvEH |
   atrārye bhavataḥ:	atra Arye BavataH:
   vijñānaśaucavibhavaśrutiśaktisamudbhavā dhṛtiḥ sadbhiḥ /	vijQAna SOca viBava Sruti Sakti samudBavA DRtiH sadBiH /
   bhayaśokaviṣadādyai rahitā tu sadā prayoktavyā // BhN_7.56 //	Baya Soka vizada AdyEH rahitA tu sadA prayoktavyAH // Bhz _7.56 //
   prāptānāmupabhogaḥ śabdarasasparśarūpagandhānām /	prAptAnAm upaBogaH Sabda rasa sparSa rUpa ganDAnAm /
   aprāptaiśca na śoko yasyāṃ hi bhaved dhṛtiḥ sā tu // BhN_7.57 //	aprAptEH ca na SokaH yasyAm hi Bavet DRtiH sA tu // Bhz _7.57 //
   vrīḍā nāma akāryakaraṇātmikā |	vrIxA nAma akArya karaNa AtmikA |
   sā ca guruvyatikramaṇāvajñānapratijñātānirvahanapaścāttāpādibhirvibhāvaiḥ	sA ca guru vyatikramaNa avajQAna pratijQAtA nirvahana paScAttApa AdiBiH viBAvEH
   samutpadyate |	samutpadyate |
   tāṃ	tAm
   nigūḍhavadanādhomukhavicintanorvīlekhanavastrāṅgulīyakasparśanakhanikṛntanādibhiranubhāvairabhinayet	nigUXa vadana aDomuKa vicintanoH vIleKana vastra aFgulIyaka sparSa naKani kRntana AdiBiH anuBAvEH aBinayet
   atrārye bhavataḥ:	atra Arye BavataH:
   kiñcidakāryaṃ kurvannevaṃ yo dṛśyate śucibhiranyaiḥ /	kiQcid akAryam kurvan= evam yaH dRSyate SuciBiH anyEH /
   paścāttāpena yuto vrīḍita iti veditavyo 'sau // BhN_7.58 //	paScAttApena yutaH vrIxitaH iti veditavyaH asO // Bhz _7.58 //
   lajjānigūḍhavadano bhūmiṃ vilikhannakhāṃśca vinikṛntan /	lajjA nigUXa vadanaH BUmim viliKat naKAn= ca vinikRntan /
