   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   yaduktaṃ vyavahārārthaṃ nānātvaṃ satyamiti, tatkiṃ jñānādūrdhvaṃ	yat uktam vyavahAra arTam nAnAtvam satyam iti, tat kim jQAnAt UrDvam
   vyavahārārthaṃ prāgvā /	vyavahAra arTam prAk vA /
   nādya ityāha # bādhite ceti /.#	na adyaH iti Aha # bADite ca iti /.#
   svabhāvo 'trāvidyā tayā kṛtaḥ svābhāvikaḥ /	svaBAvaH atra avidyA tayA kRtaH svABAvikaH /
   jñānādūrdhvaṃ pramātṛtvādivyavahārasyābhāvānnānātvaṃ na kalpyamityarthaḥ /	jQAnAt UrDvam pramAtR tva Adi vyavahArasya aBAvAt nAnAtvam na kalpyam iti arTaH /
   na dvitīyaḥ, jñānātprākkalpitanānātvena vyavahāropapattau nānātvasya	na dvitIyaH, jQAnAt prAk kalpita nAnA tvena vyavahAra upapattO nAnAtvasya
   satyatvāsiddheḥ /	satya tva asidDeH /
   yattu pramātṛtvādivyavahāraḥ satya eva mokṣāvasthāyāṃ nivartata iti,	yat tu pramAtR tva Adi vyavahAraH satyaH eva mokza avasTAyAm nivartate iti,
   tannetyāha # na cāyamiti /.#	tat na iti Aha # na ca ayam iti /.#
   saṃsārasatyatve tadavasthāyāṃ jīvasya brahmatvaṃ na syāt,	saMsAra satya tve tad avasTAyAm jIvasya brahma tvam na syAt ,
   bhedābhedayorekadaikatra virodhāt /	Beda aBedayoH ekadA ekatra viroDAt /
   ato 'saṃsāribrahmābhedasya sadātanatvāvagamātsaṃsāro 'pi mithyaivetyarthaḥ	atas asaMsAri brahma aBedasya sadAtana tva avagamAt saMsAraH api miTyA eva iti arTaH
   kiñca yathā loke kaścit taskarabuddhyā bhaṭairgṛhīto 'nṛtavādī	kiQca yaTA loke kaScid taskara budDyA BawEH gRhItaH anRta vAdI
   cettaptaparaśuṃ gṛhṇāti sa dahyate badhyate ca, tathā nānātvavādī dahyate	ced tapta paraSum gRhNAti sa dahyate baDyate ca, taTA nAnA tva vAdI dahyate
   satyavādī cenna dahyate mucyate ca /	satya vAdI ced na dahyate mucyate ca /
   tathaitadātmyamidaṃ sarvamityekatvadarśī mucyata iti	taTA etat Atmyam idam sarvam iti eka tva darSI mucyate iti
   śrutadṛṣṭāntenaikatvaṃ satyaṃ nānātvaṃ mithyetyāha # taskareti /.#	Sruta dRzwAntena ekatvam satyam nAnAtvam miTyA iti Aha # taskara iti /.#
   vyavahāragocaro nānātvavyavahārāśrayaḥ /	vyavahAra gocaraH nAnAtva vyavahAra ASrayaH /
   nānātvanindayāpyekatvameva satyamityāha # mṛtyoriti /.#	nAnA tva nindayA api eka tvam eva satyam iti Aha # mRtyoH iti /.#
   kiñcāsminbhedābhedamate jīvasya	kiQca asmin Beda aBeda mate jIvasya
   brahmābhedajñānādbhedajñānanivṛttermuktiriṣṭā sā na yuktā, bhedajñānasya	brahma aBeda jQAnAt Beda jQAna nivRtteH muktiH izwA sA na yuktA, Beda jQAnasya
   bhramatvānabhyupagamāt, pramāyāḥ pramāntarābādhyatvādityāha # na	Brama tvA anaByupagamAt, pramAyAH pramA antarA bADya tvAt iti Aha # na
   cāsminniti /.#	ca asmin= iti /.#
   vaiparītyasyāpi saṃbhavāditi bhāvaḥ /	vEparItyasya api saMBavAt iti BAvaH /
   idānīṃ pratyakṣādiprāmāṇyānyathānupapattyā nānātvasya satyatvamiti	idAnIm pratyakza Adi prAmANyAni aTA anupapattyA nAnAtvasya satya tvam iti
   pūrvapakṣabījamudghāṭayati # nanvityādinā /.#	pUrvapakzabIjam udGAwayati # nanu iti AdinA /.#
   ekatvasyaikāntaḥ kaivalyam /	eka tvasya ekAntaH kEvalyam /
   vyāhanyerannapramāṇāni syuḥ /	vyAhanyeH anna pramANAni syuH /
   upajīvyapratyakṣādiprāmāṇyāya vedāntānāṃ bhedābhedaparatvamucitamiti	upajIvya pratyakza Adi prAmANyAya vedAntAnAm Beda aBeda paratvam ucitam iti
   bhāvaḥ /	BAvaH /
   nanu karmakārakāṇāṃ yajamānādīnāṃ vidyākārakāṇāṃ śiṣyādīnāṃ ca	nanu karma kArakANAm yajamAna AdInAm vidyA kArakANAm Sizya AdInAm ca
   kalpitabhedamāśritya karmajñānakāṇḍayoḥ pravṛtteḥ svaprameyasya	kalpita Bedam ASritya karma jQAna kANxayoH pravRtteH sva prameyasya
   dharmāderabādhātprāmāṇyamavyāhatamityāśaṅkyāha # kathaṃ cānṛteneti /.#	Darma AdeH abADAt prAmANyam avyAhatam iti ASaFkya Aha # kaTam ca anRtena iti /.#
   dhūlikalpitadhūmenānumitasya vahneriva prameyabādhāpatteriti bhāvaḥ /	DUli kalpita DUmena anumitasya vahneH iva prameya bADa ApatteH iti BAvaH /
   tatra dvaitaviṣaye pratyakṣādīnāṃ yāvadbādhaṃ vyāvahārikaṃ	tatra dvEta vizaye pratyakza AdInAm yAvat bADam vyAvahArikam
   prāmāṇyamupapadyata ityāha # atrocyata ityādinā /.#	prAmANyam upapadyate iti Aha # atra ucyate ityAdinA /.#
   satyatvaṃ bādhābhāvaḥ /	satya tvam bADA BAvaH /
   bādho mithyātvaniścayaḥ /	bADaH miTyAtva niScayaH /
   vastuto mithyātve 'pi vikāreṣu tanniścayābhāvena	vastutas miTyAtve api vikArezu tad niScaya aBAvena
   pratyakṣādivyavahāropapattāvuktadṛṣṭāntaṃ vivṛṇoti # yathā suptasya	pratyakza Adi vyavahAra upapattO= ukta dRzwAntam vivRNoti # yaTA suptasya
   prākṛtasyeti /.#	prAkRtasya iti /.#
   evaṃ dvaitapramāṇānāṃ vyavahārakāle bādhaśūnyārthabodhakatvaṃ vyāvahārikaṃ	evam dvEta pramANAnAm vyavahAra kAle bADa SUnya arTa boDaka tvam vyAvahArikam
   prāmāṇyamupapādya dvaitapramāṇānāṃ vedāntānāṃ sarvakāleṣu	prAmANyam upapAdya dvEta pramANAnAm vedAntAnAm sarva kAlezu
   bādhaśūnyabrahmabodhakatvaṃ tāttvikaṃ	bADa SUnya brahma boDaka tvam tAttvikam
   prāmāṇyamupapādayitumuktaśaṅkāmanuvadati # kathaṃ tvasatyeneti /.#	prAmANyam upapAdayitum ukta SaFkAm anuvadati # kaTam tu asatyena iti /.#
   kimasatyātsatyaṃ na jāyate, kimuta satyasya jñānaṃ na /	kim asatyAt satyam na jAyate, kim uta satyasya jQAnam na /
   ādya iṣṭa eva /	AdyaH izwaH eva /
   nahi vayaṃ vākyotthajñānaṃ satyamityaṅgīkurmaḥ /	na hi vayam vAkya utTa jQAnam satyam iti aFgIkurmaH /
   aṅgīkṛtyāpi dṛṣṭāntamāha # naiṣa doṣa iti /.#	aFgIkRtya api dRzwAntam Aha # na eza dozaH iti /.#
   sarpeṇādaṣṭasyāpi	sarpeNa Adazwasya api
   daṣṭatvabhrāntikalpitaviṣātsatyamaraṇamūrcchādidarśanādasatyāt satyaṃ na	dazwa tva BrAnti kalpita vizAt satya maraNa mUrcCA Adi darSanAt asatyAt satyam na
   jāyata ityaniyama ityarthaḥ /	jAyate iti aniyamaH iti arTaH /
   dṛṣṭāntāntaramāha # svapneti /.#	dRzwAnta antaram Aha # svapna iti /.#
   asatyātsarpodarādeḥ satyasya daṃśanasnānādijñānasya kāryasya	asatyAt sarpa udara AdeH satyasya daMSana snAna Adi jQAnasya kAryasya
   darśanādvyabhicāra ityarthaḥ /	darSanAt vyaBicAraH iti arTaH /
   yathāśrutamādāya śaṅkate # tatkāryamapīti /.#	yaTASrutam AdAya SaFkate # tad kAryam api iti /.#
   uktamarthaṃ prakaṭayati # tatra brūma ityādinā /.#	uktam arTam prakawayati # tatra brUmaH ityAdinA /.#
   avagatirvṛttiḥ ghaṭādivatsatyāpi prātibhāsikasvapnadṛṣṭavastunaḥ phalaṃ	avagatiH vRttiH Gawa Adi vat satyA api prAtiBAsika svapna dRzwa vastunaH Palam
   caitanyaṃ vā vṛttyabhivyaktamavagatiśabdārthaḥ /	cEtanyam vA vRtti aBivyaktam avagati Sabda arTaH /
   prasaṅgāddehātmavādo 'pi nirasta ityāha # eteneti /.#	prasaFgAt deha AtmavAdaH api nirastaH iti Aha # etena iti /.#
   svapnasthāvagateḥ svapnadehadharmatva utthitasya mayā tādṛśaḥ svapno	svapna sTa avagateH svapna deha Darma tvaH utTitasya mayA tAdRSaH svapnaH 
   'vagata ityabādhitāvagatipratisaṃdhānaṃ na syāt /	avagataH iti abADita avagati pratisaMDAnam na syAt /
   ato dehabhede 'pyanusaṃdhānadarśanāddehānyo 'nusaṃdhātetyarthaḥ /	atas deha Bede api anusaMDAna darSanAt deha an yaH anusaMDAtA iti arTaH /
   asatyātsatyasya jñānaṃ na jāyata iti dvitīyaniyamasya śrutyā	asatyAt satyasya jQAnam na jAyate iti dvitIya niyamasya SrutyA
   vyabhicāramāha # tathāca śrutiriti /.#	vyaBicAram Aha # taTA ca SrutiH iti /.#
   naca striyo mithyātve 'pi taddarśanātsatyādeva satyāyāḥ samṛtdherjñānamiti	na ca striyaH miTyAtve api tad darSanAt satyAt eva satyAyAH samRtDeH jQAnam iti
   vācyam, viṣayaviśiṣṭatvena darśanasyāpi mithyātvātprakṛte 'pi satye	vAcyam, vizaya viSizwa tvena darSanasya api miTyAtvAt prakRte api satye
   brahmaṇi mithyāvedānugatacaitanyāñjñānasaṃbhavācceti bhāvaḥ /	brahmaNi miTyA veda anugata cEtanyAn jQAna saMBavAt ca iti BAvaH /
   asatyātsatyasyeṣṭasya jñānamuktvāniṣṭasya jñānamāha # tatheti /.#	asatyAt satyasya izwasya jQAnam uktvA anizwasya jQAnam Aha # taTA iti /.#
   asatyātsatyasya jñāne dṛṣṭāntāntaramāha # tathākārādīti /.#	asatyAt satyasya jQAne dRzwAnta antaram Aha # taTA AkAra Adi iti /.#
   rekhāsvakāratvādibhrāntyā satyā akārādayo jñāyanta iti prasiddhamityarthaḥ	reKAsu akAra tva Adi BrAntyA satyAH akAra AdayaH jQAyante iti prasidDam iti arTaH
   evamasatyātsatyasya janmoktyā tadarthakriyākāri tatsatyamiti niyamo	evam asatyAt satyasya janma uktyA tad arTa kriyA kAri tat satyam iti niyamaH 
   bhagnaḥ, anṛtātsatyasya jñānoktyā yadanṛtakaraṇagamyaṃ tadbādhyaṃ	BagnaH, anRtAt satyasya jQAna uktyA yat anRta karaNa gamyam tat bADyam
   kūṭaliṅgānumitavahnivaditi vyāptirbhagnā /	kUwa liFga anumita vahni vat iti vyAptiH BagnAH /
   tathā ca kalpitānāmapi vedāntānāṃ satyabrahmabodhakatvaṃ saṃbhavatīti	taTA ca kalpitAnAm api vedAntAnAm satya brahma boDaka tvam saMBavati iti
   tāttvikaṃ prāmāṇyamiti bhāvaḥ /	tAttvikam prAmANyam iti BAvaH /
   yaduktaṃ ekatvanānātvavyavahārasiddhaye ubhayaṃ satyamiti, tanna /	yat uktam eka tva nAnA tva vyavahAra sidDaye uBayam satyam iti, tat naH /
   bhedasya lokasiddhasyāpūrvaphalavadabhedavirodhena satyatvakalpanāyogāt /	Bedasya loka sidDasya apUrva Pala vat aBeda viroDena satya tva kalpanA yogAt /
   kiñca yadyubhayorekadā vyavahāraḥ syāt tadā syādapi satyatvam /	kiQca yadi uBayoH ekadA vyavahAraH syAt tadA syAt api satya tvam /
   naivamasti /	na evam asti /
   ekatvajñānena carameṇānapekṣeṇa nānātvasya niḥśeṣaṃ bādhāt, śuktijñāneneva	eka tva jQAnena carameNa anapekzeNa nAnA tvasya niHSezam bADAt, Sukti jQAnena iva
   rajatasyetyāha # api cāntyamiti /.#	rajatasya iti Aha # api ca antyam iti /.#
   nanūpajīvyadvaitapramāṇavirodhādekatvāvagatirnotpadyata ityata āha # na	nanu upa jIvya dvEta pramANa viroDAt ekatva avagatiH na utpadyate iti atas Aha # na
   ceyamiti /.#	ca iyam iti /.#
   tat kilātmatattvamasya piturvākyāt śvetaketurvijñātavāniti jñānotpatteḥ	tat kila Atma tattvam asya pituH vAkyAt SvetaketuH vijQAtavAn iti jQAna utpatteH
   śrutatvātsāmagrīsattvāccetyarthaḥ /	Sruta tvAt sAmagrI sattvAt ca iti arTaH /
   vyāvahārikaguruśiṣyādibhedamupajīvya jñāyamānavākyārthāvagateḥ	vyAvahArika guru Sizya Adi Bedam upajIvya jQAyamAna vAkya arTa avagateH
   pratyakṣādigataṃ vyāvahārikaṃ prāmāṇyamupajīvyaṃ, tacca	pratyakza Adi gatam vyAvahArikam prAmANyam upajIvyan, tat ca
   pāramārthikaikatvāvagatyā na virudhyate /	pAramArTika ekatva a= agatyA na viruDyate /
   kintu tayā virodhādanupajīvyaṃ pratyakṣādestāttvikaṃ prāmāṇyaṃ bādhyata	kintu tayA viroDAt anupajIvyam pratyakza AdeH tAttvikam prAmANyam bADyata
   iti bhāvaḥ /	iti BAvaH /
   kiñcaikatvāvagateḥ phalavatpramātvānniṣphalo dvaitabhramo bādhya ityāha #	kiQca eka tva avagateH Palavat pramAtvAt nizPalaH dvEta BramaH bADyaH iti Aha #
   na ceyamiti /.#	na ca iyam iti /.#
   nanu sarvasya dvaitasya mithyātve svapno mithyā jāgrata	nanu sarvasya dvEtasya miTyAtve svapnaH miTyA jAgrata
   satyamityādirlaukiko vyavahāraḥ, satyaṃ cānṛtaṃ ca satyamabhavaditi	satyam iti AdiH lOkikaH vyavahAraH, satyam ca anRtam ca satyam aBavat iti
   vaidikaśca kathamityāśaṅkya yathā svapne idaṃ satyamidamanṛtamiti	vEdikaH ca kaTam iti ASaFkya yaTA svapne idam satyam idam anRtam iti
   tātkālikabādhābādhābhyāṃ vyavahārastathā	tAtkAlika bADa AbADAByAm vyavahAraH taTA
   dīrghasvapna'pītyuktasvapnadṛṣṭāntaṃ smārayati # prākceti /.#	dIrGa svapna api iti ukta svapna dRzwAntam smArayati # prAk ca iti /.#
   vyavahārārthe nānātvaṃ satyamiti kalpanamasaṃgatamityupasaṃharati #	vyavahAra arTe nAnAtvam satyam iti kalpanam asaMgatam iti upasaMharati #
   tasmāditi /.#	tasmAt iti /.#
   nedaṃ kalpitaṃ, kintu śrutamiti śaṅkate # nanviti /.#	na idam kalpitaM, kintu Srutam iti SaFkate # nanu iti /.#
   kāryakāraṇayorananyatvāṃśe 'yaṃ dṛṣṭāntaḥ, na pariṇāmitve, brahmaṇaḥ	kArya kAraNayoH ananyatva aMSe ayam dRzwAntaH, na pariNAmi tve, brahmaNaH
   kūṭasthatvaśrutivirodhāditi pariharati # netyucyata iti /.#	kUwasTa tva Sruti viroDAt iti pariharati # na iti ucyate iti /.#
   sṛṣṭau pariṇāmitvaṃ pralaye tadrāhitya ca krameṇāviruddhamiti dṛṣṭāntena	sRzwO pariNAmi tvam pralaye tat rAhitya ca krameNa avirudDam iti dRzwAntena
   śaṅkate # sthitīti /.#	SaFkate # sTiti iti /.#
   kūṭasthasya kadācidapi vikriyā na yuktā kūṭasthatvavyāghātādityāha # neti	kUwasTasya kadAcid api vikriyA na yuktA kUwasTa tva vyAGAtAt iti Aha # na iti
   kūṭasthatvāsiddhimāśaṅkyāha # kūṭasthasyeti /.#	kUwasTa tva asidDim ASaFkyAha # kUwasTasya iti /.#
   kūṭasthasya niravayavasya	kUwasTasya niravayavasya
   pūrvarūpatyāgenāvasthāntarātmakapariṇāmāyogācchuktirajatavadvivarta eva	pUrvarUpa tyAgena avasTA antara Atmaka pariNAmA yogAt Sukti rajata vat vivarte eva
   prapañca iti bhāvaḥ /	prapaQcaH iti BAvaH /
   kiñca niṣphalasya jagataḥ phalavanniṣprapañcabrahmadhīśeṣatvenānuvādānna	kiQca nizPalasya jagataH Palavat nizprapaQca brahma DI Seza tvena anuvAdAt na
   satyatetyāha # naca yathetyādinā /.#	satya tA iti Aha # na ca yaTA ityAdinA /.#
   'taṃ yathā yathopāsate tadeva bhavati'iti śruterbrahmaṇaḥ	atam yaTA yaTA upAsate tat eva Bavati aiti SruteH brahmaNaH
   pariṇāmitvavijñānāttatprāptirviduṣaḥ phalamityāśaṅkyāha # nahi	pariNAmi tva vijQAnAt tad prAptiH viduzaH Palam iti ASaFkya Aha # na hi
   pariṇāmavattveti /.#	pariNAma vat tva iti /.#
   'brahmavidāpnoti param'iti śrutakūṭasthanityamokṣaphalasaṃbhave	abrahma vid Apnoti param aiti Sruta kUwa sTa nitya mokza Pala saMBave
   duḥkhānityapariṇāmitvaphalakalpanāyogāditi bhāvaḥ /	duHKa anitya pariNAmi tva Pala kalpanA yogAt iti BAvaH /
   nanu pūrvaṃ 'janmādyasya yataḥ'iti īśvarakāraṇapratijñā kṛtā /	nanu pUrvam ajanma Adyasya yataH aiti ISvara kAraNa pratijQA kRtA /
   adhunā tadananyatvamityantābhedapratipādane	aDunA tat ananyatvam iti anta aBeda pratipAdane
   īśitrīśitavyabhedābhāvāttadvirodhaḥ syāditi śaṅkate # kūṭastheti /.#	ISitrI Sitavya Beda aBAvAt tad viroDaH syAt iti SaFkate # kUwasTA iti /.#
   kalpitadvaitamapekṣyeśvaratvādikaṃ paramārthato	kalpita dvEtam apekzya ISvara tva Adikam paramArTa taH 
   'nanyatvamityavirodhamāha # netyādinā /.#	ananya tvam iti aviroDam Aha # na ityAdinA /.#
   avidyātmake cidātmani līne nāmarūpe eva bījaṃ tasya vyākaraṇaṃ sthūlātmanā	avidyA Atmake cit Atmani lIne nAma rUpe eva bIjam tasya vyAkaraNam sTUla AtmanA
   sṛṣṭistadapekṣatvādīśvaratvāderna virodha ityarthaḥ /	sRzwiH tad apekza tvAt ISvara tva AdeH na viroDaH iti arTaH /
   saṃgṛhītārthaṃ vivṛṇoti # tasmādityādinā /	saMgRhIta arTam vivRNoti # tasmAt ityAdinA /
   tatvānyatvābhyāmiti /.#	tatvA anya tvAByAm iti /.#
   nāmarūpayorīśvaratvaṃ vakyumaśakyaṃ jaḍatvāt /	nAma rUpayoH ISvara tvam vakyum aSakyam jaxa tvAt /
   nāpīśvarādanyatvaṃ kalpitasya pṛthaksattāsphūrtyorabhāvādityarthaḥ /	na api ISvarAt anya tvam kalpitasya pRTak sattA sPUrtya uraBAvAt iti arTaH /
   saṃskārātmakanāmarūpayoravidyaikyavivakṣayā brūte # māyeti /.#	saMskAra Atmaka nAma rUpayoH avidyA Ekya vivakzayA brUte # mAyA iti /.#
   nāmarūpe cedīśvarasyātmabhūte tarhīśvaro jaḍa ityata āha # tābhyāmanya iti	nAma rUpe ced ISvarasya Atma BUte tarhi ISvaraH jaxaH iti atas Aha # tAByAm anyaH iti
   anyatve vyākaraṇe ca śrutimāha # ākāśa ityādinā /.#	anya tve vyAkaraNe ca Srutim Aha # AkASaH ityAdinA /.#
   avidyādyupādhinā kalpitabhedena bimbasthānasyeśvaratvaṃ,	avidyA Adi upADinA kalpita Bedena bimba sTAnasya ISvara tvaM,
   pratibimbabhūtānāṃ jīvānāṃ niyamyatvamityāha # sa ca svātmabhūtāniti /.#	pratibimba BUtAnAm jIvAnAm niyamya tvam iti Aha # sa ca sva Atma BUtAn iti /.#
   na cātra nānājīvā bhāṣyoktā iti bhramitavyaṃ, buddhyādisaṃghātabhedena	na ca atra nAnA jIvAH BAzya uktAH iti Bramitavyan, budDi Adi saMGAta Bedena
   bhedokteḥ /	Beda ukteH /
   avidyāpratibimbastveka eva jīva ityuktam /	avidyA pratibimbaH tu ekaH eva jIvaH iti uktam /
   paramārthata īśvaratvādidvaitābhāve śrutimāha # tathā ceti /.#	paramArTataH ISvara tva Adi dvEta aBAve Srutim Aha # taTA ca iti /.#
   kathaṃ tarhi kartṛtvādikamityata āha # svabhāvastviti /.#	kaTam tarhi kartR tva Adikam iti atas Aha # svaBAvaH tu iti /.#
   anādyavidyaiva kartṛtvādirūpeṇa pravartata ityarthaḥ /	anAdi avidyA eva kartR tva Adi rUpeNa pravartate iti arTaH /
   bhaktābhaktayoḥ pāpasukṛtanāśakatvādīśvarasya vāstavamīśvaratvamityata	Bakta aBaktayoH pApa sukRta nASaka tvAt ISvarasya vAstavam ISvara tvam iti ata
   āha # nādatta iti /.#	Aha # na adattaH iti /.#
   na saṃharatītyarthaḥ /	na saMharati iti arTaH /
   tena svarūpajñānāvaraṇena kartāhamīśvaro me niyantetyevaṃ bhramanti /	tena svarUpa jQAna AvaraNena kartA aham ISvaraH me niyantA iti evam Bramanti /
   uktārthaḥ sūtrakārasaṃmata ityāha # sūtrakāro 'pīti /.#	ukta arTaH sUtrakAra saMmataH iti Aha # sUtra kAraH api iti /.#
   na kevalaṃ laukikavyavahārārthaṃ pariṇāmaprakriyāśrayaṇaṃ kintūpāsanārthaṃ	na kevalam lOkika vyavahAra arTam pariNAma prakriyA ASrayaNam kintu upAsana arTam
   cetyāha # pariṇāmaprakriyāṃ ceti /.#	ca iti Aha # pariNAma prakriyAm ca iti /.#
   taduktam 'kṛpaṇādhīḥ pariṇāmamudīkṣate kṣayitakalmaṣadhīstu vivartatām'iti	tat uktam  akRpaNa aDIH pariNAmam udIkzate kzayita kalmazaDIH tu vivartatAm aiti
   END BsRp_2,1.6.14	END BsRp _2,1.6.14
   START BsRp_2,1.6.15ḥ	START BsRp _2,1.6.15H
   bhāve copalabdheḥ | BBs_2,1.15 |	BAve ca upalabDeH | BBH _2,1.15 |
   evaṃ tadananyatve pratyakṣādivirodhaṃ parihṛtyānumānamāha # bhāve ceti /.#	evam tat ananya tve pratyakza Adi viroDam parihRtya anumAnam Aha # BAve ca iti /.#
   kāraṇasya bhāve sattve upalabdhau ca kāryasya	kAraNasya BAve sattve upalabDO ca kAryasya
   sattvādupalabdheścānanyatvamiti sūtrārthaḥ /	sattvAt upalabDeH ca ananya tvam iti sUtra arTaH /
   ghaṭo mṛdananyaḥ, mṛtsattvopalabdhikṣaṇaniyatasattvopalabdhimattvāt mṛdvat	GawaH mRd ananyaH, mRd sattva upalabDi kzaNa niyata sattva upalabDimat tvAt mRdvat 
   anyatve 'pyayaṃ hetuḥ kiṃ na syādityaprayojakatvamāśaṅkya nirasyati #	anya tve api ayam hetuH kim na syAt iti aprayojaka tvam ASaFkya nirasyati  #
   naceti /.#	na ca iti /.#
   mṛdghaṭayoranyatve gavāśvayoriva hetūcchittiḥ syādityarthaḥ /	mRd GawayoH anya tve gavASvayoH iva hetu ucCittiH syAt iti arTaH /
   gavaśvayornimittanaimittikatvābhāvāddhetvabhāvaḥ /	gavaSvayoH nimitta nEmittika tva aBAvAt hetu aBAvaH /
   ato mṛdghaṭayostena hetunā nimittādibhāvaḥ sidhyati	atas mRd GawayoH tena hetunA nimitta Adi BAvaH siDyati
   nānanyatvamityarthāntaratāmāśaṅkāyaha # naca kulāleti /.#	na ananya tvam iti arTa antara tAm ASaFkAyaha # na ca kulAla iti /.#
   na copādānopādeyabhāvenārthāntaratā, mṛddṛṣṭānte tadbhāvābhāve 'pi	na ca upAdAna upAdeya BAvena arTa antara tA, mRd dRzwAnte tad BAva aBAve api
   hetusattvādanyatve gavāśvattadbhāvāyogācceti bhāvaḥ /	hetu sattvAt anya tve gavASvat tat BAva ayogAt ca iti BAvaH /
   kulālaghaṭayornimittādibhāve satyapyanyatvāt,	kulAla GawayoH nimitta Adi BAve sati api anyatvAt,
   kulālasattvaniyatopalabdhirghaṭasya naivetyakṣarārthaḥ /	kulAla sattva niyata upalabDiH Gawasya na eva iti akzara arTaH /
   yathāśrutasūtrasthahetorvyabhicāraṃ śaṅkate # nanviti /.#	yaTA Sruta sUtra sTa hetoH vyaBicAram SaFkate # nanu iti /.#
   agnibhāva eva dhūmopalabdhiriti niyamātmako hetustatra nāstītyāha # neti	agni BAvaH eva DUma upalabDiH iti niyama AtmakaH hetuH tatra na asti iti Aha # na iti
   avicchinnamūladīrdharekhāvasthadhūme niyamo 'stīti vyabhicāra	avicCinna mUla dIrDa reKA avasTa DUme niyamaH asti iti vyaBicAra
   ityāśaṅkate # atheti /.#	iti ASaFkate # aTa iti /.#
   tadbhāvaniyatabhāvatve sati tadbuddhyanuraktabuddhiviṣayatvasya	tad BAva niyata BAva tve sati tad budDi anurakta budDi vizaya tvasya
   hetorvivakṣitatvānna vyabhicāra ityāha # naivamiti /.#	hetoH vivakzita tvAt na vyaBicAraH iti Aha # na evam iti /.#
   ālokabuddhyanuraktabuddhigrāhye rūpe vyabhicāranirāsāya satyantam /	Aloka budDi anurakta budDi grAhye rUpe vyaBicAra nirAsAya satyantam /
   ālokābhāve 'pi ghaṭādirūpasattvānna vyabhicāraḥ /	Aloka aBAve api Gawa Adi rUpa sattvAt na vyaBicAraH /
   uktadhūmaviśeṣasyāgnibuddhiṃ vināpyupalambhānna tatra vyabhicāra ityarthaḥ	ukta DUma viSezasya agni budDim vinA api upalamBAt na tatra vyaBicAraH iti arTaH
   tathā ca tayoḥ kāryakāraṇayorbhāvena sattayānuraktāṃ sahakṛtāmiti	taTA ca tayoH kArya kAraNayoH BAvena sat tayA anuraktAm saha kRtAm iti
   bhāṣyārthaḥ /	BAzya arTaH /
   yadvā /	yat vA /
   tadbhāvaḥ sāmānādhikaraṇyaṃ tadviṣayakabuddhigrāhyatvaṃ hetuṃ vadāmaḥ /	tad BAvaH sAmAnADikaraNyam tad vizayaka budDi grAhya tvam hetum vadAmaH /
   mṛdghaṭa iti sāmānādhikaraṇyabuddhidarśanādagnidhūrma	mRd GawaH iti sAmAnADikaraNya budDi darSanAt agni DUrma
   ityadarśanādityarthaḥ /	iti adarSanAt iti arTaH /
   anumānārthatvena sūtraṃ vyākhyāya pāṭhāntareṇa pratyakṣaparatayā	anumAna arTa tvena sUtram vyAKyAya pAWA antareNa pratyakza para tayA
   vyācaṣṭe # bhāvācceti /.#	vyAcazwe # BAvAt ca iti /.#
   pūrvasūtroktārambhaṇaśabdasamuccayārthaścakāraḥ /	pUrva sUtra ukta AramBaNa Sabda samuccaya arTaH cakAraH /
   na caikaḥ paṭa iti pratyakṣaṃ paṭasya tantubhyaḥ pṛthaksattve pramāṇaṃ,	na ca ekaH pawaH iti pratyakzam pawasya tantuByaH pRTak sattve pramANaM,
   apṛthaksattākamithyākāryaviṣayatvenāpyupapatteḥ /	apRTak sattAka miTyA kArya vizaya tvena api upapatteH /
   ata ātānavitānasaṃyogavantastantava eva paṭa iti pratyakṣopalabdheḥ	atas AtAna vitAna saMyogavantaH tantavaH eva pawaH iti pratyakza upalabDeH
   sattvādananyatvamityarthaḥ /	sattvAt ananyatvam iti arTaH /
   paṭanyāyaṃ tantvādāvatidiśati # tathetyādinā /.#	pawanyAyam tantu AdO= atidiSati # taTA ityAdinA /.#
   pratyakṣopalabdhyā tattatkārye kāraṇamātraṃ pariśiṣyata ityarthaḥ /	pratyakza upalabDyA tad tad kArye kAraNa mAtram pariSizyate iti arTaH /
   yatra pratyakṣaṃ nāsti tatra kārye vimatakāraṇādabhinnaṃ, kāryatvāt,	yatra pratyakzam na asti tatra kArye vimata kAraNAt aBinnan, kAryatvAt,
   paṭavadityanumeyamityāha # anayeti /.#	pawavat iti anumeyam iti Aha # anayA iti /.#
   kāraṇapariśeṣe pradhānādikaṃ pariśiṣyatāṃ, na brahmetyata āha ta# tra	kAraNa pariSeze praDAna Adikam pariSizyatAn, na brahma iti atas Aha ta# tra
   sarveti /.#	sarva iti /.#
   brahmaṇi vedāntānāṃ sarveṣāṃ tātparyasyoktatvāttadevādvitīyaṃ pariśiṣyate	brahmaNi vedAntAnAm sarvezAm tAtparyasya ukta tvAt tat eva advitIyam pariSizyate
   na kāraṇāntaramaprāmāṇikatvāditi bhāvaḥ //15//	na kAraNa antaram aprAmANika tvAt iti BAvaH //15//
   END BsRp_2,1.6.15	END BsRp _2,1.6.15
   START BsRp_2,1.6.16ḥ	START BsRp _2,1.6.16H
   satvāc cāparasya | BBs_2,1.16 |	satvAt ca aparasya | BBH _2,1.16 |
